TABLE=001 | AREA=Phường Biên Hòa
--- SEQUENCE=5 | SECTION=non-agricultural | PAGES=2147-2160 | LINES=979 ---
P=2150 | X=0092.800-0329.700 | Y=0607.600-0621.510 | 27 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=2150 | X=0413.550-0438.560 | Y=0607.600-0618.760 | 4.900
P=2150 | X=0449.750-0474.760 | Y=0607.600-0618.760 | 3.400
P=2150 | X=0492.550-0517.560 | Y=0607.600-0618.760 | 2.900
P=2150 | X=0106.850-0393.320 | Y=0627.850-0639.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=2150 | X=0106.850-0159.560 | Y=0639.350-0650.510 | đến ≤600m.
P=2150 | X=0106.850-0329.700 | Y=0656.850-0668.010 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=2150 | X=0092.800-0391.760 | Y=0674.850-0686.010 | 28 Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=2150 | X=0413.550-0438.560 | Y=0674.850-0686.010 | 3.500
P=2150 | X=0449.750-0474.760 | Y=0674.850-0686.010 | 2.500
P=2150 | X=0492.550-0517.560 | Y=0674.850-0686.010 | 2.100
P=2150 | X=0106.850-0372.230 | Y=0686.350-0697.510 | Đường Bùi Hữu Nghĩa đoạn từ Đường Nguyễn Thị Tồn đến
P=2150 | X=0106.850-0389.440 | Y=0697.850-0709.010 | Đường Huỳnh Mẫn Đạt có hiện trạng là đường nhựa, bê tông xi
P=2151 | X=0106.850-0134.630 | Y=0078.850-0090.010 | măng:
P=2151 | X=0106.850-0383.860 | Y=0096.350-0107.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=2151 | X=0106.850-0332.820 | Y=0113.850-0125.010 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=2151 | X=0226.600-0312.070 | Y=0131.850-0143.010 | Đường Huỳnh Mẫn
P=2151 | X=0092.800-0207.320 | Y=0137.600-0148.760 | 29 Đường Bùi Hữu Nghĩa
P=2151 | X=0312.300-0373.960 | Y=0137.600-0148.760 | Cầu Rạch Sỏi
P=2151 | X=0407.950-0474.720 | Y=0137.600-0148.760 | 19.000 13.300
P=2151 | X=0486.950-0517.520 | Y=0137.600-0148.760 | 11.400
P=2151 | X=0226.600-0242.150 | Y=0143.350-0154.510 | Đạt
P=2151 | X=0106.850-0394.450 | Y=0161.350-0172.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bùi Hữu
P=2151 | X=0106.850-0396.200 | Y=0172.850-0184.010 | Nghĩa đoạn từ Đường Huỳnh Mẫn Đạt đến Cầu Rạch Sỏi có hiện
P=2151 | X=0106.850-0278.430 | Y=0184.350-0195.510 | trạng là đường nhựa, bê tông xi măng:
P=2151 | X=0092.800-0103.920 | Y=0190.350-0201.510 | 30
P=2151 | X=0413.550-0438.560 | Y=0190.350-0201.510 | 9.500
P=2151 | X=0449.750-0474.760 | Y=0190.350-0201.510 | 6.700
P=2151 | X=0492.550-0517.560 | Y=0190.350-0201.510 | 5.700
P=2151 | X=0106.850-0329.350 | Y=0201.850-0213.010 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=2151 | X=0106.850-0383.510 | Y=0219.350-0230.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=2151 | X=0106.850-0394.450 | Y=0237.350-0248.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bùi Hữu
P=2151 | X=0106.850-0396.200 | Y=0248.850-0260.010 | Nghĩa đoạn từ Đường Huỳnh Mẫn Đạt đến Cầu Rạch Sỏi có hiện
P=2151 | X=0106.850-0278.430 | Y=0260.350-0271.510 | trạng là đường nhựa, bê tông xi măng:
P=2151 | X=0092.800-0329.700 | Y=0277.850-0292.010 | 31 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=2151 | X=0413.550-0438.560 | Y=0280.850-0292.010 | 5.000
P=2151 | X=0449.750-0474.760 | Y=0280.850-0292.010 | 3.500
P=2151 | X=0492.550-0517.560 | Y=0280.850-0292.010 | 3.000
P=2151 | X=0106.850-0393.320 | Y=0295.350-0306.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=2151 | X=0106.850-0159.560 | Y=0306.850-0318.010 | đến ≤600m.
P=2151 | X=0106.850-0329.700 | Y=0324.350-0335.510 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=2151 | X=0106.850-0394.450 | Y=0342.350-0353.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bùi Hữu
P=2151 | X=0106.850-0396.200 | Y=0353.850-0365.010 | Nghĩa đoạn từ Đường Huỳnh Mẫn Đạt đến Cầu Rạch Sỏi có hiện
P=2151 | X=0106.850-0278.430 | Y=0365.350-0376.510 | trạng là đường nhựa, bê tông xi măng:
P=2151 | X=0092.800-0103.920 | Y=0371.350-0382.510 | 32
P=2151 | X=0413.550-0438.560 | Y=0371.350-0382.510 | 3.600
P=2151 | X=0449.750-0474.760 | Y=0371.350-0382.510 | 2.500
P=2151 | X=0492.550-0517.560 | Y=0371.350-0382.510 | 2.200
P=2151 | X=0106.850-0383.860 | Y=0382.850-0394.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=2151 | X=0106.850-0330.040 | Y=0400.350-0411.510 | - Có bề rộng <3m, cách đường giao thông >200m.
P=2151 | X=0106.850-0391.760 | Y=0418.350-0429.510 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=2151 | X=0106.850-0391.680 | Y=0429.850-0441.010 | Đường Bùi Hữu Nghĩa đoạn từ Đường Huỳnh Mẫn Đạt đến Cầu
P=2151 | X=0106.850-0356.730 | Y=0441.350-0452.510 | Rạch Sỏi có hiện trạng là đường nhựa, bê tông xi măng:
P=2151 | X=0092.800-0103.920 | Y=0447.350-0458.510 | 33
P=2151 | X=0413.550-0438.560 | Y=0447.350-0458.510 | 8.600
P=2151 | X=0449.750-0474.760 | Y=0447.350-0458.510 | 6.000
P=2151 | X=0492.550-0517.560 | Y=0447.350-0458.510 | 5.200
P=2151 | X=0106.850-0329.350 | Y=0458.850-0470.010 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=2151 | X=0106.850-0383.510 | Y=0476.350-0487.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=2151 | X=0106.850-0391.760 | Y=0494.350-0505.510 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=2151 | X=0106.850-0391.680 | Y=0505.850-0517.010 | Đường Bùi Hữu Nghĩa đoạn từ Đường Huỳnh Mẫn Đạt đến Cầu
P=2151 | X=0106.850-0356.730 | Y=0517.350-0528.510 | Rạch Sỏi có hiện trạng là đường nhựa, bê tông xi măng:
P=2151 | X=0092.800-0329.700 | Y=0534.850-0549.010 | 34 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=2151 | X=0413.550-0438.560 | Y=0537.850-0549.010 | 4.500
P=2151 | X=0449.750-0474.760 | Y=0537.850-0549.010 | 3.200
P=2151 | X=0492.550-0517.560 | Y=0537.850-0549.010 | 2.700
P=2151 | X=0106.850-0393.320 | Y=0552.350-0563.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=2151 | X=0106.850-0159.560 | Y=0563.850-0575.010 | đến ≤600m.
P=2151 | X=0106.850-0329.700 | Y=0581.350-0592.510 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=2151 | X=0106.850-0391.760 | Y=0599.350-0610.510 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=2151 | X=0106.850-0391.680 | Y=0610.850-0622.010 | Đường Bùi Hữu Nghĩa đoạn từ Đường Huỳnh Mẫn Đạt đến Cầu
P=2151 | X=0106.850-0356.730 | Y=0622.350-0633.510 | Rạch Sỏi có hiện trạng là đường nhựa, bê tông xi măng:
P=2151 | X=0092.800-0103.920 | Y=0628.350-0639.510 | 35
P=2151 | X=0413.550-0438.560 | Y=0628.350-0639.510 | 3.200
P=2151 | X=0449.750-0474.760 | Y=0628.350-0639.510 | 2.200
P=2151 | X=0492.550-0517.560 | Y=0628.350-0639.510 | 1.900
P=2151 | X=0106.850-0383.860 | Y=0639.850-0651.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=2151 | X=0106.850-0332.820 | Y=0657.350-0668.510 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=2151 | X=0092.800-0207.320 | Y=0675.350-0686.510 | 36 Đường Bùi Hữu Nghĩa
P=2151 | X=0226.600-0288.260 | Y=0675.350-0686.510 | Cầu Rạch Sỏi
P=2151 | X=0312.300-0374.510 | Y=0675.350-0686.510 | Cầu Ông Tiếp
P=2151 | X=0407.950-0474.720 | Y=0675.350-0686.510 | 15.400 10.800
P=2151 | X=0492.550-0517.560 | Y=0675.350-0686.510 | 9.200
P=2151 | X=0092.800-0394.450 | Y=0693.350-0704.510 | 37 Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bùi Hữu
P=2151 | X=0413.550-0438.560 | Y=0693.350-0704.510 | 8.300
P=2151 | X=0449.750-0474.760 | Y=0693.350-0704.510 | 5.800
P=2151 | X=0492.550-0517.560 | Y=0693.350-0704.510 | 5.000
P=2151 | X=0106.850-0390.720 | Y=0704.850-0716.010 | Nghĩa đoạn từ Cầu Rạch Sỏi đến Cầu Ông Tiếp có hiện trạng là
P=2152 | X=0106.850-0242.330 | Y=0078.850-0090.010 | đường nhựa, bê tông xi măng:
P=2152 | X=0106.850-0329.350 | Y=0096.350-0107.510 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=2152 | X=0106.850-0383.510 | Y=0113.850-0125.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=2152 | X=0106.850-0394.450 | Y=0131.850-0143.010 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bùi Hữu
P=2152 | X=0106.850-0390.720 | Y=0143.350-0154.510 | Nghĩa đoạn từ Cầu Rạch Sỏi đến Cầu Ông Tiếp có hiện trạng là
P=2152 | X=0106.850-0242.330 | Y=0154.850-0166.010 | đường nhựa, bê tông xi măng:
P=2152 | X=0092.800-0329.700 | Y=0172.350-0186.510 | 38 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=2152 | X=0413.550-0438.560 | Y=0175.350-0186.510 | 4.300
P=2152 | X=0449.750-0474.760 | Y=0175.350-0186.510 | 3.000
P=2152 | X=0492.550-0517.560 | Y=0175.350-0186.510 | 2.600
P=2152 | X=0106.850-0393.320 | Y=0189.850-0201.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=2152 | X=0106.850-0159.560 | Y=0201.350-0212.510 | đến ≤600m.
P=2152 | X=0106.850-0329.700 | Y=0218.850-0230.010 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=2152 | X=0106.850-0394.450 | Y=0236.850-0248.010 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bùi Hữu
P=2152 | X=0106.850-0390.720 | Y=0248.350-0259.510 | Nghĩa đoạn từ Cầu Rạch Sỏi đến Cầu Ông Tiếp có hiện trạng là
P=2152 | X=0106.850-0242.330 | Y=0259.850-0271.010 | đường nhựa, bê tông xi măng:
P=2152 | X=0092.800-0103.920 | Y=0265.850-0277.010 | 39
P=2152 | X=0413.550-0438.560 | Y=0265.850-0277.010 | 3.200
P=2152 | X=0449.750-0474.760 | Y=0265.850-0277.010 | 2.200
P=2152 | X=0492.550-0517.560 | Y=0265.850-0277.010 | 1.900
P=2152 | X=0106.850-0383.860 | Y=0277.350-0288.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=2152 | X=0106.850-0330.040 | Y=0294.850-0306.010 | - Có bề rộng <3m, cách đường giao thông >200m.
P=2152 | X=0106.850-0391.760 | Y=0312.850-0324.010 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=2152 | X=0106.850-0393.420 | Y=0324.350-0335.510 | Đường Bùi Hữu Nghĩa đoạn từ Cầu Rạch Sỏi đến Cầu Ông Tiếp
P=2152 | X=0106.850-0313.430 | Y=0335.850-0347.010 | có hiện trạng là đường nhựa, bê tông xi măng:
P=2152 | X=0092.800-0103.920 | Y=0341.850-0353.010 | 40
P=2152 | X=0413.550-0438.560 | Y=0341.850-0353.010 | 7.500
P=2152 | X=0449.750-0474.760 | Y=0341.850-0353.010 | 5.300
P=2152 | X=0492.550-0517.560 | Y=0341.850-0353.010 | 4.500
P=2152 | X=0106.850-0329.350 | Y=0353.350-0364.510 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=2152 | X=0106.850-0383.510 | Y=0370.850-0382.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=2152 | X=0106.850-0391.760 | Y=0388.850-0400.010 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=2152 | X=0106.850-0393.420 | Y=0400.350-0411.510 | Đường Bùi Hữu Nghĩa đoạn từ Cầu Rạch Sỏi đến Cầu Ông Tiếp
P=2152 | X=0106.850-0313.430 | Y=0411.850-0423.010 | có hiện trạng là đường nhựa, bê tông xi măng:
P=2152 | X=0092.800-0329.700 | Y=0429.350-0443.510 | 41 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=2152 | X=0413.550-0438.560 | Y=0432.350-0443.510 | 3.900
P=2152 | X=0449.750-0474.760 | Y=0432.350-0443.510 | 2.700
P=2152 | X=0492.550-0517.560 | Y=0432.350-0443.510 | 2.300
P=2152 | X=0106.850-0393.320 | Y=0446.850-0458.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=2152 | X=0106.850-0159.560 | Y=0458.350-0469.510 | đến ≤600m.
P=2152 | X=0106.850-0329.700 | Y=0475.850-0487.010 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=2152 | X=0106.850-0391.760 | Y=0493.850-0505.010 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=2152 | X=0106.850-0393.420 | Y=0505.350-0516.510 | Đường Bùi Hữu Nghĩa đoạn từ Cầu Rạch Sỏi đến Cầu Ông Tiếp
P=2152 | X=0106.850-0313.430 | Y=0516.850-0528.010 | có hiện trạng là đường nhựa, bê tông xi măng:
P=2152 | X=0092.800-0103.920 | Y=0522.850-0534.010 | 42
P=2152 | X=0413.550-0438.560 | Y=0522.850-0534.010 | 2.900
P=2152 | X=0449.750-0474.760 | Y=0522.850-0534.010 | 2.000
P=2152 | X=0492.550-0517.560 | Y=0522.850-0534.010 | 1.700
P=2152 | X=0106.850-0383.860 | Y=0534.350-0545.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=2152 | X=0106.850-0332.820 | Y=0551.850-0563.010 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=2152 | X=0106.850-0190.070 | Y=0569.850-0581.010 | Đường Nguyễn Tri
P=2152 | X=0312.300-0392.760 | Y=0569.850-0581.010 | Đường Nguyễn Ái
P=2152 | X=0092.800-0103.920 | Y=0575.600-0586.760 | 43
P=2152 | X=0226.600-0277.720 | Y=0575.600-0586.760 | Cầu Ghềnh
P=2152 | X=0407.950-0474.720 | Y=0575.600-0586.760 | 26.600 18.600
P=2152 | X=0486.950-0517.520 | Y=0575.600-0586.760 | 16.000
P=2152 | X=0106.850-0143.430 | Y=0581.350-0592.510 | Phương
P=2152 | X=0312.300-0336.190 | Y=0581.350-0592.510 | Quốc
P=2152 | X=0106.850-0392.220 | Y=0599.350-0610.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn
P=2152 | X=0106.850-0391.650 | Y=0610.850-0622.010 | Tri Phương đoạn từ Cầu Ghềnh đến Đường Nguyễn Ái Quốc có
P=2152 | X=0106.850-0300.090 | Y=0622.350-0633.510 | hiện trạng là đường nhựa, bê tông xi măng:
P=2152 | X=0092.800-0103.920 | Y=0628.350-0639.510 | 44
P=2152 | X=0407.950-0438.520 | Y=0628.350-0639.510 | 12.700
P=2152 | X=0449.750-0474.760 | Y=0628.350-0639.510 | 8.900
P=2152 | X=0492.550-0517.560 | Y=0628.350-0639.510 | 7.600
P=2152 | X=0106.850-0329.350 | Y=0639.850-0651.010 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=2152 | X=0106.850-0383.510 | Y=0657.350-0668.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=2152 | X=0092.800-0392.220 | Y=0675.350-0686.510 | 45 Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn
P=2152 | X=0413.550-0438.560 | Y=0675.350-0686.510 | 6.200
P=2152 | X=0449.750-0474.760 | Y=0675.350-0686.510 | 4.300
P=2152 | X=0492.550-0517.560 | Y=0675.350-0686.510 | 3.700
P=2152 | X=0106.850-0391.650 | Y=0686.850-0698.010 | Tri Phương đoạn từ Cầu Ghềnh đến Đường Nguyễn Ái Quốc có
P=2152 | X=0106.850-0300.090 | Y=0698.350-0709.510 | hiện trạng là đường nhựa, bê tông xi măng:
P=2153 | X=0106.850-0329.700 | Y=0078.850-0090.010 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=2153 | X=0106.850-0393.320 | Y=0096.350-0107.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=2153 | X=0106.850-0159.560 | Y=0107.850-0119.010 | đến ≤600m.
P=2153 | X=0106.850-0329.700 | Y=0125.350-0136.510 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=2153 | X=0106.850-0392.220 | Y=0143.350-0154.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn
P=2153 | X=0106.850-0391.650 | Y=0154.850-0166.010 | Tri Phương đoạn từ Cầu Ghềnh đến Đường Nguyễn Ái Quốc có
P=2153 | X=0106.850-0300.090 | Y=0166.350-0177.510 | hiện trạng là đường nhựa, bê tông xi măng:
P=2153 | X=0092.800-0103.920 | Y=0172.350-0183.510 | 46
P=2153 | X=0413.550-0438.560 | Y=0172.350-0183.510 | 4.400
P=2153 | X=0449.750-0474.760 | Y=0172.350-0183.510 | 3.100
P=2153 | X=0492.550-0517.560 | Y=0172.350-0183.510 | 2.600
P=2153 | X=0106.850-0383.860 | Y=0183.850-0195.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=2153 | X=0106.850-0330.040 | Y=0201.350-0212.510 | - Có bề rộng <3m, cách đường giao thông >200m.
P=2153 | X=0106.850-0391.760 | Y=0219.350-0230.510 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=2153 | X=0106.850-0374.360 | Y=0230.850-0242.010 | Đường Nguyễn Tri Phương đoạn từ Cầu Ghềnh đến Đường
P=2153 | X=0106.850-0388.950 | Y=0242.350-0253.510 | Nguyễn Ái Quốc có hiện trạng là đường nhựa, bê tông xi măng:
P=2153 | X=0092.800-0103.920 | Y=0248.350-0259.510 | 47
P=2153 | X=0407.950-0438.520 | Y=0248.350-0259.510 | 11.400
P=2153 | X=0449.750-0474.760 | Y=0248.350-0259.510 | 8.000
P=2153 | X=0492.550-0517.560 | Y=0248.350-0259.510 | 6.800
P=2153 | X=0106.850-0329.350 | Y=0259.850-0271.010 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=2153 | X=0106.850-0383.510 | Y=0277.350-0288.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=2153 | X=0106.850-0391.760 | Y=0295.350-0306.510 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=2153 | X=0106.850-0374.360 | Y=0306.850-0318.010 | Đường Nguyễn Tri Phương đoạn từ Cầu Ghềnh đến Đường
P=2153 | X=0106.850-0388.950 | Y=0318.350-0329.510 | Nguyễn Ái Quốc có hiện trạng là đường nhựa, bê tông xi măng:
P=2153 | X=0092.800-0329.700 | Y=0335.850-0350.010 | 48 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=2153 | X=0413.550-0438.560 | Y=0338.850-0350.010 | 5.600
P=2153 | X=0449.750-0474.760 | Y=0338.850-0350.010 | 3.900
P=2153 | X=0492.550-0517.560 | Y=0338.850-0350.010 | 3.400
P=2153 | X=0106.850-0393.320 | Y=0353.350-0364.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=2153 | X=0106.850-0159.560 | Y=0364.850-0376.010 | đến ≤600m.
P=2153 | X=0106.850-0329.700 | Y=0382.350-0393.510 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=2153 | X=0106.850-0391.760 | Y=0400.350-0411.510 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=2153 | X=0106.850-0374.360 | Y=0411.850-0423.010 | Đường Nguyễn Tri Phương đoạn từ Cầu Ghềnh đến Đường
P=2153 | X=0106.850-0388.950 | Y=0423.350-0434.510 | Nguyễn Ái Quốc có hiện trạng là đường nhựa, bê tông xi măng:
P=2153 | X=0092.800-0103.920 | Y=0429.350-0440.510 | 49
P=2153 | X=0413.550-0438.560 | Y=0429.350-0440.510 | 4.000
P=2153 | X=0449.750-0474.760 | Y=0429.350-0440.510 | 2.800
P=2153 | X=0492.550-0517.560 | Y=0429.350-0440.510 | 2.400
P=2153 | X=0106.850-0383.860 | Y=0440.850-0452.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=2153 | X=0106.850-0332.820 | Y=0458.350-0469.510 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=2153 | X=0226.600-0307.060 | Y=0476.350-0487.510 | Đường Nguyễn Ái
P=2153 | X=0092.800-0221.220 | Y=0482.100-0493.260 | 50 Đường Nguyễn Văn Lung
P=2153 | X=0312.300-0376.190 | Y=0482.100-0493.260 | Mỏ đá Hóa An
P=2153 | X=0407.950-0474.720 | Y=0482.100-0493.260 | 20.100 14.100
P=2153 | X=0486.950-0517.520 | Y=0482.100-0493.260 | 12.100
P=2153 | X=0226.600-0250.490 | Y=0487.850-0499.010 | Quốc
P=2153 | X=0106.850-0392.220 | Y=0505.850-0517.010 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn
P=2153 | X=0106.850-0396.190 | Y=0517.350-0528.510 | Văn Lung đoạn từ Đường Nguyễn Ái Quốc đến Mỏ đá Hóa An có
P=2153 | X=0106.850-0300.090 | Y=0528.850-0540.010 | hiện trạng là đường nhựa, bê tông xi măng:
P=2153 | X=0092.800-0103.920 | Y=0534.850-0546.010 | 51
P=2153 | X=0413.550-0438.560 | Y=0534.850-0546.010 | 9.500
P=2153 | X=0449.750-0474.760 | Y=0534.850-0546.010 | 6.700
P=2153 | X=0492.550-0517.560 | Y=0534.850-0546.010 | 5.700
P=2153 | X=0106.850-0329.350 | Y=0546.350-0557.510 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=2153 | X=0106.850-0383.510 | Y=0563.850-0575.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=2153 | X=0106.850-0392.220 | Y=0581.850-0593.010 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn
P=2153 | X=0106.850-0396.190 | Y=0593.350-0604.510 | Văn Lung đoạn từ Đường Nguyễn Ái Quốc đến Mỏ đá Hóa An có
P=2153 | X=0106.850-0300.090 | Y=0604.850-0616.010 | hiện trạng là đường nhựa, bê tông xi măng:
P=2153 | X=0092.800-0329.700 | Y=0622.350-0636.510 | 52 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=2153 | X=0413.550-0438.560 | Y=0625.350-0636.510 | 5.200
P=2153 | X=0449.750-0474.760 | Y=0625.350-0636.510 | 3.600
P=2153 | X=0492.550-0517.560 | Y=0625.350-0636.510 | 3.100
P=2153 | X=0106.850-0393.320 | Y=0639.850-0651.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=2153 | X=0106.850-0159.560 | Y=0651.350-0662.510 | đến ≤600m.
P=2153 | X=0106.850-0329.700 | Y=0668.850-0680.010 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=2153 | X=0092.800-0392.220 | Y=0686.850-0698.010 | 53 Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn
P=2153 | X=0413.550-0438.560 | Y=0686.850-0698.010 | 3.100
P=2153 | X=0449.750-0474.760 | Y=0686.850-0698.010 | 2.200
P=2153 | X=0492.550-0517.560 | Y=0686.850-0698.010 | 1.900
P=2153 | X=0106.850-0396.190 | Y=0698.350-0709.510 | Văn Lung đoạn từ Đường Nguyễn Ái Quốc đến Mỏ đá Hóa An có
P=2154 | X=0106.850-0300.090 | Y=0078.850-0090.010 | hiện trạng là đường nhựa, bê tông xi măng:
P=2154 | X=0106.850-0383.860 | Y=0096.350-0107.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=2154 | X=0106.850-0330.040 | Y=0113.850-0125.010 | - Có bề rộng <3m, cách đường giao thông >200m.
P=2154 | X=0106.850-0391.760 | Y=0131.850-0143.010 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=2154 | X=0106.850-0404.460 | Y=0143.350-0154.510 | Đường Nguyễn Văn Lung đoạn từ Đường Nguyễn Ái Quốc đến Mỏ
P=2154 | X=0106.850-0363.420 | Y=0154.850-0166.010 | đá Hóa An có hiện trạng là đường nhựa, bê tông xi măng:
P=2154 | X=0092.800-0103.920 | Y=0160.850-0172.010 | 54
P=2154 | X=0413.550-0438.560 | Y=0160.850-0172.010 | 8.600
P=2154 | X=0449.750-0474.760 | Y=0160.850-0172.010 | 6.000
P=2154 | X=0492.550-0517.560 | Y=0160.850-0172.010 | 5.200
P=2154 | X=0106.850-0329.350 | Y=0172.350-0183.510 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=2154 | X=0106.850-0383.510 | Y=0189.850-0201.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=2154 | X=0106.850-0391.760 | Y=0207.850-0219.010 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=2154 | X=0106.850-0404.460 | Y=0219.350-0230.510 | Đường Nguyễn Văn Lung đoạn từ Đường Nguyễn Ái Quốc đến Mỏ
P=2154 | X=0106.850-0363.420 | Y=0230.850-0242.010 | đá Hóa An có hiện trạng là đường nhựa, bê tông xi măng:
P=2154 | X=0092.800-0329.700 | Y=0248.350-0262.510 | 55 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=2154 | X=0413.550-0438.560 | Y=0251.350-0262.510 | 4.700
P=2154 | X=0449.750-0474.760 | Y=0251.350-0262.510 | 3.300
P=2154 | X=0492.550-0517.560 | Y=0251.350-0262.510 | 2.800
P=2154 | X=0106.850-0393.320 | Y=0265.850-0277.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=2154 | X=0106.850-0159.560 | Y=0277.350-0288.510 | đến ≤600m.
P=2154 | X=0106.850-0329.700 | Y=0294.850-0306.010 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=2154 | X=0106.850-0391.760 | Y=0312.850-0324.010 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=2154 | X=0106.850-0404.460 | Y=0324.350-0335.510 | Đường Nguyễn Văn Lung đoạn từ Đường Nguyễn Ái Quốc đến Mỏ
P=2154 | X=0106.850-0363.420 | Y=0335.850-0347.010 | đá Hóa An có hiện trạng là đường nhựa, bê tông xi măng:
P=2154 | X=0092.800-0103.920 | Y=0341.850-0353.010 | 56
P=2154 | X=0413.550-0438.560 | Y=0341.850-0353.010 | 2.800
P=2154 | X=0449.750-0474.760 | Y=0341.850-0353.010 | 2.000
P=2154 | X=0492.550-0517.560 | Y=0341.850-0353.010 | 1.700
