TABLE=023 | AREA=Phường Bình Lộc | SECTION=non-agricultural | SEGMENTS=1
P=0809 | X=0112.610-0389.800 | Y=0595.370-0606.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0809 | X=0112.610-0397.870 | Y=0613.130-0624.370 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0809 | X=0112.610-0404.830 | Y=0624.670-0635.910 | Đường Cây Me - ấp Trung Sơn đoạn từ Đường vào chùa Gia Lào
P=0809 | X=0112.610-0390.210 | Y=0636.190-0647.430 | đến Hết ranh thửa đất số 731, tờ BĐĐC số 187 về bên phải và
P=0809 | X=0112.610-0392.840 | Y=0647.710-0658.950 | hết ranh thửa đất số 494, tờ BĐĐC số 187 về bên trái, xã Xuân
P=0809 | X=0092.660-0338.410 | Y=0659.230-0670.670 | 202 Lộc có hiện trạng là đường nhựa, bê tông xi măng:
P=0809 | X=0415.340-0431.980 | Y=0661.350-0670.670 | 500
P=0809 | X=0451.610-0468.250 | Y=0661.350-0670.670 | 350
P=0809 | X=0505.390-0522.030 | Y=0661.350-0670.670 | 300
P=0809 | X=0112.610-0344.160 | Y=0676.510-0687.750 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0809 | X=0112.610-0399.500 | Y=0694.030-0705.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0809 | X=0112.610-0173.730 | Y=0705.570-0716.810 | đến ≤1.000m.
P=0810 | X=0112.610-0335.780 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0810 | X=0112.610-0397.870 | Y=0096.260-0107.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0810 | X=0112.610-0404.830 | Y=0107.780-0119.020 | Đường Cây Me - ấp Trung Sơn đoạn từ Đường vào chùa Gia Lào
P=0810 | X=0112.610-0390.210 | Y=0119.330-0130.570 | đến Hết ranh thửa đất số 731, tờ BĐĐC số 187 về bên phải và
P=0810 | X=0112.610-0392.840 | Y=0130.850-0142.090 | hết ranh thửa đất số 494, tờ BĐĐC số 187 về bên trái, xã Xuân
P=0810 | X=0092.660-0109.300 | Y=0138.730-0148.050 | 203
P=0810 | X=0415.340-0431.980 | Y=0138.730-0148.050 | 370
P=0810 | X=0451.610-0468.250 | Y=0138.730-0148.050 | 260
P=0810 | X=0505.390-0522.030 | Y=0138.730-0148.050 | 220
P=0810 | X=0112.610-0338.410 | Y=0142.370-0153.610 | Lộc có hiện trạng là đường nhựa, bê tông xi măng:
P=0810 | X=0112.610-0398.420 | Y=0159.650-0170.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0810 | X=0112.610-0336.270 | Y=0177.170-0188.410 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0810 | X=0112.610-0275.710 | Y=0194.930-0206.170 | Đường Đoàn kết - ấp Đường Thành
P=0810 | X=0286.660-0432.230 | Y=0200.710-0211.950 | Đường vào chùa Gia Lào 1.200
P=0810 | X=0092.660-0109.300 | Y=0202.590-0211.910 | 204
P=0810 | X=0451.610-0468.250 | Y=0202.590-0211.910 | 840
P=0810 | X=0505.390-0522.030 | Y=0202.590-0211.910 | 720
P=0810 | X=0112.610-0168.360 | Y=0206.470-0217.710 | Trung Nghĩa
P=0810 | X=0212.710-0236.570 | Y=0208.350-0217.670 | Công
P=0810 | X=0112.610-0403.740 | Y=0224.230-0235.470 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Đoàn kết
P=0810 | X=0112.610-0390.710 | Y=0235.750-0246.990 | - ấp Trung Nghĩa đoạn từ Đường Thành Công đến Đường vào
P=0810 | X=0112.610-0381.870 | Y=0247.270-0258.510 | chùa Gia Lào có hiện trạng là đường nhựa, bê tông xi măng:
P=0810 | X=0092.660-0109.300 | Y=0255.150-0264.470 | 205
P=0810 | X=0415.340-0431.980 | Y=0255.150-0264.470 | 620
P=0810 | X=0451.610-0468.250 | Y=0255.150-0264.470 | 430
P=0810 | X=0505.390-0522.030 | Y=0255.150-0264.470 | 370
P=0810 | X=0112.610-0343.690 | Y=0264.790-0276.030 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0810 | X=0112.610-0389.800 | Y=0282.340-0293.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0810 | X=0112.610-0403.740 | Y=0300.100-0311.340 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Đoàn kết
P=0810 | X=0112.610-0390.710 | Y=0311.620-0322.860 | - ấp Trung Nghĩa đoạn từ Đường Thành Công đến Đường vào
P=0810 | X=0112.610-0381.870 | Y=0323.140-0334.380 | chùa Gia Lào có hiện trạng là đường nhựa, bê tông xi măng:
P=0810 | X=0092.660-0344.160 | Y=0340.660-0354.740 | 206 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0810 | X=0415.340-0431.980 | Y=0345.420-0354.740 | 550
P=0810 | X=0451.610-0468.250 | Y=0345.420-0354.740 | 390
P=0810 | X=0505.390-0522.030 | Y=0345.420-0354.740 | 330
P=0810 | X=0112.610-0399.500 | Y=0357.940-0369.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0810 | X=0112.610-0173.730 | Y=0369.480-0380.720 | đến ≤1.000m.
P=0810 | X=0112.610-0335.780 | Y=0387.000-0398.240 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0810 | X=0112.610-0403.740 | Y=0404.760-0416.000 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Đoàn kết
P=0810 | X=0112.610-0390.710 | Y=0416.280-0427.520 | - ấp Trung Nghĩa đoạn từ Đường Thành Công đến Đường vào
P=0810 | X=0112.610-0381.870 | Y=0427.800-0439.040 | chùa Gia Lào có hiện trạng là đường nhựa, bê tông xi măng:
P=0810 | X=0092.660-0109.300 | Y=0435.680-0445.000 | 207
P=0810 | X=0415.340-0431.980 | Y=0435.680-0445.000 | 410
P=0810 | X=0451.610-0468.250 | Y=0435.680-0445.000 | 290
P=0810 | X=0505.390-0522.030 | Y=0435.680-0445.000 | 250
P=0810 | X=0112.610-0398.420 | Y=0445.320-0456.560 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0810 | X=0112.610-0336.250 | Y=0462.860-0474.100 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0810 | X=0112.610-0397.870 | Y=0480.620-0491.860 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0810 | X=0112.610-0394.770 | Y=0492.140-0503.380 | Đường Đoàn kết - ấp Trung Nghĩa đoạn từ Đường Thành Công
P=0810 | X=0112.610-0391.660 | Y=0503.660-0514.900 | đến Đường vào chùa Gia Lào có hiện trạng là đường nhựa, bê
P=0810 | X=0092.660-0172.770 | Y=0515.180-0526.620 | 208 tông xi măng:
P=0810 | X=0415.340-0431.980 | Y=0517.300-0526.620 | 560
P=0810 | X=0451.610-0468.250 | Y=0517.300-0526.620 | 390
P=0810 | X=0505.390-0522.030 | Y=0517.300-0526.620 | 350
P=0810 | X=0112.610-0343.690 | Y=0532.490-0543.730 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0810 | X=0112.610-0389.800 | Y=0550.010-0561.250 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0810 | X=0112.610-0397.870 | Y=0567.770-0579.010 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0810 | X=0112.610-0394.770 | Y=0579.290-0590.530 | Đường Đoàn kết - ấp Trung Nghĩa đoạn từ Đường Thành Công
P=0810 | X=0112.610-0391.660 | Y=0590.810-0602.050 | đến Đường vào chùa Gia Lào có hiện trạng là đường nhựa, bê
P=0810 | X=0112.610-0172.770 | Y=0602.330-0613.570 | tông xi măng:
P=0810 | X=0092.660-0344.160 | Y=0619.110-0631.110 | 209 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0810 | X=0415.340-0431.980 | Y=0619.110-0628.430 | 500
P=0810 | X=0451.610-0468.250 | Y=0619.110-0628.430 | 350
P=0810 | X=0505.390-0522.030 | Y=0619.110-0628.430 | 300
P=0810 | X=0112.610-0399.500 | Y=0637.390-0648.630 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0810 | X=0112.610-0173.730 | Y=0648.910-0660.150 | đến ≤1.000m.
P=0810 | X=0112.610-0335.780 | Y=0666.430-0677.670 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0810 | X=0112.610-0397.870 | Y=0684.190-0695.430 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0810 | X=0092.660-0394.770 | Y=0695.710-0706.950 | 210 Đường Đoàn kết - ấp Trung Nghĩa đoạn từ Đường Thành Công
P=0810 | X=0415.340-0431.980 | Y=0697.590-0706.910 | 370
P=0810 | X=0451.610-0468.250 | Y=0697.590-0706.910 | 260
P=0810 | X=0505.390-0522.030 | Y=0697.590-0706.910 | 220
P=0810 | X=0112.610-0391.660 | Y=0707.250-0718.490 | đến Đường vào chùa Gia Lào có hiện trạng là đường nhựa, bê
P=0811 | X=0112.610-0172.770 | Y=0072.500-0083.740 | tông xi măng:
P=0811 | X=0112.610-0398.420 | Y=0090.020-0101.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0811 | X=0112.610-0336.250 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0811 | X=0286.660-0394.540 | Y=0125.330-0136.570 | Đường Xuân Lộc - Long
P=0811 | X=0092.660-0202.220 | Y=0131.090-0142.330 | 211 Đường Thành Công
P=0811 | X=0212.710-0282.910 | Y=0131.090-0142.330 | Đường tỉnh 766
P=0811 | X=0407.180-0432.230 | Y=0132.970-0142.290 | 1.500
P=0811 | X=0443.450-0468.500 | Y=0132.970-0142.290 | 1.100
P=0811 | X=0505.390-0522.030 | Y=0132.970-0142.290 | 900
P=0811 | X=0286.660-0315.550 | Y=0138.730-0148.050 | Khánh
P=0811 | X=0112.610-0392.130 | Y=0154.610-0165.850 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Thành
P=0811 | X=0112.610-0376.540 | Y=0166.130-0177.370 | Công đoạn từ Đường tỉnh 766 đến Đường Xuân Lộc - Long
P=0811 | X=0112.610-0351.140 | Y=0177.410-0188.650 | Khánh có hiện trạng là đường nhựa, bê tông xi măng:
P=0811 | X=0092.660-0109.300 | Y=0185.290-0194.610 | 212
P=0811 | X=0415.340-0431.980 | Y=0185.290-0194.610 | 730
P=0811 | X=0451.610-0468.250 | Y=0185.290-0194.610 | 510
P=0811 | X=0505.390-0522.030 | Y=0185.290-0194.610 | 440
P=0811 | X=0112.610-0343.690 | Y=0194.930-0206.170 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0811 | X=0112.610-0389.800 | Y=0212.470-0223.710 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0811 | X=0112.610-0392.130 | Y=0230.230-0241.470 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Thành
P=0811 | X=0112.610-0376.540 | Y=0241.750-0252.990 | Công đoạn từ Đường tỉnh 766 đến Đường Xuân Lộc - Long
P=0811 | X=0112.610-0351.140 | Y=0253.270-0264.510 | Khánh có hiện trạng là đường nhựa, bê tông xi măng:
P=0811 | X=0092.660-0344.160 | Y=0270.790-0284.870 | 213 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0811 | X=0415.340-0431.980 | Y=0275.550-0284.870 | 560
P=0811 | X=0451.610-0468.250 | Y=0275.550-0284.870 | 390
P=0811 | X=0505.390-0522.030 | Y=0275.550-0284.870 | 340
P=0811 | X=0112.610-0399.500 | Y=0288.340-0299.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0811 | X=0112.610-0173.730 | Y=0299.860-0311.100 | đến ≤1.000m.
P=0811 | X=0112.610-0335.780 | Y=0317.380-0328.620 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0811 | X=0112.610-0392.130 | Y=0335.140-0346.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Thành
P=0811 | X=0112.610-0376.540 | Y=0346.660-0357.900 | Công đoạn từ Đường tỉnh 766 đến Đường Xuân Lộc - Long
P=0811 | X=0112.610-0351.140 | Y=0357.940-0369.180 | Khánh có hiện trạng là đường nhựa, bê tông xi măng:
P=0811 | X=0092.660-0109.330 | Y=0365.820-0375.140 | 214
P=0811 | X=0415.340-0431.980 | Y=0365.820-0375.140 | 450
P=0811 | X=0451.610-0468.250 | Y=0365.820-0375.140 | 320
P=0811 | X=0505.390-0522.030 | Y=0365.820-0375.140 | 270
P=0811 | X=0112.610-0398.420 | Y=0375.480-0386.720 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0811 | X=0112.610-0336.250 | Y=0393.000-0404.240 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0811 | X=0112.610-0397.870 | Y=0410.760-0422.000 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0811 | X=0112.610-0391.910 | Y=0422.280-0433.520 | Đường Thành Công đoạn từ Đường tỉnh 766 đến Đường Xuân
P=0811 | X=0112.610-0401.310 | Y=0433.800-0445.040 | Lộc - Long Khánh có hiện trạng là đường nhựa, bê tông xi măng:
P=0811 | X=0092.660-0109.300 | Y=0441.680-0451.000 | 215
P=0811 | X=0415.340-0431.980 | Y=0441.680-0451.000 | 660
P=0811 | X=0451.610-0468.250 | Y=0441.680-0451.000 | 460
P=0811 | X=0505.390-0522.030 | Y=0441.680-0451.000 | 400
P=0811 | X=0112.610-0343.720 | Y=0451.340-0462.580 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0811 | X=0112.610-0389.800 | Y=0468.860-0480.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0811 | X=0112.610-0397.870 | Y=0486.620-0497.860 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0811 | X=0112.610-0391.910 | Y=0498.140-0509.380 | Đường Thành Công đoạn từ Đường tỉnh 766 đến Đường Xuân
P=0811 | X=0112.610-0401.330 | Y=0509.660-0520.900 | Lộc - Long Khánh có hiện trạng là đường nhựa, bê tông xi măng:
P=0811 | X=0092.660-0344.160 | Y=0527.180-0541.260 | 216 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0811 | X=0415.340-0431.980 | Y=0531.940-0541.260 | 500
P=0811 | X=0451.610-0468.250 | Y=0531.940-0541.260 | 350
P=0811 | X=0505.390-0522.030 | Y=0531.940-0541.260 | 300
P=0811 | X=0112.610-0399.500 | Y=0544.490-0555.730 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0811 | X=0112.610-0173.730 | Y=0556.010-0567.250 | đến ≤1.000m.
P=0811 | X=0112.610-0335.780 | Y=0573.530-0584.770 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0811 | X=0112.610-0397.900 | Y=0591.290-0602.530 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0811 | X=0112.610-0391.910 | Y=0602.810-0614.050 | Đường Thành Công đoạn từ Đường tỉnh 766 đến Đường Xuân
P=0811 | X=0112.610-0401.310 | Y=0614.330-0625.570 | Lộc - Long Khánh có hiện trạng là đường nhựa, bê tông xi măng:
P=0811 | X=0092.660-0109.300 | Y=0622.230-0631.550 | 217
P=0811 | X=0415.340-0431.980 | Y=0622.230-0631.550 | 410
P=0811 | X=0451.610-0468.250 | Y=0622.230-0631.550 | 290
P=0811 | X=0505.390-0522.030 | Y=0622.230-0631.550 | 250
P=0811 | X=0112.610-0398.420 | Y=0631.870-0643.110 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0811 | X=0112.610-0336.250 | Y=0649.390-0660.630 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0811 | X=0286.660-0395.110 | Y=0667.150-0678.390 | Hết ranh thửa đất số 70,
P=0811 | X=0112.610-0207.270 | Y=0678.670-0689.910 | Đường Xuân Trường
P=0811 | X=0286.660-0392.860 | Y=0678.670-0689.910 | tờ BĐĐC số 214 về bên
P=0811 | X=0212.710-0282.910 | Y=0684.430-0695.670 | Đường tỉnh 766
P=0811 | X=0092.660-0109.300 | Y=0686.310-0695.630 | 218
P=0811 | X=0407.180-0432.230 | Y=0686.310-0695.630 | 1.700
P=0811 | X=0443.450-0468.500 | Y=0686.310-0695.630 | 1.200
P=0811 | X=0497.230-0522.280 | Y=0686.310-0695.630 | 1.000
P=0811 | X=0286.660-0398.710 | Y=0690.190-0701.430 | phải và hết ranh thửa đất
P=0811 | X=0112.610-0165.020 | Y=0692.070-0701.390 | - Trảng Táo
P=0811 | X=0286.660-0403.660 | Y=0701.730-0712.970 | số 41, tờ BĐĐC số 214 về
P=0812 | X=0286.660-0381.260 | Y=0074.380-0083.700 | bên trái, xã Xuân Lộc
P=0812 | X=0112.610-0386.850 | Y=0090.260-0101.500 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=0812 | X=0112.610-0395.500 | Y=0101.780-0113.020 | Trường - Trảng Táo đoạn từ Đường tỉnh 766 đến Hết ranh thửa
P=0812 | X=0112.610-0393.340 | Y=0113.300-0124.540 | đất số 70, tờ BĐĐC số 214 về bên phải và hết ranh thửa đất số
P=0812 | X=0112.610-0384.450 | Y=0124.850-0136.090 | 41, tờ BĐĐC số 214 về bên trái, xã Xuân Lộc có hiện trạng là
P=0812 | X=0092.660-0109.300 | Y=0132.730-0142.050 | 219
P=0812 | X=0415.340-0431.980 | Y=0132.730-0142.050 | 850
P=0812 | X=0451.610-0468.250 | Y=0132.730-0142.050 | 600
P=0812 | X=0505.390-0522.030 | Y=0132.730-0142.050 | 510
P=0812 | X=0112.610-0248.380 | Y=0136.370-0147.610 | đường nhựa, bê tông xi măng:
P=0812 | X=0112.610-0343.690 | Y=0153.650-0164.890 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0812 | X=0112.610-0389.800 | Y=0171.170-0182.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0812 | X=0112.610-0386.850 | Y=0188.930-0200.170 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=0812 | X=0112.610-0395.500 | Y=0200.470-0211.710 | Trường - Trảng Táo đoạn từ Đường tỉnh 766 đến Hết ranh thửa
P=0812 | X=0112.610-0393.340 | Y=0211.990-0223.230 | đất số 70, tờ BĐĐC số 214 về bên phải và hết ranh thửa đất số
P=0812 | X=0112.610-0384.450 | Y=0223.510-0234.750 | 41, tờ BĐĐC số 214 về bên trái, xã Xuân Lộc có hiện trạng là
P=0812 | X=0112.610-0248.380 | Y=0235.030-0246.270 | đường nhựa, bê tông xi măng:
P=0812 | X=0092.660-0109.300 | Y=0245.790-0255.110 | 220
P=0812 | X=0415.340-0431.980 | Y=0245.790-0255.110 | 710
P=0812 | X=0451.610-0468.250 | Y=0245.790-0255.110 | 500
P=0812 | X=0505.390-0522.030 | Y=0245.790-0255.110 | 430
P=0812 | X=0112.610-0344.160 | Y=0252.550-0263.790 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0812 | X=0112.610-0399.500 | Y=0270.070-0281.310 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0812 | X=0112.610-0173.730 | Y=0281.620-0292.860 | đến ≤1.000m.
P=0812 | X=0112.610-0335.780 | Y=0299.140-0310.380 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0812 | X=0112.610-0386.850 | Y=0316.900-0328.140 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=0812 | X=0112.610-0395.500 | Y=0328.420-0339.660 | Trường - Trảng Táo đoạn từ Đường tỉnh 766 đến Hết ranh thửa
P=0812 | X=0112.610-0393.340 | Y=0339.700-0350.940 | đất số 70, tờ BĐĐC số 214 về bên phải và hết ranh thửa đất số
P=0812 | X=0112.610-0384.450 | Y=0351.220-0362.460 | 41, tờ BĐĐC số 214 về bên trái, xã Xuân Lộc có hiện trạng là
P=0812 | X=0092.660-0109.300 | Y=0359.100-0368.420 | 221
P=0812 | X=0415.340-0431.980 | Y=0359.100-0368.420 | 570
P=0812 | X=0451.610-0468.250 | Y=0359.100-0368.420 | 400
P=0812 | X=0505.390-0522.030 | Y=0359.100-0368.420 | 340
P=0812 | X=0112.610-0248.380 | Y=0362.740-0373.980 | đường nhựa, bê tông xi măng:
P=0812 | X=0112.610-0398.420 | Y=0380.280-0391.520 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0812 | X=0112.610-0336.250 | Y=0397.800-0409.040 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0812 | X=0112.610-0397.870 | Y=0415.560-0426.800 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0812 | X=0112.610-0391.420 | Y=0427.080-0438.320 | Đường Xuân Trường - Trảng Táo đoạn từ Đường tỉnh 766 đến
P=0812 | X=0112.610-0404.620 | Y=0438.600-0449.840 | Hết ranh thửa đất số 70, tờ BĐĐC số 214 về bên phải và hết ranh
P=0812 | X=0112.610-0401.990 | Y=0450.140-0461.380 | thửa đất số 41, tờ BĐĐC số 214 về bên trái, xã Xuân Lộc có hiện
P=0812 | X=0092.660-0109.300 | Y=0458.020-0467.340 | 222
P=0812 | X=0415.340-0431.980 | Y=0458.020-0467.340 | 770
P=0812 | X=0451.610-0468.250 | Y=0458.020-0467.340 | 540
P=0812 | X=0505.390-0522.030 | Y=0458.020-0467.340 | 460
P=0812 | X=0112.610-0284.390 | Y=0461.660-0472.900 | trạng là đường nhựa, bê tông xi măng:
P=0812 | X=0112.610-0343.690 | Y=0479.180-0490.420 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0812 | X=0112.610-0389.800 | Y=0496.460-0507.700 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0812 | X=0112.610-0397.870 | Y=0514.220-0525.460 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0812 | X=0112.610-0391.420 | Y=0525.740-0536.980 | Đường Xuân Trường - Trảng Táo đoạn từ Đường tỉnh 766 đến
P=0812 | X=0112.610-0404.620 | Y=0537.290-0548.530 | Hết ranh thửa đất số 70, tờ BĐĐC số 214 về bên phải và hết ranh
P=0812 | X=0112.610-0401.990 | Y=0548.810-0560.050 | thửa đất số 41, tờ BĐĐC số 214 về bên trái, xã Xuân Lộc có hiện
P=0812 | X=0112.610-0284.390 | Y=0560.330-0571.570 | trạng là đường nhựa, bê tông xi măng:
P=0812 | X=0092.660-0109.300 | Y=0571.330-0580.650 | 223
P=0812 | X=0415.340-0431.980 | Y=0571.330-0580.650 | 640
P=0812 | X=0451.610-0468.250 | Y=0571.330-0580.650 | 450
P=0812 | X=0505.390-0522.030 | Y=0571.330-0580.650 | 380
P=0812 | X=0112.610-0344.160 | Y=0577.850-0589.090 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0812 | X=0112.610-0399.500 | Y=0595.370-0606.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0812 | X=0112.610-0173.730 | Y=0606.890-0618.130 | đến ≤1.000m.
P=0812 | X=0112.610-0335.780 | Y=0624.430-0635.670 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0812 | X=0112.610-0397.870 | Y=0642.190-0653.430 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0812 | X=0112.610-0391.420 | Y=0653.710-0664.950 | Đường Xuân Trường - Trảng Táo đoạn từ Đường tỉnh 766 đến
P=0812 | X=0112.610-0404.620 | Y=0665.230-0676.470 | Hết ranh thửa đất số 70, tờ BĐĐC số 214 về bên phải và hết ranh
P=0812 | X=0092.660-0401.990 | Y=0675.750-0687.750 | 224 thửa đất số 41, tờ BĐĐC số 214 về bên trái, xã Xuân Lộc có hiện
P=0812 | X=0415.340-0431.980 | Y=0675.750-0685.070 | 510
P=0812 | X=0451.610-0468.250 | Y=0675.750-0685.070 | 360
P=0812 | X=0505.390-0522.030 | Y=0675.750-0685.070 | 310
P=0812 | X=0112.610-0284.390 | Y=0688.030-0699.270 | trạng là đường nhựa, bê tông xi măng:
P=0812 | X=0112.610-0398.420 | Y=0705.570-0716.810 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0813 | X=0112.610-0336.250 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0813 | X=0286.660-0400.630 | Y=0096.260-0107.500 | Hết ranh thửa đất số 259,
P=0813 | X=0286.660-0392.860 | Y=0107.780-0119.020 | tờ BĐĐC số 219 về bên
P=0813 | X=0112.610-0278.340 | Y=0113.540-0124.780 | Đường Bàu Gia Ló - Đường Cây số
P=0813 | X=0286.660-0432.230 | Y=0119.330-0130.570 | phải và hết ranh thửa đất 1.200
P=0813 | X=0092.660-0109.300 | Y=0121.210-0130.530 | 225
P=0813 | X=0451.610-0468.250 | Y=0121.210-0130.530 | 840
P=0813 | X=0505.390-0522.030 | Y=0121.210-0130.530 | 720
P=0813 | X=0112.610-0182.280 | Y=0125.090-0136.330 | ấp Trung Nghĩa
P=0813 | X=0212.710-0218.310 | Y=0126.970-0136.290 | 2
P=0813 | X=0286.660-0403.660 | Y=0130.850-0142.090 | số 42, tờ BĐĐC số 219 về
P=0813 | X=0286.660-0381.260 | Y=0144.250-0153.570 | bên trái, xã Xuân Lộc
P=0813 | X=0112.610-0400.020 | Y=0160.130-0171.370 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bàu Gia
P=0813 | X=0112.610-0400.060 | Y=0171.410-0182.650 | Ló - ấp Trung Nghĩa đoạn từ Đường Cây số 2 đến Hết ranh thửa
P=0813 | X=0112.610-0398.860 | Y=0182.930-0194.170 | đất số 259, tờ BĐĐC số 219 về bên phải và hết ranh thửa đất số
P=0813 | X=0112.610-0384.450 | Y=0194.450-0205.690 | 42, tờ BĐĐC số 219 về bên trái, xã Xuân Lộc có hiện trạng là
P=0813 | X=0092.660-0109.300 | Y=0202.350-0211.670 | 226
P=0813 | X=0415.340-0431.980 | Y=0202.350-0211.670 | 620
P=0813 | X=0451.610-0468.250 | Y=0202.350-0211.670 | 430
P=0813 | X=0505.390-0522.030 | Y=0202.350-0211.670 | 370
P=0813 | X=0112.610-0248.380 | Y=0205.990-0217.230 | đường nhựa, bê tông xi măng:
P=0813 | X=0112.610-0343.690 | Y=0223.510-0234.750 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0813 | X=0112.610-0389.800 | Y=0241.030-0252.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0813 | X=0112.610-0400.020 | Y=0258.790-0270.030 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bàu Gia
P=0813 | X=0112.610-0400.060 | Y=0270.310-0281.550 | Ló - ấp Trung Nghĩa đoạn từ Đường Cây số 2 đến Hết ranh thửa
P=0813 | X=0112.610-0398.860 | Y=0281.860-0293.100 | đất số 259, tờ BĐĐC số 219 về bên phải và hết ranh thửa đất số
P=0813 | X=0112.610-0384.450 | Y=0293.380-0304.620 | 42, tờ BĐĐC số 219 về bên trái, xã Xuân Lộc có hiện trạng là
P=0813 | X=0112.610-0248.380 | Y=0304.900-0316.140 | đường nhựa, bê tông xi măng:
P=0813 | X=0092.660-0109.300 | Y=0315.660-0324.980 | 227
P=0813 | X=0415.340-0431.980 | Y=0315.660-0324.980 | 550
P=0813 | X=0451.610-0468.250 | Y=0315.660-0324.980 | 390
P=0813 | X=0505.390-0522.030 | Y=0315.660-0324.980 | 330
