TABLE=036 | AREA=Xã An Viễn | SECTION=non-agricultural | SEGMENTS=1
P=1292 | X=0111.170-0378.710 | Y=0520.220-0531.460 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1292 | X=0111.170-0376.780 | Y=0531.740-0542.980 | 777 (đường Trảng Bom - Long Thành) đoạn từ Sông Buông
P=1292 | X=0111.170-0362.360 | Y=0543.290-0554.530 | đến Ngã ba cây xăng Xuân Dũng có hiện trạng là đường
P=1292 | X=0111.170-0214.280 | Y=0554.810-0566.050 | nhựa, bê tông xi măng:
P=1292 | X=0094.820-0105.940 | Y=0562.690-0572.010 | 25
P=1292 | X=0406.220-0431.270 | Y=0562.690-0572.010 | 1.000
P=1292 | X=0461.930-0478.570 | Y=0562.690-0572.010 | 700
P=1292 | X=0505.390-0522.030 | Y=0562.690-0572.010 | 600
P=1292 | X=0111.170-0352.280 | Y=0572.330-0583.570 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1292 | X=0111.170-0153.310 | Y=0585.730-0595.050 | >1.000m.
P=1292 | X=0111.170-0334.810 | Y=0601.370-0612.610 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1292 | X=0111.170-0384.680 | Y=0619.150-0630.390 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1292 | X=0111.170-0384.170 | Y=0630.670-0641.910 | ra Đường tỉnh 777 (đường Trảng Bom - Long Thành) đoạn từ
P=1292 | X=0111.170-0377.020 | Y=0642.190-0653.430 | Sông Buông đến Ngã ba cây xăng Xuân Dũng có hiện trạng
P=1292 | X=0111.170-0257.500 | Y=0653.710-0664.950 | là đường nhựa, bê tông xi măng:
P=1292 | X=0094.820-0105.940 | Y=0661.590-0670.910 | 26
P=1292 | X=0406.220-0431.270 | Y=0661.590-0670.910 | 1.900
P=1292 | X=0453.770-0478.820 | Y=0661.590-0670.910 | 1.300
P=1292 | X=0497.230-0522.280 | Y=0661.590-0670.910 | 1.100
P=1292 | X=0111.170-0342.250 | Y=0671.230-0682.470 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1292 | X=0111.170-0352.280 | Y=0688.510-0699.750 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1292 | X=0111.170-0144.690 | Y=0700.050-0711.290 | ≤500m.
P=1293 | X=0111.170-0384.680 | Y=0078.500-0089.740 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1293 | X=0111.170-0384.170 | Y=0090.020-0101.260 | ra Đường tỉnh 777 (đường Trảng Bom - Long Thành) đoạn từ
P=1293 | X=0111.170-0377.020 | Y=0101.540-0112.780 | Sông Buông đến Ngã ba cây xăng Xuân Dũng có hiện trạng
P=1293 | X=0111.170-0257.500 | Y=0113.060-0124.300 | là đường nhựa, bê tông xi măng:
P=1293 | X=0094.820-0342.720 | Y=0129.610-0141.850 | 27 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1293 | X=0406.220-0431.260 | Y=0129.610-0138.930 | 1.300
P=1293 | X=0461.930-0478.570 | Y=0129.610-0138.930 | 910
P=1293 | X=0505.390-0522.030 | Y=0129.610-0138.930 | 780
P=1293 | X=0111.170-0364.480 | Y=0148.130-0159.370 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1293 | X=0111.170-0206.120 | Y=0159.410-0170.650 | >500m đến ≤1.000m.
P=1293 | X=0111.170-0334.340 | Y=0176.930-0188.170 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1293 | X=0111.170-0384.680 | Y=0194.690-0205.930 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1293 | X=0111.170-0384.170 | Y=0206.230-0217.470 | ra Đường tỉnh 777 (đường Trảng Bom - Long Thành) đoạn từ
P=1293 | X=0111.170-0377.020 | Y=0217.750-0228.990 | Sông Buông đến Ngã ba cây xăng Xuân Dũng có hiện trạng
P=1293 | X=0111.170-0257.500 | Y=0229.270-0240.510 | là đường nhựa, bê tông xi măng:
P=1293 | X=0094.820-0105.940 | Y=0237.150-0246.470 | 28
P=1293 | X=0414.380-0431.020 | Y=0237.150-0246.470 | 900
P=1293 | X=0461.930-0478.570 | Y=0237.150-0246.470 | 630
P=1293 | X=0505.390-0522.030 | Y=0237.150-0246.470 | 540
P=1293 | X=0111.170-0352.280 | Y=0246.790-0258.030 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1293 | X=0111.170-0153.310 | Y=0260.190-0269.510 | >1.000m.
P=1293 | X=0111.170-0334.810 | Y=0275.830-0287.070 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1293 | X=0111.170-0217.350 | Y=0293.620-0304.860 | Đường tỉnh 777 (đường
P=1293 | X=0219.430-0382.780 | Y=0299.380-0310.620 | Ngã ba cây xăng Giáp ranh phường
P=1293 | X=0094.820-0191.910 | Y=0307.020-0316.340 | 29 Trảng Bom - Long
P=1293 | X=0406.220-0431.270 | Y=0307.020-0316.340 | 8.100
P=1293 | X=0453.770-0478.820 | Y=0307.020-0316.340 | 5.700
P=1293 | X=0497.230-0522.280 | Y=0307.020-0316.340 | 4.900
P=1293 | X=0219.430-0269.210 | Y=0310.900-0322.140 | Xuân Dũng
P=1293 | X=0300.360-0353.880 | Y=0310.900-0322.140 | Tam Phước
P=1293 | X=0111.170-0142.850 | Y=0318.540-0327.860 | Thành)
P=1293 | X=0111.170-0378.710 | Y=0334.420-0345.660 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1293 | X=0111.170-0372.370 | Y=0345.700-0356.940 | 777 (đường Trảng Bom - Long Thành) đoạn từ Ngã ba cây
P=1293 | X=0111.170-0381.350 | Y=0357.220-0368.460 | xăng Xuân Dũng đến Giáp ranh phường Tam Phước có hiện
P=1293 | X=0111.170-0282.950 | Y=0368.760-0380.000 | trạng là đường nhựa, bê tông xi măng:
P=1293 | X=0094.820-0105.940 | Y=0376.640-0385.960 | 30
P=1293 | X=0406.220-0431.270 | Y=0376.640-0385.960 | 3.200
P=1293 | X=0453.770-0478.820 | Y=0376.640-0385.960 | 2.200
P=1293 | X=0497.230-0522.280 | Y=0376.640-0385.960 | 1.900
P=1293 | X=0111.170-0342.250 | Y=0386.280-0397.520 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1293 | X=0111.170-0352.280 | Y=0403.800-0415.040 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1293 | X=0111.170-0144.690 | Y=0415.320-0426.560 | ≤500m.
P=1293 | X=0111.170-0378.710 | Y=0433.080-0444.320 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1293 | X=0111.170-0372.370 | Y=0444.600-0455.840 | 777 (đường Trảng Bom - Long Thành) đoạn từ Ngã ba cây
P=1293 | X=0111.170-0381.350 | Y=0456.140-0467.380 | xăng Xuân Dũng đến Giáp ranh phường Tam Phước có hiện
P=1293 | X=0111.170-0282.950 | Y=0467.660-0478.900 | trạng là đường nhựa, bê tông xi măng:
P=1293 | X=0094.820-0342.720 | Y=0484.180-0496.420 | 31 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1293 | X=0406.220-0431.270 | Y=0484.180-0493.500 | 2.200
P=1293 | X=0453.770-0478.820 | Y=0484.180-0493.500 | 1.500
P=1293 | X=0497.230-0522.280 | Y=0484.180-0493.500 | 1.300
P=1293 | X=0111.170-0364.480 | Y=0502.460-0513.700 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1293 | X=0111.170-0206.120 | Y=0513.980-0525.220 | >500m đến ≤1.000m.
P=1293 | X=0111.170-0334.340 | Y=0531.500-0542.740 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1293 | X=0111.170-0378.710 | Y=0549.290-0560.530 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1293 | X=0111.170-0372.370 | Y=0560.810-0572.050 | 777 (đường Trảng Bom - Long Thành) đoạn từ Ngã ba cây
P=1293 | X=0111.170-0381.350 | Y=0572.330-0583.570 | xăng Xuân Dũng đến Giáp ranh phường Tam Phước có hiện
P=1293 | X=0111.170-0282.950 | Y=0583.850-0595.090 | trạng là đường nhựa, bê tông xi măng:
P=1293 | X=0094.820-0105.940 | Y=0591.730-0601.050 | 32
P=1293 | X=0406.220-0431.270 | Y=0591.730-0601.050 | 1.500
P=1293 | X=0453.770-0478.820 | Y=0591.730-0601.050 | 1.100
P=1293 | X=0505.390-0522.030 | Y=0591.730-0601.050 | 900
P=1293 | X=0111.170-0352.280 | Y=0601.370-0612.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1293 | X=0111.170-0153.310 | Y=0614.770-0624.090 | >1.000m.
P=1293 | X=0111.170-0334.810 | Y=0630.430-0641.670 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1293 | X=0111.170-0384.680 | Y=0648.190-0659.430 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1293 | X=0111.170-0384.170 | Y=0659.710-0670.950 | ra Đường tỉnh 777 (đường Trảng Bom - Long Thành) đoạn từ
P=1293 | X=0094.820-0366.360 | Y=0671.230-0685.310 | 33 Ngã ba cây xăng Xuân Dũng đến Giáp ranh phường Tam
P=1293 | X=0406.220-0431.270 | Y=0675.990-0685.310 | 2.900
P=1293 | X=0453.770-0478.820 | Y=0675.990-0685.310 | 2.000
P=1293 | X=0497.230-0522.280 | Y=0675.990-0685.310 | 1.700
P=1293 | X=0111.170-0351.370 | Y=0682.510-0693.750 | Phước có hiện trạng là đường nhựa, bê tông xi măng:
P=1293 | X=0111.170-0342.280 | Y=0700.050-0711.290 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1294 | X=0111.170-0352.280 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1294 | X=0111.170-0144.690 | Y=0090.020-0101.260 | ≤500m.
P=1294 | X=0111.170-0384.680 | Y=0107.780-0119.020 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1294 | X=0111.170-0384.170 | Y=0119.330-0130.570 | ra Đường tỉnh 777 (đường Trảng Bom - Long Thành) đoạn từ
P=1294 | X=0111.170-0366.360 | Y=0130.850-0142.090 | Ngã ba cây xăng Xuân Dũng đến Giáp ranh phường Tam
P=1294 | X=0111.170-0351.370 | Y=0142.370-0153.610 | Phước có hiện trạng là đường nhựa, bê tông xi măng:
P=1294 | X=0094.820-0342.720 | Y=0158.890-0170.890 | 34 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1294 | X=0406.220-0431.270 | Y=0158.890-0168.210 | 2.000
P=1294 | X=0453.770-0478.820 | Y=0158.890-0168.210 | 1.400
P=1294 | X=0497.230-0522.280 | Y=0158.890-0168.210 | 1.200
P=1294 | X=0111.170-0364.480 | Y=0177.170-0188.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1294 | X=0111.170-0206.120 | Y=0188.690-0199.930 | >500m đến ≤1.000m.
P=1294 | X=0111.170-0334.340 | Y=0206.230-0217.470 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1294 | X=0111.170-0384.680 | Y=0223.990-0235.230 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1294 | X=0111.170-0384.170 | Y=0235.510-0246.750 | ra Đường tỉnh 777 (đường Trảng Bom - Long Thành) đoạn từ
P=1294 | X=0111.170-0366.360 | Y=0247.030-0258.270 | Ngã ba cây xăng Xuân Dũng đến Giáp ranh phường Tam
P=1294 | X=0111.170-0351.370 | Y=0258.550-0269.790 | Phước có hiện trạng là đường nhựa, bê tông xi măng:
P=1294 | X=0094.820-0105.940 | Y=0266.430-0275.750 | 35
P=1294 | X=0406.220-0431.270 | Y=0266.430-0275.750 | 1.400
P=1294 | X=0461.930-0478.570 | Y=0266.430-0275.750 | 980
P=1294 | X=0505.390-0522.030 | Y=0266.430-0275.750 | 840
P=1294 | X=0111.170-0352.280 | Y=0276.070-0287.310 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1294 | X=0111.170-0153.320 | Y=0289.500-0298.820 | >1.000m.
P=1294 | X=0111.170-0334.810 | Y=0305.140-0316.380 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1294 | X=0111.170-0205.340 | Y=0322.900-0334.140 | Đường vào khu công
P=1294 | X=0300.360-0386.630 | Y=0324.780-0334.100 | Giáp ranh xã Trảng
P=1294 | X=0219.430-0289.630 | Y=0328.660-0339.900 | Đường tỉnh 777
P=1294 | X=0094.820-0105.940 | Y=0330.540-0339.860 | 36
P=1294 | X=0406.220-0431.270 | Y=0330.540-0339.860 | 8.500
P=1294 | X=0453.770-0478.820 | Y=0330.540-0339.860 | 6.000
P=1294 | X=0497.230-0522.280 | Y=0330.540-0339.860 | 5.100
P=1294 | X=0111.170-0194.310 | Y=0334.420-0345.660 | nghiệp Giang Điền
P=1294 | X=0300.360-0320.990 | Y=0336.300-0345.620 | Bom
P=1294 | X=0111.170-0378.690 | Y=0351.940-0363.180 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào
P=1294 | X=0111.170-0366.940 | Y=0363.460-0374.700 | khu công nghiệp Giang Điền đoạn từ Đường tỉnh 777 đến
P=1294 | X=0111.170-0367.410 | Y=0375.000-0386.240 | Giáp ranh xã Trảng Bom có hiện trạng là đường nhựa, bê
P=1294 | X=0111.170-0171.330 | Y=0386.520-0397.760 | tông xi măng:
P=1294 | X=0094.820-0105.940 | Y=0394.400-0403.720 | 37
P=1294 | X=0406.220-0431.270 | Y=0394.400-0403.720 | 3.300
P=1294 | X=0453.770-0478.820 | Y=0394.400-0403.720 | 2.300
P=1294 | X=0497.230-0522.280 | Y=0394.400-0403.720 | 2.000
P=1294 | X=0111.170-0342.250 | Y=0404.040-0415.280 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1294 | X=0111.170-0352.280 | Y=0421.560-0432.800 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1294 | X=0111.170-0144.690 | Y=0433.080-0444.320 | ≤500m.
P=1294 | X=0111.170-0378.690 | Y=0450.860-0462.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào
P=1294 | X=0111.170-0366.940 | Y=0462.380-0473.620 | khu công nghiệp Giang Điền đoạn từ Đường tỉnh 777 đến
P=1294 | X=0111.170-0367.410 | Y=0473.900-0485.140 | Giáp ranh xã Trảng Bom có hiện trạng là đường nhựa, bê
P=1294 | X=0111.170-0171.330 | Y=0485.420-0496.660 | tông xi măng:
P=1294 | X=0094.820-0342.720 | Y=0501.940-0514.180 | 38 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1294 | X=0406.220-0431.270 | Y=0501.940-0511.260 | 2.100
P=1294 | X=0453.770-0478.820 | Y=0501.940-0511.260 | 1.500
P=1294 | X=0497.230-0522.280 | Y=0501.940-0511.260 | 1.300
P=1294 | X=0111.170-0364.480 | Y=0520.220-0531.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1294 | X=0111.170-0206.120 | Y=0531.740-0542.980 | >500m đến ≤1.000m.
P=1294 | X=0111.170-0334.340 | Y=0549.290-0560.530 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1294 | X=0111.170-0378.690 | Y=0567.050-0578.290 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào
P=1294 | X=0111.170-0366.940 | Y=0578.570-0589.810 | khu công nghiệp Giang Điền đoạn từ Đường tỉnh 777 đến
P=1294 | X=0111.170-0367.410 | Y=0590.090-0601.330 | Giáp ranh xã Trảng Bom có hiện trạng là đường nhựa, bê
P=1294 | X=0111.170-0171.330 | Y=0601.610-0612.850 | tông xi măng:
P=1294 | X=0094.820-0105.940 | Y=0609.490-0618.810 | 39
P=1294 | X=0406.220-0431.270 | Y=0609.490-0618.810 | 1.400
P=1294 | X=0461.930-0478.570 | Y=0609.490-0618.810 | 980
P=1294 | X=0505.390-0522.030 | Y=0609.490-0618.810 | 840
P=1294 | X=0111.170-0352.280 | Y=0619.150-0630.390 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1294 | X=0111.170-0153.310 | Y=0632.550-0641.870 | >1.000m.
P=1294 | X=0111.170-0334.810 | Y=0648.190-0659.430 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1294 | X=0111.170-0384.680 | Y=0665.950-0677.190 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1294 | X=0111.170-0374.140 | Y=0677.470-0688.710 | ra Đường vào khu công nghiệp Giang Điền đoạn từ Đường
P=1294 | X=0094.820-0105.940 | Y=0685.110-0694.430 | 40
P=1294 | X=0406.220-0431.270 | Y=0685.110-0694.430 | 3.000
P=1294 | X=0453.770-0478.820 | Y=0685.110-0694.430 | 2.100
P=1294 | X=0497.230-0522.280 | Y=0685.110-0694.430 | 1.800
P=1294 | X=0111.170-0382.540 | Y=0688.750-0699.990 | tỉnh 777 đến Giáp ranh xã Trảng Bom có hiện trạng là đường
P=1294 | X=0111.170-0214.280 | Y=0700.290-0711.530 | nhựa, bê tông xi măng:
P=1295 | X=0111.170-0342.250 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1295 | X=0111.170-0352.280 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1295 | X=0111.170-0144.690 | Y=0107.540-0118.780 | ≤500m.
P=1295 | X=0111.170-0384.710 | Y=0125.330-0136.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1295 | X=0111.170-0374.140 | Y=0136.850-0148.090 | ra Đường vào khu công nghiệp Giang Điền đoạn từ Đường
P=1295 | X=0111.170-0382.540 | Y=0148.370-0159.610 | tỉnh 777 đến Giáp ranh xã Trảng Bom có hiện trạng là đường
P=1295 | X=0111.170-0214.280 | Y=0159.650-0170.890 | nhựa, bê tông xi măng:
P=1295 | X=0094.820-0342.720 | Y=0176.410-0188.410 | 41 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1295 | X=0406.220-0431.270 | Y=0176.410-0185.730 | 1.900
P=1295 | X=0453.770-0478.820 | Y=0176.410-0185.730 | 1.300
P=1295 | X=0497.230-0522.280 | Y=0176.410-0185.730 | 1.100
P=1295 | X=0111.170-0364.480 | Y=0194.690-0205.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1295 | X=0111.170-0206.150 | Y=0206.230-0217.470 | >500m đến ≤1.000m.
P=1295 | X=0111.170-0334.340 | Y=0223.750-0234.990 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1295 | X=0111.170-0384.680 | Y=0241.510-0252.750 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1295 | X=0111.170-0374.140 | Y=0253.030-0264.270 | ra Đường vào khu công nghiệp Giang Điền đoạn từ Đường
P=1295 | X=0111.170-0382.540 | Y=0264.550-0275.790 | tỉnh 777 đến Giáp ranh xã Trảng Bom có hiện trạng là đường
P=1295 | X=0111.170-0214.290 | Y=0276.070-0287.310 | nhựa, bê tông xi măng:
P=1295 | X=0094.820-0105.940 | Y=0283.980-0293.300 | 42
P=1295 | X=0406.220-0431.270 | Y=0283.980-0293.300 | 1.300
P=1295 | X=0461.930-0478.570 | Y=0283.980-0293.300 | 910
P=1295 | X=0505.390-0522.030 | Y=0283.980-0293.300 | 780
P=1295 | X=0111.170-0352.280 | Y=0293.620-0304.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1295 | X=0111.170-0153.310 | Y=0307.020-0316.340 | >1.000m.
P=1295 | X=0111.170-0334.810 | Y=0322.660-0333.900 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1295 | X=0219.430-0289.150 | Y=0340.420-0351.660 | Đường vào khu
P=1295 | X=0219.430-0274.020 | Y=0353.580-0362.900 | công nghiệp
P=1295 | X=0094.820-0193.590 | Y=0357.460-0368.700 | 43 Đường ấp 5 - ấp 6
P=1295 | X=0406.220-0431.270 | Y=0359.340-0368.660 | 4.000
P=1295 | X=0453.770-0478.820 | Y=0359.340-0368.660 | 2.800
P=1295 | X=0497.230-0522.280 | Y=0359.340-0368.660 | 2.400
P=1295 | X=0219.430-0298.980 | Y=0363.220-0374.460 | Giang Điền về hai
P=1295 | X=0219.430-0266.720 | Y=0376.640-0385.960 | phía 500m
P=1295 | X=0111.170-0381.820 | Y=0392.520-0403.760 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ấp 5
P=1295 | X=0111.170-0385.900 | Y=0404.040-0415.280 | - ấp 6 đoạn từ Đường vào khu công nghiệp Giang Điền về hai
P=1295 | X=0111.170-0367.930 | Y=0415.560-0426.800 | phía 500m có hiện trạng là đường nhựa, bê tông xi măng:
P=1295 | X=0094.820-0105.940 | Y=0429.200-0438.520 | 44
P=1295 | X=0406.220-0431.270 | Y=0429.200-0438.520 | 2.000
P=1295 | X=0453.770-0478.820 | Y=0429.200-0438.520 | 1.400
P=1295 | X=0497.230-0522.280 | Y=0429.200-0438.520 | 1.200
P=1295 | X=0111.170-0342.250 | Y=0433.080-0444.320 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1295 | X=0111.170-0352.280 | Y=0450.620-0461.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1295 | X=0111.170-0144.690 | Y=0462.140-0473.380 | ≤500m.
P=1295 | X=0111.170-0381.820 | Y=0479.900-0491.140 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ấp 5
P=1295 | X=0111.170-0385.900 | Y=0491.420-0502.660 | - ấp 6 đoạn từ Đường vào khu công nghiệp Giang Điền về hai
P=1295 | X=0111.170-0367.930 | Y=0502.940-0514.180 | phía 500m có hiện trạng là đường nhựa, bê tông xi măng:
P=1295 | X=0094.820-0342.720 | Y=0520.220-0534.540 | 45 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1295 | X=0406.220-0431.270 | Y=0525.220-0534.540 | 1.700
P=1295 | X=0453.770-0478.820 | Y=0525.220-0534.540 | 1.200
P=1295 | X=0497.230-0522.280 | Y=0525.220-0534.540 | 1.000
P=1295 | X=0111.170-0364.480 | Y=0537.770-0549.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1295 | X=0111.170-0206.120 | Y=0549.290-0560.530 | >500m đến ≤1.000m.
P=1295 | X=0111.170-0334.340 | Y=0566.810-0578.050 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1295 | X=0111.170-0381.820 | Y=0584.570-0595.810 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ấp 5
P=1295 | X=0111.170-0385.900 | Y=0596.090-0607.330 | - ấp 6 đoạn từ Đường vào khu công nghiệp Giang Điền về hai
P=1295 | X=0111.170-0367.930 | Y=0607.610-0618.850 | phía 500m có hiện trạng là đường nhựa, bê tông xi măng:
P=1295 | X=0094.820-0105.940 | Y=0621.270-0630.590 | 46
P=1295 | X=0406.220-0431.270 | Y=0621.270-0630.590 | 1.200
P=1295 | X=0461.930-0478.570 | Y=0621.270-0630.590 | 840
P=1295 | X=0505.390-0522.030 | Y=0621.270-0630.590 | 720
P=1295 | X=0111.170-0352.280 | Y=0625.150-0636.390 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1295 | X=0111.170-0153.310 | Y=0638.550-0647.870 | >1.000m.
P=1295 | X=0111.170-0334.810 | Y=0654.190-0665.430 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1295 | X=0111.170-0384.680 | Y=0671.950-0683.190 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1295 | X=0111.170-0371.980 | Y=0683.470-0694.710 | ra Đường ấp 5 - ấp 6 đoạn từ Đường vào khu công nghiệp
P=1295 | X=0094.820-0105.940 | Y=0691.110-0700.430 | 47
P=1295 | X=0406.220-0431.270 | Y=0691.110-0700.430 | 1.800
P=1295 | X=0453.770-0478.820 | Y=0691.110-0700.430 | 1.300
P=1295 | X=0497.230-0522.280 | Y=0691.110-0700.430 | 1.100
P=1295 | X=0111.170-0373.510 | Y=0694.750-0705.990 | Giang Điền về hai phía 500m có hiện trạng là đường nhựa,
P=1295 | X=0111.170-0185.250 | Y=0706.290-0717.530 | bê tông xi măng:
P=1296 | X=0111.170-0342.250 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1296 | X=0111.170-0352.280 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1296 | X=0111.170-0144.690 | Y=0107.540-0118.780 | ≤500m.
P=1296 | X=0111.170-0384.680 | Y=0125.330-0136.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1296 | X=0111.170-0371.980 | Y=0136.850-0148.090 | ra Đường ấp 5 - ấp 6 đoạn từ Đường vào khu công nghiệp
P=1296 | X=0111.170-0373.510 | Y=0148.370-0159.610 | Giang Điền về hai phía 500m có hiện trạng là đường nhựa,
P=1296 | X=0111.170-0185.250 | Y=0159.650-0170.890 | bê tông xi măng:
P=1296 | X=0094.820-0342.720 | Y=0176.410-0188.410 | 48 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1296 | X=0406.220-0431.270 | Y=0176.410-0185.730 | 1.500
P=1296 | X=0453.770-0478.820 | Y=0176.410-0185.730 | 1.100
P=1296 | X=0505.390-0522.030 | Y=0176.410-0185.730 | 900
P=1296 | X=0111.170-0364.480 | Y=0194.690-0205.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1296 | X=0111.170-0206.120 | Y=0206.230-0217.470 | >500m đến ≤1.000m.
P=1296 | X=0111.170-0334.340 | Y=0223.750-0234.990 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1296 | X=0111.170-0384.680 | Y=0241.510-0252.750 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1296 | X=0111.170-0371.980 | Y=0253.030-0264.270 | ra Đường ấp 5 - ấp 6 đoạn từ Đường vào khu công nghiệp
P=1296 | X=0111.170-0373.510 | Y=0264.550-0275.790 | Giang Điền về hai phía 500m có hiện trạng là đường nhựa,
P=1296 | X=0111.170-0185.250 | Y=0276.070-0287.310 | bê tông xi măng:
P=1296 | X=0094.820-0105.940 | Y=0283.980-0293.300 | 49
P=1296 | X=0406.220-0431.270 | Y=0283.980-0293.300 | 1.100
P=1296 | X=0461.930-0478.570 | Y=0283.980-0293.300 | 770
P=1296 | X=0505.390-0522.030 | Y=0283.980-0293.300 | 660
P=1296 | X=0111.170-0352.280 | Y=0293.620-0304.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1296 | X=0111.170-0153.310 | Y=0307.020-0316.340 | >1.000m.
P=1296 | X=0111.170-0334.810 | Y=0322.660-0333.900 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1296 | X=0300.360-0377.710 | Y=0342.300-0351.620 | Giáp sông Buông
P=1296 | X=0300.360-0383.510 | Y=0351.700-0362.940 | trừ đoạn từ đường
P=1296 | X=0219.430-0288.480 | Y=0357.460-0368.700 | Đường Mai Chí
P=1296 | X=0094.820-0193.590 | Y=0363.220-0374.460 | 50 Đường ấp 5 - ấp 6
P=1296 | X=0300.360-0359.960 | Y=0365.100-0374.420 | vào khu công
P=1296 | X=0406.220-0431.270 | Y=0365.100-0374.420 | 3.500
P=1296 | X=0453.770-0478.820 | Y=0365.100-0374.420 | 2.500
P=1296 | X=0497.230-0522.280 | Y=0365.100-0374.420 | 2.100
P=1296 | X=0219.430-0236.820 | Y=0370.880-0380.200 | Thọ
P=1296 | X=0300.360-0383.500 | Y=0374.760-0386.000 | nghiệp Giang Điền
P=1296 | X=0300.360-0377.150 | Y=0388.160-0397.480 | về hai phía 500m
