TABLE=019 | AREA=Phường Long Khánh | SECTION=non-agricultural | SEGMENTS=1
P=0637 | X=0461.210-0486.260 | Y=0546.370-0555.690 | 1.300
P=0637 | X=0497.230-0522.280 | Y=0546.370-0555.690 | 1.100
P=0637 | X=0106.850-0329.760 | Y=0556.010-0567.250 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0637 | X=0106.850-0384.020 | Y=0573.530-0584.770 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0637 | X=0106.850-0392.110 | Y=0591.290-0602.530 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0637 | X=0106.850-0398.150 | Y=0602.810-0614.050 | Đường Ngô Quyền đoạn từ Đường Phạm Thế Hiển đến Giáp cầu
P=0637 | X=0106.850-0370.840 | Y=0614.330-0625.570 | Xuân Thanh có hiện trạng là đường nhựa, bê tông xi măng:
P=0637 | X=0090.020-0330.020 | Y=0631.870-0646.190 | 216 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0637 | X=0424.970-0450.020 | Y=0636.870-0646.190 | 1.200
P=0637 | X=0469.370-0486.010 | Y=0636.870-0646.190 | 840
P=0637 | X=0505.390-0522.030 | Y=0636.870-0646.190 | 720
P=0637 | X=0106.850-0413.270 | Y=0649.390-0660.630 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0637 | X=0106.850-0140.370 | Y=0660.910-0672.150 | ≤600m.
P=0637 | X=0106.850-0330.020 | Y=0678.430-0689.670 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0637 | X=0106.850-0392.140 | Y=0696.190-0707.430 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0637 | X=0090.020-0106.660 | Y=0703.860-0713.180 | 217
P=0637 | X=0433.130-0449.770 | Y=0703.860-0713.180 | 880
P=0637 | X=0469.370-0486.010 | Y=0703.860-0713.180 | 620
P=0637 | X=0505.390-0522.030 | Y=0703.860-0713.180 | 530
P=0637 | X=0106.850-0398.150 | Y=0707.730-0718.970 | Đường Ngô Quyền đoạn từ Đường Phạm Thế Hiển đến Giáp cầu
P=0638 | X=0106.850-0370.820 | Y=0072.500-0083.740 | Xuân Thanh có hiện trạng là đường nhựa, bê tông xi măng:
P=0638 | X=0106.850-0384.260 | Y=0090.020-0101.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0638 | X=0106.850-0333.140 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0638 | X=0235.540-0319.640 | Y=0125.330-0136.570 | Đường Hồng Thập
P=0638 | X=0090.020-0224.800 | Y=0131.090-0142.330 | 218 Đường Nguyễn Hữu Cảnh
P=0638 | X=0322.200-0413.980 | Y=0131.090-0142.330 | Đường Trương Định
P=0638 | X=0424.970-0450.020 | Y=0132.970-0142.290 | 7.000
P=0638 | X=0461.210-0486.260 | Y=0132.970-0142.290 | 4.900
P=0638 | X=0497.230-0522.280 | Y=0132.970-0142.290 | 4.200
P=0638 | X=0235.540-0248.520 | Y=0138.730-0148.050 | Tự
P=0638 | X=0106.850-0414.710 | Y=0154.610-0165.850 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn Hữu
P=0638 | X=0106.850-0397.660 | Y=0166.130-0177.370 | Cảnh đoạn từ Đường Hồng Thập Tự đến Đường Trương Định có
P=0638 | X=0106.850-0300.460 | Y=0177.410-0188.650 | hiện trạng là đường nhựa, bê tông xi măng:
P=0638 | X=0090.020-0106.660 | Y=0185.290-0194.610 | 219
P=0638 | X=0424.970-0450.020 | Y=0185.290-0194.610 | 3.500
P=0638 | X=0461.210-0486.260 | Y=0185.290-0194.610 | 2.500
P=0638 | X=0497.230-0522.280 | Y=0185.290-0194.610 | 2.100
P=0638 | X=0106.850-0329.760 | Y=0194.930-0206.170 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0638 | X=0106.850-0384.020 | Y=0212.470-0223.710 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0638 | X=0106.850-0414.710 | Y=0230.230-0241.470 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn Hữu
P=0638 | X=0106.850-0397.660 | Y=0241.750-0252.990 | Cảnh đoạn từ Đường Hồng Thập Tự đến Đường Trương Định có
P=0638 | X=0106.850-0300.460 | Y=0253.270-0264.510 | hiện trạng là đường nhựa, bê tông xi măng:
P=0638 | X=0090.020-0330.020 | Y=0270.790-0284.870 | 220 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0638 | X=0424.970-0450.020 | Y=0275.550-0284.870 | 2.100
P=0638 | X=0461.210-0486.260 | Y=0275.550-0284.870 | 1.500
P=0638 | X=0497.230-0522.280 | Y=0275.550-0284.870 | 1.300
P=0638 | X=0106.850-0413.270 | Y=0288.340-0299.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0638 | X=0106.850-0140.370 | Y=0299.860-0311.100 | ≤600m.
P=0638 | X=0106.850-0330.020 | Y=0317.380-0328.620 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0638 | X=0106.850-0414.710 | Y=0335.140-0346.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn Hữu
P=0638 | X=0106.850-0397.660 | Y=0346.660-0357.900 | Cảnh đoạn từ Đường Hồng Thập Tự đến Đường Trương Định có
P=0638 | X=0106.850-0300.460 | Y=0357.940-0369.180 | hiện trạng là đường nhựa, bê tông xi măng:
P=0638 | X=0090.020-0106.660 | Y=0365.820-0375.140 | 221
P=0638 | X=0424.970-0450.020 | Y=0365.820-0375.140 | 1.400
P=0638 | X=0469.370-0486.010 | Y=0365.820-0375.140 | 980
P=0638 | X=0505.390-0522.030 | Y=0365.820-0375.140 | 840
P=0638 | X=0106.850-0384.260 | Y=0375.480-0386.720 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0638 | X=0106.850-0330.490 | Y=0393.000-0404.240 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0638 | X=0106.850-0392.110 | Y=0410.760-0422.000 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0638 | X=0106.850-0383.740 | Y=0422.280-0433.520 | Đường Nguyễn Hữu Cảnh đoạn từ Đường Hồng Thập Tự đến
P=0638 | X=0106.850-0408.270 | Y=0433.800-0445.040 | Đường Trương Định có hiện trạng là đường nhựa, bê tông xi măng:
P=0638 | X=0090.020-0106.660 | Y=0441.680-0451.000 | 222
P=0638 | X=0424.970-0450.020 | Y=0441.680-0451.000 | 3.200
P=0638 | X=0461.210-0486.260 | Y=0441.680-0451.000 | 2.200
P=0638 | X=0497.230-0522.280 | Y=0441.680-0451.000 | 1.900
P=0638 | X=0106.850-0329.760 | Y=0451.340-0462.580 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0638 | X=0106.850-0384.050 | Y=0468.860-0480.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0638 | X=0106.850-0392.110 | Y=0486.620-0497.860 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0638 | X=0106.850-0383.740 | Y=0498.140-0509.380 | Đường Nguyễn Hữu Cảnh đoạn từ Đường Hồng Thập Tự đến
P=0638 | X=0106.850-0408.270 | Y=0509.660-0520.900 | Đường Trương Định có hiện trạng là đường nhựa, bê tông xi măng:
P=0638 | X=0090.020-0330.040 | Y=0527.180-0541.260 | 223 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0638 | X=0424.970-0450.020 | Y=0531.940-0541.260 | 1.900
P=0638 | X=0461.210-0486.260 | Y=0531.940-0541.260 | 1.300
P=0638 | X=0497.230-0522.280 | Y=0531.940-0541.260 | 1.100
P=0638 | X=0106.850-0413.270 | Y=0544.490-0555.730 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0638 | X=0106.850-0140.370 | Y=0556.010-0567.250 | ≤600m.
P=0638 | X=0106.850-0330.020 | Y=0573.530-0584.770 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0638 | X=0106.850-0392.110 | Y=0591.290-0602.530 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0638 | X=0106.850-0383.740 | Y=0602.810-0614.050 | Đường Nguyễn Hữu Cảnh đoạn từ Đường Hồng Thập Tự đến
P=0638 | X=0106.850-0408.270 | Y=0614.330-0625.570 | Đường Trương Định có hiện trạng là đường nhựa, bê tông xi măng:
P=0638 | X=0090.020-0106.660 | Y=0622.230-0631.550 | 224
P=0638 | X=0424.970-0450.020 | Y=0622.230-0631.550 | 1.300
P=0638 | X=0469.370-0486.010 | Y=0622.230-0631.550 | 910
P=0638 | X=0505.390-0522.030 | Y=0622.230-0631.550 | 780
P=0638 | X=0106.850-0384.260 | Y=0631.870-0643.110 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0638 | X=0106.850-0333.140 | Y=0649.390-0660.630 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0638 | X=0235.540-0293.950 | Y=0667.150-0678.390 | Đường Hùng
P=0638 | X=0090.020-0218.080 | Y=0672.910-0684.150 | 225 Đường Trần Quang Diệu
P=0638 | X=0322.200-0413.750 | Y=0672.910-0684.150 | Đường Bùi Thị Xuân
P=0638 | X=0424.970-0450.010 | Y=0674.790-0684.110 | 8.400
P=0638 | X=0461.210-0486.260 | Y=0674.790-0684.110 | 5.900
P=0638 | X=0497.230-0522.280 | Y=0674.790-0684.110 | 5.000
P=0638 | X=0235.540-0266.820 | Y=0678.670-0689.910 | Vương
P=0638 | X=0106.850-0411.350 | Y=0696.430-0707.670 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trần Quang
P=0638 | X=0090.020-0106.660 | Y=0704.100-0713.420 | 226
P=0638 | X=0424.970-0450.020 | Y=0704.100-0713.420 | 4.200
P=0638 | X=0461.210-0486.260 | Y=0704.100-0713.420 | 2.900
P=0638 | X=0497.230-0522.280 | Y=0704.100-0713.420 | 2.500
P=0638 | X=0106.850-0408.460 | Y=0707.970-0719.210 | Diệu đoạn từ Đường Hùng Vương đến Đường Bùi Thị Xuân có hiện
P=0639 | X=0106.850-0278.630 | Y=0072.500-0083.740 | trạng là đường nhựa, bê tông xi măng:
P=0639 | X=0106.850-0329.760 | Y=0090.020-0101.260 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0639 | X=0106.850-0384.020 | Y=0107.540-0118.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0639 | X=0106.850-0411.350 | Y=0125.330-0136.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trần Quang
P=0639 | X=0106.850-0408.460 | Y=0136.850-0148.090 | Diệu đoạn từ Đường Hùng Vương đến Đường Bùi Thị Xuân có hiện
P=0639 | X=0106.850-0278.630 | Y=0148.370-0159.610 | trạng là đường nhựa, bê tông xi măng:
P=0639 | X=0090.020-0330.030 | Y=0165.650-0179.970 | 227 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0639 | X=0424.970-0450.020 | Y=0170.650-0179.970 | 2.800
P=0639 | X=0461.210-0486.260 | Y=0170.650-0179.970 | 2.000
P=0639 | X=0497.230-0522.280 | Y=0170.650-0179.970 | 1.700
P=0639 | X=0106.850-0413.270 | Y=0183.170-0194.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0639 | X=0106.850-0140.370 | Y=0194.690-0205.930 | ≤600m.
P=0639 | X=0106.850-0330.020 | Y=0212.230-0223.470 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0639 | X=0106.850-0411.350 | Y=0229.990-0241.230 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trần Quang
P=0639 | X=0106.850-0408.460 | Y=0241.510-0252.750 | Diệu đoạn từ Đường Hùng Vương đến Đường Bùi Thị Xuân có hiện
P=0639 | X=0106.850-0278.630 | Y=0253.030-0264.270 | trạng là đường nhựa, bê tông xi măng:
P=0639 | X=0090.020-0106.660 | Y=0260.910-0270.230 | 228
P=0639 | X=0424.970-0450.020 | Y=0260.910-0270.230 | 1.700
P=0639 | X=0461.210-0486.260 | Y=0260.910-0270.230 | 1.200
P=0639 | X=0497.230-0522.280 | Y=0260.910-0270.230 | 1.000
P=0639 | X=0106.850-0384.260 | Y=0270.550-0281.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0639 | X=0106.850-0330.490 | Y=0288.100-0299.340 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0639 | X=0106.850-0392.110 | Y=0305.860-0317.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0639 | X=0106.850-0404.150 | Y=0317.380-0328.620 | Đường Trần Quang Diệu đoạn từ Đường Hùng Vương đến Đường
P=0639 | X=0106.850-0373.930 | Y=0328.900-0340.140 | Bùi Thị Xuân có hiện trạng là đường nhựa, bê tông xi măng:
P=0639 | X=0090.020-0106.660 | Y=0336.780-0346.100 | 229
P=0639 | X=0424.970-0450.020 | Y=0336.780-0346.100 | 3.800
P=0639 | X=0461.210-0486.260 | Y=0336.780-0346.100 | 2.700
P=0639 | X=0497.230-0522.280 | Y=0336.780-0346.100 | 2.300
P=0639 | X=0106.850-0329.760 | Y=0346.420-0357.660 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0639 | X=0106.850-0384.020 | Y=0363.700-0374.940 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0639 | X=0106.850-0392.110 | Y=0381.480-0392.720 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0639 | X=0106.850-0404.150 | Y=0393.000-0404.240 | Đường Trần Quang Diệu đoạn từ Đường Hùng Vương đến Đường
P=0639 | X=0106.850-0373.930 | Y=0404.520-0415.760 | Bùi Thị Xuân có hiện trạng là đường nhựa, bê tông xi măng:
P=0639 | X=0090.020-0330.020 | Y=0422.040-0436.360 | 230 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0639 | X=0424.970-0450.020 | Y=0427.040-0436.360 | 2.500
P=0639 | X=0461.210-0486.260 | Y=0427.040-0436.360 | 1.800
P=0639 | X=0497.230-0522.280 | Y=0427.040-0436.360 | 1.500
P=0639 | X=0106.850-0413.270 | Y=0439.560-0450.800 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0639 | X=0106.850-0140.370 | Y=0451.100-0462.340 | ≤600m.
P=0639 | X=0106.850-0330.020 | Y=0468.620-0479.860 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0639 | X=0106.850-0392.110 | Y=0486.380-0497.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0639 | X=0106.850-0404.150 | Y=0497.900-0509.140 | Đường Trần Quang Diệu đoạn từ Đường Hùng Vương đến Đường
P=0639 | X=0106.850-0373.950 | Y=0509.420-0520.660 | Bùi Thị Xuân có hiện trạng là đường nhựa, bê tông xi măng:
P=0639 | X=0090.020-0106.660 | Y=0517.300-0526.620 | 231
P=0639 | X=0424.970-0450.020 | Y=0517.300-0526.620 | 1.500
P=0639 | X=0461.210-0486.260 | Y=0517.300-0526.620 | 1.100
P=0639 | X=0505.390-0522.030 | Y=0517.300-0526.620 | 900
P=0639 | X=0106.850-0384.260 | Y=0526.940-0538.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0639 | X=0106.850-0333.140 | Y=0544.250-0555.490 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0639 | X=0235.540-0299.480 | Y=0562.010-0573.250 | Đường Hồ Thị
P=0639 | X=0090.020-0210.870 | Y=0567.770-0579.010 | 232 Đường Phạm Thế Hiển
P=0639 | X=0322.200-0407.510 | Y=0567.770-0579.010 | Đường Ngô Quyền
P=0639 | X=0424.970-0450.020 | Y=0569.650-0578.970 | 3.500
P=0639 | X=0461.210-0486.260 | Y=0569.650-0578.970 | 2.500
P=0639 | X=0497.230-0522.280 | Y=0569.650-0578.970 | 2.100
P=0639 | X=0235.540-0267.290 | Y=0573.530-0584.770 | Hương
P=0639 | X=0106.850-0404.390 | Y=0591.290-0602.530 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phạm Thế
P=0639 | X=0106.850-0408.220 | Y=0602.810-0614.050 | Hiển đoạn từ Đường Hồ Thị Hương đến Đường Ngô Quyền có hiện
P=0639 | X=0106.850-0278.630 | Y=0614.330-0625.570 | trạng là đường nhựa, bê tông xi măng:
P=0639 | X=0090.020-0106.660 | Y=0622.230-0631.550 | 233
P=0639 | X=0424.970-0450.020 | Y=0622.230-0631.550 | 1.700
P=0639 | X=0461.210-0486.260 | Y=0622.230-0631.550 | 1.200
P=0639 | X=0497.230-0522.280 | Y=0622.230-0631.550 | 1.000
P=0639 | X=0106.850-0329.760 | Y=0631.870-0643.110 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0639 | X=0106.850-0384.020 | Y=0649.390-0660.630 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0639 | X=0106.850-0404.390 | Y=0667.150-0678.390 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phạm Thế
P=0639 | X=0106.850-0408.220 | Y=0678.670-0689.910 | Hiển đoạn từ Đường Hồ Thị Hương đến Đường Ngô Quyền có hiện
P=0639 | X=0090.020-0278.630 | Y=0689.190-0701.430 | 234 trạng là đường nhựa, bê tông xi măng:
P=0639 | X=0424.970-0450.020 | Y=0689.190-0698.510 | 1.400
P=0639 | X=0469.370-0486.010 | Y=0689.190-0698.510 | 980
P=0639 | X=0505.390-0522.030 | Y=0689.190-0698.510 | 840
P=0639 | X=0106.850-0330.020 | Y=0707.730-0718.970 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0640 | X=0106.850-0413.270 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0640 | X=0106.850-0140.370 | Y=0090.020-0101.260 | ≤600m.
P=0640 | X=0106.850-0330.020 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0640 | X=0106.850-0404.390 | Y=0125.330-0136.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phạm Thế
P=0640 | X=0106.850-0408.220 | Y=0136.850-0148.090 | Hiển đoạn từ Đường Hồ Thị Hương đến Đường Ngô Quyền có hiện
P=0640 | X=0106.850-0278.630 | Y=0148.370-0159.610 | trạng là đường nhựa, bê tông xi măng:
P=0640 | X=0090.020-0106.660 | Y=0156.250-0165.570 | 235
P=0640 | X=0424.970-0450.020 | Y=0156.250-0165.570 | 1.300
P=0640 | X=0469.370-0486.010 | Y=0156.250-0165.570 | 910
P=0640 | X=0505.390-0522.030 | Y=0156.250-0165.570 | 780
P=0640 | X=0106.850-0384.260 | Y=0165.650-0176.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0640 | X=0106.850-0330.490 | Y=0183.170-0194.410 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0640 | X=0106.850-0392.110 | Y=0200.950-0212.190 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0640 | X=0106.850-0402.950 | Y=0212.470-0223.710 | Đường Phạm Thế Hiển đoạn từ Đường Hồ Thị Hương đến Đường
P=0640 | X=0106.850-0366.980 | Y=0223.990-0235.230 | Ngô Quyền có hiện trạng là đường nhựa, bê tông xi măng:
P=0640 | X=0090.020-0106.660 | Y=0231.870-0241.190 | 236
P=0640 | X=0424.970-0450.020 | Y=0231.870-0241.190 | 1.500
P=0640 | X=0461.210-0486.260 | Y=0231.870-0241.190 | 1.100
P=0640 | X=0505.390-0522.030 | Y=0231.870-0241.190 | 900
P=0640 | X=0106.850-0329.760 | Y=0241.510-0252.750 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0640 | X=0106.850-0384.020 | Y=0259.030-0270.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0640 | X=0106.850-0392.110 | Y=0276.790-0288.030 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0640 | X=0106.850-0402.950 | Y=0288.340-0299.580 | Đường Phạm Thế Hiển đoạn từ Đường Hồ Thị Hương đến Đường
P=0640 | X=0106.850-0366.980 | Y=0299.860-0311.100 | Ngô Quyền có hiện trạng là đường nhựa, bê tông xi măng:
P=0640 | X=0090.020-0330.020 | Y=0317.380-0331.460 | 237 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0640 | X=0424.970-0450.020 | Y=0322.140-0331.460 | 1.300
P=0640 | X=0469.370-0486.010 | Y=0322.140-0331.460 | 910
P=0640 | X=0505.390-0522.030 | Y=0322.140-0331.460 | 780
P=0640 | X=0106.850-0413.270 | Y=0334.900-0346.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0640 | X=0106.850-0140.370 | Y=0346.420-0357.660 | ≤600m.
P=0640 | X=0106.850-0330.020 | Y=0363.700-0374.940 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0640 | X=0106.850-0392.110 | Y=0381.480-0392.720 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0640 | X=0106.850-0402.950 | Y=0393.000-0404.240 | Đường Phạm Thế Hiển đoạn từ Đường Hồ Thị Hương đến Đường
P=0640 | X=0106.850-0366.980 | Y=0404.520-0415.760 | Ngô Quyền có hiện trạng là đường nhựa, bê tông xi măng:
P=0640 | X=0090.020-0106.660 | Y=0412.400-0421.720 | 238
P=0640 | X=0424.970-0450.020 | Y=0412.400-0421.720 | 1.200
P=0640 | X=0469.370-0486.010 | Y=0412.400-0421.720 | 840
P=0640 | X=0505.390-0522.030 | Y=0412.400-0421.720 | 720
P=0640 | X=0106.850-0384.260 | Y=0422.040-0433.280 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0640 | X=0106.850-0333.140 | Y=0439.560-0450.800 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0640 | X=0090.020-0198.400 | Y=0457.340-0468.580 | 239 Đường Bùi Thị Xuân
P=0640 | X=0235.540-0414.450 | Y=0457.340-0468.580 | Đường 21 tháng 4 Đường Hùng Vương
P=0640 | X=0424.970-0450.020 | Y=0459.220-0468.540 | 5.600
P=0640 | X=0461.210-0486.260 | Y=0459.220-0468.540 | 3.900
P=0640 | X=0497.230-0522.280 | Y=0459.220-0468.540 | 3.400
P=0640 | X=0106.850-0415.190 | Y=0475.100-0486.340 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bùi Thị Xuân
P=0640 | X=0106.850-0411.580 | Y=0486.620-0497.860 | đoạn từ Đường 21 tháng 4 đến Đường Hùng Vương có hiện trạng là
P=0640 | X=0106.850-0242.600 | Y=0498.140-0509.380 | đường nhựa, bê tông xi măng:
P=0640 | X=0090.020-0106.660 | Y=0506.020-0515.340 | 240
P=0640 | X=0424.970-0450.020 | Y=0506.020-0515.340 | 2.800
P=0640 | X=0461.210-0486.260 | Y=0506.020-0515.340 | 2.000
P=0640 | X=0497.230-0522.280 | Y=0506.020-0515.340 | 1.700
P=0640 | X=0106.850-0329.760 | Y=0515.660-0526.900 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0640 | X=0106.850-0384.020 | Y=0533.210-0544.450 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0640 | X=0106.850-0415.190 | Y=0550.970-0562.210 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bùi Thị Xuân
P=0640 | X=0106.850-0411.580 | Y=0562.250-0573.490 | đoạn từ Đường 21 tháng 4 đến Đường Hùng Vương có hiện trạng là
P=0640 | X=0106.850-0242.600 | Y=0573.770-0585.010 | đường nhựa, bê tông xi măng:
P=0640 | X=0090.020-0330.020 | Y=0591.290-0605.610 | 241 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0640 | X=0424.970-0450.020 | Y=0596.290-0605.610 | 2.100
P=0640 | X=0461.210-0486.260 | Y=0596.290-0605.610 | 1.500
P=0640 | X=0497.230-0522.280 | Y=0596.290-0605.610 | 1.300
P=0640 | X=0106.850-0413.270 | Y=0608.810-0620.050 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0640 | X=0106.850-0140.370 | Y=0620.350-0631.590 | ≤600m.
P=0640 | X=0106.850-0330.020 | Y=0637.870-0649.110 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0640 | X=0106.850-0415.190 | Y=0655.630-0666.870 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bùi Thị Xuân
P=0640 | X=0106.850-0411.580 | Y=0667.150-0678.390 | đoạn từ Đường 21 tháng 4 đến Đường Hùng Vương có hiện trạng là
P=0640 | X=0090.020-0242.600 | Y=0677.670-0689.910 | 242 đường nhựa, bê tông xi măng:
P=0640 | X=0424.970-0450.020 | Y=0677.670-0686.990 | 1.300
P=0640 | X=0469.370-0486.010 | Y=0677.670-0686.990 | 910
P=0640 | X=0505.390-0522.030 | Y=0677.670-0686.990 | 780
P=0640 | X=0106.850-0384.260 | Y=0696.190-0707.430 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0641 | X=0106.850-0330.510 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0641 | X=0106.850-0392.110 | Y=0096.260-0107.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0641 | X=0106.850-0400.790 | Y=0107.780-0119.020 | Đường Bùi Thị Xuân đoạn từ Đường 21 tháng 4 đến Đường Hùng
P=0641 | X=0106.850-0347.540 | Y=0119.330-0130.570 | Vương có hiện trạng là đường nhựa, bê tông xi măng:
P=0641 | X=0090.020-0106.660 | Y=0127.210-0136.530 | 243
P=0641 | X=0424.970-0450.020 | Y=0127.210-0136.530 | 2.500
P=0641 | X=0461.210-0486.260 | Y=0127.210-0136.530 | 1.800
P=0641 | X=0497.230-0522.280 | Y=0127.210-0136.530 | 1.500
P=0641 | X=0106.850-0329.760 | Y=0136.850-0148.090 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0641 | X=0106.850-0384.020 | Y=0154.370-0165.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0641 | X=0106.850-0392.110 | Y=0172.130-0183.370 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0641 | X=0106.850-0400.790 | Y=0183.410-0194.650 | Đường Bùi Thị Xuân đoạn từ Đường 21 tháng 4 đến Đường Hùng
P=0641 | X=0106.850-0347.540 | Y=0194.930-0206.170 | Vương có hiện trạng là đường nhựa, bê tông xi măng:
P=0641 | X=0090.020-0330.020 | Y=0212.470-0226.790 | 244 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0641 | X=0424.970-0450.020 | Y=0217.470-0226.790 | 1.900
P=0641 | X=0461.210-0486.260 | Y=0217.470-0226.790 | 1.300
P=0641 | X=0497.230-0522.280 | Y=0217.470-0226.790 | 1.100
P=0641 | X=0106.850-0413.270 | Y=0229.990-0241.230 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0641 | X=0106.850-0140.370 | Y=0241.510-0252.750 | ≤600m.
P=0641 | X=0106.850-0330.020 | Y=0259.030-0270.270 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0641 | X=0106.850-0392.110 | Y=0276.790-0288.030 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0641 | X=0106.850-0400.790 | Y=0288.340-0299.580 | Đường Bùi Thị Xuân đoạn từ Đường 21 tháng 4 đến Đường Hùng
