TABLE=002 | AREA=Phường Trấn Biên | SECTION=non-agricultural | SEGMENTS=1
P=0038 | X=0114.290-0337.200 | Y=0474.860-0486.100 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0038 | X=0114.290-0355.400 | Y=0492.380-0503.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0038 | X=0114.290-0147.810 | Y=0503.900-0515.140 | ≤400m.
P=0038 | X=0114.290-0387.800 | Y=0521.900-0533.140 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0038 | X=0114.290-0386.780 | Y=0533.450-0544.690 | ra Đường Phan Đình Phùng đoạn từ Đường Nguyễn Ái Quốc
P=0038 | X=0114.290-0362.600 | Y=0544.970-0556.210 | đến Đường Cách Mạng Tháng 8 có hiện trạng là đường
P=0038 | X=0114.290-0217.400 | Y=0556.250-0567.490 | nhựa, bê tông xi măng:
P=0038 | X=0093.380-0337.460 | Y=0573.010-0585.010 | 161 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0038 | X=0395.180-0425.750 | Y=0573.010-0582.330 | 10.300
P=0038 | X=0437.210-0462.260 | Y=0573.010-0582.330 | 7.200
P=0038 | X=0497.230-0522.280 | Y=0573.010-0582.330 | 6.200
P=0038 | X=0114.290-0367.600 | Y=0591.290-0602.530 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0038 | X=0114.290-0200.840 | Y=0602.810-0614.050 | >400m đến ≤600m.
P=0038 | X=0114.290-0337.460 | Y=0620.350-0631.590 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0038 | X=0114.290-0387.800 | Y=0638.350-0649.590 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0038 | X=0114.290-0386.780 | Y=0649.870-0661.110 | ra Đường Phan Đình Phùng đoạn từ Đường Nguyễn Ái Quốc
P=0038 | X=0114.290-0362.600 | Y=0661.390-0672.630 | đến Đường Cách Mạng Tháng 8 có hiện trạng là đường
P=0038 | X=0093.380-0217.400 | Y=0671.910-0684.150 | 162 nhựa, bê tông xi măng:
P=0038 | X=0400.700-0425.750 | Y=0671.910-0681.230 | 7.400
P=0038 | X=0437.210-0462.260 | Y=0671.910-0681.230 | 5.200
P=0038 | X=0497.230-0522.280 | Y=0671.910-0681.230 | 4.400
P=0038 | X=0114.290-0355.410 | Y=0690.430-0701.670 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0038 | X=0114.290-0148.050 | Y=0703.860-0713.180 | >600m.
P=0039 | X=0114.290-0337.930 | Y=0078.740-0089.980 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0039 | X=0114.290-0173.890 | Y=0096.740-0107.980 | Đường Hưng
P=0039 | X=0187.030-0244.960 | Y=0096.740-0107.980 | Đường Phan
P=0039 | X=0256.180-0346.500 | Y=0102.500-0113.740 | Ngã năm Biên Hùng
P=0039 | X=0093.380-0110.020 | Y=0104.380-0113.700 | 163
P=0039 | X=0395.180-0462.260 | Y=0104.380-0113.700 | 37.900 26.500
P=0039 | X=0491.710-0522.280 | Y=0104.380-0113.700 | 22.700
P=0039 | X=0114.290-0166.690 | Y=0108.260-0119.500 | Đạo Vương
P=0039 | X=0187.030-0239.910 | Y=0108.260-0119.500 | Đình Phùng
P=0039 | X=0114.290-0362.610 | Y=0126.290-0137.530 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0039 | X=0114.290-0388.310 | Y=0137.810-0149.050 | Hưng Đạo Vương đoạn từ Đường Phan Đình Phùng đến Ngã
P=0039 | X=0114.290-0362.120 | Y=0149.330-0160.570 | năm Biên Hùng có hiện trạng là đường nhựa, bê tông xi
P=0039 | X=0114.290-0142.290 | Y=0160.850-0172.090 | măng:
P=0039 | X=0093.380-0110.020 | Y=0168.730-0178.050 | 164
P=0039 | X=0395.180-0462.260 | Y=0168.730-0178.050 | 19.000 13.300
P=0039 | X=0491.710-0522.280 | Y=0168.730-0178.050 | 11.400
P=0039 | X=0114.290-0337.200 | Y=0178.370-0189.610 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0039 | X=0114.290-0355.400 | Y=0195.650-0206.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0039 | X=0114.290-0147.810 | Y=0207.190-0218.430 | ≤400m.
P=0039 | X=0114.290-0362.600 | Y=0225.190-0236.430 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0039 | X=0114.290-0388.310 | Y=0236.710-0247.950 | Hưng Đạo Vương đoạn từ Đường Phan Đình Phùng đến Ngã
P=0039 | X=0114.290-0362.120 | Y=0248.230-0259.470 | năm Biên Hùng có hiện trạng là đường nhựa, bê tông xi
P=0039 | X=0114.290-0142.290 | Y=0259.750-0270.990 | măng:
P=0039 | X=0093.380-0337.460 | Y=0276.510-0288.510 | 165 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0039 | X=0395.180-0425.750 | Y=0276.510-0285.830 | 10.700
P=0039 | X=0437.210-0462.260 | Y=0276.510-0285.830 | 7.500
P=0039 | X=0497.230-0522.280 | Y=0276.510-0285.830 | 6.400
P=0039 | X=0114.290-0367.600 | Y=0294.820-0306.060 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0039 | X=0114.290-0200.840 | Y=0306.340-0317.580 | >400m đến ≤600m.
P=0039 | X=0114.290-0337.460 | Y=0323.860-0335.100 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0039 | X=0114.290-0362.610 | Y=0341.860-0353.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0039 | X=0114.290-0388.310 | Y=0353.380-0364.620 | Hưng Đạo Vương đoạn từ Đường Phan Đình Phùng đến Ngã
P=0039 | X=0114.290-0362.120 | Y=0364.900-0376.140 | năm Biên Hùng có hiện trạng là đường nhựa, bê tông xi
P=0039 | X=0114.290-0142.290 | Y=0376.200-0387.440 | măng:
P=0039 | X=0093.380-0110.020 | Y=0384.080-0393.400 | 166
P=0039 | X=0400.700-0425.750 | Y=0384.080-0393.400 | 7.700
P=0039 | X=0437.210-0462.260 | Y=0384.080-0393.400 | 5.400
P=0039 | X=0497.230-0522.280 | Y=0384.080-0393.400 | 4.600
P=0039 | X=0114.290-0355.400 | Y=0393.720-0404.960 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0039 | X=0114.290-0148.050 | Y=0407.120-0416.440 | >600m.
P=0039 | X=0114.290-0337.930 | Y=0422.760-0434.000 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0039 | X=0114.290-0387.800 | Y=0440.760-0452.000 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0039 | X=0114.290-0362.120 | Y=0452.300-0463.540 | ra Đường Hưng Đạo Vương đoạn từ Đường Phan Đình
P=0039 | X=0114.290-0388.390 | Y=0463.820-0475.060 | Phùng đến Ngã năm Biên Hùng có hiện trạng là đường nhựa,
P=0039 | X=0114.290-0188.370 | Y=0475.340-0486.580 | bê tông xi măng:
P=0039 | X=0093.380-0110.020 | Y=0483.220-0492.540 | 167
P=0039 | X=0395.180-0462.260 | Y=0483.220-0492.540 | 17.100 12.000
P=0039 | X=0491.710-0522.280 | Y=0483.220-0492.540 | 10.300
P=0039 | X=0114.290-0337.200 | Y=0492.860-0504.100 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0039 | X=0114.290-0355.400 | Y=0510.380-0521.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0039 | X=0114.290-0147.810 | Y=0521.900-0533.140 | ≤400m.
P=0039 | X=0114.290-0387.800 | Y=0539.930-0551.170 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0039 | X=0114.290-0362.120 | Y=0551.450-0562.690 | ra Đường Hưng Đạo Vương đoạn từ Đường Phan Đình
P=0039 | X=0114.290-0388.390 | Y=0562.970-0574.210 | Phùng đến Ngã năm Biên Hùng có hiện trạng là đường nhựa,
P=0039 | X=0114.290-0188.370 | Y=0574.250-0585.490 | bê tông xi măng:
P=0039 | X=0093.380-0337.460 | Y=0591.010-0603.010 | 168 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0039 | X=0400.700-0425.750 | Y=0591.010-0600.330 | 9.600
P=0039 | X=0437.210-0462.260 | Y=0591.010-0600.330 | 6.700
P=0039 | X=0497.230-0522.270 | Y=0591.010-0600.330 | 5.800
P=0039 | X=0114.290-0367.600 | Y=0609.290-0620.530 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0039 | X=0114.290-0200.840 | Y=0620.830-0632.070 | >400m đến ≤600m.
P=0039 | X=0114.290-0337.460 | Y=0638.350-0649.590 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0039 | X=0114.290-0387.800 | Y=0656.350-0667.590 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0039 | X=0114.290-0362.120 | Y=0667.870-0679.110 | ra Đường Hưng Đạo Vương đoạn từ Đường Phan Đình
P=0039 | X=0093.380-0388.390 | Y=0679.390-0693.470 | 169 Phùng đến Ngã năm Biên Hùng có hiện trạng là đường nhựa,
P=0039 | X=0400.700-0425.750 | Y=0684.150-0693.470 | 6.900
P=0039 | X=0437.210-0462.260 | Y=0684.150-0693.470 | 4.800
P=0039 | X=0497.230-0522.280 | Y=0684.150-0693.470 | 4.100
P=0039 | X=0114.290-0188.370 | Y=0690.910-0702.150 | bê tông xi măng:
P=0039 | X=0114.290-0355.400 | Y=0708.450-0719.690 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0040 | X=0114.290-0148.050 | Y=0074.620-0083.940 | >600m.
P=0040 | X=0114.290-0340.580 | Y=0090.260-0101.500 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0040 | X=0114.290-0173.890 | Y=0108.260-0119.500 | Đường Hưng
P=0040 | X=0187.030-0250.700 | Y=0108.260-0119.500 | Ngã năm Biên
P=0040 | X=0093.380-0110.020 | Y=0115.930-0125.250 | 170
P=0040 | X=0256.180-0313.610 | Y=0115.930-0125.250 | Ga Biên Hòa
P=0040 | X=0395.180-0462.260 | Y=0115.930-0125.250 | 34.300 24.000
P=0040 | X=0491.710-0522.280 | Y=0115.930-0125.250 | 20.600
P=0040 | X=0114.290-0166.690 | Y=0119.810-0131.050 | Đạo Vương
P=0040 | X=0187.030-0210.890 | Y=0121.690-0131.010 | Hùng
P=0040 | X=0114.290-0362.610 | Y=0137.810-0149.050 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0040 | X=0114.290-0382.990 | Y=0149.330-0160.570 | Hưng Đạo Vương đoạn từ Ngã năm Biên Hùng đến Ga Biên
P=0040 | X=0114.290-0342.260 | Y=0160.850-0172.090 | Hòa có hiện trạng là đường nhựa, bê tông xi măng:
P=0040 | X=0093.380-0110.020 | Y=0174.490-0183.810 | 171
P=0040 | X=0395.180-0462.260 | Y=0174.490-0183.810 | 15.400 10.800
P=0040 | X=0497.230-0522.280 | Y=0174.490-0183.810 | 9.200
P=0040 | X=0114.290-0337.200 | Y=0178.370-0189.610 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0040 | X=0114.290-0355.400 | Y=0195.650-0206.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0040 | X=0114.290-0147.810 | Y=0207.190-0218.430 | ≤400m.
P=0040 | X=0114.290-0362.610 | Y=0225.190-0236.430 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0040 | X=0114.290-0382.990 | Y=0236.710-0247.950 | Hưng Đạo Vương đoạn từ Ngã năm Biên Hùng đến Ga Biên
P=0040 | X=0114.290-0342.260 | Y=0248.230-0259.470 | Hòa cố hiện trạng là đường nhựa, bê tông xi măng:
P=0040 | X=0093.380-0337.460 | Y=0265.750-0280.070 | 172 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0040 | X=0395.180-0425.750 | Y=0270.750-0280.070 | 10.700
P=0040 | X=0437.210-0462.260 | Y=0270.750-0280.070 | 7.500
P=0040 | X=0497.230-0522.270 | Y=0270.750-0280.070 | 6.400
P=0040 | X=0114.290-0367.600 | Y=0283.300-0294.540 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0040 | X=0114.290-0200.840 | Y=0294.820-0306.060 | >400m đến ≤600m.
P=0040 | X=0114.290-0337.460 | Y=0312.340-0323.580 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0040 | X=0114.290-0362.610 | Y=0330.340-0341.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0040 | X=0114.290-0382.990 | Y=0341.860-0353.100 | Hưng Đạo Vương đoạn từ Ngã năm Biên Hùng đến Ga Biên
P=0040 | X=0114.290-0342.260 | Y=0353.380-0364.620 | Hòa có hiện trạng là đường nhựa, bê tông xi măng:
P=0040 | X=0093.380-0110.020 | Y=0367.040-0376.360 | 173
P=0040 | X=0400.700-0425.750 | Y=0367.040-0376.360 | 7.700
P=0040 | X=0437.210-0462.260 | Y=0367.040-0376.360 | 5.400
P=0040 | X=0497.230-0522.280 | Y=0367.040-0376.360 | 4.600
P=0040 | X=0114.290-0355.400 | Y=0370.920-0382.160 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0040 | X=0114.290-0148.050 | Y=0384.080-0393.400 | >600m.
P=0040 | X=0114.290-0337.930 | Y=0399.720-0410.960 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0040 | X=0114.290-0387.800 | Y=0417.720-0428.960 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0040 | X=0114.290-0370.490 | Y=0429.240-0440.480 | ra Đường Hưng Đạo Vương đoạn từ Ngã năm Biên Hùng
P=0040 | X=0114.290-0370.030 | Y=0440.760-0452.000 | đến Ga Biên Hòa có hiện trạng là đường nhựa, bê tông xi
P=0040 | X=0114.290-0142.290 | Y=0452.300-0463.540 | măng:
P=0040 | X=0093.380-0110.020 | Y=0460.180-0469.500 | 174
P=0040 | X=0395.180-0425.750 | Y=0460.180-0469.500 | 13.900
P=0040 | X=0437.210-0462.260 | Y=0460.180-0469.500 | 9.700
P=0040 | X=0497.230-0522.280 | Y=0460.180-0469.500 | 8.300
P=0040 | X=0114.290-0337.200 | Y=0469.820-0481.060 | - Cố bề rộng ≥5m, cách đường giao thông ≤600m.
P=0040 | X=0114.290-0355.400 | Y=0487.340-0498.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0040 | X=0114.290-0147.810 | Y=0498.860-0510.100 | ≤400m.
P=0040 | X=0114.290-0387.800 | Y=0516.860-0528.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0040 | X=0114.290-0370.490 | Y=0528.380-0539.620 | ra Đường Hưng Đạo Vương đoạn từ Ngã năm Biên Hùng
P=0040 | X=0114.290-0370.030 | Y=0539.930-0551.170 | đến Ga Biên Hòa có hiện trạng là đường nhựa, bê tông xi
P=0040 | X=0114.290-0142.290 | Y=0551.450-0562.690 | măng:
P=0040 | X=0093.380-0337.460 | Y=0567.970-0580.210 | 175 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0040 | X=0400.700-0425.750 | Y=0567.970-0577.290 | 9.600
P=0040 | X=0437.210-0462.260 | Y=0567.970-0577.290 | 6.700
P=0040 | X=0497.230-0522.280 | Y=0567.970-0577.290 | 5.800
P=0040 | X=0114.290-0367.600 | Y=0586.250-0597.490 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0040 | X=0114.290-0200.840 | Y=0597.770-0609.010 | >400m đến ≤600m.
P=0040 | X=0114.290-0337.460 | Y=0615.290-0626.530 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0040 | X=0114.290-0387.800 | Y=0633.310-0644.550 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0040 | X=0114.290-0370.490 | Y=0644.830-0656.070 | ra Đường Hưng Đạo Vương đoạn từ Ngã năm Biên Hùng
P=0040 | X=0114.290-0370.030 | Y=0656.350-0667.590 | đến Ga Biên Hòa có hiện trạng là đường nhựa, bê tông xi
P=0040 | X=0093.380-0142.290 | Y=0667.110-0679.110 | 176 măng:
P=0040 | X=0400.700-0425.750 | Y=0667.110-0676.430 | 6.900
P=0040 | X=0437.210-0462.260 | Y=0667.110-0676.430 | 4.800
P=0040 | X=0497.230-0522.280 | Y=0667.110-0676.430 | 4.100
P=0040 | X=0114.290-0355.400 | Y=0685.390-0696.630 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0040 | X=0114.290-0148.050 | Y=0698.790-0708.110 | >600m.
P=0041 | X=0114.290-0340.580 | Y=0078.740-0089.980 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0041 | X=0114.290-0256.030 | Y=0096.740-0107.980 | Đường Hoàng Đường Nguyễn
P=0041 | X=0256.180-0381.330 | Y=0102.500-0113.740 | Đường Cách Mạng Tháng 8
P=0041 | X=0093.380-0110.020 | Y=0104.380-0113.700 | 177
P=0041 | X=0395.180-0462.260 | Y=0104.380-0113.700 | 29.200 20.400
P=0041 | X=0491.710-0522.280 | Y=0104.380-0113.700 | 17.500
P=0041 | X=0187.030-0219.260 | Y=0108.260-0119.500 | Văn Trị
P=0041 | X=0114.290-0162.850 | Y=0110.140-0119.460 | Minh Châu
P=0041 | X=0114.290-0362.610 | Y=0126.290-0137.530 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0041 | X=0114.290-0358.520 | Y=0137.810-0149.050 | Hoàng Minh Châu đoạn từ Đường Nguyễn Văn Trị đến
P=0041 | X=0114.290-0386.140 | Y=0149.330-0160.570 | Đường Cách Mạng Tháng 8 có hiện trạng là đường nhựa, bê
P=0041 | X=0114.290-0174.450 | Y=0160.850-0172.090 | tông xi măng:
P=0041 | X=0093.380-0110.020 | Y=0168.730-0178.050 | 178
P=0041 | X=0395.180-0462.260 | Y=0168.730-0178.050 | 16.500 11.600
P=0041 | X=0497.230-0522.280 | Y=0168.730-0178.050 | 9.900
P=0041 | X=0114.290-0337.200 | Y=0178.370-0189.610 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0041 | X=0114.290-0355.400 | Y=0195.650-0206.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0041 | X=0114.290-0147.810 | Y=0207.190-0218.430 | ≤400m.
P=0041 | X=0114.290-0362.610 | Y=0225.190-0236.430 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0041 | X=0114.290-0358.520 | Y=0236.710-0247.950 | Hoàng Minh Châu đoạn từ Đường Nguyễn Văn Trị đến
P=0041 | X=0114.290-0386.140 | Y=0248.230-0259.470 | Đường Cách Mạng Tháng 8 có hiện trạng là đường nhựa, bê
P=0041 | X=0114.290-0174.450 | Y=0259.750-0270.990 | tông xi măng:
P=0041 | X=0093.380-0337.460 | Y=0276.510-0288.510 | 179 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0041 | X=0395.180-0425.750 | Y=0276.510-0285.830 | 10.200
P=0041 | X=0437.210-0462.260 | Y=0276.510-0285.830 | 7.100
P=0041 | X=0497.230-0522.280 | Y=0276.510-0285.830 | 6.100
P=0041 | X=0114.290-0367.600 | Y=0294.820-0306.060 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0041 | X=0114.290-0200.840 | Y=0306.340-0317.580 | >400m đến ≤600m.
P=0041 | X=0114.290-0337.460 | Y=0323.860-0335.100 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0041 | X=0114.290-0362.610 | Y=0341.860-0353.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0041 | X=0114.290-0358.520 | Y=0353.380-0364.620 | Hoàng Minh Châu đoạn từ Đường Nguyễn Văn Trị đến
P=0041 | X=0114.290-0386.140 | Y=0364.900-0376.140 | Đường Cách Mạng Tháng 8 có hiện trạng là đường nhựa, bê
P=0041 | X=0114.290-0174.450 | Y=0376.200-0387.440 | tông xi măng:
P=0041 | X=0093.380-0110.020 | Y=0384.080-0393.400 | 180
P=0041 | X=0400.700-0425.750 | Y=0384.080-0393.400 | 6.300
P=0041 | X=0437.210-0462.260 | Y=0384.080-0393.400 | 4.400
P=0041 | X=0497.230-0522.270 | Y=0384.080-0393.400 | 3.800
P=0041 | X=0114.290-0355.400 | Y=0393.720-0404.960 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0041 | X=0114.290-0148.050 | Y=0407.120-0416.440 | >600m.
P=0041 | X=0114.290-0337.930 | Y=0422.760-0434.000 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0041 | X=0114.290-0387.800 | Y=0440.760-0452.000 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0041 | X=0114.290-0384.940 | Y=0452.300-0463.540 | ra Đường Hoàng Minh Châu đoạn từ Đường Nguyễn Văn Trị
P=0041 | X=0114.290-0362.600 | Y=0463.820-0475.060 | đến Đường Cách Mạng Tháng 8 có hiện trạng là đường
P=0041 | X=0114.290-0217.400 | Y=0475.340-0486.580 | nhựa, bê tông xi măng:
P=0041 | X=0093.380-0110.020 | Y=0483.220-0492.540 | 181
P=0041 | X=0395.180-0462.260 | Y=0483.220-0492.540 | 14.900 10.400
P=0041 | X=0497.230-0522.280 | Y=0483.220-0492.540 | 8.900
P=0041 | X=0114.290-0337.200 | Y=0492.860-0504.100 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0041 | X=0114.290-0355.400 | Y=0510.380-0521.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0041 | X=0114.290-0147.810 | Y=0521.900-0533.140 | ≤400m.
P=0041 | X=0114.290-0387.800 | Y=0539.930-0551.170 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0041 | X=0114.290-0384.940 | Y=0551.450-0562.690 | ra Đường Hoàng Minh Châu đoạn từ Đường Nguyễn Văn Trị
P=0041 | X=0114.290-0362.600 | Y=0562.970-0574.210 | đến Đường Cách Mạng Tháng 8 có hiện trạng là đường
P=0041 | X=0114.290-0217.440 | Y=0574.250-0585.490 | nhựa, bê tông xi măng:
P=0041 | X=0093.380-0337.460 | Y=0591.010-0603.010 | 182 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0041 | X=0400.700-0425.750 | Y=0591.010-0600.330 | 9.200
P=0041 | X=0437.210-0462.260 | Y=0591.010-0600.330 | 6.400
P=0041 | X=0497.230-0522.280 | Y=0591.010-0600.330 | 5.500
P=0041 | X=0114.290-0367.600 | Y=0609.290-0620.530 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0041 | X=0114.290-0200.840 | Y=0620.830-0632.070 | >400m đến ≤600m.
P=0041 | X=0114.290-0337.460 | Y=0638.350-0649.590 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0041 | X=0114.290-0387.800 | Y=0656.350-0667.590 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0041 | X=0114.290-0384.940 | Y=0667.870-0679.110 | ra Đường Hoàng Minh Châu đoạn từ Đường Nguyễn Văn Trị
P=0041 | X=0093.380-0362.600 | Y=0679.390-0693.470 | 183 đến Đường Cách Mạng Tháng 8 có hiện trạng là đường
P=0041 | X=0400.700-0425.750 | Y=0684.150-0693.470 | 5.700
P=0041 | X=0437.210-0462.260 | Y=0684.150-0693.470 | 4.000
P=0041 | X=0497.230-0522.280 | Y=0684.150-0693.470 | 3.400
P=0041 | X=0114.290-0217.400 | Y=0690.910-0702.150 | nhựa, bê tông xi măng:
P=0041 | X=0114.290-0355.400 | Y=0708.450-0719.690 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0042 | X=0114.290-0148.050 | Y=0074.620-0083.940 | >600m.
P=0042 | X=0114.290-0337.930 | Y=0090.260-0101.500 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0042 | X=0187.030-0218.790 | Y=0108.260-0119.500 | Đường
P=0042 | X=0114.290-0172.220 | Y=0114.050-0125.290 | Đường Phan
P=0042 | X=0187.030-0242.070 | Y=0119.810-0131.050 | Nguyễn Văn
P=0042 | X=0255.460-0380.610 | Y=0119.810-0131.050 | Đường Cách Mạng Tháng 8
P=0042 | X=0093.380-0110.020 | Y=0121.690-0131.010 | 184
P=0042 | X=0395.180-0462.260 | Y=0121.690-0131.010 | 39.300 27.500
P=0042 | X=0491.710-0522.280 | Y=0121.690-0131.010 | 23.600
P=0042 | X=0114.290-0158.510 | Y=0127.450-0136.770 | Chu Trinh
P=0042 | X=0187.030-0198.870 | Y=0133.210-0142.530 | Trị
P=0042 | X=0114.290-0388.770 | Y=0149.330-0160.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phan
P=0042 | X=0114.290-0382.060 | Y=0160.850-0172.090 | Chu Trinh đoạn từ Đường Nguyễn Văn Trị đến Đường Cách
P=0042 | X=0114.290-0388.380 | Y=0172.370-0183.610 | Mạng Tháng 8 có hiện trạng là đường nhựa, bê tông xi măng:
P=0042 | X=0093.380-0110.020 | Y=0186.010-0195.330 | 185
P=0042 | X=0395.180-0462.260 | Y=0186.010-0195.330 | 19.000 13.300
P=0042 | X=0491.710-0522.280 | Y=0186.010-0195.330 | 11.400
P=0042 | X=0114.290-0337.200 | Y=0189.650-0200.890 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0042 | X=0114.290-0355.400 | Y=0207.190-0218.430 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0042 | X=0114.290-0147.810 | Y=0218.710-0229.950 | ≤400m.
P=0042 | X=0114.290-0388.770 | Y=0236.710-0247.950 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phan
P=0042 | X=0114.290-0382.060 | Y=0248.230-0259.470 | Chu Trinh đoạn từ Đường Nguyễn Văn Trị đến Đường Cách
P=0042 | X=0114.290-0388.350 | Y=0259.750-0270.990 | Mạng Tháng 8 có hiện trạng là đường nhựa, bê tông xi măng:
P=0042 | X=0093.380-0337.460 | Y=0277.270-0291.590 | 186 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0042 | X=0395.180-0425.750 | Y=0282.270-0291.590 | 12.700
P=0042 | X=0437.210-0462.260 | Y=0282.270-0291.590 | 8.900
P=0042 | X=0497.230-0522.280 | Y=0282.270-0291.590 | 7.600
P=0042 | X=0114.290-0367.600 | Y=0294.820-0306.060 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0042 | X=0114.290-0200.840 | Y=0306.340-0317.580 | >400m đến ≤600m.
P=0042 | X=0114.290-0337.460 | Y=0323.860-0335.100 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0042 | X=0114.290-0388.770 | Y=0341.860-0353.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phan
P=0042 | X=0114.290-0382.060 | Y=0353.380-0364.620 | Chu Trinh đoạn từ Đường Nguyễn Văn Trị đến Đường Cách
P=0042 | X=0114.290-0388.350 | Y=0364.900-0376.140 | Mạng Tháng 8 có hiện trạng là đường nhựa, bê tông xi măng:
P=0042 | X=0093.380-0110.020 | Y=0378.560-0387.880 | 187
P=0042 | X=0400.700-0425.750 | Y=0378.560-0387.880 | 8.900
P=0042 | X=0437.210-0462.260 | Y=0378.560-0387.880 | 6.200
P=0042 | X=0497.230-0522.280 | Y=0378.560-0387.880 | 5.300
P=0042 | X=0114.290-0355.400 | Y=0382.200-0393.440 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0042 | X=0114.290-0148.050 | Y=0395.600-0404.920 | >600m.
P=0042 | X=0114.290-0337.950 | Y=0411.240-0422.480 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0042 | X=0114.290-0387.800 | Y=0429.240-0440.480 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
