TABLE=009 | AREA=Phường Phước Tân | SECTION=non-agricultural | SEGMENTS=1
P=0327 | X=0112.850-0363.110 | Y=0660.430-0671.670 | thông ra Đường Đinh Quang Ân đoạn từ Quốc lộ 51 đến
P=0327 | X=0095.810-0356.120 | Y=0671.950-0686.030 | 26 Hết Chùa Viên Thông có hiện trạng là đường nhựa, bê
P=0327 | X=0397.820-0422.870 | Y=0676.710-0686.030 | 7.000
P=0327 | X=0446.330-0471.380 | Y=0676.710-0686.030 | 4.900
P=0327 | X=0497.230-0522.280 | Y=0676.710-0686.030 | 4.200
P=0327 | X=0112.850-0173.010 | Y=0683.470-0694.710 | tông xi măng:
P=0327 | X=0112.850-0335.760 | Y=0700.770-0712.010 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0328 | X=0112.850-0353.960 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0328 | X=0112.850-0146.370 | Y=0090.020-0101.260 | ≤400m.
P=0328 | X=0112.850-0358.760 | Y=0107.780-0119.020 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0328 | X=0112.850-0363.110 | Y=0119.330-0130.570 | thông ra Đường Đinh Quang Ân đoạn từ Quốc lộ 51 đến
P=0328 | X=0112.850-0356.120 | Y=0130.850-0142.090 | Hết Chùa Viên Thông có hiện trạng là đường nhựa, bê
P=0328 | X=0112.850-0173.010 | Y=0142.370-0153.610 | tông xi măng:
P=0328 | X=0095.810-0336.020 | Y=0158.890-0170.890 | 27 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0328 | X=0397.820-0422.870 | Y=0158.890-0168.210 | 4.000
P=0328 | X=0446.330-0471.380 | Y=0158.890-0168.210 | 2.800
P=0328 | X=0497.230-0522.280 | Y=0158.890-0168.210 | 2.400
P=0328 | X=0112.850-0366.160 | Y=0177.170-0188.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0328 | X=0112.850-0199.400 | Y=0188.690-0199.930 | >400m đến ≤600m.
P=0328 | X=0112.850-0336.020 | Y=0206.230-0217.470 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0328 | X=0112.850-0358.760 | Y=0223.990-0235.230 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0328 | X=0112.850-0363.110 | Y=0235.510-0246.750 | thông ra Đường Đinh Quang Ân đoạn từ Quốc lộ 51 đến
P=0328 | X=0112.850-0356.120 | Y=0247.030-0258.270 | Hết Chùa Viên Thông có hiện trạng là đường nhựa, bê
P=0328 | X=0112.850-0173.010 | Y=0258.550-0269.790 | tông xi măng:
P=0328 | X=0095.810-0106.930 | Y=0266.430-0275.750 | 28
P=0328 | X=0397.820-0422.870 | Y=0266.430-0275.750 | 3.300
P=0328 | X=0446.330-0471.380 | Y=0266.430-0275.750 | 2.300
P=0328 | X=0497.230-0522.280 | Y=0266.430-0275.750 | 2.000
P=0328 | X=0112.850-0353.960 | Y=0276.070-0287.310 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0328 | X=0112.850-0146.610 | Y=0289.500-0298.820 | >600m.
P=0328 | X=0112.850-0339.140 | Y=0305.140-0316.380 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0328 | X=0112.850-0200.770 | Y=0322.900-0334.140 | Đường Đinh Quang
P=0328 | X=0297.240-0344.130 | Y=0322.900-0334.140 | Đường Võ
P=0328 | X=0095.810-0106.930 | Y=0330.540-0339.860 | 29
P=0328 | X=0211.030-0289.110 | Y=0330.540-0339.860 | Chùa Viên Thông
P=0328 | X=0392.300-0422.870 | Y=0330.540-0339.860 | 11.200
P=0328 | X=0446.330-0471.380 | Y=0330.540-0339.860 | 7.800
P=0328 | X=0497.230-0522.280 | Y=0330.540-0339.860 | 6.700
P=0328 | X=0112.850-0125.170 | Y=0336.300-0345.620 | Ân
P=0328 | X=0297.240-0355.880 | Y=0336.300-0345.620 | Nguyên Giáp
P=0328 | X=0112.850-0361.170 | Y=0351.940-0363.180 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0328 | X=0112.850-0368.140 | Y=0363.460-0374.700 | Đinh Quang Ân đoạn từ Chùa Viên Thông đến Đường Võ
P=0328 | X=0112.850-0350.360 | Y=0375.000-0386.240 | Nguyên Giáp có hiện trạng là đường nhựa, bê tông xi
P=0328 | X=0112.850-0140.850 | Y=0386.520-0397.760 | măng:
P=0328 | X=0095.810-0106.930 | Y=0394.400-0403.720 | 30
P=0328 | X=0397.820-0422.870 | Y=0394.400-0403.720 | 5.600
P=0328 | X=0446.330-0471.380 | Y=0394.400-0403.720 | 3.900
P=0328 | X=0497.230-0522.280 | Y=0394.400-0403.720 | 3.400
P=0328 | X=0112.850-0335.760 | Y=0404.040-0415.280 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0328 | X=0112.850-0353.960 | Y=0421.560-0432.800 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0328 | X=0112.850-0146.370 | Y=0433.080-0444.320 | ≤400m.
P=0328 | X=0112.850-0361.170 | Y=0450.860-0462.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0328 | X=0112.850-0368.140 | Y=0462.380-0473.620 | Đinh Quang Ân đoạn từ Chùa Viên Thông đến Đường Võ
P=0328 | X=0112.850-0350.360 | Y=0473.900-0485.140 | Nguyên Giáp có hiện trạng là đường nhựa, bê tông xi
P=0328 | X=0112.850-0140.850 | Y=0485.420-0496.660 | măng:
P=0328 | X=0095.810-0336.020 | Y=0501.940-0514.180 | 31 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0328 | X=0397.820-0422.870 | Y=0501.940-0511.260 | 4.000
P=0328 | X=0446.330-0471.380 | Y=0501.940-0511.260 | 2.800
P=0328 | X=0497.230-0522.280 | Y=0501.940-0511.260 | 2.400
P=0328 | X=0112.850-0366.160 | Y=0520.220-0531.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0328 | X=0112.850-0199.400 | Y=0531.740-0542.980 | >400m đến ≤600m.
P=0328 | X=0112.850-0336.020 | Y=0549.290-0560.530 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0328 | X=0112.850-0361.170 | Y=0567.050-0578.290 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0328 | X=0112.850-0368.140 | Y=0578.570-0589.810 | Đinh Quang Ân đoạn từ Chùa Viên Thông đến Đường Võ
P=0328 | X=0112.850-0350.360 | Y=0590.090-0601.330 | Nguyên Giáp có hiện trạng là đường nhựa, bê tông xi
P=0328 | X=0112.850-0140.850 | Y=0601.610-0612.850 | măng:
P=0328 | X=0095.810-0106.930 | Y=0609.490-0618.810 | 32
P=0328 | X=0397.820-0422.870 | Y=0609.490-0618.810 | 2.900
P=0328 | X=0446.330-0471.380 | Y=0609.490-0618.810 | 2.000
P=0328 | X=0497.230-0522.280 | Y=0609.490-0618.810 | 1.700
P=0328 | X=0112.850-0353.960 | Y=0619.150-0630.390 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0328 | X=0112.850-0146.610 | Y=0632.550-0641.870 | >600m.
P=0328 | X=0112.850-0336.490 | Y=0648.190-0659.430 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0328 | X=0112.850-0358.760 | Y=0665.950-0677.190 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0328 | X=0112.850-0372.920 | Y=0677.470-0688.710 | thông ra Đường Đinh Quang Ân đoạn từ Chùa Viên Thông
P=0328 | X=0095.810-0106.930 | Y=0685.110-0694.430 | 33
P=0328 | X=0397.820-0422.870 | Y=0685.110-0694.430 | 5.000
P=0328 | X=0446.330-0471.380 | Y=0685.110-0694.430 | 3.500
P=0328 | X=0497.230-0522.280 | Y=0685.110-0694.430 | 3.000
P=0328 | X=0112.850-0373.030 | Y=0688.750-0699.990 | đến Đường Võ Nguyên Giáp có hiện trạng là đường nhựa,
P=0328 | X=0112.850-0186.930 | Y=0700.290-0711.530 | bê tông xi măng:
P=0329 | X=0112.850-0335.760 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0329 | X=0112.850-0353.960 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0329 | X=0112.850-0146.370 | Y=0107.540-0118.780 | ≤400m.
P=0329 | X=0112.850-0358.760 | Y=0125.330-0136.570 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0329 | X=0112.850-0372.920 | Y=0136.850-0148.090 | thông ra Đường Đinh Quang Ân đoạn từ Chùa Viên Thông
P=0329 | X=0112.850-0373.030 | Y=0148.370-0159.610 | đến Đường Võ Nguyên Giáp có hiện trạng là đường nhựa,
P=0329 | X=0112.850-0186.930 | Y=0159.650-0170.890 | bê tông xi măng:
P=0329 | X=0095.810-0336.020 | Y=0176.410-0188.410 | 34 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0329 | X=0397.820-0422.870 | Y=0176.410-0185.730 | 3.600
P=0329 | X=0446.330-0471.380 | Y=0176.410-0185.730 | 2.500
P=0329 | X=0497.230-0522.280 | Y=0176.410-0185.730 | 2.200
P=0329 | X=0112.850-0366.160 | Y=0194.690-0205.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0329 | X=0112.850-0199.400 | Y=0206.230-0217.470 | >400m đến ≤600m.
P=0329 | X=0112.850-0336.020 | Y=0223.750-0234.990 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0329 | X=0112.850-0358.760 | Y=0241.510-0252.750 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0329 | X=0112.850-0372.920 | Y=0253.030-0264.270 | thông ra Đường Đinh Quang Ân đoạn từ Chùa Viên Thông
P=0329 | X=0112.850-0373.030 | Y=0264.550-0275.790 | đến Đường Võ Nguyên Giáp có hiện trạng là đường nhựa,
P=0329 | X=0112.850-0186.930 | Y=0276.070-0287.310 | bê tông xi măng:
P=0329 | X=0095.810-0106.930 | Y=0283.980-0293.300 | 35
P=0329 | X=0397.820-0422.870 | Y=0283.980-0293.300 | 2.600
P=0329 | X=0446.330-0471.380 | Y=0283.980-0293.300 | 1.800
P=0329 | X=0497.230-0522.280 | Y=0283.980-0293.300 | 1.600
P=0329 | X=0112.850-0353.960 | Y=0293.620-0304.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0329 | X=0112.850-0146.610 | Y=0307.020-0316.340 | >600m.
P=0329 | X=0112.850-0339.140 | Y=0322.660-0333.900 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0329 | X=0211.030-0280.720 | Y=0340.420-0351.660 | Đường Bùi Văn
P=0329 | X=0297.240-0366.220 | Y=0345.940-0357.180 | Đường Nguyễn
P=0329 | X=0095.810-0161.410 | Y=0353.580-0362.900 | 36 Quốc lộ 51
P=0329 | X=0211.030-0284.100 | Y=0353.580-0362.900 | Hòa (Quốc lộ 15
P=0329 | X=0392.300-0422.870 | Y=0353.580-0362.900 | 23.700
P=0329 | X=0440.810-0471.380 | Y=0353.580-0362.900 | 16.600
P=0329 | X=0491.710-0522.280 | Y=0353.580-0362.900 | 14.200
P=0329 | X=0297.240-0347.400 | Y=0359.340-0368.660 | Trung Trực
P=0329 | X=0211.030-0244.120 | Y=0365.100-0374.420 | nối dài)
P=0329 | X=0112.850-0364.060 | Y=0381.000-0392.240 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ
P=0329 | X=0112.850-0364.070 | Y=0392.520-0403.760 | 51 đoạn từ Đường Bùi Văn Hòa (Quốc lộ 15 nối dài) đến
P=0329 | X=0112.850-0367.270 | Y=0404.040-0415.280 | Đường Nguyễn Trung Trực có hiện trạng là đường nhựa,
P=0329 | X=0112.850-0186.930 | Y=0415.560-0426.800 | bê tông xi măng:
P=0329 | X=0095.810-0106.930 | Y=0423.440-0432.760 | 37
P=0329 | X=0392.300-0422.870 | Y=0423.440-0432.760 | 10.700
P=0329 | X=0446.330-0471.380 | Y=0423.440-0432.760 | 7.500
P=0329 | X=0497.230-0522.280 | Y=0423.440-0432.760 | 6.400
P=0329 | X=0112.850-0335.760 | Y=0433.080-0444.320 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0329 | X=0112.850-0353.960 | Y=0450.620-0461.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0329 | X=0112.850-0146.370 | Y=0462.140-0473.380 | ≤400m.
P=0329 | X=0112.850-0364.060 | Y=0479.900-0491.140 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ
P=0329 | X=0112.850-0364.070 | Y=0491.420-0502.660 | 51 đoạn từ Đường Bùi Văn Hòa (Quốc lộ 15 nối dài) đến
P=0329 | X=0112.850-0367.270 | Y=0502.940-0514.180 | Đường Nguyễn Trung Trực có hiện trạng là đường nhựa,
P=0329 | X=0112.850-0186.930 | Y=0514.220-0525.460 | bê tông xi măng:
P=0329 | X=0095.810-0336.020 | Y=0530.980-0542.980 | 38 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0329 | X=0397.820-0422.870 | Y=0530.980-0540.300 | 5.400
P=0329 | X=0446.330-0471.380 | Y=0530.980-0540.300 | 3.800
P=0329 | X=0497.230-0522.280 | Y=0530.980-0540.300 | 3.200
P=0329 | X=0112.850-0366.160 | Y=0549.290-0560.530 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0329 | X=0112.850-0199.400 | Y=0560.810-0572.050 | >400m đến ≤600m.
P=0329 | X=0112.850-0336.020 | Y=0578.330-0589.570 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0329 | X=0112.850-0364.060 | Y=0596.090-0607.330 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ
P=0329 | X=0112.850-0364.070 | Y=0607.610-0618.850 | 51 đoạn từ Đường Bùi Văn Hòa (Quốc lộ 15 nối dài) đến
P=0329 | X=0112.850-0367.270 | Y=0619.150-0630.390 | Đường Nguyễn Trung Trực có hiện trạng là đường nhựa,
P=0329 | X=0112.850-0186.930 | Y=0630.670-0641.910 | bê tông xi măng:
P=0329 | X=0095.810-0106.930 | Y=0638.550-0647.870 | 39
P=0329 | X=0397.820-0422.870 | Y=0638.550-0647.870 | 4.100
P=0329 | X=0446.330-0471.380 | Y=0638.550-0647.870 | 2.900
P=0329 | X=0497.230-0522.280 | Y=0638.550-0647.870 | 2.500
P=0329 | X=0112.850-0353.960 | Y=0648.190-0659.430 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0329 | X=0112.850-0146.610 | Y=0661.590-0670.910 | >600m.
P=0329 | X=0112.850-0336.490 | Y=0677.230-0688.470 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0329 | X=0112.850-0358.760 | Y=0694.750-0705.990 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0329 | X=0095.810-0106.930 | Y=0702.420-0711.740 | 40
P=0329 | X=0397.820-0422.870 | Y=0702.420-0711.740 | 9.600
P=0329 | X=0446.330-0471.380 | Y=0702.420-0711.740 | 6.700
P=0329 | X=0497.230-0522.280 | Y=0702.420-0711.740 | 5.800
P=0329 | X=0112.850-0372.220 | Y=0706.290-0717.530 | thông ra Quốc lộ 51 đoạn từ Đường Bùi Văn Hòa (Quốc lộ
P=0330 | X=0112.850-0374.830 | Y=0072.500-0083.740 | 15 nối dài) đến Đường Nguyễn Trung Trực có hiện trạng là
P=0330 | X=0112.850-0248.620 | Y=0084.020-0095.260 | đường nhựa, bê tông xi măng:
P=0330 | X=0112.850-0335.760 | Y=0101.540-0112.780 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0330 | X=0112.850-0353.960 | Y=0119.090-0130.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0330 | X=0112.850-0146.370 | Y=0130.610-0141.850 | ≤400m.
P=0330 | X=0112.850-0358.760 | Y=0148.370-0159.610 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0330 | X=0112.850-0372.220 | Y=0159.650-0170.890 | thông ra Quốc lộ 51 đoạn từ Đường Bùi Văn Hòa (Quốc lộ
P=0330 | X=0112.850-0374.830 | Y=0171.170-0182.410 | 15 nối dài) đến Đường Nguyễn Trung Trực có hiện trạng là
P=0330 | X=0112.850-0248.620 | Y=0182.690-0193.930 | đường nhựa, bê tông xi măng:
P=0330 | X=0095.810-0336.020 | Y=0199.470-0211.470 | 41 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0330 | X=0397.820-0422.870 | Y=0199.470-0208.790 | 4.900
P=0330 | X=0446.330-0471.380 | Y=0199.470-0208.790 | 3.400
P=0330 | X=0497.230-0522.280 | Y=0199.470-0208.790 | 2.900
P=0330 | X=0112.850-0366.160 | Y=0217.750-0228.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0330 | X=0112.850-0199.400 | Y=0229.270-0240.510 | >400m đến ≤600m.
P=0330 | X=0112.850-0336.020 | Y=0246.790-0258.030 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0330 | X=0112.850-0358.760 | Y=0264.550-0275.790 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0330 | X=0112.850-0372.220 | Y=0276.070-0287.310 | thông ra Quốc lộ 51 đoạn từ Đường Bùi Văn Hòa (Quốc lộ
P=0330 | X=0112.850-0374.830 | Y=0287.620-0298.860 | 15 nối dài) đến Đường Nguyễn Trung Trực có hiện trạng là
P=0330 | X=0112.850-0248.620 | Y=0299.140-0310.380 | đường nhựa, bê tông xi măng:
P=0330 | X=0095.810-0106.930 | Y=0307.020-0316.340 | 42
P=0330 | X=0397.820-0422.870 | Y=0307.020-0316.340 | 3.700
P=0330 | X=0446.330-0471.380 | Y=0307.020-0316.340 | 2.600
P=0330 | X=0497.230-0522.280 | Y=0307.020-0316.340 | 2.200
P=0330 | X=0112.850-0353.960 | Y=0316.660-0327.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0330 | X=0112.850-0146.610 | Y=0329.820-0339.140 | >600m.
P=0330 | X=0112.850-0339.140 | Y=0345.460-0356.700 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0330 | X=0211.030-0280.020 | Y=0363.220-0374.460 | Đường Nguyễn
P=0330 | X=0095.810-0161.410 | Y=0370.880-0380.200 | 43 Quốc lộ 51
P=0330 | X=0297.240-0373.400 | Y=0370.880-0380.200 | Cầu Sông Buông
P=0330 | X=0392.300-0422.870 | Y=0370.880-0380.200 | 16.600
P=0330 | X=0440.810-0471.380 | Y=0370.880-0380.200 | 11.600
P=0330 | X=0491.710-0522.280 | Y=0370.880-0380.200 | 10.000
P=0330 | X=0211.030-0261.220 | Y=0376.640-0385.960 | Trung Trực
P=0330 | X=0112.850-0364.060 | Y=0392.520-0403.760 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ
P=0330 | X=0112.850-0352.530 | Y=0404.040-0415.280 | 51 đoạn từ Đường Nguyễn Trung Trực đến Cầu Sông
P=0330 | X=0112.850-0351.380 | Y=0415.560-0426.800 | Buông có hiện trạng là đường nhựa, bê tông xi măng:
P=0330 | X=0095.810-0106.930 | Y=0429.200-0438.520 | 44
P=0330 | X=0397.820-0422.870 | Y=0429.200-0438.520 | 8.300
P=0330 | X=0446.330-0471.380 | Y=0429.200-0438.520 | 5.800
P=0330 | X=0497.230-0522.280 | Y=0429.200-0438.520 | 5.000
P=0330 | X=0112.850-0335.760 | Y=0433.080-0444.320 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0330 | X=0112.850-0353.960 | Y=0450.620-0461.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0330 | X=0112.850-0146.370 | Y=0462.140-0473.380 | ≤400m.
P=0330 | X=0112.850-0364.060 | Y=0479.900-0491.140 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ
P=0330 | X=0112.850-0352.530 | Y=0491.420-0502.660 | 51 đoạn từ Đường Nguyễn Trung Trực đến Cầu Sông
P=0330 | X=0112.850-0351.380 | Y=0502.940-0514.180 | Buông có hiện trạng là đường nhựa, bê tông xi măng:
P=0330 | X=0095.810-0336.020 | Y=0520.220-0534.540 | 45 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0330 | X=0397.820-0422.870 | Y=0525.220-0534.540 | 4.600
P=0330 | X=0446.330-0471.380 | Y=0525.220-0534.540 | 3.200
P=0330 | X=0497.230-0522.280 | Y=0525.220-0534.540 | 2.800
P=0330 | X=0112.850-0366.160 | Y=0537.770-0549.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0330 | X=0112.850-0199.400 | Y=0549.290-0560.530 | >400m đến ≤600m.
P=0330 | X=0112.850-0336.020 | Y=0566.810-0578.050 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0330 | X=0112.850-0364.060 | Y=0584.570-0595.810 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ
P=0330 | X=0112.850-0352.530 | Y=0596.090-0607.330 | 51 đoạn từ Đường Nguyễn Trung Trực đến Cầu Sông
P=0330 | X=0112.850-0351.380 | Y=0607.610-0618.850 | Buông có hiện trạng là đường nhựa, bê tông xi măng:
P=0330 | X=0095.810-0106.930 | Y=0621.270-0630.590 | 46
P=0330 | X=0397.820-0422.870 | Y=0621.270-0630.590 | 3.900
P=0330 | X=0446.330-0471.380 | Y=0621.270-0630.590 | 2.700
P=0330 | X=0497.230-0522.280 | Y=0621.270-0630.590 | 2.300
P=0330 | X=0112.850-0353.960 | Y=0625.150-0636.390 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0330 | X=0112.850-0146.610 | Y=0638.550-0647.870 | >600m.
P=0330 | X=0112.850-0336.490 | Y=0654.190-0665.430 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0330 | X=0112.850-0358.760 | Y=0671.950-0683.190 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0330 | X=0112.850-0362.540 | Y=0683.470-0694.710 | thông ra Quốc lộ 51 đoạn từ Đường Nguyễn Trung Trực
P=0330 | X=0095.810-0106.930 | Y=0691.110-0700.430 | 47
P=0330 | X=0397.820-0422.870 | Y=0691.110-0700.430 | 7.500
P=0330 | X=0446.330-0471.380 | Y=0691.110-0700.430 | 5.300
P=0330 | X=0497.230-0522.280 | Y=0691.110-0700.430 | 4.500
P=0330 | X=0112.850-0377.490 | Y=0694.750-0705.990 | đến Cầu Sông Buông có hiện trạng là đường nhựa, bê tông
P=0330 | X=0112.850-0150.680 | Y=0706.290-0717.530 | xi măng:
P=0331 | X=0112.850-0335.760 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0331 | X=0112.850-0353.960 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0331 | X=0112.850-0146.370 | Y=0107.540-0118.780 | ≤400m.
P=0331 | X=0112.850-0358.760 | Y=0125.330-0136.570 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0331 | X=0112.850-0362.540 | Y=0136.850-0148.090 | thông ra Quốc lộ 51 đoạn từ Đường Nguyễn Trung Trực
P=0331 | X=0112.850-0377.490 | Y=0148.370-0159.610 | đến Cầu Sông Buông có hiện trạng là đường nhựa, bê tông
P=0331 | X=0112.850-0150.680 | Y=0159.650-0170.890 | xi măng:
P=0331 | X=0095.810-0336.020 | Y=0176.410-0188.410 | 48 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0331 | X=0397.820-0422.870 | Y=0176.410-0185.730 | 4.100
P=0331 | X=0446.330-0471.380 | Y=0176.410-0185.730 | 2.900
P=0331 | X=0497.230-0522.280 | Y=0176.410-0185.730 | 2.500
P=0331 | X=0112.850-0366.160 | Y=0194.690-0205.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0331 | X=0112.850-0199.400 | Y=0206.230-0217.470 | >400m đến ≤600m.
P=0331 | X=0112.850-0336.020 | Y=0223.750-0234.990 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0331 | X=0112.850-0358.760 | Y=0241.510-0252.750 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0331 | X=0112.850-0362.540 | Y=0253.030-0264.270 | thông ra Quốc lộ 51 đoạn từ Đường Nguyễn Trung Trực
P=0331 | X=0112.850-0377.490 | Y=0264.550-0275.790 | đến Cầu Sông Buông có hiện trạng là đường nhựa, bê tông
P=0331 | X=0112.850-0150.680 | Y=0276.070-0287.310 | xi măng:
P=0331 | X=0095.810-0106.930 | Y=0283.980-0293.300 | 49
P=0331 | X=0397.820-0422.870 | Y=0283.980-0293.300 | 3.500
P=0331 | X=0446.330-0471.380 | Y=0283.980-0293.300 | 2.500
P=0331 | X=0497.230-0522.280 | Y=0283.980-0293.300 | 2.100
P=0331 | X=0112.850-0353.960 | Y=0293.620-0304.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0331 | X=0112.850-0146.610 | Y=0307.020-0316.340 | >600m.
P=0331 | X=0112.850-0339.140 | Y=0322.660-0333.900 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0331 | X=0297.240-0341.240 | Y=0342.300-0351.620 | Giáp ranh
P=0331 | X=0211.030-0366.140 | Y=0351.700-0362.940 | Cầu Sông Buông phường Phước
P=0331 | X=0095.810-0161.410 | Y=0353.580-0362.900 | 50 Quốc lộ 51
P=0331 | X=0392.300-0422.870 | Y=0353.580-0362.900 | 14.200
P=0331 | X=0446.330-0471.380 | Y=0353.580-0362.900 | 9.900
P=0331 | X=0497.230-0522.280 | Y=0353.580-0362.900 | 8.500
P=0331 | X=0297.240-0314.600 | Y=0365.100-0374.420 | Tân
P=0331 | X=0112.850-0364.060 | Y=0381.000-0392.240 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ
P=0331 | X=0112.850-0378.140 | Y=0392.520-0403.760 | 51 đoạn từ Cầu Sông Buông đến Giáp ranh phường Phước
P=0331 | X=0112.850-0339.850 | Y=0404.040-0415.280 | Tân có hiện trạng là đường nhựa, bê tông xi măng:
P=0331 | X=0095.810-0106.930 | Y=0417.680-0427.000 | 51
P=0331 | X=0397.820-0422.870 | Y=0417.680-0427.000 | 5.900
P=0331 | X=0446.330-0471.380 | Y=0417.680-0427.000 | 4.100
P=0331 | X=0497.230-0522.280 | Y=0417.680-0427.000 | 3.500
P=0331 | X=0112.850-0335.760 | Y=0421.560-0432.800 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0331 | X=0112.850-0353.960 | Y=0439.080-0450.320 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0331 | X=0112.850-0146.370 | Y=0450.620-0461.860 | ≤400m.
P=0331 | X=0112.850-0364.060 | Y=0468.380-0479.620 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ
P=0331 | X=0112.850-0378.140 | Y=0479.900-0491.140 | 51 đoạn từ Cầu Sông Buông đến Giáp ranh phường Phước
P=0331 | X=0112.850-0339.880 | Y=0491.420-0502.660 | Tân có hiện trạng là đường nhựa, bê tông xi măng:
P=0331 | X=0095.810-0336.020 | Y=0508.940-0523.020 | 52 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0331 | X=0397.820-0422.870 | Y=0513.700-0523.020 | 4.600
P=0331 | X=0446.330-0471.380 | Y=0513.700-0523.020 | 3.200
P=0331 | X=0497.230-0522.280 | Y=0513.700-0523.020 | 2.800
P=0331 | X=0112.850-0366.160 | Y=0526.220-0537.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0331 | X=0112.850-0199.400 | Y=0537.770-0549.010 | >400m đến ≤600m.
P=0331 | X=0112.850-0336.020 | Y=0555.290-0566.530 | - Có bề rộng <3m, cách đường giao thông ≤200m.
