TABLE=031 | AREA=Xã Xuân Quế | SECTION=non-agricultural | SEGMENTS=1
P=1121 | X=0111.170-0371.270 | Y=0590.090-0601.330 | ra Đường Trung tâm ấp 1 đoạn từ Đường Sông Nhạn-Dầu
P=1121 | X=0111.170-0387.590 | Y=0601.610-0612.850 | Giây đi qua Trường Tiểu học Sông Nhạn đến Giáp đường cao
P=1121 | X=0111.170-0389.720 | Y=0613.130-0624.370 | tốc Phan Thiết-Dầu Giây có hiện trạng là đường nhựa, bê tông
P=1121 | X=0094.820-0105.940 | Y=0621.030-0630.350 | 26
P=1121 | X=0405.740-0430.790 | Y=0621.030-0630.350 | 1.100
P=1121 | X=0461.690-0478.330 | Y=0621.030-0630.350 | 770
P=1121 | X=0505.390-0522.030 | Y=0621.030-0630.350 | 660
P=1121 | X=0111.170-0149.000 | Y=0624.670-0635.910 | xi măng:
P=1121 | X=0111.170-0342.250 | Y=0642.190-0653.430 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1121 | X=0111.170-0388.360 | Y=0659.710-0670.950 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1121 | X=0111.170-0384.680 | Y=0677.470-0688.710 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1121 | X=0094.820-0371.270 | Y=0688.750-0699.990 | 27 ra Đường Trung tâm ấp 1 đoạn từ Đường Sông Nhạn-Dầu
P=1121 | X=0413.900-0430.540 | Y=0690.630-0699.950 | 740
P=1121 | X=0461.690-0478.330 | Y=0690.630-0699.950 | 520
P=1121 | X=0505.390-0522.030 | Y=0690.630-0699.950 | 440
P=1121 | X=0111.170-0387.590 | Y=0700.290-0711.530 | Giây đi qua Trường Tiểu học Sông Nhạn đến Giáp đường cao
P=1122 | X=0111.170-0389.720 | Y=0072.500-0083.740 | tốc Phan Thiết-Dầu Giây có hiện trạng là đường nhựa, bê tông
P=1122 | X=0111.170-0149.000 | Y=0084.020-0095.260 | xi măng:
P=1122 | X=0111.170-0342.720 | Y=0101.540-0112.780 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1122 | X=0111.170-0364.480 | Y=0119.090-0130.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1122 | X=0111.170-0206.120 | Y=0130.610-0141.850 | >500m đến ≤1.000m.
P=1122 | X=0111.170-0334.340 | Y=0148.130-0159.370 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1122 | X=0111.170-0384.680 | Y=0165.650-0176.890 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1122 | X=0111.170-0371.270 | Y=0177.170-0188.410 | ra Đường Trung tâm ấp 1 đoạn từ Đường Sông Nhạn-Dầu
P=1122 | X=0111.170-0387.590 | Y=0188.690-0199.930 | Giây đi qua Trường Tiểu học Sông Nhạn đến Giáp đường cao
P=1122 | X=0111.170-0389.720 | Y=0200.230-0211.470 | tốc Phan Thiết-Dầu Giây có hiện trạng là đường nhựa, bê tông
P=1122 | X=0094.820-0149.000 | Y=0211.750-0223.190 | 28 xi măng:
P=1122 | X=0413.900-0430.570 | Y=0213.870-0223.190 | 530
P=1122 | X=0461.690-0478.330 | Y=0213.870-0223.190 | 370
P=1122 | X=0505.390-0522.030 | Y=0213.870-0223.190 | 320
P=1122 | X=0111.170-0352.280 | Y=0229.270-0240.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1122 | X=0111.170-0153.310 | Y=0242.670-0251.990 | >1.000m.
P=1122 | X=0111.170-0334.810 | Y=0258.310-0269.550 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1122 | X=0220.870-0278.830 | Y=0276.070-0287.310 | Đường Sông
P=1122 | X=0303.480-0389.750 | Y=0276.070-0287.310 | Đường Lộ 25-Sông
P=1122 | X=0094.820-0198.150 | Y=0281.860-0293.100 | 29 Đường ấp 4 đi ấp 1
P=1122 | X=0405.740-0430.790 | Y=0283.740-0293.060 | 1.800
P=1122 | X=0453.530-0478.580 | Y=0283.740-0293.060 | 1.300
P=1122 | X=0497.230-0522.280 | Y=0283.740-0293.060 | 1.100
P=1122 | X=0220.870-0290.010 | Y=0289.500-0298.820 | Nhạn-Dầu Giây
P=1122 | X=0303.480-0327.320 | Y=0289.500-0298.820 | Nhạn
P=1122 | X=0111.170-0381.820 | Y=0305.380-0316.620 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ấp 4
P=1122 | X=0111.170-0378.460 | Y=0316.900-0328.140 | đi ấp 1 đoạn từ Đường Sông Nhạn-Dầu Giây đến Đường Lộ
P=1122 | X=0111.170-0385.240 | Y=0328.420-0339.660 | 25-Sông Nhạn có hiện trạng là đường nhựa, bê tông xi măng:
P=1122 | X=0094.820-0105.940 | Y=0336.300-0345.620 | 30
P=1122 | X=0413.900-0430.540 | Y=0336.300-0345.620 | 940
P=1122 | X=0461.690-0478.330 | Y=0336.300-0345.620 | 660
P=1122 | X=0505.390-0522.030 | Y=0336.300-0345.620 | 560
P=1122 | X=0111.170-0342.250 | Y=0345.700-0356.940 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1122 | X=0111.170-0388.360 | Y=0363.220-0374.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1122 | X=0111.170-0381.820 | Y=0381.000-0392.240 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ấp 4
P=1122 | X=0111.170-0378.460 | Y=0392.520-0403.760 | đi ấp 1 đoạn từ Đường Sông Nhạn-Dầu Giây đến Đường Lộ
P=1122 | X=0111.170-0385.230 | Y=0404.040-0415.280 | 25-Sông Nhạn có hiện trạng là đường nhựa, bê tông xi măng:
P=1122 | X=0094.820-0342.720 | Y=0421.560-0435.880 | 31 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1122 | X=0413.900-0430.540 | Y=0426.560-0435.880 | 820
P=1122 | X=0461.690-0478.330 | Y=0426.560-0435.880 | 570
P=1122 | X=0505.390-0522.030 | Y=0426.560-0435.880 | 490
P=1122 | X=0111.170-0364.480 | Y=0439.080-0450.320 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1122 | X=0111.170-0206.120 | Y=0450.620-0461.860 | >500m đến ≤1.000m.
P=1122 | X=0111.170-0334.340 | Y=0468.140-0479.380 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1122 | X=0111.170-0381.820 | Y=0485.900-0497.140 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ấp 4
P=1122 | X=0111.170-0378.460 | Y=0497.420-0508.660 | đi ấp 1 đoạn từ Đường Sông Nhạn-Dầu Giây đến Đường Lộ
P=1122 | X=0111.170-0385.230 | Y=0508.940-0520.180 | 25-Sông Nhạn có hiện trạng là đường nhựa, bê tông xi măng:
P=1122 | X=0094.820-0105.940 | Y=0522.340-0531.660 | 32
P=1122 | X=0413.900-0430.540 | Y=0522.340-0531.660 | 590
P=1122 | X=0461.690-0478.330 | Y=0522.340-0531.660 | 410
P=1122 | X=0505.390-0522.030 | Y=0522.340-0531.660 | 350
P=1122 | X=0111.170-0352.280 | Y=0526.220-0537.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1122 | X=0111.170-0153.310 | Y=0539.650-0548.970 | >1.000m.
P=1122 | X=0111.170-0334.830 | Y=0555.290-0566.530 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1122 | X=0111.170-0384.680 | Y=0573.050-0584.290 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1122 | X=0111.170-0379.070 | Y=0584.570-0595.810 | ra Đường ấp 4 đi ấp 1 đoạn từ Đường Sông Nhạn-Dầu Giây
P=1122 | X=0111.170-0376.150 | Y=0596.090-0607.330 | đến Đường Lộ 25-Sông Nhạn có hiện trạng là đường nhựa,
P=1122 | X=0094.820-0185.250 | Y=0607.610-0619.050 | 33 bê tông xi măng:
P=1122 | X=0413.900-0430.540 | Y=0609.730-0619.050 | 850
P=1122 | X=0461.690-0478.330 | Y=0609.730-0619.050 | 600
P=1122 | X=0505.390-0522.030 | Y=0609.730-0619.050 | 510
P=1122 | X=0111.170-0342.280 | Y=0625.150-0636.390 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1122 | X=0111.170-0388.360 | Y=0642.670-0653.910 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1122 | X=0111.170-0384.680 | Y=0660.430-0671.670 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1122 | X=0111.170-0379.070 | Y=0671.950-0683.190 | ra Đường ấp 4 đi ấp 1 đoạn từ Đường Sông Nhạn-Dầu Giây
P=1122 | X=0094.820-0105.940 | Y=0679.590-0688.910 | 34
P=1122 | X=0413.900-0430.540 | Y=0679.590-0688.910 | 740
P=1122 | X=0461.690-0478.330 | Y=0679.590-0688.910 | 520
P=1122 | X=0505.390-0522.030 | Y=0679.590-0688.910 | 440
P=1122 | X=0111.170-0376.150 | Y=0683.470-0694.710 | đến Đường Lộ 25-Sông Nhạn có hiện trạng là đường nhựa,
P=1122 | X=0111.170-0185.240 | Y=0694.750-0705.990 | bê tông xi măng:
P=1123 | X=0111.170-0342.720 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1123 | X=0111.170-0364.480 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1123 | X=0111.170-0206.120 | Y=0107.540-0118.780 | >500m đến ≤1.000m.
P=1123 | X=0111.170-0334.340 | Y=0125.090-0136.330 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1123 | X=0111.170-0384.680 | Y=0142.850-0154.090 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1123 | X=0111.170-0379.070 | Y=0154.370-0165.610 | ra Đường ấp 4 đi ấp 1 đoạn từ Đường Sông Nhạn-Dầu Giây
P=1123 | X=0111.170-0376.150 | Y=0165.650-0176.890 | đến Đường Lộ 25-Sông Nhạn có hiện trạng là đường nhựa,
P=1123 | X=0111.170-0185.250 | Y=0177.170-0188.410 | bê tông xi măng:
P=1123 | X=0094.820-0105.940 | Y=0185.050-0194.370 | 35
P=1123 | X=0413.900-0430.540 | Y=0185.050-0194.370 | 530
P=1123 | X=0461.690-0478.330 | Y=0185.050-0194.370 | 370
P=1123 | X=0505.390-0522.030 | Y=0185.050-0194.370 | 320
P=1123 | X=0111.170-0352.280 | Y=0194.690-0205.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1123 | X=0111.170-0153.310 | Y=0208.110-0217.430 | >1.000m.
P=1123 | X=0111.170-0334.810 | Y=0223.750-0234.990 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1123 | X=0111.170-0202.960 | Y=0241.510-0252.750 | Đường Lộ 25 - Sông
P=1123 | X=0220.870-0381.350 | Y=0243.390-0252.710 | Sông Nhạn - Dầu Ranh giới xã Dầu
P=1123 | X=0094.820-0105.940 | Y=0249.150-0258.470 | 36
P=1123 | X=0405.740-0430.790 | Y=0249.150-0258.470 | 1.900
P=1123 | X=0453.530-0478.580 | Y=0249.150-0258.470 | 1.300
P=1123 | X=0497.230-0522.280 | Y=0249.150-0258.470 | 1.100
P=1123 | X=0111.170-0135.010 | Y=0254.910-0264.230 | Nhạn
P=1123 | X=0220.870-0241.740 | Y=0254.910-0264.230 | Giây
P=1123 | X=0303.480-0324.350 | Y=0254.910-0264.230 | Giây
P=1123 | X=0111.170-0387.340 | Y=0270.790-0282.030 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lộ 25
P=1123 | X=0111.170-0387.100 | Y=0282.340-0293.580 | - Sông Nhạn đoạn từ Sông Nhạn - Dầu Giây đến Ranh giới xã
P=1123 | X=0111.170-0362.400 | Y=0293.860-0305.100 | Dầu Giây có hiện trạng là đường nhựa, bê tông xi măng:
P=1123 | X=0094.820-0105.940 | Y=0301.740-0311.060 | 37
P=1123 | X=0413.900-0430.540 | Y=0301.740-0311.060 | 940
P=1123 | X=0461.690-0478.330 | Y=0301.740-0311.060 | 660
P=1123 | X=0505.390-0522.030 | Y=0301.740-0311.060 | 560
P=1123 | X=0111.170-0342.250 | Y=0311.380-0322.620 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1123 | X=0111.170-0388.360 | Y=0328.900-0340.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1123 | X=0111.170-0387.340 | Y=0346.660-0357.900 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lộ 25
P=1123 | X=0111.170-0387.100 | Y=0357.940-0369.180 | - Sông Nhạn đoạn từ Sông Nhạn - Dầu Giây đến Ranh giới xã
P=1123 | X=0111.170-0362.400 | Y=0369.480-0380.720 | Dầu Giây có hiện trạng là đường nhựa, bê tông xi măng:
P=1123 | X=0094.820-0342.720 | Y=0387.000-0401.320 | 38 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1123 | X=0413.900-0430.540 | Y=0392.000-0401.320 | 820
P=1123 | X=0461.690-0478.330 | Y=0392.000-0401.320 | 570
P=1123 | X=0505.390-0522.030 | Y=0392.000-0401.320 | 490
P=1123 | X=0111.170-0364.480 | Y=0404.520-0415.760 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1123 | X=0111.170-0206.120 | Y=0416.040-0427.280 | >500m đến ≤1.000m.
P=1123 | X=0111.170-0334.340 | Y=0433.560-0444.800 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1123 | X=0111.170-0387.340 | Y=0451.340-0462.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lộ 25
P=1123 | X=0111.170-0387.100 | Y=0462.860-0474.100 | - Sông Nhạn đoạn từ Sông Nhạn - Dầu Giây đến Ranh giới xã
P=1123 | X=0111.170-0362.400 | Y=0474.380-0485.620 | Dầu Giây có hiện trạng là đường nhựa, bê tông xi măng:
P=1123 | X=0094.820-0105.940 | Y=0488.020-0497.340 | 39
P=1123 | X=0413.900-0430.540 | Y=0488.020-0497.340 | 640
P=1123 | X=0461.690-0478.330 | Y=0488.020-0497.340 | 450
P=1123 | X=0505.390-0522.030 | Y=0488.020-0497.340 | 380
P=1123 | X=0111.170-0352.280 | Y=0491.900-0503.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1123 | X=0111.170-0153.310 | Y=0505.300-0514.620 | >1.000m.
P=1123 | X=0111.170-0334.810 | Y=0520.940-0532.180 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1123 | X=0111.170-0384.680 | Y=0538.490-0549.730 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1123 | X=0111.170-0381.950 | Y=0550.010-0561.250 | ra Đường Lộ 25 - Sông Nhạn đoạn từ Sông Nhạn - Dầu Giây
P=1123 | X=0111.170-0378.700 | Y=0561.530-0572.770 | đến Ranh giới xã Dầu Giây có hiện trạng là đường nhựa, bê
P=1123 | X=0094.820-0171.330 | Y=0573.050-0584.490 | 40 tông xi măng:
P=1123 | X=0413.900-0430.540 | Y=0575.170-0584.490 | 850
P=1123 | X=0461.690-0478.330 | Y=0575.170-0584.490 | 600
P=1123 | X=0505.390-0522.030 | Y=0575.170-0584.490 | 510
P=1123 | X=0111.170-0342.250 | Y=0590.570-0601.810 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1123 | X=0111.170-0388.360 | Y=0608.090-0619.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1123 | X=0111.170-0384.680 | Y=0625.870-0637.110 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1123 | X=0111.170-0381.950 | Y=0637.390-0648.630 | ra Đường Lộ 25 - Sông Nhạn đoạn từ Sông Nhạn - Dầu Giây
P=1123 | X=0111.170-0378.700 | Y=0648.910-0660.150 | đến Ranh giới xã Dầu Giây có hiện trạng là đường nhựa, bê
P=1123 | X=0111.170-0171.330 | Y=0660.430-0671.670 | tông xi măng:
P=1123 | X=0094.820-0105.940 | Y=0668.310-0677.630 | 41
P=1123 | X=0413.900-0430.540 | Y=0668.310-0677.630 | 740
P=1123 | X=0461.690-0478.330 | Y=0668.310-0677.630 | 520
P=1123 | X=0505.390-0522.030 | Y=0668.310-0677.630 | 440
P=1123 | X=0111.170-0342.720 | Y=0677.950-0689.190 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1123 | X=0111.170-0364.480 | Y=0695.470-0706.710 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1123 | X=0111.170-0206.120 | Y=0706.770-0718.010 | >500m đến ≤1.000m.
P=1124 | X=0111.170-0334.340 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1124 | X=0111.170-0384.680 | Y=0096.260-0107.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1124 | X=0111.170-0381.950 | Y=0107.780-0119.020 | ra Đường Lộ 25 - Sông Nhạn đoạn từ Sông Nhạn - Dầu Giây
P=1124 | X=0111.170-0378.700 | Y=0119.330-0130.570 | đến Ranh giới xã Dầu Giây có hiện trạng là đường nhựa, bê
P=1124 | X=0111.170-0171.330 | Y=0130.850-0142.090 | tông xi măng:
P=1124 | X=0094.820-0105.940 | Y=0138.730-0148.050 | 42
P=1124 | X=0413.900-0430.540 | Y=0138.730-0148.050 | 580
P=1124 | X=0461.690-0478.330 | Y=0138.730-0148.050 | 410
P=1124 | X=0505.390-0522.030 | Y=0138.730-0148.050 | 350
P=1124 | X=0111.170-0352.280 | Y=0148.370-0159.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1124 | X=0111.170-0153.310 | Y=0161.530-0170.850 | >1.000m.
P=1124 | X=0111.170-0334.810 | Y=0177.170-0188.410 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1124 | X=0220.870-0286.660 | Y=0194.930-0206.170 | Đường Lộ 25 -
P=1124 | X=0094.820-0198.150 | Y=0200.710-0211.950 | 43 Đường ấp 4 đi ấp 6
P=1124 | X=0303.480-0373.650 | Y=0200.710-0211.950 | Đường tỉnh 773
P=1124 | X=0405.740-0430.790 | Y=0202.590-0211.910 | 2.100
P=1124 | X=0453.530-0478.580 | Y=0202.590-0211.910 | 1.500
P=1124 | X=0497.230-0522.280 | Y=0202.590-0211.910 | 1.300
P=1124 | X=0220.870-0270.910 | Y=0208.350-0217.670 | Sông Nhạn
P=1124 | X=0111.170-0381.820 | Y=0224.230-0235.470 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ấp 4
P=1124 | X=0111.170-0372.710 | Y=0235.750-0246.990 | đi ấp 6 đoạn từ Đường Lộ 25 - Sông Nhạn đến Đường tỉnh
P=1124 | X=0111.170-0337.460 | Y=0247.270-0258.510 | 773 có hiện trạng là đường nhựa, bê tông xi măng:
P=1124 | X=0094.820-0105.940 | Y=0255.150-0264.470 | 44
P=1124 | X=0405.740-0430.790 | Y=0255.150-0264.470 | 1.100
P=1124 | X=0461.690-0478.330 | Y=0255.150-0264.470 | 770
P=1124 | X=0505.390-0522.030 | Y=0255.150-0264.470 | 660
P=1124 | X=0111.170-0342.260 | Y=0264.790-0276.030 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1124 | X=0111.170-0388.360 | Y=0282.340-0293.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1124 | X=0111.170-0381.820 | Y=0300.100-0311.340 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ấp 4
P=1124 | X=0111.170-0372.710 | Y=0311.620-0322.860 | đi ấp 6 đoạn từ Đường Lộ 25 - Sông Nhạn đến Đường tỉnh
P=1124 | X=0111.170-0337.460 | Y=0323.140-0334.380 | 773 có hiện trạng là đường nhựa, bê tông xi măng:
P=1124 | X=0094.820-0342.720 | Y=0340.660-0354.740 | 45 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1124 | X=0413.900-0430.540 | Y=0345.420-0354.740 | 990
P=1124 | X=0461.690-0478.330 | Y=0345.420-0354.740 | 690
P=1124 | X=0505.390-0522.030 | Y=0345.420-0354.740 | 590
P=1124 | X=0111.170-0364.480 | Y=0357.940-0369.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1124 | X=0111.170-0206.120 | Y=0369.480-0380.720 | >500m đến ≤1.000m.
P=1124 | X=0111.170-0334.340 | Y=0387.000-0398.240 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1124 | X=0111.170-0381.820 | Y=0404.760-0416.000 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ấp 4
P=1124 | X=0111.170-0372.710 | Y=0416.280-0427.520 | đi ấp 6 đoạn từ Đường Lộ 25 - Sông Nhạn đến Đường tỉnh
P=1124 | X=0111.170-0337.460 | Y=0427.800-0439.040 | 773 có hiện trạng là đường nhựa, bê tông xi măng:
P=1124 | X=0094.820-0105.940 | Y=0441.440-0450.760 | 46
P=1124 | X=0413.900-0430.540 | Y=0441.440-0450.760 | 780
P=1124 | X=0461.690-0478.330 | Y=0441.440-0450.760 | 550
P=1124 | X=0505.390-0522.030 | Y=0441.440-0450.760 | 470
P=1124 | X=0111.170-0352.280 | Y=0445.320-0456.560 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1124 | X=0111.170-0153.310 | Y=0458.740-0468.060 | >1.000m.
P=1124 | X=0111.170-0334.810 | Y=0474.380-0485.620 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1124 | X=0111.170-0384.680 | Y=0492.140-0503.380 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1124 | X=0111.170-0387.350 | Y=0503.660-0514.900 | ra Đường ấp 4 đi ấp 6 đoạn từ Đường Lộ 25 - Sông Nhạn đến
P=1124 | X=0111.170-0360.200 | Y=0515.180-0526.420 | Đường tỉnh 773 có hiện trạng là đường nhựa, bê tông xi
P=1124 | X=0094.820-0139.170 | Y=0526.460-0538.140 | 47 măng:
P=1124 | X=0405.740-0430.790 | Y=0528.820-0538.140 | 1.000
P=1124 | X=0461.690-0478.330 | Y=0528.820-0538.140 | 700
P=1124 | X=0505.390-0522.030 | Y=0528.820-0538.140 | 600
P=1124 | X=0111.170-0342.250 | Y=0544.010-0555.250 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1124 | X=0111.170-0388.360 | Y=0561.530-0572.770 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1124 | X=0111.170-0384.680 | Y=0579.290-0590.530 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1124 | X=0111.170-0387.350 | Y=0590.810-0602.050 | ra Đường ấp 4 đi ấp 6 đoạn từ Đường Lộ 25 - Sông Nhạn đến
P=1124 | X=0111.170-0360.200 | Y=0602.330-0613.570 | Đường tỉnh 773 có hiện trạng là đường nhựa, bê tông xi
P=1124 | X=0111.170-0139.170 | Y=0613.850-0625.090 | măng:
P=1124 | X=0094.820-0342.720 | Y=0630.390-0642.630 | 48 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1124 | X=0413.900-0430.540 | Y=0630.390-0639.710 | 890
P=1124 | X=0461.690-0478.330 | Y=0630.390-0639.710 | 620
P=1124 | X=0505.390-0522.030 | Y=0630.390-0639.710 | 530
P=1124 | X=0111.170-0364.480 | Y=0648.910-0660.150 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1124 | X=0111.170-0206.120 | Y=0660.430-0671.670 | >500m đến ≤1.000m.
P=1124 | X=0111.170-0334.340 | Y=0677.950-0689.190 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1124 | X=0111.170-0384.680 | Y=0695.710-0706.950 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1124 | X=0094.820-0105.940 | Y=0703.380-0712.700 | 49
P=1124 | X=0413.900-0430.540 | Y=0703.380-0712.700 | 700
P=1124 | X=0461.690-0478.330 | Y=0703.380-0712.700 | 490
P=1124 | X=0505.390-0522.030 | Y=0703.380-0712.700 | 420
P=1124 | X=0111.170-0387.350 | Y=0707.250-0718.490 | ra Đường ấp 4 đi ấp 6 đoạn từ Đường Lộ 25 - Sông Nhạn đến
P=1125 | X=0111.170-0360.200 | Y=0072.500-0083.740 | Đường tỉnh 773 có hiện trạng là đường nhựa, bê tông xi
P=1125 | X=0111.170-0139.170 | Y=0084.020-0095.260 | măng:
P=1125 | X=0111.170-0352.280 | Y=0101.540-0112.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1125 | X=0111.170-0153.310 | Y=0114.940-0124.260 | >1.000m.
P=1125 | X=0111.170-0334.810 | Y=0130.610-0141.850 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1125 | X=0111.170-0213.510 | Y=0148.370-0159.610 | Đường Suối Đục - Cầu
P=1125 | X=0220.870-0291.070 | Y=0154.130-0165.370 | Đường tỉnh 773
P=1125 | X=0094.820-0105.940 | Y=0156.010-0165.330 | 50
P=1125 | X=0303.480-0354.190 | Y=0156.010-0165.330 | Xã Bình An
P=1125 | X=0405.740-0430.790 | Y=0156.010-0165.330 | 2.300
P=1125 | X=0453.530-0478.580 | Y=0156.010-0165.330 | 1.600
P=1125 | X=0497.230-0522.280 | Y=0156.010-0165.330 | 1.400
P=1125 | X=0111.170-0130.690 | Y=0161.530-0170.850 | Mên
P=1125 | X=0111.170-0382.300 | Y=0177.410-0188.650 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Suối
P=1125 | X=0111.170-0374.820 | Y=0188.930-0200.170 | Đục - Cầu Mên đoạn từ Đường tỉnh 773 đến Xã Bình An có
P=1125 | X=0111.170-0304.780 | Y=0200.470-0211.710 | hiện trạng là đường nhựa, bê tông xi măng:
P=1125 | X=0094.820-0105.940 | Y=0208.350-0217.670 | 51
P=1125 | X=0405.740-0430.790 | Y=0208.350-0217.670 | 1.200
P=1125 | X=0461.690-0478.330 | Y=0208.350-0217.670 | 840
P=1125 | X=0505.390-0522.030 | Y=0208.350-0217.670 | 720
P=1125 | X=0111.170-0342.250 | Y=0217.990-0229.230 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1125 | X=0111.170-0388.360 | Y=0235.510-0246.750 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1125 | X=0111.170-0382.300 | Y=0253.270-0264.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Suối
P=1125 | X=0111.170-0374.820 | Y=0264.790-0276.030 | Đục - Cầu Mên đoạn từ Đường tỉnh 773 đến Xã Bình An có
P=1125 | X=0111.170-0304.780 | Y=0276.310-0287.550 | hiện trạng là đường nhựa, bê tông xi măng:
P=1125 | X=0094.820-0342.720 | Y=0293.860-0307.940 | 52 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1125 | X=0405.740-0430.790 | Y=0298.620-0307.940 | 1.000
P=1125 | X=0461.690-0478.330 | Y=0298.620-0307.940 | 700
P=1125 | X=0505.390-0522.030 | Y=0298.620-0307.940 | 600
P=1125 | X=0111.170-0364.480 | Y=0311.380-0322.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1125 | X=0111.170-0206.120 | Y=0322.900-0334.140 | >500m đến ≤1.000m.
P=1125 | X=0111.170-0334.340 | Y=0340.420-0351.660 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1125 | X=0111.170-0382.300 | Y=0357.940-0369.180 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Suối
P=1125 | X=0111.170-0374.820 | Y=0369.480-0380.720 | Đục - Cầu Mên đoạn từ Đường tỉnh 773 đến Xã Bình An có
P=1125 | X=0111.170-0304.780 | Y=0381.000-0392.240 | hiện trạng là đường nhựa, bê tông xi măng:
