TABLE=025 | AREA=Xã Xuân Hòa | SECTION=non-agricultural | SEGMENTS=1
P=0945 | X=0112.130-0379.660 | Y=0393.000-0404.240 | ra Quốc lộ 1 đoạn từ Hết chùa Quảng Long đến Đường Cầu
P=0945 | X=0112.130-0348.010 | Y=0404.520-0415.760 | Trắng có hiện trạng là đường nhựa, bê tông xi măng:
P=0945 | X=0095.330-0343.680 | Y=0422.040-0436.360 | 27 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0945 | X=0408.140-0424.780 | Y=0427.040-0436.360 | 860
P=0945 | X=0444.410-0461.050 | Y=0427.040-0436.360 | 600
P=0945 | X=0505.390-0522.030 | Y=0427.040-0436.360 | 520
P=0945 | X=0112.130-0365.440 | Y=0439.560-0450.800 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0945 | X=0112.130-0207.080 | Y=0451.100-0462.340 | >500m đến ≤1.000m.
P=0945 | X=0112.130-0335.300 | Y=0468.620-0479.860 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0945 | X=0112.130-0385.640 | Y=0486.380-0497.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0945 | X=0112.130-0379.660 | Y=0497.900-0509.140 | ra Quốc lộ 1 đoạn từ Hết chùa Quảng Long đến Đường Cầu
P=0945 | X=0112.130-0348.010 | Y=0509.420-0520.660 | Trắng có hiện trạng là đường nhựa, bê tông xi măng:
P=0945 | X=0095.330-0106.450 | Y=0523.060-0532.380 | 28
P=0945 | X=0408.140-0424.780 | Y=0523.060-0532.380 | 660
P=0945 | X=0444.410-0461.050 | Y=0523.060-0532.380 | 460
P=0945 | X=0505.390-0522.030 | Y=0523.060-0532.380 | 400
P=0945 | X=0112.130-0353.240 | Y=0526.940-0538.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0945 | X=0112.130-0154.270 | Y=0540.130-0549.450 | >1.000m.
P=0945 | X=0112.130-0335.770 | Y=0555.770-0567.010 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0945 | X=0320.520-0389.280 | Y=0573.530-0584.770 | Đường Tà Lú +
P=0945 | X=0095.330-0155.170 | Y=0581.170-0590.490 | 29 Quốc lộ 1
P=0945 | X=0243.460-0290.830 | Y=0581.170-0590.490 | Cầu Trắng
P=0945 | X=0399.980-0425.050 | Y=0581.170-0590.490 | 3.900
P=0945 | X=0436.250-0461.300 | Y=0581.170-0590.490 | 2.700
P=0945 | X=0497.230-0522.280 | Y=0581.170-0590.490 | 2.300
P=0945 | X=0320.520-0345.480 | Y=0586.930-0596.250 | 800m
P=0945 | X=0112.130-0371.740 | Y=0602.810-0614.050 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1
P=0945 | X=0112.130-0386.610 | Y=0614.330-0625.570 | đoạn từ Cầu Trắng đến Đường Tà Lú + 800m có hiện trạng là
P=0945 | X=0112.130-0247.900 | Y=0625.870-0637.110 | đường nhựa, bê tông xi măng:
P=0945 | X=0095.330-0106.450 | Y=0633.750-0643.070 | 30
P=0945 | X=0399.980-0425.030 | Y=0633.750-0643.070 | 1.600
P=0945 | X=0436.250-0461.300 | Y=0633.750-0643.070 | 1.100
P=0945 | X=0505.390-0522.030 | Y=0633.750-0643.070 | 960
P=0945 | X=0112.130-0343.210 | Y=0643.390-0654.630 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0945 | X=0112.130-0389.330 | Y=0660.910-0672.150 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0945 | X=0112.130-0371.740 | Y=0678.670-0689.910 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1
P=0945 | X=0095.330-0386.610 | Y=0690.190-0701.430 | 31 đoạn từ Cầu Trắng đến Đường Tà Lú + 800m có hiện trạng là
P=0945 | X=0408.140-0424.780 | Y=0692.070-0701.390 | 950
P=0945 | X=0444.410-0461.050 | Y=0692.070-0701.390 | 670
P=0945 | X=0505.390-0522.030 | Y=0692.070-0701.390 | 570
P=0945 | X=0112.130-0247.900 | Y=0701.730-0712.970 | đường nhựa, bê tông xi măng:
P=0946 | X=0112.130-0343.680 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0946 | X=0112.130-0365.440 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0946 | X=0112.130-0207.080 | Y=0107.540-0118.780 | >500m đến ≤1.000m.
P=0946 | X=0112.130-0335.300 | Y=0125.090-0136.330 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0946 | X=0112.130-0371.740 | Y=0142.850-0154.090 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1
P=0946 | X=0112.130-0386.610 | Y=0154.370-0165.610 | đoạn từ Cầu Trắng đến Đường Tà Lú + 800m có hiện trạng là
P=0946 | X=0112.130-0247.900 | Y=0165.650-0176.890 | đường nhựa, bê tông xi măng:
P=0946 | X=0095.330-0106.450 | Y=0179.290-0188.610 | 32
P=0946 | X=0408.140-0424.780 | Y=0179.290-0188.610 | 730
P=0946 | X=0444.410-0461.050 | Y=0179.290-0188.610 | 510
P=0946 | X=0505.390-0522.030 | Y=0179.290-0188.610 | 440
P=0946 | X=0112.130-0353.240 | Y=0183.170-0194.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0946 | X=0112.130-0154.270 | Y=0196.570-0205.890 | >1.000m.
P=0946 | X=0112.130-0335.770 | Y=0212.230-0223.470 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0946 | X=0112.130-0385.640 | Y=0229.990-0241.230 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0946 | X=0112.130-0386.100 | Y=0241.510-0252.750 | ra Quốc lộ 1 đoạn từ Cầu Trắng đến Đường Tà Lú + 800m có
P=0946 | X=0112.130-0305.740 | Y=0253.030-0264.270 | hiện trạng là đường nhựa, bê tông xi măng:
P=0946 | X=0095.330-0106.450 | Y=0260.910-0270.230 | 33
P=0946 | X=0399.980-0425.030 | Y=0260.910-0270.230 | 1.400
P=0946 | X=0444.410-0461.050 | Y=0260.910-0270.230 | 980
P=0946 | X=0505.390-0522.030 | Y=0260.910-0270.230 | 840
P=0946 | X=0112.130-0343.210 | Y=0270.550-0281.790 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0946 | X=0112.130-0389.320 | Y=0288.100-0299.340 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0946 | X=0112.130-0385.640 | Y=0305.860-0317.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0946 | X=0112.130-0386.110 | Y=0317.380-0328.620 | ra Quốc lộ 1 đoạn từ Cầu Trắng đến Đường Tà Lú + 800m có
P=0946 | X=0112.130-0305.740 | Y=0328.900-0340.140 | hiện trạng là đường nhựa, bê tông xi măng:
P=0946 | X=0095.330-0343.680 | Y=0346.420-0360.500 | 34 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0946 | X=0408.140-0424.780 | Y=0351.180-0360.500 | 860
P=0946 | X=0444.410-0461.050 | Y=0351.180-0360.500 | 600
P=0946 | X=0505.390-0522.030 | Y=0351.180-0360.500 | 520
P=0946 | X=0112.130-0365.440 | Y=0363.700-0374.940 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0946 | X=0112.130-0207.080 | Y=0375.240-0386.480 | >500m đến ≤1.000m.
P=0946 | X=0112.130-0335.300 | Y=0392.760-0404.000 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0946 | X=0112.130-0385.640 | Y=0410.520-0421.760 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0946 | X=0112.130-0386.100 | Y=0422.040-0433.280 | ra Quốc lộ 1 đoạn từ Cầu Trắng đến Đường Tà Lú + 800m có
P=0946 | X=0112.130-0305.740 | Y=0433.560-0444.800 | hiện trạng là đường nhựa, bê tông xi măng:
P=0946 | X=0095.330-0106.450 | Y=0447.200-0456.520 | 35
P=0946 | X=0408.140-0424.780 | Y=0447.200-0456.520 | 660
P=0946 | X=0444.410-0461.050 | Y=0447.200-0456.520 | 460
P=0946 | X=0505.390-0522.030 | Y=0447.200-0456.520 | 400
P=0946 | X=0112.130-0353.240 | Y=0451.100-0462.340 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0946 | X=0112.130-0154.270 | Y=0464.500-0473.820 | >1.000m.
P=0946 | X=0112.130-0335.770 | Y=0480.140-0491.380 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0946 | X=0243.460-0372.410 | Y=0497.900-0509.140 | Đường Tà Lú + Hết giáo xứ
P=0946 | X=0095.330-0155.170 | Y=0505.540-0514.860 | 36 Quốc lộ 1
P=0946 | X=0399.980-0425.030 | Y=0505.540-0514.860 | 4.200
P=0946 | X=0436.250-0461.300 | Y=0505.540-0514.860 | 2.900
P=0946 | X=0497.230-0522.280 | Y=0505.540-0514.860 | 2.500
P=0946 | X=0243.460-0268.420 | Y=0511.300-0520.620 | 800m
P=0946 | X=0320.520-0373.910 | Y=0511.300-0520.620 | Long Thuận
P=0946 | X=0112.130-0371.740 | Y=0527.180-0538.420 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1
P=0946 | X=0112.130-0389.260 | Y=0538.490-0549.730 | đoạn từ Đường Tà Lú + 800m đến Hết giáo xứ Long Thuận có
P=0946 | X=0112.130-0305.740 | Y=0550.010-0561.250 | hiện trạng là đường nhựa, bê tông xi măng:
P=0946 | X=0095.330-0106.450 | Y=0557.890-0567.210 | 37
P=0946 | X=0399.980-0425.030 | Y=0557.890-0567.210 | 1.600
P=0946 | X=0436.250-0461.300 | Y=0557.890-0567.210 | 1.100
P=0946 | X=0505.390-0522.030 | Y=0557.890-0567.210 | 960
P=0946 | X=0112.130-0343.210 | Y=0567.530-0578.770 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0946 | X=0112.130-0389.320 | Y=0585.050-0596.290 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0946 | X=0112.130-0371.740 | Y=0602.810-0614.050 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1
P=0946 | X=0112.130-0389.260 | Y=0614.330-0625.570 | đoạn từ Đường Tà Lú + 800m đến Hết giáo xứ Long Thuận có
P=0946 | X=0112.130-0305.780 | Y=0625.870-0637.110 | hiện trạng là đường nhựa, bê tông xi măng:
P=0946 | X=0095.330-0343.680 | Y=0643.390-0657.470 | 38 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0946 | X=0408.140-0424.780 | Y=0648.150-0657.470 | 950
P=0946 | X=0444.410-0461.050 | Y=0648.150-0657.470 | 670
P=0946 | X=0505.390-0522.030 | Y=0648.150-0657.470 | 570
P=0946 | X=0112.130-0365.440 | Y=0660.910-0672.150 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0946 | X=0112.130-0207.080 | Y=0672.430-0683.670 | >500m đến ≤1.000m.
P=0946 | X=0112.130-0335.300 | Y=0689.950-0701.190 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0946 | X=0095.330-0371.740 | Y=0707.730-0718.970 | 39 Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1
P=0946 | X=0408.140-0424.780 | Y=0709.620-0718.940 | 730
P=0946 | X=0444.410-0461.050 | Y=0709.620-0718.940 | 510
P=0946 | X=0505.390-0522.030 | Y=0709.620-0718.940 | 440
P=0947 | X=0112.130-0389.260 | Y=0072.500-0083.740 | đoạn từ Đường Tà Lú + 800m đến Hết giáo xứ Long Thuận có
P=0947 | X=0112.130-0305.740 | Y=0084.020-0095.260 | hiện trạng là đường nhựa, bê tông xi măng:
P=0947 | X=0112.130-0353.240 | Y=0101.540-0112.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0947 | X=0112.130-0154.270 | Y=0114.940-0124.260 | >1.000m.
P=0947 | X=0112.130-0335.770 | Y=0130.610-0141.850 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0947 | X=0112.130-0385.640 | Y=0148.370-0159.610 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0947 | X=0112.130-0377.210 | Y=0159.650-0170.890 | ra Quốc lộ 1 đoạn từ Đường Tà Lú + 800m đến Hết giáo xứ
P=0947 | X=0112.130-0374.930 | Y=0171.170-0182.410 | Long Thuận có hiện trạng là đường nhựa, bê tông xi măng:
P=0947 | X=0095.330-0106.450 | Y=0179.050-0188.370 | 40
P=0947 | X=0399.980-0425.030 | Y=0179.050-0188.370 | 1.400
P=0947 | X=0444.410-0461.050 | Y=0179.050-0188.370 | 980
P=0947 | X=0505.390-0522.030 | Y=0179.050-0188.370 | 840
P=0947 | X=0112.130-0343.210 | Y=0188.690-0199.930 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0947 | X=0112.130-0389.320 | Y=0206.230-0217.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0947 | X=0112.130-0385.640 | Y=0223.990-0235.230 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0947 | X=0112.130-0377.210 | Y=0235.510-0246.750 | ra Quốc lộ 1 đoạn từ Đường Tà Lú + 800m đến Hết giáo xứ
P=0947 | X=0112.130-0374.930 | Y=0247.030-0258.270 | Long Thuận có hiện trạng là đường nhựa, bê tông xi măng:
P=0947 | X=0095.330-0343.680 | Y=0264.550-0278.630 | 41 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0947 | X=0408.140-0424.780 | Y=0269.310-0278.630 | 860
P=0947 | X=0444.410-0461.050 | Y=0269.310-0278.630 | 600
P=0947 | X=0505.390-0522.030 | Y=0269.310-0278.630 | 520
P=0947 | X=0112.130-0365.440 | Y=0282.100-0293.340 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0947 | X=0112.130-0207.080 | Y=0293.620-0304.860 | >500m đến ≤1.000m.
P=0947 | X=0112.130-0335.300 | Y=0311.140-0322.380 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0947 | X=0112.130-0385.640 | Y=0328.900-0340.140 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0947 | X=0112.130-0377.210 | Y=0340.420-0351.660 | ra Quốc lộ 1 đoạn từ Đường Tà Lú + 800m đến Hết giáo xứ
P=0947 | X=0112.130-0374.930 | Y=0351.700-0362.940 | Long Thuận có hiện trạng là đường nhựa, bê tông xi măng:
P=0947 | X=0095.330-0106.450 | Y=0365.340-0374.660 | 42
P=0947 | X=0408.140-0424.780 | Y=0365.340-0374.660 | 660
P=0947 | X=0444.410-0461.050 | Y=0365.340-0374.660 | 460
P=0947 | X=0505.390-0522.030 | Y=0365.340-0374.660 | 400
P=0947 | X=0112.130-0353.240 | Y=0369.240-0380.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0947 | X=0112.130-0154.270 | Y=0382.640-0391.960 | >1.000m.
P=0947 | X=0112.130-0335.770 | Y=0398.280-0409.520 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0947 | X=0243.460-0390.220 | Y=0416.040-0427.280 | Hết giáo xứ Long Đường vào tịnh
P=0947 | X=0095.330-0155.170 | Y=0423.680-0433.000 | 43 Quốc lộ 1
P=0947 | X=0399.980-0425.030 | Y=0423.680-0433.000 | 3.900
P=0947 | X=0436.250-0461.300 | Y=0423.680-0433.000 | 2.700
P=0947 | X=0497.230-0522.280 | Y=0423.680-0433.000 | 2.300
P=0947 | X=0320.520-0385.150 | Y=0427.560-0438.800 | xá Ngọc Hưng
P=0947 | X=0243.460-0271.860 | Y=0429.440-0438.760 | Thuận
P=0947 | X=0112.130-0371.740 | Y=0445.320-0456.560 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1
P=0947 | X=0112.130-0388.460 | Y=0456.860-0468.100 | đoạn từ Hết giáo xứ Long Thuận đến Đường vào tịnh xá Ngọc
P=0947 | X=0112.130-0346.820 | Y=0468.380-0479.620 | Hưng có hiện trạng là đường nhựa, bê tông xi măng:
P=0947 | X=0095.330-0106.450 | Y=0476.260-0485.580 | 44
P=0947 | X=0399.980-0425.020 | Y=0476.260-0485.580 | 1.600
P=0947 | X=0436.250-0461.300 | Y=0476.260-0485.580 | 1.100
P=0947 | X=0505.390-0522.030 | Y=0476.260-0485.580 | 960
P=0947 | X=0112.130-0343.210 | Y=0485.900-0497.140 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0947 | X=0112.130-0389.320 | Y=0503.420-0514.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0947 | X=0112.130-0371.740 | Y=0521.180-0532.420 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1
P=0947 | X=0112.130-0388.460 | Y=0532.490-0543.730 | đoạn từ Hết giáo xứ Long Thuận đến Đường vào tịnh xá Ngọc
P=0947 | X=0112.130-0346.820 | Y=0544.010-0555.250 | Hưng có hiện trạng là đường nhựa, bê tông xi măng:
P=0947 | X=0095.330-0343.680 | Y=0561.530-0575.850 | 45 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0947 | X=0408.140-0424.780 | Y=0566.530-0575.850 | 950
P=0947 | X=0444.410-0461.050 | Y=0566.530-0575.850 | 670
P=0947 | X=0505.390-0522.030 | Y=0566.530-0575.850 | 570
P=0947 | X=0112.130-0365.440 | Y=0579.050-0590.290 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0947 | X=0112.130-0207.080 | Y=0590.570-0601.810 | >500m đến ≤1.000m.
P=0947 | X=0112.130-0335.300 | Y=0608.090-0619.330 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0947 | X=0112.130-0371.740 | Y=0625.870-0637.110 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1
P=0947 | X=0112.130-0388.460 | Y=0637.390-0648.630 | đoạn từ Hết giáo xứ Long Thuận đến Đường vào tịnh xá Ngọc
P=0947 | X=0112.130-0346.820 | Y=0648.910-0660.150 | Hưng có hiện trạng là đường nhựa, bê tông xi măng:
P=0947 | X=0095.330-0106.450 | Y=0662.550-0671.870 | 46
P=0947 | X=0408.140-0424.780 | Y=0662.550-0671.870 | 730
P=0947 | X=0444.410-0461.050 | Y=0662.550-0671.870 | 510
P=0947 | X=0505.390-0522.030 | Y=0662.550-0671.870 | 440
P=0947 | X=0112.130-0353.240 | Y=0666.430-0677.670 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0947 | X=0112.130-0154.270 | Y=0679.830-0689.150 | >1.000m.
P=0947 | X=0112.130-0335.770 | Y=0695.470-0706.710 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0948 | X=0112.130-0385.640 | Y=0078.500-0089.740 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0948 | X=0112.130-0387.590 | Y=0090.020-0101.260 | ra Quốc lộ 1 đoạn từ Hết giáo xứ Long Thuận đến Đường vào
P=0948 | X=0112.130-0374.590 | Y=0101.540-0112.780 | tịnh xá Ngọc Hưng có hiện trạng là đường nhựa, bê tông xi
P=0948 | X=0095.330-0140.130 | Y=0113.060-0124.500 | 47 măng:
P=0948 | X=0399.980-0425.030 | Y=0115.180-0124.500 | 1.400
P=0948 | X=0444.410-0461.050 | Y=0115.180-0124.500 | 980
P=0948 | X=0505.390-0522.030 | Y=0115.180-0124.500 | 840
P=0948 | X=0112.130-0343.210 | Y=0130.610-0141.850 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0948 | X=0112.130-0389.320 | Y=0148.130-0159.370 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0948 | X=0112.130-0385.670 | Y=0165.650-0176.890 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0948 | X=0112.130-0387.590 | Y=0177.170-0188.410 | ra Quốc lộ 1 đoạn từ Hết giáo xứ Long Thuận đến Đường vào
P=0948 | X=0112.130-0374.590 | Y=0188.690-0199.930 | tịnh xá Ngọc Hưng có hiện trạng là đường nhựa, bê tông xi
P=0948 | X=0112.130-0140.130 | Y=0200.230-0211.470 | măng:
P=0948 | X=0095.330-0343.680 | Y=0216.990-0228.990 | 48 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0948 | X=0408.140-0424.780 | Y=0216.990-0226.310 | 860
P=0948 | X=0444.410-0461.050 | Y=0216.990-0226.310 | 600
P=0948 | X=0505.390-0522.030 | Y=0216.990-0226.310 | 520
P=0948 | X=0112.130-0365.440 | Y=0235.270-0246.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0948 | X=0112.130-0207.080 | Y=0246.790-0258.030 | >500m đến ≤1.000m.
P=0948 | X=0112.130-0335.300 | Y=0264.310-0275.550 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0948 | X=0112.130-0385.640 | Y=0282.100-0293.340 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0948 | X=0112.130-0387.590 | Y=0293.620-0304.860 | ra Quốc lộ 1 đoạn từ Hết giáo xứ Long Thuận đến Đường vào
P=0948 | X=0112.130-0374.590 | Y=0305.140-0316.380 | tịnh xá Ngọc Hưng có hiện trạng là đường nhựa, bê tông xi
P=0948 | X=0112.130-0140.130 | Y=0316.660-0327.900 | măng:
P=0948 | X=0095.330-0106.450 | Y=0324.540-0333.860 | 49
P=0948 | X=0408.140-0424.780 | Y=0324.540-0333.860 | 660
P=0948 | X=0444.410-0461.050 | Y=0324.540-0333.860 | 460
P=0948 | X=0505.390-0522.030 | Y=0324.540-0333.860 | 400
P=0948 | X=0112.130-0353.240 | Y=0333.940-0345.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0948 | X=0112.130-0154.270 | Y=0347.340-0356.660 | >1.000m.
P=0948 | X=0112.130-0335.770 | Y=0362.980-0374.220 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0948 | X=0243.460-0383.030 | Y=0380.760-0392.000 | Đường vào tịnh Ranh giới tỉnh
P=0948 | X=0095.330-0155.170 | Y=0388.400-0397.720 | 50 Quốc lộ 1
P=0948 | X=0399.980-0425.030 | Y=0388.400-0397.720 | 3.200
P=0948 | X=0436.250-0461.300 | Y=0388.400-0397.720 | 2.200
P=0948 | X=0497.230-0522.280 | Y=0388.400-0397.720 | 1.900
P=0948 | X=0243.460-0366.950 | Y=0392.280-0403.520 | xá Ngọc Hưng Lâm Đồng
P=0948 | X=0112.130-0371.740 | Y=0410.040-0421.280 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1
P=0948 | X=0112.130-0370.780 | Y=0421.560-0432.800 | đoạn từ Đường vào tịnh xá Ngọc Hưng đến Ranh giới tỉnh
P=0948 | X=0112.130-0367.690 | Y=0433.080-0444.320 | Lâm Đồng có hiện trạng là đường nhựa, bê tông xi măng:
P=0948 | X=0095.330-0106.450 | Y=0440.960-0450.280 | 51
P=0948 | X=0399.980-0425.030 | Y=0440.960-0450.280 | 1.500
P=0948 | X=0436.250-0461.300 | Y=0440.960-0450.280 | 1.100
P=0948 | X=0505.390-0522.030 | Y=0440.960-0450.280 | 900
P=0948 | X=0112.130-0343.210 | Y=0450.620-0461.860 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0948 | X=0112.130-0389.320 | Y=0468.140-0479.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0948 | X=0112.130-0371.740 | Y=0485.900-0497.140 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1
P=0948 | X=0112.130-0370.780 | Y=0497.420-0508.660 | đoạn từ Đường vào tịnh xá Ngọc Hưng đến Ranh giới tỉnh
P=0948 | X=0112.130-0367.690 | Y=0508.940-0520.180 | Lâm Đồng có hiện trạng là đường nhựa, bê tông xi măng:
P=0948 | X=0095.330-0343.680 | Y=0526.220-0540.540 | 52 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0948 | X=0408.140-0424.780 | Y=0531.220-0540.540 | 950
P=0948 | X=0444.410-0461.050 | Y=0531.220-0540.540 | 670
P=0948 | X=0505.390-0522.030 | Y=0531.220-0540.540 | 570
P=0948 | X=0112.130-0365.440 | Y=0543.770-0555.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0948 | X=0112.130-0207.120 | Y=0555.290-0566.530 | >500m đến ≤1.000m.
P=0948 | X=0112.130-0335.300 | Y=0572.810-0584.050 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0948 | X=0112.130-0371.740 | Y=0590.570-0601.810 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1
P=0948 | X=0112.130-0370.780 | Y=0602.090-0613.330 | đoạn từ Đường vào tịnh xá Ngọc Hưng đến Ranh giới tỉnh
P=0948 | X=0112.130-0367.690 | Y=0613.610-0624.850 | Lâm Đồng có hiện trạng là đường nhựa, bê tông xi măng:
P=0948 | X=0095.330-0106.450 | Y=0627.270-0636.590 | 53
P=0948 | X=0408.140-0424.780 | Y=0627.270-0636.590 | 730
P=0948 | X=0444.410-0461.050 | Y=0627.270-0636.590 | 510
P=0948 | X=0505.390-0522.030 | Y=0627.270-0636.590 | 440
P=0948 | X=0112.130-0353.240 | Y=0631.150-0642.390 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0948 | X=0112.130-0154.270 | Y=0644.550-0653.870 | >1.000m.
P=0948 | X=0112.130-0335.770 | Y=0660.190-0671.430 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0948 | X=0112.130-0385.640 | Y=0677.950-0689.190 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0948 | X=0095.330-0389.510 | Y=0689.470-0700.710 | 54 ra Quốc lộ 1 đoạn từ Đường vào tịnh xá Ngọc Hưng đến Ranh
P=0948 | X=0399.980-0425.030 | Y=0691.350-0700.670 | 1.400
P=0948 | X=0444.410-0461.050 | Y=0691.350-0700.670 | 980
P=0948 | X=0505.390-0522.030 | Y=0691.350-0700.670 | 840
P=0948 | X=0112.130-0375.550 | Y=0700.770-0712.010 | giới tỉnh Lâm Đồng có hiện trạng là đường nhựa, bê tông xi
P=0949 | X=0112.130-0140.130 | Y=0072.500-0083.740 | măng:
P=0949 | X=0112.130-0343.210 | Y=0090.020-0101.260 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0949 | X=0112.130-0389.320 | Y=0107.540-0118.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0949 | X=0112.130-0385.640 | Y=0125.330-0136.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0949 | X=0112.130-0389.510 | Y=0136.850-0148.090 | ra Quốc lộ 1 đoạn từ Đường vào tịnh xá Ngọc Hưng đến Ranh
P=0949 | X=0112.130-0375.550 | Y=0148.370-0159.610 | giới tỉnh Lâm Đồng có hiện trạng là đường nhựa, bê tông xi
P=0949 | X=0112.130-0140.130 | Y=0159.650-0170.890 | măng:
P=0949 | X=0095.330-0343.680 | Y=0176.410-0188.410 | 55 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0949 | X=0408.140-0424.780 | Y=0176.410-0185.730 | 860
P=0949 | X=0444.410-0461.050 | Y=0176.410-0185.730 | 600
P=0949 | X=0505.390-0522.030 | Y=0176.410-0185.730 | 520
P=0949 | X=0112.130-0365.440 | Y=0194.690-0205.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0949 | X=0112.130-0207.080 | Y=0206.230-0217.470 | >500m đến ≤1.000m.
P=0949 | X=0112.130-0335.300 | Y=0223.750-0234.990 | - Có bề rộng <3m, cách đường giao thông ≤200m.
