TABLE=050 | AREA=Xã Nam Cát Tiên | SECTION=non-agricultural | SEGMENTS=1
P=1680 | X=0108.530-0204.380 | Y=0573.530-0584.770 | Đường Phú Lập đi xã
P=1680 | X=0301.800-0388.540 | Y=0579.290-0590.530 | Hết chợ Núi Tượng
P=1680 | X=0093.620-0104.740 | Y=0581.170-0590.490 | 29
P=1680 | X=0219.910-0287.900 | Y=0581.170-0590.490 | Ranh xã Tà Lài
P=1680 | X=0413.180-0429.820 | Y=0581.170-0590.490 | 960
P=1680 | X=0461.450-0478.090 | Y=0581.170-0590.490 | 670
P=1680 | X=0505.390-0522.030 | Y=0581.170-0590.490 | 580
P=1680 | X=0108.530-0170.500 | Y=0586.930-0596.250 | Nam Cát Tiên
P=1680 | X=0108.530-0377.480 | Y=0602.810-0614.050 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú
P=1680 | X=0108.530-0379.480 | Y=0614.330-0625.570 | Lập đi xã Nam Cát Tiên đoạn từ Ranh xã Tà Lài đến Hết chợ
P=1680 | X=0108.530-0366.250 | Y=0625.870-0637.110 | Núi Tượng có hiện trạng là đường nhựa, bê tông xi măng:
P=1680 | X=0093.620-0104.740 | Y=0633.750-0643.070 | 30
P=1680 | X=0413.180-0429.820 | Y=0633.750-0643.070 | 480
P=1680 | X=0461.450-0478.090 | Y=0633.750-0643.070 | 340
P=1680 | X=0505.390-0522.030 | Y=0633.750-0643.070 | 290
P=1680 | X=0108.530-0339.610 | Y=0643.390-0654.630 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1680 | X=0108.530-0385.700 | Y=0660.910-0672.150 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1680 | X=0108.530-0377.480 | Y=0678.670-0689.910 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú
P=1680 | X=0093.620-0379.480 | Y=0690.190-0701.430 | 31 Lập đi xã Nam Cát Tiên đoạn từ Ranh xã Tà Lài đến Hết chợ
P=1680 | X=0413.180-0429.820 | Y=0692.070-0701.390 | 340
P=1680 | X=0461.450-0478.090 | Y=0692.070-0701.390 | 240
P=1680 | X=0505.390-0522.030 | Y=0692.070-0701.390 | 200
P=1680 | X=0108.530-0366.250 | Y=0701.730-0712.970 | Núi Tượng có hiện trạng là đường nhựa, bê tông xi măng:
P=1681 | X=0108.530-0340.080 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1681 | X=0108.530-0361.840 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1681 | X=0108.530-0203.480 | Y=0107.540-0118.780 | >500m đến ≤1.000m.
P=1681 | X=0108.530-0331.700 | Y=0125.090-0136.330 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1681 | X=0108.530-0377.480 | Y=0142.850-0154.090 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú
P=1681 | X=0108.530-0379.480 | Y=0154.370-0165.610 | Lập đi xã Nam Cát Tiên đoạn từ Ranh xã Tà Lài đến Hết chợ
P=1681 | X=0108.530-0366.250 | Y=0165.650-0176.890 | Núi Tượng có hiện trạng là đường nhựa, bê tông xi măng:
P=1681 | X=0093.620-0104.740 | Y=0179.290-0188.610 | 32
P=1681 | X=0413.180-0429.820 | Y=0179.290-0188.610 | 220
P=1681 | X=0461.450-0478.090 | Y=0179.290-0188.610 | 150
P=1681 | X=0505.390-0522.030 | Y=0179.290-0188.610 | 130
P=1681 | X=0108.530-0349.620 | Y=0183.170-0194.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1681 | X=0108.530-0150.670 | Y=0196.570-0205.890 | >1.000m.
P=1681 | X=0108.530-0332.170 | Y=0212.230-0223.470 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1681 | X=0108.530-0382.040 | Y=0229.990-0241.230 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1681 | X=0108.530-0388.280 | Y=0241.510-0252.750 | ra Đường Phú Lập đi xã Nam Cát Tiên đoạn từ Ranh xã Tà Lài
P=1681 | X=0108.530-0383.490 | Y=0253.030-0264.270 | đến Hết chợ Núi Tượng có hiện trạng là đường nhựa, bê tông
P=1681 | X=0093.620-0146.360 | Y=0264.550-0275.990 | 33 xi măng:
P=1681 | X=0413.180-0429.820 | Y=0266.670-0275.990 | 430
P=1681 | X=0461.450-0478.090 | Y=0266.670-0275.990 | 300
P=1681 | X=0505.390-0522.030 | Y=0266.670-0275.990 | 260
P=1681 | X=0108.530-0339.610 | Y=0282.100-0293.340 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1681 | X=0108.530-0385.700 | Y=0299.620-0310.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1681 | X=0108.530-0382.040 | Y=0317.380-0328.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1681 | X=0108.530-0388.280 | Y=0328.900-0340.140 | ra Đường Phú Lập đi xã Nam Cát Tiên đoạn từ Ranh xã Tà Lài
P=1681 | X=0108.530-0383.490 | Y=0340.420-0351.660 | đến Hết chợ Núi Tượng có hiện trạng là đường nhựa, bê tông
P=1681 | X=0108.530-0146.360 | Y=0351.700-0362.940 | xi măng:
P=1681 | X=0093.620-0340.080 | Y=0368.480-0380.480 | 34 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1681 | X=0413.180-0429.820 | Y=0368.480-0377.800 | 310
P=1681 | X=0461.450-0478.090 | Y=0368.480-0377.800 | 220
P=1681 | X=0505.390-0522.030 | Y=0368.480-0377.800 | 190
P=1681 | X=0108.530-0361.840 | Y=0386.760-0398.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1681 | X=0108.530-0203.480 | Y=0398.280-0409.520 | >500m đến ≤1.000m.
P=1681 | X=0108.530-0331.700 | Y=0415.800-0427.040 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1681 | X=0108.530-0382.040 | Y=0433.560-0444.800 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1681 | X=0108.530-0388.280 | Y=0445.080-0456.320 | ra Đường Phú Lập đi xã Nam Cát Tiên đoạn từ Ranh xã Tà Lài
P=1681 | X=0108.530-0383.490 | Y=0456.620-0467.860 | đến Hết chợ Núi Tượng có hiện trạng là đường nhựa, bê tông
P=1681 | X=0108.530-0146.360 | Y=0468.140-0479.380 | xi măng:
P=1681 | X=0093.620-0104.740 | Y=0476.020-0485.340 | 35
P=1681 | X=0413.180-0429.820 | Y=0476.020-0485.340 | 200
P=1681 | X=0461.450-0478.090 | Y=0476.020-0485.340 | 140
P=1681 | X=0505.390-0522.030 | Y=0476.020-0485.340 | 120
P=1681 | X=0108.530-0349.620 | Y=0485.660-0496.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1681 | X=0108.530-0150.670 | Y=0499.060-0508.380 | >1.000m.
P=1681 | X=0108.530-0332.190 | Y=0514.460-0525.700 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1681 | X=0108.530-0204.380 | Y=0532.220-0543.460 | Đường Phú Lập đi xã
P=1681 | X=0301.800-0381.700 | Y=0532.220-0543.460 | Ngã ba đi xã Nam
P=1681 | X=0219.910-0273.300 | Y=0534.100-0543.420 | Hết chợ Núi
P=1681 | X=0093.620-0104.740 | Y=0539.890-0549.210 | 36
P=1681 | X=0413.180-0429.820 | Y=0539.890-0549.210 | 690
P=1681 | X=0461.450-0478.090 | Y=0539.890-0549.210 | 480
P=1681 | X=0505.390-0522.030 | Y=0539.890-0549.210 | 410
P=1681 | X=0219.910-0250.740 | Y=0543.770-0555.010 | Tượng
P=1681 | X=0108.530-0170.500 | Y=0545.650-0554.970 | Nam Cát Tiên
P=1681 | X=0301.800-0339.780 | Y=0545.650-0554.970 | Cát Tiên
P=1681 | X=0108.530-0377.480 | Y=0561.530-0572.770 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú
P=1681 | X=0108.530-0380.850 | Y=0573.050-0584.290 | Lập đi xã Nam Cát Tiên đoạn từ Hết chợ Núi Tượng đến Ngã
P=1681 | X=0108.530-0386.840 | Y=0584.570-0595.810 | ba đi xã Nam Cát Tiên có hiện trạng là đường nhựa, bê tông xi
P=1681 | X=0093.620-0136.530 | Y=0596.090-0607.530 | 37 măng:
P=1681 | X=0413.180-0429.820 | Y=0598.210-0607.530 | 340
P=1681 | X=0461.450-0478.090 | Y=0598.210-0607.530 | 240
P=1681 | X=0505.390-0522.030 | Y=0598.210-0607.530 | 200
P=1681 | X=0108.530-0339.610 | Y=0613.610-0624.850 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1681 | X=0108.530-0385.700 | Y=0631.150-0642.390 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1681 | X=0108.530-0377.480 | Y=0648.910-0660.150 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú
P=1681 | X=0108.530-0380.850 | Y=0660.430-0671.670 | Lập đi xã Nam Cát Tiên đoạn từ Hết chợ Núi Tượng đến Ngã
P=1681 | X=0093.620-0386.840 | Y=0671.950-0686.030 | 38 ba đi xã Nam Cát Tiên có hiện trạng là đường nhựa, bê tông xi
P=1681 | X=0413.180-0429.820 | Y=0676.710-0686.030 | 270
P=1681 | X=0461.450-0478.090 | Y=0676.710-0686.030 | 190
P=1681 | X=0505.390-0522.030 | Y=0676.710-0686.030 | 160
P=1681 | X=0108.530-0136.530 | Y=0683.470-0694.710 | măng:
P=1681 | X=0108.530-0340.080 | Y=0700.770-0712.010 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1682 | X=0108.530-0361.840 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1682 | X=0108.530-0203.480 | Y=0090.020-0101.260 | >500m đến ≤1.000m.
P=1682 | X=0108.530-0331.720 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1682 | X=0108.530-0377.480 | Y=0125.330-0136.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú
P=1682 | X=0108.530-0380.850 | Y=0136.850-0148.090 | Lập đi xã Nam Cát Tiên đoạn từ Hết chợ Núi Tượng đến Ngã
P=1682 | X=0108.530-0386.840 | Y=0148.370-0159.610 | ba đi xã Nam Cát Tiên có hiện trạng là đường nhựa, bê tông xi
P=1682 | X=0108.530-0136.530 | Y=0159.650-0170.890 | măng:
P=1682 | X=0093.620-0104.740 | Y=0167.530-0176.850 | 39
P=1682 | X=0413.180-0429.820 | Y=0167.530-0176.850 | 220
P=1682 | X=0461.450-0478.090 | Y=0167.530-0176.850 | 150
P=1682 | X=0505.390-0522.030 | Y=0167.530-0176.850 | 130
P=1682 | X=0108.530-0349.620 | Y=0177.170-0188.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1682 | X=0108.530-0150.690 | Y=0190.570-0199.890 | >1.000m.
P=1682 | X=0108.530-0332.170 | Y=0206.230-0217.470 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1682 | X=0108.530-0382.040 | Y=0223.990-0235.230 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1682 | X=0108.530-0373.420 | Y=0235.510-0246.750 | ra Đường Phú Lập đi xã Nam Cát Tiên đoạn từ Hết chợ Núi
P=1682 | X=0108.530-0386.140 | Y=0247.030-0258.270 | Tượng đến Ngã ba đi xã Nam Cát Tiên có hiện trạng là đường
P=1682 | X=0093.620-0211.660 | Y=0258.550-0269.990 | 40 nhựa, bê tông xi măng:
P=1682 | X=0413.180-0429.820 | Y=0260.670-0269.990 | 310
P=1682 | X=0461.450-0478.090 | Y=0260.670-0269.990 | 220
P=1682 | X=0505.390-0522.030 | Y=0260.670-0269.990 | 190
P=1682 | X=0108.530-0339.610 | Y=0276.070-0287.310 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1682 | X=0108.530-0385.700 | Y=0293.620-0304.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1682 | X=0108.530-0382.040 | Y=0311.380-0322.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1682 | X=0108.530-0373.420 | Y=0322.900-0334.140 | ra Đường Phú Lập đi xã Nam Cát Tiên đoạn từ Hết chợ Núi
P=1682 | X=0108.530-0386.140 | Y=0334.420-0345.660 | Tượng đến Ngã ba đi xã Nam Cát Tiên có hiện trạng là đường
P=1682 | X=0108.530-0211.640 | Y=0345.700-0356.940 | nhựa, bê tông xi măng:
P=1682 | X=0093.620-0340.080 | Y=0362.460-0374.460 | 41 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1682 | X=0413.180-0429.820 | Y=0362.460-0371.780 | 240
P=1682 | X=0461.450-0478.090 | Y=0362.460-0371.780 | 170
P=1682 | X=0505.390-0522.030 | Y=0362.460-0371.780 | 140
P=1682 | X=0108.530-0361.840 | Y=0380.760-0392.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1682 | X=0108.530-0203.480 | Y=0392.280-0403.520 | >500m đến ≤1.000m.
P=1682 | X=0108.530-0331.700 | Y=0409.800-0421.040 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1682 | X=0108.530-0382.040 | Y=0427.560-0438.800 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1682 | X=0108.530-0373.420 | Y=0439.080-0450.320 | ra Đường Phú Lập đi xã Nam Cát Tiên đoạn từ Hết chợ Núi
P=1682 | X=0108.530-0386.140 | Y=0450.620-0461.860 | Tượng đến Ngã ba đi xã Nam Cát Tiên có hiện trạng là đường
P=1682 | X=0108.530-0211.640 | Y=0462.140-0473.380 | nhựa, bê tông xi măng:
P=1682 | X=0093.620-0104.740 | Y=0470.020-0479.340 | 42
P=1682 | X=0413.180-0429.820 | Y=0470.020-0479.340 | 200
P=1682 | X=0461.450-0478.090 | Y=0470.020-0479.340 | 140
P=1682 | X=0505.390-0522.030 | Y=0470.020-0479.340 | 120
P=1682 | X=0108.530-0349.620 | Y=0479.660-0490.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1682 | X=0108.530-0150.680 | Y=0493.060-0502.380 | >1.000m.
P=1682 | X=0108.530-0332.170 | Y=0508.460-0519.700 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1682 | X=0108.530-0204.380 | Y=0526.220-0537.460 | Đường Phú Lập đi xã
P=1682 | X=0219.910-0299.810 | Y=0526.220-0537.460 | Ngã ba đi xã Nam
P=1682 | X=0093.620-0104.740 | Y=0533.860-0543.180 | 43
P=1682 | X=0301.800-0339.570 | Y=0533.860-0543.180 | Cầu 200
P=1682 | X=0413.180-0429.820 | Y=0533.860-0543.180 | 820
P=1682 | X=0461.450-0478.090 | Y=0533.860-0543.180 | 570
P=1682 | X=0505.390-0522.030 | Y=0533.860-0543.180 | 490
P=1682 | X=0108.530-0170.500 | Y=0539.650-0548.970 | Nam Cát Tiên
P=1682 | X=0219.910-0257.890 | Y=0539.650-0548.970 | Cát Tiên
P=1682 | X=0108.530-0377.480 | Y=0555.530-0566.770 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú
P=1682 | X=0108.530-0374.330 | Y=0567.050-0578.290 | Lập đi xã Nam Cát Tiên đoạn từ Ngã ba đi xã Nam Cát Tiên
P=1682 | X=0108.530-0375.630 | Y=0578.570-0589.810 | đến Cầu 200 có hiện trạng là đường nhựa, bê tông xi măng:
P=1682 | X=0093.620-0104.740 | Y=0586.450-0595.770 | 44
P=1682 | X=0413.180-0429.820 | Y=0586.450-0595.770 | 410
P=1682 | X=0461.450-0478.090 | Y=0586.450-0595.770 | 290
P=1682 | X=0505.390-0522.030 | Y=0586.450-0595.770 | 250
P=1682 | X=0108.530-0339.610 | Y=0596.090-0607.330 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1682 | X=0108.530-0385.700 | Y=0613.610-0624.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1682 | X=0108.530-0377.480 | Y=0631.390-0642.630 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú
P=1682 | X=0108.530-0374.290 | Y=0642.910-0654.150 | Lập đi xã Nam Cát Tiên đoạn từ Ngã ba đi xã Nam Cát Tiên
P=1682 | X=0108.530-0375.630 | Y=0654.430-0665.670 | đến Cầu 200 có hiện trạng là đường nhựa, bê tông xi măng:
P=1682 | X=0093.620-0104.740 | Y=0668.070-0677.390 | 45
P=1682 | X=0413.180-0429.820 | Y=0668.070-0677.390 | 340
P=1682 | X=0461.450-0478.090 | Y=0668.070-0677.390 | 240
P=1682 | X=0505.390-0522.030 | Y=0668.070-0677.390 | 200
P=1682 | X=0108.530-0340.080 | Y=0671.950-0683.190 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1682 | X=0108.530-0361.840 | Y=0689.470-0700.710 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1682 | X=0108.530-0203.480 | Y=0700.770-0712.010 | >500m đến ≤1.000m.
P=1683 | X=0108.530-0331.700 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1683 | X=0108.530-0377.480 | Y=0096.260-0107.500 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú
P=1683 | X=0108.530-0374.290 | Y=0107.780-0119.020 | Lập đi xã Nam Cát Tiên đoạn từ Ngã ba đi xã Nam Cát Tiên
P=1683 | X=0108.530-0375.630 | Y=0119.330-0130.570 | đến Cầu 200 có hiện trạng là đường nhựa, bê tông xi măng:
P=1683 | X=0093.620-0104.740 | Y=0132.970-0142.290 | 46
P=1683 | X=0413.180-0429.820 | Y=0132.970-0142.290 | 220
P=1683 | X=0461.450-0478.090 | Y=0132.970-0142.290 | 150
P=1683 | X=0505.390-0522.030 | Y=0132.970-0142.290 | 130
P=1683 | X=0108.530-0349.650 | Y=0136.850-0148.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1683 | X=0108.530-0150.670 | Y=0150.250-0159.570 | >1.000m.
P=1683 | X=0108.530-0332.170 | Y=0165.650-0176.890 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1683 | X=0108.530-0382.040 | Y=0183.410-0194.650 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1683 | X=0108.530-0376.750 | Y=0194.930-0206.170 | ra Đường Phú Lập đi xã Nam Cát Tiên đoạn từ Ngã ba đi xã
P=1683 | X=0108.530-0377.260 | Y=0206.470-0217.710 | Nam Cát Tiên đến Cầu 200 có hiện trạng là đường nhựa, bê
P=1683 | X=0093.620-0168.680 | Y=0217.990-0229.430 | 47 tông xi măng:
P=1683 | X=0413.180-0429.820 | Y=0220.110-0229.430 | 370
P=1683 | X=0461.450-0478.090 | Y=0220.110-0229.430 | 260
P=1683 | X=0505.390-0522.030 | Y=0220.110-0229.430 | 220
P=1683 | X=0108.530-0339.610 | Y=0235.510-0246.750 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1683 | X=0108.530-0385.700 | Y=0253.030-0264.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1683 | X=0108.530-0382.040 | Y=0270.790-0282.030 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1683 | X=0108.530-0376.750 | Y=0282.340-0293.580 | ra Đường Phú Lập đi xã Nam Cát Tiên đoạn từ Ngã ba đi xã
P=1683 | X=0108.530-0377.260 | Y=0293.860-0305.100 | Nam Cát Tiên đến Cầu 200 có hiện trạng là đường nhựa, bê
P=1683 | X=0108.530-0168.690 | Y=0305.380-0316.620 | tông xi măng:
P=1683 | X=0093.620-0340.080 | Y=0321.900-0334.140 | 48 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1683 | X=0413.180-0429.820 | Y=0321.900-0331.220 | 310
P=1683 | X=0461.450-0478.090 | Y=0321.900-0331.220 | 220
P=1683 | X=0505.390-0522.030 | Y=0321.900-0331.220 | 190
P=1683 | X=0108.530-0361.840 | Y=0340.420-0351.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1683 | X=0108.530-0203.480 | Y=0351.700-0362.940 | >500m đến ≤1.000m.
P=1683 | X=0108.530-0331.700 | Y=0369.240-0380.480 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1683 | X=0108.530-0382.040 | Y=0387.000-0398.240 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1683 | X=0108.530-0376.750 | Y=0398.520-0409.760 | ra Đường Phú Lập đi xã Nam Cát Tiên đoạn từ Ngã ba đi xã
P=1683 | X=0108.530-0377.260 | Y=0410.040-0421.280 | Nam Cát Tiên đến Cầu 200 có hiện trạng là đường nhựa, bê
P=1683 | X=0108.530-0168.690 | Y=0421.560-0432.800 | tông xi măng:
P=1683 | X=0093.620-0104.740 | Y=0429.440-0438.760 | 49
P=1683 | X=0413.180-0429.820 | Y=0429.440-0438.760 | 200
P=1683 | X=0461.450-0478.090 | Y=0429.440-0438.760 | 140
P=1683 | X=0505.390-0522.030 | Y=0429.440-0438.760 | 120
P=1683 | X=0108.530-0349.620 | Y=0439.080-0450.320 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1683 | X=0108.530-0150.670 | Y=0452.500-0461.820 | >1.000m.
P=1683 | X=0108.530-0332.170 | Y=0468.140-0479.380 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1683 | X=0301.800-0380.470 | Y=0485.900-0497.140 | Hết ranh thửa đất
P=1683 | X=0301.800-0391.190 | Y=0497.420-0508.660 | số 490, tờ BĐĐC số
P=1683 | X=0108.530-0204.380 | Y=0508.940-0520.180 | Đường Phú Lập đi xã
P=1683 | X=0301.800-0381.420 | Y=0510.820-0520.140 | 6 về bên phải; hết
P=1683 | X=0093.620-0104.740 | Y=0516.340-0525.660 | 50
P=1683 | X=0219.910-0257.710 | Y=0516.340-0525.660 | Cầu 200
P=1683 | X=0413.180-0429.820 | Y=0516.340-0525.660 | 690
P=1683 | X=0461.450-0478.090 | Y=0516.340-0525.660 | 480
P=1683 | X=0505.390-0522.030 | Y=0516.340-0525.660 | 410
P=1683 | X=0301.800-0375.340 | Y=0520.220-0531.460 | ranh thửa đất số
P=1683 | X=0108.530-0170.500 | Y=0522.100-0531.420 | Nam Cát Tiên
P=1683 | X=0301.800-0386.380 | Y=0531.740-0542.980 | 376, tờ BĐĐC số 6
P=1683 | X=0301.800-0348.680 | Y=0545.170-0554.490 | về bên trái
P=1683 | X=0108.530-0377.480 | Y=0561.050-0572.290 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú
P=1683 | X=0108.530-0392.230 | Y=0572.570-0583.810 | Lập đi xã Nam Cát Tiên đoạn từ Cầu 200 đến Hết ranh thửa đất
P=1683 | X=0108.530-0390.760 | Y=0584.090-0595.330 | số 490, tờ BĐĐC số 6 về bên phải; hết ranh thửa đất số 376, tờ
P=1683 | X=0108.530-0386.840 | Y=0595.610-0606.850 | BĐĐC số 6 về bên trái có hiện trạng là đường nhựa, bê tông xi
P=1683 | X=0093.620-0104.740 | Y=0603.490-0612.810 | 51
P=1683 | X=0413.180-0429.820 | Y=0603.490-0612.810 | 340
P=1683 | X=0461.450-0478.090 | Y=0603.490-0612.810 | 240
P=1683 | X=0505.390-0522.030 | Y=0603.490-0612.810 | 200
P=1683 | X=0108.530-0136.530 | Y=0607.130-0618.370 | măng:
P=1683 | X=0108.530-0339.610 | Y=0624.670-0635.910 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1683 | X=0108.530-0385.700 | Y=0642.190-0653.430 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1683 | X=0108.530-0377.480 | Y=0659.950-0671.190 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú
P=1683 | X=0108.530-0392.230 | Y=0671.470-0682.710 | Lập đi xã Nam Cát Tiên đoạn từ Cầu 200 đến Hết ranh thửa đất
P=1683 | X=0093.620-0390.760 | Y=0682.750-0693.990 | 52 số 490, tờ BĐĐC số 6 về bên phải; hết ranh thửa đất số 376, tờ
P=1683 | X=0413.180-0429.820 | Y=0684.630-0693.950 | 270
P=1683 | X=0461.450-0478.090 | Y=0684.630-0693.950 | 190
P=1683 | X=0505.390-0522.030 | Y=0684.630-0693.950 | 160
P=1683 | X=0108.530-0386.840 | Y=0694.270-0705.510 | BĐĐC số 6 về bên trái có hiện trạng là đường nhựa, bê tông xi
P=1683 | X=0108.530-0136.530 | Y=0705.810-0717.050 | măng:
P=1684 | X=0108.530-0340.080 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1684 | X=0108.530-0361.840 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1684 | X=0108.530-0203.480 | Y=0107.540-0118.780 | >500m đến ≤1.000m.
P=1684 | X=0108.530-0331.700 | Y=0125.090-0136.330 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1684 | X=0108.530-0377.480 | Y=0142.850-0154.090 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú
P=1684 | X=0108.530-0392.230 | Y=0154.370-0165.610 | Lập đi xã Nam Cát Tiên đoạn từ Cầu 200 đến Hết ranh thửa đất
P=1684 | X=0108.530-0390.760 | Y=0165.650-0176.890 | số 490, tờ BĐĐC số 6 về bên phải; hết ranh thửa đất số 376, tờ
P=1684 | X=0108.530-0386.840 | Y=0177.170-0188.410 | BĐĐC số 6 về bên trái có hiện trạng là đường nhựa, bê tông xi
P=1684 | X=0093.620-0136.530 | Y=0188.690-0200.130 | 53 măng:
P=1684 | X=0413.180-0429.820 | Y=0190.810-0200.130 | 220
P=1684 | X=0461.450-0478.090 | Y=0190.810-0200.130 | 150
P=1684 | X=0505.390-0522.030 | Y=0190.810-0200.130 | 130
P=1684 | X=0108.530-0349.620 | Y=0206.230-0217.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1684 | X=0108.530-0150.670 | Y=0219.630-0228.950 | >1.000m.
P=1684 | X=0108.530-0332.170 | Y=0235.270-0246.510 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1684 | X=0108.530-0382.040 | Y=0253.030-0264.270 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1684 | X=0108.530-0377.510 | Y=0264.550-0275.790 | ra Đường Phú Lập đi xã Nam Cát Tiên đoạn từ Cầu 200 đến
P=1684 | X=0108.530-0384.460 | Y=0276.070-0287.310 | Hết ranh thửa đất số 490, tờ BĐĐC số 6 về bên phải; hết ranh
P=1684 | X=0108.530-0367.150 | Y=0287.620-0298.860 | thửa đất số 376, tờ BĐĐC số 6 về bên trái có hiện trạng là
P=1684 | X=0093.620-0104.740 | Y=0295.500-0304.820 | 54
P=1684 | X=0413.180-0429.820 | Y=0295.500-0304.820 | 310
P=1684 | X=0461.450-0478.090 | Y=0295.500-0304.820 | 220
P=1684 | X=0505.390-0522.030 | Y=0295.500-0304.820 | 190
P=1684 | X=0108.530-0244.280 | Y=0299.140-0310.380 | đường nhựa, bê tông xi măng:
P=1684 | X=0108.530-0339.610 | Y=0316.660-0327.900 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1684 | X=0108.530-0385.700 | Y=0333.940-0345.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1684 | X=0108.530-0382.040 | Y=0351.700-0362.940 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1684 | X=0108.530-0377.510 | Y=0363.220-0374.460 | ra Đường Phú Lập đi xã Nam Cát Tiên đoạn từ Cầu 200 đến
