TABLE=038 | AREA=Xã Bình Minh | SECTION=non-agricultural | SEGMENTS=1
P=1333 | X=0106.850-0278.630 | Y=0556.250-0567.490 | trạng là đường nhựa, bê tông xi măng:
P=1333 | X=0092.900-0338.400 | Y=0573.770-0588.090 | 59 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1333 | X=0424.970-0450.020 | Y=0578.770-0588.090 | 3.000
P=1333 | X=0461.210-0486.260 | Y=0578.770-0588.090 | 2.100
P=1333 | X=0497.230-0522.280 | Y=0578.770-0588.090 | 1.800
P=1333 | X=0106.850-0413.270 | Y=0591.290-0602.530 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1333 | X=0106.850-0148.530 | Y=0602.810-0614.050 | ≤1.000m.
P=1333 | X=0106.850-0330.020 | Y=0620.350-0631.590 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1333 | X=0106.850-0407.480 | Y=0638.110-0649.350 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Võ Nguyên
P=1333 | X=0106.850-0403.670 | Y=0649.630-0660.870 | Giáp đoạn từ Quốc lộ 1 đến Giáp ranh phường Phước Tân có hiện
P=1333 | X=0106.850-0278.630 | Y=0661.150-0672.390 | trạng là đường nhựa, bê tông xi măng:
P=1333 | X=0092.900-0104.020 | Y=0669.030-0678.350 | 60
P=1333 | X=0424.970-0450.020 | Y=0669.030-0678.350 | 1.800
P=1333 | X=0461.210-0486.260 | Y=0669.030-0678.350 | 1.300
P=1333 | X=0497.230-0522.280 | Y=0669.030-0678.350 | 1.100
P=1333 | X=0106.850-0392.640 | Y=0678.670-0689.910 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1333 | X=0106.850-0330.490 | Y=0696.190-0707.430 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1334 | X=0106.850-0392.110 | Y=0078.500-0089.740 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1334 | X=0106.850-0401.980 | Y=0090.020-0101.260 | Đường Võ Nguyên Giáp đoạn từ Quốc lộ 1 đến Giáp ranh phường
P=1334 | X=0106.850-0366.750 | Y=0101.540-0112.780 | Phước Tân có hiện trạng là đường nhựa, bê tông xi măng:
P=1334 | X=0092.900-0104.020 | Y=0109.420-0118.740 | 61
P=1334 | X=0424.970-0450.020 | Y=0109.420-0118.740 | 4.000
P=1334 | X=0461.210-0486.260 | Y=0109.420-0118.740 | 2.800
P=1334 | X=0497.230-0522.280 | Y=0109.420-0118.740 | 2.400
P=1334 | X=0106.850-0337.930 | Y=0119.090-0130.330 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1334 | X=0106.850-0384.020 | Y=0136.610-0147.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1334 | X=0106.850-0392.110 | Y=0154.370-0165.610 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1334 | X=0106.850-0401.980 | Y=0165.650-0176.890 | Đường Võ Nguyên Giáp đoạn từ Quốc lộ 1 đến Giáp ranh phường
P=1334 | X=0106.850-0366.750 | Y=0177.170-0188.410 | Phước Tân có hiện trạng là đường nhựa, bê tông xi măng:
P=1334 | X=0092.900-0338.400 | Y=0194.690-0209.030 | 62 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1334 | X=0424.970-0450.020 | Y=0199.710-0209.030 | 2.700
P=1334 | X=0461.210-0486.260 | Y=0199.710-0209.030 | 1.900
P=1334 | X=0497.230-0522.280 | Y=0199.710-0209.030 | 1.600
P=1334 | X=0106.850-0413.270 | Y=0212.230-0223.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1334 | X=0106.850-0148.530 | Y=0223.750-0234.990 | ≤1.000m.
P=1334 | X=0106.850-0330.020 | Y=0241.270-0252.510 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1334 | X=0106.850-0392.110 | Y=0259.030-0270.270 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1334 | X=0106.850-0401.980 | Y=0270.550-0281.790 | Đường Võ Nguyên Giáp đoạn từ Quốc lộ 1 đến Giáp ranh phường
P=1334 | X=0106.850-0366.750 | Y=0282.100-0293.340 | Phước Tân có hiện trạng là đường nhựa, bê tông xi măng:
P=1334 | X=0092.900-0104.020 | Y=0289.980-0299.300 | 63
P=1334 | X=0424.970-0450.020 | Y=0289.980-0299.300 | 1.600
P=1334 | X=0461.210-0486.260 | Y=0289.980-0299.300 | 1.100
P=1334 | X=0505.390-0522.030 | Y=0289.980-0299.300 | 960
P=1334 | X=0106.850-0392.640 | Y=0299.620-0310.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1334 | X=0106.850-0330.490 | Y=0317.140-0328.380 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1334 | X=0235.540-0401.180 | Y=0334.900-0346.140 | Đường Võ Nguyên Đường Bắc Hòa -
P=1334 | X=0092.900-0165.730 | Y=0340.660-0351.900 | 64 Đường số 25
P=1334 | X=0424.970-0450.020 | Y=0342.540-0351.860 | 4.400
P=1334 | X=0461.210-0486.260 | Y=0342.540-0351.860 | 3.100
P=1334 | X=0497.230-0522.280 | Y=0342.540-0351.860 | 2.600
P=1334 | X=0322.200-0361.860 | Y=0346.420-0357.660 | Phú Sơn
P=1334 | X=0235.540-0256.970 | Y=0348.300-0357.620 | Giáp
P=1334 | X=0106.850-0407.260 | Y=0363.940-0375.180 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường số 25 đoạn
P=1334 | X=0106.850-0405.340 | Y=0375.480-0386.720 | từ Đường Võ Nguyên Giáp đến Đường Bắc Hòa - Phú Sơn có hiện
P=1334 | X=0106.850-0278.630 | Y=0387.000-0398.240 | trạng là đường nhựa, bê tông xi măng:
P=1334 | X=0092.900-0104.020 | Y=0394.880-0404.200 | 65
P=1334 | X=0424.970-0450.020 | Y=0394.880-0404.200 | 2.100
P=1334 | X=0461.210-0486.260 | Y=0394.880-0404.200 | 1.500
P=1334 | X=0497.230-0522.280 | Y=0394.880-0404.200 | 1.300
P=1334 | X=0106.850-0337.930 | Y=0404.520-0415.760 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1334 | X=0106.850-0384.020 | Y=0422.040-0433.280 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1334 | X=0106.850-0407.260 | Y=0439.800-0451.040 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường số 25 đoạn
P=1334 | X=0106.850-0405.340 | Y=0451.340-0462.580 | từ Đường Võ Nguyên Giáp đến Đường Bắc Hòa - Phú Sơn có hiện
P=1334 | X=0106.850-0278.630 | Y=0462.860-0474.100 | trạng là đường nhựa, bê tông xi măng:
P=1334 | X=0092.900-0338.400 | Y=0480.380-0494.460 | 66 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1334 | X=0424.970-0450.020 | Y=0485.140-0494.460 | 1.900
P=1334 | X=0461.210-0486.260 | Y=0485.140-0494.460 | 1.300
P=1334 | X=0497.230-0522.280 | Y=0485.140-0494.460 | 1.100
P=1334 | X=0106.850-0413.270 | Y=0497.900-0509.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1334 | X=0106.850-0148.530 | Y=0509.420-0520.660 | ≤1.000m.
P=1334 | X=0106.850-0330.020 | Y=0526.940-0538.180 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1334 | X=0106.850-0407.260 | Y=0544.490-0555.730 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường số 25 đoạn
P=1334 | X=0106.850-0405.340 | Y=0556.010-0567.250 | từ Đường Võ Nguyên Giáp đến Đường Bắc Hòa - Phú Sơn có hiện
P=1334 | X=0106.850-0278.630 | Y=0567.530-0578.770 | trạng là đường nhựa, bê tông xi măng:
P=1334 | X=0092.900-0104.020 | Y=0575.410-0584.730 | 67
P=1334 | X=0424.970-0450.020 | Y=0575.410-0584.730 | 1.300
P=1334 | X=0469.370-0486.010 | Y=0575.410-0584.730 | 910
P=1334 | X=0505.390-0522.030 | Y=0575.410-0584.730 | 780
P=1334 | X=0106.850-0392.640 | Y=0585.050-0596.290 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1334 | X=0106.850-0330.490 | Y=0602.570-0613.810 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1334 | X=0106.850-0392.110 | Y=0620.350-0631.590 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1334 | X=0106.850-0414.860 | Y=0631.870-0643.110 | Đường số 25 đoạn từ Đường Võ Nguyên Giáp đến Đường Bắc Hòa -
P=1334 | X=0106.850-0355.690 | Y=0643.390-0654.630 | Phú Sơn có hiện trạng là đường nhựa, bê tông xi măng:
P=1334 | X=0092.900-0104.020 | Y=0651.270-0660.590 | 68
P=1334 | X=0424.970-0450.020 | Y=0651.270-0660.590 | 1.900
P=1334 | X=0461.210-0486.260 | Y=0651.270-0660.590 | 1.300
P=1334 | X=0497.230-0522.280 | Y=0651.270-0660.590 | 1.100
P=1334 | X=0106.850-0337.930 | Y=0660.910-0672.150 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1334 | X=0106.850-0384.020 | Y=0678.430-0689.670 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1334 | X=0106.850-0392.110 | Y=0696.190-0707.430 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1334 | X=0092.900-0104.020 | Y=0703.860-0713.180 | 69
P=1334 | X=0424.970-0450.010 | Y=0703.860-0713.180 | 1.700
P=1334 | X=0461.210-0486.260 | Y=0703.860-0713.180 | 1.200
P=1334 | X=0497.230-0522.280 | Y=0703.860-0713.180 | 1.000
P=1334 | X=0106.850-0414.860 | Y=0707.730-0718.970 | Đường số 25 đoạn từ Đường Võ Nguyên Giáp đến Đường Bắc Hòa -
P=1335 | X=0106.850-0355.690 | Y=0072.500-0083.740 | Phú Sơn có hiện trạng là đường nhựa, bê tông xi măng:
P=1335 | X=0106.850-0338.400 | Y=0090.020-0101.260 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1335 | X=0106.850-0413.270 | Y=0107.540-0118.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1335 | X=0106.850-0148.530 | Y=0119.090-0130.330 | ≤1.000m.
P=1335 | X=0106.850-0330.020 | Y=0136.610-0147.850 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1335 | X=0106.850-0392.110 | Y=0154.370-0165.610 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1335 | X=0106.850-0414.860 | Y=0165.650-0176.890 | Đường số 25 đoạn từ Đường Võ Nguyên Giáp đến Đường Bắc Hòa -
P=1335 | X=0106.850-0355.690 | Y=0177.170-0188.410 | Phú Sơn có hiện trạng là đường nhựa, bê tông xi măng:
P=1335 | X=0092.900-0104.020 | Y=0185.050-0194.370 | 70
P=1335 | X=0424.970-0450.020 | Y=0185.050-0194.370 | 1.200
P=1335 | X=0469.370-0486.010 | Y=0185.050-0194.370 | 840
P=1335 | X=0505.390-0522.030 | Y=0185.050-0194.370 | 720
P=1335 | X=0106.850-0392.640 | Y=0194.690-0205.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1335 | X=0106.850-0330.490 | Y=0212.230-0223.470 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1335 | X=0106.850-0219.270 | Y=0229.990-0241.230 | Đường Bình Minh- Giang
P=1335 | X=0235.540-0408.470 | Y=0229.990-0241.230 | Đường Võ Nguyên Giáp ranh xã Trảng
P=1335 | X=0092.900-0104.020 | Y=0237.630-0246.950 | 71
P=1335 | X=0424.970-0450.020 | Y=0237.630-0246.950 | 4.400
P=1335 | X=0461.210-0486.260 | Y=0237.630-0246.950 | 3.100
P=1335 | X=0497.230-0522.280 | Y=0237.630-0246.950 | 2.600
P=1335 | X=0106.850-0127.570 | Y=0241.510-0252.750 | Điền
P=1335 | X=0235.540-0256.970 | Y=0243.390-0252.710 | Giáp
P=1335 | X=0322.200-0342.830 | Y=0243.390-0252.710 | Bom
P=1335 | X=0106.850-0406.460 | Y=0259.270-0270.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bình Minh-
P=1335 | X=0106.850-0413.260 | Y=0270.790-0282.030 | Giang Điền đoạn từ Đường Võ Nguyên Giáp đến Giáp ranh xã Trảng
P=1335 | X=0106.850-0337.200 | Y=0282.340-0293.580 | Bom có hiện trạng là đường nhựa, bê tông xi măng:
P=1335 | X=0092.900-0104.020 | Y=0290.220-0299.540 | 72
P=1335 | X=0424.970-0450.020 | Y=0290.220-0299.540 | 2.200
P=1335 | X=0461.210-0486.260 | Y=0290.220-0299.540 | 1.500
P=1335 | X=0497.230-0522.280 | Y=0290.220-0299.540 | 1.300
P=1335 | X=0106.850-0337.930 | Y=0299.860-0311.100 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1335 | X=0106.850-0384.020 | Y=0317.380-0328.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1335 | X=0106.850-0406.460 | Y=0335.140-0346.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bình Minh-
P=1335 | X=0106.850-0413.260 | Y=0346.660-0357.900 | Giang Điền đoạn từ Đường Võ Nguyên Giáp đến Giáp ranh xã Trảng
P=1335 | X=0106.850-0337.200 | Y=0357.940-0369.180 | Bom có hiện trạng là đường nhựa, bê tông xi măng:
P=1335 | X=0092.900-0338.400 | Y=0375.480-0389.800 | 73 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1335 | X=0424.970-0450.020 | Y=0380.480-0389.800 | 1.800
P=1335 | X=0461.210-0486.260 | Y=0380.480-0389.800 | 1.300
P=1335 | X=0497.230-0522.280 | Y=0380.480-0389.800 | 1.100
P=1335 | X=0106.850-0413.270 | Y=0393.000-0404.240 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1335 | X=0106.850-0148.530 | Y=0404.520-0415.760 | ≤1.000m.
P=1335 | X=0106.850-0330.020 | Y=0422.040-0433.280 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1335 | X=0106.850-0406.460 | Y=0439.800-0451.040 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bình Minh-
P=1335 | X=0106.850-0413.260 | Y=0451.340-0462.580 | Giang Điền đoạn từ Đường Võ Nguyên Giáp đến Giáp ranh xã Trảng
P=1335 | X=0106.850-0337.200 | Y=0462.860-0474.100 | Bom có hiện trạng là đường nhựa, bê tông xi măng:
P=1335 | X=0092.900-0104.020 | Y=0470.740-0480.060 | 74
P=1335 | X=0424.970-0450.020 | Y=0470.740-0480.060 | 1.300
P=1335 | X=0469.370-0486.010 | Y=0470.740-0480.060 | 910
P=1335 | X=0505.390-0522.030 | Y=0470.740-0480.060 | 780
P=1335 | X=0106.850-0392.640 | Y=0480.380-0491.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1335 | X=0106.850-0330.490 | Y=0497.900-0509.140 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1335 | X=0106.850-0392.110 | Y=0515.660-0526.900 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1335 | X=0106.850-0409.900 | Y=0527.180-0538.420 | Đường Bình Minh- Giang Điền đoạn từ Đường Võ Nguyên Giáp đến
P=1335 | X=0106.850-0395.470 | Y=0538.490-0549.730 | Giáp ranh xã Trảng Bom có hiện trạng là đường nhựa, bê tông xi
P=1335 | X=0092.900-0134.850 | Y=0550.010-0561.450 | 75 măng:
P=1335 | X=0424.970-0450.020 | Y=0552.130-0561.450 | 2.000
P=1335 | X=0461.210-0486.260 | Y=0552.130-0561.450 | 1.400
P=1335 | X=0497.230-0522.280 | Y=0552.130-0561.450 | 1.200
P=1335 | X=0106.850-0337.930 | Y=0567.530-0578.770 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1335 | X=0106.850-0384.020 | Y=0585.050-0596.290 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1335 | X=0106.850-0392.110 | Y=0602.810-0614.050 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1335 | X=0106.850-0409.900 | Y=0614.330-0625.570 | Đường Bình Minh- Giang Điền đoạn từ Đường Võ Nguyên Giáp đến
P=1335 | X=0106.850-0395.470 | Y=0625.870-0637.110 | Giáp ranh xã Trảng Bom có hiện trạng là đường nhựa, bê tông xi
P=1335 | X=0106.850-0134.850 | Y=0637.390-0648.630 | măng:
P=1335 | X=0092.900-0338.400 | Y=0653.910-0666.150 | 76 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1335 | X=0424.970-0450.020 | Y=0653.910-0663.230 | 1.600
P=1335 | X=0461.210-0486.260 | Y=0653.910-0663.230 | 1.100
P=1335 | X=0505.390-0522.030 | Y=0653.910-0663.230 | 960
P=1335 | X=0106.850-0413.270 | Y=0672.430-0683.670 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1335 | X=0106.850-0148.530 | Y=0683.950-0695.190 | ≤1.000m.
P=1335 | X=0106.850-0330.020 | Y=0701.490-0712.730 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1336 | X=0106.850-0392.110 | Y=0078.500-0089.740 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1336 | X=0106.850-0409.900 | Y=0090.020-0101.260 | Đường Bình Minh- Giang Điền đoạn từ Đường Võ Nguyên Giáp đến
P=1336 | X=0106.850-0395.470 | Y=0101.540-0112.780 | Giáp ranh xã Trảng Bom có hiện trạng là đường nhựa, bê tông xi
P=1336 | X=0092.900-0134.850 | Y=0113.060-0124.500 | 77 măng:
P=1336 | X=0424.970-0450.020 | Y=0115.180-0124.500 | 1.200
P=1336 | X=0469.370-0486.010 | Y=0115.180-0124.500 | 840
P=1336 | X=0505.390-0522.030 | Y=0115.180-0124.500 | 720
P=1336 | X=0106.850-0392.640 | Y=0130.610-0141.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1336 | X=0106.850-0330.490 | Y=0148.130-0159.370 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1336 | X=0106.850-0219.270 | Y=0165.650-0176.890 | Đường Bình Minh- Giang
P=1336 | X=0322.200-0369.900 | Y=0171.410-0182.650 | Đường sắt
P=1336 | X=0092.900-0104.020 | Y=0173.290-0182.610 | 78
P=1336 | X=0235.540-0278.580 | Y=0173.290-0182.610 | Quốc lộ 1
P=1336 | X=0424.970-0450.020 | Y=0173.290-0182.610 | 9.800
P=1336 | X=0461.210-0486.260 | Y=0173.290-0182.610 | 6.900
P=1336 | X=0497.230-0522.280 | Y=0173.290-0182.610 | 5.900
P=1336 | X=0106.850-0127.570 | Y=0177.170-0188.410 | Điền
P=1336 | X=0106.850-0406.460 | Y=0194.930-0206.170 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bình Minh-
P=1336 | X=0106.850-0413.750 | Y=0206.470-0217.710 | Giang Điền đoạn từ Quốc lộ 1 đến Đường sắt có hiện trạng là đường
P=1336 | X=0106.850-0209.960 | Y=0217.990-0229.230 | nhựa, bê tông xi măng:
P=1336 | X=0092.900-0104.020 | Y=0225.870-0235.190 | 79
P=1336 | X=0424.970-0450.020 | Y=0225.870-0235.190 | 4.400
P=1336 | X=0461.210-0486.260 | Y=0225.870-0235.190 | 3.100
P=1336 | X=0497.230-0522.280 | Y=0225.870-0235.190 | 2.600
P=1336 | X=0106.850-0337.930 | Y=0235.510-0246.750 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1336 | X=0106.850-0384.020 | Y=0253.030-0264.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1336 | X=0106.850-0406.460 | Y=0270.790-0282.030 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bình Minh-
P=1336 | X=0106.850-0413.750 | Y=0282.340-0293.580 | Giang Điền đoạn từ Quốc lộ 1 đến Đường sắt có hiện trạng là đường
P=1336 | X=0106.850-0209.960 | Y=0293.860-0305.100 | nhựa, bê tông xi măng:
P=1336 | X=0092.900-0338.400 | Y=0311.380-0325.460 | 80 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1336 | X=0424.970-0450.020 | Y=0316.140-0325.460 | 3.000
P=1336 | X=0461.210-0486.260 | Y=0316.140-0325.460 | 2.100
P=1336 | X=0497.230-0522.280 | Y=0316.140-0325.460 | 1.800
P=1336 | X=0106.850-0413.270 | Y=0328.900-0340.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1336 | X=0106.850-0148.530 | Y=0340.420-0351.660 | ≤1.000m.
P=1336 | X=0106.850-0330.020 | Y=0357.700-0368.940 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1336 | X=0106.850-0406.460 | Y=0375.480-0386.720 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bình Minh-
P=1336 | X=0106.850-0413.750 | Y=0387.000-0398.240 | Giang Điền đoạn từ Quốc lộ 1 đến Đường sắt có hiện trạng là đường
P=1336 | X=0106.850-0209.960 | Y=0398.520-0409.760 | nhựa, bê tông xi măng:
P=1336 | X=0092.900-0104.020 | Y=0406.400-0415.720 | 81
P=1336 | X=0424.970-0450.020 | Y=0406.400-0415.720 | 2.000
P=1336 | X=0461.210-0486.260 | Y=0406.400-0415.720 | 1.400
P=1336 | X=0497.230-0522.280 | Y=0406.400-0415.720 | 1.200
P=1336 | X=0106.850-0392.640 | Y=0416.040-0427.280 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1336 | X=0106.850-0330.490 | Y=0433.560-0444.800 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1336 | X=0106.850-0392.110 | Y=0451.340-0462.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1336 | X=0106.850-0408.690 | Y=0462.860-0474.100 | Đường Bình Minh- Giang Điền đoạn từ Quốc lộ 1 đến Đường sắt có
P=1336 | X=0106.850-0300.460 | Y=0474.380-0485.620 | hiện trạng là đường nhựa, bê tông xi măng:
P=1336 | X=0092.900-0104.020 | Y=0482.260-0491.580 | 82
P=1336 | X=0424.970-0450.020 | Y=0482.260-0491.580 | 4.000
P=1336 | X=0461.210-0486.260 | Y=0482.260-0491.580 | 2.800
P=1336 | X=0497.230-0522.280 | Y=0482.260-0491.580 | 2.400
P=1336 | X=0106.850-0337.930 | Y=0491.900-0503.140 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1336 | X=0106.850-0384.020 | Y=0509.420-0520.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1336 | X=0106.850-0392.110 | Y=0527.180-0538.420 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1336 | X=0106.850-0408.690 | Y=0538.490-0549.730 | Đường Bình Minh- Giang Điền đoạn từ Quốc lộ 1 đến Đường sắt có
P=1336 | X=0106.850-0300.460 | Y=0550.010-0561.250 | hiện trạng là đường nhựa, bê tông xi măng:
P=1336 | X=0092.900-0338.400 | Y=0567.530-0581.850 | 83 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1336 | X=0424.970-0450.020 | Y=0572.530-0581.850 | 2.700
P=1336 | X=0461.210-0486.260 | Y=0572.530-0581.850 | 1.900
P=1336 | X=0497.230-0522.280 | Y=0572.530-0581.850 | 1.600
P=1336 | X=0106.850-0413.270 | Y=0585.050-0596.290 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1336 | X=0106.850-0148.530 | Y=0596.570-0607.810 | ≤1.000m.
P=1336 | X=0106.850-0330.020 | Y=0614.090-0625.330 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1336 | X=0106.850-0392.110 | Y=0631.870-0643.110 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1336 | X=0106.850-0408.690 | Y=0643.390-0654.630 | Đường Bình Minh- Giang Điền đoạn từ Quốc lộ 1 đến Đường sắt có
P=1336 | X=0106.850-0300.460 | Y=0654.910-0666.150 | hiện trạng là đường nhựa, bê tông xi măng:
P=1336 | X=0092.900-0104.020 | Y=0662.790-0672.110 | 84
P=1336 | X=0424.970-0450.020 | Y=0662.790-0672.110 | 1.800
P=1336 | X=0461.210-0486.260 | Y=0662.790-0672.110 | 1.300
P=1336 | X=0497.230-0522.280 | Y=0662.790-0672.110 | 1.100
P=1336 | X=0106.850-0392.640 | Y=0672.430-0683.670 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1336 | X=0106.850-0330.490 | Y=0689.950-0701.190 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1336 | X=0092.900-0219.270 | Y=0707.730-0718.970 | 85 Đường Bình Minh- Giang
P=1336 | X=0235.540-0283.220 | Y=0707.730-0718.970 | Đường sắt
P=1336 | X=0322.200-0408.470 | Y=0709.620-0718.940 | Giáp ranh xã Trảng
P=1336 | X=0424.970-0450.020 | Y=0709.620-0718.940 | 8.200
P=1336 | X=0461.210-0486.260 | Y=0709.620-0718.940 | 5.700
P=1336 | X=0497.230-0522.280 | Y=0709.620-0718.940 | 4.900
P=1337 | X=0106.850-0127.570 | Y=0072.500-0083.740 | Điền
P=1337 | X=0322.200-0342.830 | Y=0074.380-0083.700 | Bom
P=1337 | X=0106.850-0406.460 | Y=0090.260-0101.500 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bình Minh-
P=1337 | X=0106.850-0411.580 | Y=0101.780-0113.020 | Giang Điền đoạn từ Đường sắt đến Giáp ranh xã Trảng Bom có hiện
P=1337 | X=0106.850-0278.630 | Y=0113.300-0124.540 | trạng là đường nhựa, bê tông xi măng:
P=1337 | X=0092.900-0104.020 | Y=0121.210-0130.530 | 86
P=1337 | X=0424.970-0450.020 | Y=0121.210-0130.530 | 3.300
P=1337 | X=0461.210-0486.260 | Y=0121.210-0130.530 | 2.300
P=1337 | X=0497.230-0522.280 | Y=0121.210-0130.530 | 2.000
P=1337 | X=0106.850-0337.930 | Y=0130.850-0142.090 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1337 | X=0106.850-0384.020 | Y=0148.370-0159.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1337 | X=0106.850-0406.460 | Y=0166.130-0177.370 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bình Minh-
P=1337 | X=0106.850-0411.580 | Y=0177.410-0188.650 | Giang Điền đoạn từ Đường sắt đến Giáp ranh xã Trảng Bom có hiện
P=1337 | X=0106.850-0278.630 | Y=0188.930-0200.170 | trạng là đường nhựa, bê tông xi măng:
P=1337 | X=0092.900-0338.400 | Y=0206.470-0220.790 | 87 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1337 | X=0424.970-0450.020 | Y=0211.470-0220.790 | 2.300
P=1337 | X=0461.210-0486.260 | Y=0211.470-0220.790 | 1.600
P=1337 | X=0497.230-0522.280 | Y=0211.470-0220.790 | 1.400
P=1337 | X=0106.850-0413.270 | Y=0223.990-0235.230 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1337 | X=0106.850-0148.530 | Y=0235.510-0246.750 | ≤1.000m.
P=1337 | X=0106.850-0330.020 | Y=0253.030-0264.270 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1337 | X=0106.850-0406.460 | Y=0270.790-0282.030 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bình Minh-
