TABLE=049 | AREA=Xã Tà Lài | SECTION=non-agricultural | SEGMENTS=1
P=1664 | X=0108.530-0382.040 | Y=0550.010-0561.250 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1664 | X=0108.530-0374.840 | Y=0561.530-0572.770 | ra Đường Tà Lài đoạn từ Giáp ranh xã Tân Phú đến Ngã ba
P=1664 | X=0108.530-0381.630 | Y=0573.050-0584.290 | chùa Bửu Tân có hiện trạng là đường nhựa, bê tông xi măng:
P=1664 | X=0093.620-0340.080 | Y=0590.570-0604.890 | 27 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1664 | X=0413.180-0429.820 | Y=0595.570-0604.890 | 300
P=1664 | X=0461.210-0477.850 | Y=0595.570-0604.890 | 210
P=1664 | X=0505.390-0522.030 | Y=0595.570-0604.890 | 180
P=1664 | X=0108.530-0361.840 | Y=0608.090-0619.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1664 | X=0108.530-0203.480 | Y=0619.630-0630.870 | >500m đến ≤1.000m.
P=1664 | X=0108.530-0331.700 | Y=0637.150-0648.390 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1664 | X=0108.530-0382.040 | Y=0654.910-0666.150 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1664 | X=0108.530-0374.840 | Y=0666.430-0677.670 | ra Đường Tà Lài đoạn từ Giáp ranh xã Tân Phú đến Ngã ba
P=1664 | X=0093.620-0381.640 | Y=0677.950-0692.030 | 28 chùa Bửu Tân có hiện trạng là đường nhựa, bê tông xi măng:
P=1664 | X=0413.180-0429.820 | Y=0682.710-0692.030 | 190
P=1664 | X=0461.210-0477.850 | Y=0682.710-0692.030 | 130
P=1664 | X=0505.390-0522.030 | Y=0682.710-0692.030 | 110
P=1664 | X=0108.530-0349.620 | Y=0695.470-0706.710 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1664 | X=0108.530-0150.670 | Y=0708.660-0717.980 | >1.000m.
P=1665 | X=0108.530-0332.170 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1665 | X=0302.280-0363.080 | Y=0096.260-0107.500 | Đường Km12
P=1665 | X=0219.910-0298.520 | Y=0103.900-0113.220 | Ngã ba chùa Bửu
P=1665 | X=0093.620-0170.760 | Y=0107.780-0119.020 | 29 Đường Tà Lài
P=1665 | X=0302.280-0379.900 | Y=0107.780-0119.020 | (cổng văn hóa ấp
P=1665 | X=0413.180-0429.820 | Y=0109.660-0118.980 | 650
P=1665 | X=0461.210-0477.850 | Y=0109.660-0118.980 | 460
P=1665 | X=0505.390-0522.030 | Y=0109.660-0118.980 | 390
P=1665 | X=0219.910-0237.270 | Y=0115.420-0124.740 | Tân
P=1665 | X=0302.280-0311.160 | Y=0121.210-0130.530 | 2)
P=1665 | X=0108.530-0387.550 | Y=0137.090-0148.330 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tà Lài
P=1665 | X=0108.530-0374.130 | Y=0148.610-0159.850 | đoạn từ Ngã ba chùa Bửu Tân đến Đường Km12 (cổng văn
P=1665 | X=0108.530-0360.250 | Y=0160.130-0171.370 | hóa ấp 2) có hiện trạng là đường nhựa, bê tông xi măng:
P=1665 | X=0093.620-0104.740 | Y=0168.010-0177.330 | 30
P=1665 | X=0413.180-0429.820 | Y=0168.010-0177.330 | 330
P=1665 | X=0461.210-0477.850 | Y=0168.010-0177.330 | 230
P=1665 | X=0505.390-0522.030 | Y=0168.010-0177.330 | 200
P=1665 | X=0108.530-0339.610 | Y=0177.410-0188.650 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1665 | X=0108.530-0385.700 | Y=0194.930-0206.170 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1665 | X=0108.530-0387.550 | Y=0212.710-0223.950 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tà Lài
P=1665 | X=0108.530-0374.130 | Y=0224.230-0235.470 | đoạn từ Ngã ba chùa Bửu Tân đến Đường Km12 (cổng văn
P=1665 | X=0108.530-0360.250 | Y=0235.750-0246.990 | hóa ấp 2) có hiện trạng là đường nhựa, bê tông xi măng:
P=1665 | X=0093.620-0340.080 | Y=0253.270-0267.590 | 31 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1665 | X=0413.180-0429.820 | Y=0258.270-0267.590 | 260
P=1665 | X=0461.210-0477.850 | Y=0258.270-0267.590 | 180
P=1665 | X=0505.390-0522.030 | Y=0258.270-0267.590 | 160
P=1665 | X=0108.530-0361.840 | Y=0270.790-0282.030 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1665 | X=0108.530-0203.480 | Y=0282.340-0293.580 | >500m đến ≤1.000m.
P=1665 | X=0108.530-0331.700 | Y=0299.860-0311.100 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1665 | X=0108.530-0387.550 | Y=0317.620-0328.860 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tà Lài
P=1665 | X=0108.530-0374.130 | Y=0329.140-0340.380 | đoạn từ Ngã ba chùa Bửu Tân đến Đường Km12 (cổng văn
P=1665 | X=0108.530-0360.280 | Y=0340.660-0351.900 | hóa ấp 2) có hiện trạng là đường nhựa, bê tông xi măng:
P=1665 | X=0093.620-0104.740 | Y=0354.300-0363.620 | 32
P=1665 | X=0413.180-0429.820 | Y=0354.300-0363.620 | 210
P=1665 | X=0461.210-0477.850 | Y=0354.300-0363.620 | 150
P=1665 | X=0505.390-0522.030 | Y=0354.300-0363.620 | 130
P=1665 | X=0108.530-0349.620 | Y=0357.940-0369.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1665 | X=0108.530-0150.670 | Y=0371.360-0380.680 | >1.000m.
P=1665 | X=0108.530-0332.170 | Y=0387.000-0398.240 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1665 | X=0108.530-0382.040 | Y=0404.760-0416.000 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1665 | X=0108.530-0374.870 | Y=0416.280-0427.520 | ra Đường Tà Lài đoạn từ Ngã ba chùa Bửu Tân đến Đường
P=1665 | X=0108.530-0373.400 | Y=0427.800-0439.040 | Km12 (cổng văn hóa ấp 2) có hiện trạng là đường nhựa, bê
P=1665 | X=0093.620-0168.690 | Y=0439.320-0450.760 | 33 tông xi măng:
P=1665 | X=0413.180-0429.820 | Y=0441.440-0450.760 | 300
P=1665 | X=0461.210-0477.850 | Y=0441.440-0450.760 | 210
P=1665 | X=0505.390-0522.030 | Y=0441.440-0450.760 | 180
P=1665 | X=0108.530-0339.610 | Y=0456.860-0468.100 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1665 | X=0108.530-0385.700 | Y=0474.380-0485.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1665 | X=0108.530-0382.040 | Y=0492.140-0503.380 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1665 | X=0108.530-0374.870 | Y=0503.660-0514.900 | ra Đường Tà Lài đoạn từ Ngã ba chùa Bửu Tân đến Đường
P=1665 | X=0108.530-0373.400 | Y=0515.180-0526.420 | Km12 (cổng văn hóa ấp 2) có hiện trạng là đường nhựa, bê
P=1665 | X=0108.530-0168.690 | Y=0526.460-0537.700 | tông xi măng:
P=1665 | X=0093.620-0340.080 | Y=0543.250-0555.250 | 34 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1665 | X=0413.180-0429.820 | Y=0543.250-0552.570 | 230
P=1665 | X=0461.210-0477.850 | Y=0543.250-0552.570 | 160
P=1665 | X=0505.390-0522.030 | Y=0543.250-0552.570 | 140
P=1665 | X=0108.530-0361.840 | Y=0561.530-0572.770 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1665 | X=0108.530-0203.480 | Y=0573.050-0584.290 | >500m đến ≤1.000m.
P=1665 | X=0108.530-0331.700 | Y=0590.570-0601.810 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1665 | X=0108.530-0382.040 | Y=0608.330-0619.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1665 | X=0108.530-0374.870 | Y=0619.870-0631.110 | ra Đường Tà Lài đoạn từ Ngã ba chùa Bửu Tân đến Đường
P=1665 | X=0108.530-0373.400 | Y=0631.390-0642.630 | Km12 (cổng văn hóa ấp 2) có hiện trạng là đường nhựa, bê
P=1665 | X=0108.530-0168.690 | Y=0642.910-0654.150 | tông xi măng:
P=1665 | X=0093.620-0104.740 | Y=0650.790-0660.110 | 35
P=1665 | X=0413.180-0429.820 | Y=0650.790-0660.110 | 190
P=1665 | X=0461.210-0477.850 | Y=0650.790-0660.110 | 130
P=1665 | X=0505.390-0522.030 | Y=0650.790-0660.110 | 110
P=1665 | X=0108.530-0349.620 | Y=0660.430-0671.670 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1665 | X=0108.530-0150.670 | Y=0673.830-0683.150 | >1.000m.
P=1665 | X=0108.530-0332.170 | Y=0689.470-0700.710 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1665 | X=0093.620-0170.760 | Y=0707.250-0718.490 | 36 Đường Tà Lài
P=1665 | X=0219.910-0280.740 | Y=0707.250-0718.490 | Đường Km12
P=1665 | X=0302.280-0365.270 | Y=0707.250-0718.490 | Đường ấp 2-4
P=1665 | X=0413.180-0429.820 | Y=0709.140-0718.460 | 980
P=1665 | X=0461.210-0477.850 | Y=0709.140-0718.460 | 690
P=1665 | X=0505.390-0522.030 | Y=0709.140-0718.460 | 590
P=1666 | X=0219.910-0297.560 | Y=0072.500-0083.740 | (cổng văn hóa ấp
P=1666 | X=0219.910-0228.790 | Y=0085.900-0095.220 | 2)
P=1666 | X=0108.530-0387.550 | Y=0101.780-0113.020 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tà Lài
P=1666 | X=0108.530-0383.270 | Y=0113.300-0124.540 | đoạn từ Đường Km12 (cổng văn hóa ấp 2) đến Đường ấp 2-4
P=1666 | X=0108.530-0315.380 | Y=0124.850-0136.090 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1666 | X=0093.620-0104.740 | Y=0132.730-0142.050 | 37
P=1666 | X=0413.180-0429.820 | Y=0132.730-0142.050 | 460
P=1666 | X=0461.210-0477.850 | Y=0132.730-0142.050 | 320
P=1666 | X=0505.390-0522.030 | Y=0132.730-0142.050 | 280
P=1666 | X=0108.530-0339.610 | Y=0142.370-0153.610 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1666 | X=0108.530-0385.700 | Y=0159.650-0170.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1666 | X=0108.530-0387.590 | Y=0177.410-0188.650 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tà Lài
P=1666 | X=0108.530-0383.270 | Y=0188.930-0200.170 | đoạn từ Đường Km12 (cổng văn hóa ấp 2) đến Đường ấp 2-4
P=1666 | X=0108.530-0315.380 | Y=0200.470-0211.710 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1666 | X=0093.620-0340.080 | Y=0217.990-0232.310 | 38 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1666 | X=0413.180-0429.820 | Y=0222.990-0232.310 | 340
P=1666 | X=0461.210-0477.850 | Y=0222.990-0232.310 | 240
P=1666 | X=0505.390-0522.030 | Y=0222.990-0232.310 | 200
P=1666 | X=0108.530-0361.840 | Y=0235.510-0246.750 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1666 | X=0108.530-0203.480 | Y=0247.030-0258.270 | >500m đến ≤1.000m.
P=1666 | X=0108.530-0331.700 | Y=0264.550-0275.790 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1666 | X=0108.530-0387.550 | Y=0282.340-0293.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tà Lài
P=1666 | X=0108.530-0383.270 | Y=0293.860-0305.100 | đoạn từ Đường Km12 (cổng văn hóa ấp 2) đến Đường ấp 2-4
P=1666 | X=0108.530-0315.380 | Y=0305.380-0316.620 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1666 | X=0093.620-0104.740 | Y=0319.020-0328.340 | 39
P=1666 | X=0413.180-0429.820 | Y=0319.020-0328.340 | 220
P=1666 | X=0461.210-0477.850 | Y=0319.020-0328.340 | 150
P=1666 | X=0505.390-0522.030 | Y=0319.020-0328.340 | 130
P=1666 | X=0108.530-0349.620 | Y=0322.900-0334.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1666 | X=0108.530-0150.680 | Y=0336.300-0345.620 | >1.000m.
P=1666 | X=0108.530-0332.170 | Y=0351.700-0362.940 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1666 | X=0108.530-0382.040 | Y=0369.480-0380.720 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1666 | X=0108.530-0374.780 | Y=0381.000-0392.240 | ra Đường Tà Lài đoạn từ Đường Km12 (cổng văn hóa ấp 2)
P=1666 | X=0108.530-0369.790 | Y=0392.520-0403.760 | đến Đường ấp 2-4 có hiện trạng là đường nhựa, bê tông xi
P=1666 | X=0093.620-0136.530 | Y=0404.040-0415.480 | 40 măng:
P=1666 | X=0413.180-0429.820 | Y=0406.160-0415.480 | 410
P=1666 | X=0461.210-0477.850 | Y=0406.160-0415.480 | 290
P=1666 | X=0505.390-0522.030 | Y=0406.160-0415.480 | 250
P=1666 | X=0108.530-0339.610 | Y=0421.560-0432.800 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1666 | X=0108.530-0385.700 | Y=0439.080-0450.320 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1666 | X=0108.530-0382.040 | Y=0456.860-0468.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1666 | X=0108.530-0374.780 | Y=0468.380-0479.620 | ra Đường Tà Lài đoạn từ Đường Km12 (cổng văn hóa ấp 2)
P=1666 | X=0108.530-0369.790 | Y=0479.900-0491.140 | đến Đường ấp 2-4 có hiện trạng là đường nhựa, bê tông xi
P=1666 | X=0108.530-0136.530 | Y=0491.420-0502.660 | măng:
P=1666 | X=0093.620-0340.080 | Y=0507.940-0520.180 | 41 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1666 | X=0413.180-0429.820 | Y=0507.940-0517.260 | 310
P=1666 | X=0461.210-0477.850 | Y=0507.940-0517.260 | 220
P=1666 | X=0505.390-0522.030 | Y=0507.940-0517.260 | 190
P=1666 | X=0108.530-0361.840 | Y=0526.220-0537.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1666 | X=0108.530-0203.480 | Y=0537.770-0549.010 | >500m đến ≤1.000m.
P=1666 | X=0108.530-0331.700 | Y=0555.290-0566.530 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1666 | X=0108.530-0382.040 | Y=0573.050-0584.290 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1666 | X=0108.530-0374.780 | Y=0584.570-0595.810 | ra Đường Tà Lài đoạn từ Đường Km12 (cổng văn hóa ấp 2)
P=1666 | X=0108.530-0369.790 | Y=0596.090-0607.330 | đến Đường ấp 2-4 có hiện trạng là đường nhựa, bê tông xi
P=1666 | X=0108.530-0136.530 | Y=0607.610-0618.850 | măng:
P=1666 | X=0093.620-0104.740 | Y=0615.490-0624.810 | 42
P=1666 | X=0413.180-0429.820 | Y=0615.490-0624.810 | 200
P=1666 | X=0461.210-0477.850 | Y=0615.490-0624.810 | 140
P=1666 | X=0505.390-0522.030 | Y=0615.490-0624.810 | 120
P=1666 | X=0108.530-0349.620 | Y=0625.150-0636.390 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1666 | X=0108.530-0150.670 | Y=0638.550-0647.870 | >1.000m.
P=1666 | X=0108.530-0332.170 | Y=0654.190-0665.430 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1666 | X=0093.620-0170.760 | Y=0671.950-0683.190 | 43 Đường Tà Lài
P=1666 | X=0219.910-0282.910 | Y=0671.950-0683.190 | Đường ấp 2-4
P=1666 | X=0302.280-0365.270 | Y=0671.950-0683.190 | Đường ấp 3-4
P=1666 | X=0405.020-0430.070 | Y=0673.830-0683.150 | 1.200
P=1666 | X=0461.210-0477.850 | Y=0673.830-0683.150 | 840
P=1666 | X=0505.390-0522.030 | Y=0673.830-0683.150 | 720
P=1666 | X=0108.530-0387.550 | Y=0689.710-0700.950 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tà Lài
P=1666 | X=0093.620-0104.740 | Y=0697.350-0706.670 | 44
P=1666 | X=0413.180-0429.820 | Y=0697.350-0706.670 | 460
P=1666 | X=0461.210-0477.850 | Y=0697.350-0706.670 | 320
P=1666 | X=0505.390-0522.030 | Y=0697.350-0706.670 | 280
P=1666 | X=0108.530-0364.990 | Y=0701.250-0712.490 | đoạn từ Đường ấp 2-4 đến Đường ấp 3-4 có hiện trạng là
P=1667 | X=0108.530-0244.280 | Y=0072.500-0083.740 | đường nhựa, bê tông xi măng:
P=1667 | X=0108.530-0339.640 | Y=0090.020-0101.260 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1667 | X=0108.530-0385.700 | Y=0107.540-0118.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1667 | X=0108.530-0387.550 | Y=0125.330-0136.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tà Lài
P=1667 | X=0108.530-0364.990 | Y=0136.850-0148.090 | đoạn từ Đường ấp 2-4 đến Đường ấp 3-4 có hiện trạng là
P=1667 | X=0108.530-0244.280 | Y=0148.370-0159.610 | đường nhựa, bê tông xi măng:
P=1667 | X=0093.620-0340.090 | Y=0165.650-0179.970 | 45 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1667 | X=0413.180-0429.820 | Y=0170.650-0179.970 | 340
P=1667 | X=0461.210-0477.850 | Y=0170.650-0179.970 | 240
P=1667 | X=0505.390-0522.030 | Y=0170.650-0179.970 | 200
P=1667 | X=0108.530-0361.840 | Y=0183.170-0194.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1667 | X=0108.530-0203.480 | Y=0194.690-0205.930 | >500m đến ≤1.000m.
P=1667 | X=0108.530-0331.700 | Y=0212.230-0223.470 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1667 | X=0108.530-0387.550 | Y=0229.990-0241.230 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tà Lài
P=1667 | X=0108.530-0364.990 | Y=0241.510-0252.750 | đoạn từ Đường ấp 2-4 đến Đường ấp 3-4 có hiện trạng là
P=1667 | X=0108.530-0244.280 | Y=0253.030-0264.270 | đường nhựa, bê tông xi măng:
P=1667 | X=0093.620-0104.740 | Y=0266.670-0275.990 | 46
P=1667 | X=0413.180-0429.820 | Y=0266.670-0275.990 | 220
P=1667 | X=0461.210-0477.850 | Y=0266.670-0275.990 | 150
P=1667 | X=0505.390-0522.030 | Y=0266.670-0275.990 | 130
P=1667 | X=0108.530-0349.620 | Y=0270.550-0281.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1667 | X=0108.530-0150.670 | Y=0283.980-0293.300 | >1.000m.
P=1667 | X=0108.530-0332.170 | Y=0299.620-0310.860 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1667 | X=0108.530-0382.040 | Y=0317.380-0328.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1667 | X=0108.530-0383.740 | Y=0328.900-0340.140 | ra Đường Tà Lài đoạn từ Đường ấp 2-4 đến Đường ấp 3-4 có
P=1667 | X=0108.530-0302.140 | Y=0340.420-0351.660 | hiện trạng là đường nhựa, bê tông xi măng:
P=1667 | X=0093.620-0104.740 | Y=0348.300-0357.620 | 47
P=1667 | X=0413.180-0429.820 | Y=0348.300-0357.620 | 410
P=1667 | X=0461.210-0477.850 | Y=0348.300-0357.620 | 290
P=1667 | X=0505.390-0522.030 | Y=0348.300-0357.620 | 250
P=1667 | X=0108.530-0339.610 | Y=0357.700-0368.940 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1667 | X=0108.530-0385.700 | Y=0375.240-0386.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1667 | X=0108.530-0382.040 | Y=0393.000-0404.240 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1667 | X=0108.530-0383.740 | Y=0404.520-0415.760 | ra Đường Tà Lài đoạn từ Đường ấp 2-4 đến Đường ấp 3-4 có
P=1667 | X=0108.530-0302.140 | Y=0416.040-0427.280 | hiện trạng là đường nhựa, bê tông xi măng:
P=1667 | X=0093.620-0340.080 | Y=0433.560-0447.880 | 48 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1667 | X=0413.180-0429.820 | Y=0438.560-0447.880 | 310
P=1667 | X=0461.210-0477.850 | Y=0438.560-0447.880 | 220
P=1667 | X=0505.390-0522.030 | Y=0438.560-0447.880 | 190
P=1667 | X=0108.530-0361.840 | Y=0451.100-0462.340 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1667 | X=0108.530-0203.480 | Y=0462.620-0473.860 | >500m đến ≤1.000m.
P=1667 | X=0108.530-0331.720 | Y=0480.140-0491.380 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1667 | X=0108.530-0382.040 | Y=0497.900-0509.140 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1667 | X=0108.530-0383.740 | Y=0509.420-0520.660 | ra Đường Tà Lài đoạn từ Đường ấp 2-4 đến Đường ấp 3-4 có
P=1667 | X=0108.530-0302.140 | Y=0520.940-0532.180 | hiện trạng là đường nhựa, bê tông xi măng:
P=1667 | X=0093.620-0104.740 | Y=0534.370-0543.690 | 49
P=1667 | X=0413.180-0429.820 | Y=0534.370-0543.690 | 200
P=1667 | X=0461.210-0477.850 | Y=0534.370-0543.690 | 140
P=1667 | X=0505.390-0522.030 | Y=0534.370-0543.690 | 120
P=1667 | X=0108.530-0349.620 | Y=0538.250-0549.490 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1667 | X=0108.530-0150.670 | Y=0551.650-0560.970 | >1.000m.
P=1667 | X=0108.530-0332.170 | Y=0567.290-0578.530 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1667 | X=0093.620-0170.760 | Y=0585.050-0596.290 | 50 Đường Tà Lài
P=1667 | X=0219.910-0282.910 | Y=0585.050-0596.290 | Đường ấp 3-4
P=1667 | X=0302.280-0370.040 | Y=0585.050-0596.290 | Sông Đồng Nai
P=1667 | X=0413.180-0429.820 | Y=0586.930-0596.250 | 910
P=1667 | X=0461.210-0477.850 | Y=0586.930-0596.250 | 640
P=1667 | X=0505.390-0522.030 | Y=0586.930-0596.250 | 550
P=1667 | X=0108.530-0387.550 | Y=0602.810-0614.050 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tà Lài
P=1667 | X=0108.530-0370.030 | Y=0614.330-0625.570 | đoạn từ Đường ấp 3-4 đến Sông Đồng Nai có hiện trạng là
P=1667 | X=0108.530-0244.280 | Y=0625.870-0637.110 | đường nhựa, bê tông xi măng:
P=1667 | X=0093.620-0104.740 | Y=0633.750-0643.070 | 51
P=1667 | X=0413.180-0429.820 | Y=0633.750-0643.070 | 460
P=1667 | X=0461.210-0477.850 | Y=0633.750-0643.070 | 320
P=1667 | X=0505.390-0522.030 | Y=0633.750-0643.070 | 280
P=1667 | X=0108.530-0339.610 | Y=0643.390-0654.630 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1667 | X=0108.530-0385.700 | Y=0660.910-0672.150 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1667 | X=0108.530-0387.550 | Y=0678.670-0689.910 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tà Lài
P=1667 | X=0093.620-0370.030 | Y=0690.190-0701.430 | 52 đoạn từ Đường ấp 3-4 đến Sông Đồng Nai có hiện trạng là
P=1667 | X=0413.180-0429.820 | Y=0692.070-0701.390 | 340
P=1667 | X=0461.210-0477.850 | Y=0692.070-0701.390 | 240
P=1667 | X=0505.390-0522.030 | Y=0692.070-0701.390 | 200
P=1667 | X=0108.530-0244.300 | Y=0701.730-0712.970 | đường nhựa, bê tông xi măng:
P=1668 | X=0108.530-0340.080 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1668 | X=0108.530-0361.840 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1668 | X=0108.530-0203.480 | Y=0107.540-0118.780 | >500m đến ≤1.000m.
P=1668 | X=0108.530-0331.700 | Y=0125.090-0136.330 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1668 | X=0108.530-0387.550 | Y=0142.850-0154.090 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tà Lài
P=1668 | X=0108.530-0370.030 | Y=0154.370-0165.610 | đoạn từ Đường ấp 3-4 đến Sông Đồng Nai có hiện trạng là
P=1668 | X=0108.530-0244.280 | Y=0165.650-0176.890 | đường nhựa, bê tông xi măng:
P=1668 | X=0093.620-0104.740 | Y=0179.290-0188.610 | 53
P=1668 | X=0413.180-0429.820 | Y=0179.290-0188.610 | 220
P=1668 | X=0461.210-0477.850 | Y=0179.290-0188.610 | 150
P=1668 | X=0505.390-0522.030 | Y=0179.290-0188.610 | 130
P=1668 | X=0108.530-0349.620 | Y=0183.170-0194.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1668 | X=0108.530-0150.670 | Y=0196.570-0205.890 | >1.000m.
P=1668 | X=0108.530-0332.170 | Y=0212.230-0223.470 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1668 | X=0108.530-0382.040 | Y=0229.990-0241.230 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1668 | X=0108.530-0388.980 | Y=0241.510-0252.750 | ra Đường Tà Lài đoạn từ Đường ấp 3-4 đến Sông Đồng Nai có
P=1668 | X=0108.530-0302.140 | Y=0253.030-0264.270 | hiện trạng là đường nhựa, bê tông xi măng:
P=1668 | X=0093.620-0104.740 | Y=0260.910-0270.230 | 54
P=1668 | X=0413.180-0429.820 | Y=0260.910-0270.230 | 410
P=1668 | X=0461.210-0477.850 | Y=0260.910-0270.230 | 290
P=1668 | X=0505.390-0522.030 | Y=0260.910-0270.230 | 250
P=1668 | X=0108.530-0339.610 | Y=0270.550-0281.790 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1668 | X=0108.530-0385.700 | Y=0288.100-0299.340 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1668 | X=0108.530-0382.040 | Y=0305.860-0317.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1668 | X=0108.530-0388.980 | Y=0317.380-0328.620 | ra Đường Tà Lài đoạn từ Đường ấp 3-4 đến Sông Đồng Nai có
P=1668 | X=0108.530-0302.140 | Y=0328.900-0340.140 | hiện trạng là đường nhựa, bê tông xi măng:
P=1668 | X=0093.620-0340.080 | Y=0346.420-0360.500 | 55 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1668 | X=0413.180-0429.820 | Y=0351.180-0360.500 | 310
P=1668 | X=0461.210-0477.850 | Y=0351.180-0360.500 | 220
P=1668 | X=0505.390-0522.030 | Y=0351.180-0360.500 | 190
P=1668 | X=0108.530-0361.840 | Y=0363.700-0374.940 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1668 | X=0108.530-0203.510 | Y=0375.240-0386.480 | >500m đến ≤1.000m.
