TABLE=054 | AREA=Xã Tân An | SECTION=non-agricultural | SEGMENTS=1
P=1796 | X=0108.290-0321.540 | Y=0421.320-0432.560 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1796 | X=0108.290-0169.410 | Y=0432.840-0444.080 | thông ≤500m.
P=1796 | X=0108.290-0341.000 | Y=0450.620-0461.860 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1796 | X=0108.290-0339.760 | Y=0462.140-0473.380 | và thông ra Đường tỉnh 768 đoạn từ Cầu Chùm Bao
P=1796 | X=0108.290-0325.160 | Y=0473.660-0484.900 | đến Cầu Bà Giá (Cầu 19) có hiện trạng là đường
P=1796 | X=0108.290-0211.400 | Y=0485.180-0496.420 | nhựa, bê tông xi măng:
P=1796 | X=0093.380-0339.840 | Y=0501.700-0513.700 | 27 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1796 | X=0388.940-0405.580 | Y=0501.700-0511.020 | 840
P=1796 | X=0450.170-0466.810 | Y=0501.700-0511.020 | 590
P=1796 | X=0505.390-0522.030 | Y=0501.700-0511.020 | 500
P=1796 | X=0108.290-0321.560 | Y=0519.980-0531.220 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1796 | X=0108.290-0243.110 | Y=0531.500-0542.740 | thông từ >500m đến ≤1.000m.
P=1796 | X=0108.290-0331.460 | Y=0549.050-0560.290 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1796 | X=0108.290-0341.000 | Y=0566.810-0578.050 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1796 | X=0108.290-0339.760 | Y=0578.330-0589.570 | và thông ra Đường tỉnh 768 đoạn từ Cầu Chùm Bao
P=1796 | X=0108.290-0325.160 | Y=0589.850-0601.090 | đến Cầu Bà Giá (Cầu 19) có hiện trạng là đường
P=1796 | X=0108.290-0211.400 | Y=0601.370-0612.610 | nhựa, bê tông xi măng:
P=1796 | X=0093.380-0104.500 | Y=0609.250-0618.570 | 28
P=1796 | X=0388.940-0405.580 | Y=0609.250-0618.570 | 720
P=1796 | X=0450.170-0466.810 | Y=0609.250-0618.570 | 500
P=1796 | X=0505.390-0522.030 | Y=0609.250-0618.570 | 430
P=1796 | X=0108.290-0321.540 | Y=0618.910-0630.150 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1796 | X=0108.290-0178.270 | Y=0632.310-0641.630 | thông >1.000m.
P=1796 | X=0108.290-0331.930 | Y=0647.950-0659.190 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1796 | X=0262.660-0336.600 | Y=0665.710-0676.950 | Đường Cộ - Cây
P=1796 | X=0093.380-0262.030 | Y=0671.470-0682.710 | 29 Đường ấp 3 (cũ) Đường tỉnh 768
P=1796 | X=0380.780-0405.830 | Y=0673.350-0682.670 | 2.800
P=1796 | X=0442.010-0467.060 | Y=0673.350-0682.670 | 2.000
P=1796 | X=0497.230-0522.280 | Y=0673.350-0682.670 | 1.700
P=1796 | X=0262.660-0282.430 | Y=0679.110-0688.430 | Xoài
P=1796 | X=0108.290-0322.520 | Y=0694.750-0705.990 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1796 | X=0093.380-0104.500 | Y=0702.420-0711.740 | 30
P=1796 | X=0380.780-0405.830 | Y=0702.420-0711.740 | 1.400
P=1796 | X=0450.170-0466.810 | Y=0702.420-0711.740 | 980
P=1796 | X=0505.390-0522.030 | Y=0702.420-0711.740 | 840
P=1796 | X=0108.290-0311.720 | Y=0706.290-0717.530 | Đường ấp 3 (cũ) đoạn từ Đường tỉnh 768 đến
P=1797 | X=0108.290-0337.970 | Y=0072.500-0083.740 | Đường Cộ - Cây Xoài có hiện trạng là đường nhựa,
P=1797 | X=0108.290-0182.370 | Y=0084.020-0095.260 | bê tông xi măng:
P=1797 | X=0108.290-0339.370 | Y=0101.540-0112.780 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1797 | X=0108.290-0321.560 | Y=0119.090-0130.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1797 | X=0108.290-0169.410 | Y=0130.610-0141.850 | thông ≤500m.
P=1797 | X=0108.290-0322.520 | Y=0148.370-0159.610 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1797 | X=0108.290-0311.720 | Y=0159.650-0170.890 | Đường ấp 3 (cũ) đoạn từ Đường tỉnh 768 đến
P=1797 | X=0108.290-0337.970 | Y=0171.170-0182.410 | Đường Cộ - Cây Xoài có hiện trạng là đường nhựa,
P=1797 | X=0108.290-0182.370 | Y=0182.690-0193.930 | bê tông xi măng:
P=1797 | X=0093.380-0339.840 | Y=0199.470-0211.470 | 31 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1797 | X=0380.780-0405.830 | Y=0199.470-0208.790 | 1.100
P=1797 | X=0450.170-0466.810 | Y=0199.470-0208.790 | 770
P=1797 | X=0505.390-0522.030 | Y=0199.470-0208.790 | 660
P=1797 | X=0108.290-0321.540 | Y=0217.750-0228.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1797 | X=0108.290-0243.110 | Y=0229.270-0240.510 | thông từ >500m đến ≤1.000m.
P=1797 | X=0108.290-0331.460 | Y=0246.790-0258.030 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1797 | X=0108.290-0322.520 | Y=0264.550-0275.790 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1797 | X=0108.290-0311.720 | Y=0276.070-0287.310 | Đường ấp 3 (cũ) đoạn từ Đường tỉnh 768 đến
P=1797 | X=0108.290-0337.970 | Y=0287.620-0298.860 | Đường Cộ - Cây Xoài có hiện trạng là đường nhựa,
P=1797 | X=0108.290-0182.370 | Y=0299.140-0310.380 | bê tông xi măng:
P=1797 | X=0093.380-0104.500 | Y=0307.020-0316.340 | 32
P=1797 | X=0388.940-0405.580 | Y=0307.020-0316.340 | 980
P=1797 | X=0450.170-0466.810 | Y=0307.020-0316.340 | 690
P=1797 | X=0505.390-0522.030 | Y=0307.020-0316.340 | 590
P=1797 | X=0108.290-0321.540 | Y=0316.660-0327.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1797 | X=0108.290-0178.270 | Y=0329.820-0339.140 | thông >1.000m.
P=1797 | X=0108.290-0331.930 | Y=0345.460-0356.700 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1797 | X=0108.290-0341.000 | Y=0363.220-0374.460 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1797 | X=0108.290-0325.880 | Y=0374.760-0386.000 | và thông ra Đường ấp 3 (cũ) đoạn từ Đường tỉnh
P=1797 | X=0108.290-0315.320 | Y=0386.280-0397.520 | 768 đến Đường Cộ - Cây Xoài có hiện trạng là
P=1797 | X=0108.290-0244.060 | Y=0397.800-0409.040 | đường nhựa, bê tông xi măng:
P=1797 | X=0093.380-0104.500 | Y=0405.680-0415.000 | 33
P=1797 | X=0380.780-0405.830 | Y=0405.680-0415.000 | 1.300
P=1797 | X=0450.170-0466.810 | Y=0405.680-0415.000 | 910
P=1797 | X=0505.390-0522.030 | Y=0405.680-0415.000 | 780
P=1797 | X=0108.290-0339.400 | Y=0415.320-0426.560 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1797 | X=0108.290-0321.540 | Y=0432.840-0444.080 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1797 | X=0108.290-0169.410 | Y=0444.360-0455.600 | thông ≤500m.
P=1797 | X=0108.290-0341.000 | Y=0462.140-0473.380 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1797 | X=0108.290-0325.890 | Y=0473.660-0484.900 | và thông ra Đường ấp 3 (cũ) đoạn từ Đường tỉnh
P=1797 | X=0108.290-0315.320 | Y=0485.180-0496.420 | 768 đến Đường Cộ - Cây Xoài có hiện trạng là
P=1797 | X=0108.290-0244.040 | Y=0496.460-0507.700 | đường nhựa, bê tông xi măng:
P=1797 | X=0093.380-0339.840 | Y=0513.220-0525.220 | 34 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1797 | X=0388.940-0405.580 | Y=0513.220-0522.540 | 990
P=1797 | X=0450.170-0466.810 | Y=0513.220-0522.540 | 690
P=1797 | X=0505.390-0522.030 | Y=0513.220-0522.540 | 590
P=1797 | X=0108.290-0321.540 | Y=0531.500-0542.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1797 | X=0108.290-0243.110 | Y=0543.050-0554.290 | thông từ >500m đến ≤1.000m.
P=1797 | X=0108.290-0331.460 | Y=0560.570-0571.810 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1797 | X=0108.290-0341.000 | Y=0578.330-0589.570 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1797 | X=0108.290-0325.890 | Y=0589.850-0601.090 | và thông ra Đường ấp 3 (cũ) đoạn từ Đường tỉnh
P=1797 | X=0108.290-0315.320 | Y=0601.370-0612.610 | 768 đến Đường Cộ - Cây Xoài có hiện trạng là
P=1797 | X=0108.290-0244.040 | Y=0612.890-0624.130 | đường nhựa, bê tông xi măng:
P=1797 | X=0093.380-0104.500 | Y=0620.790-0630.110 | 35
P=1797 | X=0388.940-0405.580 | Y=0620.790-0630.110 | 880
P=1797 | X=0450.170-0466.810 | Y=0620.790-0630.110 | 620
P=1797 | X=0505.390-0522.030 | Y=0620.790-0630.110 | 530
P=1797 | X=0108.290-0321.540 | Y=0630.430-0641.670 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1797 | X=0108.290-0178.270 | Y=0643.830-0653.150 | thông >1.000m.
P=1797 | X=0108.290-0331.960 | Y=0659.470-0670.710 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1797 | X=0108.290-0182.230 | Y=0677.230-0688.470 | Đường Cộ - Cây
P=1797 | X=0262.660-0330.150 | Y=0677.230-0688.470 | Khu tái định cư
P=1797 | X=0191.830-0262.030 | Y=0682.750-0693.990 | Đường tỉnh 768
P=1797 | X=0093.380-0104.500 | Y=0684.630-0693.950 | 36
P=1797 | X=0380.780-0405.830 | Y=0684.630-0693.950 | 2.800
P=1797 | X=0442.010-0467.060 | Y=0684.630-0693.950 | 2.000
P=1797 | X=0497.230-0522.280 | Y=0684.630-0693.950 | 1.700
P=1797 | X=0108.290-0128.060 | Y=0690.390-0699.710 | Xoài
P=1797 | X=0262.660-0290.580 | Y=0690.390-0699.710 | 3,8 ha
P=1797 | X=0093.380-0322.520 | Y=0706.290-0717.530 | 37 Các tuyến đường giao thông đấu nối trực tiếp ra
P=1797 | X=0380.780-0405.830 | Y=0708.180-0717.500 | 1.400
P=1797 | X=0450.170-0466.810 | Y=0708.180-0717.500 | 980
P=1797 | X=0505.390-0522.030 | Y=0708.180-0717.500 | 840
P=1798 | X=0108.290-0334.520 | Y=0072.500-0083.740 | Đường Cộ - Cây Xoài đoạn từ Đường tỉnh 768 đến
P=1798 | X=0108.290-0339.170 | Y=0084.020-0095.260 | Khu tái định cư 3,8 ha có hiện trạng là đường nhựa,
P=1798 | X=0108.290-0182.370 | Y=0095.540-0106.780 | bê tông xi măng:
P=1798 | X=0108.290-0339.370 | Y=0113.060-0124.300 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1798 | X=0108.290-0321.540 | Y=0130.610-0141.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1798 | X=0108.290-0169.410 | Y=0142.130-0153.370 | thông ≤500m.
P=1798 | X=0108.290-0322.520 | Y=0159.650-0170.890 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1798 | X=0108.290-0334.520 | Y=0171.170-0182.410 | Đường Cộ - Cây Xoài đoạn từ Đường tỉnh 768 đến
P=1798 | X=0108.290-0339.170 | Y=0182.690-0193.930 | Khu tái định cư 3,8 ha có hiện trạng là đường nhựa,
P=1798 | X=0108.290-0182.370 | Y=0194.210-0205.450 | bê tông xi măng:
P=1798 | X=0093.380-0339.840 | Y=0210.990-0222.990 | 38 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1798 | X=0380.780-0405.830 | Y=0210.990-0220.310 | 1.200
P=1798 | X=0450.170-0466.810 | Y=0210.990-0220.310 | 840
P=1798 | X=0505.390-0522.030 | Y=0210.990-0220.310 | 720
P=1798 | X=0108.290-0321.540 | Y=0229.270-0240.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1798 | X=0108.290-0243.110 | Y=0240.790-0252.030 | thông từ >500m đến ≤1.000m.
P=1798 | X=0108.290-0331.460 | Y=0258.310-0269.550 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1798 | X=0108.290-0322.520 | Y=0276.070-0287.310 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1798 | X=0108.290-0334.520 | Y=0287.620-0298.860 | Đường Cộ - Cây Xoài đoạn từ Đường tỉnh 768 đến
P=1798 | X=0108.290-0339.170 | Y=0299.140-0310.380 | Khu tái định cư 3,8 ha có hiện trạng là đường nhựa,
P=1798 | X=0108.290-0182.370 | Y=0310.660-0321.900 | bê tông xi măng:
P=1798 | X=0093.380-0104.500 | Y=0318.540-0327.860 | 39
P=1798 | X=0380.780-0405.830 | Y=0318.540-0327.860 | 1.000
P=1798 | X=0450.170-0466.810 | Y=0318.540-0327.860 | 700
P=1798 | X=0505.390-0522.030 | Y=0318.540-0327.860 | 600
P=1798 | X=0108.290-0321.540 | Y=0327.940-0339.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1798 | X=0108.290-0178.270 | Y=0341.340-0350.660 | thông >1.000m.
P=1798 | X=0108.290-0331.930 | Y=0356.980-0368.220 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1798 | X=0108.290-0341.000 | Y=0374.760-0386.000 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1798 | X=0108.290-0329.720 | Y=0386.280-0397.520 | và thông ra Đường Cộ - Cây Xoài đoạn từ Đường
P=1798 | X=0108.290-0335.480 | Y=0397.800-0409.040 | tỉnh 768 đến Khu tái định cư 3,8 ha có hiện trạng là
P=1798 | X=0108.290-0244.040 | Y=0409.320-0420.560 | đường nhựa, bê tông xi măng:
P=1798 | X=0093.380-0104.500 | Y=0417.200-0426.520 | 40
P=1798 | X=0380.780-0405.830 | Y=0417.200-0426.520 | 1.300
P=1798 | X=0450.170-0466.810 | Y=0417.200-0426.520 | 910
P=1798 | X=0505.390-0522.030 | Y=0417.200-0426.520 | 780
P=1798 | X=0108.290-0339.370 | Y=0426.840-0438.080 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1798 | X=0108.290-0321.540 | Y=0444.360-0455.600 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1798 | X=0108.290-0169.410 | Y=0455.900-0467.140 | thông ≤500m.
P=1798 | X=0108.290-0341.000 | Y=0473.660-0484.900 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1798 | X=0108.290-0329.720 | Y=0485.180-0496.420 | và thông ra Đường Cộ - Cây Xoài đoạn từ Đường
P=1798 | X=0108.290-0335.480 | Y=0496.460-0507.700 | tỉnh 768 đến Khu tái định cư 3,8 ha có hiện trạng là
P=1798 | X=0108.290-0244.040 | Y=0507.980-0519.220 | đường nhựa, bê tông xi măng:
P=1798 | X=0093.380-0339.840 | Y=0524.740-0536.740 | 41 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1798 | X=0380.780-0405.830 | Y=0524.740-0534.060 | 1.100
P=1798 | X=0450.170-0466.810 | Y=0524.740-0534.060 | 770
P=1798 | X=0505.390-0522.030 | Y=0524.740-0534.060 | 660
P=1798 | X=0108.290-0321.540 | Y=0543.050-0554.290 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1798 | X=0108.290-0243.110 | Y=0554.570-0565.810 | thông từ >500m đến ≤1.000m.
P=1798 | X=0108.290-0331.460 | Y=0572.090-0583.330 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1798 | X=0108.290-0341.000 | Y=0589.850-0601.090 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1798 | X=0108.290-0329.720 | Y=0601.370-0612.610 | và thông ra Đường Cộ - Cây Xoài đoạn từ Đường
P=1798 | X=0108.290-0335.480 | Y=0612.890-0624.130 | tỉnh 768 đến Khu tái định cư 3,8 ha có hiện trạng là
P=1798 | X=0108.290-0244.040 | Y=0624.430-0635.670 | đường nhựa, bê tông xi măng:
P=1798 | X=0093.380-0104.500 | Y=0632.310-0641.630 | 42
P=1798 | X=0388.940-0405.580 | Y=0632.310-0641.630 | 900
P=1798 | X=0450.170-0466.810 | Y=0632.310-0641.630 | 630
P=1798 | X=0505.390-0522.030 | Y=0632.310-0641.630 | 540
P=1798 | X=0108.290-0321.540 | Y=0641.950-0653.190 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1798 | X=0108.290-0178.270 | Y=0655.350-0664.670 | thông >1.000m.
P=1798 | X=0108.290-0331.930 | Y=0670.750-0681.990 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1798 | X=0108.290-0259.330 | Y=0688.510-0699.750 | Đường Cộ - Cây Khu tái định cư
P=1798 | X=0093.380-0104.500 | Y=0696.150-0705.470 | 43
P=1798 | X=0262.660-0302.600 | Y=0696.150-0705.470 | Cầu số 1
P=1798 | X=0380.780-0405.830 | Y=0696.150-0705.470 | 2.400
P=1798 | X=0442.010-0467.060 | Y=0696.150-0705.470 | 1.700
P=1798 | X=0497.230-0522.280 | Y=0696.150-0705.470 | 1.400
P=1798 | X=0108.290-0128.060 | Y=0701.940-0711.260 | Xoài
P=1798 | X=0191.830-0219.750 | Y=0701.940-0711.260 | 3,8 ha
P=1799 | X=0108.290-0322.520 | Y=0078.500-0089.740 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1799 | X=0108.290-0343.140 | Y=0090.020-0101.260 | Đường Cộ - Cây Xoài đoạn từ Khu tái định cư 3,8 ha
P=1799 | X=0108.290-0336.920 | Y=0101.540-0112.780 | đến Cầu số 1 có hiện trạng là đường nhựa, bê tông
P=1799 | X=0108.290-0146.120 | Y=0113.060-0124.300 | xi măng:
P=1799 | X=0093.380-0104.500 | Y=0120.970-0130.290 | 44
P=1799 | X=0380.780-0405.830 | Y=0120.970-0130.290 | 1.200
P=1799 | X=0450.170-0466.810 | Y=0120.970-0130.290 | 840
P=1799 | X=0505.390-0522.030 | Y=0120.970-0130.290 | 720
P=1799 | X=0108.290-0339.370 | Y=0130.610-0141.850 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1799 | X=0108.290-0321.540 | Y=0148.130-0159.370 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1799 | X=0108.290-0169.410 | Y=0159.410-0170.650 | thông ≤500m.
P=1799 | X=0108.290-0322.520 | Y=0177.170-0188.410 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1799 | X=0108.290-0343.160 | Y=0188.690-0199.930 | Đường Cộ - Cây Xoài đoạn từ Khu tái định cư 3,8 ha
P=1799 | X=0108.290-0336.920 | Y=0200.230-0211.470 | đến Cầu số 1 có hiện trạng là đường nhựa, bê tông
P=1799 | X=0108.290-0146.120 | Y=0211.750-0222.990 | xi măng:
P=1799 | X=0093.380-0339.870 | Y=0228.510-0240.510 | 45 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1799 | X=0388.940-0405.580 | Y=0228.510-0237.830 | 980
P=1799 | X=0450.170-0466.810 | Y=0228.510-0237.830 | 690
P=1799 | X=0505.390-0522.030 | Y=0228.510-0237.830 | 590
P=1799 | X=0108.290-0321.540 | Y=0246.790-0258.030 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1799 | X=0108.290-0243.140 | Y=0258.310-0269.550 | thông từ >500m đến ≤1.000m.
P=1799 | X=0108.290-0331.460 | Y=0275.830-0287.070 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1799 | X=0108.290-0322.520 | Y=0293.620-0304.860 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1799 | X=0108.290-0343.140 | Y=0305.140-0316.380 | Đường Cộ - Cây Xoài đoạn từ Khu tái định cư 3,8 ha
P=1799 | X=0108.290-0336.920 | Y=0316.660-0327.900 | đến Cầu số 1 có hiện trạng là đường nhựa, bê tông
P=1799 | X=0108.290-0146.120 | Y=0327.940-0339.180 | xi măng:
P=1799 | X=0093.380-0104.500 | Y=0335.820-0345.140 | 46
P=1799 | X=0388.940-0405.580 | Y=0335.820-0345.140 | 700
P=1799 | X=0450.170-0466.810 | Y=0335.820-0345.140 | 490
P=1799 | X=0505.390-0522.030 | Y=0335.820-0345.140 | 420
P=1799 | X=0108.290-0321.540 | Y=0345.460-0356.700 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1799 | X=0108.290-0178.270 | Y=0358.860-0368.180 | thông >1.000m.
P=1799 | X=0108.290-0331.930 | Y=0374.520-0385.760 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1799 | X=0108.290-0341.000 | Y=0392.280-0403.520 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1799 | X=0108.290-0328.980 | Y=0403.800-0415.040 | và thông ra Đường Cộ - Cây Xoài đoạn từ Khu tái
P=1799 | X=0108.290-0338.600 | Y=0415.320-0426.560 | định cư 3,8 ha đến Cầu số 1 có hiện trạng là đường
P=1799 | X=0108.290-0211.400 | Y=0426.840-0438.080 | nhựa, bê tông xi măng:
P=1799 | X=0093.380-0104.500 | Y=0434.720-0444.040 | 47
P=1799 | X=0380.780-0405.830 | Y=0434.720-0444.040 | 1.100
P=1799 | X=0450.170-0466.810 | Y=0434.720-0444.040 | 770
P=1799 | X=0505.390-0522.030 | Y=0434.720-0444.040 | 660
P=1799 | X=0108.290-0339.370 | Y=0444.360-0455.600 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1799 | X=0108.290-0321.540 | Y=0461.900-0473.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1799 | X=0108.290-0169.410 | Y=0473.420-0484.660 | thông ≤500m.
P=1799 | X=0108.290-0341.000 | Y=0491.180-0502.420 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1799 | X=0108.290-0328.990 | Y=0502.460-0513.700 | và thông ra Đường Cộ - Cây Xoài đoạn từ Khu tái
P=1799 | X=0108.290-0338.600 | Y=0513.980-0525.220 | định cư 3,8 ha đến Cầu số 1 có hiện trạng là đường
P=1799 | X=0108.290-0211.400 | Y=0525.500-0536.740 | nhựa, bê tông xi măng:
P=1799 | X=0093.380-0339.840 | Y=0542.290-0554.290 | 48 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1799 | X=0388.940-0405.580 | Y=0542.290-0551.610 | 880
P=1799 | X=0450.170-0466.810 | Y=0542.290-0551.610 | 620
P=1799 | X=0505.390-0522.030 | Y=0542.290-0551.610 | 530
P=1799 | X=0108.290-0321.540 | Y=0560.570-0571.810 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1799 | X=0108.290-0243.140 | Y=0572.090-0583.330 | thông từ >500m đến ≤1.000m.
P=1799 | X=0108.290-0331.460 | Y=0589.610-0600.850 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1799 | X=0108.290-0341.000 | Y=0607.370-0618.610 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1799 | X=0108.290-0328.980 | Y=0618.910-0630.150 | và thông ra Đường Cộ - Cây Xoài đoạn từ Khu tái
P=1799 | X=0108.290-0338.600 | Y=0630.430-0641.670 | định cư 3,8 ha đến Cầu số 1 có hiện trạng là đường
P=1799 | X=0108.290-0211.400 | Y=0641.950-0653.190 | nhựa, bê tông xi măng:
P=1799 | X=0093.380-0104.500 | Y=0649.830-0659.150 | 49
P=1799 | X=0388.940-0405.580 | Y=0649.830-0659.150 | 630
P=1799 | X=0450.170-0466.810 | Y=0649.830-0659.150 | 440
P=1799 | X=0505.390-0522.030 | Y=0649.830-0659.150 | 380
P=1799 | X=0108.290-0321.540 | Y=0659.470-0670.710 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1799 | X=0108.290-0178.270 | Y=0672.630-0681.950 | thông >1.000m.
P=1799 | X=0108.290-0331.930 | Y=0688.270-0699.510 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1799 | X=0093.380-0231.780 | Y=0706.050-0717.290 | 50 Đường Cộ - Cây Cầu số 1
P=1799 | X=0262.660-0332.850 | Y=0706.050-0717.290 | Đường tỉnh 767
P=1799 | X=0380.780-0405.830 | Y=0707.940-0717.260 | 2.800
P=1799 | X=0442.010-0467.060 | Y=0707.940-0717.260 | 2.000
P=1799 | X=0497.230-0522.280 | Y=0707.940-0717.260 | 1.700
P=1800 | X=0108.290-0128.060 | Y=0074.380-0083.700 | Xoài
P=1800 | X=0108.290-0322.520 | Y=0090.260-0101.500 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1800 | X=0108.290-0339.090 | Y=0101.780-0113.020 | Đường Cộ - Cây Xoài đoạn từ Cầu số 1 đến Đường
P=1800 | X=0108.290-0322.980 | Y=0113.300-0124.540 | tỉnh 767 có hiện trạng là đường nhựa, bê tông xi
P=1800 | X=0108.290-0136.290 | Y=0124.850-0136.090 | măng:
P=1800 | X=0093.380-0104.500 | Y=0132.730-0142.050 | 51
P=1800 | X=0380.780-0405.830 | Y=0132.730-0142.050 | 1.400
P=1800 | X=0450.170-0466.810 | Y=0132.730-0142.050 | 980
P=1800 | X=0505.390-0522.030 | Y=0132.730-0142.050 | 840
P=1800 | X=0108.290-0339.370 | Y=0142.370-0153.610 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1800 | X=0108.290-0321.540 | Y=0159.650-0170.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1800 | X=0108.290-0169.410 | Y=0171.170-0182.410 | thông ≤500m.
P=1800 | X=0108.290-0322.520 | Y=0188.930-0200.170 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1800 | X=0108.290-0339.090 | Y=0200.470-0211.710 | Đường Cộ - Cây Xoài đoạn từ Cầu số 1 đến Đường
P=1800 | X=0108.290-0323.010 | Y=0211.990-0223.230 | tỉnh 767 có hiện trạng là đường nhựa, bê tông xi
P=1800 | X=0108.290-0136.290 | Y=0223.510-0234.750 | măng:
P=1800 | X=0093.380-0339.880 | Y=0240.270-0252.270 | 52 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1800 | X=0380.780-0405.830 | Y=0240.270-0249.590 | 1.200
P=1800 | X=0450.170-0466.810 | Y=0240.270-0249.590 | 840
P=1800 | X=0505.390-0522.030 | Y=0240.270-0249.590 | 720
P=1800 | X=0108.290-0321.560 | Y=0258.550-0269.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1800 | X=0108.290-0243.110 | Y=0270.070-0281.310 | thông từ >500m đến ≤1.000m.
P=1800 | X=0108.290-0331.460 | Y=0287.620-0298.860 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1800 | X=0108.290-0322.520 | Y=0305.380-0316.620 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1800 | X=0108.290-0339.090 | Y=0316.900-0328.140 | Đường Cộ - Cây Xoài đoạn từ Cầu số 1 đến Đường
P=1800 | X=0108.290-0322.980 | Y=0328.420-0339.660 | tỉnh 767 có hiện trạng là đường nhựa, bê tông xi
P=1800 | X=0108.290-0136.290 | Y=0339.700-0350.940 | măng:
P=1800 | X=0093.380-0104.500 | Y=0347.580-0356.900 | 53
P=1800 | X=0380.780-0405.830 | Y=0347.580-0356.900 | 1.000
P=1800 | X=0450.170-0466.810 | Y=0347.580-0356.900 | 700
P=1800 | X=0505.390-0522.030 | Y=0347.580-0356.900 | 600
P=1800 | X=0108.290-0321.540 | Y=0357.220-0368.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
