TABLE=006 | AREA=Phường Hố Nai | SECTION=non-agricultural | SEGMENTS=1
P=0216 | X=0106.850-0408.520 | Y=0469.100-0480.340 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lê Ngô Cát
P=0216 | X=0106.850-0407.500 | Y=0480.620-0491.860 | đoạn từ Đường vào Trường THPT Nguyễn Công Trứ đến Hết Dòng
P=0216 | X=0106.850-0414.990 | Y=0492.140-0503.380 | nữ trợ thế Thánh Tâm có hiện trạng là đường nhựa, bê tông xi măng:
P=0216 | X=0092.900-0104.020 | Y=0500.020-0509.340 | 72
P=0216 | X=0424.970-0450.020 | Y=0500.020-0509.340 | 7.100
P=0216 | X=0461.210-0486.260 | Y=0500.020-0509.340 | 5.000
P=0216 | X=0497.230-0522.280 | Y=0500.020-0509.340 | 4.300
P=0216 | X=0106.850-0329.760 | Y=0509.660-0520.900 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0216 | X=0106.850-0384.020 | Y=0527.180-0538.420 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0216 | X=0106.850-0408.520 | Y=0544.970-0556.210 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lê Ngô Cát
P=0216 | X=0106.850-0407.500 | Y=0556.250-0567.490 | đoạn từ Đường vào Trường THPT Nguyễn Công Trứ đến Hết Dòng
P=0216 | X=0106.850-0414.990 | Y=0567.770-0579.010 | nữ trợ thế Thánh Tâm có hiện trạng là đường nhựa, bê tông xi măng:
P=0216 | X=0092.900-0330.020 | Y=0585.290-0599.610 | 73 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0216 | X=0424.970-0450.020 | Y=0590.290-0599.610 | 3.900
P=0216 | X=0461.210-0486.260 | Y=0590.290-0599.610 | 2.700
P=0216 | X=0497.230-0522.280 | Y=0590.290-0599.610 | 2.300
P=0216 | X=0106.850-0413.270 | Y=0602.810-0614.050 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0216 | X=0106.850-0140.370 | Y=0614.330-0625.570 | ≤600m.
P=0216 | X=0106.850-0330.020 | Y=0631.870-0643.110 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0216 | X=0106.850-0408.520 | Y=0649.630-0660.870 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lê Ngô Cát
P=0216 | X=0106.850-0407.500 | Y=0661.150-0672.390 | đoạn từ Đường vào Trường THPT Nguyễn Công Trứ đến Hết Dòng
P=0216 | X=0106.850-0414.990 | Y=0672.670-0683.910 | nữ trợ thế Thánh Tâm có hiện trạng là đường nhựa, bê tông xi măng:
P=0216 | X=0092.900-0104.020 | Y=0680.550-0689.870 | 74
P=0216 | X=0424.970-0450.020 | Y=0680.550-0689.870 | 2.700
P=0216 | X=0461.210-0486.260 | Y=0680.550-0689.870 | 1.900
P=0216 | X=0497.230-0522.280 | Y=0680.550-0689.870 | 1.600
P=0216 | X=0106.850-0384.260 | Y=0690.190-0701.430 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0216 | X=0106.850-0330.500 | Y=0707.730-0718.970 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0217 | X=0106.850-0392.110 | Y=0078.500-0089.740 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0217 | X=0106.850-0411.830 | Y=0090.020-0101.260 | Đường Lê Ngô Cát đoạn từ Đường vào Trường THPT Nguyễn Công
P=0217 | X=0106.850-0392.620 | Y=0101.540-0112.780 | Trứ đến Hết Dòng nữ trợ thế Thánh Tâm có hiện trạng là đường
P=0217 | X=0092.900-0209.960 | Y=0113.060-0124.500 | 75 nhựa, bê tông xi măng:
P=0217 | X=0424.970-0450.020 | Y=0115.180-0124.500 | 6.400
P=0217 | X=0461.210-0486.260 | Y=0115.180-0124.500 | 4.500
P=0217 | X=0497.230-0522.280 | Y=0115.180-0124.500 | 3.800
P=0217 | X=0106.850-0329.760 | Y=0130.610-0141.850 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0217 | X=0106.850-0384.020 | Y=0148.130-0159.370 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0217 | X=0106.850-0392.110 | Y=0165.650-0176.890 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0217 | X=0106.850-0411.830 | Y=0177.170-0188.410 | Đường Lê Ngô Cát đoạn từ Đường vào Trường THPT Nguyễn Công
P=0217 | X=0106.850-0392.620 | Y=0188.690-0199.930 | Trứ đến Hết Dòng nữ trợ thế Thánh Tâm có hiện trạng là đường
P=0217 | X=0106.850-0209.960 | Y=0200.230-0211.470 | nhựa, bê tông xi măng:
P=0217 | X=0092.900-0330.020 | Y=0216.990-0228.990 | 76 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0217 | X=0424.970-0450.020 | Y=0216.990-0226.310 | 3.500
P=0217 | X=0461.210-0486.260 | Y=0216.990-0226.310 | 2.500
P=0217 | X=0497.230-0522.280 | Y=0216.990-0226.310 | 2.100
P=0217 | X=0106.850-0413.270 | Y=0235.270-0246.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0217 | X=0106.850-0140.370 | Y=0246.790-0258.030 | ≤600m.
P=0217 | X=0106.850-0330.020 | Y=0264.310-0275.550 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0217 | X=0106.850-0392.110 | Y=0282.100-0293.340 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0217 | X=0106.850-0411.830 | Y=0293.620-0304.860 | Đường Lê Ngô Cát đoạn từ Đường vào Trường THPT Nguyễn Công
P=0217 | X=0106.850-0392.620 | Y=0305.140-0316.380 | Trứ đến Hết Dòng nữ trợ thế Thánh Tâm có hiện trạng là đường
P=0217 | X=0092.900-0209.960 | Y=0316.660-0328.100 | 77 nhựa, bê tông xi măng:
P=0217 | X=0424.970-0450.020 | Y=0318.780-0328.100 | 2.400
P=0217 | X=0461.210-0486.260 | Y=0318.780-0328.100 | 1.700
P=0217 | X=0497.230-0522.280 | Y=0318.780-0328.100 | 1.400
P=0217 | X=0106.850-0384.300 | Y=0333.940-0345.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0217 | X=0106.850-0333.140 | Y=0351.460-0362.700 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0217 | X=0322.200-0404.540 | Y=0369.240-0380.480 | Đường Đông Hải -
P=0217 | X=0235.540-0308.410 | Y=0371.120-0380.440 | Hết Dòng nữ trợ
P=0217 | X=0092.900-0191.970 | Y=0375.000-0386.240 | 78 Đường Lê Ngô Cát
P=0217 | X=0424.970-0450.020 | Y=0376.880-0386.200 | 9.500
P=0217 | X=0461.210-0486.260 | Y=0376.880-0386.200 | 6.700
P=0217 | X=0497.230-0522.280 | Y=0376.880-0386.200 | 5.700
P=0217 | X=0322.200-0355.080 | Y=0380.760-0392.000 | Lộ Đức
P=0217 | X=0235.540-0303.450 | Y=0382.640-0391.960 | thế Thánh Tâm
P=0217 | X=0106.850-0408.520 | Y=0398.520-0409.760 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lê Ngô Cát
P=0217 | X=0106.850-0406.060 | Y=0410.040-0421.280 | đoạn từ Hết Dòng nữ trợ thế Thánh Tâm đến Đường Đông Hải - Lộ
P=0217 | X=0106.850-0335.530 | Y=0421.560-0432.800 | Đức có hiện trạng là đường nhựa, bê tông xi măng:
P=0217 | X=0092.900-0104.020 | Y=0429.440-0438.760 | 79
P=0217 | X=0424.970-0450.020 | Y=0429.440-0438.760 | 4.700
P=0217 | X=0461.210-0486.260 | Y=0429.440-0438.760 | 3.300
P=0217 | X=0497.230-0522.280 | Y=0429.440-0438.760 | 2.800
P=0217 | X=0106.850-0329.760 | Y=0439.080-0450.320 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0217 | X=0106.850-0384.020 | Y=0456.620-0467.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0217 | X=0106.850-0408.520 | Y=0474.380-0485.620 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lê Ngô Cát
P=0217 | X=0106.850-0406.060 | Y=0485.900-0497.140 | đoạn từ Hết Dòng nữ trợ thế Thánh Tâm đến Đường Đông Hải - Lộ
P=0217 | X=0106.850-0335.530 | Y=0497.420-0508.660 | Đức có hiện trạng là đường nhựa, bê tông xi măng:
P=0217 | X=0092.900-0330.020 | Y=0514.940-0529.020 | 80 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0217 | X=0424.970-0450.020 | Y=0519.700-0529.020 | 3.200
P=0217 | X=0461.210-0486.260 | Y=0519.700-0529.020 | 2.200
P=0217 | X=0497.230-0522.280 | Y=0519.700-0529.020 | 1.900
P=0217 | X=0106.850-0413.270 | Y=0532.220-0543.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0217 | X=0106.850-0140.370 | Y=0543.770-0555.010 | ≤600m.
P=0217 | X=0106.850-0330.020 | Y=0561.290-0572.530 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0217 | X=0106.850-0408.520 | Y=0579.050-0590.290 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lê Ngô Cát
P=0217 | X=0106.850-0406.060 | Y=0590.570-0601.810 | đoạn từ Hết Dòng nữ trợ thế Thánh Tâm đến Đường Đông Hải - Lộ
P=0217 | X=0106.850-0335.530 | Y=0602.090-0613.330 | Đức có hiện trạng là đường nhựa, bê tông xi măng:
P=0217 | X=0092.900-0104.020 | Y=0609.970-0619.290 | 81
P=0217 | X=0424.970-0450.020 | Y=0609.970-0619.290 | 1.900
P=0217 | X=0461.210-0486.260 | Y=0609.970-0619.290 | 1.300
P=0217 | X=0497.230-0522.280 | Y=0609.970-0619.290 | 1.100
P=0217 | X=0106.850-0384.260 | Y=0619.630-0630.870 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0217 | X=0106.850-0330.490 | Y=0637.150-0648.390 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0217 | X=0106.850-0392.110 | Y=0654.910-0666.150 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0217 | X=0106.850-0394.790 | Y=0666.430-0677.670 | Đường Lê Ngô Cát đoạn từ Hết Dòng nữ trợ thế Thánh Tâm đến
P=0217 | X=0092.900-0403.640 | Y=0677.950-0692.030 | 82 Đường Đông Hải - Lộ Đức có hiện trạng là đường nhựa, bê tông xi
P=0217 | X=0424.970-0450.020 | Y=0682.710-0692.030 | 4.200
P=0217 | X=0461.210-0486.260 | Y=0682.710-0692.030 | 2.900
P=0217 | X=0497.230-0522.280 | Y=0682.710-0692.030 | 2.500
P=0217 | X=0106.850-0134.850 | Y=0689.470-0700.710 | măng:
P=0217 | X=0106.850-0329.760 | Y=0706.770-0718.010 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0218 | X=0106.850-0384.020 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0218 | X=0106.850-0392.110 | Y=0096.260-0107.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0218 | X=0106.850-0394.790 | Y=0107.780-0119.020 | Đường Lê Ngô Cát đoạn từ Hết Dòng nữ trợ thế Thánh Tâm đến
P=0218 | X=0106.850-0403.640 | Y=0119.330-0130.570 | Đường Đông Hải - Lộ Đức có hiện trạng là đường nhựa, bê tông xi
P=0218 | X=0106.850-0134.850 | Y=0130.850-0142.090 | măng:
P=0218 | X=0092.900-0330.020 | Y=0147.370-0159.610 | 83 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0218 | X=0424.970-0450.020 | Y=0147.370-0156.690 | 2.900
P=0218 | X=0461.210-0486.260 | Y=0147.370-0156.690 | 2.000
P=0218 | X=0497.230-0522.280 | Y=0147.370-0156.690 | 1.700
P=0218 | X=0106.850-0413.270 | Y=0165.650-0176.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0218 | X=0106.850-0140.370 | Y=0177.170-0188.410 | ≤600m.
P=0218 | X=0106.850-0330.020 | Y=0194.690-0205.930 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0218 | X=0106.850-0392.110 | Y=0212.470-0223.710 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0218 | X=0106.850-0394.790 | Y=0223.990-0235.230 | Đường Lê Ngô Cát đoạn từ Hết Dòng nữ trợ thế Thánh Tâm đến
P=0218 | X=0106.850-0403.640 | Y=0235.510-0246.750 | Đường Đông Hải - Lộ Đức có hiện trạng là đường nhựa, bê tông xi
P=0218 | X=0092.900-0134.850 | Y=0247.030-0258.470 | 84 măng:
P=0218 | X=0424.970-0450.020 | Y=0249.150-0258.470 | 1.700
P=0218 | X=0461.210-0486.260 | Y=0249.150-0258.470 | 1.200
P=0218 | X=0497.230-0522.280 | Y=0249.150-0258.470 | 1.000
P=0218 | X=0106.850-0384.260 | Y=0264.550-0275.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0218 | X=0106.850-0333.140 | Y=0282.100-0293.340 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0218 | X=0092.900-0174.620 | Y=0299.860-0311.100 | 85 Đường Ngô Xá
P=0218 | X=0322.200-0369.900 | Y=0299.860-0311.100 | Đường sắt
P=0218 | X=0235.540-0278.580 | Y=0301.740-0311.060 | Quốc lộ 1
P=0218 | X=0424.970-0450.020 | Y=0301.740-0311.060 | 8.700
P=0218 | X=0461.210-0486.260 | Y=0301.740-0311.060 | 6.100
P=0218 | X=0497.230-0522.280 | Y=0301.740-0311.060 | 5.200
P=0218 | X=0106.850-0391.170 | Y=0317.620-0328.860 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Ngô Xá
P=0218 | X=0106.850-0403.660 | Y=0329.140-0340.380 | đoạn từ Quốc lộ 1 đến Đường sắt có hiện trạng là đường nhựa, bê
P=0218 | X=0106.850-0167.010 | Y=0340.660-0351.900 | tông xi măng:
P=0218 | X=0092.900-0104.020 | Y=0348.540-0357.860 | 86
P=0218 | X=0424.970-0450.020 | Y=0348.540-0357.860 | 4.400
P=0218 | X=0461.210-0486.260 | Y=0348.540-0357.860 | 3.100
P=0218 | X=0497.230-0522.280 | Y=0348.540-0357.860 | 2.600
P=0218 | X=0106.850-0337.930 | Y=0357.940-0369.180 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0218 | X=0106.850-0384.020 | Y=0375.480-0386.720 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0218 | X=0106.850-0391.170 | Y=0393.240-0404.480 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Ngô Xá
P=0218 | X=0106.850-0403.660 | Y=0404.760-0416.000 | đoạn từ Quốc lộ 1 đến Đường sắt có hiện trạng là đường nhựa, bê
P=0218 | X=0106.850-0167.010 | Y=0416.280-0427.520 | tông xi măng:
P=0218 | X=0092.900-0338.400 | Y=0433.800-0448.120 | 87 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0218 | X=0424.970-0450.020 | Y=0438.800-0448.120 | 3.300
P=0218 | X=0461.210-0486.260 | Y=0438.800-0448.120 | 2.300
P=0218 | X=0497.230-0522.280 | Y=0438.800-0448.120 | 2.000
P=0218 | X=0106.850-0413.270 | Y=0451.340-0462.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0218 | X=0106.850-0148.530 | Y=0462.860-0474.100 | ≤1.000m.
P=0218 | X=0106.850-0330.020 | Y=0480.380-0491.620 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0218 | X=0106.850-0391.170 | Y=0498.140-0509.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Ngô Xá
P=0218 | X=0106.850-0403.660 | Y=0509.660-0520.900 | đoạn từ Quốc lộ 1 đến Đường sắt có hiện trạng là đường nhựa, bê
P=0218 | X=0106.850-0167.010 | Y=0521.180-0532.420 | tông xi măng:
P=0218 | X=0092.900-0104.020 | Y=0529.060-0538.380 | 88
P=0218 | X=0424.970-0450.020 | Y=0529.060-0538.380 | 2.200
P=0218 | X=0461.210-0486.260 | Y=0529.060-0538.380 | 1.500
P=0218 | X=0497.230-0522.270 | Y=0529.060-0538.380 | 1.300
P=0218 | X=0106.850-0392.640 | Y=0538.490-0549.730 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0218 | X=0106.850-0330.490 | Y=0556.010-0567.250 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0218 | X=0106.850-0392.110 | Y=0573.770-0585.010 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0218 | X=0106.850-0398.850 | Y=0585.290-0596.530 | Đường Ngô Xá đoạn từ Quốc lộ 1 đến Đường sắt có hiện trạng là
P=0218 | X=0106.850-0242.600 | Y=0596.810-0608.050 | đường nhựa, bê tông xi măng:
P=0218 | X=0092.900-0104.020 | Y=0604.690-0614.010 | 89
P=0218 | X=0424.970-0450.020 | Y=0604.690-0614.010 | 4.000
P=0218 | X=0461.210-0486.260 | Y=0604.690-0614.010 | 2.800
P=0218 | X=0497.230-0522.280 | Y=0604.690-0614.010 | 2.400
P=0218 | X=0106.850-0337.930 | Y=0614.330-0625.570 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0218 | X=0106.850-0384.050 | Y=0631.870-0643.110 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0218 | X=0106.850-0392.110 | Y=0649.630-0660.870 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0218 | X=0106.850-0398.850 | Y=0661.150-0672.390 | Đường Ngô Xá đoạn từ Quốc lộ 1 đến Đường sắt có hiện trạng là
P=0218 | X=0106.850-0242.600 | Y=0672.670-0683.910 | đường nhựa, bê tông xi măng:
P=0218 | X=0092.900-0104.020 | Y=0680.550-0689.870 | 90
P=0218 | X=0424.970-0450.020 | Y=0680.550-0689.870 | 3.000
P=0218 | X=0461.210-0486.260 | Y=0680.550-0689.870 | 2.100
P=0218 | X=0497.230-0522.280 | Y=0680.550-0689.870 | 1.800
P=0218 | X=0106.850-0338.400 | Y=0690.190-0701.430 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0218 | X=0106.850-0413.270 | Y=0707.730-0718.970 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0219 | X=0106.850-0148.530 | Y=0072.500-0083.740 | ≤1.000m.
P=0219 | X=0106.850-0330.020 | Y=0090.020-0101.260 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0219 | X=0106.850-0392.110 | Y=0107.780-0119.020 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0219 | X=0106.850-0398.850 | Y=0119.330-0130.570 | Đường Ngô Xá đoạn từ Quốc lộ 1 đến Đường sắt có hiện trạng là
P=0219 | X=0106.850-0242.600 | Y=0130.850-0142.090 | đường nhựa, bê tông xi măng:
P=0219 | X=0092.900-0104.020 | Y=0138.730-0148.050 | 91
P=0219 | X=0424.970-0450.020 | Y=0138.730-0148.050 | 2.000
P=0219 | X=0461.210-0486.260 | Y=0138.730-0148.050 | 1.400
P=0219 | X=0497.230-0522.280 | Y=0138.730-0148.050 | 1.200
P=0219 | X=0106.850-0392.640 | Y=0148.370-0159.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0219 | X=0106.850-0330.490 | Y=0165.650-0176.890 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0219 | X=0106.850-0219.450 | Y=0183.410-0194.650 | Đường bên hông giáo xứ
P=0219 | X=0322.200-0410.680 | Y=0183.410-0194.650 | Thửa đất số 722, tờ
P=0219 | X=0092.900-0104.020 | Y=0191.050-0200.370 | 92
P=0219 | X=0235.540-0278.580 | Y=0191.050-0200.370 | Quốc lộ 1
P=0219 | X=0424.970-0450.020 | Y=0191.050-0200.370 | 8.600
P=0219 | X=0461.210-0486.260 | Y=0191.050-0200.370 | 6.000
P=0219 | X=0497.230-0522.280 | Y=0191.050-0200.370 | 5.200
P=0219 | X=0322.200-0383.260 | Y=0194.930-0206.170 | BĐĐC số 108
P=0219 | X=0106.850-0145.900 | Y=0196.810-0206.130 | Sài Quất
P=0219 | X=0106.850-0399.580 | Y=0212.710-0223.950 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường bên hông
P=0219 | X=0106.850-0406.780 | Y=0224.230-0235.470 | giáo xứ Sài Quất đoạn từ Quốc lộ 1 đến Thửa đất số 722, tờ BĐĐC
P=0219 | X=0106.850-0346.570 | Y=0235.750-0246.990 | số 108 có hiện trạng là đường nhựa, bê tông xi măng:
P=0219 | X=0092.900-0104.020 | Y=0243.630-0252.950 | 93
P=0219 | X=0424.970-0450.020 | Y=0243.630-0252.950 | 4.300
P=0219 | X=0461.210-0486.260 | Y=0243.630-0252.950 | 3.000
P=0219 | X=0497.230-0522.280 | Y=0243.630-0252.950 | 2.600
P=0219 | X=0106.850-0337.930 | Y=0253.270-0264.510 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0219 | X=0106.850-0384.040 | Y=0270.790-0282.030 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0219 | X=0106.850-0399.580 | Y=0288.580-0299.820 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường bên hông
P=0219 | X=0106.850-0406.780 | Y=0300.100-0311.340 | giáo xứ Sài Quất đoạn từ Quốc lộ 1 đến Thửa đất số 722, tờ BĐĐC
P=0219 | X=0106.850-0346.570 | Y=0311.620-0322.860 | số 108 có hiện trạng là đường nhựa, bê tông xi măng:
P=0219 | X=0092.900-0338.410 | Y=0329.140-0343.220 | 94 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0219 | X=0424.970-0450.020 | Y=0333.900-0343.220 | 3.300
P=0219 | X=0461.210-0486.260 | Y=0333.900-0343.220 | 2.300
P=0219 | X=0497.230-0522.280 | Y=0333.900-0343.220 | 2.000
P=0219 | X=0106.850-0413.270 | Y=0346.660-0357.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0219 | X=0106.850-0148.530 | Y=0357.940-0369.180 | ≤1.000m.
P=0219 | X=0106.850-0330.020 | Y=0375.480-0386.720 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0219 | X=0106.850-0399.580 | Y=0393.240-0404.480 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường bên hông
P=0219 | X=0106.850-0406.780 | Y=0404.760-0416.000 | giáo xứ Sài Quất đoạn từ Quốc lộ 1 đến Thửa đất số 722, tờ BĐĐC
P=0219 | X=0106.850-0346.570 | Y=0416.280-0427.520 | số 108 có hiện trạng là đường nhựa, bê tông xi măng:
P=0219 | X=0092.900-0104.020 | Y=0424.160-0433.480 | 95
P=0219 | X=0424.970-0450.020 | Y=0424.160-0433.480 | 2.200
P=0219 | X=0461.210-0486.260 | Y=0424.160-0433.480 | 1.500
P=0219 | X=0497.230-0522.280 | Y=0424.160-0433.480 | 1.300
P=0219 | X=0106.850-0392.640 | Y=0433.800-0445.040 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0219 | X=0106.850-0330.490 | Y=0451.340-0462.580 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0219 | X=0106.850-0392.110 | Y=0469.100-0480.340 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0219 | X=0106.850-0406.630 | Y=0480.620-0491.860 | Đường bên hông giáo xứ Sài Quất đoạn từ Quốc lộ 1 đến Thửa đất
P=0219 | X=0106.850-0394.760 | Y=0492.140-0503.380 | số 722, tờ BĐĐC số 108 có hiện trạng là đường nhựa, bê tông xi
P=0219 | X=0092.900-0134.850 | Y=0503.660-0515.100 | 96 măng:
P=0219 | X=0424.970-0450.020 | Y=0505.780-0515.100 | 3.900
P=0219 | X=0461.210-0486.260 | Y=0505.780-0515.100 | 2.700
P=0219 | X=0497.230-0522.280 | Y=0505.780-0515.100 | 2.300
P=0219 | X=0106.850-0337.930 | Y=0521.180-0532.420 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0219 | X=0106.850-0384.020 | Y=0538.490-0549.730 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0219 | X=0106.850-0392.110 | Y=0556.250-0567.490 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0219 | X=0106.850-0406.630 | Y=0567.770-0579.010 | Đường bên hông giáo xứ Sài Quất đoạn từ Quốc lộ 1 đến Thửa đất
P=0219 | X=0106.850-0394.760 | Y=0579.290-0590.530 | số 722, tờ BĐĐC số 108 có hiện trạng là đường nhựa, bê tông xi
P=0219 | X=0106.850-0134.850 | Y=0590.810-0602.050 | măng:
P=0219 | X=0092.900-0338.420 | Y=0607.570-0619.570 | 97 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0219 | X=0424.970-0450.020 | Y=0607.570-0616.890 | 3.000
P=0219 | X=0461.210-0486.260 | Y=0607.570-0616.890 | 2.100
P=0219 | X=0497.230-0522.280 | Y=0607.570-0616.890 | 1.800
P=0219 | X=0106.850-0413.270 | Y=0625.870-0637.110 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0219 | X=0106.850-0148.530 | Y=0637.390-0648.630 | ≤1.000m.
P=0219 | X=0106.850-0330.020 | Y=0654.910-0666.150 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0219 | X=0106.850-0392.110 | Y=0672.670-0683.910 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0219 | X=0106.850-0406.630 | Y=0684.190-0695.430 | Đường bên hông giáo xứ Sài Quất đoạn từ Quốc lộ 1 đến Thửa đất
P=0219 | X=0092.900-0104.020 | Y=0691.830-0701.150 | 98
P=0219 | X=0424.970-0450.020 | Y=0691.830-0701.150 | 2.000
P=0219 | X=0461.210-0486.260 | Y=0691.830-0701.150 | 1.400
P=0219 | X=0497.230-0522.280 | Y=0691.830-0701.150 | 1.200
P=0219 | X=0106.850-0394.760 | Y=0695.710-0706.950 | số 722, tờ BĐĐC số 108 có hiện trạng là đường nhựa, bê tông xi
P=0219 | X=0106.850-0134.850 | Y=0707.250-0718.490 | măng:
P=0220 | X=0106.850-0392.640 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0220 | X=0106.850-0330.490 | Y=0096.020-0107.260 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0220 | X=0106.850-0216.620 | Y=0115.660-0124.980 | Tuyến chống ùn tắc giao
P=0220 | X=0092.900-0278.580 | Y=0125.330-0136.570 | 99 thông (đường vào Công ty Quốc lộ 1
P=0220 | X=0322.200-0369.900 | Y=0125.330-0136.570 | Đường sắt
P=0220 | X=0424.970-0450.020 | Y=0127.210-0136.530 | 8.600
P=0220 | X=0461.210-0486.260 | Y=0127.210-0136.530 | 6.000
P=0220 | X=0497.230-0522.280 | Y=0127.210-0136.530 | 5.200
P=0220 | X=0106.850-0233.290 | Y=0136.850-0148.090 | thức ăn gia súc Thanh Bình)
P=0220 | X=0106.850-0411.740 | Y=0154.610-0165.850 | Các tuyến đường giao thông đấu nối trực tiếp ra Tuyến chống ùn tắc
P=0220 | X=0106.850-0412.250 | Y=0166.130-0177.370 | giao thông (đường vào Công ty thức ăn gia súc Thanh Bình) đoạn từ
P=0220 | X=0106.850-0398.600 | Y=0177.410-0188.650 | Quốc lộ 1 đến Đường sắt có hiện trạng là đường nhựa, bê tông xi
P=0220 | X=0090.020-0134.850 | Y=0188.930-0200.370 | 100 măng:
