TABLE=022 | AREA=Phường Hàng Gòn | SECTION=non-agricultural | SEGMENTS=1
P=0744 | X=0121.010-0149.010 | Y=0702.930-0714.170 | măng:
P=0745 | X=0121.010-0352.090 | Y=0078.740-0089.980 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0745 | X=0121.010-0398.200 | Y=0096.260-0107.500 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0745 | X=0121.010-0394.520 | Y=0114.290-0125.530 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0745 | X=0121.010-0394.540 | Y=0125.810-0137.050 | ra Đường Tân Mỹ - Nhân Nghĩa đoạn từ Quốc lộ 56 đến Giáp
P=0745 | X=0121.010-0383.000 | Y=0137.330-0148.570 | ranh xã Xuân Định có hiện trạng là đường nhựa, bê tông xi
P=0745 | X=0121.010-0149.010 | Y=0148.850-0160.090 | măng:
P=0745 | X=0099.650-0110.770 | Y=0165.370-0174.690 | 27
P=0745 | X=0412.700-0429.340 | Y=0165.370-0174.690 | 590
P=0745 | X=0449.210-0465.850 | Y=0165.370-0174.690 | 410
P=0745 | X=0505.390-0522.030 | Y=0165.370-0174.690 | 350
P=0745 | X=0121.010-0352.560 | Y=0166.370-0177.610 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0745 | X=0121.010-0374.320 | Y=0183.650-0194.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0745 | X=0121.010-0215.980 | Y=0195.170-0206.410 | >500m đến ≤1.000m.
P=0745 | X=0121.010-0344.180 | Y=0212.710-0223.950 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0745 | X=0121.010-0394.520 | Y=0230.710-0241.950 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0745 | X=0121.010-0394.540 | Y=0242.230-0253.470 | ra Đường Tân Mỹ - Nhân Nghĩa đoạn từ Quốc lộ 56 đến Giáp
P=0745 | X=0121.010-0383.000 | Y=0253.750-0264.990 | ranh xã Xuân Định có hiện trạng là đường nhựa, bê tông xi
P=0745 | X=0121.010-0149.010 | Y=0265.270-0276.510 | măng:
P=0745 | X=0099.650-0110.770 | Y=0273.150-0282.470 | 28
P=0745 | X=0412.700-0429.340 | Y=0273.150-0282.470 | 410
P=0745 | X=0449.210-0465.850 | Y=0273.150-0282.470 | 290
P=0745 | X=0505.390-0522.030 | Y=0273.150-0282.470 | 250
P=0745 | X=0121.010-0362.120 | Y=0282.820-0294.060 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0745 | X=0121.010-0163.150 | Y=0296.220-0305.540 | >1.000m.
P=0745 | X=0121.010-0347.330 | Y=0311.860-0323.100 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0745 | X=0121.010-0205.030 | Y=0329.860-0341.100 | Đường Xuân Tân -
P=0745 | X=0306.360-0389.710 | Y=0331.740-0341.060 | Ranh giới xã Hàng
P=0745 | X=0099.650-0110.770 | Y=0337.500-0346.820 | 29
P=0745 | X=0213.670-0262.260 | Y=0337.500-0346.820 | Quốc lộ 56
P=0745 | X=0404.540-0429.590 | Y=0337.500-0346.820 | 1.500
P=0745 | X=0441.050-0466.100 | Y=0337.500-0346.820 | 1.100
P=0745 | X=0505.390-0522.030 | Y=0337.500-0346.820 | 900
P=0745 | X=0306.360-0338.830 | Y=0341.380-0352.620 | Gòn cũ
P=0745 | X=0121.010-0166.690 | Y=0343.260-0352.580 | Hàng Gòn
P=0745 | X=0121.010-0395.270 | Y=0359.380-0370.620 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=0745 | X=0121.010-0386.600 | Y=0370.920-0382.160 | Tân - Hàng Gòn đoạn từ Quốc lộ 56 đến Ranh giới xã Hàng
P=0745 | X=0121.010-0362.900 | Y=0382.200-0393.440 | Gòn cũ có hiện trạng là đường nhựa, bê tông xi măng:
P=0745 | X=0099.650-0110.770 | Y=0390.080-0399.400 | 30
P=0745 | X=0412.700-0429.340 | Y=0390.080-0399.400 | 780
P=0745 | X=0449.210-0465.850 | Y=0390.080-0399.400 | 550
P=0745 | X=0505.390-0522.030 | Y=0390.080-0399.400 | 470
P=0745 | X=0121.010-0352.090 | Y=0399.720-0410.960 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0745 | X=0121.010-0398.200 | Y=0417.240-0428.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0745 | X=0121.010-0395.270 | Y=0435.240-0446.480 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=0745 | X=0121.010-0386.600 | Y=0446.760-0458.000 | Tân - Hàng Gòn đoạn từ Quốc lộ 56 đến Ranh giới xã Hàng
P=0745 | X=0121.010-0362.900 | Y=0458.300-0469.540 | Gòn cũ có hiện trạng là đường nhựa, bê tông xi măng:
P=0745 | X=0121.010-0352.560 | Y=0475.820-0487.060 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0745 | X=0099.650-0110.770 | Y=0480.820-0490.140 | 31
P=0745 | X=0412.700-0429.340 | Y=0480.820-0490.140 | 650
P=0745 | X=0449.210-0465.850 | Y=0480.820-0490.140 | 460
P=0745 | X=0505.390-0522.030 | Y=0480.820-0490.140 | 390
P=0745 | X=0121.010-0374.320 | Y=0493.340-0504.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0745 | X=0121.010-0215.980 | Y=0504.860-0516.100 | >500m đến ≤1.000m.
P=0745 | X=0121.010-0344.180 | Y=0522.380-0533.620 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0745 | X=0121.010-0395.270 | Y=0540.410-0551.650 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=0745 | X=0121.010-0386.600 | Y=0551.930-0563.170 | Tân - Hàng Gòn đoạn từ Quốc lộ 56 đến Ranh giới xã Hàng
P=0745 | X=0121.010-0362.900 | Y=0563.450-0574.690 | Gòn cũ có hiện trạng là đường nhựa, bê tông xi măng:
P=0745 | X=0099.650-0110.770 | Y=0577.090-0586.410 | 32
P=0745 | X=0412.700-0429.340 | Y=0577.090-0586.410 | 450
P=0745 | X=0449.210-0465.850 | Y=0577.090-0586.410 | 320
P=0745 | X=0505.390-0522.030 | Y=0577.090-0586.410 | 270
P=0745 | X=0121.010-0362.120 | Y=0580.970-0592.210 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0745 | X=0121.010-0163.150 | Y=0594.130-0603.450 | >1.000m.
P=0745 | X=0121.010-0344.650 | Y=0609.770-0621.010 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0745 | X=0121.010-0394.520 | Y=0627.790-0639.030 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0745 | X=0121.010-0372.940 | Y=0639.310-0650.550 | ra Đường Xuân Tân - Hàng Gòn đoạn từ Quốc lộ 56 đến
P=0745 | X=0121.010-0386.140 | Y=0650.830-0662.070 | Ranh giới xã Hàng Gòn cũ có hiện trạng lù đường nhựa, bê
P=0745 | X=0121.010-0181.170 | Y=0662.350-0673.590 | tông xi măng:
P=0745 | X=0099.650-0110.770 | Y=0664.470-0673.790 | 33
P=0745 | X=0412.700-0429.340 | Y=0664.470-0673.790 | 700
P=0745 | X=0449.210-0465.850 | Y=0664.470-0673.790 | 490
P=0745 | X=0505.390-0522.030 | Y=0664.470-0673.790 | 420
P=0745 | X=0121.010-0352.090 | Y=0679.870-0691.110 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0745 | X=0121.010-0398.200 | Y=0697.390-0708.630 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0746 | X=0121.010-0394.520 | Y=0078.740-0089.980 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0746 | X=0121.010-0372.940 | Y=0090.260-0101.500 | ra Đường Xuân Tân - Hàng Gòn đoạn từ Quốc lộ 56 đến
P=0746 | X=0121.010-0386.140 | Y=0101.780-0113.020 | Ranh giới xã Hàng Gòn cũ có hiện trạng là đường nhựa, bê
P=0746 | X=0121.010-0181.170 | Y=0113.300-0124.540 | tông xi măng:
P=0746 | X=0099.650-0110.770 | Y=0129.850-0139.170 | 34
P=0746 | X=0412.700-0429.340 | Y=0129.850-0139.170 | 590
P=0746 | X=0449.210-0465.850 | Y=0129.850-0139.170 | 410
P=0746 | X=0505.390-0522.030 | Y=0129.850-0139.170 | 350
P=0746 | X=0121.010-0352.560 | Y=0130.850-0142.090 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0746 | X=0121.010-0374.320 | Y=0148.370-0159.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0746 | X=0121.010-0215.980 | Y=0159.650-0170.890 | >500m đến ≤1.000m.
P=0746 | X=0121.010-0344.200 | Y=0177.170-0188.410 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0746 | X=0121.010-0394.520 | Y=0195.170-0206.410 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0746 | X=0121.010-0372.940 | Y=0206.710-0217.950 | ra Đường Xuân Tân - Hàng Gòn đoạn từ Quốc lộ 56 đến
P=0746 | X=0121.010-0386.140 | Y=0218.230-0229.470 | Ranh giới xã Hàng Gòn cũ có hiện trạng là đường nhựa, bê
P=0746 | X=0121.010-0181.170 | Y=0229.750-0240.990 | tông xi măng:
P=0746 | X=0099.650-0110.770 | Y=0237.630-0246.950 | 35
P=0746 | X=0412.700-0429.340 | Y=0237.630-0246.950 | 410
P=0746 | X=0449.210-0465.850 | Y=0237.630-0246.950 | 290
P=0746 | X=0505.390-0522.030 | Y=0237.630-0246.950 | 250
P=0746 | X=0121.010-0362.140 | Y=0247.270-0258.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0746 | X=0121.010-0163.150 | Y=0260.670-0269.990 | >1.000m.
P=0746 | X=0121.010-0347.330 | Y=0276.310-0287.550 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0746 | X=0306.360-0398.140 | Y=0294.340-0305.580 | Hết ranh thửa đất số
P=0746 | X=0306.360-0393.580 | Y=0305.860-0317.100 | 135 tờ BĐĐC số 22
P=0746 | X=0306.360-0383.340 | Y=0319.260-0328.580 | về bên trái và hết
P=0746 | X=0121.010-0297.050 | Y=0323.140-0334.380 | Đường Xuân Tân - Ranh giới xã Hàng
P=0746 | X=0306.360-0429.580 | Y=0328.900-0340.140 | ranh thửa đất số 90 1.300
P=0746 | X=0099.650-0110.770 | Y=0330.780-0340.100 | 36
P=0746 | X=0449.210-0465.850 | Y=0330.780-0340.100 | 910
P=0746 | X=0505.390-0522.030 | Y=0330.780-0340.100 | 780
P=0746 | X=0213.670-0246.140 | Y=0334.660-0345.900 | Gòn cũ
P=0746 | X=0121.010-0166.690 | Y=0336.540-0345.860 | Hàng Gòn
P=0746 | X=0306.360-0382.830 | Y=0340.420-0351.660 | tờ BĐĐC số 22 +
P=0746 | X=0306.360-0383.330 | Y=0353.580-0362.900 | 60m về bên phải,
P=0746 | X=0306.360-0390.440 | Y=0363.220-0374.460 | phường Hàng Gòn
P=0746 | X=0121.010-0395.270 | Y=0381.240-0392.480 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=0746 | X=0121.010-0388.870 | Y=0392.760-0404.000 | Tân - Hàng Gòn đoạn từ Ranh giới xã Hàng Gòn cũ đến Hết
P=0746 | X=0121.010-0386.630 | Y=0404.280-0415.520 | ranh thửa đất số 135 tờ BĐĐC số 22 về bên trái và hết ranh
P=0746 | X=0121.010-0382.540 | Y=0415.800-0427.040 | thửa đất số 90 tờ BĐĐC số 22 + 60m về bên phải, phường
P=0746 | X=0099.650-0110.770 | Y=0423.680-0433.000 | 37
P=0746 | X=0412.700-0429.340 | Y=0423.680-0433.000 | 670
P=0746 | X=0449.210-0465.850 | Y=0423.680-0433.000 | 470
P=0746 | X=0505.390-0522.030 | Y=0423.680-0433.000 | 400
P=0746 | X=0121.010-0376.110 | Y=0427.320-0438.560 | Hàng Gòn có hiện trạng là đường nhựa, bê tông xi măng:
P=0746 | X=0121.010-0352.120 | Y=0444.840-0456.080 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0746 | X=0121.010-0398.200 | Y=0462.380-0473.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0746 | X=0121.010-0395.270 | Y=0480.380-0491.620 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=0746 | X=0121.010-0388.870 | Y=0491.900-0503.140 | Tân - Hàng Gòn đoạn từ Ranh giới xã Hàng Gòn cũ đến Hết
P=0746 | X=0121.010-0386.630 | Y=0503.420-0514.660 | ranh thửa đất số 135 tờ BĐĐC số 22 về bên trái và hết ranh
P=0746 | X=0121.010-0382.540 | Y=0514.940-0526.180 | thửa đất số 90 tờ BĐĐC số 22 + 60m về bên phải, phường
P=0746 | X=0121.010-0376.110 | Y=0526.220-0537.460 | Hàng Gòn có hiện trạng là đường nhựa, bê tông xi măng:
P=0746 | X=0099.650-0110.770 | Y=0537.250-0546.570 | 38
P=0746 | X=0412.700-0429.340 | Y=0537.250-0546.570 | 650
P=0746 | X=0449.210-0465.850 | Y=0537.250-0546.570 | 460
P=0746 | X=0505.390-0522.030 | Y=0537.250-0546.570 | 390
P=0746 | X=0121.010-0352.560 | Y=0543.770-0555.010 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0746 | X=0121.010-0374.320 | Y=0561.290-0572.530 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0746 | X=0121.010-0215.980 | Y=0572.810-0584.050 | >500m đến ≤1.000m.
P=0746 | X=0121.010-0344.180 | Y=0590.330-0601.570 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0746 | X=0121.010-0395.270 | Y=0608.330-0619.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=0746 | X=0121.010-0388.870 | Y=0619.870-0631.110 | Tân - Hàng Gòn đoạn từ Ranh giới xã Hàng Gòn cũ đến Hết
P=0746 | X=0121.010-0386.630 | Y=0631.390-0642.630 | ranh thửa đất số 135 tờ BĐĐC số 22 về bên trái và hết ranh
P=0746 | X=0121.010-0382.540 | Y=0642.910-0654.150 | thửa đất số 90 tờ BĐĐC số 22 + 60m về bên phải, phường
P=0746 | X=0121.010-0376.110 | Y=0654.430-0665.670 | Hàng Gòn có hiện trạng là đường nhựa, bê tông xi măng:
P=0746 | X=0099.650-0110.770 | Y=0656.550-0665.870 | 39
P=0746 | X=0412.700-0429.340 | Y=0656.550-0665.870 | 450
P=0746 | X=0449.210-0465.850 | Y=0656.550-0665.870 | 320
P=0746 | X=0505.390-0522.030 | Y=0656.550-0665.870 | 270
P=0746 | X=0121.010-0362.120 | Y=0671.950-0683.190 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0746 | X=0121.010-0163.150 | Y=0685.350-0694.670 | >1.000m.
P=0746 | X=0121.010-0344.680 | Y=0700.770-0712.010 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0747 | X=0121.010-0394.520 | Y=0078.740-0089.980 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0747 | X=0121.010-0388.280 | Y=0090.260-0101.500 | ra Đường Xuân Tân - Hàng Gòn đoạn từ Ranh giới xã Hàng
P=0747 | X=0121.010-0389.980 | Y=0101.780-0113.020 | Gòn cũ đến Hết ranh thửa đất số 135 tờ BĐĐC số 22 về bên
P=0747 | X=0121.010-0389.260 | Y=0113.300-0124.540 | trái và hết ranh thửa đất số 90 tờ BĐĐC số 22 + 60m về bên
P=0747 | X=0121.010-0398.370 | Y=0124.850-0136.090 | phải, phường Hàng Gòn có hiện trạng là đường nhựa, bê tông
P=0747 | X=0099.650-0110.770 | Y=0126.970-0136.290 | 40
P=0747 | X=0412.700-0429.340 | Y=0126.970-0136.290 | 600
P=0747 | X=0449.210-0465.850 | Y=0126.970-0136.290 | 420
P=0747 | X=0505.390-0522.030 | Y=0126.970-0136.290 | 360
P=0747 | X=0121.010-0158.840 | Y=0136.370-0147.610 | xi măng:
P=0747 | X=0121.010-0352.090 | Y=0153.650-0164.890 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0747 | X=0121.010-0398.200 | Y=0171.170-0182.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0747 | X=0121.010-0394.520 | Y=0189.170-0200.410 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0747 | X=0121.010-0388.280 | Y=0200.710-0211.950 | ra Đường Xuân Tân - Hàng Gòn đoạn từ Ranh giới xã Hàng
P=0747 | X=0121.010-0389.980 | Y=0212.230-0223.470 | Gòn cũ đến Hết ranh thửa đất số 135 tờ BĐĐC số 22 về bên
P=0747 | X=0121.010-0389.260 | Y=0223.750-0234.990 | trái và hết ranh thửa đất số 90 tờ BĐĐC số 22 + 60m về bên
P=0747 | X=0121.010-0398.370 | Y=0235.270-0246.510 | phải, phường Hàng Gòn có hiện trạng là đường nhựa, bê tông
P=0747 | X=0121.010-0158.840 | Y=0246.790-0258.030 | xi măng:
P=0747 | X=0099.650-0110.770 | Y=0251.790-0261.110 | 41
P=0747 | X=0412.700-0429.340 | Y=0251.790-0261.110 | 590
P=0747 | X=0449.210-0465.850 | Y=0251.790-0261.110 | 410
P=0747 | X=0505.390-0522.030 | Y=0251.790-0261.110 | 350
P=0747 | X=0121.010-0352.560 | Y=0264.310-0275.550 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0747 | X=0121.010-0374.320 | Y=0281.860-0293.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0747 | X=0121.010-0215.990 | Y=0293.380-0304.620 | >500m đến ≤1.000m.
P=0747 | X=0121.010-0344.180 | Y=0310.900-0322.140 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0747 | X=0121.010-0394.520 | Y=0328.900-0340.140 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0747 | X=0121.010-0388.280 | Y=0340.420-0351.660 | ra Đường Xuân Tân - Hàng Gòn đoạn từ Ranh giới xã Hàng
P=0747 | X=0121.010-0389.980 | Y=0351.700-0362.940 | Gòn cũ đến Hết ranh thửa đất số 135 tờ BĐĐC số 22 về bên
P=0747 | X=0121.010-0389.260 | Y=0363.220-0374.460 | trái và hết ranh thửa đất số 90 tờ BĐĐC số 22 + 60m về bên
P=0747 | X=0121.010-0398.370 | Y=0374.760-0386.000 | phải, phường Hàng Gòn có hiện trạng là đường nhựa, bê tông
P=0747 | X=0099.650-0110.770 | Y=0382.640-0391.960 | 42
P=0747 | X=0412.700-0429.340 | Y=0382.640-0391.960 | 410
P=0747 | X=0449.210-0465.850 | Y=0382.640-0391.960 | 290
P=0747 | X=0505.390-0522.030 | Y=0382.640-0391.960 | 250
P=0747 | X=0121.010-0158.840 | Y=0386.280-0397.520 | xi măng:
P=0747 | X=0121.010-0362.120 | Y=0403.800-0415.040 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0747 | X=0121.010-0163.170 | Y=0417.200-0426.520 | >1.000m.
P=0747 | X=0121.010-0347.330 | Y=0432.840-0444.080 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0747 | X=0121.010-0207.430 | Y=0450.860-0462.100 | Đường Hàng Gòn -
P=0747 | X=0306.360-0382.060 | Y=0450.860-0462.100 | Ngã ba đường đi
P=0747 | X=0099.650-0110.770 | Y=0458.500-0467.820 | 43
P=0747 | X=0213.670-0270.670 | Y=0458.500-0467.820 | Nhà máy mủ
P=0747 | X=0404.540-0429.590 | Y=0458.500-0467.820 | 1.500
P=0747 | X=0441.050-0466.100 | Y=0458.500-0467.820 | 1.100
P=0747 | X=0505.390-0522.030 | Y=0458.500-0467.820 | 900
P=0747 | X=0121.010-0166.000 | Y=0464.260-0473.580 | Xuân Quế
P=0747 | X=0306.360-0351.330 | Y=0464.260-0473.580 | Xuân Quế
P=0747 | X=0121.010-0395.990 | Y=0480.380-0491.620 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hàng
P=0747 | X=0121.010-0388.300 | Y=0491.900-0503.140 | Gòn - Xuân Quế đoạn từ Nhà máy mủ đến Ngã ba đường đi
P=0747 | X=0121.010-0375.630 | Y=0503.420-0514.660 | Xuân Quế có hiện trạng là đường nhựa, bê tông xi măng:
P=0747 | X=0099.650-0110.770 | Y=0511.300-0520.620 | 44
P=0747 | X=0412.700-0429.340 | Y=0511.300-0520.620 | 780
P=0747 | X=0449.210-0465.850 | Y=0511.300-0520.620 | 550
P=0747 | X=0505.390-0522.030 | Y=0511.300-0520.620 | 470
P=0747 | X=0121.010-0352.100 | Y=0520.940-0532.180 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0747 | X=0121.010-0398.200 | Y=0538.250-0549.490 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0747 | X=0121.010-0395.990 | Y=0556.250-0567.490 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hàng
P=0747 | X=0121.010-0388.300 | Y=0567.770-0579.010 | Gòn - Xuân Quế đoạn từ Nhà máy mủ đến Ngã ba đường đi
P=0747 | X=0121.010-0375.630 | Y=0579.290-0590.530 | Xuân Quế có hiện trạng là đường nhựa, bê tông xi măng:
P=0747 | X=0121.010-0352.560 | Y=0596.810-0608.050 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0747 | X=0099.650-0110.770 | Y=0601.810-0611.130 | 45
P=0747 | X=0412.700-0429.340 | Y=0601.810-0611.130 | 650
P=0747 | X=0449.210-0465.850 | Y=0601.810-0611.130 | 460
P=0747 | X=0505.390-0522.030 | Y=0601.810-0611.130 | 390
P=0747 | X=0121.010-0374.320 | Y=0614.330-0625.570 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0747 | X=0121.010-0215.980 | Y=0625.870-0637.110 | >500m đến ≤1.000m.
P=0747 | X=0121.010-0344.200 | Y=0643.390-0654.630 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0747 | X=0121.010-0395.990 | Y=0661.390-0672.630 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hàng
P=0747 | X=0121.010-0388.300 | Y=0672.910-0684.150 | Gòn - Xuân Quế đoạn từ Nhà máy mủ đến Ngã ba đường đi
P=0747 | X=0099.650-0110.770 | Y=0683.430-0692.750 | 46
P=0747 | X=0412.700-0429.340 | Y=0683.430-0692.750 | 450
P=0747 | X=0449.210-0465.850 | Y=0683.430-0692.750 | 320
P=0747 | X=0505.390-0522.030 | Y=0683.430-0692.750 | 270
P=0747 | X=0121.010-0375.630 | Y=0684.430-0695.670 | Xuân Quế có hiện trạng là đường nhựa, bê tông xi măng:
P=0747 | X=0121.010-0362.120 | Y=0701.970-0713.210 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0748 | X=0121.010-0163.150 | Y=0074.620-0083.940 | >1.000m.
P=0748 | X=0121.010-0344.650 | Y=0090.260-0101.500 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0748 | X=0121.010-0394.520 | Y=0108.260-0119.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0748 | X=0121.010-0382.780 | Y=0119.810-0131.050 | ra Đường Hàng Gòn - Xuân Quế đoạn từ Nhà máy mủ đến
P=0748 | X=0121.010-0391.180 | Y=0131.330-0142.570 | Ngã ba đường đi Xuân Quế có hiện trạng là đường nhựa, bê
P=0748 | X=0121.010-0181.170 | Y=0142.850-0154.090 | tông xi măng:
P=0748 | X=0099.650-0110.770 | Y=0144.970-0154.290 | 47
P=0748 | X=0412.700-0429.340 | Y=0144.970-0154.290 | 700
P=0748 | X=0449.210-0465.850 | Y=0144.970-0154.290 | 490
P=0748 | X=0505.390-0522.030 | Y=0144.970-0154.290 | 420
P=0748 | X=0121.010-0352.090 | Y=0160.370-0171.610 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0748 | X=0121.010-0398.200 | Y=0177.650-0188.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0748 | X=0121.010-0394.520 | Y=0195.650-0206.890 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0748 | X=0121.010-0382.780 | Y=0207.190-0218.430 | ra Đường Hàng Gòn - Xuân Quế đoạn từ Nhà máy mủ đến
P=0748 | X=0121.010-0391.180 | Y=0218.710-0229.950 | Ngã ba đường đi Xuân Quế có hiện trạng là đường nhựa, bê
P=0748 | X=0121.010-0181.170 | Y=0230.230-0241.470 | tông xi măng:
P=0748 | X=0099.650-0110.770 | Y=0246.990-0256.310 | 48
P=0748 | X=0412.700-0429.340 | Y=0246.990-0256.310 | 590
P=0748 | X=0449.210-0465.850 | Y=0246.990-0256.310 | 410
P=0748 | X=0505.390-0522.030 | Y=0246.990-0256.310 | 350
P=0748 | X=0121.010-0350.160 | Y=0247.750-0258.990 | - Có bề rộng>5tn, cách đường giao thông >1.000m.
P=0748 | X=0121.010-0374.320 | Y=0265.270-0276.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0748 | X=0121.010-0215.980 | Y=0276.790-0288.030 | >500m đến ≤1.000m.
P=0748 | X=0121.010-0344.180 | Y=0294.340-0305.580 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0748 | X=0121.010-0394.520 | Y=0312.340-0323.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0748 | X=0121.010-0382.780 | Y=0323.860-0335.100 | ra Đường Hàng Gòn - Xuân Quế đoạn từ Nhà máy mủ đến
P=0748 | X=0121.010-0391.180 | Y=0335.380-0346.620 | Ngã ba đường đi Xuân Quế có hiện trạng là đường nhựa, bê
P=0748 | X=0121.010-0181.170 | Y=0346.900-0358.140 | tông xi măng:
P=0748 | X=0099.650-0110.770 | Y=0354.780-0364.100 | 49
P=0748 | X=0412.700-0429.340 | Y=0354.780-0364.100 | 410
P=0748 | X=0449.210-0465.850 | Y=0354.780-0364.100 | 290
P=0748 | X=0505.390-0522.030 | Y=0354.780-0364.100 | 250
P=0748 | X=0121.010-0362.120 | Y=0364.180-0375.420 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0748 | X=0121.010-0163.150 | Y=0377.600-0386.920 | >1.000m.
P=0748 | X=0121.010-0347.330 | Y=0393.240-0404.480 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0748 | X=0121.010-0289.380 | Y=0411.240-0422.480 | Đường Hàng Gòn - Ngã ba đường đi
P=0748 | X=0306.360-0389.720 | Y=0413.120-0422.440 | Giáp ranh xã Xuân
P=0748 | X=0099.650-0110.770 | Y=0418.880-0428.200 | 50
P=0748 | X=0404.540-0429.590 | Y=0418.880-0428.200 | 1.300
P=0748 | X=0449.210-0465.850 | Y=0418.880-0428.200 | 910
P=0748 | X=0505.390-0522.030 | Y=0418.880-0428.200 | 780
P=0748 | X=0121.010-0166.000 | Y=0424.640-0433.960 | Xuân Quế
P=0748 | X=0213.670-0258.670 | Y=0424.640-0433.960 | Xuân Quế
P=0748 | X=0306.360-0325.400 | Y=0424.640-0433.960 | Quế
P=0748 | X=0121.010-0395.990 | Y=0440.760-0452.000 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hàng
P=0748 | X=0121.010-0376.780 | Y=0452.300-0463.540 | Gòn - Xuân Quế đoạn từ Ngã ba đường đi Xuân Quế đến
P=0748 | X=0121.010-0395.240 | Y=0463.820-0475.060 | Giáp ranh xã Xuân Quế có hiện trạng là đường nhựa, bê tông
P=0748 | X=0121.010-0158.840 | Y=0475.340-0486.580 | xi măng:
P=0748 | X=0099.650-0110.770 | Y=0477.460-0486.780 | 51
