TABLE=020 | AREA=Phường Bảo Vinh | SECTION=non-agricultural | SEGMENTS=1
P=0701 | X=0445.370-0462.010 | Y=0597.010-0606.330 | 350
P=0701 | X=0505.390-0522.030 | Y=0597.010-0606.330 | 300
P=0701 | X=0115.730-0369.040 | Y=0615.290-0626.530 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0701 | X=0115.730-0210.700 | Y=0626.830-0638.070 | >500m đến ≤1.000m.
P=0701 | X=0115.730-0338.900 | Y=0644.350-0655.590 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0701 | X=0115.730-0389.240 | Y=0662.350-0673.590 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0701 | X=0115.730-0379.100 | Y=0673.870-0685.110 | ra Đường Suối Chồn - Bàu Cối đoạn từ Hết cơ sở Thủ Mây
P=0701 | X=0097.010-0108.130 | Y=0681.510-0690.830 | 28
P=0701 | X=0408.620-0425.260 | Y=0681.510-0690.830 | 410
P=0701 | X=0445.370-0462.010 | Y=0681.510-0690.830 | 290
P=0701 | X=0505.390-0522.030 | Y=0681.510-0690.830 | 250
P=0701 | X=0115.730-0385.420 | Y=0685.390-0696.630 | đến Giáp ranh xã Xuân Bắc có hiện trạng là đường nhựa, bê
P=0701 | X=0115.730-0175.890 | Y=0696.910-0708.150 | tông xi măng:
P=0702 | X=0115.730-0356.840 | Y=0078.740-0089.980 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0702 | X=0115.730-0157.870 | Y=0092.140-0101.460 | >1.000m.
P=0702 | X=0115.730-0339.370 | Y=0107.780-0119.020 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0702 | X=0115.730-0184.710 | Y=0125.810-0137.050 | Đường Nguyễn
P=0702 | X=0208.390-0290.820 | Y=0125.810-0137.050 | Giáp ranh phường
P=0702 | X=0301.320-0382.540 | Y=0125.810-0137.050 | Đường Suối Chồn
P=0702 | X=0097.010-0108.130 | Y=0133.450-0142.770 | 29
P=0702 | X=0400.460-0425.510 | Y=0133.450-0142.770 | 3.700
P=0702 | X=0437.210-0462.260 | Y=0133.450-0142.770 | 2.600
P=0702 | X=0497.230-0522.280 | Y=0133.450-0142.770 | 2.200
P=0702 | X=0115.730-0165.910 | Y=0139.210-0148.530 | Trung Trực
P=0702 | X=0208.390-0262.250 | Y=0139.210-0148.530 | Long Khánh
P=0702 | X=0301.320-0336.920 | Y=0139.210-0148.530 | Bàu Cối
P=0702 | X=0115.730-0364.050 | Y=0155.330-0166.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0702 | X=0115.730-0382.060 | Y=0166.850-0178.090 | Nguyễn Trung Trực đoạn từ Giáp ranh phường Long Khánh
P=0702 | X=0115.730-0387.430 | Y=0178.370-0189.610 | đến Đường Suối Chồn Bàu Cối có hiện trạng là đường nhựa,
P=0702 | X=0097.010-0189.810 | Y=0189.650-0201.330 | 30 bê tông xi măng:
P=0702 | X=0400.460-0425.510 | Y=0192.010-0201.330 | 1.900
P=0702 | X=0437.210-0462.260 | Y=0192.010-0201.330 | 1.300
P=0702 | X=0497.230-0522.280 | Y=0192.010-0201.330 | 1.100
P=0702 | X=0115.730-0338.640 | Y=0207.190-0218.430 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0702 | X=0115.730-0392.920 | Y=0224.710-0235.950 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0702 | X=0115.730-0364.050 | Y=0242.710-0253.950 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0702 | X=0115.730-0382.060 | Y=0254.230-0265.470 | Nguyễn Trung Trực đoạn từ Giáp ranh phường Long Khánh
P=0702 | X=0115.730-0387.430 | Y=0265.750-0276.990 | đến Đường Suối Chồn Bàu Cối có hiện trạng là đường nhựa,
P=0702 | X=0115.730-0189.810 | Y=0277.270-0288.510 | bê tông xi măng:
P=0702 | X=0097.010-0338.900 | Y=0293.820-0306.060 | 31 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0702 | X=0400.460-0425.510 | Y=0293.820-0303.140 | 1.200
P=0702 | X=0445.370-0462.010 | Y=0293.820-0303.140 | 840
P=0702 | X=0505.390-0522.030 | Y=0293.820-0303.140 | 720
P=0702 | X=0115.730-0369.040 | Y=0312.340-0323.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0702 | X=0115.730-0202.300 | Y=0323.860-0335.100 | >400m đến ≤600m.
P=0702 | X=0115.730-0338.900 | Y=0341.380-0352.620 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0702 | X=0115.730-0364.050 | Y=0359.380-0370.620 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0702 | X=0115.730-0382.060 | Y=0370.920-0382.160 | Nguyễn Trung Trực đoạn từ Giáp ranh phường Long Khánh
P=0702 | X=0115.730-0387.430 | Y=0382.200-0393.440 | đến Đường Suối Chồn Bàu Cối có hiện trạng là đường nhựa,
P=0702 | X=0097.010-0189.810 | Y=0393.720-0405.160 | 32 bê tông xi măng:
P=0702 | X=0400.460-0425.510 | Y=0395.840-0405.160 | 1.000
P=0702 | X=0445.370-0462.010 | Y=0395.840-0405.160 | 700
P=0702 | X=0505.390-0522.030 | Y=0395.840-0405.160 | 600
P=0702 | X=0115.730-0393.160 | Y=0411.240-0422.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0702 | X=0115.730-0339.370 | Y=0428.760-0440.000 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0702 | X=0115.730-0389.240 | Y=0446.760-0458.000 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0702 | X=0115.730-0371.270 | Y=0458.300-0469.540 | ra Đường Nguyễn Trung Trực đoạn từ Giáp ranh phường
P=0702 | X=0115.730-0382.770 | Y=0469.820-0481.060 | Long Khánh đến Đường Suối Chồn Bàu Cối có hiện trạng là
P=0702 | X=0097.010-0251.500 | Y=0481.340-0492.780 | 33 đường nhựa, bê tông xi măng:
P=0702 | X=0400.460-0425.510 | Y=0483.460-0492.780 | 1.700
P=0702 | X=0437.210-0462.260 | Y=0483.460-0492.780 | 1.200
P=0702 | X=0497.230-0522.280 | Y=0483.460-0492.780 | 1.000
P=0702 | X=0115.730-0338.640 | Y=0498.860-0510.100 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0702 | X=0115.730-0392.920 | Y=0516.380-0527.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0702 | X=0115.730-0389.240 | Y=0534.410-0545.650 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0702 | X=0115.730-0371.260 | Y=0545.930-0557.170 | ra Đường Nguyễn Trung Trực đoạn từ Giáp ranh phường
P=0702 | X=0115.730-0382.770 | Y=0557.450-0568.690 | Long Khánh đến Đường Suối Chồn Bàu Cối có hiện trạng là
P=0702 | X=0115.730-0251.500 | Y=0568.970-0580.210 | đường nhựa, bê tông xi măng:
P=0702 | X=0097.010-0338.900 | Y=0585.490-0597.490 | 34 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0702 | X=0400.460-0425.510 | Y=0585.490-0594.810 | 1.100
P=0702 | X=0445.370-0462.010 | Y=0585.490-0594.810 | 770
P=0702 | X=0505.390-0522.030 | Y=0585.490-0594.810 | 660
P=0702 | X=0115.730-0369.040 | Y=0603.770-0615.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0702 | X=0115.730-0202.300 | Y=0615.290-0626.530 | >400m đến ≤600m.
P=0702 | X=0115.730-0338.900 | Y=0632.830-0644.070 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0702 | X=0115.730-0389.240 | Y=0650.830-0662.070 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0702 | X=0115.730-0371.260 | Y=0662.350-0673.590 | ra Đường Nguyễn Trung Trực đoạn từ Giáp ranh phường
P=0702 | X=0097.010-0382.770 | Y=0673.870-0687.950 | 35 Long Khánh đến Đường Suối Chồn Bàu Cối có hiện trạng là
P=0702 | X=0408.620-0425.260 | Y=0678.630-0687.950 | 900
P=0702 | X=0445.370-0462.010 | Y=0678.630-0687.950 | 630
P=0702 | X=0505.390-0522.030 | Y=0678.630-0687.950 | 540
P=0702 | X=0115.730-0251.500 | Y=0685.390-0696.630 | đường nhựa, bê tông xi măng:
P=0702 | X=0115.730-0393.160 | Y=0702.930-0714.170 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0703 | X=0115.730-0342.050 | Y=0078.740-0089.980 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0703 | X=0115.730-0197.430 | Y=0096.740-0107.980 | Đường Trần Nhân
P=0703 | X=0301.320-0392.630 | Y=0102.500-0113.740 | Hẻm số 7 Đường Lê
P=0703 | X=0097.010-0293.710 | Y=0108.260-0119.500 | 36 Tông (Bảo Vinh B - Đường Ngô Quyền
P=0703 | X=0400.460-0425.510 | Y=0110.140-0119.460 | 2.600
P=0703 | X=0437.210-0462.260 | Y=0110.140-0119.460 | 1.800
P=0703 | X=0497.230-0522.280 | Y=0110.140-0119.460 | 1.600
P=0703 | X=0301.320-0308.040 | Y=0115.930-0125.250 | A
P=0703 | X=0115.730-0165.880 | Y=0121.690-0131.010 | Suối Chồn)
P=0703 | X=0115.730-0387.590 | Y=0137.810-0149.050 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trần
P=0703 | X=0115.730-0373.180 | Y=0149.330-0160.570 | Nhân Tông (Bảo Vinh B - Suối Chồn) đoạn từ Đường Ngô
P=0703 | X=0115.730-0371.260 | Y=0160.850-0172.090 | Quyền đến Hẻm số 7 Đường Lê A có hiện hạng là đường
P=0703 | X=0097.010-0218.840 | Y=0172.370-0183.810 | 37 nhựa, bê tông xi măng:
P=0703 | X=0400.460-0425.510 | Y=0174.490-0183.810 | 1.900
P=0703 | X=0437.210-0462.260 | Y=0174.490-0183.810 | 1.300
P=0703 | X=0497.230-0522.280 | Y=0174.490-0183.810 | 1.100
P=0703 | X=0115.730-0338.640 | Y=0189.650-0200.890 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0703 | X=0115.730-0392.920 | Y=0207.190-0218.430 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0703 | X=0115.730-0387.590 | Y=0225.190-0236.430 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trần
P=0703 | X=0115.730-0373.180 | Y=0236.710-0247.950 | Nhân Tông (Bảo Vinh B - Suối Chồn) đoạn từ Đường Ngô
P=0703 | X=0115.730-0371.980 | Y=0248.230-0259.470 | Quyền đến Hẻm số 7 Đường Lê A có hiện trạng là đường
P=0703 | X=0115.730-0218.840 | Y=0259.750-0270.990 | nhựa, bê tông xi măng:
P=0703 | X=0097.010-0338.900 | Y=0276.510-0288.510 | 38 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0703 | X=0400.460-0425.510 | Y=0276.510-0285.830 | 1.200
P=0703 | X=0445.370-0462.010 | Y=0276.510-0285.830 | 840
P=0703 | X=0505.390-0522.030 | Y=0276.510-0285.830 | 720
P=0703 | X=0115.730-0369.040 | Y=0294.820-0306.060 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0703 | X=0115.730-0202.300 | Y=0306.340-0317.580 | >400m đến ≤600m.
P=0703 | X=0115.730-0338.900 | Y=0323.860-0335.100 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0703 | X=0115.730-0387.590 | Y=0341.860-0353.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trần
P=0703 | X=0115.730-0373.180 | Y=0353.380-0364.620 | Nhân Tông (Bảo Vinh B - Suối Chồn) đoạn từ Đường Ngô
P=0703 | X=0115.730-0371.980 | Y=0364.900-0376.140 | Quyền đến Hẻm số 7 Đường Lê A có hiện trạng là đường
P=0703 | X=0097.010-0218.840 | Y=0376.200-0387.880 | 39 nhựa, bê tông xi măng:
P=0703 | X=0400.460-0425.510 | Y=0378.560-0387.880 | 1.000
P=0703 | X=0445.370-0462.010 | Y=0378.560-0387.880 | 700
P=0703 | X=0505.390-0522.030 | Y=0378.560-0387.880 | 600
P=0703 | X=0115.730-0393.160 | Y=0393.720-0404.960 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0703 | X=0115.730-0339.370 | Y=0411.240-0422.480 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0703 | X=0115.730-0389.240 | Y=0429.240-0440.480 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0703 | X=0115.730-0387.050 | Y=0440.760-0452.000 | ra Đường Trần Nhân Tông (Bảo Vinh B - Suối Chồn) đoạn từ
P=0703 | X=0115.730-0384.220 | Y=0452.300-0463.540 | Đường Ngô Quyền đến Hẻm số 7 Đường Lê A có hiện trạng
P=0703 | X=0097.010-0262.060 | Y=0463.820-0475.260 | 40 là đường nhựa, bê tông xi măng:
P=0703 | X=0400.460-0425.510 | Y=0465.940-0475.260 | 1.700
P=0703 | X=0437.210-0462.260 | Y=0465.940-0475.260 | 1.200
P=0703 | X=0497.230-0522.280 | Y=0465.940-0475.260 | 1.000
P=0703 | X=0115.730-0338.640 | Y=0481.340-0492.580 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0703 | X=0115.730-0392.920 | Y=0498.860-0510.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0703 | X=0115.730-0389.240 | Y=0516.860-0528.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0703 | X=0115.730-0387.050 | Y=0528.380-0539.620 | ra Đường Trần Nhân Tông (Bảo Vinh B - Suối Chồn) đoạn từ
P=0703 | X=0115.730-0384.220 | Y=0539.930-0551.170 | Đường Ngô Quyền đến Hẻm số 7 Đường Lê A có hiện trạng
P=0703 | X=0115.730-0262.060 | Y=0551.450-0562.690 | là đường nhựa, bê tông xi măng:
P=0703 | X=0097.010-0338.900 | Y=0567.970-0580.210 | 41 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0703 | X=0400.460-0425.510 | Y=0567.970-0577.290 | 1.100
P=0703 | X=0445.370-0462.010 | Y=0567.970-0577.290 | 770
P=0703 | X=0505.390-0522.030 | Y=0567.970-0577.290 | 660
P=0703 | X=0115.730-0369.040 | Y=0586.250-0597.490 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0703 | X=0115.730-0202.300 | Y=0597.770-0609.010 | >400m đến ≤600m.
P=0703 | X=0115.730-0338.900 | Y=0615.290-0626.530 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0703 | X=0115.730-0389.240 | Y=0633.310-0644.550 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0703 | X=0115.730-0387.050 | Y=0644.830-0656.070 | ra Đường Trần Nhân Tông (Bảo Vinh B - Suối Chồn) đoạn từ
P=0703 | X=0115.730-0384.220 | Y=0656.350-0667.590 | Đường Ngô Quyền đến Hẻm số 7 Đường Lê A có hiện trạng
P=0703 | X=0097.010-0262.060 | Y=0667.870-0679.310 | 42 là đường nhựa, bê tông xi măng:
P=0703 | X=0408.620-0425.260 | Y=0669.990-0679.310 | 900
P=0703 | X=0445.370-0462.010 | Y=0669.990-0679.310 | 630
P=0703 | X=0505.390-0522.030 | Y=0669.990-0679.310 | 540
P=0703 | X=0115.730-0393.160 | Y=0685.390-0696.630 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0703 | X=0115.730-0342.050 | Y=0702.930-0714.170 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0704 | X=0208.390-0286.900 | Y=0078.740-0089.980 | Đường Bảo Vinh-
P=0704 | X=0301.320-0379.890 | Y=0078.740-0089.980 | Đường vào nghĩa
P=0704 | X=0097.010-0201.040 | Y=0084.500-0095.740 | 43 Đường Ngô Quyền
P=0704 | X=0400.460-0425.510 | Y=0086.380-0095.700 | 2.200
P=0704 | X=0437.210-0462.260 | Y=0086.380-0095.700 | 1.500
P=0704 | X=0497.230-0522.280 | Y=0086.380-0095.700 | 1.300
P=0704 | X=0301.320-0357.570 | Y=0090.260-0101.500 | địa Rào Sơn
P=0704 | X=0208.390-0259.120 | Y=0092.140-0101.460 | Bảo Quang
P=0704 | X=0115.730-0385.170 | Y=0108.260-0119.500 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Ngô
P=0704 | X=0115.730-0387.350 | Y=0119.810-0131.050 | Quyền đoạn từ Đường Bảo Vinh-Bảo Quang đến Đường vào
P=0704 | X=0115.730-0377.950 | Y=0131.330-0142.570 | nghĩa địa Bảo Sơn có hiện trạng là đường nhựa, bê tông xi
P=0704 | X=0097.010-0143.730 | Y=0142.850-0154.290 | 44 măng:
P=0704 | X=0400.460-0425.510 | Y=0144.970-0154.290 | 1.300
P=0704 | X=0445.370-0462.010 | Y=0144.970-0154.290 | 910
P=0704 | X=0505.390-0522.030 | Y=0144.970-0154.290 | 780
P=0704 | X=0115.730-0338.640 | Y=0160.370-0171.610 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0704 | X=0115.730-0392.940 | Y=0177.650-0188.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0704 | X=0115.730-0385.170 | Y=0195.650-0206.890 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Ngô
P=0704 | X=0115.730-0387.350 | Y=0207.190-0218.430 | Quyền đoạn từ Đường Bảo Vinh-Bảo Quang đến Đường vào
P=0704 | X=0115.730-0377.950 | Y=0218.710-0229.950 | nghĩa địa Bảo Sơn có hiện trạng là đường nhựa, bê tông xi
P=0704 | X=0115.730-0143.730 | Y=0230.230-0241.470 | măng:
P=0704 | X=0097.010-0338.900 | Y=0246.990-0258.990 | 45 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0704 | X=0408.620-0425.260 | Y=0246.990-0256.310 | 910
P=0704 | X=0445.370-0462.010 | Y=0246.990-0256.310 | 640
P=0704 | X=0505.390-0522.030 | Y=0246.990-0256.310 | 550
P=0704 | X=0115.730-0369.040 | Y=0265.270-0276.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0704 | X=0115.730-0202.300 | Y=0276.790-0288.030 | >400m đến ≤600m.
P=0704 | X=0115.730-0338.920 | Y=0294.340-0305.580 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0704 | X=0115.730-0385.170 | Y=0312.340-0323.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Ngô
P=0704 | X=0115.730-0387.350 | Y=0323.860-0335.100 | Quyền đoạn từ Đường Bảo Vinh-Bảo Quang đến Đường vào
P=0704 | X=0115.730-0377.950 | Y=0335.380-0346.620 | nghĩa địa Bảo Sơn có hiện trạng là đường nhựa, bê tông xi
P=0704 | X=0097.010-0143.730 | Y=0346.900-0358.340 | 46 măng:
P=0704 | X=0408.620-0425.260 | Y=0349.020-0358.340 | 770
P=0704 | X=0445.370-0462.010 | Y=0349.020-0358.340 | 540
P=0704 | X=0505.390-0522.030 | Y=0349.020-0358.340 | 460
P=0704 | X=0115.730-0393.160 | Y=0364.180-0375.420 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0704 | X=0115.730-0339.370 | Y=0381.720-0392.960 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0704 | X=0115.730-0389.240 | Y=0399.720-0410.960 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0704 | X=0115.730-0381.340 | Y=0411.240-0422.480 | ra Đường Ngô Quyền đoạn từ Đường Bảo Vinh-Bảo Quang
P=0704 | X=0115.730-0375.820 | Y=0422.760-0434.000 | đến Đường vào nghĩa địa Bảo Sơn có hiện trạng là đường
P=0704 | X=0097.010-0218.840 | Y=0434.280-0445.720 | 47 nhựa, bê tông xi măng:
P=0704 | X=0400.460-0425.510 | Y=0436.400-0445.720 | 1.200
P=0704 | X=0445.370-0462.010 | Y=0436.400-0445.720 | 840
P=0704 | X=0505.390-0522.030 | Y=0436.400-0445.720 | 720
P=0704 | X=0115.730-0338.640 | Y=0451.820-0463.060 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0704 | X=0115.730-0392.920 | Y=0469.340-0480.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0704 | X=0115.730-0389.240 | Y=0487.340-0498.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0704 | X=0115.730-0381.340 | Y=0498.860-0510.100 | ra Đường Ngô Quyền đoạn từ Đường Bảo Vinh-Bảo Quang
P=0704 | X=0115.730-0375.820 | Y=0510.380-0521.620 | đến Đường vào nghĩa địa Bảo Sơn có hiện trạng là đường
P=0704 | X=0115.730-0218.880 | Y=0521.900-0533.140 | nhựa, bê tông xi măng:
P=0704 | X=0097.010-0338.900 | Y=0538.450-0550.690 | 48 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0704 | X=0408.620-0425.260 | Y=0538.450-0547.770 | 820
P=0704 | X=0445.370-0462.010 | Y=0538.450-0547.770 | 570
P=0704 | X=0505.390-0522.030 | Y=0538.450-0547.770 | 490
P=0704 | X=0115.730-0369.040 | Y=0556.970-0568.210 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0704 | X=0115.730-0202.300 | Y=0568.250-0579.490 | >400m đến ≤600m.
P=0704 | X=0115.730-0338.900 | Y=0585.770-0597.010 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0704 | X=0115.730-0389.240 | Y=0603.770-0615.010 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0704 | X=0115.730-0381.340 | Y=0615.290-0626.530 | ra Đường Ngô Quyền đoạn từ Đường Bảo Vinh-Bảo Quang
P=0704 | X=0115.730-0375.820 | Y=0626.830-0638.070 | đến Đường vào nghĩa địa Bảo Sơn có hiện trạng là đường
P=0704 | X=0097.010-0218.840 | Y=0638.350-0649.790 | 49 nhựa, bê tông xi măng:
P=0704 | X=0408.620-0425.260 | Y=0640.470-0649.790 | 690
P=0704 | X=0445.370-0462.010 | Y=0640.470-0649.790 | 480
P=0704 | X=0505.390-0522.030 | Y=0640.470-0649.790 | 410
P=0704 | X=0115.730-0393.160 | Y=0655.870-0667.110 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0704 | X=0115.730-0342.050 | Y=0673.390-0684.630 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0704 | X=0208.390-0286.990 | Y=0691.390-0702.630 | Đường vào nghĩa
P=0704 | X=0097.010-0201.040 | Y=0697.150-0708.390 | 50 Đường Ngô Quyền
P=0704 | X=0301.320-0373.640 | Y=0697.150-0708.390 | Đường Duy Tân
P=0704 | X=0400.460-0425.510 | Y=0699.030-0708.350 | 3.400
P=0704 | X=0437.210-0462.260 | Y=0699.030-0708.350 | 2.400
P=0704 | X=0497.230-0522.280 | Y=0699.030-0708.350 | 2.000
P=0704 | X=0208.390-0264.180 | Y=0702.930-0714.170 | địa Bảo Sơn
P=0705 | X=0115.730-0385.170 | Y=0078.740-0089.980 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Ngô
P=0705 | X=0115.730-0375.830 | Y=0090.260-0101.500 | Quyền đoạn từ Đường vào nghĩa địa Bảo Sơn đến Đường
P=0705 | X=0115.730-0363.140 | Y=0101.780-0113.020 | Duy Tân có hiện trạng là đường nhựa, bê tông xi măng:
P=0705 | X=0097.010-0108.130 | Y=0109.660-0118.980 | 51
P=0705 | X=0400.460-0425.510 | Y=0109.660-0118.980 | 1.700
P=0705 | X=0437.210-0462.260 | Y=0109.660-0118.980 | 1.200
P=0705 | X=0497.230-0522.280 | Y=0109.660-0118.980 | 1.000
P=0705 | X=0115.730-0338.680 | Y=0119.330-0130.570 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0705 | X=0115.730-0392.920 | Y=0136.850-0148.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0705 | X=0115.730-0385.170 | Y=0154.850-0166.090 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Ngô
P=0705 | X=0115.730-0375.830 | Y=0166.370-0177.610 | Quyền đoạn từ Đường vào nghĩa địa Bảo Sơn đến Đường
P=0705 | X=0115.730-0363.170 | Y=0177.650-0188.890 | Duy Tân có hiện trạng là đường nhựa, bê tông xi măng:
P=0705 | X=0097.010-0338.900 | Y=0195.170-0209.510 | 52 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0705 | X=0400.460-0425.510 | Y=0200.190-0209.510 | 1.300
P=0705 | X=0445.370-0462.010 | Y=0200.190-0209.510 | 910
P=0705 | X=0505.390-0522.030 | Y=0200.190-0209.510 | 780
P=0705 | X=0115.730-0369.040 | Y=0212.710-0223.950 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0705 | X=0115.730-0202.300 | Y=0224.230-0235.470 | >400m đến ≤600m.
P=0705 | X=0115.730-0338.900 | Y=0241.750-0252.990 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0705 | X=0115.730-0385.170 | Y=0259.750-0270.990 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Ngô
P=0705 | X=0115.730-0375.830 | Y=0271.270-0282.510 | Quyền đoạn từ Đường vào nghĩa địa Bảo Sơn đến Đường
P=0705 | X=0115.730-0363.140 | Y=0282.820-0294.060 | Duy Tân có hiện trạng là đường nhựa, bê tông xi măng:
P=0705 | X=0097.010-0108.130 | Y=0290.700-0300.020 | 53
P=0705 | X=0408.620-0425.260 | Y=0290.700-0300.020 | 980
P=0705 | X=0445.370-0462.010 | Y=0290.700-0300.020 | 690
P=0705 | X=0505.390-0522.030 | Y=0290.700-0300.020 | 590
P=0705 | X=0115.730-0393.160 | Y=0300.340-0311.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0705 | X=0115.730-0339.370 | Y=0317.860-0329.100 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0705 | X=0115.730-0389.240 | Y=0335.860-0347.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0705 | X=0115.730-0389.250 | Y=0347.380-0358.620 | ra Đường Ngô Quyền đoạn từ Đường vào nghĩa địa Bảo Sơn
P=0705 | X=0115.730-0386.360 | Y=0358.900-0370.140 | đến Đường Duy Tân có hiện trạng là đường nhựa, bê tông xi
P=0705 | X=0097.010-0143.730 | Y=0370.200-0381.880 | 54 măng:
P=0705 | X=0400.460-0425.510 | Y=0372.560-0381.880 | 1.500
P=0705 | X=0437.210-0462.250 | Y=0372.560-0381.880 | 1.100
P=0705 | X=0505.390-0522.030 | Y=0372.560-0381.880 | 900
P=0705 | X=0115.730-0338.640 | Y=0387.720-0398.960 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0705 | X=0115.730-0392.920 | Y=0405.240-0416.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0705 | X=0115.730-0389.240 | Y=0423.240-0434.480 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0705 | X=0115.730-0389.250 | Y=0434.760-0446.000 | ra Đường Ngô Quyền đoạn từ Đường vào nghĩa địa Bảo Sơn
P=0705 | X=0115.730-0386.360 | Y=0446.280-0457.520 | đến Đường Duy Tân có hiện trạng là đường nhựa, bê tông xi
P=0705 | X=0115.730-0143.730 | Y=0457.820-0469.060 | măng:
P=0705 | X=0097.010-0338.900 | Y=0474.580-0486.580 | 55 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0705 | X=0400.460-0425.510 | Y=0474.580-0483.900 | 1.200
P=0705 | X=0445.370-0462.010 | Y=0474.580-0483.900 | 840
