TABLE=041 | AREA=Xã Gia Kiệm | SECTION=non-agricultural | SEGMENTS=1
P=1422 | X=0110.930-0388.120 | Y=0119.090-0130.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1422 | X=0110.930-0384.440 | Y=0136.850-0148.090 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1422 | X=0110.930-0375.560 | Y=0148.370-0159.610 | ra Quốc lộ 20 đoạn từ Giáp ranh xã Dầu Giây đến Giáp ngã
P=1422 | X=0110.930-0379.410 | Y=0159.650-0170.890 | ba đường vào Nông trường cao su Bình Lộc có hiện trạng là
P=1422 | X=0110.930-0246.700 | Y=0171.170-0182.410 | đường nhựa, bê tông xi măng:
P=1422 | X=0094.820-0342.520 | Y=0187.930-0199.930 | 27 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1422 | X=0407.420-0432.470 | Y=0187.930-0197.250 | 1.500
P=1422 | X=0454.490-0479.540 | Y=0187.930-0197.250 | 1.100
P=1422 | X=0505.390-0522.030 | Y=0187.930-0197.250 | 900
P=1422 | X=0110.930-0364.240 | Y=0206.230-0217.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1422 | X=0110.930-0205.880 | Y=0217.750-0228.990 | >500m đến ≤1.000m.
P=1422 | X=0110.930-0334.100 | Y=0235.270-0246.510 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1422 | X=0110.930-0384.440 | Y=0253.030-0264.270 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1422 | X=0110.930-0375.570 | Y=0264.550-0275.790 | ra Quốc lộ 20 đoạn từ Giáp ranh xã Dầu Giây đến Giáp ngã
P=1422 | X=0110.930-0379.410 | Y=0276.070-0287.310 | ba đường vào Nông trường cao su Bình Lộc có hiện trạng là
P=1422 | X=0110.930-0246.700 | Y=0287.620-0298.860 | đường nhựa, bê tông xi măng:
P=1422 | X=0094.820-0105.940 | Y=0295.500-0304.820 | 28
P=1422 | X=0415.580-0432.220 | Y=0295.500-0304.820 | 990
P=1422 | X=0462.650-0479.290 | Y=0295.500-0304.820 | 690
P=1422 | X=0505.390-0522.030 | Y=0295.500-0304.820 | 590
P=1422 | X=0110.930-0352.040 | Y=0305.140-0316.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1422 | X=0110.930-0153.070 | Y=0318.540-0327.860 | >1.000m.
P=1422 | X=0110.930-0334.570 | Y=0333.940-0345.180 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1422 | X=0215.110-0269.910 | Y=0353.580-0362.900 | Giáp ngã ba
P=1422 | X=0215.110-0383.970 | Y=0363.220-0374.460 | đường vào Nông Ngã ba đường vào
P=1422 | X=0094.820-0159.490 | Y=0370.880-0380.200 | 29 Quốc lộ 20
P=1422 | X=0407.420-0432.470 | Y=0370.880-0380.200 | 8.900
P=1422 | X=0454.490-0479.540 | Y=0370.880-0380.200 | 6.200
P=1422 | X=0497.230-0522.280 | Y=0370.880-0380.200 | 5.300
P=1422 | X=0299.880-0351.780 | Y=0374.760-0386.000 | ấp Lạc Sơn
P=1422 | X=0215.110-0277.870 | Y=0376.640-0385.960 | trường cao su
P=1422 | X=0215.110-0254.740 | Y=0388.160-0397.480 | Bình Lộc
P=1422 | X=0110.930-0376.060 | Y=0404.040-0415.280 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1422 | X=0110.930-0388.940 | Y=0415.560-0426.800 | đoạn từ Giáp ngã ba đường vào Nông trường cao su Bình Lộc
P=1422 | X=0110.930-0372.700 | Y=0427.080-0438.320 | đến Ngã ba đường vào ấp Lạc Sơn có hiện trạng là đường
P=1422 | X=0094.820-0214.060 | Y=0438.600-0450.040 | 30 nhựa, bê tông xi măng:
P=1422 | X=0407.420-0432.470 | Y=0440.720-0450.040 | 2.700
P=1422 | X=0454.490-0479.540 | Y=0440.720-0450.040 | 1.900
P=1422 | X=0497.230-0522.280 | Y=0440.720-0450.040 | 1.600
P=1422 | X=0110.930-0342.010 | Y=0456.140-0467.380 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1422 | X=0110.930-0388.120 | Y=0473.660-0484.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1422 | X=0110.930-0376.060 | Y=0491.420-0502.660 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1422 | X=0110.930-0388.940 | Y=0502.940-0514.180 | đoạn từ Giáp ngã ba đường vào Nông trường cao su Bình Lộc
P=1422 | X=0110.930-0372.700 | Y=0514.220-0525.460 | đến Ngã ba đường vào ấp Lạc Sơn có hiện trạng là đường
P=1422 | X=0110.930-0214.040 | Y=0525.740-0536.980 | nhựa, bê tông xi măng:
P=1422 | X=0094.820-0342.480 | Y=0542.530-0554.530 | 31 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1422 | X=0407.420-0432.470 | Y=0542.530-0551.850 | 1.500
P=1422 | X=0454.490-0479.530 | Y=0542.530-0551.850 | 1.100
P=1422 | X=0505.390-0522.030 | Y=0542.530-0551.850 | 900
P=1422 | X=0110.930-0364.240 | Y=0560.810-0572.050 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1422 | X=0110.930-0205.880 | Y=0572.330-0583.570 | >500m đến ≤1.000m.
P=1422 | X=0110.930-0334.100 | Y=0589.850-0601.090 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1422 | X=0110.930-0376.060 | Y=0607.610-0618.850 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1422 | X=0110.930-0388.940 | Y=0619.150-0630.390 | đoạn từ Giáp ngã ba đường vào Nông trường cao su Bình Lộc
P=1422 | X=0110.930-0372.700 | Y=0630.670-0641.910 | đến Ngã ba đường vào ấp Lạc Sơn có hiện trạng là đường
P=1422 | X=0110.930-0214.040 | Y=0642.190-0653.430 | nhựa, bê tông xi măng:
P=1422 | X=0094.820-0105.940 | Y=0650.070-0659.390 | 32
P=1422 | X=0407.420-0432.470 | Y=0650.070-0659.390 | 1.300
P=1422 | X=0462.650-0479.290 | Y=0650.070-0659.390 | 910
P=1422 | X=0505.390-0522.030 | Y=0650.070-0659.390 | 780
P=1422 | X=0110.930-0352.040 | Y=0659.710-0670.950 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1422 | X=0110.930-0153.070 | Y=0673.110-0682.430 | >1.000m.
P=1422 | X=0110.930-0334.570 | Y=0688.510-0699.750 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1422 | X=0094.820-0384.440 | Y=0706.290-0717.530 | 33 Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1422 | X=0407.420-0432.470 | Y=0708.180-0717.500 | 2.400
P=1422 | X=0454.490-0479.540 | Y=0708.180-0717.500 | 1.700
P=1422 | X=0497.230-0522.280 | Y=0708.180-0717.500 | 1.400
P=1423 | X=0110.930-0377.260 | Y=0072.500-0083.740 | ra Quốc lộ 20 đoạn từ Giáp ngã ba đường vào Nông trường
P=1423 | X=0110.930-0378.470 | Y=0084.020-0095.260 | cao su Bình Lộc đến Ngã ba đường vào ấp Lạc Sơn có hiện
P=1423 | X=0110.930-0282.710 | Y=0095.540-0106.780 | trạng là đường nhựa, bê tông xi măng:
P=1423 | X=0110.930-0342.010 | Y=0113.060-0124.300 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1423 | X=0110.930-0388.120 | Y=0130.610-0141.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1423 | X=0110.930-0384.440 | Y=0148.370-0159.610 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1423 | X=0110.930-0377.260 | Y=0159.650-0170.890 | ra Quốc lộ 20 đoạn từ Giáp ngã ba đường vào Nông trường
P=1423 | X=0110.930-0378.470 | Y=0171.170-0182.410 | cao su Bình Lộc đến Ngã ba đường vào ấp Lạc Sơn có hiện
P=1423 | X=0110.930-0282.710 | Y=0182.690-0193.930 | trạng là đường nhựa, bê tông xi măng:
P=1423 | X=0094.820-0342.480 | Y=0199.470-0211.470 | 34 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1423 | X=0407.420-0432.470 | Y=0199.470-0208.790 | 1.400
P=1423 | X=0462.650-0479.290 | Y=0199.470-0208.790 | 980
P=1423 | X=0505.390-0522.030 | Y=0199.470-0208.790 | 840
P=1423 | X=0110.930-0364.240 | Y=0217.750-0228.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1423 | X=0110.930-0205.880 | Y=0229.270-0240.510 | >500m đến ≤1.000m.
P=1423 | X=0110.930-0334.100 | Y=0246.790-0258.030 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1423 | X=0110.930-0384.440 | Y=0264.550-0275.790 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1423 | X=0110.930-0377.260 | Y=0276.070-0287.310 | ra Quốc lộ 20 đoạn từ Giáp ngã ba đường vào Nông trường
P=1423 | X=0110.930-0378.470 | Y=0287.620-0298.860 | cao su Bình Lộc đến Ngã ba đường vào ấp Lạc Sơn có hiện
P=1423 | X=0110.930-0282.710 | Y=0299.140-0310.380 | trạng là đường nhựa, bê tông xi măng:
P=1423 | X=0094.820-0105.940 | Y=0307.020-0316.340 | 35
P=1423 | X=0407.420-0432.470 | Y=0307.020-0316.340 | 1.200
P=1423 | X=0462.650-0479.290 | Y=0307.020-0316.340 | 840
P=1423 | X=0505.390-0522.030 | Y=0307.020-0316.340 | 720
P=1423 | X=0110.930-0352.040 | Y=0316.660-0327.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1423 | X=0110.930-0153.070 | Y=0329.820-0339.140 | >1.000m.
P=1423 | X=0110.930-0334.570 | Y=0345.460-0356.700 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1423 | X=0215.110-0388.550 | Y=0363.220-0374.460 | Ngã ba đường vào Giáp ranh xã Thống
P=1423 | X=0094.820-0159.490 | Y=0370.880-0380.200 | 36 Quốc lộ 20
P=1423 | X=0401.900-0432.470 | Y=0370.880-0380.200 | 10.200
P=1423 | X=0454.490-0479.540 | Y=0370.880-0380.200 | 7.100
P=1423 | X=0497.230-0522.280 | Y=0370.880-0380.200 | 6.100
P=1423 | X=0215.110-0267.040 | Y=0374.760-0386.000 | ấp Lạc Sơn
P=1423 | X=0299.880-0320.920 | Y=0376.640-0385.960 | Nhất
P=1423 | X=0110.930-0376.060 | Y=0392.520-0403.760 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1423 | X=0110.930-0366.200 | Y=0404.040-0415.280 | đoạn từ Ngã ba đường vào ấp Lạc Sơn đến Giáp ranh xã
P=1423 | X=0110.930-0372.500 | Y=0415.560-0426.800 | Thống Nhất có hiện trạng là đường nhựa, bê tông xi măng:
P=1423 | X=0094.820-0105.940 | Y=0423.440-0432.760 | 37
P=1423 | X=0407.420-0432.470 | Y=0423.440-0432.760 | 2.900
P=1423 | X=0454.490-0479.540 | Y=0423.440-0432.760 | 2.000
P=1423 | X=0497.230-0522.280 | Y=0423.440-0432.760 | 1.700
P=1423 | X=0110.930-0342.010 | Y=0433.080-0444.320 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1423 | X=0110.930-0388.120 | Y=0450.620-0461.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1423 | X=0110.930-0376.060 | Y=0468.380-0479.620 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1423 | X=0110.930-0366.200 | Y=0479.900-0491.140 | đoạn từ Ngã ba đường vào ấp Lạc Sơn đến Giáp ranh xã
P=1423 | X=0110.930-0372.500 | Y=0491.420-0502.660 | Thống Nhất có hiện trạng là đường nhựa, bê tông xi măng:
P=1423 | X=0094.820-0342.480 | Y=0508.940-0523.020 | 38 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1423 | X=0407.420-0432.470 | Y=0513.700-0523.020 | 2.000
P=1423 | X=0454.490-0479.540 | Y=0513.700-0523.020 | 1.400
P=1423 | X=0497.230-0522.280 | Y=0513.700-0523.020 | 1.200
P=1423 | X=0110.930-0364.250 | Y=0526.220-0537.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1423 | X=0110.930-0205.880 | Y=0537.770-0549.010 | >500m đến ≤1.000m.
P=1423 | X=0110.930-0334.100 | Y=0555.290-0566.530 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1423 | X=0110.930-0376.060 | Y=0573.050-0584.290 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1423 | X=0110.930-0366.200 | Y=0584.570-0595.810 | đoạn từ Ngã ba đường vào ấp Lạc Sơn đến Giáp ranh xã
P=1423 | X=0110.930-0372.540 | Y=0596.090-0607.330 | Thống Nhất có hiện trạng là đường nhựa, bê tông xi măng:
P=1423 | X=0094.820-0105.940 | Y=0609.730-0619.050 | 39
P=1423 | X=0407.420-0432.470 | Y=0609.730-0619.050 | 1.500
P=1423 | X=0454.490-0479.540 | Y=0609.730-0619.050 | 1.100
P=1423 | X=0505.390-0522.030 | Y=0609.730-0619.050 | 900
P=1423 | X=0110.930-0352.040 | Y=0613.610-0624.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1423 | X=0110.930-0153.070 | Y=0627.030-0636.350 | >1.000m.
P=1423 | X=0110.930-0334.570 | Y=0642.670-0653.910 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1423 | X=0110.930-0384.440 | Y=0660.430-0671.670 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1423 | X=0110.930-0368.620 | Y=0671.950-0683.190 | ra Quốc lộ 20 đoạn từ Ngã ba đường vào ấp Lạc Sơn đến
P=1423 | X=0094.820-0105.940 | Y=0679.590-0688.910 | 40
P=1423 | X=0407.420-0432.470 | Y=0679.590-0688.910 | 2.600
P=1423 | X=0454.490-0479.540 | Y=0679.590-0688.910 | 1.800
P=1423 | X=0497.230-0522.280 | Y=0679.590-0688.910 | 1.600
P=1423 | X=0110.930-0370.050 | Y=0683.470-0694.710 | Giáp ranh xã Thống Nhất có hiện trạng là đường nhựa, bê
P=1423 | X=0110.930-0171.090 | Y=0694.750-0705.990 | tông xi măng:
P=1424 | X=0110.930-0342.010 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1424 | X=0110.930-0388.120 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1424 | X=0110.930-0384.440 | Y=0113.780-0125.020 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1424 | X=0110.930-0368.620 | Y=0125.330-0136.570 | ra Quốc lộ 20 đoạn từ Ngã ba đường vào ấp Lạc Sơn đến
P=1424 | X=0110.930-0370.050 | Y=0136.850-0148.090 | Giáp ranh xã Thống Nhất có hiện trạng là đường nhựa, bê
P=1424 | X=0110.930-0171.090 | Y=0148.370-0159.610 | tông xi măng:
P=1424 | X=0094.820-0342.480 | Y=0164.890-0176.890 | 41 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1424 | X=0407.420-0432.470 | Y=0164.890-0174.210 | 1.800
P=1424 | X=0454.490-0479.540 | Y=0164.890-0174.210 | 1.300
P=1424 | X=0497.230-0522.280 | Y=0164.890-0174.210 | 1.100
P=1424 | X=0110.930-0364.240 | Y=0183.170-0194.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1424 | X=0110.930-0205.880 | Y=0194.690-0205.930 | >500m đến ≤1.000m.
P=1424 | X=0110.930-0334.100 | Y=0212.230-0223.470 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1424 | X=0110.930-0384.440 | Y=0229.990-0241.230 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1424 | X=0110.930-0368.620 | Y=0241.510-0252.750 | ra Quốc lộ 20 đoạn từ Ngã ba đường vào ấp Lạc Sơn đến
P=1424 | X=0110.930-0370.050 | Y=0253.030-0264.270 | Giáp ranh xã Thống Nhất có hiện trạng là đường nhựa, bê
P=1424 | X=0110.930-0171.090 | Y=0264.550-0275.790 | tông xi măng:
P=1424 | X=0094.820-0105.940 | Y=0272.430-0281.750 | 42
P=1424 | X=0407.420-0432.470 | Y=0272.430-0281.750 | 1.400
P=1424 | X=0462.650-0479.290 | Y=0272.430-0281.750 | 980
P=1424 | X=0505.390-0522.030 | Y=0272.430-0281.750 | 840
P=1424 | X=0110.930-0352.040 | Y=0282.100-0293.340 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1424 | X=0110.930-0153.070 | Y=0295.500-0304.820 | >1.000m.
P=1424 | X=0110.930-0334.570 | Y=0311.140-0322.380 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1424 | X=0299.880-0371.570 | Y=0328.900-0340.140 | Ngã ba trước Xí
P=1424 | X=0110.930-0214.000 | Y=0334.660-0345.900 | Đường tỉnh 762 (Trị An
P=1424 | X=0299.880-0386.840 | Y=0340.420-0351.660 | nghiệp khai thác đá
P=1424 | X=0094.820-0105.940 | Y=0342.300-0351.620 | 43
P=1424 | X=0215.110-0263.700 | Y=0342.300-0351.620 | Quốc lộ 20
P=1424 | X=0407.420-0432.470 | Y=0342.300-0351.620 | 2.900
P=1424 | X=0454.490-0479.540 | Y=0342.300-0351.620 | 2.000
P=1424 | X=0497.230-0522.280 | Y=0342.300-0351.620 | 1.700
P=1424 | X=0110.930-0151.720 | Y=0347.820-0357.140 | - Sóc Lu)
P=1424 | X=0299.880-0331.160 | Y=0353.580-0362.900 | Sóc Lu
P=1424 | X=0110.930-0378.470 | Y=0369.480-0380.720 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1424 | X=0110.930-0386.210 | Y=0381.000-0392.240 | 762 (Trị An - Sóc Lu) đoạn từ Quốc lộ 20 đến Ngã ba trước Xí
P=1424 | X=0110.930-0378.460 | Y=0392.520-0403.760 | nghiệp khai thác đá Sóc Lu có hiện trạng là đường nhựa, bê
P=1424 | X=0094.820-0171.090 | Y=0404.040-0415.480 | 44 tông xi măng:
P=1424 | X=0407.420-0432.470 | Y=0406.160-0415.480 | 1.100
P=1424 | X=0462.650-0479.290 | Y=0406.160-0415.480 | 770
P=1424 | X=0505.390-0522.030 | Y=0406.160-0415.480 | 660
P=1424 | X=0110.930-0342.010 | Y=0421.560-0432.800 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1424 | X=0110.930-0388.120 | Y=0439.080-0450.320 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1424 | X=0110.930-0378.470 | Y=0456.860-0468.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1424 | X=0110.930-0386.210 | Y=0468.380-0479.620 | 762 (Trị An - Sóc Lu) đoạn từ Quốc lộ 20 đến Ngã ba trước Xí
P=1424 | X=0110.930-0378.460 | Y=0479.900-0491.140 | nghiệp khai thác đá Sóc Lu có hiện trạng là đường nhựa, bê
P=1424 | X=0110.930-0171.090 | Y=0491.420-0502.660 | tông xi măng:
P=1424 | X=0094.820-0342.490 | Y=0507.940-0520.180 | 45 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1424 | X=0415.580-0432.220 | Y=0507.940-0517.260 | 860
P=1424 | X=0462.650-0479.290 | Y=0507.940-0517.260 | 600
P=1424 | X=0505.390-0522.030 | Y=0507.940-0517.260 | 520
P=1424 | X=0110.930-0364.240 | Y=0526.220-0537.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1424 | X=0110.930-0205.880 | Y=0537.770-0549.010 | >500m đến ≤1.000m.
P=1424 | X=0110.930-0334.100 | Y=0555.290-0566.530 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1424 | X=0110.930-0378.470 | Y=0573.050-0584.290 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1424 | X=0110.930-0386.210 | Y=0584.570-0595.810 | 762 (Trị An - Sóc Lu) đoạn từ Quốc lộ 20 đến Ngã ba trước Xí
P=1424 | X=0110.930-0378.460 | Y=0596.090-0607.330 | nghiệp khai thác đá Sóc Lu có hiện trạng là đường nhựa, bê
P=1424 | X=0110.930-0171.090 | Y=0607.610-0618.850 | tông xi măng:
P=1424 | X=0094.820-0105.940 | Y=0615.490-0624.810 | 46
P=1424 | X=0415.580-0432.220 | Y=0615.490-0624.810 | 660
P=1424 | X=0462.650-0479.290 | Y=0615.490-0624.810 | 460
P=1424 | X=0505.390-0522.030 | Y=0615.490-0624.810 | 400
P=1424 | X=0110.930-0352.040 | Y=0625.150-0636.390 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1424 | X=0110.930-0153.070 | Y=0638.550-0647.870 | >1.000m.
P=1424 | X=0110.930-0334.570 | Y=0654.190-0665.430 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1424 | X=0110.930-0384.440 | Y=0671.950-0683.190 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1424 | X=0110.930-0376.550 | Y=0683.470-0694.710 | ra Đường tỉnh 762 (Trị An - Sóc Lu) đoạn từ Quốc lộ 20 đến
P=1424 | X=0094.820-0105.940 | Y=0691.110-0700.430 | 47
P=1424 | X=0415.580-0432.220 | Y=0691.110-0700.430 | 990
P=1424 | X=0462.650-0479.290 | Y=0691.110-0700.430 | 690
P=1424 | X=0505.390-0522.030 | Y=0691.110-0700.430 | 590
P=1424 | X=0110.930-0377.490 | Y=0694.750-0705.990 | Ngã ba trước Xí nghiệp khai thác đá Sóc Lu có hiện trạng là
P=1424 | X=0110.930-0246.700 | Y=0706.290-0717.530 | đường nhựa, bê tông xi măng:
P=1425 | X=0110.930-0342.010 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1425 | X=0110.930-0388.140 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1425 | X=0110.930-0384.440 | Y=0113.780-0125.020 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1425 | X=0110.930-0376.550 | Y=0125.330-0136.570 | ra Đường tỉnh 762 (Trị An - Sóc Lu) đoạn từ Quốc lộ 20 đến
P=1425 | X=0110.930-0377.490 | Y=0136.850-0148.090 | Ngã ba trước Xí nghiệp khai thác đá Sóc Lu có hiện trạng là
P=1425 | X=0110.930-0246.700 | Y=0148.370-0159.610 | đường nhựa, bê tông xi măng:
P=1425 | X=0094.820-0342.480 | Y=0164.890-0176.890 | 48 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1425 | X=0415.580-0432.220 | Y=0164.890-0174.210 | 770
P=1425 | X=0462.650-0479.290 | Y=0164.890-0174.210 | 540
P=1425 | X=0505.390-0522.030 | Y=0164.890-0174.210 | 460
P=1425 | X=0110.930-0364.240 | Y=0183.170-0194.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1425 | X=0110.930-0205.880 | Y=0194.690-0205.930 | >500m đến ≤1.000m.
P=1425 | X=0110.930-0334.100 | Y=0212.230-0223.470 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1425 | X=0110.930-0384.440 | Y=0229.990-0241.230 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1425 | X=0110.930-0376.550 | Y=0241.510-0252.750 | ra Đường tỉnh 762 (Trị An - Sóc Lu) đoạn từ Quốc lộ 20 đến
P=1425 | X=0110.930-0377.490 | Y=0253.030-0264.270 | Ngã ba trước Xí nghiệp khai thác đá Sóc Lu có hiện trạng là
P=1425 | X=0110.930-0246.700 | Y=0264.550-0275.790 | đường nhựa, bê tông xi măng:
P=1425 | X=0094.820-0105.940 | Y=0272.430-0281.750 | 49
P=1425 | X=0415.580-0432.220 | Y=0272.430-0281.750 | 590
P=1425 | X=0462.650-0479.290 | Y=0272.430-0281.750 | 410
P=1425 | X=0505.390-0522.030 | Y=0272.430-0281.750 | 350
P=1425 | X=0110.930-0352.040 | Y=0282.100-0293.340 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1425 | X=0110.930-0153.070 | Y=0295.500-0304.820 | >1.000m.
P=1425 | X=0110.930-0334.570 | Y=0311.140-0322.380 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1425 | X=0215.110-0286.810 | Y=0328.900-0340.140 | Ngã ba trước Xí
P=1425 | X=0110.930-0214.000 | Y=0334.660-0345.900 | Đường tỉnh 762 (Trị An
P=1425 | X=0299.880-0387.980 | Y=0334.660-0345.900 | Đường Võ Dõng 3 -
P=1425 | X=0094.820-0105.940 | Y=0342.300-0351.620 | 50
P=1425 | X=0215.110-0288.090 | Y=0342.300-0351.620 | nghiệp khai thác
P=1425 | X=0407.420-0432.470 | Y=0342.300-0351.620 | 2.100
P=1425 | X=0454.490-0479.540 | Y=0342.300-0351.620 | 1.500
P=1425 | X=0497.230-0522.280 | Y=0342.300-0351.620 | 1.300
P=1425 | X=0110.930-0151.720 | Y=0347.820-0357.140 | - Sóc Lu)
P=1425 | X=0299.880-0331.160 | Y=0347.820-0357.140 | Sóc Lu
P=1425 | X=0215.110-0260.310 | Y=0351.700-0362.940 | đá Sóc Lu
P=1425 | X=0110.930-0378.470 | Y=0369.480-0380.720 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1425 | X=0110.930-0369.320 | Y=0381.000-0392.240 | 762 (Trị An - Sóc Lu) đoạn từ Ngã ba trước Xí nghiệp khai
P=1425 | X=0110.930-0382.300 | Y=0392.520-0403.760 | thác đá Sóc Lu đến Đường Võ Dõng 3 - Sóc Lu có hiện trạng
P=1425 | X=0094.820-0257.260 | Y=0404.040-0415.480 | 51 là đường nhựa, bê tông xi măng:
P=1425 | X=0415.580-0432.220 | Y=0406.160-0415.480 | 920
P=1425 | X=0462.650-0479.290 | Y=0406.160-0415.480 | 640
P=1425 | X=0505.390-0522.030 | Y=0406.160-0415.480 | 550
P=1425 | X=0110.930-0342.010 | Y=0421.560-0432.800 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1425 | X=0110.930-0388.120 | Y=0439.080-0450.320 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1425 | X=0110.930-0378.470 | Y=0456.860-0468.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1425 | X=0110.930-0369.320 | Y=0468.380-0479.620 | 762 (Trị An - Sóc Lu) đoạn từ Ngã ba trước Xí nghiệp khai
P=1425 | X=0110.930-0382.300 | Y=0479.900-0491.140 | thác đá Sóc Lu đến Đường Võ Dõng 3 - Sóc Lu có hiện trạng
P=1425 | X=0110.930-0257.260 | Y=0491.420-0502.660 | là đường nhựa, bê tông xi măng:
P=1425 | X=0094.820-0342.480 | Y=0507.940-0520.180 | 52 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1425 | X=0415.580-0432.220 | Y=0507.940-0517.260 | 730
P=1425 | X=0462.650-0479.290 | Y=0507.940-0517.260 | 510
P=1425 | X=0505.390-0522.030 | Y=0507.940-0517.260 | 440
P=1425 | X=0110.930-0364.240 | Y=0526.220-0537.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1425 | X=0110.930-0205.880 | Y=0537.770-0549.010 | >500m đến ≤1.000m.
P=1425 | X=0110.930-0334.100 | Y=0555.290-0566.530 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1425 | X=0110.930-0378.470 | Y=0573.050-0584.290 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
