TABLE=051 | AREA=Xã Phú Lâm | SECTION=non-agricultural | SEGMENTS=1
P=1696 | X=0433.130-0449.770 | Y=0159.130-0168.450 | 670
P=1696 | X=0469.370-0486.010 | Y=0159.130-0168.450 | 470
P=1696 | X=0505.390-0522.030 | Y=0159.130-0168.450 | 400
P=1696 | X=0106.850-0413.270 | Y=0171.650-0182.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1696 | X=0106.850-0148.530 | Y=0183.170-0194.410 | ≤1.000m.
P=1696 | X=0106.850-0330.020 | Y=0200.710-0211.950 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1696 | X=0106.850-0409.370 | Y=0218.470-0229.710 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20 đoạn từ
P=1696 | X=0106.850-0411.740 | Y=0229.990-0241.230 | Đường Km 138 đến Hết ranh xã Phú Lâm (giáp ranh tỉnh Lâm Đồng)
P=1696 | X=0106.850-0313.700 | Y=0241.510-0252.750 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1696 | X=0092.900-0104.020 | Y=0249.390-0258.710 | 60
P=1696 | X=0433.130-0449.770 | Y=0249.390-0258.710 | 450
P=1696 | X=0469.370-0486.010 | Y=0249.390-0258.710 | 320
P=1696 | X=0505.390-0522.030 | Y=0249.390-0258.710 | 270
P=1696 | X=0106.850-0392.640 | Y=0259.030-0270.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1696 | X=0106.850-0330.490 | Y=0276.550-0287.790 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1696 | X=0106.850-0392.110 | Y=0294.340-0305.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1696 | X=0106.850-0406.270 | Y=0305.860-0317.100 | Quốc lộ 20 đoạn từ Đường Km 138 đến Hết ranh xã Phú Lâm (giáp
P=1696 | X=0106.850-0407.790 | Y=0317.380-0328.620 | ranh tỉnh Lâm Đồng) có hiện trạng là đường nhựa, bê tông xi măng:
P=1696 | X=0092.900-0104.020 | Y=0325.260-0334.580 | 61
P=1696 | X=0433.130-0449.770 | Y=0325.260-0334.580 | 700
P=1696 | X=0469.370-0486.010 | Y=0325.260-0334.580 | 490
P=1696 | X=0505.390-0522.030 | Y=0325.260-0334.580 | 420
P=1696 | X=0106.850-0337.930 | Y=0334.900-0346.140 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1696 | X=0106.850-0384.020 | Y=0352.420-0363.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1696 | X=0106.850-0392.110 | Y=0369.960-0381.200 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1696 | X=0106.850-0406.270 | Y=0381.480-0392.720 | Quốc lộ 20 đoạn từ Đường Km 138 đến Hết ranh xã Phú Lâm (giáp
P=1696 | X=0106.850-0407.790 | Y=0393.000-0404.240 | ranh tỉnh Lâm Đồng) có hiện trạng là đường nhựa, bê tông xi măng:
P=1696 | X=0092.900-0338.400 | Y=0410.520-0424.840 | 62 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1696 | X=0433.130-0449.770 | Y=0415.520-0424.840 | 600
P=1696 | X=0469.370-0486.010 | Y=0415.520-0424.840 | 420
P=1696 | X=0505.390-0522.030 | Y=0415.520-0424.840 | 360
P=1696 | X=0106.850-0413.260 | Y=0428.040-0439.280 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1696 | X=0106.850-0148.530 | Y=0439.560-0450.800 | ≤1.000m.
P=1696 | X=0106.850-0330.020 | Y=0457.100-0468.340 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1696 | X=0106.850-0392.110 | Y=0474.860-0486.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1696 | X=0106.850-0406.270 | Y=0486.380-0497.620 | Quốc lộ 20 đoạn từ Đường Km 138 đến Hết ranh xã Phú Lâm (giáp
P=1696 | X=0106.850-0407.800 | Y=0497.900-0509.140 | ranh tỉnh Lâm Đồng) có hiện trạng là đường nhựa, bê tông xi măng:
P=1696 | X=0092.900-0104.020 | Y=0505.780-0515.100 | 63
P=1696 | X=0433.130-0449.770 | Y=0505.780-0515.100 | 410
P=1696 | X=0469.370-0486.010 | Y=0505.780-0515.100 | 290
P=1696 | X=0505.390-0522.030 | Y=0505.780-0515.100 | 250
P=1696 | X=0106.850-0392.640 | Y=0515.420-0526.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1696 | X=0106.850-0330.490 | Y=0532.970-0544.210 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1696 | X=0322.200-0407.180 | Y=0552.370-0561.690 | Giáp ranh tỉnh Lâm
P=1696 | X=0092.900-0175.810 | Y=0556.250-0567.490 | 64 Đường Km 138
P=1696 | X=0235.540-0284.100 | Y=0558.130-0567.450 | Quốc lộ 20
P=1696 | X=0433.130-0449.770 | Y=0558.130-0567.450 | 520
P=1696 | X=0469.370-0486.010 | Y=0558.130-0567.450 | 360
P=1696 | X=0505.390-0522.030 | Y=0558.130-0567.450 | 310
P=1696 | X=0322.200-0346.040 | Y=0562.010-0573.250 | Đồng
P=1696 | X=0106.850-0392.610 | Y=0579.770-0591.010 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Km 138
P=1696 | X=0106.850-0397.890 | Y=0591.290-0602.530 | đoạn từ Quốc lộ 20 đến Giáp ranh tỉnh Lâm Đồng có hiện trạng là
P=1696 | X=0106.850-0242.600 | Y=0602.810-0614.050 | đường nhựa, bê tông xi măng:
P=1696 | X=0092.900-0104.020 | Y=0610.690-0620.010 | 65
P=1696 | X=0433.130-0449.770 | Y=0610.690-0620.010 | 260
P=1696 | X=0469.370-0486.010 | Y=0610.690-0620.010 | 180
P=1696 | X=0505.390-0522.030 | Y=0610.690-0620.010 | 160
P=1696 | X=0106.850-0337.930 | Y=0620.350-0631.590 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1696 | X=0106.850-0384.020 | Y=0637.870-0649.110 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1696 | X=0106.850-0392.590 | Y=0655.630-0666.870 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Km 138
P=1696 | X=0106.850-0397.890 | Y=0667.150-0678.390 | đoạn từ Quốc lộ 20 đến Giáp ranh tỉnh Lâm Đồng có hiện trạng là
P=1696 | X=0092.900-0242.600 | Y=0677.670-0689.910 | 66 đường nhựa, bê tông xi măng:
P=1696 | X=0433.130-0449.770 | Y=0677.670-0686.990 | 220
P=1696 | X=0469.370-0486.010 | Y=0677.670-0686.990 | 150
P=1696 | X=0505.390-0522.030 | Y=0677.670-0686.990 | 130
P=1696 | X=0106.850-0338.400 | Y=0696.190-0707.430 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1697 | X=0106.850-0413.270 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1697 | X=0106.850-0148.530 | Y=0090.020-0101.260 | ≤1.000m.
P=1697 | X=0106.850-0330.020 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1697 | X=0106.850-0392.590 | Y=0125.330-0136.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Km 138
P=1697 | X=0106.850-0397.890 | Y=0136.850-0148.090 | đoạn từ Quốc lộ 20 đến Giáp ranh tỉnh Lâm Đồng có hiện trạng là
P=1697 | X=0106.850-0242.600 | Y=0148.370-0159.610 | đường nhựa, bê tông xi măng:
P=1697 | X=0092.900-0104.020 | Y=0156.250-0165.570 | 67
P=1697 | X=0433.130-0449.770 | Y=0156.250-0165.570 | 200
P=1697 | X=0469.370-0486.010 | Y=0156.250-0165.570 | 140
P=1697 | X=0505.390-0522.030 | Y=0156.250-0165.570 | 120
P=1697 | X=0106.850-0392.690 | Y=0165.650-0176.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1697 | X=0106.850-0330.490 | Y=0183.170-0194.410 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1697 | X=0106.850-0392.110 | Y=0200.950-0212.190 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1697 | X=0106.850-0411.820 | Y=0212.470-0223.710 | Đường Km 138 đoạn từ Quốc lộ 20 đến Giáp ranh tỉnh Lâm Đồng có
P=1697 | X=0106.850-0300.460 | Y=0223.990-0235.230 | hiện trạng là đường nhựa, bê tông xi măng:
P=1697 | X=0092.900-0104.020 | Y=0231.870-0241.190 | 68
P=1697 | X=0433.130-0449.770 | Y=0231.870-0241.190 | 230
P=1697 | X=0469.370-0486.010 | Y=0231.870-0241.190 | 160
P=1697 | X=0505.390-0522.030 | Y=0231.870-0241.190 | 140
P=1697 | X=0106.850-0337.930 | Y=0241.510-0252.750 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1697 | X=0106.850-0384.020 | Y=0259.030-0270.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1697 | X=0106.850-0392.110 | Y=0276.790-0288.030 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1697 | X=0106.850-0411.820 | Y=0288.340-0299.580 | Đường Km 138 đoạn từ Quốc lộ 20 đến Giáp ranh tỉnh Lâm Đồng có
P=1697 | X=0106.850-0300.460 | Y=0299.860-0311.100 | hiện trạng là đường nhựa, bê tông xi măng:
P=1697 | X=0092.900-0338.400 | Y=0317.380-0331.460 | 69 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1697 | X=0433.130-0449.770 | Y=0322.140-0331.460 | 200
P=1697 | X=0469.370-0486.010 | Y=0322.140-0331.460 | 140
P=1697 | X=0505.390-0522.030 | Y=0322.140-0331.460 | 120
P=1697 | X=0106.850-0413.270 | Y=0334.900-0346.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1697 | X=0106.850-0148.530 | Y=0346.420-0357.660 | ≤1.000m.
P=1697 | X=0106.850-0330.020 | Y=0363.700-0374.940 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1697 | X=0106.850-0392.120 | Y=0381.480-0392.720 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1697 | X=0106.850-0411.820 | Y=0393.000-0404.240 | Đường Km 138 đoạn từ Quốc lộ 20 đến Giáp ranh tỉnh Lâm Đồng có
P=1697 | X=0106.850-0300.460 | Y=0404.520-0415.760 | hiện trạng là đường nhựa, bê tông xi măng:
P=1697 | X=0092.900-0104.020 | Y=0412.400-0421.720 | 70
P=1697 | X=0433.130-0449.770 | Y=0412.400-0421.720 | 180
P=1697 | X=0469.370-0486.010 | Y=0412.400-0421.720 | 130
P=1697 | X=0505.390-0522.030 | Y=0412.400-0421.720 | 110
P=1697 | X=0106.850-0392.640 | Y=0422.040-0433.280 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1697 | X=0106.850-0330.490 | Y=0439.560-0450.800 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1697 | X=0322.200-0407.180 | Y=0459.220-0468.540 | Giáp ranh tỉnh Lâm
P=1697 | X=0092.900-0176.300 | Y=0463.100-0474.340 | 71 Đường Phú Lợi
P=1697 | X=0235.540-0284.100 | Y=0464.980-0474.300 | Quốc lộ 20
P=1697 | X=0433.130-0449.770 | Y=0464.980-0474.300 | 520
P=1697 | X=0469.370-0486.010 | Y=0464.980-0474.300 | 360
P=1697 | X=0505.390-0522.030 | Y=0464.980-0474.300 | 310
P=1697 | X=0322.200-0346.040 | Y=0468.860-0480.100 | Đồng
P=1697 | X=0106.850-0392.860 | Y=0486.620-0497.860 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú Lợi
P=1697 | X=0106.850-0397.890 | Y=0498.140-0509.380 | đoạn từ Quốc lộ 20 đến Giáp ranh tỉnh Lâm Đồng có hiện trạng là
P=1697 | X=0106.850-0242.600 | Y=0509.660-0520.900 | đường nhựa, bê tông xi măng:
P=1697 | X=0092.900-0104.020 | Y=0517.540-0526.860 | 72
P=1697 | X=0433.130-0449.770 | Y=0517.540-0526.860 | 260
P=1697 | X=0469.370-0486.010 | Y=0517.540-0526.860 | 180
P=1697 | X=0505.390-0522.030 | Y=0517.540-0526.860 | 160
P=1697 | X=0106.850-0337.930 | Y=0527.180-0538.420 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1697 | X=0106.850-0384.020 | Y=0544.490-0555.730 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1697 | X=0106.850-0392.860 | Y=0562.250-0573.490 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú Lợi
P=1697 | X=0106.850-0397.890 | Y=0573.770-0585.010 | đoạn từ Quốc lộ 20 đến Giáp ranh tỉnh Lâm Đồng có hiện trạng là
P=1697 | X=0106.850-0242.600 | Y=0585.290-0596.530 | đường nhựa, bê tông xi măng:
P=1697 | X=0092.900-0338.400 | Y=0602.810-0617.130 | 73 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1697 | X=0433.130-0449.770 | Y=0607.810-0617.130 | 220
P=1697 | X=0469.370-0486.010 | Y=0607.810-0617.130 | 150
P=1697 | X=0505.390-0522.030 | Y=0607.810-0617.130 | 130
P=1697 | X=0106.850-0413.270 | Y=0620.350-0631.590 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1697 | X=0106.850-0148.530 | Y=0631.870-0643.110 | ≤1.000m.
P=1697 | X=0106.850-0330.020 | Y=0649.390-0660.630 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1697 | X=0106.850-0392.860 | Y=0667.150-0678.390 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú Lợi
P=1697 | X=0106.850-0397.890 | Y=0678.670-0689.910 | đoạn từ Quốc lộ 20 đến Giáp ranh tỉnh Lâm Đồng có hiện trạng là
P=1697 | X=0092.900-0242.600 | Y=0689.190-0701.430 | 74 đường nhựa, bê tông xi măng:
P=1697 | X=0433.130-0449.770 | Y=0689.190-0698.510 | 200
P=1697 | X=0469.370-0486.010 | Y=0689.190-0698.510 | 140
P=1697 | X=0505.390-0522.030 | Y=0689.190-0698.510 | 120
P=1697 | X=0106.850-0392.640 | Y=0707.730-0718.970 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1698 | X=0106.850-0330.490 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1698 | X=0106.850-0392.110 | Y=0096.260-0107.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1698 | X=0106.850-0412.300 | Y=0107.780-0119.020 | Đường Phú Lợi đoạn từ Quốc lộ 20 đến Giáp ranh tỉnh Lâm Đồng có
P=1698 | X=0106.850-0300.460 | Y=0119.330-0130.570 | hiện trạng là đường nhựa, bê tông xi măng:
P=1698 | X=0092.900-0104.020 | Y=0127.210-0136.530 | 75
P=1698 | X=0433.130-0449.770 | Y=0127.210-0136.530 | 230
P=1698 | X=0469.370-0486.010 | Y=0127.210-0136.530 | 160
P=1698 | X=0505.390-0522.030 | Y=0127.210-0136.530 | 140
P=1698 | X=0106.850-0337.930 | Y=0136.850-0148.090 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1698 | X=0106.850-0384.020 | Y=0154.370-0165.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1698 | X=0106.850-0392.110 | Y=0172.130-0183.370 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1698 | X=0106.850-0412.300 | Y=0183.410-0194.650 | Đường Phú Lợi đoạn từ Quốc lộ 20 đến Giáp ranh tỉnh Lâm Đồng có
P=1698 | X=0106.850-0300.460 | Y=0194.930-0206.170 | hiện trạng là đường nhựa, bê tông xi măng:
P=1698 | X=0092.900-0338.400 | Y=0212.470-0226.790 | 76 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1698 | X=0433.130-0449.770 | Y=0217.470-0226.790 | 200
P=1698 | X=0469.370-0486.010 | Y=0217.470-0226.790 | 140
P=1698 | X=0505.390-0522.030 | Y=0217.470-0226.790 | 120
P=1698 | X=0106.850-0413.270 | Y=0229.990-0241.230 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1698 | X=0106.850-0148.530 | Y=0241.510-0252.750 | ≤1.000m.
P=1698 | X=0106.850-0330.020 | Y=0259.030-0270.270 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1698 | X=0106.850-0392.110 | Y=0276.790-0288.030 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1698 | X=0106.850-0412.300 | Y=0288.340-0299.580 | Đường Phú Lợi đoạn từ Quốc lộ 20 đến Giáp ranh tỉnh Lâm Đồng có
P=1698 | X=0106.850-0300.460 | Y=0299.860-0311.100 | hiện trạng là đường nhựa, bê tông xi măng:
P=1698 | X=0092.900-0104.020 | Y=0307.740-0317.060 | 77
P=1698 | X=0433.130-0449.770 | Y=0307.740-0317.060 | 180
P=1698 | X=0469.370-0486.010 | Y=0307.740-0317.060 | 130
P=1698 | X=0505.390-0522.030 | Y=0307.740-0317.060 | 110
P=1698 | X=0106.850-0392.640 | Y=0317.380-0328.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1698 | X=0106.850-0330.490 | Y=0334.900-0346.140 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1698 | X=0322.200-0413.980 | Y=0352.660-0363.900 | Hết ranh thửa đất số
P=1698 | X=0322.200-0409.420 | Y=0363.940-0375.180 | 275 tờ BĐĐC số 92
P=1698 | X=0322.200-0403.980 | Y=0377.360-0386.680 | về bên phải và hết
P=1698 | X=0092.900-0198.630 | Y=0381.240-0392.480 | 78 Đường Phú Thắng 2
P=1698 | X=0235.540-0284.100 | Y=0383.120-0392.440 | Quốc lộ 20
P=1698 | X=0433.130-0449.770 | Y=0383.120-0392.440 | 520
P=1698 | X=0469.370-0486.010 | Y=0383.120-0392.440 | 360
P=1698 | X=0505.390-0522.030 | Y=0383.120-0392.440 | 310
P=1698 | X=0322.200-0412.390 | Y=0387.000-0398.240 | ranh thửa đất số 81,
P=1698 | X=0322.200-0403.670 | Y=0398.520-0409.760 | tờ BĐĐC số 92 về
P=1698 | X=0322.200-0355.630 | Y=0411.920-0421.240 | bên trái
P=1698 | X=0106.850-0415.420 | Y=0427.800-0439.040 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú Thắng 2
P=1698 | X=0106.850-0410.150 | Y=0439.320-0450.560 | đoạn từ Quốc lộ 20 đến Hết ranh thửa đất số 275 tờ BĐĐC số 92 về
P=1698 | X=0106.850-0401.730 | Y=0450.860-0462.100 | bên phải và hết ranh thửa đất số 81, tờ BĐĐC số 92 về bên trái có
P=1698 | X=0092.900-0300.460 | Y=0462.380-0473.820 | 79 hiện trạng là đường nhựa, bê tông xi măng:
P=1698 | X=0433.130-0449.770 | Y=0464.500-0473.820 | 260
P=1698 | X=0469.370-0486.010 | Y=0464.500-0473.820 | 180
P=1698 | X=0505.390-0522.030 | Y=0464.500-0473.820 | 160
P=1698 | X=0106.850-0337.930 | Y=0479.900-0491.140 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1698 | X=0106.850-0384.020 | Y=0497.420-0508.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1698 | X=0106.850-0415.420 | Y=0515.180-0526.420 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú Thắng 2
P=1698 | X=0106.850-0410.150 | Y=0526.460-0537.700 | đoạn từ Quốc lộ 20 đến Hết ranh thửa đất số 275 tờ BĐĐC số 92 về
P=1698 | X=0106.850-0401.730 | Y=0538.010-0549.250 | bên phải và hết ranh thửa đất số 81, tờ BĐĐC số 92 về bên trái có
P=1698 | X=0106.850-0300.460 | Y=0549.530-0560.770 | hiện trạng là đường nhựa, bê tông xi măng:
P=1698 | X=0092.900-0338.400 | Y=0566.290-0578.290 | 80 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1698 | X=0433.130-0449.770 | Y=0566.290-0575.610 | 220
P=1698 | X=0469.370-0486.010 | Y=0566.290-0575.610 | 150
P=1698 | X=0505.390-0522.030 | Y=0566.290-0575.610 | 130
P=1698 | X=0106.850-0413.270 | Y=0584.570-0595.810 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1698 | X=0106.850-0148.530 | Y=0596.090-0607.330 | ≤1.000m.
P=1698 | X=0106.850-0330.020 | Y=0613.610-0624.850 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1698 | X=0106.850-0415.420 | Y=0631.390-0642.630 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú Thắng 2
P=1698 | X=0106.850-0410.150 | Y=0642.910-0654.150 | đoạn từ Quốc lộ 20 đến Hết ranh thửa đất số 275 tờ BĐĐC số 92 về
P=1698 | X=0106.850-0401.730 | Y=0654.430-0665.670 | bên phải và hết ranh thửa đất số 81, tờ BĐĐC số 92 về bên trái có
P=1698 | X=0092.900-0300.460 | Y=0665.950-0677.390 | 81 hiện trạng là đường nhựa, bê tông xi măng:
P=1698 | X=0433.130-0449.770 | Y=0668.070-0677.390 | 200
P=1698 | X=0469.370-0486.010 | Y=0668.070-0677.390 | 140
P=1698 | X=0505.390-0522.030 | Y=0668.070-0677.390 | 120
P=1698 | X=0106.850-0392.640 | Y=0683.470-0694.710 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1698 | X=0106.850-0330.490 | Y=0700.770-0712.010 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1699 | X=0106.850-0392.110 | Y=0078.500-0089.740 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1699 | X=0106.850-0401.020 | Y=0090.020-0101.260 | Đường Phú Thắng 2 đoạn từ Quốc lộ 20 đến Hết ranh thửa đất số
P=1699 | X=0106.850-0414.700 | Y=0101.540-0112.780 | 275 tờ BĐĐC số 92 về bên phải và hết ranh thửa đất số 81, tờ BĐĐC
P=1699 | X=0092.900-0390.270 | Y=0113.060-0124.500 | 82 số 92 về bên trái có hiện trạng là đường nhựa, bê tông xi măng:
P=1699 | X=0433.130-0449.770 | Y=0115.180-0124.500 | 230
P=1699 | X=0469.370-0486.010 | Y=0115.180-0124.500 | 160
P=1699 | X=0505.390-0522.030 | Y=0115.180-0124.500 | 140
P=1699 | X=0106.850-0337.930 | Y=0130.610-0141.850 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1699 | X=0106.850-0384.020 | Y=0148.130-0159.370 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1699 | X=0106.850-0392.110 | Y=0165.650-0176.890 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1699 | X=0106.850-0401.020 | Y=0177.170-0188.410 | Đường Phú Thắng 2 đoạn từ Quốc lộ 20 đến Hết ranh thửa đất số
P=1699 | X=0106.850-0414.700 | Y=0188.690-0199.930 | 275 tờ BĐĐC số 92 về bên phải và hết ranh thửa đất số 81, tờ BĐĐC
P=1699 | X=0106.850-0390.270 | Y=0200.230-0211.470 | số 92 về bên trái có hiện trạng là đường nhựa, bê tông xi măng:
P=1699 | X=0092.900-0338.400 | Y=0216.990-0228.990 | 83 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1699 | X=0433.130-0449.770 | Y=0216.990-0226.310 | 200
P=1699 | X=0469.370-0486.010 | Y=0216.990-0226.310 | 140
P=1699 | X=0505.390-0522.030 | Y=0216.990-0226.310 | 120
P=1699 | X=0106.850-0413.270 | Y=0235.270-0246.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1699 | X=0106.850-0148.530 | Y=0246.790-0258.030 | ≤1.000m.
P=1699 | X=0106.850-0330.020 | Y=0264.310-0275.550 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1699 | X=0106.850-0392.110 | Y=0282.100-0293.340 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1699 | X=0106.850-0401.020 | Y=0293.620-0304.860 | Đường Phú Thắng 2 đoạn từ Quốc lộ 20 đến Hết ranh thửa đất số
P=1699 | X=0106.850-0414.700 | Y=0305.140-0316.380 | 275 tờ BĐĐC số 92 về bên phải và hết ranh thửa đất số 81, tờ BĐĐC
P=1699 | X=0092.900-0390.270 | Y=0316.660-0328.100 | 84 số 92 về bên trái có hiện trạng là đường nhựa, bê tông xi măng:
P=1699 | X=0433.130-0449.770 | Y=0318.780-0328.100 | 180
P=1699 | X=0469.370-0486.010 | Y=0318.780-0328.100 | 130
P=1699 | X=0505.390-0522.030 | Y=0318.780-0328.100 | 110
P=1699 | X=0106.850-0392.640 | Y=0333.940-0345.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1699 | X=0106.850-0330.500 | Y=0351.460-0362.700 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1699 | X=0322.200-0413.980 | Y=0369.240-0380.480 | Hết ranh thửa đất số
P=1699 | X=0322.200-0403.900 | Y=0380.760-0392.000 | 87 tờ BĐĐC số 92
P=1699 | X=0322.200-0403.980 | Y=0394.160-0403.480 | về bên phải và hết
P=1699 | X=0092.900-0198.630 | Y=0398.040-0409.280 | 85 Đường Phú Thắng 1
P=1699 | X=0235.540-0284.100 | Y=0399.920-0409.240 | Quốc lộ 20
P=1699 | X=0433.130-0449.770 | Y=0399.920-0409.240 | 520
P=1699 | X=0469.370-0486.010 | Y=0399.920-0409.240 | 360
P=1699 | X=0505.390-0522.030 | Y=0399.920-0409.240 | 310
P=1699 | X=0322.200-0395.740 | Y=0403.800-0415.040 | ranh thửa đất số
P=1699 | X=0322.200-0412.300 | Y=0415.320-0426.560 | 350, tờ BĐĐC số 92
P=1699 | X=0322.200-0369.080 | Y=0428.720-0438.040 | về bên trái
P=1699 | X=0106.850-0415.420 | Y=0444.600-0455.840 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú Thắng 1
P=1699 | X=0106.850-0404.390 | Y=0456.140-0467.380 | đoạn từ Quốc lộ 20 đến Hết ranh thửa đất số 87 tờ BĐĐC số 92 về
P=1699 | X=0106.850-0407.250 | Y=0467.660-0478.900 | bên phải và hết ranh thửa đất số 350, tờ BĐĐC số 92 về bên trái có
P=1699 | X=0092.900-0300.460 | Y=0479.180-0490.620 | 86 hiện trạng là đường nhựa, bê tông xi măng:
P=1699 | X=0433.130-0449.770 | Y=0481.300-0490.620 | 260
P=1699 | X=0469.370-0486.010 | Y=0481.300-0490.620 | 180
P=1699 | X=0505.390-0522.030 | Y=0481.300-0490.620 | 160
P=1699 | X=0106.850-0337.930 | Y=0496.460-0507.700 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1699 | X=0106.850-0384.050 | Y=0513.980-0525.220 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1699 | X=0106.850-0415.420 | Y=0531.740-0542.980 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú Thắng 1
P=1699 | X=0106.850-0404.390 | Y=0543.290-0554.530 | đoạn từ Quốc lộ 20 đến Hết ranh thửa đất số 87 tờ BĐĐC số 92 về
P=1699 | X=0106.850-0407.250 | Y=0554.810-0566.050 | bên phải và hết ranh thửa đất số 350, tờ BĐĐC số 92 về bên trái có
P=1699 | X=0106.850-0300.500 | Y=0566.330-0577.570 | hiện trạng là đường nhựa, bê tông xi măng:
