TABLE=030 | AREA=Xã Cẩm Mỹ | SECTION=non-agricultural | SEGMENTS=1
P=1097 | X=0111.170-0304.780 | Y=0590.090-0601.330 | hiện trạng là đường nhựa, bê tông xi măng:
P=1097 | X=0094.820-0342.720 | Y=0606.850-0618.850 | 48 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1097 | X=0414.380-0431.020 | Y=0606.850-0616.170 | 530
P=1097 | X=0461.930-0478.570 | Y=0606.850-0616.170 | 370
P=1097 | X=0505.630-0522.270 | Y=0606.850-0616.170 | 320
P=1097 | X=0111.170-0364.480 | Y=0625.150-0636.390 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1097 | X=0111.170-0206.120 | Y=0636.670-0647.910 | >500m đến ≤1.000m.
P=1097 | X=0111.170-0334.340 | Y=0654.190-0665.430 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1097 | X=0111.170-0384.680 | Y=0671.950-0683.190 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1097 | X=0111.170-0366.210 | Y=0683.470-0694.710 | ra Đường Nhân Nghĩa - Xuân Đông đoạn từ Nghĩa địa Lò
P=1097 | X=0094.820-0105.940 | Y=0691.110-0700.430 | 49
P=1097 | X=0414.380-0431.020 | Y=0691.110-0700.430 | 420
P=1097 | X=0461.930-0478.570 | Y=0691.110-0700.430 | 290
P=1097 | X=0505.630-0522.270 | Y=0691.110-0700.430 | 250
P=1097 | X=0111.170-0371.470 | Y=0694.750-0705.990 | Than - Bảo Bình đến Giáp Trường Tiểu học Nguyễn Du có
P=1097 | X=0111.170-0304.780 | Y=0706.290-0717.530 | hiện trạng là đường nhựa, bê tông xi măng:
P=1098 | X=0111.170-0352.280 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1098 | X=0111.170-0153.310 | Y=0091.900-0101.220 | >1.000m.
P=1098 | X=0111.170-0334.810 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1098 | X=0111.170-0205.270 | Y=0125.330-0136.570 | Đường Nhân Nghĩa -
P=1098 | X=0221.350-0301.650 | Y=0125.330-0136.570 | Giáp Trường Tiểu
P=1098 | X=0303.960-0380.770 | Y=0131.090-0142.330 | Đường tỉnh 765B
P=1098 | X=0094.820-0105.940 | Y=0132.970-0142.290 | 50
P=1098 | X=0405.980-0431.030 | Y=0132.970-0142.290 | 2.100
P=1098 | X=0453.530-0478.580 | Y=0132.970-0142.290 | 1.500
P=1098 | X=0497.230-0522.280 | Y=0132.970-0142.290 | 1.300
P=1098 | X=0111.170-0160.950 | Y=0136.850-0148.090 | Xuân Đông
P=1098 | X=0221.350-0290.340 | Y=0138.730-0148.050 | học Nguyễn Du
P=1098 | X=0111.170-0386.130 | Y=0154.610-0165.850 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nhân
P=1098 | X=0111.170-0388.540 | Y=0166.130-0177.370 | Nghĩa - Xuân Đông đoạn từ Giáp Trường Tiểu học Nguyễn Du
P=1098 | X=0111.170-0386.360 | Y=0177.410-0188.650 | đến Đường tỉnh 765B có hiện trạng là đường nhựa, bê tông xi
P=1098 | X=0094.820-0139.170 | Y=0188.930-0200.370 | 51 măng:
P=1098 | X=0405.980-0431.030 | Y=0191.050-0200.370 | 1.100
P=1098 | X=0461.930-0478.570 | Y=0191.050-0200.370 | 770
P=1098 | X=0505.630-0522.270 | Y=0191.050-0200.370 | 660
P=1098 | X=0111.170-0342.250 | Y=0206.470-0217.710 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1098 | X=0111.170-0388.360 | Y=0223.990-0235.230 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1098 | X=0111.170-0386.130 | Y=0241.750-0252.990 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nhân
P=1098 | X=0111.170-0388.540 | Y=0253.270-0264.510 | Nghĩa - Xuân Đông đoạn từ Giáp Trường Tiểu học Nguyễn Du
P=1098 | X=0111.170-0386.360 | Y=0264.790-0276.030 | đến Đường tỉnh 765B có hiện trạng là đường nhựa, bê tông xi
P=1098 | X=0111.170-0139.170 | Y=0276.310-0287.550 | măng:
P=1098 | X=0094.820-0342.720 | Y=0292.860-0305.100 | 52 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1098 | X=0414.380-0431.020 | Y=0292.860-0302.180 | 700
P=1098 | X=0461.930-0478.570 | Y=0292.860-0302.180 | 490
P=1098 | X=0505.630-0522.270 | Y=0292.860-0302.180 | 420
P=1098 | X=0111.170-0364.480 | Y=0311.380-0322.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1098 | X=0111.170-0206.120 | Y=0322.900-0334.140 | >500m đến ≤1.000m.
P=1098 | X=0111.170-0334.340 | Y=0340.420-0351.660 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1098 | X=0111.170-0386.130 | Y=0357.940-0369.180 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nhân
P=1098 | X=0111.170-0388.540 | Y=0369.480-0380.720 | Nghĩa - Xuân Đông đoạn từ Giáp Trường Tiểu học Nguyễn Du
P=1098 | X=0111.170-0386.360 | Y=0381.000-0392.240 | đến Đường tỉnh 765B có hiện trạng là đường nhựa, bê tông xi
P=1098 | X=0111.170-0139.170 | Y=0392.520-0403.760 | măng:
P=1098 | X=0094.820-0105.940 | Y=0400.400-0409.720 | 53
P=1098 | X=0414.380-0431.020 | Y=0400.400-0409.720 | 470
P=1098 | X=0461.930-0478.570 | Y=0400.400-0409.720 | 330
P=1098 | X=0505.630-0522.270 | Y=0400.400-0409.720 | 280
P=1098 | X=0111.170-0352.280 | Y=0410.040-0421.280 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1098 | X=0111.170-0153.310 | Y=0423.440-0432.760 | >1.000m.
P=1098 | X=0111.170-0334.810 | Y=0439.080-0450.320 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1098 | X=0111.170-0384.680 | Y=0456.860-0468.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1098 | X=0111.170-0389.980 | Y=0468.380-0479.620 | ra Đường Nhân Nghĩa - Xuân Đông đoạn từ Giáp Trường Tiểu
P=1098 | X=0111.170-0383.020 | Y=0479.900-0491.140 | học Nguyễn Du đến Đường tỉnh 765B có hiện trạng là đường
P=1098 | X=0094.820-0214.280 | Y=0491.420-0502.860 | 54 nhựa, bê tông xi măng:
P=1098 | X=0414.380-0431.020 | Y=0493.540-0502.860 | 990
P=1098 | X=0461.930-0478.570 | Y=0493.540-0502.860 | 690
P=1098 | X=0505.630-0522.270 | Y=0493.540-0502.860 | 590
P=1098 | X=0111.170-0342.250 | Y=0508.940-0520.180 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1098 | X=0111.170-0388.360 | Y=0526.220-0537.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1098 | X=0111.170-0384.680 | Y=0544.010-0555.250 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1098 | X=0111.170-0389.980 | Y=0555.530-0566.770 | ra Đường Nhân Nghĩa - Xuân Đông đoạn từ Giáp Trường Tiểu
P=1098 | X=0111.170-0383.020 | Y=0567.050-0578.290 | học Nguyễn Du đến Đường tỉnh 765B có hiện trạng là đường
P=1098 | X=0111.170-0214.280 | Y=0578.570-0589.810 | nhựa, bê tông xi măng:
P=1098 | X=0094.820-0342.720 | Y=0595.330-0607.330 | 55 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1098 | X=0414.380-0431.020 | Y=0595.330-0604.650 | 630
P=1098 | X=0461.930-0478.570 | Y=0595.330-0604.650 | 440
P=1098 | X=0505.630-0522.270 | Y=0595.330-0604.650 | 380
P=1098 | X=0111.170-0364.480 | Y=0613.610-0624.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1098 | X=0111.170-0206.120 | Y=0625.150-0636.390 | >500m đến ≤1.000m.
P=1098 | X=0111.170-0334.340 | Y=0642.670-0653.910 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1098 | X=0111.170-0384.680 | Y=0660.430-0671.670 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1098 | X=0111.170-0389.980 | Y=0671.950-0683.190 | ra Đường Nhân Nghĩa - Xuân Đông đoạn từ Giáp Trường Tiểu
P=1098 | X=0094.820-0105.940 | Y=0679.590-0688.910 | 56
P=1098 | X=0414.380-0431.020 | Y=0679.590-0688.910 | 420
P=1098 | X=0461.930-0478.570 | Y=0679.590-0688.910 | 290
P=1098 | X=0505.630-0522.270 | Y=0679.590-0688.910 | 250
P=1098 | X=0111.170-0383.020 | Y=0683.470-0694.710 | học Nguyễn Du đến Đường tỉnh 765B có hiện trạng là đường
P=1098 | X=0111.170-0214.280 | Y=0694.750-0705.990 | nhựa, bê tông xi măng:
P=1099 | X=0111.170-0352.280 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1099 | X=0111.170-0153.310 | Y=0091.900-0101.220 | >1.000m.
P=1099 | X=0111.170-0334.810 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1099 | X=0111.170-0205.270 | Y=0125.330-0136.570 | Đường Nhân Nghĩa -
P=1099 | X=0303.960-0387.320 | Y=0127.210-0136.530 | Giáp ranh xã Xuân
P=1099 | X=0221.350-0298.190 | Y=0131.090-0142.330 | Đường tỉnh 765B
P=1099 | X=0094.820-0105.940 | Y=0132.970-0142.290 | 57
P=1099 | X=0405.980-0431.030 | Y=0132.970-0142.290 | 1.600
P=1099 | X=0453.530-0478.580 | Y=0132.970-0142.290 | 1.100
P=1099 | X=0505.630-0522.270 | Y=0132.970-0142.290 | 960
P=1099 | X=0111.170-0160.950 | Y=0136.850-0148.090 | Xuân Đông
P=1099 | X=0303.960-0327.820 | Y=0136.850-0148.090 | Đông
P=1099 | X=0111.170-0386.130 | Y=0154.610-0165.850 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nhân
P=1099 | X=0111.170-0379.640 | Y=0166.130-0177.370 | Nghĩa - Xuân Đông đoạn từ Đường tỉnh 765B đến Giáp ranh
P=1099 | X=0111.170-0384.270 | Y=0177.410-0188.650 | xã Xuân Đông có hiện trạng là đường nhựa, bê tông xi măng:
P=1099 | X=0094.820-0105.940 | Y=0185.290-0194.610 | 58
P=1099 | X=0414.380-0431.020 | Y=0185.290-0194.610 | 820
P=1099 | X=0461.930-0478.570 | Y=0185.290-0194.610 | 570
P=1099 | X=0505.630-0522.270 | Y=0185.290-0194.610 | 490
P=1099 | X=0111.170-0342.250 | Y=0194.930-0206.170 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1099 | X=0111.170-0388.360 | Y=0212.470-0223.710 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1099 | X=0111.170-0386.130 | Y=0230.230-0241.470 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nhân
P=1099 | X=0111.170-0379.640 | Y=0241.750-0252.990 | Nghĩa - Xuân Đông đoạn từ Đường tỉnh 765B đến Giáp ranh
P=1099 | X=0111.170-0384.270 | Y=0253.270-0264.510 | xã Xuân Đông có hiện trạng là đường nhựa, bê tông xi măng:
P=1099 | X=0094.820-0342.720 | Y=0270.790-0284.870 | 59 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1099 | X=0414.380-0431.020 | Y=0275.550-0284.870 | 640
P=1099 | X=0461.930-0478.570 | Y=0275.550-0284.870 | 450
P=1099 | X=0505.630-0522.270 | Y=0275.550-0284.870 | 380
P=1099 | X=0111.170-0364.480 | Y=0288.340-0299.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1099 | X=0111.170-0206.120 | Y=0299.860-0311.100 | >500m đến ≤1.000m.
P=1099 | X=0111.170-0334.340 | Y=0317.380-0328.620 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1099 | X=0111.170-0386.130 | Y=0335.140-0346.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nhân
P=1099 | X=0111.170-0379.640 | Y=0346.660-0357.900 | Nghĩa - Xuân Đông đoạn từ Đường tỉnh 765B đến Giáp ranh
P=1099 | X=0111.170-0384.270 | Y=0357.940-0369.180 | xã Xuân Đông có hiện trạng là đường nhựa, bê tông xi măng:
P=1099 | X=0094.820-0105.940 | Y=0371.600-0380.920 | 60
P=1099 | X=0414.380-0431.020 | Y=0371.600-0380.920 | 470
P=1099 | X=0461.930-0478.570 | Y=0371.600-0380.920 | 330
P=1099 | X=0505.630-0522.270 | Y=0371.600-0380.920 | 280
P=1099 | X=0111.170-0352.290 | Y=0375.480-0386.720 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1099 | X=0111.170-0153.310 | Y=0388.880-0398.200 | >1.000m.
P=1099 | X=0111.170-0334.810 | Y=0404.520-0415.760 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1099 | X=0111.170-0384.680 | Y=0422.280-0433.520 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1099 | X=0111.170-0386.290 | Y=0433.800-0445.040 | ra Đường Nhân Nghĩa - Xuân Đông đoạn từ Đường tỉnh 765B
P=1099 | X=0111.170-0387.580 | Y=0445.320-0456.560 | đến Giáp ranh xã Xuân Đông có hiện trạng là đường nhựa, bê
P=1099 | X=0094.820-0171.330 | Y=0456.860-0468.300 | 61 tông xi măng:
P=1099 | X=0414.380-0431.020 | Y=0458.980-0468.300 | 740
P=1099 | X=0461.930-0478.570 | Y=0458.980-0468.300 | 520
P=1099 | X=0505.630-0522.270 | Y=0458.980-0468.300 | 440
P=1099 | X=0111.170-0342.250 | Y=0474.380-0485.620 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1099 | X=0111.170-0388.360 | Y=0491.900-0503.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1099 | X=0111.170-0384.680 | Y=0509.660-0520.900 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1099 | X=0111.170-0386.290 | Y=0521.180-0532.420 | ra Đường Nhân Nghĩa - Xuân Đông đoạn từ Đường tỉnh 765B
P=1099 | X=0111.170-0387.580 | Y=0532.490-0543.730 | đến Giáp ranh xã Xuân Đông có hiện trạng là đường nhựa, bê
P=1099 | X=0111.170-0171.330 | Y=0544.010-0555.250 | tông xi măng:
P=1099 | X=0094.820-0342.720 | Y=0560.770-0572.770 | 62 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1099 | X=0414.380-0431.020 | Y=0560.770-0570.090 | 580
P=1099 | X=0461.930-0478.570 | Y=0560.770-0570.090 | 410
P=1099 | X=0505.630-0522.270 | Y=0560.770-0570.090 | 350
P=1099 | X=0111.170-0364.480 | Y=0579.050-0590.290 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1099 | X=0111.170-0206.120 | Y=0590.570-0601.810 | >500m đến ≤1.000m.
P=1099 | X=0111.170-0334.340 | Y=0608.090-0619.330 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1099 | X=0111.170-0384.680 | Y=0625.870-0637.110 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1099 | X=0111.170-0386.290 | Y=0637.390-0648.630 | ra Đường Nhân Nghĩa - Xuân Đông đoạn từ Đường tỉnh 765B
P=1099 | X=0111.170-0387.580 | Y=0648.910-0660.150 | đến Giáp ranh xã Xuân Đông có hiện trạng là đường nhựa, bê
P=1099 | X=0111.170-0171.330 | Y=0660.430-0671.670 | tông xi măng:
P=1099 | X=0094.820-0105.940 | Y=0668.310-0677.630 | 63
P=1099 | X=0414.380-0431.020 | Y=0668.310-0677.630 | 420
P=1099 | X=0461.930-0478.570 | Y=0668.310-0677.630 | 290
P=1099 | X=0505.630-0522.270 | Y=0668.310-0677.630 | 250
P=1099 | X=0111.170-0352.280 | Y=0677.950-0689.190 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1099 | X=0111.170-0153.310 | Y=0691.350-0700.670 | >1.000m.
P=1099 | X=0111.170-0334.810 | Y=0706.770-0718.010 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1100 | X=0221.350-0279.790 | Y=0078.500-0089.740 | Đường Nhân
P=1100 | X=0111.170-0214.960 | Y=0084.260-0095.500 | Đường Chốt Mỹ - Xuân
P=1100 | X=0303.960-0387.320 | Y=0086.140-0095.460 | Giáp ranh xã Xuân
P=1100 | X=0221.350-0280.270 | Y=0090.020-0101.260 | Nghĩa - Xuân
P=1100 | X=0094.820-0105.940 | Y=0091.900-0101.220 | 64
P=1100 | X=0405.980-0431.030 | Y=0091.900-0101.220 | 1.400
P=1100 | X=0461.930-0478.570 | Y=0091.900-0101.220 | 980
P=1100 | X=0505.630-0522.270 | Y=0091.900-0101.220 | 840
P=1100 | X=0303.960-0327.820 | Y=0095.780-0107.020 | Đông
P=1100 | X=0111.170-0127.960 | Y=0097.660-0106.980 | Tây
P=1100 | X=0221.350-0245.210 | Y=0101.540-0112.780 | Đông
P=1100 | X=0111.170-0383.340 | Y=0119.330-0130.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Chốt
P=1100 | X=0111.170-0382.310 | Y=0130.850-0142.090 | Mỹ - Xuân Tây đoạn từ Đường Nhân Nghĩa - Xuân Đông đến
P=1100 | X=0111.170-0390.210 | Y=0142.370-0153.610 | Giáp ranh xã Xuân Đông có hiện trạng là đường nhựa, bê tông
P=1100 | X=0094.820-0149.000 | Y=0153.650-0165.330 | 65 xi măng:
P=1100 | X=0414.380-0431.020 | Y=0156.010-0165.330 | 700
P=1100 | X=0461.930-0478.570 | Y=0156.010-0165.330 | 490
P=1100 | X=0505.630-0522.270 | Y=0156.010-0165.330 | 420
P=1100 | X=0111.170-0342.250 | Y=0171.170-0182.410 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1100 | X=0111.170-0388.360 | Y=0188.690-0199.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1100 | X=0111.170-0383.340 | Y=0206.470-0217.710 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Chốt
P=1100 | X=0111.170-0382.310 | Y=0217.990-0229.230 | Mỹ - Xuân Tây đoạn từ Đường Nhân Nghĩa - Xuân Đông đến
P=1100 | X=0111.170-0390.210 | Y=0229.510-0240.750 | Giáp ranh xã Xuân Đông có hiện trạng là đường nhựa, bê tông
P=1100 | X=0111.170-0149.000 | Y=0241.030-0252.270 | xi măng:
P=1100 | X=0094.820-0342.720 | Y=0257.550-0269.790 | 66 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1100 | X=0414.380-0431.020 | Y=0257.550-0266.870 | 590
P=1100 | X=0461.930-0478.570 | Y=0257.550-0266.870 | 410
P=1100 | X=0505.630-0522.270 | Y=0257.550-0266.870 | 350
P=1100 | X=0111.170-0364.490 | Y=0276.070-0287.310 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1100 | X=0111.170-0206.120 | Y=0287.620-0298.860 | >500m đến ≤1.000m.
P=1100 | X=0111.170-0334.340 | Y=0305.140-0316.380 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1100 | X=0111.170-0383.340 | Y=0322.900-0334.140 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Chốt
P=1100 | X=0111.170-0382.310 | Y=0334.420-0345.660 | Mỹ - Xuân Tây đoạn từ Đường Nhân Nghĩa - Xuân Đông đến
P=1100 | X=0111.170-0390.210 | Y=0345.700-0356.940 | Giáp ranh xã Xuân Đông có hiện trạng là đường nhựa, bê tông
P=1100 | X=0111.170-0149.000 | Y=0357.220-0368.460 | xi măng:
P=1100 | X=0094.820-0105.940 | Y=0365.100-0374.420 | 67
P=1100 | X=0414.380-0431.020 | Y=0365.100-0374.420 | 470
P=1100 | X=0461.930-0478.570 | Y=0365.100-0374.420 | 330
P=1100 | X=0505.630-0522.270 | Y=0365.100-0374.420 | 280
P=1100 | X=0111.170-0352.280 | Y=0374.760-0386.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1100 | X=0111.170-0153.310 | Y=0388.160-0397.480 | >1.000m.
P=1100 | X=0111.170-0334.810 | Y=0403.800-0415.040 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1100 | X=0111.170-0384.680 | Y=0421.560-0432.800 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1100 | X=0111.170-0380.300 | Y=0433.080-0444.320 | ra Đường Chốt Mỹ - Xuân Tây đoạn từ Đường Nhân Nghĩa -
P=1100 | X=0111.170-0364.990 | Y=0444.600-0455.840 | Xuân Đông đến Giáp ranh xã Xuân Đông có hiện trạng là
P=1100 | X=0094.820-0246.940 | Y=0456.140-0467.580 | 68 đường nhựa, bê tông xi măng:
P=1100 | X=0414.380-0431.020 | Y=0458.260-0467.580 | 630
P=1100 | X=0461.930-0478.570 | Y=0458.260-0467.580 | 440
P=1100 | X=0505.630-0522.270 | Y=0458.260-0467.580 | 380
P=1100 | X=0111.170-0342.250 | Y=0473.660-0484.900 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1100 | X=0111.170-0388.360 | Y=0491.180-0502.420 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1100 | X=0111.170-0384.680 | Y=0508.940-0520.180 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1100 | X=0111.170-0380.300 | Y=0520.220-0531.460 | ra Đường Chốt Mỹ - Xuân Tây đoạn từ Đường Nhân Nghĩa -
P=1100 | X=0111.170-0364.990 | Y=0531.740-0542.980 | Xuân Đông đến Giáp ranh xã Xuân Đông có hiện trạng là
P=1100 | X=0111.170-0246.940 | Y=0543.290-0554.530 | đường nhựa, bê tông xi măng:
P=1100 | X=0094.820-0342.720 | Y=0560.050-0572.050 | 69 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1100 | X=0414.380-0431.020 | Y=0560.050-0569.370 | 530
P=1100 | X=0461.930-0478.570 | Y=0560.050-0569.370 | 370
P=1100 | X=0505.630-0522.270 | Y=0560.050-0569.370 | 320
P=1100 | X=0111.170-0364.480 | Y=0578.330-0589.570 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1100 | X=0111.170-0206.120 | Y=0589.850-0601.090 | >500m đến ≤1.000m.
P=1100 | X=0111.170-0334.340 | Y=0607.370-0618.610 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1100 | X=0111.170-0384.680 | Y=0625.150-0636.390 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1100 | X=0111.170-0380.300 | Y=0636.670-0647.910 | ra Đường Chốt Mỹ - Xuân Tây đoạn từ Đường Nhân Nghĩa -
P=1100 | X=0111.170-0364.990 | Y=0648.190-0659.430 | Xuân Đông đến Giáp ranh xã Xuân Đông có hiện trạng là
P=1100 | X=0111.170-0246.940 | Y=0659.710-0670.950 | đường nhựa, bê tông xi măng:
P=1100 | X=0094.820-0105.940 | Y=0667.590-0676.910 | 70
P=1100 | X=0414.380-0431.020 | Y=0667.590-0676.910 | 420
P=1100 | X=0461.930-0478.570 | Y=0667.590-0676.910 | 290
P=1100 | X=0505.630-0522.270 | Y=0667.590-0676.910 | 250
P=1100 | X=0111.170-0352.280 | Y=0677.230-0688.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1100 | X=0111.170-0153.310 | Y=0690.390-0699.710 | >1.000m.
P=1100 | X=0111.170-0334.810 | Y=0706.050-0717.290 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1101 | X=0303.960-0376.790 | Y=0078.500-0089.740 | Cầu số 3 đường
P=1101 | X=0094.820-0186.360 | Y=0090.020-0101.260 | 71 Đường Tân Bình
P=1101 | X=0221.350-0291.550 | Y=0090.020-0101.260 | Đường tỉnh 765
P=1101 | X=0303.960-0377.020 | Y=0091.900-0101.220 | Long Giao - Bảo
P=1101 | X=0405.980-0431.030 | Y=0091.900-0101.220 | 1.500
P=1101 | X=0453.530-0478.580 | Y=0091.900-0101.220 | 1.100
P=1101 | X=0505.630-0522.270 | Y=0091.900-0101.220 | 900
P=1101 | X=0303.960-0324.670 | Y=0103.420-0112.740 | Bình
P=1101 | X=0111.170-0379.640 | Y=0119.330-0130.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tân
P=1101 | X=0111.170-0385.890 | Y=0130.850-0142.090 | Bình đoạn từ Đường tỉnh 765 đến Cầu số 3 đường Long Giao
P=1101 | X=0111.170-0367.930 | Y=0142.370-0153.610 | - Bảo Bình có hiện trạng là đường nhựa, bê tông xi măng:
P=1101 | X=0094.820-0105.940 | Y=0150.250-0159.570 | 72
P=1101 | X=0414.380-0431.020 | Y=0150.250-0159.570 | 760
P=1101 | X=0461.930-0478.570 | Y=0150.250-0159.570 | 530
P=1101 | X=0505.630-0522.270 | Y=0150.250-0159.570 | 460
P=1101 | X=0111.170-0342.250 | Y=0159.650-0170.890 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1101 | X=0111.170-0388.360 | Y=0177.170-0188.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1101 | X=0111.170-0379.640 | Y=0194.930-0206.170 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tân
P=1101 | X=0111.170-0385.890 | Y=0206.470-0217.710 | Bình đoạn từ Đường tỉnh 765 đến Cầu số 3 đường Long Giao
P=1101 | X=0111.170-0367.930 | Y=0217.990-0229.230 | - Bảo Bình có hiện trạng là đường nhựa, bê tông xi măng:
P=1101 | X=0094.820-0342.730 | Y=0235.510-0249.830 | 73 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1101 | X=0414.380-0431.020 | Y=0240.510-0249.830 | 640
P=1101 | X=0461.930-0478.570 | Y=0240.510-0249.830 | 450
P=1101 | X=0505.630-0522.270 | Y=0240.510-0249.830 | 380
P=1101 | X=0111.170-0364.480 | Y=0253.030-0264.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1101 | X=0111.170-0206.120 | Y=0264.550-0275.790 | >500m đến ≤1.000m.
P=1101 | X=0111.170-0334.340 | Y=0282.100-0293.340 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1101 | X=0111.170-0379.640 | Y=0299.860-0311.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tân
P=1101 | X=0111.170-0385.890 | Y=0311.380-0322.620 | Bình đoạn từ Đường tỉnh 765 đến Cầu số 3 đường Long Giao
P=1101 | X=0111.170-0367.930 | Y=0322.900-0334.140 | - Bảo Bình có hiện trạng là đường nhựa, bê tông xi măng:
P=1101 | X=0094.820-0105.940 | Y=0336.540-0345.860 | 74
P=1101 | X=0414.380-0431.020 | Y=0336.540-0345.860 | 470
P=1101 | X=0461.930-0478.570 | Y=0336.540-0345.860 | 330
P=1101 | X=0505.630-0522.270 | Y=0336.540-0345.860 | 280
P=1101 | X=0111.170-0352.280 | Y=0340.420-0351.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1101 | X=0111.170-0153.310 | Y=0353.580-0362.900 | >1.000m.
P=1101 | X=0111.170-0334.810 | Y=0369.240-0380.480 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1101 | X=0111.170-0384.710 | Y=0387.000-0398.240 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1101 | X=0111.170-0370.300 | Y=0398.520-0409.760 | ra Đường Tân Bình đoạn từ Đường tỉnh 765 đến Cầu số 3
