TABLE=037 | AREA=Xã Bàu Hàm | SECTION=non-agricultural | SEGMENTS=1
P=1309 | X=0408.860-0425.500 | Y=0129.610-0138.930 | 960
P=1309 | X=0456.410-0473.050 | Y=0129.610-0138.930 | 670
P=1309 | X=0505.630-0522.270 | Y=0129.610-0138.930 | 580
P=1309 | X=0111.170-0364.480 | Y=0148.130-0159.370 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1309 | X=0111.170-0206.120 | Y=0159.410-0170.650 | >500m đến ≤1.000m.
P=1309 | X=0111.170-0334.340 | Y=0176.930-0188.170 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1309 | X=0111.170-0359.490 | Y=0194.690-0205.930 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=1309 | X=0111.170-0384.220 | Y=0206.230-0217.470 | Trảng Bom - Thanh Bình đoạn từ Đường liên ấp Lợi Hà - Tân
P=1309 | X=0111.170-0378.700 | Y=0217.750-0228.990 | Thành, từ đường Trảng Bom - Thanh Bình đến Hương lộ 24
P=1309 | X=0111.170-0382.590 | Y=0229.270-0240.510 | đến Hồ Trị An có hiện trạng là đường nhựa, bê tông xi măng:
P=1309 | X=0094.820-0105.940 | Y=0237.150-0246.470 | 25
P=1309 | X=0408.860-0425.500 | Y=0237.150-0246.470 | 690
P=1309 | X=0456.410-0473.050 | Y=0237.150-0246.470 | 480
P=1309 | X=0505.630-0522.270 | Y=0237.150-0246.470 | 410
P=1309 | X=0111.170-0352.280 | Y=0246.790-0258.030 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1309 | X=0111.170-0153.320 | Y=0260.190-0269.510 | >1.000m.
P=1309 | X=0111.170-0334.810 | Y=0275.830-0287.070 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1309 | X=0111.170-0384.680 | Y=0293.620-0304.860 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1309 | X=0111.170-0371.260 | Y=0305.140-0316.380 | ra Đường Trảng Bom - Thanh Bình đoạn từ Đường liên ấp
P=1309 | X=0111.170-0378.460 | Y=0316.660-0327.900 | Lợi Hà - Tân Thành, từ đường Trảng Bom - Thanh Bình đến
P=1309 | X=0111.170-0378.700 | Y=0327.940-0339.180 | Hương lộ 24 đến Hồ Trị An có hiện trạng là đường nhựa, bê
P=1309 | X=0094.820-0171.330 | Y=0339.460-0350.900 | 26 tông xi măng:
P=1309 | X=0408.860-0425.500 | Y=0341.580-0350.900 | 990
P=1309 | X=0456.410-0473.050 | Y=0341.580-0350.900 | 690
P=1309 | X=0505.630-0522.270 | Y=0341.580-0350.900 | 590
P=1309 | X=0111.170-0342.250 | Y=0356.980-0368.220 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1309 | X=0111.170-0352.280 | Y=0374.520-0385.760 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1309 | X=0111.170-0144.690 | Y=0386.040-0397.280 | ≤500m.
P=1309 | X=0111.170-0384.680 | Y=0403.800-0415.040 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1309 | X=0111.170-0371.260 | Y=0415.320-0426.560 | ra Đường Trảng Bom - Thanh Bình đoạn từ Đường liên ấp
P=1309 | X=0111.170-0378.460 | Y=0426.840-0438.080 | Lợi Hà - Tân Thành, từ đường Trảng Bom - Thanh Bình đến
P=1309 | X=0111.170-0378.700 | Y=0438.360-0449.600 | Hương lộ 24 đến Hồ Trị An có hiện trạng là đường nhựa, bê
P=1309 | X=0111.170-0171.330 | Y=0449.900-0461.140 | tông xi măng:
P=1309 | X=0094.820-0105.940 | Y=0460.660-0469.980 | 27
P=1309 | X=0408.860-0425.500 | Y=0460.660-0469.980 | 860
P=1309 | X=0456.410-0473.050 | Y=0460.660-0469.980 | 600
P=1309 | X=0505.630-0522.270 | Y=0460.660-0469.980 | 520
P=1309 | X=0111.170-0342.720 | Y=0467.420-0478.660 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1309 | X=0111.170-0364.480 | Y=0484.940-0496.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1309 | X=0111.170-0206.120 | Y=0496.220-0507.460 | >500m đến ≤1.000m.
P=1309 | X=0111.170-0334.340 | Y=0513.740-0524.980 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1309 | X=0111.170-0384.680 | Y=0531.500-0542.740 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1309 | X=0111.170-0371.260 | Y=0543.050-0554.290 | ra Đường Trảng Bom - Thanh Bình đoạn từ Đường liên ấp
P=1309 | X=0111.170-0378.460 | Y=0554.570-0565.810 | Lợi Hà - Tân Thành, từ đường Trảng Bom - Thanh Bình đến
P=1309 | X=0111.170-0378.700 | Y=0566.090-0577.330 | Hương lộ 24 đến Hồ Trị An có hiện trạng là đường nhựa, bê
P=1309 | X=0094.820-0171.330 | Y=0577.610-0589.050 | 28 tông xi măng:
P=1309 | X=0408.860-0425.500 | Y=0579.730-0589.050 | 620
P=1309 | X=0456.410-0473.050 | Y=0579.730-0589.050 | 430
P=1309 | X=0505.630-0522.270 | Y=0579.730-0589.050 | 370
P=1309 | X=0111.170-0352.280 | Y=0595.130-0606.370 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1309 | X=0111.170-0153.310 | Y=0608.530-0617.850 | >1.000m.
P=1309 | X=0111.170-0334.810 | Y=0624.190-0635.430 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1309 | X=0220.150-0280.980 | Y=0641.950-0653.190 | Đường Trảng
P=1309 | X=0301.080-0366.220 | Y=0641.950-0653.190 | Ngã ba đường
P=1309 | X=0111.170-0212.950 | Y=0647.710-0658.950 | Đường Vĩnh Tân - Cây
P=1309 | X=0094.820-0105.940 | Y=0655.350-0664.670 | 29
P=1309 | X=0220.150-0278.110 | Y=0655.350-0664.670 | Bom - Thanh
P=1309 | X=0301.080-0372.940 | Y=0655.350-0664.670 | giáp ranh với xã
P=1309 | X=0400.700-0425.750 | Y=0655.350-0664.670 | 2.200
P=1309 | X=0448.250-0473.300 | Y=0655.350-0664.670 | 1.500
P=1309 | X=0497.470-0522.520 | Y=0655.350-0664.670 | 1.300
P=1309 | X=0111.170-0131.890 | Y=0659.230-0670.470 | Điệp
P=1309 | X=0220.150-0240.860 | Y=0666.630-0675.950 | Bình
P=1309 | X=0301.080-0333.560 | Y=0666.630-0675.950 | Tân An
P=1309 | X=0111.170-0382.990 | Y=0682.510-0693.750 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Vĩnh
P=1309 | X=0094.820-0382.300 | Y=0694.030-0705.270 | 30 Tân - Cây Điệp đoạn từ Đường Trảng Bom - Thanh Bình đến
P=1309 | X=0400.700-0425.750 | Y=0695.910-0705.230 | 1.100
P=1309 | X=0456.410-0473.050 | Y=0695.910-0705.230 | 770
P=1309 | X=0505.630-0522.270 | Y=0695.910-0705.230 | 660
P=1309 | X=0111.170-0357.070 | Y=0705.570-0716.810 | Ngã ba đường giáp ranh với xã Tân An có hiện trạng là
P=1310 | X=0111.170-0246.940 | Y=0072.500-0083.740 | đường nhựa, bê tông xi măng:
P=1310 | X=0111.170-0342.250 | Y=0090.020-0101.260 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1310 | X=0111.170-0352.280 | Y=0107.540-0118.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1310 | X=0111.170-0144.690 | Y=0119.090-0130.330 | ≤500m.
P=1310 | X=0111.170-0382.990 | Y=0136.850-0148.090 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Vĩnh
P=1310 | X=0111.170-0382.300 | Y=0148.370-0159.610 | Tân - Cây Điệp đoạn từ Đường Trảng Bom - Thanh Bình đến
P=1310 | X=0111.170-0357.070 | Y=0159.650-0170.890 | Ngã ba đường giáp ranh với xã Tân An có hiện trạng là
P=1310 | X=0111.170-0246.940 | Y=0171.170-0182.410 | đường nhựa, bê tông xi măng:
P=1310 | X=0094.820-0342.720 | Y=0187.930-0199.930 | 31 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1310 | X=0408.860-0425.500 | Y=0187.930-0197.250 | 890
P=1310 | X=0456.410-0473.050 | Y=0187.930-0197.250 | 620
P=1310 | X=0505.630-0522.270 | Y=0187.930-0197.250 | 530
P=1310 | X=0111.170-0364.480 | Y=0206.230-0217.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1310 | X=0111.170-0206.120 | Y=0217.750-0228.990 | >500m đến ≤1.000m.
P=1310 | X=0111.170-0334.340 | Y=0235.270-0246.510 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1310 | X=0111.170-0382.990 | Y=0253.030-0264.270 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Vĩnh
P=1310 | X=0111.170-0382.300 | Y=0264.550-0275.790 | Tân - Cây Điệp đoạn từ Đường Trảng Bom - Thanh Bình đến
P=1310 | X=0111.170-0357.070 | Y=0276.070-0287.310 | Ngã ba đường giáp ranh với xã Tân An có hiện trạng là
P=1310 | X=0111.170-0246.940 | Y=0287.620-0298.860 | đường nhựa, bê tông xi măng:
P=1310 | X=0094.820-0105.940 | Y=0295.500-0304.820 | 32
P=1310 | X=0408.860-0425.500 | Y=0295.500-0304.820 | 620
P=1310 | X=0456.410-0473.050 | Y=0295.500-0304.820 | 430
P=1310 | X=0505.630-0522.270 | Y=0295.500-0304.820 | 370
P=1310 | X=0111.170-0352.280 | Y=0305.140-0316.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1310 | X=0111.170-0153.310 | Y=0318.540-0327.860 | >1.000m.
P=1310 | X=0111.170-0334.810 | Y=0333.940-0345.180 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1310 | X=0111.170-0384.680 | Y=0351.700-0362.940 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1310 | X=0111.170-0378.140 | Y=0363.220-0374.460 | ra Đường Vĩnh Tân - Cây Điệp đoạn từ Đường Trảng Bom -
P=1310 | X=0111.170-0372.880 | Y=0374.760-0386.000 | Thanh Bình đến Ngã ba đường giáp ranh với xã Tân An có
P=1310 | X=0111.170-0304.820 | Y=0386.280-0397.520 | hiện trạng là đường nhựa, bê tông xi măng:
P=1310 | X=0094.820-0105.940 | Y=0394.160-0403.480 | 33
P=1310 | X=0408.860-0425.500 | Y=0394.160-0403.480 | 990
P=1310 | X=0456.410-0473.050 | Y=0394.160-0403.480 | 690
P=1310 | X=0505.630-0522.270 | Y=0394.160-0403.480 | 590
P=1310 | X=0111.170-0342.250 | Y=0403.800-0415.040 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1310 | X=0111.170-0352.280 | Y=0421.320-0432.560 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1310 | X=0111.170-0144.690 | Y=0432.840-0444.080 | ≤500m.
P=1310 | X=0111.170-0384.680 | Y=0450.620-0461.860 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1310 | X=0111.170-0378.140 | Y=0462.140-0473.380 | ra Đường Vĩnh Tân - Cây Điệp đoạn từ Đường Trảng Bom -
P=1310 | X=0111.170-0372.880 | Y=0473.660-0484.900 | Thanh Bình đến Ngã ba đường giáp ranh với xã Tân An có
P=1310 | X=0111.170-0304.780 | Y=0485.180-0496.420 | hiện trạng là đường nhựa, bê tông xi măng:
P=1310 | X=0094.820-0342.720 | Y=0501.700-0513.700 | 34 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1310 | X=0408.860-0425.500 | Y=0501.700-0511.020 | 800
P=1310 | X=0456.410-0473.050 | Y=0501.700-0511.020 | 560
P=1310 | X=0505.630-0522.270 | Y=0501.700-0511.020 | 480
P=1310 | X=0111.170-0364.480 | Y=0519.980-0531.220 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1310 | X=0111.170-0206.120 | Y=0531.500-0542.740 | >500m đến ≤1.000m.
P=1310 | X=0111.170-0334.340 | Y=0549.050-0560.290 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1310 | X=0111.170-0384.680 | Y=0566.810-0578.050 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1310 | X=0111.170-0378.140 | Y=0578.330-0589.570 | ra Đường Vĩnh Tân - Cây Điệp đoạn từ Đường Trảng Bom -
P=1310 | X=0111.170-0372.880 | Y=0589.850-0601.090 | Thanh Bình đến Ngã ba đường giáp ranh với xã Tân An có
P=1310 | X=0111.170-0304.780 | Y=0601.370-0612.610 | hiện trạng là đường nhựa, bê tông xi măng:
P=1310 | X=0094.820-0105.940 | Y=0609.250-0618.570 | 35
P=1310 | X=0408.860-0425.500 | Y=0609.250-0618.570 | 560
P=1310 | X=0456.410-0473.050 | Y=0609.250-0618.570 | 390
P=1310 | X=0505.630-0522.270 | Y=0609.250-0618.570 | 340
P=1310 | X=0111.170-0352.280 | Y=0618.910-0630.150 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1310 | X=0111.170-0153.310 | Y=0632.310-0641.630 | >1.000m.
P=1310 | X=0111.170-0334.810 | Y=0647.950-0659.190 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1310 | X=0301.080-0366.230 | Y=0665.710-0676.950 | Ngã ba đường
P=1310 | X=0111.170-0215.920 | Y=0671.470-0682.710 | Đường tổ 1 ấp Tân Lập
P=1310 | X=0094.820-0105.940 | Y=0679.110-0688.430 | 36
P=1310 | X=0220.150-0263.220 | Y=0679.110-0688.430 | Quốc lộ 1
P=1310 | X=0301.080-0359.500 | Y=0679.110-0688.430 | giáp ranh với
P=1310 | X=0400.700-0425.750 | Y=0679.110-0688.430 | 1.800
P=1310 | X=0448.250-0473.300 | Y=0679.110-0688.430 | 1.300
P=1310 | X=0497.470-0522.520 | Y=0679.110-0688.430 | 1.100
P=1310 | X=0111.170-0116.770 | Y=0684.630-0693.950 | 2
P=1310 | X=0301.080-0374.140 | Y=0688.510-0699.750 | huyện Vĩnh Cửu
P=1310 | X=0094.820-0379.180 | Y=0706.290-0717.530 | 37 Các tuyến đường giao thông đấu nối trực tiếp ra Đường tổ 1
P=1310 | X=0408.860-0425.500 | Y=0708.180-0717.500 | 830
P=1310 | X=0456.410-0473.050 | Y=0708.180-0717.500 | 580
P=1310 | X=0505.630-0522.270 | Y=0708.180-0717.500 | 500
P=1311 | X=0111.170-0384.680 | Y=0072.500-0083.740 | ấp Tân Lập 2 đoạn từ Quốc lộ 1 đến Ngã ba đường giáp ranh
P=1311 | X=0111.170-0379.640 | Y=0084.020-0095.260 | với huyện Vĩnh Cửu có hiện trạng là đường nhựa, bê tông xi
P=1311 | X=0111.170-0139.170 | Y=0095.540-0106.780 | măng:
P=1311 | X=0111.170-0342.250 | Y=0113.060-0124.300 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1311 | X=0111.170-0352.280 | Y=0130.610-0141.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1311 | X=0111.170-0144.690 | Y=0142.130-0153.370 | ≤500m.
P=1311 | X=0111.170-0379.180 | Y=0159.650-0170.890 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tổ 1
P=1311 | X=0111.170-0384.680 | Y=0171.170-0182.410 | ấp Tân Lập 2 đoạn từ Quốc lộ 1 đến Ngã ba đường giáp ranh
P=1311 | X=0111.170-0379.640 | Y=0182.690-0193.930 | với huyện Vĩnh Cửu có hiện trạng là đường nhựa, bê tông xi
P=1311 | X=0111.170-0139.170 | Y=0194.210-0205.450 | măng:
P=1311 | X=0094.820-0342.720 | Y=0210.990-0222.990 | 38 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1311 | X=0408.860-0425.500 | Y=0210.990-0220.310 | 690
P=1311 | X=0456.410-0473.050 | Y=0210.990-0220.310 | 480
P=1311 | X=0505.630-0522.270 | Y=0210.990-0220.310 | 410
P=1311 | X=0111.170-0364.480 | Y=0229.270-0240.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1311 | X=0111.170-0206.120 | Y=0240.790-0252.030 | >500m đến ≤1.000m.
P=1311 | X=0111.170-0334.340 | Y=0258.310-0269.550 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1311 | X=0111.170-0379.180 | Y=0276.070-0287.310 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tổ 1
P=1311 | X=0111.170-0384.680 | Y=0287.620-0298.860 | ấp Tân Lập 2 đoạn từ Quốc lộ 1 đến Ngã ba đường giáp ranh
P=1311 | X=0111.170-0379.640 | Y=0299.140-0310.380 | với huyện Vĩnh Cửu có hiện trạng là đường nhựa, bê tông xi
P=1311 | X=0111.170-0139.170 | Y=0310.660-0321.900 | măng:
P=1311 | X=0094.820-0105.940 | Y=0318.540-0327.860 | 39
P=1311 | X=0408.860-0425.500 | Y=0318.540-0327.860 | 550
P=1311 | X=0456.410-0473.050 | Y=0318.540-0327.860 | 390
P=1311 | X=0505.630-0522.270 | Y=0318.540-0327.860 | 330
P=1311 | X=0111.170-0352.280 | Y=0327.940-0339.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1311 | X=0111.170-0153.310 | Y=0341.340-0350.660 | >1.000m.
P=1311 | X=0111.170-0334.810 | Y=0356.980-0368.220 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1311 | X=0111.170-0384.680 | Y=0374.760-0386.000 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1311 | X=0111.170-0373.160 | Y=0386.280-0397.520 | ra Đường tổ 1 ấp Tân Lập 2 đoạn từ Quốc lộ 1 đến Ngã ba
P=1311 | X=0111.170-0381.820 | Y=0397.800-0409.040 | đường giáp ranh với huyện Vĩnh Cửu có hiện trạng là đường
P=1311 | X=0111.170-0214.280 | Y=0409.320-0420.560 | nhựa, bê tông xi măng:
P=1311 | X=0094.820-0105.940 | Y=0417.200-0426.520 | 40
P=1311 | X=0408.860-0425.500 | Y=0417.200-0426.520 | 750
P=1311 | X=0456.410-0473.050 | Y=0417.200-0426.520 | 530
P=1311 | X=0505.630-0522.270 | Y=0417.200-0426.520 | 450
P=1311 | X=0111.170-0342.250 | Y=0426.840-0438.080 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1311 | X=0111.170-0352.280 | Y=0444.360-0455.600 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1311 | X=0111.170-0144.690 | Y=0455.900-0467.140 | ≤500m.
P=1311 | X=0111.170-0384.680 | Y=0473.660-0484.900 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1311 | X=0111.170-0373.160 | Y=0485.180-0496.420 | ra Đường tổ 1 ấp Tân Lập 2 đoạn từ Quốc lộ 1 đến Ngã ba
P=1311 | X=0111.170-0381.820 | Y=0496.460-0507.700 | đường giáp ranh với huyện Vĩnh Cửu có hiện trạng là đường
P=1311 | X=0111.170-0214.280 | Y=0507.980-0519.220 | nhựa, bê tông xi măng:
P=1311 | X=0094.820-0342.720 | Y=0524.740-0536.740 | 41 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1311 | X=0408.860-0425.500 | Y=0524.740-0534.060 | 620
P=1311 | X=0456.410-0473.050 | Y=0524.740-0534.060 | 430
P=1311 | X=0505.630-0522.270 | Y=0524.740-0534.060 | 370
P=1311 | X=0111.170-0364.480 | Y=0543.050-0554.290 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1311 | X=0111.170-0206.120 | Y=0554.570-0565.810 | >500m đến ≤1.000m.
P=1311 | X=0111.170-0334.340 | Y=0572.090-0583.330 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1311 | X=0111.170-0384.680 | Y=0589.850-0601.090 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1311 | X=0111.170-0373.160 | Y=0601.370-0612.610 | ra Đường tổ 1 ấp Tân Lập 2 đoạn từ Quốc lộ 1 đến Ngã ba
P=1311 | X=0111.170-0381.820 | Y=0612.890-0624.130 | đường giáp ranh với huyện Vĩnh Cửu có hiện trạng là đường
P=1311 | X=0111.170-0214.280 | Y=0624.430-0635.670 | nhựa, bê tông xi măng:
P=1311 | X=0094.820-0105.940 | Y=0632.310-0641.630 | 42
P=1311 | X=0408.860-0425.500 | Y=0632.310-0641.630 | 500
P=1311 | X=0456.410-0473.050 | Y=0632.310-0641.630 | 350
P=1311 | X=0505.630-0522.270 | Y=0632.310-0641.630 | 300
P=1311 | X=0111.170-0352.280 | Y=0641.950-0653.190 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1311 | X=0111.170-0153.310 | Y=0655.350-0664.670 | >1.000m.
P=1311 | X=0111.170-0334.810 | Y=0670.750-0681.990 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1311 | X=0220.150-0294.900 | Y=0688.510-0699.750 | Các đoạn từ ngã
P=1311 | X=0094.820-0181.340 | Y=0694.270-0705.510 | 43 Đường tỉnh 762
P=1311 | X=0400.700-0425.750 | Y=0696.150-0705.470 | 3.300
P=1311 | X=0448.250-0473.300 | Y=0696.150-0705.470 | 2.300
P=1311 | X=0497.470-0522.520 | Y=0696.150-0705.470 | 2.000
P=1311 | X=0220.150-0293.230 | Y=0700.050-0711.290 | tư Tân Lập đi về
P=1312 | X=0220.150-0285.540 | Y=0072.500-0083.740 | các hướng (xã
P=1312 | X=0220.150-0299.450 | Y=0085.900-0095.220 | Thống Nhất và xã
P=1312 | X=0220.150-0280.160 | Y=0097.420-0106.740 | Trị An) 0,5km
P=1312 | X=0111.170-0378.710 | Y=0113.300-0124.540 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1312 | X=0111.170-0379.660 | Y=0124.850-0136.090 | 762 Các đoạn từ ngã tư Tân Lập đi về các hướng (xã Thống
P=1312 | X=0111.170-0368.610 | Y=0136.370-0147.610 | Nhất và xã Trị An) 0,5km có hiện trạng là đường nhựa, bê
P=1312 | X=0111.170-0171.330 | Y=0147.650-0158.890 | tông xi măng:
P=1312 | X=0094.820-0105.940 | Y=0155.530-0164.850 | 44
P=1312 | X=0400.700-0425.750 | Y=0155.530-0164.850 | 1.700
P=1312 | X=0448.250-0473.300 | Y=0155.530-0164.850 | 1.200
P=1312 | X=0497.470-0522.520 | Y=0155.530-0164.850 | 1.000
P=1312 | X=0111.170-0342.250 | Y=0165.170-0176.410 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1312 | X=0111.170-0352.280 | Y=0182.690-0193.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1312 | X=0111.170-0144.690 | Y=0194.210-0205.450 | ≤500m.
P=1312 | X=0111.170-0378.710 | Y=0211.990-0223.230 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1312 | X=0111.170-0379.660 | Y=0223.510-0234.750 | 762 Các đoạn từ ngã tư Tân Lập đi về các hướng (xã Thống
P=1312 | X=0111.170-0368.610 | Y=0235.030-0246.270 | Nhất và xã Trị An) 0,5km có hiện trạng là đường nhựa, bê
P=1312 | X=0111.170-0171.330 | Y=0246.550-0257.790 | tông xi măng:
P=1312 | X=0094.820-0342.720 | Y=0263.070-0275.310 | 45 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1312 | X=0400.700-0425.750 | Y=0263.070-0272.390 | 1.300
P=1312 | X=0456.410-0473.050 | Y=0263.070-0272.390 | 910
P=1312 | X=0505.630-0522.270 | Y=0263.070-0272.390 | 780
P=1312 | X=0111.170-0364.480 | Y=0281.620-0292.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1312 | X=0111.170-0206.120 | Y=0293.140-0304.380 | >500m đến ≤1.000m.
P=1312 | X=0111.170-0334.340 | Y=0310.660-0321.900 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1312 | X=0111.170-0378.710 | Y=0328.420-0339.660 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1312 | X=0111.170-0379.660 | Y=0339.700-0350.940 | 762 Các đoạn từ ngã tư Tân Lập đi về các hướng (xã Thống
P=1312 | X=0111.170-0368.610 | Y=0351.220-0362.460 | Nhất và xã Trị An) 0,5km có hiện trạng là đường nhựa, bê
P=1312 | X=0111.170-0171.330 | Y=0362.740-0373.980 | tông xi măng:
P=1312 | X=0094.820-0105.940 | Y=0370.640-0379.960 | 46
P=1312 | X=0408.860-0425.500 | Y=0370.640-0379.960 | 870
P=1312 | X=0456.410-0473.050 | Y=0370.640-0379.960 | 610
P=1312 | X=0505.630-0522.270 | Y=0370.640-0379.960 | 520
P=1312 | X=0111.170-0352.280 | Y=0380.280-0391.520 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1312 | X=0111.170-0153.310 | Y=0393.680-0403.000 | >1.000m.
P=1312 | X=0111.170-0334.810 | Y=0409.320-0420.560 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1312 | X=0111.170-0384.680 | Y=0427.080-0438.320 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1312 | X=0111.170-0364.200 | Y=0438.600-0449.840 | ra Đường tỉnh 762 Các đoạn từ ngã tư Tân Lập đi về các
P=1312 | X=0111.170-0373.630 | Y=0450.140-0461.380 | hướng (xã Thống Nhất và xã Trị An) 0,5km có hiện trạng là
P=1312 | X=0111.170-0246.940 | Y=0461.660-0472.900 | đường nhựa, bê tông xi măng:
P=1312 | X=0094.820-0105.940 | Y=0469.540-0478.860 | 47
P=1312 | X=0400.700-0425.750 | Y=0469.540-0478.860 | 1.500
P=1312 | X=0448.250-0473.300 | Y=0469.540-0478.860 | 1.100
P=1312 | X=0505.630-0522.270 | Y=0469.540-0478.860 | 900
P=1312 | X=0111.170-0342.250 | Y=0479.180-0490.420 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1312 | X=0111.170-0352.280 | Y=0496.460-0507.700 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1312 | X=0111.170-0144.690 | Y=0507.980-0519.220 | ≤500m.
P=1312 | X=0111.170-0384.680 | Y=0525.740-0536.980 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1312 | X=0111.170-0364.200 | Y=0537.290-0548.530 | ra Đường tỉnh 762 Các đoạn từ ngã tư Tân Lập đi về các
P=1312 | X=0111.170-0373.630 | Y=0548.810-0560.050 | hướng (xã Thống Nhất và xã Trị An) 0,5km có hiện trạng là
P=1312 | X=0111.170-0246.940 | Y=0560.330-0571.570 | đường nhựa, bê tông xi măng:
P=1312 | X=0094.820-0342.720 | Y=0577.090-0589.090 | 48 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1312 | X=0400.700-0425.750 | Y=0577.090-0586.410 | 1.200
P=1312 | X=0456.410-0473.050 | Y=0577.090-0586.410 | 840
P=1312 | X=0505.630-0522.270 | Y=0577.090-0586.410 | 720
P=1312 | X=0111.170-0364.480 | Y=0595.370-0606.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1312 | X=0111.170-0206.120 | Y=0606.890-0618.130 | >500m đến ≤1.000m.
P=1312 | X=0111.170-0334.340 | Y=0624.430-0635.670 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1312 | X=0111.170-0384.710 | Y=0642.190-0653.430 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1312 | X=0111.170-0364.200 | Y=0653.710-0664.950 | ra Đường tỉnh 762 Các đoạn từ ngã tư Tân Lập đi về các
P=1312 | X=0111.170-0373.630 | Y=0665.230-0676.470 | hướng (xã Thống Nhất và xã Trị An) 0,5km có hiện trạng là
P=1312 | X=0094.820-0246.940 | Y=0675.750-0687.750 | 49 đường nhựa, bê tông xi măng:
