TABLE=033 | AREA=Xã Sông Ray | SECTION=non-agricultural | SEGMENTS=1
P=1149 | X=0095.060-0342.960 | Y=0403.040-0415.040 | 27 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1149 | X=0413.900-0430.540 | Y=0403.040-0412.360 | 850
P=1149 | X=0461.690-0478.330 | Y=0403.040-0412.360 | 600
P=1149 | X=0505.390-0522.030 | Y=0403.040-0412.360 | 510
P=1149 | X=0111.410-0364.720 | Y=0421.320-0432.560 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1149 | X=0111.410-0206.360 | Y=0432.840-0444.080 | >500m đến ≤1.000m.
P=1149 | X=0111.410-0334.580 | Y=0450.380-0461.620 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1149 | X=0111.410-0384.920 | Y=0468.140-0479.380 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1149 | X=0111.410-0389.890 | Y=0479.660-0490.900 | ra Đường tỉnh 764 đoạn từ Đường liên ấp 1 - ấp 5 đến Hết cây
P=1149 | X=0111.410-0386.620 | Y=0491.180-0502.420 | xăng Nông trường Sông Ray có hiện trạng là đường nhựa, bê
P=1149 | X=0111.410-0171.570 | Y=0502.460-0513.700 | tông xi măng:
P=1149 | X=0095.060-0106.180 | Y=0510.340-0519.660 | 28
P=1149 | X=0413.900-0430.540 | Y=0510.340-0519.660 | 650
P=1149 | X=0461.690-0478.330 | Y=0510.340-0519.660 | 460
P=1149 | X=0505.390-0522.030 | Y=0510.340-0519.660 | 390
P=1149 | X=0111.410-0352.520 | Y=0519.980-0531.220 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1149 | X=0111.410-0153.550 | Y=0533.380-0542.700 | >1.000m.
P=1149 | X=0111.410-0335.050 | Y=0549.050-0560.290 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1149 | X=0220.630-0279.290 | Y=0566.810-0578.050 | Hết cây xăng
P=1149 | X=0303.240-0383.720 | Y=0572.570-0583.810 | Đường tỉnh 764 đi
P=1149 | X=0095.060-0181.580 | Y=0578.330-0589.570 | 29 Đường tỉnh 764
P=1149 | X=0220.630-0278.100 | Y=0578.330-0589.570 | Nông trường
P=1149 | X=0405.740-0430.790 | Y=0580.210-0589.530 | 3.600
P=1149 | X=0453.530-0478.580 | Y=0580.210-0589.530 | 2.500
P=1149 | X=0497.230-0522.280 | Y=0580.210-0589.530 | 2.200
P=1149 | X=0303.240-0343.560 | Y=0585.970-0595.290 | Suối Lức
P=1149 | X=0220.630-0264.550 | Y=0591.730-0601.050 | Sông Ray
P=1149 | X=0111.410-0378.950 | Y=0607.610-0618.850 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1149 | X=0111.410-0387.100 | Y=0619.150-0630.390 | 764 đoạn từ Hết cây xăng Nông trường Sông Ray đến Đường
P=1149 | X=0111.410-0379.390 | Y=0630.670-0641.910 | tỉnh 764 đi Suối Lức có hiện trạng là đường nhựa, bê tông xi
P=1149 | X=0095.060-0139.410 | Y=0642.190-0653.630 | 30 măng:
P=1149 | X=0405.740-0430.790 | Y=0644.310-0653.630 | 1.700
P=1149 | X=0453.530-0478.580 | Y=0644.310-0653.630 | 1.200
P=1149 | X=0497.230-0522.280 | Y=0644.310-0653.630 | 1.000
P=1149 | X=0111.410-0342.490 | Y=0659.710-0670.950 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1149 | X=0111.410-0388.600 | Y=0677.230-0688.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1149 | X=0111.410-0378.950 | Y=0694.750-0705.990 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1149 | X=0095.060-0106.180 | Y=0702.420-0711.740 | 31
P=1149 | X=0413.900-0430.540 | Y=0702.420-0711.740 | 940
P=1149 | X=0461.690-0478.330 | Y=0702.420-0711.740 | 660
P=1149 | X=0505.390-0522.030 | Y=0702.420-0711.740 | 560
P=1149 | X=0111.410-0387.100 | Y=0706.290-0717.530 | 764 đoạn từ Hết cây xăng Nông trường Sông Ray đến Đường
P=1150 | X=0111.410-0379.390 | Y=0072.500-0083.740 | tỉnh 764 đi Suối Lức có hiện trạng là đường nhựa, bê tông xi
P=1150 | X=0111.410-0139.410 | Y=0084.020-0095.260 | măng:
P=1150 | X=0111.410-0342.960 | Y=0101.540-0112.780 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1150 | X=0111.410-0364.720 | Y=0119.090-0130.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1150 | X=0111.410-0206.360 | Y=0130.610-0141.850 | >500m đến ≤1.000m.
P=1150 | X=0111.410-0334.580 | Y=0148.130-0159.370 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1150 | X=0111.410-0378.950 | Y=0165.650-0176.890 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1150 | X=0111.410-0387.100 | Y=0177.170-0188.410 | 764 đoạn từ Hết cây xăng Nông trường Sông Ray đến Đường
P=1150 | X=0111.410-0379.390 | Y=0188.690-0199.930 | tỉnh 764 đi Suối Lức có hiện trạng là đường nhựa, bê tông xi
P=1150 | X=0111.410-0139.410 | Y=0200.230-0211.470 | măng:
P=1150 | X=0095.060-0106.180 | Y=0208.110-0217.430 | 32
P=1150 | X=0413.900-0430.540 | Y=0208.110-0217.430 | 720
P=1150 | X=0461.690-0478.330 | Y=0208.110-0217.430 | 500
P=1150 | X=0505.390-0522.030 | Y=0208.110-0217.430 | 430
P=1150 | X=0111.410-0352.520 | Y=0217.750-0228.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1150 | X=0111.410-0153.550 | Y=0231.150-0240.470 | >1.000m.
P=1150 | X=0111.410-0335.050 | Y=0246.790-0258.030 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1150 | X=0111.410-0384.920 | Y=0264.550-0275.790 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1150 | X=0111.410-0377.500 | Y=0276.070-0287.310 | ra Đường tỉnh 764 đoạn từ Hết cây xăng Nông trường Sông
P=1150 | X=0111.410-0378.940 | Y=0287.620-0298.860 | Ray đến Đường tỉnh 764 đi Suối Lức có hiện trạng là đường
P=1150 | X=0095.060-0214.520 | Y=0299.140-0310.580 | 33 nhựa, bê tông xi măng:
P=1150 | X=0405.740-0430.790 | Y=0301.260-0310.580 | 1.500
P=1150 | X=0453.530-0478.580 | Y=0301.260-0310.580 | 1.100
P=1150 | X=0505.390-0522.030 | Y=0301.260-0310.580 | 900
P=1150 | X=0111.410-0342.490 | Y=0316.660-0327.900 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1150 | X=0111.410-0388.600 | Y=0333.940-0345.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1150 | X=0111.410-0384.920 | Y=0351.700-0362.940 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1150 | X=0111.410-0377.500 | Y=0363.220-0374.460 | ra Đường tỉnh 764 đoạn từ Hết cây xăng Nông trường Sông
P=1150 | X=0111.410-0378.940 | Y=0374.760-0386.000 | Ray đến Đường tỉnh 764 đi Suối Lức có hiện trạng là đường
P=1150 | X=0111.410-0214.520 | Y=0386.280-0397.520 | nhựa, bê tông xi măng:
P=1150 | X=0095.060-0342.980 | Y=0403.040-0415.040 | 34 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1150 | X=0413.900-0430.540 | Y=0403.040-0412.360 | 850
P=1150 | X=0461.690-0478.330 | Y=0403.040-0412.360 | 600
P=1150 | X=0505.390-0522.030 | Y=0403.040-0412.360 | 510
P=1150 | X=0111.410-0364.720 | Y=0421.320-0432.560 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1150 | X=0111.410-0206.360 | Y=0432.840-0444.080 | >500m đến ≤1.000m.
P=1150 | X=0111.410-0334.580 | Y=0450.380-0461.620 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1150 | X=0111.410-0384.920 | Y=0468.140-0479.380 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1150 | X=0111.410-0377.490 | Y=0479.660-0490.900 | ra Đường tỉnh 764 đoạn từ Hết cây xăng Nông trường Sông
P=1150 | X=0111.410-0378.940 | Y=0491.180-0502.420 | Ray đến Đường tỉnh 764 đi Suối Lức có hiện trạng là đường
P=1150 | X=0111.410-0214.520 | Y=0502.460-0513.700 | nhựa, bê tông xi măng:
P=1150 | X=0095.060-0106.180 | Y=0510.340-0519.660 | 35
P=1150 | X=0413.900-0430.540 | Y=0510.340-0519.660 | 650
P=1150 | X=0461.690-0478.330 | Y=0510.340-0519.660 | 460
P=1150 | X=0505.390-0522.030 | Y=0510.340-0519.660 | 390
P=1150 | X=0111.410-0352.520 | Y=0519.980-0531.220 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1150 | X=0111.410-0153.550 | Y=0533.380-0542.700 | >1.000m.
P=1150 | X=0111.410-0335.050 | Y=0549.050-0560.290 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1150 | X=0220.630-0375.090 | Y=0566.810-0578.050 | Đường tỉnh 764 đi Giáp ranh thành
P=1150 | X=0095.060-0181.580 | Y=0572.570-0583.810 | 36 Đường tỉnh 764
P=1150 | X=0405.740-0430.790 | Y=0574.450-0583.770 | 2.600
P=1150 | X=0453.530-0478.580 | Y=0574.450-0583.770 | 1.800
P=1150 | X=0497.230-0522.280 | Y=0574.450-0583.770 | 1.600
P=1150 | X=0220.630-0260.980 | Y=0580.210-0589.530 | Suối Lức
P=1150 | X=0303.240-0378.430 | Y=0580.210-0589.530 | phố Hồ Chí Minh
P=1150 | X=0111.410-0378.950 | Y=0596.090-0607.330 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1150 | X=0111.410-0385.640 | Y=0607.610-0618.850 | 764 đoạn từ Đường tỉnh 764 đi Suối Lức đến Giáp ranh thành
P=1150 | X=0111.410-0365.470 | Y=0619.150-0630.390 | phố Hồ Chí Minh có hiện trạng là đường nhựa, bê tông xi
P=1150 | X=0095.060-0139.410 | Y=0630.670-0642.110 | 37 măng:
P=1150 | X=0405.740-0430.790 | Y=0632.790-0642.110 | 1.300
P=1150 | X=0461.690-0478.330 | Y=0632.790-0642.110 | 910
P=1150 | X=0505.390-0522.030 | Y=0632.790-0642.110 | 780
P=1150 | X=0111.410-0342.490 | Y=0648.190-0659.430 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1150 | X=0111.410-0388.600 | Y=0665.710-0676.950 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1150 | X=0111.410-0378.950 | Y=0683.470-0694.710 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1150 | X=0095.060-0385.640 | Y=0694.750-0705.990 | 38 764 đoạn từ Đường tỉnh 764 đi Suối Lức đến Giáp ranh thành
P=1150 | X=0413.900-0430.540 | Y=0696.630-0705.950 | 940
P=1150 | X=0461.690-0478.330 | Y=0696.630-0705.950 | 660
P=1150 | X=0505.390-0522.030 | Y=0696.630-0705.950 | 560
P=1150 | X=0111.410-0365.470 | Y=0706.290-0717.530 | phố Hồ Chí Minh có hiện trạng là đường nhựa, bê tông xi
P=1151 | X=0111.410-0139.410 | Y=0072.500-0083.740 | măng:
P=1151 | X=0111.410-0342.960 | Y=0090.020-0101.260 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1151 | X=0111.410-0364.720 | Y=0107.540-0118.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1151 | X=0111.410-0206.360 | Y=0119.090-0130.330 | >500m đến ≤1.000m.
P=1151 | X=0111.410-0334.580 | Y=0136.610-0147.850 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1151 | X=0111.410-0378.950 | Y=0154.370-0165.610 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1151 | X=0111.410-0385.640 | Y=0165.650-0176.890 | 764 đoạn từ Đường tỉnh 764 đi Suối Lức đến Giáp ranh thành
P=1151 | X=0111.410-0365.470 | Y=0177.170-0188.410 | phố Hồ Chí Minh có hiện trạng là đường nhựa, bê tông xi
P=1151 | X=0111.410-0139.410 | Y=0188.690-0199.930 | măng:
P=1151 | X=0095.060-0106.180 | Y=0196.570-0205.890 | 39
P=1151 | X=0413.900-0430.540 | Y=0196.570-0205.890 | 720
P=1151 | X=0461.690-0478.330 | Y=0196.570-0205.890 | 500
P=1151 | X=0505.390-0522.030 | Y=0196.570-0205.890 | 430
P=1151 | X=0111.410-0352.520 | Y=0206.230-0217.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1151 | X=0111.410-0153.550 | Y=0219.630-0228.950 | >1.000m.
P=1151 | X=0111.410-0335.050 | Y=0235.270-0246.510 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1151 | X=0111.410-0384.920 | Y=0253.030-0264.270 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1151 | X=0111.410-0376.060 | Y=0264.550-0275.790 | ra Đường tỉnh 764 đoạn từ Đường tỉnh 764 đi Suối Lức đến
P=1151 | X=0111.410-0364.760 | Y=0276.070-0287.310 | Giáp ranh thành phố Hồ Chí Minh có hiện trạng là đường
P=1151 | X=0095.060-0214.520 | Y=0287.620-0299.060 | 40 nhựa, bê tông xi măng:
P=1151 | X=0405.740-0430.790 | Y=0289.740-0299.060 | 1.200
P=1151 | X=0461.690-0478.330 | Y=0289.740-0299.060 | 840
P=1151 | X=0505.390-0522.030 | Y=0289.740-0299.060 | 720
P=1151 | X=0111.410-0342.490 | Y=0305.140-0316.380 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1151 | X=0111.410-0388.600 | Y=0322.660-0333.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1151 | X=0111.410-0384.920 | Y=0340.420-0351.660 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1151 | X=0111.410-0376.060 | Y=0351.700-0362.940 | ra Đường tỉnh 764 đoạn từ Đường tỉnh 764 đi Suối Lức đến
P=1151 | X=0111.410-0364.760 | Y=0363.220-0374.460 | Giáp ranh thành phố Hồ Chí Minh có hiện trạng là đường
P=1151 | X=0111.410-0214.560 | Y=0374.760-0386.000 | nhựa, bê tông xi măng:
P=1151 | X=0095.060-0342.960 | Y=0391.520-0403.520 | 41 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1151 | X=0413.900-0430.540 | Y=0391.520-0400.840 | 850
P=1151 | X=0461.690-0478.330 | Y=0391.520-0400.840 | 600
P=1151 | X=0505.390-0522.030 | Y=0391.520-0400.840 | 510
P=1151 | X=0111.410-0364.720 | Y=0409.800-0421.040 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1151 | X=0111.410-0206.360 | Y=0421.320-0432.560 | >500m đến ≤1.000m.
P=1151 | X=0111.410-0334.580 | Y=0438.840-0450.080 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1151 | X=0111.410-0384.920 | Y=0456.620-0467.860 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1151 | X=0111.410-0376.060 | Y=0468.140-0479.380 | ra Đường tỉnh 764 đoạn từ Đường tỉnh 764 đi Suối Lức đến
P=1151 | X=0111.410-0364.760 | Y=0479.660-0490.900 | Giáp ranh thành phố Hồ Chí Minh có hiện trạng là đường
P=1151 | X=0111.410-0214.520 | Y=0491.180-0502.420 | nhựa, bê tông xi măng:
P=1151 | X=0095.060-0106.180 | Y=0499.060-0508.380 | 42
P=1151 | X=0413.900-0430.540 | Y=0499.060-0508.380 | 650
P=1151 | X=0461.690-0478.330 | Y=0499.060-0508.380 | 460
P=1151 | X=0505.390-0522.030 | Y=0499.060-0508.380 | 390
P=1151 | X=0111.410-0352.520 | Y=0508.460-0519.700 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1151 | X=0111.410-0153.550 | Y=0521.860-0531.180 | >1.000m.
P=1151 | X=0111.410-0335.050 | Y=0537.530-0548.770 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1151 | X=0303.240-0382.300 | Y=0555.290-0566.530 | Đường tổ 10 ấp 9
P=1151 | X=0220.630-0278.070 | Y=0557.170-0566.490 | Giáp ranh xã
P=1151 | X=0095.060-0181.580 | Y=0561.050-0572.290 | 43 Đường tỉnh 765
P=1151 | X=0405.740-0430.790 | Y=0562.930-0572.250 | 4.600
P=1151 | X=0453.530-0478.580 | Y=0562.930-0572.250 | 3.200
P=1151 | X=0497.230-0522.280 | Y=0562.930-0572.250 | 2.800
P=1151 | X=0220.630-0270.410 | Y=0566.810-0578.050 | Xuân Đông
P=1151 | X=0303.240-0360.590 | Y=0568.690-0578.010 | xã Sông Ray
P=1151 | X=0111.410-0378.950 | Y=0584.570-0595.810 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1151 | X=0111.410-0379.420 | Y=0596.090-0607.330 | 765 đoạn từ Giáp ranh xã Xuân Đông đến Đường tổ 10 ấp 9
P=1151 | X=0111.410-0378.510 | Y=0607.610-0618.850 | xã Sông Ray có hiện trạng là đường nhựa, bê tông xi măng:
P=1151 | X=0095.060-0106.180 | Y=0615.490-0624.810 | 44
P=1151 | X=0405.740-0430.790 | Y=0615.490-0624.810 | 2.100
P=1151 | X=0453.530-0478.580 | Y=0615.490-0624.810 | 1.500
P=1151 | X=0497.230-0522.280 | Y=0615.490-0624.810 | 1.300
P=1151 | X=0111.410-0342.490 | Y=0625.150-0636.390 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1151 | X=0111.410-0388.600 | Y=0642.670-0653.910 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1151 | X=0111.410-0378.950 | Y=0660.430-0671.670 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1151 | X=0111.410-0379.420 | Y=0671.950-0683.190 | 765 đoạn từ Giáp ranh xã Xuân Đông đến Đường tổ 10 ấp 9
P=1151 | X=0095.060-0378.510 | Y=0682.470-0694.710 | 45 xã Sông Ray có hiện trạng là đường nhựa, bê tông xi măng:
P=1151 | X=0413.900-0430.540 | Y=0682.470-0691.790 | 940
P=1151 | X=0461.690-0478.330 | Y=0682.470-0691.790 | 660
P=1151 | X=0505.390-0522.030 | Y=0682.470-0691.790 | 560
P=1151 | X=0111.410-0342.960 | Y=0700.770-0712.010 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1152 | X=0111.410-0364.720 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1152 | X=0111.410-0206.360 | Y=0090.020-0101.260 | >500m đến ≤1.000m.
P=1152 | X=0111.410-0334.580 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1152 | X=0111.410-0378.950 | Y=0125.330-0136.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1152 | X=0111.410-0379.420 | Y=0136.850-0148.090 | 765 đoạn từ Giáp ranh xã Xuân Đông đến Đường tổ 10 ấp 9
P=1152 | X=0111.410-0378.510 | Y=0148.370-0159.610 | xã Sông Ray có hiện trạng là đường nhựa, bê tông xi măng:
P=1152 | X=0095.060-0106.180 | Y=0162.010-0171.330 | 46
P=1152 | X=0413.900-0430.570 | Y=0162.010-0171.330 | 720
P=1152 | X=0461.690-0478.330 | Y=0162.010-0171.330 | 500
P=1152 | X=0505.390-0522.030 | Y=0162.010-0171.330 | 430
P=1152 | X=0111.410-0352.520 | Y=0165.650-0176.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1152 | X=0111.410-0153.550 | Y=0179.050-0188.370 | >1.000m.
P=1152 | X=0111.410-0335.050 | Y=0194.690-0205.930 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1152 | X=0111.410-0384.920 | Y=0212.470-0223.710 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1152 | X=0111.410-0362.630 | Y=0223.990-0235.230 | ra Đường tỉnh 765 đoạn từ Giáp ranh xã Xuân Đông đến
P=1152 | X=0111.410-0383.110 | Y=0235.510-0246.750 | Đường tổ 10 ấp 9 xã Sông Ray có hiện trạng là đường nhựa,
P=1152 | X=0095.060-0185.490 | Y=0247.030-0258.470 | 47 bê tông xi măng:
P=1152 | X=0405.740-0430.790 | Y=0249.150-0258.470 | 1.900
P=1152 | X=0453.530-0478.580 | Y=0249.150-0258.470 | 1.300
P=1152 | X=0497.230-0522.280 | Y=0249.150-0258.470 | 1.100
P=1152 | X=0111.410-0342.490 | Y=0264.550-0275.790 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1152 | X=0111.410-0388.600 | Y=0282.100-0293.340 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1152 | X=0111.410-0384.920 | Y=0299.860-0311.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1152 | X=0111.410-0362.630 | Y=0311.380-0322.620 | ra Đường tỉnh 765 đoạn từ Giáp ranh xã Xuân Đông đến
P=1152 | X=0111.410-0383.110 | Y=0322.900-0334.140 | Đường tổ 10 ấp 9 xã Sông Ray có hiện trạng là đường nhựa,
P=1152 | X=0111.410-0185.490 | Y=0334.420-0345.660 | bê tông xi măng:
P=1152 | X=0095.060-0342.960 | Y=0350.940-0362.940 | 48 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1152 | X=0413.900-0430.540 | Y=0350.940-0360.260 | 850
P=1152 | X=0461.690-0478.330 | Y=0350.940-0360.260 | 600
P=1152 | X=0505.390-0522.030 | Y=0350.940-0360.260 | 510
P=1152 | X=0111.410-0364.720 | Y=0369.240-0380.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1152 | X=0111.410-0206.360 | Y=0380.760-0392.000 | >500m đến ≤1.000m.
P=1152 | X=0111.410-0334.580 | Y=0398.280-0409.520 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1152 | X=0111.410-0384.920 | Y=0416.040-0427.280 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1152 | X=0111.410-0362.630 | Y=0427.560-0438.800 | ra Đường tỉnh 765 đoạn từ Giáp ranh xã Xuân Đông đến
P=1152 | X=0111.410-0383.110 | Y=0439.080-0450.320 | Đường tổ 10 ấp 9 xã Sông Ray có hiện trạng là đường nhựa,
P=1152 | X=0111.410-0185.490 | Y=0450.620-0461.860 | bê tông xi măng:
P=1152 | X=0095.060-0106.180 | Y=0458.500-0467.820 | 49
P=1152 | X=0413.900-0430.540 | Y=0458.500-0467.820 | 650
P=1152 | X=0461.690-0478.330 | Y=0458.500-0467.820 | 460
P=1152 | X=0505.390-0522.030 | Y=0458.500-0467.820 | 390
P=1152 | X=0111.410-0352.520 | Y=0468.140-0479.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1152 | X=0111.410-0153.550 | Y=0481.540-0490.860 | >1.000m.
P=1152 | X=0111.410-0335.050 | Y=0497.180-0508.420 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1152 | X=0095.060-0181.580 | Y=0514.940-0526.180 | 50 Đường tỉnh 765
P=1152 | X=0220.630-0364.540 | Y=0514.940-0526.180 | Đường tổ 10 ấp 9 Cầu Suối Thề
P=1152 | X=0405.740-0430.790 | Y=0516.820-0526.140 | 3.900
P=1152 | X=0453.530-0478.580 | Y=0516.820-0526.140 | 2.700
P=1152 | X=0497.230-0522.280 | Y=0516.820-0526.140 | 2.300
P=1152 | X=0111.410-0378.950 | Y=0532.490-0543.730 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1152 | X=0111.410-0365.500 | Y=0544.010-0555.250 | 765 đoạn từ Đường tổ 10 ấp 9 đến Cầu Suối Thề có hiện
P=1152 | X=0111.410-0283.190 | Y=0555.530-0566.770 | trạng là đường nhựa, bê tông xi măng:
P=1152 | X=0095.060-0106.180 | Y=0563.410-0572.730 | 51
P=1152 | X=0405.740-0430.790 | Y=0563.410-0572.730 | 1.800
P=1152 | X=0453.530-0478.580 | Y=0563.410-0572.730 | 1.300
P=1152 | X=0497.230-0522.280 | Y=0563.410-0572.730 | 1.100
P=1152 | X=0111.410-0342.520 | Y=0573.050-0584.290 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1152 | X=0111.410-0388.600 | Y=0590.570-0601.810 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1152 | X=0111.410-0378.950 | Y=0608.330-0619.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1152 | X=0111.410-0365.500 | Y=0619.870-0631.110 | 765 đoạn từ Đường tổ 10 ấp 9 đến Cầu Suối Thề có hiện
P=1152 | X=0111.410-0283.190 | Y=0631.390-0642.630 | trạng là đường nhựa, bê tông xi măng:
P=1152 | X=0095.060-0342.960 | Y=0648.910-0662.990 | 52 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1152 | X=0413.900-0430.540 | Y=0653.670-0662.990 | 940
P=1152 | X=0461.690-0478.330 | Y=0653.670-0662.990 | 660
P=1152 | X=0505.390-0522.030 | Y=0653.670-0662.990 | 560
P=1152 | X=0111.410-0364.720 | Y=0666.430-0677.670 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1152 | X=0111.410-0206.360 | Y=0677.950-0689.190 | >500m đến ≤1.000m.
P=1152 | X=0111.410-0334.580 | Y=0695.470-0706.710 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1153 | X=0111.410-0378.950 | Y=0078.500-0089.740 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1153 | X=0111.410-0365.500 | Y=0090.020-0101.260 | 765 đoạn từ Đường tổ 10 ấp 9 đến Cầu Suối Thề có hiện
P=1153 | X=0111.410-0283.190 | Y=0101.540-0112.780 | trạng là đường nhựa, bê tông xi măng:
P=1153 | X=0095.060-0106.180 | Y=0115.180-0124.500 | 53
P=1153 | X=0413.900-0430.540 | Y=0115.180-0124.500 | 720
P=1153 | X=0461.690-0478.330 | Y=0115.180-0124.500 | 500
P=1153 | X=0505.390-0522.030 | Y=0115.180-0124.500 | 430
P=1153 | X=0111.410-0352.520 | Y=0119.090-0130.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1153 | X=0111.410-0153.550 | Y=0132.490-0141.810 | >1.000m.
P=1153 | X=0111.410-0335.050 | Y=0148.130-0159.370 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1153 | X=0111.410-0384.920 | Y=0165.650-0176.890 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1153 | X=0111.410-0375.330 | Y=0177.170-0188.410 | ra Đường tỉnh 765 đoạn từ Đường tổ 10 ấp 9 đến Cầu Suối
P=1153 | X=0111.410-0338.410 | Y=0188.690-0199.930 | Thề có hiện trạng là đường nhựa, bê tông xi măng:
P=1153 | X=0095.060-0106.180 | Y=0196.570-0205.890 | 54
P=1153 | X=0405.740-0430.790 | Y=0196.570-0205.890 | 1.600
P=1153 | X=0453.530-0478.580 | Y=0196.570-0205.890 | 1.100
P=1153 | X=0505.390-0522.030 | Y=0196.570-0205.890 | 960
P=1153 | X=0111.410-0342.490 | Y=0206.230-0217.470 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1153 | X=0111.410-0388.600 | Y=0223.750-0234.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1153 | X=0111.410-0384.920 | Y=0241.510-0252.750 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
