TABLE=044 | AREA=Xã Phú Vinh | SECTION=non-agricultural | SEGMENTS=1
P=1529 | X=0111.410-0377.950 | Y=0532.490-0543.730 | ra Quốc lộ 20 đoạn từ Ngã ba Km118 đến Giáp ranh xã Tân
P=1529 | X=0111.410-0338.890 | Y=0544.010-0555.250 | Phú có hiện trạng là đường nhựa, bê tông xi măng:
P=1529 | X=0095.060-0106.180 | Y=0551.890-0561.210 | 26
P=1529 | X=0413.900-0430.540 | Y=0551.890-0561.210 | 460
P=1529 | X=0461.690-0478.330 | Y=0551.890-0561.210 | 320
P=1529 | X=0505.390-0522.030 | Y=0551.890-0561.210 | 280
P=1529 | X=0111.410-0342.500 | Y=0561.530-0572.770 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1529 | X=0111.410-0388.600 | Y=0579.050-0590.290 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1529 | X=0111.410-0384.920 | Y=0596.810-0608.050 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1529 | X=0111.410-0377.950 | Y=0608.330-0619.570 | ra Quốc lộ 20 đoạn từ Ngã ba Km118 đến Giáp ranh xã Tân
P=1529 | X=0111.410-0338.890 | Y=0619.870-0631.110 | Phú có hiện trạng là đường nhựa, bê tông xi măng:
P=1529 | X=0095.060-0342.960 | Y=0637.390-0651.470 | 27 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1529 | X=0413.900-0430.540 | Y=0642.150-0651.470 | 340
P=1529 | X=0461.690-0478.330 | Y=0642.150-0651.470 | 240
P=1529 | X=0505.390-0522.030 | Y=0642.150-0651.470 | 200
P=1529 | X=0111.410-0364.720 | Y=0654.910-0666.150 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1529 | X=0111.410-0206.360 | Y=0666.430-0677.670 | >500m đến ≤1.000m.
P=1529 | X=0111.410-0334.580 | Y=0683.950-0695.190 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1529 | X=0095.060-0384.920 | Y=0701.730-0712.970 | 28 Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1529 | X=0413.900-0430.540 | Y=0703.620-0712.940 | 230
P=1529 | X=0461.690-0478.330 | Y=0703.620-0712.940 | 160
P=1529 | X=0505.390-0522.030 | Y=0703.620-0712.940 | 140
P=1530 | X=0111.410-0377.950 | Y=0072.500-0083.740 | ra Quốc lộ 20 đoạn từ Ngã ba Km118 đến Giáp ranh xã Tân
P=1530 | X=0111.410-0338.890 | Y=0084.020-0095.260 | Phú có hiện trạng là đường nhựa, bê tông xi măng:
P=1530 | X=0111.410-0352.520 | Y=0101.540-0112.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1530 | X=0111.410-0153.550 | Y=0114.940-0124.260 | >1.000m.
P=1530 | X=0111.410-0335.050 | Y=0130.610-0141.850 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1530 | X=0111.410-0219.750 | Y=0148.370-0159.610 | Đường 118 - sông Đồng
P=1530 | X=0303.960-0383.030 | Y=0148.370-0159.610 | Ngã ba đường be
P=1530 | X=0095.060-0106.180 | Y=0156.010-0165.330 | 29
P=1530 | X=0221.590-0270.180 | Y=0156.010-0165.330 | Quốc lộ 20
P=1530 | X=0405.740-0430.790 | Y=0156.010-0165.330 | 1.000
P=1530 | X=0461.690-0478.330 | Y=0156.010-0165.330 | 700
P=1530 | X=0505.390-0522.030 | Y=0156.010-0165.330 | 600
P=1530 | X=0111.410-0126.370 | Y=0161.530-0170.850 | Nai
P=1530 | X=0303.960-0320.600 | Y=0161.530-0170.850 | 117
P=1530 | X=0111.410-0385.340 | Y=0177.410-0188.650 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 118 -
P=1530 | X=0111.410-0386.620 | Y=0188.930-0200.170 | sông Đồng Nai đoạn từ Quốc lộ 20 đến Ngã ba đường be 117
P=1530 | X=0111.410-0318.260 | Y=0200.470-0211.710 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1530 | X=0095.060-0106.180 | Y=0208.350-0217.670 | 30
P=1530 | X=0413.900-0430.540 | Y=0208.350-0217.670 | 520
P=1530 | X=0461.690-0478.330 | Y=0208.350-0217.670 | 360
P=1530 | X=0505.390-0522.030 | Y=0208.350-0217.670 | 310
P=1530 | X=0111.410-0342.490 | Y=0217.990-0229.230 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1530 | X=0111.410-0388.600 | Y=0235.510-0246.750 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1530 | X=0111.410-0385.340 | Y=0253.270-0264.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 118 -
P=1530 | X=0111.410-0386.620 | Y=0264.790-0276.030 | sông Đồng Nai đoạn từ Quốc lộ 20 đến Ngã ba đường be 117
P=1530 | X=0111.410-0318.260 | Y=0276.310-0287.550 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1530 | X=0095.060-0342.960 | Y=0293.860-0307.940 | 31 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1530 | X=0413.900-0430.540 | Y=0298.620-0307.940 | 260
P=1530 | X=0461.690-0478.330 | Y=0298.620-0307.940 | 180
P=1530 | X=0505.390-0522.030 | Y=0298.620-0307.940 | 160
P=1530 | X=0111.410-0364.720 | Y=0311.380-0322.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1530 | X=0111.410-0206.360 | Y=0322.900-0334.140 | >500m đến ≤1.000m.
P=1530 | X=0111.410-0334.580 | Y=0340.420-0351.660 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1530 | X=0111.410-0385.340 | Y=0357.940-0369.180 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 118 -
P=1530 | X=0111.410-0386.620 | Y=0369.480-0380.720 | sông Đồng Nai đoạn từ Quốc lộ 20 đến Ngã ba đường be 117
P=1530 | X=0111.410-0318.260 | Y=0381.000-0392.240 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1530 | X=0095.060-0106.180 | Y=0394.640-0403.960 | 32
P=1530 | X=0413.900-0430.540 | Y=0394.640-0403.960 | 230
P=1530 | X=0461.690-0478.330 | Y=0394.640-0403.960 | 160
P=1530 | X=0505.390-0522.030 | Y=0394.640-0403.960 | 140
P=1530 | X=0111.410-0352.520 | Y=0398.520-0409.760 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1530 | X=0111.410-0153.550 | Y=0411.920-0421.240 | >1.000m.
P=1530 | X=0111.410-0335.050 | Y=0427.560-0438.800 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1530 | X=0111.410-0384.920 | Y=0445.320-0456.560 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1530 | X=0111.410-0378.200 | Y=0456.860-0468.100 | ra Đường 118 - sông Đồng Nai đoạn từ Quốc lộ 20 đến Ngã
P=1530 | X=0111.410-0367.630 | Y=0468.380-0479.620 | ba đường be 117 có hiện trạng là đường nhựa, bê tông xi
P=1530 | X=0095.060-0139.410 | Y=0479.900-0491.340 | 33 măng:
P=1530 | X=0413.900-0430.540 | Y=0482.020-0491.340 | 470
P=1530 | X=0461.690-0478.330 | Y=0482.020-0491.340 | 330
P=1530 | X=0505.390-0522.030 | Y=0482.020-0491.340 | 280
P=1530 | X=0111.410-0342.490 | Y=0497.420-0508.660 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1530 | X=0111.410-0388.600 | Y=0514.940-0526.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1530 | X=0111.410-0384.920 | Y=0532.490-0543.730 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1530 | X=0111.410-0378.200 | Y=0544.010-0555.250 | ra Đường 118 - sông Đồng Nai đoạn từ Quốc lộ 20 đến Ngã
P=1530 | X=0111.410-0367.630 | Y=0555.530-0566.770 | ba đường be 117 có hiện trạng là đường nhựa, bê tông xi
P=1530 | X=0111.410-0139.410 | Y=0567.050-0578.290 | măng:
P=1530 | X=0095.060-0342.960 | Y=0583.810-0595.810 | 34 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1530 | X=0413.900-0430.540 | Y=0583.810-0593.130 | 230
P=1530 | X=0461.690-0478.330 | Y=0583.810-0593.130 | 160
P=1530 | X=0505.390-0522.030 | Y=0583.810-0593.130 | 140
P=1530 | X=0111.410-0364.720 | Y=0602.090-0613.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1530 | X=0111.410-0206.360 | Y=0613.610-0624.850 | >500m đến ≤1.000m.
P=1530 | X=0111.410-0334.580 | Y=0631.150-0642.390 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1530 | X=0111.410-0384.920 | Y=0648.910-0660.150 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1530 | X=0111.410-0378.200 | Y=0660.430-0671.670 | ra Đường 118 - sông Đồng Nai đoạn từ Quốc lộ 20 đến Ngã
P=1530 | X=0095.060-0367.630 | Y=0671.950-0686.030 | 35 ba đường be 117 có hiện trạng là đường nhựa, bê tông xi
P=1530 | X=0413.900-0430.540 | Y=0676.710-0686.030 | 210
P=1530 | X=0461.690-0478.330 | Y=0676.710-0686.030 | 150
P=1530 | X=0505.390-0522.030 | Y=0676.710-0686.030 | 130
P=1530 | X=0111.410-0139.410 | Y=0683.470-0694.710 | măng:
P=1530 | X=0111.410-0352.520 | Y=0700.770-0712.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1531 | X=0111.410-0153.550 | Y=0074.380-0083.700 | >1.000m.
P=1531 | X=0111.410-0335.050 | Y=0090.020-0101.260 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1531 | X=0111.410-0387.580 | Y=0107.780-0119.020 | Đường 118 - sông Đồng Ngã ba đường be Ngã ba đường liên
P=1531 | X=0095.060-0106.180 | Y=0115.420-0124.740 | 36
P=1531 | X=0413.900-0430.540 | Y=0115.420-0124.740 | 650
P=1531 | X=0461.690-0478.330 | Y=0115.420-0124.740 | 460
P=1531 | X=0505.390-0522.030 | Y=0115.420-0124.740 | 390
P=1531 | X=0303.960-0332.370 | Y=0119.330-0130.570 | ấp 4-5
P=1531 | X=0111.410-0126.370 | Y=0121.210-0130.530 | Nai
P=1531 | X=0221.590-0238.230 | Y=0121.210-0130.530 | 117
P=1531 | X=0111.410-0385.340 | Y=0137.090-0148.330 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 118 -
P=1531 | X=0111.410-0370.520 | Y=0148.610-0159.850 | sông Đồng Nai đoạn từ Ngã ba đường be 117 đến Ngã ba
P=1531 | X=0111.410-0370.040 | Y=0160.130-0171.370 | đường liên ấp 4-5 có hiện trạng là đường nhựa, bê tông xi
P=1531 | X=0095.060-0139.410 | Y=0171.410-0182.850 | 37 măng:
P=1531 | X=0413.900-0430.540 | Y=0173.530-0182.850 | 310
P=1531 | X=0461.690-0478.330 | Y=0173.530-0182.850 | 220
P=1531 | X=0505.390-0522.030 | Y=0173.530-0182.850 | 190
P=1531 | X=0111.410-0342.490 | Y=0188.930-0200.170 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1531 | X=0111.410-0388.600 | Y=0206.470-0217.710 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1531 | X=0111.410-0385.340 | Y=0224.230-0235.470 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 118 -
P=1531 | X=0111.410-0370.520 | Y=0235.750-0246.990 | sông Đồng Nai đoạn từ Ngã ba đường be 117 đến Ngã ba
P=1531 | X=0111.410-0370.040 | Y=0247.270-0258.510 | đường liên ấp 4-5 có hiện trạng là đường nhựa, bê tông xi
P=1531 | X=0111.410-0139.410 | Y=0258.790-0270.030 | măng:
P=1531 | X=0095.060-0342.960 | Y=0275.310-0287.550 | 38 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1531 | X=0413.900-0430.540 | Y=0275.310-0284.630 | 230
P=1531 | X=0461.690-0478.330 | Y=0275.310-0284.630 | 160
P=1531 | X=0505.390-0522.030 | Y=0275.310-0284.630 | 140
P=1531 | X=0111.410-0364.720 | Y=0293.860-0305.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1531 | X=0111.410-0206.360 | Y=0305.380-0316.620 | >500m đến ≤1.000m.
P=1531 | X=0111.410-0334.580 | Y=0322.900-0334.140 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1531 | X=0111.410-0385.340 | Y=0340.660-0351.900 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 118 -
P=1531 | X=0111.410-0370.520 | Y=0351.940-0363.180 | sông Đồng Nai đoạn từ Ngã ba đường be 117 đến Ngã ba
P=1531 | X=0111.410-0370.040 | Y=0363.460-0374.700 | đường liên ấp 4-5 có hiện trạng là đường nhựa, bê tông xi
P=1531 | X=0111.410-0139.410 | Y=0375.000-0386.240 | măng:
P=1531 | X=0095.060-0106.180 | Y=0382.880-0392.200 | 39
P=1531 | X=0413.900-0430.540 | Y=0382.880-0392.200 | 160
P=1531 | X=0461.690-0478.330 | Y=0382.880-0392.200 | 110
P=1531 | X=0505.390-0522.030 | Y=0382.880-0392.200 | 100
P=1531 | X=0111.410-0352.520 | Y=0392.520-0403.760 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1531 | X=0111.410-0153.550 | Y=0405.920-0415.240 | >1.000m.
P=1531 | X=0111.410-0335.050 | Y=0421.560-0432.800 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1531 | X=0111.410-0384.920 | Y=0439.320-0450.560 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1531 | X=0111.410-0387.580 | Y=0450.860-0462.100 | ra Đường 118 - sông Đồng Nai đoạn từ Ngã ba đường be 117
P=1531 | X=0111.410-0378.070 | Y=0462.380-0473.620 | đến Ngã ba đường liên ấp 4-5 có hiện trạng là đường nhựa,
P=1531 | X=0095.060-0185.490 | Y=0473.900-0485.340 | 40 bê tông xi măng:
P=1531 | X=0413.900-0430.540 | Y=0476.020-0485.340 | 280
P=1531 | X=0461.690-0478.330 | Y=0476.020-0485.340 | 200
P=1531 | X=0505.390-0522.030 | Y=0476.020-0485.340 | 170
P=1531 | X=0111.410-0342.490 | Y=0491.420-0502.660 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1531 | X=0111.410-0388.600 | Y=0508.940-0520.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1531 | X=0111.410-0384.920 | Y=0526.460-0537.700 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1531 | X=0111.410-0387.580 | Y=0538.010-0549.250 | ra Đường 118 - sông Đồng Nai đoạn từ Ngã ba đường be 117
P=1531 | X=0111.410-0378.070 | Y=0549.530-0560.770 | đến Ngã ba đường liên ấp 4-5 có hiện trạng là đường nhựa,
P=1531 | X=0111.410-0185.490 | Y=0561.050-0572.290 | bê tông xi măng:
P=1531 | X=0095.060-0342.960 | Y=0577.810-0589.810 | 41 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1531 | X=0413.900-0430.540 | Y=0577.810-0587.130 | 210
P=1531 | X=0461.690-0478.330 | Y=0577.810-0587.130 | 150
P=1531 | X=0505.390-0522.030 | Y=0577.810-0587.130 | 130
P=1531 | X=0111.410-0364.720 | Y=0596.090-0607.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1531 | X=0111.410-0206.360 | Y=0607.610-0618.850 | >500m đến ≤1.000m.
P=1531 | X=0111.410-0334.580 | Y=0625.150-0636.390 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1531 | X=0111.410-0384.920 | Y=0642.910-0654.150 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1531 | X=0111.410-0387.580 | Y=0654.430-0665.670 | ra Đường 118 - sông Đồng Nai đoạn từ Ngã ba đường be 117
P=1531 | X=0111.410-0378.070 | Y=0665.950-0677.190 | đến Ngã ba đường liên ấp 4-5 có hiện trạng là đường nhựa,
P=1531 | X=0095.060-0185.480 | Y=0676.470-0688.710 | 42 bê tông xi măng:
P=1531 | X=0413.900-0430.540 | Y=0676.470-0685.790 | 140
P=1531 | X=0461.690-0478.330 | Y=0676.470-0685.790 | 100
P=1531 | X=0511.150-0522.270 | Y=0676.470-0685.790 | 80
P=1531 | X=0111.410-0352.520 | Y=0694.750-0705.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1531 | X=0111.410-0153.550 | Y=0708.180-0717.500 | >1.000m.
P=1532 | X=0111.410-0335.050 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1532 | X=0111.410-0286.750 | Y=0096.260-0107.500 | Đường 118 - sông Đồng Ngã ba đường
P=1532 | X=0303.960-0376.300 | Y=0096.260-0107.500 | Giáp sông Đồng
P=1532 | X=0095.060-0106.180 | Y=0103.900-0113.220 | 43
P=1532 | X=0413.900-0430.540 | Y=0103.900-0113.220 | 800
P=1532 | X=0461.690-0478.330 | Y=0103.900-0113.220 | 560
P=1532 | X=0505.390-0522.030 | Y=0103.900-0113.220 | 480
P=1532 | X=0221.590-0268.510 | Y=0107.780-0119.020 | liên ấp 4-5
P=1532 | X=0111.410-0126.370 | Y=0109.660-0118.980 | Nai
P=1532 | X=0303.960-0318.920 | Y=0109.660-0118.980 | Nai
P=1532 | X=0111.410-0385.340 | Y=0125.570-0136.810 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 118 -
P=1532 | X=0111.410-0375.790 | Y=0137.090-0148.330 | sông Đồng Nai đoạn từ Ngã ba đường liên ấp 4-5 đến Giáp
P=1532 | X=0111.410-0387.160 | Y=0148.610-0159.850 | sông Đồng Nai có hiện trạng là đường nhựa, bê tông xi măng:
P=1532 | X=0095.060-0106.180 | Y=0156.490-0165.810 | 44
P=1532 | X=0413.900-0430.540 | Y=0156.490-0165.810 | 400
P=1532 | X=0461.690-0478.330 | Y=0156.490-0165.810 | 280
P=1532 | X=0505.390-0522.030 | Y=0156.490-0165.810 | 240
P=1532 | X=0111.410-0342.490 | Y=0166.130-0177.370 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1532 | X=0111.410-0388.600 | Y=0183.410-0194.650 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1532 | X=0111.410-0385.340 | Y=0201.190-0212.430 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 118 -
P=1532 | X=0111.410-0375.790 | Y=0212.710-0223.950 | sông Đồng Nai đoạn từ Ngã ba đường liên ấp 4-5 đến Giáp
P=1532 | X=0111.410-0387.160 | Y=0224.230-0235.470 | sông Đồng Nai có hiện trạng là đường nhựa, bê tông xi măng:
P=1532 | X=0095.060-0342.960 | Y=0241.750-0256.070 | 45 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1532 | X=0413.900-0430.540 | Y=0246.750-0256.070 | 320
P=1532 | X=0461.690-0478.330 | Y=0246.750-0256.070 | 220
P=1532 | X=0505.390-0522.030 | Y=0246.750-0256.070 | 190
P=1532 | X=0111.410-0364.720 | Y=0259.270-0270.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1532 | X=0111.410-0206.360 | Y=0270.790-0282.030 | >500m đến ≤1.000m.
P=1532 | X=0111.410-0334.580 | Y=0288.340-0299.580 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1532 | X=0111.410-0385.340 | Y=0306.100-0317.340 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 118 -
P=1532 | X=0111.410-0375.790 | Y=0317.620-0328.860 | sông Đồng Nai đoạn từ Ngã ba đường liên ấp 4-5 đến Giáp
P=1532 | X=0111.410-0387.160 | Y=0329.140-0340.380 | sông Đồng Nai có hiện trạng là đường nhựa, bê tông xi măng:
P=1532 | X=0095.060-0106.180 | Y=0342.780-0352.100 | 46
P=1532 | X=0413.900-0430.540 | Y=0342.780-0352.100 | 250
P=1532 | X=0461.690-0478.330 | Y=0342.780-0352.100 | 180
P=1532 | X=0505.390-0522.030 | Y=0342.780-0352.100 | 150
P=1532 | X=0111.410-0352.520 | Y=0346.660-0357.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1532 | X=0111.410-0153.550 | Y=0359.820-0369.140 | >1.000m.
P=1532 | X=0111.410-0335.050 | Y=0375.480-0386.720 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1532 | X=0111.410-0384.920 | Y=0393.240-0404.480 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1532 | X=0111.410-0386.620 | Y=0404.760-0416.000 | ra Đường 118 - sông Đồng Nai đoạn từ Ngã ba đường liên ấp
P=1532 | X=0111.410-0385.180 | Y=0416.280-0427.520 | 4-5 đến Giáp sông Đồng Nai có hiện trạng là đường nhựa, bê
P=1532 | X=0095.060-0171.570 | Y=0427.800-0439.240 | 47 tông xi măng:
P=1532 | X=0413.900-0430.540 | Y=0429.920-0439.240 | 360
P=1532 | X=0461.690-0478.330 | Y=0429.920-0439.240 | 250
P=1532 | X=0505.390-0522.030 | Y=0429.920-0439.240 | 220
P=1532 | X=0111.410-0342.490 | Y=0445.320-0456.560 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1532 | X=0111.410-0388.600 | Y=0462.860-0474.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1532 | X=0111.410-0384.920 | Y=0480.620-0491.860 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1532 | X=0111.410-0386.620 | Y=0492.140-0503.380 | ra Đường 118 - sông Đồng Nai đoạn từ Ngã ba đường liên ấp
P=1532 | X=0111.410-0385.180 | Y=0503.660-0514.900 | 4-5 đến Giáp sông Đồng Nai có hiện trạng là đường nhựa, bê
P=1532 | X=0111.410-0171.570 | Y=0515.180-0526.420 | tông xi măng:
P=1532 | X=0095.060-0342.960 | Y=0531.700-0543.730 | 48 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1532 | X=0413.900-0430.540 | Y=0531.700-0541.020 | 290
P=1532 | X=0461.690-0478.330 | Y=0531.700-0541.020 | 200
P=1532 | X=0505.390-0522.030 | Y=0531.700-0541.020 | 170
P=1532 | X=0111.410-0364.720 | Y=0550.010-0561.250 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1532 | X=0111.410-0206.360 | Y=0561.530-0572.770 | >500m đến ≤1.000m.
P=1532 | X=0111.410-0334.580 | Y=0579.050-0590.290 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1532 | X=0111.410-0384.920 | Y=0596.810-0608.050 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1532 | X=0111.410-0386.620 | Y=0608.330-0619.570 | ra Đường 118 - sông Đồng Nai đoạn từ Ngã ba đường liên ấp
P=1532 | X=0111.410-0385.180 | Y=0619.870-0631.110 | 4-5 đến Giáp sông Đồng Nai có hiện trạng là đường nhựa, bê
P=1532 | X=0111.410-0171.560 | Y=0631.390-0642.630 | tông xi măng:
P=1532 | X=0095.060-0106.180 | Y=0639.270-0648.590 | 49
P=1532 | X=0413.900-0430.540 | Y=0639.270-0648.590 | 230
P=1532 | X=0461.690-0478.330 | Y=0639.270-0648.590 | 160
P=1532 | X=0505.390-0522.030 | Y=0639.270-0648.590 | 140
P=1532 | X=0111.410-0352.520 | Y=0648.910-0660.150 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1532 | X=0111.410-0153.550 | Y=0662.310-0671.630 | >1.000m.
P=1532 | X=0111.410-0335.050 | Y=0677.950-0689.190 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1532 | X=0303.960-0375.830 | Y=0695.710-0706.950 | Hết ranh trường
P=1532 | X=0095.060-0162.620 | Y=0701.490-0712.730 | 50 Đường 120
P=1532 | X=0221.590-0270.180 | Y=0703.380-0712.700 | Quốc lộ 20
P=1532 | X=0413.900-0430.540 | Y=0703.380-0712.700 | 650
P=1532 | X=0461.690-0478.330 | Y=0703.380-0712.700 | 460
P=1532 | X=0505.390-0522.030 | Y=0703.380-0712.700 | 390
P=1532 | X=0303.960-0371.930 | Y=0709.140-0718.460 | THCS Phú Tân
P=1533 | X=0111.410-0379.190 | Y=0078.500-0089.740 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 120
P=1533 | X=0111.410-0375.030 | Y=0090.020-0101.260 | đoạn từ Quốc lộ 20 đến Hết ranh trường THCS Phú Tân có
P=1533 | X=0111.410-0305.020 | Y=0101.540-0112.780 | hiện trạng là đường nhựa, bê tông xi măng:
P=1533 | X=0095.060-0106.180 | Y=0109.420-0118.740 | 51
P=1533 | X=0413.900-0430.540 | Y=0109.420-0118.740 | 390
P=1533 | X=0461.690-0478.330 | Y=0109.420-0118.740 | 270
P=1533 | X=0505.390-0522.030 | Y=0109.420-0118.740 | 230
P=1533 | X=0111.410-0342.490 | Y=0119.090-0130.330 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1533 | X=0111.410-0388.600 | Y=0136.610-0147.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1533 | X=0111.410-0379.170 | Y=0154.370-0165.610 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 120
P=1533 | X=0111.410-0375.030 | Y=0165.650-0176.890 | đoạn từ Quốc lộ 20 đến Hết ranh trường THCS Phú Tân có
P=1533 | X=0111.410-0305.020 | Y=0177.170-0188.410 | hiện trạng là đường nhựa, bê tông xi măng:
P=1533 | X=0095.060-0342.960 | Y=0194.690-0209.030 | 52 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1533 | X=0413.900-0430.540 | Y=0199.710-0209.030 | 260
P=1533 | X=0461.690-0478.330 | Y=0199.710-0209.030 | 180
P=1533 | X=0505.390-0522.030 | Y=0199.710-0209.030 | 160
P=1533 | X=0111.410-0364.720 | Y=0212.230-0223.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1533 | X=0111.410-0206.360 | Y=0223.750-0234.990 | >500m đến ≤1.000m.
P=1533 | X=0111.410-0334.580 | Y=0241.270-0252.510 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1533 | X=0111.410-0379.170 | Y=0259.030-0270.270 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 120
P=1533 | X=0111.410-0375.030 | Y=0270.550-0281.790 | đoạn từ Quốc lộ 20 đến Hết ranh trường THCS Phú Tân có
P=1533 | X=0111.410-0305.020 | Y=0282.100-0293.340 | hiện trạng là đường nhựa, bê tông xi măng:
P=1533 | X=0095.060-0106.180 | Y=0295.740-0305.060 | 53
P=1533 | X=0413.900-0430.540 | Y=0295.740-0305.060 | 140
P=1533 | X=0461.690-0478.330 | Y=0295.740-0305.060 | 100
P=1533 | X=0511.150-0522.270 | Y=0295.740-0305.060 | 80
P=1533 | X=0111.410-0352.520 | Y=0299.620-0310.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1533 | X=0111.410-0153.550 | Y=0313.020-0322.340 | >1.000m.
P=1533 | X=0111.410-0335.050 | Y=0328.660-0339.900 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1533 | X=0111.410-0384.920 | Y=0346.420-0357.660 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1533 | X=0111.410-0386.750 | Y=0357.700-0368.940 | ra Đường 120 đoạn từ Quốc lộ 20 đến Hết ranh trường THCS
P=1533 | X=0111.410-0358.820 | Y=0369.240-0380.480 | Phú Tân có hiện trạng là đường nhựa, bê tông xi măng:
P=1533 | X=0095.060-0106.180 | Y=0377.120-0386.440 | 54
