TABLE=005 | AREA=Phường Trảng Dài | SECTION=non-agricultural | SEGMENTS=1
P=0180 | X=0311.160-0399.810 | Y=0381.480-0392.720 | Ngã 3 cây xăng khu
P=0180 | X=0228.820-0287.220 | Y=0387.240-0398.480 | Đường Đồng
P=0180 | X=0092.900-0214.470 | Y=0393.000-0404.240 | 71 Đường Bùi Trọng Nghĩa
P=0180 | X=0311.160-0380.860 | Y=0393.000-0404.240 | phố 3 - phường
P=0180 | X=0411.020-0441.590 | Y=0394.880-0404.200 | 21.100
P=0180 | X=0452.330-0522.280 | Y=0394.880-0404.200 | 14.800 12.700
P=0180 | X=0228.820-0250.020 | Y=0400.640-0409.960 | Khởi
P=0180 | X=0311.160-0355.160 | Y=0406.400-0415.720 | Trảng Dài
P=0180 | X=0107.090-0372.670 | Y=0422.280-0433.520 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bùi
P=0180 | X=0107.090-0395.720 | Y=0433.800-0445.040 | Trọng Nghĩa đoạn từ Đường Đồng Khởi đến Ngã 3 cây xăng khu
P=0180 | X=0107.090-0392.350 | Y=0445.320-0456.560 | phố 3 - phường Trảng Dài có hiện trạng là đường nhựa, bê tông
P=0180 | X=0092.900-0144.920 | Y=0456.860-0468.300 | 72 xi măng:
P=0180 | X=0411.020-0441.590 | Y=0458.980-0468.300 | 11.200
P=0180 | X=0457.850-0482.900 | Y=0458.980-0468.300 | 7.800
P=0180 | X=0497.230-0522.280 | Y=0458.980-0468.300 | 6.700
P=0180 | X=0107.090-0330.000 | Y=0474.380-0485.620 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0180 | X=0107.090-0384.260 | Y=0491.900-0503.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0180 | X=0107.090-0372.670 | Y=0509.660-0520.900 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bùi
P=0180 | X=0107.090-0395.720 | Y=0521.180-0532.420 | Trọng Nghĩa đoạn từ Đường Đồng Khởi đến Ngã 3 cây xăng khu
P=0180 | X=0107.090-0392.350 | Y=0532.490-0543.730 | phố 3 - phường Trảng Dài có hiện trạng là đường nhựa, bê tông
P=0180 | X=0107.090-0144.920 | Y=0544.010-0555.250 | xi măng:
P=0180 | X=0092.900-0330.260 | Y=0560.770-0572.770 | 73 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0180 | X=0416.540-0441.590 | Y=0560.770-0570.090 | 5.800
P=0180 | X=0457.850-0482.900 | Y=0560.770-0570.090 | 4.100
P=0180 | X=0497.230-0522.280 | Y=0560.770-0570.090 | 3.500
P=0180 | X=0107.090-0393.980 | Y=0579.050-0590.290 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0180 | X=0107.090-0160.050 | Y=0590.570-0601.810 | đến ≤600m.
P=0180 | X=0107.090-0330.260 | Y=0608.090-0619.330 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0180 | X=0107.090-0372.670 | Y=0625.870-0637.110 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bùi
P=0180 | X=0107.090-0395.720 | Y=0637.390-0648.630 | Trọng Nghĩa đoạn từ Đường Đồng Khởi đến Ngã 3 cây xăng khu
P=0180 | X=0107.090-0392.350 | Y=0648.910-0660.150 | phố 3 - phường Trảng Dài có hiện trạng là đường nhựa, bê tông
P=0180 | X=0092.900-0144.920 | Y=0660.430-0671.870 | 74 xi măng:
P=0180 | X=0416.540-0441.590 | Y=0662.550-0671.870 | 3.900
P=0180 | X=0457.850-0482.900 | Y=0662.550-0671.870 | 2.700
P=0180 | X=0497.230-0522.280 | Y=0662.550-0671.870 | 2.300
P=0180 | X=0107.090-0384.500 | Y=0677.950-0689.190 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0180 | X=0107.090-0330.730 | Y=0695.470-0706.710 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0181 | X=0107.090-0392.350 | Y=0078.500-0089.740 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0181 | X=0107.090-0385.390 | Y=0090.020-0101.260 | Đường Bùi Trọng Nghĩa đoạn từ Đường Đồng Khởi đến Ngã 3
P=0181 | X=0107.090-0389.020 | Y=0101.540-0112.780 | cây xăng khu phố 3 - phường Trảng Dài có hiện trạng là đường
P=0181 | X=0092.900-0210.200 | Y=0113.060-0124.500 | 75 nhựa, bê tông xi măng:
P=0181 | X=0411.020-0441.590 | Y=0115.180-0124.500 | 10.100
P=0181 | X=0457.850-0482.900 | Y=0115.180-0124.500 | 7.100
P=0181 | X=0497.230-0522.280 | Y=0115.180-0124.500 | 6.100
P=0181 | X=0107.090-0330.000 | Y=0130.610-0141.850 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0181 | X=0107.090-0384.260 | Y=0148.130-0159.370 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0181 | X=0107.090-0392.350 | Y=0165.650-0176.890 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0181 | X=0107.090-0385.390 | Y=0177.170-0188.410 | Đường Bùi Trọng Nghĩa đoạn từ Đường Đồng Khởi đến Ngã 3
P=0181 | X=0107.090-0389.020 | Y=0188.690-0199.930 | cây xăng khu phố 3 - phường Trảng Dài có hiện trạng là đường
P=0181 | X=0107.090-0210.200 | Y=0200.230-0211.470 | nhựa, bê tông xi măng:
P=0181 | X=0092.900-0330.260 | Y=0216.990-0228.990 | 76 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0181 | X=0416.540-0441.590 | Y=0216.990-0226.310 | 5.200
P=0181 | X=0457.850-0482.900 | Y=0216.990-0226.310 | 3.600
P=0181 | X=0497.230-0522.280 | Y=0216.990-0226.310 | 3.100
P=0181 | X=0107.090-0393.980 | Y=0235.270-0246.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0181 | X=0107.090-0160.060 | Y=0246.790-0258.030 | đến ≤600m.
P=0181 | X=0107.090-0330.260 | Y=0264.310-0275.550 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0181 | X=0107.090-0392.350 | Y=0282.100-0293.340 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0181 | X=0107.090-0385.390 | Y=0293.620-0304.860 | Đường Bùi Trọng Nghĩa đoạn từ Đường Đồng Khởi đến Ngã 3
P=0181 | X=0107.090-0389.020 | Y=0305.140-0316.380 | cây xăng khu phố 3 - phường Trảng Dài có hiện trạng là đường
P=0181 | X=0092.900-0210.210 | Y=0316.660-0328.100 | 77 nhựa, bê tông xi măng:
P=0181 | X=0416.540-0441.590 | Y=0318.780-0328.100 | 3.500
P=0181 | X=0457.850-0482.900 | Y=0318.780-0328.100 | 2.500
P=0181 | X=0497.230-0522.280 | Y=0318.780-0328.100 | 2.100
P=0181 | X=0107.090-0384.500 | Y=0333.940-0345.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0181 | X=0107.090-0333.380 | Y=0351.460-0362.700 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0181 | X=0228.820-0380.140 | Y=0369.240-0380.480 | Ngã ba cây xăng Đường Nguyễn
P=0181 | X=0092.900-0214.470 | Y=0375.000-0386.240 | 78 Đường Bùi Trọng Nghĩa
P=0181 | X=0411.020-0441.590 | Y=0376.880-0386.200 | 17.000
P=0181 | X=0452.330-0522.280 | Y=0376.880-0386.200 | 11.900 10.200
P=0181 | X=0228.820-0272.820 | Y=0382.640-0391.960 | khu phố 3
P=0181 | X=0311.160-0345.080 | Y=0382.640-0391.960 | Khuyến
P=0181 | X=0107.090-0372.670 | Y=0398.520-0409.760 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bùi
P=0181 | X=0107.090-0378.460 | Y=0410.040-0421.280 | Trọng Nghĩa đoạn từ Ngã ba cây xăng khu phố 3 đến Đường
P=0181 | X=0107.090-0387.870 | Y=0421.560-0432.800 | Nguyễn Khuyến có hiện trạng là đường nhựa, bê tông xi măng:
P=0181 | X=0092.900-0104.020 | Y=0429.440-0438.760 | 79
P=0181 | X=0416.540-0441.590 | Y=0429.440-0438.760 | 9.000
P=0181 | X=0457.850-0482.900 | Y=0429.440-0438.760 | 6.300
P=0181 | X=0497.230-0522.280 | Y=0429.440-0438.760 | 5.400
P=0181 | X=0107.090-0330.000 | Y=0439.080-0450.320 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0181 | X=0107.090-0384.300 | Y=0456.620-0467.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0181 | X=0107.090-0372.670 | Y=0474.380-0485.620 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bùi
P=0181 | X=0107.090-0378.460 | Y=0485.900-0497.140 | Trọng Nghĩa đoạn từ Ngã ba cây xăng khu phố 3 đến Đường
P=0181 | X=0107.090-0387.870 | Y=0497.420-0508.660 | Nguyễn Khuyến có hiện trạng là đường nhựa, bê tông xi măng:
P=0181 | X=0092.900-0330.260 | Y=0514.940-0529.020 | 80 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0181 | X=0416.540-0441.590 | Y=0519.700-0529.020 | 5.200
P=0181 | X=0457.850-0482.900 | Y=0519.700-0529.020 | 3.600
P=0181 | X=0497.230-0522.280 | Y=0519.700-0529.020 | 3.100
P=0181 | X=0107.090-0393.980 | Y=0532.220-0543.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0181 | X=0107.090-0160.050 | Y=0543.770-0555.010 | đến ≤600m.
P=0181 | X=0107.090-0330.260 | Y=0561.290-0572.530 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0181 | X=0107.090-0372.670 | Y=0579.050-0590.290 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bùi
P=0181 | X=0107.090-0378.460 | Y=0590.570-0601.810 | Trọng Nghĩa đoạn từ Ngã ba cây xăng khu phố 3 đến Đường
P=0181 | X=0107.090-0387.870 | Y=0602.090-0613.330 | Nguyễn Khuyến có hiện trạng là đường nhựa, bê tông xi măng:
P=0181 | X=0092.900-0104.020 | Y=0609.970-0619.290 | 81
P=0181 | X=0416.540-0441.590 | Y=0609.970-0619.290 | 3.400
P=0181 | X=0457.850-0482.900 | Y=0609.970-0619.290 | 2.400
P=0181 | X=0497.230-0522.280 | Y=0609.970-0619.290 | 2.000
P=0181 | X=0107.090-0384.500 | Y=0619.630-0630.870 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0181 | X=0107.090-0330.730 | Y=0637.150-0648.390 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0181 | X=0107.090-0392.350 | Y=0654.910-0666.150 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0181 | X=0107.090-0395.510 | Y=0666.430-0677.670 | Đường Bùi Trọng Nghĩa đoạn từ Ngã ba cây xăng khu phố 3 đến
P=0181 | X=0092.900-0391.870 | Y=0677.950-0692.030 | 82 Đường Nguyễn Khuyến có hiện trạng là đường nhựa, bê tông xi
P=0181 | X=0416.540-0441.590 | Y=0682.710-0692.030 | 8.100
P=0181 | X=0457.850-0482.900 | Y=0682.710-0692.030 | 5.700
P=0181 | X=0497.230-0522.280 | Y=0682.710-0692.030 | 4.900
P=0181 | X=0107.090-0135.090 | Y=0689.470-0700.710 | măng:
P=0181 | X=0107.090-0330.000 | Y=0706.770-0718.010 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0182 | X=0107.090-0384.260 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0182 | X=0107.090-0392.350 | Y=0096.260-0107.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0182 | X=0107.090-0395.510 | Y=0107.780-0119.020 | Đường Bùi Trọng Nghĩa đoạn từ Ngã ba cây xăng khu phố 3 đến
P=0182 | X=0107.090-0391.870 | Y=0119.330-0130.570 | Đường Nguyễn Khuyến có hiện trạng là đường nhựa, bê tông xi
P=0182 | X=0107.090-0135.090 | Y=0130.850-0142.090 | măng:
P=0182 | X=0092.900-0330.260 | Y=0147.370-0159.610 | 83 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0182 | X=0416.540-0441.590 | Y=0147.370-0156.690 | 4.700
P=0182 | X=0457.850-0482.900 | Y=0147.370-0156.690 | 3.300
P=0182 | X=0497.230-0522.280 | Y=0147.370-0156.690 | 2.800
P=0182 | X=0107.090-0393.980 | Y=0165.650-0176.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0182 | X=0107.090-0160.050 | Y=0177.170-0188.410 | đến ≤600m.
P=0182 | X=0107.090-0330.260 | Y=0194.690-0205.930 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0182 | X=0107.090-0392.350 | Y=0212.470-0223.710 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0182 | X=0107.090-0395.510 | Y=0223.990-0235.230 | Đường Bùi Trọng Nghĩa đoạn từ Ngã ba cây xăng khu phố 3 đến
P=0182 | X=0107.090-0391.870 | Y=0235.510-0246.750 | Đường Nguyễn Khuyến có hiện trạng là đường nhựa, bê tông xi
P=0182 | X=0092.900-0135.090 | Y=0247.030-0258.470 | 84 măng:
P=0182 | X=0416.540-0441.590 | Y=0249.150-0258.470 | 3.100
P=0182 | X=0457.850-0482.900 | Y=0249.150-0258.470 | 2.200
P=0182 | X=0497.230-0522.280 | Y=0249.150-0258.470 | 1.900
P=0182 | X=0107.090-0384.500 | Y=0264.550-0275.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0182 | X=0107.090-0333.380 | Y=0282.100-0293.340 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0182 | X=0228.820-0385.180 | Y=0299.860-0311.100 | Đường Bùi Trọng Đường D2 - Khu
P=0182 | X=0092.900-0197.650 | Y=0305.620-0316.860 | 85 Đường Trần Văn Xã
P=0182 | X=0411.020-0441.590 | Y=0307.500-0316.820 | 19.000
P=0182 | X=0452.330-0522.280 | Y=0307.500-0316.820 | 13.300 11.400
P=0182 | X=0228.820-0255.540 | Y=0311.380-0322.620 | Nghĩa
P=0182 | X=0311.160-0389.690 | Y=0311.380-0322.620 | dân cư Phú Gia 2
P=0182 | X=0107.090-0399.580 | Y=0329.140-0340.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trần Văn
P=0182 | X=0107.090-0396.630 | Y=0340.660-0351.900 | Xã đoạn từ Đường Bùi Trọng Nghĩa đến Đường D2 - Khu dân cư
P=0182 | X=0107.090-0360.980 | Y=0351.940-0363.180 | Phú Gia 2 có hiện trạng là đường nhựa, bê tông xi măng:
P=0182 | X=0092.900-0104.020 | Y=0359.820-0369.140 | 86
P=0182 | X=0411.020-0441.590 | Y=0359.820-0369.140 | 10.100
P=0182 | X=0457.850-0482.900 | Y=0359.820-0369.140 | 7.100
P=0182 | X=0497.230-0522.280 | Y=0359.820-0369.140 | 6.100
P=0182 | X=0107.090-0330.000 | Y=0369.480-0380.720 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0182 | X=0107.090-0384.260 | Y=0387.000-0398.240 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0182 | X=0107.090-0399.580 | Y=0404.760-0416.000 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trần Văn
P=0182 | X=0107.090-0396.630 | Y=0416.280-0427.520 | Xã đoạn từ Đường Bùi Trọng Nghĩa đến Đường D2 - Khu dân cư
P=0182 | X=0107.090-0360.980 | Y=0427.800-0439.040 | Phú Gia 2 có hiện trạng là đường nhựa, bê tông xi măng:
P=0182 | X=0092.900-0330.260 | Y=0445.320-0459.400 | 87 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0182 | X=0416.540-0441.590 | Y=0450.080-0459.400 | 5.200
P=0182 | X=0457.850-0482.900 | Y=0450.080-0459.400 | 3.600
P=0182 | X=0497.230-0522.280 | Y=0450.080-0459.400 | 3.100
P=0182 | X=0107.090-0393.980 | Y=0462.860-0474.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0182 | X=0107.090-0160.050 | Y=0474.380-0485.620 | đến ≤600m.
P=0182 | X=0107.090-0330.260 | Y=0491.900-0503.140 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0182 | X=0107.090-0399.580 | Y=0509.660-0520.900 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trần Văn
P=0182 | X=0107.090-0396.630 | Y=0521.180-0532.420 | Xã đoạn từ Đường Bùi Trọng Nghĩa đến Đường D2 - Khu dân cư
P=0182 | X=0107.090-0360.980 | Y=0532.490-0543.730 | Phú Gia 2 có hiện trạng là đường nhựa, bê tông xi măng:
P=0182 | X=0092.900-0104.020 | Y=0540.370-0549.690 | 88
P=0182 | X=0416.540-0441.590 | Y=0540.370-0549.690 | 3.700
P=0182 | X=0457.850-0482.900 | Y=0540.370-0549.690 | 2.600
P=0182 | X=0497.230-0522.280 | Y=0540.370-0549.690 | 2.200
P=0182 | X=0107.090-0384.500 | Y=0550.010-0561.250 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0182 | X=0107.090-0330.730 | Y=0567.530-0578.770 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0182 | X=0107.090-0392.350 | Y=0585.290-0596.530 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0182 | X=0107.090-0398.870 | Y=0596.810-0608.050 | Đường Trần Văn Xã đoạn từ Đường Bùi Trọng Nghĩa đến Đường
P=0182 | X=0107.090-0396.910 | Y=0608.330-0619.570 | D2 - Khu dân cư Phú Gia 2 có hiện trạng là đường nhựa, bê tông
P=0182 | X=0092.900-0144.920 | Y=0619.870-0631.310 | 89 xi măng:
P=0182 | X=0416.540-0441.590 | Y=0621.990-0631.310 | 9.100
P=0182 | X=0457.850-0482.900 | Y=0621.990-0631.310 | 6.400
P=0182 | X=0497.230-0522.280 | Y=0621.990-0631.310 | 5.500
P=0182 | X=0107.090-0330.000 | Y=0637.390-0648.630 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0182 | X=0107.090-0384.290 | Y=0654.910-0666.150 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0182 | X=0107.090-0392.350 | Y=0672.670-0683.910 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0182 | X=0107.090-0398.870 | Y=0684.190-0695.430 | Đường Trần Văn Xã đoạn từ Đường Bùi Trọng Nghĩa đến Đường
P=0182 | X=0092.900-0104.020 | Y=0691.830-0701.150 | 90
P=0182 | X=0416.540-0441.590 | Y=0691.830-0701.150 | 4.700
P=0182 | X=0457.850-0482.900 | Y=0691.830-0701.150 | 3.300
P=0182 | X=0497.230-0522.280 | Y=0691.830-0701.150 | 2.800
P=0182 | X=0107.090-0396.910 | Y=0695.710-0706.950 | D2 - Khu dân cư Phú Gia 2 có hiện trạng là đường nhựa, bê tông
P=0182 | X=0107.090-0144.920 | Y=0707.250-0718.490 | xi măng:
P=0183 | X=0107.090-0330.270 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0183 | X=0107.090-0393.980 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0183 | X=0107.090-0160.050 | Y=0107.540-0118.780 | đến ≤600m.
P=0183 | X=0107.090-0330.260 | Y=0125.090-0136.330 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0183 | X=0107.090-0392.350 | Y=0142.850-0154.090 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0183 | X=0107.090-0398.870 | Y=0154.370-0165.610 | Đường Trần Văn Xã đoạn từ Đường Bùi Trọng Nghĩa đến Đường
P=0183 | X=0107.090-0396.910 | Y=0165.650-0176.890 | D2 - Khu dân cư Phú Gia 2 có hiện trạng là đường nhựa, bê tông
P=0183 | X=0092.900-0144.920 | Y=0177.170-0188.610 | 91 xi măng:
P=0183 | X=0416.540-0441.590 | Y=0179.290-0188.610 | 3.300
P=0183 | X=0457.850-0482.900 | Y=0179.290-0188.610 | 2.300
P=0183 | X=0497.230-0522.280 | Y=0179.290-0188.610 | 2.000
P=0183 | X=0107.090-0384.500 | Y=0194.690-0205.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0183 | X=0107.090-0333.380 | Y=0212.230-0223.470 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0183 | X=0311.160-0389.830 | Y=0229.990-0241.230 | Hết ranh thửa đất
P=0183 | X=0107.090-0387.340 | Y=0241.510-0252.750 | Đường nối tiếp từ đường Đường Trần Văn số 241, tờ BĐĐC
P=0183 | X=0107.090-0203.430 | Y=0253.030-0264.270 | Trần Văn Xã qua Văn
P=0183 | X=0228.820-0399.180 | Y=0253.030-0264.270 | Xã (từ đường Bùi số 42; bên phải: hết
P=0183 | X=0092.900-0384.700 | Y=0264.550-0275.790 | 92 phòng KP4 phường Trảng Trọng Nghĩa đến ranh thửa đất số
P=0183 | X=0411.020-0441.610 | Y=0266.430-0275.750 | 18.000
P=0183 | X=0452.330-0522.280 | Y=0266.430-0275.750 | 12.600 10.800
P=0183 | X=0107.090-0211.600 | Y=0276.070-0287.310 | Dài đến đường Nguyễn
P=0183 | X=0228.820-0387.350 | Y=0276.070-0287.310 | đường D2 - Khu 262, tờ BĐĐC số
P=0183 | X=0228.820-0389.740 | Y=0287.620-0298.860 | dân cư Phú Gia 2) 42 phường Trảng
P=0183 | X=0107.090-0147.410 | Y=0289.500-0298.820 | Thái Học
P=0183 | X=0311.160-0326.120 | Y=0301.020-0310.340 | Dài
P=0183 | X=0107.090-0390.700 | Y=0316.900-0328.140 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường nối tiếp
P=0183 | X=0107.090-0385.420 | Y=0328.420-0339.660 | từ đường Trần Văn Xã qua Văn phòng KP4 phường Trảng Dài
P=0183 | X=0107.090-0382.970 | Y=0339.700-0350.940 | đến đường Nguyễn Thái Học đoạn từ Đường Trần Văn Xã (từ
P=0183 | X=0107.090-0391.820 | Y=0351.220-0362.460 | đường Bùi Trọng Nghĩa đến đường D2 - Khu dân cư Phú Gia 2)
P=0183 | X=0107.090-0397.420 | Y=0362.740-0373.980 | đến Hết ranh thửa đất số 241, tờ BĐĐC số 42; bên phải: hết ranh
P=0183 | X=0092.900-0104.020 | Y=0370.640-0379.960 | 93
P=0183 | X=0416.540-0441.590 | Y=0370.640-0379.960 | 9.000
P=0183 | X=0457.850-0482.900 | Y=0370.640-0379.960 | 6.300
P=0183 | X=0497.230-0522.280 | Y=0370.640-0379.960 | 5.400
P=0183 | X=0107.090-0396.230 | Y=0374.280-0385.520 | thửa đất số 262, tờ BĐĐC số 42 phường Trảng Dài có hiện trạng
P=0183 | X=0107.090-0253.420 | Y=0385.800-0397.040 | là đường nhựa, bê tông xi măng:
P=0183 | X=0107.090-0330.000 | Y=0403.320-0414.560 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0183 | X=0107.090-0384.290 | Y=0420.840-0432.080 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0183 | X=0107.090-0390.700 | Y=0438.600-0449.840 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường nối tiếp
P=0183 | X=0107.090-0385.420 | Y=0450.140-0461.380 | từ đường Trần Văn Xã qua Văn phòng KP4 phường Trảng Dài
P=0183 | X=0107.090-0382.970 | Y=0461.660-0472.900 | đến đường Nguyễn Thái Học đoạn từ Đường Trần Văn Xã (từ
P=0183 | X=0107.090-0391.780 | Y=0473.180-0484.420 | đường Bùi Trọng Nghĩa đến đường D2 - Khu dân cư Phú Gia 2)
P=0183 | X=0107.090-0397.420 | Y=0484.460-0495.700 | đến Hết ranh thửa đất số 241, tờ BĐĐC số 42; bên phải: hết ranh
P=0183 | X=0107.090-0396.230 | Y=0495.980-0507.220 | thửa đất số 262, tờ BĐĐC số 42 phường Trảng Dài có hiện trạng
P=0183 | X=0092.900-0253.420 | Y=0506.980-0518.740 | 94 là đường nhựa, bê tông xi măng:
P=0183 | X=0416.540-0441.590 | Y=0506.980-0516.300 | 4.700
P=0183 | X=0457.850-0482.900 | Y=0506.980-0516.300 | 3.300
P=0183 | X=0497.230-0522.280 | Y=0506.980-0516.300 | 2.800
P=0183 | X=0107.090-0330.260 | Y=0525.020-0536.260 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0183 | X=0107.090-0393.980 | Y=0542.570-0553.810 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0183 | X=0107.090-0160.050 | Y=0554.090-0565.330 | đến ≤600m.
P=0183 | X=0107.090-0330.260 | Y=0571.610-0582.850 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0183 | X=0107.090-0390.700 | Y=0589.370-0600.610 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường nối tiếp
P=0183 | X=0107.090-0385.420 | Y=0600.890-0612.130 | từ đường Trần Văn Xã qua Văn phòng KP4 phường Trảng Dài
P=0183 | X=0107.090-0382.970 | Y=0612.410-0623.650 | đến đường Nguyễn Thái Học đoạn từ Đường Trần Văn Xã (từ
P=0183 | X=0107.090-0391.770 | Y=0623.950-0635.190 | đường Bùi Trọng Nghĩa đến đường D2 - Khu dân cư Phú Gia 2)
P=0183 | X=0107.090-0397.420 | Y=0635.470-0646.710 | đến Hết ranh thửa đất số 241, tờ BĐĐC số 42; bên phải: hết ranh
P=0183 | X=0092.900-0104.020 | Y=0643.350-0652.670 | 95
P=0183 | X=0416.540-0441.590 | Y=0643.350-0652.670 | 3.400
P=0183 | X=0457.850-0482.900 | Y=0643.350-0652.670 | 2.400
P=0183 | X=0497.230-0522.280 | Y=0643.350-0652.670 | 2.000
P=0183 | X=0107.090-0396.230 | Y=0646.750-0657.990 | thửa đất số 262, tờ BĐĐC số 42 phường Trảng Dài có hiện trạng
P=0183 | X=0107.090-0253.420 | Y=0658.270-0669.510 | là đường nhựa, bê tông xi măng:
P=0183 | X=0107.090-0384.500 | Y=0675.790-0687.030 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0183 | X=0107.090-0330.730 | Y=0693.310-0704.550 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0184 | X=0107.090-0392.350 | Y=0078.500-0089.740 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0184 | X=0107.090-0370.040 | Y=0090.020-0101.260 | Đường nối tiếp từ đường Trần Văn Xã qua Văn phòng KP4
P=0184 | X=0107.090-0393.580 | Y=0101.540-0112.780 | phường Trảng Dài đến đường Nguyễn Thái Học đoạn từ Đường
P=0184 | X=0107.090-0381.820 | Y=0113.060-0124.300 | Trần Văn Xã (từ đường Bùi Trọng Nghĩa đến đường D2 - Khu
P=0184 | X=0107.090-0398.230 | Y=0124.610-0135.850 | dân cư Phú Gia 2) đến Hết ranh thửa đất số 241, tờ BĐĐC số 42;
P=0184 | X=0092.900-0104.020 | Y=0132.490-0141.810 | 96
P=0184 | X=0416.540-0441.590 | Y=0132.490-0141.810 | 8.100
P=0184 | X=0457.850-0482.900 | Y=0132.490-0141.810 | 5.700
P=0184 | X=0497.230-0522.280 | Y=0132.490-0141.810 | 4.900
P=0184 | X=0107.090-0372.220 | Y=0136.130-0147.370 | bên phải: hết ranh thửa đất số 262, tờ BĐĐC số 42 phường
P=0184 | X=0107.090-0360.540 | Y=0147.410-0158.650 | Trảng Dài có hiện trạng là đường nhựa, bê tông xi măng:
P=0184 | X=0107.090-0330.000 | Y=0164.930-0176.170 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
