TABLE=046 | AREA=Xã Phú Hòa | SECTION=non-agricultural | SEGMENTS=1
P=1566 | X=0111.170-0342.250 | Y=0630.670-0641.910 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1566 | X=0111.170-0388.360 | Y=0648.190-0659.430 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1566 | X=0111.170-0384.680 | Y=0665.950-0677.190 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1566 | X=0111.170-0371.690 | Y=0677.470-0688.710 | ra Quốc lộ 20 đoạn từ Hết ranh trụ sở ban chỉ huy quân sự
P=1566 | X=0094.820-0105.940 | Y=0685.110-0694.430 | 27
P=1566 | X=0413.660-0430.300 | Y=0685.110-0694.430 | 580
P=1566 | X=0461.450-0478.090 | Y=0685.110-0694.430 | 410
P=1566 | X=0505.390-0522.030 | Y=0685.110-0694.430 | 350
P=1566 | X=0111.170-0371.710 | Y=0688.750-0699.990 | huyện Định Quán (Cũ) đến Ngã ba Km118 có hiện trạng là
P=1566 | X=0111.170-0246.940 | Y=0700.290-0711.530 | đường nhựa, bê tông xi măng:
P=1567 | X=0111.170-0342.720 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1567 | X=0111.170-0364.480 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1567 | X=0111.170-0206.120 | Y=0107.540-0118.780 | >500m đến ≤1.000m.
P=1567 | X=0111.170-0334.340 | Y=0125.090-0136.330 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1567 | X=0111.170-0384.680 | Y=0142.850-0154.090 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1567 | X=0111.170-0371.690 | Y=0154.370-0165.610 | ra Quốc lộ 20 đoạn từ Hết ranh trụ sở ban chỉ huy quân sự
P=1567 | X=0111.170-0371.710 | Y=0165.650-0176.890 | huyện Định Quán (Cũ) đến Ngã ba Km118 có hiện trạng là
P=1567 | X=0111.170-0246.980 | Y=0177.170-0188.410 | đường nhựa, bê tông xi măng:
P=1567 | X=0094.820-0105.940 | Y=0185.050-0194.370 | 28
P=1567 | X=0413.660-0430.300 | Y=0185.050-0194.370 | 340
P=1567 | X=0461.450-0478.090 | Y=0185.050-0194.370 | 240
P=1567 | X=0505.390-0522.030 | Y=0185.050-0194.370 | 200
P=1567 | X=0111.170-0352.280 | Y=0194.690-0205.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1567 | X=0111.170-0153.310 | Y=0208.110-0217.430 | >1.000m.
P=1567 | X=0111.170-0334.810 | Y=0223.750-0234.990 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1567 | X=0304.200-0381.790 | Y=0243.390-0252.710 | Giáp ranh xã Tân
P=1567 | X=0094.820-0159.730 | Y=0249.150-0258.470 | 29 Quốc lộ 20
P=1567 | X=0223.270-0290.070 | Y=0249.150-0258.470 | Ngã ba Km118
P=1567 | X=0405.500-0430.550 | Y=0249.150-0258.470 | 1.500
P=1567 | X=0453.290-0478.340 | Y=0249.150-0258.470 | 1.100
P=1567 | X=0505.390-0522.030 | Y=0249.150-0258.470 | 900
P=1567 | X=0304.200-0322.040 | Y=0254.910-0264.230 | Phú
P=1567 | X=0111.170-0376.300 | Y=0270.790-0282.030 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1567 | X=0111.170-0370.550 | Y=0282.340-0293.580 | đoạn từ Ngã ba Km118 đến Giáp ranh xã Tân Phú có hiện
P=1567 | X=0111.170-0282.950 | Y=0293.860-0305.100 | trạng là đường nhựa, bê tông xi măng:
P=1567 | X=0094.820-0105.940 | Y=0301.740-0311.060 | 30
P=1567 | X=0413.660-0430.300 | Y=0301.740-0311.060 | 510
P=1567 | X=0461.450-0478.090 | Y=0301.740-0311.060 | 360
P=1567 | X=0505.390-0522.030 | Y=0301.740-0311.060 | 310
P=1567 | X=0111.170-0342.250 | Y=0311.380-0322.620 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1567 | X=0111.170-0388.360 | Y=0328.900-0340.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1567 | X=0111.170-0376.300 | Y=0346.660-0357.900 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1567 | X=0111.170-0370.550 | Y=0357.940-0369.180 | đoạn từ Ngã ba Km118 đến Giáp ranh xã Tân Phú có hiện
P=1567 | X=0111.170-0282.950 | Y=0369.480-0380.720 | trạng là đường nhựa, bê tông xi măng:
P=1567 | X=0094.820-0342.720 | Y=0387.000-0401.320 | 31 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1567 | X=0413.660-0430.300 | Y=0392.000-0401.320 | 380
P=1567 | X=0461.450-0478.090 | Y=0392.000-0401.320 | 270
P=1567 | X=0505.390-0522.030 | Y=0392.000-0401.320 | 230
P=1567 | X=0111.170-0364.480 | Y=0404.520-0415.760 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1567 | X=0111.170-0206.120 | Y=0416.040-0427.280 | >500m đến ≤1.000m.
P=1567 | X=0111.170-0334.340 | Y=0433.560-0444.800 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1567 | X=0111.170-0376.300 | Y=0451.340-0462.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1567 | X=0111.170-0370.550 | Y=0462.860-0474.100 | đoạn từ Ngã ba Km118 đến Giáp ranh xã Tân Phú có hiện
P=1567 | X=0111.170-0282.950 | Y=0474.380-0485.620 | trạng là đường nhựa, bê tông xi măng:
P=1567 | X=0094.820-0105.940 | Y=0488.020-0497.340 | 32
P=1567 | X=0413.660-0430.300 | Y=0488.020-0497.340 | 260
P=1567 | X=0461.450-0478.090 | Y=0488.020-0497.340 | 180
P=1567 | X=0505.390-0522.030 | Y=0488.020-0497.340 | 160
P=1567 | X=0111.170-0352.280 | Y=0491.900-0503.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1567 | X=0111.170-0153.310 | Y=0505.300-0514.620 | >1.000m.
P=1567 | X=0111.170-0334.810 | Y=0520.940-0532.180 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1567 | X=0111.170-0384.680 | Y=0538.490-0549.730 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1567 | X=0111.170-0377.710 | Y=0550.010-0561.250 | ra Quốc lộ 20 đoạn từ Ngã ba Km118 đến Giáp ranh xã Tân
P=1567 | X=0111.170-0338.650 | Y=0561.530-0572.770 | Phú có hiện trạng là đường nhựa, bê tông xi măng:
P=1567 | X=0094.820-0105.940 | Y=0569.410-0578.730 | 33
P=1567 | X=0413.660-0430.300 | Y=0569.410-0578.730 | 460
P=1567 | X=0461.450-0478.090 | Y=0569.410-0578.730 | 320
P=1567 | X=0505.390-0522.030 | Y=0569.410-0578.730 | 280
P=1567 | X=0111.170-0342.280 | Y=0579.050-0590.290 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1567 | X=0111.170-0388.360 | Y=0596.570-0607.810 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1567 | X=0111.170-0384.680 | Y=0614.330-0625.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1567 | X=0111.170-0377.710 | Y=0625.870-0637.110 | ra Quốc lộ 20 đoạn từ Ngã ba Km118 đến Giáp ranh xã Tân
P=1567 | X=0111.170-0338.650 | Y=0637.390-0648.630 | Phú có hiện trạng là đường nhựa, bê tông xi măng:
P=1567 | X=0094.820-0342.720 | Y=0654.910-0668.990 | 34 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1567 | X=0413.660-0430.300 | Y=0659.670-0668.990 | 340
P=1567 | X=0461.450-0478.090 | Y=0659.670-0668.990 | 240
P=1567 | X=0505.390-0522.030 | Y=0659.670-0668.990 | 200
P=1567 | X=0111.170-0364.480 | Y=0672.430-0683.670 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1567 | X=0111.170-0206.120 | Y=0683.950-0695.190 | >500m đến ≤1.000m.
P=1567 | X=0111.170-0334.340 | Y=0701.490-0712.730 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1568 | X=0111.170-0384.680 | Y=0078.500-0089.740 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1568 | X=0111.170-0377.710 | Y=0090.020-0101.260 | ra Quốc lộ 20 đoạn từ Ngã ba Km118 đến Giáp ranh xã Tân
P=1568 | X=0111.170-0338.650 | Y=0101.540-0112.780 | Phú có hiện trạng là đường nhựa, bê tông xi măng:
P=1568 | X=0094.820-0105.940 | Y=0115.180-0124.500 | 35
P=1568 | X=0413.660-0430.300 | Y=0115.180-0124.500 | 230
P=1568 | X=0461.450-0478.090 | Y=0115.180-0124.500 | 160
P=1568 | X=0505.390-0522.030 | Y=0115.180-0124.500 | 140
P=1568 | X=0111.170-0352.280 | Y=0119.090-0130.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1568 | X=0111.170-0153.310 | Y=0132.490-0141.810 | >1.000m.
P=1568 | X=0111.170-0334.810 | Y=0148.130-0159.370 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1568 | X=0304.200-0383.260 | Y=0167.530-0176.850 | Hết ranh chợ Phú
P=1568 | X=0094.820-0271.860 | Y=0171.410-0182.650 | 36 Đường Ngã tư km+115 Quốc lộ 20
P=1568 | X=0405.500-0430.550 | Y=0173.290-0182.610 | 2.900
P=1568 | X=0453.290-0478.340 | Y=0173.290-0182.610 | 2.000
P=1568 | X=0497.230-0522.280 | Y=0173.290-0182.610 | 1.700
P=1568 | X=0304.200-0318.680 | Y=0179.050-0188.370 | Lợi
P=1568 | X=0111.170-0380.610 | Y=0194.930-0206.170 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Ngã
P=1568 | X=0111.170-0379.410 | Y=0206.470-0217.710 | tư km+115 đoạn từ Quốc lộ 20 đến Hết ranh chợ Phú Lợi có
P=1568 | X=0111.170-0304.780 | Y=0217.990-0229.230 | hiện trạng là đường nhựa, bê tông xi măng:
P=1568 | X=0094.820-0105.940 | Y=0225.870-0235.190 | 37
P=1568 | X=0405.500-0430.550 | Y=0225.870-0235.190 | 1.300
P=1568 | X=0461.450-0478.090 | Y=0225.870-0235.190 | 910
P=1568 | X=0505.390-0522.030 | Y=0225.870-0235.190 | 780
P=1568 | X=0111.170-0342.250 | Y=0235.510-0246.750 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1568 | X=0111.170-0388.360 | Y=0253.030-0264.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1568 | X=0111.170-0380.610 | Y=0270.790-0282.030 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Ngã
P=1568 | X=0111.170-0379.410 | Y=0282.340-0293.580 | tư km+115 đoạn từ Quốc lộ 20 đến Hết ranh chợ Phú Lợi có
P=1568 | X=0111.170-0304.780 | Y=0293.860-0305.100 | hiện trạng là đường nhựa, bê tông xi măng:
P=1568 | X=0094.820-0342.760 | Y=0311.380-0325.460 | 38 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1568 | X=0405.500-0430.550 | Y=0316.140-0325.460 | 1.000
P=1568 | X=0461.450-0478.090 | Y=0316.140-0325.460 | 700
P=1568 | X=0505.390-0522.030 | Y=0316.140-0325.460 | 600
P=1568 | X=0111.170-0364.480 | Y=0328.900-0340.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1568 | X=0111.170-0206.120 | Y=0340.420-0351.660 | >500m đến ≤1.000m.
P=1568 | X=0111.170-0334.340 | Y=0357.700-0368.940 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1568 | X=0111.170-0380.610 | Y=0375.480-0386.720 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Ngã
P=1568 | X=0111.170-0379.410 | Y=0387.000-0398.240 | tư km+115 đoạn từ Quốc lộ 20 đến Hết ranh chợ Phú Lợi có
P=1568 | X=0111.170-0304.780 | Y=0398.520-0409.760 | hiện trạng là đường nhựa, bê tông xi măng:
P=1568 | X=0094.820-0105.940 | Y=0412.160-0421.480 | 39
P=1568 | X=0413.660-0430.300 | Y=0412.160-0421.480 | 650
P=1568 | X=0461.450-0478.090 | Y=0412.160-0421.480 | 460
P=1568 | X=0505.390-0522.030 | Y=0412.160-0421.480 | 390
P=1568 | X=0111.170-0352.280 | Y=0416.040-0427.280 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1568 | X=0111.170-0153.310 | Y=0429.440-0438.760 | >1.000m.
P=1568 | X=0111.170-0334.810 | Y=0445.080-0456.320 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1568 | X=0111.170-0384.680 | Y=0462.860-0474.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1568 | X=0111.170-0375.560 | Y=0474.380-0485.620 | ra Đường Ngã tư km+115 đoạn từ Quốc lộ 20 đến Hết ranh
P=1568 | X=0111.170-0375.410 | Y=0485.900-0497.140 | chợ Phú Lợi có hiện trạng là đường nhựa, bê tông xi măng:
P=1568 | X=0094.820-0105.940 | Y=0493.780-0503.100 | 40
P=1568 | X=0405.500-0430.550 | Y=0493.780-0503.100 | 1.200
P=1568 | X=0461.450-0478.090 | Y=0493.780-0503.100 | 840
P=1568 | X=0505.390-0522.030 | Y=0493.780-0503.100 | 720
P=1568 | X=0111.170-0342.250 | Y=0503.420-0514.660 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1568 | X=0111.170-0388.360 | Y=0520.940-0532.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1568 | X=0111.170-0384.680 | Y=0538.490-0549.730 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1568 | X=0111.170-0375.560 | Y=0550.010-0561.250 | ra Đường Ngã tư km+115 đoạn từ Quốc lộ 20 đến Hết ranh
P=1568 | X=0111.170-0375.410 | Y=0561.530-0572.770 | chợ Phú Lợi có hiện trạng là đường nhựa, bê tông xi măng:
P=1568 | X=0094.820-0342.720 | Y=0579.050-0593.370 | 41 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1568 | X=0413.660-0430.300 | Y=0584.050-0593.370 | 900
P=1568 | X=0461.450-0478.090 | Y=0584.050-0593.370 | 630
P=1568 | X=0505.390-0522.030 | Y=0584.050-0593.370 | 540
P=1568 | X=0111.170-0364.480 | Y=0596.570-0607.810 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1568 | X=0111.170-0206.120 | Y=0608.090-0619.330 | >500m đến ≤1.000m.
P=1568 | X=0111.170-0334.340 | Y=0625.630-0636.870 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1568 | X=0111.170-0384.680 | Y=0643.390-0654.630 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1568 | X=0111.170-0375.560 | Y=0654.910-0666.150 | ra Đường Ngã tư km+115 đoạn từ Quốc lộ 20 đến Hết ranh
P=1568 | X=0094.820-0375.410 | Y=0666.430-0680.510 | 42 chợ Phú Lợi có hiện trạng là đường nhựa, bê tông xi măng:
P=1568 | X=0413.660-0430.300 | Y=0671.190-0680.510 | 590
P=1568 | X=0461.450-0478.090 | Y=0671.190-0680.510 | 410
P=1568 | X=0505.390-0522.030 | Y=0671.190-0680.510 | 350
P=1568 | X=0111.170-0352.280 | Y=0683.950-0695.190 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1568 | X=0111.170-0153.310 | Y=0697.350-0706.670 | >1.000m.
P=1569 | X=0111.170-0334.810 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1569 | X=0304.200-0386.130 | Y=0096.260-0107.500 | Ngã tư đường liên
P=1569 | X=0223.270-0371.980 | Y=0109.660-0118.980 | Hết ranh chợ Phú xã Phú Lợi - thị
P=1569 | X=0094.820-0214.920 | Y=0113.540-0124.780 | 43 Đường Ngã tư km+115
P=1569 | X=0405.500-0430.550 | Y=0115.420-0124.740 | 2.000
P=1569 | X=0453.290-0478.340 | Y=0115.420-0124.740 | 1.400
P=1569 | X=0497.230-0522.280 | Y=0115.420-0124.740 | 1.200
P=1569 | X=0304.200-0372.210 | Y=0119.330-0130.570 | trấn Định Quán
P=1569 | X=0223.270-0237.780 | Y=0121.210-0130.530 | Lợi
P=1569 | X=0304.200-0321.480 | Y=0130.850-0142.090 | (cũ)
P=1569 | X=0111.170-0380.610 | Y=0148.610-0159.850 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Ngã
P=1569 | X=0111.170-0381.100 | Y=0160.130-0171.370 | tư km+115 đoạn từ Hết ranh chợ Phú Lợi đến Ngã tư đường
P=1569 | X=0111.170-0359.010 | Y=0171.410-0182.650 | liên xã Phú Lợi - thị trấn Định Quán (cũ) có hiện trạng là
P=1569 | X=0094.820-0246.940 | Y=0182.930-0194.370 | 44 đường nhựa, bê tông xi măng:
P=1569 | X=0405.500-0430.550 | Y=0185.050-0194.370 | 1.000
P=1569 | X=0461.450-0478.090 | Y=0185.050-0194.370 | 700
P=1569 | X=0505.390-0522.030 | Y=0185.050-0194.370 | 600
P=1569 | X=0111.170-0342.250 | Y=0200.470-0211.710 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1569 | X=0111.170-0388.370 | Y=0217.990-0229.230 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1569 | X=0111.170-0380.610 | Y=0235.750-0246.990 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Ngã
P=1569 | X=0111.170-0381.100 | Y=0247.270-0258.510 | tư km+115 đoạn từ Hết ranh chợ Phú Lợi đến Ngã tư đường
P=1569 | X=0111.170-0359.010 | Y=0258.790-0270.030 | liên xã Phú Lợi - thị trấn Định Quán (cũ) có hiện trạng là
P=1569 | X=0111.170-0246.940 | Y=0270.310-0281.550 | đường nhựa, bê tông xi măng:
P=1569 | X=0094.820-0342.720 | Y=0286.860-0299.100 | 45 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1569 | X=0413.660-0430.300 | Y=0286.860-0296.180 | 730
P=1569 | X=0461.450-0478.090 | Y=0286.860-0296.180 | 510
P=1569 | X=0505.390-0522.030 | Y=0286.860-0296.180 | 440
P=1569 | X=0111.170-0364.480 | Y=0305.380-0316.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1569 | X=0111.170-0206.120 | Y=0316.900-0328.140 | >500m đến ≤1.000m.
P=1569 | X=0111.170-0334.340 | Y=0334.420-0345.660 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1569 | X=0111.170-0380.610 | Y=0351.940-0363.180 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Ngã
P=1569 | X=0111.170-0381.100 | Y=0363.460-0374.700 | tư km+115 đoạn từ Hết ranh chợ Phú Lợi đến Ngã tư đường
P=1569 | X=0111.170-0359.010 | Y=0375.000-0386.240 | liên xã Phú Lợi - thị trấn Định Quán (cũ) có hiện trạng là
P=1569 | X=0111.170-0246.940 | Y=0386.520-0397.760 | đường nhựa, bê tông xi măng:
P=1569 | X=0094.820-0105.940 | Y=0394.400-0403.720 | 46
P=1569 | X=0413.660-0430.300 | Y=0394.400-0403.720 | 440
P=1569 | X=0461.450-0478.090 | Y=0394.400-0403.720 | 310
P=1569 | X=0505.390-0522.030 | Y=0394.400-0403.720 | 260
P=1569 | X=0111.170-0352.280 | Y=0404.040-0415.280 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1569 | X=0111.170-0153.310 | Y=0417.440-0426.760 | >1.000m.
P=1569 | X=0111.170-0334.810 | Y=0433.080-0444.320 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1569 | X=0111.170-0384.680 | Y=0450.860-0462.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1569 | X=0111.170-0382.060 | Y=0462.380-0473.620 | ra Đường Ngã tư km+115 đoạn từ Hết ranh chợ Phú Lợi đến
P=1569 | X=0111.170-0389.260 | Y=0473.900-0485.140 | Ngã tư đường liên xã Phú Lợi - thị trấn Định Quán (cũ) có hiện
P=1569 | X=0094.820-0282.950 | Y=0485.420-0496.860 | 47 trạng là đường nhựa, bê tông xi măng:
P=1569 | X=0413.660-0430.300 | Y=0487.540-0496.860 | 900
P=1569 | X=0461.450-0478.090 | Y=0487.540-0496.860 | 630
P=1569 | X=0505.390-0522.030 | Y=0487.540-0496.860 | 540
P=1569 | X=0111.170-0342.250 | Y=0502.940-0514.180 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1569 | X=0111.170-0388.360 | Y=0520.220-0531.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1569 | X=0111.170-0384.680 | Y=0538.010-0549.250 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1569 | X=0111.170-0382.060 | Y=0549.530-0560.770 | ra Đường Ngã tư km+115 đoạn từ Hết ranh chợ Phú Lợi đến
P=1569 | X=0111.170-0389.260 | Y=0561.050-0572.290 | Ngã tư đường liên xã Phú Lợi - thị trấn Định Quán (cũ) có hiện
P=1569 | X=0111.170-0282.950 | Y=0572.570-0583.810 | trạng là đường nhựa, bê tông xi măng:
P=1569 | X=0094.820-0342.720 | Y=0589.330-0601.330 | 48 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1569 | X=0413.660-0430.300 | Y=0589.330-0598.650 | 660
P=1569 | X=0461.450-0478.090 | Y=0589.330-0598.650 | 460
P=1569 | X=0505.390-0522.030 | Y=0589.330-0598.650 | 400
P=1569 | X=0111.170-0364.480 | Y=0607.610-0618.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1569 | X=0111.170-0206.120 | Y=0619.150-0630.390 | >500m đến ≤1.000m.
P=1569 | X=0111.170-0334.340 | Y=0636.670-0647.910 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1569 | X=0111.170-0384.680 | Y=0654.430-0665.670 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1569 | X=0111.170-0382.060 | Y=0665.950-0677.190 | ra Đường Ngã tư km+115 đoạn từ Hết ranh chợ Phú Lợi đến
P=1569 | X=0094.820-0389.260 | Y=0677.470-0691.550 | 49 Ngã tư đường liên xã Phú Lợi - thị trấn Định Quán (cũ) có hiện
P=1569 | X=0413.660-0430.300 | Y=0682.230-0691.550 | 400
P=1569 | X=0461.450-0478.090 | Y=0682.230-0691.550 | 280
P=1569 | X=0505.390-0522.030 | Y=0682.230-0691.550 | 240
P=1569 | X=0111.170-0282.950 | Y=0688.750-0699.990 | trạng là đường nhựa, bê tông xi măng:
P=1569 | X=0111.170-0352.280 | Y=0706.290-0717.530 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1570 | X=0111.170-0153.310 | Y=0074.380-0083.700 | >1.000m.
P=1570 | X=0111.170-0334.810 | Y=0090.020-0101.260 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1570 | X=0223.270-0286.750 | Y=0107.780-0119.020 | Ngã tư đường
P=1570 | X=0223.270-0384.950 | Y=0119.330-0130.570 | liên xã Phú Lợi - Giáp ranh xã Định
P=1570 | X=0094.820-0214.920 | Y=0125.090-0136.330 | 50 Đường Ngã tư km+115
P=1570 | X=0405.500-0430.550 | Y=0126.970-0136.290 | 1.000
P=1570 | X=0461.450-0478.090 | Y=0126.970-0136.290 | 700
P=1570 | X=0505.390-0522.030 | Y=0126.970-0136.290 | 600
P=1570 | X=0223.270-0277.390 | Y=0130.850-0142.090 | thị trấn Định
P=1570 | X=0304.200-0328.760 | Y=0132.730-0142.050 | Quán
P=1570 | X=0223.270-0267.910 | Y=0142.370-0153.610 | Quán (cũ)
P=1570 | X=0111.170-0380.610 | Y=0160.130-0171.370 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Ngã
P=1570 | X=0111.170-0371.740 | Y=0171.410-0182.650 | tư km+115 đoạn từ Ngã tư đường liên xã Phú Lợi - thị trấn
P=1570 | X=0111.170-0380.370 | Y=0182.930-0194.170 | Định Quán (cũ) đến Giáp ranh xã Định Quán có hiện trạng là
P=1570 | X=0094.820-0246.940 | Y=0194.450-0205.890 | 51 đường nhựa, bê tông xi măng:
P=1570 | X=0413.660-0430.300 | Y=0196.570-0205.890 | 440
P=1570 | X=0461.450-0478.090 | Y=0196.570-0205.890 | 310
P=1570 | X=0505.390-0522.030 | Y=0196.570-0205.890 | 260
P=1570 | X=0111.170-0342.250 | Y=0211.990-0223.230 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1570 | X=0111.170-0388.360 | Y=0229.510-0240.750 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1570 | X=0111.170-0380.610 | Y=0247.270-0258.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Ngã
P=1570 | X=0111.170-0371.740 | Y=0258.790-0270.030 | tư km+115 đoạn từ Ngã tư đường liên xã Phú Lợi - thị trấn
P=1570 | X=0111.170-0380.370 | Y=0270.310-0281.550 | Định Quán (cũ) đến Giáp ranh xã Định Quán có hiện trạng là
P=1570 | X=0111.170-0246.940 | Y=0281.860-0293.100 | đường nhựa, bê tông xi măng:
P=1570 | X=0094.820-0342.720 | Y=0298.380-0310.620 | 52 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1570 | X=0413.660-0430.300 | Y=0298.380-0307.700 | 300
P=1570 | X=0461.450-0478.090 | Y=0298.380-0307.700 | 210
P=1570 | X=0505.390-0522.030 | Y=0298.380-0307.700 | 180
P=1570 | X=0111.170-0364.490 | Y=0316.900-0328.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1570 | X=0111.170-0206.120 | Y=0328.420-0339.660 | >500m đến ≤1.000m.
P=1570 | X=0111.170-0334.340 | Y=0345.700-0356.940 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1570 | X=0111.170-0380.610 | Y=0363.460-0374.700 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Ngã
P=1570 | X=0111.170-0371.740 | Y=0375.000-0386.240 | tư km+115 đoạn từ Ngã tư đường liên xã Phú Lợi - thị trấn
P=1570 | X=0111.170-0380.370 | Y=0386.520-0397.760 | Định Quán (cũ) đến Giáp ranh xã Định Quán có hiện trạng là
P=1570 | X=0111.170-0246.940 | Y=0398.040-0409.280 | đường nhựa, bê tông xi măng:
P=1570 | X=0094.820-0105.940 | Y=0405.920-0415.240 | 53
P=1570 | X=0413.660-0430.300 | Y=0405.920-0415.240 | 160
P=1570 | X=0461.450-0478.090 | Y=0405.920-0415.240 | 110
P=1570 | X=0505.390-0522.030 | Y=0405.920-0415.240 | 100
P=1570 | X=0111.170-0352.280 | Y=0415.560-0426.800 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1570 | X=0111.170-0153.310 | Y=0428.960-0438.280 | >1.000m.
P=1570 | X=0111.170-0334.810 | Y=0444.600-0455.840 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1570 | X=0111.170-0384.680 | Y=0462.380-0473.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1570 | X=0111.170-0382.270 | Y=0473.900-0485.140 | ra Đường Ngã tư km+115 đoạn từ Ngã tư đường liên xã Phú
P=1570 | X=0111.170-0379.160 | Y=0485.420-0496.660 | Lợi - thị trấn Định Quán (cũ) đến Giáp ranh xã Định Quán có
P=1570 | X=0094.820-0304.780 | Y=0496.940-0508.380 | 54 hiện trạng là đường nhựa, bê tông xi măng:
P=1570 | X=0413.660-0430.300 | Y=0499.060-0508.380 | 400
