TABLE=010 | AREA=Phường Tam Phước | SECTION=non-agricultural | SEGMENTS=1
P=0356 | X=0405.500-0430.550 | Y=0187.930-0197.250 | 3.300
P=0356 | X=0448.010-0473.060 | Y=0187.930-0197.250 | 2.300
P=0356 | X=0497.230-0522.280 | Y=0187.930-0197.250 | 2.000
P=0356 | X=0113.330-0366.640 | Y=0206.230-0217.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0356 | X=0113.330-0199.880 | Y=0217.750-0228.990 | >400m đến ≤600m.
P=0356 | X=0113.330-0336.500 | Y=0235.270-0246.510 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0356 | X=0113.330-0361.650 | Y=0253.030-0264.270 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0356 | X=0113.330-0372.460 | Y=0264.550-0275.790 | Nguyễn Khắc Hiếu đoạn từ Ngã 3 đến Hẻm số 303 đường
P=0356 | X=0113.330-0375.790 | Y=0276.070-0287.310 | Nguyễn Khắc Hiếu tại phường Tam Phước có hiện trạng là
P=0356 | X=0113.330-0249.100 | Y=0287.620-0298.860 | đường nhựa, bê tông xi măng:
P=0356 | X=0096.050-0107.170 | Y=0295.500-0304.820 | 67
P=0356 | X=0405.500-0430.550 | Y=0295.500-0304.820 | 2.300
P=0356 | X=0448.010-0473.060 | Y=0295.500-0304.820 | 1.600
P=0356 | X=0497.230-0522.280 | Y=0295.500-0304.820 | 1.400
P=0356 | X=0113.330-0354.440 | Y=0305.140-0316.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0356 | X=0113.330-0147.090 | Y=0318.540-0327.860 | >600m.
P=0356 | X=0113.330-0336.970 | Y=0333.940-0345.180 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0356 | X=0113.330-0359.240 | Y=0351.700-0362.940 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0356 | X=0113.330-0380.770 | Y=0363.220-0374.460 | thông ra Đường Nguyễn Khắc Hiếu đoạn từ Ngã 3 đến Hẻm
P=0356 | X=0113.330-0383.730 | Y=0374.760-0386.000 | số 303 đường Nguyễn Khắc Hiếu tại phường Tam Phước có
P=0356 | X=0113.330-0306.940 | Y=0386.280-0397.520 | hiện trạng là đường nhựa, bê tông xi măng:
P=0356 | X=0096.050-0107.170 | Y=0394.160-0403.480 | 68
P=0356 | X=0405.500-0430.550 | Y=0394.160-0403.480 | 4.500
P=0356 | X=0448.010-0473.060 | Y=0394.160-0403.480 | 3.200
P=0356 | X=0497.230-0522.280 | Y=0394.160-0403.480 | 2.700
P=0356 | X=0113.330-0336.240 | Y=0403.800-0415.040 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0356 | X=0113.330-0354.440 | Y=0421.320-0432.560 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0356 | X=0113.330-0146.850 | Y=0432.840-0444.080 | ≤400m.
P=0356 | X=0113.330-0359.240 | Y=0450.620-0461.860 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0356 | X=0113.330-0380.770 | Y=0462.140-0473.380 | thông ra Đường Nguyễn Khắc Hiếu đoạn từ Ngã 3 đến Hẻm
P=0356 | X=0113.330-0383.730 | Y=0473.660-0484.900 | số 303 đường Nguyễn Khắc Hiếu tại phường Tam Phước có
P=0356 | X=0113.330-0306.940 | Y=0485.180-0496.420 | hiện trạng là đường nhựa, bê tông xi măng:
P=0356 | X=0096.050-0336.500 | Y=0501.700-0513.700 | 69 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0356 | X=0405.500-0430.550 | Y=0501.700-0511.020 | 3.000
P=0356 | X=0448.010-0473.060 | Y=0501.700-0511.020 | 2.100
P=0356 | X=0497.230-0522.280 | Y=0501.700-0511.020 | 1.800
P=0356 | X=0113.330-0366.640 | Y=0519.980-0531.220 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0356 | X=0113.330-0199.880 | Y=0531.500-0542.740 | >400m đến ≤600m.
P=0356 | X=0113.330-0336.500 | Y=0549.050-0560.290 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0356 | X=0113.330-0359.240 | Y=0566.810-0578.050 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0356 | X=0113.330-0380.770 | Y=0578.330-0589.570 | thông ra Đường Nguyễn Khắc Hiếu đoạn từ Ngã 3 đến Hẻm
P=0356 | X=0113.330-0383.730 | Y=0589.850-0601.090 | số 303 đường Nguyễn Khắc Hiếu tại phường Tam Phước có
P=0356 | X=0113.330-0306.940 | Y=0601.370-0612.610 | hiện trạng là đường nhựa, bê tông xi măng:
P=0356 | X=0096.050-0107.170 | Y=0609.250-0618.570 | 70
P=0356 | X=0405.500-0430.550 | Y=0609.250-0618.570 | 2.100
P=0356 | X=0448.010-0473.060 | Y=0609.250-0618.570 | 1.500
P=0356 | X=0497.230-0522.270 | Y=0609.250-0618.570 | 1.300
P=0356 | X=0113.330-0354.440 | Y=0618.910-0630.150 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0356 | X=0113.330-0147.090 | Y=0632.310-0641.630 | >600m.
P=0356 | X=0113.330-0339.620 | Y=0647.950-0659.190 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0356 | X=0306.120-0350.120 | Y=0667.590-0676.910 | Giáp ranh
P=0356 | X=0219.430-0282.910 | Y=0677.230-0688.470 | Đường Phùng
P=0356 | X=0306.120-0377.260 | Y=0677.230-0688.470 | Trường Sĩ quan
P=0356 | X=0096.050-0214.480 | Y=0682.750-0693.990 | 71 Đường Nguyễn Hoàng
P=0356 | X=0405.500-0430.550 | Y=0684.630-0693.950 | 8.800
P=0356 | X=0448.010-0473.060 | Y=0684.630-0693.950 | 6.200
P=0356 | X=0497.230-0522.280 | Y=0684.630-0693.950 | 5.300
P=0356 | X=0219.430-0244.470 | Y=0688.510-0699.750 | Hưng
P=0356 | X=0306.120-0378.940 | Y=0688.510-0699.750 | Lục Quân 2 (Đại
P=0356 | X=0306.120-0383.900 | Y=0701.940-0711.260 | học Nguyễn Huệ)
P=0357 | X=0113.330-0361.650 | Y=0078.500-0089.740 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0357 | X=0113.330-0377.490 | Y=0090.020-0101.260 | Nguyễn Hoàng đoạn từ Đường Phùng Hưng đến Giáp ranh
P=0357 | X=0113.330-0375.820 | Y=0101.540-0112.780 | Trường Sĩ quan Lục Quân 2 (Đại học Nguyễn Huệ) có hiện
P=0357 | X=0113.330-0285.110 | Y=0113.060-0124.300 | trạng là đường nhựa, bê tông xi măng:
P=0357 | X=0096.050-0107.170 | Y=0120.970-0130.290 | 72
P=0357 | X=0405.500-0430.550 | Y=0120.970-0130.290 | 5.000
P=0357 | X=0448.010-0473.060 | Y=0120.970-0130.290 | 3.500
P=0357 | X=0497.230-0522.280 | Y=0120.970-0130.290 | 3.000
P=0357 | X=0113.330-0336.240 | Y=0130.610-0141.850 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0357 | X=0113.330-0354.440 | Y=0148.130-0159.370 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0357 | X=0113.330-0146.850 | Y=0159.410-0170.650 | ≤400m.
P=0357 | X=0113.330-0361.650 | Y=0177.170-0188.410 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0357 | X=0113.330-0377.490 | Y=0188.690-0199.930 | Nguyễn Hoàng đoạn từ Đường Phùng Hưng đến Giáp ranh
P=0357 | X=0113.330-0375.820 | Y=0200.230-0211.470 | Trường Sĩ quan Lục Quân 2 (Đại học Nguyễn Huệ) có hiện
P=0357 | X=0113.330-0285.110 | Y=0211.750-0222.990 | trạng là đường nhựa, bê tông xi măng:
P=0357 | X=0096.050-0336.500 | Y=0228.510-0240.510 | 73 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0357 | X=0405.500-0430.550 | Y=0228.510-0237.830 | 4.200
P=0357 | X=0448.010-0473.060 | Y=0228.510-0237.830 | 2.900
P=0357 | X=0497.230-0522.280 | Y=0228.510-0237.830 | 2.500
P=0357 | X=0113.330-0366.640 | Y=0246.790-0258.030 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0357 | X=0113.330-0199.880 | Y=0258.310-0269.550 | >400m đến ≤600m.
P=0357 | X=0113.330-0336.500 | Y=0275.830-0287.070 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0357 | X=0113.330-0361.650 | Y=0293.620-0304.860 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0357 | X=0113.330-0377.490 | Y=0305.140-0316.380 | Nguyễn Hoàng đoạn từ Đường Phùng Hưng đến Giáp ranh
P=0357 | X=0113.330-0375.820 | Y=0316.660-0327.900 | Trường Sĩ quan Lục Quân 2 (Đại học Nguyễn Huệ) có hiện
P=0357 | X=0113.330-0285.140 | Y=0327.940-0339.180 | trạng là đường nhựa, bê tông xi măng:
P=0357 | X=0096.050-0107.170 | Y=0335.820-0345.140 | 74
P=0357 | X=0405.500-0430.550 | Y=0335.820-0345.140 | 2.500
P=0357 | X=0448.010-0473.060 | Y=0335.820-0345.140 | 1.800
P=0357 | X=0497.230-0522.280 | Y=0335.820-0345.140 | 1.500
P=0357 | X=0113.330-0354.440 | Y=0345.460-0356.700 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0357 | X=0113.330-0147.090 | Y=0358.860-0368.180 | >600m.
P=0357 | X=0113.330-0336.970 | Y=0374.520-0385.760 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0357 | X=0113.330-0359.240 | Y=0392.280-0403.520 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0357 | X=0113.330-0385.170 | Y=0403.800-0415.040 | thông ra Đường Nguyễn Hoàng đoạn từ Đường Phùng Hưng
P=0357 | X=0113.330-0382.300 | Y=0415.320-0426.560 | đến Giáp ranh Trường Sĩ quan Lục Quân 2 (Đại học Nguyễn
P=0357 | X=0113.330-0344.660 | Y=0426.840-0438.080 | Huệ) có hiện trạng là đường nhựa, bê tông xi măng:
P=0357 | X=0096.050-0107.170 | Y=0434.720-0444.040 | 75
P=0357 | X=0405.500-0430.550 | Y=0434.720-0444.040 | 4.500
P=0357 | X=0448.010-0473.060 | Y=0434.720-0444.040 | 3.200
P=0357 | X=0497.230-0522.280 | Y=0434.720-0444.040 | 2.700
P=0357 | X=0113.330-0336.240 | Y=0444.360-0455.600 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0357 | X=0113.330-0354.440 | Y=0461.900-0473.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0357 | X=0113.330-0146.850 | Y=0473.420-0484.660 | ≤400m.
P=0357 | X=0113.330-0359.240 | Y=0491.180-0502.420 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0357 | X=0113.330-0385.170 | Y=0502.460-0513.700 | thông ra Đường Nguyễn Hoàng đoạn từ Đường Phùng Hưng
P=0357 | X=0113.330-0382.300 | Y=0513.980-0525.220 | đến Giáp ranh Trường Sĩ quan Lục Quân 2 (Đại học Nguyễn
P=0357 | X=0113.330-0344.660 | Y=0525.500-0536.740 | Huệ) có hiện trạng là đường nhựa, bê tông xi măng:
P=0357 | X=0096.050-0336.500 | Y=0542.290-0554.290 | 76 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0357 | X=0405.500-0430.550 | Y=0542.290-0551.610 | 3.800
P=0357 | X=0448.010-0473.060 | Y=0542.290-0551.610 | 2.700
P=0357 | X=0497.230-0522.280 | Y=0542.290-0551.610 | 2.300
P=0357 | X=0113.330-0366.640 | Y=0560.570-0571.810 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0357 | X=0113.330-0199.880 | Y=0572.090-0583.330 | >400m đến ≤600m.
P=0357 | X=0113.330-0336.500 | Y=0589.610-0600.850 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0357 | X=0113.330-0359.240 | Y=0607.370-0618.610 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0357 | X=0113.330-0385.170 | Y=0618.910-0630.150 | thông ra Đường Nguyễn Hoàng đoạn từ Đường Phùng Hưng
P=0357 | X=0113.330-0382.300 | Y=0630.430-0641.670 | đến Giáp ranh Trường Sĩ quan Lục Quân 2 (Đại học Nguyễn
P=0357 | X=0113.330-0344.660 | Y=0641.950-0653.190 | Huệ) có hiện trạng là đường nhựa, bê tông xi măng:
P=0357 | X=0096.050-0107.170 | Y=0649.830-0659.150 | 77
P=0357 | X=0405.500-0430.550 | Y=0649.830-0659.150 | 2.300
P=0357 | X=0448.010-0473.060 | Y=0649.830-0659.150 | 1.600
P=0357 | X=0497.230-0522.280 | Y=0649.830-0659.150 | 1.400
P=0357 | X=0113.330-0354.440 | Y=0659.470-0670.710 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0357 | X=0113.330-0147.090 | Y=0672.630-0681.950 | >600m.
P=0357 | X=0113.330-0339.620 | Y=0688.270-0699.510 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0357 | X=0096.050-0196.230 | Y=0706.050-0717.290 | 78 Đường kết nối khu
P=0357 | X=0219.430-0374.130 | Y=0706.050-0717.290 | Giáp ranh phường Vòng Xoay vào
P=0357 | X=0399.980-0430.550 | Y=0707.940-0717.260 | 13.500
P=0357 | X=0448.010-0473.060 | Y=0707.940-0717.260 | 9.500
P=0357 | X=0497.230-0522.280 | Y=0707.940-0717.260 | 8.100
P=0358 | X=0113.330-0197.430 | Y=0074.380-0083.700 | công nghiệp Giang
P=0358 | X=0219.430-0270.180 | Y=0074.380-0083.700 | Phước Tân
P=0358 | X=0306.120-0379.660 | Y=0074.380-0083.700 | khu công nghiệp
P=0358 | X=0113.330-0134.050 | Y=0084.020-0095.260 | Điền
P=0358 | X=0306.120-0356.370 | Y=0084.020-0095.260 | Giang Điền
P=0358 | X=0113.330-0377.820 | Y=0101.780-0113.020 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường kết
P=0358 | X=0113.330-0378.220 | Y=0113.300-0124.540 | nối khu công nghiệp Giang Điền đoạn từ Giáp ranh phường
P=0358 | X=0113.330-0383.030 | Y=0124.850-0136.090 | Phước Tân đến Vòng Xoay vào khu công nghiệp Giang Điền
P=0358 | X=0113.330-0320.180 | Y=0136.370-0147.610 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0358 | X=0096.050-0107.170 | Y=0144.250-0153.570 | 79
P=0358 | X=0405.500-0430.550 | Y=0144.250-0153.570 | 6.800
P=0358 | X=0448.010-0473.060 | Y=0144.250-0153.570 | 4.800
P=0358 | X=0497.230-0522.280 | Y=0144.250-0153.570 | 4.100
P=0358 | X=0113.330-0336.240 | Y=0153.650-0164.890 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0358 | X=0113.330-0354.440 | Y=0171.170-0182.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0358 | X=0113.330-0146.850 | Y=0182.690-0193.930 | ≤400m.
P=0358 | X=0113.330-0377.820 | Y=0200.470-0211.710 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường kết
P=0358 | X=0113.330-0378.220 | Y=0211.990-0223.230 | nối khu công nghiệp Giang Điền đoạn từ Giáp ranh phường
P=0358 | X=0113.330-0383.030 | Y=0223.510-0234.750 | Phước Tân đến Vòng Xoay vào khu công nghiệp Giang Điền
P=0358 | X=0113.330-0320.180 | Y=0235.030-0246.270 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0358 | X=0096.050-0336.500 | Y=0251.550-0263.790 | 80 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0358 | X=0405.500-0430.550 | Y=0251.550-0260.870 | 4.900
P=0358 | X=0448.010-0473.060 | Y=0251.550-0260.870 | 3.400
P=0358 | X=0497.230-0522.280 | Y=0251.550-0260.870 | 2.900
P=0358 | X=0113.330-0366.640 | Y=0270.070-0281.310 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0358 | X=0113.330-0199.880 | Y=0281.620-0292.860 | >400m đến ≤600m.
P=0358 | X=0113.330-0336.500 | Y=0299.140-0310.380 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0358 | X=0113.330-0377.820 | Y=0316.900-0328.140 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường kết
P=0358 | X=0113.330-0378.220 | Y=0328.420-0339.660 | nối khu công nghiệp Giang Điền đoạn từ Giáp ranh phường
P=0358 | X=0113.330-0383.030 | Y=0339.700-0350.940 | Phước Tân đến Vòng Xoay vào khu công nghiệp Giang Điền
P=0358 | X=0113.330-0320.180 | Y=0351.220-0362.460 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0358 | X=0096.050-0107.170 | Y=0359.100-0368.420 | 81
P=0358 | X=0405.500-0430.550 | Y=0359.100-0368.420 | 2.400
P=0358 | X=0448.010-0473.060 | Y=0359.100-0368.420 | 1.700
P=0358 | X=0497.230-0522.280 | Y=0359.100-0368.420 | 1.400
P=0358 | X=0113.330-0354.440 | Y=0368.760-0380.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0358 | X=0113.330-0147.090 | Y=0382.160-0391.480 | >600m.
P=0358 | X=0113.330-0336.970 | Y=0397.800-0409.040 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0358 | X=0113.330-0359.240 | Y=0415.560-0426.800 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0358 | X=0113.330-0382.970 | Y=0427.080-0438.320 | thông ra Đường kết nối khu công nghiệp Giang Điền đoạn từ
P=0358 | X=0113.330-0382.270 | Y=0438.600-0449.840 | Giáp ranh phường Phước Tân đến Vòng Xoay vào khu công
P=0358 | X=0113.330-0375.320 | Y=0450.140-0461.380 | nghiệp Giang Điền có hiện trạng là đường nhựa, bê tông xi
P=0358 | X=0096.050-0141.330 | Y=0461.660-0473.100 | 82 măng:
P=0358 | X=0405.500-0430.550 | Y=0463.780-0473.100 | 6.100
P=0358 | X=0448.010-0473.060 | Y=0463.780-0473.100 | 4.300
P=0358 | X=0497.230-0522.280 | Y=0463.780-0473.100 | 3.700
P=0358 | X=0113.330-0336.240 | Y=0479.180-0490.420 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0358 | X=0113.330-0354.440 | Y=0496.460-0507.700 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0358 | X=0113.330-0146.850 | Y=0507.980-0519.220 | ≤400m.
P=0358 | X=0113.330-0359.240 | Y=0525.740-0536.980 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0358 | X=0113.330-0382.970 | Y=0537.290-0548.530 | thông ra Đường kết nối khu công nghiệp Giang Điền đoạn từ
P=0358 | X=0113.330-0382.270 | Y=0548.810-0560.050 | Giáp ranh phường Phước Tân đến Vòng Xoay vào khu công
P=0358 | X=0113.330-0375.320 | Y=0560.330-0571.570 | nghiệp Giang Điền có hiện trạng là đường nhựa, bê tông xi
P=0358 | X=0113.330-0141.330 | Y=0571.850-0583.090 | măng:
P=0358 | X=0096.050-0107.170 | Y=0582.850-0592.170 | 83
P=0358 | X=0405.500-0430.550 | Y=0582.850-0592.170 | 4.400
P=0358 | X=0448.010-0473.060 | Y=0582.850-0592.170 | 3.100
P=0358 | X=0497.230-0522.280 | Y=0582.850-0592.170 | 2.600
P=0358 | X=0113.330-0336.500 | Y=0589.370-0600.610 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0358 | X=0113.330-0366.640 | Y=0606.890-0618.130 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0358 | X=0113.330-0199.880 | Y=0618.430-0629.670 | >400m đến ≤600m.
P=0358 | X=0113.330-0336.500 | Y=0635.950-0647.190 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0358 | X=0113.330-0359.240 | Y=0653.710-0664.950 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0358 | X=0113.330-0382.970 | Y=0665.230-0676.470 | thông ra Đường kết nối khu công nghiệp Giang Điền đoạn từ
P=0358 | X=0096.050-0382.270 | Y=0676.510-0687.750 | 84 Giáp ranh phường Phước Tân đến Vòng Xoay vào khu công
P=0358 | X=0405.500-0430.550 | Y=0678.390-0687.710 | 2.200
P=0358 | X=0448.010-0473.060 | Y=0678.390-0687.710 | 1.500
P=0358 | X=0497.230-0522.280 | Y=0678.390-0687.710 | 1.300
P=0358 | X=0113.330-0375.320 | Y=0688.030-0699.270 | nghiệp Giang Điền có hiện trạng là đường nhựa, bê tông xi
P=0358 | X=0113.330-0141.330 | Y=0699.550-0710.790 | măng:
P=0359 | X=0113.330-0354.440 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0359 | X=0113.330-0147.090 | Y=0091.900-0101.220 | >600m.
P=0359 | X=0113.330-0339.620 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0359 | X=0113.330-0196.240 | Y=0125.330-0136.570 | Đường kết nối khu
P=0359 | X=0219.430-0287.440 | Y=0127.210-0136.530 | Vòng Xoay vào
P=0359 | X=0306.120-0363.560 | Y=0132.970-0142.290 | Giáp ranh xã
P=0359 | X=0096.050-0197.430 | Y=0138.730-0148.050 | 85 công nghiệp Giang
P=0359 | X=0219.430-0292.980 | Y=0138.730-0148.050 | khu công nghiệp
P=0359 | X=0405.500-0430.550 | Y=0138.730-0148.050 | 9.500
P=0359 | X=0448.010-0473.060 | Y=0138.730-0148.050 | 6.700
P=0359 | X=0497.230-0522.280 | Y=0138.730-0148.050 | 5.700
P=0359 | X=0306.120-0355.550 | Y=0144.490-0153.810 | Trảng Bom
P=0359 | X=0113.330-0134.050 | Y=0148.370-0159.610 | Điền
P=0359 | X=0219.430-0269.710 | Y=0148.370-0159.610 | Giang Điền
P=0359 | X=0113.330-0377.820 | Y=0166.130-0177.370 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường kết
P=0359 | X=0113.330-0382.530 | Y=0177.410-0188.650 | nối khu công nghiệp Giang Điền đoạn từ Vòng Xoay vào khu
P=0359 | X=0113.330-0365.710 | Y=0188.930-0200.170 | công nghiệp Giang Điền đến Giáp ranh xã Trảng Bom có
P=0359 | X=0113.330-0306.940 | Y=0200.470-0211.710 | hiện trạng là đường nhựa, bê tông xi măng:
P=0359 | X=0096.050-0107.170 | Y=0208.350-0217.670 | 86
P=0359 | X=0405.500-0430.550 | Y=0208.350-0217.670 | 4.700
P=0359 | X=0448.010-0473.060 | Y=0208.350-0217.670 | 3.300
P=0359 | X=0497.230-0522.280 | Y=0208.350-0217.670 | 2.800
P=0359 | X=0113.330-0336.240 | Y=0217.990-0229.230 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0359 | X=0113.330-0354.440 | Y=0235.510-0246.750 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0359 | X=0113.330-0146.850 | Y=0247.030-0258.270 | ≤400m.
P=0359 | X=0113.330-0377.820 | Y=0264.790-0276.030 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường kết
P=0359 | X=0113.330-0382.530 | Y=0276.310-0287.550 | nối khu công nghiệp Giang Điền đoạn từ Vòng Xoay vào khu
P=0359 | X=0113.330-0365.710 | Y=0287.860-0299.100 | công nghiệp Giang Điền đến Giáp ranh xã Trảng Bom có
P=0359 | X=0113.330-0306.940 | Y=0299.380-0310.620 | hiện trạng là đường nhựa, bê tông xi măng:
P=0359 | X=0096.050-0336.500 | Y=0315.900-0328.140 | 87 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0359 | X=0405.500-0430.550 | Y=0315.900-0325.220 | 3.500
P=0359 | X=0448.010-0473.060 | Y=0315.900-0325.220 | 2.500
P=0359 | X=0497.230-0522.280 | Y=0315.900-0325.220 | 2.100
P=0359 | X=0113.330-0366.640 | Y=0334.420-0345.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0359 | X=0113.330-0199.880 | Y=0345.700-0356.940 | >400m đến ≤600m.
P=0359 | X=0113.330-0336.500 | Y=0363.220-0374.460 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0359 | X=0113.330-0377.820 | Y=0381.000-0392.240 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường kết
P=0359 | X=0113.330-0382.530 | Y=0392.520-0403.760 | nối khu công nghiệp Giang Điền đoạn từ Vòng Xoay vào khu
P=0359 | X=0113.330-0365.710 | Y=0404.040-0415.280 | công nghiệp Giang Điền đến Giáp ranh xã Trảng Bom có
P=0359 | X=0113.330-0306.940 | Y=0415.560-0426.800 | hiện trạng là đường nhựa, bê tông xi măng:
P=0359 | X=0096.050-0107.170 | Y=0423.440-0432.760 | 88
P=0359 | X=0405.500-0430.550 | Y=0423.440-0432.760 | 2.400
P=0359 | X=0448.010-0473.060 | Y=0423.440-0432.760 | 1.700
P=0359 | X=0497.230-0522.280 | Y=0423.440-0432.760 | 1.400
P=0359 | X=0113.330-0354.440 | Y=0433.080-0444.320 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0359 | X=0113.330-0147.090 | Y=0446.480-0455.800 | >600m.
P=0359 | X=0113.330-0336.970 | Y=0462.140-0473.380 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0359 | X=0113.330-0359.240 | Y=0479.900-0491.140 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0359 | X=0113.330-0382.970 | Y=0491.420-0502.660 | thông ra Đường kết nối khu công nghiệp Giang Điền đoạn từ
P=0359 | X=0113.330-0376.290 | Y=0502.940-0514.180 | Vòng Xoay vào khu công nghiệp Giang Điền đến Giáp ranh
P=0359 | X=0113.330-0385.950 | Y=0514.220-0525.460 | xã Trảng Bom có hiện trạng là đường nhựa, bê tông xi măng:
P=0359 | X=0096.050-0107.170 | Y=0522.100-0531.420 | 89
P=0359 | X=0405.500-0430.550 | Y=0522.100-0531.420 | 4.200
P=0359 | X=0448.010-0473.060 | Y=0522.100-0531.420 | 2.900
P=0359 | X=0497.230-0522.280 | Y=0522.100-0531.420 | 2.500
P=0359 | X=0113.330-0336.240 | Y=0531.740-0542.980 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0359 | X=0113.330-0354.440 | Y=0549.290-0560.530 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0359 | X=0113.330-0146.850 | Y=0560.810-0572.050 | ≤400m.
P=0359 | X=0113.330-0359.240 | Y=0578.570-0589.810 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0359 | X=0113.330-0382.970 | Y=0590.090-0601.330 | thông ra Đường kết nối khu công nghiệp Giang Điền đoạn từ
P=0359 | X=0113.330-0376.290 | Y=0601.610-0612.850 | Vòng Xoay vào khu công nghiệp Giang Điền đến Giáp ranh
P=0359 | X=0113.330-0385.950 | Y=0613.130-0624.370 | xã Trảng Bom có hiện trạng là đường nhựa, bê tông xi măng:
P=0359 | X=0096.050-0336.500 | Y=0629.670-0641.910 | 90 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0359 | X=0405.500-0430.550 | Y=0629.670-0638.990 | 3.200
P=0359 | X=0448.010-0473.060 | Y=0629.670-0638.990 | 2.200
P=0359 | X=0497.230-0522.280 | Y=0629.670-0638.990 | 1.900
P=0359 | X=0113.330-0366.640 | Y=0648.190-0659.430 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0359 | X=0113.330-0199.880 | Y=0659.710-0670.950 | >400m đến ≤600m.
P=0359 | X=0113.330-0336.500 | Y=0677.230-0688.470 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0359 | X=0113.330-0359.240 | Y=0694.750-0705.990 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0359 | X=0096.050-0107.170 | Y=0702.420-0711.740 | 91
