TABLE=015 | AREA=Xã Phước Thái | SECTION=non-agricultural | SEGMENTS=1
P=0489 | X=0116.690-0313.560 | Y=0345.700-0356.940 | trực tiếp và thông ra Đường nhựa xã Phước
P=0489 | X=0116.690-0305.460 | Y=0357.220-0368.460 | Bình cũ đoạn từ Quốc lộ 51 đến Giáp ranh
P=0489 | X=0116.690-0291.050 | Y=0370.640-0379.960 | thành phố Hồ Chí Minh có hiện trạng là
P=0489 | X=0116.690-0252.460 | Y=0380.280-0391.520 | đường nhựa, bê tông xi măng:
P=0489 | X=0097.490-0108.610 | Y=0388.160-0397.480 | 63
P=0489 | X=0357.260-0382.310 | Y=0388.160-0397.480 | 1.400
P=0489 | X=0442.010-0458.650 | Y=0388.160-0397.480 | 980
P=0489 | X=0505.630-0522.270 | Y=0388.160-0397.480 | 840
P=0489 | X=0116.690-0308.370 | Y=0397.800-0409.040 | - Có bề rộng từ ≥3m đến <5m, cách đường
P=0489 | X=0116.690-0208.270 | Y=0411.200-0420.520 | giao thông >1.000m.
P=0489 | X=0116.690-0303.790 | Y=0426.840-0438.080 | - Có bề rộng <3m, cách đường giao thông
P=0489 | X=0116.690-0150.450 | Y=0440.240-0449.560 | >200m.
P=0489 | X=0090.020-0178.550 | Y=0473.660-0484.900 | 16. Xã Nhơn Trạch
P=0489 | X=0487.390-0521.470 | Y=0491.660-0502.900 | Giá đất
P=0489 | X=0490.270-0518.550 | Y=0503.180-0514.420 | cơ sở
P=0489 | X=0495.790-0512.990 | Y=0516.580-0525.900 | sản
P=0489 | X=0494.110-0514.750 | Y=0527.860-0537.180 | xuất
P=0489 | X=0496.750-0511.780 | Y=0539.410-0548.730 | phi
P=0489 | X=0492.190-0516.810 | Y=0550.930-0560.250 | nông
P=0489 | X=0450.890-0484.970 | Y=0554.810-0566.050 | Giá đất
P=0489 | X=0487.870-0520.910 | Y=0562.450-0571.770 | nghiệp
P=0489 | X=0449.930-0486.060 | Y=0566.330-0577.570 | thương
P=0489 | X=0115.730-0222.880 | Y=0572.090-0583.330 | Tên đường giao thông
P=0489 | X=0250.660-0295.960 | Y=0572.090-0583.330 | Điểm đầu
P=0489 | X=0336.120-0384.060 | Y=0572.090-0583.330 | Điểm cuối
P=0489 | X=0405.740-0449.660 | Y=0572.090-0583.330 | Giá đất ở
P=0489 | X=0489.790-0518.830 | Y=0572.090-0583.330 | và đất
P=0489 | X=0092.180-0104.580 | Y=0573.970-0583.290 | TT
P=0489 | X=0457.850-0477.930 | Y=0579.730-0589.050 | mại,
P=0489 | X=0497.950-0510.770 | Y=0585.490-0594.810 | sử
P=0489 | X=0450.410-0485.600 | Y=0591.250-0600.570 | dịch vụ
P=0489 | X=0492.190-0516.820 | Y=0597.010-0606.330 | dụng
P=0489 | X=0495.310-0513.220 | Y=0608.530-0617.850 | cho
P=0489 | X=0493.630-0514.990 | Y=0620.070-0629.390 | hoạt
P=0489 | X=0492.190-0516.820 | Y=0629.710-0640.950 | động
P=0489 | X=0486.670-0522.330 | Y=0643.110-0652.430 | khoáng
P=0489 | X=0495.790-0512.990 | Y=0654.390-0663.710 | sản
P=0489 | X=0315.000-0386.850 | Y=0670.750-0681.990 | Đường D15 khu
P=0489 | X=0231.940-0300.920 | Y=0676.510-0687.750 | Đường Nguyễn
P=0489 | X=0095.570-0211.360 | Y=0682.270-0693.510 | 1 Đường Lê Hồng Phong
P=0489 | X=0315.000-0398.570 | Y=0682.270-0693.510 | dân cư HUD Nhơn
P=0489 | X=0424.730-0449.780 | Y=0684.150-0693.470 | 6.800
P=0489 | X=0460.970-0486.020 | Y=0684.150-0693.470 | 4.800
P=0489 | X=0497.230-0522.280 | Y=0684.150-0693.470 | 4.100
P=0489 | X=0231.940-0278.110 | Y=0689.910-0699.230 | Hữu Cảnh
P=0489 | X=0315.000-0340.760 | Y=0695.670-0704.990 | Trạch
P=0490 | X=0107.330-0396.230 | Y=0078.740-0089.980 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lê Hồng
P=0490 | X=0107.330-0388.060 | Y=0090.260-0101.500 | Phong đoạn từ Đường Nguyễn Hữu Cảnh đến Đường D15 khu
P=0490 | X=0107.330-0397.880 | Y=0101.780-0113.020 | dân cư HUD Nhơn Trạch có hiện trạng là đường nhựa, bê tông xi
P=0490 | X=0095.570-0135.330 | Y=0113.300-0124.740 | 2 măng:
P=0490 | X=0424.730-0449.780 | Y=0115.420-0124.740 | 2.900
P=0490 | X=0460.970-0486.020 | Y=0115.420-0124.740 | 2.000
P=0490 | X=0497.230-0522.280 | Y=0115.420-0124.740 | 1.700
P=0490 | X=0107.330-0338.410 | Y=0130.850-0142.090 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0490 | X=0107.330-0384.500 | Y=0148.370-0159.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0490 | X=0107.330-0396.230 | Y=0166.370-0177.610 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lê Hồng
P=0490 | X=0107.330-0388.060 | Y=0177.650-0188.890 | Phong đoạn từ Đường Nguyễn Hữu Cảnh đến Đường D15 khu
P=0490 | X=0107.330-0397.880 | Y=0189.170-0200.410 | dân cư HUD Nhơn Trạch có hiện trạng là đường nhựa, bê tông xi
P=0490 | X=0107.330-0135.330 | Y=0200.710-0211.950 | măng:
P=0490 | X=0095.570-0338.880 | Y=0217.470-0229.470 | 3 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0490 | X=0424.730-0449.780 | Y=0217.470-0226.790 | 2.200
P=0490 | X=0460.970-0486.020 | Y=0217.470-0226.790 | 1.500
P=0490 | X=0497.230-0522.280 | Y=0217.470-0226.790 | 1.300
P=0490 | X=0107.330-0394.220 | Y=0235.750-0246.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0490 | X=0107.330-0168.450 | Y=0247.270-0258.510 | đến ≤1.000m.
P=0490 | X=0107.330-0330.500 | Y=0264.790-0276.030 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0490 | X=0107.330-0396.230 | Y=0282.820-0294.060 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lê Hồng
P=0490 | X=0107.330-0388.060 | Y=0294.340-0305.580 | Phong đoạn từ Đường Nguyễn Hữu Cảnh đến Đường D15 khu
P=0490 | X=0107.330-0397.880 | Y=0305.860-0317.100 | dân cư HUD Nhơn Trạch có hiện trạng là đường nhựa, bê tông xi
P=0490 | X=0095.570-0135.330 | Y=0317.380-0328.820 | 4 măng:
P=0490 | X=0424.730-0449.780 | Y=0319.500-0328.820 | 1.600
P=0490 | X=0460.970-0486.020 | Y=0319.500-0328.820 | 1.100
P=0490 | X=0505.630-0522.270 | Y=0319.500-0328.820 | 960
P=0490 | X=0107.330-0393.120 | Y=0334.900-0346.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0490 | X=0107.330-0330.970 | Y=0352.420-0363.660 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0490 | X=0107.330-0392.590 | Y=0370.200-0381.440 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0490 | X=0107.330-0388.540 | Y=0381.720-0392.960 | Đường Lê Hồng Phong đoạn từ Đường Nguyễn Hữu Cảnh đến
P=0490 | X=0107.330-0397.420 | Y=0393.240-0404.480 | Đường D15 khu dân cư HUD Nhơn Trạch có hiện trạng là đường
P=0490 | X=0095.570-0210.440 | Y=0404.760-0416.200 | 5 nhựa, bê tông xi măng:
P=0490 | X=0424.730-0449.780 | Y=0406.880-0416.200 | 2.600
P=0490 | X=0460.970-0486.020 | Y=0406.880-0416.200 | 1.800
P=0490 | X=0497.230-0522.280 | Y=0406.880-0416.200 | 1.600
P=0490 | X=0107.330-0338.410 | Y=0422.280-0433.520 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0490 | X=0107.330-0384.500 | Y=0439.800-0451.040 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0490 | X=0107.330-0392.590 | Y=0457.820-0469.060 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0490 | X=0107.330-0388.540 | Y=0469.340-0480.580 | Đường Lê Hồng Phong đoạn từ Đường Nguyễn Hữu Cảnh đến
P=0490 | X=0107.330-0397.420 | Y=0480.860-0492.100 | Đường D15 khu dân cư HUD Nhơn Trạch có hiện trạng là đường
P=0490 | X=0107.330-0210.450 | Y=0492.380-0503.620 | nhựa, bê tông xi măng:
P=0490 | X=0095.570-0338.880 | Y=0508.900-0521.140 | 6 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0490 | X=0424.730-0449.780 | Y=0508.900-0518.220 | 2.000
P=0490 | X=0460.970-0486.020 | Y=0508.900-0518.220 | 1.400
P=0490 | X=0497.230-0522.280 | Y=0508.900-0518.220 | 1.200
P=0490 | X=0107.330-0394.220 | Y=0527.420-0538.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0490 | X=0107.330-0168.450 | Y=0538.970-0550.210 | đến ≤1.000m.
P=0490 | X=0107.330-0330.500 | Y=0556.250-0567.490 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0490 | X=0107.330-0392.590 | Y=0574.250-0585.490 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0490 | X=0107.330-0388.540 | Y=0585.770-0597.010 | Đường Lê Hồng Phong đoạn từ Đường Nguyễn Hữu Cảnh đến
P=0490 | X=0107.330-0397.420 | Y=0597.290-0608.530 | Đường D15 khu dân cư HUD Nhơn Trạch có hiện trạng là đường
P=0490 | X=0095.570-0210.440 | Y=0608.810-0620.250 | 7 nhựa, bê tông xi măng:
P=0490 | X=0424.730-0449.780 | Y=0610.930-0620.250 | 1.400
P=0490 | X=0469.370-0486.010 | Y=0610.930-0620.250 | 980
P=0490 | X=0505.630-0522.270 | Y=0610.930-0620.250 | 840
P=0490 | X=0107.330-0393.120 | Y=0626.350-0637.590 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0490 | X=0107.330-0331.000 | Y=0643.870-0655.110 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0490 | X=0231.940-0300.920 | Y=0661.870-0673.110 | Đường Nguyễn
P=0490 | X=0315.000-0390.690 | Y=0661.870-0673.110 | Đường Trần Văn
P=0490 | X=0095.570-0214.630 | Y=0667.630-0678.870 | 8 Đường Nguyễn Ái Quốc
P=0490 | X=0424.730-0449.780 | Y=0669.510-0678.830 | 8.100
P=0490 | X=0460.970-0486.020 | Y=0669.510-0678.830 | 5.700
P=0490 | X=0497.230-0522.280 | Y=0669.510-0678.830 | 4.900
P=0490 | X=0231.940-0278.110 | Y=0675.270-0684.590 | Hữu Cảnh
P=0490 | X=0315.000-0330.190 | Y=0675.270-0684.590 | Trà
P=0490 | X=0107.330-0404.620 | Y=0691.390-0702.630 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn Ái
P=0490 | X=0095.570-0101.170 | Y=0699.030-0708.350 | 9
P=0490 | X=0424.730-0449.780 | Y=0699.030-0708.350 | 2.900
P=0490 | X=0460.970-0486.020 | Y=0699.030-0708.350 | 2.000
P=0490 | X=0497.230-0522.280 | Y=0699.030-0708.350 | 1.700
P=0490 | X=0107.330-0404.840 | Y=0702.930-0714.170 | Quốc đoạn từ Đường Nguyễn Hữu Cảnh đến Đường Trần Văn Trà
P=0491 | X=0107.330-0314.180 | Y=0072.740-0083.980 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0491 | X=0107.330-0338.410 | Y=0090.260-0101.500 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0491 | X=0107.330-0384.500 | Y=0107.780-0119.020 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0491 | X=0107.330-0404.620 | Y=0125.810-0137.050 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn Ái
P=0491 | X=0107.330-0404.840 | Y=0137.330-0148.570 | Quốc đoạn từ Đường Nguyễn Hữu Cảnh đến Đường Trần Văn Trà
P=0491 | X=0107.330-0314.180 | Y=0148.850-0160.090 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0491 | X=0092.900-0338.880 | Y=0166.370-0180.450 | 10 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0491 | X=0424.730-0449.780 | Y=0171.130-0180.450 | 2.300
P=0491 | X=0460.970-0486.020 | Y=0171.130-0180.450 | 1.600
P=0491 | X=0497.230-0522.280 | Y=0171.130-0180.450 | 1.400
P=0491 | X=0107.330-0394.220 | Y=0183.650-0194.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0491 | X=0107.330-0168.450 | Y=0195.170-0206.410 | đến ≤1.000m.
P=0491 | X=0107.330-0330.500 | Y=0212.710-0223.950 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0491 | X=0107.330-0404.620 | Y=0230.710-0241.950 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn Ái
P=0491 | X=0107.330-0404.840 | Y=0242.230-0253.470 | Quốc đoạn từ Đường Nguyễn Hữu Cảnh đến Đường Trần Văn Trà
P=0491 | X=0107.330-0314.180 | Y=0253.750-0264.990 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0491 | X=0092.900-0104.020 | Y=0261.630-0270.950 | 11
P=0491 | X=0424.730-0449.780 | Y=0261.630-0270.950 | 1.600
P=0491 | X=0460.970-0486.020 | Y=0261.630-0270.950 | 1.100
P=0491 | X=0505.630-0522.270 | Y=0261.630-0270.950 | 960
P=0491 | X=0107.330-0393.120 | Y=0271.270-0282.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0491 | X=0107.330-0330.970 | Y=0288.820-0300.060 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0491 | X=0107.330-0392.590 | Y=0306.820-0318.060 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0491 | X=0107.330-0391.900 | Y=0318.340-0329.580 | Đường Nguyễn Ái Quốc đoạn từ Đường Nguyễn Hữu Cảnh đến
P=0491 | X=0107.330-0379.640 | Y=0329.860-0341.100 | Đường Trần Văn Trà có hiện trạng là đường nhựa, bê tông xi
P=0491 | X=0092.900-0135.330 | Y=0341.380-0352.820 | 12 măng:
P=0491 | X=0424.730-0449.780 | Y=0343.500-0352.820 | 2.600
P=0491 | X=0460.970-0486.020 | Y=0343.500-0352.820 | 1.800
P=0491 | X=0497.230-0522.280 | Y=0343.500-0352.820 | 1.600
P=0491 | X=0107.330-0338.410 | Y=0358.900-0370.140 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0491 | X=0107.330-0384.500 | Y=0376.200-0387.440 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0491 | X=0107.330-0392.590 | Y=0394.200-0405.440 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0491 | X=0107.330-0391.900 | Y=0405.720-0416.960 | Đường Nguyễn Ái Quốc đoạn từ Đường Nguyễn Hữu Cảnh đến
P=0491 | X=0107.330-0379.640 | Y=0417.240-0428.480 | Đường Trần Văn Trà có hiện trạng là đường nhựa, bê tông xi
P=0491 | X=0107.330-0135.330 | Y=0428.760-0440.000 | măng:
P=0491 | X=0092.900-0338.880 | Y=0445.520-0457.520 | 13 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0491 | X=0424.730-0449.780 | Y=0445.520-0454.840 | 2.100
P=0491 | X=0460.970-0486.020 | Y=0445.520-0454.840 | 1.500
P=0491 | X=0497.230-0522.280 | Y=0445.520-0454.840 | 1.300
P=0491 | X=0107.330-0394.220 | Y=0463.820-0475.060 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0491 | X=0107.330-0168.450 | Y=0475.340-0486.580 | đến ≤1.000m.
P=0491 | X=0107.330-0330.500 | Y=0492.860-0504.100 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0491 | X=0107.330-0392.590 | Y=0510.860-0522.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0491 | X=0107.330-0391.900 | Y=0522.380-0533.620 | Đường Nguyễn Ái Quốc đoạn từ Đường Nguyễn Hữu Cảnh đến
P=0491 | X=0107.330-0379.640 | Y=0533.930-0545.170 | Đường Trần Văn Trà có hiện trạng là đường nhựa, bê tông xi
P=0491 | X=0092.900-0135.330 | Y=0545.450-0556.890 | 14 măng:
P=0491 | X=0424.730-0449.780 | Y=0547.570-0556.890 | 1.400
P=0491 | X=0469.370-0486.010 | Y=0547.570-0556.890 | 980
P=0491 | X=0505.630-0522.270 | Y=0547.570-0556.890 | 840
P=0491 | X=0107.330-0393.120 | Y=0562.970-0574.210 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0491 | X=0107.330-0330.970 | Y=0580.250-0591.490 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0491 | X=0315.000-0390.690 | Y=0598.250-0609.490 | Đường Trần Văn
P=0491 | X=0092.900-0216.870 | Y=0604.010-0615.250 | 15 Đường Quách Thị Trang
P=0491 | X=0231.940-0313.880 | Y=0604.010-0615.250 | Đường Lý Thái Tổ
P=0491 | X=0424.730-0449.780 | Y=0605.890-0615.210 | 7.300
P=0491 | X=0460.970-0486.020 | Y=0605.890-0615.210 | 5.100
P=0491 | X=0497.230-0522.280 | Y=0605.890-0615.210 | 4.400
P=0491 | X=0315.000-0330.190 | Y=0611.650-0620.970 | Trà
P=0491 | X=0107.330-0404.620 | Y=0627.790-0639.030 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Quách Thị
P=0491 | X=0107.330-0384.180 | Y=0639.310-0650.550 | Trang đoạn từ Đường Lý Thái Tổ đến Đường Trần Văn Trà có
P=0491 | X=0107.330-0300.940 | Y=0650.830-0662.070 | hiện trạng là đường nhựa, bê tông xi măng:
P=0491 | X=0092.900-0104.020 | Y=0658.710-0668.030 | 16
P=0491 | X=0424.730-0449.780 | Y=0658.710-0668.030 | 3.500
P=0491 | X=0460.970-0486.020 | Y=0658.710-0668.030 | 2.500
P=0491 | X=0497.230-0522.280 | Y=0658.710-0668.030 | 2.100
P=0491 | X=0107.330-0338.410 | Y=0668.350-0679.590 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0491 | X=0107.330-0384.500 | Y=0685.870-0697.110 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0491 | X=0092.900-0404.620 | Y=0703.890-0715.130 | 17 Các tuyến đường giao thông đấu nối trực tiếp ra Đường Quách Thị
P=0491 | X=0424.730-0449.770 | Y=0705.780-0715.100 | 2.700
P=0491 | X=0460.970-0486.020 | Y=0705.780-0715.100 | 1.900
P=0491 | X=0497.230-0522.280 | Y=0705.780-0715.100 | 1.600
P=0492 | X=0107.330-0384.180 | Y=0072.740-0083.980 | Trang đoạn từ Đường Lý Thái Tổ đến Đường Trần Văn Trà có
P=0492 | X=0107.330-0300.940 | Y=0084.260-0095.500 | hiện trạng là đường nhựa, bê tông xi măng:
P=0492 | X=0107.330-0338.880 | Y=0101.780-0113.020 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0492 | X=0107.330-0394.220 | Y=0119.330-0130.570 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0492 | X=0107.330-0168.450 | Y=0130.850-0142.090 | đến ≤1.000m.
P=0492 | X=0107.330-0330.500 | Y=0148.370-0159.610 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0492 | X=0107.330-0404.620 | Y=0166.370-0177.610 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Quách Thị
P=0492 | X=0107.330-0384.180 | Y=0177.650-0188.890 | Trang đoạn từ Đường Lý Thái Tổ đến Đường Trần Văn Trà có
P=0492 | X=0107.330-0300.940 | Y=0189.170-0200.410 | hiện trạng là đường nhựa, bê tông xi măng:
P=0492 | X=0092.900-0104.020 | Y=0197.050-0206.370 | 18
P=0492 | X=0424.730-0449.780 | Y=0197.050-0206.370 | 2.000
P=0492 | X=0460.970-0486.020 | Y=0197.050-0206.370 | 1.400
P=0492 | X=0497.230-0522.280 | Y=0197.050-0206.370 | 1.200
P=0492 | X=0107.330-0393.120 | Y=0206.710-0217.950 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0492 | X=0107.330-0330.970 | Y=0224.230-0235.470 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0492 | X=0107.330-0392.590 | Y=0242.230-0253.470 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0492 | X=0107.330-0392.630 | Y=0253.750-0264.990 | Đường Quách Thị Trang đoạn từ Đường Lý Thái Tổ đến Đường
P=0492 | X=0107.330-0376.110 | Y=0265.270-0276.510 | Trần Văn Trà có hiện trạng là đường nhựa, bê tông xi măng:
P=0492 | X=0092.900-0104.020 | Y=0273.150-0282.470 | 19
P=0492 | X=0424.730-0449.780 | Y=0273.150-0282.470 | 3.200
P=0492 | X=0460.970-0486.020 | Y=0273.150-0282.470 | 2.200
P=0492 | X=0497.230-0522.280 | Y=0273.150-0282.470 | 1.900
P=0492 | X=0107.330-0338.410 | Y=0282.820-0294.060 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0492 | X=0107.330-0384.500 | Y=0300.340-0311.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0492 | X=0107.330-0392.590 | Y=0318.340-0329.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0492 | X=0107.330-0392.630 | Y=0329.860-0341.100 | Đường Quách Thị Trang đoạn từ Đường Lý Thái Tổ đến Đường
P=0492 | X=0107.330-0376.110 | Y=0341.380-0352.620 | Trần Văn Trà có hiện trạng là đường nhựa, bê tông xi măng:
P=0492 | X=0092.900-0338.880 | Y=0358.900-0372.980 | 20 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0492 | X=0424.730-0449.780 | Y=0363.660-0372.980 | 2.400
P=0492 | X=0460.970-0486.020 | Y=0363.660-0372.980 | 1.700
P=0492 | X=0497.230-0522.280 | Y=0363.660-0372.980 | 1.400
P=0492 | X=0107.330-0394.220 | Y=0376.200-0387.440 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0492 | X=0107.330-0168.450 | Y=0387.720-0398.960 | đến ≤1.000m.
P=0492 | X=0107.330-0330.500 | Y=0405.240-0416.480 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0492 | X=0107.330-0392.590 | Y=0423.240-0434.480 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0492 | X=0107.330-0392.630 | Y=0434.760-0446.000 | Đường Quách Thị Trang đoạn từ Đường Lý Thái Tổ đến Đường
P=0492 | X=0107.330-0376.110 | Y=0446.280-0457.520 | Trần Văn Trà có hiện trạng là đường nhựa, bê tông xi măng:
P=0492 | X=0092.900-0104.020 | Y=0454.180-0463.500 | 21
P=0492 | X=0424.730-0449.780 | Y=0454.180-0463.500 | 1.800
P=0492 | X=0460.970-0486.020 | Y=0454.180-0463.500 | 1.300
P=0492 | X=0497.230-0522.280 | Y=0454.180-0463.500 | 1.100
P=0492 | X=0107.330-0393.120 | Y=0463.820-0475.060 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0492 | X=0107.330-0330.970 | Y=0481.340-0492.580 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0492 | X=0107.330-0299.490 | Y=0499.340-0510.580 | Đường ấp 3- Khu Bàu Sen Trạm xăng dầu
P=0492 | X=0315.000-0397.400 | Y=0505.100-0516.340 | Đường Vành đai 3
P=0492 | X=0092.900-0104.020 | Y=0506.980-0516.300 | 22
P=0492 | X=0424.730-0449.780 | Y=0506.980-0516.300 | 7.000
P=0492 | X=0460.970-0486.020 | Y=0506.980-0516.300 | 4.900
P=0492 | X=0497.230-0522.280 | Y=0506.980-0516.300 | 4.200
P=0492 | X=0107.330-0183.250 | Y=0510.860-0522.100 | xã Phú Thạnh cũ
P=0492 | X=0231.940-0275.950 | Y=0512.740-0522.060 | Bảo Uyên
P=0492 | X=0107.330-0401.980 | Y=0528.860-0540.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ấp 3- Khu
P=0492 | X=0107.330-0397.660 | Y=0540.410-0551.650 | Bàu Sen xã Phú Thạnh cũ đoạn từ Trạm xăng dầu Bảo Uyên đến
P=0492 | X=0107.330-0399.150 | Y=0551.930-0563.170 | Đường Vành đai 3 có hiện trạng là đường nhựa, bê tông xi măng:
P=0492 | X=0092.900-0104.020 | Y=0559.810-0569.130 | 23
P=0492 | X=0424.730-0449.780 | Y=0559.810-0569.130 | 3.100
P=0492 | X=0460.970-0486.020 | Y=0559.810-0569.130 | 2.200
P=0492 | X=0497.230-0522.280 | Y=0559.810-0569.130 | 1.900
P=0492 | X=0107.330-0338.410 | Y=0569.450-0580.690 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0492 | X=0107.330-0384.500 | Y=0586.970-0598.210 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0492 | X=0107.330-0401.980 | Y=0604.970-0616.210 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ấp 3- Khu
P=0492 | X=0107.330-0397.660 | Y=0616.270-0627.510 | Bàu Sen xã Phú Thạnh cũ đoạn từ Trạm xăng dầu Bảo Uyên đến
P=0492 | X=0107.330-0399.150 | Y=0627.790-0639.030 | Đường Vành đai 3 có hiện trạng là đường nhựa, bê tông xi măng:
P=0492 | X=0092.900-0338.880 | Y=0645.310-0659.630 | 24 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0492 | X=0424.730-0449.780 | Y=0650.310-0659.630 | 2.400
P=0492 | X=0460.970-0486.020 | Y=0650.310-0659.630 | 1.700
P=0492 | X=0497.230-0522.280 | Y=0650.310-0659.630 | 1.400
P=0492 | X=0107.330-0394.220 | Y=0662.830-0674.070 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0492 | X=0107.330-0168.450 | Y=0674.350-0685.590 | đến ≤1.000m.
P=0492 | X=0107.330-0330.500 | Y=0691.870-0703.110 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0493 | X=0107.330-0401.980 | Y=0078.740-0089.980 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ấp 3- Khu
P=0493 | X=0107.330-0397.660 | Y=0090.260-0101.500 | Bàu Sen xã Phú Thạnh cũ đoạn từ Trạm xăng dầu Bảo Uyên đến
P=0493 | X=0107.330-0399.150 | Y=0101.780-0113.020 | Đường Vành đai 3 có hiện trạng là đường nhựa, bê tông xi măng:
P=0493 | X=0092.900-0104.020 | Y=0109.660-0118.980 | 25
P=0493 | X=0424.730-0449.780 | Y=0109.660-0118.980 | 1.700
P=0493 | X=0460.970-0486.020 | Y=0109.660-0118.980 | 1.200
P=0493 | X=0497.230-0522.280 | Y=0109.660-0118.980 | 1.000
P=0493 | X=0107.330-0393.120 | Y=0119.330-0130.570 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0493 | X=0107.330-0330.970 | Y=0136.850-0148.090 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0493 | X=0107.330-0392.590 | Y=0154.850-0166.090 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0493 | X=0107.330-0392.620 | Y=0166.370-0177.610 | Đường ấp 3- Khu Bàu Sen xã Phú Thạnh cũ đoạn từ Trạm xăng
P=0493 | X=0107.330-0379.180 | Y=0177.650-0188.890 | dầu Bảo Uyên đến Đường Vành đai 3 có hiện trạng là đường
