TABLE=027 | AREA=Xã Xuân Bắc | SECTION=non-agricultural | SEGMENTS=1
P=0997 | X=0443.450-0460.090 | Y=0321.900-0331.220 | 520
P=0997 | X=0505.390-0522.030 | Y=0321.900-0331.220 | 440
P=0997 | X=0107.330-0360.620 | Y=0340.420-0351.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0997 | X=0107.330-0202.280 | Y=0351.700-0362.940 | >500m đến ≤1.000m.
P=0997 | X=0107.330-0330.500 | Y=0369.240-0380.480 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0997 | X=0107.330-0380.840 | Y=0387.000-0398.240 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0997 | X=0107.330-0388.060 | Y=0398.520-0409.760 | ra Đường tỉnh 763 đoạn từ Đường tổ 2 ấp 3B xã Xuân Bắc đến
P=0997 | X=0107.330-0388.510 | Y=0410.040-0421.280 | Giáp ranh xã Xuân Lộc có hiện trạng là đường nhựa, bê tông xi
P=0997 | X=0107.330-0135.330 | Y=0421.560-0432.800 | măng:
P=0997 | X=0092.900-0104.020 | Y=0429.440-0438.760 | 28
P=0997 | X=0406.940-0423.580 | Y=0429.440-0438.760 | 570
P=0997 | X=0443.450-0460.090 | Y=0429.440-0438.760 | 400
P=0997 | X=0505.390-0522.030 | Y=0429.440-0438.760 | 340
P=0997 | X=0107.330-0348.420 | Y=0439.080-0450.320 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0997 | X=0107.330-0149.470 | Y=0452.500-0461.820 | >1.000m.
P=0997 | X=0107.330-0330.970 | Y=0468.140-0479.380 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0997 | X=0315.000-0359.000 | Y=0487.780-0497.100 | Giáp ranh
P=0997 | X=0107.330-0216.390 | Y=0491.660-0502.900 | Đường Xuân Bắc - Long
P=0997 | X=0235.540-0371.260 | Y=0497.420-0508.660 | Đường tỉnh 763 phường Bảo
P=0997 | X=0092.900-0104.020 | Y=0499.300-0508.620 | 29
P=0997 | X=0398.780-0423.830 | Y=0499.300-0508.620 | 1.300
P=0997 | X=0443.450-0460.090 | Y=0499.300-0508.620 | 910
P=0997 | X=0505.390-0522.030 | Y=0499.300-0508.620 | 780
P=0997 | X=0107.330-0136.220 | Y=0505.060-0514.380 | Khánh
P=0997 | X=0315.000-0335.240 | Y=0510.820-0520.140 | Vinh
P=0997 | X=0107.330-0381.570 | Y=0526.460-0537.700 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=0997 | X=0107.330-0363.560 | Y=0538.010-0549.250 | Bắc - Long Khánh đoạn từ Đường tỉnh 763 đến Giáp ranh
P=0997 | X=0107.330-0365.230 | Y=0549.530-0560.770 | phường Bảo Vinh có hiện trạng là đường nhựa, bê tông xi
P=0997 | X=0092.900-0135.330 | Y=0561.050-0572.490 | 30 măng:
P=0997 | X=0406.940-0423.580 | Y=0563.170-0572.490 | 670
P=0997 | X=0443.450-0460.090 | Y=0563.170-0572.490 | 470
P=0997 | X=0505.390-0522.030 | Y=0563.170-0572.490 | 400
P=0997 | X=0107.330-0338.410 | Y=0578.570-0589.810 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0997 | X=0107.330-0384.500 | Y=0596.090-0607.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0997 | X=0107.330-0381.570 | Y=0613.850-0625.090 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=0997 | X=0107.330-0363.560 | Y=0625.390-0636.630 | Bắc - Long Khánh đoạn từ Đường tỉnh 763 đến Giáp ranh
P=0997 | X=0107.330-0365.230 | Y=0636.910-0648.150 | phường Bảo Vinh có hiện trạng là đường nhựa, bê tông xi
P=0997 | X=0107.330-0135.330 | Y=0648.430-0659.670 | măng:
P=0997 | X=0092.900-0104.020 | Y=0656.310-0665.630 | 31
P=0997 | X=0406.940-0423.580 | Y=0656.310-0665.630 | 600
P=0997 | X=0443.450-0460.090 | Y=0656.310-0665.630 | 420
P=0997 | X=0505.390-0522.030 | Y=0656.310-0665.630 | 360
P=0997 | X=0107.330-0338.880 | Y=0665.950-0677.190 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0997 | X=0107.330-0360.620 | Y=0683.470-0694.710 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0997 | X=0107.330-0202.280 | Y=0694.750-0705.990 | >500m đến ≤1.000m.
P=0998 | X=0107.330-0330.500 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0998 | X=0107.330-0381.570 | Y=0096.260-0107.500 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=0998 | X=0107.330-0363.560 | Y=0107.780-0119.020 | Bắc - Long Khánh đoạn từ Đường tỉnh 763 đến Giáp ranh
P=0998 | X=0107.330-0365.230 | Y=0119.330-0130.570 | phường Bảo Vinh có hiện trạng là đường nhựa, bê tông xi
P=0998 | X=0107.330-0135.330 | Y=0130.850-0142.090 | măng:
P=0998 | X=0092.900-0104.020 | Y=0138.730-0148.050 | 32
P=0998 | X=0406.940-0423.580 | Y=0138.730-0148.050 | 450
P=0998 | X=0443.450-0460.090 | Y=0138.730-0148.050 | 320
P=0998 | X=0505.390-0522.030 | Y=0138.730-0148.050 | 270
P=0998 | X=0107.330-0348.420 | Y=0148.370-0159.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0998 | X=0107.330-0149.470 | Y=0161.530-0170.850 | >1.000m.
P=0998 | X=0107.330-0330.970 | Y=0177.170-0188.410 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0998 | X=0107.330-0380.840 | Y=0194.930-0206.170 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0998 | X=0107.330-0389.020 | Y=0206.470-0217.710 | ra Đường Xuân Bắc - Long Khánh đoạn từ Đường tỉnh 763 đến
P=0998 | X=0107.330-0379.900 | Y=0217.990-0229.230 | Giáp ranh phường Bảo Vinh có hiện trạng là đường nhựa, bê
P=0998 | X=0092.900-0167.490 | Y=0229.510-0240.950 | 33 tông xi măng:
P=0998 | X=0406.940-0423.580 | Y=0231.630-0240.950 | 600
P=0998 | X=0443.450-0460.090 | Y=0231.630-0240.950 | 420
P=0998 | X=0505.390-0522.030 | Y=0231.630-0240.950 | 360
P=0998 | X=0107.330-0338.410 | Y=0247.030-0258.270 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0998 | X=0107.330-0384.500 | Y=0264.550-0275.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0998 | X=0107.330-0380.840 | Y=0282.340-0293.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0998 | X=0107.330-0389.020 | Y=0293.860-0305.100 | ra Đường Xuân Bắc - Long Khánh đoạn từ Đường tỉnh 763 đến
P=0998 | X=0107.330-0379.900 | Y=0305.380-0316.620 | Giáp ranh phường Bảo Vinh có hiện trạng là đường nhựa, bê
P=0998 | X=0107.330-0167.490 | Y=0316.900-0328.140 | tông xi măng:
P=0998 | X=0092.900-0338.880 | Y=0333.420-0345.660 | 34 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0998 | X=0406.940-0423.580 | Y=0333.420-0342.740 | 540
P=0998 | X=0443.450-0460.090 | Y=0333.420-0342.740 | 380
P=0998 | X=0505.390-0522.030 | Y=0333.420-0342.740 | 320
P=0998 | X=0107.330-0360.620 | Y=0351.700-0362.940 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0998 | X=0107.330-0202.280 | Y=0363.220-0374.460 | >500m đến ≤1.000m.
P=0998 | X=0107.330-0330.500 | Y=0380.760-0392.000 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0998 | X=0107.330-0380.840 | Y=0398.520-0409.760 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0998 | X=0107.330-0389.020 | Y=0410.040-0421.280 | ra Đường Xuân Bắc - Long Khánh đoạn từ Đường tỉnh 763 đến
P=0998 | X=0107.330-0379.900 | Y=0421.560-0432.800 | Giáp ranh phường Bảo Vinh có hiện trạng là đường nhựa, bê
P=0998 | X=0107.330-0167.490 | Y=0433.080-0444.320 | tông xi măng:
P=0998 | X=0092.900-0104.020 | Y=0440.960-0450.280 | 35
P=0998 | X=0406.940-0423.580 | Y=0440.960-0450.280 | 410
P=0998 | X=0443.450-0460.090 | Y=0440.960-0450.280 | 290
P=0998 | X=0505.390-0522.030 | Y=0440.960-0450.280 | 250
P=0998 | X=0107.330-0348.420 | Y=0450.620-0461.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0998 | X=0107.330-0149.470 | Y=0464.020-0473.340 | >1.000m.
P=0998 | X=0107.330-0330.970 | Y=0479.660-0490.900 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0998 | X=0315.000-0372.690 | Y=0497.420-0508.660 | Đường Xuân
P=0998 | X=0107.330-0212.070 | Y=0503.180-0514.420 | Đường Xuân Bắc - Bảo
P=0998 | X=0235.540-0363.560 | Y=0508.940-0520.180 | Đường tỉnh 763 Bắc - Long
P=0998 | X=0092.900-0104.020 | Y=0510.820-0520.140 | 36
P=0998 | X=0398.780-0423.830 | Y=0510.820-0520.140 | 1.300
P=0998 | X=0443.450-0460.090 | Y=0510.820-0520.140 | 910
P=0998 | X=0505.390-0522.030 | Y=0510.820-0520.140 | 780
P=0998 | X=0107.330-0137.420 | Y=0516.340-0525.660 | Quang
P=0998 | X=0315.000-0343.890 | Y=0522.100-0531.420 | Khánh
P=0998 | X=0107.330-0381.570 | Y=0538.010-0549.250 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=0998 | X=0107.330-0373.900 | Y=0549.530-0560.770 | Bắc - Bảo Quang đoạn từ Đường tỉnh 763 đến Đường Xuân
P=0998 | X=0107.330-0366.430 | Y=0561.050-0572.290 | Bắc - Long Khánh có hiện trạng là đường nhựa, bê tông xi
P=0998 | X=0092.900-0135.330 | Y=0572.570-0584.010 | 37 măng:
P=0998 | X=0406.940-0423.580 | Y=0574.690-0584.010 | 670
P=0998 | X=0443.450-0460.090 | Y=0574.690-0584.010 | 470
P=0998 | X=0505.390-0522.030 | Y=0574.690-0584.010 | 400
P=0998 | X=0107.330-0338.410 | Y=0590.090-0601.330 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0998 | X=0107.330-0384.500 | Y=0607.610-0618.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0998 | X=0107.330-0381.570 | Y=0625.390-0636.630 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=0998 | X=0107.330-0373.900 | Y=0636.910-0648.150 | Bắc - Bảo Quang đoạn từ Đường tỉnh 763 đến Đường Xuân
P=0998 | X=0107.330-0366.430 | Y=0648.430-0659.670 | Bắc - Long Khánh có hiện trạng là đường nhựa, bê tông xi
P=0998 | X=0107.330-0135.330 | Y=0659.950-0671.190 | măng:
P=0998 | X=0092.900-0104.020 | Y=0667.830-0677.150 | 38
P=0998 | X=0406.940-0423.580 | Y=0667.830-0677.150 | 600
P=0998 | X=0443.450-0460.090 | Y=0667.830-0677.150 | 420
P=0998 | X=0505.390-0522.030 | Y=0667.830-0677.150 | 360
P=0998 | X=0107.330-0338.880 | Y=0677.470-0688.710 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0998 | X=0107.330-0360.620 | Y=0694.750-0705.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0998 | X=0107.330-0202.280 | Y=0706.290-0717.530 | >500m đến ≤1.000m.
P=0999 | X=0107.330-0330.500 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0999 | X=0107.330-0381.570 | Y=0096.260-0107.500 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=0999 | X=0107.330-0373.900 | Y=0107.780-0119.020 | Bắc - Bảo Quang đoạn từ Đường tỉnh 763 đến Đường Xuân
P=0999 | X=0107.330-0366.430 | Y=0119.330-0130.570 | Bắc - Long Khánh có hiện trạng là đường nhựa, bê tông xi
P=0999 | X=0107.330-0135.330 | Y=0130.850-0142.090 | măng:
P=0999 | X=0092.900-0104.020 | Y=0138.730-0148.050 | 39
P=0999 | X=0406.940-0423.580 | Y=0138.730-0148.050 | 450
P=0999 | X=0443.450-0460.090 | Y=0138.730-0148.050 | 320
P=0999 | X=0505.390-0522.030 | Y=0138.730-0148.050 | 270
P=0999 | X=0107.330-0348.420 | Y=0148.370-0159.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0999 | X=0107.330-0149.470 | Y=0161.530-0170.850 | >1.000m.
P=0999 | X=0107.330-0330.970 | Y=0177.170-0188.410 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0999 | X=0107.330-0380.840 | Y=0194.930-0206.170 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0999 | X=0107.330-0385.660 | Y=0206.470-0217.710 | ra Đường Xuân Bắc - Bảo Quang đoạn từ Đường tỉnh 763 đến
P=0999 | X=0107.330-0380.710 | Y=0217.990-0229.230 | Đường Xuân Bắc - Long Khánh có hiện trạng là đường nhựa,
P=0999 | X=0092.900-0181.410 | Y=0229.510-0240.950 | 40 bê tông xi măng:
P=0999 | X=0406.940-0423.580 | Y=0231.630-0240.950 | 600
P=0999 | X=0443.450-0460.090 | Y=0231.630-0240.950 | 420
P=0999 | X=0505.390-0522.030 | Y=0231.630-0240.950 | 360
P=0999 | X=0107.330-0338.410 | Y=0247.030-0258.270 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0999 | X=0107.330-0384.500 | Y=0264.550-0275.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0999 | X=0107.330-0380.840 | Y=0282.340-0293.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0999 | X=0107.330-0385.660 | Y=0293.860-0305.100 | ra Đường Xuân Bắc - Bảo Quang đoạn từ Đường tỉnh 763 đến
P=0999 | X=0107.330-0380.710 | Y=0305.380-0316.620 | Đường Xuân Bắc - Long Khánh có hiện trạng là đường nhựa,
P=0999 | X=0107.330-0181.410 | Y=0316.900-0328.140 | bê tông xi măng:
P=0999 | X=0092.900-0338.880 | Y=0333.420-0345.660 | 41 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0999 | X=0406.940-0423.580 | Y=0333.420-0342.740 | 540
P=0999 | X=0443.450-0460.090 | Y=0333.420-0342.740 | 380
P=0999 | X=0505.390-0522.030 | Y=0333.420-0342.740 | 320
P=0999 | X=0107.330-0360.620 | Y=0351.700-0362.940 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0999 | X=0107.330-0202.280 | Y=0363.220-0374.460 | >500m đến ≤1.000m.
P=0999 | X=0107.330-0330.500 | Y=0380.760-0392.000 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0999 | X=0107.330-0380.840 | Y=0398.520-0409.760 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0999 | X=0107.330-0385.660 | Y=0410.040-0421.280 | ra Đường Xuân Bắc - Bảo Quang đoạn từ Đường tỉnh 763 đến
P=0999 | X=0107.330-0380.710 | Y=0421.560-0432.800 | Đường Xuân Bắc - Long Khánh có hiện trạng là đường nhựa,
P=0999 | X=0107.330-0181.410 | Y=0433.080-0444.320 | bê tông xi măng:
P=0999 | X=0092.900-0104.020 | Y=0440.960-0450.280 | 42
P=0999 | X=0406.940-0423.580 | Y=0440.960-0450.280 | 410
P=0999 | X=0443.450-0460.090 | Y=0440.960-0450.280 | 290
P=0999 | X=0505.390-0522.030 | Y=0440.960-0450.280 | 250
P=0999 | X=0107.330-0348.420 | Y=0450.620-0461.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0999 | X=0107.330-0149.470 | Y=0464.020-0473.340 | >1.000m.
P=0999 | X=0107.330-0330.970 | Y=0479.660-0490.900 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0999 | X=0315.000-0369.080 | Y=0499.300-0508.620 | Mét thứ 500
P=0999 | X=0107.330-0226.710 | Y=0508.940-0520.180 | Đường tổ 6 ấp 3B xã Xuân
P=0999 | X=0315.000-0380.230 | Y=0508.940-0520.180 | (thửa đất số 5,
P=0999 | X=0235.540-0305.710 | Y=0514.460-0525.700 | Đường tỉnh 763
P=0999 | X=0092.900-0104.020 | Y=0516.340-0525.660 | 43
P=0999 | X=0398.780-0423.830 | Y=0516.340-0525.660 | 1.300
P=0999 | X=0443.450-0460.090 | Y=0516.340-0525.660 | 910
P=0999 | X=0505.390-0522.030 | Y=0516.340-0525.660 | 780
P=0999 | X=0315.000-0387.670 | Y=0520.220-0531.460 | tờ bản đồ số 62,
P=0999 | X=0107.330-0124.610 | Y=0522.100-0531.420 | Bắc
P=0999 | X=0315.000-0375.250 | Y=0533.620-0542.940 | xã Xuân Bắc)
P=0999 | X=0107.330-0389.260 | Y=0549.530-0560.770 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tổ 6 ấp
P=0999 | X=0107.330-0365.240 | Y=0561.050-0572.290 | 3B xã Xuân Bắc đoạn từ Đường tỉnh 763 đến Mét thứ 500
P=0999 | X=0107.330-0382.050 | Y=0572.570-0583.810 | (thửa đất số 5, tờ bản đồ số 62, xã Xuân Bắc) có hiện trạng là
P=0999 | X=0092.900-0243.080 | Y=0584.090-0595.530 | 44 đường nhựa, bê tông xi măng:
P=0999 | X=0406.940-0423.580 | Y=0586.210-0595.530 | 750
P=0999 | X=0443.450-0460.090 | Y=0586.210-0595.530 | 530
P=0999 | X=0505.390-0522.030 | Y=0586.210-0595.530 | 450
P=0999 | X=0107.330-0338.410 | Y=0601.610-0612.850 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0999 | X=0107.330-0384.500 | Y=0619.150-0630.390 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0999 | X=0107.330-0389.260 | Y=0636.910-0648.150 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tổ 6 ấp
P=0999 | X=0107.330-0365.240 | Y=0648.430-0659.670 | 3B xã Xuân Bắc đoạn từ Đường tỉnh 763 đến Mét thứ 500
P=0999 | X=0107.330-0382.050 | Y=0659.950-0671.190 | (thửa đất số 5, tờ bản đồ số 62, xã Xuân Bắc) có hiện trạng là
P=0999 | X=0092.900-0243.080 | Y=0671.470-0682.910 | 45 đường nhựa, bê tông xi măng:
P=0999 | X=0406.940-0423.580 | Y=0673.590-0682.910 | 520
P=0999 | X=0443.450-0460.090 | Y=0673.590-0682.910 | 360
P=0999 | X=0505.390-0522.030 | Y=0673.590-0682.910 | 310
P=0999 | X=0107.330-0338.880 | Y=0688.750-0699.990 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0999 | X=0107.330-0360.620 | Y=0706.290-0717.530 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1000 | X=0107.330-0202.280 | Y=0072.500-0083.740 | >500m đến ≤1.000m.
P=1000 | X=0107.330-0330.500 | Y=0090.020-0101.260 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1000 | X=0107.330-0389.260 | Y=0107.780-0119.020 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tổ 6 ấp
P=1000 | X=0107.330-0365.240 | Y=0119.330-0130.570 | 3B xã Xuân Bắc đoạn từ Đường tỉnh 763 đến Mét thứ 500
P=1000 | X=0107.330-0382.050 | Y=0130.850-0142.090 | (thửa đất số 5, tờ bản đồ số 62, xã Xuân Bắc) có hiện trạng là
P=1000 | X=0107.330-0243.080 | Y=0142.370-0153.610 | đường nhựa, bê tông xi măng:
P=1000 | X=0092.900-0104.020 | Y=0150.250-0159.570 | 46
P=1000 | X=0406.940-0423.580 | Y=0150.250-0159.570 | 370
P=1000 | X=0443.450-0460.090 | Y=0150.250-0159.570 | 260
P=1000 | X=0505.390-0522.030 | Y=0150.250-0159.570 | 220
P=1000 | X=0107.330-0348.420 | Y=0159.650-0170.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1000 | X=0107.330-0149.470 | Y=0173.050-0182.370 | >1.000m.
P=1000 | X=0107.330-0330.970 | Y=0188.690-0199.930 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1000 | X=0107.330-0380.840 | Y=0206.470-0217.710 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1000 | X=0107.330-0387.820 | Y=0217.990-0229.230 | ra Đường tổ 6 ấp 3B xã Xuân Bắc đoạn từ Đường tỉnh 763 đến
P=1000 | X=0107.330-0381.090 | Y=0229.510-0240.750 | Mét thứ 500 (thửa đất số 5, tờ bản đồ số 62, xã Xuân Bắc) có
P=1000 | X=0092.900-0300.940 | Y=0241.030-0252.470 | 47 hiện trạng là đường nhựa, bê tông xi măng:
P=1000 | X=0406.940-0423.580 | Y=0243.150-0252.470 | 680
P=1000 | X=0443.450-0460.090 | Y=0243.150-0252.470 | 480
P=1000 | X=0505.390-0522.030 | Y=0243.150-0252.470 | 410
P=1000 | X=0107.330-0338.410 | Y=0258.550-0269.790 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1000 | X=0107.330-0384.540 | Y=0276.070-0287.310 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1000 | X=0107.330-0380.840 | Y=0293.860-0305.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1000 | X=0107.330-0387.820 | Y=0305.380-0316.620 | ra Đường tổ 6 ấp 3B xã Xuân Bắc đoạn từ Đường tỉnh 763 đến
P=1000 | X=0107.330-0381.090 | Y=0316.900-0328.140 | Mét thứ 500 (thửa đất số 5, tờ bản đồ số 62, xã Xuân Bắc) có
P=1000 | X=0107.330-0300.940 | Y=0328.420-0339.660 | hiện trạng là đường nhựa, bê tông xi măng:
P=1000 | X=0092.900-0338.880 | Y=0344.940-0356.940 | 48 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1000 | X=0406.940-0423.580 | Y=0344.940-0354.260 | 470
P=1000 | X=0443.450-0460.090 | Y=0344.940-0354.260 | 330
P=1000 | X=0505.390-0522.030 | Y=0344.940-0354.260 | 280
P=1000 | X=0107.330-0360.620 | Y=0363.220-0374.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1000 | X=0107.330-0202.280 | Y=0374.760-0386.000 | >500m đến ≤1.000m.
P=1000 | X=0107.330-0330.500 | Y=0392.280-0403.520 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1000 | X=0107.330-0380.840 | Y=0410.040-0421.280 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1000 | X=0107.330-0387.820 | Y=0421.560-0432.800 | ra Đường tổ 6 ấp 3B xã Xuân Bắc đoạn từ Đường tỉnh 763 đến
P=1000 | X=0107.330-0381.090 | Y=0433.080-0444.320 | Mét thứ 500 (thửa đất số 5, tờ bản đồ số 62, xã Xuân Bắc) có
P=1000 | X=0107.330-0300.940 | Y=0444.600-0455.840 | hiện trạng là đường nhựa, bê tông xi măng:
P=1000 | X=0092.900-0104.020 | Y=0452.500-0461.820 | 49
P=1000 | X=0406.940-0423.580 | Y=0452.500-0461.820 | 330
P=1000 | X=0443.450-0460.090 | Y=0452.500-0461.820 | 230
P=1000 | X=0505.390-0522.030 | Y=0452.500-0461.820 | 200
P=1000 | X=0107.330-0348.420 | Y=0462.140-0473.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1000 | X=0107.330-0149.470 | Y=0475.540-0484.860 | >1.000m.
P=1000 | X=0107.330-0330.970 | Y=0491.180-0502.420 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1000 | X=0235.540-0289.620 | Y=0510.820-0520.140 | Mét thứ 500
P=1000 | X=0315.000-0377.730 | Y=0514.460-0525.700 | Đường tổ 3+4
P=1000 | X=0107.330-0312.970 | Y=0520.220-0531.460 | Đường tổ 6 ấp 3B xã Xuân (thửa đất số 5, tờ
P=1000 | X=0315.000-0380.600 | Y=0525.980-0537.220 | ấp 3B xã Xuân
P=1000 | X=0092.900-0104.020 | Y=0527.860-0537.180 | 50
P=1000 | X=0398.780-0423.830 | Y=0527.860-0537.180 | 1.200
P=1000 | X=0443.450-0460.090 | Y=0527.860-0537.180 | 840
P=1000 | X=0505.390-0522.030 | Y=0527.860-0537.180 | 720
P=1000 | X=0235.540-0309.770 | Y=0531.740-0542.980 | bản đồ số 62, xã
P=1000 | X=0107.330-0124.610 | Y=0533.620-0542.940 | Bắc
P=1000 | X=0315.000-0332.280 | Y=0539.410-0548.730 | Bắc
P=1000 | X=0235.540-0282.100 | Y=0545.170-0554.490 | Xuân Bắc)
P=1000 | X=0107.330-0389.260 | Y=0561.050-0572.290 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tổ 6 ấp
P=1000 | X=0107.330-0386.390 | Y=0572.570-0583.810 | 3B xã Xuân Bắc đoạn từ Mét thứ 500 (thửa đất số 5, tờ bản đồ
P=1000 | X=0107.330-0384.210 | Y=0584.090-0595.330 | số 62, xã Xuân Bắc) đến Đường tổ 3+4 ấp 3B xã Xuân Bắc có
P=1000 | X=0092.900-0300.940 | Y=0595.610-0607.050 | 51 hiện trạng là đường nhựa, bê tông xi măng:
P=1000 | X=0406.940-0423.580 | Y=0597.730-0607.050 | 670
P=1000 | X=0443.450-0460.090 | Y=0597.730-0607.050 | 470
P=1000 | X=0505.390-0522.030 | Y=0597.730-0607.050 | 400
P=1000 | X=0107.330-0338.410 | Y=0613.130-0624.370 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1000 | X=0107.330-0384.500 | Y=0630.670-0641.910 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1000 | X=0107.330-0389.260 | Y=0648.430-0659.670 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tổ 6 ấp
P=1000 | X=0107.330-0386.390 | Y=0659.950-0671.190 | 3B xã Xuân Bắc đoạn từ Mét thứ 500 (thửa đất số 5, tờ bản đồ
P=1000 | X=0092.900-0384.210 | Y=0671.470-0685.550 | 52 số 62, xã Xuân Bắc) đến Đường tổ 3+4 ấp 3B xã Xuân Bắc có
P=1000 | X=0406.940-0423.580 | Y=0676.230-0685.550 | 450
P=1000 | X=0443.450-0460.090 | Y=0676.230-0685.550 | 320
P=1000 | X=0505.390-0522.030 | Y=0676.230-0685.550 | 280
P=1000 | X=0107.330-0300.940 | Y=0682.750-0693.990 | hiện trạng là đường nhựa, bê tông xi măng:
P=1000 | X=0107.330-0338.880 | Y=0700.290-0711.530 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1001 | X=0107.330-0360.620 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1001 | X=0107.330-0202.280 | Y=0090.020-0101.260 | >500m đến ≤1.000m.
P=1001 | X=0107.330-0330.500 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1001 | X=0107.330-0389.260 | Y=0125.330-0136.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tổ 6 ấp
P=1001 | X=0107.330-0386.390 | Y=0136.850-0148.090 | 3B xã Xuân Bắc đoạn từ Mét thứ 500 (thửa đất số 5, tờ bản đồ
P=1001 | X=0107.330-0384.210 | Y=0148.370-0159.610 | số 62, xã Xuân Bắc) đến Đường tổ 3+4 ấp 3B xã Xuân Bắc có
P=1001 | X=0107.330-0300.940 | Y=0159.650-0170.890 | hiện trạng là đường nhựa, bê tông xi măng:
P=1001 | X=0092.900-0104.020 | Y=0167.530-0176.850 | 53
