TABLE=012 | AREA=Xã Bình An | SECTION=non-agricultural | SEGMENTS=1
P=0424 | X=0448.730-0473.780 | Y=0383.600-0392.920 | 1.500
P=0424 | X=0497.230-0522.280 | Y=0383.600-0392.920 | 1.300
P=0424 | X=0113.090-0344.170 | Y=0393.240-0404.480 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0424 | X=0113.090-0354.200 | Y=0410.760-0422.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0424 | X=0113.090-0146.610 | Y=0422.280-0433.520 | ≤500m.
P=0424 | X=0113.090-0359.000 | Y=0440.280-0451.520 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0424 | X=0113.090-0368.630 | Y=0451.820-0463.060 | thông ra Đường từ Sân bóng khu 15 đến hết đoạn đường
P=0424 | X=0113.090-0357.330 | Y=0463.340-0474.580 | Ráp thuộc xã Bình An có hiện trạng là đường nhựa, bê
P=0424 | X=0113.090-0173.250 | Y=0474.860-0486.100 | tông xi măng:
P=0424 | X=0095.810-0344.640 | Y=0491.380-0503.620 | 27 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0424 | X=0399.500-0424.550 | Y=0491.380-0500.700 | 1.800
P=0424 | X=0448.730-0473.780 | Y=0491.380-0500.700 | 1.300
P=0424 | X=0497.230-0522.280 | Y=0491.380-0500.700 | 1.100
P=0424 | X=0113.090-0366.400 | Y=0509.900-0521.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0424 | X=0113.090-0208.040 | Y=0521.420-0532.660 | >500m đến ≤1.000m.
P=0424 | X=0113.090-0336.260 | Y=0538.970-0550.210 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0424 | X=0113.090-0359.000 | Y=0556.970-0568.210 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0424 | X=0113.090-0368.630 | Y=0568.250-0579.490 | thông ra Đường từ Sân bóng khu 15 đến hết đoạn đường
P=0424 | X=0113.090-0357.330 | Y=0579.770-0591.010 | Ráp thuộc xã Bình An có hiện trạng là đường nhựa, bê
P=0424 | X=0113.090-0173.250 | Y=0591.290-0602.530 | tông xi măng:
P=0424 | X=0095.810-0106.930 | Y=0599.170-0608.490 | 28
P=0424 | X=0399.500-0424.550 | Y=0599.170-0608.490 | 1.300
P=0424 | X=0456.890-0473.530 | Y=0599.170-0608.490 | 910
P=0424 | X=0505.390-0522.030 | Y=0599.170-0608.490 | 780
P=0424 | X=0113.090-0354.200 | Y=0608.810-0620.050 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0424 | X=0113.090-0155.230 | Y=0622.230-0631.550 | >1.000m.
P=0424 | X=0113.090-0336.760 | Y=0637.870-0649.110 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0424 | X=0293.160-0361.640 | Y=0655.870-0667.110 | Đường Trường
P=0424 | X=0095.810-0287.220 | Y=0661.630-0672.870 | 29 Đường Vũ Hồng Phô Đường Lê Duẩn
P=0424 | X=0399.500-0424.550 | Y=0663.510-0672.830 | 9.200
P=0424 | X=0448.730-0473.780 | Y=0663.510-0672.830 | 6.400
P=0424 | X=0497.230-0522.280 | Y=0663.510-0672.830 | 5.500
P=0424 | X=0293.160-0319.400 | Y=0669.270-0678.590 | Chinh
P=0424 | X=0113.090-0361.410 | Y=0685.390-0696.630 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0424 | X=0095.810-0338.850 | Y=0696.910-0708.150 | 30 Vũ Hồng Phô đoạn từ Đường Lê Duẩn đến Đường
P=0424 | X=0399.500-0424.550 | Y=0698.790-0708.110 | 4.600
P=0424 | X=0448.730-0473.780 | Y=0698.790-0708.110 | 3.200
P=0424 | X=0497.230-0522.280 | Y=0698.790-0708.110 | 2.800
P=0424 | X=0113.090-0354.920 | Y=0708.450-0719.690 | Trường Chinh có hiện trạng là đường nhựa, bê tông xi
P=0425 | X=0113.090-0141.090 | Y=0072.740-0083.980 | măng:
P=0425 | X=0113.090-0344.170 | Y=0090.260-0101.500 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0425 | X=0113.090-0354.200 | Y=0107.780-0119.020 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0425 | X=0113.090-0146.610 | Y=0119.330-0130.570 | ≤500m.
P=0425 | X=0113.090-0361.410 | Y=0137.330-0148.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0425 | X=0113.090-0338.850 | Y=0148.850-0160.090 | Vũ Hồng Phô đoạn từ Đường Lê Duẩn đến Đường
P=0425 | X=0113.090-0354.920 | Y=0160.370-0171.610 | Trường Chinh có hiện trạng là đường nhựa, bê tông xi
P=0425 | X=0113.090-0141.090 | Y=0171.650-0182.890 | măng:
P=0425 | X=0095.810-0344.640 | Y=0188.410-0200.410 | 31 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0425 | X=0399.500-0424.550 | Y=0188.410-0197.730 | 3.400
P=0425 | X=0448.730-0473.780 | Y=0188.410-0197.730 | 2.400
P=0425 | X=0497.230-0522.280 | Y=0188.410-0197.730 | 2.000
P=0425 | X=0113.090-0366.400 | Y=0206.710-0217.950 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0425 | X=0113.090-0208.040 | Y=0218.230-0229.470 | >500m đến ≤1.000m.
P=0425 | X=0113.090-0336.260 | Y=0235.750-0246.990 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0425 | X=0113.090-0361.410 | Y=0253.750-0264.990 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0425 | X=0113.090-0338.850 | Y=0265.270-0276.510 | Vũ Hồng Phô đoạn từ Đường Lê Duẩn đến Đường
P=0425 | X=0113.090-0354.920 | Y=0276.790-0288.030 | Trường Chinh có hiện trạng là đường nhựa, bê tông xi
P=0425 | X=0113.090-0141.090 | Y=0288.340-0299.580 | măng:
P=0425 | X=0095.810-0106.930 | Y=0296.220-0305.540 | 32
P=0425 | X=0399.500-0424.550 | Y=0296.220-0305.540 | 2.700
P=0425 | X=0448.730-0473.780 | Y=0296.220-0305.540 | 1.900
P=0425 | X=0497.230-0522.280 | Y=0296.220-0305.540 | 1.600
P=0425 | X=0113.090-0354.200 | Y=0305.860-0317.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0425 | X=0113.090-0155.230 | Y=0319.260-0328.580 | >1.000m.
P=0425 | X=0113.090-0336.730 | Y=0334.900-0346.140 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0425 | X=0113.090-0359.000 | Y=0352.900-0364.140 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0425 | X=0113.090-0358.770 | Y=0364.180-0375.420 | thông ra Đường Vũ Hồng Phô đoạn từ Đường Lê Duẩn
P=0425 | X=0113.090-0362.450 | Y=0375.720-0386.960 | đến Đường Trường Chinh có hiện trạng là đường nhựa,
P=0425 | X=0113.090-0187.170 | Y=0387.240-0398.480 | bê tông xi măng:
P=0425 | X=0095.810-0106.930 | Y=0395.120-0404.440 | 33
P=0425 | X=0399.500-0424.550 | Y=0395.120-0404.440 | 4.100
P=0425 | X=0448.730-0473.780 | Y=0395.120-0404.440 | 2.900
P=0425 | X=0497.230-0522.280 | Y=0395.120-0404.440 | 2.500
P=0425 | X=0113.090-0344.170 | Y=0404.760-0416.000 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0425 | X=0113.090-0354.210 | Y=0422.280-0433.520 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0425 | X=0113.090-0146.610 | Y=0433.800-0445.040 | ≤500m.
P=0425 | X=0113.090-0359.000 | Y=0451.820-0463.060 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0425 | X=0113.090-0358.770 | Y=0463.340-0474.580 | thông ra Đường Vũ Hồng Phô đoạn từ Đường Lê Duẩn
P=0425 | X=0113.090-0362.450 | Y=0474.860-0486.100 | đến Đường Trường Chinh có hiện trạng là đường nhựa,
P=0425 | X=0113.090-0187.170 | Y=0486.380-0497.620 | bê tông xi măng:
P=0425 | X=0095.810-0344.640 | Y=0502.900-0515.140 | 34 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0425 | X=0399.500-0424.550 | Y=0502.900-0512.220 | 3.100
P=0425 | X=0448.730-0473.780 | Y=0502.900-0512.220 | 2.200
P=0425 | X=0497.230-0522.280 | Y=0502.900-0512.220 | 1.900
P=0425 | X=0113.090-0366.400 | Y=0521.420-0532.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0425 | X=0113.090-0208.040 | Y=0532.970-0544.210 | >500m đến ≤1.000m.
P=0425 | X=0113.090-0336.260 | Y=0550.250-0561.490 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0425 | X=0113.090-0359.000 | Y=0568.250-0579.490 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0425 | X=0113.090-0358.770 | Y=0579.770-0591.010 | thông ra Đường Vũ Hồng Phô đoạn từ Đường Lê Duẩn
P=0425 | X=0113.090-0362.450 | Y=0591.290-0602.530 | đến Đường Trường Chinh có hiện trạng là đường nhựa,
P=0425 | X=0113.090-0187.170 | Y=0602.810-0614.050 | bê tông xi măng:
P=0425 | X=0095.810-0106.930 | Y=0610.690-0620.010 | 35
P=0425 | X=0399.500-0424.550 | Y=0610.690-0620.010 | 2.400
P=0425 | X=0448.730-0473.780 | Y=0610.690-0620.010 | 1.700
P=0425 | X=0497.230-0522.280 | Y=0610.690-0620.010 | 1.400
P=0425 | X=0113.090-0354.200 | Y=0620.350-0631.590 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0425 | X=0113.090-0155.230 | Y=0633.750-0643.070 | >1.000m.
P=0425 | X=0113.090-0336.730 | Y=0649.390-0660.630 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0425 | X=0293.160-0366.620 | Y=0667.390-0678.630 | Đường Tôn Đức
P=0425 | X=0095.810-0287.220 | Y=0673.150-0684.390 | 36 Đường Trần Văn Ơn Đường Lê Duẩn
P=0425 | X=0399.500-0424.550 | Y=0675.030-0684.350 | 9.300
P=0425 | X=0448.730-0473.780 | Y=0675.030-0684.350 | 6.500
P=0425 | X=0497.230-0522.280 | Y=0675.030-0684.350 | 5.600
P=0425 | X=0293.160-0321.560 | Y=0680.790-0690.110 | Thắng
P=0425 | X=0113.090-0361.410 | Y=0696.910-0708.150 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0425 | X=0095.810-0106.930 | Y=0704.580-0713.900 | 37
P=0425 | X=0399.500-0424.550 | Y=0704.580-0713.900 | 4.500
P=0425 | X=0448.730-0473.780 | Y=0704.580-0713.900 | 3.200
P=0425 | X=0497.230-0522.280 | Y=0704.580-0713.900 | 2.700
P=0425 | X=0113.090-0357.560 | Y=0708.450-0719.690 | Trần Văn Ơn đoạn từ Đường Lê Duẩn đến Đường Tôn
P=0426 | X=0113.090-0372.500 | Y=0072.740-0083.980 | Đức Thắng có hiện trạng là đường nhựa, bê tông xi măng:
P=0426 | X=0113.090-0344.170 | Y=0090.260-0101.500 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0426 | X=0113.090-0354.210 | Y=0107.780-0119.020 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0426 | X=0113.090-0146.610 | Y=0119.330-0130.570 | ≤500m.
P=0426 | X=0113.090-0361.410 | Y=0137.330-0148.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0426 | X=0113.090-0357.560 | Y=0148.850-0160.090 | Trần Văn Ơn đoạn từ Đường Lê Duẩn đến Đường Tôn
P=0426 | X=0113.090-0372.500 | Y=0160.370-0171.610 | Đức Thắng có hiện trạng là đường nhựa, bê tông xi măng:
P=0426 | X=0095.810-0344.640 | Y=0177.650-0191.970 | 38 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0426 | X=0399.500-0424.550 | Y=0182.650-0191.970 | 3.100
P=0426 | X=0448.730-0473.780 | Y=0182.650-0191.970 | 2.200
P=0426 | X=0497.230-0522.280 | Y=0182.650-0191.970 | 1.900
P=0426 | X=0113.090-0366.400 | Y=0195.170-0206.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0426 | X=0113.090-0208.040 | Y=0206.710-0217.950 | >500m đến ≤1.000m.
P=0426 | X=0113.090-0336.260 | Y=0224.230-0235.470 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0426 | X=0113.090-0361.410 | Y=0242.230-0253.470 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0426 | X=0113.090-0357.560 | Y=0253.750-0264.990 | Trần Văn Ơn đoạn từ Đường Lê Duẩn đến Đường Tôn
P=0426 | X=0113.090-0372.500 | Y=0265.270-0276.510 | Đức Thắng có hiện trạng là đường nhựa, bê tông xi măng:
P=0426 | X=0095.810-0106.930 | Y=0278.910-0288.230 | 39
P=0426 | X=0399.500-0424.550 | Y=0278.910-0288.230 | 2.400
P=0426 | X=0448.730-0473.780 | Y=0278.910-0288.230 | 1.700
P=0426 | X=0497.230-0522.280 | Y=0278.910-0288.230 | 1.400
P=0426 | X=0113.090-0354.200 | Y=0282.820-0294.060 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0426 | X=0113.090-0155.230 | Y=0296.220-0305.540 | >1.000m.
P=0426 | X=0113.090-0336.730 | Y=0311.860-0323.100 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0426 | X=0113.090-0359.000 | Y=0329.860-0341.100 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0426 | X=0113.090-0357.320 | Y=0341.380-0352.620 | thông ra Đường Trần Văn Ơn đoạn từ Đường Lê Duẩn
P=0426 | X=0113.090-0369.910 | Y=0352.900-0364.140 | đến Đường Tôn Đức Thắng có hiện trạng là đường nhựa,
P=0426 | X=0113.090-0187.170 | Y=0364.180-0375.420 | bê tông xi măng:
P=0426 | X=0095.810-0106.930 | Y=0372.080-0381.400 | 40
P=0426 | X=0399.500-0424.550 | Y=0372.080-0381.400 | 4.100
P=0426 | X=0448.730-0473.780 | Y=0372.080-0381.400 | 2.900
P=0426 | X=0497.230-0522.280 | Y=0372.080-0381.400 | 2.500
P=0426 | X=0113.090-0344.170 | Y=0381.720-0392.960 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0426 | X=0113.090-0354.200 | Y=0399.240-0410.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0426 | X=0113.090-0146.610 | Y=0410.760-0422.000 | ≤500m.
P=0426 | X=0113.090-0359.000 | Y=0428.760-0440.000 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0426 | X=0113.090-0357.330 | Y=0440.280-0451.520 | thông ra Đường Trần Văn Ơn đoạn từ Đường Lê Duẩn
P=0426 | X=0113.090-0369.910 | Y=0451.820-0463.060 | đến Đường Tôn Đức Thắng có hiện trạng là đường nhựa,
P=0426 | X=0113.090-0187.170 | Y=0463.340-0474.580 | bê tông xi măng:
P=0426 | X=0095.810-0344.640 | Y=0479.860-0492.100 | 41 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0426 | X=0399.500-0424.550 | Y=0479.860-0489.180 | 2.800
P=0426 | X=0448.730-0473.780 | Y=0479.860-0489.180 | 2.000
P=0426 | X=0497.230-0522.280 | Y=0479.860-0489.180 | 1.700
P=0426 | X=0113.090-0366.400 | Y=0498.380-0509.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0426 | X=0113.090-0208.040 | Y=0509.900-0521.140 | >500m đến ≤1.000m.
P=0426 | X=0113.090-0336.260 | Y=0527.420-0538.660 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0426 | X=0113.090-0359.000 | Y=0545.450-0556.690 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0426 | X=0113.090-0357.330 | Y=0556.970-0568.210 | thông ra Đường Trần Văn Ơn đoạn từ Đường Lê Duẩn
P=0426 | X=0113.090-0369.910 | Y=0568.250-0579.490 | đến Đường Tôn Đức Thắng có hiện trạng là đường nhựa,
P=0426 | X=0113.090-0187.170 | Y=0579.770-0591.010 | bê tông xi măng:
P=0426 | X=0095.810-0106.930 | Y=0587.650-0596.970 | 42
P=0426 | X=0399.500-0424.550 | Y=0587.650-0596.970 | 2.200
P=0426 | X=0448.730-0473.780 | Y=0587.650-0596.970 | 1.500
P=0426 | X=0497.230-0522.280 | Y=0587.650-0596.970 | 1.300
P=0426 | X=0113.090-0354.200 | Y=0597.290-0608.530 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0426 | X=0113.090-0155.230 | Y=0610.690-0620.010 | >1.000m.
P=0426 | X=0113.090-0336.730 | Y=0626.350-0637.590 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0426 | X=0293.160-0356.840 | Y=0644.350-0655.590 | Đường liên xã
P=0426 | X=0095.810-0197.190 | Y=0655.870-0667.110 | 43 Đường Võ Thị Sáu
P=0426 | X=0214.870-0359.960 | Y=0655.870-0667.110 | Đường Lê Duẩn Bình An - Long
P=0426 | X=0393.980-0424.550 | Y=0657.750-0667.070 | 10.400
P=0426 | X=0448.730-0473.780 | Y=0657.750-0667.070 | 7.300
P=0426 | X=0497.230-0522.280 | Y=0657.750-0667.070 | 6.200
P=0426 | X=0293.160-0321.570 | Y=0669.270-0678.590 | Thành
P=0426 | X=0113.090-0361.410 | Y=0685.390-0696.630 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0426 | X=0095.810-0360.440 | Y=0696.910-0708.150 | 44 Võ Thị Sáu đoạn từ Đường Lê Duẩn đến Đường liên xã
P=0426 | X=0399.500-0424.550 | Y=0698.790-0708.110 | 4.200
P=0426 | X=0448.730-0473.780 | Y=0698.790-0708.110 | 2.900
P=0426 | X=0497.230-0522.280 | Y=0698.790-0708.110 | 2.500
P=0426 | X=0113.090-0371.010 | Y=0708.450-0719.690 | Bình An - Long Thành cũ có hiện trạng là đường nhựa, bê
P=0427 | X=0113.090-0173.250 | Y=0072.740-0083.980 | tông xi măng:
P=0427 | X=0113.090-0344.170 | Y=0090.260-0101.500 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0427 | X=0113.090-0354.200 | Y=0107.780-0119.020 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0427 | X=0113.090-0146.610 | Y=0119.330-0130.570 | ≤500m.
P=0427 | X=0113.090-0361.410 | Y=0137.330-0148.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0427 | X=0113.090-0360.440 | Y=0148.850-0160.090 | Võ Thị Sáu đoạn từ Đường Lê Duẩn đến Đường liên xã
P=0427 | X=0113.090-0371.010 | Y=0160.370-0171.610 | Bình An - Long Thành cũ có hiện trạng là đường nhựa, bê
P=0427 | X=0113.090-0173.250 | Y=0171.650-0182.890 | tông xi măng:
P=0427 | X=0095.810-0344.640 | Y=0188.410-0200.410 | 45 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0427 | X=0399.500-0424.550 | Y=0188.410-0197.730 | 2.700
P=0427 | X=0448.730-0473.780 | Y=0188.410-0197.730 | 1.900
P=0427 | X=0497.230-0522.280 | Y=0188.410-0197.730 | 1.600
P=0427 | X=0113.090-0366.400 | Y=0206.710-0217.950 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0427 | X=0113.090-0208.040 | Y=0218.230-0229.470 | >500m đến ≤1.000m.
P=0427 | X=0113.090-0336.260 | Y=0235.750-0246.990 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0427 | X=0113.090-0361.410 | Y=0253.750-0264.990 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0427 | X=0113.090-0360.440 | Y=0265.270-0276.510 | Võ Thị Sáu đoạn từ Đường Lê Duẩn đến Đường liên xã
P=0427 | X=0113.090-0371.010 | Y=0276.790-0288.030 | Bình An - Long Thành cũ có hiện trạng là đường nhựa, bê
P=0427 | X=0113.090-0173.250 | Y=0288.340-0299.580 | tông xi măng:
P=0427 | X=0095.810-0106.930 | Y=0296.220-0305.540 | 46
P=0427 | X=0399.500-0424.550 | Y=0296.220-0305.540 | 2.100
P=0427 | X=0448.730-0473.780 | Y=0296.220-0305.540 | 1.500
P=0427 | X=0497.230-0522.280 | Y=0296.220-0305.540 | 1.300
P=0427 | X=0113.090-0354.200 | Y=0305.860-0317.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0427 | X=0113.090-0155.230 | Y=0319.260-0328.580 | >1.000m.
P=0427 | X=0113.090-0336.730 | Y=0334.900-0346.140 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0427 | X=0113.090-0359.000 | Y=0352.900-0364.140 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0427 | X=0113.090-0368.150 | Y=0364.180-0375.420 | thông ra Đường Võ Thị Sáu đoạn từ Đường Lê Duẩn đến
P=0427 | X=0113.090-0361.640 | Y=0375.720-0386.960 | Đường liên xã Bình An - Long Thành cũ có hiện trạng là
P=0427 | X=0113.090-0248.860 | Y=0387.240-0398.480 | đường nhựa, bê tông xi măng:
P=0427 | X=0095.810-0106.930 | Y=0395.120-0404.440 | 47
P=0427 | X=0399.500-0424.550 | Y=0395.120-0404.440 | 3.800
P=0427 | X=0448.730-0473.780 | Y=0395.120-0404.440 | 2.700
P=0427 | X=0497.230-0522.280 | Y=0395.120-0404.440 | 2.300
P=0427 | X=0113.090-0344.170 | Y=0404.760-0416.000 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0427 | X=0113.090-0354.200 | Y=0422.280-0433.520 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0427 | X=0113.090-0146.610 | Y=0433.800-0445.040 | ≤500m.
P=0427 | X=0113.090-0359.000 | Y=0451.820-0463.060 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0427 | X=0113.090-0368.150 | Y=0463.340-0474.580 | thông ra Đường Võ Thị Sáu đoạn từ Đường Lê Duẩn đến
P=0427 | X=0113.090-0361.640 | Y=0474.860-0486.100 | Đường liên xã Bình An - Long Thành cũ có hiện trạng là
P=0427 | X=0113.090-0248.860 | Y=0486.380-0497.620 | đường nhựa, bê tông xi măng:
P=0427 | X=0095.810-0344.640 | Y=0502.900-0515.140 | 48 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0427 | X=0399.500-0424.550 | Y=0502.900-0512.220 | 2.400
P=0427 | X=0448.730-0473.780 | Y=0502.900-0512.220 | 1.700
P=0427 | X=0497.230-0522.280 | Y=0502.900-0512.220 | 1.400
P=0427 | X=0113.090-0366.400 | Y=0521.420-0532.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0427 | X=0113.090-0208.070 | Y=0532.970-0544.210 | >500m đến ≤1.000m.
P=0427 | X=0113.090-0336.260 | Y=0550.250-0561.490 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0427 | X=0113.090-0359.000 | Y=0568.250-0579.490 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0427 | X=0113.090-0368.150 | Y=0579.770-0591.010 | thông ra Đường Võ Thị Sáu đoạn từ Đường Lê Duẩn đến
P=0427 | X=0113.090-0361.640 | Y=0591.290-0602.530 | Đường liên xã Bình An - Long Thành cũ có hiện trạng là
P=0427 | X=0113.090-0248.860 | Y=0602.810-0614.050 | đường nhựa, bê tông xi măng:
P=0427 | X=0095.810-0106.930 | Y=0610.690-0620.010 | 49
P=0427 | X=0399.500-0424.550 | Y=0610.690-0620.010 | 1.900
P=0427 | X=0448.730-0473.780 | Y=0610.690-0620.010 | 1.300
P=0427 | X=0497.230-0522.280 | Y=0610.690-0620.010 | 1.100
P=0427 | X=0113.090-0354.200 | Y=0620.350-0631.590 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0427 | X=0113.090-0155.230 | Y=0633.750-0643.070 | >1.000m.
P=0427 | X=0113.090-0336.730 | Y=0649.390-0660.630 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0427 | X=0113.090-0186.550 | Y=0667.390-0678.630 | Đường Tôn Đức
P=0427 | X=0214.870-0356.620 | Y=0667.390-0678.630 | Đường Vũ Hồng Đường Võ Thị
P=0427 | X=0095.810-0106.930 | Y=0675.030-0684.350 | 50
P=0427 | X=0393.980-0424.550 | Y=0675.030-0684.350 | 11.500
P=0427 | X=0448.730-0473.780 | Y=0675.030-0684.350 | 8.100
P=0427 | X=0497.230-0522.280 | Y=0675.030-0684.350 | 6.900
P=0427 | X=0113.090-0141.490 | Y=0680.790-0690.110 | Thắng
P=0427 | X=0214.870-0232.710 | Y=0680.790-0690.110 | Phô
P=0427 | X=0293.160-0311.000 | Y=0680.790-0690.110 | Sáu
P=0427 | X=0113.090-0361.410 | Y=0696.910-0708.150 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0427 | X=0095.810-0106.930 | Y=0704.580-0713.900 | 51
P=0427 | X=0399.500-0424.550 | Y=0704.580-0713.900 | 3.500
P=0427 | X=0448.730-0473.780 | Y=0704.580-0713.900 | 2.500
P=0427 | X=0497.230-0522.280 | Y=0704.580-0713.900 | 2.100
P=0427 | X=0113.090-0371.030 | Y=0708.450-0719.690 | Tôn Đức Thắng đoạn từ Đường Vũ Hồng Phô đến Đường
P=0428 | X=0113.090-0372.010 | Y=0072.740-0083.980 | Võ Thị Sáu có hiện trạng là đường nhựa, bê tông xi măng:
P=0428 | X=0113.090-0344.170 | Y=0090.260-0101.500 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0428 | X=0113.090-0354.200 | Y=0107.780-0119.020 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0428 | X=0113.090-0146.610 | Y=0119.330-0130.570 | ≤500m.
P=0428 | X=0113.090-0361.410 | Y=0137.330-0148.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0428 | X=0113.090-0371.030 | Y=0148.850-0160.090 | Tôn Đức Thắng đoạn từ Đường Vũ Hồng Phô đến Đường
P=0428 | X=0113.090-0372.010 | Y=0160.370-0171.610 | Võ Thị Sáu có hiện trạng là đường nhựa, bê tông xi măng:
P=0428 | X=0095.810-0344.640 | Y=0177.650-0191.970 | 52 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0428 | X=0399.500-0424.550 | Y=0182.650-0191.970 | 2.700
P=0428 | X=0448.730-0473.780 | Y=0182.650-0191.970 | 1.900
P=0428 | X=0497.230-0522.280 | Y=0182.650-0191.970 | 1.600
P=0428 | X=0113.090-0366.400 | Y=0195.170-0206.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0428 | X=0113.090-0208.040 | Y=0206.710-0217.950 | >500m đến ≤1.000m.
P=0428 | X=0113.090-0336.260 | Y=0224.230-0235.470 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0428 | X=0113.090-0361.410 | Y=0242.230-0253.470 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0428 | X=0113.090-0371.030 | Y=0253.750-0264.990 | Tôn Đức Thắng đoạn từ Đường Vũ Hồng Phô đến Đường
P=0428 | X=0113.090-0372.010 | Y=0265.270-0276.510 | Võ Thị Sáu có hiện trạng là đường nhựa, bê tông xi măng:
P=0428 | X=0095.810-0106.930 | Y=0278.910-0288.230 | 53
P=0428 | X=0399.500-0424.550 | Y=0278.910-0288.230 | 2.100
P=0428 | X=0448.730-0473.780 | Y=0278.910-0288.230 | 1.500
P=0428 | X=0497.230-0522.280 | Y=0278.910-0288.230 | 1.300
P=0428 | X=0113.090-0354.200 | Y=0282.820-0294.060 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
