TABLE=034 | AREA=Xã Xuân Đông | SECTION=non-agricultural | SEGMENTS=1
P=1184 | X=0106.850-0397.910 | Y=0107.780-0119.020 | - Xuân Đông đoạn từ Giáp Nhà văn hóa ấp 3 xã Xuân Tây cũ đến
P=1184 | X=0106.850-0380.440 | Y=0119.330-0130.570 | Cầu Xuân Tây có hiện trạng là đường nhựa, bê tông xi măng:
P=1184 | X=0090.020-0106.660 | Y=0127.210-0136.530 | 137
P=1184 | X=0433.130-0449.770 | Y=0127.210-0136.530 | 470
P=1184 | X=0469.370-0486.010 | Y=0127.210-0136.530 | 330
P=1184 | X=0505.390-0522.030 | Y=0127.210-0136.530 | 280
P=1184 | X=0106.850-0392.640 | Y=0136.850-0148.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1184 | X=0106.850-0330.490 | Y=0154.370-0165.610 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1184 | X=0106.850-0392.110 | Y=0172.130-0183.370 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1184 | X=0106.850-0409.900 | Y=0183.410-0194.650 | Đường Nhân Nghĩa - Xuân Đông đoạn từ Giáp Nhà văn hóa ấp 3 xã
P=1184 | X=0106.850-0395.980 | Y=0194.930-0206.170 | Xuân Tây cũ đến Cầu Xuân Tây có hiện trạng là đường nhựa, bê
P=1184 | X=0090.020-0167.010 | Y=0206.470-0217.910 | 138 tông xi măng:
P=1184 | X=0433.130-0449.770 | Y=0208.590-0217.910 | 850
P=1184 | X=0469.370-0486.010 | Y=0208.590-0217.910 | 600
P=1184 | X=0505.390-0522.030 | Y=0208.590-0217.910 | 510
P=1184 | X=0106.850-0337.930 | Y=0223.990-0235.230 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1184 | X=0106.850-0384.020 | Y=0241.510-0252.750 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1184 | X=0106.850-0392.110 | Y=0259.270-0270.510 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1184 | X=0106.850-0409.900 | Y=0270.790-0282.030 | Đường Nhân Nghĩa - Xuân Đông đoạn từ Giáp Nhà văn hóa ấp 3 xã
P=1184 | X=0106.850-0395.980 | Y=0282.340-0293.580 | Xuân Tây cũ đến Cầu Xuân Tây có hiện trạng là đường nhựa, bê
P=1184 | X=0106.850-0167.010 | Y=0293.860-0305.100 | tông xi măng:
P=1184 | X=0090.020-0338.400 | Y=0310.380-0322.620 | 139 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1184 | X=0433.130-0449.770 | Y=0310.380-0319.700 | 610
P=1184 | X=0469.370-0486.010 | Y=0310.380-0319.700 | 430
P=1184 | X=0505.390-0522.030 | Y=0310.380-0319.700 | 370
P=1184 | X=0106.850-0413.270 | Y=0328.900-0340.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1184 | X=0106.850-0148.530 | Y=0340.420-0351.660 | ≤1.000m.
P=1184 | X=0106.850-0330.020 | Y=0357.700-0368.940 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1184 | X=0106.850-0392.110 | Y=0375.480-0386.720 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1184 | X=0106.850-0409.900 | Y=0387.000-0398.240 | Đường Nhân Nghĩa - Xuân Đông đoạn từ Giáp Nhà văn hóa ấp 3 xã
P=1184 | X=0106.850-0395.980 | Y=0398.520-0409.760 | Xuân Tây cũ đến Cầu Xuân Tây có hiện trạng là đường nhựa, bê
P=1184 | X=0090.020-0167.010 | Y=0410.040-0421.480 | 140 tông xi măng:
P=1184 | X=0433.130-0449.770 | Y=0412.160-0421.480 | 420
P=1184 | X=0469.370-0486.010 | Y=0412.160-0421.480 | 290
P=1184 | X=0505.390-0522.030 | Y=0412.160-0421.480 | 250
P=1184 | X=0106.850-0392.640 | Y=0427.560-0438.800 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1184 | X=0106.850-0330.490 | Y=0445.080-0456.320 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1184 | X=0106.850-0226.960 | Y=0462.860-0474.100 | Đường Nhân Nghĩa - Xuân
P=1184 | X=0322.200-0392.390 | Y=0468.620-0479.860 | Đường tỉnh 765
P=1184 | X=0090.020-0106.660 | Y=0470.500-0479.820 | 141
P=1184 | X=0235.540-0299.370 | Y=0470.500-0479.820 | Cầu Xuân Tây
P=1184 | X=0424.970-0450.020 | Y=0470.500-0479.820 | 2.100
P=1184 | X=0461.210-0486.260 | Y=0470.500-0479.820 | 1.500
P=1184 | X=0497.230-0522.280 | Y=0470.500-0479.820 | 1.300
P=1184 | X=0106.850-0130.710 | Y=0474.380-0485.620 | Đông
P=1184 | X=0106.850-0411.320 | Y=0492.140-0503.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nhân Nghĩa
P=1184 | X=0106.850-0394.540 | Y=0503.660-0514.900 | - Xuân Đông đoạn từ Cầu Xuân Tây đến Đường tỉnh 765 có hiện
P=1184 | X=0106.850-0278.630 | Y=0515.180-0526.420 | trạng là đường nhựa, bê tông xi măng:
P=1184 | X=0090.020-0106.660 | Y=0523.060-0532.380 | 142
P=1184 | X=0424.970-0450.020 | Y=0523.060-0532.380 | 1.100
P=1184 | X=0469.370-0486.010 | Y=0523.060-0532.380 | 770
P=1184 | X=0505.390-0522.030 | Y=0523.060-0532.380 | 660
P=1184 | X=0106.850-0337.930 | Y=0532.490-0543.730 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1184 | X=0106.850-0384.050 | Y=0550.010-0561.250 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1184 | X=0106.850-0411.320 | Y=0567.770-0579.010 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nhân Nghĩa
P=1184 | X=0106.850-0394.540 | Y=0579.290-0590.530 | - Xuân Đông đoạn từ Cầu Xuân Tây đến Đường tỉnh 765 có hiện
P=1184 | X=0106.850-0278.630 | Y=0590.810-0602.050 | trạng là đường nhựa, bê tông xi măng:
P=1184 | X=0090.020-0338.400 | Y=0608.330-0622.650 | 143 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1184 | X=0433.130-0449.770 | Y=0613.330-0622.650 | 700
P=1184 | X=0469.370-0486.010 | Y=0613.330-0622.650 | 490
P=1184 | X=0505.390-0522.030 | Y=0613.330-0622.650 | 420
P=1184 | X=0106.850-0413.270 | Y=0625.870-0637.110 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1184 | X=0106.850-0148.530 | Y=0637.390-0648.630 | ≤1.000m.
P=1184 | X=0106.850-0330.020 | Y=0654.910-0666.150 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1184 | X=0106.850-0411.320 | Y=0672.670-0683.910 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nhân Nghĩa
P=1184 | X=0090.020-0394.540 | Y=0684.190-0695.430 | 144 - Xuân Đông đoạn từ Cầu Xuân Tây đến Đường tỉnh 765 có hiện
P=1184 | X=0433.130-0449.770 | Y=0686.070-0695.390 | 470
P=1184 | X=0469.370-0486.010 | Y=0686.070-0695.390 | 330
P=1184 | X=0505.390-0522.030 | Y=0686.070-0695.390 | 280
P=1184 | X=0106.850-0278.630 | Y=0695.710-0706.950 | trạng là đường nhựa, bê tông xi măng:
P=1185 | X=0106.850-0392.640 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1185 | X=0106.850-0330.490 | Y=0096.020-0107.260 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1185 | X=0106.850-0392.110 | Y=0113.780-0125.020 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1185 | X=0106.850-0411.590 | Y=0125.330-0136.570 | Đường Nhân Nghĩa - Xuân Đông đoạn từ Cầu Xuân Tây đến Đường
P=1185 | X=0106.850-0352.100 | Y=0136.850-0148.090 | tỉnh 765 có hiện trạng là đường nhựa, bê tông xi măng:
P=1185 | X=0090.020-0106.660 | Y=0144.730-0154.050 | 145
P=1185 | X=0433.130-0449.770 | Y=0144.730-0154.050 | 990
P=1185 | X=0469.370-0486.010 | Y=0144.730-0154.050 | 690
P=1185 | X=0505.390-0522.030 | Y=0144.730-0154.050 | 590
P=1185 | X=0106.850-0337.930 | Y=0154.370-0165.610 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1185 | X=0106.850-0384.020 | Y=0171.650-0182.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1185 | X=0106.850-0392.140 | Y=0189.410-0200.650 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1185 | X=0106.850-0411.590 | Y=0200.950-0212.190 | Đường Nhân Nghĩa - Xuân Đông đoạn từ Cầu Xuân Tây đến Đường
P=1185 | X=0106.850-0352.100 | Y=0212.470-0223.710 | tỉnh 765 có hiện trạng là đường nhựa, bê tông xi măng:
P=1185 | X=0090.020-0338.400 | Y=0229.990-0244.310 | 146 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1185 | X=0433.130-0449.770 | Y=0234.990-0244.310 | 630
P=1185 | X=0469.370-0486.010 | Y=0234.990-0244.310 | 440
P=1185 | X=0505.390-0522.030 | Y=0234.990-0244.310 | 380
P=1185 | X=0106.850-0413.270 | Y=0247.510-0258.750 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1185 | X=0106.850-0148.530 | Y=0259.030-0270.270 | ≤1.000m.
P=1185 | X=0106.850-0330.020 | Y=0276.550-0287.790 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1185 | X=0106.850-0392.110 | Y=0294.340-0305.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1185 | X=0106.850-0411.590 | Y=0305.860-0317.100 | Đường Nhân Nghĩa - Xuân Đông đoạn từ Cầu Xuân Tây đến Đường
P=1185 | X=0106.850-0352.100 | Y=0317.380-0328.620 | tỉnh 765 có hiện trạng là đường nhựa, bê tông xi măng:
P=1185 | X=0090.020-0106.660 | Y=0325.260-0334.580 | 147
P=1185 | X=0433.130-0449.770 | Y=0325.260-0334.580 | 420
P=1185 | X=0469.370-0486.010 | Y=0325.260-0334.580 | 290
P=1185 | X=0505.390-0522.030 | Y=0325.260-0334.580 | 250
P=1185 | X=0106.850-0392.640 | Y=0334.900-0346.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1185 | X=0106.850-0330.490 | Y=0352.420-0363.660 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1185 | X=0106.850-0217.360 | Y=0369.960-0381.200 | Đường Xuân Bảo - Xuân
P=1185 | X=0235.540-0406.700 | Y=0369.960-0381.200 | Giáp ranh xã Xuân Đường Xuân Phú -
P=1185 | X=0090.020-0106.660 | Y=0377.600-0386.920 | 148
P=1185 | X=0424.970-0450.020 | Y=0377.600-0386.920 | 1.400
P=1185 | X=0469.370-0486.010 | Y=0377.600-0386.920 | 980
P=1185 | X=0505.390-0522.030 | Y=0377.600-0386.920 | 840
P=1185 | X=0235.540-0256.260 | Y=0381.480-0392.720 | Định
P=1185 | X=0106.850-0123.640 | Y=0383.360-0392.680 | Tây
P=1185 | X=0322.200-0364.920 | Y=0383.360-0392.680 | Xuân Tây
P=1185 | X=0106.850-0407.900 | Y=0399.240-0410.480 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân Bảo -
P=1185 | X=0106.850-0403.100 | Y=0410.760-0422.000 | Xuân Tây đoạn từ Giáp ranh xã Xuân Định đến Đường Xuân Phú -
P=1185 | X=0106.850-0359.060 | Y=0422.280-0433.520 | Xuân Tây có hiện trạng là đường nhựa, bê tông xi măng:
P=1185 | X=0090.020-0106.660 | Y=0430.160-0439.480 | 149
P=1185 | X=0433.130-0449.770 | Y=0430.160-0439.480 | 700
P=1185 | X=0469.370-0486.010 | Y=0430.160-0439.480 | 490
P=1185 | X=0505.390-0522.030 | Y=0430.160-0439.480 | 420
P=1185 | X=0106.850-0337.930 | Y=0439.800-0451.040 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1185 | X=0106.850-0384.020 | Y=0457.340-0468.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1185 | X=0106.850-0407.900 | Y=0475.100-0486.340 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân Bảo -
P=1185 | X=0106.850-0403.100 | Y=0486.620-0497.860 | Xuân Tây đoạn từ Giáp ranh xã Xuân Định đến Đường Xuân Phú -
P=1185 | X=0106.850-0359.060 | Y=0498.140-0509.380 | Xuân Tây có hiện trạng là đường nhựa, bê tông xi măng:
P=1185 | X=0090.020-0338.400 | Y=0515.660-0529.740 | 150 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1185 | X=0433.130-0449.770 | Y=0520.420-0529.740 | 590
P=1185 | X=0469.370-0486.010 | Y=0520.420-0529.740 | 410
P=1185 | X=0505.390-0522.030 | Y=0520.420-0529.740 | 350
P=1185 | X=0106.850-0413.270 | Y=0533.210-0544.450 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1185 | X=0106.850-0148.530 | Y=0544.490-0555.730 | ≤1.000m.
P=1185 | X=0106.850-0330.020 | Y=0562.010-0573.250 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1185 | X=0106.850-0407.900 | Y=0579.770-0591.010 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân Bảo -
P=1185 | X=0106.850-0403.100 | Y=0591.290-0602.530 | Xuân Tây đoạn từ Giáp ranh xã Xuân Định đến Đường Xuân Phú -
P=1185 | X=0106.850-0359.060 | Y=0602.810-0614.050 | Xuân Tây có hiện trạng là đường nhựa, bê tông xi măng:
P=1185 | X=0090.020-0106.660 | Y=0610.690-0620.010 | 151
P=1185 | X=0433.130-0449.770 | Y=0610.690-0620.010 | 470
P=1185 | X=0469.370-0486.010 | Y=0610.690-0620.010 | 330
P=1185 | X=0505.390-0522.030 | Y=0610.690-0620.010 | 280
P=1185 | X=0106.850-0392.640 | Y=0620.350-0631.590 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1185 | X=0106.850-0330.490 | Y=0637.870-0649.110 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1185 | X=0106.850-0392.110 | Y=0655.630-0666.870 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1185 | X=0106.850-0403.180 | Y=0667.150-0678.390 | Đường Xuân Bảo - Xuân Tây đoạn từ Giáp ranh xã Xuân Định đến
P=1185 | X=0090.020-0415.900 | Y=0678.670-0692.750 | 152 Đường Xuân Phú - Xuân Tây có hiện trạng là đường nhựa, bê tông xi
P=1185 | X=0433.130-0449.770 | Y=0683.430-0692.750 | 630
P=1185 | X=0469.370-0486.010 | Y=0683.430-0692.750 | 440
P=1185 | X=0505.390-0522.030 | Y=0683.430-0692.750 | 380
P=1185 | X=0106.850-0134.850 | Y=0690.190-0701.430 | măng:
P=1185 | X=0106.850-0337.930 | Y=0707.730-0718.970 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1186 | X=0106.850-0384.020 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1186 | X=0106.850-0392.110 | Y=0096.260-0107.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1186 | X=0106.850-0403.180 | Y=0107.780-0119.020 | Đường Xuân Bảo - Xuân Tây đoạn từ Giáp ranh xã Xuân Định đến
P=1186 | X=0106.850-0415.900 | Y=0119.330-0130.570 | Đường Xuân Phú - Xuân Tây có hiện trạng là đường nhựa, bê tông xi
P=1186 | X=0106.850-0134.850 | Y=0130.850-0142.090 | măng:
P=1186 | X=0090.020-0338.400 | Y=0147.370-0159.610 | 153 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1186 | X=0433.130-0449.770 | Y=0147.370-0156.690 | 530
P=1186 | X=0469.370-0486.010 | Y=0147.370-0156.690 | 370
P=1186 | X=0505.390-0522.030 | Y=0147.370-0156.690 | 320
P=1186 | X=0106.850-0413.260 | Y=0165.650-0176.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1186 | X=0106.850-0148.530 | Y=0177.170-0188.410 | ≤1.000m.
P=1186 | X=0106.850-0330.020 | Y=0194.690-0205.930 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1186 | X=0106.850-0392.110 | Y=0212.470-0223.710 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1186 | X=0106.850-0403.180 | Y=0223.990-0235.230 | Đường Xuân Bảo - Xuân Tây đoạn từ Giáp ranh xã Xuân Định đến
P=1186 | X=0106.850-0415.900 | Y=0235.510-0246.750 | Đường Xuân Phú - Xuân Tây có hiện trạng là đường nhựa, bê tông xi
P=1186 | X=0090.020-0134.850 | Y=0247.030-0258.470 | 154 măng:
P=1186 | X=0433.130-0449.770 | Y=0249.150-0258.470 | 420
P=1186 | X=0469.370-0486.010 | Y=0249.150-0258.470 | 290
P=1186 | X=0505.390-0522.030 | Y=0249.150-0258.470 | 250
P=1186 | X=0106.850-0392.640 | Y=0264.550-0275.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1186 | X=0106.850-0330.490 | Y=0282.100-0293.340 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1186 | X=0106.850-0223.360 | Y=0299.860-0311.100 | Đường Xuân Đông - Xuân
P=1186 | X=0322.200-0400.840 | Y=0299.860-0311.100 | Đường tỉnh 765 +
P=1186 | X=0235.540-0305.710 | Y=0305.620-0316.860 | Đường tỉnh 765
P=1186 | X=0090.020-0106.660 | Y=0307.500-0316.820 | 155
P=1186 | X=0424.970-0450.020 | Y=0307.500-0316.820 | 1.900
P=1186 | X=0461.210-0486.260 | Y=0307.500-0316.820 | 1.300
P=1186 | X=0497.230-0522.280 | Y=0307.500-0316.820 | 1.100
P=1186 | X=0106.850-0123.640 | Y=0313.260-0322.580 | Tây
P=1186 | X=0322.200-0352.680 | Y=0313.260-0322.580 | 2000m
P=1186 | X=0106.850-0413.900 | Y=0329.140-0340.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân Đông -
P=1186 | X=0106.850-0407.480 | Y=0340.660-0351.900 | Xuân Tây đoạn từ Đường tỉnh 765 đến Đường tỉnh 765 + 2000m có
P=1186 | X=0106.850-0300.460 | Y=0351.940-0363.180 | hiện trạng là đường nhựa, bê tông xi măng:
P=1186 | X=0090.020-0106.660 | Y=0359.820-0369.140 | 156
P=1186 | X=0433.130-0449.770 | Y=0359.820-0369.140 | 940
P=1186 | X=0469.370-0486.010 | Y=0359.820-0369.140 | 660
P=1186 | X=0505.390-0522.030 | Y=0359.820-0369.140 | 560
P=1186 | X=0106.850-0337.930 | Y=0369.480-0380.720 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1186 | X=0106.850-0384.020 | Y=0387.000-0398.240 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1186 | X=0106.850-0413.900 | Y=0404.760-0416.000 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân Đông -
P=1186 | X=0106.850-0407.480 | Y=0416.280-0427.520 | Xuân Tây đoạn từ Đường tỉnh 765 đến Đường tỉnh 765 + 2000m có
P=1186 | X=0106.850-0300.460 | Y=0427.800-0439.040 | hiện trạng là đường nhựa, bê tông xi măng:
P=1186 | X=0090.020-0338.400 | Y=0445.320-0459.400 | 157 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1186 | X=0433.130-0449.770 | Y=0450.080-0459.400 | 680
P=1186 | X=0469.370-0486.010 | Y=0450.080-0459.400 | 480
P=1186 | X=0505.390-0522.030 | Y=0450.080-0459.400 | 410
P=1186 | X=0106.850-0413.270 | Y=0462.860-0474.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1186 | X=0106.850-0148.530 | Y=0474.380-0485.620 | ≤1.000m.
P=1186 | X=0106.850-0330.020 | Y=0491.900-0503.140 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1186 | X=0106.850-0413.900 | Y=0509.660-0520.900 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân Đông -
P=1186 | X=0106.850-0407.480 | Y=0521.180-0532.420 | Xuân Tây đoạn từ Đường tỉnh 765 đến Đường tỉnh 765 + 2000m có
P=1186 | X=0106.850-0300.460 | Y=0532.490-0543.730 | hiện trạng là đường nhựa, bê tông xi măng:
P=1186 | X=0090.020-0106.660 | Y=0540.370-0549.690 | 158
P=1186 | X=0433.130-0449.770 | Y=0540.370-0549.690 | 470
P=1186 | X=0469.370-0486.010 | Y=0540.370-0549.690 | 330
P=1186 | X=0505.390-0522.030 | Y=0540.370-0549.690 | 280
P=1186 | X=0106.850-0392.640 | Y=0550.010-0561.250 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1186 | X=0106.850-0330.490 | Y=0567.530-0578.770 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1186 | X=0106.850-0392.110 | Y=0585.290-0596.530 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1186 | X=0106.850-0407.030 | Y=0596.810-0608.050 | Đường Xuân Đông - Xuân Tây đoạn từ Đường tỉnh 765 đến Đường
P=1186 | X=0106.850-0394.110 | Y=0608.330-0619.570 | tỉnh 765 + 2000m có hiện trạng là đường nhựa, bê tông xi măng:
P=1186 | X=0090.020-0106.660 | Y=0616.210-0625.530 | 159
P=1186 | X=0433.130-0449.770 | Y=0616.210-0625.530 | 850
P=1186 | X=0469.370-0486.010 | Y=0616.210-0625.530 | 600
P=1186 | X=0505.390-0522.030 | Y=0616.210-0625.530 | 510
P=1186 | X=0106.850-0337.930 | Y=0625.870-0637.110 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1186 | X=0106.850-0384.020 | Y=0643.390-0654.630 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1186 | X=0106.850-0392.110 | Y=0661.150-0672.390 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1186 | X=0106.850-0407.030 | Y=0672.670-0683.910 | Đường Xuân Đông - Xuân Tây đoạn từ Đường tỉnh 765 đến Đường
P=1186 | X=0090.020-0394.110 | Y=0683.190-0695.430 | 160 tỉnh 765 + 2000m có hiện trạng là đường nhựa, bê tông xi măng:
P=1186 | X=0433.130-0449.770 | Y=0683.190-0692.510 | 610
P=1186 | X=0469.370-0486.010 | Y=0683.190-0692.510 | 430
P=1186 | X=0505.390-0522.030 | Y=0683.190-0692.510 | 370
P=1186 | X=0106.850-0338.400 | Y=0701.730-0712.970 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1187 | X=0106.850-0413.270 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1187 | X=0106.850-0148.530 | Y=0090.020-0101.260 | ≤1.000m.
P=1187 | X=0106.850-0330.020 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1187 | X=0106.850-0392.110 | Y=0125.330-0136.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1187 | X=0106.850-0407.030 | Y=0136.850-0148.090 | Đường Xuân Đông - Xuân Tây đoạn từ Đường tỉnh 765 đến Đường
P=1187 | X=0106.850-0394.110 | Y=0148.370-0159.610 | tỉnh 765 + 2000m có hiện trạng là đường nhựa, bê tông xi măng:
P=1187 | X=0090.020-0106.660 | Y=0156.250-0165.570 | 161
P=1187 | X=0433.130-0449.770 | Y=0156.250-0165.570 | 420
P=1187 | X=0469.370-0486.010 | Y=0156.250-0165.570 | 290
P=1187 | X=0505.390-0522.030 | Y=0156.250-0165.570 | 250
P=1187 | X=0106.850-0392.640 | Y=0165.650-0176.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1187 | X=0106.850-0330.490 | Y=0183.170-0194.410 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1187 | X=0106.850-0223.360 | Y=0200.950-0212.190 | Đường Xuân Đông - Xuân
P=1187 | X=0235.540-0314.160 | Y=0200.950-0212.190 | Đường tỉnh 765 +
P=1187 | X=0322.200-0399.030 | Y=0206.710-0217.950 | Đường tỉnh 765B
P=1187 | X=0090.020-0106.660 | Y=0208.590-0217.910 | 162
P=1187 | X=0424.970-0450.020 | Y=0208.590-0217.910 | 1.500
P=1187 | X=0461.210-0486.260 | Y=0208.590-0217.910 | 1.100
P=1187 | X=0505.390-0522.030 | Y=0208.590-0217.910 | 900
P=1187 | X=0106.850-0123.640 | Y=0214.350-0223.670 | Tây
P=1187 | X=0235.540-0266.020 | Y=0214.350-0223.670 | 2000m
P=1187 | X=0106.850-0413.900 | Y=0230.230-0241.470 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân Đông -
P=1187 | X=0106.850-0414.220 | Y=0241.750-0252.990 | Xuân Tây đoạn từ Đường tỉnh 765 + 2000m đến Đường tỉnh 765B có
P=1187 | X=0106.850-0300.460 | Y=0253.270-0264.510 | hiện trạng là đường nhựa, bê tông xi măng:
P=1187 | X=0090.020-0106.660 | Y=0261.150-0270.470 | 163
P=1187 | X=0433.130-0449.770 | Y=0261.150-0270.470 | 700
P=1187 | X=0469.370-0486.010 | Y=0261.150-0270.470 | 490
P=1187 | X=0505.390-0522.030 | Y=0261.150-0270.470 | 420
P=1187 | X=0106.850-0337.930 | Y=0270.790-0282.030 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1187 | X=0106.850-0384.020 | Y=0288.340-0299.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1187 | X=0106.850-0413.900 | Y=0306.100-0317.340 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân Đông -
P=1187 | X=0106.850-0414.220 | Y=0317.620-0328.860 | Xuân Tây đoạn từ Đường tỉnh 765 + 2000m đến Đường tỉnh 765B có
P=1187 | X=0106.850-0300.460 | Y=0329.140-0340.380 | hiện trạng là đường nhựa, bê tông xi măng:
P=1187 | X=0090.020-0338.400 | Y=0346.660-0360.740 | 164 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1187 | X=0433.130-0449.770 | Y=0351.420-0360.740 | 590
P=1187 | X=0469.370-0486.010 | Y=0351.420-0360.740 | 410
P=1187 | X=0505.390-0522.030 | Y=0351.420-0360.740 | 350
P=1187 | X=0106.850-0413.270 | Y=0363.940-0375.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1187 | X=0106.850-0148.530 | Y=0375.480-0386.720 | ≤1.000m.
P=1187 | X=0106.850-0330.020 | Y=0393.000-0404.240 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1187 | X=0106.850-0413.900 | Y=0410.760-0422.000 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân Đông -
P=1187 | X=0106.850-0414.220 | Y=0422.280-0433.520 | Xuân Tây đoạn từ Đường tỉnh 765 + 2000m đến Đường tỉnh 765B có
P=1187 | X=0106.850-0300.500 | Y=0433.800-0445.040 | hiện trạng là đường nhựa, bê tông xi măng:
P=1187 | X=0090.020-0106.660 | Y=0441.680-0451.000 | 165
P=1187 | X=0433.130-0449.770 | Y=0441.680-0451.000 | 470
P=1187 | X=0469.370-0486.010 | Y=0441.680-0451.000 | 330
P=1187 | X=0505.390-0522.030 | Y=0441.680-0451.000 | 280
