TABLE=045 | AREA=Xã La Ngà | SECTION=non-agricultural | SEGMENTS=1
P=1548 | X=0461.690-0478.330 | Y=0610.450-0619.770 | 510
P=1548 | X=0505.390-0522.030 | Y=0610.450-0619.770 | 440
P=1548 | X=0111.170-0352.280 | Y=0614.330-0625.570 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1548 | X=0111.170-0153.310 | Y=0627.750-0637.070 | >1.000m.
P=1548 | X=0111.170-0334.810 | Y=0643.390-0654.630 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1548 | X=0303.480-0379.380 | Y=0661.150-0672.390 | Hết cây xăng Tín
P=1548 | X=0094.820-0159.730 | Y=0668.790-0678.110 | 29 Quốc lộ 20
P=1548 | X=0221.590-0292.880 | Y=0668.790-0678.110 | Bến xe Phú Túc
P=1548 | X=0405.740-0430.790 | Y=0668.790-0678.110 | 1.000
P=1548 | X=0461.690-0478.330 | Y=0668.790-0678.110 | 700
P=1548 | X=0505.390-0522.030 | Y=0668.790-0678.110 | 600
P=1548 | X=0303.480-0330.200 | Y=0672.670-0683.910 | Nghĩa
P=1548 | X=0111.170-0376.300 | Y=0690.430-0701.670 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1548 | X=0094.820-0105.940 | Y=0698.070-0707.390 | 30
P=1548 | X=0413.900-0430.540 | Y=0698.070-0707.390 | 580
P=1548 | X=0461.690-0478.330 | Y=0698.070-0707.390 | 410
P=1548 | X=0505.390-0522.030 | Y=0698.070-0707.390 | 350
P=1548 | X=0111.170-0382.070 | Y=0701.970-0713.210 | đoạn từ Bến xe Phú Túc đến Hết cây xăng Tín Nghĩa có hiện
P=1549 | X=0111.170-0282.950 | Y=0072.500-0083.740 | trạng là đường nhựa, bê tông xi măng:
P=1549 | X=0111.170-0342.250 | Y=0090.020-0101.260 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1549 | X=0111.170-0388.360 | Y=0107.540-0118.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1549 | X=0111.170-0376.300 | Y=0125.330-0136.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1549 | X=0111.170-0382.070 | Y=0136.850-0148.090 | đoạn từ Bến xe Phú Túc đến Hết cây xăng Tín Nghĩa có hiện
P=1549 | X=0111.170-0282.950 | Y=0148.370-0159.610 | trạng là đường nhựa, bê tông xi măng:
P=1549 | X=0094.820-0342.720 | Y=0165.650-0179.970 | 31 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1549 | X=0413.900-0430.540 | Y=0170.650-0179.970 | 350
P=1549 | X=0461.690-0478.330 | Y=0170.650-0179.970 | 250
P=1549 | X=0505.390-0522.030 | Y=0170.650-0179.970 | 210
P=1549 | X=0111.170-0364.480 | Y=0183.170-0194.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1549 | X=0111.170-0206.140 | Y=0194.690-0205.930 | >500m đến ≤1.000m.
P=1549 | X=0111.170-0334.340 | Y=0212.230-0223.470 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1549 | X=0111.170-0376.300 | Y=0229.990-0241.230 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1549 | X=0111.170-0382.070 | Y=0241.510-0252.750 | đoạn từ Bến xe Phú Túc đến Hết cây xăng Tín Nghĩa có hiện
P=1549 | X=0111.170-0282.950 | Y=0253.030-0264.270 | trạng là đường nhựa, bê tông xi măng:
P=1549 | X=0094.820-0105.940 | Y=0266.670-0275.990 | 32
P=1549 | X=0413.900-0430.540 | Y=0266.670-0275.990 | 230
P=1549 | X=0461.690-0478.330 | Y=0266.670-0275.990 | 160
P=1549 | X=0505.390-0522.030 | Y=0266.670-0275.990 | 140
P=1549 | X=0111.170-0352.280 | Y=0270.550-0281.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1549 | X=0111.170-0153.310 | Y=0283.980-0293.300 | >1.000m.
P=1549 | X=0111.170-0334.810 | Y=0299.620-0310.860 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1549 | X=0111.170-0384.680 | Y=0317.380-0328.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1549 | X=0111.170-0380.580 | Y=0328.900-0340.140 | ra Quốc lộ 20 đoạn từ Bến xe Phú Túc đến Hết cây xăng Tín
P=1549 | X=0111.170-0347.560 | Y=0340.420-0351.660 | Nghĩa có hiện trạng là đường nhựa, bê tông xi măng:
P=1549 | X=0094.820-0105.940 | Y=0348.300-0357.620 | 33
P=1549 | X=0413.900-0430.540 | Y=0348.300-0357.620 | 520
P=1549 | X=0461.690-0478.330 | Y=0348.300-0357.620 | 360
P=1549 | X=0505.390-0522.030 | Y=0348.300-0357.620 | 310
P=1549 | X=0111.170-0342.250 | Y=0357.700-0368.940 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1549 | X=0111.170-0388.360 | Y=0375.240-0386.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1549 | X=0111.170-0384.680 | Y=0393.000-0404.240 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1549 | X=0111.170-0380.580 | Y=0404.520-0415.760 | ra Quốc lộ 20 đoạn từ Bến xe Phú Túc đến Hết cây xăng Tín
P=1549 | X=0111.170-0347.530 | Y=0416.040-0427.280 | Nghĩa có hiện trạng là đường nhựa, bê tông xi măng:
P=1549 | X=0094.820-0342.720 | Y=0433.560-0447.880 | 34 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1549 | X=0413.900-0430.540 | Y=0438.560-0447.880 | 320
P=1549 | X=0461.690-0478.330 | Y=0438.560-0447.880 | 220
P=1549 | X=0505.390-0522.030 | Y=0438.560-0447.880 | 190
P=1549 | X=0111.170-0364.480 | Y=0451.100-0462.340 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1549 | X=0111.170-0206.120 | Y=0462.620-0473.860 | >500m đến ≤1.000m.
P=1549 | X=0111.170-0334.340 | Y=0480.140-0491.380 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1549 | X=0111.170-0384.680 | Y=0497.900-0509.140 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1549 | X=0111.170-0380.580 | Y=0509.420-0520.660 | ra Quốc lộ 20 đoạn từ Bến xe Phú Túc đến Hết cây xăng Tín
P=1549 | X=0111.170-0347.530 | Y=0520.940-0532.180 | Nghĩa có hiện trạng là đường nhựa, bê tông xi măng:
P=1549 | X=0094.820-0105.940 | Y=0534.370-0543.690 | 35
P=1549 | X=0413.900-0430.540 | Y=0534.370-0543.690 | 210
P=1549 | X=0461.690-0478.330 | Y=0534.370-0543.690 | 150
P=1549 | X=0505.390-0522.030 | Y=0534.370-0543.690 | 130
P=1549 | X=0111.170-0352.280 | Y=0538.250-0549.490 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1549 | X=0111.170-0153.310 | Y=0551.650-0560.970 | >1.000m.
P=1549 | X=0111.170-0334.810 | Y=0567.290-0578.530 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1549 | X=0221.590-0390.380 | Y=0585.050-0596.290 | Hết cây xăng Tín Hết trường tiểu học
P=1549 | X=0094.820-0159.730 | Y=0592.690-0602.010 | 36 Quốc lộ 20
P=1549 | X=0405.740-0430.790 | Y=0592.690-0602.010 | 1.200
P=1549 | X=0461.690-0478.330 | Y=0592.690-0602.010 | 840
P=1549 | X=0505.390-0522.030 | Y=0592.690-0602.010 | 720
P=1549 | X=0221.590-0248.310 | Y=0596.570-0607.810 | Nghĩa
P=1549 | X=0303.480-0357.080 | Y=0596.570-0607.810 | Lê Quý Đôn
P=1549 | X=0111.170-0376.300 | Y=0614.330-0625.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1549 | X=0111.170-0376.300 | Y=0625.870-0637.110 | đoạn từ Hết cây xăng Tín Nghĩa đến Hết trường tiểu học Lê
P=1549 | X=0111.170-0360.280 | Y=0637.390-0648.630 | Quý Đôn có hiện trạng là đường nhựa, bê tông xi măng:
P=1549 | X=0094.820-0105.940 | Y=0645.270-0654.590 | 37
P=1549 | X=0413.900-0430.540 | Y=0645.270-0654.590 | 460
P=1549 | X=0461.690-0478.330 | Y=0645.270-0654.590 | 320
P=1549 | X=0505.390-0522.030 | Y=0645.270-0654.590 | 280
P=1549 | X=0111.170-0342.250 | Y=0654.910-0666.150 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1549 | X=0111.170-0388.360 | Y=0672.430-0683.670 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1549 | X=0111.170-0376.300 | Y=0690.190-0701.430 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1549 | X=0094.820-0105.940 | Y=0697.830-0707.150 | 38
P=1549 | X=0413.900-0430.540 | Y=0697.830-0707.150 | 350
P=1549 | X=0461.690-0478.330 | Y=0697.830-0707.150 | 250
P=1549 | X=0505.390-0522.030 | Y=0697.830-0707.150 | 210
P=1549 | X=0111.170-0376.300 | Y=0701.730-0712.970 | đoạn từ Hết cây xăng Tín Nghĩa đến Hết trường tiểu học Lê
P=1550 | X=0111.170-0360.260 | Y=0072.500-0083.740 | Quý Đôn có hiện trạng là đường nhựa, bê tông xi măng:
P=1550 | X=0111.170-0342.720 | Y=0090.020-0101.260 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1550 | X=0111.170-0364.480 | Y=0107.540-0118.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1550 | X=0111.170-0206.120 | Y=0119.090-0130.330 | >500m đến ≤1.000m.
P=1550 | X=0111.170-0334.340 | Y=0136.610-0147.850 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1550 | X=0111.170-0376.300 | Y=0154.370-0165.610 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1550 | X=0111.170-0376.300 | Y=0165.650-0176.890 | đoạn từ Hết cây xăng Tín Nghĩa đến Hết trường tiểu học Lê
P=1550 | X=0111.170-0360.260 | Y=0177.170-0188.410 | Quý Đôn có hiện trạng là đường nhựa, bê tông xi măng:
P=1550 | X=0094.820-0105.940 | Y=0190.810-0200.130 | 39
P=1550 | X=0413.900-0430.570 | Y=0190.810-0200.130 | 230
P=1550 | X=0461.690-0478.330 | Y=0190.810-0200.130 | 160
P=1550 | X=0505.390-0522.030 | Y=0190.810-0200.130 | 140
P=1550 | X=0111.170-0352.280 | Y=0194.690-0205.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1550 | X=0111.170-0153.310 | Y=0208.110-0217.430 | >1.000m.
P=1550 | X=0111.170-0334.810 | Y=0223.750-0234.990 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1550 | X=0111.170-0384.680 | Y=0241.510-0252.750 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1550 | X=0111.170-0387.580 | Y=0253.030-0264.270 | ra Quốc lộ 20 đoạn từ Hết cây xăng Tín Nghĩa đến Hết trường
P=1550 | X=0111.170-0381.320 | Y=0264.550-0275.790 | tiểu học Lê Quý Đôn có hiện trạng là đường nhựa, bê tông xi
P=1550 | X=0094.820-0139.170 | Y=0276.070-0287.510 | 40 măng:
P=1550 | X=0413.900-0430.540 | Y=0278.190-0287.510 | 410
P=1550 | X=0461.690-0478.330 | Y=0278.190-0287.510 | 290
P=1550 | X=0505.390-0522.030 | Y=0278.190-0287.510 | 250
P=1550 | X=0111.170-0342.250 | Y=0293.620-0304.860 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1550 | X=0111.170-0388.360 | Y=0311.140-0322.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1550 | X=0111.170-0384.680 | Y=0328.900-0340.140 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1550 | X=0111.170-0387.580 | Y=0340.420-0351.660 | ra Quốc lộ 20 đoạn từ Hết cây xăng Tín Nghĩa đến Hết trường
P=1550 | X=0111.170-0381.320 | Y=0351.700-0362.940 | tiểu học Lê Quý Đôn có hiện trạng là đường nhựa, bê tông xi
P=1550 | X=0111.170-0139.170 | Y=0363.220-0374.460 | măng:
P=1550 | X=0094.820-0342.720 | Y=0380.000-0392.000 | 41 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1550 | X=0413.900-0430.540 | Y=0380.000-0389.320 | 320
P=1550 | X=0461.690-0478.330 | Y=0380.000-0389.320 | 220
P=1550 | X=0505.390-0522.030 | Y=0380.000-0389.320 | 190
P=1550 | X=0111.170-0364.480 | Y=0398.280-0409.520 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1550 | X=0111.170-0206.120 | Y=0409.800-0421.040 | >500m đến ≤1.000m.
P=1550 | X=0111.170-0334.340 | Y=0427.320-0438.560 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1550 | X=0111.170-0384.680 | Y=0445.080-0456.320 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1550 | X=0111.170-0387.580 | Y=0456.620-0467.860 | ra Quốc lộ 20 đoạn từ Hết cây xăng Tín Nghĩa đến Hết trường
P=1550 | X=0111.170-0381.320 | Y=0468.140-0479.380 | tiểu học Lê Quý Đôn có hiện trạng là đường nhựa, bê tông xi
P=1550 | X=0111.170-0139.170 | Y=0479.660-0490.900 | măng:
P=1550 | X=0094.820-0105.940 | Y=0487.540-0496.860 | 42
P=1550 | X=0413.900-0430.540 | Y=0487.540-0496.860 | 210
P=1550 | X=0461.690-0478.330 | Y=0487.540-0496.860 | 150
P=1550 | X=0505.390-0522.030 | Y=0487.540-0496.860 | 130
P=1550 | X=0111.170-0352.280 | Y=0497.180-0508.420 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1550 | X=0111.170-0153.310 | Y=0510.340-0519.660 | >1.000m.
P=1550 | X=0111.170-0334.810 | Y=0525.980-0537.220 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1550 | X=0111.170-0385.420 | Y=0543.770-0555.010 | Quốc lộ 20 đoạn từ hết Trường tiểu học Lê Quý Đôn đến giáp
P=1550 | X=0094.820-0105.940 | Y=0551.410-0560.730 | 43
P=1550 | X=0405.740-0430.790 | Y=0551.410-0560.730 | 2.000
P=1550 | X=0453.530-0478.580 | Y=0551.410-0560.730 | 1.400
P=1550 | X=0497.230-0522.280 | Y=0551.410-0560.730 | 1.200
P=1550 | X=0111.170-0347.880 | Y=0555.290-0566.530 | cầu La Ngà trừ đoạn cách chợ La Ngà mỗi bên 200m
P=1550 | X=0111.170-0376.300 | Y=0573.050-0584.290 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1550 | X=0111.170-0388.060 | Y=0584.570-0595.810 | đoạn từ hết Trường tiểu học Lê Quý Đôn đến giáp cầu La Ngà
P=1550 | X=0111.170-0365.470 | Y=0596.090-0607.330 | trừ đoạn cách chợ La Ngà mỗi bên 200m có hiện trạng là
P=1550 | X=0094.820-0246.940 | Y=0607.610-0619.050 | 44 đường nhựa, bê tông xi măng:
P=1550 | X=0413.900-0430.540 | Y=0609.730-0619.050 | 810
P=1550 | X=0461.690-0478.330 | Y=0609.730-0619.050 | 570
P=1550 | X=0505.390-0522.030 | Y=0609.730-0619.050 | 490
P=1550 | X=0111.170-0342.250 | Y=0625.150-0636.390 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1550 | X=0111.170-0388.360 | Y=0642.670-0653.910 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1550 | X=0111.170-0376.300 | Y=0660.430-0671.670 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1550 | X=0111.170-0388.060 | Y=0671.950-0683.190 | đoạn từ hết Trường tiểu học Lê Quý Đôn đến giáp cầu La Ngà
P=1550 | X=0094.820-0105.940 | Y=0679.590-0688.910 | 45
P=1550 | X=0413.900-0430.540 | Y=0679.590-0688.910 | 350
P=1550 | X=0461.690-0478.330 | Y=0679.590-0688.910 | 250
P=1550 | X=0505.390-0522.030 | Y=0679.590-0688.910 | 210
P=1550 | X=0111.170-0365.470 | Y=0683.470-0694.710 | trừ đoạn cách chợ La Ngà mỗi bên 200m có hiện trạng là
P=1550 | X=0111.170-0246.940 | Y=0694.750-0705.990 | đường nhựa, bê tông xi măng:
P=1551 | X=0111.170-0342.720 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1551 | X=0111.170-0364.480 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1551 | X=0111.170-0206.120 | Y=0107.540-0118.780 | >500m đến ≤1.000m.
P=1551 | X=0111.170-0334.340 | Y=0125.090-0136.330 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1551 | X=0111.170-0376.300 | Y=0142.850-0154.090 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1551 | X=0111.170-0388.060 | Y=0154.370-0165.610 | đoạn từ hết Trường tiểu học Lê Quý Đôn đến giáp cầu La Ngà
P=1551 | X=0111.170-0365.470 | Y=0165.650-0176.890 | trừ đoạn cách chợ La Ngà mỗi bên 200m có hiện trạng là
P=1551 | X=0111.170-0246.940 | Y=0177.170-0188.410 | đường nhựa, bê tông xi măng:
P=1551 | X=0094.820-0105.940 | Y=0185.050-0194.370 | 46
P=1551 | X=0413.900-0430.540 | Y=0185.050-0194.370 | 290
P=1551 | X=0461.690-0478.330 | Y=0185.050-0194.370 | 200
P=1551 | X=0505.390-0522.030 | Y=0185.050-0194.370 | 170
P=1551 | X=0111.170-0352.280 | Y=0194.690-0205.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1551 | X=0111.170-0153.310 | Y=0208.110-0217.430 | >1.000m.
P=1551 | X=0111.170-0334.810 | Y=0223.750-0234.990 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1551 | X=0111.170-0384.680 | Y=0241.510-0252.750 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1551 | X=0111.170-0375.350 | Y=0253.030-0264.270 | ra Quốc lộ 20 đoạn từ hết Trường tiểu học Lê Quý Đôn đến
P=1551 | X=0111.170-0383.240 | Y=0264.550-0275.790 | giáp cầu La Ngà trừ đoạn cách chợ La Ngà mỗi bên 200m có
P=1551 | X=0094.820-0304.780 | Y=0276.070-0287.510 | 47 hiện trạng là đường nhựa, bê tông xi măng:
P=1551 | X=0413.900-0430.540 | Y=0278.190-0287.510 | 730
P=1551 | X=0461.690-0478.330 | Y=0278.190-0287.510 | 510
P=1551 | X=0505.390-0522.030 | Y=0278.190-0287.510 | 440
P=1551 | X=0111.170-0342.250 | Y=0293.620-0304.860 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1551 | X=0111.170-0388.360 | Y=0311.140-0322.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1551 | X=0111.170-0384.680 | Y=0328.900-0340.140 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1551 | X=0111.170-0375.350 | Y=0340.420-0351.660 | ra Quốc lộ 20 đoạn từ hết Trường tiểu học Lê Quý Đôn đến
P=1551 | X=0111.170-0383.240 | Y=0351.700-0362.940 | giáp cầu La Ngà trừ đoạn cách chợ La Ngà mỗi bên 200m có
P=1551 | X=0111.170-0304.780 | Y=0363.220-0374.460 | hiện trạng là đường nhựa, bê tông xi măng:
P=1551 | X=0094.820-0342.720 | Y=0380.000-0392.000 | 48 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1551 | X=0413.900-0430.540 | Y=0380.000-0389.320 | 320
P=1551 | X=0461.690-0478.330 | Y=0380.000-0389.320 | 220
P=1551 | X=0505.390-0522.030 | Y=0380.000-0389.320 | 190
P=1551 | X=0111.170-0364.480 | Y=0398.280-0409.520 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1551 | X=0111.170-0206.120 | Y=0409.800-0421.040 | >500m đến ≤1.000m.
P=1551 | X=0111.170-0334.340 | Y=0427.320-0438.560 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1551 | X=0111.170-0384.680 | Y=0445.080-0456.320 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1551 | X=0111.170-0375.350 | Y=0456.620-0467.860 | ra Quốc lộ 20 đoạn từ hết Trường tiểu học Lê Quý Đôn đến
P=1551 | X=0111.170-0383.240 | Y=0468.140-0479.380 | giáp cầu La Ngà trừ đoạn cách chợ La Ngà mỗi bên 200m có
P=1551 | X=0111.170-0304.780 | Y=0479.660-0490.900 | hiện trạng là đường nhựa, bê tông xi măng:
P=1551 | X=0094.820-0105.940 | Y=0487.540-0496.860 | 49
P=1551 | X=0413.900-0430.540 | Y=0487.540-0496.860 | 260
P=1551 | X=0461.690-0478.330 | Y=0487.540-0496.860 | 180
P=1551 | X=0505.390-0522.030 | Y=0487.540-0496.860 | 160
P=1551 | X=0111.170-0352.280 | Y=0497.180-0508.420 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1551 | X=0111.170-0153.310 | Y=0510.340-0519.660 | >1.000m.
P=1551 | X=0111.170-0334.810 | Y=0525.980-0537.220 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1551 | X=0303.480-0377.490 | Y=0545.650-0554.970 | Qua chợ La Ngà
P=1551 | X=0221.590-0300.190 | Y=0551.410-0560.730 | Cách chợ La Ngà
P=1551 | X=0303.480-0388.800 | Y=0555.290-0566.530 | 200m (đến hết bưu
P=1551 | X=0094.820-0159.730 | Y=0557.170-0566.490 | 50 Quốc lộ 20
P=1551 | X=0405.740-0430.790 | Y=0557.170-0566.490 | 2.900
P=1551 | X=0453.530-0478.580 | Y=0557.170-0566.490 | 2.000
P=1551 | X=0497.230-0522.280 | Y=0557.170-0566.490 | 1.700
P=1551 | X=0221.590-0246.550 | Y=0562.930-0572.250 | 200m
P=1551 | X=0303.480-0374.290 | Y=0566.810-0578.050 | điện xã La Ngà)
P=1551 | X=0111.170-0376.300 | Y=0584.570-0595.810 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1551 | X=0111.170-0387.430 | Y=0596.090-0607.330 | đoạn từ Cách chợ La Ngà 200m có hiện trạng là đường nhựa,
P=1551 | X=0111.170-0185.250 | Y=0607.610-0618.850 | bê tông xi măng:
P=1551 | X=0094.820-0105.940 | Y=0615.490-0624.810 | 51
P=1551 | X=0413.900-0430.540 | Y=0615.490-0624.810 | 810
P=1551 | X=0461.690-0478.330 | Y=0615.490-0624.810 | 570
P=1551 | X=0505.390-0522.030 | Y=0615.490-0624.810 | 490
P=1551 | X=0111.170-0342.250 | Y=0625.150-0636.390 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1551 | X=0111.170-0388.380 | Y=0642.670-0653.910 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1551 | X=0111.170-0376.300 | Y=0660.430-0671.670 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1551 | X=0111.170-0387.430 | Y=0671.950-0683.190 | đoạn từ Cách chợ La Ngà 200m có hiện trạng là đường nhựa,
P=1551 | X=0094.820-0185.250 | Y=0682.470-0694.710 | 52 bê tông xi măng:
P=1551 | X=0413.900-0430.540 | Y=0682.470-0691.790 | 700
P=1551 | X=0461.690-0478.330 | Y=0682.470-0691.790 | 490
P=1551 | X=0505.390-0522.030 | Y=0682.470-0691.790 | 420
P=1551 | X=0111.170-0342.720 | Y=0700.770-0712.010 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1552 | X=0111.170-0364.480 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1552 | X=0111.170-0206.120 | Y=0090.020-0101.260 | >500m đến ≤1.000m.
P=1552 | X=0111.170-0334.340 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1552 | X=0111.170-0376.300 | Y=0125.330-0136.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1552 | X=0111.170-0387.430 | Y=0136.850-0148.090 | đoạn từ Cách chợ La Ngà 200m có hiện trạng là đường nhựa,
P=1552 | X=0111.170-0185.250 | Y=0148.370-0159.610 | bê tông xi măng:
P=1552 | X=0094.820-0105.940 | Y=0162.010-0171.330 | 53
P=1552 | X=0413.900-0430.540 | Y=0162.010-0171.330 | 580
P=1552 | X=0461.690-0478.330 | Y=0162.010-0171.330 | 410
P=1552 | X=0505.390-0522.030 | Y=0162.010-0171.330 | 350
P=1552 | X=0111.170-0352.280 | Y=0165.650-0176.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1552 | X=0111.170-0153.310 | Y=0179.050-0188.370 | >1.000m.
P=1552 | X=0111.170-0334.810 | Y=0194.690-0205.930 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1552 | X=0111.170-0384.680 | Y=0212.470-0223.710 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1552 | X=0111.170-0388.770 | Y=0223.990-0235.230 | ra Quốc lộ 20 đoạn từ Cách chợ La Ngà 200m có hiện trạng là
P=1552 | X=0111.170-0246.940 | Y=0235.510-0246.750 | đường nhựa, bê tông xi măng:
P=1552 | X=0094.820-0105.940 | Y=0243.390-0252.710 | 54
P=1552 | X=0413.900-0430.540 | Y=0243.390-0252.710 | 730
P=1552 | X=0461.690-0478.330 | Y=0243.390-0252.710 | 510
P=1552 | X=0505.390-0522.030 | Y=0243.390-0252.710 | 440
P=1552 | X=0111.170-0342.250 | Y=0253.030-0264.270 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1552 | X=0111.170-0388.360 | Y=0270.550-0281.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1552 | X=0111.170-0384.680 | Y=0288.340-0299.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1552 | X=0111.170-0388.770 | Y=0299.860-0311.100 | ra Quốc lộ 20 đoạn từ Cách chợ La Ngà 200m có hiện trạng là
P=1552 | X=0111.170-0246.940 | Y=0311.380-0322.620 | đường nhựa, bê tông xi măng:
P=1552 | X=0094.820-0342.720 | Y=0328.900-0342.980 | 55 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1552 | X=0413.900-0430.540 | Y=0333.660-0342.980 | 630
P=1552 | X=0461.690-0478.330 | Y=0333.660-0342.980 | 440
P=1552 | X=0505.390-0522.030 | Y=0333.660-0342.980 | 380
P=1552 | X=0111.170-0364.480 | Y=0346.420-0357.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1552 | X=0111.170-0206.120 | Y=0357.700-0368.940 | >500m đến ≤1.000m.
P=1552 | X=0111.170-0334.340 | Y=0375.240-0386.480 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1552 | X=0111.170-0384.680 | Y=0393.000-0404.240 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1552 | X=0111.170-0388.770 | Y=0404.520-0415.760 | ra Quốc lộ 20 đoạn từ Cách chợ La Ngà 200m có hiện trạng là
P=1552 | X=0111.170-0246.940 | Y=0416.040-0427.280 | đường nhựa, bê tông xi măng:
P=1552 | X=0094.820-0105.940 | Y=0429.680-0439.000 | 56
P=1552 | X=0413.900-0430.540 | Y=0429.680-0439.000 | 520
P=1552 | X=0461.690-0478.330 | Y=0429.680-0439.000 | 360
P=1552 | X=0505.390-0522.030 | Y=0429.680-0439.000 | 310
