TABLE=008 | AREA=Phường Tân Triều | SECTION=non-agricultural | SEGMENTS=1
P=0277 | X=0122.210-0155.970 | Y=0596.530-0605.850 | >600m.
P=0277 | X=0122.210-0348.500 | Y=0612.170-0623.410 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0277 | X=0288.340-0352.040 | Y=0629.950-0641.190 | Đường liên xã
P=0277 | X=0196.630-0279.060 | Y=0637.590-0646.910 | Giáp ranh phường
P=0277 | X=0122.210-0192.400 | Y=0641.470-0652.710 | Đường tỉnh 768
P=0277 | X=0100.610-0111.730 | Y=0643.350-0652.670 | 85
P=0277 | X=0288.340-0363.560 | Y=0643.350-0652.670 | Thạnh Phú - Tân
P=0277 | X=0388.940-0413.990 | Y=0643.350-0652.670 | 9.400
P=0277 | X=0439.370-0464.420 | Y=0643.350-0652.670 | 6.600
P=0277 | X=0497.230-0522.280 | Y=0643.350-0652.670 | 5.600
P=0277 | X=0196.630-0240.150 | Y=0649.110-0658.430 | Trấn Biên
P=0277 | X=0288.340-0369.070 | Y=0652.750-0663.990 | Bình - Bình Lợi cũ
P=0277 | X=0122.210-0336.440 | Y=0670.510-0681.750 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=0277 | X=0122.210-0360.920 | Y=0682.030-0693.270 | Đường tỉnh 768 đoạn từ Giáp ranh phường Trấn Biên
P=0277 | X=0100.610-0111.730 | Y=0689.670-0698.990 | 86
P=0277 | X=0388.940-0413.990 | Y=0689.670-0698.990 | 4.800
P=0277 | X=0439.370-0464.420 | Y=0689.670-0698.990 | 3.400
P=0277 | X=0497.230-0522.280 | Y=0689.670-0698.990 | 2.900
P=0277 | X=0122.210-0366.420 | Y=0693.550-0704.790 | đến Đường liên xã Thạnh Phú - Tân Bình - Bình Lợi cũ
P=0277 | X=0122.210-0329.060 | Y=0705.090-0716.330 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0278 | X=0122.210-0353.290 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0278 | X=0122.210-0363.320 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0278 | X=0122.210-0155.730 | Y=0107.540-0118.780 | ≤500m.
P=0278 | X=0122.210-0336.440 | Y=0125.330-0136.570 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=0278 | X=0122.210-0360.920 | Y=0136.850-0148.090 | Đường tỉnh 768 đoạn từ Giáp ranh phường Trấn Biên
P=0278 | X=0122.210-0366.420 | Y=0148.370-0159.610 | đến Đường liên xã Thạnh Phú - Tân Bình - Bình Lợi cũ
P=0278 | X=0122.210-0329.060 | Y=0159.650-0170.890 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0278 | X=0100.610-0111.730 | Y=0176.410-0185.730 | 87
P=0278 | X=0388.940-0413.990 | Y=0176.410-0185.730 | 2.900
P=0278 | X=0439.370-0464.420 | Y=0176.410-0185.730 | 2.000
P=0278 | X=0497.230-0522.280 | Y=0176.410-0185.730 | 1.700
P=0278 | X=0122.210-0353.760 | Y=0177.170-0188.410 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0278 | X=0122.210-0363.320 | Y=0194.690-0205.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0278 | X=0122.210-0229.420 | Y=0206.230-0217.470 | từ >500m đến ≤1.000m.
P=0278 | X=0122.210-0345.400 | Y=0223.750-0234.990 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0278 | X=0122.210-0336.440 | Y=0241.510-0252.750 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=0278 | X=0122.210-0360.920 | Y=0253.030-0264.270 | Đường tỉnh 768 đoạn từ Giáp ranh phường Trấn Biên
P=0278 | X=0122.210-0366.420 | Y=0264.550-0275.790 | đến Đường liên xã Thạnh Phú - Tân Bình - Bình Lợi cũ
P=0278 | X=0122.210-0329.060 | Y=0276.070-0287.310 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0278 | X=0100.610-0111.730 | Y=0283.980-0293.300 | 88
P=0278 | X=0388.940-0413.990 | Y=0283.980-0293.300 | 1.900
P=0278 | X=0439.370-0464.420 | Y=0283.980-0293.300 | 1.300
P=0278 | X=0497.230-0522.280 | Y=0283.980-0293.300 | 1.100
P=0278 | X=0122.210-0363.320 | Y=0293.620-0304.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0278 | X=0122.210-0164.350 | Y=0307.020-0316.340 | >1.000m.
P=0278 | X=0122.210-0345.850 | Y=0322.660-0333.900 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0278 | X=0122.210-0368.120 | Y=0340.420-0351.660 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0278 | X=0122.210-0354.200 | Y=0351.700-0362.940 | thông ra Đường tỉnh 768 đoạn từ Giáp ranh phường
P=0278 | X=0122.210-0358.700 | Y=0363.220-0374.460 | Trấn Biên đến Đường liên xã Thạnh Phú - Tân Bình -
P=0278 | X=0122.210-0352.280 | Y=0374.760-0386.000 | Bình Lợi cũ có hiện trạng là đường nhựa, bê tông xi
P=0278 | X=0122.210-0150.210 | Y=0386.280-0397.520 | măng:
P=0278 | X=0100.610-0111.730 | Y=0388.400-0397.720 | 89
P=0278 | X=0388.940-0413.990 | Y=0388.400-0397.720 | 4.300
P=0278 | X=0439.370-0464.420 | Y=0388.400-0397.720 | 3.000
P=0278 | X=0497.230-0522.280 | Y=0388.400-0397.720 | 2.600
P=0278 | X=0122.210-0353.290 | Y=0403.800-0415.040 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0278 | X=0122.210-0363.320 | Y=0421.320-0432.560 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0278 | X=0122.210-0155.730 | Y=0432.840-0444.080 | ≤500m.
P=0278 | X=0122.210-0368.120 | Y=0450.620-0461.860 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0278 | X=0122.210-0354.200 | Y=0462.140-0473.380 | thông ra Đường tỉnh 768 đoạn từ Giáp ranh phường
P=0278 | X=0122.210-0358.700 | Y=0473.660-0484.900 | Trấn Biên đến Đường liên xã Thạnh Phú - Tân Bình -
P=0278 | X=0122.210-0352.280 | Y=0485.180-0496.420 | Bình Lợi cũ có hiện trạng là đường nhựa, bê tông xi
P=0278 | X=0122.210-0150.210 | Y=0496.460-0507.700 | măng:
P=0278 | X=0100.610-0111.730 | Y=0507.460-0516.780 | 90
P=0278 | X=0388.940-0413.990 | Y=0507.460-0516.780 | 2.600
P=0278 | X=0439.370-0464.420 | Y=0507.460-0516.780 | 1.800
P=0278 | X=0497.230-0522.280 | Y=0507.460-0516.780 | 1.600
P=0278 | X=0122.210-0353.760 | Y=0513.980-0525.220 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0278 | X=0122.210-0363.320 | Y=0531.500-0542.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0278 | X=0122.210-0229.420 | Y=0543.050-0554.290 | từ >500m đến ≤1.000m.
P=0278 | X=0122.210-0345.380 | Y=0560.570-0571.810 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0278 | X=0122.210-0368.120 | Y=0578.330-0589.570 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0278 | X=0122.210-0354.200 | Y=0589.850-0601.090 | thông ra Đường tỉnh 768 đoạn từ Giáp ranh phường
P=0278 | X=0122.210-0358.700 | Y=0601.370-0612.610 | Trấn Biên đến Đường liên xã Thạnh Phú - Tân Bình -
P=0278 | X=0122.210-0352.280 | Y=0612.890-0624.130 | Bình Lợi cũ có hiện trạng là đường nhựa, bê tông xi
P=0278 | X=0122.210-0150.210 | Y=0624.430-0635.670 | măng:
P=0278 | X=0100.610-0111.730 | Y=0626.550-0635.870 | 91
P=0278 | X=0388.940-0413.990 | Y=0626.550-0635.870 | 1.700
P=0278 | X=0439.370-0464.420 | Y=0626.550-0635.870 | 1.200
P=0278 | X=0497.230-0522.280 | Y=0626.550-0635.870 | 1.000
P=0278 | X=0122.210-0363.320 | Y=0641.950-0653.190 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0278 | X=0122.210-0164.350 | Y=0655.350-0664.670 | >1.000m.
P=0278 | X=0122.210-0345.850 | Y=0670.750-0681.990 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0278 | X=0196.630-0260.310 | Y=0688.510-0699.750 | Đường liên xã
P=0278 | X=0288.340-0332.340 | Y=0690.390-0699.710 | Giáp ranh
P=0278 | X=0122.210-0192.400 | Y=0694.270-0705.510 | Đường tỉnh 768
P=0278 | X=0100.610-0111.730 | Y=0696.150-0705.470 | 92
P=0278 | X=0383.420-0413.980 | Y=0696.150-0705.470 | 10.200
P=0278 | X=0439.370-0464.420 | Y=0696.150-0705.470 | 7.100
P=0278 | X=0497.230-0522.280 | Y=0696.150-0705.470 | 6.100
P=0278 | X=0288.340-0353.000 | Y=0700.050-0711.290 | phường Trảng
P=0278 | X=0196.630-0271.860 | Y=0701.940-0711.260 | Thạnh Phú - Tân
P=0279 | X=0196.630-0277.370 | Y=0072.500-0083.740 | Bình - Bình Lợi cũ
P=0279 | X=0288.340-0303.300 | Y=0074.380-0083.700 | Dài
P=0279 | X=0122.210-0336.440 | Y=0090.260-0101.500 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=0279 | X=0122.210-0353.640 | Y=0101.780-0113.020 | Đường tỉnh 768 đoạn từ Đường liên xã Thạnh Phú -
P=0279 | X=0122.210-0356.360 | Y=0113.300-0124.540 | Tân Bình - Bình Lợi cũ đến Giáp ranh phường Trảng
P=0279 | X=0122.210-0346.820 | Y=0124.850-0136.090 | Dài có hiện trạng là đường nhựa, bê tông xi măng:
P=0279 | X=0100.610-0111.730 | Y=0132.730-0142.050 | 93
P=0279 | X=0388.940-0413.990 | Y=0132.730-0142.050 | 5.100
P=0279 | X=0439.370-0464.420 | Y=0132.730-0142.050 | 3.600
P=0279 | X=0497.230-0522.280 | Y=0132.730-0142.050 | 3.100
P=0279 | X=0122.210-0353.320 | Y=0142.370-0153.610 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0279 | X=0122.210-0363.320 | Y=0159.650-0170.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0279 | X=0122.210-0155.730 | Y=0171.170-0182.410 | ≤500m.
P=0279 | X=0122.210-0336.440 | Y=0188.930-0200.170 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=0279 | X=0122.210-0353.640 | Y=0200.470-0211.710 | Đường tỉnh 768 đoạn từ Đường liên xã Thạnh Phú -
P=0279 | X=0122.210-0356.360 | Y=0211.990-0223.230 | Tân Bình - Bình Lợi cũ đến Giáp ranh phường Trảng
P=0279 | X=0122.210-0346.820 | Y=0223.510-0234.750 | Dài có hiện trạng là đường nhựa, bê tông xi măng:
P=0279 | X=0100.610-0111.730 | Y=0240.270-0249.590 | 94
P=0279 | X=0388.940-0413.990 | Y=0240.270-0249.590 | 3.300
P=0279 | X=0439.370-0464.420 | Y=0240.270-0249.590 | 2.300
P=0279 | X=0497.230-0522.280 | Y=0240.270-0249.590 | 2.000
P=0279 | X=0122.210-0353.760 | Y=0241.030-0252.270 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0279 | X=0122.210-0363.320 | Y=0258.550-0269.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0279 | X=0122.210-0229.420 | Y=0270.070-0281.310 | từ >500m đến ≤1.000m.
P=0279 | X=0122.210-0345.380 | Y=0287.620-0298.860 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0279 | X=0122.210-0336.440 | Y=0305.380-0316.620 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=0279 | X=0122.210-0353.640 | Y=0316.900-0328.140 | Đường tỉnh 768 đoạn từ Đường liên xã Thạnh Phú -
P=0279 | X=0122.210-0356.360 | Y=0328.420-0339.660 | Tân Bình - Bình Lợi cũ đến Giáp ranh phường Trảng
P=0279 | X=0122.210-0346.820 | Y=0339.700-0350.940 | Dài có hiện trạng là đường nhựa, bê tông xi măng:
P=0279 | X=0100.610-0111.730 | Y=0347.580-0356.900 | 95
P=0279 | X=0388.940-0413.990 | Y=0347.580-0356.900 | 1.900
P=0279 | X=0439.370-0464.420 | Y=0347.580-0356.900 | 1.300
P=0279 | X=0497.230-0522.280 | Y=0347.580-0356.900 | 1.100
P=0279 | X=0122.210-0363.320 | Y=0357.220-0368.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0279 | X=0122.210-0164.350 | Y=0370.640-0379.960 | >1.000m.
P=0279 | X=0122.210-0345.860 | Y=0386.280-0397.520 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0279 | X=0122.210-0368.120 | Y=0404.040-0415.280 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0279 | X=0122.210-0366.220 | Y=0415.560-0426.800 | thông ra Đường tỉnh 768 đoạn từ Đường liên xã Thạnh
P=0279 | X=0122.210-0354.210 | Y=0427.080-0438.320 | Phú - Tân Bình - Bình Lợi cũ đến Giáp ranh phường
P=0279 | X=0122.210-0345.080 | Y=0438.600-0449.840 | Trảng Dài có hiện trạng là đường nhựa, bê tông xi
P=0279 | X=0122.210-0150.210 | Y=0450.140-0461.380 | măng:
P=0279 | X=0100.610-0111.730 | Y=0452.260-0461.580 | 96
P=0279 | X=0388.940-0413.990 | Y=0452.260-0461.580 | 4.600
P=0279 | X=0439.370-0464.420 | Y=0452.260-0461.580 | 3.200
P=0279 | X=0497.230-0522.280 | Y=0452.260-0461.580 | 2.800
P=0279 | X=0122.210-0353.290 | Y=0467.660-0478.900 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0279 | X=0122.210-0363.320 | Y=0485.180-0496.420 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0279 | X=0122.210-0155.730 | Y=0496.460-0507.700 | ≤500m.
P=0279 | X=0122.210-0368.120 | Y=0514.220-0525.460 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0279 | X=0122.210-0366.220 | Y=0525.740-0536.980 | thông ra Đường tỉnh 768 đoạn từ Đường liên xã Thạnh
P=0279 | X=0122.210-0354.210 | Y=0537.290-0548.530 | Phú - Tân Bình - Bình Lợi cũ đến Giáp ranh phường
P=0279 | X=0122.210-0345.080 | Y=0548.810-0560.050 | Trảng Dài có hiện trạng là đường nhựa, bê tông xi
P=0279 | X=0122.210-0150.210 | Y=0560.330-0571.570 | măng:
P=0279 | X=0100.610-0111.730 | Y=0571.330-0580.650 | 97
P=0279 | X=0388.940-0413.990 | Y=0571.330-0580.650 | 3.000
P=0279 | X=0439.370-0464.410 | Y=0571.330-0580.650 | 2.100
P=0279 | X=0497.230-0522.280 | Y=0571.330-0580.650 | 1.800
P=0279 | X=0122.210-0353.760 | Y=0577.850-0589.090 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0279 | X=0122.210-0363.320 | Y=0595.370-0606.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0279 | X=0122.210-0229.420 | Y=0606.890-0618.130 | từ >500m đến ≤1.000m.
P=0279 | X=0122.210-0345.380 | Y=0624.430-0635.670 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0279 | X=0122.210-0368.120 | Y=0642.190-0653.430 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0279 | X=0122.210-0366.220 | Y=0653.710-0664.950 | thông ra Đường tỉnh 768 đoạn từ Đường liên xã Thạnh
P=0279 | X=0122.210-0354.210 | Y=0665.230-0676.470 | Phú - Tân Bình - Bình Lợi cũ đến Giáp ranh phường
P=0279 | X=0100.610-0111.730 | Y=0675.750-0685.070 | 98
P=0279 | X=0388.940-0413.990 | Y=0675.750-0685.070 | 1.700
P=0279 | X=0439.370-0464.420 | Y=0675.750-0685.070 | 1.200
P=0279 | X=0497.230-0522.280 | Y=0675.750-0685.070 | 1.000
P=0279 | X=0122.210-0345.080 | Y=0676.510-0687.750 | Trảng Dài có hiện trạng là đường nhựa, bê tông xi
P=0279 | X=0122.210-0150.210 | Y=0688.030-0699.270 | măng:
P=0279 | X=0122.210-0363.320 | Y=0705.570-0716.810 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0280 | X=0122.210-0164.350 | Y=0074.380-0083.700 | >1.000m.
P=0280 | X=0122.210-0345.850 | Y=0090.020-0101.260 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0280 | X=0122.210-0189.960 | Y=0107.780-0119.020 | Đường vào Phi
P=0280 | X=0288.340-0351.710 | Y=0109.660-0118.980 | Ranh Sân bay
P=0280 | X=0196.630-0266.830 | Y=0113.540-0124.780 | Đường tỉnh 768
P=0280 | X=0100.610-0111.730 | Y=0115.420-0124.740 | 99
P=0280 | X=0388.940-0413.990 | Y=0115.420-0124.740 | 4.400
P=0280 | X=0439.370-0464.420 | Y=0115.420-0124.740 | 3.100
P=0280 | X=0497.230-0522.280 | Y=0115.420-0124.740 | 2.600
P=0280 | X=0122.210-0156.370 | Y=0119.330-0130.570 | Trường
P=0280 | X=0288.340-0329.700 | Y=0121.210-0130.530 | Biên Hòa
P=0280 | X=0122.210-0336.440 | Y=0137.090-0148.330 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=0280 | X=0122.210-0356.120 | Y=0148.610-0159.850 | Đường vào Phi Trường đoạn từ Đường tỉnh 768 đến
P=0280 | X=0122.210-0362.450 | Y=0160.130-0171.370 | Ranh Sân bay Biên Hòa có hiện trạng là đường nhựa,
P=0280 | X=0122.210-0196.290 | Y=0171.410-0182.650 | bê tông xi măng:
P=0280 | X=0097.730-0114.370 | Y=0179.290-0188.610 | 100
P=0280 | X=0388.940-0413.990 | Y=0179.290-0188.610 | 2.200
P=0280 | X=0439.370-0464.420 | Y=0179.290-0188.610 | 1.500
P=0280 | X=0497.230-0522.280 | Y=0179.290-0188.610 | 1.300
P=0280 | X=0122.210-0353.290 | Y=0188.930-0200.170 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0280 | X=0122.210-0363.320 | Y=0206.470-0217.710 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0280 | X=0122.210-0155.730 | Y=0217.990-0229.230 | ≤500m.
P=0280 | X=0122.210-0336.440 | Y=0235.750-0246.990 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=0280 | X=0122.210-0356.120 | Y=0247.270-0258.510 | Đường vào Phi Trường đoạn từ Đường tỉnh 768 đến
P=0280 | X=0122.210-0362.450 | Y=0258.790-0270.030 | Ranh Sân bay Biên Hòa có hiện trạng là đường nhựa,
P=0280 | X=0122.210-0196.290 | Y=0270.310-0281.550 | bê tông xi măng:
P=0280 | X=0097.730-0353.760 | Y=0286.860-0299.100 | 101 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0280 | X=0388.940-0413.990 | Y=0286.860-0296.180 | 1.700
P=0280 | X=0439.370-0464.420 | Y=0286.860-0296.180 | 1.200
P=0280 | X=0497.230-0522.280 | Y=0286.860-0296.180 | 1.000
P=0280 | X=0122.210-0363.320 | Y=0305.380-0316.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0280 | X=0122.210-0229.420 | Y=0316.900-0328.140 | từ >500m đến ≤1.000m.
P=0280 | X=0122.210-0345.380 | Y=0334.420-0345.660 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0280 | X=0122.210-0336.440 | Y=0351.940-0363.180 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=0280 | X=0122.210-0356.120 | Y=0363.460-0374.700 | Đường vào Phi Trường đoạn từ Đường tỉnh 768 đến
P=0280 | X=0122.210-0362.450 | Y=0375.000-0386.240 | Ranh Sân bay Biên Hòa có hiện trạng là đường nhựa,
P=0280 | X=0122.210-0196.290 | Y=0386.520-0397.760 | bê tông xi măng:
P=0280 | X=0097.730-0114.370 | Y=0394.400-0403.720 | 102
P=0280 | X=0388.940-0413.990 | Y=0394.400-0403.720 | 1.500
P=0280 | X=0439.370-0464.420 | Y=0394.400-0403.720 | 1.100
P=0280 | X=0505.390-0522.030 | Y=0394.400-0403.720 | 900
P=0280 | X=0122.210-0363.320 | Y=0404.040-0415.280 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0280 | X=0122.210-0164.350 | Y=0417.440-0426.760 | >1.000m.
P=0280 | X=0122.210-0345.850 | Y=0433.080-0444.320 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0280 | X=0122.210-0368.120 | Y=0450.860-0462.100 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0280 | X=0122.210-0356.840 | Y=0462.380-0473.620 | thông ra Đường vào Phi Trường đoạn từ Đường tỉnh
P=0280 | X=0122.210-0339.800 | Y=0473.900-0485.140 | 768 đến Ranh Sân bay Biên Hòa có hiện trạng là
P=0280 | X=0122.210-0257.980 | Y=0485.420-0496.660 | đường nhựa, bê tông xi măng:
P=0280 | X=0097.730-0114.370 | Y=0493.300-0502.620 | 103
P=0280 | X=0388.940-0413.990 | Y=0493.300-0502.620 | 2.000
P=0280 | X=0439.370-0464.420 | Y=0493.300-0502.620 | 1.400
P=0280 | X=0497.230-0522.280 | Y=0493.300-0502.620 | 1.200
P=0280 | X=0122.210-0353.290 | Y=0502.940-0514.180 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0280 | X=0122.210-0363.320 | Y=0520.220-0531.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0280 | X=0122.210-0155.730 | Y=0531.740-0542.980 | ≤500m.
P=0280 | X=0122.210-0368.120 | Y=0549.530-0560.770 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0280 | X=0122.210-0356.840 | Y=0561.050-0572.290 | thông ra Đường vào Phi Trường đoạn từ Đường tỉnh
P=0280 | X=0122.210-0339.800 | Y=0572.570-0583.810 | 768 đến Ranh Sân bay Biên Hòa có hiện trạng là
P=0280 | X=0122.210-0257.980 | Y=0584.090-0595.330 | đường nhựa, bê tông xi măng:
P=0280 | X=0097.730-0353.760 | Y=0600.850-0612.850 | 104 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0280 | X=0388.940-0413.990 | Y=0600.850-0610.170 | 1.500
P=0280 | X=0439.370-0464.420 | Y=0600.850-0610.170 | 1.100
P=0280 | X=0505.390-0522.030 | Y=0600.850-0610.170 | 900
P=0280 | X=0122.210-0363.320 | Y=0619.150-0630.390 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0280 | X=0122.210-0229.420 | Y=0630.670-0641.910 | từ >500m đến ≤1.000m.
P=0280 | X=0122.210-0345.380 | Y=0648.190-0659.430 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0280 | X=0122.210-0368.120 | Y=0665.950-0677.190 | Các tuyến đường giao thông không đấu nối trực tiếp và
P=0280 | X=0122.210-0356.840 | Y=0677.470-0688.710 | thông ra Đường vào Phi Trường đoạn từ Đường tỉnh
P=0280 | X=0097.730-0114.370 | Y=0685.110-0694.430 | 105
P=0280 | X=0388.940-0413.990 | Y=0685.110-0694.430 | 1.400
P=0280 | X=0447.530-0464.170 | Y=0685.110-0694.430 | 980
P=0280 | X=0505.390-0522.030 | Y=0685.110-0694.430 | 840
P=0280 | X=0122.210-0339.800 | Y=0688.750-0699.990 | 768 đến Ranh Sân bay Biên Hòa có hiện trạng là
P=0280 | X=0122.210-0257.980 | Y=0700.290-0711.530 | đường nhựa, bê tông xi măng:
P=0281 | X=0122.210-0363.320 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0281 | X=0122.210-0164.350 | Y=0091.900-0101.220 | >1.000m.
P=0281 | X=0122.210-0348.530 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0281 | X=0288.340-0365.740 | Y=0125.330-0136.570 | Ranh thửa đất số
P=0281 | X=0288.340-0364.550 | Y=0136.850-0148.090 | 193, tờ BĐĐC số
P=0281 | X=0122.210-0174.530 | Y=0142.610-0153.850 | Đường Cây
P=0281 | X=0196.630-0266.830 | Y=0148.370-0159.610 | Đường tỉnh 768
P=0281 | X=0097.730-0114.370 | Y=0150.250-0159.570 | 106
P=0281 | X=0288.340-0351.860 | Y=0150.250-0159.570 | 37 về bên trái,
P=0281 | X=0388.940-0413.990 | Y=0150.250-0159.570 | 7.300
P=0281 | X=0439.370-0464.420 | Y=0150.250-0159.570 | 5.100
P=0281 | X=0497.230-0522.280 | Y=0150.250-0159.570 | 4.400
P=0281 | X=0122.210-0169.090 | Y=0154.130-0165.370 | Quéo ấp 4
P=0281 | X=0288.340-0344.120 | Y=0159.650-0170.890 | phường Tân
P=0281 | X=0288.340-0311.480 | Y=0173.050-0182.370 | Triều
P=0281 | X=0122.210-0336.440 | Y=0188.930-0200.170 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=0281 | X=0122.210-0353.480 | Y=0200.470-0211.710 | Đường Cây Quéo ấp 4 đoạn từ Đường tỉnh 768 đến
P=0281 | X=0122.210-0344.660 | Y=0211.990-0223.230 | Ranh thửa đất số 193, tờ BĐĐC số 37 về bên trái,
P=0281 | X=0122.210-0350.360 | Y=0223.510-0234.750 | phường Tân Triều có hiện trạng là đường nhựa, bê
P=0281 | X=0097.730-0182.370 | Y=0235.030-0246.470 | 107 tông xi măng:
P=0281 | X=0388.940-0413.990 | Y=0237.150-0246.470 | 3.200
P=0281 | X=0439.370-0464.420 | Y=0237.150-0246.470 | 2.200
P=0281 | X=0497.230-0522.280 | Y=0237.150-0246.470 | 1.900
P=0281 | X=0122.210-0353.290 | Y=0252.550-0263.790 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0281 | X=0122.210-0363.320 | Y=0270.070-0281.310 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0281 | X=0122.210-0155.730 | Y=0281.620-0292.860 | ≤500m.
P=0281 | X=0122.210-0336.440 | Y=0299.380-0310.620 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=0281 | X=0122.210-0353.480 | Y=0310.900-0322.140 | Đường Cây Quéo ấp 4 đoạn từ Đường tỉnh 768 đến
P=0281 | X=0122.210-0344.660 | Y=0322.420-0333.660 | Ranh thửa đất số 193, tờ BĐĐC số 37 về bên trái,
P=0281 | X=0122.210-0350.360 | Y=0333.700-0344.940 | phường Tân Triều có hiện trạng là đường nhựa, bê
P=0281 | X=0122.210-0182.370 | Y=0345.220-0356.460 | tông xi măng:
P=0281 | X=0097.730-0114.370 | Y=0356.220-0365.540 | 108
P=0281 | X=0388.940-0413.990 | Y=0356.220-0365.540 | 2.200
P=0281 | X=0439.370-0464.420 | Y=0356.220-0365.540 | 1.500
P=0281 | X=0497.230-0522.280 | Y=0356.220-0365.540 | 1.300
P=0281 | X=0122.210-0353.800 | Y=0362.740-0373.980 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0281 | X=0122.210-0363.320 | Y=0380.280-0391.520 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0281 | X=0122.210-0229.420 | Y=0391.800-0403.040 | từ >500m đến ≤1.000m.
P=0281 | X=0122.210-0345.380 | Y=0409.320-0420.560 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0281 | X=0122.210-0336.440 | Y=0427.080-0438.320 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=0281 | X=0122.210-0353.480 | Y=0438.600-0449.840 | Đường Cây Quéo ấp 4 đoạn từ Đường tỉnh 768 đến
P=0281 | X=0122.210-0344.660 | Y=0450.140-0461.380 | Ranh thửa đất số 193, tờ BĐĐC số 37 về bên trái,
