TABLE=021 | AREA=Phường Xuân Lập | SECTION=non-agricultural | SEGMENTS=1
P=0728 | X=0448.490-0465.130 | Y=0304.860-0314.180 | 530
P=0728 | X=0505.390-0522.030 | Y=0304.860-0314.180 | 460
P=0728 | X=0115.970-0369.280 | Y=0323.380-0334.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0728 | X=0115.970-0202.540 | Y=0334.900-0346.140 | >400m đến ≤600m.
P=0728 | X=0115.970-0339.140 | Y=0352.420-0363.660 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0728 | X=0115.970-0389.480 | Y=0370.200-0381.440 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0728 | X=0115.970-0390.460 | Y=0381.720-0392.960 | ra Đường Nguyễn Văn Trỗi đoạn từ Cuối khu dân cư Khu phố
P=0728 | X=0115.970-0388.540 | Y=0393.240-0404.480 | Núi Đỏ đến Đường Bàu Sen có hiện trạng là đường nhựa, bê
P=0728 | X=0097.250-0176.130 | Y=0404.760-0416.200 | 28 tông xi măng:
P=0728 | X=0411.020-0427.660 | Y=0406.880-0416.200 | 570
P=0728 | X=0448.490-0465.130 | Y=0406.880-0416.200 | 400
P=0728 | X=0505.390-0522.030 | Y=0406.880-0416.200 | 340
P=0728 | X=0115.970-0393.400 | Y=0422.280-0433.520 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0728 | X=0115.970-0342.290 | Y=0439.800-0451.040 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0728 | X=0209.590-0386.620 | Y=0457.820-0469.060 | Đường Nguyễn Văn Đường Bàu Sen đi
P=0728 | X=0097.250-0189.000 | Y=0463.580-0474.820 | 29 Đường Bàu Sen
P=0728 | X=0402.860-0427.910 | Y=0465.460-0474.780 | 2.100
P=0728 | X=0440.330-0465.380 | Y=0465.460-0474.780 | 1.500
P=0728 | X=0497.230-0522.270 | Y=0465.460-0474.780 | 1.300
P=0728 | X=0209.590-0226.980 | Y=0471.220-0480.540 | Trỗi
P=0728 | X=0303.240-0345.810 | Y=0471.220-0480.540 | Xuân Lập
P=0728 | X=0115.970-0384.920 | Y=0487.340-0498.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bàu
P=0728 | X=0115.970-0388.760 | Y=0498.860-0510.100 | Sen đoạn từ Đường Nguyễn Văn Trỗi đến Đường Bàu Sen đi
P=0728 | X=0115.970-0368.420 | Y=0510.380-0521.620 | Xuân Lập có hiện trạng là đường nhựa, bê tông xi măng:
P=0728 | X=0097.250-0108.370 | Y=0518.260-0527.580 | 30
P=0728 | X=0402.860-0427.910 | Y=0518.260-0527.580 | 1.100
P=0728 | X=0448.490-0465.130 | Y=0518.260-0527.580 | 770
P=0728 | X=0505.390-0522.030 | Y=0518.260-0527.580 | 660
P=0728 | X=0115.970-0338.880 | Y=0527.900-0539.140 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0728 | X=0115.970-0393.160 | Y=0545.450-0556.690 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0728 | X=0115.970-0384.920 | Y=0563.450-0574.690 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bàu
P=0728 | X=0115.970-0388.780 | Y=0574.970-0586.210 | Sen đoạn từ Đường Nguyễn Văn Trỗi đến Đường Bàu Sen đi
P=0728 | X=0115.970-0368.420 | Y=0586.250-0597.490 | Xuân Lập có hiện trạng là đường nhựa, bê tông xi măng:
P=0728 | X=0097.250-0339.160 | Y=0603.770-0618.090 | 31 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0728 | X=0411.020-0427.660 | Y=0608.770-0618.090 | 840
P=0728 | X=0448.490-0465.130 | Y=0608.770-0618.090 | 590
P=0728 | X=0505.390-0522.030 | Y=0608.770-0618.090 | 500
P=0728 | X=0115.970-0369.280 | Y=0621.310-0632.550 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0728 | X=0115.970-0202.540 | Y=0632.830-0644.070 | >400m đến ≤600m.
P=0728 | X=0115.970-0339.140 | Y=0650.350-0661.590 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0728 | X=0115.970-0384.920 | Y=0668.350-0679.590 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bàu
P=0728 | X=0097.250-0388.760 | Y=0679.870-0691.110 | 32 Sen đoạn từ Đường Nguyễn Văn Trỗi đến Đường Bàu Sen đi
P=0728 | X=0411.020-0427.660 | Y=0681.750-0691.070 | 590
P=0728 | X=0448.490-0465.130 | Y=0681.750-0691.070 | 410
P=0728 | X=0505.390-0522.030 | Y=0681.750-0691.070 | 350
P=0728 | X=0115.970-0368.420 | Y=0691.390-0702.630 | Xuân Lập có hiện trạng là đường nhựa, bê tông xi măng:
P=0729 | X=0115.970-0393.400 | Y=0078.740-0089.980 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0729 | X=0115.970-0339.610 | Y=0096.260-0107.500 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0729 | X=0115.970-0389.480 | Y=0114.290-0125.530 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0729 | X=0115.970-0369.340 | Y=0125.810-0137.050 | ra Đường Bàu Sen đoạn từ Đường Nguyễn Văn Trỗi đến
P=0729 | X=0115.970-0391.660 | Y=0137.330-0148.570 | Đường Bàu Sen đi Xuân Lập có hiện trạng là đường nhựa, bê
P=0729 | X=0097.250-0176.130 | Y=0148.850-0160.290 | 33 tông xi măng:
P=0729 | X=0411.020-0427.660 | Y=0150.970-0160.290 | 990
P=0729 | X=0448.490-0465.130 | Y=0150.970-0160.290 | 690
P=0729 | X=0505.390-0522.030 | Y=0150.970-0160.290 | 590
P=0729 | X=0115.970-0338.880 | Y=0166.370-0177.610 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0729 | X=0115.970-0393.160 | Y=0183.650-0194.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0729 | X=0115.970-0389.480 | Y=0201.670-0212.910 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0729 | X=0115.970-0369.340 | Y=0213.190-0224.430 | ra Đường Bàu Sen đoạn từ Đường Nguyễn Văn Trỗi đến
P=0729 | X=0115.970-0391.660 | Y=0224.710-0235.950 | Đường Bàu Sen đi Xuân Lập có hiện trạng là đường nhựa, bê
P=0729 | X=0115.970-0176.130 | Y=0236.230-0247.470 | tông xi măng:
P=0729 | X=0097.250-0339.140 | Y=0252.990-0264.990 | 34 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0729 | X=0411.020-0427.660 | Y=0252.990-0262.310 | 760
P=0729 | X=0448.490-0465.130 | Y=0252.990-0262.310 | 530
P=0729 | X=0505.390-0522.030 | Y=0252.990-0262.310 | 460
P=0729 | X=0115.970-0369.280 | Y=0271.270-0282.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0729 | X=0115.970-0202.550 | Y=0282.820-0294.060 | >400m đến ≤600m.
P=0729 | X=0115.970-0339.140 | Y=0300.340-0311.580 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0729 | X=0115.970-0389.480 | Y=0318.340-0329.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0729 | X=0115.970-0369.340 | Y=0329.860-0341.100 | ra Đường Bàu Sen đoạn từ Đường Nguyễn Văn Trỗi đến
P=0729 | X=0115.970-0391.660 | Y=0341.380-0352.620 | Đường Bàu Sen đi Xuân Lập có hiện trạng là đường nhựa, bê
P=0729 | X=0097.250-0176.130 | Y=0352.900-0364.340 | 35 tông xi măng:
P=0729 | X=0411.020-0427.660 | Y=0355.020-0364.340 | 530
P=0729 | X=0448.490-0465.130 | Y=0355.020-0364.340 | 370
P=0729 | X=0505.390-0522.030 | Y=0355.020-0364.340 | 320
P=0729 | X=0115.970-0393.400 | Y=0370.200-0381.440 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0729 | X=0115.970-0342.290 | Y=0387.720-0398.960 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0729 | X=0115.970-0297.550 | Y=0405.720-0416.960 | Đường Xuân Bình - Đường Lương Định
P=0729 | X=0303.240-0390.700 | Y=0411.480-0422.720 | Đường Võ Văn Tần
P=0729 | X=0097.250-0108.370 | Y=0413.360-0422.680 | 36
P=0729 | X=0402.860-0427.910 | Y=0413.360-0422.680 | 1.800
P=0729 | X=0440.330-0465.380 | Y=0413.360-0422.680 | 1.300
P=0729 | X=0497.230-0522.280 | Y=0413.360-0422.680 | 1.100
P=0729 | X=0115.970-0158.540 | Y=0419.120-0428.440 | Xuân Lập
P=0729 | X=0209.590-0227.910 | Y=0419.120-0428.440 | Của
P=0729 | X=0115.970-0390.210 | Y=0435.240-0446.480 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=0729 | X=0115.970-0391.180 | Y=0446.760-0458.000 | Bình - Xuân Lập đoạn từ Đường Lương Định Của đến Đường
P=0729 | X=0115.970-0378.280 | Y=0458.300-0469.540 | Võ Văn Tần có hiện trạng là đường nhựa, bê tông xi măng:
P=0729 | X=0097.250-0108.370 | Y=0466.180-0475.500 | 37
P=0729 | X=0402.860-0427.910 | Y=0466.180-0475.500 | 1.000
P=0729 | X=0448.490-0465.130 | Y=0466.180-0475.500 | 700
P=0729 | X=0505.390-0522.030 | Y=0466.180-0475.500 | 600
P=0729 | X=0115.970-0338.880 | Y=0475.820-0487.060 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0729 | X=0115.970-0393.160 | Y=0493.340-0504.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0729 | X=0115.970-0390.210 | Y=0511.340-0522.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=0729 | X=0115.970-0391.180 | Y=0522.860-0534.100 | Bình - Xuân Lập đoạn từ Đường Lương Định Của đến Đường
P=0729 | X=0115.970-0378.280 | Y=0534.410-0545.650 | Võ Văn Tần có hiện trạng là đường nhựa, bê tông xi măng:
P=0729 | X=0097.250-0339.140 | Y=0551.930-0566.010 | 38 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0729 | X=0411.020-0427.660 | Y=0556.690-0566.010 | 730
P=0729 | X=0448.490-0465.130 | Y=0556.690-0566.010 | 510
P=0729 | X=0505.390-0522.030 | Y=0556.690-0566.010 | 440
P=0729 | X=0115.970-0369.280 | Y=0569.450-0580.690 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0729 | X=0115.970-0202.540 | Y=0580.970-0592.210 | >400m đến ≤600m.
P=0729 | X=0115.970-0339.140 | Y=0598.250-0609.490 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0729 | X=0115.970-0390.210 | Y=0616.270-0627.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=0729 | X=0115.970-0391.180 | Y=0627.790-0639.030 | Bình - Xuân Lập đoạn từ Đường Lương Định Của đến Đường
P=0729 | X=0115.970-0378.280 | Y=0639.310-0650.550 | Võ Văn Tần có hiện trạng là đường nhựa, bê tông xi măng:
P=0729 | X=0097.250-0108.370 | Y=0647.190-0656.510 | 39
P=0729 | X=0411.020-0427.660 | Y=0647.190-0656.510 | 470
P=0729 | X=0448.490-0465.130 | Y=0647.190-0656.510 | 330
P=0729 | X=0505.390-0522.030 | Y=0647.190-0656.510 | 280
P=0729 | X=0115.970-0393.400 | Y=0656.830-0668.070 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0729 | X=0115.970-0339.610 | Y=0674.350-0685.590 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0729 | X=0115.970-0389.480 | Y=0692.350-0703.590 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0729 | X=0097.250-0108.370 | Y=0699.990-0709.310 | 40
P=0729 | X=0411.020-0427.660 | Y=0699.990-0709.310 | 900
P=0729 | X=0448.490-0465.130 | Y=0699.990-0709.310 | 630
P=0729 | X=0505.390-0522.030 | Y=0699.990-0709.310 | 540
P=0729 | X=0115.970-0388.310 | Y=0703.890-0715.130 | ra Đường Xuân Bình - Xuân Lập đoạn từ Đường Lương Định
P=0730 | X=0115.970-0390.700 | Y=0072.740-0083.980 | Của đến Đường Võ Văn Tần có hiện trạng là đường nhựa, bê
P=0730 | X=0115.970-0176.130 | Y=0084.260-0095.500 | tông xi măng:
P=0730 | X=0115.970-0338.880 | Y=0101.780-0113.020 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0730 | X=0115.970-0393.160 | Y=0119.330-0130.570 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0730 | X=0115.970-0389.480 | Y=0137.330-0148.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0730 | X=0115.970-0388.310 | Y=0148.850-0160.090 | ra Đường Xuân Bình - Xuân Lập đoạn từ Đường Lương Định
P=0730 | X=0115.970-0390.700 | Y=0160.370-0171.610 | Của đến Đường Võ Văn Tần có hiện trạng là đường nhựa, bê
P=0730 | X=0115.970-0176.130 | Y=0171.650-0182.890 | tông xi măng:
P=0730 | X=0097.250-0339.140 | Y=0188.410-0200.410 | 41 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0730 | X=0411.020-0427.660 | Y=0188.410-0197.730 | 660
P=0730 | X=0448.490-0465.130 | Y=0188.410-0197.730 | 460
P=0730 | X=0505.390-0522.030 | Y=0188.410-0197.730 | 400
P=0730 | X=0115.970-0369.280 | Y=0206.710-0217.950 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0730 | X=0115.970-0202.540 | Y=0218.230-0229.470 | >400m đến ≤600m.
P=0730 | X=0115.970-0339.160 | Y=0235.750-0246.990 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0730 | X=0115.970-0389.480 | Y=0253.750-0264.990 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0730 | X=0115.970-0388.310 | Y=0265.270-0276.510 | ra Đường Xuân Bình - Xuân Lập đoạn từ Đường Lương Định
P=0730 | X=0115.970-0390.700 | Y=0276.790-0288.030 | Của đến Đường Võ Văn Tần có hiện trạng là đường nhựa, bê
P=0730 | X=0097.250-0176.130 | Y=0288.340-0299.780 | 42 tông xi măng:
P=0730 | X=0411.020-0427.660 | Y=0290.460-0299.780 | 420
P=0730 | X=0448.490-0465.130 | Y=0290.460-0299.780 | 290
P=0730 | X=0505.390-0522.030 | Y=0290.460-0299.780 | 250
P=0730 | X=0115.970-0393.410 | Y=0305.860-0317.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0730 | X=0115.970-0342.290 | Y=0323.380-0334.620 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0730 | X=0115.970-0203.350 | Y=0341.380-0352.620 | Đường Xuân Bình -
P=0730 | X=0209.590-0356.600 | Y=0347.140-0358.380 | Đường Võ Văn Tần Đường số 1
P=0730 | X=0097.250-0108.370 | Y=0349.020-0358.340 | 43
P=0730 | X=0402.860-0427.910 | Y=0349.020-0358.340 | 1.500
P=0730 | X=0440.330-0465.380 | Y=0349.020-0358.340 | 1.100
P=0730 | X=0505.390-0522.030 | Y=0349.020-0358.340 | 900
P=0730 | X=0115.970-0158.540 | Y=0354.780-0364.100 | Xuân Lập
P=0730 | X=0115.970-0390.210 | Y=0370.920-0382.160 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=0730 | X=0115.970-0390.940 | Y=0382.200-0393.440 | Bình - Xuân Lập đoạn từ Đường Võ Văn Tần đến Đường số 1
P=0730 | X=0115.970-0322.820 | Y=0393.720-0404.960 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0730 | X=0097.250-0108.370 | Y=0401.600-0410.920 | 44
P=0730 | X=0402.860-0427.910 | Y=0401.600-0410.920 | 1.000
P=0730 | X=0448.490-0465.130 | Y=0401.600-0410.920 | 700
P=0730 | X=0505.390-0522.030 | Y=0401.600-0410.920 | 600
P=0730 | X=0115.970-0338.880 | Y=0411.240-0422.480 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0730 | X=0115.970-0393.160 | Y=0428.760-0440.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0730 | X=0115.970-0390.210 | Y=0446.760-0458.000 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=0730 | X=0115.970-0390.940 | Y=0458.300-0469.540 | Bình - Xuân Lập đoạn từ Đường Võ Văn Tần đến Đường số 1
P=0730 | X=0115.970-0322.820 | Y=0469.820-0481.060 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0730 | X=0097.250-0339.140 | Y=0487.340-0501.420 | 45 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0730 | X=0411.020-0427.660 | Y=0492.100-0501.420 | 670
P=0730 | X=0448.490-0465.130 | Y=0492.100-0501.420 | 470
P=0730 | X=0505.390-0522.030 | Y=0492.100-0501.420 | 400
P=0730 | X=0115.970-0369.280 | Y=0504.860-0516.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0730 | X=0115.970-0202.540 | Y=0516.380-0527.620 | >400m đến ≤600m.
P=0730 | X=0118.850-0335.780 | Y=0533.930-0545.170 | Có bề rộng <3m, cách đường giao thông ≤200m.
P=0730 | X=0115.970-0390.210 | Y=0551.930-0563.170 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=0730 | X=0115.970-0390.940 | Y=0563.450-0574.690 | Bình - Xuân Lập đoạn từ Đường Võ Văn Tần đến Đường số 1
P=0730 | X=0115.970-0322.820 | Y=0574.970-0586.210 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0730 | X=0097.250-0108.370 | Y=0582.850-0592.170 | 46
P=0730 | X=0411.020-0427.660 | Y=0582.850-0592.170 | 470
P=0730 | X=0448.490-0465.130 | Y=0582.850-0592.170 | 330
P=0730 | X=0505.390-0522.030 | Y=0582.850-0592.170 | 280
P=0730 | X=0115.970-0393.400 | Y=0592.250-0603.490 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0730 | X=0115.970-0339.610 | Y=0609.770-0621.010 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0730 | X=0115.970-0389.480 | Y=0627.790-0639.030 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0730 | X=0115.970-0387.820 | Y=0639.310-0650.550 | ra Đường Xuân Bình - Xuân Lập đoạn từ Đường Võ Văn Tần
P=0730 | X=0115.970-0367.640 | Y=0650.830-0662.070 | đến Đường số 1 có hiện trạng là đường nhựa, bê tông xi
P=0730 | X=0097.250-0143.970 | Y=0662.350-0673.790 | 47 măng:
P=0730 | X=0411.020-0427.660 | Y=0664.470-0673.790 | 900
P=0730 | X=0448.490-0465.130 | Y=0664.470-0673.790 | 630
P=0730 | X=0505.390-0522.030 | Y=0664.470-0673.790 | 540
P=0730 | X=0115.970-0338.920 | Y=0679.870-0691.110 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0730 | X=0115.970-0393.160 | Y=0697.390-0708.630 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0731 | X=0115.970-0389.480 | Y=0078.740-0089.980 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0731 | X=0115.970-0387.830 | Y=0090.260-0101.500 | ra Đường Xuân Bình - Xuân Lập đoạn từ Đường Võ Văn Tần
P=0731 | X=0115.970-0367.640 | Y=0101.780-0113.020 | đến Đường số 1 có hiện trạng là đường nhựa, bê tông xi
P=0731 | X=0115.970-0143.970 | Y=0113.300-0124.540 | măng:
P=0731 | X=0097.250-0339.140 | Y=0129.850-0142.090 | 48 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0731 | X=0411.020-0427.660 | Y=0129.850-0139.170 | 600
P=0731 | X=0448.490-0465.130 | Y=0129.850-0139.170 | 420
P=0731 | X=0505.390-0522.030 | Y=0129.850-0139.170 | 360
P=0731 | X=0115.970-0369.280 | Y=0148.370-0159.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0731 | X=0115.970-0202.540 | Y=0159.650-0170.890 | >400m đến ≤600m.
P=0731 | X=0115.970-0339.140 | Y=0177.170-0188.410 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0731 | X=0115.970-0389.480 | Y=0195.170-0206.410 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0731 | X=0115.970-0387.820 | Y=0206.710-0217.950 | ra Đường Xuân Bình - Xuân Lập đoạn từ Đường Võ Văn Tần
P=0731 | X=0115.970-0367.640 | Y=0218.230-0229.470 | đến Đường số 1 có hiện trạng là đường nhựa, bê tông xi
P=0731 | X=0097.250-0143.970 | Y=0229.750-0241.190 | 49 măng:
P=0731 | X=0411.020-0427.660 | Y=0231.870-0241.190 | 420
P=0731 | X=0448.490-0465.130 | Y=0231.870-0241.190 | 290
P=0731 | X=0505.390-0522.030 | Y=0231.870-0241.190 | 250
P=0731 | X=0115.970-0393.400 | Y=0247.270-0258.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0731 | X=0115.970-0342.290 | Y=0264.790-0276.030 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0731 | X=0303.240-0386.540 | Y=0282.820-0294.060 | Đường Xuân Lập -
P=0731 | X=0097.250-0169.350 | Y=0288.580-0299.820 | 50 Đường số 1
P=0731 | X=0209.590-0252.660 | Y=0290.460-0299.780 | Quốc lộ 1
P=0731 | X=0402.860-0427.910 | Y=0290.460-0299.780 | 2.500
P=0731 | X=0440.330-0465.380 | Y=0290.460-0299.780 | 1.800
P=0731 | X=0497.230-0522.280 | Y=0290.460-0299.780 | 1.500
P=0731 | X=0303.240-0341.710 | Y=0296.220-0305.540 | Bàu Sao
P=0731 | X=0115.970-0385.900 | Y=0312.340-0323.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường số 1
P=0731 | X=0115.970-0377.980 | Y=0323.860-0335.100 | đoạn từ Quốc lộ 1 đến Đường Xuân Lập - Bàu Sao có hiện
P=0731 | X=0115.970-0287.750 | Y=0335.380-0346.620 | trạng là đường nhựa, bê tông xi măng:
P=0731 | X=0097.250-0108.370 | Y=0343.260-0352.580 | 51
P=0731 | X=0402.860-0427.910 | Y=0343.260-0352.580 | 1.300
P=0731 | X=0448.490-0465.130 | Y=0343.260-0352.580 | 910
P=0731 | X=0505.390-0522.030 | Y=0343.260-0352.580 | 780
P=0731 | X=0115.970-0338.880 | Y=0352.900-0364.140 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0731 | X=0115.970-0393.160 | Y=0370.200-0381.440 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0731 | X=0115.970-0385.900 | Y=0388.200-0399.440 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường số 1
P=0731 | X=0115.970-0377.980 | Y=0399.720-0410.960 | đoạn từ Quốc lộ 1 đến Đường Xuân Lập - Bàu Sao có hiện
P=0731 | X=0115.970-0287.750 | Y=0411.240-0422.480 | trạng là đường nhựa, bê tông xi măng:
P=0731 | X=0097.250-0339.140 | Y=0428.760-0443.080 | 52 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0731 | X=0411.020-0427.660 | Y=0433.760-0443.080 | 910
P=0731 | X=0448.490-0465.130 | Y=0433.760-0443.080 | 640
P=0731 | X=0505.390-0522.030 | Y=0433.760-0443.080 | 550
P=0731 | X=0115.970-0369.280 | Y=0446.280-0457.520 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0731 | X=0115.970-0202.540 | Y=0457.820-0469.060 | >400m đến ≤600m.
P=0731 | X=0115.970-0339.140 | Y=0475.340-0486.580 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0731 | X=0115.970-0385.900 | Y=0493.340-0504.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường số 1
P=0731 | X=0115.970-0377.980 | Y=0504.860-0516.100 | đoạn từ Quốc lộ 1 đến Đường Xuân Lập - Bàu Sao có hiện
P=0731 | X=0115.970-0287.750 | Y=0516.380-0527.620 | trạng là đường nhựa, bê tông xi măng:
P=0731 | X=0097.250-0108.370 | Y=0524.260-0533.580 | 53
P=0731 | X=0411.020-0427.660 | Y=0524.260-0533.580 | 590
P=0731 | X=0448.490-0465.130 | Y=0524.260-0533.580 | 410
P=0731 | X=0505.390-0522.030 | Y=0524.260-0533.580 | 350
P=0731 | X=0115.970-0393.400 | Y=0533.930-0545.170 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0731 | X=0115.970-0339.610 | Y=0551.450-0562.690 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0731 | X=0115.970-0389.480 | Y=0569.450-0580.690 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0731 | X=0115.970-0390.220 | Y=0580.970-0592.210 | ra Đường số 1 đoạn từ Quốc lộ 1 đến Đường Xuân Lập - Bàu
P=0731 | X=0115.970-0343.450 | Y=0592.250-0603.490 | Sao có hiện trạng là đường nhựa, bê tông xi măng:
P=0731 | X=0097.250-0108.370 | Y=0600.130-0609.450 | 54
P=0731 | X=0402.860-0427.910 | Y=0600.130-0609.450 | 1.200
P=0731 | X=0448.490-0465.130 | Y=0600.130-0609.450 | 840
P=0731 | X=0505.390-0522.030 | Y=0600.130-0609.450 | 720
P=0731 | X=0115.970-0338.880 | Y=0609.770-0621.010 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0731 | X=0115.970-0393.160 | Y=0627.310-0638.550 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0731 | X=0115.970-0389.480 | Y=0645.310-0656.550 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0731 | X=0115.970-0390.220 | Y=0656.830-0668.070 | ra Đường số 1 đoạn từ Quốc lộ 1 đến Đường Xuân Lập - Bàu
P=0731 | X=0115.970-0343.450 | Y=0668.350-0679.590 | Sao có hiện trạng là đường nhựa, bê tông xi măng:
P=0731 | X=0097.250-0108.370 | Y=0676.230-0685.550 | 55
P=0731 | X=0411.020-0427.690 | Y=0676.230-0685.550 | 820
P=0731 | X=0448.490-0465.130 | Y=0676.230-0685.550 | 570
P=0731 | X=0505.390-0522.030 | Y=0676.230-0685.550 | 490
P=0731 | X=0115.970-0339.140 | Y=0685.870-0697.110 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0731 | X=0115.970-0369.280 | Y=0703.410-0714.650 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0732 | X=0115.970-0202.540 | Y=0072.740-0083.980 | >400m đến ≤600m.
P=0732 | X=0115.970-0339.140 | Y=0090.260-0101.500 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0732 | X=0115.970-0389.480 | Y=0108.260-0119.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0732 | X=0115.970-0390.220 | Y=0119.810-0131.050 | ra Đường số 1 đoạn từ Quốc lộ 1 đến Đường Xuân Lập - Bàu
P=0732 | X=0115.970-0343.450 | Y=0131.330-0142.570 | Sao có hiện trạng là đường nhựa, bê tông xi măng:
P=0732 | X=0097.250-0108.370 | Y=0139.210-0148.530 | 56
P=0732 | X=0411.020-0427.660 | Y=0139.210-0148.530 | 530
P=0732 | X=0448.490-0465.130 | Y=0139.210-0148.530 | 370
P=0732 | X=0505.390-0522.030 | Y=0139.210-0148.530 | 320
P=0732 | X=0115.970-0393.400 | Y=0148.850-0160.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
