TABLE=052 | AREA=Xã Đắk Lua | SECTION=non-agricultural | SEGMENTS=1
P=1733 | X=0109.970-0152.130 | Y=0271.950-0281.270 | >1.000m.
P=1733 | X=0109.970-0333.610 | Y=0287.620-0298.860 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1733 | X=0109.970-0342.680 | Y=0305.380-0316.620 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1733 | X=0109.970-0340.290 | Y=0316.900-0328.140 | và thông ra Đường Bến Be đoạn từ Đường tỉnh 767
P=1733 | X=0109.970-0335.720 | Y=0328.420-0339.660 | đến Nhà máy đường Trị An có hiện trạng là đường
P=1733 | X=0109.970-0213.080 | Y=0339.700-0350.940 | nhựa, bê tông xi măng:
P=1733 | X=0094.340-0105.460 | Y=0347.580-0356.900 | 54
P=1733 | X=0383.900-0400.540 | Y=0347.580-0356.900 | 990
P=1733 | X=0447.050-0463.690 | Y=0347.580-0356.900 | 690
P=1733 | X=0505.630-0522.270 | Y=0347.580-0356.900 | 590
P=1733 | X=0109.970-0341.080 | Y=0357.220-0368.460 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1733 | X=0109.970-0351.080 | Y=0374.760-0386.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1733 | X=0109.970-0143.490 | Y=0386.280-0397.520 | ≤500m.
P=1733 | X=0109.970-0342.680 | Y=0404.040-0415.280 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1733 | X=0109.970-0340.290 | Y=0415.560-0426.800 | và thông ra Đường Bến Be đoạn từ Đường tỉnh 767
P=1733 | X=0109.970-0335.720 | Y=0427.080-0438.320 | đến Nhà máy đường Trị An có hiện trạng là đường
P=1733 | X=0109.970-0213.080 | Y=0438.600-0449.840 | nhựa, bê tông xi măng:
P=1733 | X=0094.340-0341.520 | Y=0455.140-0467.380 | 55 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1733 | X=0383.900-0400.540 | Y=0455.140-0464.460 | 740
P=1733 | X=0447.050-0463.690 | Y=0455.140-0464.460 | 520
P=1733 | X=0505.630-0522.270 | Y=0455.140-0464.460 | 440
P=1733 | X=0109.970-0351.080 | Y=0473.660-0484.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1733 | X=0109.970-0217.180 | Y=0485.180-0496.420 | từ >500m đến ≤1.000m.
P=1733 | X=0109.970-0333.140 | Y=0502.460-0513.700 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1733 | X=0109.970-0342.680 | Y=0520.220-0531.460 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1733 | X=0109.970-0340.290 | Y=0531.740-0542.980 | và thông ra Đường Bến Be đoạn từ Đường tỉnh 767
P=1733 | X=0109.970-0335.720 | Y=0543.290-0554.530 | đến Nhà máy đường Trị An có hiện trạng là đường
P=1733 | X=0109.970-0213.080 | Y=0554.810-0566.050 | nhựa, bê tông xi măng:
P=1733 | X=0094.340-0105.460 | Y=0562.690-0572.010 | 56
P=1733 | X=0383.900-0400.540 | Y=0562.690-0572.010 | 600
P=1733 | X=0447.050-0463.690 | Y=0562.690-0572.010 | 420
P=1733 | X=0505.630-0522.270 | Y=0562.690-0572.010 | 360
P=1733 | X=0109.970-0351.080 | Y=0572.330-0583.570 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1733 | X=0109.970-0152.110 | Y=0585.730-0595.050 | >1.000m.
P=1733 | X=0109.970-0333.610 | Y=0601.370-0612.610 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1733 | X=0109.970-0184.610 | Y=0619.150-0630.390 | Đường Nhà máy
P=1733 | X=0268.180-0326.760 | Y=0621.030-0630.350 | Hết Nhà máy
P=1733 | X=0195.430-0265.630 | Y=0624.910-0636.150 | Đường tỉnh 768
P=1733 | X=0094.340-0105.460 | Y=0626.790-0636.110 | 57
P=1733 | X=0375.740-0400.790 | Y=0626.790-0636.110 | 2.300
P=1733 | X=0438.890-0463.940 | Y=0626.790-0636.110 | 1.600
P=1733 | X=0497.470-0522.520 | Y=0626.790-0636.110 | 1.400
P=1733 | X=0109.970-0169.570 | Y=0630.670-0641.910 | đường Trị An
P=1733 | X=0268.180-0327.800 | Y=0630.670-0641.910 | đường Trị An
P=1733 | X=0109.970-0324.200 | Y=0648.430-0659.670 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1733 | X=0109.970-0337.400 | Y=0659.950-0671.190 | Đường Nhà máy đường Trị An đoạn từ Đường tỉnh
P=1733 | X=0094.340-0340.990 | Y=0671.470-0685.550 | 58 768 đến Hết Nhà máy đường Trị An có hiện trạng là
P=1733 | X=0375.740-0400.790 | Y=0676.230-0685.550 | 1.200
P=1733 | X=0447.050-0463.690 | Y=0676.230-0685.550 | 840
P=1733 | X=0505.630-0522.270 | Y=0676.230-0685.550 | 720
P=1733 | X=0109.970-0245.740 | Y=0682.750-0693.990 | đường nhựa, bê tông xi măng:
P=1733 | X=0109.970-0341.050 | Y=0700.290-0711.530 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1734 | X=0109.970-0351.080 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1734 | X=0109.970-0143.490 | Y=0090.020-0101.260 | ≤500m.
P=1734 | X=0109.970-0324.200 | Y=0107.780-0119.020 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1734 | X=0109.970-0337.400 | Y=0119.330-0130.570 | Đường Nhà máy đường Trị An đoạn từ Đường tỉnh
P=1734 | X=0109.970-0340.990 | Y=0130.850-0142.090 | 768 đến Hết Nhà máy đường Trị An có hiện trạng là
P=1734 | X=0109.970-0245.740 | Y=0142.370-0153.610 | đường nhựa, bê tông xi măng:
P=1734 | X=0094.340-0341.520 | Y=0158.890-0170.890 | 59 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1734 | X=0383.900-0400.540 | Y=0158.890-0168.210 | 720
P=1734 | X=0447.050-0463.690 | Y=0158.890-0168.210 | 500
P=1734 | X=0505.630-0522.270 | Y=0158.890-0168.210 | 430
P=1734 | X=0109.970-0351.080 | Y=0177.170-0188.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1734 | X=0109.970-0217.180 | Y=0188.690-0199.930 | từ >500m đến ≤1.000m.
P=1734 | X=0109.970-0333.140 | Y=0206.230-0217.470 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1734 | X=0109.970-0324.200 | Y=0223.990-0235.230 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1734 | X=0109.970-0337.400 | Y=0235.510-0246.750 | Đường Nhà máy đường Trị An đoạn từ Đường tỉnh
P=1734 | X=0109.970-0340.990 | Y=0247.030-0258.270 | 768 đến Hết Nhà máy đường Trị An có hiện trạng là
P=1734 | X=0109.970-0245.750 | Y=0258.550-0269.790 | đường nhựa, bê tông xi măng:
P=1734 | X=0094.340-0105.460 | Y=0266.430-0275.750 | 60
P=1734 | X=0383.900-0400.540 | Y=0266.430-0275.750 | 650
P=1734 | X=0447.050-0463.690 | Y=0266.430-0275.750 | 460
P=1734 | X=0505.630-0522.270 | Y=0266.430-0275.750 | 390
P=1734 | X=0109.970-0351.080 | Y=0276.070-0287.310 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1734 | X=0109.970-0152.130 | Y=0289.500-0298.820 | >1.000m.
P=1734 | X=0109.970-0333.610 | Y=0305.140-0316.380 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1734 | X=0109.970-0342.680 | Y=0322.900-0334.140 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1734 | X=0109.970-0336.870 | Y=0334.420-0345.660 | và thông ra Đường Nhà máy đường Trị An đoạn từ
P=1734 | X=0109.970-0336.430 | Y=0345.700-0356.940 | Đường tỉnh 768 đến Hết Nhà máy đường Trị An có
P=1734 | X=0109.970-0303.620 | Y=0357.220-0368.460 | hiện trạng là đường nhựa, bê tông xi măng:
P=1734 | X=0094.340-0105.460 | Y=0365.100-0374.420 | 61
P=1734 | X=0375.740-0400.790 | Y=0365.100-0374.420 | 1.100
P=1734 | X=0447.050-0463.690 | Y=0365.100-0374.420 | 770
P=1734 | X=0505.630-0522.270 | Y=0365.100-0374.420 | 660
P=1734 | X=0109.970-0341.080 | Y=0374.760-0386.000 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1734 | X=0109.970-0351.080 | Y=0392.280-0403.520 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1734 | X=0109.970-0143.490 | Y=0403.800-0415.040 | ≤500m.
P=1734 | X=0109.970-0342.680 | Y=0421.560-0432.800 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1734 | X=0109.970-0336.870 | Y=0433.080-0444.320 | và thông ra Đường Nhà máy đường Trị An đoạn từ
P=1734 | X=0109.970-0336.430 | Y=0444.600-0455.840 | Đường tỉnh 768 đến Hết Nhà máy đường Trị An có
P=1734 | X=0109.970-0303.580 | Y=0456.140-0467.380 | hiện trạng là đường nhựa, bê tông xi măng:
P=1734 | X=0094.340-0341.520 | Y=0472.660-0484.900 | 62 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1734 | X=0383.900-0400.540 | Y=0472.660-0481.980 | 650
P=1734 | X=0447.050-0463.690 | Y=0472.660-0481.980 | 460
P=1734 | X=0505.630-0522.270 | Y=0472.660-0481.980 | 390
P=1734 | X=0109.970-0351.080 | Y=0491.180-0502.420 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1734 | X=0109.970-0217.190 | Y=0502.460-0513.700 | từ >500m đến ≤1.000m.
P=1734 | X=0109.970-0333.140 | Y=0519.980-0531.220 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1734 | X=0109.970-0342.680 | Y=0537.770-0549.010 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1734 | X=0109.970-0336.870 | Y=0549.290-0560.530 | và thông ra Đường Nhà máy đường Trị An đoạn từ
P=1734 | X=0109.970-0336.430 | Y=0560.810-0572.050 | Đường tỉnh 768 đến Hết Nhà máy đường Trị An có
P=1734 | X=0109.970-0303.580 | Y=0572.330-0583.570 | hiện trạng là đường nhựa, bê tông xi măng:
P=1734 | X=0094.340-0105.460 | Y=0580.210-0589.530 | 63
P=1734 | X=0383.900-0400.540 | Y=0580.210-0589.530 | 590
P=1734 | X=0447.050-0463.690 | Y=0580.210-0589.530 | 410
P=1734 | X=0505.630-0522.270 | Y=0580.210-0589.530 | 350
P=1734 | X=0109.970-0351.080 | Y=0589.850-0601.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1734 | X=0109.970-0152.130 | Y=0603.250-0612.570 | >1.000m.
P=1734 | X=0109.970-0333.610 | Y=0618.910-0630.150 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1734 | X=0094.340-0183.010 | Y=0636.670-0647.910 | 64 Đường Bến Phà
P=1734 | X=0195.430-0329.720 | Y=0636.670-0647.910 | Đường tỉnh 768 Bến đò Trị An
P=1734 | X=0375.740-0400.790 | Y=0638.550-0647.870 | 1.900
P=1734 | X=0438.890-0463.940 | Y=0638.550-0647.870 | 1.300
P=1734 | X=0497.470-0522.520 | Y=0638.550-0647.870 | 1.100
P=1734 | X=0109.970-0324.200 | Y=0654.430-0665.670 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1734 | X=0109.970-0347.010 | Y=0665.950-0677.190 | Đường Bến Phà đoạn từ Đường tỉnh 768 đến Bến đò
P=1734 | X=0094.340-0346.330 | Y=0676.470-0688.710 | 65 Trị An có hiện trạng là đường nhựa, bê tông xi măng:
P=1734 | X=0383.900-0400.540 | Y=0676.470-0685.790 | 680
P=1734 | X=0447.050-0463.690 | Y=0676.470-0685.790 | 480
P=1734 | X=0505.630-0522.270 | Y=0676.470-0685.790 | 410
P=1734 | X=0109.970-0341.050 | Y=0694.750-0705.990 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1735 | X=0109.970-0351.080 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1735 | X=0109.970-0143.490 | Y=0090.020-0101.260 | ≤500m.
P=1735 | X=0109.970-0324.200 | Y=0107.780-0119.020 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1735 | X=0109.970-0347.010 | Y=0119.330-0130.570 | Đường Bến Phà đoạn từ Đường tỉnh 768 đến Bến đò
P=1735 | X=0109.970-0346.340 | Y=0130.850-0142.090 | Trị An có hiện trạng là đường nhựa, bê tông xi măng:
P=1735 | X=0094.340-0341.520 | Y=0148.370-0162.450 | 66 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1735 | X=0383.900-0400.540 | Y=0153.130-0162.450 | 610
P=1735 | X=0447.050-0463.690 | Y=0153.130-0162.450 | 430
P=1735 | X=0505.630-0522.270 | Y=0153.130-0162.450 | 370
P=1735 | X=0109.970-0351.080 | Y=0165.650-0176.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1735 | X=0109.970-0217.180 | Y=0177.170-0188.410 | từ >500m đến ≤1.000m.
P=1735 | X=0109.970-0333.140 | Y=0194.690-0205.930 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1735 | X=0109.970-0324.200 | Y=0212.470-0223.710 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1735 | X=0109.970-0347.010 | Y=0223.990-0235.230 | Đường Bến Phà đoạn từ Đường tỉnh 768 đến Bến đò
P=1735 | X=0109.970-0346.350 | Y=0235.510-0246.750 | Trị An có hiện trạng là đường nhựa, bê tông xi măng:
P=1735 | X=0094.340-0105.460 | Y=0249.150-0258.470 | 67
P=1735 | X=0383.900-0400.540 | Y=0249.150-0258.470 | 540
P=1735 | X=0447.050-0463.690 | Y=0249.150-0258.470 | 380
P=1735 | X=0505.630-0522.270 | Y=0249.150-0258.470 | 320
P=1735 | X=0109.970-0351.080 | Y=0253.030-0264.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1735 | X=0109.970-0152.110 | Y=0266.430-0275.750 | >1.000m.
P=1735 | X=0109.970-0333.610 | Y=0282.100-0293.340 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1735 | X=0109.970-0342.680 | Y=0299.860-0311.100 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1735 | X=0109.970-0345.810 | Y=0311.380-0322.620 | và thông ra Đường Bến Phà đoạn từ Đường tỉnh 768
P=1735 | X=0109.970-0337.640 | Y=0322.900-0334.140 | đến Bến đò Trị An có hiện trạng là đường nhựa, bê
P=1735 | X=0109.970-0170.130 | Y=0334.420-0345.660 | tông xi măng:
P=1735 | X=0094.340-0105.460 | Y=0342.300-0351.620 | 68
P=1735 | X=0383.900-0400.540 | Y=0342.300-0351.620 | 610
P=1735 | X=0447.050-0463.690 | Y=0342.300-0351.620 | 430
P=1735 | X=0505.630-0522.270 | Y=0342.300-0351.620 | 370
P=1735 | X=0109.970-0341.050 | Y=0351.700-0362.940 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1735 | X=0109.970-0351.080 | Y=0369.240-0380.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1735 | X=0109.970-0143.490 | Y=0380.760-0392.000 | ≤500m.
P=1735 | X=0109.970-0342.680 | Y=0398.520-0409.760 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1735 | X=0109.970-0345.810 | Y=0410.040-0421.280 | và thông ra Đường Bến Phà đoạn từ Đường tỉnh 768
P=1735 | X=0109.970-0337.640 | Y=0421.560-0432.800 | đến Bến đò Trị An có hiện trạng là đường nhựa, bê
P=1735 | X=0109.970-0170.130 | Y=0433.080-0444.320 | tông xi măng:
P=1735 | X=0094.340-0341.520 | Y=0449.600-0461.860 | 69 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1735 | X=0383.900-0400.540 | Y=0449.600-0458.920 | 550
P=1735 | X=0447.050-0463.690 | Y=0449.600-0458.920 | 390
P=1735 | X=0505.630-0522.270 | Y=0449.600-0458.920 | 330
P=1735 | X=0109.970-0351.080 | Y=0468.140-0479.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1735 | X=0109.970-0217.180 | Y=0479.660-0490.900 | từ >500m đến ≤1.000m.
P=1735 | X=0109.970-0333.170 | Y=0497.180-0508.420 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1735 | X=0109.970-0342.680 | Y=0514.940-0526.180 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1735 | X=0109.970-0345.810 | Y=0526.220-0537.460 | và thông ra Đường Bến Phà đoạn từ Đường tỉnh 768
P=1735 | X=0109.970-0337.640 | Y=0537.770-0549.010 | đến Bến đò Trị An có hiện trạng là đường nhựa, bê
P=1735 | X=0109.970-0170.130 | Y=0549.290-0560.530 | tông xi măng:
P=1735 | X=0094.340-0105.460 | Y=0557.170-0566.490 | 70
P=1735 | X=0383.900-0400.540 | Y=0557.170-0566.490 | 490
P=1735 | X=0447.050-0463.690 | Y=0557.170-0566.490 | 340
P=1735 | X=0505.630-0522.270 | Y=0557.170-0566.490 | 290
P=1735 | X=0109.970-0351.080 | Y=0566.810-0578.050 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1735 | X=0109.970-0152.110 | Y=0580.210-0589.530 | >1.000m.
P=1735 | X=0109.970-0333.610 | Y=0595.850-0607.090 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1735 | X=0268.180-0346.850 | Y=0613.610-0624.850 | Hết ranh thửa đất
P=1735 | X=0268.180-0341.250 | Y=0625.150-0636.390 | số 19, tờ bản đồ
P=1735 | X=0268.180-0331.160 | Y=0638.550-0647.870 | số 242 về bên
P=1735 | X=0195.430-0247.860 | Y=0648.190-0659.430 | Đường Bến
P=1735 | X=0268.180-0340.040 | Y=0650.070-0659.390 | phải và hết ranh
P=1735 | X=0094.340-0183.500 | Y=0653.950-0665.190 | 71 Đường Hàng Ba
P=1735 | X=0375.740-0400.790 | Y=0655.830-0665.150 | 1.800
P=1735 | X=0438.890-0463.940 | Y=0655.830-0665.150 | 1.300
P=1735 | X=0497.470-0522.520 | Y=0655.830-0665.150 | 1.100
P=1735 | X=0268.180-0347.770 | Y=0659.710-0670.950 | thửa đất số 30, tờ
P=1735 | X=0195.430-0213.270 | Y=0661.590-0670.910 | Phà
P=1735 | X=0268.180-0345.080 | Y=0671.230-0682.470 | bản đồ số 241 về
P=1735 | X=0268.180-0349.160 | Y=0682.510-0693.750 | bên trái, BĐĐC xã
P=1735 | X=0268.180-0295.140 | Y=0695.910-0705.230 | Trị An
P=1736 | X=0109.970-0324.200 | Y=0078.500-0089.740 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1736 | X=0109.970-0334.130 | Y=0090.020-0101.260 | Đường Hàng Ba đoạn từ Đường Bến Phà đến Hết
P=1736 | X=0109.970-0346.510 | Y=0101.540-0112.780 | ranh thửa đất số 19, tờ bản đồ số 242 về bên phải và
P=1736 | X=0109.970-0347.560 | Y=0113.060-0124.300 | hết ranh thửa đất số 30, từ bản đồ số 241 về bên trái,
P=1736 | X=0109.970-0350.360 | Y=0124.610-0135.850 | BĐĐC xã Trị An có hiện trạng là đường nhựa, bê tông
P=1736 | X=0094.340-0105.460 | Y=0132.490-0141.810 | 72
P=1736 | X=0383.900-0400.540 | Y=0132.490-0141.810 | 810
P=1736 | X=0447.050-0463.690 | Y=0132.490-0141.810 | 570
P=1736 | X=0505.630-0522.270 | Y=0132.490-0141.810 | 490
P=1736 | X=0109.970-0147.800 | Y=0136.130-0147.370 | xi măng:
P=1736 | X=0109.970-0341.050 | Y=0153.410-0164.650 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1736 | X=0109.970-0351.080 | Y=0170.930-0182.170 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1736 | X=0109.970-0143.490 | Y=0182.450-0193.690 | ≤500m.
P=1736 | X=0109.970-0324.200 | Y=0200.230-0211.470 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1736 | X=0109.970-0334.130 | Y=0211.750-0222.990 | Đường Hàng Ba đoạn từ Đường Bến Phà đến Hết
P=1736 | X=0109.970-0346.510 | Y=0223.270-0234.510 | ranh thửa đất số 19, tờ bản đồ số 242 về bên phải và
P=1736 | X=0109.970-0347.540 | Y=0234.790-0246.030 | hết ranh thửa đất số 30, tờ bản đồ số 241 về bên trái,
P=1736 | X=0109.970-0350.360 | Y=0246.310-0257.550 | BĐĐC xã Trị An có hiện trạng là đường nhựa, bê tông
P=1736 | X=0094.340-0147.800 | Y=0257.830-0272.150 | 73 xi măng:
P=1736 | X=0383.900-0400.540 | Y=0262.830-0272.150 | 680
P=1736 | X=0447.050-0463.690 | Y=0262.830-0272.150 | 480
P=1736 | X=0505.630-0522.270 | Y=0262.830-0272.150 | 410
P=1736 | X=0109.970-0341.520 | Y=0275.350-0286.590 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1736 | X=0109.970-0351.080 | Y=0292.900-0304.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1736 | X=0109.970-0217.180 | Y=0304.420-0315.660 | từ >500m đến ≤1.000m.
P=1736 | X=0109.970-0333.140 | Y=0321.700-0332.940 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1736 | X=0109.970-0324.200 | Y=0339.460-0350.700 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1736 | X=0109.970-0334.130 | Y=0350.980-0362.220 | Đường Hàng Ba đoạn từ Đường Bến Phà đến Hết
P=1736 | X=0109.970-0346.510 | Y=0362.500-0373.740 | ranh thửa đất số 19, tờ bản đồ số 242 về bên phải và
P=1736 | X=0109.970-0347.540 | Y=0374.040-0385.280 | hết ranh thửa đất số 30, tờ bản đồ số 241 về bên trái,
P=1736 | X=0109.970-0350.360 | Y=0385.560-0396.800 | BĐĐC xã Trị An có hiện trạng là đường nhựa, bê tông
P=1736 | X=0094.340-0105.460 | Y=0393.440-0402.760 | 74
P=1736 | X=0383.900-0400.540 | Y=0393.440-0402.760 | 610
P=1736 | X=0447.050-0463.690 | Y=0393.440-0402.760 | 430
P=1736 | X=0505.630-0522.270 | Y=0393.440-0402.760 | 370
P=1736 | X=0109.970-0147.800 | Y=0397.080-0408.320 | xi măng:
P=1736 | X=0109.970-0351.080 | Y=0414.600-0425.840 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1736 | X=0109.970-0152.110 | Y=0428.000-0437.320 | >1.000m.
P=1736 | X=0109.970-0333.610 | Y=0443.640-0454.880 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1736 | X=0109.970-0342.680 | Y=0461.420-0472.660 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1736 | X=0109.970-0349.160 | Y=0472.940-0484.180 | và thông ra Đường Hàng Ba đoạn từ Đường Bến Phà
P=1736 | X=0109.970-0349.160 | Y=0484.220-0495.460 | đến Hết ranh thửa đất số 19, tờ bản đồ số 242 về bên
P=1736 | X=0109.970-0343.640 | Y=0495.740-0506.980 | phải và hết ranh thửa đất số 30, tờ bản đồ số 241 về
P=1736 | X=0109.970-0324.200 | Y=0507.260-0518.500 | bên trái, BĐĐC xã Trị An có hiện trạng là đường
P=1736 | X=0094.340-0105.460 | Y=0515.140-0524.460 | 75
P=1736 | X=0383.900-0400.540 | Y=0515.140-0524.460 | 730
P=1736 | X=0447.050-0463.690 | Y=0515.140-0524.460 | 510
P=1736 | X=0505.630-0522.270 | Y=0515.140-0524.460 | 440
P=1736 | X=0109.970-0213.080 | Y=0518.780-0530.020 | nhựa, bê tông xi măng:
P=1736 | X=0109.970-0341.080 | Y=0536.330-0547.570 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1736 | X=0109.970-0351.080 | Y=0553.850-0565.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1736 | X=0109.970-0143.490 | Y=0565.370-0576.610 | ≤500m.
P=1736 | X=0109.970-0342.680 | Y=0583.130-0594.370 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1736 | X=0109.970-0349.160 | Y=0594.650-0605.890 | và thông ra Đường Hàng Ba đoạn từ Đường Bến Phà
P=1736 | X=0109.970-0349.160 | Y=0606.170-0617.410 | đến Hết ranh thửa đất số 19, tờ bản đồ số 242 về bên
P=1736 | X=0109.970-0343.640 | Y=0617.710-0628.950 | phải và hết ranh thửa đất số 30, tờ bản đồ số 241 về
P=1736 | X=0109.970-0324.200 | Y=0629.230-0640.470 | bên trái, BĐĐC xã Trị An có hiện trạng là đường
P=1736 | X=0094.340-0213.080 | Y=0640.510-0655.070 | 76 nhựa, bê tông xi măng:
P=1736 | X=0383.900-0400.540 | Y=0645.750-0655.070 | 610
P=1736 | X=0447.050-0463.690 | Y=0645.750-0655.070 | 430
P=1736 | X=0505.630-0522.270 | Y=0645.750-0655.070 | 370
P=1736 | X=0109.970-0341.560 | Y=0658.030-0669.270 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1736 | X=0109.970-0352.050 | Y=0675.550-0686.790 | - Cứ bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1736 | X=0109.970-0217.180 | Y=0687.070-0698.310 | từ >500m đến ≤1.000m.
P=1736 | X=0109.970-0333.140 | Y=0704.610-0715.850 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1737 | X=0109.970-0342.680 | Y=0078.500-0089.740 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1737 | X=0109.970-0349.160 | Y=0090.020-0101.260 | và thông ra Đường Hàng Ba đoạn từ Đường Bến Phà
P=1737 | X=0109.970-0349.160 | Y=0101.540-0112.780 | đến Hết ranh thửa đất số 19, tờ bản đồ số 242 về bên
P=1737 | X=0109.970-0343.640 | Y=0113.060-0124.300 | phải và hết ranh thửa đất số 30, tờ bản đồ số 241 về
P=1737 | X=0109.970-0324.200 | Y=0124.610-0135.850 | bên trái, BĐĐC xã Trị An có hiện trạng là đường
P=1737 | X=0094.340-0105.460 | Y=0132.490-0141.810 | 77
P=1737 | X=0383.900-0400.540 | Y=0132.490-0141.810 | 550
P=1737 | X=0447.050-0463.690 | Y=0132.490-0141.810 | 390
P=1737 | X=0505.630-0522.270 | Y=0132.490-0141.810 | 330
P=1737 | X=0109.970-0213.080 | Y=0136.130-0147.370 | nhựa, bê tông xi măng:
P=1737 | X=0109.970-0351.080 | Y=0153.410-0164.650 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1737 | X=0109.970-0152.130 | Y=0166.810-0176.130 | >1.000m.
P=1737 | X=0109.970-0333.610 | Y=0182.450-0193.690 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1737 | X=0268.180-0328.280 | Y=0202.110-0211.430 | Chân dốc lớn
P=1737 | X=0195.430-0247.330 | Y=0207.870-0217.190 | Cầu Bà Giá
P=1737 | X=0094.340-0180.140 | Y=0211.750-0222.990 | 78 Đường tỉnh 768
P=1737 | X=0268.180-0348.360 | Y=0211.750-0222.990 | (cống thoát nước)
P=1737 | X=0375.740-0400.790 | Y=0213.630-0222.950 | 2.100
P=1737 | X=0438.890-0463.940 | Y=0213.630-0222.950 | 1.500
P=1737 | X=0497.470-0522.520 | Y=0213.630-0222.950 | 1.300
P=1737 | X=0195.430-0232.150 | Y=0219.390-0228.710 | (cầu 19)
P=1737 | X=0268.180-0308.600 | Y=0225.150-0234.470 | xã Trị An
P=1737 | X=0109.970-0324.200 | Y=0241.030-0252.270 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1737 | X=0109.970-0330.920 | Y=0252.550-0263.790 | Đường tỉnh 768 đoạn từ Cầu Ba Giá (cầu 19) đến
