TABLE=032 | AREA=Xã Xuân Đường | SECTION=non-agricultural | SEGMENTS=1
P=1136 | X=0108.290-0136.290 | Y=0688.750-0699.990 | măng:
P=1136 | X=0108.290-0349.380 | Y=0706.290-0717.530 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1137 | X=0108.290-0150.430 | Y=0074.380-0083.700 | >1.000m.
P=1137 | X=0108.290-0331.930 | Y=0090.020-0101.260 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1137 | X=0108.290-0381.800 | Y=0107.780-0119.020 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1137 | X=0108.290-0363.300 | Y=0119.330-0130.570 | ra Đường Hương lộ 10 xây dựng mới tránh sân bay Long
P=1137 | X=0108.290-0369.580 | Y=0130.850-0142.090 | Thành, đoạn thuộc xã Xuân Đường có hiện trạng là đường
P=1137 | X=0093.380-0211.400 | Y=0142.370-0153.810 | 26 nhựa, bê tông xi măng:
P=1137 | X=0405.260-0430.310 | Y=0144.490-0153.810 | 2.600
P=1137 | X=0453.290-0478.340 | Y=0144.490-0153.810 | 1.800
P=1137 | X=0497.230-0522.280 | Y=0144.490-0153.810 | 1.600
P=1137 | X=0108.290-0339.370 | Y=0159.650-0170.890 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1137 | X=0108.290-0385.460 | Y=0177.170-0188.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1137 | X=0108.290-0381.800 | Y=0194.930-0206.170 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1137 | X=0108.290-0363.300 | Y=0206.470-0217.710 | ra Đường Hương lộ 10 xây dựng mới tránh sân bay Long
P=1137 | X=0108.290-0369.580 | Y=0217.990-0229.230 | Thành, đoạn thuộc xã Xuân Đường có hiện trạng là đường
P=1137 | X=0108.290-0211.400 | Y=0229.510-0240.750 | nhựa, bê tông xi măng:
P=1137 | X=0093.380-0339.840 | Y=0246.270-0258.270 | 27 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1137 | X=0405.260-0430.310 | Y=0246.270-0255.590 | 1.900
P=1137 | X=0453.290-0478.340 | Y=0246.270-0255.590 | 1.300
P=1137 | X=0497.230-0522.280 | Y=0246.270-0255.590 | 1.100
P=1137 | X=0108.290-0361.600 | Y=0264.550-0275.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1137 | X=0108.290-0203.240 | Y=0276.070-0287.310 | >500m đến ≤1.000m.
P=1137 | X=0108.290-0331.460 | Y=0293.620-0304.860 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1137 | X=0108.290-0381.800 | Y=0311.380-0322.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1137 | X=0108.290-0363.300 | Y=0322.900-0334.140 | ra Đường Hương lộ 10 xây dựng mới tránh sân bay Long
P=1137 | X=0108.290-0369.580 | Y=0334.420-0345.660 | Thành, đoạn thuộc xã Xuân Đường có hiện trạng là đường
P=1137 | X=0108.290-0211.400 | Y=0345.700-0356.940 | nhựa, bê tông xi măng:
P=1137 | X=0093.380-0104.500 | Y=0353.580-0362.900 | 28
P=1137 | X=0405.260-0430.310 | Y=0353.580-0362.900 | 1.400
P=1137 | X=0461.690-0478.330 | Y=0353.580-0362.900 | 980
P=1137 | X=0505.630-0522.270 | Y=0353.580-0362.900 | 840
P=1137 | X=0108.290-0349.380 | Y=0363.220-0374.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1137 | X=0108.290-0150.430 | Y=0376.640-0385.960 | >1.000m.
P=1137 | X=0108.290-0331.930 | Y=0392.280-0403.520 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1137 | X=0108.290-0277.610 | Y=0410.040-0421.280 | Đường Sông Nhạn - Dầu Ranh giới xã
P=1137 | X=0301.800-0371.970 | Y=0415.800-0427.040 | Đường tỉnh 773
P=1137 | X=0093.380-0104.500 | Y=0417.680-0427.000 | 29
P=1137 | X=0405.260-0430.310 | Y=0417.680-0427.000 | 2.100
P=1137 | X=0453.290-0478.340 | Y=0417.680-0427.000 | 1.500
P=1137 | X=0497.230-0522.280 | Y=0417.680-0427.000 | 1.300
P=1137 | X=0220.630-0278.350 | Y=0421.560-0432.800 | Xuân Đường
P=1137 | X=0108.290-0129.160 | Y=0423.440-0432.760 | Giây
P=1137 | X=0108.290-0382.770 | Y=0439.320-0450.560 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Sông
P=1137 | X=0108.290-0359.480 | Y=0450.860-0462.100 | Nhạn - Dầu Giây đoạn từ Ranh giới xã Xuân Đường đến
P=1137 | X=0108.290-0387.870 | Y=0462.380-0473.620 | Đường tỉnh 773 có hiện trạng là đường nhựa, bê tông xi măng:
P=1137 | X=0093.380-0104.500 | Y=0470.260-0479.580 | 30
P=1137 | X=0405.260-0430.310 | Y=0470.260-0479.580 | 1.100
P=1137 | X=0461.690-0478.330 | Y=0470.260-0479.580 | 770
P=1137 | X=0505.630-0522.270 | Y=0470.260-0479.580 | 660
P=1137 | X=0108.290-0339.370 | Y=0479.900-0491.140 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1137 | X=0108.290-0385.460 | Y=0497.420-0508.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1137 | X=0108.290-0382.770 | Y=0515.180-0526.420 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Sông
P=1137 | X=0108.290-0359.480 | Y=0526.460-0537.700 | Nhạn - Dầu Giây đoạn từ Ranh giới xã Xuân Đường đến
P=1137 | X=0108.290-0387.870 | Y=0538.010-0549.250 | Đường tỉnh 773 có hiện trạng là đường nhựa, bê tông xi măng:
P=1137 | X=0093.380-0339.840 | Y=0555.530-0569.850 | 31 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1137 | X=0413.660-0430.300 | Y=0560.530-0569.850 | 840
P=1137 | X=0461.690-0478.330 | Y=0560.530-0569.850 | 590
P=1137 | X=0505.630-0522.270 | Y=0560.530-0569.850 | 500
P=1137 | X=0108.290-0361.600 | Y=0573.050-0584.290 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1137 | X=0108.290-0203.240 | Y=0584.570-0595.810 | >500m đến ≤1.000m.
P=1137 | X=0108.290-0331.460 | Y=0602.090-0613.330 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1137 | X=0108.290-0382.770 | Y=0619.870-0631.110 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Sông
P=1137 | X=0108.290-0359.480 | Y=0631.390-0642.630 | Nhạn - Dầu Giây đoạn từ Ranh giới xã Xuân Đường đến
P=1137 | X=0108.290-0387.870 | Y=0642.910-0654.150 | Đường tỉnh 773 có hiện trạng là đường nhựa, bê tông xi măng:
P=1137 | X=0093.380-0104.500 | Y=0656.550-0665.870 | 32
P=1137 | X=0413.660-0430.300 | Y=0656.550-0665.870 | 640
P=1137 | X=0461.690-0478.330 | Y=0656.550-0665.870 | 450
P=1137 | X=0505.630-0522.270 | Y=0656.550-0665.870 | 380
P=1137 | X=0108.290-0349.380 | Y=0660.430-0671.670 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1137 | X=0108.290-0150.430 | Y=0673.830-0683.150 | >1.000m.
P=1137 | X=0108.290-0331.930 | Y=0689.470-0700.710 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1137 | X=0093.380-0381.800 | Y=0707.250-0718.490 | 33 Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1137 | X=0413.660-0430.300 | Y=0709.140-0718.460 | 990
P=1137 | X=0461.690-0478.330 | Y=0709.140-0718.460 | 690
P=1137 | X=0505.630-0522.270 | Y=0709.140-0718.460 | 590
P=1138 | X=0108.290-0377.710 | Y=0072.500-0083.740 | ra Đường Sông Nhạn - Dầu Giây đoạn từ Ranh giới xã Xuân
P=1138 | X=0108.290-0378.940 | Y=0084.020-0095.260 | Đường đến Đường tỉnh 773 có hiện trạng là đường nhựa, bê
P=1138 | X=0108.290-0168.450 | Y=0095.540-0106.780 | tông xi măng:
P=1138 | X=0108.290-0339.370 | Y=0113.060-0124.300 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1138 | X=0108.290-0385.460 | Y=0130.610-0141.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1138 | X=0108.290-0381.800 | Y=0148.370-0159.610 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1138 | X=0108.290-0377.710 | Y=0159.650-0170.890 | ra Đường Sông Nhạn - Dầu Giây đoạn từ Ranh giới xã Xuân
P=1138 | X=0108.290-0378.940 | Y=0171.170-0182.410 | Đường đến Đường tỉnh 773 có hiện trạng là đường nhựa, bê
P=1138 | X=0108.290-0168.450 | Y=0182.690-0193.930 | tông xi măng:
P=1138 | X=0093.380-0339.840 | Y=0199.470-0211.470 | 34 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1138 | X=0413.660-0430.300 | Y=0199.470-0208.790 | 760
P=1138 | X=0461.690-0478.330 | Y=0199.470-0208.790 | 530
P=1138 | X=0505.630-0522.270 | Y=0199.470-0208.790 | 460
P=1138 | X=0108.290-0361.600 | Y=0217.750-0228.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1138 | X=0108.290-0203.240 | Y=0229.270-0240.510 | >500m đến ≤1.000m.
P=1138 | X=0108.290-0331.460 | Y=0246.790-0258.030 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1138 | X=0108.290-0381.800 | Y=0264.550-0275.790 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1138 | X=0108.290-0377.710 | Y=0276.070-0287.310 | ra Đường Sông Nhạn - Dầu Giây đoạn từ Ranh giới xã Xuân
P=1138 | X=0108.290-0378.940 | Y=0287.620-0298.860 | Đường đến Đường tỉnh 773 có hiện trạng là đường nhựa, bê
P=1138 | X=0108.290-0168.450 | Y=0299.140-0310.380 | tông xi măng:
P=1138 | X=0093.380-0104.500 | Y=0307.020-0316.340 | 35
P=1138 | X=0413.660-0430.300 | Y=0307.020-0316.340 | 580
P=1138 | X=0461.690-0478.330 | Y=0307.020-0316.340 | 410
P=1138 | X=0505.630-0522.270 | Y=0307.020-0316.340 | 350
P=1138 | X=0108.290-0349.380 | Y=0316.660-0327.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1138 | X=0108.290-0150.430 | Y=0329.820-0339.140 | >1.000m.
P=1138 | X=0108.290-0331.930 | Y=0345.460-0356.700 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1138 | X=0301.800-0380.470 | Y=0363.220-0374.460 | Hết ranh thửa đất
P=1138 | X=0301.800-0385.670 | Y=0374.760-0386.000 | số 30, tờ BĐĐC số
P=1138 | X=0108.290-0202.460 | Y=0386.280-0397.520 | Đường vào khu công
P=1138 | X=0301.800-0376.030 | Y=0388.160-0397.480 | 38 về bên trái và
P=1138 | X=0220.630-0290.830 | Y=0397.800-0409.040 | Đường tỉnh 773
P=1138 | X=0301.800-0378.790 | Y=0397.800-0409.040 | hết ranh thửa đất
P=1138 | X=0093.380-0198.870 | Y=0399.680-0409.000 | 36 nghệ cao công nghệ
P=1138 | X=0405.260-0430.310 | Y=0399.680-0409.000 | 1.900
P=1138 | X=0453.290-0478.340 | Y=0399.680-0409.000 | 1.300
P=1138 | X=0497.230-0522.280 | Y=0399.680-0409.000 | 1.100
P=1138 | X=0301.800-0385.670 | Y=0409.320-0420.560 | số 31, tờ BĐĐC số
P=1138 | X=0108.290-0147.410 | Y=0411.200-0420.520 | Sinh học
P=1138 | X=0301.800-0383.730 | Y=0422.720-0432.040 | 37 về bên phải, xã
P=1138 | X=0301.800-0359.490 | Y=0432.360-0443.600 | Xuân Đường
P=1138 | X=0108.290-0375.810 | Y=0450.140-0461.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào
P=1138 | X=0108.290-0374.870 | Y=0461.660-0472.900 | khu công nghệ cao công nghệ Sinh học đoạn từ Đường tỉnh
P=1138 | X=0108.290-0389.230 | Y=0473.180-0484.420 | 773 đến Hết ranh thửa đất số 30, tờ BĐĐC số 38 về bên trái và
P=1138 | X=0108.290-0382.030 | Y=0484.460-0495.700 | hết ranh thửa đất số 31, tờ BĐĐC số 37 về bên phải, xã Xuân
P=1138 | X=0093.380-0104.500 | Y=0492.340-0501.660 | 37
P=1138 | X=0413.660-0430.300 | Y=0492.340-0501.660 | 940
P=1138 | X=0461.690-0478.330 | Y=0492.340-0501.660 | 660
P=1138 | X=0505.630-0522.270 | Y=0492.340-0501.660 | 560
P=1138 | X=0108.290-0349.690 | Y=0495.980-0507.220 | Đường có hiện trạng là đường nhựa, bê tông xi măng:
P=1138 | X=0108.290-0339.370 | Y=0513.500-0524.740 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1138 | X=0108.290-0385.460 | Y=0531.020-0542.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1138 | X=0108.290-0375.810 | Y=0548.810-0560.050 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào
P=1138 | X=0108.290-0374.870 | Y=0560.330-0571.570 | khu công nghệ cao công nghệ Sinh học đoạn từ Đường tỉnh
P=1138 | X=0108.290-0389.230 | Y=0571.850-0583.090 | 773 đến Hết ranh thửa đất số 30, tờ BĐĐC số 38 về bên trái và
P=1138 | X=0108.290-0382.030 | Y=0583.370-0594.610 | hết ranh thửa đất số 31, tờ BĐĐC số 37 về bên phải, xã Xuân
P=1138 | X=0108.290-0349.690 | Y=0594.890-0606.130 | Đường có hiện trạng là đường nhựa, bê tông xi măng:
P=1138 | X=0093.380-0104.500 | Y=0605.650-0614.970 | 38
P=1138 | X=0413.660-0430.300 | Y=0605.650-0614.970 | 820
P=1138 | X=0461.690-0478.330 | Y=0605.650-0614.970 | 570
P=1138 | X=0505.630-0522.270 | Y=0605.650-0614.970 | 490
P=1138 | X=0108.290-0339.840 | Y=0612.410-0623.650 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1138 | X=0108.290-0361.600 | Y=0629.950-0641.190 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1138 | X=0108.290-0203.240 | Y=0641.470-0652.710 | >500m đến ≤1.000m.
P=1138 | X=0108.290-0331.460 | Y=0658.750-0669.990 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1138 | X=0108.290-0375.810 | Y=0676.510-0687.750 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào
P=1138 | X=0093.380-0374.870 | Y=0688.030-0699.270 | 39 khu công nghệ cao công nghệ Sinh học đoạn từ Đường tỉnh
P=1138 | X=0413.660-0430.300 | Y=0689.910-0699.230 | 640
P=1138 | X=0461.690-0478.330 | Y=0689.910-0699.230 | 450
P=1138 | X=0505.630-0522.270 | Y=0689.910-0699.230 | 380
P=1138 | X=0108.290-0389.230 | Y=0699.550-0710.790 | 773 đến Hết ranh thửa đất số 30, tờ BĐĐC số 38 về bên trái và
P=1139 | X=0108.290-0382.030 | Y=0072.500-0083.740 | hết ranh thửa đất số 31, tờ BĐĐC số 37 về bên phải, xã Xuân
P=1139 | X=0108.290-0349.720 | Y=0084.020-0095.260 | Đường có hiện trạng là đường nhựa, bê tông xi măng:
P=1139 | X=0108.290-0349.380 | Y=0101.540-0112.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1139 | X=0108.290-0150.430 | Y=0114.940-0124.260 | >1.000m.
P=1139 | X=0108.290-0331.930 | Y=0130.610-0141.850 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1139 | X=0108.290-0381.800 | Y=0148.370-0159.610 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1139 | X=0108.290-0386.320 | Y=0159.650-0170.890 | ra Đường vào khu công nghệ cao công nghệ Sinh học đoạn từ
P=1139 | X=0108.290-0379.420 | Y=0171.170-0182.410 | Đường tỉnh 773 đến Hết ranh thửa đất số 30, tờ BĐĐC số 38
P=1139 | X=0108.290-0381.580 | Y=0182.690-0193.930 | về bên trái và hết ranh thửa đất số 31, tờ BĐĐC số 37 về bên
P=1139 | X=0093.380-0382.990 | Y=0194.210-0205.650 | 40 phải, xã Xuân Đường có hiện trạng là đường nhựa, bê tông xi
P=1139 | X=0413.660-0430.300 | Y=0196.330-0205.650 | 850
P=1139 | X=0461.690-0478.330 | Y=0196.330-0205.650 | 600
P=1139 | X=0505.630-0522.270 | Y=0196.330-0205.650 | 510
P=1139 | X=0108.290-0136.290 | Y=0205.750-0216.990 | măng:
P=1139 | X=0108.290-0339.370 | Y=0223.270-0234.510 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1139 | X=0108.290-0385.460 | Y=0240.790-0252.030 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1139 | X=0108.290-0381.800 | Y=0258.550-0269.790 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1139 | X=0108.290-0386.330 | Y=0270.070-0281.310 | ra Đường vào khu công nghệ cao công nghệ Sinh học đoạn từ
P=1139 | X=0108.290-0379.420 | Y=0281.620-0292.860 | Đường tỉnh 773 đến Hết ranh thửa đất số 30, tờ BĐĐC số 38
P=1139 | X=0108.290-0381.580 | Y=0293.140-0304.380 | về bên trái và hết ranh thửa đất số 31, tờ BĐĐC số 37 về bên
P=1139 | X=0108.290-0382.990 | Y=0304.660-0315.900 | phải, xã Xuân Đường có hiện trạng là đường nhựa, bê tông xi
P=1139 | X=0093.380-0136.290 | Y=0315.940-0330.500 | 41 măng:
P=1139 | X=0413.660-0430.300 | Y=0321.180-0330.500 | 740
P=1139 | X=0461.690-0478.330 | Y=0321.180-0330.500 | 520
P=1139 | X=0505.630-0522.270 | Y=0321.180-0330.500 | 440
P=1139 | X=0108.290-0339.840 | Y=0333.460-0344.700 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1139 | X=0108.290-0361.600 | Y=0350.980-0362.220 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1139 | X=0108.290-0203.240 | Y=0362.500-0373.740 | >500m đến ≤1.000m.
P=1139 | X=0108.290-0331.460 | Y=0380.040-0391.280 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1139 | X=0108.290-0381.800 | Y=0397.800-0409.040 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1139 | X=0108.290-0386.330 | Y=0409.320-0420.560 | ra Đường vào khu công nghệ cao công nghệ Sinh học đoạn từ
P=1139 | X=0108.290-0379.420 | Y=0420.840-0432.080 | Đường tỉnh 773 đến Hết ranh thửa đất số 30, tờ BĐĐC số 38
P=1139 | X=0108.290-0381.580 | Y=0432.360-0443.600 | về bên trái và hết ranh thửa đất số 31, tờ BĐĐC số 37 về bên
P=1139 | X=0108.290-0382.990 | Y=0443.880-0455.120 | phải, xã Xuân Đường có hiện trạng là đường nhựa, bê tông xi
P=1139 | X=0093.380-0104.500 | Y=0451.780-0461.100 | 42
P=1139 | X=0413.660-0430.300 | Y=0451.780-0461.100 | 580
P=1139 | X=0461.690-0478.330 | Y=0451.780-0461.100 | 410
P=1139 | X=0505.630-0522.270 | Y=0451.780-0461.100 | 350
P=1139 | X=0108.290-0136.290 | Y=0455.420-0466.660 | măng:
P=1139 | X=0108.290-0349.380 | Y=0472.940-0484.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1139 | X=0108.290-0150.430 | Y=0486.100-0495.420 | >1.000m.
P=1139 | X=0108.290-0331.930 | Y=0501.740-0512.980 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1139 | X=0301.800-0370.450 | Y=0519.500-0530.740 | Hết khu dân cư
P=1139 | X=0108.290-0206.710 | Y=0525.260-0536.500 | Đường Xuân Đường -
P=1139 | X=0220.630-0290.830 | Y=0531.020-0542.260 | Đường tỉnh 773
P=1139 | X=0301.800-0377.240 | Y=0531.020-0542.260 | hiện hữu ấp 3 xã
P=1139 | X=0093.380-0104.500 | Y=0532.900-0542.220 | 43
P=1139 | X=0405.260-0430.310 | Y=0532.900-0542.220 | 1.900
P=1139 | X=0453.290-0478.340 | Y=0532.900-0542.220 | 1.300
P=1139 | X=0497.230-0522.280 | Y=0532.900-0542.220 | 1.100
P=1139 | X=0108.290-0154.130 | Y=0536.810-0548.050 | Thừa Đức
P=1139 | X=0301.800-0359.490 | Y=0542.570-0553.810 | Xuân Đường
P=1139 | X=0108.290-0382.530 | Y=0560.330-0571.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=1139 | X=0108.290-0380.600 | Y=0571.850-0583.090 | Đường - Thừa Đức đoạn từ Đường tỉnh 773 đến Hết khu dân
P=1139 | X=0108.290-0362.360 | Y=0583.370-0594.610 | cư hiện hữu ấp 3 xã Xuân Đường có hiện trạng là đường
P=1139 | X=0093.380-0211.410 | Y=0594.890-0606.330 | 44 nhựa, bê tông xi măng:
P=1139 | X=0413.660-0430.300 | Y=0597.010-0606.330 | 940
P=1139 | X=0461.690-0478.330 | Y=0597.010-0606.330 | 660
P=1139 | X=0505.630-0522.270 | Y=0597.010-0606.330 | 560
P=1139 | X=0108.290-0339.370 | Y=0612.410-0623.650 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1139 | X=0108.290-0385.460 | Y=0629.950-0641.190 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1139 | X=0108.290-0382.530 | Y=0647.710-0658.950 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=1139 | X=0108.290-0380.620 | Y=0659.230-0670.470 | Đường - Thừa Đức đoạn từ Đường tỉnh 773 đến Hết khu dân
P=1139 | X=0093.380-0362.360 | Y=0670.510-0684.830 | 45 cư hiện hữu ấp 3 xã Xuân Đường có hiện trạng là đường
P=1139 | X=0413.660-0430.300 | Y=0675.510-0684.830 | 820
P=1139 | X=0461.690-0478.330 | Y=0675.510-0684.830 | 570
P=1139 | X=0505.630-0522.270 | Y=0675.510-0684.830 | 490
P=1139 | X=0108.290-0211.400 | Y=0682.030-0693.270 | nhựa, bê tông xi măng:
P=1139 | X=0108.290-0339.840 | Y=0699.550-0710.790 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1140 | X=0108.290-0361.600 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1140 | X=0108.290-0203.240 | Y=0090.020-0101.260 | >500m đến ≤1.000m.
P=1140 | X=0108.290-0331.460 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1140 | X=0108.290-0382.530 | Y=0125.330-0136.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=1140 | X=0108.290-0380.600 | Y=0136.850-0148.090 | Đường - Thừa Đức đoạn từ Đường tỉnh 773 đến Hết khu dân
P=1140 | X=0108.290-0362.360 | Y=0148.370-0159.610 | cư hiện hữu ấp 3 xã Xuân Đường có hiện trạng là đường
P=1140 | X=0108.290-0211.400 | Y=0159.650-0170.890 | nhựa, bê tông xi măng:
P=1140 | X=0093.380-0104.500 | Y=0167.530-0176.850 | 46
P=1140 | X=0413.660-0430.300 | Y=0167.530-0176.850 | 640
P=1140 | X=0461.690-0478.330 | Y=0167.530-0176.850 | 450
P=1140 | X=0505.630-0522.270 | Y=0167.530-0176.850 | 380
P=1140 | X=0108.290-0349.380 | Y=0177.170-0188.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1140 | X=0108.290-0150.430 | Y=0190.570-0199.890 | >1.000m.
P=1140 | X=0108.290-0331.930 | Y=0206.230-0217.470 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1140 | X=0108.290-0381.800 | Y=0223.990-0235.230 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1140 | X=0108.290-0376.530 | Y=0235.510-0246.750 | ra Đường Xuân Đường - Thừa Đức đoạn từ Đường tỉnh 773
P=1140 | X=0108.290-0369.830 | Y=0247.030-0258.270 | đến Hết khu dân cư hiện hữu ấp 3 xã Xuân Đường có hiện
P=1140 | X=0093.380-0280.070 | Y=0258.550-0269.990 | 47 trạng là đường nhựa, bê tông xi măng:
P=1140 | X=0413.660-0430.300 | Y=0260.670-0269.990 | 850
P=1140 | X=0461.690-0478.330 | Y=0260.670-0269.990 | 600
P=1140 | X=0505.630-0522.270 | Y=0260.670-0269.990 | 510
P=1140 | X=0108.290-0339.370 | Y=0276.070-0287.310 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1140 | X=0108.290-0385.460 | Y=0293.620-0304.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1140 | X=0108.290-0381.800 | Y=0311.380-0322.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1140 | X=0108.290-0376.530 | Y=0322.900-0334.140 | ra Đường Xuân Đường - Thừa Đức đoạn từ Đường tỉnh 773
P=1140 | X=0108.290-0369.830 | Y=0334.420-0345.660 | đến Hết khu dân cư hiện hữu ấp 3 xã Xuân Đường có hiện
P=1140 | X=0108.290-0280.070 | Y=0345.700-0356.940 | trạng là đường nhựa, bê tông xi măng:
P=1140 | X=0093.380-0339.840 | Y=0362.460-0374.460 | 48 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1140 | X=0413.660-0430.300 | Y=0362.460-0371.780 | 740
P=1140 | X=0461.690-0478.330 | Y=0362.460-0371.780 | 520
P=1140 | X=0505.630-0522.270 | Y=0362.460-0371.780 | 440
P=1140 | X=0108.290-0361.600 | Y=0380.760-0392.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1140 | X=0108.290-0203.240 | Y=0392.280-0403.520 | >500m đến ≤1.000m.
P=1140 | X=0108.290-0331.460 | Y=0409.800-0421.040 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1140 | X=0108.290-0381.800 | Y=0427.560-0438.800 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1140 | X=0108.290-0376.530 | Y=0439.080-0450.320 | ra Đường Xuân Đường - Thừa Đức đoạn từ Đường tỉnh 773
P=1140 | X=0108.290-0369.830 | Y=0450.620-0461.860 | đến Hết khu dân cư hiện hữu ấp 3 xã Xuân Đường có hiện
P=1140 | X=0108.290-0280.070 | Y=0462.140-0473.380 | trạng là đường nhựa, bê tông xi măng:
P=1140 | X=0093.380-0104.500 | Y=0470.020-0479.340 | 49
P=1140 | X=0413.660-0430.300 | Y=0470.020-0479.340 | 580
P=1140 | X=0461.690-0478.330 | Y=0470.020-0479.340 | 410
P=1140 | X=0505.630-0522.270 | Y=0470.020-0479.340 | 350
P=1140 | X=0108.290-0349.380 | Y=0479.660-0490.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1140 | X=0108.290-0150.430 | Y=0493.060-0502.380 | >1.000m.
P=1140 | X=0108.290-0331.930 | Y=0508.460-0519.700 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1140 | X=0220.630-0289.310 | Y=0526.220-0537.460 | Hết khu dân cư
P=1140 | X=0108.290-0206.710 | Y=0531.980-0543.220 | Đường Xuân Đường -
P=1140 | X=0220.630-0387.100 | Y=0537.770-0549.010 | hiện hữu ấp 3 xã Hết chùa Bảo Minh
P=1140 | X=0093.380-0104.500 | Y=0539.650-0548.970 | 50
P=1140 | X=0405.260-0430.310 | Y=0539.650-0548.970 | 1.800
P=1140 | X=0453.290-0478.340 | Y=0539.650-0548.970 | 1.300
P=1140 | X=0497.230-0522.280 | Y=0539.650-0548.970 | 1.100
P=1140 | X=0108.290-0154.130 | Y=0543.530-0554.770 | Thừa Đức
