TABLE=063 | AREA=Phường Phước Bình | SECTION=non-agricultural | SEGMENTS=1
P=1998 | X=0188.230-0238.500 | Y=0296.940-0306.260 | Toàn tuyến
P=1998 | X=0391.100-0421.670 | Y=0296.940-0306.260 | 11.000
P=1998 | X=0439.130-0464.180 | Y=0296.940-0306.260 | 7.700
P=1998 | X=0497.230-0522.280 | Y=0296.940-0306.260 | 6.600
P=1998 | X=0107.330-0130.130 | Y=0302.700-0312.020 | Kiệm
P=1998 | X=0287.860-0379.170 | Y=0318.820-0330.060 | Ngã ba đường Phan
P=1998 | X=0287.860-0369.320 | Y=0332.220-0341.540 | Bá Vành (hết ranh
P=1998 | X=0107.330-0183.000 | Y=0336.100-0347.340 | Đường Đinh Văn
P=1998 | X=0188.230-0264.630 | Y=0341.860-0353.100 | Đường 3 tháng 2
P=1998 | X=0287.860-0371.730 | Y=0341.860-0353.100 | thửa đất số 165 và
P=1998 | X=0092.900-0104.020 | Y=0343.740-0353.060 | 24
P=1998 | X=0391.100-0421.670 | Y=0343.740-0353.060 | 10.200
P=1998 | X=0439.130-0464.180 | Y=0343.740-0353.060 | 7.100
P=1998 | X=0497.230-0522.280 | Y=0343.740-0353.060 | 6.100
P=1998 | X=0107.330-0128.370 | Y=0349.500-0358.820 | Chất
P=1998 | X=0287.860-0385.410 | Y=0353.380-0364.620 | thửa đất số 187, cùng
P=1998 | X=0287.860-0388.460 | Y=0364.900-0376.140 | thuộc tờ bản đồ số 50)
P=1998 | X=0188.230-0279.550 | Y=0382.920-0394.160 | Ngã ba đường Phan
P=1998 | X=0107.330-0268.510 | Y=0394.200-0405.440 | Đường Đinh Văn Bá Vành (Từ ranh
P=1998 | X=0287.860-0375.310 | Y=0399.960-0411.200 | Đường Phạm Hùng
P=1998 | X=0092.900-0104.020 | Y=0401.840-0411.160 | 25
P=1998 | X=0396.620-0421.670 | Y=0401.840-0411.160 | 6.100
P=1998 | X=0439.130-0464.180 | Y=0401.840-0411.160 | 4.300
P=1998 | X=0497.230-0522.280 | Y=0401.840-0411.160 | 3.700
P=1998 | X=0188.230-0283.470 | Y=0405.720-0416.960 | thửa đất số 164, 186,
P=1998 | X=0107.330-0128.370 | Y=0407.600-0416.920 | Chất
P=1998 | X=0188.230-0261.460 | Y=0417.240-0428.480 | tờ bản đồ số 50)
P=1998 | X=0107.330-0274.590 | Y=0435.240-0446.480 | Đường Đặng Văn Đường Nguyễn Tất
P=1998 | X=0287.860-0359.720 | Y=0441.000-0452.240 | Đường Độc Lập
P=1998 | X=0092.900-0104.020 | Y=0442.880-0452.200 | 26
P=1998 | X=0391.100-0421.670 | Y=0442.880-0452.200 | 11.600
P=1998 | X=0439.130-0464.180 | Y=0442.880-0452.200 | 8.200
P=1998 | X=0497.230-0522.280 | Y=0442.880-0452.200 | 7.000
P=1998 | X=0107.330-0126.790 | Y=0448.640-0457.960 | Ngữ
P=1998 | X=0188.230-0216.640 | Y=0448.640-0457.960 | Thành
P=1998 | X=0107.330-0173.650 | Y=0464.780-0476.020 | Đường Lê Văn
P=1998 | X=0188.230-0274.590 | Y=0464.780-0476.020 | Đường Nguyễn Tất
P=1998 | X=0287.860-0359.720 | Y=0470.540-0481.780 | Đường Độc Lập
P=1998 | X=0092.900-0104.020 | Y=0472.420-0481.740 | 27
P=1998 | X=0391.100-0421.670 | Y=0472.420-0481.740 | 10.200
P=1998 | X=0439.130-0464.180 | Y=0472.420-0481.740 | 7.100
P=1998 | X=0497.230-0522.280 | Y=0472.420-0481.740 | 6.100
P=1998 | X=0107.330-0119.090 | Y=0478.180-0487.500 | Sỹ
P=1998 | X=0188.230-0216.640 | Y=0478.180-0487.500 | Thành
P=1998 | X=0107.330-0180.140 | Y=0494.300-0505.540 | Đường Trần Đại
P=1998 | X=0188.230-0265.130 | Y=0500.060-0511.300 | Đường Điểu Ong
P=1998 | X=0287.860-0421.670 | Y=0500.060-0511.300 | Đường Trường Chinh 11.000
P=1998 | X=0092.900-0104.020 | Y=0501.940-0511.260 | 28
P=1998 | X=0439.130-0464.170 | Y=0501.940-0511.260 | 7.700
P=1998 | X=0497.230-0522.280 | Y=0501.940-0511.260 | 6.600
P=1998 | X=0107.330-0134.050 | Y=0505.820-0517.060 | Nghĩa
P=1998 | X=0107.330-0180.140 | Y=0523.820-0535.060 | Đường Trần Đại
P=1998 | X=0287.860-0371.960 | Y=0523.820-0535.060 | Đường Võ Nguyên
P=1998 | X=0188.230-0285.540 | Y=0529.580-0540.820 | Đường Trường Chinh
P=1998 | X=0092.900-0104.020 | Y=0531.460-0540.780 | 29
P=1998 | X=0391.100-0421.670 | Y=0531.460-0540.780 | 10.200
P=1998 | X=0439.130-0464.180 | Y=0531.460-0540.780 | 7.100
P=1998 | X=0497.230-0522.280 | Y=0531.460-0540.780 | 6.100
P=1998 | X=0107.330-0134.050 | Y=0535.370-0546.610 | Nghĩa
P=1998 | X=0287.860-0309.290 | Y=0537.250-0546.570 | Giáp
P=1998 | X=0107.330-0365.230 | Y=0553.370-0564.610 | Đường Đoàn Đức Đường Nguyễn Hữu Đường Nơ Trang
P=1998 | X=0092.900-0104.020 | Y=0561.010-0570.330 | 30
P=1998 | X=0396.620-0421.670 | Y=0561.010-0570.330 | 9.400
P=1998 | X=0439.130-0464.180 | Y=0561.010-0570.330 | 6.600
P=1998 | X=0497.230-0522.280 | Y=0561.010-0570.330 | 5.700
P=1998 | X=0107.330-0126.840 | Y=0566.770-0576.090 | Thái
P=1998 | X=0188.230-0205.590 | Y=0566.770-0576.090 | Thọ
P=1998 | X=0287.860-0310.020 | Y=0566.770-0576.090 | Long
P=1998 | X=0188.230-0274.590 | Y=0582.890-0594.130 | Đường Nguyễn Tất
P=1998 | X=0092.900-0184.200 | Y=0588.650-0599.890 | 31 Đường Điểu Ong
P=1998 | X=0287.860-0359.720 | Y=0588.650-0599.890 | Đường Độc Lập
P=1998 | X=0391.100-0421.670 | Y=0590.530-0599.850 | 11.000
P=1998 | X=0439.130-0464.180 | Y=0590.530-0599.850 | 7.700
P=1998 | X=0497.230-0522.280 | Y=0590.530-0599.850 | 6.600
P=1998 | X=0188.230-0216.640 | Y=0596.290-0605.610 | Thành
P=1998 | X=0107.330-0167.810 | Y=0612.410-0623.650 | Đường Phạm
P=1998 | X=0287.860-0374.230 | Y=0612.410-0623.650 | Đường Nguyễn Tất
P=1998 | X=0188.230-0260.100 | Y=0618.190-0629.430 | Đường Độc Lập
P=1998 | X=0092.900-0104.020 | Y=0620.070-0629.390 | 32
P=1998 | X=0391.100-0421.670 | Y=0620.070-0629.390 | 13.100
P=1998 | X=0439.130-0464.180 | Y=0620.070-0629.390 | 9.200
P=1998 | X=0497.230-0522.280 | Y=0620.070-0629.390 | 7.900
P=1998 | X=0107.330-0151.810 | Y=0623.950-0635.190 | Văn Đồng
P=1998 | X=0287.860-0316.270 | Y=0625.830-0635.150 | Thành
P=1998 | X=0107.330-0167.810 | Y=0641.950-0653.190 | Đường Phạm
P=1998 | X=0188.230-0274.590 | Y=0641.950-0653.190 | Đường Nguyễn Tất
P=1998 | X=0287.860-0379.190 | Y=0641.950-0653.190 | Đường Nguyễn Hữu
P=1998 | X=0092.900-0104.020 | Y=0649.590-0658.910 | 33
P=1998 | X=0391.100-0421.670 | Y=0649.590-0658.910 | 12.400
P=1998 | X=0439.130-0464.180 | Y=0649.590-0658.910 | 8.700
P=1998 | X=0497.230-0522.280 | Y=0649.590-0658.910 | 7.400
P=1998 | X=0107.330-0151.810 | Y=0653.470-0664.710 | Văn Đồng
P=1998 | X=0188.230-0216.640 | Y=0655.350-0664.670 | Thành
P=1998 | X=0287.860-0305.240 | Y=0655.350-0664.670 | Thọ
P=1998 | X=0107.330-0176.310 | Y=0671.470-0682.710 | Đường Nguyễn
P=1998 | X=0287.860-0374.230 | Y=0671.470-0682.710 | Đường Nguyễn Tất
P=1998 | X=0188.230-0277.390 | Y=0677.230-0688.470 | Đường Mai Chí Thọ
P=1998 | X=0092.900-0104.020 | Y=0679.110-0688.430 | 34
P=1998 | X=0391.100-0421.670 | Y=0679.110-0688.430 | 11.000
P=1998 | X=0439.130-0464.180 | Y=0679.110-0688.430 | 7.700
P=1998 | X=0497.230-0522.280 | Y=0679.110-0688.430 | 6.600
P=1998 | X=0107.330-0147.000 | Y=0682.750-0693.990 | Văn Linh
P=1998 | X=0287.860-0316.270 | Y=0684.630-0693.950 | Thành
P=1998 | X=0092.900-0176.320 | Y=0700.770-0712.010 | 35 Đường Nguyễn
P=1998 | X=0188.230-0260.100 | Y=0700.770-0712.010 | Đường Độc Lập
P=1998 | X=0287.860-0380.120 | Y=0700.770-0712.010 | Đường Lê Anh Xuân
P=1998 | X=0396.620-0421.670 | Y=0702.660-0711.980 | 8.800
P=1998 | X=0439.130-0464.180 | Y=0702.660-0711.980 | 6.100
P=1998 | X=0497.230-0522.280 | Y=0702.660-0711.980 | 5.300
P=1999 | X=0107.330-0157.820 | Y=0074.620-0083.940 | Công Hoan
P=1999 | X=0107.330-0176.310 | Y=0090.740-0101.980 | Đường Nguyễn
P=1999 | X=0188.230-0277.300 | Y=0090.740-0101.980 | Đường Phùng Khắc
P=1999 | X=0287.860-0371.990 | Y=0090.740-0101.980 | Đường Lý Thường
P=1999 | X=0092.900-0104.020 | Y=0098.380-0107.700 | 36
P=1999 | X=0396.620-0421.670 | Y=0098.380-0107.700 | 8.800
P=1999 | X=0439.130-0464.180 | Y=0098.380-0107.700 | 6.100
P=1999 | X=0497.230-0522.280 | Y=0098.380-0107.700 | 5.300
P=1999 | X=0107.330-0158.520 | Y=0102.260-0113.500 | Tri Phương
P=1999 | X=0188.230-0217.120 | Y=0104.140-0113.460 | Khoan
P=1999 | X=0287.860-0305.320 | Y=0104.140-0113.460 | Kiệt
P=1999 | X=0107.330-0175.830 | Y=0120.290-0131.530 | Đường Trường
P=1999 | X=0188.230-0274.590 | Y=0120.290-0131.530 | Đường Nguyễn Tất
P=1999 | X=0287.860-0359.720 | Y=0126.050-0137.290 | Đường Độc Lập
P=1999 | X=0092.900-0104.020 | Y=0127.930-0137.250 | 37
P=1999 | X=0391.100-0421.670 | Y=0127.930-0137.250 | 16.100
P=1999 | X=0433.610-0464.180 | Y=0127.930-0137.250 | 11.200
P=1999 | X=0497.230-0522.280 | Y=0127.930-0137.250 | 9.600
P=1999 | X=0107.330-0133.570 | Y=0133.690-0143.010 | Chinh
P=1999 | X=0188.230-0216.640 | Y=0133.690-0143.010 | Thành
P=1999 | X=0287.860-0374.230 | Y=0149.810-0161.050 | Đường Nguyễn Tất
P=1999 | X=0092.900-0277.390 | Y=0155.570-0166.810 | 38 Đường Lê Duẩn Đường Mai Chí Thọ
P=1999 | X=0391.100-0421.670 | Y=0157.450-0166.770 | 11.000
P=1999 | X=0439.130-0464.180 | Y=0157.450-0166.770 | 7.700
P=1999 | X=0497.230-0522.280 | Y=0157.450-0166.770 | 6.600
P=1999 | X=0287.860-0316.270 | Y=0163.210-0172.530 | Thành
P=1999 | X=0107.330-0173.650 | Y=0179.330-0190.570 | Đường Lê Anh
P=1999 | X=0188.230-0283.870 | Y=0179.330-0190.570 | Đường Nguyễn Công
P=1999 | X=0287.860-0385.160 | Y=0185.090-0196.330 | Đường Trường Chinh
P=1999 | X=0092.900-0104.020 | Y=0186.970-0196.290 | 39
P=1999 | X=0396.620-0421.670 | Y=0186.970-0196.290 | 8.800
P=1999 | X=0439.130-0464.180 | Y=0186.970-0196.290 | 6.100
P=1999 | X=0497.230-0522.280 | Y=0186.970-0196.290 | 5.300
P=1999 | X=0107.330-0130.460 | Y=0192.730-0202.050 | Xuân
P=1999 | X=0188.230-0212.090 | Y=0192.730-0202.050 | Hoan
P=1999 | X=0107.330-0173.650 | Y=0208.870-0220.110 | Đường Lê Anh
P=1999 | X=0188.230-0359.720 | Y=0214.630-0225.870 | Đường Trường Chinh Đường Độc Lập
P=1999 | X=0092.900-0104.020 | Y=0216.510-0225.830 | 40
P=1999 | X=0396.620-0421.670 | Y=0216.510-0225.830 | 8.000
P=1999 | X=0439.130-0464.180 | Y=0216.510-0225.830 | 5.600
P=1999 | X=0497.230-0522.280 | Y=0216.510-0225.830 | 4.800
P=1999 | X=0107.330-0131.660 | Y=0222.270-0231.590 | XuÂn
P=1999 | X=0107.330-0154.220 | Y=0238.390-0249.630 | Đường Võ
P=1999 | X=0287.860-0374.230 | Y=0238.390-0249.630 | Đường Nguyễn Tất
P=1999 | X=0188.230-0256.740 | Y=0243.910-0255.150 | Đường Độc lập
P=1999 | X=0092.900-0104.020 | Y=0245.790-0255.110 | 41
P=1999 | X=0391.100-0421.670 | Y=0245.790-0255.110 | 11.000
P=1999 | X=0439.130-0464.180 | Y=0245.790-0255.110 | 7.700
P=1999 | X=0497.230-0522.280 | Y=0245.790-0255.110 | 6.600
P=1999 | X=0107.330-0165.970 | Y=0251.550-0260.870 | Nguyên Giáp
P=1999 | X=0287.860-0316.270 | Y=0251.550-0260.870 | Thành
P=1999 | X=0107.330-0154.220 | Y=0267.670-0278.910 | Đường Võ
P=1999 | X=0188.230-0274.590 | Y=0267.670-0278.910 | Đường Nguyễn Tất
P=1999 | X=0287.860-0379.190 | Y=0267.670-0278.910 | Đường Nguyễn Hữu
P=1999 | X=0092.900-0104.020 | Y=0275.310-0284.630 | 42
P=1999 | X=0396.620-0421.670 | Y=0275.310-0284.630 | 9.400
P=1999 | X=0439.130-0464.180 | Y=0275.310-0284.630 | 6.600
P=1999 | X=0497.230-0522.280 | Y=0275.310-0284.630 | 5.700
P=1999 | X=0107.330-0165.970 | Y=0281.070-0290.390 | Nguyên Giáp
P=1999 | X=0188.230-0216.640 | Y=0281.070-0290.390 | Thành
P=1999 | X=0287.860-0305.240 | Y=0281.070-0290.390 | Thọ
P=1999 | X=0107.330-0174.850 | Y=0297.220-0308.460 | Đường Bế Văn
P=1999 | X=0188.230-0273.480 | Y=0302.980-0314.220 | Đường Bùi Văn Dù
P=1999 | X=0287.860-0359.720 | Y=0302.980-0314.220 | Đường Độc Lập
P=1999 | X=0092.900-0104.020 | Y=0304.860-0314.180 | 43
P=1999 | X=0396.620-0421.670 | Y=0304.860-0314.180 | 7.300
P=1999 | X=0439.130-0464.180 | Y=0304.860-0314.180 | 5.100
P=1999 | X=0497.230-0522.280 | Y=0304.860-0314.180 | 4.400
P=1999 | X=0107.330-0125.660 | Y=0308.740-0319.980 | Đàn
P=1999 | X=0287.860-0366.360 | Y=0326.740-0337.980 | Ngã ba đường Lý
P=1999 | X=0188.230-0268.510 | Y=0338.260-0349.500 | Ngã ba đường Võ
P=1999 | X=0287.860-0384.700 | Y=0338.260-0349.500 | Thường Kiệt - Đường
P=1999 | X=0107.330-0174.840 | Y=0344.020-0355.260 | Đường Võ Văn
P=1999 | X=0188.230-0266.820 | Y=0349.780-0361.020 | Văn Kiệt - Đường
P=1999 | X=0287.860-0383.740 | Y=0349.780-0361.020 | Võ Văn Kiệt (hết ranh
P=1999 | X=0092.900-0104.020 | Y=0351.660-0360.980 | 44
P=1999 | X=0396.620-0421.670 | Y=0351.660-0360.980 | 9.400
P=1999 | X=0439.130-0464.180 | Y=0351.660-0360.980 | 6.600
P=1999 | X=0497.230-0522.280 | Y=0351.660-0360.980 | 5.700
P=1999 | X=0107.330-0124.770 | Y=0357.420-0366.740 | Kiệt
P=1999 | X=0287.860-0373.000 | Y=0361.300-0372.540 | thửa đất số 163, tờ
P=1999 | X=0188.230-0271.140 | Y=0363.180-0372.500 | Nguyễn Tất Thành
P=1999 | X=0287.860-0348.840 | Y=0372.840-0384.080 | bản đồ số 26)
P=1999 | X=0287.860-0387.070 | Y=0390.840-0402.080 | Ngã tư đường Võ Văn
P=1999 | X=0188.230-0266.740 | Y=0396.600-0407.840 | Ngã ba đường Lý
P=1999 | X=0287.860-0388.030 | Y=0402.360-0413.600 | Kiệt - Đường Liên Khu
P=1999 | X=0107.330-0174.840 | Y=0408.120-0419.360 | Đường Võ Văn
P=1999 | X=0188.230-0286.250 | Y=0408.120-0419.360 | Thường Kiệt - Võ Văn
P=1999 | X=0092.900-0104.020 | Y=0415.760-0425.080 | 45
P=1999 | X=0287.860-0379.420 | Y=0415.760-0425.080 | vực 4 (hết ranh thửa
P=1999 | X=0396.620-0421.670 | Y=0415.760-0425.080 | 6.800
P=1999 | X=0439.130-0464.180 | Y=0415.760-0425.080 | 4.800
P=1999 | X=0497.230-0522.280 | Y=0415.760-0425.080 | 4.100
P=1999 | X=0188.230-0287.300 | Y=0419.640-0430.880 | Kiệt (Từ ranh thửa đất
P=1999 | X=0107.330-0124.770 | Y=0421.520-0430.840 | Kiệt
P=1999 | X=0287.860-0377.510 | Y=0425.400-0436.640 | đất số 71, tờ bản đồ
P=1999 | X=0188.230-0272.740 | Y=0431.160-0442.400 | 72, tờ bản đồ số 7)
P=1999 | X=0287.860-0309.960 | Y=0438.800-0448.120 | số 7)
P=1999 | X=0188.230-0287.450 | Y=0454.940-0466.180 | Ngã tư đường Võ Văn
P=1999 | X=0188.230-0267.780 | Y=0466.220-0477.460 | Kiệt - Đường Liên
P=1999 | X=0287.860-0384.230 | Y=0466.220-0477.460 | Hết ranh điểm trường
P=1999 | X=0188.230-0272.350 | Y=0479.620-0488.940 | Khu vực 4 (từ ranh
P=1999 | X=0287.860-0380.380 | Y=0479.620-0488.940 | tiểu học thôn 7 (thửa
P=1999 | X=0107.330-0174.840 | Y=0483.500-0494.740 | Đường Võ Văn
P=1999 | X=0188.230-0382.630 | Y=0489.260-0500.500 | thửa đất 65, 13, cùng đất số 89 và thửa đất
P=1999 | X=0092.900-0104.020 | Y=0491.140-0500.460 | 46
P=1999 | X=0396.620-0421.670 | Y=0491.140-0500.460 | 3.200
P=1999 | X=0439.130-0464.180 | Y=0491.140-0500.460 | 2.300
P=1999 | X=0497.230-0522.280 | Y=0491.140-0500.460 | 1.900
P=1999 | X=0107.330-0124.770 | Y=0496.900-0506.220 | Kiệt
P=1999 | X=0188.230-0378.990 | Y=0500.780-0512.020 | thuộc tờ bản đồ số 7 số 95, cùng thuộc tờ
P=1999 | X=0188.230-0348.840 | Y=0512.300-0523.540 | và thửa đất số 92, tờ bản đồ số 78)
P=1999 | X=0188.230-0254.740 | Y=0523.820-0535.060 | bản đồ số 101)
P=1999 | X=0188.230-0284.590 | Y=0541.850-0553.090 | Hết ranh điểm trường
P=1999 | X=0188.230-0274.100 | Y=0555.250-0564.570 | tiểu học thôn 7 (hết
P=1999 | X=0107.330-0174.840 | Y=0564.890-0576.130 | Đường Võ Văn
P=1999 | X=0188.230-0275.700 | Y=0564.890-0576.130 | ranh thửa đất số 89
P=1999 | X=0287.860-0377.500 | Y=0570.650-0581.890 | Đường Lý Tự Trọng
P=1999 | X=0092.900-0104.020 | Y=0572.530-0581.850 | 47
P=1999 | X=0396.620-0421.670 | Y=0572.530-0581.850 | 1.800
P=1999 | X=0439.130-0464.180 | Y=0572.530-0581.850 | 1.300
P=1999 | X=0497.230-0522.280 | Y=0572.530-0581.850 | 1.100
P=1999 | X=0188.230-0278.420 | Y=0576.410-0587.650 | và hết ranh thửa đất
P=1999 | X=0107.330-0124.770 | Y=0578.290-0587.610 | Kiệt
P=1999 | X=0188.230-0279.350 | Y=0589.810-0599.130 | số 95, cùng thuộc tờ
P=1999 | X=0188.230-0249.220 | Y=0599.450-0610.690 | bản đồ số 78)
P=1999 | X=0107.330-0165.260 | Y=0617.470-0628.710 | Đường Phan
P=1999 | X=0188.230-0273.480 | Y=0623.230-0634.470 | Đường Bùi Văn Dù
P=1999 | X=0287.860-0359.720 | Y=0623.230-0634.470 | Đường Độc Lập
P=1999 | X=0092.900-0104.020 | Y=0625.110-0634.430 | 48
P=1999 | X=0396.620-0421.670 | Y=0625.110-0634.430 | 9.400
P=1999 | X=0439.130-0464.180 | Y=0625.110-0634.430 | 6.600
P=1999 | X=0497.230-0522.280 | Y=0625.110-0634.430 | 5.700
P=1999 | X=0107.330-0149.720 | Y=0628.750-0639.990 | Đình Giót
P=1999 | X=0287.860-0377.720 | Y=0646.750-0657.990 | Giao lộ Nguyễn Văn
P=1999 | X=0107.330-0176.350 | Y=0652.510-0663.750 | Đường Mai Chí
P=1999 | X=0188.230-0266.740 | Y=0654.390-0663.710 | Giao lộ Lê Duẩn -
P=1999 | X=0092.900-0104.020 | Y=0660.150-0669.470 | 49
P=1999 | X=0287.860-0370.460 | Y=0660.150-0669.470 | Linh - Phùng Khắc
P=1999 | X=0396.620-0421.670 | Y=0660.150-0669.470 | 6.500
P=1999 | X=0439.130-0464.180 | Y=0660.150-0669.470 | 4.600
P=1999 | X=0497.230-0522.280 | Y=0660.150-0669.470 | 3.900
P=1999 | X=0107.330-0124.690 | Y=0665.910-0675.230 | Thọ
P=1999 | X=0188.230-0274.500 | Y=0665.910-0675.230 | Phùng Khắc Khoan
P=1999 | X=0287.860-0316.750 | Y=0671.670-0680.990 | Khoan
P=1999 | X=0107.330-0176.310 | Y=0687.790-0699.030 | Đường Nguyễn
P=1999 | X=0188.230-0275.690 | Y=0693.550-0704.790 | Đường Phạm Hùng
P=1999 | X=0287.860-0375.180 | Y=0693.550-0704.790 | Đường Võ Văn Kiệt
P=1999 | X=0092.900-0104.020 | Y=0695.430-0704.750 | 50
P=1999 | X=0396.620-0421.670 | Y=0695.430-0704.750 | 9.400
P=1999 | X=0439.130-0464.180 | Y=0695.430-0704.750 | 6.600
P=1999 | X=0497.230-0522.280 | Y=0695.430-0704.750 | 5.700
P=1999 | X=0107.330-0147.020 | Y=0701.190-0710.510 | Hữu Thọ
P=2000 | X=0107.330-0170.780 | Y=0078.740-0089.980 | Đường Phùng
P=2000 | X=0188.230-0377.720 | Y=0078.740-0089.980 | Giao lộ Lê Duẩn - Mai Giao lộ Nguyễn Văn
P=2000 | X=0092.900-0104.020 | Y=0086.380-0095.700 | 51
P=2000 | X=0396.620-0421.670 | Y=0086.380-0095.700 | 6.500
P=2000 | X=0439.130-0464.180 | Y=0086.380-0095.700 | 4.600
P=2000 | X=0497.230-0522.280 | Y=0086.380-0095.700 | 3.900
P=2000 | X=0107.330-0161.890 | Y=0092.140-0101.460 | Khắc Khoan
P=2000 | X=0188.230-0224.080 | Y=0092.140-0101.460 | Chí Thọ
P=2000 | X=0287.860-0370.310 | Y=0092.140-0101.460 | Linh - Mai Chí Thọ
P=2000 | X=0107.330-0152.450 | Y=0108.260-0119.500 | Đường Lý
P=2000 | X=0188.230-0372.380 | Y=0108.260-0119.500 | Giáp Đường Võ Văn Giáp Đường Phạm
P=2000 | X=0092.900-0104.020 | Y=0115.930-0125.250 | 52
P=2000 | X=0396.620-0421.670 | Y=0115.930-0125.250 | 8.800
P=2000 | X=0439.130-0464.180 | Y=0115.930-0125.250 | 6.100
P=2000 | X=0497.230-0522.280 | Y=0115.930-0125.250 | 5.300
P=2000 | X=0107.330-0163.670 | Y=0119.810-0131.050 | Thường Kiệt
P=2000 | X=0188.230-0205.670 | Y=0121.690-0131.010 | Kiệt
P=2000 | X=0287.860-0311.720 | Y=0121.690-0131.010 | Hùng
P=2000 | X=0188.230-0272.310 | Y=0137.810-0149.050 | Đường Võ Nguyên
P=2000 | X=0092.900-0177.030 | Y=0143.570-0154.810 | 53 Đường Tô Hiệu
P=2000 | X=0287.860-0375.180 | Y=0143.570-0154.810 | Đường Võ Văn Kiệt
P=2000 | X=0396.620-0421.670 | Y=0145.450-0154.770 | 7.300
P=2000 | X=0439.130-0464.180 | Y=0145.450-0154.770 | 5.100
P=2000 | X=0497.230-0522.280 | Y=0145.450-0154.770 | 4.400
P=2000 | X=0188.230-0209.660 | Y=0151.210-0160.530 | Giáp
P=2000 | X=0107.330-0176.310 | Y=0167.330-0178.570 | Đường Nguyễn
P=2000 | X=0188.230-0272.310 | Y=0167.330-0178.570 | Đường Võ Nguyên
P=2000 | X=0287.860-0375.180 | Y=0173.090-0184.330 | Đường Võ Văn Kiệt
P=2000 | X=0092.900-0104.020 | Y=0174.970-0184.290 | 54
P=2000 | X=0396.620-0421.670 | Y=0174.970-0184.290 | 7.300
P=2000 | X=0439.130-0464.180 | Y=0174.970-0184.290 | 5.100
P=2000 | X=0497.230-0522.280 | Y=0174.970-0184.290 | 4.400
P=2000 | X=0107.330-0150.830 | Y=0180.730-0190.050 | Duy Trinh
P=2000 | X=0188.230-0209.660 | Y=0180.730-0190.050 | Giáp
P=2000 | X=0107.330-0183.000 | Y=0196.850-0208.090 | Đường Trần Văn
P=2000 | X=0188.230-0275.690 | Y=0202.630-0213.870 | Đường Phạm Hùng
P=2000 | X=0287.860-0375.180 | Y=0202.630-0213.870 | Đường Võ Văn Kiệt
P=2000 | X=0092.900-0104.020 | Y=0204.510-0213.830 | 55
P=2000 | X=0391.100-0421.670 | Y=0204.510-0213.830 | 12.400
P=2000 | X=0439.130-0464.180 | Y=0204.510-0213.830 | 8.700
P=2000 | X=0497.230-0522.280 | Y=0204.510-0213.830 | 7.400
P=2000 | X=0107.330-0122.520 | Y=0210.270-0219.590 | Trà
P=2000 | X=0107.330-0184.680 | Y=0226.390-0237.630 | Đường Nơ Trang
P=2000 | X=0092.900-0104.020 | Y=0233.790-0243.110 | 56
P=2000 | X=0188.230-0238.500 | Y=0233.790-0243.110 | Toàn tuyến
P=2000 | X=0396.620-0421.670 | Y=0233.790-0243.110 | 7.300
P=2000 | X=0439.130-0464.170 | Y=0233.790-0243.110 | 5.100
P=2000 | X=0497.230-0522.280 | Y=0233.790-0243.110 | 4.400
P=2000 | X=0107.330-0129.490 | Y=0239.550-0248.870 | Long
P=2000 | X=0107.330-0162.610 | Y=0255.670-0266.910 | Đường Trần
P=2000 | X=0188.230-0272.310 | Y=0255.670-0266.910 | Đường Võ Nguyên
P=2000 | X=0287.860-0375.180 | Y=0261.430-0272.670 | Đường Võ Văn Kiệt
P=2000 | X=0092.900-0104.020 | Y=0263.310-0272.630 | 57
P=2000 | X=0396.620-0421.670 | Y=0263.310-0272.630 | 7.300
P=2000 | X=0439.130-0464.180 | Y=0263.310-0272.630 | 5.100
P=2000 | X=0497.230-0522.280 | Y=0263.310-0272.630 | 4.400
P=2000 | X=0107.330-0156.620 | Y=0269.070-0278.390 | Xuân Soạn
P=2000 | X=0188.230-0209.660 | Y=0269.070-0278.390 | Giáp
P=2000 | X=0107.330-0170.770 | Y=0285.220-0296.460 | Đường Huỳnh
P=2000 | X=0287.860-0377.480 | Y=0285.220-0296.460 | Đường Nguyễn Văn
P=2000 | X=0188.230-0275.690 | Y=0290.980-0302.220 | Đường Phạm Hùng
P=2000 | X=0091.940-0104.740 | Y=0292.860-0302.180 | 5R
P=2000 | X=0391.100-0421.670 | Y=0292.860-0302.180 | 13.900
P=2000 | X=0439.130-0464.180 | Y=0292.860-0302.180 | 9.700
P=2000 | X=0497.230-0522.280 | Y=0292.860-0302.180 | 8.300
P=2000 | X=0107.330-0161.410 | Y=0298.620-0307.940 | Thúc Kháng
P=2000 | X=0287.860-0306.900 | Y=0298.620-0307.940 | Linh
P=2000 | X=0107.330-0186.380 | Y=0314.740-0325.980 | Đường Phan Chu
P=2000 | X=0188.230-0260.580 | Y=0320.500-0331.740 | Đường Lê Duẩn
P=2000 | X=0287.860-0375.180 | Y=0320.500-0331.740 | Đường Võ Văn Kiệt
P=2000 | X=0092.900-0104.020 | Y=0322.380-0331.700 | 59
P=2000 | X=0396.620-0421.670 | Y=0322.380-0331.700 | 9.400
P=2000 | X=0439.130-0464.180 | Y=0322.380-0331.700 | 6.600
P=2000 | X=0497.230-0522.280 | Y=0322.380-0331.700 | 5.700
P=2000 | X=0107.330-0130.430 | Y=0328.140-0337.460 | Trinh
P=2000 | X=0107.330-0176.310 | Y=0344.260-0355.500 | Đường Nguyễn
