TABLE=004 | AREA=Phường Long Bình | SECTION=non-agricultural | SEGMENTS=1
P=0149 | X=0110.690-0387.580 | Y=0072.500-0083.740 | đến Ranh phường Long Bình có hiện trạng là đường nhựa, bê
P=0149 | X=0110.690-0170.850 | Y=0084.020-0095.260 | tông xi măng:
P=0149 | X=0110.690-0333.600 | Y=0101.540-0112.780 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0149 | X=0110.690-0387.880 | Y=0119.090-0130.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0149 | X=0110.690-0384.200 | Y=0136.850-0148.090 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0149 | X=0110.690-0387.550 | Y=0148.370-0159.610 | ra Đường Nguyễn Ái Quốc đoạn từ Công viên 30 tháng 4 (bên
P=0149 | X=0110.690-0383.420 | Y=0159.650-0170.890 | phải: hẻm Đền Thánh Hiếu; bên trái: hẻm chợ nhỏ khu phố 4)
P=0149 | X=0110.690-0387.580 | Y=0171.170-0182.410 | đến Ranh phường Long Bình có hiện trạng là đường nhựa, bê
P=0149 | X=0110.690-0170.850 | Y=0182.690-0193.930 | tông xi măng:
P=0149 | X=0094.820-0105.940 | Y=0193.690-0203.010 | 27
P=0149 | X=0406.700-0431.750 | Y=0193.690-0203.010 | 9.700
P=0149 | X=0454.010-0479.060 | Y=0193.690-0203.010 | 6.800
P=0149 | X=0497.230-0522.280 | Y=0193.690-0203.010 | 5.800
P=0149 | X=0110.690-0333.860 | Y=0200.230-0211.470 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0149 | X=0110.690-0364.000 | Y=0217.750-0228.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0149 | X=0110.690-0197.240 | Y=0229.270-0240.510 | >400m đến ≤600m.
P=0149 | X=0110.690-0333.860 | Y=0246.790-0258.030 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0149 | X=0110.690-0384.200 | Y=0264.550-0275.790 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0149 | X=0110.690-0387.550 | Y=0276.070-0287.310 | ra Đường Nguyễn Ái Quốc đoạn từ Công viên 30 tháng 4 (bên
P=0149 | X=0110.690-0383.420 | Y=0287.620-0298.860 | phải: hẻm Đền Thánh Hiếu; bên trái: hẻm chợ nhỏ khu phố 4)
P=0149 | X=0110.690-0387.580 | Y=0299.140-0310.380 | đến Ranh phường Long Bình có hiện trạng là đường nhựa, bê
P=0149 | X=0094.820-0105.940 | Y=0307.020-0316.340 | 28
P=0149 | X=0406.700-0431.750 | Y=0307.020-0316.340 | 7.300
P=0149 | X=0454.010-0479.060 | Y=0307.020-0316.340 | 5.100
P=0149 | X=0497.230-0522.280 | Y=0307.020-0316.340 | 4.400
P=0149 | X=0110.690-0170.850 | Y=0310.660-0321.900 | tông xi măng:
P=0149 | X=0110.690-0388.120 | Y=0327.940-0339.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0149 | X=0110.690-0336.980 | Y=0345.460-0356.700 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0149 | X=0301.800-0370.780 | Y=0363.220-0374.460 | Đường Nguyễn
P=0149 | X=0094.820-0262.740 | Y=0369.000-0380.240 | 29 Đường Hoàng Văn Bổn Quốc lộ 1
P=0149 | X=0401.180-0431.750 | Y=0370.880-0380.200 | 17.600
P=0149 | X=0448.490-0479.060 | Y=0370.880-0380.200 | 12.300
P=0149 | X=0491.710-0522.280 | Y=0370.880-0380.200 | 10.600
P=0149 | X=0301.800-0350.370 | Y=0374.760-0386.000 | Trường Tộ
P=0149 | X=0110.690-0359.010 | Y=0392.520-0403.760 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0149 | X=0110.690-0355.400 | Y=0404.040-0415.280 | Hoàng Văn Bổn đoạn từ Quốc lộ 1 đến Đường Nguyễn
P=0149 | X=0110.690-0368.410 | Y=0415.560-0426.800 | Trường Tộ có hiện trạng là đường nhựa, bê tông xi măng:
P=0149 | X=0094.820-0105.940 | Y=0423.440-0432.760 | 30
P=0149 | X=0406.700-0431.750 | Y=0423.440-0432.760 | 8.800
P=0149 | X=0454.010-0479.060 | Y=0423.440-0432.760 | 6.200
P=0149 | X=0497.230-0522.280 | Y=0423.440-0432.760 | 5.300
P=0149 | X=0110.690-0333.600 | Y=0433.080-0444.320 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0149 | X=0110.690-0387.880 | Y=0450.620-0461.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0149 | X=0110.690-0359.010 | Y=0468.380-0479.620 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0149 | X=0110.690-0355.400 | Y=0479.900-0491.140 | Hoàng Văn Bổn đoạn từ Quốc lộ 1 đến Đường Nguyễn
P=0149 | X=0110.690-0368.410 | Y=0491.420-0502.660 | Trường Tộ có hiện trạng là đường nhựa, bê tông xi măng:
P=0149 | X=0094.820-0333.860 | Y=0508.940-0523.020 | 31 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0149 | X=0406.700-0431.750 | Y=0513.700-0523.020 | 4.600
P=0149 | X=0454.010-0479.060 | Y=0513.700-0523.020 | 3.200
P=0149 | X=0497.230-0522.280 | Y=0513.700-0523.020 | 2.800
P=0149 | X=0110.690-0364.000 | Y=0526.220-0537.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0149 | X=0110.690-0197.240 | Y=0537.770-0549.010 | >400m đến ≤600m.
P=0149 | X=0110.690-0333.860 | Y=0555.290-0566.530 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0149 | X=0110.690-0359.010 | Y=0573.050-0584.290 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0149 | X=0110.690-0355.400 | Y=0584.570-0595.810 | Hoàng Văn Bổn đoạn từ Quốc lộ 1 đến Đường Nguyễn
P=0149 | X=0110.690-0368.410 | Y=0596.090-0607.330 | Trường Tộ có hiện trạng là đường nhựa, bê tông xi măng:
P=0149 | X=0094.820-0105.940 | Y=0603.970-0613.290 | 32
P=0149 | X=0406.700-0431.750 | Y=0603.970-0613.290 | 2.900
P=0149 | X=0454.010-0479.060 | Y=0603.970-0613.290 | 2.000
P=0149 | X=0497.230-0522.280 | Y=0603.970-0613.290 | 1.700
P=0149 | X=0110.690-0388.120 | Y=0613.610-0624.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0149 | X=0110.690-0334.330 | Y=0631.150-0642.390 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0149 | X=0110.690-0384.200 | Y=0648.910-0660.150 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0149 | X=0110.690-0364.050 | Y=0660.430-0671.670 | ra Đường Hoàng Văn Bổn đoạn từ Quốc lộ 1 đến Đường
P=0149 | X=0094.820-0375.310 | Y=0671.950-0686.030 | 33 Nguyễn Trường Tộ có hiện trạng là đường nhựa, bê tông xi
P=0149 | X=0406.700-0431.750 | Y=0676.710-0686.030 | 8.000
P=0149 | X=0454.010-0479.060 | Y=0676.710-0686.030 | 5.600
P=0149 | X=0497.230-0522.280 | Y=0676.710-0686.030 | 4.800
P=0149 | X=0110.690-0138.690 | Y=0683.470-0694.710 | măng:
P=0149 | X=0110.690-0333.600 | Y=0700.770-0712.010 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0150 | X=0110.690-0387.880 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0150 | X=0110.690-0384.200 | Y=0096.260-0107.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0150 | X=0110.690-0364.050 | Y=0107.780-0119.020 | ra Đường Hoàng Văn Bổn đoạn từ Quốc lộ 1 đến Đường
P=0150 | X=0110.690-0375.310 | Y=0119.330-0130.570 | Nguyễn Trường Tộ có hiện trạng là đường nhựa, bê tông xi
P=0150 | X=0110.690-0138.690 | Y=0130.850-0142.090 | măng:
P=0150 | X=0094.820-0333.860 | Y=0147.370-0159.610 | 34 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0150 | X=0406.700-0431.750 | Y=0147.370-0156.690 | 4.200
P=0150 | X=0454.010-0479.060 | Y=0147.370-0156.690 | 2.900
P=0150 | X=0497.230-0522.280 | Y=0147.370-0156.690 | 2.500
P=0150 | X=0110.690-0364.000 | Y=0165.650-0176.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0150 | X=0110.690-0197.240 | Y=0177.170-0188.410 | >400m đến ≤600m.
P=0150 | X=0110.690-0333.860 | Y=0194.690-0205.930 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0150 | X=0110.690-0384.200 | Y=0212.470-0223.710 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0150 | X=0110.690-0364.050 | Y=0223.990-0235.230 | ra Đường Hoàng Văn Bổn đoạn từ Quốc lộ 1 đến Đường
P=0150 | X=0110.690-0375.340 | Y=0235.510-0246.750 | Nguyễn Trường Tộ có hiện trạng là đường nhựa, bê tông xi
P=0150 | X=0094.820-0138.690 | Y=0247.030-0258.470 | 35 măng:
P=0150 | X=0406.700-0431.750 | Y=0249.150-0258.470 | 2.600
P=0150 | X=0454.010-0479.060 | Y=0249.150-0258.470 | 1.800
P=0150 | X=0497.230-0522.280 | Y=0249.150-0258.470 | 1.600
P=0150 | X=0110.690-0388.120 | Y=0264.550-0275.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0150 | X=0110.690-0336.980 | Y=0282.100-0293.340 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0150 | X=0301.800-0366.920 | Y=0301.740-0311.060 | Giáp ranh Nhà
P=0150 | X=0219.670-0288.660 | Y=0305.620-0316.860 | Đường Nguyễn
P=0150 | X=0094.820-0215.910 | Y=0311.380-0322.620 | 36 Đường Hoàng Văn Bổn
P=0150 | X=0301.800-0375.340 | Y=0311.380-0322.620 | máy nước Thiện
P=0150 | X=0401.180-0431.750 | Y=0313.260-0322.580 | 13.200
P=0150 | X=0454.010-0479.060 | Y=0313.260-0322.580 | 9.200
P=0150 | X=0497.230-0522.280 | Y=0313.260-0322.580 | 7.900
P=0150 | X=0219.670-0268.270 | Y=0317.140-0328.380 | Trường Tộ
P=0150 | X=0301.800-0319.160 | Y=0324.780-0334.100 | Tân
P=0150 | X=0110.690-0359.010 | Y=0340.660-0351.900 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0150 | X=0110.690-0384.700 | Y=0351.940-0363.180 | Hoàng Văn Bổn đoạn từ Đường Nguyễn Trường Tộ đến Giáp
P=0150 | X=0110.690-0380.710 | Y=0363.460-0374.700 | ranh Nhà máy nước Thiện Tân có hiện trạng là đường nhựa,
P=0150 | X=0094.820-0184.770 | Y=0375.000-0386.440 | 37 bê tông xi măng:
P=0150 | X=0406.700-0431.750 | Y=0377.120-0386.440 | 6.600
P=0150 | X=0454.010-0479.060 | Y=0377.120-0386.440 | 4.600
P=0150 | X=0497.230-0522.280 | Y=0377.120-0386.440 | 4.000
P=0150 | X=0110.690-0333.600 | Y=0392.520-0403.760 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0150 | X=0110.690-0387.890 | Y=0410.040-0421.280 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0150 | X=0110.690-0359.010 | Y=0427.800-0439.040 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0150 | X=0110.690-0384.700 | Y=0439.320-0450.560 | Hoàng Văn Bổn đoạn từ Đường Nguyễn Trường Tộ đến Giáp
P=0150 | X=0110.690-0380.710 | Y=0450.860-0462.100 | ranh Nhà máy nước Thiện Tân có hiện trạng là đường nhựa,
P=0150 | X=0110.690-0184.770 | Y=0462.380-0473.620 | bê tông xi măng:
P=0150 | X=0094.820-0333.890 | Y=0478.900-0491.140 | 38 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0150 | X=0406.700-0431.750 | Y=0478.900-0488.220 | 3.600
P=0150 | X=0454.010-0479.060 | Y=0478.900-0488.220 | 2.500
P=0150 | X=0497.230-0522.280 | Y=0478.900-0488.220 | 2.200
P=0150 | X=0110.690-0364.000 | Y=0497.420-0508.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0150 | X=0110.690-0197.240 | Y=0508.940-0520.180 | >400m đến ≤600m.
P=0150 | X=0110.690-0333.860 | Y=0526.220-0537.460 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0150 | X=0110.690-0359.010 | Y=0544.010-0555.250 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0150 | X=0110.690-0384.700 | Y=0555.530-0566.770 | Hoàng Văn Bổn đoạn từ Đường Nguyễn Trường Tộ đến Giáp
P=0150 | X=0110.690-0380.710 | Y=0567.050-0578.290 | ranh Nhà máy nước Thiện Tân có hiện trạng là đường nhựa,
P=0150 | X=0094.820-0184.770 | Y=0578.570-0590.010 | 39 bê tông xi măng:
P=0150 | X=0406.700-0431.750 | Y=0580.690-0590.010 | 2.500
P=0150 | X=0454.010-0479.060 | Y=0580.690-0590.010 | 1.800
P=0150 | X=0497.230-0522.280 | Y=0580.690-0590.010 | 1.500
P=0150 | X=0110.690-0388.120 | Y=0596.090-0607.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0150 | X=0110.690-0334.330 | Y=0613.610-0624.850 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0150 | X=0110.690-0384.230 | Y=0631.390-0642.630 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0150 | X=0110.690-0387.580 | Y=0642.910-0654.150 | ra Đường Hoàng Văn Bổn đoạn từ Đường Nguyễn Trường Tộ
P=0150 | X=0110.690-0362.600 | Y=0654.430-0665.670 | đến Giáp ranh Nhà máy nước Thiện Tân có hiện trạng là
P=0150 | X=0094.820-0246.460 | Y=0665.950-0677.390 | 40 đường nhựa, bê tông xi măng:
P=0150 | X=0406.700-0431.750 | Y=0668.070-0677.390 | 6.000
P=0150 | X=0454.010-0479.060 | Y=0668.070-0677.390 | 4.200
P=0150 | X=0497.230-0522.280 | Y=0668.070-0677.390 | 3.600
P=0150 | X=0110.690-0333.600 | Y=0683.470-0694.710 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0150 | X=0110.690-0387.880 | Y=0700.770-0712.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0151 | X=0110.690-0384.200 | Y=0078.500-0089.740 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0151 | X=0110.690-0387.580 | Y=0090.020-0101.260 | ra Đường Hoàng Văn Bổn đoạn từ Đường Nguyễn Trường Tộ
P=0151 | X=0110.690-0362.600 | Y=0101.540-0112.780 | đến Giáp ranh Nhà máy nước Thiện Tân có hiện trạng là
P=0151 | X=0110.690-0246.460 | Y=0113.060-0124.300 | đường nhựa, bê tông xi măng:
P=0151 | X=0094.820-0333.860 | Y=0129.610-0141.850 | 41 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0151 | X=0406.700-0431.750 | Y=0129.610-0138.930 | 3.300
P=0151 | X=0454.010-0479.060 | Y=0129.610-0138.930 | 2.300
P=0151 | X=0497.230-0522.280 | Y=0129.610-0138.930 | 2.000
P=0151 | X=0110.690-0364.000 | Y=0148.130-0159.370 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0151 | X=0110.690-0197.240 | Y=0159.410-0170.650 | >400m đến ≤600m.
P=0151 | X=0110.690-0333.860 | Y=0176.930-0188.170 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0151 | X=0110.690-0384.200 | Y=0194.690-0205.930 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0151 | X=0110.690-0387.580 | Y=0206.230-0217.470 | ra Đường Hoàng Văn Bổn đoạn từ Đường Nguyễn Trường Tộ
P=0151 | X=0110.690-0362.600 | Y=0217.750-0228.990 | đến Giáp ranh Nhà máy nước Thiện Tân có hiện trạng là
P=0151 | X=0094.820-0246.460 | Y=0229.270-0240.710 | 42 đường nhựa, bê tông xi măng:
P=0151 | X=0406.700-0431.750 | Y=0231.390-0240.710 | 2.300
P=0151 | X=0454.010-0479.060 | Y=0231.390-0240.710 | 1.600
P=0151 | X=0497.230-0522.280 | Y=0231.390-0240.710 | 1.400
P=0151 | X=0110.690-0388.120 | Y=0246.790-0258.030 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0151 | X=0110.690-0336.980 | Y=0264.310-0275.550 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0151 | X=0301.800-0384.220 | Y=0282.100-0293.340 | Giáp ranh phường
P=0151 | X=0219.670-0284.790 | Y=0283.980-0293.300 | Giáp ranh Nhà
P=0151 | X=0094.820-0361.160 | Y=0293.620-0304.860 | 43 Đường Hoàng Văn Bổn máy nước Thiện Long Bình và
P=0151 | X=0406.700-0431.750 | Y=0295.500-0304.820 | 9.600
P=0151 | X=0454.010-0479.060 | Y=0295.500-0304.820 | 6.700
P=0151 | X=0497.230-0522.280 | Y=0295.500-0304.820 | 5.800
P=0151 | X=0301.800-0383.980 | Y=0305.140-0316.380 | phường Trảng Dài
P=0151 | X=0219.670-0237.030 | Y=0307.020-0316.340 | Tân
P=0151 | X=0110.690-0359.010 | Y=0322.900-0334.140 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0151 | X=0110.690-0382.540 | Y=0334.420-0345.660 | Hoàng Văn Bổn đoạn từ Giáp ranh Nhà máy nước Thiện Tân
P=0151 | X=0110.690-0372.660 | Y=0345.700-0356.940 | đến Giáp ranh phường Long Bình và phường Trảng Dài có
P=0151 | X=0094.820-0304.300 | Y=0357.220-0368.660 | 44 hiện trạng là đường nhựa, bê tông xi măng:
P=0151 | X=0406.700-0431.750 | Y=0359.340-0368.660 | 6.000
P=0151 | X=0454.010-0479.060 | Y=0359.340-0368.660 | 4.200
P=0151 | X=0497.230-0522.280 | Y=0359.340-0368.660 | 3.600
P=0151 | X=0110.690-0333.600 | Y=0374.760-0386.000 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0151 | X=0110.690-0387.880 | Y=0392.280-0403.520 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0151 | X=0110.690-0359.010 | Y=0410.040-0421.280 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0151 | X=0110.690-0382.540 | Y=0421.560-0432.800 | Hoàng Văn Bổn đoạn từ Giáp ranh Nhà máy nước Thiện Tân
P=0151 | X=0110.690-0372.660 | Y=0433.080-0444.320 | đến Giáp ranh phường Long Bình và phường Trảng Dài có
P=0151 | X=0110.690-0304.300 | Y=0444.600-0455.840 | hiện trạng là đường nhựa, bê tông xi măng:
P=0151 | X=0094.820-0333.860 | Y=0461.140-0473.380 | 45 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0151 | X=0406.700-0431.750 | Y=0461.140-0470.460 | 3.500
P=0151 | X=0454.010-0479.060 | Y=0461.140-0470.460 | 2.500
P=0151 | X=0497.230-0522.280 | Y=0461.140-0470.460 | 2.100
P=0151 | X=0110.690-0364.000 | Y=0479.660-0490.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0151 | X=0110.690-0197.240 | Y=0491.180-0502.420 | >400m đến ≤600m.
P=0151 | X=0110.690-0333.860 | Y=0508.460-0519.700 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0151 | X=0110.690-0359.010 | Y=0526.220-0537.460 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường
P=0151 | X=0110.690-0382.540 | Y=0537.770-0549.010 | Hoàng Văn Bổn đoạn từ Giáp ranh Nhà máy nước Thiện Tân
P=0151 | X=0110.690-0372.660 | Y=0549.290-0560.530 | đến Giáp ranh phường Long Bình và phường Trảng Dài có
P=0151 | X=0094.820-0304.300 | Y=0560.810-0572.250 | 46 hiện trạng là đường nhựa, bê tông xi măng:
P=0151 | X=0406.700-0431.750 | Y=0562.930-0572.250 | 2.400
P=0151 | X=0454.010-0479.060 | Y=0562.930-0572.250 | 1.700
P=0151 | X=0497.230-0522.280 | Y=0562.930-0572.250 | 1.400
P=0151 | X=0110.690-0388.120 | Y=0578.330-0589.570 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0151 | X=0110.690-0334.330 | Y=0595.850-0607.090 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0151 | X=0110.690-0384.200 | Y=0613.610-0624.850 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0151 | X=0110.690-0381.020 | Y=0625.150-0636.390 | ra Đường Hoàng Văn Bổn đoạn từ Giáp ranh Nhà máy nước
P=0151 | X=0110.690-0360.200 | Y=0636.670-0647.910 | Thiện Tân đến Giáp ranh phường Long Bình và phường
P=0151 | X=0094.820-0364.090 | Y=0648.190-0659.630 | 47 Trảng Dài có hiện trạng là đường nhựa, bê tông xi măng:
P=0151 | X=0406.700-0431.750 | Y=0650.310-0659.630 | 5.400
P=0151 | X=0454.010-0479.060 | Y=0650.310-0659.630 | 3.800
P=0151 | X=0497.230-0522.280 | Y=0650.310-0659.630 | 3.200
P=0151 | X=0110.690-0333.600 | Y=0665.710-0676.950 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0151 | X=0110.690-0387.880 | Y=0683.230-0694.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0151 | X=0094.820-0384.220 | Y=0700.770-0712.010 | 48 Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0151 | X=0406.700-0431.750 | Y=0702.660-0711.980 | 3.200
P=0151 | X=0454.010-0479.060 | Y=0702.660-0711.980 | 2.200
P=0151 | X=0497.230-0522.280 | Y=0702.660-0711.980 | 1.900
P=0152 | X=0110.690-0381.020 | Y=0072.500-0083.740 | ra Đường Hoàng Văn Bổn đoạn từ Giáp ranh Nhà máy nước
P=0152 | X=0110.690-0360.210 | Y=0084.020-0095.260 | Thiện Tân đến Giáp ranh phường Long Bình và phường
P=0152 | X=0110.690-0364.090 | Y=0095.540-0106.780 | Trảng Dài có hiện trạng là đường nhựa, bê tông xi măng:
P=0152 | X=0110.690-0333.860 | Y=0113.060-0124.300 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0152 | X=0110.690-0364.010 | Y=0130.610-0141.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0152 | X=0110.690-0197.240 | Y=0142.130-0153.370 | >400m đến ≤600m.
P=0152 | X=0110.690-0333.860 | Y=0159.410-0170.650 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0152 | X=0110.690-0384.200 | Y=0177.170-0188.410 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0152 | X=0110.690-0381.020 | Y=0188.690-0199.930 | ra Đường Hoàng Văn Bổn đoạn từ Giáp ranh Nhà máy nước
P=0152 | X=0110.690-0360.210 | Y=0200.230-0211.470 | Thiện Tân đến Giáp ranh phường Long Bình và phường
P=0152 | X=0094.820-0364.090 | Y=0211.750-0223.190 | 49 Trảng Dài có hiện trạng là đường nhựa, bê tông xi măng:
P=0152 | X=0406.700-0431.750 | Y=0213.870-0223.190 | 2.200
P=0152 | X=0454.010-0479.060 | Y=0213.870-0223.190 | 1.500
P=0152 | X=0497.230-0522.280 | Y=0213.870-0223.190 | 1.300
P=0152 | X=0110.690-0388.120 | Y=0229.270-0240.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0152 | X=0110.690-0336.980 | Y=0246.790-0258.030 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0152 | X=0219.670-0295.880 | Y=0264.550-0275.790 | Đường bên hông
P=0152 | X=0219.670-0286.500 | Y=0277.950-0287.270 | giáo xứ Hà Nội
P=0152 | X=0301.800-0383.500 | Y=0281.860-0293.100 | Ranh giới phường
P=0152 | X=0219.670-0300.420 | Y=0287.620-0298.860 | (bên phải); đường
P=0152 | X=0094.820-0153.730 | Y=0289.500-0298.820 | 50 Quốc lộ 1
P=0152 | X=0401.180-0431.750 | Y=0289.500-0298.820 | 39.100
P=0152 | X=0448.490-0479.060 | Y=0289.500-0298.820 | 27.400
P=0152 | X=0491.710-0522.280 | Y=0289.500-0298.820 | 23.500
P=0152 | X=0301.800-0332.360 | Y=0295.260-0304.580 | Hố Nai
P=0152 | X=0219.670-0294.900 | Y=0301.020-0310.340 | chợ nhỏ khu phố
P=0152 | X=0219.670-0268.140 | Y=0312.540-0321.860 | 4 (bên trái)
P=0152 | X=0110.690-0370.300 | Y=0328.420-0339.660 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1
P=0152 | X=0110.690-0377.030 | Y=0339.700-0350.940 | đoạn từ Đường bên hông giáo xứ Hà Nội (bên phải); đường
P=0152 | X=0110.690-0387.330 | Y=0351.220-0362.460 | chợ nhỏ khu phố 4 (bên trái) đến Ranh giới phường Hố Nai có
P=0152 | X=0094.820-0304.300 | Y=0362.740-0374.180 | 51 hiện trạng là đường nhựa, bê tông xi măng:
P=0152 | X=0401.180-0431.750 | Y=0364.860-0374.180 | 16.600
P=0152 | X=0448.490-0479.060 | Y=0364.860-0374.180 | 11.600
P=0152 | X=0491.710-0522.280 | Y=0364.860-0374.180 | 10.000
P=0152 | X=0110.690-0333.600 | Y=0380.280-0391.520 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0152 | X=0110.690-0387.880 | Y=0397.800-0409.040 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0152 | X=0110.690-0370.300 | Y=0415.560-0426.800 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1
P=0152 | X=0110.690-0377.030 | Y=0427.080-0438.320 | đoạn từ Đường bên hông giáo xứ Hà Nội (bên phải); đường
P=0152 | X=0110.690-0387.330 | Y=0438.600-0449.840 | chợ nhỏ khu phố 4 (bên trái) đến Ranh giới phường Hố Nai có
P=0152 | X=0110.690-0304.300 | Y=0450.140-0461.380 | hiện trạng là đường nhựa, bê tông xi măng:
P=0152 | X=0094.820-0333.860 | Y=0466.660-0478.900 | 52 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0152 | X=0406.700-0431.750 | Y=0466.660-0475.980 | 7.700
P=0152 | X=0454.010-0479.060 | Y=0466.660-0475.980 | 5.400
P=0152 | X=0497.230-0522.280 | Y=0466.660-0475.980 | 4.600
P=0152 | X=0110.690-0364.000 | Y=0485.180-0496.420 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0152 | X=0110.690-0197.240 | Y=0496.460-0507.700 | >400m đến ≤600m.
P=0152 | X=0110.690-0333.860 | Y=0513.980-0525.220 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0152 | X=0110.690-0370.300 | Y=0531.740-0542.980 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1
P=0152 | X=0110.690-0377.030 | Y=0543.290-0554.530 | đoạn từ Đường bên hông giáo xứ Hà Nội (bên phải); đường
P=0152 | X=0110.690-0387.330 | Y=0554.810-0566.050 | chợ nhỏ khu phố 4 (bên trái) đến Ranh giới phường Hố Nai có
P=0152 | X=0094.820-0304.340 | Y=0566.330-0577.770 | 53 hiện trạng là đường nhựa, bê tông xi măng:
P=0152 | X=0406.700-0431.750 | Y=0568.450-0577.770 | 5.900
P=0152 | X=0454.010-0479.060 | Y=0568.450-0577.770 | 4.100
P=0152 | X=0497.230-0522.280 | Y=0568.450-0577.770 | 3.500
