TABLE=018 | AREA=Xã Phước An | SECTION=non-agricultural | SEGMENTS=1
P=0587 | X=0113.570-0345.120 | Y=0700.770-0712.010 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0588 | X=0113.570-0366.880 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0588 | X=0113.570-0208.520 | Y=0090.020-0101.260 | >500m đến ≤1.000m.
P=0588 | X=0113.570-0336.750 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0588 | X=0113.570-0387.080 | Y=0125.330-0136.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0588 | X=0113.570-0374.130 | Y=0136.850-0148.090 | ra Đường Phạm Thái Bường đoạn từ Đường Hùng Vương
P=0588 | X=0113.570-0379.900 | Y=0148.370-0159.610 | đến Hết ranh xã Phước An có hiện trạng là đường nhựa, bê
P=0588 | X=0113.570-0173.730 | Y=0159.650-0170.890 | tông xi măng:
P=0588 | X=0096.050-0107.170 | Y=0167.530-0176.850 | 28
P=0588 | X=0405.980-0431.030 | Y=0167.530-0176.850 | 1.800
P=0588 | X=0453.770-0478.820 | Y=0167.530-0176.850 | 1.300
P=0588 | X=0497.230-0522.280 | Y=0167.530-0176.850 | 1.100
P=0588 | X=0113.570-0354.680 | Y=0177.170-0188.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0588 | X=0113.570-0155.710 | Y=0190.570-0199.890 | >1.000m.
P=0588 | X=0113.570-0337.210 | Y=0206.230-0217.470 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0588 | X=0113.570-0205.820 | Y=0223.990-0235.230 | Đường Hùng Vương
P=0588 | X=0304.680-0373.880 | Y=0223.990-0235.230 | Cửa hàng xăng
P=0588 | X=0223.030-0280.010 | Y=0225.870-0235.190 | Ranh giới xã
P=0588 | X=0096.050-0107.170 | Y=0231.630-0240.950 | 29
P=0588 | X=0405.980-0431.030 | Y=0231.630-0240.950 | 9.800
P=0588 | X=0453.770-0478.820 | Y=0231.630-0240.950 | 6.900
P=0588 | X=0497.230-0522.280 | Y=0231.630-0240.950 | 5.900
P=0588 | X=0113.570-0189.910 | Y=0235.510-0246.750 | (Hương lộ 19 cũ)
P=0588 | X=0223.030-0276.660 | Y=0235.510-0246.750 | Nhơn Trạch
P=0588 | X=0304.680-0357.070 | Y=0237.390-0246.710 | dầu An Phú
P=0588 | X=0113.570-0388.530 | Y=0253.270-0264.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hùng
P=0588 | X=0113.570-0376.310 | Y=0264.790-0276.030 | Vương (Hương lộ 19 cũ) đoạn từ Ranh giới xã Nhơn Trạch
P=0588 | X=0113.570-0389.830 | Y=0276.310-0287.550 | đến Cửa hàng xăng dầu An Phú có hiện trạng là đường nhựa,
P=0588 | X=0096.050-0187.650 | Y=0287.860-0299.300 | 30 bê tông xi măng:
P=0588 | X=0405.980-0431.030 | Y=0289.980-0299.300 | 3.300
P=0588 | X=0453.770-0478.820 | Y=0289.980-0299.300 | 2.300
P=0588 | X=0497.230-0522.280 | Y=0289.980-0299.300 | 2.000
P=0588 | X=0113.570-0344.650 | Y=0305.380-0316.620 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0588 | X=0113.570-0390.760 | Y=0322.900-0334.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0588 | X=0113.570-0388.530 | Y=0340.660-0351.900 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hùng
P=0588 | X=0113.570-0376.310 | Y=0351.940-0363.180 | Vương (Hương lộ 19 cũ) đoạn từ Ranh giới xã Nhơn Trạch
P=0588 | X=0113.570-0389.830 | Y=0363.460-0374.700 | đến Cửa hàng xăng dầu An Phú có hiện trạng là đường nhựa,
P=0588 | X=0113.570-0187.650 | Y=0375.000-0386.240 | bê tông xi măng:
P=0588 | X=0096.050-0345.120 | Y=0391.760-0403.760 | 31 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0588 | X=0405.980-0431.030 | Y=0391.760-0401.080 | 2.500
P=0588 | X=0453.770-0478.820 | Y=0391.760-0401.080 | 1.800
P=0588 | X=0497.230-0522.280 | Y=0391.760-0401.080 | 1.500
P=0588 | X=0113.570-0366.880 | Y=0410.040-0421.280 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0588 | X=0113.570-0208.520 | Y=0421.560-0432.800 | >500m đến ≤1.000m.
P=0588 | X=0113.570-0336.740 | Y=0439.080-0450.320 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0588 | X=0113.570-0388.530 | Y=0456.860-0468.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hùng
P=0588 | X=0113.570-0376.310 | Y=0468.380-0479.620 | Vương (Hương lộ 19 cũ) đoạn từ Ranh giới xã Nhơn Trạch
P=0588 | X=0113.570-0389.830 | Y=0479.900-0491.140 | đến Cửa hàng xăng dầu An Phú có hiện trạng là đường nhựa,
P=0588 | X=0113.570-0187.650 | Y=0491.420-0502.660 | bê tông xi măng:
P=0588 | X=0096.050-0107.170 | Y=0499.300-0508.620 | 32
P=0588 | X=0405.980-0431.030 | Y=0499.300-0508.620 | 1.800
P=0588 | X=0453.770-0478.820 | Y=0499.300-0508.620 | 1.300
P=0588 | X=0497.230-0522.280 | Y=0499.300-0508.620 | 1.100
P=0588 | X=0113.570-0354.680 | Y=0508.940-0520.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0588 | X=0113.570-0155.710 | Y=0522.100-0531.420 | >1.000m.
P=0588 | X=0113.570-0337.210 | Y=0537.770-0549.010 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0588 | X=0113.570-0387.080 | Y=0555.530-0566.770 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0588 | X=0113.570-0379.660 | Y=0567.050-0578.290 | ra Đường Hùng Vương (Hương lộ 19 cũ) đoạn từ Ranh giới
P=0588 | X=0113.570-0387.110 | Y=0578.570-0589.810 | xã Nhơn Trạch đến Cửa hàng xăng dầu An Phú có hiện trạng
P=0588 | X=0096.050-0259.900 | Y=0590.090-0601.530 | 33 là đường nhựa, bê tông xi măng:
P=0588 | X=0405.980-0431.030 | Y=0592.210-0601.530 | 3.000
P=0588 | X=0453.770-0478.820 | Y=0592.210-0601.530 | 2.100
P=0588 | X=0497.230-0522.270 | Y=0592.210-0601.530 | 1.800
P=0588 | X=0113.570-0344.650 | Y=0607.610-0618.850 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0588 | X=0113.570-0390.760 | Y=0625.150-0636.390 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0588 | X=0113.570-0387.080 | Y=0642.910-0654.150 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0588 | X=0113.570-0379.660 | Y=0654.430-0665.670 | ra Đường Hùng Vương (Hương lộ 19 cũ) đoạn từ Ranh giới
P=0588 | X=0096.050-0387.110 | Y=0665.950-0680.030 | 34 xã Nhơn Trạch đến Cửa hàng xăng dầu An Phú có hiện trạng
P=0588 | X=0405.980-0431.030 | Y=0670.710-0680.030 | 2.300
P=0588 | X=0453.770-0478.820 | Y=0670.710-0680.030 | 1.600
P=0588 | X=0497.230-0522.280 | Y=0670.710-0680.030 | 1.400
P=0588 | X=0113.570-0259.900 | Y=0677.470-0688.710 | là đường nhựa, bê tông xi măng:
P=0588 | X=0113.570-0345.160 | Y=0694.750-0705.990 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0589 | X=0113.570-0366.880 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0589 | X=0113.570-0208.520 | Y=0090.020-0101.260 | >500m đến ≤1.000m.
P=0589 | X=0113.570-0336.740 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0589 | X=0113.570-0387.080 | Y=0125.330-0136.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0589 | X=0113.570-0379.660 | Y=0136.850-0148.090 | ra Đường Hùng Vương (Hương lộ 19 cũ) đoạn từ Ranh giới
P=0589 | X=0113.570-0387.110 | Y=0148.370-0159.610 | xã Nhơn Trạch đến Cửa hàng xăng dầu An Phú có hiện trạng
P=0589 | X=0113.570-0259.900 | Y=0159.650-0170.890 | là đường nhựa, bê tông xi măng:
P=0589 | X=0096.050-0107.170 | Y=0167.530-0176.850 | 35
P=0589 | X=0405.980-0431.030 | Y=0167.530-0176.850 | 1.600
P=0589 | X=0453.770-0478.820 | Y=0167.530-0176.850 | 1.100
P=0589 | X=0505.390-0522.030 | Y=0167.530-0176.850 | 960
P=0589 | X=0113.570-0354.680 | Y=0177.170-0188.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0589 | X=0113.570-0155.710 | Y=0190.570-0199.890 | >1.000m.
P=0589 | X=0113.570-0337.210 | Y=0206.230-0217.470 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0589 | X=0113.570-0205.820 | Y=0223.990-0235.230 | Đường Hùng Vương
P=0589 | X=0223.030-0292.260 | Y=0223.990-0235.230 | Cửa hàng xăng
P=0589 | X=0304.680-0373.660 | Y=0223.990-0235.230 | Đường Nguyễn
P=0589 | X=0096.050-0107.170 | Y=0231.630-0240.950 | 36
P=0589 | X=0405.980-0431.030 | Y=0231.630-0240.950 | 9.000
P=0589 | X=0453.770-0478.820 | Y=0231.630-0240.950 | 6.300
P=0589 | X=0497.230-0522.280 | Y=0231.630-0240.950 | 5.400
P=0589 | X=0113.570-0189.910 | Y=0235.510-0246.750 | (Hương lộ 19 cũ)
P=0589 | X=0223.030-0275.450 | Y=0237.390-0246.710 | dầu An Phú
P=0589 | X=0304.680-0350.850 | Y=0237.390-0246.710 | Hữu Cảnh
P=0589 | X=0113.570-0388.530 | Y=0253.270-0264.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hùng
P=0589 | X=0113.570-0387.790 | Y=0264.790-0276.030 | Vương (Hương lộ 19 cũ) đoạn từ Cửa hàng xăng dầu An Phú
P=0589 | X=0113.570-0383.590 | Y=0276.310-0287.550 | đến Đường Nguyễn Hữu Cảnh có hiện trạng là đường nhựa,
P=0589 | X=0096.050-0187.650 | Y=0287.860-0299.300 | 37 bê tông xi măng:
P=0589 | X=0405.980-0431.030 | Y=0289.980-0299.300 | 3.300
P=0589 | X=0453.770-0478.820 | Y=0289.980-0299.300 | 2.300
P=0589 | X=0497.230-0522.280 | Y=0289.980-0299.300 | 2.000
P=0589 | X=0113.570-0344.650 | Y=0305.380-0316.620 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0589 | X=0113.570-0390.760 | Y=0322.900-0334.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0589 | X=0113.570-0388.530 | Y=0340.660-0351.900 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hùng
P=0589 | X=0113.570-0387.790 | Y=0351.940-0363.180 | Vương (Hương lộ 19 cũ) đoạn từ Cửa hàng xăng dầu An Phú
P=0589 | X=0113.570-0383.590 | Y=0363.460-0374.700 | đến Đường Nguyễn Hữu Cảnh có hiện trạng là đường nhựa,
P=0589 | X=0113.570-0187.650 | Y=0375.000-0386.240 | bê tông xi măng:
P=0589 | X=0096.050-0345.120 | Y=0391.760-0403.760 | 38 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0589 | X=0405.980-0431.030 | Y=0391.760-0401.080 | 2.500
P=0589 | X=0453.770-0478.820 | Y=0391.760-0401.080 | 1.800
P=0589 | X=0497.230-0522.280 | Y=0391.760-0401.080 | 1.500
P=0589 | X=0113.570-0366.880 | Y=0410.040-0421.280 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0589 | X=0113.570-0208.520 | Y=0421.560-0432.800 | >500m đến ≤1.000m.
P=0589 | X=0113.570-0336.740 | Y=0439.080-0450.320 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0589 | X=0113.570-0388.530 | Y=0456.860-0468.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hùng
P=0589 | X=0113.570-0387.790 | Y=0468.380-0479.620 | Vương (Hương lộ 19 cũ) đoạn từ Cửa hàng xăng dầu An Phú
P=0589 | X=0113.570-0383.590 | Y=0479.900-0491.140 | đến Đường Nguyễn Hữu Cảnh có hiện trạng là đường nhựa,
P=0589 | X=0113.570-0187.650 | Y=0491.420-0502.660 | bê tông xi măng:
P=0589 | X=0096.050-0107.170 | Y=0499.300-0508.620 | 39
P=0589 | X=0405.980-0431.030 | Y=0499.300-0508.620 | 1.800
P=0589 | X=0453.770-0478.820 | Y=0499.300-0508.620 | 1.300
P=0589 | X=0497.230-0522.280 | Y=0499.300-0508.620 | 1.100
P=0589 | X=0113.570-0354.680 | Y=0508.940-0520.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0589 | X=0113.570-0155.710 | Y=0522.100-0531.420 | >1.000m.
P=0589 | X=0113.570-0337.210 | Y=0537.770-0549.010 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0589 | X=0113.570-0387.080 | Y=0555.530-0566.770 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0589 | X=0113.570-0380.620 | Y=0567.050-0578.290 | ra Đường Hùng Vương (Hương lộ 19 cũ) đoạn từ Cửa hàng
P=0589 | X=0113.570-0365.510 | Y=0578.570-0589.810 | xăng dầu An Phú đến Đường Nguyễn Hữu Cảnh có hiện
P=0589 | X=0096.050-0285.350 | Y=0590.090-0601.530 | 40 trạng là đường nhựa, bê tông xi măng:
P=0589 | X=0405.980-0431.030 | Y=0592.210-0601.530 | 3.000
P=0589 | X=0453.770-0478.820 | Y=0592.210-0601.530 | 2.100
P=0589 | X=0497.230-0522.280 | Y=0592.210-0601.530 | 1.800
P=0589 | X=0113.570-0344.650 | Y=0607.610-0618.850 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0589 | X=0113.570-0390.760 | Y=0625.150-0636.390 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0589 | X=0113.570-0387.080 | Y=0642.910-0654.150 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0589 | X=0113.570-0380.620 | Y=0654.430-0665.670 | ra Đường Hùng Vương (Hương lộ 19 cũ) đoạn từ Cửa hàng
P=0589 | X=0096.050-0365.510 | Y=0665.950-0680.030 | 41 xăng dầu An Phú đến Đường Nguyễn Hữu Cảnh có hiện
P=0589 | X=0405.980-0431.030 | Y=0670.710-0680.030 | 2.300
P=0589 | X=0453.770-0478.820 | Y=0670.710-0680.030 | 1.600
P=0589 | X=0497.230-0522.270 | Y=0670.710-0680.030 | 1.400
P=0589 | X=0113.570-0285.350 | Y=0677.470-0688.710 | trạng là đường nhựa, bê tông xi măng:
P=0589 | X=0113.570-0345.120 | Y=0694.750-0705.990 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0590 | X=0113.570-0366.880 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0590 | X=0113.570-0208.520 | Y=0090.020-0101.260 | >500m đến ≤1.000m.
P=0590 | X=0113.570-0336.740 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0590 | X=0113.570-0387.080 | Y=0125.330-0136.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0590 | X=0113.570-0380.620 | Y=0136.850-0148.090 | ra Đường Hùng Vương (Hương lộ 19 cũ) đoạn từ Cửa hàng
P=0590 | X=0113.570-0365.510 | Y=0148.370-0159.610 | xăng dầu An Phú đến Đường Nguyễn Hữu Cảnh có hiện
P=0590 | X=0113.570-0285.350 | Y=0159.650-0170.890 | trạng là đường nhựa, bê tông xi măng:
P=0590 | X=0096.050-0107.170 | Y=0167.530-0176.850 | 42
P=0590 | X=0405.980-0431.030 | Y=0167.530-0176.850 | 1.600
P=0590 | X=0453.770-0478.820 | Y=0167.530-0176.850 | 1.100
P=0590 | X=0505.390-0522.030 | Y=0167.530-0176.850 | 960
P=0590 | X=0113.570-0354.690 | Y=0177.170-0188.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0590 | X=0113.570-0155.710 | Y=0190.570-0199.890 | >1.000m.
P=0590 | X=0113.570-0337.210 | Y=0206.230-0217.470 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0590 | X=0113.570-0205.820 | Y=0223.990-0235.230 | Đường Hùng Vương
P=0590 | X=0223.030-0292.020 | Y=0223.990-0235.230 | Đường Nguyễn
P=0590 | X=0304.680-0389.900 | Y=0223.990-0235.230 | Hết ranh xã Phước
P=0590 | X=0096.050-0107.170 | Y=0231.630-0240.950 | 43
P=0590 | X=0405.980-0431.030 | Y=0231.630-0240.950 | 8.300
P=0590 | X=0453.770-0478.820 | Y=0231.630-0240.950 | 5.800
P=0590 | X=0497.230-0522.280 | Y=0231.630-0240.950 | 5.000
P=0590 | X=0113.570-0189.910 | Y=0235.510-0246.750 | (Hương lộ 19 cũ)
P=0590 | X=0223.030-0269.230 | Y=0237.390-0246.710 | Hữu Cảnh
P=0590 | X=0304.680-0317.000 | Y=0237.390-0246.710 | An
P=0590 | X=0113.570-0388.530 | Y=0253.270-0264.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hùng
P=0590 | X=0113.570-0381.340 | Y=0264.790-0276.030 | Vương (Hương lộ 19 cũ) đoạn từ Đường Nguyễn Hữu Cảnh
P=0590 | X=0113.570-0379.900 | Y=0276.310-0287.550 | đến Hết ranh xã Phước An có hiện trạng là đường nhựa, bê
P=0590 | X=0096.050-0173.730 | Y=0287.860-0299.300 | 44 tông xi măng:
P=0590 | X=0405.980-0431.030 | Y=0289.980-0299.300 | 3.300
P=0590 | X=0453.770-0478.820 | Y=0289.980-0299.300 | 2.300
P=0590 | X=0497.230-0522.280 | Y=0289.980-0299.300 | 2.000
P=0590 | X=0113.570-0344.650 | Y=0305.380-0316.620 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0590 | X=0113.570-0390.760 | Y=0322.900-0334.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0590 | X=0113.570-0388.530 | Y=0340.660-0351.900 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hùng
P=0590 | X=0113.570-0381.340 | Y=0351.940-0363.180 | Vương (Hương lộ 19 cũ) đoạn từ Đường Nguyễn Hữu Cảnh
P=0590 | X=0113.570-0379.900 | Y=0363.460-0374.700 | đến Hết ranh xã Phước An có hiện trạng là đường nhựa, bê
P=0590 | X=0113.570-0173.730 | Y=0375.000-0386.240 | tông xi măng:
P=0590 | X=0096.050-0345.120 | Y=0391.760-0403.760 | 45 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0590 | X=0405.980-0431.030 | Y=0391.760-0401.080 | 2.600
P=0590 | X=0453.770-0478.820 | Y=0391.760-0401.080 | 1.800
P=0590 | X=0497.230-0522.280 | Y=0391.760-0401.080 | 1.600
P=0590 | X=0113.570-0366.890 | Y=0410.040-0421.280 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0590 | X=0113.570-0208.520 | Y=0421.560-0432.800 | >500m đến ≤1.000m.
P=0590 | X=0113.570-0336.740 | Y=0439.080-0450.320 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0590 | X=0113.570-0388.530 | Y=0456.860-0468.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hùng
P=0590 | X=0113.570-0381.340 | Y=0468.380-0479.620 | Vương (Hương lộ 19 cũ) đoạn từ Đường Nguyễn Hữu Cảnh
P=0590 | X=0113.570-0379.900 | Y=0479.900-0491.140 | đến Hết ranh xã Phước An có hiện trạng là đường nhựa, bê
P=0590 | X=0113.570-0173.730 | Y=0491.420-0502.660 | tông xi măng:
P=0590 | X=0096.050-0107.170 | Y=0499.300-0508.620 | 46
P=0590 | X=0405.980-0431.030 | Y=0499.300-0508.620 | 1.800
P=0590 | X=0453.770-0478.820 | Y=0499.300-0508.620 | 1.300
P=0590 | X=0497.230-0522.280 | Y=0499.300-0508.620 | 1.100
P=0590 | X=0113.570-0354.680 | Y=0508.940-0520.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0590 | X=0113.570-0155.710 | Y=0522.100-0531.420 | >1.000m.
P=0590 | X=0113.570-0337.210 | Y=0537.770-0549.010 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0590 | X=0113.570-0387.080 | Y=0555.530-0566.770 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0590 | X=0113.570-0367.900 | Y=0567.050-0578.290 | ra Đường Hùng Vương (Hương lộ 19 cũ) đoạn từ Đường
P=0590 | X=0113.570-0390.690 | Y=0578.570-0589.810 | Nguyễn Hữu Cảnh đến Hết ranh xã Phước An có hiện trạng là
P=0590 | X=0096.050-0249.340 | Y=0590.090-0601.530 | 47 đường nhựa, bê tông xi măng:
P=0590 | X=0405.980-0431.030 | Y=0592.210-0601.530 | 3.000
P=0590 | X=0453.770-0478.820 | Y=0592.210-0601.530 | 2.100
P=0590 | X=0497.230-0522.280 | Y=0592.210-0601.530 | 1.800
P=0590 | X=0113.570-0344.650 | Y=0607.610-0618.850 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0590 | X=0113.570-0390.760 | Y=0625.150-0636.390 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0590 | X=0113.570-0387.080 | Y=0642.910-0654.150 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0590 | X=0113.570-0367.900 | Y=0654.430-0665.670 | ra Đường Hùng Vương (Hương lộ 19 cũ) đoạn từ Đường
P=0590 | X=0096.050-0390.690 | Y=0665.950-0680.030 | 48 Nguyễn Hữu Cảnh đến Hết ranh xã Phước An có hiện trạng là
P=0590 | X=0405.980-0431.030 | Y=0670.710-0680.030 | 2.300
P=0590 | X=0453.770-0478.820 | Y=0670.710-0680.030 | 1.600
P=0590 | X=0497.230-0522.280 | Y=0670.710-0680.030 | 1.400
P=0590 | X=0113.570-0249.340 | Y=0677.470-0688.710 | đường nhựa, bê tông xi măng:
P=0590 | X=0113.570-0345.120 | Y=0694.750-0705.990 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0591 | X=0113.570-0366.880 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0591 | X=0113.570-0208.520 | Y=0090.020-0101.260 | >500m đến ≤1.000m.
P=0591 | X=0113.570-0336.740 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0591 | X=0113.570-0387.080 | Y=0125.330-0136.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0591 | X=0113.570-0367.900 | Y=0136.850-0148.090 | ra Đường Hùng Vương (Hương lộ 19 cũ) đoạn từ Đường
P=0591 | X=0113.570-0390.690 | Y=0148.370-0159.610 | Nguyễn Hữu Cảnh đến Hết ranh xã Phước An có hiện trạng là
P=0591 | X=0113.570-0249.340 | Y=0159.650-0170.890 | đường nhựa, bê tông xi măng:
P=0591 | X=0096.050-0107.170 | Y=0167.530-0176.850 | 49
P=0591 | X=0405.980-0431.030 | Y=0167.530-0176.850 | 1.600
P=0591 | X=0453.770-0478.820 | Y=0167.530-0176.850 | 1.100
P=0591 | X=0505.390-0522.030 | Y=0167.530-0176.850 | 960
P=0591 | X=0113.570-0354.680 | Y=0177.170-0188.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0591 | X=0113.570-0155.710 | Y=0190.570-0199.890 | >1.000m.
P=0591 | X=0113.570-0337.210 | Y=0206.230-0217.470 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0591 | X=0113.570-0203.180 | Y=0223.990-0235.230 | Đường giáp ranh xã
P=0591 | X=0223.030-0363.090 | Y=0229.750-0240.990 | Đường Quách Thị Đường Hùng
P=0591 | X=0096.050-0213.270 | Y=0235.510-0246.750 | 50 Phú Đông-Vĩnh Thanh
P=0591 | X=0405.980-0431.030 | Y=0237.390-0246.710 | 6.100
P=0591 | X=0453.770-0478.820 | Y=0237.390-0246.710 | 4.300
P=0591 | X=0497.230-0522.280 | Y=0237.390-0246.710 | 3.700
P=0591 | X=0304.680-0335.960 | Y=0241.270-0252.510 | Vương
P=0591 | X=0223.030-0249.270 | Y=0243.150-0252.470 | Trang
P=0591 | X=0113.570-0211.490 | Y=0247.030-0258.270 | (đường con Gà Vàng)
P=0591 | X=0113.570-0383.720 | Y=0264.790-0276.030 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường giáp
P=0591 | X=0113.570-0387.290 | Y=0276.310-0287.550 | ranh xã Phú Đông-Vĩnh Thanh (đường con Gà Vàng) đoạn từ
P=0591 | X=0113.570-0372.470 | Y=0287.860-0299.100 | Đường Quách Thị Trang đến Đường Hùng Vương có hiện
P=0591 | X=0096.050-0285.350 | Y=0299.380-0310.820 | 51 trạng là đường nhựa, bê tông xi măng:
P=0591 | X=0405.980-0431.030 | Y=0301.500-0310.820 | 2.700
P=0591 | X=0453.770-0478.820 | Y=0301.500-0310.820 | 1.900
P=0591 | X=0497.230-0522.280 | Y=0301.500-0310.820 | 1.600
P=0591 | X=0113.570-0344.650 | Y=0316.900-0328.140 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0591 | X=0113.570-0390.760 | Y=0334.420-0345.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0591 | X=0113.570-0383.720 | Y=0351.940-0363.180 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường giáp
P=0591 | X=0113.570-0387.290 | Y=0363.460-0374.700 | ranh xã Phú Đông-Vĩnh Thanh (đường con Gà Vàng) đoạn từ
P=0591 | X=0113.570-0372.470 | Y=0375.000-0386.240 | Đường Quách Thị Trang đến Đường Hùng Vương có hiện
P=0591 | X=0113.570-0285.350 | Y=0386.520-0397.760 | trạng là đường nhựa, bê tông xi măng:
P=0591 | X=0096.050-0345.120 | Y=0403.280-0415.280 | 52 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0591 | X=0405.980-0431.030 | Y=0403.280-0412.600 | 2.100
P=0591 | X=0453.770-0478.820 | Y=0403.280-0412.600 | 1.500
P=0591 | X=0497.230-0522.280 | Y=0403.280-0412.600 | 1.300
P=0591 | X=0113.570-0366.880 | Y=0421.560-0432.800 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0591 | X=0113.570-0208.520 | Y=0433.080-0444.320 | >500m đến ≤1.000m.
P=0591 | X=0113.570-0336.740 | Y=0450.620-0461.860 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0591 | X=0113.570-0383.720 | Y=0468.380-0479.620 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường giáp
P=0591 | X=0113.570-0387.290 | Y=0479.900-0491.140 | ranh xã Phú Đông-Vĩnh Thanh (đường con Gà Vàng) đoạn từ
P=0591 | X=0113.570-0372.470 | Y=0491.420-0502.660 | Đường Quách Thị Trang đến Đường Hùng Vương có hiện
P=0591 | X=0113.570-0285.350 | Y=0502.940-0514.180 | trạng là đường nhựa, bê tông xi măng:
P=0591 | X=0096.050-0107.170 | Y=0510.820-0520.140 | 53
P=0591 | X=0405.980-0431.030 | Y=0510.820-0520.140 | 1.500
P=0591 | X=0453.770-0478.820 | Y=0510.820-0520.140 | 1.100
P=0591 | X=0505.390-0522.030 | Y=0510.820-0520.140 | 900
