TABLE=029 | AREA=Xã Xuân Định | SECTION=non-agricultural | SEGMENTS=1
P=1067 | X=0106.850-0167.970 | Y=0107.540-0118.780 | đến ≤1.000m.
P=1067 | X=0106.850-0330.020 | Y=0125.090-0136.330 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1067 | X=0106.850-0384.230 | Y=0142.850-0154.090 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Chiến
P=1067 | X=0106.850-0392.390 | Y=0154.370-0165.610 | Thắng đi Nam Hà đoạn từ Quốc lộ 1 đến Suối Cạn có hiện trạng
P=1067 | X=0106.850-0253.180 | Y=0165.650-0176.890 | là đường nhựa, bê tông xi măng:
P=1067 | X=0092.900-0104.020 | Y=0173.530-0182.850 | 60
P=1067 | X=0423.050-0439.690 | Y=0173.530-0182.850 | 580
P=1067 | X=0459.290-0475.930 | Y=0173.530-0182.850 | 410
P=1067 | X=0505.390-0522.030 | Y=0173.530-0182.850 | 350
P=1067 | X=0106.850-0392.640 | Y=0183.170-0194.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1067 | X=0106.850-0330.490 | Y=0200.710-0211.950 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1067 | X=0106.850-0392.110 | Y=0218.470-0229.710 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1067 | X=0106.850-0395.020 | Y=0229.990-0241.230 | Đường Chiến Thắng đi Nam Hà đoạn từ Quốc lộ 1 đến Suối Cạn
P=1067 | X=0106.850-0313.700 | Y=0241.510-0252.750 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1067 | X=0092.900-0104.020 | Y=0249.390-0258.710 | 61
P=1067 | X=0423.050-0439.690 | Y=0249.390-0258.710 | 860
P=1067 | X=0459.290-0475.930 | Y=0249.390-0258.710 | 600
P=1067 | X=0505.390-0522.030 | Y=0249.390-0258.710 | 520
P=1067 | X=0106.850-0337.930 | Y=0259.030-0270.270 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1067 | X=0106.850-0384.020 | Y=0276.550-0287.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1067 | X=0106.850-0392.110 | Y=0294.340-0305.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1067 | X=0106.850-0395.020 | Y=0305.860-0317.100 | Đường Chiến Thắng đi Nam Hà đoạn từ Quốc lộ 1 đến Suối Cạn
P=1067 | X=0106.850-0313.700 | Y=0317.380-0328.620 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1067 | X=0092.900-0338.400 | Y=0334.900-0348.980 | 62 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1067 | X=0423.050-0439.690 | Y=0339.660-0348.980 | 660
P=1067 | X=0459.290-0475.930 | Y=0339.660-0348.980 | 460
P=1067 | X=0505.390-0522.030 | Y=0339.660-0348.980 | 400
P=1067 | X=0106.850-0393.740 | Y=0352.420-0363.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1067 | X=0106.850-0167.970 | Y=0363.700-0374.940 | đến ≤1.000m.
P=1067 | X=0106.850-0330.020 | Y=0381.240-0392.480 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1067 | X=0106.850-0392.110 | Y=0399.000-0410.240 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1067 | X=0106.850-0395.020 | Y=0410.520-0421.760 | Đường Chiến Thắng đi Nam Hà đoạn từ Quốc lộ 1 đến Suối Cạn
P=1067 | X=0106.850-0313.700 | Y=0422.040-0433.280 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1067 | X=0092.900-0104.020 | Y=0429.920-0439.240 | 63
P=1067 | X=0423.050-0439.690 | Y=0429.920-0439.240 | 520
P=1067 | X=0459.290-0475.930 | Y=0429.920-0439.240 | 360
P=1067 | X=0505.390-0522.030 | Y=0429.920-0439.240 | 310
P=1067 | X=0106.850-0392.640 | Y=0439.560-0450.800 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1067 | X=0106.850-0330.490 | Y=0457.100-0468.340 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1067 | X=0106.850-0209.190 | Y=0474.860-0486.100 | Đường Chiến Thắng đi
P=1067 | X=0310.440-0387.250 | Y=0480.620-0491.860 | Đường tỉnh 765B
P=1067 | X=0092.900-0104.020 | Y=0482.500-0491.820 | 64
P=1067 | X=0228.100-0269.460 | Y=0482.500-0491.820 | Suối Cạn
P=1067 | X=0414.860-0439.910 | Y=0482.500-0491.820 | 1.200
P=1067 | X=0459.290-0475.930 | Y=0482.500-0491.820 | 840
P=1067 | X=0505.390-0522.030 | Y=0482.500-0491.820 | 720
P=1067 | X=0106.850-0143.870 | Y=0488.260-0497.580 | Nam Hà
P=1067 | X=0106.850-0384.230 | Y=0504.140-0515.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Chiến
P=1067 | X=0106.850-0378.920 | Y=0515.660-0526.900 | Thắng đi Nam Hà đoạn từ Suối Cạn đến Đường tỉnh 765B có
P=1067 | X=0106.850-0300.460 | Y=0527.180-0538.420 | hiện trạng là đường nhựa, bê tông xi măng:
P=1067 | X=0092.900-0104.020 | Y=0535.090-0544.410 | 65
P=1067 | X=0423.050-0439.690 | Y=0535.090-0544.410 | 600
P=1067 | X=0459.290-0475.930 | Y=0535.090-0544.410 | 440
P=1067 | X=0505.390-0522.030 | Y=0535.090-0544.410 | 380
P=1067 | X=0106.850-0337.930 | Y=0544.490-0555.730 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1067 | X=0106.850-0384.040 | Y=0562.010-0573.250 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1067 | X=0106.850-0384.230 | Y=0579.770-0591.010 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Chiến
P=1067 | X=0106.850-0378.920 | Y=0591.290-0602.530 | Thắng đi Nam Hà đoạn từ Suối Cạn đến Đường tỉnh 765B có
P=1067 | X=0106.850-0300.460 | Y=0602.810-0614.050 | hiện trạng là đường nhựa, bê tông xi măng:
P=1067 | X=0092.900-0338.400 | Y=0620.350-0634.670 | 66 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1067 | X=0423.050-0439.690 | Y=0625.350-0634.670 | 520
P=1067 | X=0459.290-0475.930 | Y=0625.350-0634.670 | 360
P=1067 | X=0505.390-0522.030 | Y=0625.350-0634.670 | 310
P=1067 | X=0106.850-0393.740 | Y=0637.870-0649.110 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1067 | X=0106.850-0167.970 | Y=0649.390-0660.630 | đến ≤1.000m.
P=1067 | X=0106.850-0330.020 | Y=0666.910-0678.150 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1067 | X=0106.850-0384.230 | Y=0684.670-0695.910 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Chiến
P=1067 | X=0092.900-0378.920 | Y=0696.190-0707.430 | 67 Thắng đi Nam Hà đoạn từ Suối Cạn đến Đường tỉnh 765B có
P=1067 | X=0423.050-0439.690 | Y=0698.070-0707.390 | 450
P=1067 | X=0459.290-0475.930 | Y=0698.070-0707.390 | 320
P=1067 | X=0505.390-0522.030 | Y=0698.070-0707.390 | 270
P=1067 | X=0106.850-0300.460 | Y=0707.730-0718.970 | hiện trạng là đường nhựa, bê tông xi măng:
P=1068 | X=0106.850-0392.640 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1068 | X=0106.850-0330.490 | Y=0096.020-0107.260 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1068 | X=0106.850-0392.110 | Y=0113.780-0125.020 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1068 | X=0106.850-0383.740 | Y=0125.330-0136.570 | Đường Chiến Thắng đi Nam Hà đoạn từ Suối Cạn đến Đường
P=1068 | X=0106.850-0358.570 | Y=0136.850-0148.090 | tỉnh 765B có hiện trạng là đường nhựa, bê tông xi măng:
P=1068 | X=0092.900-0104.020 | Y=0144.730-0154.050 | 68
P=1068 | X=0423.050-0439.690 | Y=0144.730-0154.050 | 560
P=1068 | X=0459.290-0475.930 | Y=0144.730-0154.050 | 400
P=1068 | X=0505.390-0522.030 | Y=0144.730-0154.050 | 350
P=1068 | X=0106.850-0337.930 | Y=0154.370-0165.610 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1068 | X=0106.850-0384.020 | Y=0171.650-0182.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1068 | X=0106.850-0392.110 | Y=0189.410-0200.650 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1068 | X=0106.850-0383.740 | Y=0200.950-0212.190 | Đường Chiến Thắng đi Nam Hà đoạn từ Suối Cạn đến Đường
P=1068 | X=0106.850-0358.570 | Y=0212.470-0223.710 | tỉnh 765B có hiện trạng là đường nhựa, bê tông xi măng:
P=1068 | X=0092.900-0338.400 | Y=0229.990-0244.310 | 69 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1068 | X=0423.050-0439.690 | Y=0234.990-0244.310 | 470
P=1068 | X=0459.290-0475.930 | Y=0234.990-0244.310 | 330
P=1068 | X=0505.390-0522.030 | Y=0234.990-0244.310 | 280
P=1068 | X=0106.850-0393.740 | Y=0247.510-0258.750 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1068 | X=0106.850-0167.970 | Y=0259.030-0270.270 | đến ≤1.000m.
P=1068 | X=0106.850-0330.020 | Y=0276.550-0287.790 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1068 | X=0106.850-0392.110 | Y=0294.340-0305.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1068 | X=0106.850-0383.740 | Y=0305.860-0317.100 | Đường Chiến Thắng đi Nam Hà đoạn từ Suối Cạn đến Đường
P=1068 | X=0106.850-0358.570 | Y=0317.380-0328.620 | tỉnh 765B có hiện trạng là đường nhựa, bê tông xi măng:
P=1068 | X=0092.900-0104.020 | Y=0325.260-0334.580 | 70
P=1068 | X=0423.050-0439.690 | Y=0325.260-0334.580 | 410
P=1068 | X=0459.290-0475.930 | Y=0325.260-0334.580 | 290
P=1068 | X=0505.390-0522.030 | Y=0325.260-0334.580 | 250
P=1068 | X=0106.850-0392.670 | Y=0334.900-0346.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1068 | X=0106.850-0330.490 | Y=0352.420-0363.660 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1068 | X=0310.440-0392.140 | Y=0369.960-0381.200 | Ngã ba Xuân Định
P=1068 | X=0092.900-0183.660 | Y=0375.720-0386.960 | 71 Đường tỉnh 765B
P=1068 | X=0228.100-0309.800 | Y=0375.720-0386.960 | Ngã ba Xuân Định
P=1068 | X=0414.860-0439.910 | Y=0377.600-0386.920 | 3.500
P=1068 | X=0451.130-0476.180 | Y=0377.600-0386.920 | 2.500
P=1068 | X=0497.230-0522.280 | Y=0377.600-0386.920 | 2.100
P=1068 | X=0310.440-0344.030 | Y=0383.360-0392.680 | + 200m
P=1068 | X=0106.850-0374.390 | Y=0399.240-0410.480 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1068 | X=0106.850-0392.510 | Y=0410.760-0422.000 | 765B đoạn từ Ngã ba Xuân Định đến Ngã ba Xuân Định + 200m
P=1068 | X=0106.850-0313.700 | Y=0422.280-0433.520 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1068 | X=0092.900-0104.020 | Y=0430.160-0439.480 | 72
P=1068 | X=0414.860-0439.910 | Y=0430.160-0439.480 | 1.300
P=1068 | X=0459.290-0475.930 | Y=0430.160-0439.480 | 910
P=1068 | X=0505.390-0522.030 | Y=0430.160-0439.480 | 780
P=1068 | X=0106.850-0337.930 | Y=0439.800-0451.040 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1068 | X=0106.850-0384.020 | Y=0457.340-0468.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1068 | X=0106.850-0374.390 | Y=0475.100-0486.340 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1068 | X=0106.850-0392.510 | Y=0486.620-0497.860 | 765B đoạn từ Ngã ba Xuân Định đến Ngã ba Xuân Định + 200m
P=1068 | X=0106.850-0313.700 | Y=0498.140-0509.380 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1068 | X=0092.900-0338.400 | Y=0515.660-0529.740 | 73 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1068 | X=0423.050-0439.690 | Y=0520.420-0529.740 | 810
P=1068 | X=0459.290-0475.930 | Y=0520.420-0529.740 | 570
P=1068 | X=0505.390-0522.030 | Y=0520.420-0529.740 | 490
P=1068 | X=0106.850-0393.740 | Y=0533.210-0544.450 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1068 | X=0106.850-0167.970 | Y=0544.490-0555.730 | đến ≤1.000m.
P=1068 | X=0106.850-0330.040 | Y=0562.010-0573.250 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1068 | X=0106.850-0374.390 | Y=0579.770-0591.010 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1068 | X=0106.850-0392.510 | Y=0591.290-0602.530 | 765B đoạn từ Ngã ba Xuân Định đến Ngã ba Xuân Định + 200m
P=1068 | X=0106.850-0313.700 | Y=0602.810-0614.050 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1068 | X=0092.900-0104.020 | Y=0610.690-0620.010 | 74
P=1068 | X=0423.050-0439.690 | Y=0610.690-0620.010 | 630
P=1068 | X=0459.290-0475.930 | Y=0610.690-0620.010 | 440
P=1068 | X=0505.390-0522.030 | Y=0610.690-0620.010 | 380
P=1068 | X=0106.850-0392.640 | Y=0620.350-0631.590 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1068 | X=0106.850-0330.490 | Y=0637.870-0649.110 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1068 | X=0106.850-0392.110 | Y=0655.630-0666.870 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1068 | X=0106.850-0385.650 | Y=0667.150-0678.390 | Đường tỉnh 765B đoạn từ Ngã ba Xuân Định đến Ngã ba Xuân
P=1068 | X=0092.900-0373.460 | Y=0677.670-0689.910 | 75 Định + 200m có hiện trạng là đường nhựa, bê tông xi măng:
P=1068 | X=0414.860-0439.910 | Y=0677.670-0686.990 | 1.200
P=1068 | X=0459.290-0475.930 | Y=0677.670-0686.990 | 840
P=1068 | X=0505.390-0522.030 | Y=0677.670-0686.990 | 720
P=1068 | X=0106.850-0337.930 | Y=0696.190-0707.430 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1069 | X=0106.850-0384.020 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1069 | X=0106.850-0392.110 | Y=0096.260-0107.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1069 | X=0106.850-0385.650 | Y=0107.780-0119.020 | Đường tỉnh 765B đoạn từ Ngã ba Xuân Định đến Ngã ba Xuân
P=1069 | X=0106.850-0373.460 | Y=0119.330-0130.570 | Định + 200m có hiện trạng là đường nhựa, bê tông xi măng:
P=1069 | X=0092.900-0338.400 | Y=0136.850-0150.930 | 76 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1069 | X=0423.050-0439.690 | Y=0141.610-0150.930 | 730
P=1069 | X=0459.290-0475.930 | Y=0141.610-0150.930 | 510
P=1069 | X=0505.390-0522.030 | Y=0141.610-0150.930 | 440
P=1069 | X=0106.850-0393.740 | Y=0154.370-0165.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1069 | X=0106.850-0167.970 | Y=0165.650-0176.890 | đến ≤1.000m.
P=1069 | X=0106.850-0330.020 | Y=0183.170-0194.410 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1069 | X=0106.850-0392.110 | Y=0200.950-0212.190 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1069 | X=0106.850-0385.650 | Y=0212.470-0223.710 | Đường tỉnh 765B đoạn từ Ngã ba Xuân Định đến Ngã ba Xuân
P=1069 | X=0106.850-0373.460 | Y=0223.990-0235.230 | Định + 200m có hiện trạng là đường nhựa, bê tông xi măng:
P=1069 | X=0092.900-0104.020 | Y=0231.870-0241.190 | 77
P=1069 | X=0423.050-0439.690 | Y=0231.870-0241.190 | 570
P=1069 | X=0459.290-0475.930 | Y=0231.870-0241.190 | 400
P=1069 | X=0505.390-0522.030 | Y=0231.870-0241.190 | 340
P=1069 | X=0106.850-0392.640 | Y=0241.510-0252.750 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1069 | X=0106.850-0330.490 | Y=0259.030-0270.270 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1069 | X=0228.100-0390.700 | Y=0276.790-0288.030 | Ngã ba Xuân Định Hết nghĩa địa Bảo
P=1069 | X=0092.900-0183.660 | Y=0282.580-0293.820 | 78 Đường tỉnh 765B
P=1069 | X=0414.860-0439.910 | Y=0284.460-0293.780 | 3.000
P=1069 | X=0451.130-0476.180 | Y=0284.460-0293.780 | 2.100
P=1069 | X=0497.230-0522.280 | Y=0284.460-0293.780 | 1.800
P=1069 | X=0228.100-0261.690 | Y=0290.220-0299.540 | + 200m
P=1069 | X=0310.440-0324.440 | Y=0290.220-0299.540 | Thị
P=1069 | X=0106.850-0374.390 | Y=0306.100-0317.340 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1069 | X=0106.850-0390.950 | Y=0317.620-0328.860 | 765B đoạn từ Ngã ba Xuân Định + 200m đến Hết nghĩa địa Bảo
P=1069 | X=0106.850-0330.490 | Y=0329.140-0340.380 | Thị có hiện trạng là đường nhựa, bê tông xi măng:
P=1069 | X=0092.900-0104.020 | Y=0337.020-0346.340 | 79
P=1069 | X=0414.860-0439.910 | Y=0337.020-0346.340 | 1.300
P=1069 | X=0459.290-0475.930 | Y=0337.020-0346.340 | 910
P=1069 | X=0505.390-0522.030 | Y=0337.020-0346.340 | 780
P=1069 | X=0106.850-0337.930 | Y=0346.660-0357.900 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1069 | X=0106.850-0384.020 | Y=0363.940-0375.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1069 | X=0106.850-0374.390 | Y=0381.720-0392.960 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1069 | X=0106.850-0390.950 | Y=0393.240-0404.480 | 765B đoạn từ Ngã ba Xuân Định + 200m đến Hết nghĩa địa Bảo
P=1069 | X=0106.850-0330.490 | Y=0404.760-0416.000 | Thị có hiện trạng là đường nhựa, bê tông xi măng:
P=1069 | X=0092.900-0338.400 | Y=0422.280-0436.600 | 80 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1069 | X=0423.050-0439.690 | Y=0427.280-0436.600 | 810
P=1069 | X=0459.290-0475.930 | Y=0427.280-0436.600 | 570
P=1069 | X=0505.390-0522.030 | Y=0427.280-0436.600 | 490
P=1069 | X=0106.850-0393.740 | Y=0439.800-0451.040 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1069 | X=0106.850-0167.970 | Y=0451.340-0462.580 | đến ≤1.000m.
P=1069 | X=0106.850-0330.020 | Y=0468.860-0480.100 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1069 | X=0106.850-0374.390 | Y=0486.620-0497.860 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1069 | X=0106.850-0390.950 | Y=0498.140-0509.380 | 765B đoạn từ Ngã ba Xuân Định + 200m đến Hết nghĩa địa Bảo
P=1069 | X=0106.850-0330.490 | Y=0509.660-0520.900 | Thị có hiện trạng là đường nhựa, bê tông xi măng:
P=1069 | X=0092.900-0104.020 | Y=0517.540-0526.860 | 81
P=1069 | X=0423.050-0439.690 | Y=0517.540-0526.860 | 630
P=1069 | X=0459.290-0475.930 | Y=0517.540-0526.860 | 440
P=1069 | X=0505.390-0522.030 | Y=0517.540-0526.860 | 380
P=1069 | X=0106.850-0392.640 | Y=0527.180-0538.420 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1069 | X=0106.850-0330.490 | Y=0544.490-0555.730 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1069 | X=0106.850-0392.110 | Y=0562.250-0573.490 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1069 | X=0106.850-0379.510 | Y=0573.770-0585.010 | Đường tỉnh 765B đoạn từ Ngã ba Xuân Định + 200m đến Hết
P=1069 | X=0106.850-0394.830 | Y=0585.290-0596.530 | nghĩa địa Bảo Thị có hiện trạng là đường nhựa, bê tông xi măng:
P=1069 | X=0092.900-0104.020 | Y=0593.170-0602.490 | 82
P=1069 | X=0414.860-0439.910 | Y=0593.170-0602.490 | 1.200
P=1069 | X=0459.290-0475.930 | Y=0593.170-0602.490 | 840
P=1069 | X=0505.390-0522.030 | Y=0593.170-0602.490 | 720
P=1069 | X=0106.850-0337.930 | Y=0602.810-0614.050 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1069 | X=0106.850-0384.020 | Y=0620.350-0631.590 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1069 | X=0106.850-0392.110 | Y=0638.110-0649.350 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1069 | X=0106.850-0379.510 | Y=0649.630-0660.870 | Đường tỉnh 765B đoạn từ Ngã ba Xuân Định + 200m đến Hết
P=1069 | X=0106.850-0394.830 | Y=0661.150-0672.390 | nghĩa địa Bảo Thị có hiện trạng là đường nhựa, bê tông xi măng:
P=1069 | X=0092.900-0104.020 | Y=0674.790-0684.110 | 83
P=1069 | X=0423.050-0439.690 | Y=0674.790-0684.110 | 730
P=1069 | X=0459.290-0475.930 | Y=0674.790-0684.110 | 510
P=1069 | X=0505.390-0522.030 | Y=0674.790-0684.110 | 440
P=1069 | X=0106.850-0338.400 | Y=0678.670-0689.910 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1069 | X=0106.850-0393.740 | Y=0696.190-0707.430 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1069 | X=0106.850-0167.970 | Y=0707.730-0718.970 | đến ≤1.000m.
P=1070 | X=0106.850-0330.020 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1070 | X=0106.850-0392.110 | Y=0096.260-0107.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1070 | X=0106.850-0379.510 | Y=0107.780-0119.020 | Đường tỉnh 765B đoạn từ Ngã ba Xuân Định + 200m đến Hết
P=1070 | X=0106.850-0394.830 | Y=0119.330-0130.570 | nghĩa địa Bảo Thị có hiện trạng là đường nhựa, bê tông xi măng:
P=1070 | X=0092.900-0104.020 | Y=0127.210-0136.530 | 84
P=1070 | X=0423.050-0439.690 | Y=0127.210-0136.530 | 570
P=1070 | X=0459.290-0475.930 | Y=0127.210-0136.530 | 400
P=1070 | X=0505.390-0522.030 | Y=0127.210-0136.530 | 340
P=1070 | X=0106.850-0392.640 | Y=0136.850-0148.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1070 | X=0106.850-0330.490 | Y=0154.370-0165.610 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1070 | X=0228.100-0308.360 | Y=0172.130-0183.370 | Hết nghĩa địa Bảo
P=1070 | X=0092.900-0183.660 | Y=0177.650-0188.890 | 85 Đường tỉnh 765B
P=1070 | X=0310.440-0369.340 | Y=0179.530-0188.850 | Cầu Suối Hai
P=1070 | X=0414.860-0439.910 | Y=0179.530-0188.850 | 2.800
P=1070 | X=0451.130-0476.180 | Y=0179.530-0188.850 | 2.000
P=1070 | X=0497.230-0522.280 | Y=0179.530-0188.850 | 1.700
P=1070 | X=0228.100-0242.100 | Y=0185.290-0194.610 | Thị
P=1070 | X=0106.850-0374.390 | Y=0201.190-0212.430 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1070 | X=0106.850-0383.510 | Y=0212.710-0223.950 | 765B đoạn từ Hết nghĩa địa Bảo Thị đến Cầu Suối Hai có hiện
P=1070 | X=0106.850-0278.630 | Y=0224.230-0235.470 | trạng là đường nhựa, bê tông xi măng:
P=1070 | X=0092.900-0104.020 | Y=0232.110-0241.430 | 86
P=1070 | X=0414.860-0439.910 | Y=0232.110-0241.430 | 1.100
P=1070 | X=0459.290-0475.930 | Y=0232.110-0241.430 | 770
P=1070 | X=0505.390-0522.030 | Y=0232.110-0241.430 | 660
P=1070 | X=0106.850-0337.930 | Y=0241.750-0252.990 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1070 | X=0106.850-0384.020 | Y=0259.270-0270.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1070 | X=0106.850-0374.390 | Y=0277.030-0288.270 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1070 | X=0106.850-0383.510 | Y=0288.580-0299.820 | 765B đoạn từ Hết nghĩa địa Bảo Thị đến Cầu Suối Hai có hiện
P=1070 | X=0106.850-0278.630 | Y=0300.100-0311.340 | trạng là đường nhựa, bê tông xi măng:
P=1070 | X=0092.900-0338.400 | Y=0317.620-0331.700 | 87 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1070 | X=0423.050-0439.690 | Y=0322.380-0331.700 | 810
P=1070 | X=0459.290-0475.930 | Y=0322.380-0331.700 | 570
P=1070 | X=0505.390-0522.030 | Y=0322.380-0331.700 | 490
P=1070 | X=0106.850-0393.740 | Y=0335.140-0346.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1070 | X=0106.850-0167.970 | Y=0346.660-0357.900 | đến ≤1.000m.
P=1070 | X=0106.850-0330.020 | Y=0363.940-0375.180 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1070 | X=0106.850-0374.390 | Y=0381.720-0392.960 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1070 | X=0106.850-0383.510 | Y=0393.240-0404.480 | 765B đoạn từ Hết nghĩa địa Bảo Thị đến Cầu Suối Hai có hiện
P=1070 | X=0106.850-0278.630 | Y=0404.760-0416.000 | trạng là đường nhựa, bê tông xi măng:
P=1070 | X=0092.900-0104.020 | Y=0412.640-0421.960 | 88
P=1070 | X=0423.050-0439.690 | Y=0412.640-0421.960 | 630
P=1070 | X=0459.290-0475.930 | Y=0412.640-0421.960 | 440
P=1070 | X=0505.390-0522.030 | Y=0412.640-0421.960 | 380
P=1070 | X=0106.850-0392.640 | Y=0422.280-0433.520 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1070 | X=0106.850-0330.490 | Y=0439.800-0451.040 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1070 | X=0106.850-0392.110 | Y=0457.580-0468.820 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1070 | X=0106.850-0383.740 | Y=0469.100-0480.340 | Đường tỉnh 765B đoạn từ Hết nghĩa địa Bảo Thị đến Cầu Suối
P=1070 | X=0106.850-0331.460 | Y=0480.620-0491.860 | Hai có hiện trạng là đường nhựa, bê tông xi măng:
P=1070 | X=0092.900-0104.020 | Y=0488.500-0497.820 | 89
