TABLE=055 | AREA=Xã Phú Lý | SECTION=non-agricultural | SEGMENTS=1
P=1824 | X=0450.410-0467.050 | Y=0219.630-0228.950 | 310
P=1824 | X=0505.390-0522.030 | Y=0219.630-0228.950 | 260
P=1824 | X=0108.530-0339.610 | Y=0229.270-0240.510 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1824 | X=0108.530-0321.780 | Y=0246.790-0258.030 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1824 | X=0108.530-0169.650 | Y=0258.310-0269.550 | thông ≤500m.
P=1824 | X=0108.530-0341.240 | Y=0276.070-0287.310 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1824 | X=0108.530-0335.350 | Y=0287.620-0298.860 | và thông ra Đường tỉnh 761 đoạn từ Hết Trung tâm
P=1824 | X=0108.530-0338.360 | Y=0299.140-0310.380 | văn hóa xã Phú Lý đến Ngã tư đường 322A có hiện
P=1824 | X=0108.530-0280.340 | Y=0310.660-0321.900 | trạng là đường nhựa, bê tông xi măng:
P=1824 | X=0093.620-0340.080 | Y=0327.180-0339.180 | 27 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1824 | X=0389.420-0406.060 | Y=0327.180-0336.500 | 380
P=1824 | X=0450.410-0467.050 | Y=0327.180-0336.500 | 270
P=1824 | X=0505.390-0522.030 | Y=0327.180-0336.500 | 230
P=1824 | X=0108.530-0321.780 | Y=0345.460-0356.700 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1824 | X=0108.530-0243.350 | Y=0356.980-0368.220 | thông từ >500m đến ≤1.000m.
P=1824 | X=0108.530-0331.700 | Y=0374.520-0385.760 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1824 | X=0108.530-0341.240 | Y=0392.280-0403.520 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1824 | X=0108.530-0335.350 | Y=0403.800-0415.040 | và thông ra Đường tỉnh 761 đoạn từ Hết Trung tâm
P=1824 | X=0108.530-0338.360 | Y=0415.320-0426.560 | văn hóa xã Phú Lý đến Ngã tư đường 322A có hiện
P=1824 | X=0108.530-0280.310 | Y=0426.840-0438.080 | trạng là đường nhựa, bê tông xi măng:
P=1824 | X=0093.620-0104.740 | Y=0434.720-0444.040 | 28
P=1824 | X=0389.420-0406.060 | Y=0434.720-0444.040 | 250
P=1824 | X=0450.410-0467.050 | Y=0434.720-0444.040 | 180
P=1824 | X=0505.390-0522.030 | Y=0434.720-0444.040 | 150
P=1824 | X=0108.530-0321.780 | Y=0444.360-0455.600 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1824 | X=0108.530-0178.510 | Y=0457.780-0467.100 | thông >1.000m.
P=1824 | X=0108.530-0332.200 | Y=0473.420-0484.660 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1824 | X=0192.070-0327.800 | Y=0491.180-0502.420 | Ngã tư đường Ngã ba đường
P=1824 | X=0093.620-0178.700 | Y=0496.940-0508.180 | 29 Đường tỉnh 761
P=1824 | X=0389.420-0406.060 | Y=0498.820-0508.140 | 700
P=1824 | X=0450.410-0467.050 | Y=0498.820-0508.140 | 490
P=1824 | X=0505.390-0522.030 | Y=0498.820-0508.140 | 420
P=1824 | X=0192.070-0215.350 | Y=0504.340-0513.660 | 322A
P=1824 | X=0262.660-0285.940 | Y=0504.340-0513.660 | 322B
P=1824 | X=0108.530-0322.760 | Y=0520.220-0531.460 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1824 | X=0108.530-0327.810 | Y=0531.740-0542.980 | Đường tỉnh 761 đoạn từ Ngã tư đường 322A đến
P=1824 | X=0108.530-0332.690 | Y=0543.290-0554.530 | Ngã ba đường 322B có hiện trạng là đường nhựa,
P=1824 | X=0108.530-0182.610 | Y=0554.810-0566.050 | bê tông xi măng:
P=1824 | X=0093.620-0104.740 | Y=0562.690-0572.010 | 30
P=1824 | X=0389.420-0406.060 | Y=0562.690-0572.010 | 350
P=1824 | X=0450.410-0467.050 | Y=0562.690-0572.010 | 250
P=1824 | X=0505.390-0522.030 | Y=0562.690-0572.010 | 210
P=1824 | X=0108.530-0339.610 | Y=0572.330-0583.570 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1824 | X=0108.530-0321.780 | Y=0589.850-0601.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1824 | X=0108.530-0169.650 | Y=0601.370-0612.610 | thông ≤500m.
P=1824 | X=0108.530-0322.760 | Y=0619.150-0630.390 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1824 | X=0108.530-0327.810 | Y=0630.670-0641.910 | Đường tỉnh 761 đoạn từ Ngã tư đường 322A đến
P=1824 | X=0108.530-0332.690 | Y=0642.190-0653.430 | Ngã ba đường 322B có hiện trạng là đường nhựa,
P=1824 | X=0108.530-0182.600 | Y=0653.710-0664.950 | bê tông xi măng:
P=1824 | X=0093.620-0104.740 | Y=0661.590-0670.910 | 31
P=1824 | X=0389.420-0406.060 | Y=0661.590-0670.910 | 280
P=1824 | X=0450.410-0467.050 | Y=0661.590-0670.910 | 200
P=1824 | X=0505.390-0522.030 | Y=0661.590-0670.910 | 170
P=1824 | X=0108.530-0340.080 | Y=0671.230-0682.470 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1824 | X=0108.530-0321.780 | Y=0688.510-0699.750 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1824 | X=0108.530-0243.350 | Y=0700.050-0711.290 | thông từ >500m đến ≤1.000m.
P=1825 | X=0108.530-0331.700 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1825 | X=0108.530-0322.760 | Y=0096.260-0107.500 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1825 | X=0108.530-0327.810 | Y=0107.780-0119.020 | Đường tỉnh 761 đoạn từ Ngã tư đường 322A đến
P=1825 | X=0108.530-0332.690 | Y=0119.330-0130.570 | Ngã ba đường 322B có hiện trạng là đường nhựa,
P=1825 | X=0108.530-0182.640 | Y=0132.730-0142.050 | bê tông xi măng:
P=1825 | X=0093.620-0104.740 | Y=0138.730-0148.050 | 32
P=1825 | X=0389.420-0406.060 | Y=0138.730-0148.050 | 220
P=1825 | X=0450.410-0467.050 | Y=0138.730-0148.050 | 150
P=1825 | X=0505.390-0522.030 | Y=0138.730-0148.050 | 130
P=1825 | X=0108.530-0321.780 | Y=0148.370-0159.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1825 | X=0108.530-0178.510 | Y=0161.530-0170.850 | thông >1.000m.
P=1825 | X=0108.530-0332.170 | Y=0177.170-0188.410 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1825 | X=0108.530-0341.240 | Y=0194.930-0206.170 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1825 | X=0108.530-0335.000 | Y=0206.470-0217.710 | và thông ra Đường tỉnh 761 đoạn từ Ngã tư đường
P=1825 | X=0108.530-0316.750 | Y=0217.990-0229.230 | 322A đến Ngã ba đường 322B có hiện trạng là
P=1825 | X=0108.530-0244.280 | Y=0229.510-0240.750 | đường nhựa, bê tông xi măng:
P=1825 | X=0093.620-0104.740 | Y=0237.390-0246.710 | 33
P=1825 | X=0389.420-0406.060 | Y=0237.390-0246.710 | 320
P=1825 | X=0450.410-0467.050 | Y=0237.390-0246.710 | 220
P=1825 | X=0505.390-0522.030 | Y=0237.390-0246.710 | 190
P=1825 | X=0108.530-0339.640 | Y=0247.030-0258.270 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1825 | X=0108.530-0321.780 | Y=0264.550-0275.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1825 | X=0108.530-0169.650 | Y=0276.070-0287.310 | thông ≤500m.
P=1825 | X=0108.530-0341.240 | Y=0293.860-0305.100 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1825 | X=0108.530-0335.000 | Y=0305.380-0316.620 | và thông ra Đường tỉnh 761 đoạn từ Ngã tư đường
P=1825 | X=0108.530-0316.750 | Y=0316.900-0328.140 | 322A đến Ngã ba đường 322B có hiện trạng là
P=1825 | X=0108.530-0244.350 | Y=0328.420-0339.660 | đường nhựa, bê tông xi măng:
P=1825 | X=0093.620-0340.080 | Y=0344.940-0356.940 | 34 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1825 | X=0389.420-0406.060 | Y=0344.940-0354.260 | 250
P=1825 | X=0450.410-0467.050 | Y=0344.940-0354.260 | 180
P=1825 | X=0505.390-0522.030 | Y=0344.940-0354.260 | 150
P=1825 | X=0108.530-0321.780 | Y=0363.220-0374.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1825 | X=0108.530-0243.380 | Y=0374.760-0386.000 | thông từ >500m đến ≤1.000m.
P=1825 | X=0108.530-0331.700 | Y=0392.280-0403.520 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1825 | X=0108.530-0341.240 | Y=0410.040-0421.280 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1825 | X=0108.530-0335.000 | Y=0421.560-0432.800 | và thông ra Đường tỉnh 761 đoạn từ Ngã tư đường
P=1825 | X=0108.530-0316.750 | Y=0433.080-0444.320 | 322A đến Ngã ba đường 322B có hiện trạng là
P=1825 | X=0108.530-0244.300 | Y=0444.600-0455.840 | đường nhựa, bê tông xi măng:
P=1825 | X=0093.620-0104.740 | Y=0452.500-0461.820 | 35
P=1825 | X=0389.420-0406.060 | Y=0452.500-0461.820 | 200
P=1825 | X=0450.410-0467.050 | Y=0452.500-0461.820 | 140
P=1825 | X=0505.390-0522.030 | Y=0452.500-0461.820 | 120
P=1825 | X=0108.530-0321.780 | Y=0462.140-0473.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1825 | X=0108.530-0178.550 | Y=0475.540-0484.860 | thông >1.000m.
P=1825 | X=0108.530-0332.170 | Y=0491.180-0502.420 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1825 | X=0262.660-0341.240 | Y=0510.820-0520.140 | Hết ranh Khu bảo
P=1825 | X=0192.070-0257.230 | Y=0514.460-0525.700 | Ngã ba đường
P=1825 | X=0093.620-0178.700 | Y=0520.220-0531.460 | 36 Đường tỉnh 761
P=1825 | X=0262.660-0334.680 | Y=0522.100-0531.420 | tồn thiên nhiên -
P=1825 | X=0389.420-0406.060 | Y=0522.100-0531.420 | 700
P=1825 | X=0450.410-0467.050 | Y=0522.100-0531.420 | 490
P=1825 | X=0505.390-0522.030 | Y=0522.100-0531.420 | 420
P=1825 | X=0192.070-0215.350 | Y=0527.860-0537.180 | 322B
P=1825 | X=0262.660-0342.920 | Y=0531.740-0542.980 | văn hóa Đồng Nai
P=1825 | X=0108.530-0322.760 | Y=0549.530-0560.770 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1825 | X=0108.530-0329.250 | Y=0561.050-0572.290 | Đường tỉnh 761 đoạn từ Ngã ba đường 322B đến
P=1825 | X=0108.530-0344.360 | Y=0572.570-0583.810 | Hết ranh Khu bảo tồn thiên nhiên - văn hóa Đồng Nai
P=1825 | X=0108.530-0315.380 | Y=0584.090-0595.330 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1825 | X=0093.620-0104.740 | Y=0591.970-0601.290 | 37
P=1825 | X=0389.420-0406.060 | Y=0591.970-0601.290 | 350
P=1825 | X=0450.410-0467.050 | Y=0591.970-0601.290 | 250
P=1825 | X=0505.390-0522.030 | Y=0591.970-0601.290 | 210
P=1825 | X=0108.530-0339.610 | Y=0601.610-0612.850 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1825 | X=0108.530-0321.780 | Y=0619.150-0630.390 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1825 | X=0108.530-0169.650 | Y=0630.670-0641.910 | thông ≤500m.
P=1825 | X=0108.530-0322.760 | Y=0648.430-0659.670 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1825 | X=0108.530-0329.250 | Y=0659.950-0671.190 | Đường tỉnh 761 đoạn từ Ngã ba đường 322B đến
P=1825 | X=0093.620-0344.360 | Y=0671.470-0685.550 | 38 Hết ranh Khu bảo tồn thiên nhiên - văn hóa Đồng Nai
P=1825 | X=0389.420-0406.060 | Y=0676.230-0685.550 | 280
P=1825 | X=0450.410-0467.050 | Y=0676.230-0685.550 | 200
P=1825 | X=0505.390-0522.030 | Y=0676.230-0685.550 | 170
P=1825 | X=0108.530-0315.390 | Y=0682.750-0693.990 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1825 | X=0108.530-0340.080 | Y=0700.290-0711.530 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1826 | X=0108.530-0323.000 | Y=0078.500-0089.740 | - Cử bề rộng từ ≥3m đến <5m, cách đường giao
P=1826 | X=0108.530-0243.350 | Y=0090.020-0101.260 | thông từ >500m đến ≤1.000m.
P=1826 | X=0108.530-0331.700 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1826 | X=0108.530-0322.760 | Y=0125.330-0136.570 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1826 | X=0108.530-0329.250 | Y=0136.850-0148.090 | Đường tỉnh 761 đoạn từ Ngã ba đường 322B đến
P=1826 | X=0108.530-0344.360 | Y=0148.370-0159.610 | Hết ranh Khu bảo tồn thiên nhiên - văn hóa Đồng Nai
P=1826 | X=0108.530-0315.400 | Y=0159.650-0170.890 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1826 | X=0093.620-0104.740 | Y=0167.530-0176.850 | 39
P=1826 | X=0389.420-0406.060 | Y=0167.530-0176.850 | 210
P=1826 | X=0450.410-0467.050 | Y=0167.530-0176.850 | 150
P=1826 | X=0505.390-0522.030 | Y=0167.530-0176.850 | 130
P=1826 | X=0108.530-0321.780 | Y=0177.170-0188.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1826 | X=0108.530-0178.510 | Y=0190.570-0199.890 | thông >1.000m.
P=1826 | X=0108.530-0332.200 | Y=0206.230-0217.470 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1826 | X=0108.530-0341.240 | Y=0223.990-0235.230 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1826 | X=0108.530-0336.690 | Y=0235.510-0246.750 | và thông ra Đường tỉnh 761 đoạn từ Ngã ba đường
P=1826 | X=0108.530-0326.120 | Y=0247.030-0258.270 | 322B đến Hết ranh Khu bảo tồn thiên nhiên - văn
P=1826 | X=0108.530-0338.840 | Y=0258.550-0269.790 | hóa Đồng Nai có hiện trạng là đường nhựa, bê tông
P=1826 | X=0093.620-0146.380 | Y=0271.950-0281.510 | 40 xi măng:
P=1826 | X=0389.420-0406.060 | Y=0272.190-0281.510 | 320
P=1826 | X=0450.410-0467.050 | Y=0272.190-0281.510 | 220
P=1826 | X=0505.390-0522.030 | Y=0272.190-0281.510 | 190
P=1826 | X=0108.530-0339.610 | Y=0287.620-0298.860 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1826 | X=0108.530-0321.780 | Y=0305.140-0316.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1826 | X=0108.530-0169.650 | Y=0316.660-0327.900 | thông ≤500m.
P=1826 | X=0108.530-0341.240 | Y=0334.420-0345.660 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1826 | X=0108.530-0336.690 | Y=0345.700-0356.940 | và thông ra Đường tỉnh 761 đoạn từ Ngã ba đường
P=1826 | X=0108.530-0326.120 | Y=0357.220-0368.460 | 322B đến Hết ranh Khu bảo tồn thiên nhiên - văn
P=1826 | X=0108.530-0338.840 | Y=0368.760-0380.000 | hóa Đồng Nai có hiện trạng là đường nhựa, bê tông
P=1826 | X=0108.530-0146.360 | Y=0380.280-0391.520 | xi măng:
P=1826 | X=0093.620-0104.740 | Y=0391.280-0400.600 | 41
P=1826 | X=0389.420-0406.060 | Y=0391.280-0400.600 | 250
P=1826 | X=0450.410-0467.050 | Y=0391.280-0400.600 | 180
P=1826 | X=0505.390-0522.030 | Y=0391.280-0400.600 | 150
P=1826 | X=0108.530-0340.080 | Y=0397.800-0409.040 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1826 | X=0108.530-0321.780 | Y=0415.320-0426.560 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1826 | X=0108.530-0243.350 | Y=0426.840-0438.080 | thông từ >500m đến ≤1.000m.
P=1826 | X=0108.530-0331.700 | Y=0444.360-0455.600 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1826 | X=0108.530-0341.240 | Y=0462.140-0473.380 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1826 | X=0108.530-0336.690 | Y=0473.660-0484.900 | và thông ra Đường tỉnh 761 đoạn từ Ngã ba đường
P=1826 | X=0108.530-0326.120 | Y=0485.180-0496.420 | 322B đến Hết ranh Khu bảo tồn thiên nhiên - văn
P=1826 | X=0108.530-0338.840 | Y=0496.460-0507.700 | hóa Đồng Nai có hiện trạng là đường nhựa, bê tông
P=1826 | X=0093.620-0146.360 | Y=0507.980-0519.420 | 42 xi măng:
P=1826 | X=0389.420-0406.060 | Y=0510.100-0519.420 | 190
P=1826 | X=0450.410-0467.050 | Y=0510.100-0519.420 | 130
P=1826 | X=0505.390-0522.030 | Y=0510.100-0519.420 | 110
P=1826 | X=0108.530-0324.680 | Y=0525.500-0536.740 | - Có bề rộng từ ≥3 m đến <5m, cách đường giao
P=1826 | X=0108.530-0178.510 | Y=0538.930-0548.250 | thông >1.000m.
P=1826 | X=0108.530-0332.170 | Y=0554.570-0565.810 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1826 | X=0262.660-0341.330 | Y=0572.330-0583.570 | Hết ranh thửa đất
P=1826 | X=0262.660-0338.840 | Y=0583.850-0595.090 | số 209, tờ BĐĐC
P=1826 | X=0262.660-0341.710 | Y=0597.250-0606.570 | số 37 về bên phải
P=1826 | X=0262.660-0336.450 | Y=0608.770-0618.090 | và hết ranh thửa
P=1826 | X=0093.620-0262.270 | Y=0612.650-0623.890 | 43 Đường Bàu Điền Đường tỉnh 761
P=1826 | X=0389.420-0406.060 | Y=0614.530-0623.850 | 630
P=1826 | X=0450.410-0467.050 | Y=0614.530-0623.850 | 440
P=1826 | X=0505.390-0522.030 | Y=0614.530-0623.850 | 380
P=1826 | X=0262.660-0324.500 | Y=0618.430-0629.670 | đất số 210, tờ
P=1826 | X=0262.660-0331.890 | Y=0629.950-0641.190 | BĐĐC số 37 về
P=1826 | X=0262.660-0332.810 | Y=0643.350-0652.670 | bên trái, xã Phú
P=1826 | X=0262.660-0273.220 | Y=0654.630-0663.950 | Lý
P=1826 | X=0108.530-0322.760 | Y=0670.510-0681.750 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1826 | X=0108.530-0331.970 | Y=0682.030-0693.270 | Đường Bàu Điền đoạn từ Đường tỉnh 761 đến Hết
P=1826 | X=0093.620-0104.740 | Y=0689.670-0698.990 | 44
P=1826 | X=0389.420-0406.060 | Y=0689.670-0698.990 | 320
P=1826 | X=0450.410-0467.050 | Y=0689.670-0698.990 | 220
P=1826 | X=0505.390-0522.030 | Y=0689.670-0698.990 | 190
P=1826 | X=0108.530-0342.910 | Y=0693.550-0704.790 | ranh thửa đất số 209, tờ BĐĐC số 37 về bên phải và
P=1826 | X=0108.530-0343.720 | Y=0705.090-0716.330 | hết ranh thửa đất số 210, tờ BĐĐC số 37 về bên trái,
P=1827 | X=0108.530-0332.100 | Y=0072.500-0083.740 | xã Phú Lý có hiện trạng là đường nhựa, bê tông xi
P=1827 | X=0108.530-0136.530 | Y=0084.020-0095.260 | măng:
P=1827 | X=0108.530-0339.610 | Y=0101.540-0112.780 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1827 | X=0108.530-0321.800 | Y=0119.090-0130.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1827 | X=0108.530-0169.660 | Y=0130.610-0141.850 | thông ≤500m.
P=1827 | X=0108.530-0322.760 | Y=0148.370-0159.610 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1827 | X=0108.530-0331.970 | Y=0159.650-0170.890 | Đường Bàu Điền đoạn từ Đường tỉnh 761 đến Hết
P=1827 | X=0108.530-0342.910 | Y=0171.170-0182.410 | ranh thửa đất số 209, tờ BĐĐC số 37 về bên phải và
P=1827 | X=0108.530-0343.720 | Y=0182.690-0193.930 | hết ranh thửa đất số 210, tờ BĐĐC số 37 về bên trái,
P=1827 | X=0108.530-0332.100 | Y=0194.210-0205.450 | xã Phú Lý có hiện trạng là đường nhựa, bê tông xi
P=1827 | X=0093.620-0136.530 | Y=0205.750-0220.310 | 45 măng:
P=1827 | X=0389.420-0406.060 | Y=0210.990-0220.310 | 250
P=1827 | X=0450.410-0467.050 | Y=0210.990-0220.310 | 180
P=1827 | X=0505.390-0522.030 | Y=0210.990-0220.310 | 150
P=1827 | X=0108.530-0342.730 | Y=0223.270-0234.510 | - Có bề rộng ≥5m, cách đường giao thông > 1.000m.
P=1827 | X=0108.530-0321.780 | Y=0240.790-0252.030 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1827 | X=0108.530-0243.380 | Y=0252.310-0263.550 | thông từ >500m đến ≤1.000m.
P=1827 | X=0108.530-0331.700 | Y=0269.830-0281.070 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1827 | X=0108.530-0322.760 | Y=0287.620-0298.860 | Các tuyến đường giao thông đấu nối trực tiếp ra
P=1827 | X=0108.530-0331.970 | Y=0299.140-0310.380 | Đường Bàu Điền đoạn từ Đường tỉnh 761 đến Hết
P=1827 | X=0108.530-0342.910 | Y=0310.660-0321.900 | ranh thửa đất số 209, tờ BĐĐC số 37 về bên phải và
P=1827 | X=0108.530-0343.720 | Y=0321.940-0333.180 | hết ranh thửa đất số 210, tờ BĐĐC số 37 về bên trái,
P=1827 | X=0108.530-0332.100 | Y=0333.460-0344.700 | xã Phú Lý có hiện trạng là đường nhựa, bê tông xi
P=1827 | X=0093.620-0104.740 | Y=0341.340-0350.660 | 46
P=1827 | X=0389.420-0406.060 | Y=0341.340-0350.660 | 230
P=1827 | X=0450.410-0467.050 | Y=0341.340-0350.660 | 160
P=1827 | X=0505.390-0522.030 | Y=0341.340-0350.660 | 140
P=1827 | X=0108.530-0136.530 | Y=0344.980-0356.220 | măng:
P=1827 | X=0108.530-0321.780 | Y=0362.500-0373.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1827 | X=0108.530-0178.550 | Y=0375.920-0385.240 | thông >1.000m.
P=1827 | X=0108.530-0332.190 | Y=0391.560-0402.800 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1827 | X=0108.530-0341.240 | Y=0409.320-0420.560 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1827 | X=0108.530-0327.810 | Y=0420.840-0432.080 | và thông ra Đường Bàu Điền đoạn từ Đường tỉnh
P=1827 | X=0108.530-0332.120 | Y=0432.360-0443.600 | 761 đến Hết ranh thửa đất số 209, tờ BĐĐC số 37
P=1827 | X=0108.530-0332.120 | Y=0443.880-0455.120 | về bên phải và hết ranh thửa đất số 210, tờ BĐĐC
P=1827 | X=0108.530-0336.680 | Y=0455.420-0466.660 | số 37 về bên trái, xã Phú Lý có hiện trạng là đường
P=1827 | X=0093.620-0104.740 | Y=0463.300-0472.620 | 47
P=1827 | X=0389.420-0406.060 | Y=0463.300-0472.620 | 290
P=1827 | X=0450.410-0467.050 | Y=0463.300-0472.620 | 200
P=1827 | X=0505.390-0522.030 | Y=0463.300-0472.620 | 170
P=1827 | X=0108.530-0211.640 | Y=0466.940-0478.180 | nhựa, bê tông xi măng:
P=1827 | X=0108.530-0339.610 | Y=0484.220-0495.460 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1827 | X=0108.530-0321.780 | Y=0501.740-0512.980 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1827 | X=0108.530-0169.650 | Y=0513.260-0524.500 | thông ≤500m.
P=1827 | X=0108.530-0341.240 | Y=0531.020-0542.260 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1827 | X=0108.530-0327.810 | Y=0542.570-0553.810 | và thông ra Đường Bàu Điền đoạn từ Đường tỉnh
P=1827 | X=0108.530-0332.120 | Y=0554.090-0565.330 | 761 đến Hết ranh thửa đất số 209, tờ BĐĐC số 37
P=1827 | X=0108.530-0332.120 | Y=0565.610-0576.850 | về bên phải và hết ranh thửa đất số 210, tờ BĐĐC
P=1827 | X=0108.530-0336.680 | Y=0577.130-0588.370 | số 37 về bên trái, xã Phú Lý có hiện trạng là đường
P=1827 | X=0093.620-0211.640 | Y=0588.650-0602.970 | 48 nhựa, bê tông xi măng:
P=1827 | X=0389.420-0406.060 | Y=0593.650-0602.970 | 230
P=1827 | X=0450.410-0467.050 | Y=0593.650-0602.970 | 160
P=1827 | X=0505.390-0522.030 | Y=0593.650-0602.970 | 140
P=1827 | X=0108.530-0340.090 | Y=0606.170-0617.410 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1827 | X=0108.530-0321.780 | Y=0623.710-0634.950 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1827 | X=0108.530-0243.350 | Y=0635.230-0646.470 | thông từ >500m đến ≤1.000m.
P=1827 | X=0108.530-0331.720 | Y=0652.510-0663.750 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1827 | X=0108.530-0341.240 | Y=0670.270-0681.510 | Các tuyến đường giao thông không đấu nối trực tiếp
P=1827 | X=0108.530-0327.810 | Y=0681.790-0693.030 | và thông ra Đường Bàu Điền đoạn từ Đường tỉnh
P=1827 | X=0093.620-0104.740 | Y=0689.430-0698.750 | 49
P=1827 | X=0389.420-0406.060 | Y=0689.430-0698.750 | 210
P=1827 | X=0450.410-0467.050 | Y=0689.430-0698.750 | 150
P=1827 | X=0505.390-0522.030 | Y=0689.430-0698.750 | 130
P=1827 | X=0108.530-0332.120 | Y=0693.310-0704.550 | 761 đến Hết ranh thửa đất số 209, tờ BĐĐC số 37
P=1827 | X=0108.530-0332.120 | Y=0704.850-0716.090 | về bên phải và hết ranh thửa đất số 210, tờ BĐĐC
P=1828 | X=0108.530-0336.680 | Y=0072.500-0083.740 | số 37 về bên trái, xã Phú Lý có hiện trạng là đường
P=1828 | X=0108.530-0211.640 | Y=0084.020-0095.260 | nhựa, bê tông xi măng:
P=1828 | X=0108.530-0321.780 | Y=0101.540-0112.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao
P=1828 | X=0108.530-0178.510 | Y=0114.940-0124.260 | thông >1.000m.
P=1828 | X=0108.530-0332.170 | Y=0130.610-0141.850 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1828 | X=0262.660-0344.600 | Y=0150.250-0159.570 | Bên phải: hết ranh
P=1828 | X=0262.660-0335.570 | Y=0159.650-0170.890 | thửa đất số 194,
P=1828 | X=0262.660-0335.330 | Y=0171.170-0182.410 | tờ bản đồ số 37,
P=1828 | X=0108.530-0178.220 | Y=0176.930-0188.170 | Đường vào khu
P=1828 | X=0262.660-0341.040 | Y=0182.690-0193.930 | BĐĐC xã Phú Lý.
P=1828 | X=0093.620-0262.270 | Y=0188.450-0199.690 | 50 khuyến khích phát Đường tỉnh 761
P=1828 | X=0389.420-0406.060 | Y=0190.330-0199.650 | 680
P=1828 | X=0450.410-0467.050 | Y=0190.330-0199.650 | 480
P=1828 | X=0505.390-0522.030 | Y=0190.330-0199.650 | 410
P=1828 | X=0262.660-0339.560 | Y=0196.090-0205.410 | Bên trái: hết ranh
P=1828 | X=0108.530-0174.150 | Y=0199.990-0211.230 | triển chăn nuôi
P=1828 | X=0262.660-0335.570 | Y=0205.750-0216.990 | thửa đất số 234,
