TABLE=003 | AREA=Phường Tam Hiệp | SECTION=non-agricultural | SEGMENTS=1
P=0108 | X=0107.330-0392.590 | Y=0661.150-0672.390 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0108 | X=0107.330-0389.510 | Y=0672.670-0683.910 | Đường Dương Bạch Mai đoạn từ Đường Phạm Văn Thuận đến
P=0108 | X=0092.900-0399.150 | Y=0683.190-0695.430 | 63 Đường Đồng Khởi có hiện trạng là đường nhựa, bê tông xi măng:
P=0108 | X=0410.060-0435.110 | Y=0683.190-0692.510 | 4.800
P=0108 | X=0452.810-0477.850 | Y=0683.190-0692.510 | 3.400
P=0108 | X=0497.230-0522.280 | Y=0683.190-0692.510 | 2.900
P=0108 | X=0107.330-0384.740 | Y=0701.730-0712.970 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0109 | X=0107.330-0333.620 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0109 | X=0229.300-0287.700 | Y=0096.260-0107.500 | Đường Đồng
P=0109 | X=0311.640-0383.970 | Y=0096.260-0107.500 | Đường vành đai
P=0109 | X=0092.900-0216.830 | Y=0102.020-0113.260 | 64 Đường Phạm Văn Khoai
P=0109 | X=0404.540-0435.110 | Y=0103.900-0113.220 | 27.900
P=0109 | X=0447.290-0477.860 | Y=0103.900-0113.220 | 19.500
P=0109 | X=0491.710-0522.280 | Y=0103.900-0113.220 | 16.700
P=0109 | X=0311.640-0371.740 | Y=0107.780-0119.020 | sân vận động
P=0109 | X=0229.300-0250.500 | Y=0109.660-0118.980 | Khởi
P=0109 | X=0107.330-0384.620 | Y=0125.570-0136.810 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phạm
P=0109 | X=0107.330-0389.000 | Y=0137.090-0148.330 | Văn Khoai đoạn từ Đường Đồng Khởi đến Đường vành đai sân
P=0109 | X=0107.330-0358.100 | Y=0148.610-0159.850 | vận động có hiện trạng là đường nhựa, bê tông xi măng:
P=0109 | X=0092.900-0104.020 | Y=0156.490-0165.810 | 65
P=0109 | X=0404.540-0435.110 | Y=0156.490-0165.810 | 14.000
P=0109 | X=0452.810-0477.860 | Y=0156.490-0165.810 | 9.800
P=0109 | X=0497.230-0522.280 | Y=0156.490-0165.810 | 8.400
P=0109 | X=0107.330-0330.240 | Y=0166.130-0177.370 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0109 | X=0107.330-0384.500 | Y=0183.410-0194.650 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0109 | X=0107.330-0384.620 | Y=0201.190-0212.430 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phạm
P=0109 | X=0107.330-0389.020 | Y=0212.710-0223.950 | Văn Khoai đoạn từ Đường Đồng Khởi đến Đường vành đai sân
P=0109 | X=0107.330-0358.100 | Y=0224.230-0235.470 | vận động có hiện trạng là đường nhựa, bê tông xi măng:
P=0109 | X=0092.900-0330.500 | Y=0241.750-0256.070 | 66 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0109 | X=0410.060-0435.110 | Y=0246.750-0256.070 | 7.500
P=0109 | X=0452.810-0477.860 | Y=0246.750-0256.070 | 5.300
P=0109 | X=0497.230-0522.280 | Y=0246.750-0256.070 | 4.500
P=0109 | X=0107.330-0394.220 | Y=0259.270-0270.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0109 | X=0107.330-0160.290 | Y=0270.790-0282.030 | đến ≤600m.
P=0109 | X=0107.330-0330.500 | Y=0288.340-0299.580 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0109 | X=0107.330-0384.620 | Y=0306.100-0317.340 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phạm
P=0109 | X=0107.330-0389.000 | Y=0317.620-0328.860 | Văn Khoai đoạn từ Đường Đồng Khởi đến Đường vành đai sân
P=0109 | X=0107.330-0358.100 | Y=0329.140-0340.380 | vận động có hiện trạng là đường nhựa, bê tông xi măng:
P=0109 | X=0092.900-0104.020 | Y=0337.020-0346.340 | 67
P=0109 | X=0410.060-0435.110 | Y=0337.020-0346.340 | 4.900
P=0109 | X=0452.810-0477.860 | Y=0337.020-0346.340 | 3.400
P=0109 | X=0497.230-0522.280 | Y=0337.020-0346.340 | 2.900
P=0109 | X=0107.330-0384.740 | Y=0346.660-0357.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0109 | X=0107.330-0330.970 | Y=0363.940-0375.180 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0109 | X=0107.330-0392.590 | Y=0381.720-0392.960 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0109 | X=0107.330-0393.110 | Y=0393.240-0404.480 | Đường Phạm Văn Khoai đoạn từ Đường Đồng Khởi đến Đường
P=0109 | X=0107.330-0386.840 | Y=0404.760-0416.000 | vành đai sân vận động có hiện trạng là đường nhựa, bê tông xi
P=0109 | X=0092.900-0135.330 | Y=0416.280-0427.720 | 68 măng:
P=0109 | X=0404.540-0435.110 | Y=0418.400-0427.720 | 12.600
P=0109 | X=0452.810-0477.860 | Y=0418.400-0427.720 | 8.800
P=0109 | X=0497.230-0522.280 | Y=0418.400-0427.720 | 7.600
P=0109 | X=0107.330-0330.260 | Y=0433.800-0445.040 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0109 | X=0107.330-0384.500 | Y=0451.340-0462.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0109 | X=0107.330-0392.590 | Y=0469.100-0480.340 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0109 | X=0107.330-0393.110 | Y=0480.620-0491.860 | Đường Phạm Văn Khoai đoạn từ Đường Đồng Khởi đến Đường
P=0109 | X=0107.330-0386.840 | Y=0492.140-0503.380 | vành đai sân vận động có hiện trạng là đường nhựa, bê tông xi
P=0109 | X=0107.330-0135.330 | Y=0503.660-0514.900 | măng:
P=0109 | X=0092.900-0330.500 | Y=0520.180-0532.420 | 69 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0109 | X=0410.060-0435.110 | Y=0520.180-0529.500 | 6.800
P=0109 | X=0452.810-0477.860 | Y=0520.180-0529.500 | 4.800
P=0109 | X=0497.230-0522.280 | Y=0520.180-0529.500 | 4.100
P=0109 | X=0107.330-0394.220 | Y=0538.490-0549.730 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0109 | X=0107.330-0160.290 | Y=0550.010-0561.250 | đến ≤600m.
P=0109 | X=0107.330-0330.500 | Y=0567.530-0578.770 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0109 | X=0107.330-0392.590 | Y=0585.290-0596.530 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0109 | X=0107.330-0393.110 | Y=0596.810-0608.050 | Đường Phạm Văn Khoai đoạn từ Đường Đồng Khởi đến Đường
P=0109 | X=0107.330-0386.840 | Y=0608.330-0619.570 | vành đai sân vận động có hiện trạng là đường nhựa, bê tông xi
P=0109 | X=0092.900-0135.330 | Y=0619.870-0631.310 | 70 măng:
P=0109 | X=0410.060-0435.110 | Y=0621.990-0631.310 | 4.400
P=0109 | X=0452.810-0477.850 | Y=0621.990-0631.310 | 3.100
P=0109 | X=0497.230-0522.280 | Y=0621.990-0631.310 | 2.600
P=0109 | X=0107.330-0384.740 | Y=0637.390-0648.630 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0109 | X=0107.330-0333.620 | Y=0654.910-0666.150 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0109 | X=0311.640-0390.310 | Y=0672.670-0683.910 | Hết ranh thửa đất
P=0109 | X=0229.300-0287.700 | Y=0684.190-0695.430 | Đường Đồng
P=0109 | X=0311.640-0401.030 | Y=0684.190-0695.430 | số 418, tờ BĐĐC số
P=0109 | X=0092.900-0206.460 | Y=0689.950-0701.190 | 71 Đường Nguyễn Văn A
P=0109 | X=0404.540-0435.110 | Y=0691.830-0701.150 | 26.600
P=0109 | X=0447.290-0477.860 | Y=0691.830-0701.150 | 18.600
P=0109 | X=0491.710-0522.280 | Y=0691.830-0701.150 | 16.000
P=0109 | X=0229.300-0250.500 | Y=0697.590-0706.910 | Khởi
P=0109 | X=0311.640-0396.460 | Y=0697.590-0706.910 | 114 về bên phải và
P=0109 | X=0311.640-0388.630 | Y=0707.250-0718.490 | hết ranh thửa đất
P=0110 | X=0311.640-0401.030 | Y=0072.500-0083.740 | số 465, tờ BĐĐC số
P=0110 | X=0311.640-0377.960 | Y=0085.900-0095.220 | 114 về bên trái
P=0110 | X=0107.330-0392.870 | Y=0101.780-0113.020 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn
P=0110 | X=0107.330-0392.950 | Y=0113.300-0124.540 | Văn A đoạn từ Đường Đồng Khởi đến Hết ranh thửa đất số 418,
P=0110 | X=0107.330-0375.640 | Y=0124.850-0136.090 | tờ BĐĐC số 114 về bên phải và hết ranh thửa đất số 465, tờ
P=0110 | X=0107.330-0396.920 | Y=0136.370-0147.610 | BĐĐC số 114 về bên trái có hiện trạng là đường nhựa, bê tông xi
P=0110 | X=0092.900-0104.020 | Y=0144.250-0153.570 | 72
P=0110 | X=0404.540-0435.110 | Y=0144.250-0153.570 | 14.000
P=0110 | X=0452.810-0477.860 | Y=0144.250-0153.570 | 9.800
P=0110 | X=0497.230-0522.280 | Y=0144.250-0153.570 | 8.400
P=0110 | X=0107.330-0135.330 | Y=0147.650-0158.890 | măng:
P=0110 | X=0107.330-0330.240 | Y=0165.170-0176.410 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0110 | X=0107.330-0384.500 | Y=0182.690-0193.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0110 | X=0107.330-0392.870 | Y=0200.470-0211.710 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn
P=0110 | X=0107.330-0392.950 | Y=0211.990-0223.230 | Văn A đoạn từ Đường Đồng Khởi đến Hết ranh thửa đất số 418,
P=0110 | X=0107.330-0375.640 | Y=0223.510-0234.750 | tờ BĐĐC số 114 về bên phải và hết ranh thửa đất số 465, tờ
P=0110 | X=0107.330-0396.920 | Y=0235.030-0246.270 | BĐĐC số 114 về bên trái có hiện trạng là đường nhựa, bê tông xi
P=0110 | X=0107.330-0135.330 | Y=0246.550-0257.790 | măng:
P=0110 | X=0092.900-0104.020 | Y=0257.310-0266.630 | 73
P=0110 | X=0410.060-0435.110 | Y=0257.310-0266.630 | 7.500
P=0110 | X=0452.810-0477.860 | Y=0257.310-0266.630 | 5.300
P=0110 | X=0497.230-0522.280 | Y=0257.310-0266.630 | 4.500
P=0110 | X=0107.330-0330.500 | Y=0264.070-0275.310 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0110 | X=0107.330-0394.220 | Y=0281.620-0292.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0110 | X=0107.330-0160.290 | Y=0293.140-0304.380 | đến ≤600m.
P=0110 | X=0107.330-0330.500 | Y=0310.660-0321.900 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0110 | X=0107.330-0392.870 | Y=0328.420-0339.660 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn
P=0110 | X=0107.330-0392.950 | Y=0339.700-0350.940 | Văn A đoạn từ Đường Đồng Khởi đến Hết ranh thửa đất số 418,
P=0110 | X=0107.330-0375.640 | Y=0351.220-0362.460 | tờ BĐĐC số 114 về bên phải và hết ranh thửa đất số 465, tờ
P=0110 | X=0107.330-0396.920 | Y=0362.740-0373.980 | BĐĐC số 114 về bên trái có hiện trạng là đường nhựa, bê tông xi
P=0110 | X=0092.900-0104.020 | Y=0370.640-0379.960 | 74
P=0110 | X=0410.060-0435.110 | Y=0370.640-0379.960 | 4.900
P=0110 | X=0452.810-0477.860 | Y=0370.640-0379.960 | 3.400
P=0110 | X=0497.230-0522.280 | Y=0370.640-0379.960 | 2.900
P=0110 | X=0107.330-0135.330 | Y=0374.280-0385.520 | măng:
P=0110 | X=0107.330-0384.740 | Y=0391.800-0403.040 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0110 | X=0107.330-0330.970 | Y=0409.320-0420.560 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0110 | X=0107.330-0392.590 | Y=0427.080-0438.320 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0110 | X=0107.330-0389.020 | Y=0438.600-0449.840 | Đường Nguyễn Văn A đoạn từ Đường Đồng Khởi đến Hết ranh
P=0110 | X=0107.330-0387.100 | Y=0450.140-0461.380 | thửa đất số 418, tờ BĐĐC số 114 về bên phải và hết ranh thửa
P=0110 | X=0107.330-0386.380 | Y=0461.660-0472.900 | đất số 465, tờ BĐĐC số 114 về bên trái có hiện trạng là đường
P=0110 | X=0092.900-0104.020 | Y=0469.540-0478.860 | 75
P=0110 | X=0404.540-0435.110 | Y=0469.540-0478.860 | 12.600
P=0110 | X=0452.810-0477.860 | Y=0469.540-0478.860 | 8.800
P=0110 | X=0497.230-0522.280 | Y=0469.540-0478.860 | 7.600
P=0110 | X=0107.330-0210.440 | Y=0473.180-0484.420 | nhựa, bê tông xi măng:
P=0110 | X=0107.330-0330.240 | Y=0490.460-0501.700 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0110 | X=0107.330-0384.500 | Y=0507.980-0519.220 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0110 | X=0107.330-0392.590 | Y=0525.740-0536.980 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0110 | X=0107.330-0389.020 | Y=0537.290-0548.530 | Đường Nguyễn Văn A đoạn từ Đường Đồng Khởi đến Hết ranh
P=0110 | X=0107.330-0387.100 | Y=0548.810-0560.050 | thửa đất số 418, tờ BĐĐC số 114 về bên phải và hết ranh thửa
P=0110 | X=0107.330-0386.380 | Y=0560.330-0571.570 | đất số 465, tờ BĐĐC số 114 về bên trái có hiện trạng là đường
P=0110 | X=0107.330-0210.440 | Y=0571.850-0583.090 | nhựa, bê tông xi măng:
P=0110 | X=0092.900-0104.020 | Y=0582.850-0592.170 | 76
P=0110 | X=0410.060-0435.110 | Y=0582.850-0592.170 | 6.800
P=0110 | X=0452.810-0477.860 | Y=0582.850-0592.170 | 4.800
P=0110 | X=0497.230-0522.280 | Y=0582.850-0592.170 | 4.100
P=0110 | X=0107.330-0330.500 | Y=0589.370-0600.610 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0110 | X=0107.330-0394.220 | Y=0606.890-0618.130 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0110 | X=0107.330-0160.290 | Y=0618.430-0629.670 | đến ≤600m.
P=0110 | X=0107.330-0330.500 | Y=0635.950-0647.190 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0110 | X=0107.330-0392.590 | Y=0653.710-0664.950 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0110 | X=0107.330-0389.020 | Y=0665.230-0676.470 | Đường Nguyễn Văn A đoạn từ Đường Đồng Khởi đến Hết ranh
P=0110 | X=0092.900-0387.100 | Y=0676.510-0687.750 | 77 thửa đất số 418, tờ BĐĐC số 114 về bên phải và hết ranh thửa
P=0110 | X=0410.060-0435.110 | Y=0678.390-0687.710 | 4.400
P=0110 | X=0452.810-0477.860 | Y=0678.390-0687.710 | 3.100
P=0110 | X=0497.230-0522.280 | Y=0678.390-0687.710 | 2.600
P=0110 | X=0107.330-0386.380 | Y=0688.030-0699.270 | đất số 465, tờ BĐĐC số 114 về bên trái có hiện trạng là đường
P=0110 | X=0107.330-0210.440 | Y=0699.550-0710.790 | nhựa, bê tông xi măng:
P=0111 | X=0107.330-0384.740 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0111 | X=0107.330-0333.620 | Y=0096.020-0107.260 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0111 | X=0229.300-0309.800 | Y=0113.780-0125.020 | Đường Nguyễn Ái
P=0111 | X=0092.900-0200.260 | Y=0119.570-0130.810 | 78 Đường Bùi Văn Bình
P=0111 | X=0311.640-0435.110 | Y=0119.570-0130.810 | Đường ray tàu hỏa 19.800
P=0111 | X=0447.290-0477.860 | Y=0121.450-0130.770 | 13.900
P=0111 | X=0491.710-0522.280 | Y=0121.450-0130.770 | 11.900
P=0111 | X=0229.300-0253.300 | Y=0127.210-0136.530 | Quốc
P=0111 | X=0107.330-0393.550 | Y=0143.090-0154.330 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bùi Văn
P=0111 | X=0107.330-0395.260 | Y=0154.610-0165.850 | Bình đoạn từ Đường Nguyễn Ái Quốc đến Đường ray tàu hỏa có
P=0111 | X=0107.330-0300.940 | Y=0166.130-0177.370 | hiện trạng là đường nhựa, bê tông xi măng:
P=0111 | X=0092.900-0104.020 | Y=0174.010-0183.330 | 79
P=0111 | X=0404.540-0435.110 | Y=0174.010-0183.330 | 11.200
P=0111 | X=0452.810-0477.860 | Y=0174.010-0183.330 | 7.800
P=0111 | X=0497.230-0522.280 | Y=0174.010-0183.330 | 6.700
P=0111 | X=0107.330-0330.240 | Y=0183.410-0194.650 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0111 | X=0107.330-0384.500 | Y=0200.950-0212.190 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0111 | X=0107.330-0393.550 | Y=0218.710-0229.950 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bùi Văn
P=0111 | X=0107.330-0395.260 | Y=0230.230-0241.470 | Bình đoạn từ Đường Nguyễn Ái Quốc đến Đường ray tàu hỏa có
P=0111 | X=0107.330-0300.940 | Y=0241.750-0252.990 | hiện trạng là đường nhựa, bê tông xi măng:
P=0111 | X=0092.900-0330.500 | Y=0259.270-0273.590 | 80 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0111 | X=0410.060-0435.110 | Y=0264.270-0273.590 | 5.200
P=0111 | X=0452.810-0477.860 | Y=0264.270-0273.590 | 3.600
P=0111 | X=0497.230-0522.270 | Y=0264.270-0273.590 | 3.100
P=0111 | X=0107.330-0394.220 | Y=0276.790-0288.030 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0111 | X=0107.330-0160.290 | Y=0288.340-0299.580 | đến ≤600m.
P=0111 | X=0107.330-0330.500 | Y=0305.860-0317.100 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0111 | X=0107.330-0393.550 | Y=0323.620-0334.860 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bùi Văn
P=0111 | X=0107.330-0395.260 | Y=0335.140-0346.380 | Bình đoạn từ Đường Nguyễn Ái Quốc đến Đường ray tàu hỏa có
P=0111 | X=0107.330-0300.940 | Y=0346.660-0357.900 | hiện trạng là đường nhựa, bê tông xi măng:
P=0111 | X=0092.900-0104.020 | Y=0354.540-0363.860 | 81
P=0111 | X=0410.060-0435.110 | Y=0354.540-0363.860 | 3.900
P=0111 | X=0452.810-0477.860 | Y=0354.540-0363.860 | 2.700
P=0111 | X=0497.230-0522.280 | Y=0354.540-0363.860 | 2.300
P=0111 | X=0107.330-0384.740 | Y=0363.940-0375.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0111 | X=0107.330-0330.970 | Y=0381.480-0392.720 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0111 | X=0107.330-0392.590 | Y=0399.240-0410.480 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0111 | X=0107.330-0401.270 | Y=0410.760-0422.000 | Đường Bùi Văn Bình đoạn từ Đường Nguyễn Ái Quốc đến Đường
P=0111 | X=0107.330-0366.740 | Y=0422.280-0433.520 | ray tàu hỏa có hiện trạng là đường nhựa, bê tông xi măng:
P=0111 | X=0092.900-0104.020 | Y=0430.160-0439.480 | 82
P=0111 | X=0404.540-0435.110 | Y=0430.160-0439.480 | 10.100
P=0111 | X=0452.810-0477.860 | Y=0430.160-0439.480 | 7.100
P=0111 | X=0497.230-0522.280 | Y=0430.160-0439.480 | 6.100
P=0111 | X=0107.330-0330.250 | Y=0439.800-0451.040 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0111 | X=0107.330-0384.500 | Y=0457.340-0468.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0111 | X=0107.330-0392.590 | Y=0475.100-0486.340 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0111 | X=0107.330-0401.270 | Y=0486.620-0497.860 | Đường Bùi Văn Bình đoạn từ Đường Nguyễn Ái Quốc đến Đường
P=0111 | X=0107.330-0366.770 | Y=0498.140-0509.380 | ray tàu hỏa có hiện trạng là đường nhựa, bê tông xi măng:
P=0111 | X=0092.900-0330.500 | Y=0515.660-0529.740 | 83 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0111 | X=0410.060-0435.110 | Y=0520.420-0529.740 | 4.700
P=0111 | X=0452.810-0477.860 | Y=0520.420-0529.740 | 3.300
P=0111 | X=0497.230-0522.280 | Y=0520.420-0529.740 | 2.800
P=0111 | X=0107.330-0394.220 | Y=0533.210-0544.450 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0111 | X=0107.330-0160.290 | Y=0544.490-0555.730 | đến ≤600m.
P=0111 | X=0107.330-0330.500 | Y=0562.010-0573.250 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0111 | X=0107.330-0392.590 | Y=0579.770-0591.010 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0111 | X=0107.330-0401.270 | Y=0591.290-0602.530 | Đường Bùi Văn Bình đoạn từ Đường Nguyễn Ái Quốc đến Đường
P=0111 | X=0107.330-0366.740 | Y=0602.810-0614.050 | ray tàu hỏa có hiện trạng là đường nhựa, bê tông xi măng:
P=0111 | X=0092.900-0104.020 | Y=0610.690-0620.010 | 84
P=0111 | X=0410.060-0435.110 | Y=0610.690-0620.010 | 3.500
P=0111 | X=0452.810-0477.860 | Y=0610.690-0620.010 | 2.500
P=0111 | X=0497.230-0522.280 | Y=0610.690-0620.010 | 2.100
P=0111 | X=0107.330-0384.740 | Y=0620.350-0631.590 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0111 | X=0107.330-0333.620 | Y=0637.870-0649.110 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0111 | X=0229.300-0310.490 | Y=0655.630-0666.870 | Đường Phạm Văn
P=0111 | X=0092.900-0226.460 | Y=0661.390-0672.630 | 85 Đường liên khu phố 6, 7, 8
P=0111 | X=0311.640-0435.110 | Y=0661.390-0672.630 | Đường Lý Văn Sâm 22.000
P=0111 | X=0447.290-0477.860 | Y=0663.270-0672.590 | 15.400
P=0111 | X=0491.710-0522.280 | Y=0663.270-0672.590 | 13.200
P=0111 | X=0229.300-0257.700 | Y=0669.030-0678.350 | Thuận
P=0111 | X=0107.330-0393.080 | Y=0684.910-0696.150 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường liên khu
P=0111 | X=0092.900-0435.110 | Y=0696.430-0707.670 | 86 phố 6, 7, 8 đoạn từ Đường Phạm Văn Thuận đến Đường Lý Văn 12.300
P=0111 | X=0452.810-0477.860 | Y=0698.310-0707.630 | 8.600
P=0111 | X=0497.230-0522.280 | Y=0698.310-0707.630 | 7.400
P=0111 | X=0107.330-0337.720 | Y=0707.970-0719.210 | Sâm có hiện trạng là đường nhựa, bê tông xi măng:
P=0112 | X=0107.330-0330.240 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0112 | X=0107.330-0384.500 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0112 | X=0107.330-0393.080 | Y=0113.780-0125.020 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường liên khu
P=0112 | X=0107.330-0394.760 | Y=0125.330-0136.570 | phố 6, 7, 8 đoạn từ Đường Phạm Văn Thuận đến Đường Lý Văn
P=0112 | X=0107.330-0337.680 | Y=0136.850-0148.090 | Sâm có hiện trạng là đường nhựa, bê tông xi măng:
P=0112 | X=0092.900-0330.500 | Y=0154.370-0168.450 | 87 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0112 | X=0410.060-0435.110 | Y=0159.130-0168.450 | 7.300
P=0112 | X=0452.810-0477.860 | Y=0159.130-0168.450 | 5.100
P=0112 | X=0497.230-0522.280 | Y=0159.130-0168.450 | 4.400
P=0112 | X=0107.330-0394.220 | Y=0171.650-0182.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0112 | X=0107.330-0160.290 | Y=0183.170-0194.410 | đến ≤600m.
P=0112 | X=0107.330-0330.500 | Y=0200.710-0211.950 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0112 | X=0107.330-0393.080 | Y=0218.470-0229.710 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường liên khu
P=0112 | X=0107.330-0394.760 | Y=0229.990-0241.230 | phố 6, 7, 8 đoạn từ Đường Phạm Văn Thuận đến Đường Lý Văn
P=0112 | X=0107.330-0337.680 | Y=0241.510-0252.750 | Sâm có hiện trạng là đường nhựa, bê tông xi măng:
P=0112 | X=0092.900-0104.020 | Y=0249.390-0258.710 | 88
P=0112 | X=0410.060-0435.100 | Y=0249.390-0258.710 | 4.700
P=0112 | X=0452.810-0477.860 | Y=0249.390-0258.710 | 3.300
P=0112 | X=0497.230-0522.280 | Y=0249.390-0258.710 | 2.800
P=0112 | X=0107.330-0384.740 | Y=0259.030-0270.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0112 | X=0107.330-0330.970 | Y=0276.550-0287.790 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0112 | X=0107.330-0392.590 | Y=0294.340-0305.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0112 | X=0107.330-0397.910 | Y=0305.860-0317.100 | Đường liên khu phố 6, 7, 8 đoạn từ Đường Phạm Văn Thuận đến
P=0112 | X=0107.330-0375.080 | Y=0317.380-0328.620 | Đường Lý Văn Sâm có hiện trạng là đường nhựa, bê tông xi
P=0112 | X=0092.900-0135.330 | Y=0328.900-0340.340 | 89 măng:
P=0112 | X=0404.540-0435.110 | Y=0331.020-0340.340 | 11.100
P=0112 | X=0452.810-0477.860 | Y=0331.020-0340.340 | 7.800
P=0112 | X=0497.230-0522.280 | Y=0331.020-0340.340 | 6.700
P=0112 | X=0107.330-0330.240 | Y=0346.420-0357.660 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0112 | X=0107.330-0384.500 | Y=0363.700-0374.940 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0112 | X=0107.330-0392.590 | Y=0381.480-0392.720 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0112 | X=0107.330-0397.910 | Y=0393.000-0404.240 | Đường liên khu phố 6, 7, 8 đoạn từ Đường Phạm Văn Thuận đến
P=0112 | X=0107.330-0375.100 | Y=0404.520-0415.760 | Đường Lý Văn Sâm có hiện trạng là đường nhựa, bê tông xi
P=0112 | X=0107.330-0135.330 | Y=0416.040-0427.280 | măng:
P=0112 | X=0092.900-0330.500 | Y=0432.800-0444.800 | 90 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0112 | X=0410.060-0435.110 | Y=0432.800-0442.120 | 6.600
P=0112 | X=0452.810-0477.860 | Y=0432.800-0442.120 | 4.600
