TABLE=042 | AREA=Xã Thống Nhất | SECTION=non-agricultural | SEGMENTS=1
P=1448 | X=0461.690-0478.330 | Y=0449.600-0458.920 | 380
P=1448 | X=0505.390-0522.030 | Y=0449.600-0458.920 | 320
P=1448 | X=0111.170-0364.480 | Y=0468.140-0479.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1448 | X=0111.170-0206.120 | Y=0479.660-0490.900 | >500m đến ≤1.000m.
P=1448 | X=0111.170-0334.340 | Y=0497.180-0508.420 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1448 | X=0111.170-0384.680 | Y=0514.940-0526.180 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1448 | X=0111.170-0366.200 | Y=0526.220-0537.460 | ra Đường Cầu Ván đoạn từ Đường song hành phía Đông
P=1448 | X=0111.170-0366.670 | Y=0537.770-0549.010 | Quốc lộ 20 đến Giáp ranh chùa Trúc Lâm có hiện trạng là
P=1448 | X=0111.170-0246.940 | Y=0549.290-0560.530 | đường nhựa, bê tông xi măng:
P=1448 | X=0094.820-0105.940 | Y=0557.170-0566.490 | 28
P=1448 | X=0414.140-0430.780 | Y=0557.170-0566.490 | 270
P=1448 | X=0461.690-0478.330 | Y=0557.170-0566.490 | 190
P=1448 | X=0505.390-0522.030 | Y=0557.170-0566.490 | 160
P=1448 | X=0111.170-0352.280 | Y=0566.810-0578.050 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1448 | X=0111.170-0153.310 | Y=0580.210-0589.530 | >1.000m.
P=1448 | X=0111.170-0334.810 | Y=0595.850-0607.090 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1448 | X=0219.430-0287.910 | Y=0615.490-0624.810 | Giáp ranh chùa
P=1448 | X=0302.760-0388.020 | Y=0619.390-0630.630 | Hết chợ Túc Trưng
P=1448 | X=0094.820-0159.730 | Y=0621.270-0630.590 | 29 Quốc lộ 20
P=1448 | X=0405.980-0431.030 | Y=0621.270-0630.590 | 2.800
P=1448 | X=0453.530-0478.580 | Y=0621.270-0630.590 | 2.000
P=1448 | X=0497.230-0522.280 | Y=0621.270-0630.590 | 1.700
P=1448 | X=0219.430-0261.650 | Y=0627.030-0636.350 | Trúc Lâm
P=1448 | X=0111.170-0376.300 | Y=0642.910-0654.150 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1448 | X=0111.170-0382.500 | Y=0654.430-0665.670 | đoạn từ Giáp ranh chùa Trúc Lâm đến Hết chợ Túc Trưng có
P=1448 | X=0111.170-0304.780 | Y=0665.950-0677.190 | hiện trạng là đường nhựa, bê tông xi măng:
P=1448 | X=0094.820-0105.940 | Y=0673.830-0683.150 | 30
P=1448 | X=0414.140-0430.780 | Y=0673.830-0683.150 | 900
P=1448 | X=0461.690-0478.330 | Y=0673.830-0683.150 | 630
P=1448 | X=0505.390-0522.030 | Y=0673.830-0683.150 | 540
P=1448 | X=0111.170-0342.250 | Y=0683.470-0694.710 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1448 | X=0111.170-0388.360 | Y=0700.770-0712.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1449 | X=0111.170-0376.300 | Y=0078.500-0089.740 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1449 | X=0111.170-0382.500 | Y=0090.020-0101.260 | đoạn từ Giáp ranh chùa Trúc Lâm đến Hết chợ Túc Trưng có
P=1449 | X=0111.170-0304.780 | Y=0101.540-0112.780 | hiện trạng là đường nhựa, bê tông xi măng:
P=1449 | X=0094.820-0342.720 | Y=0119.090-0133.170 | 31 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1449 | X=0414.140-0430.780 | Y=0123.850-0133.170 | 570
P=1449 | X=0461.690-0478.330 | Y=0123.850-0133.170 | 400
P=1449 | X=0505.390-0522.030 | Y=0123.850-0133.170 | 340
P=1449 | X=0111.170-0364.480 | Y=0136.610-0147.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1449 | X=0111.170-0206.120 | Y=0148.130-0159.370 | >500m đến ≤1.000m.
P=1449 | X=0111.170-0334.340 | Y=0165.410-0176.650 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1449 | X=0111.170-0376.300 | Y=0183.170-0194.410 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1449 | X=0111.170-0382.500 | Y=0194.690-0205.930 | đoạn từ Giáp ranh chùa Trúc Lâm đến Hết chợ Túc Trưng có
P=1449 | X=0111.170-0304.780 | Y=0206.230-0217.470 | hiện trạng là đường nhựa, bê tông xi măng:
P=1449 | X=0094.820-0105.940 | Y=0219.870-0229.190 | 32
P=1449 | X=0414.140-0430.780 | Y=0219.870-0229.190 | 450
P=1449 | X=0461.690-0478.330 | Y=0219.870-0229.190 | 320
P=1449 | X=0505.390-0522.030 | Y=0219.870-0229.190 | 270
P=1449 | X=0111.170-0352.280 | Y=0223.750-0234.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1449 | X=0111.170-0153.310 | Y=0237.150-0246.470 | >1.000m.
P=1449 | X=0111.170-0334.810 | Y=0252.790-0264.030 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1449 | X=0111.170-0384.680 | Y=0270.550-0281.790 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1449 | X=0111.170-0382.600 | Y=0282.100-0293.340 | ra Quốc lộ 20 đoạn từ Giáp ranh chùa Trúc Lâm đến Hết chợ
P=1449 | X=0111.170-0367.450 | Y=0293.620-0304.860 | Túc Trưng có hiện trạng là đường nhựa, bê tông xi măng:
P=1449 | X=0094.820-0105.940 | Y=0301.500-0310.820 | 33
P=1449 | X=0414.140-0430.780 | Y=0301.500-0310.820 | 810
P=1449 | X=0461.690-0478.330 | Y=0301.500-0310.820 | 570
P=1449 | X=0505.390-0522.030 | Y=0301.500-0310.820 | 490
P=1449 | X=0111.170-0342.250 | Y=0311.140-0322.380 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1449 | X=0111.170-0388.360 | Y=0328.660-0339.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1449 | X=0111.170-0384.680 | Y=0346.420-0357.660 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1449 | X=0111.170-0382.600 | Y=0357.700-0368.940 | ra Quốc lộ 20 đoạn từ Giáp ranh chùa Trúc Lâm đến Hết chợ
P=1449 | X=0111.170-0367.450 | Y=0369.240-0380.480 | Túc Trưng có hiện trạng là đường nhựa, bê tông xi măng:
P=1449 | X=0094.820-0342.720 | Y=0386.760-0401.080 | 34 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1449 | X=0414.140-0430.780 | Y=0391.760-0401.080 | 510
P=1449 | X=0461.690-0478.330 | Y=0391.760-0401.080 | 360
P=1449 | X=0505.390-0522.030 | Y=0391.760-0401.080 | 310
P=1449 | X=0111.170-0364.480 | Y=0404.280-0415.520 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1449 | X=0111.170-0206.120 | Y=0415.800-0427.040 | >500m đến ≤1.000m.
P=1449 | X=0111.170-0334.340 | Y=0433.320-0444.560 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1449 | X=0111.170-0384.680 | Y=0451.100-0462.340 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1449 | X=0111.170-0382.600 | Y=0462.620-0473.860 | ra Quốc lộ 20 đoạn từ Giáp ranh chùa Trúc Lâm đến Hết chợ
P=1449 | X=0111.170-0367.450 | Y=0474.140-0485.380 | Túc Trưng có hiện trạng là đường nhựa, bê tông xi măng:
P=1449 | X=0094.820-0105.940 | Y=0487.780-0497.100 | 35
P=1449 | X=0414.140-0430.780 | Y=0487.780-0497.100 | 410
P=1449 | X=0461.690-0478.330 | Y=0487.780-0497.100 | 290
P=1449 | X=0505.390-0522.030 | Y=0487.780-0497.100 | 250
P=1449 | X=0111.170-0352.280 | Y=0491.660-0502.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1449 | X=0111.170-0153.310 | Y=0505.060-0514.380 | >1.000m.
P=1449 | X=0111.170-0334.810 | Y=0520.460-0531.700 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1449 | X=0302.760-0385.080 | Y=0538.250-0549.490 | Hết Trường THCS
P=1449 | X=0219.430-0274.650 | Y=0540.130-0549.450 | Hết chợ Túc
P=1449 | X=0094.820-0159.730 | Y=0545.890-0555.210 | 36 Quốc lộ 20
P=1449 | X=0405.980-0431.030 | Y=0545.890-0555.210 | 3.800
P=1449 | X=0453.530-0478.580 | Y=0545.890-0555.210 | 2.700
P=1449 | X=0497.230-0522.280 | Y=0545.890-0555.210 | 2.300
P=1449 | X=0219.430-0246.870 | Y=0549.770-0561.010 | Trưng
P=1449 | X=0302.760-0341.240 | Y=0549.770-0561.010 | Điểu Cải
P=1449 | X=0111.170-0376.300 | Y=0567.530-0578.770 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1449 | X=0111.170-0378.940 | Y=0579.050-0590.290 | đoạn từ Hết chợ Túc Trưng đến Hết Trường THCS Điểu Cải
P=1449 | X=0111.170-0318.020 | Y=0590.570-0601.810 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1449 | X=0094.820-0105.940 | Y=0598.450-0607.770 | 37
P=1449 | X=0414.140-0430.780 | Y=0598.450-0607.770 | 930
P=1449 | X=0461.690-0478.330 | Y=0598.450-0607.770 | 650
P=1449 | X=0505.390-0522.030 | Y=0598.450-0607.770 | 560
P=1449 | X=0111.170-0342.250 | Y=0608.090-0619.330 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1449 | X=0111.170-0388.360 | Y=0625.630-0636.870 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1449 | X=0111.170-0376.300 | Y=0643.390-0654.630 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1449 | X=0111.170-0378.940 | Y=0654.910-0666.150 | đoạn từ Hết chợ Túc Trưng đến Hết Trường THCS Điểu Cải
P=1449 | X=0111.170-0318.020 | Y=0666.430-0677.670 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1449 | X=0094.820-0105.940 | Y=0674.310-0683.630 | 38
P=1449 | X=0414.140-0430.780 | Y=0674.310-0683.630 | 810
P=1449 | X=0461.690-0478.330 | Y=0674.310-0683.630 | 570
P=1449 | X=0505.390-0522.030 | Y=0674.310-0683.630 | 490
P=1449 | X=0111.170-0342.720 | Y=0683.950-0695.190 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1449 | X=0111.170-0364.480 | Y=0701.490-0712.730 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1450 | X=0111.170-0206.120 | Y=0072.500-0083.740 | >500m đến ≤1.000m.
P=1450 | X=0111.170-0334.340 | Y=0090.020-0101.260 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1450 | X=0111.170-0376.300 | Y=0107.780-0119.020 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1450 | X=0111.170-0378.940 | Y=0119.330-0130.570 | đoạn từ Hết chợ Túc Trưng đến Hết Trường THCS Điểu Cải
P=1450 | X=0111.170-0318.020 | Y=0130.850-0142.090 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1450 | X=0094.820-0105.940 | Y=0144.490-0153.810 | 39
P=1450 | X=0414.140-0430.780 | Y=0144.490-0153.810 | 580
P=1450 | X=0461.690-0478.330 | Y=0144.490-0153.810 | 410
P=1450 | X=0505.390-0522.030 | Y=0144.490-0153.810 | 350
P=1450 | X=0111.170-0352.280 | Y=0148.370-0159.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1450 | X=0111.170-0153.310 | Y=0161.530-0170.850 | >1.000m.
P=1450 | X=0111.170-0334.810 | Y=0177.170-0188.410 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1450 | X=0111.170-0384.680 | Y=0194.930-0206.170 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1450 | X=0111.170-0370.780 | Y=0206.470-0217.710 | ra Quốc lộ 20 đoạn từ Hết chợ Túc Trưng đến Hết Trường
P=1450 | X=0111.170-0389.310 | Y=0217.990-0229.230 | THCS Điểu Cải có hiện trạng là đường nhựa, bê tông xi măng:
P=1450 | X=0094.820-0105.940 | Y=0225.870-0235.190 | 40
P=1450 | X=0414.140-0430.780 | Y=0225.870-0235.190 | 840
P=1450 | X=0461.690-0478.330 | Y=0225.870-0235.190 | 590
P=1450 | X=0505.390-0522.030 | Y=0225.870-0235.190 | 500
P=1450 | X=0111.170-0342.250 | Y=0235.510-0246.750 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1450 | X=0111.170-0388.360 | Y=0253.030-0264.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1450 | X=0111.170-0384.680 | Y=0270.790-0282.030 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1450 | X=0111.170-0370.780 | Y=0282.340-0293.580 | ra Quốc lộ 20 đoạn từ Hết chợ Túc Trưng đến Hết Trường
P=1450 | X=0111.170-0389.310 | Y=0293.860-0305.100 | THCS Điểu Cải có hiện trạng là đường nhựa, bê tông xi măng:
P=1450 | X=0094.820-0342.720 | Y=0311.380-0325.460 | 41 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1450 | X=0414.140-0430.780 | Y=0316.140-0325.460 | 730
P=1450 | X=0461.690-0478.330 | Y=0316.140-0325.460 | 510
P=1450 | X=0505.390-0522.030 | Y=0316.140-0325.460 | 440
P=1450 | X=0111.170-0364.480 | Y=0328.900-0340.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1450 | X=0111.170-0206.120 | Y=0340.420-0351.660 | >500m đến ≤1.000m.
P=1450 | X=0111.170-0334.340 | Y=0357.700-0368.940 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1450 | X=0111.170-0384.680 | Y=0375.480-0386.720 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1450 | X=0111.170-0370.780 | Y=0387.000-0398.240 | ra Quốc lộ 20 đoạn từ Hết chợ Túc Trưng đến Hết Trường
P=1450 | X=0111.170-0389.310 | Y=0398.520-0409.760 | THCS Điểu Cải có hiện trạng là đường nhựa, bê tông xi măng:
P=1450 | X=0094.820-0105.940 | Y=0412.160-0421.480 | 42
P=1450 | X=0414.140-0430.780 | Y=0412.160-0421.480 | 520
P=1450 | X=0461.690-0478.330 | Y=0412.160-0421.480 | 360
P=1450 | X=0505.390-0522.030 | Y=0412.160-0421.480 | 310
P=1450 | X=0111.170-0352.280 | Y=0416.040-0427.280 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1450 | X=0111.170-0153.310 | Y=0429.440-0438.760 | >1.000m.
P=1450 | X=0111.170-0334.810 | Y=0445.080-0456.320 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1450 | X=0302.760-0389.260 | Y=0462.860-0474.100 | Hết ranh đại lý Bưu
P=1450 | X=0094.820-0184.690 | Y=0468.620-0479.860 | 43 Đường Cầu Ván
P=1450 | X=0219.430-0268.020 | Y=0470.500-0479.820 | Quốc lộ 20
P=1450 | X=0405.980-0431.030 | Y=0470.500-0479.820 | 1.800
P=1450 | X=0453.530-0478.580 | Y=0470.500-0479.820 | 1.300
P=1450 | X=0497.230-0522.280 | Y=0470.500-0479.820 | 1.100
P=1450 | X=0302.760-0375.350 | Y=0474.380-0485.620 | điện ấp Tân Lập
P=1450 | X=0111.170-0380.630 | Y=0492.140-0503.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Cầu
P=1450 | X=0111.170-0381.580 | Y=0503.660-0514.900 | Ván đoạn từ Quốc lộ 20 đến Hết ranh đại lý Bưu điện ấp Tân
P=1450 | X=0111.170-0337.460 | Y=0515.180-0526.420 | Lập có hiện trạng là đường nhựa, bê tông xi măng:
P=1450 | X=0094.820-0105.940 | Y=0523.060-0532.380 | 44
P=1450 | X=0414.140-0430.810 | Y=0523.060-0532.380 | 950
P=1450 | X=0461.690-0478.330 | Y=0523.060-0532.380 | 670
P=1450 | X=0505.390-0522.030 | Y=0523.060-0532.380 | 570
P=1450 | X=0111.170-0342.250 | Y=0532.490-0543.730 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1450 | X=0111.170-0388.360 | Y=0550.010-0561.250 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1450 | X=0111.170-0380.630 | Y=0567.770-0579.010 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Cầu
P=1450 | X=0111.170-0381.580 | Y=0579.290-0590.530 | Ván đoạn từ Quốc lộ 20 đến Hết ranh đại lý Bưu điện ấp Tân
P=1450 | X=0111.170-0337.460 | Y=0590.810-0602.050 | Lập có hiện trạng là đường nhựa, bê tông xi măng:
P=1450 | X=0094.820-0342.720 | Y=0608.330-0622.650 | 45 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1450 | X=0414.140-0430.780 | Y=0613.330-0622.650 | 680
P=1450 | X=0461.690-0478.330 | Y=0613.330-0622.650 | 480
P=1450 | X=0505.390-0522.030 | Y=0613.330-0622.650 | 410
P=1450 | X=0111.170-0364.480 | Y=0625.870-0637.110 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1450 | X=0111.170-0206.120 | Y=0637.390-0648.630 | >500m đến ≤1.000m.
P=1450 | X=0111.170-0334.340 | Y=0654.910-0666.150 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1450 | X=0111.170-0380.630 | Y=0672.670-0683.910 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Cầu
P=1450 | X=0094.820-0381.580 | Y=0684.190-0695.430 | 46 Ván đoạn từ Quốc lộ 20 đến Hết ranh đại lý Bưu điện ấp Tân
P=1450 | X=0414.140-0430.780 | Y=0686.070-0695.390 | 540
P=1450 | X=0461.690-0478.330 | Y=0686.070-0695.390 | 380
P=1450 | X=0505.390-0522.030 | Y=0686.070-0695.390 | 320
P=1450 | X=0111.170-0337.460 | Y=0695.710-0706.950 | Lập có hiện trạng là đường nhựa, bê tông xi măng:
P=1451 | X=0111.170-0352.280 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1451 | X=0111.170-0153.310 | Y=0091.900-0101.220 | >1.000m.
P=1451 | X=0111.170-0334.810 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1451 | X=0111.170-0384.680 | Y=0125.330-0136.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1451 | X=0111.170-0371.400 | Y=0136.850-0148.090 | ra Đường Cầu Ván đoạn từ Quốc lộ 20 đến Hết ranh đại lý
P=1451 | X=0111.170-0384.200 | Y=0148.370-0159.610 | Bưu điện ấp Tân Lập có hiện trạng là đường nhựa, bê tông xi
P=1451 | X=0094.820-0139.170 | Y=0159.650-0171.330 | 47 măng:
P=1451 | X=0414.140-0430.780 | Y=0162.010-0171.330 | 860
P=1451 | X=0461.690-0478.330 | Y=0162.010-0171.330 | 600
P=1451 | X=0505.390-0522.030 | Y=0162.010-0171.330 | 520
P=1451 | X=0111.170-0342.250 | Y=0177.170-0188.410 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1451 | X=0111.170-0388.360 | Y=0194.690-0205.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1451 | X=0111.170-0384.680 | Y=0212.470-0223.710 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1451 | X=0111.170-0371.400 | Y=0223.990-0235.230 | ra Đường Cầu Ván đoạn từ Quốc lộ 20 đến Hết ranh đại lý
P=1451 | X=0111.170-0384.200 | Y=0235.510-0246.750 | Bưu điện ấp Tân Lập có hiện trạng là đường nhựa, bê tông xi
P=1451 | X=0111.170-0139.170 | Y=0247.030-0258.270 | măng:
P=1451 | X=0094.820-0342.720 | Y=0263.550-0275.790 | 48 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1451 | X=0414.140-0430.780 | Y=0263.550-0272.870 | 610
P=1451 | X=0461.690-0478.330 | Y=0263.550-0272.870 | 430
P=1451 | X=0505.390-0522.030 | Y=0263.550-0272.870 | 370
P=1451 | X=0111.170-0364.480 | Y=0282.100-0293.340 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1451 | X=0111.170-0206.120 | Y=0293.620-0304.860 | >500m đến ≤1.000m.
P=1451 | X=0111.170-0334.340 | Y=0311.140-0322.380 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1451 | X=0111.170-0384.680 | Y=0328.900-0340.140 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1451 | X=0111.170-0371.400 | Y=0340.420-0351.660 | ra Đường Cầu Ván đoạn từ Quốc lộ 20 đến Hết ranh đại lý
P=1451 | X=0111.170-0384.200 | Y=0351.700-0362.940 | Bưu điện ấp Tân Lập có hiện trạng là đường nhựa, bê tông xi
P=1451 | X=0111.170-0139.170 | Y=0363.220-0374.460 | măng:
P=1451 | X=0094.820-0105.940 | Y=0371.120-0380.440 | 49
P=1451 | X=0414.140-0430.780 | Y=0371.120-0380.440 | 490
P=1451 | X=0461.690-0478.330 | Y=0371.120-0380.440 | 340
P=1451 | X=0505.390-0522.030 | Y=0371.120-0380.440 | 290
P=1451 | X=0111.170-0352.280 | Y=0380.760-0392.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1451 | X=0111.170-0153.310 | Y=0394.160-0403.480 | >1.000m.
P=1451 | X=0111.170-0334.810 | Y=0409.800-0421.040 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1451 | X=0219.430-0284.240 | Y=0427.560-0438.800 | Hết ranh đại lý
P=1451 | X=0094.820-0184.690 | Y=0439.080-0450.320 | 50 Đường Cầu Ván
P=1451 | X=0219.430-0358.920 | Y=0439.080-0450.320 | Bưu điện ấp Tân Xã Gia Kiệm
P=1451 | X=0414.140-0430.780 | Y=0440.960-0450.280 | 950
P=1451 | X=0461.690-0478.330 | Y=0440.960-0450.280 | 670
P=1451 | X=0505.390-0522.030 | Y=0440.960-0450.280 | 570
P=1451 | X=0219.430-0236.100 | Y=0452.500-0461.820 | Lập
P=1451 | X=0111.170-0380.630 | Y=0468.380-0479.620 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Cầu
P=1451 | X=0111.170-0383.230 | Y=0479.900-0491.140 | Ván đoạn từ Hết ranh đại lý Bưu điện ấp Tân Lập đến Xã Gia
P=1451 | X=0111.170-0343.690 | Y=0491.420-0502.660 | Kiệm có hiện trạng là đường nhựa, bê tông xi măng:
P=1451 | X=0094.820-0105.940 | Y=0499.300-0508.620 | 51
P=1451 | X=0414.140-0430.780 | Y=0499.300-0508.620 | 410
P=1451 | X=0461.690-0478.330 | Y=0499.300-0508.620 | 290
P=1451 | X=0505.390-0522.030 | Y=0499.300-0508.620 | 250
P=1451 | X=0111.170-0342.250 | Y=0508.940-0520.180 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1451 | X=0111.170-0388.360 | Y=0526.220-0537.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1451 | X=0111.170-0380.630 | Y=0544.010-0555.250 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Cầu
P=1451 | X=0111.170-0383.230 | Y=0555.530-0566.770 | Ván đoạn từ Hết ranh đại lý Bưu điện ấp Tân Lập đến Xã Gia
P=1451 | X=0111.170-0343.690 | Y=0567.050-0578.290 | Kiệm có hiện trạng là đường nhựa, bê tông xi măng:
P=1451 | X=0094.820-0342.720 | Y=0584.570-0598.890 | 52 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1451 | X=0414.140-0430.780 | Y=0589.570-0598.890 | 270
P=1451 | X=0461.690-0478.330 | Y=0589.570-0598.890 | 190
P=1451 | X=0505.390-0522.030 | Y=0589.570-0598.890 | 160
P=1451 | X=0111.170-0364.480 | Y=0602.090-0613.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1451 | X=0111.170-0206.120 | Y=0613.610-0624.850 | >500m đến ≤1.000m.
P=1451 | X=0111.170-0334.340 | Y=0631.150-0642.390 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1451 | X=0111.170-0380.630 | Y=0648.910-0660.150 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Cầu
P=1451 | X=0111.170-0383.230 | Y=0660.430-0671.670 | Ván đoạn từ Hết ranh đại lý Bưu điện ấp Tân Lập đến Xã Gia
P=1451 | X=0094.820-0343.690 | Y=0671.950-0686.030 | 53 Kiệm có hiện trạng là đường nhựa, bê tông xi măng:
P=1451 | X=0414.140-0430.780 | Y=0676.710-0686.030 | 150
P=1451 | X=0461.690-0478.330 | Y=0676.710-0686.030 | 110
P=1451 | X=0511.150-0522.270 | Y=0676.710-0686.030 | 90
P=1451 | X=0111.170-0352.280 | Y=0689.470-0700.710 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1451 | X=0111.170-0153.310 | Y=0702.660-0711.980 | >1.000m.
P=1452 | X=0111.170-0334.810 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1452 | X=0111.170-0384.680 | Y=0096.260-0107.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1452 | X=0111.170-0378.200 | Y=0107.780-0119.020 | ra Đường Cầu Ván đoạn từ Hết ranh đại lý Bưu điện ấp Tân
P=1452 | X=0111.170-0385.420 | Y=0119.330-0130.570 | Lập đến Xã Gia Kiệm có hiện trạng là đường nhựa, bê tông xi
P=1452 | X=0094.820-0139.170 | Y=0130.850-0142.290 | 54 măng:
P=1452 | X=0414.140-0430.780 | Y=0132.970-0142.290 | 370
P=1452 | X=0461.690-0478.330 | Y=0132.970-0142.290 | 260
P=1452 | X=0505.390-0522.030 | Y=0132.970-0142.290 | 220
P=1452 | X=0111.170-0342.250 | Y=0148.370-0159.610 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1452 | X=0111.170-0388.360 | Y=0165.650-0176.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1452 | X=0111.170-0384.680 | Y=0183.410-0194.650 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1452 | X=0111.170-0378.200 | Y=0194.930-0206.170 | ra Đường Cầu Ván đoạn từ Hết ranh đại lý Bưu điện ấp Tân
P=1452 | X=0111.170-0385.390 | Y=0206.470-0217.710 | Lập đến Xã Gia Kiệm có hiện trạng là đường nhựa, bê tông xi
P=1452 | X=0111.170-0139.170 | Y=0217.990-0229.230 | măng:
P=1452 | X=0094.820-0342.720 | Y=0234.750-0246.750 | 55 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1452 | X=0414.140-0430.780 | Y=0234.750-0244.070 | 240
P=1452 | X=0461.690-0478.330 | Y=0234.750-0244.070 | 170
P=1452 | X=0505.390-0522.030 | Y=0234.750-0244.070 | 140
P=1452 | X=0111.170-0364.480 | Y=0253.030-0264.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1452 | X=0111.170-0206.120 | Y=0264.550-0275.790 | >500m đến ≤1.000m.
P=1452 | X=0111.170-0334.340 | Y=0282.100-0293.340 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1452 | X=0111.170-0384.680 | Y=0299.860-0311.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
