TABLE=056 | AREA=Phường Bình Phước | SECTION=non-agricultural | SEGMENTS=1
P=1866 | X=0319.080-0350.840 | Y=0148.370-0159.610 | Đường
P=1866 | X=0252.820-0310.290 | Y=0154.130-0165.370 | Ngã tư Đồng
P=1866 | X=0090.020-0225.270 | Y=0159.650-0170.890 | 319 tư Đồng Xoài hoặc Đường
P=1866 | X=0319.080-0379.630 | Y=0159.650-0170.890 | Trương Công
P=1866 | X=0391.820-0416.870 | Y=0161.530-0170.850 | 4.700
P=1866 | X=0435.290-0460.340 | Y=0161.530-0170.850 | 3.300
P=1866 | X=0497.230-0522.280 | Y=0161.530-0170.850 | 2.800
P=1866 | X=0252.820-0272.590 | Y=0167.290-0176.610 | Xoài
P=1866 | X=0107.330-0244.650 | Y=0171.170-0182.410 | Trương Công Định trong phạm
P=1866 | X=0319.080-0339.800 | Y=0171.170-0182.410 | Định
P=1866 | X=0107.330-0243.620 | Y=0184.570-0193.890 | vi 200m trở lên có bề rộng mặt
P=1866 | X=0107.330-0238.420 | Y=0194.210-0205.450 | đường từ 4m trở lên đã được
P=1866 | X=0107.330-0233.190 | Y=0205.750-0216.990 | đầu tư mặt Đường nhựa, bê
P=1866 | X=0107.330-0164.770 | Y=0217.270-0228.510 | tông xi măng
P=1866 | X=0107.330-0234.640 | Y=0235.270-0246.510 | Các tuyến đường giao thông
P=1866 | X=0107.330-0244.720 | Y=0246.790-0258.030 | đấu nối trực tiếp ra đường Phú
P=1866 | X=0107.330-0248.060 | Y=0258.310-0269.550 | Riềng Đỏ từ HLLG vào sâu trên
P=1866 | X=0107.330-0228.630 | Y=0269.830-0281.070 | 200m đến 500m có khoảng
P=1866 | X=0107.330-0220.470 | Y=0281.380-0292.620 | cách từ điểm đấu nối đến
P=1866 | X=0252.820-0284.580 | Y=0281.380-0292.620 | Đường
P=1866 | X=0319.080-0363.080 | Y=0283.260-0292.580 | Giáp ranh
P=1866 | X=0090.020-0372.950 | Y=0292.900-0304.140 | 320 Đường Trương Công Định hoặc Trương Công huyện Đồng
P=1866 | X=0391.820-0416.870 | Y=0294.780-0304.100 | 4.200
P=1866 | X=0435.290-0460.340 | Y=0294.780-0304.100 | 2.900
P=1866 | X=0497.230-0522.280 | Y=0294.780-0304.100 | 2.500
P=1866 | X=0107.330-0273.540 | Y=0304.420-0315.660 | Giáp ranh huyện Đồng Phú (cũ) Định
P=1866 | X=0319.080-0356.990 | Y=0304.420-0315.660 | Phú (cũ)
P=1866 | X=0107.330-0240.860 | Y=0317.580-0326.900 | trong phạm vi 200m trở lên có
P=1866 | X=0107.330-0237.830 | Y=0327.220-0338.460 | bề rộng mặt đường từ 4m trở
P=1866 | X=0107.330-0245.230 | Y=0338.740-0349.980 | lên đã được đầu tư mặt đường
P=1866 | X=0107.330-0207.720 | Y=0350.260-0361.500 | nhựa, bê tông xi măng
P=1866 | X=0107.330-0234.640 | Y=0368.280-0379.520 | Các tuyến đường giao thông
P=1866 | X=0107.330-0244.720 | Y=0379.800-0391.040 | đấu nối trực tiếp ra đường Phú
P=1866 | X=0107.330-0248.060 | Y=0391.320-0402.560 | Riềng Đỏ từ HLLG vào sâu trên
P=1866 | X=0319.080-0350.840 | Y=0391.320-0402.560 | Đường
P=1866 | X=0252.820-0310.290 | Y=0397.080-0408.320 | Ngã tư Đồng
P=1866 | X=0090.020-0249.380 | Y=0402.840-0414.080 | 321 200m đến 500m có bề rộng mặt
P=1866 | X=0319.080-0379.630 | Y=0402.840-0414.080 | Trương Công
P=1866 | X=0391.820-0416.870 | Y=0404.720-0414.040 | 4.200
P=1866 | X=0435.290-0460.340 | Y=0404.720-0414.040 | 2.900
P=1866 | X=0497.230-0522.280 | Y=0404.720-0414.040 | 2.500
P=1866 | X=0252.820-0272.590 | Y=0410.480-0419.800 | Xoài
P=1866 | X=0107.330-0238.420 | Y=0414.360-0425.600 | đường từ 4m trở lên đã được
P=1866 | X=0319.080-0339.800 | Y=0414.360-0425.600 | Định
P=1866 | X=0107.330-0231.510 | Y=0425.880-0437.120 | đầu tư mặt đường nhựa, bê
P=1866 | X=0107.330-0164.770 | Y=0437.400-0448.640 | tông xi măng
P=1866 | X=0107.330-0234.640 | Y=0455.420-0466.660 | Các tuyến đường giao thông
P=1866 | X=0107.330-0244.720 | Y=0466.940-0478.180 | đấu nối trực tiếp ra đường Phú
P=1866 | X=0107.330-0284.580 | Y=0478.220-0489.460 | Riềng Đỏ từ HLLG vào sâu trên Đường
P=1866 | X=0319.080-0363.100 | Y=0480.100-0489.420 | Giáp ranh
P=1866 | X=0090.020-0372.950 | Y=0489.740-0500.980 | 322 200m đến 500m có bề rộng mặt Trương Công huyện Đồng
P=1866 | X=0391.820-0416.870 | Y=0491.620-0500.940 | 3.800
P=1866 | X=0435.290-0460.340 | Y=0491.620-0500.940 | 2.700
P=1866 | X=0497.230-0522.280 | Y=0491.620-0500.940 | 2.300
P=1866 | X=0107.330-0273.540 | Y=0501.260-0512.500 | đường từ 4m trở lên đã được Định
P=1866 | X=0319.080-0356.990 | Y=0501.260-0512.500 | Phú (cũ)
P=1866 | X=0107.330-0231.510 | Y=0512.780-0524.020 | đầu tư mặt đường nhựa, bê
P=1866 | X=0107.330-0164.770 | Y=0524.300-0535.540 | tông xi măng
P=1866 | X=0107.330-0234.640 | Y=0542.330-0553.570 | Các tuyến đường giao thông
P=1866 | X=0107.330-0244.720 | Y=0553.850-0565.090 | đấu nối trực tiếp ra đường Phú
P=1866 | X=0107.330-0248.060 | Y=0565.370-0576.610 | Riềng Đỏ từ HLLG vào sâu trân
P=1866 | X=0107.330-0242.020 | Y=0576.890-0588.130 | 500m có khoảng cách từ điểm
P=1866 | X=0319.080-0350.840 | Y=0582.650-0593.890 | Đường
P=1866 | X=0107.330-0310.290 | Y=0588.410-0599.650 | đấu nối đến Ngã tư Đồng Xoài Ngã tư Đồng
P=1866 | X=0319.080-0379.630 | Y=0594.170-0605.410 | Trương Công
P=1866 | X=0090.020-0106.660 | Y=0596.050-0605.370 | 323
P=1866 | X=0391.820-0416.870 | Y=0596.050-0605.370 | 4.200
P=1866 | X=0435.290-0460.340 | Y=0596.050-0605.370 | 2.900
P=1866 | X=0497.230-0522.280 | Y=0596.050-0605.370 | 2.500
P=1866 | X=0107.330-0272.590 | Y=0599.930-0611.170 | hoặc Đường Trương Công Định Xoài
P=1866 | X=0319.080-0339.800 | Y=0605.690-0616.930 | Định
P=1866 | X=0107.330-0240.860 | Y=0613.330-0622.650 | trong phạm vi 200m trở lên có
P=1866 | X=0107.330-0237.830 | Y=0622.750-0633.990 | bề rộng mặt đường từ 4m trở
P=1866 | X=0107.330-0245.230 | Y=0634.270-0645.510 | lên đã được đầu tư mặt đường
P=1866 | X=0107.330-0207.720 | Y=0645.790-0657.030 | nhựa, bê tông xi măng
P=1866 | X=0107.330-0234.640 | Y=0663.790-0675.030 | Các tuyến đường giao thông
P=1866 | X=0252.820-0284.580 | Y=0669.550-0680.790 | Đường
P=1866 | X=0319.080-0363.080 | Y=0671.430-0680.750 | Giáp ranh
P=1866 | X=0107.330-0244.720 | Y=0675.310-0686.550 | đấu nối trực tiếp ra đường Phú
P=1866 | X=0252.820-0372.950 | Y=0681.070-0692.310 | Trương Công huyện Đồng
P=1866 | X=0090.020-0106.660 | Y=0682.950-0692.270 | 324
P=1866 | X=0391.820-0416.870 | Y=0682.950-0692.270 | 3.800
P=1866 | X=0435.290-0460.340 | Y=0682.950-0692.270 | 2.700
P=1866 | X=0497.230-0522.280 | Y=0682.950-0692.270 | 2.300
P=1866 | X=0107.330-0248.060 | Y=0686.830-0698.070 | Riềng Đỏ từ HLLG vào sâu trên
P=1866 | X=0252.820-0273.540 | Y=0692.590-0703.830 | Định
P=1866 | X=0319.080-0356.990 | Y=0692.590-0703.830 | Phú (cũ)
P=1866 | X=0107.330-0242.020 | Y=0698.350-0709.590 | 500m có khoảng cách từ điểm
P=1867 | X=0107.330-0230.790 | Y=0072.740-0083.980 | đấu nối đến Đường Trương
P=1867 | X=0107.330-0225.980 | Y=0084.260-0095.500 | Công Định hoặc Giáp ranh
P=1867 | X=0107.330-0227.630 | Y=0095.780-0107.020 | huyện Đồng Phú (cũ) trong
P=1867 | X=0107.330-0251.940 | Y=0109.180-0118.500 | phạm vi 200m trở lên có bề rộng
P=1867 | X=0107.330-0234.640 | Y=0118.850-0130.090 | mặt đường từ 4m trở Lên đã
P=1867 | X=0107.330-0244.110 | Y=0130.370-0141.610 | được đầu tư mặt đường nhựa,
P=1867 | X=0107.330-0178.690 | Y=0141.650-0152.890 | bê tông xi măng
P=1867 | X=0107.330-0234.640 | Y=0159.650-0170.890 | Các tuyến đường giao thông
P=1867 | X=0107.330-0244.720 | Y=0171.170-0182.410 | đấu nối trực tiếp ra đường Phú
P=1867 | X=0319.080-0350.840 | Y=0176.930-0188.170 | Đường
P=1867 | X=0107.330-0310.290 | Y=0182.690-0193.930 | Riềng Đỏ từ HLLG vào sâu trên Ngã tư Đồng
P=1867 | X=0319.080-0379.630 | Y=0188.450-0199.690 | Trương Công
P=1867 | X=0090.020-0106.660 | Y=0190.330-0199.650 | 325
P=1867 | X=0391.820-0416.870 | Y=0190.330-0199.650 | 3.800
P=1867 | X=0435.290-0460.340 | Y=0190.330-0199.650 | 2.700
P=1867 | X=0497.230-0522.280 | Y=0190.330-0199.650 | 2.300
P=1867 | X=0107.330-0272.590 | Y=0194.210-0205.450 | 500m có bề rộng mặt đường từ Xoài
P=1867 | X=0319.080-0339.800 | Y=0199.990-0211.230 | Định
P=1867 | X=0107.330-0244.580 | Y=0205.750-0216.990 | 4m trở lên đã được đầu tư mặt
P=1867 | X=0107.330-0240.360 | Y=0217.270-0228.510 | đường nhựa, bê tông xi măng
P=1867 | X=0107.330-0234.640 | Y=0235.270-0246.510 | Các tuyến đường giao thông
P=1867 | X=0107.330-0244.720 | Y=0246.790-0258.030 | đấu nối trực tiếp ra đường Phú
P=1867 | X=0252.820-0284.580 | Y=0252.550-0263.790 | Đường
P=1867 | X=0319.080-0363.080 | Y=0254.430-0263.750 | Giáp ranh
P=1867 | X=0107.330-0248.060 | Y=0258.310-0269.550 | Riềng Đỏ từ HLLG vào sâu trên
P=1867 | X=0252.820-0372.950 | Y=0264.070-0275.310 | Trương Công huyện Đồng
P=1867 | X=0090.020-0106.660 | Y=0265.950-0275.270 | 326
P=1867 | X=0391.820-0416.870 | Y=0265.950-0275.270 | 3.400
P=1867 | X=0435.290-0460.340 | Y=0265.950-0275.270 | 2.400
P=1867 | X=0497.230-0522.280 | Y=0265.950-0275.270 | 2.000
P=1867 | X=0107.330-0247.080 | Y=0269.830-0281.070 | 500m có bề rộng mặt đường từ
P=1867 | X=0252.820-0273.540 | Y=0275.590-0286.830 | Định
P=1867 | X=0319.080-0356.990 | Y=0275.590-0286.830 | Phú (cũ)
P=1867 | X=0107.330-0244.580 | Y=0281.380-0292.620 | 4m trở lên đã được đầu tư mặt
P=1867 | X=0107.330-0240.360 | Y=0292.900-0304.140 | đường nhựa, bê tông xi măng
P=1867 | X=0107.330-0234.630 | Y=0310.900-0322.140 | Các tuyến đường giao thông
P=1867 | X=0107.330-0244.720 | Y=0322.180-0333.420 | đấu nối trực tiếp ra đường Phú
P=1867 | X=0107.330-0247.390 | Y=0333.700-0344.940 | Riềng Đỏ từ HLLG vào sâu đến
P=1867 | X=0107.330-0242.020 | Y=0345.220-0356.460 | 100m có khoảng cách từ điểm
P=1867 | X=0319.080-0350.840 | Y=0350.980-0362.220 | Đường
P=1867 | X=0107.330-0310.290 | Y=0356.740-0367.980 | đấu nối đến Ngã tư Đồng Xoài Ngã tư Đồng
P=1867 | X=0319.080-0379.630 | Y=0362.500-0373.740 | Trương Công
P=1867 | X=0090.020-0106.660 | Y=0364.380-0373.700 | 327
P=1867 | X=0391.820-0416.870 | Y=0364.380-0373.700 | 4.200
P=1867 | X=0435.290-0460.340 | Y=0364.380-0373.700 | 2.900
P=1867 | X=0497.230-0522.280 | Y=0364.380-0373.700 | 2.500
P=1867 | X=0107.330-0272.590 | Y=0368.280-0379.520 | hoặc Đường Trương Công Định Xoài
P=1867 | X=0319.080-0339.800 | Y=0374.040-0385.280 | Định
P=1867 | X=0107.330-0240.860 | Y=0381.680-0391.000 | trong phạm vi 200m trở lên có
P=1867 | X=0107.330-0248.050 | Y=0391.320-0402.560 | bề rộng mặt đường dưới 4m đã
P=1867 | X=0107.330-0244.110 | Y=0402.840-0414.080 | được đầu tư mặt đường nhựa,
P=1867 | X=0107.330-0178.690 | Y=0414.360-0425.600 | bê tông xi măng
P=1867 | X=0107.330-0234.640 | Y=0432.360-0443.600 | Các tuyến đường giao thông
P=1867 | X=0107.330-0244.720 | Y=0443.880-0455.120 | đấu nối trực tiếp ra đường Phú
P=1867 | X=0107.330-0247.390 | Y=0455.420-0466.660 | Riềng Đỏ từ HLLG vào sâu đến
P=1867 | X=0107.330-0242.020 | Y=0466.940-0478.180 | 100m có khoảng cách từ điểm
P=1867 | X=0107.330-0230.790 | Y=0478.220-0489.460 | đấu nối đến Đường Trương
P=1867 | X=0252.820-0284.580 | Y=0478.220-0489.460 | Đường
P=1867 | X=0319.080-0363.080 | Y=0480.100-0489.420 | Giáp ranh
P=1867 | X=0090.020-0225.980 | Y=0489.740-0500.980 | 328 Công Định hoặc Giáp ranh
P=1867 | X=0252.820-0372.950 | Y=0489.740-0500.980 | Trương Công huyện Đồng
P=1867 | X=0391.820-0416.870 | Y=0491.620-0500.940 | 3.800
P=1867 | X=0435.290-0460.340 | Y=0491.620-0500.940 | 2.700
P=1867 | X=0497.230-0522.280 | Y=0491.620-0500.940 | 2.300
P=1867 | X=0107.330-0227.630 | Y=0501.260-0512.500 | huyện Đồng Phú (cũ) trong
P=1867 | X=0252.820-0273.540 | Y=0501.260-0512.500 | Định
P=1867 | X=0319.080-0356.990 | Y=0501.260-0512.500 | Phú (cũ)
P=1867 | X=0107.330-0252.420 | Y=0514.660-0523.980 | phạm vi 200m trở tên có bề rộng
P=1867 | X=0107.330-0237.940 | Y=0524.300-0535.540 | mặt đường dưới 4m đã được
P=1867 | X=0107.330-0231.510 | Y=0535.850-0547.090 | đầu tư mặt đường nhựa, bê
P=1867 | X=0107.330-0164.770 | Y=0547.370-0558.610 | tông xi măng
P=1867 | X=0107.330-0234.640 | Y=0565.370-0576.610 | Các tuyến đường giao thông
P=1867 | X=0107.330-0244.720 | Y=0576.890-0588.130 | đấu nối trực tiếp ra đường Phú
P=1867 | X=0319.080-0350.840 | Y=0582.650-0593.890 | Đường
P=1867 | X=0107.330-0310.290 | Y=0588.410-0599.650 | Riềng Đỏ từ HLLG vào sâu đến Ngã tư Đồng
P=1867 | X=0319.080-0379.630 | Y=0594.170-0605.410 | Trương Công
P=1867 | X=0090.020-0106.660 | Y=0596.050-0605.370 | 329
P=1867 | X=0391.820-0416.870 | Y=0596.050-0605.370 | 3.800
P=1867 | X=0435.290-0460.340 | Y=0596.050-0605.370 | 2.700
P=1867 | X=0497.230-0522.280 | Y=0596.050-0605.370 | 2.300
P=1867 | X=0107.330-0234.870 | Y=0599.930-0611.170 | 100m có bề rộng mặt đường
P=1867 | X=0252.820-0272.590 | Y=0601.810-0611.130 | Xoài
P=1867 | X=0319.080-0339.800 | Y=0605.690-0616.930 | Định
P=1867 | X=0107.330-0236.900 | Y=0611.450-0622.690 | dưới 4m đã được đầu tư mặt
P=1867 | X=0107.330-0240.360 | Y=0622.750-0633.990 | đường nhựa, bê tông xi măng
P=1867 | X=0107.330-0234.640 | Y=0640.750-0651.990 | Các tuyến đường giao thông
P=1867 | X=0107.330-0244.720 | Y=0652.270-0663.510 | đấu nối trực tiếp ra đường Phú
P=1867 | X=0252.820-0284.580 | Y=0658.030-0669.270 | Đường
P=1867 | X=0319.080-0363.080 | Y=0659.910-0669.230 | Giáp ranh
P=1867 | X=0107.330-0247.390 | Y=0663.790-0675.030 | Riềng Đỏ từ HLLG vào sâu đến
P=1867 | X=0252.820-0372.950 | Y=0669.550-0680.790 | Trương Công huyện Đồng
P=1867 | X=0090.020-0106.660 | Y=0671.430-0680.750 | 330
P=1867 | X=0391.820-0416.870 | Y=0671.430-0680.750 | 3.400
P=1867 | X=0435.290-0460.340 | Y=0671.430-0680.750 | 2.400
P=1867 | X=0497.230-0522.280 | Y=0671.430-0680.750 | 2.000
P=1867 | X=0107.330-0234.870 | Y=0675.310-0686.550 | 100m có bề rộng mặt đường
P=1867 | X=0252.820-0273.540 | Y=0681.070-0692.310 | Định
P=1867 | X=0319.080-0356.990 | Y=0681.070-0692.310 | Phú (cũ)
P=1867 | X=0107.330-0236.900 | Y=0686.830-0698.070 | dưới 4m đã được đầu tư mặt
P=1867 | X=0107.330-0240.360 | Y=0698.350-0709.590 | đường nhựa, bê tông xi măng
P=1868 | X=0107.330-0234.640 | Y=0078.740-0089.980 | Các tuyến đường giao thông
P=1868 | X=0107.330-0244.720 | Y=0090.260-0101.500 | đấu nối trực tiếp ra đường Phú
P=1868 | X=0107.330-0248.060 | Y=0101.780-0113.020 | Riềng Đỏ từ HLLG vào sâu trên
P=1868 | X=0107.330-0228.630 | Y=0113.300-0124.540 | 100m đến 200m có khoảng
P=1868 | X=0107.330-0241.600 | Y=0124.850-0136.090 | cách từ điểm đấu nối đến Ngã
P=1868 | X=0319.080-0350.840 | Y=0124.850-0136.090 | Đường
P=1868 | X=0252.820-0310.290 | Y=0130.610-0141.850 | Ngã tư Đồng
P=1868 | X=0090.020-0225.270 | Y=0136.370-0147.610 | 331 tư Đồng Xoài hoặc Đường
P=1868 | X=0319.080-0379.630 | Y=0136.370-0147.610 | Trương Công
P=1868 | X=0391.820-0416.870 | Y=0138.250-0147.570 | 3.800
P=1868 | X=0435.290-0460.340 | Y=0138.250-0147.570 | 2.700
P=1868 | X=0497.230-0522.280 | Y=0138.250-0147.570 | 2.300
P=1868 | X=0252.820-0272.590 | Y=0144.010-0153.330 | Xoài
P=1868 | X=0107.330-0244.650 | Y=0147.650-0158.890 | Trương Công Định trong phạm
P=1868 | X=0319.080-0339.800 | Y=0147.650-0158.890 | Định
P=1868 | X=0107.330-0243.620 | Y=0161.050-0170.370 | vi 200m trở lên có bề rộng mặt
P=1868 | X=0107.330-0250.200 | Y=0170.690-0181.930 | đường dưới 4m đã được đầu tư
P=1868 | X=0107.330-0231.980 | Y=0182.210-0193.450 | mặt đường nhựa, bê tông xi
P=1868 | X=0107.330-0132.610 | Y=0193.730-0204.970 | măng
P=1868 | X=0107.330-0234.640 | Y=0211.750-0222.990 | Các tuyến đường giao thông
P=1868 | X=0107.330-0244.720 | Y=0223.270-0234.510 | đấu nối trực tiếp ra đường Phú
P=1868 | X=0107.330-0248.060 | Y=0234.790-0246.030 | Riềng Đỏ từ HLLG vào sâu trên
P=1868 | X=0107.330-0228.630 | Y=0246.310-0257.550 | 100m đến 200m có khoảng
P=1868 | X=0107.330-0220.470 | Y=0257.830-0269.070 | cách từ điểm đấu nối đến
P=1868 | X=0252.820-0284.580 | Y=0257.830-0269.070 | Đường
P=1868 | X=0319.080-0363.080 | Y=0259.710-0269.030 | Giáp ranh
P=1868 | X=0090.020-0372.950 | Y=0269.350-0280.590 | 332 Đường Trương Công Định hoặc Trương Công huyện Đồng
P=1868 | X=0391.820-0416.870 | Y=0271.230-0280.550 | 3.400
P=1868 | X=0435.290-0460.340 | Y=0271.230-0280.550 | 2.400
P=1868 | X=0497.230-0522.280 | Y=0271.230-0280.550 | 2.000
P=1868 | X=0107.330-0273.540 | Y=0280.870-0292.110 | Giáp ranh huyện Đồng Phú (cũ) Định
P=1868 | X=0319.080-0356.990 | Y=0280.870-0292.110 | Phú (cũ)
P=1868 | X=0107.330-0240.860 | Y=0294.300-0303.620 | trong phạm vi 200m trở lên có
P=1868 | X=0107.330-0248.050 | Y=0303.700-0314.940 | bề rộng mặt đường dưới 4m đã
P=1868 | X=0107.330-0244.110 | Y=0315.220-0326.460 | được đầu tư mặt đường nhựa,
P=1868 | X=0107.330-0178.690 | Y=0326.740-0337.980 | bê tông xi măng
P=1868 | X=0107.330-0234.640 | Y=0344.740-0355.980 | Các tuyến đường giao thông
P=1868 | X=0107.330-0244.720 | Y=0356.260-0367.500 | đấu nối trực tiếp ra đường Phú
P=1868 | X=0107.330-0244.230 | Y=0367.800-0379.040 | riềng Đỏ từ HLLG vào sâu trên
P=1868 | X=0319.080-0350.840 | Y=0367.800-0379.040 | Đường
P=1868 | X=0252.820-0310.290 | Y=0373.560-0384.800 | Ngã tư Đồng
P=1868 | X=0090.020-0249.380 | Y=0379.320-0390.560 | 333 100m đến 200m có bề rộng mặt
P=1868 | X=0319.080-0379.630 | Y=0379.320-0390.560 | Trương Công
P=1868 | X=0391.820-0416.870 | Y=0381.200-0390.520 | 3.500
P=1868 | X=0435.290-0460.340 | Y=0381.200-0390.520 | 2.500
P=1868 | X=0497.230-0522.280 | Y=0381.200-0390.520 | 2.100
P=1868 | X=0252.820-0272.590 | Y=0386.960-0396.280 | Xoài
P=1868 | X=0107.330-0250.200 | Y=0390.840-0402.080 | đường dưới 4m đã được đầu tư
P=1868 | X=0319.080-0339.800 | Y=0390.840-0402.080 | Định
P=1868 | X=0107.330-0231.980 | Y=0402.360-0413.600 | mặt đường nhựa, bê tông xi
P=1868 | X=0107.330-0132.610 | Y=0413.880-0425.120 | măng
P=1868 | X=0107.330-0234.640 | Y=0431.880-0443.120 | Các tuyến đường giao thông
P=1868 | X=0107.330-0244.720 | Y=0443.400-0454.640 | đấu nối trực tiếp ra đường Phú
P=1868 | X=0107.330-0284.580 | Y=0454.940-0466.180 | Riềng Đỏ từ HLLG vào sâu trên Đường
P=1868 | X=0319.080-0363.080 | Y=0456.820-0466.140 | Giáp ranh
P=1868 | X=0090.020-0372.950 | Y=0466.220-0477.460 | 334 100m đến 200m có bề rộng mặt Trương Công huyện Đồng
P=1868 | X=0391.820-0416.870 | Y=0468.100-0477.420 | 3.100
P=1868 | X=0435.290-0460.340 | Y=0468.100-0477.420 | 2.200
P=1868 | X=0497.230-0522.280 | Y=0468.100-0477.420 | 1.900
P=1868 | X=0107.330-0273.540 | Y=0477.740-0488.980 | đường dưới 4m đã được đầu tư Định
P=1868 | X=0319.080-0356.990 | Y=0477.740-0488.980 | Phú (cũ)
P=1868 | X=0107.330-0231.980 | Y=0489.260-0500.500 | mặt đường nhựa, bê tông xi
P=1868 | X=0107.330-0132.610 | Y=0500.780-0512.020 | măng
P=1868 | X=0107.330-0234.640 | Y=0518.780-0530.020 | Các tuyến đường giao thông
P=1868 | X=0107.330-0244.720 | Y=0530.300-0541.540 | đấu nối trực tiếp ra đường Phú
P=1868 | X=0107.330-0248.060 | Y=0541.850-0553.090 | Riềng Đỏ từ HLLG vào sâu trên
P=1868 | X=0107.330-0228.630 | Y=0553.370-0564.610 | 200m đến 500m có khoảng
P=1868 | X=0107.330-0241.600 | Y=0564.890-0576.130 | cách từ điểm đấu nối đến Ngã
P=1868 | X=0319.080-0350.840 | Y=0564.890-0576.130 | Đường
P=1868 | X=0252.820-0310.290 | Y=0570.650-0581.890 | Ngã tư Đồng
P=1868 | X=0090.020-0225.270 | Y=0576.410-0587.650 | 335 tư Đồng Xoài hoặc Đường
P=1868 | X=0319.080-0379.630 | Y=0576.410-0587.650 | Trương Công
P=1868 | X=0391.820-0416.870 | Y=0578.290-0587.610 | 3.800
P=1868 | X=0435.290-0460.340 | Y=0578.290-0587.610 | 2.700
P=1868 | X=0497.230-0522.280 | Y=0578.290-0587.610 | 2.300
P=1868 | X=0252.820-0272.590 | Y=0584.050-0593.370 | Xoài
P=1868 | X=0107.330-0244.650 | Y=0587.930-0599.170 | Trương Công Định trong phạm
P=1868 | X=0319.080-0339.800 | Y=0587.930-0599.170 | Định
P=1868 | X=0107.330-0243.620 | Y=0601.330-0610.650 | vi 200m trở lên có bề rộng mặt
P=1868 | X=0107.330-0250.200 | Y=0610.730-0621.970 | đường dưới 4m đã được đầu tư
P=1868 | X=0107.330-0231.980 | Y=0622.270-0633.510 | mặt đường nhựa, bê tông xi
P=1868 | X=0107.330-0132.610 | Y=0633.790-0645.030 | măng
P=1868 | X=0107.330-0234.640 | Y=0651.790-0663.030 | Các tuyến đường giao thông
P=1868 | X=0107.330-0284.580 | Y=0663.310-0674.550 | đấu nối trực tiếp ra đường Phú Đường
P=1868 | X=0319.080-0363.080 | Y=0665.190-0674.510 | Giáp ranh
P=1868 | X=0090.020-0372.950 | Y=0674.830-0686.070 | 336 Riềng Đỏ từ HLLG vào sâu trên Trương Công huyện Đồng
P=1868 | X=0391.820-0416.860 | Y=0676.710-0686.030 | 3.300
P=1868 | X=0435.290-0460.340 | Y=0676.710-0686.030 | 2.300
P=1868 | X=0497.230-0522.280 | Y=0676.710-0686.030 | 2.000
P=1868 | X=0107.330-0228.630 | Y=0686.350-0697.590 | 200m đến 500m có khoảng
P=1868 | X=0252.820-0273.540 | Y=0686.350-0697.590 | Định
P=1868 | X=0319.080-0356.990 | Y=0686.350-0697.590 | Phú (cũ)
P=1868 | X=0107.330-0220.470 | Y=0697.870-0709.110 | cách từ điểm đấu nối đến
P=1869 | X=0107.330-0250.180 | Y=0072.740-0083.980 | Đường Trương Công Định hoặc
P=1869 | X=0107.330-0248.700 | Y=0084.260-0095.500 | Giáp ranh huyện Đồng Phú (cũ)
P=1869 | X=0107.330-0240.860 | Y=0097.660-0106.980 | trong phạm vi 200m trở lên có
P=1869 | X=0107.330-0248.050 | Y=0107.300-0118.540 | bề rộng mặt đường dưới 4m đã
P=1869 | X=0107.330-0244.110 | Y=0118.850-0130.090 | được đầu tư mặt đường nhựa,
P=1869 | X=0107.330-0178.690 | Y=0130.370-0141.610 | bê tông xi măng
P=1869 | X=0107.330-0234.640 | Y=0148.370-0159.610 | Cúc tuyến đường giao thông
P=1869 | X=0107.330-0244.720 | Y=0159.650-0170.890 | đấu nối trực tiếp ra đường Phú
P=1869 | X=0107.330-0248.060 | Y=0171.170-0182.410 | Riềng Đỏ từ HLLG vào sâu trên
P=1869 | X=0319.080-0350.840 | Y=0171.170-0182.410 | Đường
P=1869 | X=0252.820-0310.290 | Y=0176.930-0188.170 | Ngã tư Đồng
P=1869 | X=0090.020-0249.380 | Y=0182.690-0193.930 | 337 200m đến 500m có bề rộng mặt
P=1869 | X=0319.080-0379.630 | Y=0182.690-0193.930 | Trương Công
P=1869 | X=0391.820-0416.870 | Y=0184.570-0193.890 | 3.400
P=1869 | X=0435.290-0460.340 | Y=0184.570-0193.890 | 2.400
P=1869 | X=0497.230-0522.280 | Y=0184.570-0193.890 | 2.000
P=1869 | X=0252.820-0272.590 | Y=0190.330-0199.650 | Xoài
P=1869 | X=0107.330-0250.200 | Y=0194.210-0205.450 | đường dưới 4m đã được đầu tư
P=1869 | X=0319.080-0339.800 | Y=0194.210-0205.450 | Định
P=1869 | X=0107.330-0231.980 | Y=0205.750-0216.990 | mặt đường nhựa, bê tông xi
P=1869 | X=0107.330-0132.610 | Y=0217.270-0228.510 | măng
P=1869 | X=0107.330-0234.640 | Y=0235.270-0246.510 | Các tuyến đường giao thông
P=1869 | X=0107.330-0244.720 | Y=0246.790-0258.030 | đấu nối trực tiếp ra đường Phú
P=1869 | X=0107.330-0284.580 | Y=0258.310-0269.550 | Riềng Đỏ từ HLLG vào sâu nên Đường
P=1869 | X=0319.080-0363.080 | Y=0260.190-0269.510 | Giáp ranh
P=1869 | X=0090.020-0372.950 | Y=0269.830-0281.070 | 338 200m đến 500m có bề rộng mặt Trương Công huyện Đồng
P=1869 | X=0391.820-0416.870 | Y=0271.710-0281.030 | 3.000
P=1869 | X=0435.290-0460.340 | Y=0271.710-0281.030 | 2.100
