TABLE=017 | AREA=Xã Đại Phước | SECTION=non-agricultural | SEGMENTS=1
P=0561 | X=0106.850-0402.670 | Y=0666.430-0677.670 | đoạn từ Đường Hùng Vương đến Giáp sông (giáp khu dân cư Sen
P=0561 | X=0092.900-0337.200 | Y=0676.950-0689.190 | 53 Việt) có hiện trạng là đường nhựa, bê tông xi măng:
P=0561 | X=0424.970-0450.020 | Y=0676.950-0686.270 | 1.600
P=0561 | X=0461.210-0486.260 | Y=0676.950-0686.270 | 1.100
P=0561 | X=0505.390-0522.030 | Y=0676.950-0686.270 | 960
P=0561 | X=0106.850-0392.640 | Y=0695.470-0706.710 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0562 | X=0106.850-0330.490 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0562 | X=0106.850-0392.110 | Y=0096.260-0107.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0562 | X=0106.850-0416.100 | Y=0107.780-0119.020 | Đường Võ Thị Sáu đoạn từ Đường Hùng Vương đến Giáp sông (giáp
P=0562 | X=0106.850-0410.440 | Y=0119.330-0130.570 | khu dân cư Sen Việt) có hiện trạng là đường nhựa, bê tông xi măng:
P=0562 | X=0092.900-0104.020 | Y=0127.210-0136.530 | 54
P=0562 | X=0424.970-0450.020 | Y=0127.210-0136.530 | 2.300
P=0562 | X=0461.210-0486.260 | Y=0127.210-0136.530 | 1.600
P=0562 | X=0497.230-0522.280 | Y=0127.210-0136.530 | 1.400
P=0562 | X=0106.850-0337.930 | Y=0136.850-0148.090 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0562 | X=0106.850-0384.020 | Y=0154.370-0165.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0562 | X=0106.850-0392.110 | Y=0172.130-0183.370 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0562 | X=0106.850-0416.100 | Y=0183.410-0194.650 | Đường Võ Thị Sáu đoạn từ Đường Hùng Vương đến Giáp sông (giáp
P=0562 | X=0106.850-0410.440 | Y=0194.930-0206.170 | khu dân cư Sen Việt) có hiện trạng là đường nhựa, bê tông xi măng:
P=0562 | X=0092.900-0338.400 | Y=0212.470-0226.790 | 55 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0562 | X=0424.970-0450.020 | Y=0217.470-0226.790 | 1.900
P=0562 | X=0461.210-0486.260 | Y=0217.470-0226.790 | 1.300
P=0562 | X=0497.230-0522.280 | Y=0217.470-0226.790 | 1.100
P=0562 | X=0106.850-0413.270 | Y=0229.990-0241.230 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0562 | X=0106.850-0148.530 | Y=0241.510-0252.750 | ≤1.000m.
P=0562 | X=0106.850-0330.020 | Y=0259.030-0270.270 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0562 | X=0106.850-0392.110 | Y=0276.790-0288.030 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0562 | X=0106.850-0416.100 | Y=0288.340-0299.580 | Đường Võ Thị Sáu đoạn từ Đường Hùng Vương đến Giáp sông (giáp
P=0562 | X=0106.850-0410.440 | Y=0299.860-0311.100 | khu dân cư Sen Việt) có hiện trạng là đường nhựa, bê tông xi măng:
P=0562 | X=0092.900-0104.020 | Y=0307.740-0317.060 | 56
P=0562 | X=0424.970-0450.020 | Y=0307.740-0317.060 | 1.400
P=0562 | X=0469.370-0486.010 | Y=0307.740-0317.060 | 980
P=0562 | X=0505.390-0522.030 | Y=0307.740-0317.060 | 840
P=0562 | X=0106.850-0392.640 | Y=0317.380-0328.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0562 | X=0106.850-0330.490 | Y=0334.900-0346.140 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0562 | X=0106.850-0214.670 | Y=0352.660-0363.900 | Đường Trần Nam Trung
P=0562 | X=0235.540-0293.950 | Y=0352.660-0363.900 | Đường Hùng
P=0562 | X=0322.200-0450.020 | Y=0358.420-0369.660 | Đường Trần Văn Trà 6.800
P=0562 | X=0092.900-0104.020 | Y=0360.300-0369.620 | 57
P=0562 | X=0461.210-0486.260 | Y=0360.300-0369.620 | 4.800
P=0562 | X=0497.230-0522.280 | Y=0360.300-0369.620 | 4.100
P=0562 | X=0106.850-0189.880 | Y=0363.940-0375.180 | (đường dốc 30 cũ)
P=0562 | X=0235.540-0266.820 | Y=0363.940-0375.180 | Vương
P=0562 | X=0106.850-0402.380 | Y=0381.720-0392.960 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trần Nam
P=0562 | X=0106.850-0404.870 | Y=0393.240-0404.480 | Trung (đường dốc 30 cũ) đoạn từ Đường Hùng Vương đến Đường
P=0562 | X=0106.850-0375.630 | Y=0404.760-0416.000 | Trần Văn Trà có hiện trạng là đường nhựa, bê tông xi măng:
P=0562 | X=0092.900-0104.020 | Y=0412.640-0421.960 | 58
P=0562 | X=0424.970-0450.020 | Y=0412.640-0421.960 | 3.000
P=0562 | X=0461.210-0486.260 | Y=0412.640-0421.960 | 2.100
P=0562 | X=0497.230-0522.280 | Y=0412.640-0421.960 | 1.800
P=0562 | X=0106.850-0337.960 | Y=0422.280-0433.520 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0562 | X=0106.850-0384.020 | Y=0439.800-0451.040 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0562 | X=0106.850-0402.380 | Y=0457.580-0468.820 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trần Nam
P=0562 | X=0106.850-0404.870 | Y=0469.100-0480.340 | Trung (đường dốc 30 cũ) đoạn từ Đường Hùng Vương đến Đường
P=0562 | X=0106.850-0375.630 | Y=0480.620-0491.860 | Trần Văn Trà có hiện trạng là đường nhựa, bê tông xi măng:
P=0562 | X=0092.900-0338.400 | Y=0498.140-0512.220 | 59 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0562 | X=0424.970-0450.020 | Y=0502.900-0512.220 | 2.400
P=0562 | X=0461.210-0486.260 | Y=0502.900-0512.220 | 1.700
P=0562 | X=0497.230-0522.280 | Y=0502.900-0512.220 | 1.400
P=0562 | X=0106.850-0413.270 | Y=0515.660-0526.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0562 | X=0106.850-0148.530 | Y=0527.180-0538.420 | ≤1.000m.
P=0562 | X=0106.850-0330.020 | Y=0544.490-0555.730 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0562 | X=0106.850-0402.380 | Y=0562.250-0573.490 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trần Nam
P=0562 | X=0106.850-0404.870 | Y=0573.770-0585.010 | Trung (đường dốc 30 cũ) đoạn từ Đường Hùng Vương đến Đường
P=0562 | X=0106.850-0375.630 | Y=0585.290-0596.530 | Trần Văn Trà có hiện trạng là đường nhựa, bê tông xi măng:
P=0562 | X=0092.900-0104.020 | Y=0593.170-0602.490 | 60
P=0562 | X=0424.970-0450.020 | Y=0593.170-0602.490 | 1.800
P=0562 | X=0461.210-0486.260 | Y=0593.170-0602.490 | 1.300
P=0562 | X=0497.230-0522.280 | Y=0593.170-0602.490 | 1.100
P=0562 | X=0106.850-0392.640 | Y=0602.810-0614.050 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0562 | X=0106.850-0330.490 | Y=0620.350-0631.590 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0562 | X=0106.850-0392.110 | Y=0638.110-0649.350 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0562 | X=0106.850-0398.630 | Y=0649.630-0660.870 | Đường Trần Nam Trung (đường dốc 30 cũ) đoạn từ Đường Hùng
P=0562 | X=0106.850-0400.300 | Y=0661.150-0672.390 | Vương đến Đường Trần Văn Trà có hiện trạng là đường nhựa, bê
P=0562 | X=0092.900-0167.010 | Y=0672.670-0684.110 | 61 tông xi măng:
P=0562 | X=0424.970-0450.020 | Y=0674.790-0684.110 | 2.700
P=0562 | X=0461.210-0486.260 | Y=0674.790-0684.110 | 1.900
P=0562 | X=0497.230-0522.280 | Y=0674.790-0684.110 | 1.600
P=0562 | X=0106.850-0337.930 | Y=0690.190-0701.430 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0562 | X=0106.850-0384.020 | Y=0707.730-0718.970 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0563 | X=0106.850-0392.110 | Y=0078.500-0089.740 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0563 | X=0106.850-0398.630 | Y=0090.020-0101.260 | Đường Trần Nam Trung (đường dốc 30 cũ) đoạn từ Đường Hùng
P=0563 | X=0106.850-0400.300 | Y=0101.540-0112.780 | Vương đến Đường Trần Văn Trà có hiện trạng là đường nhựa, bê
P=0563 | X=0106.850-0167.010 | Y=0113.060-0124.300 | tông xi măng:
P=0563 | X=0092.900-0338.400 | Y=0129.610-0141.850 | 62 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0563 | X=0424.970-0450.020 | Y=0129.610-0138.930 | 2.200
P=0563 | X=0461.210-0486.260 | Y=0129.610-0138.930 | 1.500
P=0563 | X=0497.230-0522.280 | Y=0129.610-0138.930 | 1.300
P=0563 | X=0106.850-0413.270 | Y=0148.130-0159.370 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0563 | X=0106.850-0148.530 | Y=0159.410-0170.650 | ≤1.000m.
P=0563 | X=0106.850-0330.020 | Y=0176.930-0188.170 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0563 | X=0106.850-0392.140 | Y=0194.690-0205.930 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0563 | X=0106.850-0398.630 | Y=0206.230-0217.470 | Đường Trần Nam Trung (đường dốc 30 cũ) đoạn từ Đường Hùng
P=0563 | X=0106.850-0400.300 | Y=0217.750-0228.990 | Vương đến Đường Trần Văn Trà có hiện trạng là đường nhựa, bê
P=0563 | X=0092.900-0167.010 | Y=0229.270-0240.710 | 63 tông xi măng:
P=0563 | X=0424.970-0450.020 | Y=0231.390-0240.710 | 1.600
P=0563 | X=0461.210-0486.260 | Y=0231.390-0240.710 | 1.100
P=0563 | X=0505.390-0522.030 | Y=0231.390-0240.710 | 960
P=0563 | X=0106.850-0392.640 | Y=0246.790-0258.030 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0563 | X=0106.850-0330.490 | Y=0264.310-0275.550 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0563 | X=0235.540-0311.210 | Y=0282.100-0293.340 | Đường Trần Văn
P=0563 | X=0092.900-0209.810 | Y=0287.860-0299.100 | 64 Đường Huỳnh Văn Lũy
P=0563 | X=0322.200-0414.450 | Y=0287.860-0299.100 | Đường Hùng Vương
P=0563 | X=0424.970-0450.020 | Y=0289.740-0299.060 | 7.400
P=0563 | X=0461.210-0486.260 | Y=0289.740-0299.060 | 5.200
P=0563 | X=0497.230-0522.280 | Y=0289.740-0299.060 | 4.400
P=0563 | X=0235.540-0250.730 | Y=0295.500-0304.820 | Trà
P=0563 | X=0106.850-0407.500 | Y=0311.380-0322.620 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Huỳnh Văn
P=0563 | X=0106.850-0405.830 | Y=0322.900-0334.140 | Lũy đoạn từ Đường Trần Văn Trà đến Đường Hùng Vương có hiện
P=0563 | X=0106.850-0278.630 | Y=0334.420-0345.660 | trạng là đường nhựa, bê tông xi măng:
P=0563 | X=0092.900-0104.020 | Y=0342.300-0351.620 | 65
P=0563 | X=0424.970-0450.020 | Y=0342.300-0351.620 | 3.300
P=0563 | X=0461.210-0486.260 | Y=0342.300-0351.620 | 2.300
P=0563 | X=0497.230-0522.280 | Y=0342.300-0351.620 | 2.000
P=0563 | X=0106.850-0337.930 | Y=0351.700-0362.940 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0563 | X=0106.850-0384.020 | Y=0369.240-0380.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0563 | X=0106.850-0407.500 | Y=0387.000-0398.240 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Huỳnh Văn
P=0563 | X=0106.850-0405.830 | Y=0398.520-0409.760 | Lũy đoạn từ Đường Trần Văn Trà đến Đường Hùng Vương có hiện
P=0563 | X=0106.850-0278.630 | Y=0410.040-0421.280 | trạng là đường nhựa, bê tông xi măng:
P=0563 | X=0092.900-0338.400 | Y=0427.560-0441.880 | 66 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0563 | X=0424.970-0450.020 | Y=0432.560-0441.880 | 2.600
P=0563 | X=0461.210-0486.260 | Y=0432.560-0441.880 | 1.800
P=0563 | X=0497.230-0522.280 | Y=0432.560-0441.880 | 1.600
P=0563 | X=0106.850-0413.270 | Y=0445.080-0456.320 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0563 | X=0106.850-0148.530 | Y=0456.620-0467.860 | ≤1.000m.
P=0563 | X=0106.850-0330.020 | Y=0474.140-0485.380 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0563 | X=0106.850-0407.500 | Y=0491.900-0503.140 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Huỳnh Văn
P=0563 | X=0106.850-0405.830 | Y=0503.420-0514.660 | Lũy đoạn từ Đường Trần Văn Trà đến Đường Hùng Vương có hiện
P=0563 | X=0106.850-0278.630 | Y=0514.940-0526.180 | trạng là đường nhựa, bê tông xi măng:
P=0563 | X=0092.900-0104.020 | Y=0522.820-0532.140 | 67
P=0563 | X=0424.970-0450.020 | Y=0522.820-0532.140 | 1.800
P=0563 | X=0461.210-0486.260 | Y=0522.820-0532.140 | 1.300
P=0563 | X=0497.230-0522.280 | Y=0522.820-0532.140 | 1.100
P=0563 | X=0106.850-0392.640 | Y=0532.220-0543.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0563 | X=0106.850-0330.490 | Y=0549.770-0561.010 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0563 | X=0106.850-0392.110 | Y=0567.530-0578.770 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0563 | X=0106.850-0396.950 | Y=0579.050-0590.290 | Đường Huỳnh Văn Lũy đoạn từ Đường Trần Văn Trà đến Đường
P=0563 | X=0106.850-0374.410 | Y=0590.570-0601.810 | Hùng Vương có hiện trạng là đường nhựa, bê tông xi măng:
P=0563 | X=0092.900-0104.020 | Y=0598.450-0607.770 | 68
P=0563 | X=0424.970-0450.020 | Y=0598.450-0607.770 | 3.000
P=0563 | X=0461.210-0486.260 | Y=0598.450-0607.770 | 2.100
P=0563 | X=0497.230-0522.280 | Y=0598.450-0607.770 | 1.800
P=0563 | X=0106.850-0337.930 | Y=0608.090-0619.330 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0563 | X=0106.850-0384.020 | Y=0625.630-0636.870 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0563 | X=0106.850-0392.110 | Y=0643.390-0654.630 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0563 | X=0106.850-0396.950 | Y=0654.910-0666.150 | Đường Huỳnh Văn Lũy đoạn từ Đường Trần Văn Trà đến Đường
P=0563 | X=0106.850-0374.410 | Y=0666.430-0677.670 | Hùng Vương có hiện trạng là đường nhựa, bê tông xi măng:
P=0563 | X=0092.900-0104.020 | Y=0674.310-0683.630 | 69
P=0563 | X=0424.970-0450.020 | Y=0674.310-0683.630 | 2.300
P=0563 | X=0461.210-0486.260 | Y=0674.310-0683.630 | 1.600
P=0563 | X=0497.230-0522.280 | Y=0674.310-0683.630 | 1.400
P=0563 | X=0106.850-0338.410 | Y=0683.950-0695.190 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0563 | X=0106.850-0413.270 | Y=0701.490-0712.730 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0564 | X=0106.850-0148.530 | Y=0072.500-0083.740 | ≤1.000m.
P=0564 | X=0106.850-0330.020 | Y=0090.020-0101.260 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0564 | X=0106.850-0392.110 | Y=0107.780-0119.020 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0564 | X=0106.850-0396.950 | Y=0119.330-0130.570 | Đường Huỳnh Văn Lũy đoạn từ Đường Trần Văn Trà đến Đường
P=0564 | X=0106.850-0374.410 | Y=0130.850-0142.090 | Hùng Vương có hiện trạng là đường nhựa, bê tông xi măng:
P=0564 | X=0092.900-0104.020 | Y=0138.730-0148.050 | 70
P=0564 | X=0424.970-0450.020 | Y=0138.730-0148.050 | 1.600
P=0564 | X=0461.210-0486.260 | Y=0138.730-0148.050 | 1.100
P=0564 | X=0505.390-0522.030 | Y=0138.730-0148.050 | 960
P=0564 | X=0106.850-0392.640 | Y=0148.370-0159.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0564 | X=0106.850-0330.490 | Y=0165.650-0176.890 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0564 | X=0106.850-0217.090 | Y=0183.410-0194.650 | Đường giáp ranh xã Phú
P=0564 | X=0235.540-0293.950 | Y=0189.170-0200.410 | Đường Hùng
P=0564 | X=0322.200-0402.700 | Y=0189.170-0200.410 | Đường Quách Thị
P=0564 | X=0092.900-0199.310 | Y=0194.930-0206.170 | 71 Đông-Vĩnh Thanh cũ
P=0564 | X=0424.970-0450.020 | Y=0196.810-0206.130 | 6.100
P=0564 | X=0461.210-0486.260 | Y=0196.810-0206.130 | 4.300
P=0564 | X=0497.230-0522.280 | Y=0196.810-0206.130 | 3.700
P=0564 | X=0235.540-0266.820 | Y=0200.710-0211.950 | Vương
P=0564 | X=0322.200-0348.440 | Y=0202.590-0211.910 | Trang
P=0564 | X=0106.850-0204.770 | Y=0206.470-0217.710 | (đường con Gà Vàng)
P=0564 | X=0106.850-0413.240 | Y=0224.230-0235.470 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường giáp ranh xã
P=0564 | X=0106.850-0392.140 | Y=0235.750-0246.990 | Phú Đông-Vĩnh Thanh cũ (đường con Gà Vàng) đoạn từ Đường
P=0564 | X=0106.850-0400.300 | Y=0247.270-0258.510 | Hùng Vương đến Đường Quách Thị Trang có hiện trạng là đường
P=0564 | X=0092.900-0209.960 | Y=0258.790-0270.230 | 72 nhựa, bê tông xi măng:
P=0564 | X=0424.970-0450.020 | Y=0260.910-0270.230 | 2.700
P=0564 | X=0461.210-0486.260 | Y=0260.910-0270.230 | 1.900
P=0564 | X=0497.230-0522.280 | Y=0260.910-0270.230 | 1.600
P=0564 | X=0106.850-0337.930 | Y=0276.310-0287.550 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0564 | X=0106.850-0384.020 | Y=0293.860-0305.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0564 | X=0106.850-0413.240 | Y=0311.620-0322.860 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường giáp ranh xã
P=0564 | X=0106.850-0392.140 | Y=0323.140-0334.380 | Phú Đông-Vĩnh Thanh cũ (đường con Gà Vàng) đoạn từ Đường
P=0564 | X=0106.850-0400.300 | Y=0334.660-0345.900 | Hùng Vương đến Đường Quách Thị Trang có hiện trạng là đường
P=0564 | X=0106.850-0209.960 | Y=0345.940-0357.180 | nhựa, bê tông xi măng:
P=0564 | X=0092.900-0338.400 | Y=0362.700-0374.700 | 73 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0564 | X=0424.970-0450.020 | Y=0362.700-0372.020 | 2.100
P=0564 | X=0461.210-0486.260 | Y=0362.700-0372.020 | 1.500
P=0564 | X=0497.230-0522.280 | Y=0362.700-0372.020 | 1.300
P=0564 | X=0106.850-0413.270 | Y=0381.000-0392.240 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0564 | X=0106.850-0148.530 | Y=0392.520-0403.760 | ≤1.000m.
P=0564 | X=0106.850-0330.020 | Y=0410.040-0421.280 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0564 | X=0106.850-0413.240 | Y=0427.800-0439.040 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường giáp ranh xã
P=0564 | X=0106.850-0392.140 | Y=0439.320-0450.560 | Phú Đông-Vĩnh Thanh cũ (đường con Gà Vàng) đoạn từ Đường
P=0564 | X=0106.850-0400.300 | Y=0450.860-0462.100 | Hùng Vương đến Đường Quách Thị Trang có hiện trạng là đường
P=0564 | X=0092.900-0209.960 | Y=0462.380-0473.820 | 74 nhựa, bê tông xi măng:
P=0564 | X=0424.970-0450.020 | Y=0464.500-0473.820 | 1.500
P=0564 | X=0461.210-0486.260 | Y=0464.500-0473.820 | 1.100
P=0564 | X=0505.390-0522.030 | Y=0464.500-0473.820 | 900
P=0564 | X=0106.850-0392.640 | Y=0479.900-0491.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0564 | X=0106.850-0330.490 | Y=0497.420-0508.660 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0564 | X=0106.850-0392.110 | Y=0515.180-0526.420 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0564 | X=0106.850-0412.680 | Y=0526.460-0537.700 | Đường giáp ranh xã Phú Đông-Vĩnh Thanh cũ (đường con Gà Vàng)
P=0564 | X=0106.850-0403.190 | Y=0538.010-0549.250 | đoạn từ Đường Hùng Vương đến Đường Quách Thị Trang có hiện
P=0564 | X=0092.900-0278.630 | Y=0549.530-0560.970 | 75 trạng là đường nhựa, bê tông xi măng:
P=0564 | X=0424.970-0450.020 | Y=0551.650-0560.970 | 2.400
P=0564 | X=0461.210-0486.260 | Y=0551.650-0560.970 | 1.700
P=0564 | X=0497.230-0522.280 | Y=0551.650-0560.970 | 1.400
P=0564 | X=0106.850-0337.930 | Y=0567.050-0578.290 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0564 | X=0106.850-0384.020 | Y=0584.570-0595.810 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0564 | X=0106.850-0392.110 | Y=0602.330-0613.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0564 | X=0106.850-0412.680 | Y=0613.850-0625.090 | Đường giáp ranh xã Phú Đông-Vĩnh Thanh cũ (đường con Gà Vàng)
P=0564 | X=0106.850-0403.190 | Y=0625.390-0636.630 | đoạn từ Đường Hùng Vương đến Đường Quách Thị Trang có hiện
P=0564 | X=0106.850-0278.630 | Y=0636.910-0648.150 | trạng là đường nhựa, bê tông xi măng:
P=0564 | X=0092.900-0338.400 | Y=0653.430-0665.670 | 76 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0564 | X=0424.970-0450.020 | Y=0653.430-0662.750 | 1.900
P=0564 | X=0461.210-0486.260 | Y=0653.430-0662.750 | 1.300
P=0564 | X=0497.230-0522.280 | Y=0653.430-0662.750 | 1.100
P=0564 | X=0106.850-0413.270 | Y=0671.950-0683.190 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0564 | X=0106.850-0148.530 | Y=0683.470-0694.710 | ≤1.000m.
P=0564 | X=0106.850-0330.020 | Y=0700.770-0712.010 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0565 | X=0106.850-0392.110 | Y=0078.500-0089.740 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0565 | X=0106.850-0412.680 | Y=0090.020-0101.260 | Đường giáp ranh xã Phú Đông-Vĩnh Thanh cũ (đường con Gà Vàng)
P=0565 | X=0106.850-0403.190 | Y=0101.540-0112.780 | đoạn từ Đường Hùng Vương đến Đường Quách Thị Trang có hiện
P=0565 | X=0092.900-0278.630 | Y=0113.060-0124.500 | 77 trạng là đường nhựa, bê tông xi măng:
P=0565 | X=0424.970-0450.020 | Y=0115.180-0124.500 | 1.400
P=0565 | X=0469.370-0486.010 | Y=0115.180-0124.500 | 980
P=0565 | X=0505.390-0522.030 | Y=0115.180-0124.500 | 840
P=0565 | X=0106.850-0392.640 | Y=0130.610-0141.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0565 | X=0106.850-0330.490 | Y=0148.130-0159.370 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0565 | X=0106.850-0293.950 | Y=0165.650-0176.890 | Đường vào công viên tưởng Đường Hùng
P=0565 | X=0092.900-0104.020 | Y=0173.290-0182.610 | 78
P=0565 | X=0322.200-0388.030 | Y=0173.290-0182.610 | Sông Ông Kèo
P=0565 | X=0424.970-0450.020 | Y=0173.290-0182.610 | 5.800
P=0565 | X=0461.210-0486.260 | Y=0173.290-0182.610 | 4.100
P=0565 | X=0497.230-0522.280 | Y=0173.290-0182.610 | 3.500
P=0565 | X=0235.540-0266.820 | Y=0177.170-0188.410 | Vương
P=0565 | X=0106.850-0178.720 | Y=0179.050-0188.370 | niệm Giồng Sắn
P=0565 | X=0106.850-0398.610 | Y=0194.930-0206.170 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào công
P=0565 | X=0106.850-0407.510 | Y=0206.470-0217.710 | viên tưởng niệm Giồng Sắn đoạn từ Đường Hùng Vương đến Sông
P=0565 | X=0106.850-0355.940 | Y=0217.990-0229.230 | Ông Kèo có hiện trạng là đường nhựa, bê tông xi măng:
P=0565 | X=0092.900-0104.020 | Y=0225.870-0235.190 | 79
P=0565 | X=0424.970-0450.020 | Y=0225.870-0235.190 | 2.600
P=0565 | X=0461.210-0486.260 | Y=0225.870-0235.190 | 1.800
P=0565 | X=0497.230-0522.280 | Y=0225.870-0235.190 | 1.600
P=0565 | X=0106.850-0337.940 | Y=0235.510-0246.750 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0565 | X=0106.850-0384.020 | Y=0253.030-0264.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0565 | X=0106.850-0398.610 | Y=0270.790-0282.030 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào công
P=0565 | X=0106.850-0407.510 | Y=0282.340-0293.580 | viên tưởng niệm Giồng Sắn đoạn từ Đường Hùng Vương đến Sông
P=0565 | X=0106.850-0355.970 | Y=0293.860-0305.100 | Ông Kèo có hiện trạng là đường nhựa, bê tông xi măng:
P=0565 | X=0092.900-0338.400 | Y=0311.380-0325.460 | 80 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0565 | X=0424.970-0450.020 | Y=0316.140-0325.460 | 2.000
P=0565 | X=0461.210-0486.260 | Y=0316.140-0325.460 | 1.400
P=0565 | X=0497.230-0522.280 | Y=0316.140-0325.460 | 1.200
P=0565 | X=0106.850-0413.270 | Y=0328.900-0340.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0565 | X=0106.850-0148.530 | Y=0340.420-0351.660 | ≤1.000m.
P=0565 | X=0106.850-0330.020 | Y=0357.700-0368.940 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0565 | X=0106.850-0398.610 | Y=0375.480-0386.720 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào công
P=0565 | X=0106.850-0407.510 | Y=0387.000-0398.240 | viên tưởng niệm Giồng Sắn đoạn từ Đường Hùng Vương đến Sông
P=0565 | X=0106.850-0355.940 | Y=0398.520-0409.760 | Ông Kèo có hiện trạng là đường nhựa, bê tông xi măng:
P=0565 | X=0092.900-0104.020 | Y=0406.400-0415.720 | 81
