TABLE=076 | AREA=Xã Tân Hưng | RECORDS=135 | GROUPS=135 | REVIEW=15
ID=NQ28-076-S04-TT0020-01 | SEC=agricultural | TT=20 | REL=main | PRICES=242,194,116 | ROAD=tờ bản đồ Ngã tư (thửa 17Đường ĐT 756 08, tờ bản Ngã ba 18Đường ĐT 756 (đường đường ĐT Ngã ba 19Đường ĐT 756C ĐT 756 ĐT 756C Đường huyện lộ Đường Quốc ĐH 13 | START=số 72) Ngã ba đất số (đường đồ số 72) ĐT 756C) Suối Nghiên ĐT 756 và Ranh giới 756C) giao đường và đường Ranh giới - Phía Tây: (thửa đất đồ số 100) lộ 14 - Phía Đông: tông (thửa bản đồ | END=Suối Nghiên ĐT 756 và đường xã Tân Hưng xã Tân Quan Đường bê tông số 144, tờ bản Đường bê đất số 24, tờ số 100) | FLAGS=
ID=NQ28-076-S04-TT0093-01 | SEC=agricultural | TT=93 | REL=main | PRICES=280,224,157 | ROAD=Đường Lê Đại Hành | START=Đường Quốc lộ 13 | END=Đường Nguyễn Trung Trực | FLAGS=
ID=NQ28-076-S04-TT0094-01 | SEC=agricultural | TT=94 | REL=main | PRICES=280,224,157 | ROAD=Đường Lương Thế Vinh (Đường HCT 19 cũ) | START=Đường Quốc lộ 13 (Ngã ba Xa Cam) | END=Đường Cao Bá Quát | FLAGS=
ID=NQ28-076-S04-TT0095-01 | SEC=agricultural | TT=95 | REL=main | PRICES=280,224,157 | ROAD=Đường Nguyễn Trãi | START=Đường Nguyễn Huệ | END=Đường Đoàn Thị Điểm | FLAGS=
ID=NQ28-076-S04-TT0096-01 | SEC=agricultural | TT=96 | REL=main | PRICES=280,224,157 | ROAD=Đường Nguyễn Trãi | START=Đường Nguyễn Huệ | END=Đường Nguyễn Du | FLAGS=
ID=NQ28-076-S04-TT0097-01 | SEC=agricultural | TT=97 | REL=main | PRICES=280,224,157 | ROAD=Đường HCT 1 | START=Đường ĐT 752 | END=Ngã ba đường HCT 7 (thửa đất số 414, tờ bản đồ số 13 mới) | FLAGS=
ID=NQ28-076-S04-TT0098-01 | SEC=agricultural | TT=98 | REL=main | PRICES=280,224,157 | ROAD=Đường HCT 1 | START=Ngã ba đường HCT 7 (thửa đất số 414, tờ bản đồ số 13 mới) | END=Đường Trần Quang Khải | FLAGS=
ID=NQ28-076-S04-TT0099-01 | SEC=agricultural | TT=99 | REL=main | PRICES=280,224,157 | ROAD=Đường HCT 3 (Đường giáp ranh xã Minh Đức) | START=Đường ĐT 752 | END=Đường HCT 4 | FLAGS=
ID=NQ28-076-S04-TT0100-01 | SEC=agricultural | TT=100 | REL=main | PRICES=280,224,157 | ROAD=Đường HCT 3 (Đường giáp ranh xã Minh Đức) | START=Đường HCT 4 | END=Giáp ranh xã Minh Đức | FLAGS=
ID=NQ28-076-S04-TT0101-01 | SEC=agricultural | TT=101 | REL=main | PRICES=280,224,157 | ROAD=Đường HCT 4 | START=Đường Cao Bá Quát | END=Ngã tư đội I Nông trường Bình Minh | FLAGS=
ID=NQ28-076-S04-TT0102-01 | SEC=agricultural | TT=102 | REL=main | PRICES=280,224,157 | ROAD=Đường HCT 4 | START=Ngã tư đội I Nông trường Bình Minh | END=Đường HCT 3 | FLAGS=
ID=NQ28-076-S04-TT0103-01 | SEC=agricultural | TT=103 | REL=main | PRICES=280,224,157 | ROAD=Đường HCT 5 | START=Đường Quốc lộ 13 | END=Hết tuyến | FLAGS=
ID=NQ28-076-S04-TT0104-01 | SEC=agricultural | TT=104 | REL=main | PRICES=280,224,157 | ROAD=Đường HCT 6 | START=Đường Đoàn Thị Điểm | END=Ngã ba đường HCT 28 và đường HCT 29 | FLAGS=
ID=NQ28-076-S04-TT0105-01 | SEC=agricultural | TT=105 | REL=main | PRICES=280,224,157 | ROAD=Đường HCT 7 (Nhánh) | START=Đường Phan Bội Châu | END=Đường Trần Quang Khải | FLAGS=
ID=NQ28-076-S04-TT0106-01 | SEC=agricultural | TT=106 | REL=main | PRICES=280,224,157 | ROAD=Đường HCT 7 | START=Đường Trần Quang Khải | END=Đường HCT 1 (thửa đất số 342, tờ bản đồ số 13 mới) | FLAGS=
ID=NQ28-076-S04-TT0107-01 | SEC=agricultural | TT=107 | REL=main | PRICES=280,224,157 | ROAD=Đường HCT 8 | START=Ngã tư Bình Ninh II (Nhà văn hóa Bình Ninh 2) | END=Đường HCT 3 | FLAGS=
ID=NQ28-076-S04-TT0108-01 | SEC=agricultural | TT=108 | REL=main | PRICES=280,224,157 | ROAD=Đường HCT 8 | START=Đường ĐT 752 | END=Ngã tư Bình Ninh II (Nhà văn hóa Bình Ninh 2) | FLAGS=
ID=NQ28-076-S04-TT0109-01 | SEC=agricultural | TT=109 | REL=main | PRICES=280,224,157 | ROAD=Đường HCT 9 | START=Đường ĐT 752 | END=Đường HCT 13 | FLAGS=
ID=NQ28-076-S04-TT0110-01 | SEC=agricultural | TT=110 | REL=main | PRICES=280,224,157 | ROAD=Đường HCT 10 | START=Đường ĐT 752 | END=Đường HCT 12 | FLAGS=
ID=NQ28-076-S04-TT0111-01 | SEC=agricultural | TT=111 | REL=main | PRICES=280,224,157 | ROAD=Đường HCT 11 | START=Đường HCT 9 | END=Đường HCT 10 | FLAGS=
ID=NQ28-076-S04-TT0112-01 | SEC=agricultural | TT=112 | REL=main | PRICES=280,224,157 | ROAD=Đường HCT 12 | START=Đường ĐT 752 | END=Đường HCT 13 | FLAGS=
ID=NQ28-076-S04-TT0113-01 | SEC=agricultural | TT=113 | REL=main | PRICES=280,224,157 | ROAD=Đường HCT 13 | START=Đường HCT 1 | END=Đường HCT 15 | FLAGS=
ID=NQ28-076-S04-TT0114-01 | SEC=agricultural | TT=114 | REL=main | PRICES=280,224,157 | ROAD=Đường HCT 14 | START=Đường HCT 13 | END=Hết tuyến | FLAGS=
ID=NQ28-076-S04-TT0115-01 | SEC=agricultural | TT=115 | REL=main | PRICES=280,224,157 | ROAD=Đường HCT 15 | START=Hường HCT 1 | END=Đường HCT 8 | FLAGS=
ID=NQ28-076-S04-TT0116-01 | SEC=agricultural | TT=116 | REL=main | PRICES=280,224,157 | ROAD=Đường HCT 16 | START=Đường HCT 1 | END=Hết tuyến | FLAGS=
ID=NQ28-076-S04-TT0117-01 | SEC=agricultural | TT=117 | REL=main | PRICES=280,224,157 | ROAD=Đường HCT 17 | START=Đường HCT 1 | END=Hết tuyến | FLAGS=
ID=NQ28-076-S04-TT0118-01 | SEC=agricultural | TT=118 | REL=main | PRICES=280,224,157 | ROAD=Đường HCT 18 | START=Đường ĐT 752 | END=Đường HCT 19 | FLAGS=
ID=NQ28-076-S04-TT0119-01 | SEC=agricultural | TT=119 | REL=main | PRICES=280,224,157 | ROAD=Đường HCT 19 | START=Đường ĐT 752 (Trụ sở UBND phường Hưng Chiến) | END=Suối (thửa đất số 159, tờ bản đồ số 3) | FLAGS=
ID=NQ28-076-S04-TT0012-02 | SEC=agricultural | TT=12 | REL=main | PRICES=280,224,157 | ROAD=0Đường HCT 19 nối dài | START=Suối (thửa đất số 159, tờ bản đồ số 3) | END=Thửa đất số 31, tờ bản đồ số 3 | FLAGS=DUPLICATE_TT_IN_SEGMENT
ID=NQ28-076-S04-TT0121-01 | SEC=agricultural | TT=121 | REL=main | PRICES=280,224,157 | ROAD=Đường HCT 20 | START=Đường HCT 19 | END=Hết tuyến (giáp ranh xã Minh Đức) | FLAGS=
ID=NQ28-076-S04-TT0122-01 | SEC=agricultural | TT=122 | REL=main | PRICES=280,224,157 | ROAD=Đường HCT 21 | START=Đường HCT 27 (kho vật tư Công ty Cao su) | END=Đường HCT 27 (trường PTTH Bình Long) | FLAGS=
ID=NQ28-076-S04-TT0123-01 | SEC=agricultural | TT=123 | REL=main | PRICES=280,224,157 | ROAD=Đường HCT 21 | START=Đường HCT 27 (trường PTTH Bình Long) | END=Đường HCT 22 | FLAGS=
