TABLE=058 | AREA=Phường Minh Hưng | RECORDS=248 | GROUPS=248 | REVIEW=248
ID=NQ28-058-S01-TT0001-01 | SEC=non-agricultural | TT=1 | REL=main | PRICES=2800,2400 | ROAD=58. Phường Minh Hưng Tên đường TT giao thông Phía Bắc: Ngã Đường ĐT đường Ngô | START=Đoạn đường Phía Bắc: Hết ba giới thửa đất Đức Kế bản đồ số 140; | END=Giá đất ở ranh số 69, tờ Phía 4.000 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0080-01 | SEC=non-agricultural | TT=80 | REL=main | PRICES=490,420 | ROAD=Ngã tư đường tông - Khu Đường số 45 Minh Long Khu phố ranh thửa đất Minh Long 4 179 tờ bản 128) | START=bê phố 4 (hết Hết tuyến số đồ số | END=700 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0081-01 | SEC=non-agricultural | TT=81 | REL=main | PRICES=790,680 | ROAD=Đường số 47- Khu phố Minh Đường ĐT Long 4 | START=Ranh Phía thửa đất số 751 thửa đất số đồ số 127 | END=Bắc các 55 và 1.100 58 tờ bản | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0082-01 | SEC=non-agricultural | TT=82 | REL=main | PRICES=670,580 | ROAD=Ranh Phía Đường số 47- thửa đất số Khu phố Minh thửa đất số Long 4 bản đồ số 127 | START=Bắc các 55 và Đường số 45 58 tờ | END=960 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0083-01 | SEC=non-agricultural | TT=83 | REL=main | PRICES=790,680 | ROAD=Đường số 49- Khu phố Minh Đường ĐT Long 4 | START=751 Hết tuyến | END=1.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0084-01 | SEC=non-agricultural | TT=84 | REL=main | PRICES=490,420 | ROAD=Đường số 51 Đường số 41 Khu phố Minh Long 4 | START=Đường số 29 | END=700 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0085-01 | SEC=non-agricultural | TT=85 | REL=main | PRICES=670,580 | ROAD=Đường số 52- Khu phố Minh Đường ĐH Long 4 | START=05 Đường số 3 | END=960 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0086-01 | SEC=non-agricultural | TT=86 | REL=main | PRICES=4200,3600 | ROAD=Ranh giới phường Đường Quốc Chơn Thành tư giao với lộ 13 Cao Bá Quát) | START=(ngã Ngã tư Đường đường đường số 20 | END=số 89, 6.000 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0087-01 | SEC=non-agricultural | TT=87 | REL=main | PRICES=4800,4100 | ROAD=Đường Quốc Ngã tư Đường 89, đường lộ 13 | START=số Ngã tư Đường số 20 đường số 97 | END=số 84, 6.800 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0088-01 | SEC=non-agricultural | TT=88 | REL=main | PRICES=8100,6900 | ROAD=Đường Quốc Ngã tư Đường 84, đường lộ 13 | START=Phía Tây Giáp số số 35, Phía số 97 Giáp Đường | END=Đường Đông 11.500 ĐH01 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0089-01 | SEC=non-agricultural | TT=89 | REL=main | PRICES=10100,8600 | ROAD=Phía Tây Giáp Đường Quốc Đường số 35, Đông Giáp lộ 13 ĐH01 | START=Phía Tây Giáp Phía ĐH 04, Phía Đường Giáp Đường | END=đường Đông 14.400 số 69 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0090-01 | SEC=non-agricultural | TT=90 | REL=main | PRICES=8100,6900 | ROAD=Phía Tây Giáp Đường Quốc Đường ĐH04, Đông Giáp lộ 13 số 69 | START=Phía Tây Giáp Phía số 36A, Phía Đường Giáp Đường | END=Đường Đông 11.500 số 25 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0091-01 | SEC=non-agricultural | TT=91 | REL=main | PRICES=4800,4100 | ROAD=Phía Tây Giáp Đường Quốc Đường số 36A, Phía Đông lộ 13 Đường số 25 | START=Phía Tây Giáp số 37, Phía Giáp ranh thửa đất bản đồ số 11 | END=Đường Đông hết 6.800 số 36 tờ | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0092-01 | SEC=non-agricultural | TT=92 | REL=main | PRICES=3100,2700 | ROAD=Phía Tây Giáp Đường số 37, Đường Quốc Đông hết ranh lộ 13 đất số 36 tờ số 11 | START=Phía thửa Ranh giới xã bản đồ | END=Tân Khai 4.500 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0093-01 | SEC=non-agricultural | TT=93 | REL=main | PRICES=4500,3800 | ROAD=Đường Đường Quốc ĐT752B | START=Ngã tư hết lộ 13 trường cao Hưng | END=đất Nông su Minh 6.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0094-01 | SEC=non-agricultural | TT=94 | REL=main | PRICES=4300,3700 | ROAD=Ngã tư hết Đường Nông trường ĐT752B su Minh Hưng | START=đất Giáp ranh Xã cao Khai | END=Tân 6.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0095-01 | SEC=non-agricultural | TT=95 | REL=main | PRICES=2500,2200 | ROAD=HLLG Đường Đường ĐH 01 lộ 13 | START=Quốc Ngã tư tiếp đường ĐH | END=giáp 3.600 03 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0096-01 | SEC=non-agricultural | TT=96 | REL=main | PRICES=630,540 | ROAD=Ngã tư tiếp Đường ĐH01 đường ĐH | START=giáp Hết tuyến 03 | END=900 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0097-01 | SEC=non-agricultural | TT=97 | REL=main | PRICES=2500,2200 | ROAD=Đường ĐH 03 Toàn tuyến | START= | END=3.600 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0098-01 | SEC=non-agricultural | TT=98 | REL=main | PRICES=5000,4300 | ROAD=Đường ĐH04 Đường Quốc | START=lộ 13 Ngã tư Đường | END=số 19 7.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0099-01 | SEC=non-agricultural | TT=99 | REL=main | PRICES=2400,2000 | ROAD=Ngã tư Đường Đường ĐH04 19 | START=số Ngã tư Đường và Đường số | END=số 17 3.400 31 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0100-01 | SEC=non-agricultural | TT=100 | REL=main | PRICES=1700,1400 | ROAD=Ngã tư Đường Đường ĐH 04 17 và Đường | START=Ranh giới xã số Thạnh, Thành số 31 Chí Minh | END=Minh phố Hồ 2.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0101-01 | SEC=non-agricultural | TT=101 | REL=main | PRICES=620,530 | ROAD=Đường ĐH 05 Đường ĐH04 | START=Đường ĐH15 | END=880 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0102-01 | SEC=non-agricultural | TT=102 | REL=main | PRICES=1100,900 | ROAD=Đường đi trung hành chính Đường ĐH 12 cũ đi phường Hưng | START=tâm huyện Hết ranh thửa Minh bản đồ số 31 | END=990 tờ 1.500 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0103-01 | SEC=non-agricultural | TT=103 | REL=main | PRICES=770,660 | ROAD=Hết ranh thửa Đường ĐH 12 tờ bản đồ số | START=990 Giáp ranh xã 31 Quan | END=Tân 1.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0104-01 | SEC=non-agricultural | TT=104 | REL=main | PRICES=1700,1400 | ROAD=Đường ĐH 15 Đường Quốc | START=Đường đi trung lộ 13 hành chính đi phường | END=tâm huyện cũ 2.400 Minh Hưng | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0105-01 | SEC=non-agricultural | TT=105 | REL=main | PRICES=1200,1000 | ROAD=Đường đi trung hành chính Đường ĐH 15 cũ đi phường Hưng | START=tâm huyện Giáp ranh phường Minh Chơn Thành | END=1.700 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0106-01 | SEC=non-agricultural | TT=106 | REL=main | PRICES=1700,1400 | ROAD=Đường ĐH 15 Đường Quốc | START=Hết ranh thửa lộ 13 tờ bản đồ số | END=đất 118 2.400 28 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0107-01 | SEC=non-agricultural | TT=107 | REL=main | PRICES=1200,1000 | ROAD=Hết ranh thửa Đường ĐH 15 118 tờ bản 28 Đường Trung | START=đất Ngã ba tiếp đồ số đường số 10 | END=giáp 1.700 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0108-01 | SEC=non-agricultural | TT=108 | REL=main | PRICES=8400,7200 | ROAD=tâm hành chính thị xã Ngã ba đường Chơn Thành Quốc lộ 13 cũ đi phường Minh Hưng | START=Ngã tư tiếp đường ĐH03 Đường số 21 | END=giáp và 12.000 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0109-01 | SEC=non-agricultural | TT=109 | REL=main | PRICES=4500,3800 | ROAD=Đường Trung tâm hành Ngã tư tiếp chính thị xã đường ĐH03 Chơn Thành Đường số 21 cũ đi phường Minh Hưng | START=Phía Tây hết giáp thửa đất số và Đông hết ranh đất số 320 số 31 | END=ranh 667, Phía thửa 6.400 tờ bản đồ | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0110-01 | SEC=non-agricultural | TT=110 | REL=main | PRICES=4500,3800 | ROAD=Đường Trung Phía Tây hết tâm hành thửa đất số chính thị xã Phía Đông Chơn Thành thửa đất số cũ đi phường bản đồ số 31 | START=ranh 667, Ranh giới phường hết ranh Chơn Thành 320 tờ | END=6.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0111-01 | SEC=non-agricultural | TT=111 | REL=main | PRICES=1100,900 | ROAD=Minh Hưng Đường N1 Đường Quốc | START=lộ 13 Giáp Đường | END=số 19 1.500 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0112-01 | SEC=non-agricultural | TT=112 | REL=main | PRICES=840,720 | ROAD=Đường N1 Giáp Đường | START=số 19 Hết tuyến | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0113-01 | SEC=non-agricultural | TT=113 | REL=main | PRICES=870,740 | ROAD=Đường số 1 Đường số 6 | START=Suối Lạnh | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0114-01 | SEC=non-agricultural | TT=114 | REL=main | PRICES=870,740 | ROAD=Đường số 2 Đường số 6 | START=Đường Minh Đồng Nơ | END=Hưng- 1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0115-01 | SEC=non-agricultural | TT=115 | REL=main | PRICES=870,740 | ROAD=Đường số 3 Đường số 6 | START=Suối Lạnh | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0116-01 | SEC=non-agricultural | TT=116 | REL=main | PRICES=870,740 | ROAD=Đường số 4 Đường ĐH | START=04 Suối Lạnh | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0117-01 | SEC=non-agricultural | TT=117 | REL=main | PRICES=870,740 | ROAD=Đường số 5 Đường số 4 | START=Hết tuyến | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0118-01 | SEC=non-agricultural | TT=118 | REL=main | PRICES=680,590 | ROAD=Đường số 6 Đường số 32 | START=Ranh giới xã | END=Tân Khai 980 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0119-01 | SEC=non-agricultural | TT=119 | REL=main | PRICES=870,740 | ROAD=Đường số 7 Đường ĐH | START=04 Đường số 5 | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0120-01 | SEC=non-agricultural | TT=120 | REL=main | PRICES=870,740 | ROAD=Đường số 8 Đường ĐH | START=Ranh giới xã 04 Thạnh, Thành Chí Minh | END=Minh phố Hồ 1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0121-01 | SEC=non-agricultural | TT=121 | REL=main | PRICES=870,740 | ROAD=Đường số 9 Đường ĐH | START=Ranh giới xã 04 Thạnh, Thành Chí Minh | END=Minh phố Hồ 1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0122-01 | SEC=non-agricultural | TT=122 | REL=main | PRICES=770,660 | ROAD=Đường số 10 Toàn tuyến | START= | END=1.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0123-01 | SEC=non-agricultural | TT=123 | REL=main | PRICES=870,740 | ROAD=Đường số 11 Toàn tuyến | START= | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0124-01 | SEC=non-agricultural | TT=124 | REL=main | PRICES=870,740 | ROAD=Đường số 12 Toàn tuyến | START= | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0125-01 | SEC=non-agricultural | TT=125 | REL=main | PRICES=870,740 | ROAD=Đường số 13 Đường số 2 | START=Hết tuyến | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0126-01 | SEC=non-agricultural | TT=126 | REL=main | PRICES=870,740 | ROAD=Đường số 14 Đường số 1 | START=Ranh giới xã | END=Tân Khai 1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0127-01 | SEC=non-agricultural | TT=127 | REL=main | PRICES=870,740 | ROAD=Đường số 15 Đường ĐH | START=15 Hết tuyến | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0128-01 | SEC=non-agricultural | TT=128 | REL=main | PRICES=870,740 | ROAD=Đường số 16 Đường ĐH | START=15 Đường N1 | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0129-01 | SEC=non-agricultural | TT=129 | REL=main | PRICES=870,740 | ROAD=Đường số 17 Đường ĐH | START=04 Đường số 5 | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0130-01 | SEC=non-agricultural | TT=130 | REL=main | PRICES=870,740 | ROAD=Đường số 18 Toàn tuyến | START= | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0131-01 | SEC=non-agricultural | TT=131 | REL=main | PRICES=2400,2000 | ROAD=Đường số 19 Giáp Đường | START=số 58 Giáp Đường | END=ĐH04 3.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0132-01 | SEC=non-agricultural | TT=132 | REL=main | PRICES=2400,2000 | ROAD=Đường số 19 Giáp Đường | START=ĐH04 Giáp Đường | END=số 35 3.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0133-01 | SEC=non-agricultural | TT=133 | REL=main | PRICES=1600,1400 | ROAD=Đường số 19 Giáp Đường | START=số 35 Ngã tư Đường | END=N1 2.300 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0134-01 | SEC=non-agricultural | TT=134 | REL=main | PRICES=1100,900 | ROAD=Đường số 19 Ngã tư Đường | START=Giáp Đường N1 Quát | END=Cao Bá 1.500 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0135-01 | SEC=non-agricultural | TT=135 | REL=main | PRICES=1600,1400 | ROAD=HLLG Đường Đường số 20 lộ 13 | START=Quốc Ngã tư tiếp đường số 21 | END=giáp 2.300 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0136-01 | SEC=non-agricultural | TT=136 | REL=main | PRICES=1200,1000 | ROAD=Ngã tư tiếp Đường số 20 đường số 21 | START=giáp Hết tuyến | END=1.700 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0137-01 | SEC=non-agricultural | TT=137 | REL=main | PRICES=1200,1000 | ROAD=Ngã ba tiếp với đường Đường số 21 tâm hành chính huyện cũ đi phường Minh | START=giáp trung Ngã ba hết đất số 21 tờ 107 Hưng | END=ranh thửa bản đồ số 1.700 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0138-01 | SEC=non-agricultural | TT=138 | REL=main | PRICES=1200,1000 | ROAD=Ngã ba hết Đường số 21 thửa đất số bản đồ số 107 | START=ranh 21 tờ Hết tuyến | END=1.700 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0139-01 | SEC=non-agricultural | TT=139 | REL=main | PRICES=1600,1400 | ROAD=HLLG Đường Đường số 22 lộ 13 | START=Quốc Ngã tư giáp đường số 21 | END=với 2.300 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0140-01 | SEC=non-agricultural | TT=140 | REL=main | PRICES=1600,1400 | ROAD=Ngã tư giáp Đường số 22 đường số 21 | START=với Hết tuyến | END=2 300 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0141-01 | SEC=non-agricultural | TT=141 | REL=main | PRICES=870,740 | ROAD=Đường số 23 Đường ĐH | START=12 Ranh giới phường | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0142-01 | SEC=non-agricultural | TT=142 | REL=main | PRICES=790,680 | ROAD=Đường số 24 Đường ĐH | START=Chơn Thành 12 Hết tuyến | END=1.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0143-01 | SEC=non-agricultural | TT=143 | REL=main | PRICES=980,840 | ROAD=Đường số 25 Đường Quốc | START=Ngã ba đường lộ 13 hết ranh thửa 3122 tờ bản | END=số 26 đất số 1.400 đồ số 2 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0144-01 | SEC=non-agricultural | TT=144 | REL=main | PRICES=870,740 | ROAD=Ngã ba đường 26 hết ranh Đường số 25 đất số 3122 đồ số 2 | START=số thửa Hết tuyến tờ bản | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0145-01 | SEC=non-agricultural | TT=145 | REL=main | PRICES=870,740 | ROAD=Đường số 26 Đường số 25 | START=Ranh giới xã | END=Tân Khai 1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0146-01 | SEC=non-agricultural | TT=146 | REL=main | PRICES=870,740 | ROAD=Đường số 27 Đường số 25 | START=Hết ranh thửa 123, tờ bản | END=đất số 1.200 đồ số 2 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0147-01 | SEC=non-agricultural | TT=147 | REL=main | PRICES=870,740 | ROAD=Đường số 28 Đường ĐH | START=04 Đường số 4 | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0148-01 | SEC=non-agricultural | TT=148 | REL=main | PRICES=870,740 | ROAD=Đường số 29 Đường ĐH | START=Giáp ranh thửa 04 2567, tờ bản | END=đất 1.200 đồ số 5 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0149-01 | SEC=non-agricultural | TT=149 | REL=main | PRICES=870,740 | ROAD=Đường số 30 Đường ĐH | START=04 Đường số 4 | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0150-01 | SEC=non-agricultural | TT=150 | REL=main | PRICES=870,740 | ROAD=Đường số 31 Toàn tuyến | START= | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0151-01 | SEC=non-agricultural | TT=151 | REL=main | PRICES=870,740 | ROAD=Đường số 32 Đường số 6 | START=Đường số 15 | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0152-01 | SEC=non-agricultural | TT=152 | REL=main | PRICES=1800,1500 | ROAD=HLLG Đường Đường số 33 lộ 13 | START=Quốc Ngã ba tiếp đường ĐH | END=giáp 2.500 03 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0153-01 | SEC=non-agricultural | TT=153 | REL=main | PRICES=870,740 | ROAD=Đường số 34 Đường ĐH | START=05 Đường số 38 | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0154-01 | SEC=non-agricultural | TT=154 | REL=main | PRICES=2000,1700 | ROAD=Đường số 35 Toàn tuyến | START= | END=2.800 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0155-01 | SEC=non-agricultural | TT=155 | REL=main | PRICES=870,740 | ROAD=Đường số 36 Toàn tuyến | START= | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0156-01 | SEC=non-agricultural | TT=156 | REL=main | PRICES=870,740 | ROAD=Đường số Toàn tuyến 36A | START= | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0157-01 | SEC=non-agricultural | TT=157 | REL=main | PRICES=870,740 | ROAD=Đường số 3 7 Toàn tuyến | START= | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0158-01 | SEC=non-agricultural | TT=158 | REL=main | PRICES=870,740 | ROAD=Đường số 38 Toàn tuyến | START= | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0159-01 | SEC=non-agricultural | TT=159 | REL=main | PRICES=1100,930 | ROAD=Đường số 39 Toàn tuyến | START= | END=1.500 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0160-01 | SEC=non-agricultural | TT=160 | REL=main | PRICES=870,740 | ROAD=Đường số 40 Toàn tuyến | START= | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0161-01 | SEC=non-agricultural | TT=161 | REL=main | PRICES=870,740 | ROAD=Đường số 41 Toàn tuyến | START= | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0162-01 | SEC=non-agricultural | TT=162 | REL=main | PRICES=870,740 | ROAD=Đường số 42 Toàn tuyến | START= | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0163-01 | SEC=non-agricultural | TT=163 | REL=main | PRICES=680,590 | ROAD=Đường số 43 Toàn tuyến | START= | END=980 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0164-01 | SEC=non-agricultural | TT=164 | REL=main | PRICES=680,590 | ROAD=Đường số 44 Toàn tuyến | START= | END=980 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0165-01 | SEC=non-agricultural | TT=165 | REL=main | PRICES=680,590 | ROAD=Đường số 45 Toàn tuyến | START= | END=980 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0166-01 | SEC=non-agricultural | TT=166 | REL=main | PRICES=680,590 | ROAD=Đường số 46 Toàn tuyến | START= | END=980 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0167-01 | SEC=non-agricultural | TT=167 | REL=main | PRICES=680,590 | ROAD=Đường số 47 Toàn tuyến | START= | END=980 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0168-01 | SEC=non-agricultural | TT=168 | REL=main | PRICES=870,740 | ROAD=Đường số 48 Toàn tuyến | START= | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0169-01 | SEC=non-agricultural | TT=169 | REL=main | PRICES=870,740 | ROAD=Đường số 49 Toàn tuyến | START= | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0170-01 | SEC=non-agricultural | TT=170 | REL=main | PRICES=870,740 | ROAD=Đường số 50 Toàn tuyến | START= | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0171-01 | SEC=non-agricultural | TT=171 | REL=main | PRICES=870,740 | ROAD=Đường số 51 Toàn tuyến | START= | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0172-01 | SEC=non-agricultural | TT=172 | REL=main | PRICES=870,740 | ROAD=Đường số 52 Toàn tuyến | START= | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0173-01 | SEC=non-agricultural | TT=173 | REL=main | PRICES=870,740 | ROAD=Đường số 53 Toàn tuyến | START= | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-058-S01-TT0174-01 | SEC=non-agricultural | TT=174 | REL=main | PRICES=870,740 | ROAD=Đường số 54 Toàn tuyến | START= | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
