TABLE=064 | AREA=Phường Phước Long | RECORDS=124 | GROUPS=124 | REVIEW=121
ID=NQ28-064-S01-TT0001-01 | SEC=non-agricultural | TT=1 | REL=main | PRICES=7100,6100 | ROAD=64. Phường Phước Long thông Đường Đinh Tiên Giáp Đường Hoàng | START=Đoạn đường Giáp 6/1 Duyệt | END=Giá đất đường Lê Văn 10.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0089-01 | SEC=non-agricultural | TT=89 | REL=main | PRICES=1800,1500 | ROAD=Đường Bà Rá Toàn tuyến | START= | END=2.600 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0090-01 | SEC=non-agricultural | TT=90 | REL=main | PRICES=2000,1700 | ROAD=Đường Tôn Đức Ngã ba Nguyễn Thắng | START=giao Đường Giáp Tất Thành Phước | END=ranh phường 2.800 Bình | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0091-01 | SEC=non-agricultural | TT=91 | REL=main | PRICES=1700,1500 | ROAD=Đường Nguyễn Ngã ba Nguyễn Trãi | START=giao Đường Giáp Tất Thành Phước | END=ranh phường 2.400 Bình | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0092-01 | SEC=non-agricultural | TT=92 | REL=main | PRICES=2400,2000 | ROAD=Đường Hoàng Văn Ngã ba Độc Lập Thái | START=Ngã ba giao Đường Sản xuất Thửa | END=giao Đường (hết ranh 3.400 đất số 317 và | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0093-01 | SEC=non-agricultural | TT=93 | REL=main | PRICES=1900,1600 | ROAD=Ngã ba Sản xuất Đường Hoàng Văn thửa đất thửa đất Thái cùng thuộc | START=thửa cùng số 65) giao Đường (hết ranh số 317 và Ngã ba số 386, Âu Cơ tờ bản đồ | END=đất số 386, thuộc tờ bản đồ giao Đường 2.700 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0094-01 | SEC=non-agricultural | TT=94 | REL=main | PRICES=1600,1300 | ROAD=số 65) Đường Nguyễn Thị Ngã ba Định Nguyễn | START=giao Đường Ngã ba Tất Thành | END=đường nhựa 2.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0095-01 | SEC=non-agricultural | TT=95 | REL=main | PRICES=1300,1100 | ROAD=Đường Nguyễn Thị Ngã ba Định | START=Hết 02 đường nhựa nhựa | END=nhánh Đường 1.900 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0096-01 | SEC=non-agricultural | TT=96 | REL=main | PRICES=1200,1000 | ROAD=Đường Hà Huy Ngã ba Nguyễn Tập | START=giao Đường Giáp Tất Thành Phước | END=ranh phường 1.700 Bình | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0097-01 | SEC=non-agricultural | TT=97 | REL=main | PRICES=1400,1200 | ROAD=Đường Phan Đăng Ngã ba Lưu Nguyễn | START=giao Đường Ngã ba Tất Thành Lê Hồng | END=giao Đường 2.000 Phong | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0098-01 | SEC=non-agricultural | TT=98 | REL=main | PRICES=1700,1400 | ROAD=Ngã ba Đường Âu Cơ Nguyễn | START=giao Đường Ngã tư Tất Thành Lê Hồng | END=giao Đường 2.400 Phong | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0099-01 | SEC=non-agricultural | TT=99 | REL=main | PRICES=1500,1300 | ROAD=Ngã ba Đường Âu Cơ Lê Hồng | START=giao Đường Giáp Phước Phong | END=ranh phường 2.200 Bình | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0100-01 | SEC=non-agricultural | TT=100 | REL=main | PRICES=1000,870 | ROAD=Ngã ba Đường Lạc Long Lê Hồng Quân Số 3) | START=giao Đường Suối Phong (Cầu đất số số 66) | END=(Hết ranh thửa 610, tờ bản đồ 1.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0101-01 | SEC=non-agricultural | TT=101 | REL=main | PRICES=830,710 | ROAD=Đường Bùi Viện Đường | START=Đường Hà Huy Tập Đạm | END=Tôn Thất 1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0102-01 | SEC=non-agricultural | TT=102 | REL=main | PRICES=770,660 | ROAD=Đường Tôn Thất Đường Đạm | START=Đường Bùi Viện vực IV | END=QH liên khu 1.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0103-01 | SEC=non-agricultural | TT=103 | REL=main | PRICES=1200,1000 | ROAD=Đường Triệu Đường Quang Phục | START=Đường Âu Cơ Phong | END=Lê Hồng 1.700 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0104-01 | SEC=non-agricultural | TT=104 | REL=main | PRICES=1500,1300 | ROAD=Đường Lương Văn Đường Can Thành | START=Nguyễn Tất Hết tuyến | END=2.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0105-01 | SEC=non-agricultural | TT=105 | REL=main | PRICES=1200,1100 | ROAD=Đường Đường Tàu Ô Thành | START=Nguyễn Tất Đường | END=Bà Rá 1.800 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0106-01 | SEC=non-agricultural | TT=106 | REL=main | PRICES=1500,1300 | ROAD=Đường Huỳnh Mẫn Đường Đạt Thành | START=Nguyễn Tất Hết tuyến | END=2.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0107-01 | SEC=non-agricultural | TT=107 | REL=main | PRICES=1600,1400 | ROAD=Đường Cao Xuân Đường Huy Thành | START=Nguyễn Tất Hết tuyến | END=2.300 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0108-01 | SEC=non-agricultural | TT=108 | REL=main | PRICES=890,770 | ROAD=Đường Phạm Phú Đường Thứ Các tuyến đường | START=Nguyễn Trãi Hết tuyến | END=1.300 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0109-01 | SEC=non-agricultural | TT=109 | REL=main | PRICES=1400,1200 | ROAD=nhựa hẻm đường Hoàng Văn Thái và Toàn tuyến hẻm Đường Lê | START= | END=2.000 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0110-01 | SEC=non-agricultural | TT=110 | REL=main | PRICES=3000,2600 | ROAD=Trọng Tấn Đường Thống Giáp ranh | START=phường Đường | END=bê tông (thửa 4.300 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0111-01 | SEC=non-agricultural | TT=111 | REL=main | PRICES=3600,3100 | ROAD=Phước Nhất hướng Phước Đường đất số Đường Thống số 107 Nhất số 103, 93) | START=Bình (cũ) đất số về ngã ba số 107 Quả số 104, 93) bê tông (thửa Hết thửa 93, tờ bản đồ tờ bản và thửa đất thửa tờ bản đồ số bản đồ | END=92, tờ bản đồ và thửa đất tờ bản đồ số đất số 27, đồ số 108 và 5.100 đất số 78, tờ số 109 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0112-01 | SEC=non-agricultural | TT=112 | REL=main | PRICES=4200,3600 | ROAD=Thửa đất Đường Thống thửa đất thuộc tờ Nhất 109 | START=số 56 và Hết ranh số 67, cùng hết thửa bản đồ số tờ bản | END=chợ tạm và đất số 21, 6.000 đồ số 114 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0113-01 | SEC=non-agricultural | TT=113 | REL=main | PRICES=3600,3100 | ROAD=Thửa đất Đường Thống thửa đất thuộc tờ Nhất 114 | START=số 23 và Hết thửa số 64, cùng tờ bản bản đồ số thửa bản đồ | END=đất số 05, đồ số 40 và 5.100 đất số 305, tờ số 94 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0114-01 | SEC=non-agricultural | TT=114 | REL=main | PRICES=2400,2000 | ROAD=Thửa đất Đường Thống bản đồ đất số Nhất số 115 | START=số 306, tờ số 94 và thửa Giáp 6, tờ bản đồ Trung | END=ranh xã Phú 3.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0115-01 | SEC=non-agricultural | TT=115 | REL=main | PRICES=3000,2600 | ROAD=Ngã ba Đường Điện Biên (ngã ba Phủ - Điện | START=Ngã ba tông Phước Quả Thửa Thống Nhất thửa Biên Phủ) cùng số 86) | END=đường bê xi măng (hết đất số 172 và 4.300 đất số 250, thuộc tờ bản đồ | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0116-01 | SEC=non-agricultural | TT=116 | REL=main | PRICES=2100,1800 | ROAD=Ngã ba tông xi Đường Điện Biên đất số đất số Phủ thuộc tờ | START=đường bê măng (thửa 171 và thửa Ngã ba 218, cùng Phủ - bản đồ số | END=Điện Biên 3.100 Yên Thế | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0117-01 | SEC=non-agricultural | TT=117 | REL=main | PRICES=1200,1100 | ROAD=86) Đường Điện Biên Ngã ba Phủ Phủ - Yên | START=Điện Biên Lòng Thế Ngã ba | END=Hồ Thác Mơ 1.800 đường bê | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0118-01 | SEC=non-agricultural | TT=118 | REL=main | PRICES=1200,1000 | ROAD=Đường Mạc Đăng Giao Ngã Đường Dung | START=tông, ba Giáp thửa Thống Nhất đồ số đất số số 92) | END=xi măng (hết đất số 7, tờ bản 1.700 111 và thửa 239, tờ bản đồ | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0119-01 | SEC=non-agricultural | TT=119 | REL=main | PRICES=710,610 | ROAD=Ngã ba tông, xi Đường Mạc Đăng đất số đất số Dung thuộc tờ | START=đường bê măng (thửa 262 và thửa Giáp 231, cùng Trung bản đồ số | END=ranh xã Phú 1.000 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0120-01 | SEC=non-agricultural | TT=120 | REL=main | PRICES=890,770 | ROAD=92) Ngã ba Đường Bạch Đằng Điện Biên | START=Giáp Đường Giáp Phủ Mơ | END=lòng hồ Thác 1.300 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0121-01 | SEC=non-agricultural | TT=121 | REL=main | PRICES=710,610 | ROAD=Đường bê tông, xi Đường | START=Thống Nhất Ngã ba | END=đường đất 1.000 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0122-01 | SEC=non-agricultural | TT=122 | REL=main | PRICES=1200,1100 | ROAD=măng giữa thôn Phước Thiện - Phước Quả Đường Lam Sơn Cầu số Các tuyến đường | START=(hết thửa và thửa cùng số 85) Ngã ba 4 Bà Rá | END=đất số 235 đất số 163, thuộc tờ bản đồ giao Đường 1.800 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-064-S01-TT0123-01 | SEC=non-agricultural | TT=123 | REL=main | PRICES=940,650,560 | ROAD=nhựa, bê tông chưa có ở trên có Toàn tuyến chiều rộng mặt đường từ 3,5m trở lên | START= | END=940 | FLAGS=
ID=NQ28-064-S01-TT0124-01 | SEC=non-agricultural | TT=124 | REL=main | PRICES=770,540,460 | ROAD=Các tuyến đường nhựa, bê tông chưa có ở trên có Toàn tuyến chiều rộng mặt đường dưới 3,5m | START= | END=770 | FLAGS=
ID=NQ28-064-S01-TT0125-01 | SEC=non-agricultural | TT=125 | REL=main | PRICES=600,420,360 | ROAD=Các tuyến đường Toàn tuyến giao thông còn lại | START= | END=600 | FLAGS=
