TABLE=089 | AREA=Xã Phú Nghĩa | RECORDS=115 | GROUPS=115 | REVIEW=0
ID=NQ28-089-S01-TT0001-01 | SEC=agricultural | TT=1 | REL=main | PRICES=202,161,49 | ROAD=89. Xã Phú Nghĩa Tên đường giao TT thông Ngã ba Đường ĐT 760 Tiền Giang | START=Đoạn đường Tỉnh ủy Suối Tiền | END=Giá đất trồng cây lâu năm Giang 252 | FLAGS=
ID=NQ28-089-S01-TT0102-01 | SEC=agricultural | TT=102 | REL=main | PRICES=90,72,49 | ROAD=Các tuyến đường nội bộ khu A23, Toàn tuyến A24 | START= | END=112 | FLAGS=
ID=NQ28-089-S01-TT0103-01 | SEC=agricultural | TT=103 | REL=main | PRICES=90,72,49 | ROAD=Đường D15a (Sau lưng Điện Toàn tuyến lực) | START= | END=112 | FLAGS=
ID=NQ28-089-S01-TT0104-01 | SEC=agricultural | TT=104 | REL=main | PRICES=90,72,49 | ROAD=Đường N13 (Khu Trung tâm hành Đường chính huyện (cũ)) | START=Tiếp giáp ĐT 741 vành đai | END=đường 112 trung tâm | FLAGS=
ID=NQ28-089-S01-TT0105-01 | SEC=agricultural | TT=105 | REL=main | PRICES=90,72,49 | ROAD=Đường D15c (Khu Trung tâm Toàn tuyến hành chính huyện (cũ)) | START= | END=112 | FLAGS=
ID=NQ28-089-S01-TT0106-01 | SEC=agricultural | TT=106 | REL=main | PRICES=90,72,49 | ROAD=Đường N13a (Khu Trung tâm Toàn tuyến hành chính huyện (cũ)) | START= | END=112 | FLAGS=
ID=NQ28-089-S01-TT0107-01 | SEC=agricultural | TT=107 | REL=main | PRICES=90,72,49 | ROAD=Đường D15b (Khu Trung tâm Toàn tuyến hành chính huyện (cũ)) | START= | END=112 | FLAGS=
ID=NQ28-089-S01-TT0108-01 | SEC=agricultural | TT=108 | REL=main | PRICES=90,72,49 | ROAD=Đường N13b Toàn tuyến | START= | END=112 | FLAGS=
ID=NQ28-089-S01-TT0109-01 | SEC=agricultural | TT=109 | REL=main | PRICES=90,72,49 | ROAD=(Khu Trung tâm hành chính huyện (cũ)) Đường N13c (Khu Trung tâm Toàn tuyến hành chính huyện (cũ)) | START= | END=112 | FLAGS=
ID=NQ28-089-S01-TT0110-01 | SEC=agricultural | TT=110 | REL=main | PRICES=90,72,49 | ROAD=Đường N14a (Khu Trung tâm Toàn tuyến hành chính huyện (cũ)) | START= | END=112 | FLAGS=
ID=NQ28-089-S01-TT0111-01 | SEC=agricultural | TT=111 | REL=main | PRICES=90,72,49 | ROAD=Đường D13 (Khu Trung tâm hành Toàn tuyến chính huyện (cũ)) | START= | END=112 | FLAGS=
ID=NQ28-089-S01-TT0112-01 | SEC=agricultural | TT=112 | REL=main | PRICES=90,72,49 | ROAD=Đường D10a (Khu Trung tâm Toàn tuyến hành chính huyện (cũ)) | START= | END=112 | FLAGS=
ID=NQ28-089-S01-TT0113-01 | SEC=agricultural | TT=113 | REL=main | PRICES=90,72,49 | ROAD=Đường D10b (Khu Trung tâm Toàn tuyến hành chính huyện (cũ)) | START= | END=112 | FLAGS=
ID=NQ28-089-S01-TT0114-01 | SEC=agricultural | TT=114 | REL=main | PRICES=90,72,49 | ROAD=Các tuyến đường nhựa, bê tông Toàn tuyến còn lại | START= | END=112 | FLAGS=
ID=NQ28-089-S01-TT0115-01 | SEC=agricultural | TT=115 | REL=main | PRICES=48,38,38 | ROAD=Các tuyến đường Toàn tuyến còn lại | START= | END=60 | FLAGS=
