TABLE=056 | AREA=Phường Bình Phước | RECORDS=693 | GROUPS=258 | REVIEW=3
ID=NQ28-056-S01-TT0001-01 | SEC=agricultural | TT=1 | REL=main | PRICES=800,640,380 | ROAD=56. Phường Bình Phước Tên đường giao thông TT Đường Quốc lộ 14 | START=Đoạn Ngã tư Đồng Xoài | END=đường Giá trồng cây năm Đường Đồng Khởi | FLAGS=
ID=NQ28-056-S01-TT0119-01 | SEC=agricultural | TT=119 | REL=main | PRICES=430,340,200 | ROAD=Đường Phạm Đình Hổ | START=Đường Trần Quang Diệu | END=Đường Lê Duẩn | FLAGS=
ID=NQ28-056-S01-TT0120-01 | SEC=agricultural | TT=120 | REL=main | PRICES=430,340,200 | ROAD=Đường Dương Bá Trạc | START=Đường Cách Mạng Tháng Tám | END=Đường 26 tháng 12 | FLAGS=
ID=NQ28-056-S01-TT0121-01 | SEC=agricultural | TT=121 | REL=main | PRICES=430,340,200 | ROAD=Đường 26 tháng 12 | START=Đường Phú Riềng Đỏ | END=Đường Đặng Thai Mai | FLAGS=
ID=NQ28-056-S01-TT0122-01 | SEC=agricultural | TT=122 | REL=main | PRICES=430,340,200 | ROAD=Đường 9 tháng 6 | START=Đường Phú Riềng Đỏ | END=Đường Dương Bá Trạc | FLAGS=
ID=NQ28-056-S01-TT0123-01 | SEC=agricultural | TT=123 | REL=main | PRICES=430,340,200 | ROAD=Đường Nguyễn Hữu Huân | START=Đường 9 tháng 6 | END=Đường số 4 | FLAGS=
ID=NQ28-056-S01-TT0124-01 | SEC=agricultural | TT=124 | REL=main | PRICES=430,340,200 | ROAD=Đường Hồ Huấn Nghiệp | START=Đường 26 tháng 12 | END=Đường 9 tháng 6 | FLAGS=
ID=NQ28-056-S01-TT0125-01 | SEC=agricultural | TT=125 | REL=main | PRICES=430,340,200 | ROAD=Đường Mạc Đĩnh Chi | START=Đường Cách Mạng Tháng Tám | END=Đường 9 tháng 6 | FLAGS=
ID=NQ28-056-S01-TT0126-01 | SEC=agricultural | TT=126 | REL=main | PRICES=430,340,200 | ROAD=Đường Cách Mạng Tháng Tám | START=Đường Phú Riềng Đỏ | END=Đường Vũ Như Tô | FLAGS=
ID=NQ28-056-S01-TT0127-01 | SEC=agricultural | TT=127 | REL=main | PRICES=430,340,200 | ROAD=Đường Đặng Thai Mai | START=Đường Cách Mạng Tháng Tám | END=Đường Lý Thường Kiệt | FLAGS=
ID=NQ28-056-S01-TT0128-01 | SEC=agricultural | TT=128 | REL=main | PRICES=430,340,200 | ROAD=Đường Lê Trọng Tấn | START=Toàn tuyến | END= | FLAGS=
ID=NQ28-056-S01-TT0129-01 | SEC=agricultural | TT=129 | REL=main | PRICES=430,340,200 | ROAD=Đường Đoàn Thị Điểm | START=Toàn tuyến | END= | FLAGS=
ID=NQ28-056-S01-TT0130-01 | SEC=agricultural | TT=130 | REL=main | PRICES=430,340,200 | ROAD=Đường Nguyễn Hữu Cảnh | START=Toàn tuyến | END= | FLAGS=
ID=NQ28-056-S01-TT0131-01 | SEC=agricultural | TT=131 | REL=main | PRICES=430,340,200 | ROAD=Đường Vũ Như Tô | START=Đường Bùi Thị Xuân | END=Cuối đường | FLAGS=
ID=NQ28-056-S01-TT0132-01 | SEC=agricultural | TT=132 | REL=main | PRICES=430,340,200 | ROAD=Đường Lương Văn Can | START=Đường Bùi Thị Xuân | END=Đường 26 tháng 12 | FLAGS=
ID=NQ28-056-S01-TT0133-01 | SEC=agricultural | TT=133 | REL=main | PRICES=430,340,200 | ROAD=Đường Tăng Bạt Hổ | START=Đường Chu Văn An | END=Đường Lương Văn Can | FLAGS=
ID=NQ28-056-S01-TT0134-01 | SEC=agricultural | TT=134 | REL=main | PRICES=430,340,200 | ROAD=Đường Hồ Hảo Hớn | START=Đường Chu Văn An | END=Đường Đặng Thai Mai | FLAGS=
ID=NQ28-056-S01-TT0135-01 | SEC=agricultural | TT=135 | REL=main | PRICES=430,340,200 | ROAD=Đường Đào Duy Từ | START=Đường Lê Trọng Tấn | END=Đường Nguyễn Hữu Cảnh | FLAGS=
ID=NQ28-056-S01-TT0136-01 | SEC=agricultural | TT=136 | REL=main | PRICES=430,340,200 | ROAD=Đường Nguyễn Công Trứ | START=Đường Lê Trọng Tấn | END=Đường Nguyễn Hữu Cảnh | FLAGS=
ID=NQ28-056-S01-TT0137-01 | SEC=agricultural | TT=137 | REL=main | PRICES=430,340,200 | ROAD=Đường Hồ Tùng Mậu | START=Đường Lê Lợi | END=Đường Bùi Thị Xuân | FLAGS=
ID=NQ28-056-S01-TT0138-01 | SEC=agricultural | TT=138 | REL=main | PRICES=430,340,200 | ROAD=Đường Trần Nhật Duật | START=Đường Lê Trọng Tấn | END=Đường Nguyễn Hữu Cảnh | FLAGS=
ID=NQ28-056-S01-TT0139-01 | SEC=agricultural | TT=139 | REL=main | PRICES=430,340,200 | ROAD=Đường Tô Ngọc Vân | START=Toàn tuyến | END= | FLAGS=
ID=NQ28-056-S01-TT0140-01 | SEC=agricultural | TT=140 | REL=main | PRICES=430,340,200 | ROAD=Đường Lê Anh Xuân | START=Đường Quốc 14 | END=lộ Đường Trần Hưng Đạo | FLAGS=
ID=NQ28-056-S01-TT0141-01 | SEC=agricultural | TT=141 | REL=main | PRICES=430,340,200 | ROAD=Đường Hàn Thuyên | START=Đường Hai Bà Trưng | END=Đường Phạm Hùng | FLAGS=
ID=NQ28-056-S01-TT0142-01 | SEC=agricultural | TT=142 | REL=main | PRICES=430,340,200 | ROAD=Đường Diên Hồng | START=Đường Phạm Hùng | END=Đường Đặng Thai Mai | FLAGS=
ID=NQ28-056-S01-TT0143-01 | SEC=agricultural | TT=143 | REL=main | PRICES=430,340,200 | ROAD=Đường Chu Văn An | START=Đường Trương Công Định | END=Đường 26 tháng 12 | FLAGS=
ID=NQ28-056-S01-TT0144-01 | SEC=agricultural | TT=144 | REL=main | PRICES=430,340,200 | ROAD=Đường Phạm Hùng | START=Toàn tuyến | END= | FLAGS=
ID=NQ28-056-S01-TT0145-01 | SEC=agricultural | TT=145 | REL=main | PRICES=430,340,200 | ROAD=Đường Phan Huy ích | START=Đường Phạm Hùng | END=Đường Đặng Thai Mai | FLAGS=
ID=NQ28-056-S01-TT0146-01 | SEC=agricultural | TT=146 | REL=main | PRICES=430,340,200 | ROAD=Đường Đồng Khởi | START=Toàn tuyến | END= | FLAGS=
ID=NQ28-056-S01-TT0147-01 | SEC=agricultural | TT=147 | REL=main | PRICES=430,340,200 | ROAD=Đường Bình Giã | START=Đường Trần Phú | END=Đường Đồng Khởi | FLAGS=
ID=NQ28-056-S01-TT0148-01 | SEC=agricultural | TT=148 | REL=main | PRICES=430,340,200 | ROAD=Đường Tôn Thất Tùng | START=Đường Trần Phú | END=Đường Nguyễn Thượng Hiền | FLAGS=
ID=NQ28-056-S01-TT0149-01 | SEC=agricultural | TT=149 | REL=main | PRICES=430,340,200 | ROAD=Đường Phạm Hữu Trí | START=Đường Trần Phú | END=Đường Nguyễn Thượng Hiền | FLAGS=
ID=NQ28-056-S01-TT0150-01 | SEC=agricultural | TT=150 | REL=main | PRICES=430,340,200 | ROAD=Đường Lê Quang Định | START=Đường Trần Phú | END=Đường Đặng Trần Thi | FLAGS=
ID=NQ28-056-S01-TT0151-01 | SEC=agricultural | TT=151 | REL=main | PRICES=430,340,200 | ROAD=Đường Đặng Văn Ngữ | START=Đường Trần Hưng Đạo | END=Đường Lê Quang Định | FLAGS=
ID=NQ28-056-S01-TT0152-01 | SEC=agricultural | TT=152 | REL=main | PRICES=430,340,200 | ROAD=Đường Lê Quát | START=Đường Trần Hưng Đạo | END=Đường Lê Quang Định | FLAGS=
ID=NQ28-056-S01-TT0153-01 | SEC=agricultural | TT=153 | REL=main | PRICES=430,340,200 | ROAD=Đường Trần Quang Diệu | START=Toàn tuyến | END= | FLAGS=
ID=NQ28-056-S01-TT0154-01 | SEC=agricultural | TT=154 | REL=main | PRICES=430,340,200 | ROAD=Đường Cao Xuân Huy | START=Đường Nguyễn Thượng Hiền | END=Đường Hai Bà Trưng | FLAGS=
ID=NQ28-056-S01-TT0155-01 | SEC=agricultural | TT=155 | REL=main | PRICES=430,340,200 | ROAD=Đường nhựa ranh giới Thành - Tân Phú (cũ) | START=Ngã ba đường Tiến Trần Hưng Đạo | END=Cầu suối Cam | FLAGS=
ID=NQ28-056-S01-TT0156-01 | SEC=agricultural | TT=156 | REL=main | PRICES=430,340,200 | ROAD=Đường Nguyễn Trãi | START=Đường Phú Riềng Đỏ | END=Đường Ngô Quyền | FLAGS=
ID=NQ28-056-S01-TT0157-01 | SEC=agricultural | TT=157 | REL=main | PRICES=430,340,200 | ROAD=Đường Hoàng Hoa Thám | START=Đường Phú Riềng Đỏ | END=Đường Ngô Quyền | FLAGS=
ID=NQ28-056-S01-TT0158-01 | SEC=agricultural | TT=158 | REL=main | PRICES=430,340,200 | ROAD=Đường Bà Triệu | START=Đường Phú Riềng Đỏ | END=Đường Ngô Quyền | FLAGS=
ID=NQ28-056-S01-TT0159-01 | SEC=agricultural | TT=159 | REL=main | PRICES=430,340,200 | ROAD=Đường Phạm Ngũ Lão | START=Đường Phú Riềng Đỏ | END=Suối Đồng Tiền | FLAGS=
ID=NQ28-056-S01-TT0160-01 | SEC=agricultural | TT=160 | REL=main | PRICES=430,340,200 | ROAD=Đường Nguyễn Đình Chiểu | START=Đường Phú Riềng Đỏ | END=Suối Đồng Tiền | FLAGS=
ID=NQ28-056-S01-TT0161-01 | SEC=agricultural | TT=161 | REL=main | PRICES=430,340,200 | ROAD=Đường Ngô Quyền | START=Đường Lê Quý Đôn | END=Cổng trường Tiểu học Tân Thiện | FLAGS=
ID=NQ28-056-S01-TT0162-01 | SEC=agricultural | TT=162 | REL=main | PRICES=430,340,200 | ROAD=Đường Đinh Bộ Lĩnh | START=Đường Nguyễn Huệ | END=Đường Trần Quang Khải | FLAGS=
ID=NQ28-056-S01-TT0163-01 | SEC=agricultural | TT=163 | REL=main | PRICES=430,340,200 | ROAD=Đường Trần Quang Khải | START=Đường Nguyễn Huệ | END=Đường số 2 | FLAGS=
ID=NQ28-056-S01-TT0164-01 | SEC=agricultural | TT=164 | REL=main | PRICES=430,340,200 | ROAD=Đường số 2 | START=Đường Nguyễn Huệ | END=Đường Trần Quang Khải | FLAGS=
ID=NQ28-056-S01-TT0165-01 | SEC=agricultural | TT=165 | REL=main | PRICES=430,340,200 | ROAD=Đường Lãnh Binh Thăng (N3, N5 cũ) | START=Toàn tuyến | END= | FLAGS=
ID=NQ28-056-S01-TT0166-01 | SEC=agricultural | TT=166 | REL=main | PRICES=430,340,200 | ROAD=Đường Hùng Vương | START=Đường Quốc 14 | END=lộ Đường Phú Riềng Đỏ | FLAGS=
ID=NQ28-056-S01-TT0167-01 | SEC=agricultural | TT=167 | REL=main | PRICES=430,340,200 | ROAD=Khu vực chợ Đường số 1 | START=Đường Quốc 14 | END=lộ Đường số 7 | FLAGS=
ID=NQ28-056-S01-TT0168-01 | SEC=agricultural | TT=168 | REL=main | PRICES=430,340,200 | ROAD=Đường số 2 | START=Đường số 7 | END=Đường Phú Riềng Đỏ | FLAGS=
ID=NQ28-056-S01-TT0169-01 | SEC=agricultural | TT=169 | REL=main | PRICES=430,340,200 | ROAD=Đường số 3 | START=Đường Quốc 14 | END=lộ Đường số 5 | FLAGS=
ID=NQ28-056-S01-TT0170-01 | SEC=agricultural | TT=170 | REL=main | PRICES=430,340,200 | ROAD=Đường số 4 | START=Đường Quốc 14 | END=lộ Đường số 7 | FLAGS=
ID=NQ28-056-S01-TT0171-01 | SEC=agricultural | TT=171 | REL=main | PRICES=430,340,200 | ROAD=Đường số 5 | START=Đường Điểu Ông | END=Đường Trần Quốc Toản | FLAGS=
ID=NQ28-056-S01-TT0172-01 | SEC=agricultural | TT=172 | REL=main | PRICES=430,340,200 | ROAD=Đường số 6 | START=Đường số 1 | END=Đường số 4 | FLAGS=
ID=NQ28-056-S01-TT0173-01 | SEC=agricultural | TT=173 | REL=main | PRICES=430,340,200 | ROAD=Đường số 7 | START=Đường Điểu Ông | END=Đường Trần Quốc Toản | FLAGS=
ID=NQ28-056-S01-TT0174-01 | SEC=agricultural | TT=174 | REL=main | PRICES=430,340,200 | ROAD=Đường số 8 | START=Đường số 2 | END=Đường Trần Quốc Toản | FLAGS=
ID=NQ28-056-S01-TT0175-01 | SEC=agricultural | TT=175 | REL=main | PRICES=430,340,200 | ROAD=Đường số 9 | START=Đường số 2 | END=Đường Điểu Ông | FLAGS=
ID=NQ28-056-S01-TT0176-01 | SEC=agricultural | TT=176 | REL=main | PRICES=430,340,200 | ROAD=Đường Điểu Ông | START=Đường Quốc 14 | END=lộ Đường Phú Riềng Đỏ | FLAGS=
ID=NQ28-056-S01-TT0177-01 | SEC=agricultural | TT=177 | REL=main | PRICES=430,340,200 | ROAD=Đường Trần Quốc Toản Trung tâm thương mại | START=Đường Quốc 14 | END=lộ Đường Phú Riềng Đỏ | FLAGS=
ID=NQ28-056-S01-TT0178-01 | SEC=agricultural | TT=178 | REL=main | PRICES=430,340,200 | ROAD=thành phố Đồng Xoài Đường Nơ Trang Long | START=(cũ) Đường Phú Riềng Đỏ | END=Đường Võ Văn Tần | FLAGS=
ID=NQ28-056-S01-TT0179-01 | SEC=agricultural | TT=179 | REL=main | PRICES=430,340,200 | ROAD=Đường Phạm Ngọc Thảo | START=Toàn tuyến | END= | FLAGS=
ID=NQ28-056-S01-TT0180-01 | SEC=agricultural | TT=180 | REL=main | PRICES=430,340,200 | ROAD=Đường Lê Thi Riêng | START=Toàn tuyến | END= | FLAGS=
ID=NQ28-056-S01-TT0181-01 | SEC=agricultural | TT=181 | REL=main | PRICES=430,340,200 | ROAD=Đường Lê Thị Hồng Gấm | START=Toàn tuyến | END= | FLAGS=
ID=NQ28-056-S01-TT0182-01 | SEC=agricultural | TT=182 | REL=main | PRICES=430,340,200 | ROAD=Đường Nguyễn Công Hoan | START=Đường Hùng Vương | END=Đường Nguyễn Lương Bằng | FLAGS=
ID=NQ28-056-S01-TT0183-01 | SEC=agricultural | TT=183 | REL=main | PRICES=430,340,200 | ROAD=Đường Nguyễn Lương | START=Đường Lê Bằng Duẩn | END=Đường Võ Văn Tần | FLAGS=
ID=NQ28-056-S01-TT0184-01 | SEC=agricultural | TT=184 | REL=main | PRICES=430,340,200 | ROAD=Đường Nguyễn Duy | START=Đường Lê Duẩn | END=Đường Nguyễn Công Hoan | FLAGS=
ID=NQ28-056-S01-TT0185-01 | SEC=agricultural | TT=185 | REL=main | PRICES=430,340,200 | ROAD=Đường Phạm Thế Hiển | START=Đường Hùng Vương | END=Đường Nguyễn Duy | FLAGS=
ID=NQ28-056-S01-TT0186-01 | SEC=agricultural | TT=186 | REL=main | PRICES=430,340,200 | ROAD=Đường Lương Thế Vinh | START=Toàn tuyến | END= | FLAGS=
ID=NQ28-056-S01-TT0187-01 | SEC=agricultural | TT=187 | REL=main | PRICES=430,340,200 | ROAD=Đường Nguyễn Thi | START=Toàn tuyến | END= | FLAGS=
ID=NQ28-056-S01-TT0188-01 | SEC=agricultural | TT=188 | REL=main | PRICES=430,340,200 | ROAD=Đường Tô Hiệu | START=Đường Phú Riềng Đỏ | END=Đường Võ Văn Tần | FLAGS=
ID=NQ28-056-S01-TT0189-01 | SEC=agricultural | TT=189 | REL=main | PRICES=430,340,200 | ROAD=Đường Tôn Đức Thắng | START=Đường Phú Riềng Đỏ | END=Đường Võ Văn Tần | FLAGS=
ID=NQ28-056-S01-TT0190-01 | SEC=agricultural | TT=190 | REL=main | PRICES=430,340,200 | ROAD=Đường Tôn Đức Thắng (đoạn đường đã được tư thảm nhựa) | START=Đường Võ Văn đầu Tần | END=Đường Nguyễn Chánh | FLAGS=
ID=NQ28-056-S01-TT0191-01 | SEC=agricultural | TT=191 | REL=main | PRICES=430,340,200 | ROAD=Đường Thành Thái | START=Đường quy hoạch số 5 | END=Đường Võ Văn Tần | FLAGS=
ID=NQ28-056-S01-TT0192-01 | SEC=agricultural | TT=192 | REL=main | PRICES=430,340,200 | ROAD=Đường Nguyễn Hoàn | START=Đường quy hoạch số 5 | END=Đường Võ Văn Tần | FLAGS=
ID=NQ28-056-S01-TT0193-01 | SEC=agricultural | TT=193 | REL=main | PRICES=430,340,200 | ROAD=Đường số 31 | START=Đường Phú Riềng Đỏ | END=Đường Võ Văn Tần | FLAGS=
ID=NQ28-056-S01-TT0194-01 | SEC=agricultural | TT=194 | REL=main | PRICES=430,340,200 | ROAD=Đường Huỳnh Mẫn Đạt | START=Đường Thành Thái | END=Đường Tôn Đức Thắng | FLAGS=
ID=NQ28-056-S01-TT0195-01 | SEC=agricultural | TT=195 | REL=main | PRICES=430,340,200 | ROAD=Đường Mai Thúc Loan | START=Toàn tuyến | END= | FLAGS=
ID=NQ28-056-S01-TT0196-01 | SEC=agricultural | TT=196 | REL=main | PRICES=430,340,200 | ROAD=Đường Cao Văn Lầu | START=Đường Mai Thúc Loan | END=Đường Võ Văn Tần | FLAGS=
ID=NQ28-056-S01-TT0197-01 | SEC=agricultural | TT=197 | REL=main | PRICES=430,340,200 | ROAD=Đường Văn Cao | START=Đường Mai Thúc Loan | END=Đường Võ Văn Tần | FLAGS=
ID=NQ28-056-S01-TT0198-01 | SEC=agricultural | TT=198 | REL=main | PRICES=430,340,200 | ROAD=Đường Hồ Văn Huê | START=Đường Mai Thúc Loan Thửa đất số | END=Đường Võ Văn Tần | FLAGS=
ID=NQ28-056-S01-TT0199-01 | SEC=agricultural | TT=199 | REL=main | PRICES=430,340,200 | ROAD=Đường số 32 (đường Vành đai phía Nam Đồng Xoài) | START=759, tờ bản đồ số 5 (thửa đất của ông Trịnh Ngọc Vinh) | END=Đường Phan Bội Châu | FLAGS=
ID=NQ28-056-S01-TT0200-01 | SEC=agricultural | TT=200 | REL=main | PRICES=430,340,200 | ROAD=Đường Nguyễn Chánh Trường THPT Dân tộc trú) | START=(giáp Đường Quốc nội 14 | END=lộ Hết đường Nguyễn Chánh | FLAGS=
ID=NQ28-056-S01-TT0201-01 | SEC=agricultural | TT=201 | REL=main | PRICES=430,340,200 | ROAD=Đường Nguyễn Tri Phương | START=Đường Phú Riềng Đỏ | END=Hết tuyến (toàn tuyến) | FLAGS=
ID=NQ28-056-S01-TT0202-01 | SEC=agricultural | TT=202 | REL=main | PRICES=430,340,200 | ROAD=Hẻm 752 - Đường Phú Riềng Đỏ | START=Toàn tuyến | END= | FLAGS=
ID=NQ28-056-S01-TT0203-01 | SEC=agricultural | TT=203 | REL=main | PRICES=430,340,200 | ROAD=Đường Cù Chính Lan | START=Đường Lê Quý Đôn | END=Đường Võ Thị Sáu | FLAGS=
ID=NQ28-056-S01-TT0204-01 | SEC=agricultural | TT=204 | REL=main | PRICES=430,340,200 | ROAD=Đường Trần Tế Xương | START=Đường Cù Chính Lan | END=Hết ranh đất Công An phường Tân Xuân (cũ) | FLAGS=
ID=NQ28-056-S01-TT0205-01 | SEC=agricultural | TT=205 | REL=main | PRICES=430,340,200 | ROAD=Đường Nguyễn Thông | START=Đường Võ Thị Sáu | END=Đường Trần Tế Xương | FLAGS=
ID=NQ28-056-S01-TT0206-01 | SEC=agricultural | TT=206 | REL=main | PRICES=430,340,200 | ROAD=Đường Võ Trường Toản | START=Đường Võ Thị Sáu | END=Đường Trần Tế Xương | FLAGS=
ID=NQ28-056-S01-TT0207-01 | SEC=agricultural | TT=207 | REL=main | PRICES=430,340,200 | ROAD=Đường Võ Thị Sáu | START=Đường Nguyễn Huệ | END=Hết ranh đất Trường Mầm Non Hoa Huệ | FLAGS=
ID=NQ28-056-S01-TT0208-01 | SEC=agricultural | TT=208 | REL=main | PRICES=530,420,250 | ROAD=Đường ĐT 741 | START=Giáp ranh phường Tân Bình, Tân Xuân (cũ) | END=Giáp ranh huyện Đồng Phú (cũ) | FLAGS=
ID=NQ28-056-S01-TT0209-01 | SEC=agricultural | TT=209 | REL=main | PRICES=530,420,250 | ROAD=Đường ĐH 507 (đường Nông Trường) | START=Đường ĐT 741 | END=Hết ranh thửa đất số 383, tờ bản đồ số 7 | FLAGS=
ID=NQ28-056-S01-TT0210-01 | SEC=agricultural | TT=210 | REL=main | PRICES=530,420,250 | ROAD=Đường ĐH 507 (đường Nông Trường) | START=Giáp ranh thửa đất số 383, tờ bản đồ số 7 | END=Đầu ranh thửa đất số 34, tờ bản đồ số 20 | FLAGS=
ID=NQ28-056-S01-TT0211-01 | SEC=agricultural | TT=211 | REL=main | PRICES=530,420,250 | ROAD=Đường ĐH 507 (đường Nông Trường) | START=Thửa đất số 34, tờ bản đồ số 20 | END=Ngã ba giao đường bộ đội | FLAGS=
ID=NQ28-056-S01-TT0212-01 | SEC=agricultural | TT=212 | REL=main | PRICES=530,420,250 | ROAD=Đường ĐH 507 (đường Nông Trường) | START=Ngã ba giao đường bộ đội | END=Giáp xã An Thái, huyện Phú Giáo, tỉnh Bình Dương (cũ) | FLAGS=
ID=NQ28-056-S01-TT0213-01 | SEC=agricultural | TT=213 | REL=main | PRICES=330,260,155 | ROAD=Đường Tiến Hưng - Tiến Thành | START=Đường ĐH 507 (đường Nông Trường) | END=Giáp ranh phường Đồng Xoài | FLAGS=
ID=NQ28-056-S01-TT0214-01 | SEC=agricultural | TT=214 | REL=main | PRICES=330,260,155 | ROAD=Đường nhựa đi ấp Dên | START=Đường ĐH 507 Dên (đường Nông Trường) | END=Giáp ranh huyện Đồng Phú (cũ) | FLAGS=
ID=NQ28-056-S01-TT0215-01 | SEC=agricultural | TT=215 | REL=main | PRICES=330,260,155 | ROAD=Đường Trường Chinh nối dài | START=Đường ĐH 507 (đường Nông Trường) | END=Ngõ 129 | FLAGS=
ID=NQ28-056-S01-TT0216-01 | SEC=agricultural | TT=216 | REL=main | PRICES=330,260,155 | ROAD=Đường Trường Chinh nối dài | START=Ngõ 129 | END=Đường vào Khu công nghiệp Đồng Xoài 3 | FLAGS=
ID=NQ28-056-S01-TT0217-01 | SEC=agricultural | TT=217 | REL=main | PRICES=330,260,155 | ROAD=Đường Trường Chinh nối dài | START=Ngõ 401 | END=(ngõ 351) Giáp ranh phường Tân Bình (cũ) | FLAGS=
ID=NQ28-056-S01-TT0218-01 | SEC=agricultural | TT=218 | REL=main | PRICES=330,260,155 | ROAD=Đường Long An (ngõ 354) | START=Đường ĐT741 | END=Đường liên xã đi Tân Hưng - huyện Đồng Phú (cũ) | FLAGS=
ID=NQ28-056-S01-TT0219-01 | SEC=agricultural | TT=219 | REL=main | PRICES=330,260,155 | ROAD=Đường liên xã đi Tân Hưng huyện Đồng Phú (cũ) (ngõ | START=- Đường ĐT 741 | END=Ngã ba (đường | FLAGS=
ID=NQ28-056-S01-TT0246-01 | SEC=agricultural | TT=246 | REL=main | PRICES= | ROAD= | START=(Trạm Y Tế Xã) | END=Long An) | FLAGS=MAIN_ROAD_EMPTY,PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING
ID=NQ28-056-S01-TT0220-01 | SEC=agricultural | TT=220 | REL=main | PRICES=330,260,155 | ROAD=Đường liên xã đi Tân Hưng huyện Đồng Phú (cũ) (ngõ | START=- Ngã ba (đường | END=Cầu Rạt xã Tân Hưng, huyện | FLAGS=
ID=NQ28-056-S01-TT0246-02 | SEC=agricultural | TT=246 | REL=main | PRICES= | ROAD= | START=Long An) | END=Đồng Phú (cũ) Giáp ranh đất | FLAGS=MAIN_ROAD_EMPTY,PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-056-S01-TT0221-01 | SEC=agricultural | TT=221 | REL=main | PRICES=330,260,155 | ROAD=Đường vào Khu công nghiệp Đồng Xoài 3 (ngõ 351) | START=Đường ĐT 741 | END=khu công nghiệp Đồng Xoài 3 | FLAGS=
ID=NQ28-056-S01-TT0222-01 | SEC=agricultural | TT=222 | REL=main | PRICES=330,260,155 | ROAD=Đường vào Khu công nghiệp Đồng Xoài 3 (ngõ 351) | START=Giáp ranh đất khu công nghiệp Đồng Xoài 3 | END=Hết ranh đất khu công nghiệp Đồng Xoài 3 | FLAGS=
ID=NQ28-056-S01-TT0223-01 | SEC=agricultural | TT=223 | REL=main | PRICES=330,260,155 | ROAD=Đường nhựa cặp Trường Trung học cơ sở Tiến Hưng (ngõ 245) | START=Đường ĐT 741 | END=Giáp khu dân cư 92 ha | FLAGS=
ID=NQ28-056-S01-TT0224-01 | SEC=agricultural | TT=224 | REL=main | PRICES=330,260,155 | ROAD=Đường nhựa cặp Trường Trung học cơ sở Tiến Hưng (ngõ 245) | START=Giáp khu dân cư 92 ha | END=Đường ĐH 507 (đường Nông Trường) | FLAGS=
ID=NQ28-056-S01-TT0225-01 | SEC=agricultural | TT=225 | REL=main | PRICES=330,260,155 | ROAD=Ngõ 486 | START=Đường ĐT741 | END=Hết ranh đất nhà máy xử lý rác | FLAGS=
ID=NQ28-056-S01-TT0226-01 | SEC=agricultural | TT=226 | REL=main | PRICES=330,260,155 | ROAD=Ngõ 493, 477 | START=Đường ĐT 741 | END=Khu dân cư Tà Bế Gold | FLAGS=
ID=NQ28-056-S01-TT0227-01 | SEC=agricultural | TT=227 | REL=main | PRICES=330,260,155 | ROAD=Ngõ 401, 393 | START=Toàn tuyến | END= | FLAGS=
ID=NQ28-056-S01-TT0228-01 | SEC=agricultural | TT=228 | REL=main | PRICES=330,260,155 | ROAD=Ngõ 551 (đoạn đường | START=nhựa) Đường ĐT 741 | END=Hết thửa đất số 15, tờ bản đồ số 11 | FLAGS=
ID=NQ28-056-S01-TT0229-01 | SEC=agricultural | TT=229 | REL=main | PRICES=330,260,155 | ROAD=Ngõ 551 | START=Giáp thửa đất số 15, tờ bản đồ số 11 | END=Hết thửa đất số 03, tờ bản đồ số 04 | FLAGS=
ID=NQ28-056-S01-TT0230-01 | SEC=agricultural | TT=230 | REL=main | PRICES=330,260,155 | ROAD=Ngõ 466,461,446, 445, 419, 384 | START=434, Toàn tuyến | END= | FLAGS=
ID=NQ28-056-S01-TT0231-01 | SEC=agricultural | TT=231 | REL=main | PRICES=330,260,155 | ROAD=Ngõ 422, 371, 427 | START=Toàn tuyến | END= | FLAGS=
ID=NQ28-056-S01-TT0232-01 | SEC=agricultural | TT=232 | REL=main | PRICES=330,260,155 | ROAD=Ngõ 326, 292, 282, 270 | START=Toàn tuyến | END= | FLAGS=
ID=NQ28-056-S01-TT0233-01 | SEC=agricultural | TT=233 | REL=main | PRICES=330,260,155 | ROAD=Ngõ 212, 182 | START=Toàn tuyến | END= | FLAGS=
ID=NQ28-056-S01-TT0234-01 | SEC=agricultural | TT=234 | REL=main | PRICES=330,260,155 | ROAD=Ngõ 226, 202, 146 | START=Toàn tuyến | END= | FLAGS=
ID=NQ28-056-S01-TT0235-01 | SEC=agricultural | TT=235 | REL=main | PRICES=330,260,155 | ROAD=Ngõ 22 | START=Toàn tuyến | END= | FLAGS=
ID=NQ28-056-S01-TT0236-01 | SEC=agricultural | TT=236 | REL=main | PRICES=330,260,155 | ROAD=Ngõ 44 | START=Toàn tuyến | END= | FLAGS=
ID=NQ28-056-S01-TT0237-01 | SEC=agricultural | TT=237 | REL=main | PRICES=330,260,155 | ROAD=Ngõ 2 | START=Toàn tuyến | END= | FLAGS=
ID=NQ28-056-S01-TT0238-01 | SEC=agricultural | TT=238 | REL=main | PRICES=330,260,155 | ROAD=Ngõ 49, 91, 113, 129, 67, 187, 197, 227 | START=Toàn tuyến | END= | FLAGS=
ID=NQ28-056-S01-TT0239-01 | SEC=agricultural | TT=239 | REL=main | PRICES=330,260,155 | ROAD=Ngõ 249, 281, 301 | START=Toàn tuyến | END= | FLAGS=
