TABLE=058 | AREA=Phường Minh Hưng | RECORDS=236 | GROUPS=236 | REVIEW=10
ID=NQ28-058-S01-TT0001-01 | SEC=agricultural | TT=1 | REL=main | PRICES=700,560,336 | ROAD=58. Phường Minh Hưng Tên đường giao TT thông Phía đường Đường ĐT 751 (Ranh Chơn | START=Đoạn đường Phía giới Bắc: Ngã ba tờ Ngô Đức Kế Phía giới phường đường Thành) ranh Chơn | END=Giá trồng cây năm Bắc: Hết ranh thửa đất số 69, bản đồ số 140; Nam: Ngã ba bê tông giới phường Thành | FLAGS=
ID=NQ28-058-S01-TT0095-01 | SEC=agricultural | TT=95 | REL=main | PRICES=394,315,189 | ROAD=Nông su HLLG Đường ĐH 01 lộ 13 | START=trường cao Khai Minh Hưng đường Quốc Ngã đường | END=tư tiếp giáp ĐH 03 | FLAGS=
ID=NQ28-058-S01-TT0096-01 | SEC=agricultural | TT=96 | REL=main | PRICES=394,315,189 | ROAD=Ngã Đường ĐH 01 đường | START=tư tiếp giáp Hết ĐH 03 | END=tuyến | FLAGS=
ID=NQ28-058-S01-TT0097-01 | SEC=agricultural | TT=97 | REL=main | PRICES=394,315,189 | ROAD=Đường ĐH03 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0098-01 | SEC=agricultural | TT=98 | REL=main | PRICES=394,315,189 | ROAD=Đường ĐH04 Đường | START=Ngã Quốc lộ 13 19 | END=tư đường số | FLAGS=
ID=NQ28-058-S01-TT0099-01 | SEC=agricultural | TT=99 | REL=main | PRICES=394,315,189 | ROAD=Ngã Đường ĐH04 19 | START=tư đường số Ngã 17 | END=tư đường số và đường số 31 | FLAGS=
ID=NQ28-058-S01-TT0100-01 | SEC=agricultural | TT=100 | REL=main | PRICES=394,315,189 | ROAD=Ngã Đường ĐH04 17 | START=Ranh tư đường số Thạnh, và đường số 31 Hồ | END=giới xã Minh Thành phố Chí Minh | FLAGS=
ID=NQ28-058-S01-TT0101-01 | SEC=agricultural | TT=101 | REL=main | PRICES=394,315,189 | ROAD=Đường ĐH 05 Đường | START=ĐH04 Đường | END=ĐH15 | FLAGS=
ID=NQ28-058-S01-TT0102-01 | SEC=agricultural | TT=102 | REL=main | PRICES=394,315,189 | ROAD=Đường hành Đường ĐH 12 cũ Hưng | START=đi trung tâm chính huyện Hết đi phường Minh tờ | END=ranh thửa 990 bản đồ số 31 | FLAGS=
ID=NQ28-058-S01-TT0103-01 | SEC=agricultural | TT=103 | REL=main | PRICES=394,315,189 | ROAD=Hết Đường ĐH 12 tờ | START=ranh thửa 990 Giáp bản đồ số 31 Quan | END=ranh xã Tân | FLAGS=
ID=NQ28-058-S01-TT0104-01 | SEC=agricultural | TT=104 | REL=main | PRICES=394,315,189 | ROAD=Đường ĐH 15 Đường | START=Đường hành Quốc lộ 13 cũ Hưng | END=đi trung tâm chính huyện đi phường Minh | FLAGS=
ID=NQ28-058-S01-TT0105-01 | SEC=agricultural | TT=105 | REL=main | PRICES=394,315,189 | ROAD=Đường hành Đường ĐH 15 cũ Hưng | START=đi trung tâm chính huyện Giáp đi phường Minh Chơn | END=ranh phường Thành | FLAGS=
ID=NQ28-058-S01-TT0106-01 | SEC=agricultural | TT=106 | REL=main | PRICES=394,315,189 | ROAD=Đường ĐH 15 Đường | START=Hết Quốc lộ 13 118 28 | END=ranh thửa đất tờ bản đồ số | FLAGS=
ID=NQ28-058-S01-TT0107-01 | SEC=agricultural | TT=107 | REL=main | PRICES=394,315,189 | ROAD=Hết Đường ĐH 15 118 28 | START=ranh thửa đất Ngã tờ bản đồ số đường | END=ba tiếp giáp số 10 | FLAGS=
ID=NQ28-058-S01-TT0108-01 | SEC=agricultural | TT=108 | REL=main | PRICES=394,315,189 | ROAD=Đường Trung tâm hành chính thị xã Ngã Chơn Thành cũ đi Quốc phường Minh Hưng | START=Ngã ba đường đường lộ 13 đường | END=tư tiếp giáp ĐH03 và số 21 | FLAGS=
ID=NQ28-058-S01-TT0109-01 | SEC=agricultural | TT=109 | REL=main | PRICES=394,315,189 | ROAD=Đường Trung tâm Ngã hành chính thị xã đường Chơn Thành cũ đi đường phường Minh Hưng | START=Phía tư tiếp giáp thửa ĐH03 và phía số 21 thửa bản | END=tây hết ranh đất số 667, đông hết ranh đất số 320 tờ đồ số 31 | FLAGS=
ID=NQ28-058-S01-TT0110-01 | SEC=agricultural | TT=110 | REL=main | PRICES=276,221,132 | ROAD=Đường Trung tâm Phía hành chính thị xã thửa Chơn Thành cũ đi phía | START=tây hết ranh Ranh đất số 667, Chơn đông hết ranh | END=giới phường Thành | FLAGS=
ID=NQ28-058-S01-TT0111-01 | SEC=agricultural | TT=111 | REL=main | PRICES=394,315,189 | ROAD=phường Minh Hưng thửa bản Đường N1 Đường | START=đất số 320 tờ đồ số 31 Quốc lộ 13 Giáp | END=đường số 19 | FLAGS=
ID=NQ28-058-S01-TT0112-01 | SEC=agricultural | TT=112 | REL=main | PRICES=394,315,189 | ROAD=Đường N1 Giáp | START=đường số 19 Hết | END=tuyến | FLAGS=
ID=NQ28-058-S01-TT0113-01 | SEC=agricultural | TT=113 | REL=main | PRICES=276,221,132 | ROAD=Đường số 1 Đường | START=số 6 Suối | END=Lanh | FLAGS=
ID=NQ28-058-S01-TT0114-01 | SEC=agricultural | TT=114 | REL=main | PRICES=276,221,132 | ROAD=Đường số 2 Đường | START=Đường số 6 - Đồng | END=Minh Hưng Nơ | FLAGS=
ID=NQ28-058-S01-TT0115-01 | SEC=agricultural | TT=115 | REL=main | PRICES=276,221,132 | ROAD=Đường số 3 Đường | START=số 6 Suối | END=Lạnh | FLAGS=
ID=NQ28-058-S01-TT0116-01 | SEC=agricultural | TT=116 | REL=main | PRICES=276,221,132 | ROAD=Đường số 4 Đường | START=ĐH 04 Suối | END=Lạnh | FLAGS=
ID=NQ28-058-S01-TT0117-01 | SEC=agricultural | TT=117 | REL=main | PRICES=276,221,132 | ROAD=Đường số 5 Đường | START=số 4 Hết | END=tuyến | FLAGS=
ID=NQ28-058-S01-TT0118-01 | SEC=agricultural | TT=118 | REL=main | PRICES=276,221,132 | ROAD=Đường số 6 Đường | START=Ranh số 32 Khai | END=giới xã Tân | FLAGS=
ID=NQ28-058-S01-TT0119-01 | SEC=agricultural | TT=119 | REL=main | PRICES=276,221,132 | ROAD=Đường số 7 Đường | START=ĐH 04 Đường | END=số 5 | FLAGS=
ID=NQ28-058-S01-TT0120-01 | SEC=agricultural | TT=120 | REL=main | PRICES=276,221,132 | ROAD=Đường số 8 Đường | START=Ranh ĐH 04 Thạnh, Hồ | END=giới xã Minh Thành phố Chí Minh | FLAGS=
ID=NQ28-058-S01-TT0121-01 | SEC=agricultural | TT=121 | REL=main | PRICES=276,221,132 | ROAD=Đường số 9 Đường | START=Ranh ĐH 04 Thạnh, Hồ | END=giới xã Minh Thành phố Chí Minh | FLAGS=
ID=NQ28-058-S01-TT0122-01 | SEC=agricultural | TT=122 | REL=main | PRICES=394,315,189 | ROAD=Đường số 10 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0123-01 | SEC=agricultural | TT=123 | REL=main | PRICES=276,221,132 | ROAD=Đường số 11 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0124-01 | SEC=agricultural | TT=124 | REL=main | PRICES=276,221,132 | ROAD=Đường số 12 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0125-01 | SEC=agricultural | TT=125 | REL=main | PRICES=276,221,132 | ROAD=Đường số 13 Đường | START=số 2 Hết | END=tuyến | FLAGS=
ID=NQ28-058-S01-TT0126-01 | SEC=agricultural | TT=126 | REL=main | PRICES=276,221,132 | ROAD=Đường số 14 Đường | START=Ranh số 1 Khai | END=giới xã Tân | FLAGS=
ID=NQ28-058-S01-TT0127-01 | SEC=agricultural | TT=127 | REL=main | PRICES=276,221,132 | ROAD=Đường số 15 Đường | START=ĐH 15 Hết | END=tuyến | FLAGS=
ID=NQ28-058-S01-TT0128-01 | SEC=agricultural | TT=128 | REL=main | PRICES=276,221,132 | ROAD=Đường số 16 Đường | START=ĐH 15 Đường | END=N1 | FLAGS=
ID=NQ28-058-S01-TT0129-01 | SEC=agricultural | TT=129 | REL=main | PRICES=276,221,132 | ROAD=Đường số 17 Đường | START=ĐH 04 Đường | END=số 5 | FLAGS=
ID=NQ28-058-S01-TT0130-01 | SEC=agricultural | TT=130 | REL=main | PRICES=394,315,189 | ROAD=Đường số 18 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0131-01 | SEC=agricultural | TT=131 | REL=main | PRICES=394,315,189 | ROAD=Đường số 19 Giáp | START=đường số 58 Giáp | END=đường ĐH04 | FLAGS=
ID=NQ28-058-S01-TT0132-01 | SEC=agricultural | TT=132 | REL=main | PRICES=276,221,132 | ROAD=Đường số 19 Giáp | START=đường ĐH04 Giáp | END=đường số 35 | FLAGS=
ID=NQ28-058-S01-TT0133-01 | SEC=agricultural | TT=133 | REL=main | PRICES=276,221,132 | ROAD=Đường số 19 Giáp | START=đường số 35 Ngã | END=tư đường N1 | FLAGS=
ID=NQ28-058-S01-TT0134-01 | SEC=agricultural | TT=134 | REL=main | PRICES=394,315,189 | ROAD=Đường số 19 Ngã | START=Giáp tư đường N1 Bá | END=đường Cao Quát | FLAGS=
ID=NQ28-058-S01-TT0135-01 | SEC=agricultural | TT=135 | REL=main | PRICES=394,315,189 | ROAD=HLLG Đường số 20 lộ 13 | START=đường Quốc Ngã đường | END=tư tiếp giáp số 21 | FLAGS=
ID=NQ28-058-S01-TT0136-01 | SEC=agricultural | TT=136 | REL=main | PRICES=394,315,189 | ROAD=Ngã Đường số 20 đường | START=tư tiếp giáp Hết số 21 | END=tuyến | FLAGS=
ID=NQ28-058-S01-TT0137-01 | SEC=agricultural | TT=137 | REL=main | PRICES=394,315,189 | ROAD=Ngã Đường số 21 với tâm | START=ba tiếp giáp Ngã đường trung thửa bản hành chính | END=ba hết ranh đất số 21 tờ đồ số 107 | FLAGS=
ID=NQ28-058-S01-TT0138-01 | SEC=agricultural | TT=138 | REL=main | PRICES=394,315,189 | ROAD=huyện phường Ngã Đường số 21 thửa bản | START=cũ đi Minh Hưng ba hết ranh đất số 21 tờ Hết đồ số 107 | END=tuyến | FLAGS=
ID=NQ28-058-S01-TT0139-01 | SEC=agricultural | TT=139 | REL=main | PRICES=394,315,189 | ROAD=HLLG Đường số 22 lộ 13 | START=đường Quốc Ngã đường | END=tư giáp với số 21 | FLAGS=
ID=NQ28-058-S01-TT0140-01 | SEC=agricultural | TT=140 | REL=main | PRICES=394,315,189 | ROAD=Ngã Đường số 22 đường | START=tư giáp với Hết số 21 | END=tuyến | FLAGS=
ID=NQ28-058-S01-TT0141-01 | SEC=agricultural | TT=141 | REL=main | PRICES=276,221,132 | ROAD=Đường số 23 Đường | START=Ranh ĐH 12 Chơn | END=giới phường Thành | FLAGS=
ID=NQ28-058-S01-TT0142-01 | SEC=agricultural | TT=142 | REL=main | PRICES=276,221,132 | ROAD=Đường số 24 Đường | START=ĐH 12 Hết | END=tuyến | FLAGS=
ID=NQ28-058-S01-TT0143-01 | SEC=agricultural | TT=143 | REL=main | PRICES=394,315,189 | ROAD=Đường số 25 Đường | START=Ngã 26 Quốc lộ 13 đất đồ | END=ba đường số hết ranh thửa số 3122 tờ bản số 2 | FLAGS=
ID=NQ28-058-S01-TT0144-01 | SEC=agricultural | TT=144 | REL=main | PRICES=394,315,189 | ROAD=Ngã 26 Đường số 25 đất đồ | START=ba đường số hết ranh thửa Hết số 3122 tờ bản số 2 | END=tuyến | FLAGS=
ID=NQ28-058-S01-TT0145-01 | SEC=agricultural | TT=145 | REL=main | PRICES=276,221,132 | ROAD=Đường số 26 Đường | START=Ranh số 25 Khai | END=giới xã Tân | FLAGS=
ID=NQ28-058-S01-TT0146-01 | SEC=agricultural | TT=146 | REL=main | PRICES=276,221,132 | ROAD=Đường số 27 Đường | START=Hết số 25 số số | END=ranh thửa đất 123, tờ bản đồ 2 | FLAGS=
ID=NQ28-058-S01-TT0147-01 | SEC=agricultural | TT=147 | REL=main | PRICES=276,221,132 | ROAD=Đường số 28 Đường | START=ĐH 04 Đường | END=số 4 | FLAGS=
ID=NQ28-058-S01-TT0148-01 | SEC=agricultural | TT=148 | REL=main | PRICES=276,221,132 | ROAD=Đường số 29 Đường | START=Giáp ĐH 04 2567, 5 | END=ranh thửa đất tờ bản đồ số | FLAGS=
ID=NQ28-058-S01-TT0149-01 | SEC=agricultural | TT=149 | REL=main | PRICES=276,221,132 | ROAD=Đường số 30 Đường | START=ĐH 04 Đường | END=số 4 | FLAGS=
ID=NQ28-058-S01-TT0150-01 | SEC=agricultural | TT=150 | REL=main | PRICES=276,221,132 | ROAD=Đường số 31 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0151-01 | SEC=agricultural | TT=151 | REL=main | PRICES=276,221,132 | ROAD=Đường số 32 Đường | START=số 6 Đường | END=số 15 | FLAGS=
ID=NQ28-058-S01-TT0152-01 | SEC=agricultural | TT=152 | REL=main | PRICES=394,315,189 | ROAD=HLLG Đường số 33 lộ 13 | START=đường Quốc Ngã đường | END=ba tiếp giáp ĐH 03 | FLAGS=
ID=NQ28-058-S01-TT0153-01 | SEC=agricultural | TT=153 | REL=main | PRICES=276,221,132 | ROAD=Đường số 34 Đường | START=ĐH 05 Đường | END=số 38 | FLAGS=
ID=NQ28-058-S01-TT0154-01 | SEC=agricultural | TT=154 | REL=main | PRICES=394,315,189 | ROAD=Đường số 35 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0155-01 | SEC=agricultural | TT=155 | REL=main | PRICES=276,221,132 | ROAD=Đường số 36 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0156-01 | SEC=agricultural | TT=156 | REL=main | PRICES=276,221,132 | ROAD=Đường số 36A Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0157-01 | SEC=agricultural | TT=157 | REL=main | PRICES=276,221,132 | ROAD=Đường số 37 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0158-01 | SEC=agricultural | TT=158 | REL=main | PRICES=276,221,132 | ROAD=Đường số 38 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0159-01 | SEC=agricultural | TT=159 | REL=main | PRICES=394,315,189 | ROAD=Đường số 39 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0160-01 | SEC=agricultural | TT=160 | REL=main | PRICES=276,221,132 | ROAD=Đường số 40 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0161-01 | SEC=agricultural | TT=161 | REL=main | PRICES=276,221,132 | ROAD=Đường số 41 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0162-01 | SEC=agricultural | TT=162 | REL=main | PRICES=276,221,132 | ROAD=Đường số 42 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0163-01 | SEC=agricultural | TT=163 | REL=main | PRICES=276,221,132 | ROAD=Đường số 43 Toán | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0164-01 | SEC=agricultural | TT=164 | REL=main | PRICES=276,221,132 | ROAD=Đường số 44 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0165-01 | SEC=agricultural | TT=165 | REL=main | PRICES=276,221,132 | ROAD=Đường số 45 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0166-01 | SEC=agricultural | TT=166 | REL=main | PRICES=276,221,132 | ROAD=Đường số 46 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0167-01 | SEC=agricultural | TT=167 | REL=main | PRICES=276,221,132 | ROAD=Đường số 47 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0168-01 | SEC=agricultural | TT=168 | REL=main | PRICES=276,221,132 | ROAD=Đường số 48 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0169-01 | SEC=agricultural | TT=169 | REL=main | PRICES=276,221,132 | ROAD=Đường số 49 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0170-01 | SEC=agricultural | TT=170 | REL=main | PRICES=276,221,132 | ROAD=Đường số 50 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0171-01 | SEC=agricultural | TT=171 | REL=main | PRICES=276,221,132 | ROAD=Đường số 51 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0172-01 | SEC=agricultural | TT=172 | REL=main | PRICES=276,221,132 | ROAD=Đường số 52 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0173-01 | SEC=agricultural | TT=173 | REL=main | PRICES=276,221,132 | ROAD=Đường số 53 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0174-01 | SEC=agricultural | TT=174 | REL=main | PRICES=276,221,132 | ROAD=Đường số 54 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0175-01 | SEC=agricultural | TT=175 | REL=main | PRICES=276,221,132 | ROAD=Đường số 55 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0176-01 | SEC=agricultural | TT=176 | REL=main | PRICES=276,221,132 | ROAD=Đường số 56 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0177-01 | SEC=agricultural | TT=177 | REL=main | PRICES=276,221,132 | ROAD=Đường số 57 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0178-01 | SEC=agricultural | TT=178 | REL=main | PRICES=394,315,189 | ROAD=Đường số 58 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0179-01 | SEC=agricultural | TT=179 | REL=main | PRICES=394,315,189 | ROAD=Đường số 59 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0180-01 | SEC=agricultural | TT=180 | REL=main | PRICES=394,315,189 | ROAD=Đường số 60 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0181-01 | SEC=agricultural | TT=181 | REL=main | PRICES=394,315,189 | ROAD=Đường số 61 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0182-01 | SEC=agricultural | TT=182 | REL=main | PRICES=394,315,189 | ROAD=Đường số 62 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0183-01 | SEC=agricultural | TT=183 | REL=main | PRICES=394,315,189 | ROAD=Đường số 63 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0184-01 | SEC=agricultural | TT=184 | REL=main | PRICES=394,315,189 | ROAD=Đường số 64 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0185-01 | SEC=agricultural | TT=185 | REL=main | PRICES=394,315,189 | ROAD=Đường số 65 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0186-01 | SEC=agricultural | TT=186 | REL=main | PRICES=394,315,189 | ROAD=Đường số 66 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0187-01 | SEC=agricultural | TT=187 | REL=main | PRICES=394,315,189 | ROAD=Đường số 67 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0188-01 | SEC=agricultural | TT=188 | REL=main | PRICES=394,315,189 | ROAD=Đường số 68 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0189-01 | SEC=agricultural | TT=189 | REL=main | PRICES=394,315,189 | ROAD=Đường số 69 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0190-01 | SEC=agricultural | TT=190 | REL=main | PRICES=394,315,189 | ROAD=Đường số 70 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0191-01 | SEC=agricultural | TT=191 | REL=main | PRICES=394,315,189 | ROAD=Đường số 71 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0192-01 | SEC=agricultural | TT=192 | REL=main | PRICES=394,315,189 | ROAD=Đường số 72 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0193-01 | SEC=agricultural | TT=193 | REL=main | PRICES=394,315,189 | ROAD=Đường số 73 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0194-01 | SEC=agricultural | TT=194 | REL=main | PRICES=394,315,189 | ROAD=Đường số 74 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0195-01 | SEC=agricultural | TT=195 | REL=main | PRICES=394,315,189 | ROAD=Đường số 75 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0196-01 | SEC=agricultural | TT=196 | REL=main | PRICES=394,315,189 | ROAD=Đường số 76 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0197-01 | SEC=agricultural | TT=197 | REL=main | PRICES=394,315,189 | ROAD=Đường số 77 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0198-01 | SEC=agricultural | TT=198 | REL=main | PRICES=394,315,189 | ROAD=Đường số 79 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0199-01 | SEC=agricultural | TT=199 | REL=main | PRICES=394,315,189 | ROAD=Đường số 80 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0200-01 | SEC=agricultural | TT=200 | REL=main | PRICES=394,315,189 | ROAD=Đường số 81 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0201-01 | SEC=agricultural | TT=201 | REL=main | PRICES=394,315,189 | ROAD=Đường số 82 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0202-01 | SEC=agricultural | TT=202 | REL=main | PRICES=394,315,189 | ROAD=Đường số 83 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0203-01 | SEC=agricultural | TT=203 | REL=main | PRICES=394,315,189 | ROAD=Đường số 84 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0204-01 | SEC=agricultural | TT=204 | REL=main | PRICES=394,315,189 | ROAD=Đường số 85 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0205-01 | SEC=agricultural | TT=205 | REL=main | PRICES=394,315,189 | ROAD=Đường số 86 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0206-01 | SEC=agricultural | TT=206 | REL=main | PRICES=394,315,189 | ROAD=Đường số 87 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0207-01 | SEC=agricultural | TT=207 | REL=main | PRICES=394,315,189 | ROAD=Đường số 88 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0208-01 | SEC=agricultural | TT=208 | REL=main | PRICES=394,315,189 | ROAD=Đường số 89 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0209-01 | SEC=agricultural | TT=209 | REL=main | PRICES=394,315,189 | ROAD=Đường số 90 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0210-01 | SEC=agricultural | TT=210 | REL=main | PRICES=394,315,189 | ROAD=Đường số 91 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0211-01 | SEC=agricultural | TT=211 | REL=main | PRICES=394,315,189 | ROAD=Đường số 92 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0212-01 | SEC=agricultural | TT=212 | REL=main | PRICES=394,315,189 | ROAD=Đường số 93 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0213-01 | SEC=agricultural | TT=213 | REL=main | PRICES=394,315,189 | ROAD=Đường số 94 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0214-01 | SEC=agricultural | TT=214 | REL=main | PRICES=394,315,189 | ROAD=Đường số 95 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0215-01 | SEC=agricultural | TT=215 | REL=main | PRICES=394,315,189 | ROAD=Đường số 96 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0216-01 | SEC=agricultural | TT=216 | REL=main | PRICES=394,315,189 | ROAD=Đường số 97 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0217-01 | SEC=agricultural | TT=217 | REL=main | PRICES=394,315,189 | ROAD=Đường số 98 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0218-01 | SEC=agricultural | TT=218 | REL=main | PRICES=394,315,189 | ROAD=Đường số 99 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0219-01 | SEC=agricultural | TT=219 | REL=main | PRICES=394,315,189 | ROAD=Đường số 100 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0220-01 | SEC=agricultural | TT=220 | REL=main | PRICES=394,315,189 | ROAD=Đường số 101 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0221-01 | SEC=agricultural | TT=221 | REL=main | PRICES=394,315,189 | ROAD=Đường số 102 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0222-01 | SEC=agricultural | TT=222 | REL=main | PRICES=276,221,132 | ROAD=Đường số 103 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0223-01 | SEC=agricultural | TT=223 | REL=main | PRICES=394,315,189 | ROAD=Đường số 104 Toàn | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0224-01 | SEC=agricultural | TT=224 | REL=main | PRICES=394,315,189 | ROAD=Đường số 105 Toàn Đường nhựa, | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0225-01 | SEC=agricultural | TT=225 | REL=main | PRICES=250,200,120 | ROAD=đường bê tông còn lại chưa quy định Toàn cụ thể ở các mục | START=tuyến | END= | FLAGS=
ID=NQ28-058-S01-TT0226-01 | SEC=agricultural | TT=226 | REL=main | PRICES=250,200,120 | ROAD=trên Các tuyến đường Toàn đất còn lại | START=tuyến | END= | FLAGS=
