TABLE=064 | AREA=Phường Phước Long | RECORDS=124 | GROUPS=123 | REVIEW=0
ID=NQ28-064-S01-TT0001-01 | SEC=agricultural | TT=1 | REL=main | PRICES=336,269 | ROAD=64. Phường Phước Long Tên đường giao TT thông Đường Đinh Tiên Giáp đường Hoàng | START=Đoạn đường Giáp 6/1 Văn | END=Giá đất trồng cây lâu năm đường Lê 420 Duyệt | FLAGS=
ID=NQ28-064-S01-TT0113-01 | SEC=agricultural | TT=113 | REL=main | PRICES=291,233,37 | ROAD=Đường Thống Thửa đất bản đồ số nhất | START=số 306, tờ Giáp 94 và thửa Trung | END=ranh xã Phú 364 | FLAGS=
ID=NQ28-064-S01-TT0114-01 | SEC=agricultural | TT=114 | REL=main | PRICES=202,161,37 | ROAD=đất số 6, 115 Ngã ba Đường Điện Biên (ngã ba Phủ Điện Biên | START=tờ bản đồ số Ngã bê tông Phước Quả (hết 172 Thống Nhất - Phủ) số 250, thuộc số 86) | END=ba đường xi măng thửa đất số và thửa đất 252 cùng tờ bản đồ | FLAGS=
ID=NQ28-064-S01-TT0115-01 | SEC=agricultural | TT=115 | REL=main | PRICES=202,161,37 | ROAD=Ngã ba xi măng Đường Điện Biên 171 và thửa Phủ cùng thuộc số 86) | START=đường bê tông (thửa đất số Ngã đất số 218, Biên tờ bản đồ Thế | END=ba Điện Phủ - Yên 252 | FLAGS=
ID=NQ28-064-S01-TT0116-01 | SEC=agricultural | TT=116 | REL=main | PRICES=202,161,37 | ROAD=Đường Điện Biên Ngã ba Phủ Yên Thế | START=Điện Biên Phủ - Lòng Mơ Ngã | END=Hồ Thác 252 ba đường | FLAGS=
ID=NQ28-064-S01-TT0117-01 | SEC=agricultural | TT=117 | REL=main | PRICES=202,161,37 | ROAD=Đường Mạc Giao Ngã Đăng Dung đường Thống | START=bê tông, (hết ba giáp 7, tờ nhất 111 số 239, số 92) | END=xi măng thửa đất số bản đồ số 252 và thửa đất tờ bản đồ | FLAGS=
ID=NQ28-064-S01-TT0118-01 | SEC=agricultural | TT=118 | REL=main | PRICES=202,161,37 | ROAD=Ngã ba xi măng Đường Mạc 262 và thửa Đăng Dung cùng thuộc số 92) | START=đường bê tông, (thửa đất số Giáp đất số 231, Trung tờ bản đồ | END=ranh xã Phú 252 | FLAGS=
ID=NQ28-064-S01-TT0119-01 | SEC=agricultural | TT=119 | REL=main | PRICES=202,161,37 | ROAD=Đường Bạch Ngã ba Đằng Điện Biên | START=giáp đường Giáp Phủ Thác Ngã | END=lòng hồ 252 Mơ ba đường | FLAGS=
ID=NQ28-064-S01-TT0120-01 | SEC=agricultural | TT=120 | REL=main | PRICES=168,134,37 | ROAD=Đường bê tông, xi măng giữa thôn Phước Đường Thiện - Phước Quả | START=đất số 235 Thống Nhất đất thuộc | END=(hết thửa đất và thửa 210 số 163, cùng tờ bản đồ | FLAGS=
ID=NQ28-064-S01-TT0121-01 | SEC=agricultural | TT=121 | REL=main | PRICES=168,134,37 | ROAD=Đường Lam Sơn Cầu số Các tuyến đường | START=số 85) Ngã 4 đường | END=ba giao 210 Ba Rá | FLAGS=
ID=NQ28-064-S01-TT0122-01 | SEC=agricultural | TT=122 | REL=main | PRICES=168,134,37 | ROAD=nhựa, bê tông chưa có ở trên Toàn tuyến có chiều rộng mặt đường từ 3,5m trở lên | START= | END=210 | FLAGS=
ID=NQ28-064-S01-TT0123-01 | SEC=agricultural | TT=123 | REL=main | PRICES=168,134,37 | ROAD=Các tuyến đường nhựa, bê tông chưa có ở trên Toàn tuyến có chiều rộng mặt đường dưới 3,5m | START= | END=210 | FLAGS=
ID=NQ28-064-S01-TT0124-01 | SEC=agricultural | TT=124 | REL=main | PRICES=168,134,37 | ROAD=Các tuyến đường giao thông còn Toàn tuyến lại | START= | END=210 | FLAGS=
