TABLE=059 | AREA=Phường Chơn Thành | RECORDS=213 | GROUPS=213 | REVIEW=23
ID=NQ28-059-S01-TT0001-01 | SEC=agricultural | TT=1 | REL=main | PRICES=700,560,336 | ROAD=59. Phường Chơn Thành Tên đường giao TT thông Đường 02 tháng 4 Ngã (Đường Quốc lộ | START=Đoạn đường Phía đường (hết số 42, tư Chơn 84) | END=Giá trồng cây năm Đông: Giáp bê Tông ranh thửa đất tờ bản đồ số Phía Tây: Giáp | FLAGS=
ID=NQ28-059-S01-TT0068-01 | SEC=agricultural | TT=68 | REL=main | PRICES=358,286,172 | ROAD=Phía Đường liên khu phố 4, khu phố 5 đường phố đến Khu công thửa nghiệp Chơn Thành (Đường sỏi bản đỏ liên khu 4-5-8 Phía | START=Bắc: Ngã ba tổ 4, Khu Ngã 5 (Hết ranh tông đất số 19, tờ 706, đồ số 103) 25) Nam: Hết ranh | END=ba đường bê (thửa đất số tờ bản đồ số | FLAGS=
ID=NQ28-059-S01-TT0069-01 | SEC=agricultural | TT=69 | REL=main | PRICES=358,286,172 | ROAD=phường Hưng thửa Long (cũ)) bản Đường liên khu phố 4, khu phố 5 đến Khu công Ngã tông nghiệp Chơn Thành (Đường sỏi 706, đỏ liên khu 4-5-8 25) phường Hưng | START=đất số 63, tờ đồ số 103) ba đường bê Hết (thửa đất số đất tờ bản đồ số tờ bản | END=tuyến (Hết ranh thửa đất số 18, đồ số 23) | FLAGS=
ID=NQ28-059-S01-TT0070-01 | SEC=agricultural | TT=70 | REL=main | PRICES=358,286,172 | ROAD=Long (cũ)) Cuối Đường sỏi đỏ liên khu tổ 1, 2, 3 khu phố 5 Bến bà | START=đường sỏi đỏ Đến phố 5 giáp suối số Đình (giáp đất 102 Đặng Thị Sang) Ngã | END=ranh thửa đất 57, tờ bản đồ số ba đường liên | FLAGS=
ID=NQ28-059-S01-TT0071-01 | SEC=agricultural | TT=71 | REL=main | PRICES=358,286,172 | ROAD=Đường sỏi đỏ tổ 4, Đường khu phố 5 | START=tổ 5, (giáp Điểu Ong Nguyễn (Hết đất | END=Khu phố 5 đất bà Thị Ái) ranh đất thửa số 19, tờ bản | FLAGS=
ID=NQ28-059-S01-TT0072-01 | SEC=agricultural | TT=72 | REL=main | PRICES=358,286,172 | ROAD=Đường Hoàng Diệu Đường (đường tổ 4, khu Huệ phố Hiếu Cảm) | START=đồ Hết Nguyễn 1031, 27 | END=số 103) thửa đất số tờ bản đồ số | FLAGS=
ID=NQ28-059-S01-TT0073-01 | SEC=agricultural | TT=73 | REL=main | PRICES=358,286,172 | ROAD=Đường Hoàng Diệu Hết (đường tổ 4, khu 1031, phố Hiếu Cảm) 27 | START=thửa đất số Hết tờ bản đồ số 258, 28 | END=thửa đất số tờ bản đồ số | FLAGS=
ID=NQ28-059-S01-TT0074-01 | SEC=agricultural | TT=74 | REL=main | PRICES=358,286,172 | ROAD=Đường Trần Quốc Đường Toản | START=Ngã 02 tháng 4 Điểu | END=tư Đường Ong | FLAGS=
ID=NQ28-059-S01-TT0075-01 | SEC=agricultural | TT=75 | REL=main | PRICES=358,286,172 | ROAD=Đường Điểu Ong Quốc | START=Hết 116, lộ 14 104 | END=thửa đất số tờ bản đồ số | FLAGS=
ID=NQ28-059-S01-TT0076-01 | SEC=agricultural | TT=76 | REL=main | PRICES=358,286,172 | ROAD=Đường Nguyễn Đường Trung Trực | START=02 tháng 4 Đường | END=Điểu Ong | FLAGS=
ID=NQ28-059-S01-TT0077-01 | SEC=agricultural | TT=77 | REL=main | PRICES=394,315,189 | ROAD=Đường Tô Hiến Toàn Thành | START=tuyến | END= | FLAGS=
ID=NQ28-059-S01-TT0078-01 | SEC=agricultural | TT=78 | REL=main | PRICES=358,286,172 | ROAD=Đường Ngô Đức Đường Kế Huệ | START=Ngã Nguyễn (Hết số 1043, số 11) | END=ba đường đất ranh thửa đất tờ bản đồ | FLAGS=
ID=NQ28-059-S01-TT0079-01 | SEC=agricultural | TT=79 | REL=main | PRICES=358,286,172 | ROAD=Ngã Đường Ngô Đức (Hết số 1043, Kế số 11) | START=ba đường đất Hết ranh thửa đất ranh tờ bản đồ 41, | END=tuyến (Đến thửa đất số tờ bản đồ số 6) | FLAGS=
ID=NQ28-059-S01-TT0080-01 | SEC=agricultural | TT=80 | REL=main | PRICES=358,286,172 | ROAD=Đường Đoàn Thị Đường Điểm (Đường | START=Phía đường Ngô Gia Tự ranh số 3) tờ bản Phía | END=Bắc: Hết bê tông (Hết thửa đất số 1, đồ số 71) Nam: Hết ranh | FLAGS=
ID=NQ28-059-S01-TT0081-01 | SEC=agricultural | TT=81 | REL=main | PRICES=358,286,172 | ROAD=Phía đường (Hết Đường Đoàn Thị số 1, Điểm 71) ranh | START=thửa bản Bắc: Hết bê tông ranh thửa đất Ngã tờ bản đồ số Khu Phía Nam: Hết 2 thửa đất số | END=đất số 68, tờ đồ số 71 ba đường liên phố 9-Khu phố | FLAGS=
ID=NQ28-059-S01-TT0082-01 | SEC=agricultural | TT=82 | REL=main | PRICES=358,286,172 | ROAD=68, Đường Hồ Hảo Toàn Hớn | START=tờ bản đồ số 71 tuyến | END= | FLAGS=
ID=NQ28-059-S01-TT0083-01 | SEC=agricultural | TT=83 | REL=main | PRICES=358,286,172 | ROAD=Đường Nguyễn Quốc Công Hoan | START=Đường Kế lộ 14 đất đồ số | END=Ngô Đức (hết ranh thửa số 883, tờ bản 11) | FLAGS=
ID=NQ28-059-S01-TT0084-01 | SEC=agricultural | TT=84 | REL=main | PRICES=358,286,172 | ROAD=Đường Phạm Thế Quốc Hiển | START=Hết số 4, lộ 14 12) Phía | END=ranh thửa đất tờ bản đồ số Bắc: Ngã ba | FLAGS=
ID=NQ28-059-S01-TT0085-01 | SEC=agricultural | TT=85 | REL=main | PRICES=358,286,172 | ROAD=Đường Huỳnh Văn Đường Bánh | START=đường ranh số 280, 02 tháng 4 số 3) Ngã Tất thửa bản | END=đất (Hết đất thửa đất tờ bản đồ Phía Nam: ba đường Ngô Tố (Hết ranh đất số 955, tờ đồ số 8) | FLAGS=
ID=NQ28-059-S01-TT0086-01 | SEC=agricultural | TT=86 | REL=main | PRICES=358,286,172 | ROAD=Phía đường ranh số 280, Đường Huỳnh Văn số 3) Bánh Ngã Tất thửa | START=Bắc: Ngã ba đất (Hết đất thửa đất tờ bản đồ Ngã Phía Nam: Bá ba đường Ngô Tố (Hết ranh đất số 955, tờ | END=ba đường Cao Quát | FLAGS=
ID=NQ28-059-S01-TT0087-01 | SEC=agricultural | TT=87 | REL=main | PRICES=358,286 | ROAD=bản Đường Tống Duy Đường Tân | START=đồ số 8) Ngã 02 tháng 4 Tất | END=ba đường Ngô Tố | FLAGS=
ID=NQ28-059-S01-TT0088-01 | SEC=agricultural | TT=88 | REL=main | PRICES=358,286,172 | ROAD=Đường Phan Kế Đường Bính | START=Ngã 02 tháng 4 Tất | END=ba đường Ngô Tố | FLAGS=
ID=NQ28-059-S01-TT0089-01 | SEC=agricultural | TT=89 | REL=main | PRICES=394,315,189 | ROAD=Đường Trần Quốc Đường Thảo | START=Ngã 02 tháng 4 Tất | END=ba đường Ngô Tố | FLAGS=
ID=NQ28-059-S01-TT0090-01 | SEC=agricultural | TT=90 | REL=main | PRICES=358,286,172 | ROAD=Ngã Đường Thành Thái Khu | START=Ngã nhựa ba ranh giới số 64, phố 1-3 65) | END=ba đường (Hết thửa đất tờ bản đồ số | FLAGS=
ID=NQ28-059-S01-TT0091-01 | SEC=agricultural | TT=91 | REL=main | PRICES=358,286,172 | ROAD=Đường Đào Duy Quốc Từ | START=Hết lộ 14 số 253, | END=ranh thửa đất tờ số 20 | FLAGS=
ID=NQ28-059-S01-TT0092-01 | SEC=agricultural | TT=92 | REL=main | PRICES=358,286,172 | ROAD=Đường Huỳnh Văn Quốc | START=lộ 14 Hết | END=ranh thửa đất | FLAGS=
ID=NQ28-059-S01-TT0093-01 | SEC=agricultural | TT=93 | REL=main | PRICES=394,315,189 | ROAD=Nghệ Phía ngã Phạm Hồng Thái thửa nối dài (Đường tổ bản 9, tổ 10, khu phố | START=số 717, số 20 Đông: Đến ba hết ranh đất số 29, tờ Đường đồ số 49 Phía Quát | END=tờ bản đồ Cao Bá | FLAGS=
ID=NQ28-059-S01-TT0010-02 | SEC=agricultural | TT=10 | REL=main | PRICES= | ROAD=Tây: cũ) thửa bản | START=Hết ranh đất đất số 5, tờ đồ số 49 | END= | FLAGS=PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-059-S01-TT0094-01 | SEC=agricultural | TT=94 | REL=main | PRICES=358,286,172 | ROAD=Đường tổ 01, tố 12, Ngã Khu phố 9 Hảo | START=ba đường Hồ Ngã Hớn Nguyễn | END=ba đường Công Hoan | FLAGS=
ID=NQ28-059-S01-TT0095-01 | SEC=agricultural | TT=95 | REL=main | PRICES=358,286,172 | ROAD=Ngã Đường tổ 11, khu Nguyễn phố 9 Hoan | START=ba đường Ngã Công Đức | END=ba đường Ngô Kế | FLAGS=
ID=NQ28-059-S01-TT0096-01 | SEC=agricultural | TT=96 | REL=main | PRICES=358,286,172 | ROAD=Đường trên khu Ngã phố 9 - khu phố 10 11 | START=ba đường tổ Giáp 48, khu phố 9 Phía | END=thửa đất số tờ bản đồ số 6 Đông: Ngã ba | FLAGS=
ID=NQ28-059-S01-TT0097-01 | SEC=agricultural | TT=97 | REL=main | PRICES=358,286,172 | ROAD=Đường liên khu Đường phố 9 - khu phố 2 Huệ | START=hết số 89, Nguyễn 18 Phía ba hết đất đồ số | END=ranh thửa đất tờ bản đồ số Tây: Ngã ranh thửa số 234, tờ bản 18 | FLAGS=
ID=NQ28-059-S01-TT0098-01 | SEC=agricultural | TT=98 | REL=main | PRICES=358,286,172 | ROAD=Phía hết số 4, Đường liên khu 18 phố 9 - khu phố 2 ba đất | START=Đông: Ngã ba Phía ranh thửa đất hết tờ bản đồ số số 665, Phía Tây: Ngã số 11 hết ranh thửa Ngã số 6, tờ bản đồ thửa | END=Đông: Ngã ba ranh thửa đất tờ bản đồ Phía Tây: ba hết ranh đất số 748, tờ | FLAGS=
ID=NQ28-059-S01-TT0099-01 | SEC=agricultural | TT=99 | REL=main | PRICES=358,286,172 | ROAD=số 18 Đường liên khu Ngã phố 9 - khu phố 2 Đức | START=bản ba đường Ngô Đường Kế khu | END=đồ số 11 tổ 1 - tổ 12, phố 9 | FLAGS=
ID=NQ28-059-S01-TT0100-01 | SEC=agricultural | TT=100 | REL=main | PRICES=358,286,172 | ROAD=Đường Đường tổ 9, Khu Quát 495, phố 10 01) | START=Cao Bá Đường (thửa đất số Hưng tờ bản đồ số 16, 06) | END=Phùng (thửa đất số tờ bản đồ số | FLAGS=
ID=NQ28-059-S01-TT0101-01 | SEC=agricultural | TT=101 | REL=main | PRICES=358,286,172 | ROAD=Đường Đường tổ 9, khu Quát 170, phố 10 01) | START=Cao Bá Đường (thửa đất số Hưng tờ bản đồ số 8, tờ | END=Phùng (thửa đất số bản đồ số 06) | FLAGS=
ID=NQ28-059-S01-TT0102-01 | SEC=agricultural | TT=102 | REL=main | PRICES=358,286,172 | ROAD=Đường Đường tổ 9, Khu Quát 168, phố 10 01) | START=Ngã Cao Bá - 10 (thửa đất số (Hết tờ bản đồ số số 539, số 2) | END=ba đường tố 9 khu phố 10 ranh thửa đất tờ bản đồ | FLAGS=
ID=NQ28-059-S01-TT0103-01 | SEC=agricultural | TT=103 | REL=main | PRICES=358,286,172 | ROAD=Đường ranh giới phường Hưng Đầu Long (thị trấn Chơn số 259, Thành cũ) - số 16 phường Minh | START=ranh thửa đất Đường tờ bản đồ Minh | END=Hồ Chí | FLAGS=
ID=NQ28-059-S01-TT0104-01 | SEC=agricultural | TT=104 | REL=main | PRICES=358,286,172 | ROAD=Thành (Đường rộng 2m chưa đầu tư nâng cấp) Đường Đường tổ 9, 10, 713 khu phố Hiếu Cảm phố | START=Đường phường liên tổ 9 - (cũ) - 5 - 6, Khu Thành Hiếu Cảm rộng tư nâng | END=ranh giới Hưng Long - phường Minh (cũ) (Đường 2m chưa đầu cấp) | FLAGS=
ID=NQ28-059-S01-TT0105-01 | SEC=agricultural | TT=105 | REL=main | PRICES=358,286,172 | ROAD=Ngã Đường tổ 9, 10, ranh Khu phố Hiếu Cảm 39, 107 | START=ba đường giáp Giáp thửa đất số 24, tờ bản đồ số 109 | END=thửa đất số tờ bản đồ số | FLAGS=
ID=NQ28-059-S01-TT0106-01 | SEC=agricultural | TT=106 | REL=main | PRICES=358,286,172 | ROAD=Đường liên tổ 9 - Đường 7B -5-6, khu phố Huệ Hiếu Cảm | START=Ngã Nguyễn thửa 113, 116 | END=ba hết ranh đất số 8 và tờ bản đồ số | FLAGS=
ID=NQ28-059-S01-TT0107-01 | SEC=agricultural | TT=107 | REL=main | PRICES=358,286,172 | ROAD=Ngã Đường liên tổ 9 - thửa 7B - 5 - 6, khu phố 113, Hiếu Cảm 116 | START=ba hết ranh Ngã đất số 8 và thửa tờ bản đồ số bản | END=ba hết ranh đất số 270, tờ đồ số 118 | FLAGS=
ID=NQ28-059-S01-TT0108-01 | SEC=agricultural | TT=108 | REL=main | PRICES=358,286,172 | ROAD=Đường liên tổ 9 - Ngã 7B - 5 - 6, khu phố (Hết Hiếu Cảm Trần | START=ba đường đất Đường ranh đất bà Minh Thị Hải) | END=Hồ Chí | FLAGS=
ID=NQ28-059-S01-TT0109-01 | SEC=agricultural | TT=109 | REL=main | PRICES=358,286,172 | ROAD=Đầu Đường tổ 6 khu số 11, phố Hiếu Cảm 111 | START=ranh thửa đất Hết tờ bản đồ số số 1, 111 | END=ranh thửa đất tờ bản đồ số | FLAGS=
ID=NQ28-059-S01-TT0110-01 | SEC=agricultural | TT=110 | REL=main | PRICES=358,286,172 | ROAD=Đầu Đường tổ 6 khu số 113, phố Hiếu Cảm số 111 | START=ranh thửa đất Ngã tờ bản đồ thửa bản | END=ba hết ranh đất số 34, tờ đồ số 112 | FLAGS=
ID=NQ28-059-S01-TT0111-01 | SEC=agricultural | TT=111 | REL=main | PRICES=358,286,172 | ROAD=Đường liên tổ 7A- Đường 7B, khu phố Hiếu Huệ Cảm | START=Hết Nguyễn đất đồ số | END=ranh đất thửa số 93, tờ bản 116 | FLAGS=
ID=NQ28-059-S01-TT0112-01 | SEC=agricultural | TT=112 | REL=main | PRICES=358,286,172 | ROAD=Đường liên tổ 7A- Hết 7B, khu phố Hiếu đất đồ Cảm (Nhánh 1) | START=ranh đất thửa Hết số 93, tờ bản 127, số 116 118 | END=ranh thửa đất tờ bản đồ số | FLAGS=
ID=NQ28-059-S01-TT0113-01 | SEC=agricultural | TT=113 | REL=main | PRICES=358,286,172 | ROAD=Đường liên tổ 7A- Hết 7B, khu phố Hiếu đất đồ Cảm (Nhánh 2) | START=ranh đất thửa Ngã số 93, tờ bản tổ 9 số 116 phố | END=ba đường liên - 7B - 5 - 6, khu Hiếu Cảm | FLAGS=
ID=NQ28-059-S01-TT0114-01 | SEC=agricultural | TT=114 | REL=main | PRICES=358,286,172 | ROAD=Đường liên tổ 7A- Đường 7B, khu phố Hiếu 7B, Cảm (Nhánh 3) Cảm | START=liên tổ 7A- Hết khu phố Hiếu 169, (Nhánh 2) 118 Phía | END=ranh thửa đất tờ bản đồ số Đông: Hết | FLAGS=
ID=NQ28-059-S01-TT0115-01 | SEC=agricultural | TT=115 | REL=main | PRICES=358,286,172 | ROAD=Đường tổ 4, Khu Đường phố Hiếu Cảm Huệ | START=ranh 22, Nguyễn Phía thửa bản | END=thửa đất số tờ bản đồ số 28 Tây: Hết ranh đất số 127, tờ đồ số 29 | FLAGS=
ID=NQ28-059-S01-TT0116-01 | SEC=agricultural | TT=116 | REL=main | PRICES=358,286,172 | ROAD=Phía ranh 22, Đường tổ 4, khu phố Hiếu Cảm Phía thửa bản | START=Đông: Hết thửa đất số tờ bản đồ số 28 Suối Tây: Hết ranh đất số 127, tờ đồ số 29 | END=Bàu Bàng | FLAGS=
ID=NQ28-059-S01-TT0117-01 | SEC=agricultural | TT=117 | REL=main | PRICES=358,286,172 | ROAD=Đường Đường tổ 6, khu Minh 68, phố Hiếu Cảm 111) | START=Hồ Chí Đất (thửa đất số Văn tờ bản đồ số đất đồ số | END=nhà ông Võ Thành (thửa số 04, tờ bản 115) | FLAGS=
ID=NQ28-059-S01-TT0118-01 | SEC=agricultural | TT=118 | REL=main | PRICES=358,286,172 | ROAD=Đường Đường tổ 6, Khu Minh 112, phố Hiếu Cảm 111) | START=Hồ Chí Đất (thửa đất số Nguyễn tờ bản đồ số (thửa bản | END=nhà ông Văn Sơn đất số 07, tờ đồ số 115) | FLAGS=
ID=NQ28-059-S01-TT0119-01 | SEC=agricultural | TT=119 | REL=main | PRICES=358,286,172 | ROAD=Đường Đường tổ 6, tổ 7, thửa khu phố Trung Lợi tờ bản | START=Đường Lê Duẩn: Quát đất số 1508, 02, đồ số 13) 04) | END=Cao Bá (thửa đất số tờ bản đồ số | FLAGS=
ID=NQ28-059-S01-TT0120-01 | SEC=agricultural | TT=120 | REL=main | PRICES=358,286,172 | ROAD=Đường tổ 8, khu Đường phố Trung Lợi Phùng | START=Đường phố Phan Đình ranh 126, 13) | END=tổ 4, khu Trung Lợi (hết thửa đất số tờ bản đồ số | FLAGS=
ID=NQ28-059-S01-TT0121-01 | SEC=agricultural | TT=121 | REL=main | PRICES=358,286,172 | ROAD=Đường Văn Đường tổ 7, Khu Trung chính phố Trung Lợi (thửa bản | START=Nguyễn Linh (đường Ranh Chơn tâm hành - Minh Hưng) đất đất số 11, tờ đồ số đồ số 14) | END=giới phường Thành (thửa số 07, tờ bản 10) | FLAGS=
ID=NQ28-059-S01-TT0122-01 | SEC=agricultural | TT=122 | REL=main | PRICES=358,286,172 | ROAD=Đường Văn Đường tổ 9, khu Trung chính phố Trung Lợi (thửa bản | START=Phía Nguyễn điện Linh (đường ranh tâm hành 391, - Minh Hưng) 15) đất số 23, tờ thửa đồ số 14) bản | END=Nam: Đường 110KV (Hết thửa đất số tờ bản đồ số Phía Bắc: Hết đất số 561, tờ đồ số 15) | FLAGS=
ID=NQ28-059-S01-TT0123-01 | SEC=agricultural | TT=123 | REL=main | PRICES=358,286,172 | ROAD=Phía điện ranh Đường tổ 9, khu 391, phố Trung Lợi 15) thửa bản | START=Nam: Đường 110KV(Hết Ranh thửa đất số Chơn tờ bản đồ số đất Phía Bắc: Hết đồ số đất số 561, tờ đồ số 15) | END=giới phường Thành (thửa số 652, tờ bản 10) | FLAGS=
ID=NQ28-059-S01-TT0124-01 | SEC=agricultural | TT=124 | REL=main | PRICES=358,286,172 | ROAD=Đường Huệ Đường tổ 9, khu lộ 14 ông phố Trung Lợi (thửa | START=Nguyễn (Đường Quốc Đất cũ): Đất nhà Nguyễn Nguyễn Diệu (thửa đất số 59, tờ bản | END=nhà ông Văn Hùng đất số 26, tờ đồ số 15) | FLAGS=
ID=NQ28-059-S01-TT0125-01 | SEC=agricultural | TT=125 | REL=main | PRICES=358,286,172 | ROAD=bản Đường tổ 8, tổ 3A, Đường | START=đồ số 15) Trừ Văn Ngã | END=ba đường liên | FLAGS=
ID=NQ28-059-S01-TT0126-01 | SEC=agricultural | TT=126 | REL=main | PRICES=358,286,172 | ROAD=Thố: khu phố 4 Phạm (thửa tờ bản Phía thửa bản Đường tổ 3A, khu Phía phố 4 ranh 817, | START=Đất nhà ông khu Văn Bảo thửa đất số 275, bản đồ số 26) Bắc: Đầu ranh đất số 749, tờ Đất đồ số 26 Thị Nam: Đầu (thửa thửa đất số bản tờ bản đồ số | END=phố 4-5-8 (hết đất số 919, tờ đồ số 26) nhà bà Nguyễn Thanh Thanh đất số 57, tờ đồ số 26) | FLAGS=
ID=NQ28-059-S01-TT0127-01 | SEC=agricultural | TT=127 | REL=main | PRICES=358,286,172 | ROAD=26 Đất Đường tổ 3A, 3B, Khen 565, khu phố 4 25) | START=nhà bà Võ Thi Đất (thửa đất số Kỹ tờ bản đồ số tờ bản | END=nhà ông Phan (thửa đất số 17, đồ số 32) | FLAGS=
ID=NQ28-059-S01-TT0128-01 | SEC=agricultural | TT=128 | REL=main | PRICES=358,286,172 | ROAD=Đất Đường liên khu Biên phố 4 - Khu phố 5 đất đồ | START=Phía hết nhà ông Đinh số 24, Cương (thửa 32 Phía số 92, tờ bản ba hết số 32) đất đồ số | END=Nam: Ngã, ba ranh thửa đất tờ bản đồ số Bắc: Ngã ranh thửa số 20, tờ bản 32 | FLAGS=
ID=NQ28-059-S01-TT0129-01 | SEC=agricultural | TT=129 | REL=main | PRICES=358,286,172 | ROAD=Đầu Đường liên khu đất phố 4 - Khu phố 5 đồ | START=Phía thửa ranh đất thửa bản số 45, tờ bản Bắc: số 32 đất đồ số | END=Nam: Hết ranh đất số 447, tờ đồ số 32 Phía Hết ranh thửa số 99, tờ bản 31 | FLAGS=
ID=NQ28-059-S01-TT0130-01 | SEC=agricultural | TT=130 | REL=main | PRICES=358,286,172 | ROAD=Phía ranh 447, Đường liên khu 32 phố 4 - khu phố 5 Phía thửa | START=Nam: Hết thửa đất số tờ bản đồ số Hết ranh Bắc: Hết ranh tờ bản đất số 99, tờ | END=tuyến (Giáp thửa đất số 32 đồ số 31) | FLAGS=
ID=NQ28-059-S01-TT0131-01 | SEC=agricultural | TT=131 | REL=main | PRICES=358,286,172 | ROAD=bản Đầu Đường tổ 7, khu đất phố 5 đồ | START=đồ số 31 ranh đất thửa Hết số 799, tờ bản đất số 32 đồ số | END=ranh đất thửa số 575, tờ bản 32 | FLAGS=
ID=NQ28-059-S01-TT0132-01 | SEC=agricultural | TT=132 | REL=main | PRICES=358,286,172 | ROAD=Đầu Đường tổ 7, khu đất phố 5 đồ | START=ranh đất thửa Hết số 400, tờ bản đất số 32 đồ số | END=ranh đất thửa số 422, tờ bản 32 | FLAGS=
ID=NQ28-059-S01-TT0133-01 | SEC=agricultural | TT=133 | REL=main | PRICES=358,286,172 | ROAD=Đường tổ 4, khu Đường phố 6 | START=Đất Nguyễn 02 tháng 4 (thửa bản | END=nhà ông Văn Bé đất số 842, tờ đồ số 26) | FLAGS=
ID=NQ28-059-S01-TT0134-01 | SEC=agricultural | TT=134 | REL=main | PRICES=358,286,172 | ROAD=Ngã Đường tổ 4, khu - tổ (thửa phố 6 bản | START=ba đường tổ 4 Ngã 5, Khu phố 6 - tổ đất số 34, tờ (thửa đồ số 95) bản | END=ba Đường tổ 5 7, Khu phố 6 đất số 255, tờ đồ số 27) | FLAGS=
ID=NQ28-059-S01-TT0135-01 | SEC=agricultural | TT=135 | REL=main | PRICES=358,286,172 | ROAD=Đầu Đường tổ 4 tổ 5 đất khu phố 6 đồ | START=ranh đất thửa Hết số 54, tờ bản tờ bản số 95 Phía | END=thửa đất số 19, đồ số 99 Nam: hết ranh | FLAGS=
ID=NQ28-059-S01-TT0136-01 | SEC=agricultural | TT=136 | REL=main | PRICES=358,286,172 | ROAD=Đường tổ 5, tổ 7, Đường khu phố 6 Huệ | START=thửa bản Nguyễn Bắc: hết số 38, 34 | END=đất số 403, tờ đồ số 34 Phía Ngã ba đường ranh thửa đất tờ bản đồ số | FLAGS=
ID=NQ28-059-S01-TT0137-01 | SEC=agricultural | TT=137 | REL=main | PRICES=358,286,172 | ROAD=Ngã - tổ Đường tổ 8, tổ 9, (Đầu Khu phố 7 đất đồ | START=ba đường tổ 5 7, Khu phố 6 Ngã ranh đất thửa tông số 18, tờ bản tờ bản số 34) | END=ba đường bê thửa đất số 6, đồ số 35 | FLAGS=
ID=NQ28-059-S01-TT0138-01 | SEC=agricultural | TT=138 | REL=main | PRICES=358,286,172 | ROAD=Ngã Riềng Đường tổ 8, Khu ranh phố 7 134, 34) | START=ba đường Phú Đỏ (Đầu Hết thửa đất số số 117, tờ bản đồ số số 34 | END=ranh thửa đất tờ bản đồ | FLAGS=
ID=NQ28-059-S01-TT0139-01 | SEC=agricultural | TT=139 | REL=main | PRICES=358,286,172 | ROAD=Ngã Riềng Đường tổ 8, khu ranh phố 7 94, 34) | START=ba đường Phú Đỏ (Đầu Hết thửa đất số số 136, tờ bản đồ số số 34 | END=ranh thửa đất tờ bản đồ | FLAGS=
ID=NQ28-059-S01-TT0140-01 | SEC=agricultural | TT=140 | REL=main | PRICES=358,286,172 | ROAD=Đường tổ 9, Khu Ngã Riềng phố 7 | START=Ngã ba đường Phú tổ 9, Đỏ thửa bản | END=ba đường tổ 8, khu phố 7, đất số 570, tờ đồ số 34 | FLAGS=
ID=NQ28-059-S01-TT0141-01 | SEC=agricultural | TT=141 | REL=main | PRICES=358,286,172 | ROAD=Đường tổ 9, Khu Ngã Riềng phố 7 | START=Ngã ba đường Phú tổ 9, Đỏ thửa bản | END=ba đường tổ 8, khu phố 7, đất số 506, tờ đồ số 34 | FLAGS=
ID=NQ28-059-S01-TT0142-01 | SEC=agricultural | TT=142 | REL=main | PRICES=358,286,172 | ROAD=Đường Thố: Đường tổ 7, khu Ngô phố 8 (thửa bản | START=Trừ Văn Đất nhà ông Suối Văn Diệu giới đất số 11, tờ Hưng) đồ số 29) | END=xóm Hồ (Ranh phường Minh | FLAGS=
ID=NQ28-059-S01-TT0143-01 | SEC=agricultural | TT=143 | REL=main | PRICES=358,286,172 | ROAD=Ngã đất Đường tổ 4, khu Thành phố 8 đất đồ | START=ba đầu ranh Ngã nhà ông Lê Khu Công (thửa ranh số 302, tờ bản 88, số 30) 23) | END=ba đường tổ 9, phố 8 (Hết thửa đất số tờ bản đồ số | FLAGS=
ID=NQ28-059-S01-TT0144-01 | SEC=agricultural | TT=144 | REL=main | PRICES=358,286,172 | ROAD=Đường Đường tổ 5, khu Thố: đất phố 8 đồ | START=Trừ Văn Đầu ranh thửa Ngã số 31, tờ bản khu số 17) | END=ba đường liên 4-5-8 | FLAGS=
ID=NQ28-059-S01-TT0145-01 | SEC=agricultural | TT=145 | REL=main | PRICES=358,286,172 | ROAD=Ngã Đường tổ 9, khu Văn phố 8 thửa | START=ba đường Trừ Hết Thố: Đầu ranh số 69, đất số 11, tờ 30 | END=ranh thửa đất tờ bản đồ số | FLAGS=
ID=NQ28-059-S01-TT0146-01 | SEC=agricultural | TT=146 | REL=main | PRICES=358,286,172 | ROAD=bản Ngã Đường tổ 9, khu Văn thửa phố 8 bản | START=đồ số 23) ba đường Trừ Ngã Thố: Đầu ranh khu đất số 60, tờ 8 (thửa đồ số 23) tờ bản | END=ba đường liên phố 4, khu phố đất số 12, đồ số 23) | FLAGS=
ID=NQ28-059-S01-TT0147-01 | SEC=agricultural | TT=147 | REL=main | PRICES=358,286,172 | ROAD=Ngã Đường tổ 9, khu khu 8 (thửa phố 8 tờ bản | START=ba đường liên Ranh phố 4, khu phố Thành đất số 12, (thửa đồ số 23) bản | END=giới phường Tâm (cũ) đất số 63, tờ đồ số 30) | FLAGS=
ID=NQ28-059-S01-TT0148-01 | SEC=agricultural | TT=148 | REL=main | PRICES=358,286,172 | ROAD=Đường tổ 5, Khu Đầu 238, phố 8 (tránh mỏ Cao Lanh) 18 | START=thửa đất số Hết tờ bản đồ số tờ bản | END=thửa đất số 29, đồ số 25 | FLAGS=
ID=NQ28-059-S01-TT0149-01 | SEC=agricultural | TT=149 | REL=main | PRICES=358,286,172 | ROAD=Đường nhựa tổ 3 - Đầu tổ 4, khu phố Hiếu Thắng Cảm | START=đường Cao Đường | END=Hoàng Diệu | FLAGS=
