TABLE=085 | AREA=Xã Thiện Hưng | RECORDS=136 | GROUPS=136 | REVIEW=5
ID=NQ28-085-S01-TT0001-01 | SEC=agricultural | TT=1 | REL=main | PRICES=350,280,224 | ROAD=85. Xã Thiện Hưng Tên đường giao TT thông Ranh Đường Nguyễn Huệ Hòa | START=Đoạn đường Ngã tư xã Thanh (Thửa (cũ) bản đồ | END=Giá đất trồng cây lâu năm vòng xoay đất số 51, tờ 350 số 74) | FLAGS=
ID=NQ28-085-S01-TT0101-01 | SEC=agricultural | TT=101 | REL=main | PRICES=105,84,67,49 | ROAD=ranh giữa xã Thiện Toàn Hưng - xã Thanh Hòa (cũ) | START=tuyến | END=105 | FLAGS=
ID=NQ28-085-S01-TT0102-01 | SEC=agricultural | TT=102 | REL=main | PRICES=50,40,32,32 | ROAD=Đường nhựa vào ấp 8 Cổng Đường giao thông đấu | START=Ngã ba chào ấp 8 niệm | END=Đài tưởng 50 | FLAGS=
ID=NQ28-085-S01-TT0103-01 | SEC=agricultural | TT=103 | REL=main | PRICES=105,84,67,49 | ROAD=nối từ đường ĐT 759B vào 200m (trừ Toàn các đoạn đã quy định giá đất cụ thể trong | START=tuyến | END=105 | FLAGS=
ID=NQ28-085-S01-TT0104-01 | SEC=agricultural | TT=104 | REL=main | PRICES=50,40,32,32 | ROAD=Hết Đường khu dân cư ấp Huấn | START=ranh đất ông Hết ranh (thửa đất ông Mến | END=đất nhà (hết ranh 50 | FLAGS=
ID=NQ28-085-S01-TT0003-03 | SEC=agricultural | TT=3 | REL=main | PRICES= | ROAD=số 14, số 118) | START=tờ bản đồ thửa đất bản đồ | END=số 96, tờ số 115) | FLAGS=PRICE_MISSING,AGRICULTURAL_PRICE_COLUMN_MISSING,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-085-S01-TT0105-01 | SEC=agricultural | TT=105 | REL=main | PRICES=105,84,67,49 | ROAD=Cống Đường tránh Roong | START=Hết ranh Tầm Ham (hết đất số đồ số | END=đất ông ranh thửa 105 244, tờ bản 124) | FLAGS=
ID=NQ28-085-S01-TT0106-01 | SEC=agricultural | TT=106 | REL=main | PRICES=50,40,32,32 | ROAD=Nhà Đường vào Nghĩa địa Khẩn ấp 4 số 02, số 84) | START=ông Vũ Văn Nhà ông (thửa đất Văn Đông tờ bản đồ số 28, 91) | END=Dương (thửa đất 50 tờ bản đồ số | FLAGS=
ID=NQ28-085-S01-TT0107-01 | SEC=agricultural | TT=107 | REL=main | PRICES=105,84,67,49 | ROAD=Đường nhựa ranh Hết giữa xã Thanh Hòa - ông thị trấn Thanh Bình đất (cũ) (vào nhà văn hóa bản ấp 4) | START=ranh nhà Luyện (thửa Hết ranh số 01, tờ 47, tờ đồ số 84) | END=thửa đất số 105 bản đồ số 91 | FLAGS=
ID=NQ28-085-S01-TT0108-01 | SEC=agricultural | TT=108 | REL=main | PRICES=105,84,67,49 | ROAD=Đường bê tông giáp Thửa ranh giữa xã Thanh tờ bản Hòa và thị trấn Thanh 124 | START=đất số 2, Hết ranh đồ số 192, tờ 120 | END=thửa đất số bản đồ số 105 | FLAGS=
ID=NQ28-085-S01-TT0109-01 | SEC=agricultural | TT=109 | REL=main | PRICES=112,90,72,49 | ROAD=Bình (cũ) Ngã Đường nhựa khu | START=ba đồi chi Ngã ba thôn 3 | END=nhà bà Ti 112 | FLAGS=
ID=NQ28-085-S01-TT0110-01 | SEC=agricultural | TT=110 | REL=main | PRICES=50,40,32,32 | ROAD=Đường quanh chợ Toán Thiện Hưng | START=tuyến | END=50 | FLAGS=
ID=NQ28-085-S01-TT0111-01 | SEC=agricultural | TT=111 | REL=main | PRICES=50,40,32,32 | ROAD=Đường trong khu vực Toàn chợ | START=tuyến | END=50 | FLAGS=
ID=NQ28-085-S01-TT0112-01 | SEC=agricultural | TT=112 | REL=main | PRICES=50,40,32,32 | ROAD=Đường nhựa Từ | START=ngã ba chợ Trạm xá | END=E717 50 | FLAGS=
ID=NQ28-085-S01-TT0113-01 | SEC=agricultural | TT=113 | REL=main | PRICES=50,40,32,32 | ROAD=Đường quanh Bến xe Toàn mới Thiện Hưng | START=tuyến | END=50 | FLAGS=
ID=NQ28-085-S01-TT0114-01 | SEC=agricultural | TT=114 | REL=main | PRICES=112,90,72,49 | ROAD=Đường Quy hoạch Toàn khu 3,4 ha | START=tuyến | END=112 | FLAGS=
ID=NQ28-085-S01-TT0115-01 | SEC=agricultural | TT=115 | REL=main | PRICES=112,90,72,49 | ROAD=Đường nhựa Ngã | START=Hết ranh nhà ông ba thôn 6 Châu | END=thửa đất Lưu Văn 112 | FLAGS=
ID=NQ28-085-S01-TT0116-01 | SEC=agricultural | TT=116 | REL=main | PRICES=112,90,72,49 | ROAD=Ngã Đường nhựa mới | START=Nhà văn ba bến xe đồng vào 30m Đến ngã | END=hóa cộng 112 ba trụ sở | FLAGS=
ID=NQ28-085-S01-TT0117-01 | SEC=agricultural | TT=117 | REL=main | PRICES=112,90,72,49 | ROAD=Giáp Đường nhựa Thanh | START=Trung ranh thửa ranh xã Hòa (cũ) thửa đất thửa đất | END=Đoàn (hết đất số 18, 112 số 30 và số 27, tờ | FLAGS=
ID=NQ28-085-S01-TT0118-01 | SEC=agricultural | TT=118 | REL=main | PRICES=112,90,72,49 | ROAD=Hết Đường nhựa xá E717 | START=bản đồ ranh Trạm Hết ranh Trung Ngã ba | END=số 148) trụ sở 112 Đoàn 717 nhà thờ | FLAGS=
ID=NQ28-085-S01-TT0119-01 | SEC=agricultural | TT=119 | REL=main | PRICES=50,40,32,32 | ROAD=Đường nhựa thôn 4 Đường | START=Châu Ninh thửa đất ĐT 759B đất số số 40 48, tờ | END=(hết ranh số 25, thửa 32, thửa đất 50 và thửa đất số bản đồ số | FLAGS=
ID=NQ28-085-S01-TT0120-01 | SEC=agricultural | TT=120 | REL=main | PRICES=50,40,32,32 | ROAD=Đường nhựa thôn 2 Đường | START=138) Hết thửa ĐT 759B và thửa tờ bản | END=đất số 605 đất số 641, 50 đồ số 138 | FLAGS=
ID=NQ28-085-S01-TT0121-01 | SEC=agricultural | TT=121 | REL=main | PRICES=50,40,32,32 | ROAD=Hết 605 Đường nhựa thôn 2 số 641, đồ | START=thửa đất số và thửa đất Đường tờ bản số 138 | END=nhựa thôn 5 50 | FLAGS=
ID=NQ28-085-S01-TT0122-01 | SEC=agricultural | TT=122 | REL=main | PRICES=50,40,32,32 | ROAD=Giáp Đường nhựa thôn 3 trấn (cũ) | START=Hết ranh ranh thị 43 và Thanh Bình 46, tờ 145 | END=thửa đất số thửa đất số 50 bản đồ số | FLAGS=
ID=NQ28-085-S01-TT0123-01 | SEC=agricultural | TT=123 | REL=main | PRICES=50,40,32,32 | ROAD=Hết Đường nhựa thôn 3 đất bản | START=Hết ranh ranh thửa số 59, tờ 49, tờ đồ số 145 145 | END=thửa đất số bản đồ số 50 | FLAGS=
ID=NQ28-085-S01-TT0124-01 | SEC=agricultural | TT=124 | REL=main | PRICES=50,40,32,32 | ROAD=Đường nhựa thôn 5 Đường | START=ĐT 759B Chùa Tâm | END=Pháp 50 | FLAGS=
ID=NQ28-085-S01-TT0125-01 | SEC=agricultural | TT=125 | REL=main | PRICES=50,40,32,32 | ROAD=vào hạt Đường nhựa thôn 6 Ngã | START=30m (ngã ba Kiểm lâm) Hết ranh nhà ông Châu (thửa ba thôn 6 32, tờ 171) | END=thửa đất Lưu Văn đất số 50 bản đồ số | FLAGS=
ID=NQ28-085-S01-TT0126-01 | SEC=agricultural | TT=126 | REL=main | PRICES=50,40,32,32 | ROAD=Giáp thửa Đường nhựa thôn 6 ông Châu | START=ranh đất đất nhà Ngã tư Lưu Văn | END=thôn 6 50 | FLAGS=
ID=NQ28-085-S01-TT0127-01 | SEC=agricultural | TT=127 | REL=main | PRICES=50,40,32,32 | ROAD=Đường nhựa thôn 6 Ngã | START=Hết ranh hóa ấp tư thôn 6 số 101 số 120, 140) | END=nhà văn 6 (thửa đất và thửa đất 50 tờ bản đồ số | FLAGS=
ID=NQ28-085-S01-TT0128-01 | SEC=agricultural | TT=128 | REL=main | PRICES=50,40,32,32 | ROAD=Đường nhựa thôn 4 Ngã | START=Hết thửa ba Nhà thờ thửa đất bản đồ | END=đất số 6 và số 38, tờ 50 số 138 | FLAGS=
ID=NQ28-085-S01-TT0129-01 | SEC=agricultural | TT=129 | REL=main | PRICES=50,40,32,32 | ROAD=Giáp đất Đường nhựa thân 4 đất bản | START=ranh thửa số 6 và thửa Ngã ba số 38, tờ đồ số 138 | END=thôn 1 50 | FLAGS=
ID=NQ28-085-S01-TT0130-01 | SEC=agricultural | TT=130 | REL=main | PRICES=50,40,32,32 | ROAD=Đường giao thông đấu nối từ đường ĐT 759B vào 200m (trừ Toàn các đoạn đã quy định giá đất cụ thể trong | START=tuyến | END=50 | FLAGS=
ID=NQ28-085-S01-TT0131-01 | SEC=agricultural | TT=131 | REL=main | PRICES=50,40,32,32 | ROAD=Các tuyến đường còn Toàn lại | START=tuyến | END=50 | FLAGS=
