TABLE=020 | AREA=Phường Bảo Vinh | SECTION=agricultural | SEGMENTS=1
P=0666 | X=0108.770-0415.190 | Y=0183.170-0194.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0666 | X=0108.770-0142.290 | Y=0194.690-0205.930 | ≤600m.
P=0666 | X=0108.770-0331.940 | Y=0212.230-0223.470 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0666 | X=0108.770-0423.340 | Y=0229.990-0241.230 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn Trung
P=0666 | X=0108.770-0412.540 | Y=0241.510-0252.750 | Trực đoạn từ Giáp ranh phường Long Khánh đến Đường Suối Chồn
P=0666 | X=0108.770-0354.010 | Y=0253.030-0264.270 | Bàu Cối có hiện trạng là đường nhựa, bê tông xi măng:
P=0666 | X=0093.620-0104.740 | Y=0260.910-0270.230 | 32
P=0666 | X=0456.650-0473.290 | Y=0260.910-0270.230 | 310
P=0666 | X=0505.390-0522.030 | Y=0260.910-0270.230 | 210
P=0666 | X=0108.770-0386.180 | Y=0270.550-0281.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0666 | X=0108.770-0332.410 | Y=0288.100-0299.340 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0666 | X=0108.770-0394.030 | Y=0305.860-0317.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0666 | X=0108.770-0409.420 | Y=0317.380-0328.620 | Đường Nguyễn Trung Trực đoạn từ Giáp ranh phường Long Khánh
P=0666 | X=0108.770-0426.700 | Y=0328.900-0340.140 | đến Đường Suối Chồn Bàu Cối có hiện trạng là đường nhựa, bê tông xi
P=0666 | X=0093.620-0136.770 | Y=0340.420-0351.860 | 33 măng:
P=0666 | X=0456.650-0473.290 | Y=0342.540-0351.860 | 470
P=0666 | X=0505.390-0522.030 | Y=0342.540-0351.860 | 340
P=0666 | X=0108.770-0331.680 | Y=0357.700-0368.940 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0666 | X=0108.770-0385.940 | Y=0375.240-0386.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0666 | X=0108.770-0394.030 | Y=0393.000-0404.240 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0666 | X=0108.770-0409.420 | Y=0404.520-0415.760 | Đường Nguyễn Trung Trực đoạn từ Giáp ranh phường Long Khánh
P=0666 | X=0108.770-0426.700 | Y=0416.040-0427.280 | đến Đường Suối Chồn Bàu Cối có hiện trạng là đường nhựa, bê tông xi
P=0666 | X=0108.770-0136.770 | Y=0427.560-0438.800 | măng:
P=0666 | X=0093.620-0331.940 | Y=0444.080-0456.320 | 34 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0666 | X=0456.650-0473.290 | Y=0444.080-0453.400 | 370
P=0666 | X=0505.390-0522.030 | Y=0444.080-0453.400 | 270
P=0666 | X=0108.770-0415.190 | Y=0462.620-0473.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0666 | X=0108.770-0142.290 | Y=0474.140-0485.380 | ≤600m.
P=0666 | X=0108.770-0331.940 | Y=0491.660-0502.900 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0666 | X=0108.770-0394.030 | Y=0509.420-0520.660 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0666 | X=0108.770-0409.420 | Y=0520.940-0532.180 | Đường Nguyễn Trung Trực đoạn từ Giáp ranh phường Long Khánh
P=0666 | X=0108.770-0426.700 | Y=0532.220-0543.460 | đến Đường Suối Chồn Bàu Cối có hiện trạng là đường nhựa, bê tông xi
P=0666 | X=0093.620-0136.770 | Y=0543.770-0555.210 | 35 măng:
P=0666 | X=0456.650-0473.290 | Y=0545.890-0555.210 | 310
P=0666 | X=0505.390-0522.030 | Y=0545.890-0555.210 | 210
P=0666 | X=0108.770-0386.180 | Y=0561.290-0572.530 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0666 | X=0108.770-0335.060 | Y=0578.810-0590.050 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0666 | X=0108.770-0240.180 | Y=0596.570-0607.810 | Đường Trần Nhân Tông (Bảo
P=0666 | X=0331.320-0422.630 | Y=0596.570-0607.810 | Hẻm số 7 Đường Lê
P=0666 | X=0242.260-0327.570 | Y=0602.330-0613.570 | Đường Ngô Quyền
P=0666 | X=0093.620-0104.740 | Y=0604.210-0613.530 | 36
P=0666 | X=0456.650-0473.290 | Y=0604.210-0613.530 | 700
P=0666 | X=0505.390-0522.030 | Y=0604.210-0613.530 | 580
P=0666 | X=0108.770-0197.340 | Y=0609.970-0619.290 | Vinh B - Suối Chồn)
P=0666 | X=0331.320-0338.040 | Y=0609.970-0619.290 | A
P=0666 | X=0108.770-0407.270 | Y=0625.870-0637.110 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trần Nhân
P=0666 | X=0108.770-0415.100 | Y=0637.390-0648.630 | Tông (Bảo Vinh B - Suối Chồn) đoạn từ Đường Ngô Quyền đến Hẻm
P=0666 | X=0108.770-0395.070 | Y=0648.910-0660.150 | số 7 Đường Lê A có hiện trạng là đường nhựa, bê tông xi măng:
P=0666 | X=0093.620-0104.740 | Y=0656.790-0666.110 | 37
P=0666 | X=0456.650-0473.290 | Y=0656.790-0666.110 | 470
P=0666 | X=0505.390-0522.030 | Y=0656.790-0666.110 | 340
P=0666 | X=0108.770-0331.680 | Y=0666.430-0677.670 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0666 | X=0108.770-0385.940 | Y=0683.950-0695.190 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0666 | X=0093.620-0407.270 | Y=0701.730-0712.970 | 38 Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trần Nhân
P=0666 | X=0456.650-0473.290 | Y=0703.620-0712.940 | 370
P=0666 | X=0505.390-0522.030 | Y=0703.620-0712.940 | 270
P=0667 | X=0108.770-0415.100 | Y=0072.500-0083.740 | Tông (Bảo Vinh B - Suối Chồn) đoạn từ Đường Ngô Quyền đến Hẻm
P=0667 | X=0108.770-0395.100 | Y=0084.020-0095.260 | số 7 Đường Lê A có hiện trạng là đường nhựa, bê tông xi măng:
P=0667 | X=0108.770-0331.940 | Y=0101.540-0112.780 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0667 | X=0108.770-0415.190 | Y=0119.090-0130.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0667 | X=0108.770-0142.290 | Y=0130.610-0141.850 | ≤600m.
P=0667 | X=0108.770-0331.940 | Y=0148.130-0159.370 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0667 | X=0108.770-0407.270 | Y=0165.650-0176.890 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trần Nhân
P=0667 | X=0108.770-0415.100 | Y=0177.170-0188.410 | Tông (Bảo Vinh B - Suối Chồn) đoạn từ Đường Ngô Quyền đến Hẻm
P=0667 | X=0108.770-0395.070 | Y=0188.690-0199.930 | số 7 Đường Lê A có hiện trạng là đường nhựa, bê tông xi măng:
P=0667 | X=0093.620-0104.740 | Y=0196.570-0205.890 | 39
P=0667 | X=0456.650-0473.290 | Y=0196.570-0205.890 | 310
P=0667 | X=0505.390-0522.030 | Y=0196.570-0205.890 | 210
P=0667 | X=0108.770-0386.180 | Y=0206.230-0217.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0667 | X=0108.770-0332.410 | Y=0223.750-0234.990 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0667 | X=0108.770-0394.030 | Y=0241.510-0252.750 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0667 | X=0108.770-0424.070 | Y=0253.030-0264.270 | Đường Trần Nhân Tông (Bảo Vinh B - Suối Chồn) đoạn từ Đường Ngô
P=0667 | X=0108.770-0407.980 | Y=0264.550-0275.790 | Quyền đến Hẻm số 7 Đường Lê A có hiện trạng là đường nhựa, bê
P=0667 | X=0093.620-0168.930 | Y=0276.070-0287.510 | 40 tông xi măng:
P=0667 | X=0456.650-0473.290 | Y=0278.190-0287.510 | 470
P=0667 | X=0505.390-0522.030 | Y=0278.190-0287.510 | 340
P=0667 | X=0108.770-0331.680 | Y=0293.620-0304.860 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0667 | X=0108.770-0385.940 | Y=0311.140-0322.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0667 | X=0108.770-0394.030 | Y=0328.900-0340.140 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0667 | X=0108.770-0424.070 | Y=0340.420-0351.660 | Đường Trần Nhân Tông (Bảo Vinh B - Suối Chồn) đoạn từ Đường Ngô
P=0667 | X=0108.770-0407.980 | Y=0351.700-0362.940 | Quyền đến Hẻm số 7 Đường Lê A có hiện trạng là đường nhựa, bê
P=0667 | X=0108.770-0168.930 | Y=0363.220-0374.460 | tông xi măng:
P=0667 | X=0093.620-0331.940 | Y=0380.000-0392.000 | 41 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0667 | X=0456.650-0473.290 | Y=0380.000-0389.320 | 370
P=0667 | X=0505.390-0522.030 | Y=0380.000-0389.320 | 270
P=0667 | X=0108.770-0415.190 | Y=0398.280-0409.520 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0667 | X=0108.770-0142.290 | Y=0409.800-0421.040 | ≤600m.
P=0667 | X=0108.770-0331.940 | Y=0427.320-0438.560 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0667 | X=0108.770-0394.030 | Y=0445.080-0456.320 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0667 | X=0108.770-0424.070 | Y=0456.620-0467.860 | Đường Trần Nhân Tông (Bảo Vinh B - Suối Chồn) đoạn từ Đường Ngô
P=0667 | X=0108.770-0407.980 | Y=0468.140-0479.380 | Quyền đến Hẻm số 7 Đường Lê A có hiện trạng là đường nhựa, bê
P=0667 | X=0093.620-0168.930 | Y=0479.660-0491.100 | 42 tông xi măng:
P=0667 | X=0456.650-0473.290 | Y=0481.780-0491.100 | 310
P=0667 | X=0505.390-0522.030 | Y=0481.780-0491.100 | 210
P=0667 | X=0108.770-0386.180 | Y=0497.180-0508.420 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0667 | X=0108.770-0335.060 | Y=0514.460-0525.700 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0667 | X=0242.260-0320.760 | Y=0532.220-0543.460 | Đường Bảo Vinh-
P=0667 | X=0331.320-0426.010 | Y=0532.220-0543.460 | Đường vào nghĩa địa
P=0667 | X=0093.620-0194.080 | Y=0538.010-0549.250 | 43 Đường Ngô Quyền
P=0667 | X=0456.650-0473.290 | Y=0539.890-0549.210 | 700
P=0667 | X=0505.390-0522.030 | Y=0539.890-0549.210 | 580
P=0667 | X=0331.320-0370.990 | Y=0543.770-0555.010 | Bảo Sơn
P=0667 | X=0242.260-0292.990 | Y=0545.650-0554.970 | Bảo Quang
P=0667 | X=0108.770-0410.630 | Y=0561.530-0572.770 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Ngô Quyền
P=0667 | X=0108.770-0412.550 | Y=0573.050-0584.290 | đoạn từ Đường Bảo Vinh-Bảo Quang đến Đường vào nghĩa địa Bảo
P=0667 | X=0108.770-0337.220 | Y=0584.570-0595.810 | Sơn có hiện trạng là đường nhựa, bê tông xi măng:
P=0667 | X=0093.620-0104.740 | Y=0592.450-0601.770 | 44
P=0667 | X=0456.650-0473.290 | Y=0592.450-0601.770 | 470
P=0667 | X=0505.390-0522.030 | Y=0592.450-0601.770 | 340
P=0667 | X=0108.770-0331.680 | Y=0602.090-0613.330 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0667 | X=0108.770-0385.940 | Y=0619.630-0630.870 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0667 | X=0108.770-0410.630 | Y=0637.390-0648.630 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Ngô Quyền
P=0667 | X=0108.770-0412.550 | Y=0648.910-0660.150 | đoạn từ Đường Bảo Vinh-Bảo Quang đến Đường vào nghĩa địa Bảo
P=0667 | X=0108.770-0337.240 | Y=0660.430-0671.670 | Sơn có hiện trạng là đường nhựa, bê tông xi măng:
P=0667 | X=0093.620-0104.740 | Y=0674.070-0683.390 | 45
P=0667 | X=0456.650-0473.290 | Y=0674.070-0683.390 | 370
P=0667 | X=0505.390-0522.030 | Y=0674.070-0683.390 | 270
P=0667 | X=0108.770-0331.940 | Y=0677.950-0689.190 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0667 | X=0108.770-0415.190 | Y=0695.470-0706.710 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0667 | X=0108.770-0142.290 | Y=0706.770-0718.010 | ≤600m.
P=0668 | X=0108.770-0331.940 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0668 | X=0108.770-0410.630 | Y=0096.260-0107.500 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Ngô Quyền
P=0668 | X=0108.770-0412.550 | Y=0107.780-0119.020 | đoạn từ Đường Bảo Vinh-Bảo Quang đến Đường vào nghĩa địa Bảo
P=0668 | X=0108.770-0337.220 | Y=0119.330-0130.570 | Sơn có hiện trạng là đường nhựa, bê tông xi măng:
P=0668 | X=0093.620-0104.740 | Y=0127.210-0136.530 | 46
P=0668 | X=0456.650-0473.290 | Y=0127.210-0136.530 | 310
P=0668 | X=0505.390-0522.030 | Y=0127.210-0136.530 | 210
P=0668 | X=0108.770-0386.180 | Y=0136.850-0148.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0668 | X=0108.770-0332.410 | Y=0154.370-0165.610 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0668 | X=0108.770-0394.030 | Y=0172.130-0183.370 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0668 | X=0108.770-0416.630 | Y=0183.410-0194.650 | Đường Ngô Quyền đoạn từ Đường Bảo Vinh-Bảo Quang đến Đường
P=0668 | X=0108.770-0420.740 | Y=0194.930-0206.170 | vào nghĩa địa Bảo Sơn có hiện trạng là đường nhựa, bê tông xi măng:
P=0668 | X=0093.620-0104.740 | Y=0202.830-0212.150 | 47
P=0668 | X=0456.650-0473.290 | Y=0202.830-0212.150 | 470
P=0668 | X=0505.390-0522.030 | Y=0202.830-0212.150 | 340
P=0668 | X=0108.770-0331.680 | Y=0212.470-0223.710 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0668 | X=0108.770-0385.980 | Y=0229.990-0241.230 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0668 | X=0108.770-0394.030 | Y=0247.750-0258.990 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0668 | X=0108.770-0416.630 | Y=0259.270-0270.510 | Đường Ngô Quyền đoạn từ Đường Bảo Vinh-Bảo Quang đến Đường
P=0668 | X=0108.770-0420.740 | Y=0270.790-0282.030 | vào nghĩa địa Bảo Sơn có hiện trạng là đường nhựa, bê tông xi măng:
P=0668 | X=0093.620-0331.940 | Y=0288.340-0302.420 | 48 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0668 | X=0456.650-0473.290 | Y=0293.100-0302.420 | 370
P=0668 | X=0505.390-0522.030 | Y=0293.100-0302.420 | 270
P=0668 | X=0108.770-0415.190 | Y=0305.860-0317.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0668 | X=0108.770-0142.290 | Y=0317.380-0328.620 | ≤600m.
P=0668 | X=0108.770-0331.940 | Y=0334.900-0346.140 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0668 | X=0108.770-0394.030 | Y=0352.660-0363.900 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0668 | X=0108.770-0416.630 | Y=0363.940-0375.180 | Đường Ngô Quyền đoạn từ Đường Bảo Vinh-Bảo Quang đến Đường
P=0668 | X=0108.770-0420.740 | Y=0375.480-0386.720 | vào nghĩa địa Bảo Sơn có hiện trạng là đường nhựa, bê tông xi măng:
P=0668 | X=0093.620-0104.740 | Y=0383.360-0392.680 | 49
P=0668 | X=0456.650-0473.290 | Y=0383.360-0392.680 | 310
P=0668 | X=0505.390-0522.030 | Y=0383.360-0392.680 | 210
P=0668 | X=0108.770-0386.180 | Y=0393.000-0404.240 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0668 | X=0108.770-0335.060 | Y=0410.520-0421.760 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0668 | X=0242.260-0320.830 | Y=0428.280-0439.520 | Đường vào nghĩa
P=0668 | X=0093.620-0194.080 | Y=0434.040-0445.280 | 50 Đường Ngô Quyền
P=0668 | X=0331.320-0403.640 | Y=0434.040-0445.280 | Đường Duy Tân
P=0668 | X=0456.650-0473.290 | Y=0435.920-0445.240 | 700
P=0668 | X=0505.390-0522.030 | Y=0435.920-0445.240 | 580
P=0668 | X=0242.260-0298.020 | Y=0439.800-0451.040 | địa Bảo Sơn
P=0668 | X=0108.770-0410.630 | Y=0457.580-0468.820 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Ngô Quyền
P=0668 | X=0108.770-0412.310 | Y=0469.100-0480.340 | đoạn từ Đường vào nghĩa địa Bảo Sơn đến Đường Duy Tân có hiện
P=0668 | X=0108.770-0280.550 | Y=0480.620-0491.860 | trạng là đường nhựa, bê tông xi măng:
P=0668 | X=0093.620-0104.740 | Y=0488.500-0497.820 | 51
P=0668 | X=0456.650-0473.290 | Y=0488.500-0497.820 | 470
P=0668 | X=0505.390-0522.030 | Y=0488.500-0497.820 | 340
P=0668 | X=0108.770-0331.680 | Y=0498.140-0509.380 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0668 | X=0108.770-0385.970 | Y=0515.660-0526.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0668 | X=0108.770-0410.630 | Y=0533.450-0544.690 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Ngô Quyền
P=0668 | X=0108.770-0412.310 | Y=0544.970-0556.210 | đoạn từ Đường vào nghĩa địa Bảo Sơn đến Đường Duy Tân có hiện
P=0668 | X=0108.770-0280.550 | Y=0556.250-0567.490 | trạng là đường nhựa, bê tông xi măng:
P=0668 | X=0093.620-0331.940 | Y=0573.770-0588.090 | 52 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0668 | X=0456.650-0473.290 | Y=0578.770-0588.090 | 370
P=0668 | X=0505.390-0522.030 | Y=0578.770-0588.090 | 270
P=0668 | X=0108.770-0415.190 | Y=0591.290-0602.530 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0668 | X=0108.770-0142.290 | Y=0602.810-0614.050 | ≤600m.
P=0668 | X=0108.770-0331.940 | Y=0620.350-0631.590 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0668 | X=0108.770-0410.630 | Y=0638.110-0649.350 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Ngô Quyền
P=0668 | X=0108.770-0412.310 | Y=0649.630-0660.870 | đoạn từ Đường vào nghĩa địa Bảo Sơn đến Đường Duy Tân có hiện
P=0668 | X=0108.770-0280.580 | Y=0661.150-0672.390 | trạng là đường nhựa, bê tông xi măng:
P=0668 | X=0093.620-0104.740 | Y=0669.030-0678.350 | 53
P=0668 | X=0456.650-0473.290 | Y=0669.030-0678.350 | 310
P=0668 | X=0505.390-0522.030 | Y=0669.030-0678.350 | 210
P=0668 | X=0108.770-0386.180 | Y=0678.670-0689.910 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0668 | X=0108.770-0332.410 | Y=0696.190-0707.430 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0669 | X=0108.770-0394.030 | Y=0078.500-0089.740 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0669 | X=0108.770-0424.310 | Y=0090.020-0101.260 | Đường Ngô Quyền đoạn từ Đường vào nghĩa địa Bảo Sơn đến Đường
P=0669 | X=0108.770-0356.180 | Y=0101.540-0112.780 | Duy Tân có hiện trạng là đường nhựa, bê tông xi măng:
P=0669 | X=0093.620-0104.740 | Y=0109.420-0118.740 | 54
P=0669 | X=0456.650-0473.290 | Y=0109.420-0118.740 | 470
P=0669 | X=0505.390-0522.030 | Y=0109.420-0118.740 | 340
P=0669 | X=0108.770-0331.680 | Y=0119.090-0130.330 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0669 | X=0108.770-0385.940 | Y=0136.610-0147.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0669 | X=0108.770-0394.030 | Y=0154.370-0165.610 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0669 | X=0108.770-0424.310 | Y=0165.650-0176.890 | Đường Ngô Quyền đoạn từ Đường vào nghĩa địa Bảo Sơn đến Đường
P=0669 | X=0108.770-0356.180 | Y=0177.170-0188.410 | Duy Tân có hiện trạng là đường nhựa, bê tông xi măng:
P=0669 | X=0093.620-0331.940 | Y=0194.690-0209.030 | 55 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0669 | X=0456.650-0473.290 | Y=0199.710-0209.030 | 370
P=0669 | X=0505.390-0522.030 | Y=0199.710-0209.030 | 270
P=0669 | X=0108.770-0415.190 | Y=0212.230-0223.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0669 | X=0108.770-0142.290 | Y=0223.750-0234.990 | ≤600m.
P=0669 | X=0108.770-0331.940 | Y=0241.270-0252.510 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0669 | X=0108.770-0394.030 | Y=0259.030-0270.270 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0669 | X=0108.770-0424.310 | Y=0270.550-0281.790 | Đường Ngô Quyền đoạn từ Đường vào nghĩa địa Bảo Sơn đến Đường
P=0669 | X=0108.770-0356.180 | Y=0282.100-0293.340 | Duy Tân có hiện trạng là đường nhựa, bê tông xi măng:
P=0669 | X=0093.620-0104.740 | Y=0289.980-0299.300 | 56
P=0669 | X=0456.650-0473.290 | Y=0289.980-0299.300 | 310
P=0669 | X=0505.390-0522.030 | Y=0289.980-0299.300 | 210
P=0669 | X=0108.770-0386.180 | Y=0299.620-0310.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0669 | X=0108.770-0335.060 | Y=0317.140-0328.380 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0669 | X=0331.320-0413.740 | Y=0334.900-0346.140 | Giáp ranh phường
P=0669 | X=0093.620-0194.080 | Y=0340.660-0351.900 | 57 Đường Ngô Quyền
P=0669 | X=0242.260-0314.580 | Y=0340.660-0351.900 | Đường Duy Tân
P=0669 | X=0456.650-0473.290 | Y=0342.540-0351.860 | 700
P=0669 | X=0505.390-0522.030 | Y=0342.540-0351.860 | 580
P=0669 | X=0331.320-0385.180 | Y=0348.300-0357.620 | Long Khánh
P=0669 | X=0108.770-0410.630 | Y=0363.940-0375.180 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Ngô Quyền
P=0669 | X=0108.770-0414.700 | Y=0375.480-0386.720 | đoạn từ Đường Duy Tân đến Giáp ranh phường Long Khánh có hiện
P=0669 | X=0108.770-0280.550 | Y=0387.000-0398.240 | trạng là đường nhựa, bê tông xi măng:
P=0669 | X=0093.620-0104.740 | Y=0394.880-0404.200 | 58
P=0669 | X=0456.650-0473.290 | Y=0394.880-0404.200 | 470
P=0669 | X=0505.390-0522.030 | Y=0394.880-0404.200 | 340
P=0669 | X=0108.770-0331.680 | Y=0404.520-0415.760 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0669 | X=0108.770-0385.940 | Y=0422.040-0433.280 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0669 | X=0108.770-0410.630 | Y=0439.800-0451.040 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Ngô Quyền
P=0669 | X=0108.770-0414.700 | Y=0451.340-0462.580 | đoạn từ Đường Duy Tân đến Giáp ranh phường Long Khánh có hiện
P=0669 | X=0108.770-0280.550 | Y=0462.860-0474.100 | trạng là đường nhựa, bê tông xi măng:
P=0669 | X=0093.620-0331.940 | Y=0480.380-0494.460 | 59 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0669 | X=0456.650-0473.290 | Y=0485.140-0494.460 | 370
P=0669 | X=0505.390-0522.030 | Y=0485.140-0494.460 | 270
P=0669 | X=0108.770-0415.190 | Y=0497.900-0509.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0669 | X=0108.770-0142.290 | Y=0509.420-0520.660 | ≤600m.
P=0669 | X=0108.770-0331.940 | Y=0526.940-0538.180 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0669 | X=0108.770-0410.630 | Y=0544.490-0555.730 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Ngô Quyền
P=0669 | X=0108.770-0414.700 | Y=0556.010-0567.250 | đoạn từ Đường Duy Tân đến Giáp ranh phường Long Khánh có hiện
P=0669 | X=0108.770-0280.550 | Y=0567.530-0578.770 | trạng là đường nhựa, bê tông xi măng:
P=0669 | X=0093.620-0104.740 | Y=0575.410-0584.730 | 60
P=0669 | X=0456.650-0473.290 | Y=0575.410-0584.730 | 310
P=0669 | X=0505.390-0522.030 | Y=0575.410-0584.730 | 210
P=0669 | X=0108.770-0386.180 | Y=0585.050-0596.290 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0669 | X=0108.770-0332.410 | Y=0602.570-0613.810 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0669 | X=0108.770-0394.030 | Y=0620.350-0631.590 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0669 | X=0108.770-0410.630 | Y=0631.870-0643.110 | Đường Ngô Quyền đoạn từ Đường Duy Tân đến Giáp ranh phường
P=0669 | X=0108.770-0372.250 | Y=0643.390-0654.630 | Long Khánh có hiện trạng là đường nhựa, bê tông xi măng:
P=0669 | X=0093.620-0104.740 | Y=0651.270-0660.590 | 61
P=0669 | X=0456.650-0473.290 | Y=0651.270-0660.590 | 470
P=0669 | X=0505.390-0522.030 | Y=0651.270-0660.590 | 340
P=0669 | X=0108.770-0331.680 | Y=0660.910-0672.150 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0669 | X=0108.770-0385.940 | Y=0678.430-0689.670 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0669 | X=0108.770-0394.030 | Y=0696.190-0707.430 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0669 | X=0093.620-0104.740 | Y=0703.860-0713.180 | 62
P=0669 | X=0456.650-0473.290 | Y=0703.860-0713.180 | 370
P=0669 | X=0505.390-0522.030 | Y=0703.860-0713.180 | 270
P=0669 | X=0108.770-0410.630 | Y=0707.730-0718.970 | Đường Ngô Quyền đoạn từ Đường Duy Tân đến Giáp ranh phường
P=0670 | X=0108.770-0372.250 | Y=0072.500-0083.740 | Long Khánh có hiện trạng là đường nhựa, bê tông xi măng:
P=0670 | X=0108.770-0331.950 | Y=0090.020-0101.260 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0670 | X=0108.770-0415.190 | Y=0107.540-0118.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
