TABLE=033 | AREA=Xã Sông Ray | SECTION=agricultural | SEGMENTS=1
P=1089 | X=0121.490-0163.630 | Y=0510.340-0519.660 | >1.000m.
P=1089 | X=0121.490-0345.130 | Y=0525.980-0537.220 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1089 | X=0224.740-0393.320 | Y=0543.770-0555.010 | Hết cây xăng Nông Đường tỉnh 764 đi
P=1089 | X=0121.490-0191.680 | Y=0549.530-0560.770 | Đường tỉnh 764
P=1089 | X=0100.130-0111.250 | Y=0551.410-0560.730 | 29
P=1089 | X=0446.330-0462.970 | Y=0551.410-0560.730 | 530
P=1089 | X=0505.390-0522.030 | Y=0551.410-0560.730 | 400
P=1089 | X=0224.740-0353.160 | Y=0555.290-0566.530 | trường Sông Ray Suối Lức
P=1089 | X=0121.490-0389.030 | Y=0573.050-0584.290 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1089 | X=0121.490-0397.180 | Y=0584.570-0595.810 | 764 đoạn từ Hết cây xăng Nông trường Sông Ray đến Đường
P=1089 | X=0121.490-0389.470 | Y=0596.090-0607.330 | tỉnh 764 đi Suối Lức có hiện trạng là đường nhựa, bê tông xi
P=1089 | X=0121.490-0149.490 | Y=0607.610-0618.850 | măng:
P=1089 | X=0100.130-0111.250 | Y=0609.730-0619.050 | 30
P=1089 | X=0446.330-0462.970 | Y=0609.730-0619.050 | 380
P=1089 | X=0505.390-0522.030 | Y=0609.730-0619.050 | 250
P=1089 | X=0121.490-0352.570 | Y=0625.150-0636.390 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1089 | X=0121.490-0398.680 | Y=0642.670-0653.910 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1089 | X=0121.490-0389.030 | Y=0660.430-0671.670 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1089 | X=0121.490-0397.180 | Y=0671.950-0683.190 | 764 đoạn từ Hết cây xăng Nông trường Sông Ray đến Đường
P=1089 | X=0100.130-0111.250 | Y=0679.590-0688.910 | 31
P=1089 | X=0446.330-0462.970 | Y=0679.590-0688.910 | 310
P=1089 | X=0505.390-0522.030 | Y=0679.590-0688.910 | 200
P=1089 | X=0121.490-0389.480 | Y=0683.470-0694.710 | tỉnh 764 đi Suối Lức có hiện trạng là đường nhựa, bê tông xi
P=1089 | X=0121.490-0149.490 | Y=0694.750-0705.990 | măng:
P=1090 | X=0121.490-0353.040 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1090 | X=0121.490-0374.800 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1090 | X=0121.490-0216.460 | Y=0107.540-0118.780 | >500m đến ≤1.000m.
P=1090 | X=0121.490-0344.660 | Y=0125.090-0136.330 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1090 | X=0121.490-0389.030 | Y=0142.850-0154.090 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1090 | X=0121.490-0397.180 | Y=0154.370-0165.610 | 764 đoạn từ Hết cây xăng Nông trường Sông Ray đến Đường
P=1090 | X=0121.490-0389.470 | Y=0165.650-0176.890 | tỉnh 764 đi Suối Lức có hiện trạng là đường nhựa, bê tông xi
P=1090 | X=0121.490-0149.490 | Y=0177.170-0188.410 | măng:
P=1090 | X=0100.130-0111.250 | Y=0185.050-0194.370 | 32
P=1090 | X=0446.330-0462.970 | Y=0185.050-0194.370 | 220
P=1090 | X=0505.390-0522.030 | Y=0185.050-0194.370 | 140
P=1090 | X=0121.490-0362.600 | Y=0194.690-0205.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1090 | X=0121.490-0163.630 | Y=0208.110-0217.430 | >1.000m.
P=1090 | X=0121.490-0345.130 | Y=0223.750-0234.990 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1090 | X=0121.490-0395.000 | Y=0241.510-0252.750 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1090 | X=0121.490-0387.580 | Y=0253.030-0264.270 | ra Đường tỉnh 764 đoạn từ Hết cây xăng Nông trường Sông
P=1090 | X=0121.490-0389.020 | Y=0264.550-0275.790 | Ray đến Đường tỉnh 764 đi Suối Lức có hiện trạng là đường
P=1090 | X=0121.490-0224.600 | Y=0276.070-0287.310 | nhựa, bê tông xi măng:
P=1090 | X=0100.130-0111.250 | Y=0278.190-0287.510 | 33
P=1090 | X=0446.330-0462.970 | Y=0278.190-0287.510 | 380
P=1090 | X=0505.390-0522.030 | Y=0278.190-0287.510 | 250
P=1090 | X=0121.490-0352.570 | Y=0293.620-0304.860 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1090 | X=0121.490-0398.680 | Y=0311.140-0322.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1090 | X=0121.490-0395.000 | Y=0328.900-0340.140 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1090 | X=0121.490-0387.580 | Y=0340.420-0351.660 | ra Đường tỉnh 764 đoạn từ Hết cây xăng Nông trường Sông
P=1090 | X=0121.490-0389.020 | Y=0351.700-0362.940 | Ray đến Đường tỉnh 764 đi Suối Lức có hiện trạng là đường
P=1090 | X=0121.490-0224.600 | Y=0363.220-0374.460 | nhựa, bê tông xi măng:
P=1090 | X=0100.130-0111.250 | Y=0380.000-0389.320 | 34
P=1090 | X=0446.330-0462.970 | Y=0380.000-0389.320 | 310
P=1090 | X=0505.390-0522.030 | Y=0380.000-0389.320 | 200
P=1090 | X=0121.490-0353.040 | Y=0380.760-0392.000 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1090 | X=0121.490-0374.800 | Y=0398.280-0409.520 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1090 | X=0121.490-0216.460 | Y=0409.800-0421.040 | >500m đến ≤1.000m.
P=1090 | X=0121.490-0344.660 | Y=0427.320-0438.560 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1090 | X=0121.490-0395.000 | Y=0445.080-0456.320 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1090 | X=0121.490-0387.580 | Y=0456.620-0467.860 | ra Đường tỉnh 764 đoạn từ Hết cây xăng Nông trường Sông
P=1090 | X=0121.490-0389.020 | Y=0468.140-0479.380 | Ray đến Đường tỉnh 764 đi Suối Lức có hiện trạng là đường
P=1090 | X=0121.490-0224.600 | Y=0479.660-0490.900 | nhựa, bê tông xi măng:
P=1090 | X=0100.130-0111.250 | Y=0487.540-0496.860 | 35
P=1090 | X=0446.330-0462.970 | Y=0487.540-0496.860 | 220
P=1090 | X=0505.390-0522.030 | Y=0487.540-0496.860 | 140
P=1090 | X=0121.490-0362.600 | Y=0497.180-0508.420 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1090 | X=0121.490-0163.630 | Y=0510.340-0519.660 | >1.000m.
P=1090 | X=0121.490-0345.130 | Y=0525.980-0537.220 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1090 | X=0224.740-0384.680 | Y=0543.770-0555.010 | Đường tỉnh 764 đi Giáp ranh thành
P=1090 | X=0121.490-0191.680 | Y=0549.530-0560.770 | Đường tỉnh 764
P=1090 | X=0100.130-0111.250 | Y=0551.410-0560.730 | 36
P=1090 | X=0446.330-0462.970 | Y=0551.410-0560.730 | 530
P=1090 | X=0505.390-0522.030 | Y=0551.410-0560.730 | 400
P=1090 | X=0224.740-0265.060 | Y=0557.170-0566.490 | Suối Lức
P=1090 | X=0312.840-0388.030 | Y=0557.170-0566.490 | phố Hồ Chí Minh
P=1090 | X=0121.490-0389.030 | Y=0573.050-0584.290 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1090 | X=0121.490-0395.720 | Y=0584.570-0595.810 | 764 đoạn từ Đường tỉnh 764 đi Suối Lức đến Giáp ranh thành
P=1090 | X=0121.490-0375.550 | Y=0596.090-0607.330 | phố Hồ Chí Minh có hiện trạng là đường nhựa, bê tông xi
P=1090 | X=0121.490-0149.490 | Y=0607.610-0618.850 | măng:
P=1090 | X=0100.130-0111.250 | Y=0609.730-0619.050 | 37
P=1090 | X=0446.330-0462.970 | Y=0609.730-0619.050 | 380
P=1090 | X=0505.390-0522.030 | Y=0609.730-0619.050 | 250
P=1090 | X=0121.490-0352.570 | Y=0625.150-0636.390 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1090 | X=0121.490-0398.680 | Y=0642.670-0653.910 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1090 | X=0121.490-0389.030 | Y=0660.430-0671.670 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1090 | X=0121.490-0395.720 | Y=0671.950-0683.190 | 764 đoạn từ Đường tỉnh 764 đi Suối Lức đến Giáp ranh thành
P=1090 | X=0100.130-0111.250 | Y=0679.590-0688.910 | 38
P=1090 | X=0446.330-0462.970 | Y=0679.590-0688.910 | 310
P=1090 | X=0505.390-0522.030 | Y=0679.590-0688.910 | 200
P=1090 | X=0121.490-0375.550 | Y=0683.470-0694.710 | phố Hồ Chí Minh có hiện trạng là đường nhựa, bê tông xi
P=1090 | X=0121.490-0149.490 | Y=0694.750-0705.990 | măng:
P=1091 | X=0121.490-0353.040 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1091 | X=0121.490-0374.800 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1091 | X=0121.490-0216.460 | Y=0107.540-0118.780 | >500m đến ≤1.000m.
P=1091 | X=0121.490-0344.660 | Y=0125.090-0136.330 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1091 | X=0121.490-0389.030 | Y=0142.850-0154.090 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1091 | X=0121.490-0395.720 | Y=0154.370-0165.610 | 764 đoạn từ Đường tỉnh 764 đi Suối Lức đến Giáp ranh thành
P=1091 | X=0121.490-0375.550 | Y=0165.650-0176.890 | phố Hồ Chí Minh có hiện trạng là đường nhựa, bê tông xi
P=1091 | X=0121.490-0149.490 | Y=0177.170-0188.410 | măng:
P=1091 | X=0100.130-0111.250 | Y=0185.050-0194.370 | 39
P=1091 | X=0446.330-0462.970 | Y=0185.050-0194.370 | 220
P=1091 | X=0505.390-0522.030 | Y=0185.050-0194.370 | 140
P=1091 | X=0121.490-0362.600 | Y=0194.690-0205.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1091 | X=0121.490-0163.630 | Y=0208.110-0217.430 | >1.000m.
P=1091 | X=0121.490-0345.130 | Y=0223.750-0234.990 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1091 | X=0121.490-0395.000 | Y=0241.510-0252.750 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1091 | X=0121.490-0386.140 | Y=0253.030-0264.270 | ra Đường tỉnh 764 đoạn từ Đường tỉnh 764 đi Suối Lức đến
P=1091 | X=0121.490-0403.750 | Y=0264.550-0275.790 | Giáp ranh thành phố Hồ Chí Minh có hiện trạng là đường nhựa,
P=1091 | X=0121.490-0195.570 | Y=0276.070-0287.310 | bê tông xi măng:
P=1091 | X=0100.130-0111.250 | Y=0278.190-0287.510 | 40
P=1091 | X=0446.330-0462.970 | Y=0278.190-0287.510 | 380
P=1091 | X=0505.390-0522.030 | Y=0278.190-0287.510 | 250
P=1091 | X=0121.490-0352.570 | Y=0293.620-0304.860 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1091 | X=0121.490-0398.680 | Y=0311.140-0322.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1091 | X=0121.490-0395.000 | Y=0328.900-0340.140 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1091 | X=0121.490-0386.140 | Y=0340.420-0351.660 | ra Đường tỉnh 764 đoạn từ Đường tỉnh 764 đi Suối Lức đến
P=1091 | X=0121.490-0403.750 | Y=0351.700-0362.940 | Giáp ranh thành phố Hồ Chí Minh có hiện trạng là đường nhựa,
P=1091 | X=0121.490-0195.570 | Y=0363.220-0374.460 | bê tông xi măng:
P=1091 | X=0100.130-0111.250 | Y=0380.000-0389.320 | 41
P=1091 | X=0446.330-0462.970 | Y=0380.000-0389.320 | 310
P=1091 | X=0505.390-0522.030 | Y=0380.000-0389.320 | 200
P=1091 | X=0121.490-0353.040 | Y=0380.760-0392.000 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1091 | X=0121.490-0374.800 | Y=0398.280-0409.520 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1091 | X=0121.490-0216.460 | Y=0409.800-0421.040 | >500m đến ≤1.000m.
P=1091 | X=0121.490-0344.660 | Y=0427.320-0438.560 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1091 | X=0121.490-0395.000 | Y=0445.080-0456.320 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1091 | X=0121.490-0386.140 | Y=0456.620-0467.860 | ra Đường tỉnh 764 đoạn từ Đường tỉnh 764 đi Suối Lức đến
P=1091 | X=0121.490-0403.750 | Y=0468.140-0479.380 | Giáp ranh thành phố Hồ Chí Minh có hiện trạng là đường nhựa,
P=1091 | X=0121.490-0195.570 | Y=0479.660-0490.900 | bê tông xi măng:
P=1091 | X=0100.130-0111.250 | Y=0487.540-0496.860 | 42
P=1091 | X=0446.330-0462.970 | Y=0487.540-0496.860 | 220
P=1091 | X=0505.390-0522.030 | Y=0487.540-0496.860 | 140
P=1091 | X=0121.490-0362.600 | Y=0497.180-0508.420 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1091 | X=0121.490-0163.630 | Y=0510.340-0519.660 | >1.000m.
P=1091 | X=0121.490-0345.130 | Y=0525.980-0537.220 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1091 | X=0224.740-0391.900 | Y=0543.770-0555.010 | Giáp ranh xã Xuân Đường tổ 10 ấp 9
P=1091 | X=0121.490-0191.680 | Y=0549.530-0560.770 | Đường tỉnh 765
P=1091 | X=0100.130-0111.250 | Y=0551.410-0560.730 | 43
P=1091 | X=0446.330-0462.970 | Y=0551.410-0560.730 | 530
P=1091 | X=0505.390-0522.030 | Y=0551.410-0560.730 | 400
P=1091 | X=0224.740-0248.600 | Y=0555.290-0566.530 | Đông
P=1091 | X=0312.840-0370.190 | Y=0557.170-0566.490 | xã Sông Ray
P=1091 | X=0121.490-0389.030 | Y=0573.050-0584.290 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1091 | X=0121.490-0402.940 | Y=0584.570-0595.810 | 765 đoạn từ Giáp ranh xã Xuân Đông đến Đường tổ 10 ấp 9 xã
P=1091 | X=0121.490-0374.910 | Y=0596.090-0607.330 | Sông Ray có hiện trạng là đường nhựa, bê tông xi măng:
P=1091 | X=0100.130-0111.250 | Y=0603.970-0613.290 | 44
P=1091 | X=0446.330-0462.970 | Y=0603.970-0613.290 | 380
P=1091 | X=0505.390-0522.030 | Y=0603.970-0613.290 | 250
P=1091 | X=0121.490-0352.570 | Y=0613.610-0624.850 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1091 | X=0121.490-0398.680 | Y=0631.150-0642.390 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1091 | X=0121.490-0389.030 | Y=0648.910-0660.150 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1091 | X=0121.490-0402.940 | Y=0660.430-0671.670 | 765 đoạn từ Giáp ranh xã Xuân Đông đến Đường tổ 10 ấp 9 xã
P=1091 | X=0121.490-0374.920 | Y=0671.950-0683.190 | Sông Ray có hiện trạng là đường nhựa, bê tông xi măng:
P=1091 | X=0100.130-0111.250 | Y=0679.830-0689.150 | 45
P=1091 | X=0446.330-0462.970 | Y=0679.830-0689.150 | 310
P=1091 | X=0505.390-0522.030 | Y=0679.830-0689.150 | 200
P=1091 | X=0121.490-0353.040 | Y=0689.470-0700.710 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1091 | X=0121.490-0374.800 | Y=0706.770-0718.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1092 | X=0121.490-0216.460 | Y=0072.500-0083.740 | >500m đến ≤1.000m.
P=1092 | X=0121.490-0344.660 | Y=0090.020-0101.260 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1092 | X=0121.490-0389.030 | Y=0107.780-0119.020 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1092 | X=0121.490-0402.940 | Y=0119.330-0130.570 | 765 đoạn từ Giáp ranh xã Xuân Đông đến Đường tổ 10 ấp 9 xã
P=1092 | X=0121.490-0374.910 | Y=0130.850-0142.090 | Sông Ray có hiện trạng là đường nhựa, bê tông xi măng:
P=1092 | X=0100.130-0111.250 | Y=0144.490-0153.810 | 46
P=1092 | X=0446.330-0462.970 | Y=0144.490-0153.810 | 220
P=1092 | X=0505.390-0522.030 | Y=0144.490-0153.810 | 140
P=1092 | X=0121.490-0362.600 | Y=0148.370-0159.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1092 | X=0121.490-0163.630 | Y=0161.530-0170.850 | >1.000m.
P=1092 | X=0121.490-0345.130 | Y=0177.170-0188.410 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1092 | X=0121.490-0395.000 | Y=0194.930-0206.170 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1092 | X=0121.490-0372.710 | Y=0206.470-0217.710 | ra Đường tỉnh 765 đoạn từ Giáp ranh xã Xuân Đông đến
P=1092 | X=0121.490-0393.190 | Y=0217.990-0229.230 | Đường tổ 10 ấp 9 xã Sông Ray có hiện trạng là đường nhựa,
P=1092 | X=0121.490-0195.570 | Y=0229.510-0240.750 | bê tông xi măng:
P=1092 | X=0100.130-0111.250 | Y=0231.630-0240.950 | 47
P=1092 | X=0446.330-0462.970 | Y=0231.630-0240.950 | 380
P=1092 | X=0505.390-0522.030 | Y=0231.630-0240.950 | 250
P=1092 | X=0121.490-0352.570 | Y=0247.030-0258.270 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1092 | X=0121.490-0398.700 | Y=0264.550-0275.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1092 | X=0121.490-0395.000 | Y=0282.340-0293.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1092 | X=0121.490-0372.710 | Y=0293.860-0305.100 | ra Đường tỉnh 765 đoạn từ Giáp ranh xã Xuân Đông đến
P=1092 | X=0121.490-0393.190 | Y=0305.380-0316.620 | Đường tổ 10 ấp 9 xã Sông Ray có hiện trạng là đường nhựa,
P=1092 | X=0121.490-0195.570 | Y=0316.900-0328.140 | bê tông xi măng:
P=1092 | X=0100.130-0111.250 | Y=0333.420-0342.740 | 48
P=1092 | X=0446.330-0462.970 | Y=0333.420-0342.740 | 310
P=1092 | X=0505.390-0522.030 | Y=0333.420-0342.740 | 200
P=1092 | X=0121.490-0353.040 | Y=0334.420-0345.660 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1092 | X=0121.490-0374.800 | Y=0351.700-0362.940 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1092 | X=0121.490-0216.460 | Y=0363.220-0374.460 | >500m đến ≤1.000m.
P=1092 | X=0121.490-0344.660 | Y=0380.760-0392.000 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1092 | X=0121.490-0395.000 | Y=0398.520-0409.760 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1092 | X=0121.490-0372.710 | Y=0410.040-0421.280 | ra Đường tỉnh 765 đoạn từ Giáp ranh xã Xuân Đông đến
P=1092 | X=0121.490-0393.190 | Y=0421.560-0432.800 | Đường tổ 10 ấp 9 xã Sông Ray có hiện trạng là đường nhựa,
P=1092 | X=0121.490-0195.570 | Y=0433.080-0444.320 | bê tông xi măng:
P=1092 | X=0100.130-0111.250 | Y=0440.960-0450.280 | 49
P=1092 | X=0446.330-0462.970 | Y=0440.960-0450.280 | 220
P=1092 | X=0505.390-0522.030 | Y=0440.960-0450.280 | 140
P=1092 | X=0121.490-0362.600 | Y=0450.620-0461.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1092 | X=0121.490-0163.630 | Y=0464.020-0473.340 | >1.000m.
P=1092 | X=0121.490-0345.130 | Y=0479.660-0490.900 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1092 | X=0121.490-0191.680 | Y=0497.420-0508.660 | Đường tỉnh 765
P=1092 | X=0224.740-0374.140 | Y=0497.420-0508.660 | Đường tổ 10 ấp 9 Cầu Suối Thề
P=1092 | X=0100.130-0111.250 | Y=0499.300-0508.620 | 50
P=1092 | X=0446.330-0462.970 | Y=0499.300-0508.620 | 530
P=1092 | X=0505.390-0522.030 | Y=0499.300-0508.620 | 400
P=1092 | X=0121.490-0389.030 | Y=0515.180-0526.420 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1092 | X=0121.490-0401.270 | Y=0526.460-0537.700 | 765 đoạn từ Đường tổ 10 ấp 9 đến Cầu Suối Thề có hiện trạng
P=1092 | X=0121.490-0267.820 | Y=0538.010-0549.250 | là đường nhựa, bê tông xi măng:
P=1092 | X=0100.130-0111.250 | Y=0545.890-0555.210 | 51
P=1092 | X=0446.330-0462.970 | Y=0545.890-0555.210 | 380
P=1092 | X=0505.390-0522.030 | Y=0545.890-0555.210 | 250
P=1092 | X=0121.490-0352.570 | Y=0555.530-0566.770 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1092 | X=0121.490-0398.680 | Y=0573.050-0584.290 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1092 | X=0121.490-0389.030 | Y=0590.810-0602.050 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1092 | X=0121.490-0401.270 | Y=0602.330-0613.570 | 765 đoạn từ Đường tổ 10 ấp 9 đến Cầu Suối Thề có hiện trạng
P=1092 | X=0121.490-0267.820 | Y=0613.850-0625.090 | là đường nhựa, bê tông xi măng:
P=1092 | X=0121.490-0353.040 | Y=0631.390-0642.630 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1092 | X=0100.130-0111.250 | Y=0636.150-0645.470 | 52
P=1092 | X=0446.330-0462.970 | Y=0636.150-0645.470 | 310
P=1092 | X=0505.390-0522.030 | Y=0636.150-0645.470 | 200
P=1092 | X=0121.490-0374.800 | Y=0648.910-0660.150 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1092 | X=0121.490-0216.460 | Y=0660.430-0671.670 | >500m đến ≤1.000m.
P=1092 | X=0121.490-0344.660 | Y=0677.950-0689.190 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1092 | X=0121.490-0389.030 | Y=0695.710-0706.950 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1092 | X=0100.130-0111.250 | Y=0703.380-0712.700 | 53
P=1092 | X=0446.330-0462.970 | Y=0703.380-0712.700 | 220
P=1092 | X=0505.390-0522.030 | Y=0703.380-0712.700 | 140
P=1092 | X=0121.490-0401.270 | Y=0707.250-0718.490 | 765 đoạn từ Đường tổ 10 ấp 9 đến Cầu Suối Thề có hiện trạng
P=1093 | X=0121.490-0267.820 | Y=0072.500-0083.740 | là đường nhựa, bê tông xi măng:
P=1093 | X=0121.490-0362.600 | Y=0090.020-0101.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1093 | X=0121.490-0163.630 | Y=0103.420-0112.740 | >1.000m.
P=1093 | X=0121.490-0345.130 | Y=0119.090-0130.330 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1093 | X=0121.490-0395.000 | Y=0136.850-0148.090 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1093 | X=0121.490-0385.410 | Y=0148.370-0159.610 | ra Đường tỉnh 765 đoạn từ Đường tổ 10 ấp 9 đến Cầu Suối
P=1093 | X=0121.490-0348.490 | Y=0159.650-0170.890 | Thề có hiện trạng là đường nhựa, bê tông xi măng:
P=1093 | X=0100.130-0111.250 | Y=0167.530-0176.850 | 54
P=1093 | X=0446.330-0462.970 | Y=0167.530-0176.850 | 380
P=1093 | X=0505.390-0522.030 | Y=0167.530-0176.850 | 250
P=1093 | X=0121.490-0352.570 | Y=0177.170-0188.410 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1093 | X=0121.490-0398.680 | Y=0194.690-0205.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1093 | X=0121.490-0395.000 | Y=0212.470-0223.710 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1093 | X=0121.490-0385.410 | Y=0223.990-0235.230 | ra Đường tỉnh 765 đoạn từ Đường tổ 10 ấp 9 đến Cầu Suối
P=1093 | X=0121.490-0348.490 | Y=0235.510-0246.750 | Thề có hiện trạng là đường nhựa, bê tông xi măng:
P=1093 | X=0121.490-0353.040 | Y=0253.030-0264.270 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1093 | X=0100.130-0111.250 | Y=0257.790-0267.110 | 55
P=1093 | X=0446.330-0462.970 | Y=0257.790-0267.110 | 310
P=1093 | X=0505.390-0522.030 | Y=0257.790-0267.110 | 200
P=1093 | X=0121.490-0374.800 | Y=0270.550-0281.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1093 | X=0121.490-0216.460 | Y=0282.100-0293.340 | >500m đến ≤1.000m.
P=1093 | X=0121.490-0344.660 | Y=0299.620-0310.860 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1093 | X=0121.490-0395.000 | Y=0317.380-0328.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1093 | X=0121.490-0385.410 | Y=0328.900-0340.140 | ra Đường tỉnh 765 đoạn từ Đường tổ 10 ấp 9 đến Cầu Suối
P=1093 | X=0121.490-0348.490 | Y=0340.420-0351.660 | Thề có hiện trạng là đường nhựa, bê tông xi măng:
P=1093 | X=0100.130-0111.250 | Y=0353.820-0363.140 | 56
P=1093 | X=0446.330-0462.970 | Y=0353.820-0363.140 | 220
P=1093 | X=0505.390-0522.030 | Y=0353.820-0363.140 | 140
P=1093 | X=0121.490-0362.600 | Y=0357.700-0368.940 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1093 | X=0121.490-0163.630 | Y=0371.120-0380.440 | >1.000m.
P=1093 | X=0121.490-0345.130 | Y=0386.760-0398.000 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1093 | X=0121.490-0191.680 | Y=0404.520-0415.760 | Đường tỉnh 765
P=1093 | X=0100.130-0111.250 | Y=0406.400-0415.720 | 57
P=1093 | X=0224.740-0286.020 | Y=0406.400-0415.720 | Cầu Suối Thề
P=1093 | X=0312.840-0395.940 | Y=0406.400-0415.720 | Hết chùa Thiên Ân
P=1093 | X=0446.330-0462.970 | Y=0406.400-0415.720 | 530
P=1093 | X=0505.390-0522.030 | Y=0406.400-0415.720 | 400
P=1093 | X=0121.490-0389.030 | Y=0422.280-0433.520 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=1093 | X=0121.490-0379.660 | Y=0433.800-0445.040 | 765 đoạn từ Cầu Suối Thề đến Hết chùa Thiên Ân có hiện
P=1093 | X=0121.490-0293.270 | Y=0445.320-0456.560 | trạng là đường nhựa, bê tông xi măng:
P=1093 | X=0100.130-0111.250 | Y=0453.220-0462.540 | 58
