TABLE=004 | AREA=Phường Long Bình | SECTION=agricultural | SEGMENTS=1
P=0142 | X=0316.920-0385.900 | Y=0351.700-0362.940 | Đường Nguyễn
P=0142 | X=0097.970-0270.900 | Y=0357.460-0368.700 | 29 Đường Hoàng Văn Bổn Quốc lộ 1
P=0142 | X=0441.050-0466.100 | Y=0359.340-0368.660 | 1.500
P=0142 | X=0505.390-0522.030 | Y=0359.340-0368.660 | 970
P=0142 | X=0316.920-0365.510 | Y=0363.220-0374.460 | Trường Tộ
P=0142 | X=0117.410-0397.910 | Y=0381.000-0392.240 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hoàng
P=0142 | X=0117.410-0394.540 | Y=0392.520-0403.760 | Văn Bổn đoạn từ Quốc lộ 1 đến Đường Nguyễn Trường Tộ có
P=0142 | X=0117.410-0311.050 | Y=0404.040-0415.280 | hiện trạng là đường nhựa, bê tông xi măng:
P=0142 | X=0097.970-0109.090 | Y=0411.920-0421.240 | 30
P=0142 | X=0441.050-0466.100 | Y=0411.920-0421.240 | 1.030
P=0142 | X=0505.390-0522.030 | Y=0411.920-0421.240 | 680
P=0142 | X=0117.410-0340.320 | Y=0421.560-0432.800 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0142 | X=0117.410-0394.600 | Y=0439.080-0450.320 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0142 | X=0117.410-0397.910 | Y=0456.860-0468.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hoàng
P=0142 | X=0117.410-0394.540 | Y=0468.380-0479.620 | Văn Bổn đoạn từ Quốc lộ 1 đến Đường Nguyễn Trường Tộ có
P=0142 | X=0117.410-0311.050 | Y=0479.900-0491.140 | hiện trạng là đường nhựa, bê tông xi măng:
P=0142 | X=0097.970-0340.580 | Y=0497.420-0511.500 | 31 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0142 | X=0449.210-0465.850 | Y=0502.180-0511.500 | 860
P=0142 | X=0505.390-0522.030 | Y=0502.180-0511.500 | 570
P=0142 | X=0117.410-0404.300 | Y=0514.940-0526.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0142 | X=0117.410-0170.370 | Y=0526.220-0537.460 | đến ≤600m.
P=0142 | X=0117.410-0340.580 | Y=0543.770-0555.010 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0142 | X=0117.410-0397.910 | Y=0561.530-0572.770 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hoàng
P=0142 | X=0117.410-0394.540 | Y=0573.050-0584.290 | Văn Bổn đoạn từ Quốc lộ 1 đến Đường Nguyễn Trường Tộ có
P=0142 | X=0117.410-0311.050 | Y=0584.570-0595.810 | hiện trạng là đường nhựa, bê tông xi măng:
P=0142 | X=0097.970-0109.090 | Y=0592.450-0601.770 | 32
P=0142 | X=0449.210-0465.850 | Y=0592.450-0601.770 | 670
P=0142 | X=0505.390-0522.030 | Y=0592.450-0601.770 | 450
P=0142 | X=0117.410-0394.840 | Y=0602.090-0613.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0142 | X=0117.410-0341.050 | Y=0619.630-0630.870 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0142 | X=0117.410-0402.670 | Y=0637.390-0648.630 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0142 | X=0117.410-0396.230 | Y=0648.910-0660.150 | Đường Hoàng Văn Bổn đoạn từ Quốc lộ 1 đến Đường Nguyễn
P=0142 | X=0117.410-0375.150 | Y=0660.430-0671.670 | Trường Tộ có hiện trạng là đường nhựa, bê tông xi măng:
P=0142 | X=0097.970-0109.090 | Y=0668.310-0677.630 | 33
P=0142 | X=0441.050-0466.100 | Y=0668.310-0677.630 | 1.030
P=0142 | X=0505.390-0522.030 | Y=0668.310-0677.630 | 680
P=0142 | X=0117.410-0340.320 | Y=0677.950-0689.190 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0142 | X=0117.410-0394.600 | Y=0695.470-0706.710 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0143 | X=0117.410-0402.670 | Y=0078.500-0089.740 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0143 | X=0117.410-0396.230 | Y=0090.020-0101.260 | Đường Hoàng Văn Bổn đoạn từ Quốc lộ 1 đến Đường Nguyễn
P=0143 | X=0117.410-0375.150 | Y=0101.540-0112.780 | Trường Tộ có hiện trạng là đường nhựa, bê tông xi măng:
P=0143 | X=0097.970-0340.580 | Y=0119.090-0133.170 | 34 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0143 | X=0449.210-0465.850 | Y=0123.850-0133.170 | 860
P=0143 | X=0505.390-0522.030 | Y=0123.850-0133.170 | 570
P=0143 | X=0117.410-0404.300 | Y=0136.610-0147.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0143 | X=0117.410-0170.370 | Y=0148.130-0159.370 | đến ≤600m.
P=0143 | X=0117.410-0340.580 | Y=0165.410-0176.650 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0143 | X=0117.410-0402.670 | Y=0183.170-0194.410 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0143 | X=0117.410-0396.230 | Y=0194.690-0205.930 | Đường Hoàng Văn Bổn đoạn từ Quốc lộ 1 đến Đường Nguyễn
P=0143 | X=0117.410-0375.150 | Y=0206.230-0217.470 | Trường Tộ có hiện trạng là đường nhựa, bê tông xi măng:
P=0143 | X=0097.970-0109.090 | Y=0214.110-0223.430 | 35
P=0143 | X=0449.210-0465.850 | Y=0214.110-0223.430 | 670
P=0143 | X=0505.390-0522.030 | Y=0214.110-0223.430 | 450
P=0143 | X=0117.410-0394.840 | Y=0223.750-0234.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0143 | X=0117.410-0343.700 | Y=0241.270-0252.510 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0143 | X=0227.860-0296.840 | Y=0259.030-0270.270 | Đường Nguyễn
P=0143 | X=0316.920-0403.790 | Y=0260.910-0270.230 | Giáp ranh Nhà máy
P=0143 | X=0097.970-0222.630 | Y=0264.790-0276.030 | 36 Đường Hoàng Văn Bổn
P=0143 | X=0441.050-0466.100 | Y=0266.670-0275.990 | 1.500
P=0143 | X=0505.390-0522.030 | Y=0266.670-0275.990 | 970
P=0143 | X=0227.860-0276.430 | Y=0270.550-0281.790 | Trường Tộ
P=0143 | X=0316.920-0388.780 | Y=0270.550-0281.790 | nước Thiện Tân
P=0143 | X=0117.410-0397.910 | Y=0288.340-0299.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hoàng
P=0143 | X=0117.410-0402.930 | Y=0299.860-0311.100 | Văn Bổn đoạn từ Đường Nguyễn Trường Tộ đến Giáp ranh Nhà
P=0143 | X=0117.410-0389.720 | Y=0311.380-0322.620 | máy nước Thiện Tân có hiện trạng là đường nhựa, bê tông xi
P=0143 | X=0097.970-0145.410 | Y=0322.900-0334.340 | 37 măng:
P=0143 | X=0441.050-0466.100 | Y=0325.020-0334.340 | 1.030
P=0143 | X=0505.390-0522.030 | Y=0325.020-0334.340 | 680
P=0143 | X=0117.410-0340.320 | Y=0340.420-0351.660 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0143 | X=0117.410-0394.600 | Y=0357.700-0368.940 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0143 | X=0117.410-0397.910 | Y=0375.480-0386.720 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hoàng
P=0143 | X=0117.410-0402.930 | Y=0387.000-0398.240 | Văn Bổn đoạn từ Đường Nguyễn Trường Tộ đến Giáp ranh Nhà
P=0143 | X=0117.410-0389.720 | Y=0398.520-0409.760 | máy nước Thiện Tân có hiện trạng là đường nhựa, bê tông xi
P=0143 | X=0117.410-0145.410 | Y=0410.040-0421.280 | măng:
P=0143 | X=0097.970-0340.580 | Y=0426.800-0438.800 | 38 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0143 | X=0449.210-0465.850 | Y=0426.800-0436.120 | 860
P=0143 | X=0505.390-0522.030 | Y=0426.800-0436.120 | 570
P=0143 | X=0117.410-0404.300 | Y=0445.080-0456.320 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0143 | X=0117.410-0170.370 | Y=0456.620-0467.860 | đến ≤600m.
P=0143 | X=0117.410-0340.580 | Y=0474.140-0485.380 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0143 | X=0117.410-0397.910 | Y=0491.900-0503.140 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hoàng
P=0143 | X=0117.410-0402.950 | Y=0503.420-0514.660 | Văn Bổn đoạn từ Đường Nguyễn Trường Tộ đến Giáp ranh Nhà
P=0143 | X=0117.410-0389.720 | Y=0514.940-0526.180 | máy nước Thiện Tân có hiện trạng là đường nhựa, bê tông xi
P=0143 | X=0097.970-0145.410 | Y=0526.220-0537.660 | 39 măng:
P=0143 | X=0449.210-0465.850 | Y=0528.340-0537.660 | 670
P=0143 | X=0505.390-0522.030 | Y=0528.340-0537.660 | 450
P=0143 | X=0117.410-0394.840 | Y=0543.770-0555.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0143 | X=0117.410-0341.050 | Y=0561.290-0572.530 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0143 | X=0117.410-0402.670 | Y=0579.050-0590.290 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0143 | X=0117.410-0401.980 | Y=0590.570-0601.810 | Đường Hoàng Văn Bổn đoạn từ Đường Nguyễn Trường Tộ đến
P=0143 | X=0117.410-0382.540 | Y=0602.090-0613.330 | Giáp ranh Nhà máy nước Thiện Tân có hiện trạng là đường
P=0143 | X=0097.970-0220.520 | Y=0613.610-0625.050 | 40 nhựa, bê tông xi măng:
P=0143 | X=0441.050-0466.100 | Y=0615.730-0625.050 | 1.030
P=0143 | X=0505.390-0522.030 | Y=0615.730-0625.050 | 680
P=0143 | X=0117.410-0340.320 | Y=0631.150-0642.390 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0143 | X=0117.410-0394.600 | Y=0648.670-0659.910 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0143 | X=0117.410-0402.670 | Y=0666.430-0677.670 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0143 | X=0117.410-0401.980 | Y=0677.950-0689.190 | Đường Hoàng Văn Bổn đoạn từ Đường Nguyễn Trường Tộ đến
P=0143 | X=0097.970-0109.090 | Y=0685.590-0694.910 | 41
P=0143 | X=0449.210-0465.850 | Y=0685.590-0694.910 | 860
P=0143 | X=0505.390-0522.030 | Y=0685.590-0694.910 | 570
P=0143 | X=0117.410-0382.540 | Y=0689.470-0700.710 | Giáp ranh Nhà máy nước Thiện Tân có hiện trạng là đường
P=0143 | X=0117.410-0220.520 | Y=0700.770-0712.010 | nhựa, bê tông xi măng:
P=0144 | X=0117.410-0340.580 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0144 | X=0117.410-0404.300 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0144 | X=0117.410-0170.370 | Y=0107.540-0118.780 | đến ≤600m.
P=0144 | X=0117.410-0340.580 | Y=0125.090-0136.330 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0144 | X=0117.410-0402.670 | Y=0142.850-0154.090 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0144 | X=0117.410-0401.980 | Y=0154.370-0165.610 | Đường Hoàng Văn Bổn đoạn từ Đường Nguyễn Trường Tộ đến
P=0144 | X=0117.410-0382.540 | Y=0165.650-0176.890 | Giáp ranh Nhà máy nước Thiện Tân có hiện trạng là đường
P=0144 | X=0097.970-0220.520 | Y=0177.170-0188.610 | 42 nhựa, bê tông xi măng:
P=0144 | X=0449.210-0465.850 | Y=0179.290-0188.610 | 670
P=0144 | X=0505.390-0522.030 | Y=0179.290-0188.610 | 450
P=0144 | X=0117.410-0394.840 | Y=0194.690-0205.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0144 | X=0117.410-0343.700 | Y=0212.230-0223.470 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0144 | X=0316.920-0399.340 | Y=0229.990-0241.230 | Giáp ranh phường
P=0144 | X=0227.860-0314.730 | Y=0237.630-0246.950 | Giáp ranh Nhà máy
P=0144 | X=0097.970-0222.630 | Y=0241.510-0252.750 | 43 Đường Hoàng Văn Bổn
P=0144 | X=0316.920-0376.280 | Y=0243.390-0252.710 | Long Bình và
P=0144 | X=0441.050-0466.100 | Y=0243.390-0252.710 | 1.500
P=0144 | X=0505.390-0522.030 | Y=0243.390-0252.710 | 970
P=0144 | X=0227.860-0299.700 | Y=0247.270-0258.510 | nước Thiện Tân
P=0144 | X=0316.920-0399.100 | Y=0254.910-0264.230 | phường Trảng Dài
P=0144 | X=0117.410-0397.910 | Y=0270.790-0282.030 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hoàng
P=0144 | X=0117.410-0400.530 | Y=0282.340-0293.580 | Văn Bổn đoạn từ Giáp ranh Nhà máy nước Thiện Tân đến Giáp
P=0144 | X=0117.410-0393.810 | Y=0293.860-0305.100 | ranh phường Long Bình và phường Trảng Dài có hiện trạng là
P=0144 | X=0097.970-0253.180 | Y=0305.380-0316.820 | 44 đường nhựa, bê tông xi măng:
P=0144 | X=0441.050-0466.100 | Y=0307.500-0316.820 | 1.030
P=0144 | X=0505.390-0522.030 | Y=0307.500-0316.820 | 680
P=0144 | X=0117.410-0340.320 | Y=0322.900-0334.140 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0144 | X=0117.410-0394.600 | Y=0340.420-0351.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0144 | X=0117.410-0397.910 | Y=0357.940-0369.180 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hoàng
P=0144 | X=0117.410-0400.530 | Y=0369.480-0380.720 | Văn Bổn đoạn từ Giáp ranh Nhà máy nước Thiện Tân đến Giáp
P=0144 | X=0117.410-0393.810 | Y=0381.000-0392.240 | ranh phường Long Bình và phường Trảng Dài có hiện trạng là
P=0144 | X=0117.410-0253.180 | Y=0392.520-0403.760 | đường nhựa, bê tông xi măng:
P=0144 | X=0097.970-0340.580 | Y=0409.280-0421.280 | 45 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0144 | X=0449.210-0465.850 | Y=0409.280-0418.600 | 860
P=0144 | X=0505.390-0522.030 | Y=0409.280-0418.600 | 570
P=0144 | X=0117.410-0404.300 | Y=0427.560-0438.800 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0144 | X=0117.410-0170.370 | Y=0439.080-0450.320 | đến ≤600m.
P=0144 | X=0117.410-0340.580 | Y=0456.620-0467.860 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0144 | X=0117.410-0397.910 | Y=0474.380-0485.620 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Hoàng
P=0144 | X=0117.410-0400.530 | Y=0485.900-0497.140 | Văn Bổn đoạn từ Giáp ranh Nhà máy nước Thiện Tân đến Giáp
P=0144 | X=0117.410-0393.810 | Y=0497.420-0508.660 | ranh phường Long Bình và phường Trảng Dài có hiện trạng là
P=0144 | X=0097.970-0253.180 | Y=0508.940-0520.380 | 46 đường nhựa, bê tông xi măng:
P=0144 | X=0449.210-0465.850 | Y=0511.060-0520.380 | 670
P=0144 | X=0505.390-0522.030 | Y=0511.060-0520.380 | 450
P=0144 | X=0117.410-0394.840 | Y=0526.220-0537.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0144 | X=0117.410-0341.050 | Y=0543.770-0555.010 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0144 | X=0117.410-0402.670 | Y=0561.530-0572.770 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0144 | X=0117.410-0403.660 | Y=0573.050-0584.290 | Đường Hoàng Văn Bổn đoạn từ Giáp ranh Nhà máy nước Thiện
P=0144 | X=0117.410-0399.560 | Y=0584.570-0595.810 | Tân đến Giáp ranh phường Long Bình và phường Trảng Dài có
P=0144 | X=0097.970-0311.080 | Y=0596.090-0607.530 | 47 hiện trạng là đường nhựa, bê tông xi măng:
P=0144 | X=0441.050-0466.100 | Y=0598.210-0607.530 | 1.030
P=0144 | X=0505.390-0522.030 | Y=0598.210-0607.530 | 680
P=0144 | X=0117.410-0340.320 | Y=0613.610-0624.850 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0144 | X=0117.410-0394.600 | Y=0631.150-0642.390 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0144 | X=0117.410-0402.670 | Y=0648.910-0660.150 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0144 | X=0117.410-0403.660 | Y=0660.430-0671.670 | Đường Hoàng Văn Bổn đoạn từ Giáp ranh Nhà máy nước Thiện
P=0144 | X=0097.970-0399.560 | Y=0671.950-0686.030 | 48 Tân đến Giáp ranh phường Long Bình và phường Trảng Dài có
P=0144 | X=0449.210-0465.850 | Y=0676.710-0686.030 | 860
P=0144 | X=0505.390-0522.030 | Y=0676.710-0686.030 | 570
P=0144 | X=0117.410-0311.050 | Y=0683.470-0694.710 | hiện trạng là đường nhựa, bê tông xi măng:
P=0144 | X=0117.410-0340.580 | Y=0700.770-0712.010 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0145 | X=0117.410-0404.300 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0145 | X=0117.410-0170.370 | Y=0090.020-0101.260 | đến ≤600m.
P=0145 | X=0117.410-0340.580 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0145 | X=0117.410-0402.670 | Y=0125.330-0136.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0145 | X=0117.410-0403.660 | Y=0136.850-0148.090 | Đường Hoàng Văn Bổn đoạn từ Giáp ranh Nhà máy nước Thiện
P=0145 | X=0117.410-0399.560 | Y=0148.370-0159.610 | Tân đến Giáp ranh phường Long Bình và phường Trảng Dài có
P=0145 | X=0097.970-0311.050 | Y=0159.650-0171.330 | 49 hiện trạng là đường nhựa, bê tông xi măng:
P=0145 | X=0449.210-0465.850 | Y=0162.010-0171.330 | 670
P=0145 | X=0505.390-0522.030 | Y=0162.010-0171.330 | 450
P=0145 | X=0117.410-0394.840 | Y=0177.170-0188.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0145 | X=0117.410-0343.700 | Y=0194.690-0205.930 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0145 | X=0227.860-0304.040 | Y=0212.470-0223.710 | Đường bên hông
P=0145 | X=0227.860-0294.680 | Y=0225.870-0235.190 | giáo xứ Hà Nội
P=0145 | X=0316.920-0398.620 | Y=0229.750-0240.990 | Ranh giới phường
P=0145 | X=0227.860-0308.600 | Y=0235.510-0246.750 | (bên phải); đường
P=0145 | X=0097.970-0160.450 | Y=0237.390-0246.710 | 50 Quốc lộ 1
P=0145 | X=0441.050-0466.100 | Y=0237.390-0246.710 | 1.500
P=0145 | X=0505.390-0522.030 | Y=0237.390-0246.710 | 970
P=0145 | X=0316.920-0347.480 | Y=0243.150-0252.470 | Hố Nai
P=0145 | X=0227.860-0311.480 | Y=0248.910-0258.230 | chợ nhỏ khu phố 4
P=0145 | X=0227.860-0268.160 | Y=0260.430-0269.750 | (bên trái)
P=0145 | X=0117.410-0401.990 | Y=0276.310-0287.550 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn
P=0145 | X=0117.410-0398.140 | Y=0287.860-0299.100 | từ Đường bên hông giáo xứ Hà Nội (bên phải); đường chợ nhỏ
P=0145 | X=0117.410-0402.230 | Y=0299.380-0310.620 | khu phố 4 (bên trái) đến Ranh giới phường Hố Nai có hiện trạng
P=0145 | X=0097.970-0263.740 | Y=0310.900-0322.340 | 51 là đường nhựa, bê tông xi măng:
P=0145 | X=0441.050-0466.100 | Y=0313.020-0322.340 | 1.030
P=0145 | X=0505.390-0522.030 | Y=0313.020-0322.340 | 680
P=0145 | X=0117.410-0340.320 | Y=0328.420-0339.660 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0145 | X=0117.410-0394.600 | Y=0345.700-0356.940 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0145 | X=0117.410-0401.990 | Y=0363.460-0374.700 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn
P=0145 | X=0117.410-0398.140 | Y=0375.000-0386.240 | từ Đường bên hông giáo xứ Hà Nội (bên phải); đường chợ nhỏ
P=0145 | X=0117.410-0402.230 | Y=0386.520-0397.760 | khu phố 4 (bên trái) đến Ranh giới phường Hố Nai có hiện trạng
P=0145 | X=0117.410-0263.740 | Y=0398.040-0409.280 | là đường nhựa, bê tông xi măng:
P=0145 | X=0097.970-0340.580 | Y=0414.800-0426.800 | 52 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0145 | X=0449.210-0465.850 | Y=0414.800-0424.120 | 860
P=0145 | X=0505.390-0522.030 | Y=0414.800-0424.120 | 570
P=0145 | X=0117.410-0404.300 | Y=0433.080-0444.320 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0145 | X=0117.410-0170.370 | Y=0444.600-0455.840 | đến ≤600m.
P=0145 | X=0117.410-0340.580 | Y=0462.140-0473.380 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0145 | X=0117.410-0401.990 | Y=0479.900-0491.140 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 1 đoạn
P=0145 | X=0117.410-0398.140 | Y=0491.420-0502.660 | từ Đường bên hông giáo xứ Hà Nội (bên phải); đường chợ nhỏ
P=0145 | X=0117.410-0402.230 | Y=0502.940-0514.180 | khu phố 4 (bên trái) đến Ranh giới phường Hố Nai có hiện trạng
P=0145 | X=0097.970-0263.740 | Y=0514.220-0525.660 | 53 là đường nhựa, bê tông xi măng:
P=0145 | X=0449.210-0465.850 | Y=0516.340-0525.660 | 670
P=0145 | X=0505.390-0522.030 | Y=0516.340-0525.660 | 450
P=0145 | X=0117.410-0394.840 | Y=0531.740-0542.980 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0145 | X=0117.410-0341.050 | Y=0549.290-0560.530 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0145 | X=0117.410-0402.670 | Y=0567.050-0578.290 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0145 | X=0117.410-0396.530 | Y=0578.570-0589.810 | Quốc lộ 1 đoạn từ Đường bên hông giáo xứ Hà Nội (bên phải);
P=0145 | X=0117.410-0395.740 | Y=0590.090-0601.330 | đường chợ nhỏ khu phố 4 (bên trái) đến Ranh giới phường Hố
P=0145 | X=0097.970-0342.020 | Y=0601.610-0613.050 | 54 Nai có hiện trạng là đường nhựa, bê tông xi măng:
P=0145 | X=0441.050-0466.100 | Y=0603.730-0613.050 | 1.030
P=0145 | X=0505.390-0522.030 | Y=0603.730-0613.050 | 680
P=0145 | X=0117.410-0340.320 | Y=0619.150-0630.390 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0145 | X=0117.410-0394.600 | Y=0636.670-0647.910 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0145 | X=0117.410-0402.670 | Y=0654.430-0665.670 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0145 | X=0117.410-0396.530 | Y=0665.950-0677.190 | Quốc lộ 1 đoạn từ Đường bên hông giáo xứ Hà Nội (bên phải);
P=0145 | X=0097.970-0395.740 | Y=0677.470-0691.550 | 55 đường chợ nhỏ khu phố 4 (bên trái) đến Ranh giới phường Hố
P=0145 | X=0449.210-0465.850 | Y=0682.230-0691.550 | 860
P=0145 | X=0505.390-0522.030 | Y=0682.230-0691.550 | 570
P=0145 | X=0117.410-0342.020 | Y=0688.750-0699.990 | Nai có hiện trạng là đường nhựa, bê tông xi măng:
P=0145 | X=0117.410-0340.580 | Y=0706.290-0717.530 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0146 | X=0117.410-0404.300 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0146 | X=0117.410-0170.370 | Y=0090.020-0101.260 | đến ≤600m.
P=0146 | X=0117.410-0340.580 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0146 | X=0117.410-0402.670 | Y=0125.330-0136.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0146 | X=0117.410-0396.530 | Y=0136.850-0148.090 | Quốc lộ 1 đoạn từ Đường bên hông giáo xứ Hà Nội (bên phải);
P=0146 | X=0117.410-0395.740 | Y=0148.370-0159.610 | đường chợ nhỏ khu phố 4 (bên trái) đến Ranh giới phường Hố
P=0146 | X=0097.970-0342.020 | Y=0159.650-0171.330 | 56 Nai có hiện trạng là đường nhựa, bê tông xi măng:
P=0146 | X=0449.210-0465.850 | Y=0162.010-0171.330 | 670
P=0146 | X=0505.390-0522.030 | Y=0162.010-0171.330 | 450
P=0146 | X=0117.410-0394.840 | Y=0177.170-0188.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0146 | X=0117.410-0343.700 | Y=0194.690-0205.930 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0146 | X=0316.920-0398.690 | Y=0212.470-0223.710 | Nghĩa trang Liệt sĩ
P=0146 | X=0097.970-0206.990 | Y=0218.230-0229.470 | 57 Đường Võ Văn Mén
P=0146 | X=0227.860-0284.090 | Y=0220.110-0229.430 | Xa lộ Hà Nội
P=0146 | X=0441.050-0466.100 | Y=0220.110-0229.430 | 1.500
P=0146 | X=0505.390-0522.030 | Y=0220.110-0229.430 | 970
P=0146 | X=0316.920-0377.480 | Y=0223.990-0235.230 | tỉnh Đồng Nai
P=0146 | X=0117.410-0401.490 | Y=0241.750-0252.990 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Võ Văn
P=0146 | X=0117.410-0400.300 | Y=0253.270-0264.510 | Mén đoạn từ Xa lộ Hà Nội đến Nghĩa trang Liệt sĩ tỉnh Đồng Nai
P=0146 | X=0117.410-0324.260 | Y=0264.790-0276.030 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0146 | X=0097.970-0109.090 | Y=0272.670-0281.990 | 58
P=0146 | X=0441.050-0466.100 | Y=0272.670-0281.990 | 1.030
P=0146 | X=0505.390-0522.030 | Y=0272.670-0281.990 | 680
P=0146 | X=0117.410-0340.320 | Y=0282.340-0293.580 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0146 | X=0117.410-0394.600 | Y=0299.860-0311.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0146 | X=0117.410-0401.490 | Y=0317.620-0328.860 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Võ Văn
P=0146 | X=0117.410-0400.300 | Y=0329.140-0340.380 | Mén đoạn từ Xa lộ Hà Nội đến Nghĩa trang Liệt sĩ tỉnh Đồng Nai
P=0146 | X=0117.410-0324.260 | Y=0340.660-0351.900 | có hiện trạng là đường nhựa, bê tông xi măng:
