TABLE=031 | AREA=Xã Xuân Quế | SECTION=agricultural | SEGMENTS=1
P=1061 | X=0126.050-0402.990 | Y=0700.290-0711.530 | Thiết-Dầu Giây có hiện trạng là đường nhựa, bê tông xi măng:
P=1062 | X=0126.050-0357.130 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1062 | X=0126.050-0379.360 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1062 | X=0126.050-0221.020 | Y=0107.540-0118.780 | >500m đến ≤1.000m,
P=1062 | X=0126.050-0349.220 | Y=0125.090-0136.330 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1062 | X=0126.050-0411.310 | Y=0142.850-0154.090 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1062 | X=0126.050-0408.200 | Y=0154.370-0165.610 | Đường Trung tâm ấp 1 đoạn từ Đường Sông Nhạn-Dầu Giây đi
P=1062 | X=0126.050-0410.860 | Y=0165.650-0176.890 | qua Trường Tiểu học Sông Nhạn đến Giáp đường cao tốc Phan
P=1062 | X=0126.050-0402.990 | Y=0177.170-0188.410 | Thiết-Dầu Giây có hiện trạng là đường nhựa, bê tông xi măng:
P=1062 | X=0102.290-0113.410 | Y=0185.050-0194.370 | 28
P=1062 | X=0451.610-0468.250 | Y=0185.050-0194.370 | 180
P=1062 | X=0505.390-0522.030 | Y=0185.050-0194.370 | 110
P=1062 | X=0126.050-0375.610 | Y=0194.690-0205.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >
P=1062 | X=0126.050-0162.450 | Y=0208.110-0217.430 | 1.000m.
P=1062 | X=0126.050-0352.340 | Y=0223.750-0234.990 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=1062 | X=0231.220-0406.790 | Y=0241.510-0252.750 | Đường Sông Nhạn- Đường Lộ 25-Sông
P=1062 | X=0126.050-0213.030 | Y=0247.270-0258.510 | Đường ấp 4 đi ấp 1
P=1062 | X=0102.290-0113.410 | Y=0249.150-0258.470 | 29
P=1062 | X=0451.610-0468.250 | Y=0249.150-0258.470 | 470
P=1062 | X=0505.390-0522.030 | Y=0249.150-0258.470 | 330
P=1062 | X=0231.220-0273.210 | Y=0254.910-0264.230 | Dầu Giây
P=1062 | X=0320.520-0344.360 | Y=0254.910-0264.230 | Nhạn
P=1062 | X=0126.050-0407.250 | Y=0270.790-0282.030 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ấp 4 đi
P=1062 | X=0126.050-0399.980 | Y=0282.340-0293.580 | ấp 1 đoạn từ Đường Sông Nhạn-Dầu Giây đến Đường Lộ 25-
P=1062 | X=0126.050-0385.480 | Y=0293.860-0305.100 | Sông Nhạn có hiện trạng là đường nhựa, bê tông xi măng:
P=1062 | X=0102.290-0113.410 | Y=0301.740-0311.060 | 30
P=1062 | X=0451.610-0468.250 | Y=0301.740-0311.060 | 330
P=1062 | X=0505.390-0522.030 | Y=0301.740-0311.060 | 200
P=1062 | X=0126.050-0357.130 | Y=0311.380-0322.620 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1062 | X=0126.050-0403.240 | Y=0328.900-0340.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1062 | X=0126.050-0407.250 | Y=0346.660-0357.900 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ấp 4 đi
P=1062 | X=0126.050-0399.980 | Y=0357.940-0369.180 | ấp 1 đoạn từ Đường Sông Nhạn-Dầu Giây đến Đường Lộ 25-
P=1062 | X=0126.050-0385.480 | Y=0369.480-0380.720 | Sông Nhạn có hiện trạng là đường nhựa, bê tông xi măng:
P=1062 | X=0126.050-0357.600 | Y=0387.000-0398.240 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1062 | X=0102.290-0113.410 | Y=0392.000-0401.320 | 31
P=1062 | X=0451.610-0468.250 | Y=0392.000-0401.320 | 260
P=1062 | X=0505.390-0522.030 | Y=0392.000-0401.320 | 150
P=1062 | X=0126.050-0379.360 | Y=0404.520-0415.760 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1062 | X=0126.050-0221.020 | Y=0416.040-0427.280 | >500m đến ≤1.000m.
P=1062 | X=0126.050-0349.220 | Y=0433.560-0444.800 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1062 | X=0126.050-0407.250 | Y=0451.340-0462.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ấp 4 đi
P=1062 | X=0126.050-0399.980 | Y=0462.860-0474.100 | ấp 1 đoạn từ Đường Sông Nhạn-Dầu Giây đến Đường Lộ 25-
P=1062 | X=0126.050-0385.480 | Y=0474.380-0485.620 | Sông Nhạn có hiện trạng là đường nhựa, bê tông xi măng:
P=1062 | X=0102.290-0113.410 | Y=0488.020-0497.340 | 32
P=1062 | X=0451.610-0468.250 | Y=0488.020-0497.340 | 180
P=1062 | X=0505.390-0522.030 | Y=0488.020-0497.340 | 110
P=1062 | X=0126.050-0375.610 | Y=0491.900-0503.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >
P=1062 | X=0126.050-0162.450 | Y=0505.300-0514.620 | 1.000m.
P=1062 | X=0126.050-0352.340 | Y=0520.940-0532.180 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=1062 | X=0126.050-0411.310 | Y=0538.490-0549.730 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1062 | X=0126.050-0401.740 | Y=0550.010-0561.250 | Đường ấp 4 đi ấp 1 đoạn từ Đường Sông Nhạn-Dầu Giây đến
P=1062 | X=0126.050-0407.980 | Y=0561.530-0572.770 | Đường Lộ 25-Sông Nhạn có hiện trạng là đường nhựa, bê tông
P=1062 | X=0126.050-0163.880 | Y=0573.050-0584.290 | xi măng:
P=1062 | X=0102.290-0113.410 | Y=0575.170-0584.490 | 33
P=1062 | X=0451.610-0468.250 | Y=0575.170-0584.490 | 330
P=1062 | X=0505.390-0522.030 | Y=0575.170-0584.490 | 200
P=1062 | X=0126.050-0357.130 | Y=0590.570-0601.810 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1062 | X=0126.050-0403.240 | Y=0608.090-0619.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1062 | X=0126.050-0411.340 | Y=0625.870-0637.110 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1062 | X=0126.050-0401.740 | Y=0637.390-0648.630 | Đường ấp 4 đi ấp 1 đoạn từ Đường Sông Nhạn-Dầu Giây đến
P=1062 | X=0126.050-0407.980 | Y=0648.910-0660.150 | Đường Lộ 25-Sông Nhạn có hiện trạng là đường nhựa, bê tông
P=1062 | X=0126.050-0163.880 | Y=0660.430-0671.670 | xi măng:
P=1062 | X=0102.290-0113.410 | Y=0668.310-0677.630 | 34
P=1062 | X=0451.610-0468.250 | Y=0668.310-0677.630 | 260
P=1062 | X=0505.390-0522.030 | Y=0668.310-0677.630 | 150
P=1062 | X=0126.050-0357.130 | Y=0677.950-0689.190 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1062 | X=0126.050-0379.360 | Y=0695.470-0706.710 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1062 | X=0126.050-0221.020 | Y=0706.770-0718.010 | >500m đến ≤1.000m.
P=1063 | X=0126.050-0349.220 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1063 | X=0126.050-0411.310 | Y=0096.260-0107.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1063 | X=0126.050-0401.740 | Y=0107.780-0119.020 | Đường ấp 4 đi ấp 1 đoạn từ Đường Sông Nhạn-Dầu Giây đến
P=1063 | X=0126.050-0407.980 | Y=0119.330-0130.570 | Đường Lộ 25-Sông Nhạn có hiện trạng là đường nhựa, bê tông
P=1063 | X=0126.050-0163.880 | Y=0130.850-0142.090 | xi măng:
P=1063 | X=0102.290-0113.410 | Y=0138.730-0148.050 | 35
P=1063 | X=0451.610-0468.250 | Y=0138.730-0148.050 | 180
P=1063 | X=0505.390-0522.030 | Y=0138.730-0148.050 | 110
P=1063 | X=0126.050-0375.610 | Y=0148.370-0159.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >
P=1063 | X=0126.050-0162.450 | Y=0161.530-0170.850 | 1.000m.
P=1063 | X=0126.050-0352.340 | Y=0177.170-0188.410 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=1063 | X=0126.050-0217.840 | Y=0194.930-0206.170 | Đường Lộ 25 - Sông
P=1063 | X=0231.220-0308.600 | Y=0196.810-0206.130 | Sông Nhạn - Dầu
P=1063 | X=0320.520-0398.390 | Y=0196.810-0206.130 | Ranh giới xã Dầu
P=1063 | X=0102.290-0113.410 | Y=0202.590-0211.910 | 36
P=1063 | X=0451.610-0468.250 | Y=0202.590-0211.910 | 500
P=1063 | X=0505.390-0522.030 | Y=0202.590-0211.910 | 370
P=1063 | X=0126.050-0149.890 | Y=0208.350-0217.670 | Nhạn
P=1063 | X=0231.220-0252.090 | Y=0208.350-0217.670 | Giây
P=1063 | X=0320.520-0341.390 | Y=0208.350-0217.670 | Giây
P=1063 | X=0126.050-0408.380 | Y=0224.230-0235.470 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lộ 25 -
P=1063 | X=0126.050-0395.740 | Y=0235.750-0246.990 | Sông Nhạn đoạn từ Sông Nhạn - Dầu Giây đến Ranh giới xã
P=1063 | X=0126.050-0377.300 | Y=0247.270-0258.510 | Dầu Giây có hiện trạng là đường nhựa, bê tông xi măng:
P=1063 | X=0102.290-0113.410 | Y=0255.150-0264.470 | 37
P=1063 | X=0451.610-0468.250 | Y=0255.150-0264.470 | 350
P=1063 | X=0505.390-0522.030 | Y=0255.150-0264.470 | 230
P=1063 | X=0126.050-0357.130 | Y=0264.790-0276.030 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1063 | X=0126.050-0403.240 | Y=0282.340-0293.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1063 | X=0126.050-0408.380 | Y=0300.100-0311.340 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lộ 25 -
P=1063 | X=0126.050-0395.740 | Y=0311.620-0322.860 | Sông Nhạn đoạn từ Sông Nhạn - Dầu Giây đến Ranh giới xã
P=1063 | X=0126.050-0377.300 | Y=0323.140-0334.380 | Dầu Giây có hiện trạng là đường nhựa, bê tông xi măng:
P=1063 | X=0126.050-0357.600 | Y=0340.660-0351.900 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1063 | X=0102.290-0113.410 | Y=0345.420-0354.740 | 38
P=1063 | X=0451.610-0468.250 | Y=0345.420-0354.740 | 290
P=1063 | X=0505.390-0522.030 | Y=0345.420-0354.740 | 180
P=1063 | X=0126.050-0379.360 | Y=0357.940-0369.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1063 | X=0126.050-0221.020 | Y=0369.480-0380.720 | >500m đến ≤1.000m.
P=1063 | X=0126.050-0349.220 | Y=0387.000-0398.240 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1063 | X=0126.050-0408.380 | Y=0404.760-0416.000 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lộ 25 -
P=1063 | X=0126.050-0395.740 | Y=0416.280-0427.520 | Sông Nhạn đoạn từ Sông Nhạn - Dầu Giây đến Ranh giới xã
P=1063 | X=0126.050-0377.300 | Y=0427.800-0439.040 | Dầu Giây có hiện trạng là đường nhựa, bê tông xi măng:
P=1063 | X=0102.290-0113.410 | Y=0441.440-0450.760 | 39
P=1063 | X=0451.610-0468.250 | Y=0441.440-0450.760 | 200
P=1063 | X=0505.390-0522.030 | Y=0441.440-0450.760 | 130
P=1063 | X=0126.050-0375.610 | Y=0445.320-0456.560 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >
P=1063 | X=0126.050-0162.450 | Y=0458.740-0468.060 | 1.000m.
P=1063 | X=0126.050-0352.340 | Y=0474.380-0485.620 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=1063 | X=0126.050-0411.310 | Y=0492.140-0503.380 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1063 | X=0126.050-0404.620 | Y=0503.660-0514.900 | Đường Lộ 25 - Sông Nhạn đoạn từ Sông Nhạn - Dầu Giây đến
P=1063 | X=0126.050-0406.030 | Y=0515.180-0526.420 | Ranh giới xã Dầu Giây có hiện trạng là đường nhựa, bê tông xi
P=1063 | X=0126.050-0154.050 | Y=0526.460-0537.700 | măng:
P=1063 | X=0102.290-0113.410 | Y=0528.820-0538.140 | 40
P=1063 | X=0451.610-0468.250 | Y=0528.820-0538.140 | 350
P=1063 | X=0505.390-0522.030 | Y=0528.820-0538.140 | 230
P=1063 | X=0126.050-0357.130 | Y=0544.010-0555.250 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1063 | X=0126.050-0403.240 | Y=0561.530-0572.770 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1063 | X=0126.050-0411.310 | Y=0579.290-0590.530 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1063 | X=0126.050-0404.620 | Y=0590.810-0602.050 | Đường Lộ 25 - Sông Nhạn đoạn từ Sông Nhạn - Dầu Giây đến
P=1063 | X=0126.050-0406.030 | Y=0602.330-0613.570 | Ranh giới xã Dầu Giây có hiện trạng là đường nhựa, bê tông xi
P=1063 | X=0126.050-0154.050 | Y=0613.850-0625.090 | măng:
P=1063 | X=0102.290-0113.410 | Y=0630.390-0639.710 | 41
P=1063 | X=0451.610-0468.250 | Y=0630.390-0639.710 | 290
P=1063 | X=0505.390-0522.030 | Y=0630.390-0639.710 | 180
P=1063 | X=0126.050-0357.130 | Y=0631.390-0642.630 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1063 | X=0126.050-0379.360 | Y=0648.910-0660.150 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1063 | X=0126.050-0221.020 | Y=0660.430-0671.670 | >500m đến ≤1.000m.
P=1063 | X=0126.050-0349.220 | Y=0677.950-0689.190 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1063 | X=0126.050-0411.310 | Y=0695.710-0706.950 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1063 | X=0102.290-0113.410 | Y=0703.380-0712.700 | 42
P=1063 | X=0451.610-0468.250 | Y=0703.380-0712.700 | 200
P=1063 | X=0505.390-0522.030 | Y=0703.380-0712.700 | 130
P=1063 | X=0126.050-0404.620 | Y=0707.250-0718.490 | Đường Lộ 25 - Sông Nhạn đoạn từ Sông Nhạn - Dầu Giây đến
P=1064 | X=0126.050-0406.030 | Y=0072.500-0083.740 | Ranh giới xã Dầu Giây có hiện trạng là đường nhựa, bê tông xi
P=1064 | X=0126.050-0154.050 | Y=0084.020-0095.260 | măng:
P=1064 | X=0126.050-0375.610 | Y=0101.540-0112.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >
P=1064 | X=0126.050-0162.450 | Y=0114.940-0124.260 | 1.000m.
P=1064 | X=0126.050-0352.340 | Y=0130.610-0141.850 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=1064 | X=0231.220-0297.000 | Y=0148.370-0159.610 | Đường Lộ 25 -
P=1064 | X=0126.050-0213.030 | Y=0154.130-0165.370 | Đường ấp 4 đi ấp 6
P=1064 | X=0320.520-0390.710 | Y=0154.130-0165.370 | Đường tỉnh 773
P=1064 | X=0102.290-0113.410 | Y=0156.010-0165.330 | 43
P=1064 | X=0451.610-0468.250 | Y=0156.010-0165.330 | 500
P=1064 | X=0505.390-0522.030 | Y=0156.010-0165.330 | 370
P=1064 | X=0231.220-0281.230 | Y=0161.530-0170.850 | Sông Nhạn
P=1064 | X=0126.050-0407.250 | Y=0177.410-0188.650 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ấp 4 đi
P=1064 | X=0126.050-0409.660 | Y=0188.930-0200.170 | ấp 6 đoạn từ Đường Lộ 25 - Sông Nhạn đến Đường tỉnh 773 có
P=1064 | X=0126.050-0319.690 | Y=0200.470-0211.710 | hiện trạng là đường nhựa, bê tông xi măng:
P=1064 | X=0102.290-0113.410 | Y=0208.350-0217.670 | 44
P=1064 | X=0451.610-0468.250 | Y=0208.350-0217.670 | 350
P=1064 | X=0505.390-0522.030 | Y=0208.350-0217.670 | 230
P=1064 | X=0126.050-0357.130 | Y=0217.990-0229.230 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1064 | X=0126.050-0403.240 | Y=0235.510-0246.750 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1064 | X=0126.050-0407.250 | Y=0253.270-0264.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ấp 4 đi
P=1064 | X=0126.050-0409.660 | Y=0264.790-0276.030 | ấp 6 đoạn từ Đường Lộ 25 - Sông Nhạn đến Đường tỉnh 773 có
P=1064 | X=0126.050-0319.690 | Y=0276.310-0287.550 | hiện trạng là đường nhựa, bê tông xi măng:
P=1064 | X=0126.050-0357.600 | Y=0293.860-0305.100 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1064 | X=0102.290-0113.410 | Y=0298.620-0307.940 | 45
P=1064 | X=0451.610-0468.250 | Y=0298.620-0307.940 | 290
P=1064 | X=0505.390-0522.030 | Y=0298.620-0307.940 | 180
P=1064 | X=0126.050-0379.360 | Y=0311.380-0322.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1064 | X=0126.050-0221.020 | Y=0322.900-0334.140 | >500m đến ≤1.000m.
P=1064 | X=0126.050-0349.220 | Y=0340.420-0351.660 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1064 | X=0126.050-0407.250 | Y=0357.940-0369.180 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ấp 4 đi
P=1064 | X=0126.050-0409.660 | Y=0369.480-0380.720 | ấp 6 đoạn từ Đường Lộ 25 - Sông Nhạn đến Đường tỉnh 773 có
P=1064 | X=0126.050-0319.690 | Y=0381.000-0392.240 | hiện trạng là đường nhựa, bê tông xi măng:
P=1064 | X=0102.290-0113.410 | Y=0394.640-0403.960 | 46
P=1064 | X=0451.610-0468.250 | Y=0394.640-0403.960 | 200
P=1064 | X=0505.390-0522.030 | Y=0394.640-0403.960 | 130
P=1064 | X=0126.050-0375.610 | Y=0398.520-0409.760 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >
P=1064 | X=0126.050-0162.450 | Y=0411.920-0421.240 | 1.000m.
P=1064 | X=0126.050-0352.370 | Y=0427.560-0438.800 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=1064 | X=0126.050-0411.310 | Y=0445.320-0456.560 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1064 | X=0126.050-0390.710 | Y=0456.860-0468.100 | Đường ấp 4 đi ấp 6 đoạn từ Đường Lộ 25 - Sông Nhạn đến
P=1064 | X=0126.050-0405.630 | Y=0468.380-0479.620 | Đường tỉnh 773 có hiện trạng là đường nhựa, bê tông xi măng:
P=1064 | X=0102.290-0113.410 | Y=0476.260-0485.580 | 47
P=1064 | X=0451.610-0468.250 | Y=0476.260-0485.580 | 350
P=1064 | X=0505.390-0522.030 | Y=0476.260-0485.580 | 230
P=1064 | X=0126.050-0357.130 | Y=0485.900-0497.140 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1064 | X=0126.050-0403.240 | Y=0503.420-0514.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1064 | X=0126.050-0411.310 | Y=0521.180-0532.420 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1064 | X=0126.050-0390.710 | Y=0532.490-0543.730 | Đường ấp 4 đi ấp 6 đoạn từ Đường Lộ 25 - Sông Nhạn đến
P=1064 | X=0126.050-0405.630 | Y=0544.010-0555.250 | Đường tỉnh 773 có hiện trạng là đường nhựa, bê tông xi măng:
P=1064 | X=0126.050-0357.130 | Y=0561.530-0572.770 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1064 | X=0102.290-0113.410 | Y=0566.530-0575.850 | 48
P=1064 | X=0451.610-0468.250 | Y=0566.530-0575.850 | 290
P=1064 | X=0505.390-0522.030 | Y=0566.530-0575.850 | 180
P=1064 | X=0126.050-0379.360 | Y=0579.050-0590.290 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1064 | X=0126.050-0221.020 | Y=0590.570-0601.810 | >500m đến ≤1.000m.
P=1064 | X=0126.050-0349.220 | Y=0608.090-0619.330 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1064 | X=0126.050-0411.310 | Y=0625.870-0637.110 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1064 | X=0126.050-0390.710 | Y=0637.390-0648.630 | Đường ấp 4 đi ấp 6 đoạn từ Đường Lộ 25 - Sông Nhạn đến
P=1064 | X=0126.050-0405.630 | Y=0648.910-0660.150 | Đường tỉnh 773 có hiện trạng là đường nhựa, bê tông xi măng:
P=1064 | X=0102.290-0113.410 | Y=0662.550-0671.870 | 49
P=1064 | X=0451.610-0468.250 | Y=0662.550-0671.870 | 200
P=1064 | X=0505.390-0522.030 | Y=0662.550-0671.870 | 130
P=1064 | X=0126.050-0375.610 | Y=0666.430-0677.670 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >
P=1064 | X=0126.050-0162.450 | Y=0679.830-0689.150 | 1.000m.
P=1064 | X=0126.050-0352.340 | Y=0695.470-0706.710 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=1065 | X=0126.050-0228.390 | Y=0078.500-0089.740 | Đường Suối Đục - Cầu
P=1065 | X=0231.220-0301.390 | Y=0084.260-0095.500 | Đường tỉnh 773
P=1065 | X=0102.290-0113.410 | Y=0086.140-0095.460 | 50
P=1065 | X=0320.520-0371.260 | Y=0086.140-0095.460 | Xã Bình An
P=1065 | X=0451.610-0468.250 | Y=0086.140-0095.460 | 500
P=1065 | X=0505.390-0522.030 | Y=0086.140-0095.460 | 370
P=1065 | X=0126.050-0145.570 | Y=0091.900-0101.220 | Mên
P=1065 | X=0126.050-0397.180 | Y=0107.780-0119.020 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Suối
P=1065 | X=0126.050-0411.590 | Y=0119.330-0130.570 | Đục - Cầu Mên đoạn từ Đường tỉnh 773 đến Xã Bình An có hiện
P=1065 | X=0126.050-0297.830 | Y=0130.850-0142.090 | trạng là đường nhựa, bê tông xi măng:
P=1065 | X=0102.290-0113.410 | Y=0138.730-0148.050 | 51
P=1065 | X=0451.610-0468.250 | Y=0138.730-0148.050 | 350
P=1065 | X=0505.390-0522.030 | Y=0138.730-0148.050 | 230
P=1065 | X=0126.050-0357.130 | Y=0148.370-0159.610 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1065 | X=0126.050-0403.240 | Y=0165.650-0176.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1065 | X=0126.050-0397.180 | Y=0183.410-0194.650 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Suối
P=1065 | X=0126.050-0411.590 | Y=0194.930-0206.170 | Đục - Cầu Mên đoạn từ Đường tỉnh 773 đến Xã Bình An có hiện
P=1065 | X=0126.050-0297.830 | Y=0206.470-0217.710 | trạng là đường nhựa, bê tông xi măng:
P=1065 | X=0126.050-0357.600 | Y=0223.990-0235.230 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1065 | X=0102.290-0113.410 | Y=0228.990-0238.310 | 52
P=1065 | X=0451.610-0468.250 | Y=0228.990-0238.310 | 290
P=1065 | X=0505.390-0522.030 | Y=0228.990-0238.310 | 180
P=1065 | X=0126.050-0379.360 | Y=0241.510-0252.750 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1065 | X=0126.050-0221.020 | Y=0253.030-0264.270 | >500m đến ≤1.000m.
P=1065 | X=0126.050-0349.220 | Y=0270.550-0281.790 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1065 | X=0126.050-0397.180 | Y=0288.340-0299.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Suối
P=1065 | X=0126.050-0411.590 | Y=0299.860-0311.100 | Đục - Cầu Mên đoạn từ Đường tỉnh 773 đến Xã Bình An có hiện
P=1065 | X=0126.050-0297.840 | Y=0311.380-0322.620 | trạng là đường nhựa, bê tông xi măng:
P=1065 | X=0102.290-0113.410 | Y=0325.020-0334.340 | 53
P=1065 | X=0451.610-0468.250 | Y=0325.020-0334.340 | 200
P=1065 | X=0505.390-0522.030 | Y=0325.020-0334.340 | 130
P=1065 | X=0126.050-0375.610 | Y=0328.900-0340.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >
P=1065 | X=0126.050-0162.450 | Y=0342.300-0351.620 | 1.000m.
P=1065 | X=0126.050-0352.340 | Y=0357.700-0368.940 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=1065 | X=0126.050-0411.310 | Y=0375.480-0386.720 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1065 | X=0126.050-0394.790 | Y=0387.000-0398.240 | Đường Suối Đục - Cầu Mên đoạn từ Đường tỉnh 773 đến Xã
P=1065 | X=0126.050-0371.300 | Y=0398.520-0409.760 | Bình An có hiện trạng là đường nhựa, bê tông xi măng:
P=1065 | X=0102.290-0113.410 | Y=0406.400-0415.720 | 54
P=1065 | X=0451.610-0468.250 | Y=0406.400-0415.720 | 350
P=1065 | X=0505.390-0522.030 | Y=0406.400-0415.720 | 230
P=1065 | X=0126.050-0357.130 | Y=0416.040-0427.280 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1065 | X=0126.050-0403.240 | Y=0433.560-0444.800 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1065 | X=0126.050-0411.310 | Y=0451.340-0462.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1065 | X=0126.050-0394.790 | Y=0462.860-0474.100 | Đường Suối Đục - Cầu Mên đoạn từ Đường tỉnh 773 đến Xã
P=1065 | X=0126.050-0371.300 | Y=0474.380-0485.620 | Bình An có hiện trạng là đường nhựa, bê tông xi măng:
P=1065 | X=0126.050-0357.130 | Y=0491.900-0503.140 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1065 | X=0102.290-0113.410 | Y=0496.660-0505.980 | 55
P=1065 | X=0451.610-0468.250 | Y=0496.660-0505.980 | 290
P=1065 | X=0505.390-0522.030 | Y=0496.660-0505.980 | 180
P=1065 | X=0126.050-0379.360 | Y=0509.420-0520.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1065 | X=0126.050-0221.020 | Y=0520.940-0532.180 | >500m đến ≤1.000m.
P=1065 | X=0126.050-0349.240 | Y=0538.250-0549.490 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1065 | X=0126.050-0411.310 | Y=0556.010-0567.250 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1065 | X=0126.050-0394.790 | Y=0567.530-0578.770 | Đường Suối Đục - Cầu Mên đoạn từ Đường tỉnh 773 đến Xã
P=1065 | X=0126.050-0371.300 | Y=0579.050-0590.290 | Bình An có hiện trạng là đường nhựa, bê tông xi măng:
P=1065 | X=0102.290-0113.410 | Y=0592.690-0602.010 | 56
P=1065 | X=0451.610-0468.250 | Y=0592.690-0602.010 | 200
P=1065 | X=0505.390-0522.030 | Y=0592.690-0602.010 | 130
