TABLE=012 | AREA=Xã Bình An | SECTION=agricultural | SEGMENTS=1
P=0401 | X=0097.250-0347.520 | Y=0602.810-0617.130 | 31 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0401 | X=0454.970-0471.610 | Y=0607.810-0617.130 | 350
P=0401 | X=0505.390-0522.030 | Y=0607.810-0617.130 | 310
P=0401 | X=0115.970-0402.860 | Y=0620.350-0631.590 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0401 | X=0115.970-0177.090 | Y=0631.870-0643.110 | đến ≤1.000m.
P=0401 | X=0115.970-0339.160 | Y=0649.390-0660.630 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0401 | X=0115.970-0406.070 | Y=0667.150-0678.390 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Vũ Hồng
P=0401 | X=0115.970-0400.790 | Y=0678.670-0689.910 | Phô đoạn từ Đường Lê Duẩn đến Đường Trường Chinh có hiện
P=0401 | X=0097.250-0287.750 | Y=0689.190-0701.430 | 32 trạng là đường nhựa, bê tông xi măng:
P=0401 | X=0454.970-0471.610 | Y=0689.190-0698.510 | 230
P=0401 | X=0505.390-0522.030 | Y=0689.190-0698.510 | 230
P=0401 | X=0115.970-0401.810 | Y=0707.730-0718.970 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m,
P=0402 | X=0115.970-0339.610 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0402 | X=0115.970-0401.230 | Y=0096.260-0107.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0402 | X=0115.970-0412.780 | Y=0107.780-0119.020 | Đường Vũ Hồng Phô đoạn từ Đường Lê Duẩn đến Đường Trường
P=0402 | X=0115.970-0351.850 | Y=0119.330-0130.570 | Chinh có hiện trạng là đường nhựa, bê tông xi măng:
P=0402 | X=0097.250-0108.370 | Y=0127.210-0136.530 | 33
P=0402 | X=0454.970-0471.610 | Y=0127.210-0136.530 | 450
P=0402 | X=0505.390-0522.030 | Y=0127.210-0136.530 | 380
P=0402 | X=0115.970-0347.090 | Y=0136.850-0148.090 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0402 | X=0115.970-0390.290 | Y=0154.370-0165.610 | - Có bề rộng từ ≥3m đến <5m cách đường giao thông ≤500m.
P=0402 | X=0115.970-0401.230 | Y=0172.130-0183.370 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0402 | X=0115.970-0412.780 | Y=0183.410-0194.650 | Đường Vũ Hồng Phô đoạn từ Đường Lê Duẩn đến Đường Trường
P=0402 | X=0115.970-0351.850 | Y=0194.930-0206.170 | Chinh có hiện trạng là đường nhựa, bê tông xi măng:
P=0402 | X=0097.250-0350.170 | Y=0212.470-0226.790 | 34 - Có bề rộng ≥5m, cách đường giao thông > 1.000m.
P=0402 | X=0454.970-0471.610 | Y=0217.470-0226.790 | 350
P=0402 | X=0505.390-0522.030 | Y=0217.470-0226.790 | 310
P=0402 | X=0115.970-0402.860 | Y=0229.990-0241.230 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0402 | X=0115.970-0177.090 | Y=0241.510-0252.750 | đến ≤1.000m.
P=0402 | X=0115.970-0339.140 | Y=0259.030-0270.270 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0402 | X=0115.970-0401.230 | Y=0276.790-0288.030 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0402 | X=0115.970-0412.780 | Y=0288.340-0299.580 | Đường Vũ Hồng Phô đoạn từ Đường Lê Duẩn đến Đường Trường
P=0402 | X=0115.970-0351.850 | Y=0299.860-0311.100 | Chinh có hiện trạng là đường nhựa, bê tông xi măng:
P=0402 | X=0097.250-0108.370 | Y=0307.740-0317.060 | 35
P=0402 | X=0454.970-0471.610 | Y=0307.740-0317.060 | 230
P=0402 | X=0505.390-0522.030 | Y=0307.740-0317.060 | 230
P=0402 | X=0115.970-0404.430 | Y=0317.380-0328.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông > 1.000m.
P=0402 | X=0115.970-0339.610 | Y=0334.900-0346.140 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0402 | X=0333.480-0406.940 | Y=0352.660-0363.900 | Đường Tôn Đức
P=0402 | X=0097.250-0289.620 | Y=0358.420-0369.660 | 36 Đường Trần Văn Ơn Đường Lê Duẩn
P=0402 | X=0454.970-0471.610 | Y=0360.300-0369.620 | 700
P=0402 | X=0505.390-0522.030 | Y=0360.300-0369.620 | 570
P=0402 | X=0333.480-0361.880 | Y=0365.820-0375.140 | Thắng
P=0402 | X=0115.970-0408.460 | Y=0381.720-0392.960 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trần Văn
P=0402 | X=0115.970-0404.390 | Y=0393.240-0404.480 | Ơn đoạn từ Đường Lê Duẩn đến Đường Tôn Đức Thắng có hiện
P=0402 | X=0115.970-0287.750 | Y=0404.760-0416.000 | trạng là đường nhựa, bê tông xi măng:
P=0402 | X=0097.250-0108.370 | Y=0412.640-0421.960 | 37
P=0402 | X=0454.970-0471.610 | Y=0412.640-0421.960 | 480
P=0402 | X=0505.390-0522.030 | Y=0412.640-0421.960 | 400
P=0402 | X=0115.970-0347.050 | Y=0422.280-0433.520 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0402 | X=0115.970-0393.160 | Y=0439.800-0451.040 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0402 | X=0115.970-0408.460 | Y=0457.580-0468.820 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trần Văn
P=0402 | X=0115.970-0404.390 | Y=0469.100-0480.340 | Ơn đoạn từ Đường Lê Duẩn đến Đường Tôn Đức Thắng có hiện
P=0402 | X=0115.970-0287.750 | Y=0480.620-0491.860 | trạng là đường nhựa, bê tông xi măng:
P=0402 | X=0097.250-0350.170 | Y=0498.140-0512.220 | 38 - Có bề rộng ≥5m, cách đường giao thông > 1.000m.
P=0402 | X=0454.970-0471.610 | Y=0502.900-0512.220 | 370
P=0402 | X=0505.390-0522.030 | Y=0502.900-0512.220 | 330
P=0402 | X=0115.970-0402.860 | Y=0515.660-0526.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0402 | X=0115.970-0177.090 | Y=0527.180-0538.420 | đến ≤1.000m.
P=0402 | X=0115.970-0339.140 | Y=0544.490-0555.730 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0402 | X=0115.970-0408.460 | Y=0562.250-0573.490 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trần Văn
P=0402 | X=0115.970-0404.390 | Y=0573.770-0585.010 | Ơn đoạn từ Đường Lê Duẩn đến Đường Tôn Đức Thắng có hiện
P=0402 | X=0115.970-0287.750 | Y=0585.290-0596.530 | trạng là đường nhựa, bê tông xi măng:
P=0402 | X=0097.250-0108.370 | Y=0593.170-0602.490 | 39
P=0402 | X=0454.970-0471.610 | Y=0593.170-0602.490 | 250
P=0402 | X=0505.390-0522.030 | Y=0593.170-0602.490 | 250
P=0402 | X=0115.970-0404.430 | Y=0602.810-0614.050 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông > 1.000m.
P=0402 | X=0115.970-0339.610 | Y=0620.350-0631.590 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0402 | X=0115.970-0401.230 | Y=0638.110-0649.350 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0402 | X=0115.970-0394.780 | Y=0649.630-0660.870 | Đường Trần Văn Ơn đoạn từ Đường Lê Duẩn đến Đường Tôn
P=0402 | X=0115.970-0375.400 | Y=0661.150-0672.390 | Đức Thắng có hiện trạng là đường nhựa, bê tông xi măng:
P=0402 | X=0097.250-0108.370 | Y=0669.030-0678.350 | 40
P=0402 | X=0454.970-0471.610 | Y=0669.030-0678.350 | 480
P=0402 | X=0505.390-0522.030 | Y=0669.030-0678.350 | 400
P=0402 | X=0115.970-0347.050 | Y=0678.670-0689.910 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0402 | X=0115.970-0393.160 | Y=0696.190-0707.430 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0403 | X=0115.970-0401.230 | Y=0078.500-0089.740 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0403 | X=0115.970-0394.780 | Y=0090.020-0101.260 | Đường Trần Văn Ơn đoạn từ Đường Lê Duẩn đến Đường Tôn
P=0403 | X=0115.970-0375.400 | Y=0101.540-0112.780 | Đức Thắng có hiện trạng là đường nhựa, bê tông xi măng:
P=0403 | X=0097.250-0350.170 | Y=0119.090-0133.170 | 41 - Có bề rộng ≥5m, cách đường giao thông > 1.000m.
P=0403 | X=0454.970-0471.610 | Y=0123.850-0133.170 | 370
P=0403 | X=0505.390-0522.030 | Y=0123.850-0133.170 | 330
P=0403 | X=0115.970-0402.860 | Y=0136.610-0147.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0403 | X=0115.970-0177.090 | Y=0148.130-0159.370 | đến ≤1.000m.
P=0403 | X=0115.970-0339.140 | Y=0165.410-0176.650 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0403 | X=0115.970-0401.230 | Y=0183.170-0194.410 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0403 | X=0115.970-0394.780 | Y=0194.690-0205.930 | Đường Trần Văn Ơn đoạn từ Đường Lê Duẩn đến Đường Tôn
P=0403 | X=0115.970-0375.400 | Y=0206.230-0217.470 | Đức Thắng có hiện trạng là đường nhựa, bê tông xi măng:
P=0403 | X=0097.250-0108.370 | Y=0214.110-0223.430 | 42
P=0403 | X=0454.970-0471.610 | Y=0214.110-0223.430 | 250
P=0403 | X=0505.390-0522.030 | Y=0214.110-0223.430 | 250
P=0403 | X=0115.970-0404.430 | Y=0223.750-0234.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông > 1.000m.
P=0403 | X=0115.970-0339.610 | Y=0241.270-0252.510 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0403 | X=0333.480-0400.520 | Y=0259.030-0270.270 | Đường Liên xã
P=0403 | X=0097.250-0200.070 | Y=0270.550-0281.790 | 43 Đường Võ Thị Sáu
P=0403 | X=0217.270-0289.620 | Y=0270.550-0281.790 | Đường Lê Duẩn
P=0403 | X=0333.480-0400.300 | Y=0272.430-0281.750 | Bình An - Long
P=0403 | X=0454.970-0471.610 | Y=0272.430-0281.750 | 700
P=0403 | X=0505.390-0522.030 | Y=0272.430-0281.750 | 570
P=0403 | X=0333.480-0361.890 | Y=0283.980-0293.300 | Thành
P=0403 | X=0115.970-0395.980 | Y=0299.860-0311.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Võ Thị
P=0403 | X=0115.970-0404.620 | Y=0311.380-0322.620 | Sáu đoạn từ Đường Lê Duẩn đến Đường Liên xã Bình An - Long
P=0403 | X=0115.970-0354.010 | Y=0322.900-0334.140 | Thành có hiện trạng là đường nhựa, bê tông xi măng:
P=0403 | X=0097.250-0108.370 | Y=0330.780-0340.100 | 44
P=0403 | X=0454.970-0471.610 | Y=0330.780-0340.100 | 480
P=0403 | X=0505.390-0522.030 | Y=0330.780-0340.100 | 400
P=0403 | X=0115.970-0347.050 | Y=0340.420-0351.660 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0403 | X=0115.970-0393.160 | Y=0357.700-0368.940 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0403 | X=0115.970-0395.980 | Y=0375.480-0386.720 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Võ Thị
P=0403 | X=0115.970-0404.620 | Y=0387.000-0398.240 | Sáu đoạn từ Đường Lê Duẩn đến Đường Liên xã Bình An - Long
P=0403 | X=0115.970-0354.040 | Y=0398.520-0409.760 | Thành có hiện trạng là đường nhựa, bê tông xi măng:
P=0403 | X=0097.250-0347.520 | Y=0416.040-0430.360 | 45 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0403 | X=0454.970-0471.610 | Y=0421.040-0430.360 | 370
P=0403 | X=0505.390-0522.030 | Y=0421.040-0430.360 | 330
P=0403 | X=0115.970-0402.860 | Y=0433.560-0444.800 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0403 | X=0115.970-0177.090 | Y=0445.080-0456.320 | đến ≤1.000m.
P=0403 | X=0115.970-0339.160 | Y=0462.620-0473.860 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0403 | X=0115.970-0395.980 | Y=0480.380-0491.620 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Võ Thị
P=0403 | X=0115.970-0404.620 | Y=0491.900-0503.140 | Sáu đoạn từ Đường Lê Duẩn đến Đường Liên xã Bình An - Long
P=0403 | X=0115.970-0354.010 | Y=0503.420-0514.660 | Thành có hiện trạng là đường nhựa, bê tông xi măng:
P=0403 | X=0097.250-0108.370 | Y=0511.300-0520.620 | 46
P=0403 | X=0454.970-0471.610 | Y=0511.300-0520.620 | 250
P=0403 | X=0505.390-0522.030 | Y=0511.300-0520.620 | 250
P=0403 | X=0115.970-0404.430 | Y=0520.940-0532.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông > 1.000m.
P=0403 | X=0115.970-0339.610 | Y=0538.250-0549.490 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0403 | X=0115.970-0401.230 | Y=0556.010-0567.250 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0403 | X=0115.970-0401.260 | Y=0567.530-0578.770 | Đường Võ Thị Sáu đoạn từ Đường Lê Duẩn đến Đường Liên xã
P=0403 | X=0115.970-0392.840 | Y=0579.050-0590.290 | Bình An - Long Thành có hiện trạng là đường nhựa, bê tông xi
P=0403 | X=0097.250-0143.970 | Y=0590.570-0602.010 | 47 măng:
P=0403 | X=0454.970-0471.610 | Y=0592.690-0602.010 | 480
P=0403 | X=0505.390-0522.030 | Y=0592.690-0602.010 | 400
P=0403 | X=0115.970-0347.050 | Y=0608.090-0619.330 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0403 | X=0115.970-0393.160 | Y=0625.630-0636.870 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0403 | X=0115.970-0401.230 | Y=0643.390-0654.630 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0403 | X=0115.970-0401.260 | Y=0654.910-0666.150 | Đường Võ Thị Sáu đoạn từ Đường Lê Duẩn đến Đường Liên xã
P=0403 | X=0097.250-0392.840 | Y=0666.430-0680.510 | 48 Bình An - Long Thành có hiện trạng là đường nhựa, bê tông xi
P=0403 | X=0454.970-0471.610 | Y=0671.190-0680.510 | 370
P=0403 | X=0505.390-0522.030 | Y=0671.190-0680.510 | 330
P=0403 | X=0115.970-0143.970 | Y=0677.950-0689.190 | măng:
P=0403 | X=0115.970-0347.520 | Y=0695.470-0706.710 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0404 | X=0115.970-0402.860 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0404 | X=0115.970-0177.090 | Y=0090.020-0101.260 | đến ≤1.000m.
P=0404 | X=0115.970-0339.140 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0404 | X=0115.970-0401.230 | Y=0125.330-0136.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0404 | X=0115.970-0401.260 | Y=0136.850-0148.090 | Đường Võ Thị Sáu đoạn từ Đường Lê Duẩn đến Đường Liên xã
P=0404 | X=0115.970-0392.840 | Y=0148.370-0159.610 | Bình An - Long Thành có hiện trạng là đường nhựa, bê tông xi
P=0404 | X=0097.250-0143.970 | Y=0159.650-0171.330 | 49 măng:
P=0404 | X=0454.970-0471.610 | Y=0162.010-0171.330 | 250
P=0404 | X=0505.390-0522.030 | Y=0162.010-0171.330 | 250
P=0404 | X=0115.970-0404.430 | Y=0177.170-0188.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông > 1.000m.
P=0404 | X=0115.970-0339.610 | Y=0194.690-0205.930 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0404 | X=0097.250-0403.900 | Y=0212.470-0223.710 | 50 Đường Tôn Đức Thắng Đường Vũ Hồng Phô Đường Võ Thị Sáu
P=0404 | X=0454.970-0471.610 | Y=0214.350-0223.670 | 700
P=0404 | X=0505.390-0522.030 | Y=0214.350-0223.670 | 570
P=0404 | X=0115.970-0406.220 | Y=0230.230-0241.470 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tôn Đức
P=0404 | X=0115.970-0397.900 | Y=0241.750-0252.990 | Thắng đoạn từ Đường Vũ Hồng Phô đến Đường Võ Thị Sáu có
P=0404 | X=0115.970-0309.580 | Y=0253.270-0264.510 | hiện trạng là đường nhựa, bê tông xi măng:
P=0404 | X=0097.250-0108.370 | Y=0261.150-0270.470 | 51
P=0404 | X=0454.970-0471.610 | Y=0261.150-0270.470 | 480
P=0404 | X=0505.390-0522.030 | Y=0261.150-0270.470 | 400
P=0404 | X=0115.970-0347.050 | Y=0270.790-0282.030 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0404 | X=0115.970-0393.160 | Y=0288.340-0299.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0404 | X=0115.970-0406.220 | Y=0306.100-0317.340 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tôn Đức
P=0404 | X=0115.970-0397.900 | Y=0317.620-0328.860 | Thắng đoạn từ Đường Vũ Hồng Phô đến Đường Võ Thị Sáu có
P=0404 | X=0115.970-0309.640 | Y=0329.140-0340.380 | hiện trạng là đường nhựa, bê tông xi măng:
P=0404 | X=0097.250-0347.520 | Y=0346.660-0360.740 | 52 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0404 | X=0454.970-0471.610 | Y=0351.420-0360.740 | 370
P=0404 | X=0505.390-0522.030 | Y=0351.420-0360.740 | 330
P=0404 | X=0115.970-0402.860 | Y=0363.940-0375.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0404 | X=0115.970-0177.090 | Y=0375.480-0386.720 | đến ≤1.000m.
P=0404 | X=0115.970-0339.140 | Y=0393.000-0404.240 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0404 | X=0115.970-0406.220 | Y=0410.760-0422.000 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tôn Đức
P=0404 | X=0115.970-0397.900 | Y=0422.280-0433.520 | Thắng đoạn từ Đường Vũ Hồng Phô đến Đường Võ Thị Sáu có
P=0404 | X=0115.970-0309.580 | Y=0433.800-0445.040 | hiện trạng là đường nhựa, bê tông xi măng:
P=0404 | X=0097.250-0108.370 | Y=0441.680-0451.000 | 53
P=0404 | X=0454.970-0471.610 | Y=0441.680-0451.000 | 250
P=0404 | X=0505.390-0522.030 | Y=0441.680-0451.000 | 250
P=0404 | X=0115.970-0401.780 | Y=0451.340-0462.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0404 | X=0115.970-0339.610 | Y=0468.860-0480.100 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0404 | X=0115.970-0401.230 | Y=0486.620-0497.860 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0404 | X=0115.970-0408.470 | Y=0498.140-0509.380 | Đường Tôn Đức Thắng đoạn từ Đường Vũ Hồng Phô đến Đường
P=0404 | X=0115.970-0374.910 | Y=0509.660-0520.900 | Võ Thị Sáu có hiện trạng là đường nhựa, bê tông xi măng:
P=0404 | X=0097.250-0108.370 | Y=0517.540-0526.860 | 54
P=0404 | X=0454.970-0471.610 | Y=0517.540-0526.860 | 480
P=0404 | X=0505.390-0522.030 | Y=0517.540-0526.860 | 400
P=0404 | X=0115.970-0347.050 | Y=0527.180-0538.420 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0404 | X=0115.970-0393.160 | Y=0544.490-0555.730 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0404 | X=0115.970-0401.230 | Y=0562.250-0573.490 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0404 | X=0115.970-0408.470 | Y=0573.770-0585.010 | Đường Tôn Đức Thắng đoạn từ Đường Vũ Hồng Phô đến Đường
P=0404 | X=0115.970-0374.910 | Y=0585.290-0596.530 | Võ Thị Sáu có hiện trạng là đường nhựa, bê tông xi măng:
P=0404 | X=0097.250-0347.520 | Y=0602.810-0617.130 | 55 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0404 | X=0454.970-0471.610 | Y=0607.810-0617.130 | 370
P=0404 | X=0505.390-0522.030 | Y=0607.810-0617.130 | 330
P=0404 | X=0115.970-0402.860 | Y=0620.350-0631.590 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0404 | X=0115.970-0177.090 | Y=0631.870-0643.110 | đến ≤1.000m.
P=0404 | X=0115.970-0339.140 | Y=0649.390-0660.630 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0404 | X=0115.970-0401.230 | Y=0667.150-0678.390 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0404 | X=0115.970-0408.470 | Y=0678.670-0689.910 | Đường Tôn Đức Thắng đoạn từ Đường Vũ Hồng Phô đến Đường
P=0404 | X=0097.250-0374.920 | Y=0689.190-0701.430 | 56 Võ Thị Sáu có hiện trạng là đường nhựa, bê tông xi măng:
P=0404 | X=0454.970-0471.610 | Y=0689.190-0698.510 | 250
P=0404 | X=0505.390-0522.030 | Y=0689.190-0698.510 | 250
P=0404 | X=0115.970-0404.430 | Y=0707.730-0718.970 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông > 1.000m.
P=0405 | X=0115.970-0339.610 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0405 | X=0115.970-0202.940 | Y=0096.260-0107.500 | Đường liên xã Bình
P=0405 | X=0216.790-0411.570 | Y=0096.260-0107.500 | Quốc lộ 51 qua Nhà máy Đường Lê Quang
P=0405 | X=0097.250-0108.370 | Y=0103.900-0113.220 | 57
P=0405 | X=0454.970-0471.610 | Y=0103.900-0113.220 | 700
P=0405 | X=0505.390-0522.030 | Y=0103.900-0113.220 | 570
P=0405 | X=0216.790-0353.720 | Y=0107.780-0119.020 | mủ cao su Long Thành Định
P=0405 | X=0115.970-0190.710 | Y=0109.660-0118.980 | An - Long Thành
P=0405 | X=0115.970-0396.190 | Y=0125.570-0136.810 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường liên xã
P=0405 | X=0115.970-0413.740 | Y=0137.090-0148.330 | Bình An - Long Thành đoạn từ Quốc lộ 51 qua Nhà máy mủ cao su
P=0405 | X=0115.970-0397.420 | Y=0148.610-0159.850 | Long Thành đến Đường Lê Quang Định có hiện trạng là đường
P=0405 | X=0097.250-0219.080 | Y=0160.130-0171.570 | 58 nhựa, bê tông xi măng:
P=0405 | X=0454.970-0471.610 | Y=0162.250-0171.570 | 480
P=0405 | X=0505.390-0522.030 | Y=0162.250-0171.570 | 400
P=0405 | X=0115.970-0347.050 | Y=0177.410-0188.650 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0405 | X=0115.970-0393.410 | Y=0194.930-0206.170 | - Có bề rộng từ >3m đến <5m, cách đường giao thông ≤500m.
P=0405 | X=0115.970-0396.190 | Y=0212.710-0223.950 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường liên xã
P=0405 | X=0115.970-0413.740 | Y=0224.230-0235.470 | Bình An - Long Thành đoạn từ Quốc lộ 51 qua Nhà máy mủ cao su
P=0405 | X=0115.970-0397.420 | Y=0235.750-0246.990 | Long Thành đến Đường Lê Quang Định có hiện trạng là đường
P=0405 | X=0115.970-0219.120 | Y=0247.270-0258.510 | nhựa, bê tông xi măng:
P=0405 | X=0097.250-0350.170 | Y=0263.790-0276.030 | 59 - Có bề rộng ≥5m, cách đường giao thông > 1.000m.
P=0405 | X=0454.970-0471.610 | Y=0263.790-0273.110 | 370
P=0405 | X=0505.390-0522.030 | Y=0263.790-0273.110 | 330
P=0405 | X=0115.970-0402.860 | Y=0282.340-0293.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0405 | X=0115.970-0177.090 | Y=0293.860-0305.100 | đến ≤1.000m.
P=0405 | X=0115.970-0339.140 | Y=0311.380-0322.620 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0405 | X=0115.970-0396.190 | Y=0329.140-0340.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường liên xã
P=0405 | X=0115.970-0413.740 | Y=0340.660-0351.900 | Bình An - Long Thành đoạn từ Quốc lộ 51 qua Nhà máy mủ cao su
P=0405 | X=0115.970-0397.420 | Y=0351.940-0363.180 | Long Thành đến Đường Lê Quang Định có hiện trạng là đường
P=0405 | X=0097.250-0219.080 | Y=0363.460-0374.900 | 60 nhựa, bê tông xi măng:
P=0405 | X=0454.970-0471.610 | Y=0365.580-0374.900 | 250
P=0405 | X=0505.390-0522.030 | Y=0365.580-0374.900 | 250
P=0405 | X=0115.970-0404.430 | Y=0381.000-0392.240 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông > 1.000m.
P=0405 | X=0115.970-0339.610 | Y=0398.520-0409.760 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0405 | X=0115.970-0401.260 | Y=0416.280-0427.520 | Các tuyến đường giao thông không đấu nối trực tiếp và thống ra
P=0405 | X=0115.970-0408.950 | Y=0427.800-0439.040 | Đường liên xã Bình An - Long Thành đoạn từ Quốc lộ 51 qua Nhà
P=0405 | X=0115.970-0399.110 | Y=0439.320-0450.560 | máy mủ cao su Long Thành đến Đường Lê Quang Định có hiện
P=0405 | X=0097.250-0287.750 | Y=0450.860-0462.300 | 61 trạng là đường nhựa, bê tông xi măng:
P=0405 | X=0454.970-0471.610 | Y=0452.980-0462.300 | 480
P=0405 | X=0505.390-0522.030 | Y=0452.980-0462.300 | 400
P=0405 | X=0115.970-0347.080 | Y=0468.380-0479.620 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0405 | X=0115.970-0393.160 | Y=0485.900-0497.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0405 | X=0115.970-0401.230 | Y=0503.660-0514.900 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0405 | X=0115.970-0408.950 | Y=0515.180-0526.420 | Đường liên xã Bình An - Long Thành đoạn từ Quốc lộ 51 qua Nhà
P=0405 | X=0115.970-0399.110 | Y=0526.460-0537.700 | máy mủ cao su Long Thành đến Đường Lê Quang Định có hiện
P=0405 | X=0115.970-0287.750 | Y=0538.010-0549.250 | trạng là đường nhựa, bê tông xi măng:
P=0405 | X=0097.250-0350.170 | Y=0554.770-0566.770 | 62 - Có bề rộng ≥5m, cách đường giao thông > 1.000m.
P=0405 | X=0454.970-0471.610 | Y=0554.770-0564.090 | 370
P=0405 | X=0505.390-0522.030 | Y=0554.770-0564.090 | 330
P=0405 | X=0115.970-0402.860 | Y=0573.050-0584.290 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0405 | X=0115.970-0177.090 | Y=0584.570-0595.810 | đến ≤1.000m.
P=0405 | X=0115.970-0339.140 | Y=0602.090-0613.330 | - Có bè rộng <3m, cách đường giao thông ≤200m.
P=0405 | X=0115.970-0401.230 | Y=0619.870-0631.110 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
