TABLE=041 | AREA=Xã Gia Kiệm | SECTION=agricultural | SEGMENTS=1
P=1454 | X=0251.140-0322.920 | Y=0691.350-0700.670 | cao su Bình Lộc
P=1454 | X=0098.930-0422.090 | Y=0707.250-0718.490 | 30 Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20 đoạn từ
P=1454 | X=0462.650-0479.290 | Y=0709.140-0718.460 | 500
P=1454 | X=0505.390-0522.030 | Y=0709.140-0718.460 | 450
P=1455 | X=0119.570-0414.700 | Y=0072.500-0083.740 | Giáp ngã ba đường vào Nông trường cao su Bình Lộc đến Ngã ba
P=1455 | X=0119.570-0432.500 | Y=0084.020-0095.260 | đường vào ấp Lạc Sơn có hiện trạng là đường nhựa, bê tông xi măng:
P=1455 | X=0119.570-0350.650 | Y=0101.540-0112.780 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1455 | X=0119.570-0396.760 | Y=0119.090-0130.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1455 | X=0119.570-0422.090 | Y=0136.850-0148.090 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20 đoạn từ
P=1455 | X=0119.570-0414.700 | Y=0148.370-0159.610 | Giáp ngã ba đường vào Nông trường cao su Bình Lộc đến Ngã ba
P=1455 | X=0119.570-0432.500 | Y=0159.650-0170.890 | đường vào ấp Lạc Sơn có hiện trạng là đường nhựa, bê tông xi măng:
P=1455 | X=0098.930-0351.120 | Y=0177.170-0191.490 | 31 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1455 | X=0462.650-0479.290 | Y=0182.170-0191.490 | 400
P=1455 | X=0505.390-0522.030 | Y=0182.170-0191.490 | 350
P=1455 | X=0119.570-0426.020 | Y=0194.690-0205.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1455 | X=0119.570-0161.250 | Y=0206.230-0217.470 | ≤1.000m.
P=1455 | X=0119.570-0342.740 | Y=0223.750-0234.990 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1455 | X=0119.570-0422.090 | Y=0241.510-0252.750 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20 đoạn từ
P=1455 | X=0119.570-0414.700 | Y=0253.030-0264.270 | Giáp ngã ba đường vào Nông trường cao su Bình Lộc đến Ngã ba
P=1455 | X=0119.570-0432.500 | Y=0264.550-0275.790 | đường vào ấp Lạc Sơn có hiện trạng là đường nhựa, bê tông xi măng:
P=1455 | X=0098.930-0110.050 | Y=0272.430-0281.750 | 32
P=1455 | X=0462.650-0479.290 | Y=0272.430-0281.750 | 290
P=1455 | X=0505.390-0522.030 | Y=0272.430-0281.750 | 250
P=1455 | X=0119.570-0405.380 | Y=0282.100-0293.340 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1455 | X=0119.570-0343.240 | Y=0299.620-0310.860 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1455 | X=0119.570-0431.450 | Y=0317.380-0328.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Quốc
P=1455 | X=0119.570-0422.060 | Y=0328.900-0340.140 | lộ 20 đoạn từ Giáp ngã ba đường vào Nông trường cao su Bình Lộc
P=1455 | X=0119.570-0424.300 | Y=0340.420-0351.660 | đến Ngã ba đường vào ấp Lạc Sơn có hiện trạng là đường nhựa, bê
P=1455 | X=0098.930-0179.730 | Y=0351.700-0363.140 | 33 tông xi măng:
P=1455 | X=0462.650-0479.290 | Y=0353.820-0363.140 | 500
P=1455 | X=0505.390-0522.030 | Y=0353.820-0363.140 | 450
P=1455 | X=0119.570-0350.650 | Y=0369.240-0380.480 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1455 | X=0119.570-0396.760 | Y=0386.760-0398.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1455 | X=0119.570-0431.450 | Y=0404.520-0415.760 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Quốc
P=1455 | X=0119.570-0422.060 | Y=0416.040-0427.280 | lộ 20 đoạn từ Giáp ngã ba đường vào Nông trường cao su Bình Lộc
P=1455 | X=0119.570-0424.300 | Y=0427.560-0438.800 | đến Ngã ba đường vào ấp Lạc Sơn có hiện trạng là đường nhựa, bê
P=1455 | X=0119.570-0179.730 | Y=0439.080-0450.320 | tông xi măng:
P=1455 | X=0098.930-0351.120 | Y=0455.620-0467.860 | 34 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1455 | X=0462.650-0479.290 | Y=0455.620-0464.940 | 400
P=1455 | X=0505.390-0522.030 | Y=0455.620-0464.940 | 350
P=1455 | X=0119.570-0426.020 | Y=0474.140-0485.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1455 | X=0119.570-0161.250 | Y=0485.660-0496.900 | ≤1.000m.
P=1455 | X=0119.570-0342.740 | Y=0503.180-0514.420 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1455 | X=0119.570-0431.450 | Y=0520.940-0532.180 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Quốc
P=1455 | X=0119.570-0422.060 | Y=0532.220-0543.460 | lộ 20 đoạn từ Giáp ngã ba đường vào Nông trường cao su Bình Lộc
P=1455 | X=0119.570-0424.300 | Y=0543.770-0555.010 | đến Ngã ba đường vào ấp Lạc Sơn có hiện trạng là đường nhựa, bê
P=1455 | X=0098.930-0179.730 | Y=0555.290-0566.730 | 35 tông xi măng:
P=1455 | X=0462.650-0479.290 | Y=0557.410-0566.730 | 290
P=1455 | X=0505.390-0522.030 | Y=0557.410-0566.730 | 250
P=1455 | X=0119.570-0405.380 | Y=0572.810-0584.050 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1455 | X=0119.570-0343.210 | Y=0590.330-0601.570 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1455 | X=0251.140-0428.630 | Y=0608.090-0619.330 | Ngã ba đường vào Giáp ranh xã Thống
P=1455 | X=0098.930-0168.130 | Y=0615.730-0625.050 | 36 Quốc lộ 20
P=1455 | X=0462.650-0479.290 | Y=0615.730-0625.050 | 730
P=1455 | X=0505.390-0522.030 | Y=0615.730-0625.050 | 670
P=1455 | X=0251.140-0303.040 | Y=0619.630-0630.870 | ấp Lạc Sơn
P=1455 | X=0339.960-0361.020 | Y=0621.510-0630.830 | Nhất
P=1455 | X=0119.570-0422.090 | Y=0637.390-0648.630 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20 đoạn từ
P=1455 | X=0119.570-0427.690 | Y=0648.910-0660.150 | Ngã ba đường vào ấp Lạc Sơn đến Giáp ranh xã Thống Nhất có hiện
P=1455 | X=0119.570-0291.350 | Y=0660.430-0671.670 | trạng là đường nhựa, bê tông xi măng:
P=1455 | X=0098.930-0110.050 | Y=0668.310-0677.630 | 37
P=1455 | X=0462.650-0479.290 | Y=0668.310-0677.630 | 500
P=1455 | X=0505.390-0522.030 | Y=0668.310-0677.630 | 450
P=1455 | X=0119.570-0350.650 | Y=0677.950-0689.190 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1455 | X=0119.570-0396.760 | Y=0695.470-0706.710 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1456 | X=0119.570-0422.090 | Y=0078.500-0089.740 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20 đoạn từ
P=1456 | X=0119.570-0427.690 | Y=0090.020-0101.260 | Ngã ba đường vào ấp Lạc Sơn đến Giáp ranh xã Thống Nhất có hiện
P=1456 | X=0119.570-0291.350 | Y=0101.540-0112.780 | trạng là đường nhựa, bê tông xi măng:
P=1456 | X=0098.930-0351.120 | Y=0119.090-0133.170 | 38 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1456 | X=0462.650-0479.290 | Y=0123.850-0133.170 | 400
P=1456 | X=0505.390-0522.030 | Y=0123.850-0133.170 | 350
P=1456 | X=0119.570-0426.020 | Y=0136.610-0147.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1456 | X=0119.570-0161.250 | Y=0148.130-0159.370 | ≤1.000m.
P=1456 | X=0119.570-0342.740 | Y=0165.410-0176.650 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1456 | X=0119.570-0422.090 | Y=0183.170-0194.410 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20 đoạn từ
P=1456 | X=0119.570-0427.690 | Y=0194.690-0205.930 | Ngã ba đường vào ấp Lạc Sơn đến Giáp ranh xã Thống Nhất có hiện
P=1456 | X=0119.570-0291.350 | Y=0206.230-0217.470 | trạng là đường nhựa, bê tông xi măng:
P=1456 | X=0098.930-0110.050 | Y=0214.110-0223.430 | 39
P=1456 | X=0462.650-0479.290 | Y=0214.110-0223.430 | 290
P=1456 | X=0505.390-0522.030 | Y=0214.110-0223.430 | 250
P=1456 | X=0119.570-0405.380 | Y=0223.750-0234.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1456 | X=0119.570-0343.230 | Y=0241.270-0252.510 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1456 | X=0119.570-0431.450 | Y=0259.030-0270.270 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Quốc
P=1456 | X=0119.570-0430.570 | Y=0270.550-0281.790 | lộ 20 đoạn từ Ngã ba đường vào ấp Lạc Sơn đến Giáp ranh xã Thống
P=1456 | X=0119.570-0350.410 | Y=0282.100-0293.340 | Nhất có hiện trạng là đường nhựa, bê tông xi măng:
P=1456 | X=0098.930-0110.050 | Y=0289.980-0299.300 | 40
P=1456 | X=0462.650-0479.290 | Y=0289.980-0299.300 | 500
P=1456 | X=0505.390-0522.030 | Y=0289.980-0299.300 | 450
P=1456 | X=0119.570-0350.650 | Y=0299.620-0310.860 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1456 | X=0119.570-0396.760 | Y=0317.140-0328.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1456 | X=0119.570-0431.450 | Y=0334.900-0346.140 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Quốc
P=1456 | X=0119.570-0430.570 | Y=0346.420-0357.660 | lộ 20 đoạn từ Ngã ba đường vào ấp Lạc Sơn đến Giáp ranh xã Thống
P=1456 | X=0119.570-0350.410 | Y=0357.700-0368.940 | Nhất có hiện trạng là đường nhựa, bê tông xi măng:
P=1456 | X=0098.930-0351.120 | Y=0375.240-0389.560 | 41 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1456 | X=0462.650-0479.290 | Y=0380.240-0389.560 | 400
P=1456 | X=0505.390-0522.030 | Y=0380.240-0389.560 | 350
P=1456 | X=0119.570-0426.020 | Y=0392.760-0404.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1456 | X=0119.570-0161.250 | Y=0404.280-0415.520 | ≤1.000m.
P=1456 | X=0119.570-0342.740 | Y=0421.800-0433.040 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1456 | X=0119.570-0431.450 | Y=0439.560-0450.800 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Quốc
P=1456 | X=0119.570-0430.570 | Y=0451.100-0462.340 | lộ 20 đoạn từ Ngã ba đường vào ấp Lạc Sơn đến Giáp ranh xã Thống
P=1456 | X=0119.570-0350.410 | Y=0462.620-0473.860 | Nhất có hiện trạng là đường nhựa, bê tông xi măng:
P=1456 | X=0098.930-0110.050 | Y=0470.500-0479.820 | 42
P=1456 | X=0462.650-0479.290 | Y=0470.500-0479.820 | 290
P=1456 | X=0505.390-0522.030 | Y=0470.500-0479.820 | 250
P=1456 | X=0119.570-0405.380 | Y=0480.140-0491.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1456 | X=0119.570-0343.210 | Y=0497.660-0508.900 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1456 | X=0339.960-0406.130 | Y=0515.420-0526.660 | Ngã 3 trước Xí
P=1456 | X=0119.570-0248.740 | Y=0521.180-0532.420 | Đường tỉnh 762 (Trị An - Sóc
P=1456 | X=0339.960-0426.940 | Y=0526.940-0538.180 | nghiệp khai thác đá
P=1456 | X=0098.930-0110.050 | Y=0528.820-0538.140 | 43
P=1456 | X=0251.140-0299.700 | Y=0528.820-0538.140 | Quốc lộ 20
P=1456 | X=0462.650-0479.290 | Y=0528.820-0538.140 | 730
P=1456 | X=0505.390-0522.030 | Y=0528.820-0538.140 | 670
P=1456 | X=0119.570-0133.970 | Y=0534.370-0543.690 | Lu)
P=1456 | X=0339.960-0371.240 | Y=0540.130-0549.450 | Sóc Lu
P=1456 | X=0119.570-0424.080 | Y=0556.010-0567.250 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 762 (Trị
P=1456 | X=0119.570-0427.570 | Y=0567.530-0578.770 | An - Sóc Lu) đoạn từ Quốc lộ 20 đến Ngã 3 trước Xí nghiệp khai thác
P=1456 | X=0119.570-0374.170 | Y=0579.050-0590.290 | đá Sóc Lu có hiện trạng là đường nhựa, bê tông xi măng:
P=1456 | X=0098.930-0110.050 | Y=0586.930-0596.250 | 44
P=1456 | X=0462.650-0479.290 | Y=0586.930-0596.250 | 500
P=1456 | X=0505.390-0522.030 | Y=0586.930-0596.250 | 450
P=1456 | X=0119.570-0350.650 | Y=0596.570-0607.810 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1456 | X=0119.570-0396.760 | Y=0614.090-0625.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1456 | X=0119.570-0424.080 | Y=0631.870-0643.110 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 762 (Trị
P=1456 | X=0119.570-0427.570 | Y=0643.390-0654.630 | An - Sóc Lu) đoạn từ Quốc lộ 20 đến Ngã 3 trước Xí nghiệp khai thác
P=1456 | X=0119.570-0374.170 | Y=0654.910-0666.150 | đá Sóc Lu có hiện trạng là đường nhựa, bê tông xi măng:
P=1456 | X=0098.930-0110.050 | Y=0668.550-0677.870 | 45
P=1456 | X=0462.650-0479.290 | Y=0668.550-0677.870 | 400
P=1456 | X=0505.390-0522.030 | Y=0668.550-0677.870 | 350
P=1456 | X=0119.570-0351.120 | Y=0672.430-0683.670 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1456 | X=0119.570-0426.020 | Y=0689.950-0701.190 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1456 | X=0119.570-0161.250 | Y=0701.490-0712.730 | ≤1.000m.
P=1457 | X=0119.570-0342.740 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1457 | X=0119.570-0424.080 | Y=0096.260-0107.500 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 762 (Trị
P=1457 | X=0119.570-0427.570 | Y=0107.780-0119.020 | An - Sóc Lu) đoạn từ Quốc lộ 20 đến Ngã 3 trước Xí nghiệp khai thác
P=1457 | X=0119.570-0374.170 | Y=0119.330-0130.570 | đá Sóc Lu có hiện trạng là đường nhựa, bê tông xi măng:
P=1457 | X=0098.930-0110.050 | Y=0127.210-0136.530 | 46
P=1457 | X=0462.650-0479.290 | Y=0127.210-0136.530 | 290
P=1457 | X=0505.390-0522.030 | Y=0127.210-0136.530 | 250
P=1457 | X=0119.570-0405.380 | Y=0136.850-0148.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1457 | X=0119.570-0343.210 | Y=0154.370-0165.610 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1457 | X=0119.570-0404.830 | Y=0172.130-0183.370 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1457 | X=0119.570-0430.490 | Y=0183.410-0194.650 | Đường tỉnh 762 (Trị An - Sóc Lu) đoạn từ Quốc lộ 20 đến Ngã 3 trước
P=1457 | X=0119.570-0431.500 | Y=0194.930-0206.170 | Xí nghiệp khai thác đá Sóc Lu có hiện trạng là đường nhựa, bê tông xi
P=1457 | X=0098.930-0147.570 | Y=0206.470-0217.910 | 47 măng:
P=1457 | X=0462.650-0479.290 | Y=0208.590-0217.910 | 500
P=1457 | X=0505.390-0522.030 | Y=0208.590-0217.910 | 450
P=1457 | X=0119.570-0350.650 | Y=0223.990-0235.230 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1457 | X=0119.570-0396.760 | Y=0241.510-0252.750 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1457 | X=0119.570-0404.830 | Y=0259.270-0270.510 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1457 | X=0119.570-0430.490 | Y=0270.790-0282.030 | Đường tỉnh 762 (Trị An - Sóc Lu) đoạn từ Quốc lộ 20 đến Ngã 3 trước
P=1457 | X=0119.570-0431.500 | Y=0282.340-0293.580 | Xí nghiệp khai thác đá Sóc Lu có hiện trạng là đường nhựa, bê tông xi
P=1457 | X=0119.570-0147.570 | Y=0293.860-0305.100 | măng:
P=1457 | X=0098.930-0351.120 | Y=0310.380-0322.620 | 48 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1457 | X=0462.650-0479.290 | Y=0310.380-0319.700 | 400
P=1457 | X=0505.390-0522.030 | Y=0310.380-0319.700 | 350
P=1457 | X=0119.570-0426.020 | Y=0328.900-0340.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1457 | X=0119.570-0161.250 | Y=0340.420-0351.660 | ≤1.000m.
P=1457 | X=0119.570-0342.740 | Y=0357.700-0368.940 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1457 | X=0119.570-0404.830 | Y=0375.480-0386.720 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1457 | X=0119.570-0430.490 | Y=0387.000-0398.240 | Đường tỉnh 762 (Trị An - Sóc Lu) đoạn từ Quốc lộ 20 đến Ngã 3 trước
P=1457 | X=0119.570-0431.500 | Y=0398.520-0409.760 | Xí nghiệp khai thác đá Sóc Lu có hiện trạng là đường nhựa, bê tông xi
P=1457 | X=0098.930-0147.570 | Y=0410.040-0421.480 | 49 măng:
P=1457 | X=0462.650-0479.290 | Y=0412.160-0421.480 | 290
P=1457 | X=0505.390-0522.030 | Y=0412.160-0421.480 | 250
P=1457 | X=0119.570-0405.380 | Y=0427.560-0438.800 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1457 | X=0119.570-0343.210 | Y=0445.080-0456.320 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1457 | X=0251.140-0317.310 | Y=0462.860-0474.100 | Ngã 3 trước Xí
P=1457 | X=0119.570-0248.740 | Y=0468.620-0479.860 | Đường tỉnh 762 (Trị An - Sóc
P=1457 | X=0339.960-0428.090 | Y=0468.620-0479.860 | Đường Võ Dõng 3 -
P=1457 | X=0251.140-0338.100 | Y=0474.380-0485.620 | nghiệp khai thác đá
P=1457 | X=0098.930-0110.050 | Y=0476.260-0485.580 | 50
P=1457 | X=0462.650-0479.290 | Y=0476.260-0485.580 | 730
P=1457 | X=0505.390-0522.030 | Y=0476.260-0485.580 | 670
P=1457 | X=0119.570-0133.970 | Y=0482.020-0491.340 | Lu)
P=1457 | X=0339.960-0371.240 | Y=0482.020-0491.340 | Sóc Lu
P=1457 | X=0251.140-0282.420 | Y=0487.780-0497.100 | Sóc Lu
P=1457 | X=0119.570-0424.080 | Y=0503.660-0514.900 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 762 (Trị
P=1457 | X=0119.570-0424.300 | Y=0515.180-0526.420 | An - Sóc Lu) đoạn từ Ngã 3 trước Xí nghiệp khai thác đá Sóc Lu đến
P=1457 | X=0119.570-0420.220 | Y=0526.460-0537.700 | Đường Võ Dõng 3 - Sóc Lu có hiện trạng là đường nhựa, bê tông xi
P=1457 | X=0098.930-0147.570 | Y=0538.010-0549.450 | 51 măng:
P=1457 | X=0462.650-0479.290 | Y=0540.130-0549.450 | 500
P=1457 | X=0505.390-0522.030 | Y=0540.130-0549.450 | 450
P=1457 | X=0119.570-0350.650 | Y=0555.530-0566.770 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1457 | X=0119.570-0396.760 | Y=0573.050-0584.290 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1457 | X=0119.570-0424.080 | Y=0590.810-0602.050 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 762 (Trị
P=1457 | X=0119.570-0424.300 | Y=0602.330-0613.570 | An - Sóc Lu) đoạn từ Ngã 3 trước Xí nghiệp khai thác đá Sóc Lu đến
P=1457 | X=0119.570-0420.220 | Y=0613.850-0625.090 | Đường Võ Dõng 3 - Sóc Lu có hiện trạng là đường nhựa, bê tông xi
P=1457 | X=0119.570-0147.570 | Y=0625.390-0636.630 | măng:
P=1457 | X=0098.930-0351.120 | Y=0641.910-0654.150 | 52 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1457 | X=0462.650-0479.290 | Y=0641.910-0651.230 | 400
P=1457 | X=0505.390-0522.030 | Y=0641.910-0651.230 | 350
P=1457 | X=0119.570-0426.020 | Y=0660.430-0671.670 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1457 | X=0119.570-0161.250 | Y=0671.950-0683.190 | ≤1.000m.
P=1457 | X=0119.570-0342.740 | Y=0689.470-0700.710 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1457 | X=0098.930-0424.080 | Y=0707.250-0718.490 | 53 Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 762 (Trị
P=1457 | X=0462.650-0479.290 | Y=0709.140-0718.460 | 290
P=1457 | X=0505.390-0522.030 | Y=0709.140-0718.460 | 250
P=1458 | X=0119.570-0424.300 | Y=0072.500-0083.740 | An - Sóc Lu) đoạn từ Ngã 3 trước Xí nghiệp khai thác đá Sóc Lu đến
P=1458 | X=0119.570-0420.220 | Y=0084.020-0095.260 | Đường Võ Dõng 3 - Sóc Lu có hiện trạng là đường nhựa, bê tông xi
P=1458 | X=0119.570-0147.570 | Y=0095.540-0106.780 | măng:
P=1458 | X=0119.570-0405.380 | Y=0113.060-0124.300 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1458 | X=0119.570-0343.210 | Y=0130.610-0141.850 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1458 | X=0119.570-0404.830 | Y=0148.370-0159.610 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1458 | X=0119.570-0425.750 | Y=0159.650-0170.890 | Đường tỉnh 762 (Trị An - Sóc Lu) đoạn từ Ngã 3 trước Xí nghiệp khai
P=1458 | X=0119.570-0434.170 | Y=0171.170-0182.410 | thác đá Sóc Lu đến Đường Võ Dõng 3 - Sóc Lu có hiện trạng là đường
P=1458 | X=0098.930-0222.680 | Y=0182.690-0194.130 | 54 nhựa, bê tông xi măng:
P=1458 | X=0462.650-0479.290 | Y=0184.810-0194.130 | 500
P=1458 | X=0505.390-0522.030 | Y=0184.810-0194.130 | 450
P=1458 | X=0119.570-0350.650 | Y=0200.230-0211.470 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1458 | X=0119.570-0396.760 | Y=0217.750-0228.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1458 | X=0119.570-0404.830 | Y=0235.510-0246.750 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1458 | X=0119.570-0425.750 | Y=0247.030-0258.270 | Đường tỉnh 762 (Trị An - Sóc Lu) đoạn từ Ngã 3 trước Xí nghiệp khai
P=1458 | X=0119.570-0434.170 | Y=0258.550-0269.790 | thác đá Sóc Lu đến Đường Võ Dõng 3 - Sóc Lu có hiện trạng là đường
P=1458 | X=0119.570-0222.680 | Y=0270.070-0281.310 | nhựa, bê tông xi măng:
P=1458 | X=0098.930-0351.120 | Y=0286.620-0298.860 | 55 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1458 | X=0462.650-0479.290 | Y=0286.620-0295.940 | 400
P=1458 | X=0505.390-0522.030 | Y=0286.620-0295.940 | 350
P=1458 | X=0119.570-0426.020 | Y=0305.140-0316.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=1458 | X=0119.570-0161.250 | Y=0316.660-0327.900 | ≤1.000m.
P=1458 | X=0119.570-0342.740 | Y=0333.940-0345.180 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1458 | X=0119.570-0404.830 | Y=0351.700-0362.940 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1458 | X=0119.570-0425.750 | Y=0363.220-0374.460 | Đường tỉnh 762 (Trị An - Sóc Lu) đoạn từ Ngã 3 trước Xí nghiệp khai
P=1458 | X=0119.570-0434.170 | Y=0374.760-0386.000 | thác đá Sóc Lu đến Đường Võ Dõng 3 - Sóc Lu có hiện trạng là đường
P=1458 | X=0098.930-0222.680 | Y=0386.280-0397.720 | 56 nhựa, bê tông xi măng:
P=1458 | X=0462.650-0479.290 | Y=0388.400-0397.720 | 290
P=1458 | X=0505.390-0522.030 | Y=0388.400-0397.720 | 250
P=1458 | X=0119.570-0405.380 | Y=0403.800-0415.040 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1458 | X=0119.570-0343.210 | Y=0421.320-0432.560 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1458 | X=0119.570-0418.030 | Y=0439.080-0450.320 | Đường tỉnh 762 (Trị An - Sóc Đường Võ Dõng 3 - Giáp ranh xã Bàu
P=1458 | X=0098.930-0110.050 | Y=0446.720-0456.040 | 57
P=1458 | X=0462.650-0479.290 | Y=0446.720-0456.040 | 730
P=1458 | X=0505.390-0522.030 | Y=0446.720-0456.040 | 670
P=1458 | X=0119.570-0133.970 | Y=0452.500-0461.820 | Lu)
P=1458 | X=0251.140-0282.420 | Y=0452.500-0461.820 | Sóc Lu
P=1458 | X=0339.960-0361.080 | Y=0452.500-0461.820 | Hàm
P=1458 | X=0119.570-0424.080 | Y=0468.380-0479.620 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 762 (Trị
P=1458 | X=0119.570-0416.600 | Y=0479.900-0491.140 | An - Sóc Lu) đoạn từ Đường Võ Dõng 3 - Sóc Lu đến Giáp ranh xã
P=1458 | X=0119.570-0370.800 | Y=0491.420-0502.660 | Bàu Hàm có hiện trạng là đường nhựa, bê tông xi măng:
P=1458 | X=0098.930-0110.050 | Y=0499.300-0508.620 | 58
P=1458 | X=0462.650-0479.290 | Y=0499.300-0508.620 | 500
P=1458 | X=0505.390-0522.030 | Y=0499.300-0508.620 | 450
P=1458 | X=0119.570-0350.650 | Y=0508.940-0520.180 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1458 | X=0119.570-0396.760 | Y=0526.220-0537.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1458 | X=0119.570-0424.080 | Y=0544.010-0555.250 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 762 (Trị
P=1458 | X=0119.570-0416.600 | Y=0555.530-0566.770 | An - Sóc Lu) đoạn từ Đường Võ Dõng 3 - Sóc Lu đến Giáp ranh xã
P=1458 | X=0119.570-0370.800 | Y=0567.050-0578.290 | Bàu Hàm có hiện trạng là đường nhựa, bê tông xi măng:
P=1458 | X=0098.930-0351.120 | Y=0584.570-0598.890 | 59 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
