TABLE=028 | AREA=Xã Xuân Phú | SECTION=agricultural | SEGMENTS=1
P=0970 | X=0117.170-0340.360 | Y=0333.940-0345.180 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0970 | X=0098.210-0209.190 | Y=0351.700-0362.940 | 64 Đường Xuân Phú 29
P=0970 | X=0235.300-0278.580 | Y=0351.700-0362.940 | Quốc lộ 1
P=0970 | X=0327.960-0370.280 | Y=0351.700-0362.940 | Suối Soài
P=0970 | X=0452.330-0468.500 | Y=0353.580-0362.900 | 530
P=0970 | X=0506.350-0522.520 | Y=0353.580-0362.900 | 330
P=0970 | X=0117.170-0412.060 | Y=0369.480-0380.720 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân Phú
P=0970 | X=0117.170-0409.510 | Y=0381.000-0392.240 | 29 đoạn từ Quốc lộ 1 đến Suối Soài có hiện trạng là đường nhựa,
P=0970 | X=0117.170-0190.800 | Y=0392.520-0403.760 | bê tông xi măng:
P=0970 | X=0098.210-0109.090 | Y=0400.400-0409.720 | 65
P=0970 | X=0452.330-0468.500 | Y=0400.400-0409.720 | 350
P=0970 | X=0506.350-0522.520 | Y=0400.400-0409.720 | 200
P=0970 | X=0117.170-0347.560 | Y=0410.040-0421.280 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0970 | X=0117.170-0394.140 | Y=0427.560-0438.800 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0970 | X=0117.170-0412.060 | Y=0445.320-0456.560 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân Phú
P=0970 | X=0117.170-0409.510 | Y=0456.860-0468.100 | 29 đoạn từ Quốc lộ 1 đến Suối Soài có hiện trạng là đường nhựa,
P=0970 | X=0117.170-0190.800 | Y=0468.380-0479.620 | bê tông xi măng:
P=0970 | X=0098.210-0348.040 | Y=0485.900-0499.980 | 66 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0970 | X=0452.330-0468.500 | Y=0490.660-0499.980 | 260
P=0970 | X=0506.350-0522.520 | Y=0490.660-0499.980 | 150
P=0970 | X=0117.170-0404.530 | Y=0503.420-0514.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0970 | X=0117.170-0177.810 | Y=0514.940-0526.180 | đến ≤1.000m.
P=0970 | X=0117.170-0339.880 | Y=0532.220-0543.460 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0970 | X=0117.170-0412.060 | Y=0550.010-0561.250 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân Phú
P=0970 | X=0117.170-0409.510 | Y=0561.530-0572.770 | 29 đoạn từ Quốc lộ 1 đến Suối Soài có hiện trạng là đường nhựa,
P=0970 | X=0117.170-0190.800 | Y=0573.050-0584.290 | bê tông xi măng:
P=0970 | X=0098.210-0109.090 | Y=0580.930-0590.250 | 67
P=0970 | X=0452.330-0468.500 | Y=0580.930-0590.250 | 180
P=0970 | X=0506.350-0522.520 | Y=0580.930-0590.250 | 110
P=0970 | X=0117.170-0402.530 | Y=0590.570-0601.810 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0970 | X=0117.170-0340.360 | Y=0608.090-0619.330 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0970 | X=0117.170-0402.330 | Y=0625.870-0637.110 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0970 | X=0117.170-0392.550 | Y=0637.390-0648.630 | Đường Xuân Phú 29 đoạn từ Quốc lộ 1 đến Suối Soài có hiện
P=0970 | X=0117.170-0291.140 | Y=0648.910-0660.150 | trạng là đường nhựa, bê tông xi măng:
P=0970 | X=0098.210-0109.090 | Y=0656.790-0666.110 | 68
P=0970 | X=0452.330-0468.500 | Y=0656.790-0666.110 | 350
P=0970 | X=0506.350-0522.520 | Y=0656.790-0666.110 | 200
P=0970 | X=0117.170-0347.560 | Y=0666.430-0677.670 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0970 | X=0117.170-0394.140 | Y=0683.950-0695.190 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0970 | X=0098.210-0402.460 | Y=0701.730-0712.970 | 69 Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0970 | X=0452.330-0468.490 | Y=0703.620-0712.940 | 260
P=0970 | X=0506.350-0522.520 | Y=0703.620-0712.940 | 150
P=0971 | X=0117.170-0392.860 | Y=0072.500-0083.740 | Đường Xuân Phú 29 đoạn từ Quốc lộ 1 đến Suối Soài có hiện
P=0971 | X=0117.170-0287.790 | Y=0084.020-0095.260 | trạng là đường nhựa, bê tông xi măng:
P=0971 | X=0117.170-0348.040 | Y=0101.540-0112.780 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0971 | X=0117.170-0404.530 | Y=0119.090-0130.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0971 | X=0117.170-0177.810 | Y=0130.610-0141.850 | đến ≤1.000m.
P=0971 | X=0117.170-0339.880 | Y=0148.130-0159.370 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0971 | X=0117.170-0402.330 | Y=0165.650-0176.890 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0971 | X=0117.170-0392.470 | Y=0177.170-0188.410 | Đường Xuân Phú 29 đoạn từ Quốc lộ 1 đến Suối Soài có hiện
P=0971 | X=0117.170-0291.140 | Y=0188.690-0199.930 | trạng là đường nhựa, bê tông xi măng:
P=0971 | X=0098.210-0109.090 | Y=0196.570-0205.890 | 70
P=0971 | X=0452.330-0468.500 | Y=0196.570-0205.890 | 180
P=0971 | X=0506.350-0522.520 | Y=0196.570-0205.890 | 110
P=0971 | X=0117.170-0402.530 | Y=0206.230-0217.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0971 | X=0117.170-0340.360 | Y=0223.750-0234.990 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0971 | X=0117.170-0227.680 | Y=0241.510-0252.750 | Đường Xuân Phú - Xuân
P=0971 | X=0327.960-0401.260 | Y=0241.510-0252.750 | Hết nghĩa địa ấp
P=0971 | X=0235.300-0278.580 | Y=0247.270-0258.510 | Quốc lộ 1
P=0971 | X=0098.210-0109.090 | Y=0249.150-0258.470 | 71
P=0971 | X=0452.330-0468.500 | Y=0249.150-0258.470 | 550
P=0971 | X=0506.350-0522.520 | Y=0249.150-0258.470 | 370
P=0971 | X=0117.170-0133.490 | Y=0254.910-0264.230 | Tây
P=0971 | X=0327.960-0368.120 | Y=0254.910-0264.230 | Bình Tân
P=0971 | X=0117.170-0411.930 | Y=0270.790-0282.030 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân Phú
P=0971 | X=0117.170-0401.350 | Y=0282.340-0293.580 | - Xuân Tây đoạn từ Quốc lộ 1 đến Hết nghĩa địa ấp Bình Tân có
P=0971 | X=0117.170-0312.740 | Y=0293.860-0305.100 | hiện trạng là đường nhựa, bê tông xi măng:
P=0971 | X=0098.210-0109.090 | Y=0301.740-0311.060 | 72
P=0971 | X=0452.330-0468.500 | Y=0301.740-0311.060 | 360
P=0971 | X=0506.350-0522.520 | Y=0301.740-0311.060 | 230
P=0971 | X=0117.170-0347.560 | Y=0311.380-0322.620 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0971 | X=0117.170-0394.140 | Y=0328.900-0340.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0971 | X=0117.170-0412.060 | Y=0346.660-0357.900 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân Phú
P=0971 | X=0117.170-0401.500 | Y=0357.940-0369.180 | - Xuân Tây đoạn từ Quốc lộ 1 đến Hết nghĩa địa ấp Bình Tân có
P=0971 | X=0117.170-0309.630 | Y=0369.480-0380.720 | hiện trạng là đường nhựa, bê tông xi măng:
P=0971 | X=0098.210-0348.040 | Y=0387.000-0401.320 | 73 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0971 | X=0452.330-0468.500 | Y=0392.000-0401.320 | 290
P=0971 | X=0506.350-0522.520 | Y=0392.000-0401.320 | 180
P=0971 | X=0117.170-0404.530 | Y=0404.520-0415.760 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0971 | X=0117.170-0177.810 | Y=0416.040-0427.280 | đến ≤1.000m.
P=0971 | X=0117.170-0339.880 | Y=0433.560-0444.800 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0971 | X=0117.170-0412.000 | Y=0451.340-0462.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân Phú
P=0971 | X=0117.170-0401.350 | Y=0462.860-0474.100 | - Xuân Tây đoạn từ Quốc lộ 1 đến Hết nghĩa địa ấp Bình Tân có
P=0971 | X=0117.170-0312.700 | Y=0474.380-0485.620 | hiện trạng là đường nhựa, bê tông xi măng:
P=0971 | X=0098.210-0109.090 | Y=0482.260-0491.580 | 74
P=0971 | X=0452.330-0468.500 | Y=0482.260-0491.580 | 200
P=0971 | X=0506.350-0522.520 | Y=0482.260-0491.580 | 130
P=0971 | X=0117.170-0402.530 | Y=0491.900-0503.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0971 | X=0117.170-0340.360 | Y=0509.420-0520.660 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0971 | X=0117.170-0402.330 | Y=0527.180-0538.420 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0971 | X=0117.170-0411.950 | Y=0538.490-0549.730 | Đường Xuân Phú - Xuân Tây đoạn từ Quốc lộ 1 đến Hết nghĩa địa
P=0971 | X=0117.170-0381.050 | Y=0550.010-0561.250 | ấp Bình Tân có hiện trạng là đường nhựa, bê tông xi măng:
P=0971 | X=0098.210-0109.090 | Y=0557.890-0567.210 | 75
P=0971 | X=0452.330-0468.500 | Y=0557.890-0567.210 | 360
P=0971 | X=0506.350-0522.520 | Y=0557.890-0567.210 | 230
P=0971 | X=0117.170-0347.560 | Y=0567.530-0578.770 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0971 | X=0117.170-0394.140 | Y=0585.050-0596.290 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0971 | X=0117.170-0402.220 | Y=0602.810-0614.050 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0971 | X=0117.170-0411.820 | Y=0614.330-0625.570 | Đường Xuân Phú - Xuân Tây đoạn từ Quốc lộ 1 đến Hết nghĩa địa
P=0971 | X=0117.170-0380.210 | Y=0625.870-0637.110 | ấp Bình Tân có hiện trạng là đường nhựa, bê tông xi măng:
P=0971 | X=0098.210-0348.040 | Y=0643.390-0657.470 | 76 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0971 | X=0452.330-0468.500 | Y=0648.150-0657.470 | 290
P=0971 | X=0506.350-0522.520 | Y=0648.150-0657.470 | 180
P=0971 | X=0117.170-0404.530 | Y=0660.910-0672.150 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0971 | X=0117.170-0177.810 | Y=0672.430-0683.670 | đến ≤1.000m.
P=0971 | X=0117.170-0339.880 | Y=0689.950-0701.190 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0971 | X=0098.210-0402.330 | Y=0707.730-0718.970 | 77 Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0971 | X=0452.330-0468.500 | Y=0709.620-0718.940 | 200
P=0971 | X=0506.350-0522.520 | Y=0709.620-0718.940 | 130
P=0972 | X=0117.170-0411.990 | Y=0072.500-0083.740 | Đường Xuân Phú - Xuân Tây đoạn từ Quốc lộ 1 đến Hết nghĩa địa
P=0972 | X=0117.170-0381.050 | Y=0084.020-0095.260 | ấp Bình Tân có hiện trạng là đường nhựa, bê tông xi măng:
P=0972 | X=0117.170-0402.530 | Y=0101.540-0112.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0972 | X=0117.170-0340.360 | Y=0119.090-0130.330 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0972 | X=0327.960-0408.130 | Y=0138.730-0148.050 | Ngã ba Trung tâm
P=0972 | X=0117.170-0308.600 | Y=0142.610-0153.850 | Đường Xuân Phú - Xuân Hết nghĩa địa ấp
P=0972 | X=0327.960-0399.590 | Y=0148.370-0159.610 | cai nghiện Xuân
P=0972 | X=0098.210-0109.090 | Y=0150.250-0159.570 | 78
P=0972 | X=0452.330-0468.500 | Y=0150.250-0159.570 | 550
P=0972 | X=0506.590-0522.760 | Y=0150.250-0159.570 | 370
P=0972 | X=0117.170-0133.490 | Y=0156.010-0165.330 | Tây
P=0972 | X=0235.300-0275.460 | Y=0156.010-0165.330 | Bình Tân
P=0972 | X=0327.960-0345.330 | Y=0161.530-0170.850 | Phú
P=0972 | X=0117.170-0411.930 | Y=0177.410-0188.650 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân Phú
P=0972 | X=0117.170-0406.390 | Y=0188.930-0200.170 | - Xuân Tây đoạn từ Hết nghĩa địa ấp Bình Tân đến Ngã ba Trung
P=0972 | X=0117.170-0410.030 | Y=0200.470-0211.710 | tâm cai nghiện Xuân Phú có hiện trạng là đường nhựa, bê tông xi
P=0972 | X=0098.210-0145.170 | Y=0211.990-0223.430 | 79 măng:
P=0972 | X=0452.330-0468.500 | Y=0214.110-0223.430 | 360
P=0972 | X=0506.350-0522.520 | Y=0214.110-0223.430 | 230
P=0972 | X=0117.170-0347.560 | Y=0229.510-0240.750 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0972 | X=0117.170-0394.140 | Y=0247.030-0258.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0972 | X=0117.170-0411.580 | Y=0264.790-0276.030 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân Phú
P=0972 | X=0117.170-0405.580 | Y=0276.310-0287.550 | - Xuân Tây đoạn từ Hết nghĩa địa ấp Bình Tân đến Ngã ba Trung
P=0972 | X=0117.170-0407.260 | Y=0287.860-0299.100 | tâm cai nghiện Xuân Phú có hiện trạng là đường nhựa, bê tông xi
P=0972 | X=0117.170-0144.700 | Y=0299.380-0310.620 | măng:
P=0972 | X=0098.210-0348.040 | Y=0315.900-0328.140 | 80 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0972 | X=0452.330-0468.500 | Y=0315.900-0325.220 | 290
P=0972 | X=0506.350-0522.520 | Y=0315.900-0325.220 | 180
P=0972 | X=0117.170-0404.530 | Y=0334.420-0345.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0972 | X=0117.170-0177.810 | Y=0345.700-0356.940 | đến ≤1.000m.
P=0972 | X=0117.170-0339.880 | Y=0363.220-0374.460 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0972 | X=0117.170-0411.990 | Y=0381.000-0392.240 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân Phú
P=0972 | X=0117.170-0406.390 | Y=0392.520-0403.760 | - Xuân Tây đoạn từ Hết nghĩa địa ấp Bình Tân đến Ngã ba Trung
P=0972 | X=0117.170-0410.030 | Y=0404.040-0415.280 | tâm cai nghiện Xuân Phú có hiện trạng là đường nhựa, bê tông xi
P=0972 | X=0098.210-0145.170 | Y=0415.560-0427.000 | 81 măng:
P=0972 | X=0452.330-0468.500 | Y=0417.680-0427.000 | 200
P=0972 | X=0506.350-0522.520 | Y=0417.680-0427.000 | 130
P=0972 | X=0117.170-0402.530 | Y=0433.080-0444.320 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0972 | X=0117.170-0340.360 | Y=0450.620-0461.860 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0972 | X=0117.170-0402.330 | Y=0468.380-0479.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0972 | X=0117.170-0404.030 | Y=0479.900-0491.140 | Đường Xuân Phú - Xuân Tây đoạn từ Hết nghĩa địa ấp Bình Tân
P=0972 | X=0117.170-0385.560 | Y=0491.420-0502.660 | đến Ngã ba Trung tâm cai nghiện Xuân Phú có hiện trạng là
P=0972 | X=0098.210-0252.920 | Y=0502.940-0514.380 | 82 đường nhựa, bê tông xi măng:
P=0972 | X=0452.330-0468.500 | Y=0505.060-0514.380 | 360
P=0972 | X=0506.350-0522.520 | Y=0505.060-0514.380 | 230
P=0972 | X=0117.170-0347.560 | Y=0520.220-0531.460 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0972 | X=0117.170-0394.140 | Y=0537.770-0549.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0972 | X=0117.170-0402.220 | Y=0555.530-0566.770 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0972 | X=0117.170-0403.660 | Y=0567.050-0578.290 | Đường Xuân Phú - Xuân Tây đoạn từ Hết nghĩa địa ấp Bình Tân
P=0972 | X=0117.170-0382.500 | Y=0578.570-0589.810 | đến Ngã ba Trung tâm cai nghiện Xuân Phú có hiện trạng là
P=0972 | X=0117.170-0252.510 | Y=0590.090-0601.330 | đường nhựa, bê tông xi măng:
P=0972 | X=0098.210-0348.040 | Y=0606.850-0618.850 | 83 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0972 | X=0452.330-0468.500 | Y=0606.850-0616.170 | 290
P=0972 | X=0506.350-0522.520 | Y=0606.850-0616.170 | 180
P=0972 | X=0117.170-0404.530 | Y=0625.150-0636.390 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0972 | X=0117.170-0177.810 | Y=0636.670-0647.910 | đến ≤1.000m.
P=0972 | X=0117.170-0339.880 | Y=0654.190-0665.430 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0972 | X=0117.170-0402.370 | Y=0671.950-0683.190 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0972 | X=0117.170-0404.030 | Y=0683.470-0694.710 | Đường Xuân Phú - Xuân Tây đoạn từ Hết nghĩa địa ấp Bình Tân
P=0972 | X=0098.210-0109.090 | Y=0691.110-0700.430 | 84
P=0972 | X=0452.330-0468.500 | Y=0691.110-0700.430 | 200
P=0972 | X=0506.350-0522.520 | Y=0691.110-0700.430 | 130
P=0972 | X=0117.170-0385.560 | Y=0694.750-0705.990 | đến Ngã ba Trung tâm cai nghiện Xuân Phú có hiện trạng là
P=0972 | X=0117.170-0252.920 | Y=0706.290-0717.530 | đường nhựa, bê tông xi măng:
P=0973 | X=0117.170-0402.530 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0973 | X=0117.170-0340.360 | Y=0096.020-0107.260 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0973 | X=0117.170-0410.630 | Y=0113.780-0125.020 | Đường Xuân Phú - Xuân Ngã ba Trung tâm Ranh giới xã Xuân
P=0973 | X=0098.210-0109.090 | Y=0121.450-0130.770 | 85
P=0973 | X=0452.330-0468.500 | Y=0121.450-0130.770 | 550
P=0973 | X=0506.350-0522.520 | Y=0121.450-0130.770 | 370
P=0973 | X=0235.300-0351.100 | Y=0125.330-0136.570 | cai nghiện Xuân Phú Đông
P=0973 | X=0117.170-0133.490 | Y=0127.210-0136.530 | Tây
P=0973 | X=0117.170-0411.930 | Y=0143.090-0154.330 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân Phú
P=0973 | X=0117.170-0401.450 | Y=0154.610-0165.850 | - Xuân Tây đoạn từ Ngã ba Trung tâm cai nghiện Xuân Phú đến
P=0973 | X=0117.170-0407.400 | Y=0166.130-0177.370 | Ranh giới xã Xuân Đông có hiện trạng là đường nhựa, bê tông xi
P=0973 | X=0098.210-0145.170 | Y=0177.410-0188.850 | 86 măng:
P=0973 | X=0452.330-0468.500 | Y=0179.530-0188.850 | 360
P=0973 | X=0506.350-0522.520 | Y=0179.530-0188.850 | 230
P=0973 | X=0117.170-0347.560 | Y=0194.930-0206.170 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0973 | X=0117.170-0394.140 | Y=0212.470-0223.710 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0973 | X=0117.170-0411.820 | Y=0230.230-0241.470 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân Phú
P=0973 | X=0117.170-0400.780 | Y=0241.750-0252.990 | - Xuân Tây đoạn từ Ngã ba Trung tâm cai nghiện Xuân Phú đến
P=0973 | X=0117.170-0404.620 | Y=0253.270-0264.510 | Ranh giới xã Xuân Đông có hiện trạng là đường nhựa, bê tông xi
P=0973 | X=0117.170-0144.700 | Y=0264.790-0276.030 | măng:
P=0973 | X=0098.210-0348.040 | Y=0281.310-0293.580 | 87 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0973 | X=0452.330-0468.500 | Y=0281.310-0290.630 | 290
P=0973 | X=0506.350-0522.520 | Y=0281.310-0290.630 | 180
P=0973 | X=0117.170-0404.530 | Y=0299.860-0311.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0973 | X=0117.170-0177.810 | Y=0311.380-0322.620 | đến ≤1.000m.
P=0973 | X=0117.170-0339.880 | Y=0328.900-0340.140 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0973 | X=0117.170-0411.930 | Y=0346.660-0357.900 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân Phú
P=0973 | X=0117.170-0401.340 | Y=0357.940-0369.180 | - Xuân Tây đoạn từ Ngã ba Trung tâm cai nghiện Xuân Phú đến
P=0973 | X=0117.170-0407.500 | Y=0369.480-0380.720 | Ranh giới xã Xuân Đông có hiện trạng là đường nhựa, bê tông xi
P=0973 | X=0098.210-0145.170 | Y=0381.000-0392.440 | 88 măng:
P=0973 | X=0452.330-0468.500 | Y=0383.120-0392.440 | 200
P=0973 | X=0506.350-0522.520 | Y=0383.120-0392.440 | 130
P=0973 | X=0117.170-0402.530 | Y=0398.520-0409.760 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0973 | X=0117.170-0340.360 | Y=0416.040-0427.280 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0973 | X=0117.170-0402.330 | Y=0433.800-0445.040 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0973 | X=0117.170-0383.400 | Y=0445.320-0456.560 | Đường Xuân Phú - Xuân Tây đoạn từ Ngã ba Trung tâm cai
P=0973 | X=0117.170-0398.780 | Y=0456.860-0468.100 | nghiện Xuân Phú đến Ranh giới xã Xuân Đông có hiện trạng là
P=0973 | X=0098.210-0252.920 | Y=0468.380-0479.820 | 89 đường nhựa, bê tông xi măng:
P=0973 | X=0452.330-0468.500 | Y=0470.500-0479.820 | 360
P=0973 | X=0506.350-0522.520 | Y=0470.500-0479.820 | 230
P=0973 | X=0117.170-0347.560 | Y=0485.900-0497.140 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0973 | X=0117.170-0394.140 | Y=0503.420-0514.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0973 | X=0117.170-0401.980 | Y=0521.180-0532.420 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0973 | X=0117.170-0382.980 | Y=0532.490-0543.730 | Đường Xuân Phú - Xuân Tây đoạn từ Ngã ba Trung tâm cai
P=0973 | X=0117.170-0395.900 | Y=0544.010-0555.250 | nghiện Xuân Phú đến Ranh giới xã Xuân Đông có hiện trạng là
P=0973 | X=0117.170-0252.500 | Y=0555.530-0566.770 | đường nhựa, bê tông xi măng:
P=0973 | X=0098.210-0348.040 | Y=0572.290-0584.290 | 90 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0973 | X=0452.330-0468.500 | Y=0572.290-0581.610 | 290
P=0973 | X=0506.350-0522.520 | Y=0572.290-0581.610 | 180
P=0973 | X=0117.170-0404.530 | Y=0590.570-0601.810 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0973 | X=0117.170-0177.810 | Y=0602.090-0613.330 | đến ≤1.000m.
P=0973 | X=0117.170-0339.880 | Y=0619.630-0630.870 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0973 | X=0117.170-0402.330 | Y=0637.390-0648.630 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0973 | X=0117.170-0383.400 | Y=0648.910-0660.150 | Đường Xuân Phú - Xuân Tây đoạn từ Ngã ba Trung tâm cai
P=0973 | X=0117.170-0398.780 | Y=0660.430-0671.670 | nghiện Xuân Phú đến Ranh giới xã Xuân Đông có hiện trạng là
P=0973 | X=0098.210-0252.920 | Y=0671.950-0683.390 | 91 đường nhựa, bê tông xi măng:
P=0973 | X=0452.330-0468.500 | Y=0674.070-0683.390 | 200
P=0973 | X=0506.350-0522.520 | Y=0674.070-0683.390 | 130
P=0973 | X=0117.170-0402.530 | Y=0689.470-0700.710 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0973 | X=0117.170-0340.360 | Y=0706.770-0718.010 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0974 | X=0117.170-0226.550 | Y=0078.500-0089.740 | Đường Nội ấp Bình Tân,
P=0974 | X=0098.210-0278.580 | Y=0090.020-0101.260 | 92 đường vào Trung tâm Văn Quốc lộ 1
P=0974 | X=0327.960-0406.940 | Y=0090.020-0101.260 | Quốc lộ 1 + 500m
P=0974 | X=0452.330-0468.500 | Y=0091.900-0101.220 | 530
P=0974 | X=0506.350-0522.520 | Y=0091.900-0101.220 | 330
P=0974 | X=0117.170-0147.250 | Y=0103.420-0112.740 | hóa xã
P=0974 | X=0117.170-0397.310 | Y=0119.330-0130.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nội ấp
P=0974 | X=0117.170-0397.020 | Y=0130.850-0142.090 | Bình Tân, đường vào Trung tâm Văn hóa xã đoạn từ Quốc lộ 1
P=0974 | X=0117.170-0394.640 | Y=0142.370-0153.610 | đến Quốc lộ 1 + 500m có hiện trạng là đường nhựa, bê tông xi
P=0974 | X=0098.210-0145.170 | Y=0153.650-0165.330 | 93 măng:
P=0974 | X=0452.330-0468.500 | Y=0156.010-0165.330 | 350
P=0974 | X=0506.350-0522.520 | Y=0156.010-0165.330 | 200
P=0974 | X=0117.170-0347.560 | Y=0171.170-0182.410 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0974 | X=0117.170-0394.140 | Y=0188.690-0199.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0974 | X=0117.170-0397.410 | Y=0206.470-0217.710 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nội ấp
P=0974 | X=0117.170-0397.180 | Y=0217.990-0229.230 | Bình Tân, đường vào Trung tâm Văn hóa xã đoạn từ Quốc lộ 1
P=0974 | X=0117.170-0391.400 | Y=0229.510-0240.750 | đến Quốc lộ 1 + 500m có hiện trạng là đường nhựa, bê tông xi
P=0974 | X=0117.170-0144.210 | Y=0241.030-0252.270 | măng:
P=0974 | X=0098.210-0348.040 | Y=0257.550-0269.790 | 94 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0974 | X=0452.330-0468.500 | Y=0257.550-0266.870 | 260
P=0974 | X=0506.350-0522.520 | Y=0257.550-0266.870 | 150
P=0974 | X=0117.170-0404.530 | Y=0276.070-0287.310 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=0974 | X=0117.170-0177.810 | Y=0287.620-0298.860 | đến ≤1.000m.
