TABLE=009 | AREA=Phường Phước Tân | SECTION=agricultural | SEGMENTS=1
P=0309 | X=0096.050-0336.980 | Y=0464.300-0478.620 | 31 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0309 | X=0445.850-0462.490 | Y=0469.300-0478.620 | 560
P=0309 | X=0505.390-0522.030 | Y=0469.300-0478.620 | 380
P=0309 | X=0113.810-0400.700 | Y=0481.820-0493.060 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0309 | X=0113.810-0166.770 | Y=0493.340-0504.580 | đến ≤600m.
P=0309 | X=0113.810-0336.980 | Y=0510.860-0522.100 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0309 | X=0113.810-0385.630 | Y=0528.860-0540.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Đinh
P=0309 | X=0113.810-0382.770 | Y=0540.410-0551.650 | Quang Ân đoạn từ Chùa Viên Thông đến Đường Võ Nguyên
P=0309 | X=0113.810-0344.650 | Y=0551.930-0563.170 | Giáp có hiện trạng là đường nhựa, bê tông xi măng:
P=0309 | X=0096.050-0107.170 | Y=0559.810-0569.130 | 32
P=0309 | X=0445.850-0462.490 | Y=0559.810-0569.130 | 460
P=0309 | X=0505.390-0522.030 | Y=0559.810-0569.130 | 310
P=0309 | X=0113.810-0391.240 | Y=0569.450-0580.690 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0309 | X=0113.810-0337.450 | Y=0586.970-0598.210 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0309 | X=0113.810-0399.070 | Y=0604.970-0616.210 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0309 | X=0113.810-0388.540 | Y=0616.270-0627.510 | Đường Đinh Quang Ân đoạn từ Chùa Viên Thông đến Đường
P=0309 | X=0113.810-0396.740 | Y=0627.790-0639.030 | Võ Nguyên Giáp có hiện trạng là đường nhựa, bê tông xi măng:
P=0309 | X=0096.050-0107.170 | Y=0635.670-0644.990 | 33
P=0309 | X=0445.850-0462.490 | Y=0635.670-0644.990 | 660
P=0309 | X=0505.390-0522.030 | Y=0635.670-0644.990 | 440
P=0309 | X=0113.810-0336.720 | Y=0645.310-0656.550 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0309 | X=0113.810-0391.000 | Y=0662.830-0674.070 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0309 | X=0113.810-0399.070 | Y=0680.830-0692.070 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0309 | X=0096.050-0388.540 | Y=0692.350-0703.590 | 34 Đường Đinh Quang Ân đoạn từ Chùa Viên Thông đến Đường
P=0309 | X=0445.850-0462.490 | Y=0694.230-0703.550 | 560
P=0309 | X=0505.390-0522.030 | Y=0694.230-0703.550 | 380
P=0309 | X=0113.810-0396.770 | Y=0703.890-0715.130 | Võ Nguyên Giáp có hiện trạng là đường nhựa, bê tông xi măng:
P=0310 | X=0113.810-0336.980 | Y=0078.740-0089.980 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0310 | X=0113.810-0400.700 | Y=0096.260-0107.500 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0310 | X=0113.810-0166.770 | Y=0107.780-0119.020 | đến ≤600m.
P=0310 | X=0113.810-0336.980 | Y=0125.330-0136.570 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0310 | X=0113.810-0399.070 | Y=0143.330-0154.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0310 | X=0113.810-0388.540 | Y=0154.850-0166.090 | Đường Đinh Quang Ân đoạn từ Chùa Viên Thông đến Đường
P=0310 | X=0113.810-0396.740 | Y=0166.370-0177.610 | Võ Nguyên Giáp có hiện trạng là đường nhựa, bê tông xi măng:
P=0310 | X=0096.050-0107.170 | Y=0174.250-0183.570 | 35
P=0310 | X=0445.850-0462.490 | Y=0174.250-0183.570 | 460
P=0310 | X=0505.390-0522.030 | Y=0174.250-0183.570 | 310
P=0310 | X=0113.810-0391.240 | Y=0183.650-0194.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0310 | X=0113.810-0340.100 | Y=0201.190-0212.430 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0310 | X=0205.510-0394.780 | Y=0219.190-0230.430 | Đường Bùi Văn Hòa Đường Nguyễn Trung
P=0310 | X=0096.050-0162.370 | Y=0226.830-0236.150 | 36 Quốc lộ 51
P=0310 | X=0437.690-0462.740 | Y=0226.830-0236.150 | 1.000
P=0310 | X=0505.390-0522.030 | Y=0226.830-0236.150 | 630
P=0310 | X=0205.510-0318.120 | Y=0232.590-0241.910 | (Quốc lộ 15 nối dài) Trực
P=0310 | X=0113.810-0378.940 | Y=0248.710-0259.950 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 51
P=0310 | X=0113.810-0385.660 | Y=0260.230-0271.470 | đoạn từ Đường Bùi Văn Hòa (Quốc lộ 15 nối dài) đến Đường
P=0310 | X=0113.810-0380.110 | Y=0271.750-0282.990 | Nguyễn Trung Trực có hiện trạng là đường nhựa, bê tông xi
P=0310 | X=0096.050-0141.810 | Y=0283.300-0294.740 | 37 măng:
P=0310 | X=0445.850-0462.490 | Y=0285.420-0294.740 | 660
P=0310 | X=0505.390-0522.030 | Y=0285.420-0294.740 | 440
P=0310 | X=0113.810-0336.720 | Y=0300.820-0312.060 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0310 | X=0113.810-0391.000 | Y=0318.340-0329.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0310 | X=0113.810-0378.940 | Y=0336.340-0347.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 51
P=0310 | X=0113.810-0385.660 | Y=0347.860-0359.100 | đoạn từ Đường Bùi Văn Hòa (Quốc lộ 15 nối dài) đến Đường
P=0310 | X=0113.810-0380.110 | Y=0359.380-0370.620 | Nguyễn Trung Trực có hiện trạng là đường nhựa, bê tông xi
P=0310 | X=0113.810-0141.810 | Y=0370.920-0382.160 | măng:
P=0310 | X=0096.050-0336.980 | Y=0387.440-0399.440 | 38 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0310 | X=0445.850-0462.490 | Y=0387.440-0396.760 | 560
P=0310 | X=0505.390-0522.030 | Y=0387.440-0396.760 | 380
P=0310 | X=0113.810-0400.700 | Y=0405.720-0416.960 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0310 | X=0113.810-0166.770 | Y=0417.240-0428.480 | đến ≤600m.
P=0310 | X=0113.810-0336.980 | Y=0434.760-0446.000 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0310 | X=0113.810-0378.940 | Y=0452.780-0464.020 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 51
P=0310 | X=0113.810-0385.660 | Y=0464.300-0475.540 | đoạn từ Đường Bùi Văn Hòa (Quốc lộ 15 nối dài) đến Đường
P=0310 | X=0113.810-0380.110 | Y=0475.820-0487.060 | Nguyễn Trung Trực có hiện trạng là đường nhựa, bê tông xi
P=0310 | X=0096.050-0141.810 | Y=0487.340-0498.780 | 39 măng:
P=0310 | X=0445.850-0462.490 | Y=0489.460-0498.780 | 460
P=0310 | X=0505.390-0522.030 | Y=0489.460-0498.780 | 310
P=0310 | X=0113.810-0391.240 | Y=0504.860-0516.100 | - Có bề rộng từ ≥3m đến <5m, cách đường.giao thông >600m.
P=0310 | X=0113.810-0337.450 | Y=0522.380-0533.620 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0310 | X=0113.810-0399.070 | Y=0540.410-0551.650 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0310 | X=0113.810-0382.920 | Y=0551.930-0563.170 | Quốc lộ 51 đoạn từ Đường Bùi Văn Hòa (Quốc lộ 15 nối dài)
P=0310 | X=0113.810-0401.980 | Y=0563.450-0574.690 | đến Đường Nguyễn Trung Trực có hiện trạng là đường nhựa, bê
P=0310 | X=0096.050-0173.970 | Y=0574.970-0586.410 | 40 tông xi măng:
P=0310 | X=0445.850-0462.490 | Y=0577.090-0586.410 | 660
P=0310 | X=0505.390-0522.030 | Y=0577.090-0586.410 | 440
P=0310 | X=0113.810-0336.720 | Y=0592.250-0603.490 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0310 | X=0113.810-0391.000 | Y=0609.770-0621.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0310 | X=0113.810-0399.070 | Y=0627.790-0639.030 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0310 | X=0113.810-0382.920 | Y=0639.310-0650.550 | Quốc lộ 51 đoạn từ Đường Bùi Văn Hòa (Quốc lộ 15 nối dài)
P=0310 | X=0113.810-0401.980 | Y=0650.830-0662.070 | đến Đường Nguyễn Trung Trực có hiện trạng là đường nhựa, bê
P=0310 | X=0096.050-0173.970 | Y=0662.350-0673.790 | 41 tông xi măng:
P=0310 | X=0445.850-0462.490 | Y=0664.470-0673.790 | 560
P=0310 | X=0505.390-0522.030 | Y=0664.470-0673.790 | 380
P=0310 | X=0113.810-0336.980 | Y=0679.870-0691.110 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0310 | X=0113.810-0400.700 | Y=0697.390-0708.630 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0311 | X=0113.810-0166.770 | Y=0072.740-0083.980 | đến ≤600m.
P=0311 | X=0113.810-0336.980 | Y=0090.260-0101.500 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0311 | X=0113.810-0399.070 | Y=0108.260-0119.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0311 | X=0113.810-0382.920 | Y=0119.810-0131.050 | Quốc lộ 51 đoạn từ Đường Bùi Văn Hòa (Quốc lộ 15 nối dài)
P=0311 | X=0113.810-0401.980 | Y=0131.330-0142.570 | đến Đường Nguyễn Trung Trực có hiện trạng là đường nhựa, bê
P=0311 | X=0096.050-0173.970 | Y=0142.850-0154.290 | 42 tông xi măng:
P=0311 | X=0445.850-0462.490 | Y=0144.970-0154.290 | 460
P=0311 | X=0505.390-0522.030 | Y=0144.970-0154.290 | 310
P=0311 | X=0113.810-0391.240 | Y=0160.370-0171.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0311 | X=0113.810-0340.100 | Y=0177.650-0188.890 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0311 | X=0205.510-0274.500 | Y=0195.650-0206.890 | Đường Nguyễn
P=0311 | X=0096.050-0162.370 | Y=0203.310-0212.630 | 43 Quốc lộ 51
P=0311 | X=0296.760-0372.930 | Y=0203.310-0212.630 | Cầu Sông Buông
P=0311 | X=0437.690-0462.740 | Y=0203.310-0212.630 | 1.000
P=0311 | X=0505.390-0522.030 | Y=0203.310-0212.630 | 630
P=0311 | X=0205.510-0255.700 | Y=0209.070-0218.390 | Trung Trực
P=0311 | X=0113.810-0378.940 | Y=0225.190-0236.430 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 51
P=0311 | X=0113.810-0382.520 | Y=0236.710-0247.950 | đoạn từ Đường Nguyễn Trung Trực đến cầu Sông Buông có
P=0311 | X=0113.810-0307.420 | Y=0248.230-0259.470 | hiện trạng là đường nhựa, bê tông xi măng:
P=0311 | X=0096.050-0107.170 | Y=0256.110-0265.430 | 44
P=0311 | X=0445.850-0462.490 | Y=0256.110-0265.430 | 660
P=0311 | X=0505.390-0522.030 | Y=0256.110-0265.430 | 440
P=0311 | X=0113.810-0336.720 | Y=0265.750-0276.990 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0311 | X=0113.810-0391.000 | Y=0283.300-0294.540 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0311 | X=0113.810-0378.940 | Y=0301.300-0312.540 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 51
P=0311 | X=0113.810-0382.520 | Y=0312.820-0324.060 | đoạn từ Đường Nguyễn Trung Trực đến cầu Sông Buông có
P=0311 | X=0113.810-0307.420 | Y=0324.340-0335.580 | hiện trạng là đường nhựa, bê tông xi măng:
P=0311 | X=0096.050-0336.980 | Y=0341.860-0355.940 | 45 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0311 | X=0445.850-0462.490 | Y=0346.620-0355.940 | 560
P=0311 | X=0505.390-0522.030 | Y=0346.620-0355.940 | 380
P=0311 | X=0113.810-0400.700 | Y=0359.380-0370.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0311 | X=0113.810-0166.770 | Y=0370.920-0382.160 | đến ≤600m.
P=0311 | X=0113.810-0336.980 | Y=0388.200-0399.440 | - Có bồ rộng <3m, cách đường giao thông ≤200m.
P=0311 | X=0113.810-0378.940 | Y=0406.200-0417.440 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 51
P=0311 | X=0113.810-0384.680 | Y=0417.720-0428.960 | đoạn từ Đường Nguyễn Trung Trực đến Cầu Sông Buông có
P=0311 | X=0113.810-0307.460 | Y=0429.240-0440.480 | hiện trạng là đường nhựa, bê tông xi măng:
P=0311 | X=0096.050-0107.170 | Y=0437.120-0446.440 | 46
P=0311 | X=0445.850-0462.490 | Y=0437.120-0446.440 | 460
P=0311 | X=0505.390-0522.030 | Y=0437.120-0446.440 | 310
P=0311 | X=0113.810-0391.260 | Y=0446.760-0458.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0311 | X=0113.810-0337.450 | Y=0464.300-0475.540 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0311 | X=0113.810-0399.070 | Y=0482.300-0493.540 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0311 | X=0113.810-0390.710 | Y=0493.820-0505.060 | Quốc lộ 51 đoạn từ Đường Nguyễn Trung Trực đến Cầu Sông
P=0311 | X=0113.810-0352.340 | Y=0505.340-0516.580 | Buông có hiện trạng là đường nhựa, bê tông xi măng:
P=0311 | X=0096.050-0107.170 | Y=0513.220-0522.540 | 47
P=0311 | X=0445.850-0462.490 | Y=0513.220-0522.540 | 660
P=0311 | X=0505.390-0522.030 | Y=0513.220-0522.540 | 440
P=0311 | X=0113.810-0336.720 | Y=0522.860-0534.100 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0311 | X=0113.810-0391.000 | Y=0540.410-0551.650 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0311 | X=0113.810-0399.070 | Y=0558.410-0569.650 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0311 | X=0113.810-0388.550 | Y=0569.930-0581.170 | Quốc lộ 51 đoạn từ Đường Nguyễn Trung Trực đến cầu Sông
P=0311 | X=0113.810-0352.340 | Y=0581.450-0592.690 | Buông có hiện trạng là đường nhựa, bê tông xi măng:
P=0311 | X=0096.050-0336.980 | Y=0598.970-0613.050 | 48 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0311 | X=0445.850-0462.490 | Y=0603.730-0613.050 | 560
P=0311 | X=0505.390-0522.030 | Y=0603.730-0613.050 | 380
P=0311 | X=0113.810-0400.700 | Y=0616.270-0627.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0311 | X=0113.810-0166.770 | Y=0627.790-0639.030 | đến ≤600m.
P=0311 | X=0113.810-0336.980 | Y=0645.310-0656.550 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0311 | X=0113.810-0399.070 | Y=0663.310-0674.550 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0311 | X=0113.810-0388.550 | Y=0674.830-0686.070 | Quốc lộ 51 đoạn từ Đường Nguyễn Trung Trực đến cầu Sông
P=0311 | X=0096.050-0352.340 | Y=0685.590-0697.590 | 49 Buông có hiện trạng là đường nhựa, bê tông xi măng:
P=0311 | X=0445.850-0462.490 | Y=0685.590-0694.910 | 460
P=0311 | X=0505.390-0522.030 | Y=0685.590-0694.910 | 310
P=0311 | X=0113.810-0391.240 | Y=0703.890-0715.130 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0312 | X=0113.810-0340.100 | Y=0078.740-0089.980 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0312 | X=0296.760-0379.180 | Y=0096.740-0107.980 | Giáp ranh phường
P=0312 | X=0096.050-0162.370 | Y=0104.380-0113.700 | 50 Quốc lộ 51
P=0312 | X=0205.510-0281.670 | Y=0104.380-0113.700 | Cầu Sông Buông
P=0312 | X=0437.690-0462.740 | Y=0104.380-0113.700 | 1.000
P=0312 | X=0505.390-0522.030 | Y=0104.380-0113.700 | 630
P=0312 | X=0296.760-0347.480 | Y=0108.260-0119.500 | Phước Tân
P=0312 | X=0113.810-0378.940 | Y=0126.290-0137.530 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 51
P=0312 | X=0113.810-0396.440 | Y=0137.810-0149.050 | đoạn từ cầu Sông Buông đến Giáp ranh phường Phước Tân có
P=0312 | X=0113.810-0307.460 | Y=0149.330-0160.570 | hiện trạng là đường nhựa, bê tông xi măng:
P=0312 | X=0096.050-0107.170 | Y=0157.210-0166.530 | 51
P=0312 | X=0445.850-0462.490 | Y=0157.210-0166.530 | 660
P=0312 | X=0505.390-0522.030 | Y=0157.210-0166.530 | 440
P=0312 | X=0113.810-0336.720 | Y=0166.850-0178.090 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0312 | X=0113.810-0391.000 | Y=0184.370-0195.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0312 | X=0113.810-0378.940 | Y=0202.390-0213.630 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 51
P=0312 | X=0113.810-0396.440 | Y=0213.670-0224.910 | đoạn từ cầu Sông Buông đến Giáp ranh phường Phước Tân có
P=0312 | X=0113.810-0307.420 | Y=0225.190-0236.430 | hiện trạng là đường nhựa, bê tông xi măng:
P=0312 | X=0096.050-0336.980 | Y=0242.710-0257.030 | 52 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0312 | X=0445.850-0462.490 | Y=0247.710-0257.030 | 560
P=0312 | X=0505.390-0522.030 | Y=0247.710-0257.030 | 380
P=0312 | X=0113.810-0400.700 | Y=0260.230-0271.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0312 | X=0113.810-0166.770 | Y=0271.750-0282.990 | đến ≤600m.
P=0312 | X=0113.810-0336.980 | Y=0289.300-0300.540 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0312 | X=0113.810-0378.940 | Y=0307.300-0318.540 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 51
P=0312 | X=0113.810-0396.440 | Y=0318.820-0330.060 | đoạn từ cầu Sông Buông đến Giáp ranh phường Phước Tân có
P=0312 | X=0113.810-0307.420 | Y=0330.340-0341.580 | hiện trạng là đường nhựa, bê tông xi măng:
P=0312 | X=0096.050-0107.170 | Y=0338.220-0347.540 | 53
P=0312 | X=0445.850-0462.490 | Y=0338.220-0347.540 | 460
P=0312 | X=0505.390-0522.030 | Y=0338.220-0347.540 | 310
P=0312 | X=0113.810-0391.240 | Y=0347.860-0359.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0312 | X=0113.810-0337.450 | Y=0365.400-0376.640 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0312 | X=0113.810-0399.070 | Y=0383.400-0394.640 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0312 | X=0113.810-0383.030 | Y=0394.920-0406.160 | Quốc lộ 51 đoạn từ Cầu Sông Buông đến Giáp ranh phường
P=0312 | X=0113.810-0373.710 | Y=0406.200-0417.440 | Phước Tân có hiện trạng là đường nhựa, bê tông xi măng:
P=0312 | X=0096.050-0107.170 | Y=0414.080-0423.400 | 54
P=0312 | X=0445.850-0462.490 | Y=0414.080-0423.400 | 660
P=0312 | X=0505.390-0522.030 | Y=0414.080-0423.400 | 440
P=0312 | X=0113.810-0336.720 | Y=0423.720-0434.960 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0312 | X=0113.810-0391.000 | Y=0441.240-0452.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0312 | X=0113.810-0399.070 | Y=0459.260-0470.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0312 | X=0113.810-0383.030 | Y=0470.780-0482.020 | Quốc lộ 51 đoạn từ Cầu Sông Buông đến Giáp ranh phường
P=0312 | X=0113.810-0373.710 | Y=0482.300-0493.540 | Phước Tân có hiện trạng là đường nhựa, bê tông xi măng:
P=0312 | X=0096.050-0336.980 | Y=0499.820-0514.140 | 55 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0312 | X=0445.850-0462.490 | Y=0504.820-0514.140 | 560
P=0312 | X=0505.390-0522.030 | Y=0504.820-0514.140 | 380
P=0312 | X=0113.810-0400.700 | Y=0517.340-0528.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0312 | X=0113.810-0166.770 | Y=0528.860-0540.100 | đến ≤600m.
P=0312 | X=0113.810-0336.980 | Y=0546.410-0557.650 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0312 | X=0113.810-0399.070 | Y=0564.410-0575.650 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0312 | X=0113.810-0383.030 | Y=0575.930-0587.170 | Quốc lộ 51 đoạn từ Cầu Sông Buông đến Giáp ranh phường
P=0312 | X=0113.810-0373.730 | Y=0587.450-0598.690 | Phước Tân có hiện trạng là đường nhựa, bê tông xi măng:
P=0312 | X=0096.050-0107.170 | Y=0595.330-0604.650 | 56
P=0312 | X=0445.850-0462.490 | Y=0595.330-0604.650 | 460
P=0312 | X=0505.390-0522.030 | Y=0595.330-0604.650 | 310
P=0312 | X=0113.810-0391.240 | Y=0604.970-0616.210 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0312 | X=0113.810-0340.100 | Y=0622.270-0633.510 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0312 | X=0296.760-0373.670 | Y=0640.270-0651.510 | Hết ranh phường
P=0312 | X=0113.810-0205.030 | Y=0646.030-0657.270 | Đường Phước Tân -
P=0312 | X=0296.760-0394.750 | Y=0651.790-0663.030 | Phước Tân, giáp ranh
P=0312 | X=0096.050-0107.170 | Y=0653.670-0662.990 | 57
P=0312 | X=0205.510-0254.100 | Y=0653.670-0662.990 | Quốc lộ 51
P=0312 | X=0437.690-0462.740 | Y=0653.670-0662.990 | 1.000
P=0312 | X=0505.390-0522.030 | Y=0653.670-0662.990 | 630
P=0312 | X=0113.810-0163.820 | Y=0657.550-0668.790 | Long Hưng
P=0312 | X=0296.760-0385.170 | Y=0663.310-0674.550 | phường Long Hưng
P=0312 | X=0113.810-0395.660 | Y=0681.310-0692.550 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phước
P=0312 | X=0096.050-0377.510 | Y=0692.830-0704.070 | 58 Tân - Long Hưng đoạn từ Quốc lộ 51 đến Hết ranh phường
P=0312 | X=0445.850-0462.490 | Y=0694.710-0704.030 | 660
P=0312 | X=0505.390-0522.030 | Y=0694.710-0704.030 | 440
P=0312 | X=0113.810-0374.110 | Y=0704.370-0715.610 | Phước Tân, giáp ranh phường Long Hưng có hiện trạng là
P=0313 | X=0113.810-0249.580 | Y=0072.740-0083.980 | đường nhựa, bê tông xi măng:
P=0313 | X=0113.810-0336.720 | Y=0090.260-0101.500 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0313 | X=0113.810-0391.000 | Y=0107.780-0119.020 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0313 | X=0113.810-0381.830 | Y=0125.810-0137.050 | Các tuyến đường giao thông đấu đấu nối trực tiếp ra Đường
P=0313 | X=0113.810-0370.520 | Y=0137.330-0148.570 | Phước Tân - Long Hưng đoạn từ Quốc lộ 51 đến hết ranh
P=0313 | X=0113.810-0378.940 | Y=0148.850-0160.090 | phường Phước Tân , giáp ranh phường Long Hưng có hiện
P=0313 | X=0113.810-0285.590 | Y=0160.370-0171.610 | trạng là đường nhựa, bê tông xi măng:
P=0313 | X=0096.050-0336.980 | Y=0176.890-0188.890 | 59 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0313 | X=0445.850-0462.490 | Y=0176.890-0186.210 | 560
P=0313 | X=0505.390-0522.030 | Y=0176.890-0186.210 | 380
P=0313 | X=0113.810-0400.700 | Y=0195.170-0206.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0313 | X=0113.810-0166.770 | Y=0206.710-0217.950 | đến ≤600m.
P=0313 | X=0113.810-0336.980 | Y=0224.230-0235.470 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0313 | X=0113.810-0395.660 | Y=0242.230-0253.470 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phước
P=0313 | X=0113.810-0377.510 | Y=0253.750-0264.990 | Tân - Long Hưng đoạn từ Quốc lộ 51 đến Hết ranh phường
P=0313 | X=0113.810-0374.110 | Y=0265.270-0276.510 | Phước Tân, giáp ranh phường Long Hưng có hiện trạng là
P=0313 | X=0096.050-0249.580 | Y=0276.790-0288.230 | 60 đường nhựa, bê tông xi măng:
P=0313 | X=0445.850-0462.490 | Y=0278.910-0288.230 | 460
P=0313 | X=0505.390-0522.030 | Y=0278.910-0288.230 | 310
P=0313 | X=0113.810-0391.240 | Y=0294.340-0305.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0313 | X=0113.810-0337.450 | Y=0311.860-0323.100 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0313 | X=0113.810-0399.070 | Y=0329.860-0341.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0313 | X=0113.810-0383.830 | Y=0341.380-0352.620 | Đường Phước Tân - Long Hưng đoạn từ Quốc lộ 51 đến Hết
P=0313 | X=0113.810-0399.100 | Y=0352.900-0364.140 | ranh phường Phước Tân, giáp ranh phường Long Hưng có hiện
P=0313 | X=0096.050-0285.590 | Y=0364.180-0375.860 | 61 trạng là đường nhựa, bê tông xi măng:
P=0313 | X=0445.850-0462.490 | Y=0366.540-0375.860 | 660
P=0313 | X=0505.390-0522.030 | Y=0366.540-0375.860 | 440
P=0313 | X=0113.810-0336.720 | Y=0381.720-0392.960 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0313 | X=0113.810-0391.000 | Y=0399.240-0410.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0313 | X=0113.810-0399.070 | Y=0417.240-0428.480 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0313 | X=0113.810-0383.830 | Y=0428.760-0440.000 | Đường Phước Tân - Long Hưng đoạn từ Quốc lộ 51 đến Hết
P=0313 | X=0113.810-0399.100 | Y=0440.280-0451.520 | ranh phường Phước Tân, giáp ranh phường Long Hưng có hiện
P=0313 | X=0113.810-0285.620 | Y=0451.820-0463.060 | trạng là đường nhựa, bê tông xi măng:
P=0313 | X=0096.050-0336.980 | Y=0468.580-0480.580 | 62 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0313 | X=0445.850-0462.490 | Y=0468.580-0477.900 | 560
P=0313 | X=0505.390-0522.030 | Y=0468.580-0477.900 | 380
P=0313 | X=0113.810-0400.700 | Y=0486.860-0498.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
