TABLE=001 | AREA=Phường Biên Hòa | SECTION=agricultural | SEGMENTS=1
P=0010 | X=0109.490-0245.260 | Y=0435.240-0446.480 | đường nhựa, bê tông xi măng:
P=0010 | X=0093.860-0332.660 | Y=0452.780-0467.100 | 31 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0010 | X=0456.650-0473.290 | Y=0457.780-0467.100 | 810
P=0010 | X=0505.390-0522.030 | Y=0457.780-0467.100 | 550
P=0010 | X=0109.490-0415.910 | Y=0470.300-0481.540 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0010 | X=0109.490-0143.010 | Y=0481.820-0493.060 | ≤600m.
P=0010 | X=0109.490-0332.660 | Y=0499.340-0510.580 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0010 | X=0109.490-0426.930 | Y=0517.340-0528.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bùi Hữu Nghĩa
P=0010 | X=0109.490-0406.060 | Y=0528.860-0540.100 | đoạn từ Đường Huỳnh Mẫn Đạt đến Cầu Rạch Sỏi có hiện trạng là
P=0010 | X=0109.490-0245.260 | Y=0540.410-0551.650 | đường nhựa, bê tông xi măng:
P=0010 | X=0093.860-0104.980 | Y=0548.290-0557.610 | 32
P=0010 | X=0456.650-0473.290 | Y=0548.290-0557.610 | 630
P=0010 | X=0505.390-0522.030 | Y=0548.290-0557.610 | 430
P=0010 | X=0109.490-0386.920 | Y=0557.930-0569.170 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0010 | X=0109.490-0333.130 | Y=0575.450-0586.690 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0010 | X=0109.490-0429.100 | Y=0593.450-0604.690 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0010 | X=0109.490-0417.090 | Y=0604.970-0616.210 | Bùi Hữu Nghĩa đoạn từ Đường Huỳnh Mẫn Đạt đến Cầu Rạch Sỏi có
P=0010 | X=0109.490-0303.100 | Y=0616.270-0627.510 | hiện trạng là đường nhựa, bê tông xi măng:
P=0010 | X=0093.860-0104.980 | Y=0624.150-0633.470 | 33
P=0010 | X=0456.650-0473.290 | Y=0624.150-0633.470 | 980
P=0010 | X=0505.390-0522.030 | Y=0624.150-0633.470 | 650
P=0010 | X=0109.490-0332.400 | Y=0633.790-0645.030 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0010 | X=0109.490-0386.680 | Y=0651.310-0662.550 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0010 | X=0109.490-0429.100 | Y=0669.310-0680.550 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0010 | X=0093.860-0417.090 | Y=0680.830-0692.070 | 34 Bùi Hữu Nghĩa đoạn từ Đường Huỳnh Mẫn Đạt đến Cầu Rạch Sỏi có
P=0010 | X=0456.650-0473.290 | Y=0682.710-0692.030 | 810
P=0010 | X=0505.390-0522.030 | Y=0682.710-0692.030 | 550
P=0010 | X=0109.490-0303.100 | Y=0692.350-0703.590 | hiện trạng là đường nhựa, bê tông xi măng:
P=0011 | X=0109.490-0332.660 | Y=0078.740-0089.980 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0011 | X=0109.490-0415.910 | Y=0096.260-0107.500 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0011 | X=0109.490-0143.010 | Y=0107.780-0119.020 | ≤600m.
P=0011 | X=0109.490-0332.660 | Y=0125.330-0136.570 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0011 | X=0109.490-0429.100 | Y=0143.330-0154.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0011 | X=0109.490-0417.090 | Y=0154.850-0166.090 | Bùi Hữu Nghĩa đoạn từ Đường Huỳnh Mẫn Đạt đến Cầu Rạch Sỏi có
P=0011 | X=0109.490-0303.100 | Y=0166.370-0177.610 | hiện trạng là đường nhựa, bê tông xi măng:
P=0011 | X=0093.860-0104.980 | Y=0174.250-0183.570 | 35
P=0011 | X=0456.650-0473.290 | Y=0174.250-0183.570 | 630
P=0011 | X=0505.390-0522.030 | Y=0174.250-0183.570 | 430
P=0011 | X=0109.490-0386.920 | Y=0183.650-0194.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0011 | X=0109.490-0335.780 | Y=0201.190-0212.430 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0011 | X=0093.860-0278.100 | Y=0219.190-0230.430 | 36 Đường Bùi Hữu Nghĩa Cầu Rạch Sỏi
P=0011 | X=0323.160-0385.660 | Y=0221.070-0230.390 | Cầu Ông Tiếp
P=0011 | X=0448.490-0473.540 | Y=0221.070-0230.390 | 1.430
P=0011 | X=0505.390-0522.030 | Y=0221.070-0230.390 | 900
P=0011 | X=0109.490-0426.930 | Y=0237.190-0248.430 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bùi Hữu Nghĩa
P=0011 | X=0109.490-0426.070 | Y=0248.710-0259.950 | đoạn từ Cầu Rạch Sỏi đến Cầu Ông Tiếp có hiện trạng là đường nhựa,
P=0011 | X=0109.490-0183.570 | Y=0260.230-0271.470 | bê tông xi măng:
P=0011 | X=0093.860-0104.980 | Y=0268.110-0277.430 | 37
P=0011 | X=0456.650-0473.290 | Y=0268.110-0277.430 | 980
P=0011 | X=0505.390-0522.030 | Y=0268.110-0277.430 | 650
P=0011 | X=0109.490-0332.400 | Y=0277.750-0288.990 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0011 | X=0109.490-0386.680 | Y=0295.300-0306.540 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0011 | X=0109.490-0426.930 | Y=0313.300-0324.540 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bùi Hữu Nghĩa
P=0011 | X=0109.490-0426.070 | Y=0324.820-0336.060 | đoạn từ Cầu Rạch Sỏi đến Cầu Ông Tiếp có hiện trạng là đường nhựa,
P=0011 | X=0109.490-0183.570 | Y=0336.340-0347.580 | bê tông xi măng:
P=0011 | X=0093.860-0332.660 | Y=0353.860-0367.940 | 38 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0011 | X=0456.650-0473.290 | Y=0358.620-0367.940 | 810
P=0011 | X=0505.390-0522.030 | Y=0358.620-0367.940 | 550
P=0011 | X=0109.490-0415.910 | Y=0371.400-0382.640 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0011 | X=0109.490-0143.010 | Y=0382.920-0394.160 | ≤600m.
P=0011 | X=0109.490-0332.660 | Y=0400.200-0411.440 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0011 | X=0109.490-0426.930 | Y=0418.200-0429.440 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Bùi Hữu Nghĩa
P=0011 | X=0109.490-0426.070 | Y=0429.720-0440.960 | đoạn từ Cầu Rạch Sỏi đến Cầu Ông Tiếp có hiện trạng là đường nhựa,
P=0011 | X=0109.490-0183.570 | Y=0441.240-0452.480 | bê tông xi măng:
P=0011 | X=0093.860-0104.980 | Y=0449.120-0458.440 | 39
P=0011 | X=0456.650-0473.290 | Y=0449.120-0458.440 | 630
P=0011 | X=0505.390-0522.030 | Y=0449.120-0458.440 | 430
P=0011 | X=0109.490-0386.920 | Y=0458.780-0470.020 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0011 | X=0109.490-0333.130 | Y=0476.300-0487.540 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0011 | X=0109.490-0429.100 | Y=0494.300-0505.540 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0011 | X=0109.490-0422.620 | Y=0505.820-0517.060 | Bùi Hữu Nghĩa đoạn từ Cầu Rạch Sỏi đến Cầu Ông Tiếp có hiện trạng
P=0011 | X=0109.490-0255.820 | Y=0517.340-0528.580 | là đường nhựa, bê tông xi măng:
P=0011 | X=0093.860-0104.980 | Y=0525.220-0534.540 | 40
P=0011 | X=0456.650-0473.290 | Y=0525.220-0534.540 | 980
P=0011 | X=0505.390-0522.030 | Y=0525.220-0534.540 | 650
P=0011 | X=0109.490-0332.400 | Y=0534.890-0546.130 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0011 | X=0109.490-0386.680 | Y=0552.410-0563.650 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0011 | X=0109.490-0429.100 | Y=0570.410-0581.650 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0011 | X=0109.490-0422.620 | Y=0581.930-0593.170 | Bùi Hữu Nghĩa đoạn từ Cầu Rạch Sỏi đến Cầu Ông Tiếp có hiện trạng
P=0011 | X=0109.490-0255.820 | Y=0593.450-0604.690 | là đường nhựa, bê tông xi măng:
P=0011 | X=0093.860-0332.660 | Y=0610.970-0625.050 | 41 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0011 | X=0456.650-0473.290 | Y=0615.730-0625.050 | 810
P=0011 | X=0505.390-0522.030 | Y=0615.730-0625.050 | 550
P=0011 | X=0109.490-0415.910 | Y=0628.270-0639.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0011 | X=0109.490-0143.010 | Y=0639.790-0651.030 | ≤600m.
P=0011 | X=0109.490-0332.660 | Y=0657.310-0668.550 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0011 | X=0109.490-0429.100 | Y=0675.310-0686.550 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0011 | X=0093.860-0422.620 | Y=0686.830-0698.070 | 42 Bùi Hữu Nghĩa đoạn từ Cầu Rạch Sỏi đến Cầu Ông Tiếp có hiện trạng
P=0011 | X=0456.650-0473.290 | Y=0688.710-0698.030 | 630
P=0011 | X=0505.390-0522.030 | Y=0688.710-0698.030 | 430
P=0011 | X=0109.490-0255.820 | Y=0698.350-0709.590 | là đường nhựa, bê tông xi măng:
P=0012 | X=0109.490-0386.920 | Y=0078.740-0089.980 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0012 | X=0109.490-0335.780 | Y=0096.260-0107.500 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0012 | X=0109.490-0192.860 | Y=0114.290-0125.530 | Đường Nguyễn Tri
P=0012 | X=0323.160-0403.660 | Y=0114.290-0125.530 | Đường Nguyễn Ái
P=0012 | X=0093.860-0104.980 | Y=0121.930-0131.250 | 43
P=0012 | X=0216.310-0267.550 | Y=0121.930-0131.250 | Cầu Ghềnh
P=0012 | X=0448.490-0473.540 | Y=0121.930-0131.250 | 1.500
P=0012 | X=0505.390-0522.030 | Y=0121.930-0131.250 | 970
P=0012 | X=0109.490-0146.280 | Y=0125.810-0137.050 | Phương
P=0012 | X=0323.160-0347.160 | Y=0127.690-0137.010 | Quốc
P=0012 | X=0109.490-0409.410 | Y=0143.810-0155.050 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn Tri
P=0012 | X=0109.490-0427.660 | Y=0155.330-0166.570 | Phương đoạn từ Cầu Ghềnh đến Đường Nguyễn Ái Quốc có hiện trạng
P=0012 | X=0109.490-0255.820 | Y=0166.850-0178.090 | là đường nhựa, bê tông xi măng:
P=0012 | X=0093.860-0104.980 | Y=0174.730-0184.050 | 44
P=0012 | X=0448.490-0473.540 | Y=0174.730-0184.050 | 1.030
P=0012 | X=0505.390-0522.030 | Y=0174.730-0184.050 | 680
P=0012 | X=0109.490-0332.400 | Y=0184.370-0195.610 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0012 | X=0109.490-0386.680 | Y=0201.670-0212.910 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0012 | X=0109.490-0409.410 | Y=0219.670-0230.910 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn Tri
P=0012 | X=0109.490-0427.660 | Y=0231.190-0242.430 | Phương đoạn từ Cầu Ghềnh đến Đường Nguyễn Ái Quốc có hiện trạng
P=0012 | X=0109.490-0255.820 | Y=0242.710-0253.950 | là đường nhựa, bê tông xi măng:
P=0012 | X=0093.860-0332.660 | Y=0260.230-0274.550 | 45 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0012 | X=0456.650-0473.290 | Y=0265.230-0274.550 | 860
P=0012 | X=0505.390-0522.030 | Y=0265.230-0274.550 | 570
P=0012 | X=0109.490-0415.900 | Y=0277.750-0288.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0012 | X=0109.490-0143.010 | Y=0289.300-0300.540 | ≤600m.
P=0012 | X=0109.490-0332.660 | Y=0306.820-0318.060 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0012 | X=0109.490-0409.410 | Y=0324.820-0336.060 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn Tri
P=0012 | X=0109.490-0427.660 | Y=0336.340-0347.580 | Phương đoạn từ Cầu Ghềnh đến Đường Nguyễn Ái Quốc có hiện trạng
P=0012 | X=0109.490-0255.820 | Y=0347.860-0359.100 | là đường nhựa, bê tông xi măng:
P=0012 | X=0093.860-0104.980 | Y=0355.740-0365.060 | 46
P=0012 | X=0456.650-0473.290 | Y=0355.740-0365.060 | 670
P=0012 | X=0505.390-0522.030 | Y=0355.740-0365.060 | 450
P=0012 | X=0109.490-0386.920 | Y=0365.400-0376.640 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0012 | X=0109.490-0333.130 | Y=0382.920-0394.160 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0012 | X=0109.490-0429.100 | Y=0400.920-0412.160 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0012 | X=0109.490-0418.700 | Y=0412.200-0423.440 | Nguyễn Tri Phương đoạn từ Cầu Ghềnh đến Đường Nguyễn Ái Quốc
P=0012 | X=0109.490-0316.350 | Y=0423.720-0434.960 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0012 | X=0093.860-0104.980 | Y=0431.600-0440.920 | 47
P=0012 | X=0448.490-0473.540 | Y=0431.600-0440.920 | 1.030
P=0012 | X=0505.390-0522.030 | Y=0431.600-0440.920 | 680
P=0012 | X=0109.490-0332.400 | Y=0441.240-0452.480 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0012 | X=0109.490-0386.680 | Y=0458.780-0470.020 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0012 | X=0109.490-0429.100 | Y=0476.780-0488.020 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0012 | X=0109.490-0418.700 | Y=0488.300-0499.540 | Nguyễn Tri Phương đoạn từ Cầu Ghềnh đến Đường Nguyễn Ái Quốc
P=0012 | X=0109.490-0316.340 | Y=0499.820-0511.060 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0012 | X=0093.860-0332.660 | Y=0517.340-0531.420 | 48 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0012 | X=0456.650-0473.290 | Y=0522.100-0531.420 | 860
P=0012 | X=0505.390-0522.030 | Y=0522.100-0531.420 | 570
P=0012 | X=0109.490-0415.910 | Y=0534.890-0546.130 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0012 | X=0109.490-0143.010 | Y=0546.410-0557.650 | ≤600m.
P=0012 | X=0109.490-0332.660 | Y=0563.930-0575.170 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0012 | X=0109.490-0429.100 | Y=0581.930-0593.170 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0012 | X=0109.490-0418.700 | Y=0593.450-0604.690 | Nguyễn Tri Phương đoạn từ Cầu Ghềnh đến Đường Nguyễn Ái Quốc
P=0012 | X=0109.490-0316.340 | Y=0604.970-0616.210 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0012 | X=0093.860-0104.980 | Y=0612.850-0622.170 | 49
P=0012 | X=0456.650-0473.290 | Y=0612.850-0622.170 | 670
P=0012 | X=0505.390-0522.030 | Y=0612.850-0622.170 | 450
P=0012 | X=0109.490-0386.920 | Y=0622.270-0633.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0012 | X=0109.490-0335.780 | Y=0639.790-0651.030 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0012 | X=0109.490-0199.110 | Y=0657.790-0669.030 | Đường Nguyễn Văn
P=0012 | X=0216.310-0296.820 | Y=0657.790-0669.030 | Đường Nguyễn Ái
P=0012 | X=0323.160-0387.330 | Y=0663.550-0674.790 | Mỏ đá Hóa An
P=0012 | X=0093.860-0104.980 | Y=0665.430-0674.750 | 50
P=0012 | X=0448.490-0473.540 | Y=0665.430-0674.750 | 1.430
P=0012 | X=0505.390-0522.030 | Y=0665.430-0674.750 | 900
P=0012 | X=0109.490-0131.650 | Y=0671.190-0680.510 | Lung
P=0012 | X=0216.310-0240.340 | Y=0671.190-0680.510 | Quốc
P=0012 | X=0109.490-0415.660 | Y=0687.310-0698.550 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn Văn
P=0012 | X=0093.860-0104.980 | Y=0694.950-0704.270 | 51
P=0012 | X=0456.650-0473.290 | Y=0694.950-0704.270 | 980
P=0012 | X=0505.390-0522.030 | Y=0694.950-0704.270 | 650
P=0012 | X=0109.490-0425.980 | Y=0698.830-0710.070 | Lung đoạn từ Đường Nguyễn Ái Quốc đến Mỏ đá Hóa An có hiện trạng
P=0013 | X=0109.490-0255.820 | Y=0072.740-0083.980 | là đường nhựa, bê tông xi măng:
P=0013 | X=0109.490-0329.370 | Y=0090.260-0101.500 | - Có bề rộng ≥5m, cách đường giao thông ≤600m
P=0013 | X=0112.370-0389.320 | Y=0107.780-0119.020 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0013 | X=0109.490-0415.660 | Y=0125.810-0137.050 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn Văn
P=0013 | X=0109.490-0425.980 | Y=0137.330-0148.570 | Lung đoạn từ Đường Nguyễn Ái Quốc đến Mỏ đá Hóa An có hiện trạng
P=0013 | X=0109.490-0255.820 | Y=0148.850-0160.090 | là đường nhựa, bê tông xi măng:
P=0013 | X=0093.860-0332.660 | Y=0166.370-0180.450 | 52 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0013 | X=0456.650-0473.290 | Y=0171.130-0180.450 | 810
P=0013 | X=0505.390-0522.030 | Y=0171.130-0180.450 | 550
P=0013 | X=0109.490-0415.910 | Y=0183.650-0194.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0013 | X=0109.490-0143.010 | Y=0195.170-0206.410 | ≤600m.
P=0013 | X=0109.490-0332.660 | Y=0212.710-0223.950 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0013 | X=0109.490-0415.660 | Y=0230.710-0241.950 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn Văn
P=0013 | X=0109.490-0425.980 | Y=0242.230-0253.470 | Lung đoạn từ Đường Nguyễn Ái Quốc đến Mỏ đá Hóa An có hiện trạng
P=0013 | X=0109.490-0255.820 | Y=0253.750-0264.990 | là đường nhựa, bê tông xi măng:
P=0013 | X=0093.860-0104.980 | Y=0261.630-0270.950 | 53
P=0013 | X=0456.650-0473.290 | Y=0261.630-0270.950 | 630
P=0013 | X=0505.390-0522.030 | Y=0261.630-0270.950 | 430
P=0013 | X=0109.490-0386.920 | Y=0271.270-0282.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0013 | X=0109.490-0333.130 | Y=0288.820-0300.060 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0013 | X=0109.490-0429.100 | Y=0306.820-0318.060 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0013 | X=0109.490-0423.350 | Y=0318.340-0329.580 | Nguyễn Văn Lung đoạn từ Đường Nguyễn Ái Quốc đến Mỏ đá Hóa An
P=0013 | X=0109.490-0316.340 | Y=0329.860-0341.100 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0013 | X=0093.860-0104.980 | Y=0337.740-0347.060 | 54
P=0013 | X=0456.650-0473.290 | Y=0337.740-0347.060 | 980
P=0013 | X=0505.390-0522.030 | Y=0337.740-0347.060 | 650
P=0013 | X=0109.490-0332.400 | Y=0347.380-0358.620 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0013 | X=0109.490-0386.680 | Y=0364.900-0376.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0013 | X=0109.490-0429.100 | Y=0382.920-0394.160 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0013 | X=0109.490-0423.350 | Y=0394.200-0405.440 | Nguyễn Văn Lung đoạn từ Đường Nguyễn Ái Quốc đến Mỏ đá Hóa An
P=0013 | X=0109.490-0316.340 | Y=0405.720-0416.960 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0013 | X=0093.860-0332.660 | Y=0423.240-0437.560 | 55 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0013 | X=0456.650-0473.290 | Y=0428.240-0437.560 | 810
P=0013 | X=0505.390-0522.030 | Y=0428.240-0437.560 | 550
P=0013 | X=0109.490-0415.910 | Y=0440.760-0452.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0013 | X=0109.490-0143.010 | Y=0452.300-0463.540 | ≤600m.
P=0013 | X=0109.490-0332.660 | Y=0469.820-0481.060 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0013 | X=0109.490-0429.100 | Y=0487.820-0499.060 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0013 | X=0109.490-0423.350 | Y=0499.340-0510.580 | Nguyễn Văn Lung đoạn từ Đường Nguyễn Ái Quốc đến Mỏ đá Hóa An
P=0013 | X=0109.490-0316.340 | Y=0510.860-0522.100 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0013 | X=0093.860-0104.980 | Y=0518.740-0528.060 | 56
P=0013 | X=0456.650-0473.290 | Y=0518.740-0528.060 | 630
P=0013 | X=0505.390-0522.030 | Y=0518.740-0528.060 | 430
P=0013 | X=0109.490-0386.920 | Y=0528.380-0539.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0013 | X=0109.490-0335.780 | Y=0545.930-0557.170 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0013 | X=0323.160-0409.900 | Y=0565.810-0575.130 | Chạm tới giữa ranh
P=0013 | X=0323.160-0428.380 | Y=0575.450-0586.690 | thửa đất số 9. tờ BĐĐC
P=0013 | X=0093.860-0202.200 | Y=0581.210-0592.450 | 57 Đường Trần Văn Ơn
P=0013 | X=0216.310-0317.220 | Y=0581.210-0592.450 | Đường Bùi Hữu Nghĩa
P=0013 | X=0448.490-0473.540 | Y=0583.090-0592.410 | 1.430
P=0013 | X=0505.390-0522.030 | Y=0583.090-0592.410 | 900
P=0013 | X=0323.160-0419.980 | Y=0586.970-0598.210 | số 124 và thửa đất số
P=0013 | X=0323.160-0410.780 | Y=0598.250-0609.490 | 8, tờ BĐĐC số 124)
P=0013 | X=0109.490-0418.780 | Y=0616.270-0627.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trần Văn Ơn
P=0013 | X=0109.490-0421.030 | Y=0627.790-0639.030 | đoạn từ Đường Bùi Hữu Nghĩa đến Chạm tới giữa ranh thửa đất số 9,
P=0013 | X=0109.490-0411.570 | Y=0639.310-0650.550 | tờ BĐĐC số 124 và thửa đất số 8, tờ BĐĐC số 124) có hiện trạng là
P=0013 | X=0093.860-0245.260 | Y=0650.830-0662.270 | 58 đường nhựa, bê tông xi măng:
P=0013 | X=0456.650-0473.290 | Y=0652.950-0662.270 | 980
P=0013 | X=0505.390-0522.030 | Y=0652.950-0662.270 | 650
P=0013 | X=0109.490-0332.400 | Y=0668.350-0679.590 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0013 | X=0109.490-0386.680 | Y=0685.870-0697.110 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0013 | X=0093.860-0418.780 | Y=0703.890-0715.130 | 59 Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trần Văn Ơn
P=0013 | X=0456.650-0473.290 | Y=0705.780-0715.100 | 810
P=0013 | X=0505.390-0522.030 | Y=0705.780-0715.100 | 550
P=0014 | X=0109.490-0421.030 | Y=0072.740-0083.980 | đoạn từ Đường Bùi Hữu Nghĩa đến Chạm tới giữa ranh thửa đất số 9,
P=0014 | X=0109.490-0411.570 | Y=0084.260-0095.500 | tờ BĐĐC số 124 và thửa đất số 8, tờ BĐĐC số 124) có hiện trạng là
P=0014 | X=0109.490-0245.260 | Y=0095.780-0107.020 | đường nhựa, bê tông xi măng:
P=0014 | X=0109.490-0332.660 | Y=0113.300-0124.540 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0014 | X=0109.490-0415.910 | Y=0130.850-0142.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m đến
P=0014 | X=0109.490-0143.010 | Y=0142.370-0153.610 | ≤600m.
P=0014 | X=0109.490-0332.660 | Y=0159.650-0170.890 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0014 | X=0109.490-0418.780 | Y=0177.650-0188.890 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trần Văn Ơn
P=0014 | X=0109.490-0421.030 | Y=0189.170-0200.410 | đoạn từ Đường Bùi Hữu Nghĩa đến Chạm tới giữa ranh thửa đất số 9,
P=0014 | X=0109.490-0411.570 | Y=0200.710-0211.950 | tờ BĐĐC số 124 và thửa đất số 8, tờ BĐĐC số 124) có hiện trạng là
P=0014 | X=0093.860-0245.260 | Y=0212.230-0223.670 | 60 đường nhựa, bê tông xi măng:
P=0014 | X=0456.650-0473.290 | Y=0214.350-0223.670 | 630
P=0014 | X=0505.390-0522.030 | Y=0214.350-0223.670 | 430
P=0014 | X=0109.490-0386.920 | Y=0229.750-0240.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0014 | X=0109.490-0333.130 | Y=0247.270-0258.510 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0014 | X=0109.490-0429.100 | Y=0265.270-0276.510 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0014 | X=0109.490-0417.350 | Y=0276.790-0288.030 | Trần Văn Ơn đoạn từ Đường Bùi Hữu Nghĩa đến Chạm tới giữa ranh
P=0014 | X=0109.490-0417.820 | Y=0288.340-0299.580 | thửa đất số 9, tờ BĐĐC số 124 và thửa đất số 8, tờ BĐĐC số 124) có
P=0014 | X=0093.860-0303.100 | Y=0299.860-0311.300 | 61 hiện trạng là đường nhựa, bê tông xi măng:
P=0014 | X=0456.650-0473.290 | Y=0301.980-0311.300 | 980
P=0014 | X=0505.390-0522.030 | Y=0301.980-0311.300 | 650
P=0014 | X=0109.490-0332.400 | Y=0317.380-0328.620 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0014 | X=0109.490-0386.680 | Y=0334.900-0346.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0014 | X=0109.490-0429.100 | Y=0352.900-0364.140 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0014 | X=0109.490-0417.350 | Y=0364.180-0375.420 | Trần Văn Ơn đoạn từ Đường Bùi Hữu Nghĩa đến Chạm tới giữa ranh
