TABLE=051 | AREA=Xã Phú Lâm | SECTION=agricultural | SEGMENTS=1
P=1720 | X=0120.530-0346.820 | Y=0427.560-0438.800 | 138 có hiện trạng là đường nhựa, bê tông xi măng:
P=1720 | X=0099.650-0110.770 | Y=0441.200-0450.520 | 56
P=1720 | X=0448.010-0459.130 | Y=0441.200-0450.520 | 70
P=1720 | X=0511.150-0522.270 | Y=0441.200-0450.520 | 60
P=1720 | X=0120.530-0361.640 | Y=0445.080-0456.320 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1720 | X=0120.530-0162.670 | Y=0458.500-0467.820 | >1.000m.
P=1720 | X=0120.530-0344.170 | Y=0474.140-0485.380 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1720 | X=0297.240-0391.780 | Y=0493.780-0503.100 | Hết ranh xã Phú Lâm
P=1720 | X=0204.550-0273.540 | Y=0503.420-0514.660 | Đường Km 138
P=1720 | X=0099.650-0169.090 | Y=0505.300-0514.620 | 57 Quốc lộ 20
P=1720 | X=0297.240-0383.400 | Y=0505.300-0514.620 | (giáp ranh tỉnh Lâm
P=1720 | X=0442.250-0458.890 | Y=0505.300-0514.620 | 370
P=1720 | X=0505.390-0522.030 | Y=0505.300-0514.620 | 300
P=1720 | X=0297.240-0324.360 | Y=0514.940-0526.180 | Đồng)
P=1720 | X=0120.530-0385.660 | Y=0532.490-0543.730 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1720 | X=0120.530-0391.140 | Y=0544.010-0555.250 | đoạn từ Đường Km 138 đến Hết ranh xã Phú Lâm (giáp ranh
P=1720 | X=0120.530-0367.880 | Y=0555.530-0566.770 | tỉnh Lâm Đồng) có hiện trạng là đường nhựa, bê tông xi
P=1720 | X=0120.530-0148.530 | Y=0567.050-0578.290 | măng:
P=1720 | X=0099.650-0110.770 | Y=0574.930-0584.250 | 58
P=1720 | X=0442.250-0458.890 | Y=0574.930-0584.250 | 160
P=1720 | X=0505.390-0522.030 | Y=0574.930-0584.250 | 130
P=1720 | X=0120.530-0351.610 | Y=0584.570-0595.810 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1720 | X=0120.530-0361.640 | Y=0602.090-0613.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1720 | X=0120.530-0154.050 | Y=0613.610-0624.850 | ≤500m.
P=1720 | X=0120.530-0385.660 | Y=0631.390-0642.630 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1720 | X=0120.530-0391.120 | Y=0642.910-0654.150 | đoạn từ Đường Km 138 đến Hết ranh xã Phú Lâm (giáp ranh
P=1720 | X=0120.530-0367.880 | Y=0654.430-0665.670 | tỉnh Lâm Đồng) có hiện trạng là đường nhựa, bê tông xi
P=1720 | X=0099.650-0148.530 | Y=0665.950-0677.390 | 59 măng:
P=1720 | X=0442.250-0458.890 | Y=0668.070-0677.390 | 130
P=1720 | X=0505.390-0522.030 | Y=0668.070-0677.390 | 100
P=1720 | X=0120.530-0352.080 | Y=0683.470-0694.710 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1720 | X=0120.530-0373.840 | Y=0700.770-0712.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1721 | X=0120.530-0215.500 | Y=0072.500-0083.740 | >500m đến ≤1.000m.
P=1721 | X=0120.530-0343.700 | Y=0090.020-0101.260 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1721 | X=0120.530-0385.660 | Y=0107.780-0119.020 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 20
P=1721 | X=0120.530-0391.120 | Y=0119.330-0130.570 | đoạn từ Đường Km 138 đến Hết ranh xã Phú Lâm (giáp ranh
P=1721 | X=0120.530-0367.880 | Y=0130.850-0142.090 | tỉnh Lâm Đồng) có hiện trạng là đường nhựa, bê tông xi
P=1721 | X=0120.530-0148.530 | Y=0142.370-0153.610 | măng:
P=1721 | X=0099.650-0110.770 | Y=0150.250-0159.570 | 60
P=1721 | X=0448.010-0459.130 | Y=0150.250-0159.570 | 70
P=1721 | X=0511.150-0522.270 | Y=0150.250-0159.570 | 60
P=1721 | X=0120.530-0361.640 | Y=0159.650-0170.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1721 | X=0120.530-0162.670 | Y=0173.050-0182.370 | >1.000m.
P=1721 | X=0120.530-0344.170 | Y=0188.690-0199.930 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1721 | X=0120.530-0394.040 | Y=0206.470-0217.710 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1721 | X=0120.530-0383.950 | Y=0217.990-0229.230 | ra Quốc lộ 20 đoạn từ Đường Km 138 đến Hết ranh xã Phú
P=1721 | X=0120.530-0391.750 | Y=0229.510-0240.750 | Lâm (giáp ranh tỉnh Lâm Đồng) có hiện trạng là đường nhựa,
P=1721 | X=0120.530-0194.610 | Y=0241.030-0252.270 | bê tông xi măng:
P=1721 | X=0099.650-0110.770 | Y=0248.910-0258.230 | 61
P=1721 | X=0442.250-0458.890 | Y=0248.910-0258.230 | 160
P=1721 | X=0505.390-0522.030 | Y=0248.910-0258.230 | 130
P=1721 | X=0120.530-0351.610 | Y=0258.550-0269.790 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1721 | X=0120.530-0361.640 | Y=0276.070-0287.310 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1721 | X=0120.530-0154.050 | Y=0287.620-0298.860 | ≤500m.
P=1721 | X=0120.530-0394.040 | Y=0305.380-0316.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1721 | X=0120.530-0383.950 | Y=0316.900-0328.140 | ra Quốc lộ 20 đoạn từ Đường Km 138 đến Hết ranh xã Phú
P=1721 | X=0120.530-0391.750 | Y=0328.420-0339.660 | Lâm (giáp ranh tỉnh Lâm Đồng) có hiện trạng là đường nhựa,
P=1721 | X=0120.530-0194.610 | Y=0339.700-0350.940 | bê tông xi măng:
P=1721 | X=0099.650-0352.080 | Y=0356.460-0368.460 | 62 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1721 | X=0442.250-0458.890 | Y=0356.460-0365.780 | 130
P=1721 | X=0505.390-0522.030 | Y=0356.460-0365.780 | 100
P=1721 | X=0120.530-0373.840 | Y=0374.760-0386.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1721 | X=0120.530-0215.500 | Y=0386.280-0397.520 | >500m đến ≤1.000m.
P=1721 | X=0120.530-0343.700 | Y=0403.800-0415.040 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1721 | X=0120.530-0394.040 | Y=0421.560-0432.800 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1721 | X=0120.530-0383.950 | Y=0433.080-0444.320 | ra Quốc lộ 20 đoạn từ Đường Km 138 đến Hết ranh xã Phú
P=1721 | X=0120.530-0391.750 | Y=0444.600-0455.840 | Lâm (giáp ranh tỉnh Lâm Đồng) có hiện trạng là đường nhựa,
P=1721 | X=0120.530-0194.610 | Y=0456.140-0467.380 | bê tông xi măng:
P=1721 | X=0099.650-0110.770 | Y=0464.020-0473.340 | 63
P=1721 | X=0448.010-0459.130 | Y=0464.020-0473.340 | 70
P=1721 | X=0511.150-0522.270 | Y=0464.020-0473.340 | 60
P=1721 | X=0120.530-0361.640 | Y=0473.660-0484.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1721 | X=0120.530-0162.670 | Y=0487.060-0496.380 | >1.000m.
P=1721 | X=0120.530-0344.170 | Y=0502.460-0513.700 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1721 | X=0297.240-0382.200 | Y=0522.100-0531.420 | Giáp ranh tỉnh Lâm
P=1721 | X=0099.650-0189.490 | Y=0525.980-0537.220 | 64 Đường Km 138
P=1721 | X=0204.550-0253.140 | Y=0527.860-0537.180 | Quốc lộ 20
P=1721 | X=0442.250-0458.890 | Y=0527.860-0537.180 | 270
P=1721 | X=0505.390-0522.030 | Y=0527.860-0537.180 | 220
P=1721 | X=0297.240-0321.080 | Y=0531.740-0542.980 | Đồng
P=1721 | X=0120.530-0386.540 | Y=0549.530-0560.770 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Km
P=1721 | X=0120.530-0395.030 | Y=0561.050-0572.290 | 138 đoạn từ Quốc lộ 20 đến Giáp ranh tỉnh Lâm Đồng có hiện
P=1721 | X=0120.530-0292.340 | Y=0572.570-0583.810 | trạng là đường nhựa, bê tông xi măng:
P=1721 | X=0099.650-0110.770 | Y=0586.210-0595.530 | 65
P=1721 | X=0442.250-0458.890 | Y=0586.210-0595.530 | 130
P=1721 | X=0505.390-0522.030 | Y=0586.210-0595.530 | 100
P=1721 | X=0120.530-0351.610 | Y=0590.090-0601.330 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1721 | X=0120.530-0361.640 | Y=0607.610-0618.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1721 | X=0120.530-0154.050 | Y=0619.150-0630.390 | ≤500m.
P=1721 | X=0120.530-0386.540 | Y=0636.910-0648.150 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Km
P=1721 | X=0120.530-0395.030 | Y=0648.430-0659.670 | 138 đoạn từ Quốc lộ 20 đến Giáp ranh tỉnh Lâm Đồng có hiện
P=1721 | X=0120.530-0292.310 | Y=0659.950-0671.190 | trạng là đường nhựa, bê tông xi măng:
P=1721 | X=0099.650-0110.770 | Y=0673.590-0682.910 | 66
P=1721 | X=0448.010-0459.130 | Y=0673.590-0682.910 | 90
P=1721 | X=0511.150-0522.270 | Y=0673.590-0682.910 | 80
P=1721 | X=0120.530-0352.080 | Y=0677.470-0688.710 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1721 | X=0120.530-0373.840 | Y=0694.750-0705.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1721 | X=0120.530-0215.500 | Y=0706.290-0717.530 | >500m đến ≤1.000m.
P=1722 | X=0120.530-0343.700 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1722 | X=0120.530-0386.540 | Y=0096.260-0107.500 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Km
P=1722 | X=0120.530-0395.030 | Y=0107.780-0119.020 | 138 đoạn từ Quốc lộ 20 đến Giáp ranh tỉnh Lâm Đồng có hiện
P=1722 | X=0120.530-0292.310 | Y=0119.330-0130.570 | trạng là đường nhựa, bê tông xi măng:
P=1722 | X=0099.650-0110.770 | Y=0132.970-0142.290 | 67
P=1722 | X=0448.010-0459.130 | Y=0132.970-0142.290 | 55
P=1722 | X=0511.150-0522.270 | Y=0132.970-0142.290 | 50
P=1722 | X=0120.530-0361.640 | Y=0136.850-0148.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1722 | X=0120.530-0162.670 | Y=0150.250-0159.570 | >1.000m.
P=1722 | X=0120.530-0344.170 | Y=0165.650-0176.890 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1722 | X=0120.530-0394.040 | Y=0183.410-0194.650 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1722 | X=0120.530-0374.630 | Y=0194.930-0206.170 | ra Đường Km 138 đoạn từ Quốc lộ 20 đến Giáp ranh tỉnh
P=1722 | X=0120.530-0376.110 | Y=0206.470-0217.710 | Lâm Đồng có hiện trạng là đường nhựa, bê tông xi măng:
P=1722 | X=0099.650-0110.770 | Y=0220.110-0229.430 | 68
P=1722 | X=0442.250-0458.890 | Y=0220.110-0229.430 | 130
P=1722 | X=0505.390-0522.030 | Y=0220.110-0229.430 | 100
P=1722 | X=0120.530-0351.610 | Y=0223.990-0235.230 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1722 | X=0120.530-0361.640 | Y=0241.510-0252.750 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1722 | X=0120.530-0154.050 | Y=0253.030-0264.270 | ≤500m.
P=1722 | X=0120.530-0394.040 | Y=0270.790-0282.030 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1722 | X=0120.530-0374.630 | Y=0282.340-0293.580 | ra Đường Km 138 đoạn từ Quốc lộ 20 đến Giáp ranh tỉnh
P=1722 | X=0120.530-0376.110 | Y=0293.860-0305.100 | Lâm Đồng có hiện trạng là đường nhựa, bê tông xi măng:
P=1722 | X=0099.650-0352.080 | Y=0311.380-0325.460 | 69 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1722 | X=0448.010-0459.130 | Y=0316.140-0325.460 | 90
P=1722 | X=0511.150-0522.270 | Y=0316.140-0325.460 | 80
P=1722 | X=0120.530-0373.840 | Y=0328.900-0340.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1722 | X=0120.530-0215.500 | Y=0340.420-0351.660 | >500m đến ≤1.000m.
P=1722 | X=0120.530-0343.700 | Y=0357.700-0368.940 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1722 | X=0120.530-0394.040 | Y=0375.480-0386.720 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1722 | X=0120.530-0374.630 | Y=0387.000-0398.240 | ra Đường Km 138 đoạn từ Quốc lộ 20 đến Giáp ranh tỉnh
P=1722 | X=0120.530-0376.110 | Y=0398.520-0409.760 | Lâm Đồng có hiện trạng là đường nhựa, bê tông xi măng:
P=1722 | X=0099.650-0110.770 | Y=0412.160-0421.480 | 70
P=1722 | X=0448.010-0459.130 | Y=0412.160-0421.480 | 55
P=1722 | X=0511.150-0522.270 | Y=0412.160-0421.480 | 50
P=1722 | X=0120.530-0361.640 | Y=0416.040-0427.280 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1722 | X=0120.530-0162.670 | Y=0429.440-0438.760 | >1.000m.
P=1722 | X=0120.530-0344.170 | Y=0445.080-0456.320 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1722 | X=0297.240-0382.200 | Y=0464.740-0474.060 | Giáp ranh tỉnh Lâm
P=1722 | X=0099.650-0189.980 | Y=0468.620-0479.860 | 71 Đường Phú Lợi
P=1722 | X=0204.550-0253.140 | Y=0470.500-0479.820 | Quốc lộ 20
P=1722 | X=0442.250-0458.890 | Y=0470.500-0479.820 | 270
P=1722 | X=0505.390-0522.030 | Y=0470.500-0479.820 | 220
P=1722 | X=0297.240-0321.080 | Y=0474.380-0485.620 | Đồng
P=1722 | X=0120.530-0389.500 | Y=0492.140-0503.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú
P=1722 | X=0120.530-0392.630 | Y=0503.660-0514.900 | Lợi đoạn từ Quốc lộ 20 đến Giáp ranh tỉnh Lâm Đồng có hiện
P=1722 | X=0120.530-0292.310 | Y=0515.180-0526.420 | trạng là đường nhựa, bê tông xi măng:
P=1722 | X=0099.650-0110.770 | Y=0528.820-0538.140 | 72
P=1722 | X=0442.250-0458.890 | Y=0528.820-0538.140 | 130
P=1722 | X=0505.390-0522.030 | Y=0528.820-0538.140 | 100
P=1722 | X=0120.530-0351.610 | Y=0532.490-0543.730 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1722 | X=0120.530-0361.640 | Y=0550.010-0561.250 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1722 | X=0120.530-0154.050 | Y=0561.530-0572.770 | ≤500m.
P=1722 | X=0120.530-0389.500 | Y=0579.290-0590.530 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú
P=1722 | X=0120.530-0392.630 | Y=0590.810-0602.050 | Lợi đoạn từ Quốc lộ 20 đến Giáp ranh tỉnh Lâm Đồng có hiện
P=1722 | X=0120.530-0292.310 | Y=0602.330-0613.570 | trạng là đường nhựa, bê tông xi măng:
P=1722 | X=0099.650-0352.080 | Y=0619.870-0634.190 | 73 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1722 | X=0448.010-0459.130 | Y=0624.870-0634.190 | 90
P=1722 | X=0511.150-0522.270 | Y=0624.870-0634.190 | 80
P=1722 | X=0120.530-0373.840 | Y=0637.390-0648.630 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1722 | X=0120.530-0215.500 | Y=0648.910-0660.150 | >500m đến ≤1.000m.
P=1722 | X=0120.530-0343.720 | Y=0666.430-0677.670 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1722 | X=0120.530-0389.500 | Y=0684.190-0695.430 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú
P=1722 | X=0099.650-0392.630 | Y=0695.710-0706.950 | 74 Lợi đoạn từ Quốc lộ 20 đến Giáp ranh tỉnh Lâm Đồng có hiện
P=1722 | X=0448.010-0459.130 | Y=0697.590-0706.910 | 55
P=1722 | X=0511.150-0522.270 | Y=0697.590-0706.910 | 50
P=1722 | X=0120.530-0292.310 | Y=0707.250-0718.490 | trạng là đường nhựa, bê tông xi măng:
P=1723 | X=0120.530-0361.640 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1723 | X=0120.530-0162.670 | Y=0091.900-0101.220 | >1.000m.
P=1723 | X=0120.530-0344.170 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1723 | X=0120.530-0394.040 | Y=0125.330-0136.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1723 | X=0120.530-0375.110 | Y=0136.850-0148.090 | ra Đường Phú Lợi đoạn từ Quốc lộ 20 đến Giáp ranh tỉnh
P=1723 | X=0120.530-0376.110 | Y=0148.370-0159.610 | Lâm Đồng có hiện trạng là đường nhựa, bê tông xi măng:
P=1723 | X=0099.650-0110.770 | Y=0162.010-0171.330 | 75
P=1723 | X=0442.250-0458.890 | Y=0162.010-0171.330 | 130
P=1723 | X=0505.390-0522.030 | Y=0162.010-0171.330 | 100
P=1723 | X=0120.530-0351.610 | Y=0165.650-0176.890 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1723 | X=0120.530-0361.640 | Y=0183.170-0194.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1723 | X=0120.530-0154.050 | Y=0194.690-0205.930 | ≤500m.
P=1723 | X=0120.530-0394.040 | Y=0212.470-0223.710 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1723 | X=0120.530-0375.110 | Y=0223.990-0235.230 | ra Đường Phú Lợi đoạn từ Quốc lộ 20 đến Giáp ranh tỉnh
P=1723 | X=0120.530-0376.110 | Y=0235.510-0246.750 | Lâm Đồng có hiện trạng là đường nhựa, bê tông xi măng:
P=1723 | X=0099.650-0352.080 | Y=0253.030-0267.110 | 76 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1723 | X=0448.010-0459.130 | Y=0257.790-0267.110 | 90
P=1723 | X=0511.150-0522.270 | Y=0257.790-0267.110 | 80
P=1723 | X=0120.530-0373.840 | Y=0270.550-0281.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1723 | X=0120.530-0215.500 | Y=0282.100-0293.340 | >500m đến ≤1.000m.
P=1723 | X=0120.530-0343.700 | Y=0299.620-0310.860 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1723 | X=0120.530-0394.040 | Y=0317.380-0328.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1723 | X=0120.530-0375.100 | Y=0328.900-0340.140 | ra Đường Phú Lợi đoạn từ Quốc lộ 20 đến Giáp ranh tỉnh
P=1723 | X=0120.530-0376.110 | Y=0340.420-0351.660 | Lâm Đồng có hiện trạng là đường nhựa, bê tông xi măng:
P=1723 | X=0099.650-0110.770 | Y=0353.820-0363.140 | 77
P=1723 | X=0448.010-0459.130 | Y=0353.820-0363.140 | 55
P=1723 | X=0511.150-0522.270 | Y=0353.820-0363.140 | 50
P=1723 | X=0120.530-0361.640 | Y=0357.700-0368.940 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1723 | X=0120.530-0162.670 | Y=0371.120-0380.440 | >1.000m.
P=1723 | X=0120.530-0344.170 | Y=0386.760-0398.000 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1723 | X=0297.240-0389.020 | Y=0404.520-0415.760 | Hết ranh thửa đất số
P=1723 | X=0297.240-0384.460 | Y=0416.040-0427.280 | 275 tờ BĐĐC số 92
P=1723 | X=0120.530-0203.910 | Y=0427.560-0438.800 | Đường Phú Thắng
P=1723 | X=0297.240-0379.020 | Y=0429.440-0438.760 | về bên phải và hết
P=1723 | X=0099.650-0110.770 | Y=0435.200-0444.520 | 78
P=1723 | X=0204.550-0253.140 | Y=0435.200-0444.520 | Quốc lộ 20
P=1723 | X=0442.250-0458.890 | Y=0435.200-0444.520 | 270
P=1723 | X=0505.390-0522.030 | Y=0435.200-0444.520 | 220
P=1723 | X=0297.240-0387.430 | Y=0439.080-0450.320 | ranh thửa đất số 81,
P=1723 | X=0120.530-0126.130 | Y=0440.960-0450.280 | 2
P=1723 | X=0297.240-0378.710 | Y=0450.620-0461.860 | tờ BĐĐC số 92 về
P=1723 | X=0297.240-0330.670 | Y=0464.020-0473.340 | bên trái
P=1723 | X=0120.530-0389.500 | Y=0479.900-0491.140 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú
P=1723 | X=0120.530-0391.470 | Y=0491.420-0502.660 | Thắng 2 đoạn từ Quốc lộ 20 đến Hết ranh thửa đất số 275 tờ
P=1723 | X=0120.530-0365.790 | Y=0502.940-0514.180 | BĐĐC số 92 về bên phải và hết ranh thửa đất số 81, tờ
P=1723 | X=0120.530-0394.530 | Y=0514.220-0525.460 | BĐĐC số 92 về bên trái có hiện trạng là đường nhựa, bê tông
P=1723 | X=0099.650-0158.360 | Y=0525.740-0537.180 | 79 xi măng:
P=1723 | X=0442.250-0458.890 | Y=0527.860-0537.180 | 130
P=1723 | X=0505.390-0522.030 | Y=0527.860-0537.180 | 100
P=1723 | X=0120.530-0351.610 | Y=0543.290-0554.530 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1723 | X=0120.530-0361.640 | Y=0560.810-0572.050 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1723 | X=0120.530-0154.050 | Y=0572.330-0583.570 | ≤500m.
P=1723 | X=0120.530-0389.500 | Y=0590.090-0601.330 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú
P=1723 | X=0120.530-0391.470 | Y=0601.610-0612.850 | Thắng 2 đoạn từ Quốc lộ 20 đến Hết ranh thửa đất số 275 tờ
P=1723 | X=0120.530-0365.790 | Y=0613.130-0624.370 | BĐĐC số 92 về bên phải và hết ranh thửa đất số 81, tờ
P=1723 | X=0120.530-0394.530 | Y=0624.670-0635.910 | BĐĐC số 92 về bên trái có hiện trạng là đường nhựa, bê tông
P=1723 | X=0120.530-0158.360 | Y=0636.190-0647.430 | xi măng:
P=1723 | X=0099.650-0110.770 | Y=0646.950-0656.270 | 80
P=1723 | X=0448.010-0459.130 | Y=0646.950-0656.270 | 90
P=1723 | X=0511.150-0522.270 | Y=0646.950-0656.270 | 80
P=1723 | X=0120.530-0352.080 | Y=0653.710-0664.950 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1723 | X=0120.530-0373.850 | Y=0671.230-0682.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1723 | X=0120.530-0215.500 | Y=0682.510-0693.750 | >500m đến ≤1.000m.
P=1723 | X=0120.530-0343.700 | Y=0700.050-0711.290 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1724 | X=0120.530-0389.500 | Y=0078.500-0089.740 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phú
P=1724 | X=0120.530-0391.470 | Y=0090.020-0101.260 | Thắng 2 đoạn từ Quốc lộ 20 đến Hết ranh thửa đất số 275 tờ
P=1724 | X=0120.530-0365.790 | Y=0101.540-0112.780 | BĐĐC số 92 về bên phải và hết ranh thửa đất số 81, tờ
P=1724 | X=0120.530-0394.530 | Y=0113.060-0124.300 | BĐĐC số 92 về bên trái có hiện trạng là đường nhựa, bê tông
P=1724 | X=0099.650-0158.360 | Y=0124.610-0136.050 | 81 xi măng:
P=1724 | X=0448.010-0459.130 | Y=0126.730-0136.050 | 55
P=1724 | X=0511.150-0522.270 | Y=0126.730-0136.050 | 50
P=1724 | X=0120.530-0361.640 | Y=0142.130-0153.370 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1724 | X=0120.530-0162.670 | Y=0155.290-0164.610 | >1.000m.
P=1724 | X=0120.530-0344.170 | Y=0170.930-0182.170 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1724 | X=0120.530-0394.040 | Y=0188.690-0199.930 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1724 | X=0120.530-0372.920 | Y=0200.230-0211.470 | ra Đường Phú Thắng 2 đoạn từ Quốc lộ 20 đến Hết ranh
P=1724 | X=0120.530-0391.900 | Y=0211.750-0222.990 | thửa đất số 275 tờ BĐĐC số 92 về bên phải và hết ranh thửa
P=1724 | X=0120.530-0388.540 | Y=0223.270-0234.510 | đất số 81, tờ BĐĐC số 92 về bên trái có hiện trạng là đường
P=1724 | X=0099.650-0223.640 | Y=0234.790-0246.230 | 82 nhựa, bê tông xi măng:
P=1724 | X=0442.250-0458.890 | Y=0236.910-0246.230 | 130
P=1724 | X=0505.390-0522.030 | Y=0236.910-0246.230 | 100
P=1724 | X=0120.530-0351.610 | Y=0252.310-0263.550 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1724 | X=0120.530-0361.640 | Y=0269.830-0281.070 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1724 | X=0120.530-0154.050 | Y=0281.380-0292.620 | ≤500m.
P=1724 | X=0120.530-0394.040 | Y=0299.140-0310.380 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1724 | X=0120.530-0372.920 | Y=0310.660-0321.900 | ra Đường Phú Thắng 2 đoạn từ Quốc lộ 20 đến Hết ranh
P=1724 | X=0120.530-0391.900 | Y=0321.940-0333.180 | thửa đất số 275 tờ BĐĐC số 92 về bên phải và hết ranh thửa
P=1724 | X=0120.530-0388.540 | Y=0333.460-0344.700 | đất số 81, tờ BĐĐC số 92 về bên trái có hiện trạng là đường
P=1724 | X=0120.530-0223.640 | Y=0344.980-0356.220 | nhựa, bê tông xi măng:
P=1724 | X=0099.650-0110.770 | Y=0355.980-0365.300 | 83
P=1724 | X=0448.010-0459.130 | Y=0355.980-0365.300 | 90
P=1724 | X=0511.150-0522.270 | Y=0355.980-0365.300 | 80
P=1724 | X=0120.530-0352.080 | Y=0362.500-0373.740 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1724 | X=0120.530-0373.840 | Y=0380.040-0391.280 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1724 | X=0120.530-0215.500 | Y=0391.560-0402.800 | >500m đến ≤1.000m.
P=1724 | X=0120.530-0343.700 | Y=0409.080-0420.320 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1724 | X=0120.530-0394.040 | Y=0426.840-0438.080 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1724 | X=0120.530-0372.920 | Y=0438.360-0449.600 | ra Đường Phú Thắng 2 đoạn từ Quốc lộ 20 đến Hết ranh
P=1724 | X=0120.530-0391.900 | Y=0449.900-0461.140 | thửa đất số 275 tờ BĐĐC số 92 về bên phải và hết ranh thửa
P=1724 | X=0120.530-0388.540 | Y=0461.420-0472.660 | đất số 81, tờ BĐĐC số 92 về bên trái có hiện trạng là đường
P=1724 | X=0099.650-0223.640 | Y=0472.940-0484.380 | 84 nhựa, bê tông xi măng:
