TABLE=010 | AREA=Phường Tam Phước | SECTION=agricultural | SEGMENTS=1
P=0338 | X=0505.390-0522.030 | Y=0287.340-0296.660 | 380
P=0338 | X=0113.330-0400.220 | Y=0305.860-0317.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0338 | X=0113.330-0166.290 | Y=0317.380-0328.620 | đến ≤600m.
P=0338 | X=0113.330-0336.500 | Y=0334.900-0346.140 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0338 | X=0113.330-0398.590 | Y=0352.900-0364.140 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0338 | X=0113.330-0409.660 | Y=0364.180-0375.420 | Đường chuyên dùng vận chuyển vật liệu xây dựng đoạn từ Đường
P=0338 | X=0113.330-0412.530 | Y=0375.720-0386.960 | vào trường Trung cấp Phật Học đến Giáp ranh phường Phước Tân
P=0338 | X=0095.810-0320.180 | Y=0387.240-0398.680 | 98 có hiện trạng là đường nhựa, bê tông xi măng:
P=0338 | X=0456.170-0472.810 | Y=0389.360-0398.680 | 460
P=0338 | X=0505.390-0522.030 | Y=0389.360-0398.680 | 310
P=0338 | X=0113.330-0390.780 | Y=0404.760-0416.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0338 | X=0113.330-0339.620 | Y=0422.280-0433.520 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0338 | X=0312.600-0411.980 | Y=0440.280-0451.520 | Hết ranh phường Tam
P=0338 | X=0095.810-0204.610 | Y=0446.040-0457.280 | 99 Đường Phùng Hưng
P=0338 | X=0220.390-0268.980 | Y=0447.920-0457.240 | Quốc lộ 51
P=0338 | X=0448.010-0473.060 | Y=0447.920-0457.240 | 1.000
P=0338 | X=0505.390-0522.030 | Y=0447.920-0457.240 | 630
P=0338 | X=0312.600-0343.320 | Y=0451.820-0463.060 | Phước
P=0338 | X=0113.330-0393.330 | Y=0469.820-0481.060 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phùng
P=0338 | X=0113.330-0417.110 | Y=0481.340-0492.580 | Hưng đoạn từ Quốc lộ 51 đến Hết ranh phường Tam Phước có hiện
P=0338 | X=0113.330-0285.110 | Y=0492.860-0504.100 | trạng là đường nhựa, bê tông xi măng:
P=0338 | X=0092.900-0109.540 | Y=0500.740-0510.060 | 100
P=0338 | X=0456.170-0472.810 | Y=0500.740-0510.060 | 660
P=0338 | X=0505.390-0522.030 | Y=0500.740-0510.060 | 440
P=0338 | X=0113.330-0336.240 | Y=0510.380-0521.620 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0338 | X=0113.330-0390.520 | Y=0527.900-0539.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0338 | X=0113.330-0393.330 | Y=0545.930-0557.170 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phùng
P=0338 | X=0113.330-0417.110 | Y=0557.450-0568.690 | Hưng đoạn từ Quốc lộ 51 đến Hết ranh phường Tam Phước có hiện
P=0338 | X=0113.330-0285.110 | Y=0568.970-0580.210 | trạng là đường nhựa, bê tông xi măng:
P=0338 | X=0092.900-0336.500 | Y=0586.250-0600.570 | 101 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0338 | X=0456.170-0472.810 | Y=0591.250-0600.570 | 560
P=0338 | X=0505.390-0522.030 | Y=0591.250-0600.570 | 380
P=0338 | X=0113.330-0400.220 | Y=0603.770-0615.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0338 | X=0113.330-0166.290 | Y=0615.290-0626.530 | đến ≤600m.
P=0338 | X=0113.330-0336.500 | Y=0632.830-0644.070 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0338 | X=0113.330-0393.330 | Y=0650.830-0662.070 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Phùng
P=0338 | X=0113.330-0417.110 | Y=0662.350-0673.590 | Hưng đoạn từ Quốc lộ 51 đến Hết ranh phường Tam Phước có hiện
P=0338 | X=0113.330-0285.110 | Y=0673.870-0685.110 | trạng là đường nhựa, bê tông xi măng:
P=0338 | X=0092.900-0109.540 | Y=0681.750-0691.070 | 102
P=0338 | X=0456.170-0472.810 | Y=0681.750-0691.070 | 460
P=0338 | X=0505.390-0522.030 | Y=0681.750-0691.070 | 310
P=0338 | X=0113.330-0390.760 | Y=0691.390-0702.630 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0338 | X=0113.330-0336.970 | Y=0708.930-0720.170 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0339 | X=0113.330-0398.590 | Y=0078.740-0089.980 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0339 | X=0113.330-0414.610 | Y=0090.260-0101.500 | Đường Phùng Hưng đoạn từ Quốc lộ 51 đến Hết ranh phường Tam
P=0339 | X=0113.330-0353.530 | Y=0101.780-0113.020 | Phước có hiện trạng là đường nhựa, bê tông xi măng:
P=0339 | X=0092.900-0109.540 | Y=0109.660-0118.980 | 103
P=0339 | X=0456.170-0472.810 | Y=0109.660-0118.980 | 660
P=0339 | X=0505.390-0522.030 | Y=0109.660-0118.980 | 440
P=0339 | X=0113.330-0336.240 | Y=0119.330-0130.570 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0339 | X=0113.330-0390.520 | Y=0136.850-0148.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0339 | X=0113.330-0398.590 | Y=0154.850-0166.090 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0339 | X=0113.330-0414.610 | Y=0166.370-0177.610 | Đường Phùng Hưng đoạn từ Quốc lộ 51 đến Hết ranh phường Tam
P=0339 | X=0113.330-0353.530 | Y=0177.650-0188.890 | Phước có hiện trạng là đường nhựa, bê tông xi măng:
P=0339 | X=0092.900-0336.520 | Y=0195.170-0209.510 | 104 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0339 | X=0456.170-0472.810 | Y=0200.190-0209.510 | 560
P=0339 | X=0505.390-0522.030 | Y=0200.190-0209.510 | 380
P=0339 | X=0113.330-0400.220 | Y=0212.710-0223.950 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0339 | X=0113.330-0166.290 | Y=0224.230-0235.470 | đến ≤600m.
P=0339 | X=0113.330-0336.500 | Y=0241.750-0252.990 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0339 | X=0113.330-0398.590 | Y=0259.750-0270.990 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0339 | X=0113.330-0414.610 | Y=0271.270-0282.510 | Đường Phùng Hưng đoạn từ Quốc lộ 51 đến Hết ranh phường Tam
P=0339 | X=0113.330-0353.530 | Y=0282.820-0294.060 | Phước có hiện trạng là đường nhựa, bê tông xi măng:
P=0339 | X=0092.900-0109.540 | Y=0290.700-0300.020 | 105
P=0339 | X=0456.170-0472.810 | Y=0290.700-0300.020 | 460
P=0339 | X=0505.390-0522.030 | Y=0290.700-0300.020 | 310
P=0339 | X=0113.330-0390.760 | Y=0300.340-0311.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0339 | X=0113.330-0339.620 | Y=0317.860-0329.100 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0339 | X=0090.020-0178.930 | Y=0337.500-0346.820 | 11. Xã Long Thành
P=0339 | X=0432.170-0466.250 | Y=0353.620-0364.860 | Giá đất
P=0339 | X=0483.050-0517.150 | Y=0353.620-0364.860 | Giá đất
P=0339 | X=0426.650-0521.870 | Y=0367.040-0376.360 | trồng cây rừng sản
P=0339 | X=0127.250-0203.960 | Y=0376.680-0387.920 | Tên đường giao
P=0339 | X=0428.810-0520.750 | Y=0376.680-0387.920 | lâu năm, xuất, đất
P=0339 | X=0246.100-0291.380 | Y=0382.440-0393.680 | Điểm đầu
P=0339 | X=0347.400-0395.340 | Y=0382.440-0393.680 | Điểm cuối
P=0339 | X=0096.530-0108.930 | Y=0384.320-0393.640 | TT
P=0339 | X=0427.610-0470.970 | Y=0387.960-0399.200 | đất trồng
P=0339 | X=0151.730-0179.700 | Y=0389.840-0399.160 | thông
P=0339 | X=0489.550-0510.810 | Y=0389.840-0399.160 | nuôi
P=0339 | X=0427.610-0471.190 | Y=0401.360-0410.680 | cây hằng
P=0339 | X=0487.150-0512.750 | Y=0401.360-0410.680 | trồng
P=0339 | X=0438.890-0459.600 | Y=0411.000-0422.240 | năm
P=0339 | X=0479.450-0520.670 | Y=0412.880-0422.200 | thủy sản
P=0339 | X=0215.830-0297.540 | Y=0431.120-0440.440 | Ranh giới xã Long
P=0339 | X=0115.970-0188.310 | Y=0435.000-0446.240 | Đường Lê Duẩn
P=0339 | X=0322.200-0397.900 | Y=0435.000-0446.240 | Đường Trần Phú
P=0339 | X=0099.890-0105.490 | Y=0436.880-0446.200 | 1
P=0339 | X=0460.730-0477.370 | Y=0436.880-0446.200 | 800
P=0339 | X=0505.390-0522.030 | Y=0436.880-0446.200 | 710
P=0339 | X=0215.830-0244.240 | Y=0442.640-0451.960 | Thành
P=0339 | X=0115.970-0404.870 | Y=0458.780-0470.020 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lê Duẩn
P=0339 | X=0115.970-0399.110 | Y=0470.300-0481.540 | đoạn từ Ranh giới xã Long Thành đến Đường Trần Phú có hiện
P=0339 | X=0115.970-0287.750 | Y=0481.820-0493.060 | trạng là đường nhựa, bê tông xi măng:
P=0339 | X=0099.890-0105.490 | Y=0489.700-0499.020 | 2
P=0339 | X=0460.730-0477.370 | Y=0489.700-0499.020 | 630
P=0339 | X=0505.390-0522.030 | Y=0489.700-0499.020 | 580
P=0339 | X=0115.970-0338.880 | Y=0499.340-0510.580 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0339 | X=0115.970-0393.160 | Y=0516.860-0528.100 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0339 | X=0115.970-0404.870 | Y=0534.890-0546.130 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lê Duẩn
P=0339 | X=0115.970-0399.110 | Y=0546.410-0557.650 | đoạn từ Ranh giới xã Long Thành đến Đường Trần Phú có hiện
P=0339 | X=0115.970-0287.750 | Y=0557.930-0569.170 | trạng là đường nhựa, bê tông xi măng:
P=0339 | X=0115.970-0339.140 | Y=0575.450-0586.690 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0339 | X=0099.890-0105.490 | Y=0580.210-0589.530 | 3
P=0339 | X=0460.730-0477.370 | Y=0580.210-0589.530 | 480
P=0339 | X=0505.390-0522.030 | Y=0580.210-0589.530 | 440
P=0339 | X=0115.970-0402.860 | Y=0592.970-0604.210 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0339 | X=0115.970-0168.930 | Y=0604.250-0615.490 | đến ≤600m.
P=0339 | X=0115.970-0339.140 | Y=0621.790-0633.030 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0339 | X=0115.970-0404.870 | Y=0639.790-0651.030 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lê Duẩn
P=0339 | X=0115.970-0399.110 | Y=0651.310-0662.550 | đoạn từ Ranh giới xã Long Thành đến Đường Trần Phú có hiện
P=0339 | X=0115.970-0287.750 | Y=0662.830-0674.070 | trạng là đường nhựa, bê tông xi măng:
P=0339 | X=0099.890-0105.490 | Y=0670.710-0680.030 | 4
P=0339 | X=0460.730-0477.370 | Y=0670.710-0680.030 | 320
P=0339 | X=0505.390-0522.030 | Y=0670.710-0680.030 | 270
P=0339 | X=0115.970-0393.400 | Y=0680.350-0691.590 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0339 | X=0115.970-0339.610 | Y=0697.870-0709.110 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0340 | X=0115.970-0401.230 | Y=0078.740-0089.980 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0340 | X=0115.970-0418.310 | Y=0090.260-0101.500 | Đường Lê Duẩn đoạn từ Ranh giới xã Long Thành đến Đường Trần
P=0340 | X=0115.970-0343.450 | Y=0101.780-0113.020 | Phú có hiện trạng là đường nhựa, bê tông xi măng:
P=0340 | X=0099.890-0105.490 | Y=0109.660-0118.980 | 5
P=0340 | X=0460.730-0477.370 | Y=0109.660-0118.980 | 630
P=0340 | X=0505.390-0522.030 | Y=0109.660-0118.980 | 580
P=0340 | X=0115.970-0338.880 | Y=0119.330-0130.570 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0340 | X=0115.970-0395.800 | Y=0136.850-0148.090 | - Có bề rộng từ ≥3 m đến <5m, cách đường giao thông ≤400m.
P=0340 | X=0115.970-0401.230 | Y=0154.850-0166.090 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0340 | X=0115.970-0418.310 | Y=0166.370-0177.610 | Đường Lê Duẩn đoạn từ Ranh giới xã Long Thành đến Đường Trần
P=0340 | X=0115.970-0343.450 | Y=0177.650-0188.890 | Phú có hiện trạng là đường nhựa, bê tông xi măng:
P=0340 | X=0115.970-0339.160 | Y=0195.170-0206.410 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0340 | X=0099.890-0105.490 | Y=0200.190-0209.510 | 6
P=0340 | X=0460.730-0477.370 | Y=0200.190-0209.510 | 480
P=0340 | X=0505.390-0522.030 | Y=0200.190-0209.510 | 440
P=0340 | X=0115.970-0402.860 | Y=0212.710-0223.950 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0340 | X=0115.970-0168.930 | Y=0224.230-0235.470 | đến ≤600m.
P=0340 | X=0115.970-0339.140 | Y=0241.750-0252.990 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0340 | X=0115.970-0401.230 | Y=0259.750-0270.990 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0340 | X=0115.970-0418.310 | Y=0271.270-0282.510 | Đường Lê Duẩn đoạn từ Ranh giới xã Long Thành đến Đường Trần
P=0340 | X=0115.970-0343.450 | Y=0282.820-0294.060 | Phú có hiện trạng là đường nhựa, bê tông xi măng:
P=0340 | X=0099.890-0105.490 | Y=0290.700-0300.020 | 7
P=0340 | X=0460.730-0477.370 | Y=0290.700-0300.020 | 320
P=0340 | X=0505.390-0522.030 | Y=0290.700-0300.020 | 270
P=0340 | X=0115.970-0393.400 | Y=0300.340-0311.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0340 | X=0115.970-0342.260 | Y=0317.860-0329.100 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0340 | X=0115.970-0364.040 | Y=0335.860-0347.100 | Đường Lê Duẩn Đường Trần Phú Đường Lý Tự Trọng
P=0340 | X=0099.890-0105.490 | Y=0337.740-0347.060 | 8
P=0340 | X=0460.730-0477.370 | Y=0337.740-0347.060 | 800
P=0340 | X=0505.390-0522.030 | Y=0337.740-0347.060 | 710
P=0340 | X=0115.970-0404.870 | Y=0353.860-0365.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lê Duẩn
P=0340 | X=0115.970-0411.820 | Y=0365.400-0376.640 | đoạn từ Đường Trần Phú đến Đường Lý Tự Trọng có hiện trạng là
P=0340 | X=0115.970-0251.740 | Y=0376.920-0388.160 | đường nhựa, bê tông xi măng:
P=0340 | X=0099.890-0105.490 | Y=0384.800-0394.120 | 9
P=0340 | X=0460.730-0477.370 | Y=0384.800-0394.120 | 630
P=0340 | X=0505.390-0522.030 | Y=0384.800-0394.120 | 580
P=0340 | X=0115.970-0338.880 | Y=0394.200-0405.440 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0340 | X=0115.970-0393.160 | Y=0411.720-0422.960 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0340 | X=0115.970-0404.870 | Y=0429.720-0440.960 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lê Duẩn
P=0340 | X=0115.970-0411.820 | Y=0441.240-0452.480 | đoạn từ Đường Trần Phú đến Đường Lý Tự Trọng có hiện trạng là
P=0340 | X=0115.970-0251.740 | Y=0452.780-0464.020 | đường nhựa, bê tông xi măng:
P=0340 | X=0097.250-0339.140 | Y=0470.300-0484.620 | 10 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0340 | X=0460.730-0477.370 | Y=0475.300-0484.620 | 480
P=0340 | X=0505.390-0522.030 | Y=0475.300-0484.620 | 440
P=0340 | X=0115.970-0402.860 | Y=0487.820-0499.060 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0340 | X=0115.970-0168.930 | Y=0499.340-0510.580 | đến ≤600m.
P=0340 | X=0115.970-0339.140 | Y=0516.860-0528.100 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0340 | X=0115.970-0404.870 | Y=0534.890-0546.130 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lê Duẩn
P=0340 | X=0115.970-0411.820 | Y=0546.410-0557.650 | đoạn từ Đường Trần Phú đến Đường Lý Tự Trụng có hiện trạng là
P=0340 | X=0115.970-0251.740 | Y=0557.930-0569.170 | đường nhựa, bê tông xi măng:
P=0340 | X=0097.250-0108.380 | Y=0565.810-0575.130 | 11
P=0340 | X=0460.730-0477.370 | Y=0565.810-0575.130 | 320
P=0340 | X=0505.390-0522.030 | Y=0565.810-0575.130 | 270
P=0340 | X=0115.970-0393.410 | Y=0575.450-0586.690 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0340 | X=0115.970-0339.610 | Y=0592.970-0604.210 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0340 | X=0115.970-0401.230 | Y=0610.970-0622.210 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0340 | X=0115.970-0415.660 | Y=0622.270-0633.510 | Đường Lê Duẩn đoạn từ Đường Trần Phú đến Đường Lý Tự Trọng
P=0340 | X=0115.970-0322.820 | Y=0633.790-0645.030 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0340 | X=0097.250-0108.370 | Y=0641.670-0650.990 | 12
P=0340 | X=0460.730-0477.370 | Y=0641.670-0650.990 | 630
P=0340 | X=0505.390-0522.030 | Y=0641.670-0650.990 | 580
P=0340 | X=0115.970-0338.880 | Y=0651.310-0662.550 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0340 | X=0115.970-0393.160 | Y=0668.830-0680.070 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0340 | X=0115.970-0401.230 | Y=0686.830-0698.070 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0340 | X=0097.250-0108.370 | Y=0694.470-0703.790 | 13
P=0340 | X=0460.730-0477.370 | Y=0694.470-0703.790 | 480
P=0340 | X=0505.390-0522.030 | Y=0694.470-0703.790 | 440
P=0340 | X=0115.970-0415.660 | Y=0698.350-0709.590 | Đường Lê Duẩn đoạn từ Đường Trần Phú đến Đường Lý Tự Trọng
P=0341 | X=0115.970-0322.830 | Y=0072.740-0083.980 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0341 | X=0115.970-0339.140 | Y=0090.260-0101.500 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0341 | X=0115.970-0402.860 | Y=0107.780-0119.020 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0341 | X=0115.970-0168.930 | Y=0119.330-0130.570 | đến ≤600m.
P=0341 | X=0115.970-0339.140 | Y=0136.850-0148.090 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0341 | X=0115.970-0401.230 | Y=0154.850-0166.090 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0341 | X=0115.970-0415.660 | Y=0166.370-0177.610 | Đường Lê Duẩn đoạn từ Đường Trần Phú đến Đường Lý Tự Trọng
P=0341 | X=0115.970-0322.820 | Y=0177.650-0188.890 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0341 | X=0097.250-0108.370 | Y=0185.530-0194.850 | 14
P=0341 | X=0460.730-0477.370 | Y=0185.530-0194.850 | 320
P=0341 | X=0505.390-0522.030 | Y=0185.530-0194.850 | 270
P=0341 | X=0115.970-0393.400 | Y=0195.170-0206.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0341 | X=0115.970-0342.260 | Y=0212.710-0223.950 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0341 | X=0192.070-0252.850 | Y=0230.710-0241.950 | Đường Lý Tự
P=0341 | X=0097.250-0188.310 | Y=0236.470-0247.710 | 15 Đường Lê Duẩn
P=0341 | X=0278.500-0344.360 | Y=0238.350-0247.670 | Cầu Quán Thủ
P=0341 | X=0460.730-0477.370 | Y=0238.350-0247.670 | 800
P=0341 | X=0505.390-0522.030 | Y=0238.350-0247.670 | 710
P=0341 | X=0192.070-0218.310 | Y=0244.110-0253.430 | Trọng
P=0341 | X=0115.970-0404.870 | Y=0260.230-0271.470 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lê Duẩn
P=0341 | X=0115.970-0399.810 | Y=0271.750-0282.990 | đoạn từ Đường Lý Tự Trọng đến cầu Quán Thủ có hiện trạng là
P=0341 | X=0115.970-0251.740 | Y=0283.300-0294.540 | đường nhựa, bê tông xi măng:
P=0341 | X=0097.250-0108.370 | Y=0291.180-0300.500 | 16
P=0341 | X=0460.730-0477.370 | Y=0291.180-0300.500 | 630
P=0341 | X=0505.390-0522.030 | Y=0291.180-0300.500 | 580
P=0341 | X=0115.970-0338.880 | Y=0300.820-0312.060 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0341 | X=0115.970-0393.160 | Y=0318.340-0329.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0341 | X=0115.970-0404.870 | Y=0336.340-0347.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lê Duẩn
P=0341 | X=0115.970-0399.810 | Y=0347.860-0359.100 | đoạn từ Đường Lý Tự Trọng đến cầu Quán Thủ có hiện trạng là
P=0341 | X=0115.970-0251.740 | Y=0359.380-0370.620 | đường nhựa, bê tông xi măng:
P=0341 | X=0097.250-0339.140 | Y=0376.920-0391.000 | 17 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0341 | X=0460.730-0477.370 | Y=0381.680-0391.000 | 480
P=0341 | X=0505.390-0522.030 | Y=0381.680-0391.000 | 440
P=0341 | X=0115.970-0402.860 | Y=0394.200-0405.440 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0341 | X=0115.970-0168.930 | Y=0405.720-0416.960 | đến ≤600m.
P=0341 | X=0115.970-0339.140 | Y=0423.240-0434.480 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0341 | X=0115.970-0404.870 | Y=0441.240-0452.480 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lê Duẩn
P=0341 | X=0115.970-0401.970 | Y=0452.780-0464.020 | đoạn từ Đường Lý Tự Trọng đến Cầu Quán Thủ có hiện trạng là
P=0341 | X=0115.970-0251.780 | Y=0464.300-0475.540 | đường nhựa, bê tông xi măng:
P=0341 | X=0097.250-0108.370 | Y=0472.180-0481.500 | 18
P=0341 | X=0460.730-0477.370 | Y=0472.180-0481.500 | 320
P=0341 | X=0505.390-0522.030 | Y=0472.180-0481.500 | 270
P=0341 | X=0115.970-0393.400 | Y=0481.820-0493.060 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0341 | X=0115.970-0339.610 | Y=0499.340-0510.580 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0341 | X=0115.970-0401.230 | Y=0517.340-0528.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0341 | X=0115.970-0416.860 | Y=0528.860-0540.100 | Đường Lê Duẩn đoạn từ Đường Lý Tự Trọng đến cầu Quán Thủ có
P=0341 | X=0115.970-0309.580 | Y=0540.410-0551.650 | hiện trạng là đường nhựa, bê tông xi măng:
P=0341 | X=0097.250-0108.370 | Y=0548.290-0557.610 | 19
P=0341 | X=0460.730-0477.370 | Y=0548.290-0557.610 | 630
P=0341 | X=0505.390-0522.030 | Y=0548.290-0557.610 | 580
P=0341 | X=0115.970-0338.880 | Y=0557.930-0569.170 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0341 | X=0115.970-0393.160 | Y=0575.450-0586.690 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0341 | X=0115.970-0401.230 | Y=0593.450-0604.690 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0341 | X=0115.970-0416.860 | Y=0604.970-0616.210 | Đường Lê Duẩn đoạn từ Đường Lý Tự Trọng đến cầu Quán Thủ có
P=0341 | X=0115.970-0309.580 | Y=0616.270-0627.510 | hiện trạng là đường nhựa, bê tông xi măng:
P=0341 | X=0097.250-0339.140 | Y=0633.790-0648.110 | 20 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0341 | X=0460.730-0477.370 | Y=0638.790-0648.110 | 480
P=0341 | X=0505.390-0522.030 | Y=0638.790-0648.110 | 440
P=0341 | X=0115.970-0402.860 | Y=0651.310-0662.550 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0341 | X=0115.970-0168.930 | Y=0662.830-0674.070 | đến ≤600m.
P=0341 | X=0115.970-0339.140 | Y=0680.350-0691.590 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0341 | X=0097.250-0401.230 | Y=0698.350-0709.590 | 21 Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0341 | X=0460.730-0477.370 | Y=0700.230-0709.550 | 320
P=0341 | X=0505.390-0522.030 | Y=0700.230-0709.550 | 270
P=0342 | X=0115.970-0416.860 | Y=0072.740-0083.980 | Đường Lê Duẩn đoạn từ Đường Lý Tự Trọng đến cầu Quán Thủ có
P=0342 | X=0115.970-0309.580 | Y=0084.260-0095.500 | hiện trạng là đường nhựa, bê tông xi măng:
P=0342 | X=0115.970-0393.400 | Y=0101.780-0113.020 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0342 | X=0115.970-0342.260 | Y=0119.330-0130.570 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0342 | X=0097.250-0257.940 | Y=0137.330-0148.570 | 22 Đường Lê Duẩn Cầu Quán Thủ
P=0342 | X=0278.500-0311.450 | Y=0137.330-0148.570 | Mũi tàu
P=0342 | X=0460.730-0477.370 | Y=0139.210-0148.530 | 800
P=0342 | X=0505.390-0522.030 | Y=0139.210-0148.530 | 710
P=0342 | X=0115.970-0404.870 | Y=0155.330-0166.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lê Duẩn
P=0342 | X=0115.970-0418.780 | Y=0166.850-0178.090 | đoạn từ cầu Quán Thủ đến Mũi tàu có hiện trạng là đường nhựa, bê
P=0342 | X=0115.970-0176.130 | Y=0178.370-0189.610 | tông xi măng:
P=0342 | X=0097.250-0108.370 | Y=0186.250-0195.570 | 23
P=0342 | X=0460.730-0477.370 | Y=0186.250-0195.570 | 630
P=0342 | X=0505.390-0522.030 | Y=0186.250-0195.570 | 580
P=0342 | X=0115.970-0338.880 | Y=0195.650-0206.890 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0342 | X=0115.970-0393.160 | Y=0213.190-0224.430 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0342 | X=0115.970-0404.870 | Y=0231.190-0242.430 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Lê Duẩn
P=0342 | X=0115.970-0406.870 | Y=0242.710-0253.950 | đoạn từ Cầu Quán Thủ đến Mũi tàu có hiện trạng là đường nhựa,
