TABLE=032 | AREA=Xã Xuân Đường | SECTION=agricultural | SEGMENTS=1
P=1076 | X=0119.810-0153.330 | Y=0648.190-0659.430 | ≤500m.
P=1076 | X=0119.810-0393.320 | Y=0665.950-0677.190 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1076 | X=0119.810-0374.820 | Y=0677.470-0688.710 | ra Đường Hương lộ 10 xây dựng mới tránh sân bay Long
P=1076 | X=0099.170-0110.290 | Y=0685.110-0694.430 | 27
P=1076 | X=0442.010-0458.650 | Y=0685.110-0694.430 | 400
P=1076 | X=0505.390-0522.030 | Y=0685.110-0694.430 | 350
P=1076 | X=0119.810-0381.100 | Y=0688.750-0699.990 | Thành, đoạn thuộc xã Xuân Đường có hiện trạng là đường
P=1076 | X=0119.810-0222.920 | Y=0700.290-0711.530 | nhựa, bê tông xi măng:
P=1077 | X=0119.810-0351.360 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1077 | X=0119.810-0373.120 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1077 | X=0119.810-0214.780 | Y=0107.540-0118.780 | >500m đến ≤1.000m.
P=1077 | X=0119.810-0342.980 | Y=0125.090-0136.330 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1077 | X=0119.810-0393.320 | Y=0142.850-0154.090 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1077 | X=0119.810-0374.820 | Y=0154.370-0165.610 | ra Đường Hương lộ 10 xây dựng mới tránh sân bay Long
P=1077 | X=0119.810-0381.100 | Y=0165.650-0176.890 | Thành, đoạn thuộc xã Xuân Đường có hiện trạng là đường
P=1077 | X=0119.810-0222.920 | Y=0177.170-0188.410 | nhựa, bê tông xi măng:
P=1077 | X=0099.170-0110.290 | Y=0185.050-0194.370 | 28
P=1077 | X=0442.010-0458.650 | Y=0185.050-0194.370 | 270
P=1077 | X=0505.390-0522.030 | Y=0185.050-0194.370 | 270
P=1077 | X=0119.810-0360.920 | Y=0194.690-0205.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1077 | X=0119.810-0161.950 | Y=0208.110-0217.430 | >1.000m.
P=1077 | X=0119.810-0343.450 | Y=0223.750-0234.990 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1077 | X=0119.810-0301.850 | Y=0241.510-0252.750 | Đường Sông Nhạn - Ranh giới xã Xuân
P=1077 | X=0303.720-0373.890 | Y=0247.270-0258.510 | Đường tỉnh 773
P=1077 | X=0099.170-0110.290 | Y=0249.150-0258.470 | 29
P=1077 | X=0442.010-0458.650 | Y=0249.150-0258.470 | 530
P=1077 | X=0505.390-0522.030 | Y=0249.150-0258.470 | 400
P=1077 | X=0219.190-0250.980 | Y=0253.030-0264.270 | Đường
P=1077 | X=0119.810-0161.800 | Y=0254.910-0264.230 | Dầu Giây
P=1077 | X=0119.810-0394.310 | Y=0270.790-0282.030 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Sông
P=1077 | X=0119.810-0371.020 | Y=0282.340-0293.580 | Nhạn - Dầu Giây đoạn từ Ranh giới xã Xuân Đường đến
P=1077 | X=0119.810-0368.840 | Y=0293.860-0305.100 | Đường tỉnh 773 có hiện trạng là đường nhựa, bê tông xi
P=1077 | X=0119.810-0147.810 | Y=0305.380-0316.620 | măng:
P=1077 | X=0099.170-0110.290 | Y=0313.260-0322.580 | 30
P=1077 | X=0442.010-0458.650 | Y=0313.260-0322.580 | 380
P=1077 | X=0505.390-0522.030 | Y=0313.260-0322.580 | 250
P=1077 | X=0119.810-0350.890 | Y=0322.900-0334.140 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1077 | X=0119.810-0360.920 | Y=0340.420-0351.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1077 | X=0119.810-0153.330 | Y=0351.700-0362.940 | ≤500m.
P=1077 | X=0119.810-0394.310 | Y=0369.480-0380.720 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Sông
P=1077 | X=0119.810-0371.020 | Y=0381.000-0392.240 | Nhạn - Dầu Giây đoạn từ Ranh giới xã Xuân Đường đến
P=1077 | X=0119.810-0368.840 | Y=0392.520-0403.760 | Đường tỉnh 773 có hiện trạng là đường nhựa, bê tông xi
P=1077 | X=0119.810-0147.810 | Y=0404.040-0415.280 | măng:
P=1077 | X=0099.170-0351.360 | Y=0420.800-0432.800 | 31 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1077 | X=0442.010-0458.650 | Y=0420.800-0430.120 | 310
P=1077 | X=0505.390-0522.030 | Y=0420.800-0430.120 | 200
P=1077 | X=0119.810-0373.120 | Y=0439.080-0450.320 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1077 | X=0119.810-0214.780 | Y=0450.620-0461.860 | >500m đến ≤1.000m.
P=1077 | X=0119.810-0342.980 | Y=0468.140-0479.380 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1077 | X=0119.810-0394.310 | Y=0485.900-0497.140 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Sông
P=1077 | X=0119.810-0371.020 | Y=0497.420-0508.660 | Nhạn - Dầu Giây đoạn từ Ranh giới xã Xuân Đường đến
P=1077 | X=0119.810-0368.840 | Y=0508.940-0520.180 | Đường tỉnh 773 có hiện trạng là đường nhựa, bê tông xi
P=1077 | X=0119.810-0147.810 | Y=0520.220-0531.460 | măng:
P=1077 | X=0099.170-0110.290 | Y=0528.100-0537.420 | 32
P=1077 | X=0442.010-0458.650 | Y=0528.100-0537.420 | 220
P=1077 | X=0505.390-0522.030 | Y=0528.100-0537.420 | 140
P=1077 | X=0119.810-0360.920 | Y=0537.770-0549.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1077 | X=0119.810-0161.950 | Y=0551.170-0560.490 | >1.000m.
P=1077 | X=0119.810-0343.450 | Y=0566.810-0578.050 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1077 | X=0119.810-0393.320 | Y=0584.570-0595.810 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1077 | X=0119.810-0389.230 | Y=0596.090-0607.330 | ra Đường Sông Nhạn - Dầu Giây đoạn từ Ranh giới xã Xuân
P=1077 | X=0119.810-0390.460 | Y=0607.610-0618.850 | Đường đến Đường tỉnh 773 có hiện trạng là đường nhựa, bê
P=1077 | X=0119.810-0179.970 | Y=0619.150-0630.390 | tông xi măng:
P=1077 | X=0099.170-0110.290 | Y=0627.030-0636.350 | 33
P=1077 | X=0442.010-0458.650 | Y=0627.030-0636.350 | 380
P=1077 | X=0505.390-0522.030 | Y=0627.030-0636.350 | 250
P=1077 | X=0119.810-0350.890 | Y=0636.670-0647.910 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1077 | X=0119.810-0360.920 | Y=0654.190-0665.430 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1077 | X=0119.810-0153.330 | Y=0665.710-0676.950 | ≤500m.
P=1077 | X=0119.810-0393.320 | Y=0683.470-0694.710 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1077 | X=0099.170-0389.230 | Y=0694.750-0705.990 | 34 ra Đường Sông Nhạn - Dầu Giây đoạn từ Ranh giới xã Xuân
P=1077 | X=0442.010-0458.650 | Y=0696.630-0705.950 | 310
P=1077 | X=0505.390-0522.030 | Y=0696.630-0705.950 | 200
P=1077 | X=0119.810-0390.460 | Y=0706.290-0717.530 | Đường đến Đường tỉnh 773 có hiện trạng là đường nhựa, bê
P=1078 | X=0119.810-0179.970 | Y=0072.500-0083.740 | tông xi măng:
P=1078 | X=0119.810-0351.360 | Y=0090.020-0101.260 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1078 | X=0119.810-0373.120 | Y=0107.540-0118.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1078 | X=0119.810-0214.780 | Y=0119.090-0130.330 | >500m đến ≤1.000m.
P=1078 | X=0119.810-0342.980 | Y=0136.610-0147.850 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1078 | X=0119.810-0393.350 | Y=0154.370-0165.610 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1078 | X=0119.810-0389.230 | Y=0165.650-0176.890 | ra Đường Sông Nhạn - Dầu Giây đoạn từ Ranh giới xã Xuân
P=1078 | X=0119.810-0390.460 | Y=0177.170-0188.410 | Đường đến Đường tỉnh 773 có hiện trạng là đường nhựa, bê
P=1078 | X=0119.810-0179.970 | Y=0188.690-0199.930 | tông xi măng:
P=1078 | X=0099.170-0110.290 | Y=0196.570-0205.890 | 35
P=1078 | X=0442.010-0458.650 | Y=0196.570-0205.890 | 220
P=1078 | X=0505.390-0522.030 | Y=0196.570-0205.890 | 140
P=1078 | X=0119.810-0360.920 | Y=0206.230-0217.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1078 | X=0119.810-0161.950 | Y=0219.630-0228.950 | >1.000m.
P=1078 | X=0119.810-0343.450 | Y=0235.270-0246.510 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1078 | X=0303.720-0382.390 | Y=0253.030-0264.270 | Hết ranh thửa đất
P=1078 | X=0303.720-0387.590 | Y=0264.550-0275.790 | số 30, tờ BĐĐC số
P=1078 | X=0119.810-0213.980 | Y=0276.070-0287.310 | Đường vào khu công
P=1078 | X=0303.720-0377.950 | Y=0277.950-0287.270 | 38 về bên trái và
P=1078 | X=0099.170-0289.390 | Y=0287.620-0298.860 | 36 nghệ cao công nghệ Đường tỉnh 773
P=1078 | X=0303.720-0393.820 | Y=0287.620-0298.860 | hết ranh thửa đất số
P=1078 | X=0442.010-0458.650 | Y=0289.500-0298.820 | 500
P=1078 | X=0505.390-0522.030 | Y=0289.500-0298.820 | 370
P=1078 | X=0303.720-0388.300 | Y=0299.140-0310.380 | 31, tờ BĐĐC số 37
P=1078 | X=0119.810-0158.930 | Y=0301.020-0310.340 | Sinh học
P=1078 | X=0303.720-0371.940 | Y=0312.540-0321.860 | về bên phải, xã
P=1078 | X=0303.720-0361.410 | Y=0321.940-0333.180 | Xuân Đường
P=1078 | X=0119.810-0387.350 | Y=0339.700-0350.940 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào
P=1078 | X=0119.810-0386.390 | Y=0351.220-0362.460 | khu công nghệ cao công nghệ Sinh học đoạn từ Đường tỉnh
P=1078 | X=0119.810-0387.310 | Y=0362.740-0373.980 | 773 đến Hết ranh thửa đất số 30, tờ BĐĐC số 38 về bên trái
P=1078 | X=0119.810-0381.330 | Y=0374.280-0385.520 | và hết ranh thửa đất số 31, tờ BĐĐC số 37 về bên phải, xã
P=1078 | X=0099.170-0387.390 | Y=0385.800-0397.240 | 37 Xuân Đường có hiện trạng là đường nhựa, bê tông xi măng:
P=1078 | X=0442.010-0458.650 | Y=0387.920-0397.240 | 350
P=1078 | X=0505.390-0522.030 | Y=0387.920-0397.240 | 230
P=1078 | X=0119.810-0350.900 | Y=0403.320-0414.560 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1078 | X=0119.810-0360.920 | Y=0420.840-0432.080 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1078 | X=0119.810-0153.330 | Y=0432.360-0443.600 | ≤500m.
P=1078 | X=0119.810-0387.350 | Y=0450.140-0461.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào
P=1078 | X=0119.810-0386.390 | Y=0461.660-0472.900 | khu công nghệ cao công nghệ Sinh học đoạn từ Đường tỉnh
P=1078 | X=0119.810-0387.340 | Y=0473.180-0484.420 | 773 đến Hết ranh thửa đất số 30, tờ BĐĐC số 38 về bên trái
P=1078 | X=0119.810-0381.330 | Y=0484.460-0495.700 | và hết ranh thửa đất số 31, tờ BĐĐC số 37 về bên phải, xã
P=1078 | X=0119.810-0387.390 | Y=0495.980-0507.220 | Xuân Đường có hiện trạng là đường nhựa, bê tông xi măng:
P=1078 | X=0099.170-0110.290 | Y=0506.980-0516.300 | 38
P=1078 | X=0442.010-0458.650 | Y=0506.980-0516.300 | 290
P=1078 | X=0505.390-0522.030 | Y=0506.980-0516.300 | 180
P=1078 | X=0119.810-0351.360 | Y=0513.500-0524.740 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1078 | X=0119.810-0373.120 | Y=0531.020-0542.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1078 | X=0119.810-0214.780 | Y=0542.570-0553.810 | >500m đến ≤1.000m.
P=1078 | X=0119.810-0342.980 | Y=0560.090-0571.330 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1078 | X=0119.810-0387.350 | Y=0577.850-0589.090 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường vào
P=1078 | X=0119.810-0386.390 | Y=0589.370-0600.610 | khu công nghệ cao công nghệ Sinh học đoạn từ Đường tỉnh
P=1078 | X=0119.810-0387.310 | Y=0600.890-0612.130 | 773 đến Hết ranh thửa đất số 30, tờ BĐĐC số 38 về bên trái
P=1078 | X=0119.810-0381.330 | Y=0612.410-0623.650 | và hết ranh thửa đất số 31, tờ BĐĐC số 37 về bên phải, xã
P=1078 | X=0099.170-0387.390 | Y=0623.950-0635.390 | 39 Xuân Đường có hiện trạng là đường nhựa, bê tông xi măng:
P=1078 | X=0442.010-0458.650 | Y=0626.070-0635.390 | 200
P=1078 | X=0505.390-0522.030 | Y=0626.070-0635.390 | 130
P=1078 | X=0119.810-0360.920 | Y=0641.470-0652.710 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1078 | X=0119.810-0161.950 | Y=0654.630-0663.950 | >1.000m.
P=1078 | X=0119.810-0343.450 | Y=0670.270-0681.510 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1078 | X=0119.810-0393.320 | Y=0688.030-0699.270 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1078 | X=0099.170-0110.290 | Y=0695.670-0704.990 | 40
P=1078 | X=0442.010-0458.650 | Y=0695.670-0704.990 | 350
P=1078 | X=0505.390-0522.030 | Y=0695.670-0704.990 | 230
P=1078 | X=0119.810-0385.420 | Y=0699.550-0710.790 | ra Đường vào khu công nghệ cao công nghệ Sinh học đoạn
P=1079 | X=0119.810-0389.270 | Y=0072.500-0083.740 | từ Đường tỉnh 773 đến Hết ranh thửa đất số 30, tờ BĐĐC số
P=1079 | X=0119.810-0387.590 | Y=0084.020-0095.260 | 38 về bên trái và hết ranh thửa đất số 31, tờ BĐĐC số 37 về
P=1079 | X=0119.810-0381.820 | Y=0095.540-0106.780 | bên phải, xã Xuân Đường có hiện trạng là đường nhựa, bê
P=1079 | X=0119.810-0179.970 | Y=0107.060-0118.300 | tông xi măng:
P=1079 | X=0119.810-0350.890 | Y=0124.610-0135.850 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1079 | X=0119.810-0360.920 | Y=0142.130-0153.370 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1079 | X=0119.810-0153.330 | Y=0153.410-0164.650 | ≤500m.
P=1079 | X=0119.810-0393.320 | Y=0171.170-0182.410 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1079 | X=0119.810-0385.420 | Y=0182.690-0193.930 | ra Đường vào khu công nghệ cao công nghệ Sinh học đoạn
P=1079 | X=0119.810-0389.270 | Y=0194.210-0205.450 | từ Đường tỉnh 773 đến Hết ranh thửa đất số 30, tờ BĐĐC số
P=1079 | X=0119.810-0387.590 | Y=0205.750-0216.990 | 38 về bên trái và hết ranh thửa đất số 31, tờ BĐĐC số 37 về
P=1079 | X=0119.810-0381.820 | Y=0217.270-0228.510 | bên phải, xã Xuân Đường có hiện trạng là đường nhựa, bê
P=1079 | X=0099.170-0179.970 | Y=0228.790-0243.110 | 41 tông xi măng:
P=1079 | X=0442.010-0458.650 | Y=0233.790-0243.110 | 290
P=1079 | X=0505.390-0522.030 | Y=0233.790-0243.110 | 180
P=1079 | X=0119.810-0351.360 | Y=0246.310-0257.550 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1079 | X=0119.810-0373.120 | Y=0263.830-0275.070 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1079 | X=0119.810-0214.780 | Y=0275.350-0286.590 | >500m đến ≤1.000m.
P=1079 | X=0119.810-0342.980 | Y=0292.900-0304.140 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1079 | X=0119.810-0393.320 | Y=0310.660-0321.900 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1079 | X=0119.810-0385.420 | Y=0321.940-0333.180 | ra Đường vào khu công nghệ cao công nghệ Sinh học đoạn
P=1079 | X=0119.810-0389.270 | Y=0333.460-0344.700 | từ Đường tỉnh 773 đến Hết ranh thửa đất số 30, tờ BĐĐC số
P=1079 | X=0119.810-0387.590 | Y=0344.980-0356.220 | 38 về bên trái và hết ranh thửa đất số 31, tờ BĐĐC số 37 về
P=1079 | X=0119.810-0381.820 | Y=0356.500-0367.740 | bên phải, xã Xuân Đường có hiện trạng là đường nhựa, bê
P=1079 | X=0099.170-0110.290 | Y=0364.380-0373.700 | 42
P=1079 | X=0442.010-0458.650 | Y=0364.380-0373.700 | 200
P=1079 | X=0505.390-0522.030 | Y=0364.380-0373.700 | 130
P=1079 | X=0119.810-0179.970 | Y=0368.040-0379.280 | tông xi măng:
P=1079 | X=0119.810-0360.920 | Y=0385.560-0396.800 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1079 | X=0119.810-0161.950 | Y=0398.960-0408.280 | >1.000m.
P=1079 | X=0119.810-0343.450 | Y=0414.600-0425.840 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1079 | X=0303.720-0394.070 | Y=0432.360-0443.600 | Hết khu dân cư hiện
P=1079 | X=0119.810-0218.230 | Y=0438.120-0449.360 | Đường Xuân Đường -
P=1079 | X=0219.190-0289.390 | Y=0443.880-0455.120 | Đường tỉnh 773
P=1079 | X=0303.720-0383.240 | Y=0443.880-0455.120 | hữu ấp 3 xã Xuân
P=1079 | X=0099.170-0110.290 | Y=0445.760-0455.080 | 43
P=1079 | X=0442.010-0458.650 | Y=0445.760-0455.080 | 500
P=1079 | X=0505.390-0522.030 | Y=0445.760-0455.080 | 370
P=1079 | X=0119.810-0165.670 | Y=0449.660-0460.900 | Thừa Đức
P=1079 | X=0303.720-0335.480 | Y=0455.420-0466.660 | Đường
P=1079 | X=0119.810-0394.070 | Y=0473.180-0484.420 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=1079 | X=0119.810-0392.120 | Y=0484.460-0495.700 | Đường - Thừa Đức đoạn từ Đường tỉnh 773 đến Hết khu dân
P=1079 | X=0119.810-0373.900 | Y=0495.980-0507.220 | cư hiện hữu ấp 3 xã Xuân Đường có hiện trạng là đường
P=1079 | X=0119.810-0222.910 | Y=0507.500-0518.740 | nhựa, bê tông xi măng:
P=1079 | X=0099.170-0110.290 | Y=0515.380-0524.700 | 44
P=1079 | X=0442.010-0458.650 | Y=0515.380-0524.700 | 350
P=1079 | X=0505.390-0522.030 | Y=0515.380-0524.700 | 230
P=1079 | X=0119.810-0350.890 | Y=0525.020-0536.260 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1079 | X=0119.810-0360.920 | Y=0542.570-0553.810 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1079 | X=0119.810-0153.330 | Y=0554.090-0565.330 | ≤500m.
P=1079 | X=0119.810-0394.070 | Y=0571.850-0583.090 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=1079 | X=0119.810-0392.120 | Y=0583.370-0594.610 | Đường - Thừa Đức đoạn từ Đường tỉnh 773 đến Hết khu dân
P=1079 | X=0119.810-0373.900 | Y=0594.890-0606.130 | cư hiện hữu ấp 3 xã Xuân Đường có hiện trạng là đường
P=1079 | X=0119.810-0222.920 | Y=0606.410-0617.650 | nhựa, bê tông xi măng:
P=1079 | X=0099.170-0351.360 | Y=0622.950-0635.190 | 45 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1079 | X=0442.010-0458.650 | Y=0622.950-0632.270 | 290
P=1079 | X=0505.390-0522.030 | Y=0622.950-0632.270 | 180
P=1079 | X=0119.810-0373.120 | Y=0641.470-0652.710 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1079 | X=0119.810-0214.780 | Y=0652.750-0663.990 | >500m đến ≤1.000m.
P=1079 | X=0119.810-0342.980 | Y=0670.270-0681.510 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1079 | X=0119.810-0394.070 | Y=0688.030-0699.270 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=1079 | X=0099.170-0110.290 | Y=0695.670-0704.990 | 46
P=1079 | X=0442.010-0458.650 | Y=0695.670-0704.990 | 200
P=1079 | X=0505.390-0522.030 | Y=0695.670-0704.990 | 130
P=1079 | X=0119.810-0392.120 | Y=0699.550-0710.790 | Đường - Thừa Đức đoạn từ Đường tỉnh 773 đến Hết khu dân
P=1080 | X=0119.810-0373.900 | Y=0072.500-0083.740 | cư hiện hữu ấp 3 xã Xuân Đường có hiện trạng là đường
P=1080 | X=0119.810-0222.920 | Y=0084.020-0095.260 | nhựa, bê tông xi măng:
P=1080 | X=0119.810-0360.920 | Y=0101.540-0112.780 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1080 | X=0119.810-0161.950 | Y=0114.940-0124.260 | >1.000m.
P=1080 | X=0119.810-0343.450 | Y=0130.610-0141.850 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1080 | X=0119.810-0393.320 | Y=0148.370-0159.610 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1080 | X=0119.810-0388.070 | Y=0159.650-0170.890 | ra Đường Xuân Đường - Thừa Đức đoạn từ Đường tỉnh 773
P=1080 | X=0119.810-0381.350 | Y=0171.170-0182.410 | đến Hết khu dân cư hiện hữu ấp 3 xã Xuân Đường có hiện
P=1080 | X=0119.810-0291.620 | Y=0182.690-0193.930 | trạng là đường nhựa, bê tông xi măng:
P=1080 | X=0099.170-0110.290 | Y=0190.570-0199.890 | 47
P=1080 | X=0442.010-0458.650 | Y=0190.570-0199.890 | 350
P=1080 | X=0505.390-0522.030 | Y=0190.570-0199.890 | 230
P=1080 | X=0119.810-0350.890 | Y=0200.230-0211.470 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1080 | X=0119.810-0360.920 | Y=0217.750-0228.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1080 | X=0119.810-0153.330 | Y=0229.270-0240.510 | ≤500m.
P=1080 | X=0119.810-0393.320 | Y=0247.030-0258.270 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1080 | X=0119.810-0388.070 | Y=0258.550-0269.790 | ra Đường Xuân Đường - Thừa Đức đoạn từ Đường tỉnh 773
P=1080 | X=0119.810-0381.350 | Y=0270.070-0281.310 | đến Hết khu dân cư hiện hữu ấp 3 xã Xuân Đường có hiện
P=1080 | X=0119.810-0291.590 | Y=0281.620-0292.860 | trạng là đường nhựa, bê tông xi măng:
P=1080 | X=0099.170-0351.360 | Y=0298.140-0310.380 | 48 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1080 | X=0442.010-0458.650 | Y=0298.140-0307.460 | 290
P=1080 | X=0505.390-0522.030 | Y=0298.140-0307.460 | 180
P=1080 | X=0119.810-0373.120 | Y=0316.660-0327.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1080 | X=0119.810-0214.780 | Y=0327.940-0339.180 | >500m đến ≤1.000m.
P=1080 | X=0119.810-0342.980 | Y=0345.460-0356.700 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1080 | X=0119.810-0393.320 | Y=0363.220-0374.460 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1080 | X=0119.810-0388.070 | Y=0374.760-0386.000 | ra Đường Xuân Đường - Thừa Đức đoạn từ Đường tỉnh 773
P=1080 | X=0119.810-0381.350 | Y=0386.280-0397.520 | đến Hết khu dân cư hiện hữu ấp 3 xã Xuân Đường có hiện
P=1080 | X=0119.810-0291.590 | Y=0397.800-0409.040 | trạng là đường nhựa, bê tông xi măng:
P=1080 | X=0099.170-0110.290 | Y=0405.680-0415.000 | 49
P=1080 | X=0442.010-0458.650 | Y=0405.680-0415.000 | 200
P=1080 | X=0505.390-0522.030 | Y=0405.680-0415.000 | 130
P=1080 | X=0119.810-0360.940 | Y=0415.320-0426.560 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1080 | X=0119.810-0161.950 | Y=0428.720-0438.040 | >1.000m.
P=1080 | X=0119.810-0343.450 | Y=0444.360-0455.600 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1080 | X=0219.190-0287.870 | Y=0462.140-0473.380 | Hết khu dân cư
P=1080 | X=0119.810-0218.230 | Y=0467.900-0479.140 | Đường Xuân Đường -
P=1080 | X=0219.190-0389.020 | Y=0473.660-0484.900 | hiện hữu ấp 3 xã Hết chùa Bảo Minh
P=1080 | X=0099.170-0110.290 | Y=0475.540-0484.860 | 50
P=1080 | X=0442.010-0458.650 | Y=0475.540-0484.860 | 500
P=1080 | X=0505.390-0522.030 | Y=0475.540-0484.860 | 370
P=1080 | X=0119.810-0165.670 | Y=0479.420-0490.660 | Thừa Đức
P=1080 | X=0219.190-0276.910 | Y=0485.180-0496.420 | Xuân Đường
P=1080 | X=0119.810-0394.070 | Y=0502.940-0514.180 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=1080 | X=0119.810-0392.380 | Y=0514.220-0525.460 | Đường - Thừa Đức đoạn từ Hết khu dân cư hiện hữu ấp 3 xã
P=1080 | X=0119.810-0389.020 | Y=0525.740-0536.980 | Xuân Đường đến Hết chùa Bảo Minh có hiện trạng là đường
P=1080 | X=0119.810-0222.920 | Y=0537.290-0548.530 | nhựa, bê tông xi măng:
P=1080 | X=0099.170-0110.290 | Y=0545.170-0554.490 | 51
P=1080 | X=0442.010-0458.650 | Y=0545.170-0554.490 | 350
P=1080 | X=0505.390-0522.030 | Y=0545.170-0554.490 | 230
P=1080 | X=0119.810-0350.890 | Y=0554.810-0566.050 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1080 | X=0119.810-0360.920 | Y=0572.330-0583.570 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1080 | X=0119.810-0153.330 | Y=0583.850-0595.090 | ≤500m.
P=1080 | X=0119.810-0394.070 | Y=0601.610-0612.850 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=1080 | X=0119.810-0392.380 | Y=0613.130-0624.370 | Đường - Thừa Đức đoạn từ Hết khu dân cư hiện hữu ấp 3 xã
P=1080 | X=0119.810-0389.020 | Y=0624.670-0635.910 | Xuân Đường đến Hết chùa Bảo Minh có hiện trạng là đường
P=1080 | X=0119.810-0222.920 | Y=0636.190-0647.430 | nhựa, bê tông xi măng:
P=1080 | X=0099.170-0351.360 | Y=0652.710-0664.950 | 52 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1080 | X=0442.010-0458.650 | Y=0652.710-0662.030 | 290
P=1080 | X=0505.390-0522.030 | Y=0652.710-0662.030 | 180
P=1080 | X=0119.810-0373.120 | Y=0671.230-0682.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1080 | X=0119.810-0214.780 | Y=0682.510-0693.750 | >500m đến ≤1.000m.
P=1080 | X=0119.810-0342.980 | Y=0700.050-0711.290 | - Có bề rộng <3m, cách đường giao thông ≤200m.
