TABLE=007 | AREA=Phường Long Hưng | SECTION=agricultural | SEGMENTS=1
P=0240 | X=0117.170-0407.260 | Y=0119.810-0131.050 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 51 đoạn
P=0240 | X=0117.170-0402.710 | Y=0131.330-0142.570 | từ Mũi tàu tiếp giáp đường Võ Nguyên Giáp đến Đường Nguyễn
P=0240 | X=0117.170-0396.270 | Y=0142.850-0154.090 | Trung Trực có hiện trạng là mặt đường nhựa, bê tông xi măng:
P=0240 | X=0097.730-0108.850 | Y=0150.730-0160.050 | 30
P=0240 | X=0452.330-0468.970 | Y=0150.730-0160.050 | 700
P=0240 | X=0505.390-0522.030 | Y=0150.730-0160.050 | 460
P=0240 | X=0117.170-0340.080 | Y=0160.370-0171.610 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0240 | X=0117.170-0394.360 | Y=0177.650-0188.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0240 | X=0117.170-0407.260 | Y=0195.650-0206.890 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 51 đoạn
P=0240 | X=0117.170-0402.710 | Y=0207.190-0218.430 | từ Mũi tàu tiếp giáp đường Võ Nguyên Giáp đến Đường Nguyễn
P=0240 | X=0117.170-0376.600 | Y=0218.710-0229.950 | Trung Trực có hiện trạng là đường nhựa, bê tông xi măng:
P=0240 | X=0097.730-0340.340 | Y=0236.230-0250.550 | 31 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0240 | X=0452.330-0468.970 | Y=0241.230-0250.550 | 590
P=0240 | X=0505.390-0522.030 | Y=0241.230-0250.550 | 390
P=0240 | X=0117.170-0404.060 | Y=0253.750-0264.990 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0240 | X=0117.170-0170.130 | Y=0265.270-0276.510 | đến ≤600m.
P=0240 | X=0117.170-0340.340 | Y=0282.820-0294.060 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0240 | X=0117.170-0407.260 | Y=0300.820-0312.060 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 51 đoạn
P=0240 | X=0117.170-0402.710 | Y=0312.340-0323.580 | từ Mũi tàu tiếp giáp đường Võ Nguyên Giáp đến Đường Nguyễn
P=0240 | X=0117.170-0376.600 | Y=0323.860-0335.100 | Trung Trực có hiện trạng là đường nhựa, bê tông xi măng:
P=0240 | X=0097.730-0108.850 | Y=0331.740-0341.060 | 32
P=0240 | X=0452.330-0468.970 | Y=0331.740-0341.060 | 480
P=0240 | X=0505.390-0522.030 | Y=0331.740-0341.060 | 330
P=0240 | X=0117.170-0394.600 | Y=0341.380-0352.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0240 | X=0117.170-0340.810 | Y=0358.900-0370.140 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0240 | X=0117.170-0402.430 | Y=0376.920-0388.160 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0240 | X=0117.170-0407.500 | Y=0388.200-0399.440 | Quốc lộ 51 đoạn từ Mũi tàu tiếp giáp đường Võ Nguyên Giáp đến
P=0240 | X=0117.170-0407.970 | Y=0399.720-0410.960 | Đường Nguyễn Trung Trực có hiện trạng là đường nhựa, bê tông
P=0240 | X=0097.730-0155.000 | Y=0411.240-0422.680 | 33 xi măng:
P=0240 | X=0452.330-0468.970 | Y=0413.360-0422.680 | 700
P=0240 | X=0505.390-0522.030 | Y=0413.360-0422.680 | 460
P=0240 | X=0117.170-0340.370 | Y=0428.760-0440.000 | - Có bề rộng ≥5m, cách đường giao thông <600m.
P=0240 | X=0117.170-0394.360 | Y=0446.280-0457.520 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0240 | X=0117.170-0402.430 | Y=0464.300-0475.540 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0240 | X=0117.170-0407.510 | Y=0475.820-0487.060 | Quốc lộ 51 đoạn từ Mũi tàu tiếp giáp đường Võ Nguyên Giáp đến
P=0240 | X=0117.170-0407.970 | Y=0487.340-0498.580 | Đường Nguyễn Trung Trực có hiện trạng là đường nhựa, bê tông
P=0240 | X=0117.170-0155.020 | Y=0500.740-0510.060 | xi măng:
P=0240 | X=0097.730-0340.340 | Y=0515.380-0527.620 | 34 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0240 | X=0452.330-0468.970 | Y=0515.380-0524.700 | 590
P=0240 | X=0505.390-0522.030 | Y=0515.380-0524.700 | 390
P=0240 | X=0117.170-0404.060 | Y=0533.930-0545.170 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0240 | X=0117.170-0170.130 | Y=0545.450-0556.690 | đến ≤600m.
P=0240 | X=0117.170-0340.340 | Y=0562.970-0574.210 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0240 | X=0117.170-0402.430 | Y=0580.970-0592.210 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0240 | X=0117.170-0407.500 | Y=0592.250-0603.490 | Quốc lộ 51 đoạn từ Mũi tàu tiếp giáp đường Võ Nguyên Giáp đến
P=0240 | X=0117.170-0407.970 | Y=0603.770-0615.010 | Đường Nguyễn Trung Trực có hiện trạng là đường nhựa, bê tông
P=0240 | X=0097.730-0155.000 | Y=0615.290-0626.730 | 35 xi măng:
P=0240 | X=0452.330-0468.970 | Y=0617.410-0626.730 | 480
P=0240 | X=0505.390-0522.030 | Y=0617.410-0626.730 | 330
P=0240 | X=0117.170-0394.600 | Y=0632.830-0644.070 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0240 | X=0117.170-0343.460 | Y=0650.350-0661.590 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0240 | X=0213.430-0282.420 | Y=0668.350-0679.590 | Đường Nguyễn
P=0240 | X=0301.320-0383.740 | Y=0668.350-0679.590 | Giáp ranh phường
P=0240 | X=0097.730-0165.730 | Y=0675.990-0685.310 | 36 Quốc lộ 51
P=0240 | X=0444.170-0469.220 | Y=0675.990-0685.310 | 1.050
P=0240 | X=0505.390-0522.030 | Y=0675.990-0685.310 | 680
P=0240 | X=0301.320-0352.040 | Y=0679.870-0691.110 | Phước Tân
P=0240 | X=0213.430-0263.620 | Y=0681.750-0691.070 | Trung Trực
P=0240 | X=0097.730-0407.260 | Y=0697.870-0709.110 | 37 Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 51 đoạn
P=0240 | X=0452.330-0468.970 | Y=0699.750-0709.070 | 700
P=0240 | X=0505.390-0522.030 | Y=0699.750-0709.070 | 460
P=0241 | X=0117.170-0409.180 | Y=0072.740-0083.980 | từ Đường Nguyễn Trung Trực đến Giáp ranh phường Phước Tân
P=0241 | X=0117.170-0343.460 | Y=0084.260-0095.500 | có hiện trạng là mặt đường nhựa, bê tông xi măng:
P=0241 | X=0117.170-0340.120 | Y=0101.780-0113.020 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0241 | X=0117.170-0394.380 | Y=0119.330-0130.570 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0241 | X=0117.170-0407.260 | Y=0137.330-0148.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 51 đoạn
P=0241 | X=0117.170-0409.180 | Y=0148.850-0160.090 | từ Đường Nguyễn Trung Trực đến Giáp ranh phường Phước Tân
P=0241 | X=0117.170-0324.030 | Y=0160.370-0171.610 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0241 | X=0097.730-0340.340 | Y=0177.650-0191.970 | 38 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0241 | X=0452.330-0468.970 | Y=0182.650-0191.970 | 590
P=0241 | X=0505.390-0522.030 | Y=0182.650-0191.970 | 390
P=0241 | X=0117.170-0404.060 | Y=0195.170-0206.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0241 | X=0117.170-0170.130 | Y=0206.710-0217.950 | đến ≤600m.
P=0241 | X=0117.170-0340.370 | Y=0224.230-0235.470 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0241 | X=0117.170-0407.260 | Y=0242.230-0253.470 | Các tuyến đường giao thông đấu nối trực tiếp ra Quốc lộ 51 đoạn
P=0241 | X=0117.170-0409.180 | Y=0253.750-0264.990 | từ Đường Nguyễn Trung Trực đến Giáp ranh phường Phước Tân
P=0241 | X=0117.170-0324.020 | Y=0265.270-0276.510 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0241 | X=0097.730-0108.850 | Y=0273.150-0282.470 | 39
P=0241 | X=0452.330-0468.970 | Y=0273.150-0282.470 | 480
P=0241 | X=0505.390-0522.030 | Y=0273.150-0282.470 | 330
P=0241 | X=0117.170-0394.600 | Y=0282.820-0294.060 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0241 | X=0117.170-0340.810 | Y=0300.340-0311.580 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0241 | X=0117.170-0402.460 | Y=0318.340-0329.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0241 | X=0117.170-0393.330 | Y=0329.860-0341.100 | Quốc lộ 51 đoạn từ Đường Nguyễn Trung Trực đến Giáp ranh
P=0241 | X=0117.170-0384.920 | Y=0341.380-0352.620 | phường Phước Tân có hiện trạng là đường nhựa, bê tông xi
P=0241 | X=0097.730-0145.170 | Y=0352.900-0364.340 | 40 măng:
P=0241 | X=0452.330-0468.970 | Y=0355.020-0364.340 | 700
P=0241 | X=0505.390-0522.030 | Y=0355.020-0364.340 | 460
P=0241 | X=0117.170-0340.120 | Y=0370.200-0381.440 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0241 | X=0117.170-0394.380 | Y=0387.720-0398.960 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0241 | X=0117.170-0402.430 | Y=0405.720-0416.960 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0241 | X=0117.170-0393.330 | Y=0417.240-0428.480 | Quốc lộ 51 đoạn từ Đường Nguyễn Trung Trực đến Giáp ranh
P=0241 | X=0117.170-0384.920 | Y=0428.760-0440.000 | phường Phước Tân có hiện trạng là đường nhựa, bê tông xi
P=0241 | X=0117.170-0145.170 | Y=0440.280-0451.520 | măng:
P=0241 | X=0097.730-0340.340 | Y=0457.060-0469.060 | 41 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0241 | X=0452.330-0468.970 | Y=0457.060-0466.380 | 590
P=0241 | X=0505.390-0522.030 | Y=0457.060-0466.380 | 390
P=0241 | X=0117.170-0404.060 | Y=0475.340-0486.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0241 | X=0117.170-0170.130 | Y=0486.860-0498.100 | đến ≤600m.
P=0241 | X=0117.170-0340.370 | Y=0504.380-0515.620 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0241 | X=0117.170-0402.430 | Y=0522.380-0533.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0241 | X=0117.170-0393.330 | Y=0533.930-0545.170 | Quốc lộ 51 đoạn từ Đường Nguyễn Trung Trực đến Giáp ranh
P=0241 | X=0117.170-0384.950 | Y=0545.450-0556.690 | phường Phước Tân có hiện trạng là đường nhựa, bê tông xi
P=0241 | X=0097.730-0145.170 | Y=0556.970-0568.410 | 42 măng:
P=0241 | X=0452.330-0468.970 | Y=0559.090-0568.410 | 480
P=0241 | X=0505.390-0522.030 | Y=0559.090-0568.410 | 330
P=0241 | X=0117.170-0394.600 | Y=0574.250-0585.490 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0241 | X=0117.170-0343.460 | Y=0591.770-0603.010 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0241 | X=0301.320-0404.230 | Y=0609.770-0621.010 | Hết ranh thửa đất số 2,
P=0241 | X=0301.320-0407.500 | Y=0621.310-0632.550 | tờ BĐĐC số 106 về bên
P=0241 | X=0117.170-0206.040 | Y=0627.070-0638.310 | Đường Trương Văn
P=0241 | X=0097.730-0108.850 | Y=0634.710-0644.030 | 43
P=0241 | X=0213.430-0262.020 | Y=0634.710-0644.030 | Quốc lộ 51
P=0241 | X=0301.320-0396.700 | Y=0634.710-0644.030 | phải và hết ranh thửa
P=0241 | X=0444.170-0469.220 | Y=0634.710-0644.030 | 1.050
P=0241 | X=0505.390-0522.030 | Y=0634.710-0644.030 | 680
P=0241 | X=0117.170-0132.130 | Y=0640.470-0649.790 | Hải
P=0241 | X=0301.320-0410.140 | Y=0644.350-0655.590 | đất số 9, tờ BĐĐC số 56
P=0241 | X=0301.320-0348.200 | Y=0657.750-0667.070 | về bên trái
P=0241 | X=0117.170-0402.210 | Y=0673.870-0685.110 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trương
P=0241 | X=0117.170-0409.900 | Y=0685.390-0696.630 | Văn Hải đoạn từ Quốc lộ 51 đến Hết ranh thửa đất số 2, tờ BĐĐC
P=0241 | X=0097.730-0108.850 | Y=0693.030-0702.350 | 44
P=0241 | X=0452.330-0468.970 | Y=0693.030-0702.350 | 700
P=0241 | X=0505.390-0522.030 | Y=0693.030-0702.350 | 460
P=0241 | X=0117.170-0403.190 | Y=0696.910-0708.150 | số 106 về bên phải và hết ranh thửa đất số 9, tờ BĐĐC số 56 về
P=0241 | X=0117.170-0379.490 | Y=0708.450-0719.690 | bên trái có hiện trạng là mặt đường nhựa, bê tông xi măng:
P=0242 | X=0117.170-0340.120 | Y=0078.740-0089.980 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0242 | X=0117.170-0394.380 | Y=0096.260-0107.500 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0242 | X=0117.170-0402.210 | Y=0114.290-0125.530 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trương
P=0242 | X=0117.170-0409.900 | Y=0125.810-0137.050 | Văn Hải đoạn từ Quốc lộ 51 đến Hết ranh thửa đất số 2, tờ BĐĐC
P=0242 | X=0117.170-0403.190 | Y=0137.330-0148.570 | số 106 về bên phải và hết ranh thửa đất số 9, tờ BĐĐC số 56 về
P=0242 | X=0117.170-0360.250 | Y=0148.850-0160.090 | bên trái có hiện trạng là đường nhựa, bê tông xi măng:
P=0242 | X=0097.730-0340.340 | Y=0165.370-0177.610 | 45 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0242 | X=0452.330-0468.970 | Y=0165.370-0174.690 | 590
P=0242 | X=0505.390-0522.030 | Y=0165.370-0174.690 | 390
P=0242 | X=0117.170-0404.060 | Y=0183.650-0194.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0242 | X=0117.170-0170.130 | Y=0195.170-0206.410 | đến ≤600m.
P=0242 | X=0117.170-0340.340 | Y=0212.710-0223.950 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0242 | X=0117.170-0402.210 | Y=0230.710-0241.950 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Trương
P=0242 | X=0117.170-0409.900 | Y=0242.230-0253.470 | Văn Hải đoạn từ Quốc lộ 51 đến Hết ranh thửa đất số 2, tờ BĐĐC
P=0242 | X=0117.170-0403.190 | Y=0253.750-0264.990 | số 106 về bên phải và hết ranh thửa đất số 9, tờ BĐĐC số 56 về
P=0242 | X=0097.730-0360.250 | Y=0265.270-0276.710 | 46 bên trái có hiện trạng là đường nhựa, bê tông xi măng:
P=0242 | X=0452.330-0468.970 | Y=0267.390-0276.710 | 480
P=0242 | X=0505.390-0522.030 | Y=0267.390-0276.710 | 330
P=0242 | X=0117.170-0394.600 | Y=0282.820-0294.060 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0242 | X=0117.170-0340.810 | Y=0300.340-0311.580 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0242 | X=0117.170-0402.430 | Y=0318.340-0329.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0242 | X=0117.170-0396.220 | Y=0329.860-0341.100 | Đường Trương Văn Hải đoạn từ Quốc lộ 51 đến Hết ranh thửa
P=0242 | X=0117.170-0403.510 | Y=0341.380-0352.620 | đất số 2, tờ BĐĐC số 106 về bên phải và hết ranh thửa đất số 9,
P=0242 | X=0117.170-0403.650 | Y=0352.900-0364.140 | tờ BĐĐC số 56 về bên trái có hiện trạng là đường nhựa, bê tông
P=0242 | X=0097.730-0108.850 | Y=0360.780-0370.100 | 47
P=0242 | X=0452.330-0468.970 | Y=0360.780-0370.100 | 700
P=0242 | X=0505.390-0522.030 | Y=0360.780-0370.100 | 460
P=0242 | X=0117.170-0155.000 | Y=0364.180-0375.420 | xi măng:
P=0242 | X=0117.170-0340.120 | Y=0381.720-0392.960 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0242 | X=0117.170-0394.360 | Y=0399.240-0410.480 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0242 | X=0117.170-0402.430 | Y=0417.240-0428.480 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0242 | X=0117.170-0396.220 | Y=0428.760-0440.000 | Đường Trương Văn Hải đoạn từ Quốc lộ 51 đến Hết ranh thửa
P=0242 | X=0117.170-0403.510 | Y=0440.280-0451.520 | đất số 2, tờ BĐĐC số 106 về bên phải và hết ranh thửa đất số 9,
P=0242 | X=0117.170-0403.650 | Y=0451.820-0463.060 | tờ BĐĐC số 56 về bên trái có hiện trạng là đường nhựa, bê tông
P=0242 | X=0117.170-0155.010 | Y=0463.340-0474.580 | xi măng:
P=0242 | X=0097.730-0108.850 | Y=0474.100-0483.420 | 48
P=0242 | X=0452.330-0468.970 | Y=0474.100-0483.420 | 590
P=0242 | X=0505.390-0522.030 | Y=0474.100-0483.420 | 390
P=0242 | X=0117.170-0340.340 | Y=0480.860-0492.100 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0242 | X=0117.170-0404.060 | Y=0498.380-0509.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0242 | X=0117.170-0170.130 | Y=0509.900-0521.140 | đến ≤600m.
P=0242 | X=0117.170-0340.340 | Y=0527.420-0538.660 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0242 | X=0117.170-0402.430 | Y=0545.450-0556.690 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0242 | X=0117.170-0396.220 | Y=0556.970-0568.210 | Đường Trương Văn Hải đoạn từ Quốc lộ 51 đến Hết ranh thửa
P=0242 | X=0117.170-0403.510 | Y=0568.250-0579.490 | đất số 2, tờ BĐĐC số 106 về bên phải và hết ranh thửa đất số 9,
P=0242 | X=0117.170-0403.660 | Y=0579.770-0591.010 | tờ BĐĐC số 56 về bên trái có hiện trạng là đường nhựa, bê tông
P=0242 | X=0097.730-0108.850 | Y=0587.650-0596.970 | 49
P=0242 | X=0452.330-0468.970 | Y=0587.650-0596.970 | 480
P=0242 | X=0505.390-0522.030 | Y=0587.650-0596.970 | 330
P=0242 | X=0117.170-0155.000 | Y=0591.290-0602.530 | xi măng:
P=0242 | X=0117.170-0394.600 | Y=0608.810-0620.050 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m,
P=0242 | X=0117.170-0343.460 | Y=0626.350-0637.590 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0242 | X=0301.320-0402.700 | Y=0644.350-0655.590 | Bên phải, đến hết ranh
P=0242 | X=0301.320-0386.440 | Y=0655.870-0667.110 | thửa đất sổ 281, tờ
P=0242 | X=0117.170-0196.210 | Y=0661.630-0672.870 | Đường Châu Văn
P=0242 | X=0301.320-0399.850 | Y=0667.390-0678.630 | BĐĐC số 84; Bên trái,
P=0242 | X=0097.730-0108.850 | Y=0669.270-0678.590 | 50
P=0242 | X=0213.430-0262.020 | Y=0669.270-0678.590 | Quốc lộ 51
P=0242 | X=0444.170-0469.220 | Y=0669.270-0678.590 | 1.050
P=0242 | X=0505.390-0522.030 | Y=0669.270-0678.590 | 680
P=0242 | X=0117.170-0139.330 | Y=0675.030-0684.350 | Lồng
P=0242 | X=0301.320-0410.860 | Y=0678.910-0690.150 | đến hết ranh thửa đất số
P=0242 | X=0301.320-0391.420 | Y=0690.430-0701.670 | 144, tờ BĐĐC số 53
P=0242 | X=0097.730-0412.780 | Y=0708.450-0719.690 | 51 Các tuyến đường giao thông đấu nối trực tiếp ra Đường Châu Văn
P=0242 | X=0452.330-0468.970 | Y=0710.340-0719.660 | 700
P=0242 | X=0505.390-0522.030 | Y=0710.340-0719.660 | 460
P=0243 | X=0117.170-0404.860 | Y=0072.740-0083.980 | Lồng đoạn từ Quốc lộ 51 đến Bên phải, đến hết ranh thửa đất số
P=0243 | X=0117.170-0396.760 | Y=0084.260-0095.500 | 281, tờ BĐĐC số 84; Bên trái, đến hết ranh thửa đất số 144, tờ
P=0243 | X=0117.170-0401.790 | Y=0095.780-0107.020 | BĐĐC số 53 có hiện trạng là mặt đường nhựa, bê tông xi măng:
P=0243 | X=0117.170-0340.120 | Y=0113.300-0124.540 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=0243 | X=0117.170-0394.360 | Y=0130.850-0142.090 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0243 | X=0117.170-0412.780 | Y=0148.850-0160.090 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Châu Văn
P=0243 | X=0117.170-0404.860 | Y=0160.370-0171.610 | Lồng đoạn từ Quốc lộ 51 đến Bên phải, đến hết ranh thửa đất số
P=0243 | X=0117.170-0396.760 | Y=0171.650-0182.890 | 281, tờ BĐĐC số 84; Bên trái, đến hết ranh thửa đất số 144, tờ
P=0243 | X=0117.170-0382.130 | Y=0183.170-0194.410 | BĐĐC số 53 có hiện trạng là đường nhựa, bê tông xi măng:
P=0243 | X=0097.730-0340.340 | Y=0199.950-0211.950 | 52 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0243 | X=0452.330-0468.970 | Y=0199.950-0209.270 | 590
P=0243 | X=0505.390-0522.030 | Y=0199.950-0209.270 | 390
P=0243 | X=0117.170-0404.060 | Y=0218.230-0229.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0243 | X=0117.170-0170.130 | Y=0229.750-0240.990 | đến ≤600m.
P=0243 | X=0117.170-0340.340 | Y=0247.270-0258.510 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0243 | X=0117.170-0412.780 | Y=0265.270-0276.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Châu Văn
P=0243 | X=0117.170-0404.860 | Y=0276.790-0288.030 | Lồng đoạn từ Quốc lộ 51 đến Bên phải, đến hết ranh thửa đất số
P=0243 | X=0117.170-0396.760 | Y=0288.340-0299.580 | 281, tờ BĐĐC số 84; Bên trái, đến hết ranh thửa đất số 144, tờ
P=0243 | X=0097.730-0382.130 | Y=0299.860-0311.300 | 53 BĐĐC số 53 có hiện trạng là đường nhựa, bê tông xi măng:
P=0243 | X=0452.330-0468.970 | Y=0301.980-0311.300 | 480
P=0243 | X=0505.390-0522.030 | Y=0301.980-0311.300 | 330
P=0243 | X=0117.170-0394.610 | Y=0317.380-0328.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0243 | X=0117.170-0340.810 | Y=0334.900-0346.140 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0243 | X=0117.170-0402.430 | Y=0352.900-0364.140 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0243 | X=0117.170-0410.470 | Y=0364.180-0375.420 | Đường Châu Văn Lồng đoạn từ Quốc lộ 51 đến Bên phải, đến hết
P=0243 | X=0117.170-0408.700 | Y=0375.720-0386.960 | ranh thửa đất số 281, tờ BĐĐC số 84; Bên trái, đến hết ranh thửa
P=0243 | X=0117.170-0406.290 | Y=0387.240-0398.480 | đất số 144, tờ BĐĐC số 53 có hiện trạng là đường nhựa, bê tông
P=0243 | X=0097.730-0108.850 | Y=0395.120-0404.440 | 54
P=0243 | X=0452.330-0468.970 | Y=0395.120-0404.440 | 700
P=0243 | X=0505.390-0522.030 | Y=0395.120-0404.440 | 460
P=0243 | X=0117.170-0155.000 | Y=0398.760-0410.000 | xi măng:
P=0243 | X=0117.170-0340.340 | Y=0416.280-0427.520 | - Có bề rộng ≥5m, cách đường giao thông <600m.
P=0243 | X=0117.170-0394.360 | Y=0433.800-0445.040 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=0243 | X=0117.170-0402.460 | Y=0451.820-0463.060 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0243 | X=0117.170-0410.470 | Y=0463.340-0474.580 | Đường Châu Văn Lồng đoạn từ Quốc lộ 51 đến Bên phải, đến hết
P=0243 | X=0117.170-0408.700 | Y=0474.860-0486.100 | ranh thửa đất số 281, tờ BĐĐC số 84; Bên trái, đến hết ranh thửa
P=0243 | X=0117.170-0406.290 | Y=0486.380-0497.620 | đất số 144, tờ BĐĐC số 53 có hiện trạng là đường nhựa, bê tông
P=0243 | X=0117.170-0155.000 | Y=0497.900-0509.140 | xi măng:
P=0243 | X=0097.730-0108.850 | Y=0508.660-0517.980 | 55
P=0243 | X=0452.330-0468.970 | Y=0508.660-0517.980 | 590
P=0243 | X=0505.390-0522.030 | Y=0508.660-0517.980 | 390
P=0243 | X=0117.170-0340.340 | Y=0515.420-0526.660 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=0243 | X=0117.170-0404.060 | Y=0532.970-0544.210 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=0243 | X=0117.170-0170.130 | Y=0544.250-0555.490 | đến ≤600m.
P=0243 | X=0117.170-0340.340 | Y=0561.770-0573.010 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0243 | X=0117.170-0402.430 | Y=0579.770-0591.010 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0243 | X=0117.170-0410.460 | Y=0591.290-0602.530 | Đường Châu Văn Lồng đoạn từ Quốc lộ 51 đến Bên phải, đến hết
P=0243 | X=0117.170-0408.700 | Y=0602.810-0614.050 | ranh thửa đất số 281, tờ BĐĐC số 84; Bên trái, đến hết ranh thửa
P=0243 | X=0117.170-0406.290 | Y=0614.330-0625.570 | đất số 144, tờ BĐĐC số 53 có hiện trạng là đường nhựa, bê tông
P=0243 | X=0097.730-0108.850 | Y=0622.230-0631.550 | 56
P=0243 | X=0452.330-0468.970 | Y=0622.230-0631.550 | 480
P=0243 | X=0505.390-0522.030 | Y=0622.230-0631.550 | 330
P=0243 | X=0117.170-0155.000 | Y=0625.870-0637.110 | xi măng:
P=0243 | X=0117.170-0394.610 | Y=0643.390-0654.630 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=0243 | X=0117.170-0343.460 | Y=0660.910-0672.150 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0243 | X=0117.170-0206.790 | Y=0678.910-0690.150 | Đường Nguyễn Văn
P=0243 | X=0097.730-0108.850 | Y=0686.550-0695.870 | 57
P=0243 | X=0213.430-0262.020 | Y=0686.550-0695.870 | Quốc lộ 51
P=0243 | X=0301.320-0355.860 | Y=0686.550-0695.870 | Suối Bà Lúa
P=0243 | X=0444.170-0469.220 | Y=0686.550-0695.870 | 1.050
P=0243 | X=0505.390-0522.030 | Y=0686.550-0695.870 | 680
P=0243 | X=0117.170-0129.010 | Y=0692.310-0701.630 | Tỏ
P=0243 | X=0097.730-0402.710 | Y=0708.450-0719.690 | 58 Các tuyến đường giao thông đấu nối trực tiếp ra Đường Nguyễn
